everything 	 call great hotel great location good price . stay hotel two day book & quot ; standard room ' mean two people due non availability single occupancy book time ( know waste resource ; ) ) . room awesome ! much clean . corridor wait lounge comfortable well . bathroom good bathtub : ( ( matter ! ) . seem commode mean people height & gt ; 6.5 foot use foot touch floor . ( heck ? ) hotel restaurant name Comesum chain restaurant tie IRCTC serve amazing food tasty hygienic time . good part location . locate right next New Delhi railway station ( NDLS ) . come train could even walk hotel . local travel metro station walk distance fact close NDLS.As far stay concerned faced problem except not allow take car near portico take luggage walk distance ( much ) . could bothersome one lot luggage not decide factor accord give security issue country face . all stay good not see reason give anything less five rating . negative mention should not decide factor far believe . thank read .... 
 Best Effort Ratan Tata middle class 	 find extremely comfortable , near New Delhi Rly station travel hotel cycle rickshow . metro entry side hotel . good restaurant reasonable price . if compare Room rent vs Cleanlilness , rank-1 India . normally middle class efford lot money hotel , desire cleanliness , good restaurant etc , well available Zinger . also locate extremely well convenient place . train Traveller , even well . onwards even prefer spend money hotel stay rather choose free stay guest house Noida . Thnak Tata . Pankaj Kr Baruah 
 good value price 	 warm cozy room , plush interior , nice service tasty food . good connectivity business tour planner available hotel . good value money 
 great quality price ! ! train traveler 's PERFECTION ! 	 quality price beat Delhi - $ 40 get clean room satelite TV , AC , wireless ( must pay $ 5 24 hour ) clean bathroom - perfectly comfortable room . stay hotel price range Delhi India find MUCH bad . also stay 5 star hotel ( expect ) well cost we $ 300 ... find Ginger well bargain around . also - travel around quite bit train use delhi main hub LOCATION BEAT ! literally across street train station ( helpful since ticket buy 2 hourse train leave - train leave 5 am will grateful cross street get 3 am ticket ! ) . also pretty close Connaught Place ( central Delhi ) - around 2 km INR 50 tuck tuck ( 1 dollar ) .good luck ! mp 
 Feb 6 2009 	 great value money 	 stay Ginger short trip Delhi January 2009 friend . 3 we , get family room 4 bed Rs.1000 / nightThe stay comfortable advertise - frill hotel . though service hotel good , area improvement . 1 . hotel provide 2 towel room mean 4 person need ask extra towel . towel could better quality - shed thread stick ! 2 . Wifi / internet access expensive Rs.130 / hour compare internet rate elsewhere3 . room key card repeatedly stop work mean trip lobby time fix ! positive side , staff polite helpful . 24 hour cafe convenient , especially need leave odd hour night . food not bad either : ) metro station doorstep really usefulthe bed comfortable maybe really tired . location hotel near New Delhi Railway Station Metro station convenient also mean road access hotel confusing , area surround parking lot railway parcel area . overall , not go spend lot time hotel room need comfortable , safe clean place spend night Ginger place , not expect full service hotel . still kink need iron helpful staff fix problem quickly . I would definitely stay next time visit Delhi . 
 Feb 5 2009 	 Good Hotel 	 Hotel good neat clean . presume frill hotel need fetch water well . guess modify bit . toilet bath bucket mug . kid trouble . room service bell boy . bad choice stay next NDLS station 
 Jan 16 2009 	 great value family 4 	 stay 12/2008 twice 2 night family room sleep 4 . first time room cléan - second time . great location - great price ( INR 1000 per night ) . check later check early automatically give reimbursement . surround area recommend go walk . due heavy construction work proximity railway station get loud wish keep window open . however 2 A / cs family room 2 fan . the 24 hour restaurant basement ok - clean wide variety dish : southindian , north indian , even blackfor cherry cake ; - ) car rental service hotel however rip - off . book transport elsewhere . staff friendly helpful . also get clothe wash . internet access work time . 
 Jan 12 2009 	 nice enough close New Delhi railway station 	 pre - booked room Ginger hotel first night Delhi . taxi driver serious problem get hotel hotel next enormous parking lot rickshaw well train station . however , get we greet friendly staff . room 5th floor not spacious nice . clean sheet , flatscreen tv complimentary bottle water well teabag coffee . bathroom not cleanest ever see good enough . leave Rajasthan , decide spend one night week later . ask front desk staff upon checkout make reservation night . say room available . however , could make reservation - Ginger website ... use internet access , would pay 100 rs wireless card . ( 1 hour cost 35 - 40 rs internet café town ) next time come Delhi , find metro extremely close hotel , 25 metre hotel gate . however metro sign ask guard show direction . ginger hotel also close railway station convenient early morning departure also cause noice night . hotel not five - star price , be definitely recommend ! 
 Jan 10 2009 	 RESERVATION HONORED- leave strand 	 friend strand Delhi Ginger Hotel not honor reservation . record reservation room available . 's middle night , first trip India ' m US desperately try google kind alternative . ... CAREFUL . double check ready . otherwise 's great place stay . 
 Jan 9 2009 	 great value money kink 	 NRI family USA , include 2 teenager , travel India first time , little apprehensive indian travel agent 's recommendation hotel . however , overall experience 2 room 5 night turn excellent . check 3AM 12/19 check 12/24 without problem . give we partial credit 1st night , pleasant surprise . access hotel cumbersome , since hire private car driver , problem we . good thing front desk svc , 24hr restaurant ( cheap , lots variety , mild food , good svc ) , laundry svc , cleanliness , uninterrupted hot cold running water , free water bottle , free tea & amp ; coffee , access safe . miss room service . although family room 4 bed , small quickly get congested baggage . decision book 2 room , access 2 bathroom extra space turn good one . big issue inconsistent housekeeping svc ; e.g . day get 1 - 2 towel tp 4 people ; one day svc . always fix problem promptly upon complain , way . issue night time noise Rlwy Stn , drown run A / c fan without A / c . also , WiFi break 2nd day never get fix , even though say would fix within couple hour - problem unique ginger , commonly encounter India . if want 5 star hotel , Ginger . would definitely recommend hotel family want basic modern value money . 
 Jan 8 2009 	 good value money good location 	 stay Ginger New Delhi , mainly location - min walk train station metro line choose it . overall , really good value money , clean hotel friendly staff . room - room adequate size , wooden floor clean . bathroom wet room find toilet little high - sit loo , leg would not touch floor : - ) complimentary water provide room really good nice touch . service - restaurant bolt next door hotel access hotel serve food great meant not start hunt around breakfast . location - conveniently position handy catch 0615 train Agra hop bed , walk train . location mean could hear station announcement noisy time , city , noise expect . ear plug something carry time ! - little room complimentary water , iron ironing board , newspaper nice have . cost - good value money - can not fault hotel ! overall , would definitely stay , great little hotel , clean , good value money - need ! mean Ritz functional - need ! 
 Jan 5 2009 	 good value hotel Delhi 	 choose hotel extensive research hotel Delhi . the thing finally swing , cheap . the selection hotel Delhi swing cheap ridiclious . the Ginger seem hotel serve purpose safe , clean bed couple night . we fly Goa , couple day sightseeing , day trip Agra onward Jaipur . this hotel adequate purpose . the good point , clean room , service daily , site 24hrs cafe , close new delhi railway station , great catch shatbadi express 06.15 agrathe bad point , construction work metro make area chaos , taxi ride anywhere else , look interesting area ! , expensive wi - ficonclusion : want good value , clean hotel Delhi , Ginger hotel good option 
 Dec 3 2008 	 Value Money 	 surprisingly Rooms Ginger Hotel available date travel New Delhi . hazel reach hotel , construction work go around , location near station give jitter . till reach hotel . people reception friendly room , pretty clean tidy . could say big , sufficient 2 person . point concern food comesum restaurant house inside , food edible ! though live music restaurant pretty good . overall hotel complete value money 
 Nov 22 2008 	 Excellent Value 	 good value hotel ' ve ever . thoroughly modern , basic facility ( include pay wi - Fi room ) . location good , Metro station right outside , one metro stop away Connaught Place ( i.e. , 5 minute ) . also , easily book online . downside - shower area bit small , bed light ( bad thing want stay put ) . also quite busy outside , due railway station ( Indian Railways , metro ) . room service , though affordable 24 hour restaurant comesum decent . 
 Nov 10 2008 	 good thing hotel self service .. love ambience 	 recently go fantastic service hotel industry india .. service provide hotel ginger new delhi .. system help catch fast india much delight price hotel fair enough shell wallet . 
 Nov 8 2008 	 leisure low cost 	 usually go bussiness trip New Delhi . prefer stay Ginger Hotel . facility four star hotel would . moreover easy check . Good Bed superb guest service 
 Nov 4 2008 	 Excellent Value money 	 excellent value money .. neat clean . within New Delhi Station , hence great choice people travel . 24 hour medical shop vend machine late night hunger pang . less thousand buck ! ! 
 Oct 30 2008 	 Superb ! good choice New Delhi Train Station 	 Sept 2008.It directly locate New Delhi Train Station . clean hotel whole India price range around 1000rs . reservation internet phone . tv , a / c , 24h warm water , clean linen . 
 Oct 23 2008 	 Excellent Deal .. 	 one could imagine excellent stay heart New Delhi . I stay 4 Nights . room perfectly clean . definitely opt hotel visit Delhi againThe price great attraction . cost 1000 rupee . give facility & amp ; comfort 4000 r room . superb .. Real Value Money 
 Sep 15 2008 	 Value Money . 	 new Budget range Hotels Tata Group operate brand name Ginger Tata Group also own Taj 5 * Hotels India & amp ; abroad . an exist 7 Floors Rail Yatri Niwas manage Indian Railways hand Ginger Hotels run Buget Hotels refurbish completely open August 2008 . Hotel Pricing 1000 - 1200 AC Room LCD TV , Mini regrigerator small neat clean room can not ask anything . big surprise even 4 Bedded Family Room also price r . 1000 two AC 's . WIFI Zone , Mini Gym , 24hrs Restaurant , vend Machine also 24hr Pharmacy Center within complex . see around 15 - 20 International Tourists stay place . Rooms Dark Shades basic interior Hot & amp ; Cold Water . Room Service provide manage staff that s able cut cost . however compare Ginger Hotels one price much low rate guess could agreement Indian Railways provide Land & amp ; building . 
 Jul 20 2009 	 Parfait pour un aterrissage en douceur 
