great 	 recently spend night Premier Inn Euston , must say location hotel Euston Station king cross great , go visit Parents Berwick upon Tweed quiet regularly good hotel close station great . need get early morning train , would recomend Hotel , staff polite room clean , breakfast reasonable buffet could eat whatever liked even start 6.30am . I hope help anyone plan stay London . 
 Oct 28 2008 	 Perfect ..... 	 stay one night 24th October Check efficient give rooom 12 pm well 2.pm thought could check . park car site reasonable rate London room clean everything need nice flat screen tv bathroom modern clean . breakfast could eat £ 7.95 really good everything fresh good quality . staff friendly helpful would perfect stay fact nearly good stay hotel king cross 5 * give front face room overlook main road Euston light sleeper awake night due sound Police Ambulance siren go road night . accept emergency service need let traffic know come not think 4 am traffic speak need sound siren . realise fault hotel perhaps mention could problem noise would ask room face rear property would better we . even tired second day could not spoil lovely quick break London really nice stay hotel , everything else perfect . 
 Oct 23 2008 	 positive experience 	 travel business purpose little wary London hotel , less pleasant experience . my stay hotel literally faultless . check check everyone encounter 100 % helpful friendly without pushy . recommend check book table dinner go busy evening . right - place heaving ! seem affect either service quality food . excellent . breakfast also good , particularly good point waiter take round restaurant seating could see everything be . my room spotlessly clean bed comfortable . could hear voice room next door , always travel ear plug ready , affect get good night 's sleep . hear noise whatsoever outside . this hotel outstanding value money would stay without hesitation . 
 Oct 15 2008 	 can not beat price ! 	 stay 3 friend think would basic place lie head , ahead catch early morning eurostar follow day . imprese quality accommodation , service , cleanliness , food location . everything think - speedy breakfast , quick meal theatre etc ! restaurant pleasant would definitely stay ! 
 Oct 1 2008 	 Thumbs ! 	 Mother stay Premier Inn Euston last weekend . we London lot sight - seeing basically want somewhere decent put head night . the hotel say tin - little extra , dare say . we book twin room via hotel 's website , turn queen size bed plus single sofa bed , comfy quality bedding . room equip everything state hotel website . arrival receptionist polite helpful , night sleep well disturbance traffic outside guest . we also pay £ 7.50 breakfast - well worth money . fussy vegetarian always slight worry come food - plenty choose - fact one morning think eat little much ! hotel well situate , around 5 minute ( 10 , like we struggle cross busy road ! ) Euston Station - brilliant underground bus link almost every part city ! would certainly stay ! 
 Sep 19 2008 	 stay 	 stay two son son 's wife . agree everything be say . £ 7.50 breakfast . amazing value , good quality food well cook . wide variety . fault slow service evening meal , well cook good quality . would stay drop hat . 
 Sep 17 2008 	 Excellent stay Premier Inn 	 pleasantly surprised wonderful night stay Premier Inn Euston ! book last minute get reduce room rate . arrive around midnight staff welcome helpful . guy reception tell we guarantee good night sleep . find comment bit odd come morning realise absolutely right ! ' m sure ( ? ! ) brilliant sleep super comfy bed ! maybe pipe something room ? ? ? ! ! ! room really big clean quiet . do not breakfast park hotel also really handy central London . overall really good hotel would recommend use . 
 Aug 27 2008 	 Spotlessly clean ! 	 stay one night escape noise Notting Hill Carnival , take place right flat . my husband book room phone half hour show 9:00pm . Jorge ( tell we pronounced & quot ; George & quot ; ) check we . pleasant , polite , efficient . importantly , give we quiet room , ask for . the room clean 3 - 5 star hotel ' ve stay ! bed amazingly comfortable , pillow not sink become flat , case many hotel . we not £ 7.50 buffet breakfast , London quite reasonable . when leave , give keycard lovely girl look like be probably goth normally , polite smile too . after experience , can not believe tourist ever stay overpriced , dingy bed breakfast hotel popular around Queensway / bayswater . 
 Aug 22 2008 	 Excellent location 	 wife spend 6 day July , 2008 . location perfect , next London Eye . Westminster Bridge , Big Ben , Houses Parliament 5 minute away . be middle London . room clean tidy . staff always helpful . also within walk distance Waterloo Embankment tube station . breakfast nice though include price room . 
 Aug 13 2008 	 great location ! great Breakfast ! Lousy Staff ! 	 family 2 adult , 2 kid main requirement London could stay one room bathroom , breakfast , hotel elevator location decent . Premier inn great location - near one main Tube station near Eurostar ( 5 minute walk ) - great since take Eurostar end stay . breakfast buffet awesome since kid eat free , price end reasonable . kept we feed till evening . room comfortable quiet A / c tolelrable .... ... family room mean add two lumpy small mattress either side bed kid ( website imply kidsa ctually get real bed ) . take we 3 day get extra pillow ( need several due sinus condition ) . staff keep say room 2 per person , keep explain 2 people int eroom . also take we 2 day get soap ( completely ) clean towel . Laundrette non - existant . staff send we 2 wild goose chase , waste entire evening vacation look laundrette . finally someone give we address laundry facility realize nearest 3 km away . use restaurant - wait 30 minte get seat ( even though almost empty ) , 20 mintue order , food come one time instead wait additional 20 mintue get hte check . another night take 25 minute get slice cheesecake go . staff unknowledgeable several occasion give we incorrect information not simple thing ask . want use phone , even toll - free call need buy call card 5 pound not use money card not get refund . all - in - all , don'tt regret use since good location breakfast , severely lack customer service . 
 Aug 6 2008 	 Great Families Small Children ! ! ! 	 stay premier inn sake price let , hotel excellent location 2 minute walk Euston Station / Bus station . actual hotel great staff kind helpful always cheery . room Clean roomy include tea coffee . cot 3 month old son already set get room excellent fall asleep way hotel . bathroom spotless . big plus air conditioner ! good hotel stay ' ve London ! definitely recommend . 
 Aug 4 2008 	 great location / service / food 	 do not feel optimistic get taxi Marylebone station driver know hotel road ! , & quot ; chain change had often keep & quot ; , Showed map go , much & quot ; Knowledge & quot ; . hotel busy arrival staff appear something serve arrival , manager notice apologised deal we . book 2 room , one ready ( 11:00am ) check dump stuff . room clean , fresh , side away road quiet . busy hotel lift tend take time 5 floor total . Euston Station across road Euston Square Tube couple block away , access prety much Underground line , good Circle District shut weekend . when get back hotel later second room available , despite ask room close second room couple corridor away , high standard first room . spend comfortable night sleep set breakfast , warn check breakfast busy 8 & amp ; 10 , take risk go 9 . wait 5 minute table 4 available , think good . breakfast normal good standard , couple thing , cup make tea , chase waitress go get dish washer . glass COLD drink pipe hot come dishwasher one last little thing , & quot ; eat & quot ; breakfast , waiter take plate away also take cutlery , want ( do not actually ) would chase replacement . good standard , hotel bar resturant ( breakfast serve morning , costa coffee bar , use these.note & amp ; station , wine /beer /goodies source cheap bar price . 
 Aug 4 2008 	 Chain Hotel do well ! 	 catch late train London want hotel crash night , find short walking distance Euston . many travelodge , holiday inn , premier inn , etc . tend blend one another really nice stay one linger mind problem great staff . the whole place clean , tidy staff genuinely friendly helpful . the room surprise usual stuff , little small fine two . potential noise wall seem little thin rear hotel notice traffic . room bathroom clean tidy . also snack restaurant downstairs ( 1 Duke Street ? think ) seem fairly good value money London . it be 5 star £ 90 night never exactly cheap , whole pleasant surprise . 
 Jul 31 2008 	 nice bad staff attitude .... 	 nice little hotel - comfortable convenient . sadly let people staff restaurant rude not seem give .. . particular turkish possibly Greek - look gentleman behind bar whose attitude really stank . anyway , price ( 100 quid night ) can not really complain . overall good value 
 Jul 24 2008 	 Excellent Hotel 	 ' ve come back week stay London Premiere Inn Euston . can not recommend hotel highly enough , travel London alone daughter number concern leave eg would hotel noisy night guest , would room big enough week stay would stay 9 pm , would hotel child friendly ? say count hotle excellent . good night sleep policy seem mean get money back disturbed night etc . hear noise entire stay , room seem fully insulated could not even hear tv etc room . room big enough- queensize bed full sized single bed room , desk , tv shelving unit , coffee maker , seperate bathroom etc . include breakfast room rate would highly recommend pay extra £ 7.50 breakfast . daughter breakfast free breakfast . everything available unlimited supply- fresh fruit , juice , bread , roll , sausage , rasher , egg , yoghurt , granola , cereal , tea , latte , hot chocolate etc . good start day . thing really like hotel were- seem policy acknowledging smile everyone enter leave build nice . secondly house cleaning staff really excellent clean room time- leave room 5 pm fully expexcte mess get back hosue clean staff clean time get back happy . problem safe room bit pain , minor one . go back London would not bother look anywhere else would book directly hotel . 
 Jul 24 2008 	 Excellent family 	 easy find opposite Euston Station , check hour early reception helpful room ready we . room big enough double two single ( floor ) glaze good keep traffic noise Euston Road bay generally succeed . room hot - hotel room hot experience - air con provide work extent . window not open ( purpose ) room 's minor niggle . overall cleanliness room linen excellent , bathroom spotless everything work - everyone say bed comfortable . so hotel London cater family four ideal fo one night stopover . stay London business expensive hotel sometimes find well standard here . we pay two adult breakfast kid eat free - ample seat lot good quality choice offer suit taste . could do without false fire alarm 08:30am thing happen - staff apologetic . highly recommend would definitely use 
 Jul 22 2008 	 Excellent Hotel 	 boyfriend stay Premier Inn London Euston Hotel 4 night begin July . would highly recommend hotel . arrival greate friendly helpful receptionist . room quite spacious really clean . warm could open window thankfully provide fan room definately need . eat breakfast amazing hotel restaurant night fantastic value food delicious . downside could find location . quite walk get major attraction always cab bus . overall would recommend hotel short break . would hesitation stay . 
 Jul 18 2008 	 Perfect ' stop - over ' ! 	 book one room 12 year old son - one large double bed adequate ' z bed ' type contraption - perfectly comfortable adequate need . room bathroom spotlessly clean good quality linen , pillow towel . superb power shower ! tea / coffee / biscuit provide decent kettle ( surprise , surprise ) proper hairdryer ! rarity ! room quiet ( back hotel ) honesty not hear one siren night ! 's crown glory ' close proximity Euston St Pancras - long luggage wheel moment away . breakfast excellent ( continental hot ) downside food serve unitl 10 pm evening - check 10.05pm late order pizza son - 11 pm would well time busy city centre budget hotel opinion . cost £ 110 midweek £ 7.50 breakfast ( child 's b / fast free ) premier inn website - not bother shop around price need confirm book rush - hotel price reception say £ 150 midweek ' m sure no - one ever pay much ! ideal one night stopover - feel safe toilet reception lift room control key card . would stay without doubt ! 
 Jul 1 2008 	 stay one night last weekend June . fantastic ! 	 staff extremely friendly helpful . room extremely clean & amp ; comfortable . flat screen tv hundred channel . triple glaze block road noise . room warm bur air con OK . breakfast fantastic Costa cappucino's / lattes free ( machine ) . Convenient Euston Central London . would definitely stay . one problem , book credit card pay cash . want ID not aware need take . beware . 
 may 31 2008 	 shame seal windows 	 much work go re - furbish add bedroom last year price go match Eurostar close - by . sadly , open window seal air circulation system chill bedroom . cold May night , bedroom temperature never fall 25c . staff friendly cheerful many cultural background . hotel squeaky clean room good size significantly re - furbish . room Bloomsbury side much quieter overlook Euston Road . 
 May 29 2008 	 one expensive hotel fear ! 	 ' m life - long devotee Holiday Inn Mayfair , become sick huge price pretty average room add - on 's , indifferent staff - ' ve check Premier Inn , half way king Cross Euston , last two visit London . the down - side view , location , be return hotel late night - personally think warrant taxi right door rather public transport , safety . otherwise , 11 10 guy - newly complete refurb make ideal ' budget ' hotel - still £ 100 busy time , average £ 100 less Mayfair hotel . the room new , clean , airy , breakfast excellent ' all eat ' value , staff young , pleasant , motivated people , be literally ten minute maximum walk KX , Euston St Pancras , Euston Square nearby too . this huge step old Travel Inn format , frankly uncomfortably shabby latterly , think Premier deserve every success . you ' ve get question would pay £ 100 , old place Mayfair look feel really tired . 's much fashionable pay less well service - look Primark ! 
 May 20 2008 	 Great Staff 	 Booked hotel read review site . fantastic hotel . staff helpfull could enough you . if visit london , certainly stay hotel . 
 May 16 2008 	 shine example chain 	 stay business event several day . Handy Euston Station shabby king Cross St Pancras either . service not great , staff not seem know go , check check take needlesly long time , common language barrier London make thing hard . room clean , rather small . several resident complain road noise room front hotel - ask room back side want good night 's sleep . not use restaurant breakfast , not great even Premier Inn standard . handy location , seem expensive get , even factor London pricing . ok basic base get deal rebooker - worth rack rate unless be desparate . 
 Apr 23 2008 	 Lenry Henry would proud Euston ! ! 	 LOCATION : 5/10 min walk king cross near Underground LinkHOTEL : clean , modern welcome STAFF : find staff reception restuarant helpful , friendly politerooms : room second floor , overlook main entrance , outside noise hear chime bell . bed really comfortable welcome long day shopping ! ! add bonus bathroom bath well shower , also great tire day Oxford Street . although hotel go modern , clean minimal look nice , vanity unit room odd place , right outside bathroom door mean get ready go top other . breakfast : price breakfast seem steep compare place worth . ample hot cold food choose ........... would recommend , set day . last time go London stay king Cross Inn , would hesitate stay recommend one also . 
 Apr 3 2008 	 good sized room London 	 spend three night away business March / April 2008 . initial impression hotel not good . reception area currently refurbish , wait lobby member staff free help , however , clearly try deal arrival efficiently could . the room good , spacious London , clean , bed comfortable . WiFi access £ 9 24 hour . evening meal fine , breakfast plentiful ( eat £ 7.50 ) restaurant modern appearance . issue encounter one lift , not seem want leave floor stay . struggle explain member staff nearby English not first language , problem seem resolve follow morning . the location convenient , five minute walk Euston Kings Cross , good place stay want get around tube . , would recommend hotel place stay London . 
 Mar 30 2008 	 good location room 	 use Premier Inn number occasion ... partially near tube , partially street parking area free fairly accesible weekend know look . currently refurbish - improve room , undoubtedly basic decent bed / shower adequate tv . reception service helpful , room clean . badly price London standard ( 90 prpn r / o weekend ) , worth note prepared pay £ 15 shop around get lot money . however , easy book online , usually possible get room last minute . 
 Mar 19 2008 	 Great Location 	 stay 2 night London break . great location , good sized clean room , quiet . bathroom clean , plenty towel etc ' Breakfast probably one good price pay , anywhere London . overall good stay , good price . 
 Feb 8 2008 	 great location surprisingly quiet 	 ' ve stay hotel dozen time last 3 year ( business pleasure ) ' ve 1 bad night 's sleep ( noisy people room next door , keep run corridor ... ) even get room face Euston road 's amazingly quiet , hear faint traffic noise - can not stand even level noise , ask room back . the room always really neat clean , know be go get every time . flat screen tv Freeview channel . Tea & amp ; coffee make facility , plus hairdryer . the staff always helpful , ' ve never problem check in / out / booking , 's reasonable price central location London , short walk British Library , British Museum , Wellcome Museum ( fascinating ! ) course King 's Cross tube station etc . I not hear building work , though renovate bar / restaurant moment . 
 Jan 4 2008 	 Favourite Hotel London 	 ' ve use hotel quite time year , always first choice due central location , literally across road Euston railway station 10 minute walk St Pancras / King 's Cross . room always clean , roomy experience staff always excellent . back end 2007 complete huge renovation project bring hotel back scratch , next - to - last visit late ' 06 fixture fitting start get bit tired . whole place look lot upmarket , standard Premier Inn 's establishment road York way , King 's Cross . new bed supremely comfortable - top mark ! hope also refurbish lobby area lift - show age bit . at last stay extra towel bring minute discover room service forgot provide . early visit year , staff also go way give last room take chance budget hotel get finger burn ( be another story .... ) .The thing always let hotel food drink quite frankly overprice average - food basically pub standard - good enough perhaps much cheap ( Premier ) Travel Inns find next motorway ( usually next Whitbread Brewers ' Fayre ) , Central London absolutely . would far well trunde Soho Covent Garden ( 20 minute walk short Tube journey ) grab breakfast meal one myriad little bistros restuarant offer far well food often cheap . go drink - relieve nearly £ 9 two spirit mixer . £ 4.30 ? ? ? ? 's rip - off even London standard ! ! ! one slight gripe hotel directly across road Euston fire station may hear odd extra siren two ; centre London hear plenty anyway ! overall great hotel would recommend anyone visit London first time want stay centrally - can not really go wrong one . 
 Jan 1 2008 	 comfy bed ! 	 book family room hotel couple day advance new year eve . payed £ 136 pound fairly pricey , guess new year eve . we arrive hotel couple hour early see would ok leave bag there . we pleasantly surprise tell could room much welcome . check quick freindly . our room lovely . small cosy . spotlessly clean obviously newly renovate . the bed unbelievably comfy , new . bathroom great lovely powerful shower plenty fresh white towel . room peaceful comfortable could fault thing . would love give hotel excellent small incident morning . we tell check would entitle complimentary breakfast box morning hotel restaurant moment . call reception 10.30 morning find collect tell off - hand member staff 10 am . ( think maybe could little bit lenient new year day ! ) .My husband pop downstairs get tea bag least could drink . ask would ok another tiny pack complimentary biscuit need take medication take food . give tea bag refuse biscuit ! result take medication late . think however incident one two badly train individual . however shame reflect badly hotel . location good pretty easy get place , go watch firework please able walk back hotel rather attempt get tube . 
 Dec 19 2007 	 enjoy Premier Inn 	 husband stay Premier Inn Euston late October 2007 . renovation take place bit noise , good cause ! room big , cousy everything . lovely bed lot pillow . clean good hotel . service also perfect . the hotel good location Euston Station St Pancras Station . bit expensive , good quality money compare price London area . 
 Dec 14 2007 	 Excellent hotel 	 hotel suit need perfectly . 2 night business stay London . room spotless shower excellent . comfortable large bed . need really . restaurant close restoration staff offer complimentary breakfast require . overall reasonable value hotel London . 
 Nov 27 2007 	 like ! would defo stop ... ! 	 really like place ... Glad stop one king cross .. look quite dingy area.staff nice , room nice , bathroom nice : ) . really like .. would definitely stop close everywhere like train station , underground . like v.much .. also go hilton euston friend stay b honest .. like well premier inn .. hilton like £ 50 night inn .. lauren xx 
 Nov 26 2007 	 will nice finished 	 wife stay night early November . stay ofetn . hotel nearing end long refurbishment . fire alarm set one evening due dust worker third floor . we newly refurbish room top floor ok except still paint complete room corridor . the staff helpful obviously bit frazzle pressure run hotel building site . traffic noise high room , especially Euston Road . light sleeper hotel . 
 Nov 26 2007 	 great hotel 	 love stay Premier Inn London Euston - location great , close St. Pancras , king Cross Euston . walk everywhere - take 20 min walk Westend Oxford street . room quite big clean , tea kettle . ask room back , noice street . breakfast good , , lot choice , kid 16 eat free pay adult . would definitely stay . 
 Nov 5 2007 	 must try hard 	 hotel owner worth salt busy upgrade building hotel part London thank open new Eurostar St Pancras terminal road hotel . whilst room newly refurbish clean , room directly face Euston Road - one London 's busy artery . sound proof practically non - existent . oh , be noisy pub right across street add decibels . would try get room not face way . it great location Euston Station , Euston Square , Warren Street , king Cross St Pancras public transport link . just one thing not like refurb - room horrible fluorescent lighting everywhere . not deal breaker know , make room feel clinical . we can not comment hotel food , come across & quot ; Bree Louise & quot ; pub nearby Cobourg Street , close Euston Station . amazing pie ( magner & amp ; pork 3 Cheese Veggie ) beautiful real ale well £ 10 head . good little find away tourist trap ! 
 Oct 11 2007 	 work progress 	 overall good stay , friendly staff , clean hotel average service bar cafe , sometimes think transport eastern europe do not meet anyone English that s probably service good ! noisy front hotel good tip would request room rear , build work take place do not bother , drink bar average London ( £ 3.26 Guiness ) , arrive Euston ideal place right across road , also short walk Kingscross , would stay .... , that s due much choice here . the food fine , sea bass ceaser salad , tasty eat breakfast great , staff really fantastic , budget hotel less £ 100.00 per night really can not complain . 
 Sep 9 2007 	 Perfect short stay London 	 whilst Premier Travel Inn Euston never win award style , glamour charm , budget ( less £ 90 night ) clean comfortable place stay night central London take beating . we stay one night apart rather self important check clerk , hotel deliver exactly say tin . whilst possess charm Ford Mondeo , room relatively spacious , clean bathroom , tv , kettle etc importantly comfortable bed great snuggly duvet good pillow . attach hotel perfectly adequate restaurant us lovely & quot ; eat & quot ; breakfast £ 7.50 although do not partake , dinner menu look ok well . location wise , hotel five min walk Euston , St Pancras Kings Cross mainline & amp ; underground station , several bus route within 30 min stroll West End . whilst hotel completely devoid character decor slightly fade clean comfortable night central London budget think anyone woudl trouble beat . 
 Aug 7 2007 	 bad Hotel London 	 Chose hotel convenient location - mistake . it be chain not expect much term facility get bore standard fare . but , every morning wake - sometimes early half seven - building work , go till seven night . when try complain website say would happen 9 5 meet receptionist obviously get bored hearing . say management tell stop builder ignore they . I understand business need improvement time time can not understand hotel manager not seem care ensure guest ' comfort . I will not stay another Travel Inn . 
 Jul 21 2007 	 ' m afraid hate 	 browse hotel have previously stay surprised place well . stay week whilst work London short notice nothing else available . the lift button floor not work unless keep hold security camera corridor make feel like prison . room clean basic point spartan - fair though , not expect luxury Premier Travel Inn . unfortunately way cool room thermometer read least 24 degress night . open window could not sleep due noise Euston Road ( hotel also opposite fire station ) . take shower , water mysterious source drip ceiling I . the location good long not stay summer might even get sleep . personally , would rather take chance cardboard box Waterloo Bridge stay though . 
 Jun 19 2007 	 love 	 end check budget Alhambra Hotel bad experience . come upon walk around look place . try avoid chain type hotel , boy glad find place . money budget hotel plan , still reasonable London standard extremely comfortable . room bathroom good sized - similar american chain type hotel . bed good sized comfortable - especially like crisp white bedding comforter . good part we ( last July 2006 HOT ) , AC work well . easy access Tube get anywhere want . front desk people friendly helpful . find generally quite young , necessarily knowledgeable regard city / tourist information , still pleasant deal . seem gear toward european business traveler tourist . especially appreciate kindness rob , let we use phone front desk call bank , credit card company , etc . also enjoy bar / lounge tuck away behind front lobby . nice nightcap return long day sightseeing . 
 Jun 9 2007 	 Good Value 	 stay Premier Travel Inn Euston end April , 2007 base , part , Trip Advisor review . completely satisfe would definitely return . the location convenient two tube stop ( Euston & amp ; King 's Cross / St . Pancras ) offer easy connection many London Underground line . West End / Theatre district easy trip via King 's Cross Piccadilly line . the room clean sufficiently large ( London standard ) . price pay extremely reasonable central London . staff friendly . on trip , started end London . end trip , stay another Premier Travel Inn location . experience . base two stay , would stay location Premier Travel Inn without hesitation . 
 Jun 2 2007 	 good value 	 stay one night 31st May - staff helpful friendly . the room big expect clean . excellent value money would stay . breakfast excellent - good selection standard £ 7.50.recommended 
 May 10 2007 	 Good Value 2007 renovation work 	 200 yard Euston station , room reasonable size clean . enjoy stay would go back . hotel go renovation work 2007 bit bang place 09:00am . also , hotel busy road ear plug might idea . restaurant advisable book ahead . reasonable bar reasonable price . 
 may 9 2007 	 good value travel inn 	 Booked Travel Inn read review tripadvisor . Stayed Thursday Friday night 26th , 27th April . could not bring pay £ 200 plus Thursday night place charge . daughter London see Sound Music , shopping sight seeing . Travelled king Cross hotel 10 min walk , check quick , room fair size , one large double sofa make bed well . bathroom full size bath ( stay far expensive hotel christmas bath be not long enough lay ) clean worn shabby . Pre pay breakfast £ 7.50 , choice excellent standard food good . must mention lady charge restaurant nice efficient . would stay good standard accommodation , hotel well place staff pleasant . Euston tube road , also walk covent Garden hotel , may far nice push time . total bill two night breakfast two £ 206 . 
 May 8 2007 	 good location 	 five minute walk Euston station . good location walk tube / bus . reception staff friendly . room comfortable . would expect really . stay business policy single woman feel perfectly safe . breakfast good value . downside - bar full man watch football . 
 Apr 20 2007 	 convenient location visit London 	 corner busy Euston Road PTI might obvious place family weekend getaway London , couple minute stroll Euston Station Underground turn ideal . one night stay booked , much sightseeing pack two day . make time , step Euston Station head straight Premier Travel Inn - little 10 am already know hotel would happy book luggage storage well would allowed book room . next morning check hotel , thing leave luggage hotel collect end sightseeing . charge make service staff reception delight deal with . the Hotel remind anonymous office block , see London , happy room , cleanliness service - room back nice quiet . bar / lounge look little worn , imagine will not want give lick paint smoking ban kick July 2007 . lift operate keycard also open door room - nice touch help we feel secure . just along hotel lovely area like Bloomsbury British Museum . eat good italian Restaurant call Prezzo discover walk Hotel Euston Station . station convenient pick breakfast on - the - go great food concession outside plenty picnic table . great place get breakfast alfresco hot sunny April morning Marks Spencer Simply Food also much welcome sight . the Euston Premier Travel Inn might stunning location PTI County Hall , whole London easily accessible , would definitely recommend great place base . treat able return hotel mid afternoon rest head West end evening - always easy budget hotel often place inconvenient location . 
 Mar 25 2007 	 great location great price great room ! 	 stay hotel begin May 2006 . hotel locate within walk distance King 's Cross station ( roughly 15 minute ) , across street Euston Tube station train station . arrive early , front desk staff allow we store luggage grab lunch check - in time . British Library also close , along number small cafe restaurant . hotel also within walk distance British Museum . room bright , spacious . bed comfortable well . washroom clean , fair size . hair dryer provide , require one pack . room face nearby church , hear bell clang top bottom hour ; however eventually get use noise . despite Euston , main street , hear much traffic noise window close . leave windows open night , may disturb traffic ( depend course window face , use live busy street ) . problem encounter London rare May heatwave . city hot , stuffy , humid , result room . accustomed hotel room adjustable A / c control may find room uncomfortable find similar situation ( know room cool summer time weather expect ) . find window stay open day , would comfortable night . however , couple time cleaning staff close window . heatwave begin subside , room become comfortable night . hotel staff friendly , hotel keep clean . location excellent use Tube ; Euston connect station many London 's underground tube line , easy travel many top tourist destination . hotel restaurant also good ; along service . wish hotel 's breakfast , Euston station number food kiosk open morning . area also fairly light night , cross road Euston station hotel . overall , great hotel start vacation . despite humidity , room comfortable , clean . great bargain downtown London , access downtown core train station . 
 Mar 20 2007 	 convenient affordable clean friendly staff 	 second time stay . many hotel central London overprice , dirty , incovenient location unfriendly staff . Travel Inn Euston score extremely well area . Convenient Euston , king Cross Paddington , be also short Tube journey Piccadilly Tube Line West end . room clean , tidy , quiet night , restaurant surprisingly cheap evening meal , bar pleasant though smoky ( course long issue smoke public place ban England July ) . ' all eat ' breakfast appetise efficiently organise , whilst cheap £ 7.50 - though kid eat free . however good thing place friendly staff . time stayed frequently ask everything ok , staff without exception pleasant , informative helpful . 
 Mar 17 2007 	 clean fresh great 	 great hotel price , clean good breakfast . excellent location . ( inside zone 1 ) noisy despite say review . staff quite helpful . 
 Mar 4 2007 	 good location Value money 	 stay hotel number time wife , kid tow . late stay previous one , great value money . stay London much see . really look hotel good location , decent bed , shower value money . PTI euston fit bill perfectely . travel via St Pancras . turn right station hotel easy 5min walk . pass decent pub pizza express ( ate ) way . £ 7.50 eat breakfast bargain . shame free newspaper go though . 
 Feb 23 2007 	 great family room 	 hotel great family . family room double bed couch pull bed - much well standard sofa bed two teenage boy ! breakfast free 4 child 15 - mean pay £ 7.50 3 large breakfast . food also good quality good choice - full english breakfast , cereal , fresh fruit , yoghurt etc etc . room always clean bath shower great . room back not notice traffic noise - fact quieter home . convenient Euston train station meaning could make door door entirely public transport . 
 Feb 8 2007 	 misleading room type 	 stay night hotel find frustrating experience . main complaint room description misleading . book Twin room give double bed plus convert sofa ( expect two double bed ) . first send smoking room despite 3 month old child . ask king size bed tell double bed king size bed room like . true . learn later indeed room king bed . also price pay include parking ( 15 pound extra ) car pay congestion charge park car park . premier travel inn claim good night gaurentee refund money satisfy - seem lie -we unhappy room refund . 
 Jan 21 2007 	 great base London break ! 	 stay Premier Travel Inn , Euston , weekend break mum . family room , book twin room , stay two night . as travel train Liverpool Lime Street London Euston , location hotel perfect - almost directly opposite Euston station . staff front desk friendly , polite helpful . room clean comfortable , even uncomfortably hot weather . hotel bar , although expensive ( London ) , , , clean comfortable , friendly atmosphere . the hotel prove fabulous location . easy reach Euston Kings Cross station , easy access tube , fantastic shopping visit theatre . little street cafe round corner hotel also worth look good cuppa reasonable price ! downside breakfast buffet . although edible filling , bit overpriced not particularly tasty . , however , fill set day . on final note , would recommend italian restaurant road hotel . lovely food reasonably price . 
 Jan 9 2007 	 mostly good 	 stay Premier Travel Inns fairly regularly , whole problem . Euston Road hotel clean staff friendly . room slightly small pti stay , still sufficient . close tube train handy . use restaurant bar . along line review though , real downside noise road - glazing seem make louder ! really loud , although not disturb much asleep , keep mother awake . warn website , however hotel address Euston Road , map could interpret hotel Euston Road actually . would stay , would perhaps ask room back . 
 Jan 1 2007 	 pleasantly surprised 	 stay Premier Travel Inn 2 night November business . actually book company 's travel agency chain hotel close Euston Station availability . thank goodness not pleasantly surprised . front desk staff friendly , polite quite helpful . room clean , nicely appoint bed good . even though travel alone , good full ( queen ? ) size bed - - - something remember ever go London partner simply hate hotel put 2 twin bed together pass queen . if be look reasonable , clean comfy hotel specifically Euston Road area - opt Premier one Cardington Rd . London office quite nearby easy access bus , tube train , definitely stay . 
 Nov 26 2006 	 excellent ! 	 someone critical hotel / hospitality industry whole- work 15 year pleasantly surprised hotel . minute check minute check staff friendly , polite- even look like enjoy job ! value price would definately stay again- receive bad service 5 star establishment . breakfast great value restaurant exceptionally clean- exactly type hotel 1 want get stay one night- can not fault . 
 Oct 12 2006 	 Good Location Great Value money . 	 husband return today two night trip London , originally book 4 star hotel , later cancel reading review site . booked travel Inn , know certain standard .. clean , basic good size room . I m really glad , exceed expectation . arrive reception one hour early hope keep bag , however able check room ready . ask quiet room , away busy Euston Road , happily provide . reception staff plentiful appx 6 , extremely pleasant knowledgeable , explain everything hotel full . guess staff hotel Polish .. certainly Eastern European speak good English , friendly . room disappoint , reasonable size comfortable double bed sofa , nice size bathroom powerful / hot shower air conditioning work . room quiet ( 339 ) noise corridor , although close window night , bit noisy quite frequent siren 's ( think hospital nearby ) , house keep throughout hotel clean . Dinner ' Slice ' restaurant good , although could bit warm . plate cold serve air conditioning cool food quickly . £ 7.50 breakfast good value . geographically middle two main line Tube station - 5 min walk Euson 5 min walk king Cross / St Pancreas . bus take anywhere may want go stop right outside hotel . would thouroughly recommend hotel , frill good value money . definately use next time I m London . also exit front door hotel onto Dukes Road , turn leave walk appx . one hundred yard turn right , several nice little cafe 's day time snack . 
 Sep 28 2006 	 Decent hotel close centre attraction 	 stay 2 night whilst London watch Arsenal night theatre . room clean , bed comfortable edging towards soft . quickly book , obvious staff eastern european origin , front desk least . allocate room 122 back hotel quiet . glad front . few minute walk Euston station tube station . about half hour walk oxford Street . at £ 75 night reasonable clean hotel , basically would expect travel inn . 
 Sep 15 2006 	 noisy hotel ! 	 hotel fine genre - fact good example Travel Inn . restaurant good position good tourism business . problem ' highway hell ' run alongside ! Euston Road big busy day night attempt make hotel dim sound overwhelmed . back room , use air - cond keep window tight shut , yet noise terrific ! 
