class 	 arrive hotel cold sunday afternoon greet friendly staff , free steaming hot chocolate marshmellow . great way warm room functional , clean comfortable . great view , return Chicago would hestate stay . staff incredibly attentive polite , business centre free internet access big plus . 
 Jan 3 2009 	 Chicago Gem 	 first , bit skeptical book Allerton . ' m person feel comfortable stay brand hotel like Hilton Intercontinental . stay Allerton , find exceptionally pleased choice give try . I book hotel directly 1 - 800 number look rate website Expedia . receptionist extremely pleasant helpful . address concern , include fact 18 . ask would problem check without 21 year old adult assure hotel would permit check in . upon arrive hotel , meet friendly professional staff . check - in prompt pleased room . I travel budget ; book mini - room . believe call & quot ; Petite Classic & quot ; . , travel , find room accommodate large enough myself . the room up - to - date look , although remember bed bite stiff . bathroom small , neat shower ! overall , room fairly small large enough one person . doubt one good room downtown Chicago price pay . would definitely stay ! 
 Dec 29 2008 	 Loved Allerton 's staff 	 husband lucky even get Chicago , weather terrible travel second busy day year . call Mateo ' Allerton several time confirm could check midnight . sincere assured would room tax day . 12 - hour travel day ( 3 hour ) , arrive Allerton . feel like Mateo ' old friend treat . precious gem . upgrade junior suite glad . corner room great view Michigan Avenue ( Tiffany & amp ; Co. , Neiman Marcus , Macy 's ) . suite clean update . king bed super cozy comfy . love 2 flat panel tv . bathroom leave bit desire . toilet industrial . shower / bath normal size , drain slow . we think would really miss coffee pot in - room , not big deal . walk Dunkin ' donut first day ( not waste time , weak ) , drink complimentary coffee Allerton . coffee excellent ! talk hotel . the gym Allerton amazing ! beautiful clean comfortable . ample equipment . elevator small side , normal speed . complaint . bar never open man mood drink , not big deal . make we get explore . not read review Allerton book trip , pretty nervous would go . would suggest not put much negative . easy please , husband 's chagrin , thoroughly pleased experience . first review ' ve write , hope help . happily stay Allerton next time visit Chicago . 
 Dec 23 2008 	 great value 	 great value money . location good . 
 Dec 15 2008 	 great little place ! 	 book King room special rate Saturday 13th December . excellent $ 99 rate plus tax King room . build right magnificent mile smack middle everything . cute renovate interior - small elevator problem light luggage . nice look front desk /restaurant bar area . nicely decorate room - good sized room walk . nice bathroom -small cramp . room overall clean cheery - dark . save parking - use structure attatche hospital block away ( $ 38.00 24 hrs ) walk Allerton . complaint follow : 1 ) bed though big nice nice sheet pillow hard . problem like hard mattress course , prefer soft one pillowtop . 2 ) although winter - hot room . turn thermostat 65 still warm night . admittedly like sleep 's cold realize everyone care . window open inch screen . 3 ) Breakfast restaurant outrageous price . $ 44 2 order bacon ( 4 strip ) , one order toast , 3 pancake , 2 glass orange juice ! ! eat elsewhere not afraid comfortable accommidation . free coffee lobby morning free hot chocolate near reception holiday ! 
 Nov 21 2008 	 bad Hotel ever ! ! ! ! 	 absolutely bad place ever ! ! restaurant open dinner , concierge , front desk agent look inexperienced . manager duty rude not seem like care help . tall , african - american guy short ask question . elevator small slow room small mold like smell . hotel look pretty that s . so - call business center real business center . fax print document . go front desk complain tell something hear everyday surprise . favor stay elsewhere . 
 Nov 15 2008 	 wonderful stay 	 love stay Allerton . read review decide Allerton . go junior suite perfect ! site room bedroom plenty space . can not beat location -- right heart Magnificent Mile . walk every attraction . would definitely stay . little tidbit info -- go hotel website -- sometimes special advertise . 
 Nov 3 2008 	 pretty perfect ! 	 husband ( be mid 20 ) take long weekend see Chicago & quot ; get away & quot ; St Paul , MN . experience Allerton exceed expectation every turn . arrive via train take short taxi ride hotel Union Station . greet lemonade lobby warmly welcome every staff person meet . check - in fast easy find room nicely decorate , spacious perfectly clean . concierge help we get ticket river cruise read TripAdvisor enjoy dinner nearby pizza place recommend friend . hotel 's location PERFECT anyone want sightseeing Chicago . be Magnicifent Mile easily walk Navy Pier Millennium Park 15 minute . anyway , great trip really enjoy stay Allerton . 's perfect young adult look nice place great location reasonable price . one recommendation stay - not waste time / money breakfast hotel restaurant . 
 Nov 3 2008 	 good location Mich Ave clean good solo business traveller 	 stay standard guest room Allerton Tip Top Tap ( per big neon sign bldg ) business meeting block away . old Chicago hotel grandmother tell often visit lunch young woman . right Miracle Mile N. Michigan Ave . , south Water Tower Place mall middle ton shop fancy hotel . I get competitive midweek rate Hotwire ( 130 ) 4 - star hotel . hotel block State Street Subway , connect Elevated Line Midway , make $ 2 easy cheep connection airport . check 11 pm , problem . use restaurant bar . concierge map area . free coffee decaf ( Lobby – coffee pot room ) , complementary hot cider night . room small , clean . view Hancock Bldg Watertower Place , 1 2 block north , respectively . bed firm comfortable soft pillow warm linen . Temperature control thermostat – noise unit . flat screen tv – could really watch bed since 90 - degree bed , block desk lie . actually , get far side bed , one would climb negotiate 1 - foot margin foot bed wall . adequate closet space . fridge , unfortunately since lot good deep dish pizza place near & amp ; leftover . bathroom small plenty shelf space , power - flush toilet , excellent showerhead . nice marble tile towel fairly soft . good bar soap , last 6 day ( take next stop ) . Shampoo , shower gel , lotion , hair dryer conditioner provide . bathrobe . room tuck behind elevator , never hear . Minimal street noise , despite Michigan Ave . problem room carpet come near bathroom , keep step carpet tack – ouch . exercise room 24 hour nice machine , free weight , water + apple . check simple fast . would call place 4 star , get $ 150 less conference hotel street . , ' 5 min walk subway , 10 min walk loop , 20 min walk Old Town / Lincoln Park , middle Michigan Ave Shops . maybe Tip Top , certainly fine competitively price . good car - walk , public transportation taxi get anywhere . standard room ideal 1 , might want space 2 guest . hassle , 24 hour gym , quiet … .i ' go back . 
 Oct 29 2008 	 's detail ... 	 husband stay Allerton 3 night . first , hotel seem great . fantastic location ( right Mile ) , nice decor friendly staff . long , noticed could improve . room small hardly storage space clothe . stuff put window ledge . comfortable bed relief . small safe floor closet put passport , extra cash jewellery . realize 2nd day safe even bolt floor wall . not heavy could easily pick take thief robbing room . great security ... be like camera not record anything ! bother ? ! ? would also strongly recommend town guest , bother rent car stay . parking fee $ 50 per night take 1/2 hour get car valet . self - park option , pay large fee , feel obligated tip man bring car since 's fault fee high . all , would definately stay . extra money spend parking , could stay much nice hotel . 
 Oct 27 2008 	 travel 200 day year . bad hotel stay 3 year 	 disappoint hotel shock maintain 3 1/2 star rating . actually handle small room location great even get really not renovate . , unprofessional un - friendly staff inexcusable . arrive long day travel @ 11:30pm . water purchase room go front desk bar tell chance get bottle water hotel grocery store couple block away . woman walk around Chicago @ midnight smart thing . decide make . head elevator ask bellman know bottled water hotel . proceed say & quot ; & quot ; stuck hand say & quot ; get one pay & quot ; . blow away ! ! ! ! ! midnight shady bellman want table cash bottle water . never stay . 
 Oct 6 2008 	 Allerton perfect location 	 husband surprised weekend away Chicago birthday . book Allerton Hotwire get fantastic deal - $ 200 / night . expect much since everything else right downtown near $ 500 . hotel little hard find since look entrance right Michigan . entrance actually side street name Huron . people wait outside park car like . actually go little way Huron use self - park . block away much cheap use valet . come ground level go floor 2 check . elevator small lot people pack one , slow - lot stop . 15th floor see Sears / Hancock Tower . eat dinner Ditka 's ( near Tower ) awesome prime rib filet . bar side pretty noisy . wish would put we side food good , not mind . you walk Navy Pier hotel ( looong walk ) . gorgeous weather want take advantage . huge ferris wheel , mini golf , ton food stand . would love ride ferris wheel luck talk husband it . we & quot ; standard & quot ; room quite small next elevator not know small . could walk around bed room . crawl side . size fine since not spend much time . bed super comfy , sit chair desk chair . bathroom great - issue nowhere put toiletry . ( man would fine ! ! ) .we would definitely return . location good thing hotel . soon street , be right middle action . breakfast fantastic restaurant downstairs . belgian waffle worth trip alone . 
 Oct 2 2008 	 4 Star ? not think .. 	 book Allerton Hotwire convention weekend Chicago many hotel book . base previous review have seen , nervous planned three - night stay . turn , right be . to say room small understatement . floorplans hotel website seriously misrepresent room size . room one queen - size bed , space one night table -- guess two people not allow read bed time . bathroom similarly small adequate . two bath towel , however , worthy Best western supposedly 4 - star hotel . ragged , thin , misshapen . ' ve never hotel provide two bar soap -- one bath one sink .... . yes , tiny bottle shower gel -- guess husband suppose take shower alternate day stay . wallpaper bathroom peel . day long , large plastic bag dirty linen hallway . ' ve never see kind thing 4 pm 4 - star property . internet $ 9.99 / day wire DSL , wireless . 's one telephone room , locate desk . guess fumble across room ( two step ) wakeup call come . the elevator discuss other . tiny , slow come , apparently one two always service . try visit flu season -- be hard avoid skin - to - skin contact elevator ride here . I admit location Allerton can not beat . seriously small hotel room ever , bar none . feel like ' m garret , hotel . amenity limit -- fridge , miserable towel , phone see well day . would say management : drop pretense 4 - star property ? low expectation , guest will not feel quite misled . 
 Oct 1 2008 	 good value 	 part , pleased weekend stay Allerton . stylish boutique hotel right middle Magnificent Mile . room small , small expected city room ( ' ve see small New York ! ) . staff friendly helpful question get around . day departure , time checkout flight home ; leave bag desk start leave coat well , attendant suggest little chilly might want keep . 's small thing show be really pay attention . the downside : call room service ( close 11 pm ) one night 10:20 order dessert . woman answer phone tell menu room date rattle night 's selection . pick one tell would 20 minute . 45 minute , one one pick room service ; call go front desk cancel order . annoying minor . my husband leave pair pant room , realize day check . call say one turn . head housekeeping go check room speak person clean , sign . odd . overall , though , would definitely recommend . 
 Sep 30 2008 	 great location well appoint small room 	 stay one night terrible stay Hilton ( see review ) delight ! location far well Hilton - step onto lot high - end shop mall . lobby hip ( accompany hip music ) staff courteous friendly . room small contemporary , clean , up - to - date furnishing flat screen tv PLUS $ 100 less Hyatt , absolutely delighted ! ! would highly recommend anyone despite slow elevator ! ! 
 Sep 29 2008 	 Dirty Rip 	 stay Chicago twice year business try many hotel . laundry list problem Allerton:1 ) use tissue floor next bed arrive never pick housecleaning stay . 2 ) splatter waste basket bottom desk never clean previous guest.3 ) Bathroom shade fall try pull cut arm.4 ) fault : leave phone charger wall front bed . know , course , house keeping never report anything lose find , call , nothing.5 ) mess checking - in process co - worker 's credit card room not check room , even though room card . go back lobby twice get straighten out . overall : ' ve dress place pretty nice can not hide fact staff lazy even little shady , even concierge foreign accent . open fire lounge trendy bedroom fabric not make poorly run hotel justify extremely high price . past ' ve pay amount much large room Hotel 71 . 
 Sep 23 2008 	 Convenient Location Tiny room 	 stay Allerton largely attend workshop hold hotel give great rate , $ 199 per night vs. $ 300 , conveniently locate Chicago main drag , Michigan Avenue . decor main lobby restaurant area snazzy staff generally nice helpful , couple thing hard dismiss . first , elevator painfully slow . additionally , room tiny bed comfortable . little room toiletry bathroom , put anything . thank goodness room , would room husband . 's also annoying not provide coffee maker room like many hotel today . luckily , be great convenient eaterie around corner Erie St. Clair call Corner Bakery Cafe . redeem feature shower , mine great , , , location great . 
 Sep 12 2008 	 Rip like 	 advice - stay AWAY.The hotel & quot ; OK & quot ; - room average , location , pretty good , service , ok well . but recent experience . book room one night July , & quot ; guarantee , & quot ; Orbitz , arrive check learn hotel & quot ; overbooke . & quot ; front desk clerk ask whether would consent take complimentary room hotel 8 block away , plus refund $ pay room Allerton - mean essence , night free . it hot July evening well judgment long day road , accept - schlepped bag 8 block . at least good sense take name clerk Director Sales . . . former assured refund would appear credit card & quot ; within couple day & quot ; - course , not . so contact DOS via email assure would follow Orbitz , know . . . tell truly , Orbitz 's responsibility : Orbitz job . hotel overbooke room make offer live to . Suffice say , refund $ 187 + , never stay Allerton , recommend one reading stay either . come expect shenanigans airline , think hotel well run business actually care customer reputation . usually , true . case Allerton . Michael NJ 
 Sep 8 2008 	 Fantastic Allerton Hotel 	 girlfriend stay 8 night Allerton summer holiday Chicago . location unbeatable - magnificent Mile one second away . like shopping brand Apple , Nike , Tiffany Ralph Lauren place stay . build beautiful . hotel renovate fantastically . ok lift amusing experience , not let put . room exceptionally clean well equipped . not huge comfortable . good bit Allerton though , fantastic staff . every single staff member come across exceptionally friendly , kind go way ensure stay perfect . 
 Sep 7 2008 	 terrible ! ! ! ! ! 	 hotel disaster ! first - arrive , one offered help we luggage ( check second floor ) get stuff upstairs tiny super pack elevator ! ! bad - refuse honor reservation king size delux room pay extra - say owe nothing Orbitz us becasue book direct . complain ask manager , promise move we suite next day . return day walk exhaust , said & quot ; sorry- moved- someone drop ball ... & quot ; finally , agree move we room away form elevator , actually give we room small bed full size without even tell we go ! ! - luxury item get mini fridge ! imagine ! hotel mini fridge & quot ; first come first serve & quot ; - bad motel 6 ! staff lie , care whatsoever customer , irresponsible ! hotel - although claim renovation - old dingy bathroom , mini frige , tiny room ( mini - ) , elevator lobby make teh whole thing fire hazard ! imagine right outside room door 20 story high shaft open front door . anything happen , would trap fire room . certainly staff would first run away leave everyone . case - disaster - terrible place ! ! ! 
 Sep 2 2008 	 wonderful experience 	 stay 7 day enjoy tremendously . comfort , service , location price make stay enjoyable . try book spring find room availability . keep try want return . 
 Sep 1 2008 	 lot Potential Lots problem Great Location 	 arrive pleasant staff tell room category ( King Junior suite ) available . fact hotel overbooke . offer we standard room double bed promise move trhe next day . late agree . sister property available tell . next day promise room available either . bad business . unwilling move another property stay 2nd night . compe night . would willing pay enjoyable hotel stay . other problem area : safe bolted room . carry mine front desk show they . they five elevator old building 3 use guest . other service employee . long wait check inand especially check . advise middle floor take elevator get . wait 20 minute first check . room clean first day return 430pm call . parkinf $ 51 use self PARK BLOCK $ 38 . refridgerator room . the good point . friendly staff even face overbooking problem cause staff . place clean . location excellent . 
 Aug 26 2008 	 great experience Allerton 	 husband stay 5 night Allerton great experience , staff nice helpful , upgrade we suite , grand , bed absolutely confortable . the location perfect , middle Magnificent Mile , shop close everything . would definitely reccomend hotel nice stay Chicago . 
 Aug 25 2008 	 Sneaky Nice ... 	 work travel agent settle Allerton price location . read several review mention parking & quot ; hidden & quot ; fee $ 51 per night . also elevator room SMALL . everything indeed way read . opt find parking complaint condition room upgrade double sufficient . basic room would happy onset . big thing anger we go resturant breakfast 2nd day greet waiter pour OJ Coffee never ask want either . bill arrive note pay $ 5 orange juice $ 3 cup coffee ( free around corner 6a-11am~ ! ! ! ! ) overall hotel ok price think look around travel back Chicago . 
 Aug 24 2008 	 great location good amenity 	 Allerton everything expect . location fantastic . major tourist attraction within walk distance . the check - in desk helpful even though arrive early ( 11 am ) , able check go room right away , give we plenty time rest venturing . elevator problem even though lucky enough never wait 5 min . would say avoid check around 5 pm . pretty big elevator bell - man shortage . long avoid busy time , service good elevator sufficient . all , would return another stay , especially since get good deal travelocity . 
 Aug 19 2008 	 Loved Allerton 	 husband stay one classic room . small perfect we . not spend much time room not need / want anything . clean , bed comfortable bathroom fine . lucke room face Michigan Avenue . we ( especially ) enjoy boutique feel hotel . remind european boutique hotel ' ve stay vacation . love fact hotel right downtown easy access everything . staff courteous helpful . we would stay ' ve already recommend hotel friend . 
 Aug 18 2008 	 expect Little will satifie 	 family three ( adult & quot ; tween & quot ; ) stay two hotel Mag Mile previous Chicago trip . , far , least like hotel . first good stuff : superb access Mag Mile , ton shopping , easy access cta bus route , nearby restaurant access tourist attraction . clean . Dislikes : 1 ) difficult check ... make way huge crowd lobby lug stuff second floor.2 ) Bank five elevator one work . six foot five foot ( kidding ! ) elevator accommodate five people luggage.3 ) garbage leave hallway two days.4 ) concierge tell we not look -- ask front desk . front desk refer we non - helpful concierge.5 ) tiny room ... call ahead tell family three . king room recommend . mouth drop open see tiny . hardly room walk around bed place baggage side room . I would not recommend anyone wheelchair -- idea would move around five foot wide hallway . and , unless afford suite , would not recommend family . space relax . right top day walk around city navigate population one Chicago 's big avenue . oh , PS ... know not pool say recommend daily pass nearby health club . um ... health club close month . : ( thank goodness could walk Oak Street beach . 
 Aug 13 2008 	 Adquete trip 	 old hotel situate near north end Magnificent mile . room update not expect huge room mean . hotel nice enough . be coming go call ' prime ' time experience long delay elevator . note : one elevator qualified handicap ready . business traveler able fine one free socket desk provide . additional plug near closet , really miss additional plug near desk . free WiFi hotel ( meet room lobby ) painfully slow . $ 10 / day charge room wire reasonable . one item note . parking per day in / out right $ 51 . unless really specific need highly suggest take cab hotel make use public transport area . the staff present , would not say overly helpful . even 3 pm check time wait additional 30 min room , be ask . opinion stop 4 star hotel . 
 Aug 11 2008 	 great experience Allerton 	 pleasant stay Allerton Aug 4 - 10 . family four , two young child , book specialty suite ( Room 801 ) . size adequate good setup we , separate bedroom . addition , special request – mini fridge add room , tub bathroom pullout couch – fulfil ! tell check fridge currently available ' room 15 minute housekeeping bring one . eighth floor overlook Mag Mile , seven window room include one bathroom , like lot . bathroom large adequate storage space clothe closet drawer room . staff attentive friendly , especially doorman say hi we every time see we . check breeze , ' take long get car valet leave last day . yes , elevator bite funky couple time miss one bit separate other good laugh ' catch door close , wait ' bad except maybe peak time day ( around 5ish everyone hotel tend heading ) . actually since 8th floor couple time leave room simply walk stair instead . attend conference Allerton find food good – although never get room service . would return Allerton , get great rate suite book directly thru hotel . couple time come back room 2ish housekeeping room yet , understand hotel quite full stay know room new guest check day need get priority . 
 Aug 10 2008 	 great location small clean room 	 husband stay overnight trip shopping . hotel locate right Mile . take chance one petite room great price disappoint . small clean appear update . would definitely stay another opportunity great rate . 
 Aug 9 2008 	 experience problem 	 everyone need realize Allerton Hotel old hotel large downtown area . room large unless get suite . like hotel suburb . hotel make improvement nice . cold lemonade afternoon hot coffee morning 2nd floor . bed comfortable linen nice . bathroom large hotel stay door hit knee . find elevator slow small . nice place call Corner Bakery block east south hotel work well b - fast since fast food place inside mall not open 10 am . problem hotel restaurant , expensive breakfast visit would stay area south end michigan ave choice cheap eat . 
 Aug 6 2008 	 new favorite Chicago Hotel 	 ' m write review hotel . ' m conference take place Allerton block room set aside . stay 9 year ago old need update . saw conference would first think & quot ; kid ? & quot ; check Allerton website see entire place completely redesign . still not 100 % sure picture outside well thought would give try . ' m really glad . hotel boutique hotel feel without snotty attitude one find hotel genre . clean , new lobby , bar , restaurant room . room still small ( ) - fine - bed comfortable bath roomy . staff - really mean - friendly helpful . go way make sure comfortable , heat milk coffee help reservation . food great ! highly recommend ! 
 Aug 6 2008 	 Great Place ! ! ! 	 find great deal read review little apprehensive staying . ' m glad decide stick everything exceed expectation . the location beyond perfect ! ! staff helpful . we read small room decide get king suite top floor amazing ! ! ! ( photo include ) . request fridge bring one soon one available . love ! ! ! can not wait go back try get room . note : try add 3 photo will not let ... want see room let know ! 
 Jul 29 2008 	 have ask see room first ! 	 plan 3 night stay : request king size bed , high floor possible & amp ; near sister & amp ; brother law travel we . arrive , bellman helpful , direct we elevator would take we reservation desk . tell room not ready sister . check back hour later still not ready , , floor sister , even close ! avoid room 1011 cost , queen bed hardly walk around . night coul not get past husband foot without hit radiator foot bed . ever lay room redesign measure room well . request thing like remote control TV , clock room extra towel , appear inconvience staff , request thing ? try stay , least room 1011 . would nice 1 person . bathroom large moldy smell . 
 Jul 29 2008 	 pleasant accommodate staff 	 stay Collette tour group ( great tour Barbara Fred ) check check . find room small . bed comfortable . in bathroom , one small shelf counter space . two woman travel together , inconvenience . location great . LOVED Millennium Park . must see & quot ; bean & quot ; Crown Fountain , change color picture -- beautiful . local tour guide mention park good sound system world concert right . stay Gershwin concert amazed . also , Wendella boat trip include river lake great . find Chicago beautiful hardly litter . people Chicago also helpful tourist . ask gentlemen direction notice minute later borrow bicycle catch we redefine direction -- amazing . folk hotel also helpful . thank Jon ( doorman ) recommendate Park Grille Park Tyrone front desk staff good service , folk dining room run first - class operation . buffet breakfast , superb manage well . also eat Gino 's East , enjoy Chicago Pizza . ready wait hour deep dish pizza . ask concierge coupon free bread stick , good fill void pizza come . elevator never concern we , careful get service elevator . good experience hotel truly love Chicago . 
 Jul 28 2008 	 Ignore whiner 	 husband book we weekend get line read review little apprehensive . need ; ignore whiner . room large tiny either . nice decor . clean . great location . nice linen bath product . great view . staff helpful . price place good part . 's love ? Corner Bakery Starbucks step away ice bucket room , be need coffeemaker fridge . important item stay chain like Hyatt Hilton leave interesting place people like . 
 Jul 21 2008 	 right weekend . 	 would recommend Allerton Magnificent Mile explorer . convienient location walker Mich. Ave . Millenium Park , good price . clean , tidy , small . Suite , original style hotel room . refrig . coffee maker . problem Mich. Ave . , ... weekend . 
 Jul 13 2008 	 air room Mid - July 	 first ask two bed king , say not , go room key ; work . elevator slowest . say could king $ 30.00 upgrade agreede go room . it little hot room turn control go . come back room still hot . call send maintenance work hour , say would cooler , ; call total four time never fix . need part not , 400 room not part control air temp . 3 day would take $ 30.00 charge room per day . since book Hotwire could not take room charge . advice not pick place 
 Jul 10 2008 	 quaint hotel 	 hotel pleasant surprise . much tradition fine & quot ; old & quot ; hotel . room well appoint albiet small , bed comfortable room , bathroom & amp ; ammenitie top notch . elevator topic conversation previous review adequate traffic . course peak time wait .... 's little inconvenience humble opinion major catastrophy . one issue charge $ 10 per day & quot ; room & quot ; internet access quick point free WIFI reception area ... little tacky taste . good , price MUCH well comparable hotel area ! 
 Jul 8 2008 	 good location . 	 ' ve always want visit Chicago book 4 night stay Travelocity . site , read review hotel decide try . stay Junior Suite , spacious comfortible . entire staff helpful provide we good advise transportation around town . would definitely stay again . if sensitive mosquito , open window . want fresh air find mosquito abound time year . mention staff immediately send housekeeping spray window area . the Allerton perfectly situate Mircle Mile close El train , bus , cab . be quite easy take Blue Line train O'Hara airport Clark catch cab hotel . also buy 3 day transit pass explore city easily . 
 Jul 6 2008 	 wonderful 	 great hotel . location perfect easy access magnificent mile , Navy Pier , river walk , Lincoln Park , etc . seem like minute everything want need . renovation appear almost completely finish , except mini - bar instal yet . room clean , bed nice , large bathroom ( King size room ) . although elevator small , 6 they … ' ever 2 - 3 minute wait top . Valet parking perfect . $ 51 day in - out roll 6 p.m. Front desk friendly helpful , everyone else talk work place . also notice hotel airline use put crew long layover . quite , although quite pack July 4th . ' definitely stay opportunity arise . 
 Jul 6 2008 	 great price perfect location . 	 book 2 night stay Allerton website get king bed room $ 130 / night . would suggest fly possible parking $ 51 / day . ( downtown Chicago hotel crazy parking fee ) 1 . great location - right front Crate Barrel Michigan Ave . seriously , price can not beat location.2 . water pressure - good , old hotel.3 . Decor nice hotel clean.4 . yes , folk elevator slow hit miss.5 . new fitness center new equipment 25th floor view city . 6 . easy check check - able check 9 am flight early request it.7 . big downfall hotel fact hear everything go hallway neighbor room . dumb guy talk cell phone hallway 3 be open door tell shut hear every word say . frustrating part all.8 . hotel restaurant expensive worth price . check bice italian place right street fantastic reasonably price . overall - would certainly stay day . walgreen 2 block away worried snack pop . 
 Jul 5 2008 	 Nice Location everything else suck ! ! ! 	 good news : location save grace hotel . locate magnifiient mile area , awesome . now BAD news : everything else hotel suck . room BOXY hell . small room ever live . bathroom & amp ; elevator TINY heck entrance . room service / maintenance EXTREMELY slow actually respond . even give amenity mention brochure . suppose safe none actual room give we . complain , refuse even look , ofcourse do not time keep follow , mean see enjoy city , keep follow fight management . heck even internet access free . do not put new soap shampoo unless ask front desk room service staff actually so . an yeah . FORGET get kind view even though good location . room , VIEW ( unless consider view dumpster view ) .Oh forget . water shower run SHOWER . never see happen even 2 3 star hotel . bottom line : nice location , would recommend place . 
 Jul 1 2008 	 Fantastic 	 return 7 day stay = FANTASTIC ( frame reference - I ' m particular , well , everything ) . stayed 14th flr King Jr. Suite ( 350 sq ft . ) . separate bedrm & amp ; sit rm , tv , sofa sit rm sofa bed , plenty closet / drawer space , decent size bathrm , lg shower , lg desk w/ comfortable chair . good space couple ( comfortable , spend 1 whole rainy day rm relax ) . excellent location , courteous staff , nice view window ( think true majority building ) , good water pressure , unlimited hot water , good sound proof ( hear other adjacent rm ) , carpet / linen / decorate fresh & amp ; seem recently update , clean around hotel , in - rm housekeeping great , locate top flr adequate gym w/ good equipment ( check view ) . problem = in - rm safe attach anything , could walk away w/ whole thing . regard elevator complaint make other - find slow check in / out time . would prefer in - rm mini - frig , know book not one . price - could spend less area , will get pay . good meal whole trip - bijan cafe block away - weekend brunch french toast would travel FL IL ! 
 Jun 30 2008 	 ok stay 	 boyfriend stay Allerton May 2008 upon recommendation family . find Allerton suit basic need reasonably - price , safe , clean centrally - locate hotel . see , though , reviewer disappoint , especially pay expect above - average stay . our positive : could ask well location . hotel amongst various luxury boutique along Michigan Avenue block away Hancock Observatory . also find quite easy access Loop hotel within walk distance two El Train stop along red line . appreciate hotel quiet evening , even bustle Michigan Avenue outside window . room clean , staff courteous . our negative : heed early warning small room book & quot ; standard & quot ; room rather & quot ; petite . & quot ; unfortunately , still find room unbelievably small ; almost comical . like reviewer , also bit confused various set elevator hotel , one occasion , wait nearly 10 min lift arrive floor take we lobby . finally , last day , receive several reminder check - out , include knock door 8 a.m. someone deliver bill stay . again , boyfriend basic expectation hotel , thus willing overlook negative stay Allerton 's great location price ( pay $ 128 / night ) . would recommend hotel , however , look romantic getaway , luxurious boutique . 
 Jun 22 2008 	 Fabulous Location Great Price 	 reading review Trip Advisor , bit skeptical property . however rate obtain Hotwire ( $ 139 / not ) good pass . not know negative comment come . issue whatsoever elevator . always quick arrive . yes , room small , expect . one person perfect . renovate tastefully decorate . marble bathroom nice sized shower great water pressure amenity La Occitane . location can not beat room overlook Michigan Ave . not know well buy Magnificent Mile . 
 Jun 22 2008 	 eh ... good 	 vending machine , limited hour restaurant room service . go grocery store heading room get hungry middle night , will not get help hotel . 
 Jun 12 2008 	 ok short stay 	 book room hotel website receive & quot ; special web rate & quot ; , 15 % . well rate could find hotel website . location excellent GREAT part town . one night , literally room awake 1 hour . room TINY ! ! know one person stay & quot ; petite suite & quot ; . guess 's call petite . elevator little slow , nothing really complain . check breeze concierge great suggestion dinner . , single woman , walk Chicago street Red line train stop back hotel 11:00 pm feel completely safe . still hundred people street . , good place stay long not plan staying room long . be small . bathroom also tiny . everything clean , though bed really comfortable . price , worth compare price hotel near Magnificent Mile . 
 Jun 2 2008 	 mixed feeling 	 afraid stay , base review read . say experience overall good . think owner hotel know 's good location , people overlook 's shortcoming , serious . starter , front desk employee need get rid attitude . supose tired receive many complaint , little power fix thing . also , din room depress , surprised decorator think invite . wonder always empty ! ! ! ! ! elevator , first find funny , couple ride , story different . now , good stuff . LOCATION ! ! ! much add . entrance foot Michigan Avenue , perfect place start shop spree ! . money save stay ( coz price low ! ! ) extend stay . bed comfy ! ! yes , room ( ) small , , wonderful city like Chicago , would want spend long hour hotel ? Soaps L'Occitane .. nice , long visit Chicago Art Instiitute , would certainly appreciate bath long shower . 
 May 23 2008 	 SOOO Small Dark 	 hotel undergo major construction neglect mention call reservation . also neglect mention one elevator working room big 12 year old 's closet . they not tell coffeemaker room Minimal shelf space bathroom barely enough space turn around ... ' m exaggerate . shade break . full size bed stretch twin well . they forget & quot ; remind & quot ; business center advertise . fax , computer , hotspot ... nothing . good ... front desk clerk nice enough print boarding pass could get h * outta . also , tv flat screen nice sooo close mile convienent walk away forget horrible room . 
 May 20 2008 	 pleasantly surprised 	 stay two night business . worried reading review , pleasantly surprised . room big , perfect one person couple short stay . recently remodelle : like style bed comfortable . position great , right middle Miracle Mile . building 's architecture beautiful . the issue elevator : sometimes short wait two elevator available guest . 
 may 19 2008 	 Hated Allerton 	 friend meet Chicago ask room close ( book 5 month advance ) . get room one floor another . lovely room overlook appear prison yard . ice machine ice bucket ? room card key would work would call security let . four day happen daily . give incorrect direction boat tour concierge aloof attitude . small coffee service lobby table small everyone spill . grand piano take space . place look great internet take beautiful old gem try make modern paint ( dark gray green tinge ) dining room . entry hotel smell like sewer would put elevator service could not even bother put sign ! food suck , order granola put milk ! needless say , soggy city waiter annoy not opt buffet tip would go up . oh , last night sit chair try put window air top pop hit head . thank , need ! send hotel response satisfaction survey get back standard blah blah blah e - mail . could care less ! 
 May 17 2008 	 good experience overa 	 reading review , nervous would find arrive Chicago , pleasantly surprised . know expect small room slow elevator , , neither vacation ruiner . book room one double bed , though bed least queen size . small room , sufficient little time actually . view not much , big deal . staff , would read rude helpful , seem polite willing please . elevator slow little screwy , never wait minute . complaint , noise level hallway room could high time ( wall seem awfully thin ) , part seem like guest respectful regard . would stay next time be Chicago ! 
