not 	 stay 1:30 a.m. one night , stress hotel ( cost ! ) especially worry review place whether could find affordable , centrally locate , nice hotel London . wish go bed early night , hotel fine . not grand- simple , small , clean place sleep . not awful , either . would book ? yeah , probably price right . however , would not go way book either . LOCATION- would not say & quot ; centrally & quot ; located- maybe walkable Kensington Palace , be . however , 7 minute walk two different tube stop ( district , central cirlce line ) , be really matter London . breakfast- purchase Veneer breakfast include price- would ' ve extra 8 pound . , instead , stop Spar near tube stop purchase banana cereal bar . much cheaper allow we get go pace . SIZE / AMENITIES- stay room 37 . small- be american , imagine typical guest bedroom bath . however , personally not care large room 'cause active siteseeing . room include nice large hair dryer , shirt press , hot water pot instant coffee tea , large closet safe . tv cable , 5 station ... , not matter we , might other . BATHROOM- Decent size , deep tub . really bad shower pressure . tile loose floor . include lot counter space towel warm . STAFF- always seem nice enough . problem , not go way super kind anything , either . let we leave bag & quot ; luggage area & quot ; arrive early a.m. check time . luggage area really open shelf . worried hubby first first put belonging , get back later evening , luggage shelf full noone tamper luggage . NEIGHBORHOOD- street Tube exit / entrance bustling area lot food shopping . restaurant obviously gear toward tourist , unique spot , include authentic Chinese Mediterranean . be also indoor mall , mark big & quot ; W & quot ; outside near Bayswater Tube station also notice consignment shop , discover late visit . ... be late read super worried accomodation ... book ! 
 Oct 20 2008 	 Recommend Byron 	 Hotel clean comfortable , polite & amp ; friendly staff . not try tv . shower good , bathroom clean . it good location , 10 min stroll near tube Queensway . local Kensington park & amp ; palace . street fairly quiet pleasant . not try restaurant breakfast can not comment . prefer walk near cafe nero get fresh air breakfast . we walk Notting Hill & amp ; Portabello Road Hotel . get tube back ! would recommend hotel friend anyone else . fact recommend friend . price vary depend book . cost we £ 216 2 night twin room , think reasonable consider close centre . 
 Oct 18 2008 	 good deal reasonable price 	 spend four night Byron Hotel early October . first two night , stay double room friend . last two , stay alone single room . the double room wonderful , clean tidy . though smallish , cleanliness make we feel comfortable . modern flat screen tv well . basic need like towel , shampoo , shower gel cater . room face back street , absolutely noise night ! single room equally clean tidy . face street , little traffic noise night . air - conditioning strong enough keep window shut . also electric kettle room quite nice surprise ! ! whole , room comfortable . pay 70 pound per night , think reasonable deal ! staff meet friendly helpful . stay , noticed lot hotel nearby read review ... really glad choose Byron Hotel . need go , will stay ! 
 Oct 7 2008 	 Super friendly staff 	 start holiday London , stay Byron Hotel , Bayswater . reasonably price hotel close bayswater station Hyde Park , area safe walk evening , lot people . staff friendly helpful throughout stay , room clean comfortable . dine recommend restaurant - Khan 's -and thoroughly enjoy . would stay . 
 Oct 1 2008 	 good value old word flair modern clean 	 Three we stay Byron three night September would recommend anyone . safe neighbourhood , ' old world ' air completely modernise . ' guy ' front desk exceptionally friendly helpful . main bus line near Tube Station . 's exceptional value . 
 Sep 28 2008 	 great little hotel 	 spend week London , stay Byron Hotel , have see good review couple web site , include Tripadvisor . confirm spotlessly clean recently fully renovate hotel .. great place get home sight seeing day . room smallish tastefully furnish include flat screen tv wall . noise room almost nil , tho keep window open , get cool air room get stuffy night , let lot street noise till midnight . location superb .. two short block bayswater Tube station block neat cafe shop , door away Hyde park . desk staff unfailingly pleasant helpful , make we feel welcome ... 96 pound night . hear major deal London . 
 Sep 28 2008 	 Convenient stay one night 	 stay one night Byron base positive review site 's location Paddington Rail Station . hotel quiet street close Kensington Gardens within 5 minute walk shop , small restaurant , Queensway Bayswater tube station . definitely take taxi Paddington heavy luggage , due lack elevator tube station ! hotel , prepared leave luggage arrive early morning , room ready 2:00pm . double room small clean comfortable . would bit small we stay one night , however . bathroom fairly small , also clean , despite bit musty smell . shower nice . also small flat screened tv air conditioning room . front desk staff always friendly helpul . overall , Byron good choice short stay area quiet , also close transportation option city . 
 Sep 26 2008 	 Good Value 	 ideal location West end theatre yet away hustle & amp ; bustle . location close Kensington Gardens /Palace Queensway subway great . we receive friendly welcome arrival service explain simply efficiently . staff courteous friendly . room compact clean double & amp ; single bed . breakfast good also . I would recommend Byron good location offer excellent value money . 
 Sep 24 2008 	 good value well locate comfy hotel 	 stay budget cost honeymoon . good location 3 tube station close lot hotel shop near too . room small , adequate clean . eat book room deal excellent value . we would stay sure . 
 Sep 21 2008 	 Byron Hotel ( London ) Aussie break 	 read review Trip Advisor must relate hotel refurbish - disregard . company certainly upgrade property . stay dad buy country NSW ( Australia ) visit London place England . good stay . front desk staff excellent lady run restaurant lovely friendly . aside , full english breakfast quite ample , dad farmer & quot ; put away & quot ; never leave hungry disappointed . first day know be not go eat mushroom - confirm morning order ( nice touch ) . room stay ( twin ) large enough London standard . thing would say London time year strangely warm , therefore room quite hot evening . come Australia , may find room small , upon arrive would find everything country small . room ( London ) comparative price quite good . tip planning , call hotel rate . desk man 24 hrs day , call Aust , always someone answer phone . also 50 m Hyde Park ( lovely ) , short walk tube station , £ 4.50 cab ride Paddington station arrive Heathrow Express train ( Heathrow ) . break 10 min walk - bag heavy . would definitely choose property other stay . 
 Sep 15 2008 	 lovely relax stay 	 stay week end 11th sept 2008.We ask quiet room air conditioning exactly get . the whole hotel recently redecorate refurbish , beautiful . there lift floor .Our double room rear quiet , comfortable . the bathroom clean keep clean new towel daily . the staff friendly helpful ........................................................................... excellent optional breakfast serve modern mezzonine dining room , keep clean time , staff clear away use crockery soon table become vacant laying ready . the hotel quiet terrace , yet conveniently locate hundred yard Bayswater High Street & amp ; shop , Hyde Park three quater mile Oxford St shop direct bus end road . there plenty restaurant area require underground .............. next time go London break , shall trawl way hotel website customer review , find Byron Hotel . 
 Sep 7 2008 	 Beatiful hotel 	 simple perfect . room clean confortable . good position London , 2 min tube go easily everywhere visit city . excellent ! 
 Aug 17 2008 	 safe bet 	 first trip London - work trip small budget . fly solo , hear many negative report expense standard London accom , apprehensive say least . breathe huge sigh relief upon walk room Byron . small , tiny , well appoint clean . pretty much everything want . hotel secure [ guest hand room key leave , pick way - front desk attend 24 hrs per day ] . staff friendly helpful , location great -- 2 tube station nearby , load food option . would recommend Byron anyone want blow budget accom second . 
 Aug 9 2008 	 Cozy comfortable - great staff 	 Booked hotel initially online site , try ask question regard room , unable contact human either phone email online booking agency site use list customer service phone email number people US . finally call hotel directly find expect we . Byron staff say unusual receive notice arrival online booking agency , since would follow week . make we bit anxious . long story short : cancel original reservation credit card payment denial ( already receive hotel bill credit card prior leave US trip ) . book room directly hotel even give well rate one originally online site . place comfortable , air condition , smallish room , clean , nicely decorate . everything work . traditional breakfast good ( ' ve get like baked bean , egg meat ) . service good . location great , close Kensington garden , lovely place go jog every morning . hotel Bayswater , conveniently locate near underground stop commercial street full ethnic restaurant , store , even mall movie theater . staff helpful courteous , especially Syed . would recommend Byron anyone , especially traveler budget . good value . 
 Aug 4 2008 	 Byron fantastic ! 	 16 year old daughter stay Byron July 2008 celebrate Sweet 16 , make great choice . terrific hotel amazing staff . night desk crew Syed , Ali Martin nice . really interested do day give we great advice place go thing ! Byron locate literally two block Queensway Tube station Bayswater Tube station block little road . ( two different train line ) Tube efficient subway system ' ve ever use . run well , train run constantly , miss one , not worry , another one come 1 - 2 minute . train clean people civilised . man would stand give seat train quiet , people read etc .. delightful treat , use train extensively , good way get around . buy individual train ticket , expensive way travel . Buy & quot ; travel card & quot ; & quot ; Oyster card & quot ; 's cheap way .. 5 day not sure have travel first buy 3 day travel card we work great end 1 day travel card per day . allow unlimited use train bus restiction time travel . use train bus constantly ! ! live suburb Long Island never travel way pro 's subway system within hour use , 's easy use ! ! area around Byron safe Queensway & quot ; High Street & quot ; mean main street area London fill restaurant , souvenir shop , etc . block Tube station . eat restaurtant call La Cabana past Queensway Tube Station ( side street ) nice food yummy . Spagetti Bolognese . end Queensway & quot ; High Street & quot ; mall call Whitleys , store , restaurant small market buy prepackaged sandwich etc . terrific . laundry across street Sunday morning , one place open 11 . travel onto Paris week go home . take Eurostar train problem Paris St. Pancras Station . Kensington Park Kensington Palace ( Princess Diana live ) 5 minute walk across street Tube Station . recommend high Tea Orangerie Kensington Palace . nice would not want high tea princess live ? internet cafe Bayswater Road , main road Byron Hotel street call Royal Bayswater Hotel , really youth hostel , computer great cost 1.50 GBP ( $ 3.00 US ) 75 minute internet , use within 24 hour though . still great deal easy way keep touch family back home USA . Byron Hotel great choice , room , # 29 twin bed 3rd floor , small elevator , enough room 2 adult 2 pice luggage . room overlook quiet courtyard , back onto garden private home . thankfully scorch hot a / c strong room shut . understand , sense waste electricity , really hot personally would uncomfortable room temperature . the bathroom good size bathtub / shower . water hot pressure great . plenty outlet charge camera , IPODS etc , remember bring adaptor , would bring one adaptor per electrical item way charge time , bring one woke night switch next thing could charge . adaptor cheap maybe $ 3.00 US worth one per item . we hotel breakfast good , 7.95 GBP per person , $ 16.00 US pp couple egg , bacon , tea toast . buffet Continental Breakfast food item , like can fruit salad , cold meat cheese , roll juice etc choose include price . food fine bit expensive . make small sandwich cold cut roll eat lunch , work well . London expensive place though prepare . hotel recently renovate really nice clean . girl serve breakfast also girl make room , work really hard sweet . room good size desk deep drawer store clothe closet shelf . there tea kettle tea / coffee stuff make tea need desk drawer . safe closet set combination , really helpful . use everyday . daughter love everything Byron would highly recommend everyone . tell travel agent recommend without hesitation . reasonable price ideally locate , could ask ! ? ! 
 Aug 3 2008 	 small hotel great location London 	 Byron Hotel offer we wonderful place rest recuperate end day 's sightseeing London . Staff greet we arrival long flight Australia make sure able access room soon possible . room light airy meticulously clean . update bathroom provide welcome hot shower . decor hotel akin take step back time , refreshing change bland style modern hotel . definitely book hotel next visit London . Cheryl Ed Wilson 
 Jul 23 2008 	 Convenient Good Value 	 stay Byron whilst London business pleasure . great location , good value ( London ) excellent friendly staff . mention room bit small , book somewhere sleep bed comfortable . good selection tv channel ; one extra thing would like expect 4 star would tea coffee make facility . in summary , would certainly recommend Byron doubt back next time schedule take London . 
 Jul 23 2008 	 Wekend Byron ... 	 girlfriend stay Byron long weekend . convenient location ... near Paddington station ... perfect travel airport ... anywhere else . hotel tuck away quiet street , block away resturant , shop pub . staff friendly helpful . also help we book tour . room small expect , hotel expensive London . Byron worth every penny ... 
 Jul 21 2008 	 nice quiet 	 hotel pleasant situate calm area Bayswater . like big fancy hotel not pick one , like , prefer nice quiet place , definitly pick Byron . staff really nice helpful girl restaurang ( think serve breakfast ) sweet effecient nice start day take lift breakfastroom . room big , fact quite small , least one stay . 2 adult 2 suitcase not much free space leave big nice bed nice bathroom quite alright . small room nice bathroom perfectly alright sightseeing day stay room watch tv sleep . would certainly recommend fellow traveller stay Byron . room small yes staff nice helpful . least 3 subwaystation relatively short walking distance hotel . also lot bus ( never try go bus though ) absolutely problem get hotel center London wherever want go . next time go London , go , would gladly stay Byron hotel . 
 Jul 18 2008 	 perfect look clean bed / bath 	 good location , staff friendly , room bath clean , sleep well , not want stay room awake 
 Jul 16 2008 	 cheap chearful 	 two friend stay triple room hotel find meet need perfectly . want clean comfortable place bace ouselve hotel ideal . bathroom recently refurbish bed clean comfortable . carpet real fault could find , make - up stain apart room nice , fairly decent size aswel . supply clean towel bed make daily . arrival ask pay room , though little bit line , consider even see room yet . already credit card detail booking thought could trust would pay departure . booking ask would like reserve table breakfast morning , friend enquire cover room charge tell breakfast include , even though clearly mark booking page website price include breakfast taxis charge .... word advice , book room online , print page say price include breakfast charge avoid situation like . , find nice hotel convenient location get pay ... cheap , clean , convenient location be look hotel perfect , luxury be look , try somewhere else 
 Jul 13 2008 	 lovely hotel good english breakfast 	 stay two night along two daugter mother . staff attentive penthouse room consist double bedroom separate lounge house sofa bed table chair , clean comfortable . great return UK 4 yrs away lovely english cook breakfast . definately recomende hotel family friend . know room London small adequate space several large suitcase build wardrobe complete safe . lot valuble information reception staff not experience negative thing people comment . stay 4 star Singapore yes room big comfortable . see Byron Hotel ! ! ! 
 Jul 12 2008 	 Byron Good Honest Hotel 	 great find hotel live web site publicity . room - one last available hotel - perfect . well heat window open , clean , pleasant decor , comfortable bed clean fresh linen . staff genuinely helpful friendly recommend breakfast . big thank . 
 Jul 9 2008 	 nice cosy little hotel 	 nice , help staff , preemptively think give fitting room daugther . small room , clean nice . 
 Jun 11 2008 	 nice price ! 	 move hotel stay another one area , 10 pound difference ( rate 80 pound night ) , quite huge upgrade ! stay Room 18 , name & quot ; Gayhurst & quot ; . yes , be small every room ' ve stay London small . closet least . love bright , clean , modern room bathroom . renovation not much disturbance . not breakfast 's close Queensway , everything ! complaint satellite tv not pick many channel , usually BBC1 , occasion channel available never three four . ( hotel stay area problem . maybe London not ideal town satellite reception , cloudy weather ? ) case , would much preferred regular basic local channel instead flaky satellite reception . find front desk friendly helpful part , one night beep sound night call told & quot ; maybe be neighbour charge laptop & quot ; . whatever , complain morning fix . suspect satellite die smoke alarm battery , case one bad night 's sleep . also , A / c ok strong . otherwise , pleasantly delighted hotel would definitely stay . great location ! 
 Jun 8 2008 	 ok hotel expensive 	 clean room , hotel inder renovertion . it sad , hotel state homepage breakfeast inclue , come , ask 16 pond per day . 
 Jun 7 2008 	 Canadians impressed ! 	 bit weary book hotel read review however , pleasantly surprised relieve even though room tiny , expect , clean bathroom A1 condition . hotel slowly undergo renovation right interfere stay . sure hotel look fabulous complete . location excellent - near Queensway Tube Station Bayswater Tube Station - lot store restaurant nearby whch plus . would definitely stay . recommend . 
 may 30 2008 	 Disappointed misleading well less $ 	 not waste money . everything London expensive , hotel would worth price matter location currency . advertising link website Tripadvisor misleading , border propaganda ( Orbitz , etc ) . picture misleading , reflective reality . room ridiculously small ( even Europe , travel lot ) . enough room 2 adult stand floor time- one us bed want walk bathroom . absolutely place put 2 average sized suitcase , except floor , limited walking .. dresser , one small amoire , 12 & quot ; closet bar , drawer . tv mount wall , good thing , place put . bathroom ok ; clean , towel heater , ventilation , small towel .. hotel undergo construction / renovation . lobby - just front desk . furniture . continental breakfast ( advertised ) , lounge , community room , nothing . carpeting pull hallway- padding floor . smell paint fume , entire stay . never see painter workman . location adequate . street multiple small hotel , multi - ethnic neighborhood . convenient Tube . two block west major business street many restaurant , include chinese , Thai , indian , lebanese , italian , russian , Pubs . also many ( cheap ) tourist store . fantastic neighborhood , never feel unsafe , even late night . one block south Hyde Park . many bus , taxi , even Red Double Decker Tourist Bus stop nearby . no concierge service , front desk helpful , never get wakeup call . all , place sleep , nothing else . well , less money 
 May 26 2008 	 terrible disappointment 	 problem begin enter hotel . unbeknownst we , undergo construction lobby complete chaos . take money entire week immediately . , would left hotel find lodging . the hotel website say continental breakfast include price . rudely tell free breakfast part package cost would $ 15 per day per person continental breakfast . first surprise . the hotel website say conconcierge service . ask might go dinner tell busy street two block away able find something like . conconcierge service . the hotel website say hotel charming . define charming tiny room two foot either side bed , closet , drawer space cozy , place ! much extra space give armoire hold clothe hang . this hotel comparable cheap tourist hotel NY City would run $ 100 per night . problem hotel advertise fairly Byron website exagerate situation . we strongly consider give money pay find another hotel . bad . 
 may 11 2008 	 would stay without second thought ! ! ! ( Greece ) 	 stay 5 night 15th till 21st April . hotel room bit small , clean , hot , bathroom brand new since restoration go . staff polite helpfull whenever need . Breakfast ok , milk , cerial , bread jam , coffee , juice , tea yogurt , ham cheese ... mean else would need ! ! ! ! ! fantastic location iwth 2 tube station within less 3 min walking , kind store around , restaurant shopping center , pharmacist , coffee shop take away . good next hide park enjoy morning coffee walk start wonder around London .. happy condition hotel everythiong seem perfect ... 
 May 9 2008 	 surprise 	 Byron Hotel London . lovely surprise . I travel son London need overnight accommodation . book hotel read good review not disappoint . arrive morning although could not check 2 pm receptionist pleasant obliging allow we leave bag reception room ready . hotel obviously undergo refurbishment present hall public area process decorate carpet replace . room allocate lovely . spotlessly clean furnishing good standard . could not believe pay £ 59 night standard . pay almost double hotel London sadly disappoint . definitely stay would recommend anyone . not breakfast can not comment food . the location also good , approx 5 min . walk away either Queensway Bayswater tube station , enable easy access part London . 
 Apr 28 2008 	 fine renovation fine . 	 decent , basic hotel price . staff helpful good . not expect Ritz , basic hotel room bed , bathroom shower safe , clean fine . hallway currently revamp little dusty right start shape look pretty nice . staff great great location ! walk distance good restaurant right across street Kensington Park ( amazing ! ) also close tube ( 1 block ) . would stay not stay hotel room , will busy check site ! ! read review floor dirty etc . honestly , clean basic exactly thought would . 
 Apr 25 2008 	 welcome sanctuary queen park hotel next door 	 Booked Queens Park Hotel next door find dirty dump ( allegedly 3star ! ! ) . retreat Byron different league , understand could lower star rating . staff friendly , receptionist waitress . could not enough , even arrange cheap taxi we get train station . hotel clean throughout comfortable . great location , short bus ride Oxford Street bus Stansted Airport stop road . enjoyable stay rescue holiday disaster ( birthday treat friend ) could remain Queens Park hotel . highly recommend ! 
 Mar 22 2008 	 great value 	 Nice hotel god value money . the room small , clean bright . the bathrom nice white tile hot water ; ) 
 Mar 18 2008 	 Good Value 	 group we stay Byron find hotel spotless , staff helpful , breakfast fine . room small well lay . tube station close plenty shop , pub place eat within five minute walk . area also nice feel safe . 
 Mar 18 2008 	 by - wrong hotel 	 friend book room hotel base review . high rating beyond . hotel really overprice , room small , bathroom could certainly fix - up hate use key card control electrical power room . hotel form card use never nuisance use . creaky floor , buzzy noises light nasty bathroom turn - off stay place . the ideal thing hotel location . good central . 
 Mar 8 2008 	 please avoid ! ! ! ! 	 stay hotel friend . disappointment ! ! ! certainly recommend hotel Byron anyone ! choose hotel read good comment internet . mistake ! ! ! ! 2 couple friend room dirty blanket bed – one even blood stain ! ! ! disgusting ! bed not even make properly : blanket pull top sheet still crease . moreover , lady serve breakfast impolite quite agressive we . she forbid we sit together although not need move table that . the second morning , decide sit together anyway « lady » start shout we ! ! ! unbelievable ! ! ! ! ! ! place PLACE GO ! ! ! really disappoint spoil quite lot much await week - end London . 
 Mar 8 2008 	 Good Quality 	 two we stay hotel 3 night good base explore London . there Tube station less 5 minute away really good . the room get huge , large enough we comfortable . the breakfast ok - traditional english breakfast , fruit juice , cereal , tea coffee available . the staff hotel friendly helpful . the area ok , encounter problem walk around night . negative point - thing could find fault want leave luggage hotel checking , place secure location . be simply leave hallway access guest - comfortable leave luggage there . all thing consider Byron good choice visit London . would hesitation stay . 
 Feb 27 2008 	 Byron well 	 book hotel base review say thank God site never let us , review spot , well do trip adviser ! return four night stay triple room , sometimes two adult child , child get put bed , child 15yr get three proper single bed delight . room big enough , clean good sized television tea coffee facility . ensuite spotless newly tile . the buffet breakfast include need set we busy sightseeing day . the staff friendly helpful . as say location super , lot restaurant near three tube station easy walk distance , enjoyed walk Hyde Park . do not hesitate book , clean , comfortable reasonable price stay . 
 Feb 23 2008 	 London trip 	 get great deal-£150 3 night 2 people include breakfast . comfy room twin bed , kettle etc , tv , good sized bathroom plenty wardrobe space- expect London tourist type hotel . continental breakfast include , full english extra 8 quid want . great staff - very helpful - find direction we obscure venue have book . hotel close Queensway / bayswater tube station really convenient visit main London attraction . load really good cheap place eat easy walk distance - and always Rowley leigh new restaurant Cafe Anglais ( Whiteleys . ) want something special . good choice couple /family use base London trip 
 Feb 18 2008 	 great budget hotel London ! 	 book Byron Hotel 5 night triple February & quot ; 08 . right price part flight / hotel package Travelocity , review good . three female friend mid - late 30 's girl escape . hotel great ! cheap cheerful clean , pristine bathroom - wc separate shower / tub , convenient . nice flat - screen tv wall - mount . Desk mirror hair dryer ( great not bring , plus converter / adapter ) .The hotel safe location Kennsington garden . 's 5 minute walk two different Tube stop ( bayswater circle / district line Queensway central line ) , get anywhere . feel safe walking around night . the Queensway high street boast tacky souveni shop near Tube , within 3 block , 's bowling / ice rink , nice mall , lot good restaurant , boot ( open till midnight ) , couple market , lot stuff might need . 's good Bella Italia location really good chinese restaurant ( Hong Kong something ) .and breakfast perfect ! & quot ; continental & quot ; breakfast include package price consist cereal , roll , croissant , ham and/or pastrami , cheese , yogurt , fresh fruit , juice , milk , coffee , tea toast . keep we go morning , save we least 3 pound per day . the staff helpful ; room clean small ; location excellent . would stay heartbeat ! 
 Feb 17 2008 	 will back ! 	 partner spend three night Byron February . read review prepare small room . however , pleasantly surprised room charm everything need . slight problem towel arrive , quickly politely resolve . welcome receive warm friendly , staff helpful . reservation service receive breakfast . girl serve seem averse remove dirty plate , concentrate mainly see everyone happy coffee toast quota . massive problem , one fascinated , rather annoy we . a little staff training would not go amiss . however , not let small detail put stay Byron would definitely return . Cosy , quiet , welcome clean . love ! 
 Feb 14 2008 	 great location good value 	 notwithstanding excellent review website , rather sceptical beforehand , particularly last hotel experience big city . however , Byron soon bring we around : professional receptionist , small nice clean en suite room excellent breakfast next day ( cereal , fruit , yoghurt , bun croissant , toast , juice ) . take beside good location next Kensington Park 3 tube station affordable price pay , definitely come back next time stay London . two small remark : room ( nr . 4 ) breakfast room , 7 a.m. could hear foot head bed bit soft . btw : book line via travel agent ( d - reizen ) far cheap deal hotel . 
 Feb 13 2008 	 great value 	 get back five - day trip London . book triple , consist two twin plus rollaway bed . take rollaway fine . also sleep earplug not hear thing sleep great night , really , quiet hotel . room small , hang hotel room London ? 's sleep washing . enough say . nice , clean ensuite bathroom . bring washcloth . breakfast include consist tea toast , bar salami , ham cheese , croissant roll , bowl cereal mueslix , yogurt , pitcher milk juice , bowl slice peach fruit cocktail . save good bit eat breakfast hotel day . the staff nice , location convenient Queensway , bayswater Notting Hill Gate tube stop . everything need Queensway High Street - Whiteley 's mall , Tesco 's , boot ton ethnic restaurant . internet cafe nearby . 
 Feb 6 2008 	 Guys Norway 	 overall happy stay . we get blanket bed cover . make we little cold night . would prefer something thick , like duvet . food nice , room bath tidy . 
 Jan 18 2008 	 Teeny tiny boring 	 call , Boring Hotel . 's much hotel like over - price B & amp ; b . tiny basement -former broom - closet - of room area beneath kitchen not think sleep bit long . floor squeaky every step kitchen staff make could hear . add lot noise stairwell people go room . 's use electricity room . get card check control electrical power , key room . sure room soon power iritate buzzing noise come ceiling . light need remove card wall order get rid buzz sound whilst sleep mean need get bed , put card wall wait eye adjust light check time clock . french door room would lock thank goodness part build one could climb . continental breakfast okay could well pay . place could serious fix - up . the neighbourhood fine ; close bayswater Queensway Tube station . lot shop restaurant area . overall would stay B & amp ; B would recommend anyone . spend money elsewhere . 
 Jan 10 2008 	 safe peaceful near Lovely garden 	 Single lady apprehensive hotel major city like London . priority feel safe Byron Hotel certainly good choice . excellent noise insulation , sleep like log . room clean comfortable . staff friendly polite mention also vegetarian please large breakfast portions- large plate scamble egg , bean , mushroomsetc . lot toast juice cereal . tv phone room clean elegant bathroom . £ 75 think good value take five minute bus Oxford Street also walk Kensington Gardens . walk across park Kensington . also shop minute walk away , large indoor shopping arcade . attraction short ride away bus tube . excellent choice single , business ect . 
 Dec 4 2007 	 wonderful Bargain 	 wife ( be 50s USA ) find hotel welcome clean 7 night stay early December 2007 . room # 15 2 twin small adequate clean , shiny bathroom lot water pressure hot water . Carpet little spot bad . Philips 24 inch widescreen nice although receive 4 5 channel . room quiet could hear foot noise room , turn problem hotel serve mainly old clientel ( 30 ) never see young kid run around late hour . staff desk restaurant nice helpful . big plus always receive nice smile morning return afternoon evening . bayswater Queensway tube station 3 - 4 block away Queensway , street lot restaurant three great pub enjoy . bargain try Tuk Tuk , Thai restaurant Queensway across street Bayswater tube station . great phad tai 3.90 pound . daily breakfast include consist toast , roll bread , cereal , prepare ham cheese slice , coffee , tea , yogurt . be runner like , will close Kensington Gardens wonderful place run . definitely stay return year . 
 Nov 25 2007 	 City trip London Belgium 	 excellent hotel , situate adjacent Kensington Hyde Park . two tube station within walk distance numerous shop restaurant abundance . our room Byron compliment . however suite size , perfect short stay . room extremely clean , comfortable widescreen TV tea- & amp ; coffee make facility . room totally refurbish perfect condition bathroom 100 % order . the extensive breakfast , include traditional english Breakfast outstanding ! would also like mention quiet inside hotel street noise noise guest whatsoever . all staff encounter friendly , helpful not hesitate give we information ask , either hotel , price stamp , tube take general info touristical London . we recommend Byron 100 % anyone travel London . well do everyone BYRON ! ! ! 
 Nov 23 2007 	 highly recommend ! back . 	 greatly enjoy stay Byron Hotel , everything hope would . staff , without exception , courteous friendly , without familiar , go way helpful . room small immaculately clean , bathroom shower spotless - really appreciate endless supply hot water ( decent water pressure , ! ) .The breakfast extremely good , limitless tea coffee , enjoy choice traditional English Continental breakfast - incidentally , latter far substantial experience elsewhere . also , tea coffeee make facility room , helpful , well trouser press hair dryer . take round , think Byron Hotel offer excellent value money . location ideal , easy walk distance two tube ( subway ) station , close wide selection shop . Hyde Park Kensington Gardens top street . Byron absolutely faultless ? course ! room hotter have prefer , simply keep window open till cool , elevator slow . the bottom line , however , return London next time hope accommodate . , Byron Hotel first choice . 
 Nov 10 2007 	 great place clean comfortable 	 find Byron nice change place ' ve stay London . well - price , clean , comfortable . staff accommodate stay . negative insignificant one -- elevator take oh - so - long trip ! ahh , value , location , courtesy extend make 300 time . tube right around corner , internet cafe middle , make awfully convenient . Hyde Park , block 's walk nice , short walk neighborhood South Kensington make perfect location . 
 Oct 23 2007 	 expect 's good thing . 	 book Byron mostly due review website . room small , expect , clean serviceable . bathroom fine except shower head would stay . bed comfy staff friendly . location excellent . 
 Oct 15 2007 	 Byron Hotel ` ` home '' 	 stay Byron Hotel yearly past five year wonderful experience . hotel well locate , far enough away & quot ; action & quot ; quiet , yet close enough short walk bustle Queensway two Tube station even short walk Bayswater Road , bus , Kensington Gardens . room Byron clean well appoint , newly refurbish en suite bathroom . wireless internet available fee , convenient . real pleasure Byron staff . check - in check - out , attentive helpful , friendly knowledgeable . be even day , know , need likely . lady staff breakfast room clean room wonderful . desk staff could well . would recommend Byron Hotel without reservation . truly & quot ; country house middle London & quot ; . 
 Oct 12 2007 	 cancel hotel say not 	 hotel suck . send e - mail cancel claim never get e - mail . never get response assume everything okay . afterward notice charge card , e - mail respond . seem fishy respond 's already late cancel , not ? ? ? scam . 
 Oct 7 2007 	 good value money 	 stay two week fall - several room , week , travel , back , dad leave , single . small room , decent bathroom amenity , nice breakfast , great location - near Queensway tube station , bayswater tube station , several bus line , Whiteley shopping mall , everything . several nice restaurant nearby well . would recommend folk look nice place , good location , safe neighborhood , great amenity . Kensington Park end block - huge park , many lovely walk . Peg 
 Oct 2 2007 	 Relaxing Week End 	 really fine , room comfortable clean . 's delicious location . 
 Aug 13 2007 	 Splendid service nice room 	 nice , clean modern hotel continental breakfast . room bathroom hairdrier . staff super 's location near Bayswater Quensway subway minute walk Kensington Garden great stay 15 year old daugher . feel secure well look . also nice find lot restaurant world Quensway Street , one try Chinese , Magic Wok superb . also visit small shoppingmall Whiteleys perfect shopping book fresh fruit Macy 's . hopefully able visit soon , thank , kind regard , Anna Malin , Stockholm , Sweden 
 Jul 7 2007 	 Professional Staff 	 husband recently travel throughout Europe . save long time novice traveler . byron great place stay people . central ton Central London attraction , tube station block away . top , Carmen , manager patient understand we . syed , staff member , show utmost professionalism throughout whole 4 night stay . thank everyone else forget mention . hotel quaint perfect place stay reasonable price . 
 Jun 26 2007 	 Came Byron 	 London : Byron Hotel , bayswater : ' & quot ; Came Byron & quot ; visit UK four time stay various hotel acceptable ... come Byron . excellent hotel count , great rate , cherry ice cream staff . terrific one way would describe , particularly staff charge serve breakfast . fast , efficient , courteous . every hotel staff premise . wholeheartedly recommend hotel certainly come back near future . 
 Jun 1 2007 	 great stay - Great Staff - nice 	 great small hotel nicely locate quiet side street close 2 tube station plenty restaurant shopping block away . room small clean pretty fresh paint new funishing , bedding , etc .. good thing hotel friendly helpful staff . Syed Carmen help we dozen little detail help we great stay London . I would recommend hotel anyone look good accomadation great price London . 
 may 23 2007 	 Recommend hotel 	 look something well b & amp ; b less expensive hotel , Byron good choice . location convenient ( 5 min walk Queensway / Bayswater Station ) , room ok clean tidy , shower hair dryer work well ( important ) , staff helpful ! importantly , room equip shower , toilet air conditioner ( much needed summer ! ) . stay 6 night feel pretty home . people may concern breakfast toast , cereal , juice tea enough coz ' not need eat much morning . 
