Love 	 hotel gr8 renovation , need gear service standard ............... 
 comfortable 	 stay Lalit brief weekend trip Delhi . positively surprised . room spacious decorate good taste , service discreet much . suit well scandinavian traveller . 
 great stay ... 	 bad stay . location ok , exactly middle thing , be fine . room 22nd floor overlook city nice . complaint reservation not ready get wait input computer again . otherwise , room clean , food service excellent great view . breakfast good real complaint . 
 Jan 2 2009 	 impressed ! 	 hotel call & quot ; Lalit - New Delhi & quot ; .I stay hotel four night . hotel renovation time stay ( include room public space ) . stay recently renovate room . room nice . service throughout stay excellent . order room service ( excellent reasonably price ) multiple meal lobby dining area ( 24/7 ) . breakfast buffet decent value although lunch buffet pricey ( ~ $ 40 / pp ) .I would definitely stay hotel . 
 Dec 22 2008 	 avoidable hotel 	 experience similar Isabella . stay last week 3 night . lobby room fine like economical 5 star hotel undergo major repair therefore noisy . though management always say work mostly stop work night guest object etc fact throughout day night carpenter , electrician mason keep work stop 15 minute object repeatedly resume work time noisy . difficult find restful sleep hotel . besides , hotel close train track train make big siren keep people away pass track . staff mixed lot , polite rude . avoidable hotel . 
 Dec 18 2008 	 worth price ... price mid - market 	 experience similar IsabellaNewYork review . real nice touch hotel : recently - renovate room modern attractive big flatscreen tv funky bathroom . also , morning breakfast good , not service problem other . fact , seem like staff may recently train course , since frequently extremely solicitous . would add also nice gym mezzanene floor open 24/7.on hand , still work progress . report , late December , loud banging associate continued renovation ongoing , though never experience late night . also , room ( like IsabellaNewYork 's ) side train station , get use constant whistle , would much well experience side building . traveld India immediate aftermath Mumbai attack , able negotiate much cheap rate TripAdvisor listing ( rate $ 180 ) , think good deal give high price business hotel Delhi many near-5 - star ammenitie hotel offer . as other note , hotel shed association InterContinental chian call Lalit New Delhi . cabby seem know InterContinental still , however . 
 Dec 2 2008 	 really good Hotel 	 really excellent hotel , exception : work night dust floor front hotel ( morning ) . come Hotel often early morning ( 01.00 - 03.00 o'clock ) must walk wall - worker -construction ) , entrance on . service ok , food , people kind . 
 Nov 22 2008 	 overprice 	 hotel great plusse major negative . reception staff seem able cope quite rude hand . check slow luggage take nearly forty minute arrive complete formality . lift service totally inadequate . regularly wait five minute lift arrive ( either lobby level 18th floor room locate ) stop nearly every floor . 24/7 restauant ( main cafe style buffet eatery ) serve excellent food expensive compare indian hotel - rip level . bedroom superb every comfort imaginable excellent bathroom . good location overall package could much well . 
 Nov 6 2008 	 nice stay 	 hotel recently renovate . new look contemporary . stay great , room modern look . front face room beautiful view . bathroom spacious . restaurant especially 24/7 Baluchi good . 
 Oct 21 2008 	 awefull 	 rip joint . stay hotel range 3 star 7 star one would not give star ever . charge like good hotel new delhi nothing . would well B & amp ; b 2000rs . that s much think charge . no customer service , aweful food , construction wierd check process 3 - 4th floor . lady good looking though . thank 
 Oct 16 2008 	 problematic hotel potential 	 Service hotel hit miss . sometimes excellent friendly , sometimes incompetent rude . overall , hotel definitely long way go provide consistent 5 star experience . room nice modern , flat screen tv futuristic bathroom . room absurdly loud noise come nearby commuter railway station . train make pierce signal hour warn people track . never experience noise level hotel room , despite year travel around Asia . stay hotel , make sure get room away railway station ! hotel 5 minute walk distance Connaught Place , big shopping area dirty decay decade . area nevertheless popular tourist , couple decent restaurant . a couple night wake around 1 loud banging go couple hour : extensive renovation work go hotel hour . breakfast excellent . nice , bright restaurant wide food selection . staff sometimes seem tired unmotivated . get coffee refill often challenge . dinner restaurant depress affair . point particular vegetable miss pizza despite mention menu , waiter silently take plate away . return seven minute later , add missing vegetable original dish . pizza cold even less appetizing . another time , salad main restaurant mediocre . room service disappoint , say least . & quot ; grill vegetable ' & quot ; turn unappetizing soup - like dish inedible . sandwich soggy also unappetize . coffee weak look like weak tea . hard believe professionally train chef could hand food fiasco ! internet room horrendously expensive , 1.248 rupee include tax ( 26 usd ! ) . login - process clunky sometimes problematic . elevator often malfunction , often long wait time . indian newspaper report start next year , hotel long part intercontinental chain . 
 Sep 14 2008 	 exellent hotel 	 good quality hotel , excellent facility , huge , beautiful room , clean , spectacular breakfast , good restaurant , good service , safe , knowledgeable staff . would definitely go . 
 Aug 23 2008 	 renovation least one month two ! 	 book hotel 2 night august restfrom busy india , august delhi choose hotel swimming pool possible hot ! well reservation office forgot tell we whole building swimming renovation , mean dust noise choose standard room , give we suite door lift open , clouds dust noise invade corridor , like joke movie .... run away hotelI would not recommend hotel lack information sincerity ... 
 may 20 2008 	 Totally Horrible Service 	 stay 16 - 19 May . horrible experience . staff unfriendly . arrive hotel midnight . line check - in 3rd floor , staff give head signal bellboy ask take international club 20th flr check - in . really rude . not even bother say anything . hotel go renovation . could hear noise / bang sound wake morning . still could hear bang come back hotel dinner time . tv telephone room not work . use international mobile call receptionist inform telephone room not work . tv channel , except one , signal . take forever fix this . unless hotel upgrade quality service improve staff etiquette professionalism , hotel deserve call ' class hotel' . I really hate hotel never recommend friend network ! 
 May 15 2008 	 good value ` ` good '' hotel Delhi great gym . 	 intercontinental hotel choice Delhi . expensive city , offer good value . already note , renovation disturbing . the room fantastic hotel 's good feature . plasma tvs great bathroom . gym / spa fantastic great way finish day . restaurant also excellent , open 24 hour ( experience order steak 3 am - perfect ) bar offer wide choice . location brilliant do not want pay c.£200 , great option . 
 may 13 2008 	 beware renovation ! 	 stay hotel couple day R & amp ; r sightseeing end business trip region say disappoint . the location hotel great , edge Government district new Delhi within easy walk distance Connaught Place - quality live expectation Inter - continental . the main thing frustrate hotel currently midst major renovation . lobby reduce corridor - lift action significantly , pool surround area completely build site . pool close 3 - 4 month apparently . hammering drill start 8 morning carry late night . worst however - even though book 2 - 3 week travle , tell none mention hotel website . I stay one renovate room nice ( slightly small ) clearly teethe problem . broadband would not work call guy come set separate connection time need go line . cost broadband extortionate ! 24hour restaurant unaffected renovation food ok well - breakfast big disappointment . room service polite prompt good selection , food quality average well . in summary , great central location , potential great - get renovation way first , expect pay odd average food service 
 Apr 10 2008 	 Level Service Impressive 	 pc point stay property . Royal Ambassador , good value system . level service attention detail extrordinary . sense tht deeply care people stay hotel . medical reason , location hotel ideal -- 2 block Bengali Market . 3 block connaught place . the rennovated room nice not want suite . would opt executive suite luxury suite presidential tower . stay 2 night 1115 . quiet . look pool ( close rennovation ) . two luxury suite 21st floor good sleeping . room 2121 great view cricket field Modern school , view wrap around . be pretty spectacular . if PC Ambassador , club lounge breakfast 8 - 10:30 , tea 3 - 5 , cocktail 6:30 - 8:30 . 20th floor right 2121 . 21st floor presidential room one top . quiet -- yet rennovate . the elevator wrap right sometimes might wait . new spa , steam room , suana gym portend bright future property completely rennovate . 
 Mar 2 2008 	 comfortable stay . 	 Stayed & quot ; Grand & quot ; 25th 28th Feb. travel Goa look forward first trip Delhi . pre pay room check efficient professional . request renovated room give beautifully apointed room 11th floor . Rm 1127 . room confortable request hard pillow soft pillow like . already aware ongoing renovation not aware pool also close . not affect stay visit short . avail buffet meal every day quality excellent little expensive indian standard . location excellent short walk Connaught Place . also walk India Gate . Taxis easy arrange consierge staff . & quot ; positive & quot ; incident happen checkout . give bill hotel charge accomodation already pre pay . not notice left desk . return desk point error . situation recitifie do grimace desk . offer apology explanation . however , book stay 3rd 6th June 2008 . would recommend hotel visit Delhi . renovation hardly noticable staff generally professional helpful . Ken Brydon PJ Hogan 
 Feb 22 2008 	 spite ongoing renovation - class hotel 	 past several year stay Grand least five occasion - bad reviewer make , would stay often . fact , New Delhi good . stay Crowne Plaza ( Friends Colony ) , Le Meridien , Maurya Sheraton Imperial , comfort , value service , equal Imperial , rate one world 's great hotel . renovate club room superb . no doubt expensive , nearly $ 500 night renovate club high demand period ( international trade fair ) , similar hotel New Delhi even expensive . visit , hotel still undergo renovation - lobby restrictive pool close . however , impositions guest . indian restaurant ( Baluchi ? ) third floor superb good value 5 star hotel New Delhi . chinese Restaurant roof top disappointing . 24/7 bar lobby go modern ( glass clean line ) taste - prefer old Champions Sports Bar replace . say , good watering hole , excellent service , good selection drink well , open 24 hour day . for business traveller good hotel - good room ( renovate one ) , good service good location . would also recommend hotel tourist , especially get discount rate . satisfactory hotel , indeed . 
 Feb 18 2008 	 good business traveller tourist 	 hotel conveniently locate heart New Delhi . facility good , even present time ( 02/2008 ) , refurbish work cause limited access lobby . use internal travel agency arrange one day tour town pleased service offer . pay 1000 rupee ( 20 $ ) full day group tour ; turn group party three guide excellent , speak good english , well prepare ready answer question . also try two internal restuarant , offereng respectively indian chinese food . little bit pricey ( 50 $ good dinner , without wine ) still acceptable . main negative point noise nearby railway line , quite loud . overall recommend hotel business traveller tourist . 
 Jan 26 2008 	 worth high cost 	 hotel undergo major construction . lobby really lobby construction go . taxi rickshaw driver tough time find place reason . put room renovate yet . ok , renovate section look much well . room spacious . hotel seem business type hotel . not justify price pay it . the concerige service helpful quite unfriendly . room service restaurant good . everything order tasty . not think would stay . 
 Jan 10 2008 	 Fantastic 	 reading mixed review fairly low expectation hotel . fact fantastic surprise . renovation work continue minimum disruption newly refurbish area really great , modern cool design . reception area completely finish although even see good be go look . give one refurbish room 21st floor cool great piture window , modern interior design , giant LCD TV DVD , cool bathroom seperate rainshower . the heated ( useful January ) outdoor swimming pool one hotel 's roof real bonus 's wonderful escape tranquil space middle hustle bustle Delhi city centre . dissapointe spa less service , basic facility available . hotel 's website keep date available work though . the Grill restaurant top floor great menu be happy make something menu ask . quality be great . Breakfast 's also top notch . stay Taj Palace week early much prefer Intercontinental Grand . 's much cool , buzz well location similar price . 
 Dec 28 2007 	 expensive ( 314€/night ) - indian comparison 	 place way expensive India comparison . international comparison well . even Tokyo stay cheap price comfort . LOCATIONNote anotehr Grand New Delhi city well . place nothing Intercontinental Grand . Taxi driver may problem find place even though supposedly centrally locate . address hand . even address taxi may find place . Intercontineltal Grand state Marakhambra Avenue , Connaught Place . reality 700 metre Connaught Place Marakhambra Avenue small side street next highway close railway . train pass room face east . roomsstay away old room cost . new room nice ( see pricture ) . however 300 € per night way expensive . especially international comparison . furthermore , hotel Jampath centrally locate - cheap . HOTEL PREMISESThe lobby area undergo major refurbisment December 2007 . check facility cram one corner whole otherwise big lobby close renovation . pool area serous need renovation well . gladly pool heat . restaurant ground floor international standard - similar even high price . RECOMMEDATIONInstead big international name would look 3 star indian operate place close Jampath . would get value money - fraction cost . 
 Nov 28 2007 	 short stay flash one 	 room rate extortionate ( US $ 550 / night plus taxis ) room incredible . team make small room masterpiece open space architecture incredible . illusion large room great . Hotel Architect , go check magic . very impressed small thing like International Power Plugs standard ! renovation stair still also affect Gym setting . pool mesh interesting concept keep smog ! .The breakfast set stunning ground floor restaurant brilliant . ton choice food breakfast here . love ... except room rate ! prosbest room set standard hotelbreakfast ! service exceptional aspectsconsroom price 
 Nov 21 2007 	 avoid cost ! 	 stay 18th Nov fortunately one night . foyer rebuild send waiting area first floor check . back work seperate short wallfrom build go . extremeley dusty noisy . one worker arc welding foot sit ! man come check we oblivious problem . unmodernise room . disgraceful . carpet badly stain sticky . bath badly rust around waste look dirty . new room may nice old one would shame one star hotel . go restaurant see could meal . tell meal available Sunday Brunch . thiis buffet cost 3,000 rupee ( £ 40 ) . alternative go nearby restaurant . 20 minute going tell buffet closing 2 minute . sure enough 2 minute start clear away food . one bother tell we buffet close go . still charge 3.000 rupee . do go near hotel ! 
 Nov 14 2007 	 Intercontinental Grand Delhi 	 stay intercontinental short business trip intend stay long trip end change mind . new room big glass wall see bathroom single mirror light properly apply make case shave husband case -too trendy half . plasma screen tv program either room stay . main problem alongside constant renovation decent outside space . the terrace dining room could nice extractor fan kitchen feed directly onto poolside grubby mesh welcoming . business stay make short holiday go hotel outside space garden . ask room overlook pool - otherwise railway station keep awake night . 
 Nov 10 2007 	 Great Stay 	 new Delhi business stay Intercontinental Grand . think hotel great ! upgrade Club Room free breakfast . love contemporary feel Intercontinental . although undergo renovation , stay comfortable . staff great really nothing complain . chauffere mercedez car hire hotel 3 day also make journey meeting New Delhi easy driver great knowledge area . bring we interesting tourist area meeting . Wok restaurant 28 level amazing food . breakfast served & quot ; 24/7 & quot ; restaurant adequate . 
 Nov 7 2007 	 Rip 	 reading review , get renovate room , far good . decoration Ok 5 star hotel . service receive 2 star class worth , exemple shower oune clean stay , also never vacuum room . breakfast basic . rate hotel + service real rip . 
 Oct 28 2007 	 way . 	 stay Intercontinental - Grand last week 2 might Delhi business . second time ' ve stay hotel , first time 2 - 3 year ago , definately improve . a word warn . hotel currently rennovation , lobby real mess . board sit . tell 3/4 room already rennovate , upgrade regular king room & quot ; club & quot ; room . room not disturb noise rennovation , smell paint lobby almost overwhelming . also tell rennovation complete March 2008 , keep mind . I remember last time room typical indian old style , carpet floor classic furniture . nice room nothing fancy . certainly well would expect Intercontinental . rennovate room absolutely superb . Parquet floor , bed par Shangrila bed ( usual favorite ) , modern decoration , 42 & quot ; plasma TV , fantastic bathroom separate bath huge rain shower . bathroom glass wall watch CNN be shower ( loo ! ) . say room trully 5 star . also nice big desk comfortable office chair , one pretty much standard Intercontinental . one gripe , internet connection good , expensive . tax 1250 rupee ( 25 euro ) 24 hour , ridiculous . I eat buffet 24/7 cafe . cafe / restaurant fully renovate nice . food excellent , typically expensive - 2000 rupee lunch dinner per person . service excellent . the gym bit dissapointment - small eliptical cross trainer . hopefully also eventually change . location good , central Delhi . overall , hotel definately go right direction . well way genuine intercontinental standard . one note : Hotels New Delhi INSANELY over - price . pay 16000 rupee per night ( include luxury tax ) low rate could find decent hotel New Delhi . compare room room Park , Metropolitan , even Le Meridien , room even expensive , rate hotel excellent value , thing consider . 
 Oct 23 2007 	 Good Hotel India 	 stay 2 night 1 night seperate visit hotel new old room . think standard type room fairly good ; particularly nice bed . old room not nice modern new one , old room get much large . renovation noise noticable sleep pretty soundly ; probably good idea stay hotel be light sleeper till finish . service good persistent ( like everything India , thing take time patience ) . get decent food room service . breakfast particularly good . overall , would say 's good hotel ' m sure would pay full retail price ( not ) . 
 Oct 20 2007 	 watch phone call 	 watch phone call ... rip stupid hotel . I get charge 12.5 % luxury tax REVERSE charge international call NOONE answer end . pay $ 4000 rupee total 5 min call . breakfast buffet pretty good room nice , view horrible . 
 Sep 29 2007 	 nice room 	 hotel old . construction go , might find little annoying . restaurnant bar disappointing pricy . pay $ 198 / night consider really good deal since hotel Delhi tend expensive . service excellent room well decorate clean . dvd player room . bring dvd watch ! internet access expensive . pay Rs.1,000/24hrs ( USD25 . ) nice hotel U.S. charge $ 9.99 / day , absolutely lot . location ok . be quite far connaught place walk . always take subway ( one stop Connaught place , ) taxi . 
 Aug 15 2007 	 Grand Ripoff 	 Ideal location earnest labor staff aside , hotel poorly manage , ridiculously expensive oddly design poor management * power outage norm * electrical issue room * miss wakeup call * uncoordinated reception staffridiculously expensive * laundry bill 1 tshirt , 1 track suite , pair sock undershirt r . 1900 = $ 50 + . criminal . * internet per day $ 30 + ( r . 1000 ) . outrageous . * cheap room construction area -- avoid unless like smell varnish paint noise hammerOdd Design * try post - modern without follow basic design principle * odd shower stall see * room put away clothe * a / c make certain area cold rest room coldearn Labor Staff * well - dress reception area staff mostly incompetent , poorly pay room service staff engineering labor staff . all , hotel pretend something not probably not know not care . money pay , surely well deal New Delhi . 
 Jul 30 2007 	 good business hotel city center 	 InterContinental property manage run indian hotel group own & quot ; Grand & quot ; brand India . hotel centrally locate business Delhi . recently renovate room great - especially executive floor . glass - wall bathroom , big - size plasma tv , good bedding , comfortable work desk top - of - the - line amenity make room experience satisfy . executive lounge great nice range drink finger food . good place socialize quick business meeting . breakfast good - spread well quality . hotel undergo renovation cause minor disturbance ( especially noise ) stay . would recommend hotel need hotel close city center . okay place Delhi , may find well hotel much well price . 
 Jul 2 2007 	 Charmless hotel go renovation 	 hotel currently renovate : ask one renovate bedroom nice , preferably face pool ( face train station noisy . ) room restaurant quite expensive opinion worth . might hotel fully renovate : currently terasse enjoy drink evening diner . bar pretty horrible ( undergoound , loud western music , big screen tv , smoky ) . charmless although bedroom nice . mean stay 2 week , @ $ 180 night . stay one week move imperial price ( book net ) FANTASTIC . want spend sort money hotel , choose Grand , least fully renovate . 
 May 3 2007 	 Musty room clean 	 expensive place Delhi show . room musty clean . construction progress hotel . find much well place much less money south side Delhi end trip . 
 Apr 20 2007 	 floor close hotel 	 recently stay hotel 14th 17th April . give room 18th 21st floor ( 2 occasion ) . renovation ongoing considerable noise day start 8.00am around 6.00pm . because summer heat Delhi return hotel afternoon peace bacause noise . point Customer Relations saffe young inexperienced girl refer Manager duty . Manager 's response & quot ; take leave & quot ; choice . understand attitude room book local travel agent pre - pay . the polite personnel hotel lift baggage attendant . 
 Apr 14 2007 	 nice 4 star hotel nice area . 	 go India week terrify read review hotel Delhi . say hotel expensive par . well hotel expensive say solid 4 star hotel . everything great include pool , bar , restaurant . bad thing say hotel staff doorman , large turbine headed man , would give dirty look give 20 rupee tip get cab . though uncalled since tell daily wage Delhi laborer 80 rupee day . hotel restaurant expensive dinner buffet cost $ 40 US . food outstanding wide variety continental indian food . ate enjoy it . the hall floor smell insecticide positive note insect . hotel state Conneaut Circle center Delhi . well Circle mile . beggar , hawker traffic walk able day courage . walkable night . problem get one taxi find quite unreliable taking constantly shop way . another point Conneaut Circle much aside beggar hawker . find one decent coffee shop restaurant . stay hotel ' think walk center cosmopolitan Mecca . 
 Apr 12 2007 	 recommend far ` ` Value Money '' 	 frequently come Delhi business purpose want experience hotel . with wife stay 4 night first half April ' 07 . room attribute we , thank Priority Club Member card quite comfortable well locate . fact lucky disturbed noise result rehabilitation work currently progress . hear around we many complaint . unfortunately say rest service . quality food available Self Service Restaurant relatively poor choice limit . certainly overprice compare hotel within range . expresso coffee 5 usd , mediocre quality expensive express Palaces Europe . internet available Standard Room 10 usd/ hour absolutely scandalous . Guest House Delhi / Gurgaon ( B & amp ; b usd 50- 70 ) , WIFI internet available free ! staff reception nice relatively slow . this hotel reflect reputation ICH group need serious improvement . we recommend hotel moment . 
 Mar 21 2007 	 Noisy beware renovation 	 check afternoon travel 27 hrs get allocatte smoking room reek smoke . room shabby need complete make - over . complain request non - smoking room offer room & quot ; newly renovate & quot ; . minimalist nice plasma screen . nobody mention fact floor 's service area still renovate opposite room . need shut - eye constant banging knocking keep we awake . call reception duty manager around 7 pm & quot ; tell stop immediately & quot ; . bang continue another 1.5hrs . also room back hotel face railway station ; toot train throughout night bang day get little sleep 3 night spend . impact business meeting keep doze ! & quot ; newly renovate & quot ; , bar fridge not work ( fix five attempt handyman ) hand basin not drain big gap ceiling shower rise . seem detail problem front staff nobody bother fix it - even complain . big conference time hotel quite full ; explain attitude front desk staff . the food breakfast buffet ok well choose la carte menu dinner . beware add charge . quote U $ 30 24 hrs access internet use wi - fi add service charge , government tax , well luxury charge end pay 35 % . cheaper internet cafe near hotel . if stay hotel ask renovate roon away railway station certainly renovate . 
 Mar 13 2007 	 okay hotel nothing special ( maybe overpriced ) 	 one day , must say hotel need upgrading . room perfect , lobby / reception could use upgrading . staff reception slow inefficient . restaurant nice . swimming pool close early . location fine . make sure be minibar fill thing ! ! ! breakfast business lounge rather limited think . rest ok , probably bit overprice ( hotel Delhi ) . 
 Mar 9 2007 	 ok Hotel 	 somewhat cautious stayed read review , problem . travel 2 work colleague hotel meet need fine . room quiet ( aside occasional train tooting ) , specifically ask quiet room , like large plasma tv room . actually colleague high floor ( expensive ) , normal Tv ! location near Connaught place relativly central . bathroom little dark , bath tub stain . overall price etc , satisfied hotel , plus sleep eat breakfast ( like freshly cookedwaffle lot ) . avoid breakfast rushhour Sunday around 10 am , many people ! 
 Feb 24 2007 	 fine me- lucky 	 read review dread stay . the room clean enough- quiet enough - no problem ... BUT- seem lucky member party noisy miserable night . 
 Feb 10 2007 	 avoid bad experience 	 2 week business trip India look forward stay hotel stay excellent . however , place major problem . sort issue add irritate unsatisfactory experience . first , book non smoking room . go check non smoking room available tell could smoke room change tomorrow . book something normally be book - right ? not expect book something find really book . get impression big conference block book room , one person stay important . room put intersection 3 street anyone know India , street honk car horn constantly . would problem window close properly room , seem screw place , screw come loose , effect window not open close properly effect car horn noise come room constantly . room ok pretty shabby . front control panel miss television . bathroom look particularly clean . wireless internet advertise wireless connect . impression put smoking room not want arrive , someone go call day arrive , let know switch room - nothing happen . service really lack . knock service standard first hotel stay ( ITC Sheraton & amp ; Towers Chennai ) , service poor normally high indian standard . system dial & quot ; 9 & quot ; request , link & quot ; Instant Help Center & quot ; . good idea principle , people answer phone poor grasp English irritating experience . call & quot ; 9 & quot ; ask contact change room . answer phone word & quot ; help sir ? & quot ; , explain situation , long pause end line , person say & quot ; help sir ? & quot ; , explain , long pause end line , person say & quot ; help sir ? & quot ; . get picture , might well talk cat . instant , exactly help . finally say , & quot ; can not understand anything ' m say - ? & quot ; , said & quot ; one moment sir & quot ; , pause 2 minute & quot ; hold music & quot ; . receptionist phone give impression intention contact room change , kind remind . impressive . also ask 2 pm room clean . say must & quot ; DND & quot ; notice room clean . people customer care role use meaningless jargon deal public ? finally figure DND meant & quot ; disturb & quot ; . true - & quot ; disturb & quot ; notice room 8 am , would kinda hope 8 am 2 pm clean might return . concierge service similarly disappointing experience . go morning get information trip Agra see Taj Mahal . guy give information say would think come back later . 4 hour later go back concierge desk unmanned . wait , wait wait . around 10 minute go , receptionist staff side ( sometimes even serve customer ) simply ignore . finally get hold one receptionist try see concierge get hold somebody . think guy also concierge , turn someone get hold , not much clue help , say concierge would call four . four come went call ever useful & quot ; 9 & quot ; number ask put concierge , long pause , receptionist answer state concierge still around , would call 10 minute . thirty minute later give upon get phone call go concierge desk find . electricity also seem drop around 5 second , sit bath last night light go . time light go come back , fear may one time . also note we Americans Western Europeans use smoking ban enclose public space . word warning - , bad , little sign - posting indicate smoke can not . coffee pastry coffee area reception ( service unresponsive slow ) engulf tobacco fume . pretty horrible experience use . would recommend place , seem complacent not seem care customer . ITC Sheraton 's stay much clean room service standard excellent . 
 Feb 6 2007 	 Grander thought 	 stay Intercontinental Grand New Delhi January 07.On arrival get 5 * greeting door . first time Delhi idea expect read previous review hotel little daunted part package . love . yes build work go noise time . room update reflect trend contemporary décor . view ' great even smog thick probably ' enjoy anyway ! floor 18 view railway station highway constant horn blowing . fun watch local life horn part experience , like New York louder , long frequent ! deluxe room super king bed . sheet duvet wonderful , cool smooth cotton high quality . really comfortable . bathroom little tired think room await redecoration still clean mountain fresh fluffy clean towel . strangely one robe one pair slipper . could want - shampoo , body lotion , conditioner , soap , shoe shiner , comb , toothbrush kit , shave kit vanity kit . safe , hairdryer , iron board , well stock reasonably price mini bar tea & amp ; coffee make facility . great little perk complimentary provision 2 litre mineral water daily . Delhi news also deliver daily ( print English ) .The food hotel excellent never bad meal upset tummy . champion bar brilliant . never end range international drink available good food . superb entertainment provide four piece live band cover good oldie . drummer Eagles & amp ; Chris Rear brilliantly female singer could sing Karen Carpenter Sade . ' watch ' swear real thing - awesome ! Baluchis Indian Restaurant . eat one lunch one dinner 3 night find faultless . service food excellent . tell normally eat back home ' advise might like order . rendevous international buffet . choice enormous . range continental , indian , Chinese & amp ; japanese . dessert die . tiny slice portion could one time - great try different flavour . Rendevous also buffet breakfast serve ; load choice nationality . we ' eat Art Juntion pool level 2nd floor serve snack Nachos , club sandwich etc . ' great pool get time use it . also Floor 2 jeweller . happy deal , friendly speak brilliant English . Taxis guide always keen take government shop . small mall Indian handicraft carpet , fabric , scarve jewellery etc sell . buy carpet , furniture etc government pay send back home . later read ' rough guide ' fake government shop whoever take get commission sale beware bother you . all satisfactory stay . service good , room comfortable lot amenity food excellent - could want ? 
 Feb 6 2007 	 good hotel 	 2 - nite hotel stay good . staff helpful . food average . room average , still clean quiet . quite pricey , can not say service facility equal value . internet access $ 20us 24 hour . 
 Jan 29 2007 	 well expect .... 	 concern hotel result TripAdviser review give reassurance book agent . pleasing find hotel view provide acceptable , wonderful , accommodation excellent location day Delhi . renovate , minimalist ( upgrade ) room fine occasional , minor day time intrusion hotel renovation programme . find entire reception staff helpful one misunderstanding billing . room service , especially deal minor problem could fast reliable . wary inhouse travel service whose driver like take unexpected shopping expedition ! excellent breakfast Chinese ( ! ) restaurant remember . overall , enjoyable experience slightly fade venue . 
 Jan 21 2007 	 delay checkout 	 hotel last week , truly say terrible experience , however time hand , do not mind wait 45 minute check , collegue wait 1.30 checkout.this place stay.there much well hotel . 
 Jan 18 2007 	 disappointing service global brand 	 Hotel Intercontinental Grand New Delhi way live expectation either intercontinental chain hotel room cost US $ 300 per night . I part large group stay hotel also spend considerable amount use hotel 's conference facility . extremely disappoint quality accommodation level service receive raise concern . several member group request change room room allocate unsatisfactory : dirty , smell bad generally poor shabby condition . room smell dreadful window fit frame , mean draught come gap could hear traffic noise . offer newly renovate roomsa time fo booking , fight get they . in general response staff indifferent attentive concern first time express . call three time ask change room pass several member staff cut twice . even , wait hour resolution , come go reception complain . colleague offer opportunity finally change room - midnight ! appreciate priviledge able stay expensive hotel country abject poverty , feel service justify price service relfecte would expect intercontinental brand . 
 Jan 11 2007 	 Loud hotel unprofessional personnel ! 	 Intercontinental Grand New Delhi huge 25 story hotel soul . renovate room different floor , look good , other- old smelly . carpet smell bad , can not even imagine ! hotel locate next railway station train depart every minute ! next main road . might know , indian driver horn time , traffic never stop Delhi , inpossible sleep without strong earplug . 3 different room find something quiet . restaurant ok , safe eat . hotel army personnel , quard every floor , tonns concierge receptionist , want money ! ! ! grab bag tell pay . unbelievable ! 
 Jan 4 2007 	 Loved ! ! 	 read review , leave London heavy heart . last time Delhi 6 year ago stay hotel great time . say service receive impeccable . stay Club room , pricey want comfort . room great . breakfast morning superb , pickup great service , happy . location wonderful , able get around easily . would definitely come , save money course ! ! 
 Dec 29 2006 	 recommend 	 room nicely decorate bathroom extremely dusty leftover grime sink look like not wipe age . shower drain sink drain clog , create mini flood bathroom . bad part stay however awful front desk service could barely speak english result could answer many basic question . example , supposed call we information tour bus pick time place , never call . call ask information , keep insist , & quot ; problem ma'am , contact list take care . & quot ; try ask question 10 different way give . result incompetence , several people miss bus departure delay quite bit . also place 1 - 800 call US hotel operator assure we would free charge , hotel charge we $ 70 call anyway . try speak management refuse drop charge . 
 Dec 27 2006 	 average 	 pretty disappointed hotel money . pay USD300 per night expect well dirty , noisy , date room bad food . breakfast restaurant terrible . staff fairly unhelpful ( although airport pick good ) usd10 per 30 minute internet access acceptable . nowhere near 5 star hotel , would think intercontinental group would well standard . disappointed . 
 Nov 29 2006 	 expensive shabby 	 get back stay . location pretty good , hotel way expensive get . pay $ 380 / night ( include + $ 40 2nd person fee ) . posting note , hotel rennovate noisy 24 hour day . room drab common area hotel . 
 Nov 16 2006 	 bad hotel ever 	 stay hotel three night dump . mausoleum - shabby , old , date , staid , run - down . check - in staff useless - half an - hour check still error bill . room old , date dirty . shower fall piece . not even think restaurant . bar dark dingy completely void atmosphere . hotel pool use pigeon everthing / one get pigeon excreta . not stay .................. 
 Oct 24 2006 	 stay somewhere else ! 	 stay hotel India two week business , pleasant experience . major renovation go hotel , mean expect keep awake hammering drill well past 11 night . complaint reception will not get anywhere . internet connection available 30 minute , 1 hour , 2 hour , 24 hour . simply ask connected duration stay . even get connect , often slow , occasionally drop signal . everything hotel ridiculously overprice - buffet breakfast set back 650 rupee . not even consider wine dinner , unless fancy spending 2750 rupee cheap bottle . ( Wine would 20 euro max another hotel - another country - set back 60 + euro . ) room clean , drab dull . bathroom , tap water - stain , rusting place . room least view speak of . hotel staff generally friendly - especially restaurant . food pretty good . if look place stay couple night , hotel would fine ( pricey ) , would say stay somewhere else . want value money , will not find . 
 Oct 7 2006 	 get another hotel 	 hotel rebuilding know cost . hammering , drilling , solvent , painting , etc . , not contribute enjoyable stay . I request change room noise , next room glad improve , except next day start paint floor , & quot ; inspiring & quot ; .The problem one year ago . for price well option Delhi . never ... 
