Great 	 conveniet downtow . hotel quite , clean confortable big lcd tv . hotel park cost little bit much solution , convenient . breakfast Starbucks close hotel . 
 Aug 11 2008 	 Disappointed 	 book package room+sears tower tickets+1parke night . room nice , clean great view lake . however , several problem stay . first , airline lose luggage . Eventhough leave note front desk , come hotel delivery , person front desk tell check . luggage send back airport . check ( real ) next day , luggage show 6 pm . hence , lose one entire day trip ( suppose drive city day ) get upset get extra parking fee waive . because limit clothing , give couple item laundry service . go downstairs twice get laundry . time tell & quot ; be come 5min , drop room & quot ; . tired waiting , go . laundry get back diner . go front desk next morning , delivery laundry another room ! ! ! must tell everytime talk somebody , mentionne room number ... , bellman helpful give we plenty tip city . also , hotel complimetary shuttle run Michigan avenue . convenient hotel locate south downtown . 
 Jul 31 2008 	 Great Room ! Great Price ! stay ! 	 hotel great . room clean . issue maid service start knock door 8am ! ! wake - up call , like clock work . plan sleep , make sure disturb plackard door . I read one review sink small . seriously ... big sink REALLY need ? not bathe . serve purpose . stick point . bed confortable comforter fluffy , new flat screen tv awesome touch . the elevator bit slow side , height morning rush may want keep mind . the location nice . not far museum , attraction . $ 5 - 6 cab ride hotel Sheraton near river need reference . I would stay heartbeat . 
 Jul 29 2008 	 good hotel nice room 	 stay Essex Inn 20th July two night arrive UK . hotel Michigan Avenue opposite corner Hilton . hotel pool nice extremely cold . not eat hotel breakfast Yolk ... great place breakfast highly recommend . Hackney 's restaurant couple block away excellent american / mexican food ... family friendly . the hotel courtesy bus run town shopping district . wait lobby . first wait friend gradually lobby fill . people , unbeknown we , go outside hotel bus arrive ... fill space leave other wait 45 min ! hotel clear bus pick queue set first come first serve basis . we prepay hotel Trailfinders UK still put $ 75 7 - day hold credit card 's 8th day still . email remove it . be sure check american hotel get hard copy bill . three time trip across America , hotel overcharge card chase re - credit card . one hotel Hilton ! walk Essex downtown Chicago miss bus actually delight beautiful architecture , park ... etc . , Millenium Park great water fountain kid put swimming gear run water jet come animated tower . american Girl Store must young girl Hersheys Chocolate good . 
 Jul 25 2008 	 good deal 	 get broadway package deal hotel ticket wicked . beautiful location michigan ave opposite Grant Park , right lake . room nice pool area nice . 
 Jul 18 2008 	 Lobby Bar like cheer .... everyone know name ! 	 first thing first .... say hi ilene bar lobby ! remember name year come . swear , friendliest place ' ve ever . lot repeat guest . 's good sign , right ? husband stay March St. Patrick 's Day . bussiness hubby tag along . hotel decent . stay one old room middle remodeling tell new room fantastic . regardless , room clean bed comfy . location hotel not bad either . walk everywhere , be pretty active like walk . weather get bad ( snow ! ! ! ) , take cab . make sure take one night eat Geja 's , fondue restaurant . great experience ! later head Kingston Mines . good blue bar ever ! performer top notch . truly great first visit Chicago . hopefully first many . 
 Jul 9 2008 	 good hotel 	 stay recommendation Trailfinders . right - good value , staff helpful free shuttle downtown museum . convenient Grant Park . easy get shuttle to / from airport . 
 Jun 22 2008 	 great hotel excellent location 	 boyfriend really enjoy stay . 4 night ( 8th - 12th ) hotel great location explore Chicago . walk museum Navy Pier . Grant Park wonderful . hotel staff really friendly housekeeping staff , front desk staff bellhop - particularly helpful . view pool area across Grant Park Lake Michigan fabulous . room clean , comfortable service every day . Savoy Grill attach hotel good breakfast bar staff really friendly . 
 Jun 18 2008 	 good hotel top class 	 stay excellent hotel chicago offer shuttle bus place navy pier michigan avenue thing bus start 10 finish 6 pm also get free schuttle may sep near hotel hotel clean room complete day room size good hotel staff helpfull 
 Jun 7 2008 	 love 	 Essex great hotel . husband , , two friend decide go Chicago use Priceline . book hotel call Econo Lodge . description internet seem fine , get construction nasty . call around hour look another hotel hotel willing work we refund money . that s finally find Essex Inn . willing help we put we remainder stay . love . room perfect . if ever go back Chicagowe sure stay Essex Inn . 
 Jun 1 2008 	 lot well expect 	 first hotel six stay US holiday tour . read reviews site leave look forward stay . stay hotel two night . room 12th floor , overlook light terracotta paint building leave hotel ( look hotel head ) . love flat panel tv bed nice comfortable without firm . bathroom good size plenty room put toiletry dry . plus sink vanity unit outside bathroom , one use shower whilst dry hair etc . the downer outdate decor lobby area . think getting rid mid 1980 carpet leather chrome furniture must . see old photo , see room refurbish chance lobby do later date . 
 May 20 2008 	 undergo renovation 	 decent hotel stay be work budget want avoid Comfort Inn et . al . chain . stay Mar . 08 , foyer reception area undergo renovation . be quite small hotel ( remember correctly , 12 floor ) . room much update cozy hallway ( decorate date art deco'ish style ) would indicate . front desk parking service slightly incompetent . upon arrive , receptionist ask want two bed one . say , & quot ; two bed , & quot ; reply , & quot ; oh sorry , not room two bed . & quot ; couple incident parking attendant ( still train think ) misplace parking stub , neglect record parking space / building car , associate comb find . unpleasantrie , however , would still large recommend young traveller , look convenient location ( great not bring car ) . 
 May 12 2008 	 much well expect ! 	 book room Saturday night stay Chicago , pleasantly surprised arrive room . ninth floor , room recently renovate . nice comfortable bed , large 32 & quot ; flat panel tv , granite tile bathroom . I able get good rate room , location convenient Grant Park , museum , aquarium , etc . 15 minute walk much expensive Magnificent Mile area . the con place elevator little slow come hit button , sink bathroom small . parking - not park garage behind hotel , multiple surface lot within block hotel . also park street find spot , meter parking 9 pm Saturdays , free day Sunday ! bottom line , look comfortable hotel reasonable price , hotel fit bill . would stay second . 
 May 11 2008 	 love view ! 	 stay king suite . lovely room spectacular view ! corner living room comfortable , fab view ! tinsy , tiny bathroom , function well . the downside ? foam rubber pillow . ask pillow tell bellboy would check , not check . also ask wake - up call last morning 4:20 a.m. catch early morning plane . fortunately set alarm wake - up call never happen . 
 Apr 10 2008 	 fantastic value 	 arrive late get warm welcome upgrade suite . bed comfortable whilst certain element hotel date , clean good facility . swim pool good - good temperature despite minus 15 degree outside sauna too . the location not bad right next door hilton mean taxis easy get . we lunch hotel 's restaurant reasonable . overall , good value stay , well appoint , comfortable clean room . 
 Apr 7 2008 	 would look elsewhere 	 although impose , $ 50 fee leave early ridiculous . plane arrive late arrive 11 pm disclose . rate go nearly triple ( know advance ) . seem like cater tour group . noise hallway disturb , housekeeping knock 8:20am . the location near Loop south city 's offering . fatal , ideal . not much way restaurant , etc . nearby , though attraction . fee wireless ( $ 6 7 ) . sink miniscule -- small refill water bottle . water pressure weak . tub chip smudge -- sure cause that . the shuttle run 1 / hour . I fare well Hampton Inn -- pay bit , worth . 
 Feb 29 2008 	 Love Essex Inn ! ! ! ! 	 youth group ( Kentucky ) drive Chicago every year work area shelter . look forward stay Essex . little expensive . weekend quite bit extra since kid raise money trip can not afford weekend rate , leave Friday . stay several year . kid love pool lifeguard plus . room small , clean . staff nothing GREAT group . be always easy several kid involve . one gentleman go way help one youth . group will not forget . make appreciate staff much . would recommend Essex anyone . 
 Feb 21 2008 	 not fool ! 	 price $ 69 seem like steal wrong charge show charge card check - out . front office manager return multiple message general manager always & quot ; unavailable . & quot ; Room strictly Motel 6 promise , despite 2 call directly front desk check - in . Staff talk we treat we like could not even read ( PhDs ) . frankly , surprised still business classic intimidation bait switch tactic . worth risk quality lodging area . 
 Jan 20 2008 	 Ice Box 	 ( family 4 three grandparent ) book three room Essex base Sun Times article place go kid . arrive early , front desk say would block adjoining suite we . return later learn adjoining suite available , clearly give suite someone else ( though not admit , go many fail excuse adjoin suite available ) . stick corner suite not really suite , room want use gather another full bed ; not couch table . weather sub - zero , one room suite unusable cold . luckily three bed , plenty bedding block cold draft pour room suite . run couple stay suite prior night , say give new room bottle water leave near window froze . the pool area hope enjoy kid cold ( water , room ) . morning , not hot water . leave , complain , without apology much acknowledgment , give $ 40.00 discount , hardly adequate , move grandparent kid around avoid ice box room . understand old hotel problem severe whether , lack concern management return . note enjoy staff essex two manager , one lie give adjoining suite away one give we $ 40.00 discount 229 $ suite . amazing upbeat friendly staff ( bell hop / concierge , clean staff , desk worker ) could work manager poor customer service skill . 
 Jan 8 2008 	 overall good experience 	 Essex Inn Hilton ( teasingly locate next door ) , be adequate . stay 4 night early January . room little shabby , clean , heat work like charm . could tell place stylish , actually , be start renovate whole hotel , top . also , amenity great : free , empty , well - stock gym , helpful staff , in - house restaurant , spectacular location . be right Loop , price point rarity . use Yelp find local restaurant cafe go , amazed food . con : ( 1 ) bathroom facility clearly old , ( 2 ) wireless internet signal strength depend sitting cost $ 6 / day . 
 Jan 2 2008 	 disappoint 	 disappointed hotel . boyfriend stay December 29th , 2007 discuste . room clean would like . tell amenity . desk clerks unhelpful rude . sound side like sleep right street . istress stay . 
 Jan 1 2008 	 ` ` atrocious '' 	 ' m sure be write previous review , even ' experienced motel , sure would find & quot ; inn & quot ; horrible . location guess everything thing go hotel . pay outrageous amount appear old half - way hotel new coat paint . picture pool show website must take first open ( 1800 's ) . shower provide warm water pool . room small filthy . carpet many stain differentiate carpet stain . hotel sink ! 
 Dec 18 2007 	 Superb Value Money 	 return 5 night stay Chicago 's Essex Inn Hotel , bit wary read review ' m sure submit could not fault hotel anything . room exactly describe show website . bed clean extremely comfortable . would absolutely recommend hotel anyone look value money hotel really fit bill . hotel restaurant good value good food . room clean high standard day . 
 Dec 17 2007 	 great location 	 hotel great location , right Grant Park . reception / foyer area small tidy . staff helpful enough . room small clean , fact designer room congratulate . get shower bath , toilet sink small amazing ! ! ! ! ! hotel however need complete refurb tired would well price then . the bar good atmosphere restaurant ok well cheap within 20 minute walk . wait staff evening fine think scour Chicago find Rudest , miserable , unhelpful people city set fo day morning shift . overall good value hotel important look elsewher . if fly terminal 5 O'Hare airport need aware food available go security . 
 Dec 14 2007 	 NiceClean Budget Hotel 	 pleasantly surprised girlfriend book hotel weekend Chicago . south Chicago Institute Art , across street Grant Park . area become nice ( restaurant activity ) since Millenium Park open . still long way shop Michigan Ave , shuttle take uptown Hancock building every hour return half hour . always catch bus ( $ 2.00 ) take cab . friend say also shuttle go different museum , aquarium , planetarium area 's really close Soldier Field football game . room adequate nice bed linen , decor nothing special , clean staff nice . parking garage $ 30.00 / per day . price can not beat look lot ambiance . large pool lifeguard duty fitness center , not use take look . also offer free gift wrap Christmas . good inexpensive restaurant , Chicago price , eat breakfast one morning . 
 Dec 8 2007 	 reservation problem 	 book room July 7 . arrive 4:00 November 6 tell room not ready . return hour later tell non - smoking room available . get nasty insist room & quot ; find & quot ; one . instead 2 double bed reserve king pull - out couch -- reserve ! information room restaurant , pool hour , area attraction , etc . positive side , enjoy restaurant . food good reasonably price . good service , . nice pool . 
 Dec 8 2007 	 good location 	 nothing special excellent base sight shop ! hotel provide free shuttle main shopping area sight . stay 3 night standard room 4 people , 2 double bed , good small people we fine . overall great hotel night ! 
 Dec 4 2007 	 great value clean comfortable 	 go Chicago play shopping . essex clean comfortable . shuttle run hour take Magnificent Mile ( hold 14 people , make sure little ahead 's departure time make sure get seat ) . easy walk ( 1 mile ) theater district . front desk staff courteous helpful . booked & quot ; shopping package & quot ; hotel include taxis valet parking - great deal . would definitely stay . 
 Nov 30 2007 	 nice enough gettin ' old ! 	 stay three night begin Nov long weekend . lobby ok great design check - in desk ' back ' corridor , thus 3 people create big queue ! staff friendly helpful though . we upgrade king suite room spacious good view park . decor fixture way past good ( brown ever good ? ) . couple bulb lamp , one tv remote crack broken microwave kitchen area seem early 80 's model . also room world small bathroom ( see picture ) hardly enough room turn around ! think whole room look feel bit shabby . location pretty good 10 min walk shop etc apparently free shuttle bus downtown not use . use free internet , always useful . overall , think would annoyed pay full fare suite , instead bit disappointed . 
 Nov 28 2007 	 complain good value money 	 hotel start 3 week tour USA . upgrade room overlook lake michigin . staff really friendly room clean quiet . arrive hotel staff advise we see could enough accomodate we . tell time flight o'hare advise we help we travel arragement ensure make time . although quite centre chicago 10 minute walk always feel really safe around hotel . definatly stay . 
 Nov 18 2007 	 well expect 	 parking expensive ( $ 28 / day ) . lobby area appear somewhat date , nevertheless clean . room clean , new bedding , nice towel . breakfast Savoy Bar & amp ; Grill around $ 10 , plenty food . pool area huge , plus staff lifeguard . ' ve see review 's prime downtown location .. People , be still downtown , block away .. walk ! good way soak Chicago experience walk ! valet welcome & amp ; hilarious . one man remember last year , retrieve coat park car .. ( year later , still give grief , joke way ) ..... Unbelievable remember almost year ago . I would willing stay . sure , 's prime area , be clean , adequate & amp ; staff well . 
 Nov 16 2007 	 exactly need one night stay Chicago . 	 stay Chicago Essex Inn November 13 ( one night ) . panic 'cause need one night could not find anything couple day prior trip . find room available gtahotels.com fear bad hope well book room . turn legit ( though take minute find reservation ... call England something ) get room good price -- together $ 145 cdn . hotel ask 3 4 minimum stay . location excellent : right Michigan Avenue , close everything , Loop area , excellent transportation ( subway , bus , cab , name ) , also walk main street shop . room spacious clean ... like say , nice price . go pool , huge , nice warm . sauna okay . Tuesday , nobody else . also fitness room . tv plenty channel . pillow not great , be mostly be use , comfortable bed pillow . complain would tub fill shower , water stay . bathroom look old , yes , tub chip , clean good enough . oh , close elevator , quite noisy throughout night . , people front nice , hotel nice not complaint , except clog tub . 
 Nov 9 2007 	 Excellent stay . 	 spend 2 day Essex Inn . location good , 10 min walk center Chicago . room fairly large perfectoly clean . hotel pool small fitness room . free internet connection also . have great stay , price pay , seem good deal . 
 Nov 3 2007 	 another Fantastic Stay ! ! 	 stay Essex 10/27 - 28 27th wedding Anniversary one Chicago Bears ' game package . 2nd year row anniversay gift . checked find give we suite ! ! amazed fabulous room view across Lake right could see museum & amp ; Soldier Field . every person warm & amp ; friendly us stay . room spotless . also take free shuttle downtown - driver wonderful advice see & amp ; eat . even drop we right outside dinner spot . wonderful place stay would highly recommend anyone ! ! love Essex Inn ! 
 Oct 29 2007 	 Great Location room need work 	 Location could well need , short cab ride anywhere need go . parking $ 35 day seem bit excessive going . Person park car check we courteous nice , problem staff . room hand need work ( see photo ) , tub fill shower , time ankle deep water , porcelain tub badly chip tub replace . pub lobby lively every time , bar staff friendly . 
 Oct 28 2007 	 Mediocre accommodation Michigan Ave 	 priority stay Chicago hotel downtown , inexpensive possible still clean . essex pretty much match expectation . we book hotel travel agent use 3rd party hotel wholesale company . get great weekend rate $ 150 / night include tax , $ 129 / night taxis . parking would additional $ 30 / night , park public lot around corner hotel $ 12 / night . also , parking meter street free 9 pm Saturdays day Sunday . since book wholesale company , possible confirm nonsmoke room ( former travel agent , know common practice ) . since check 8 pm Friday night , hotel fully book smoking room leave . room smoky smelling , entire floor soon elevator door open . desk staff gracious find we different ( though still smoke ) room Friday night move we non smoking room Saturday night . room 2 queen bed , really 2 full - sized bed . husband sleep queen bed home , sleep separate bed Essex 's way would comfortable one bed . sheet clean bed comfy . bathroom clean , exactly gleaming , due need update refurbishing . use pool sauna , much time . overall , decent , no - frill hotel not want break bank downtown Chicago . desk staff courteous bellman friendly helpful direct we public transportation . we spend much time funky bar restaurant Lincoln Park area , probably would stay future trip . nice close impressive Grant park excitement bustle Michigan Ave . also good location explore museum Navy Pier . 
 Oct 19 2007 	 fantastic value 	 stay hotel 1 night trip across USA . location great sightseer bus stop right front door . room spotless spacious . staff helpful especially porter help we organise sightseeing tour . one good value money hotel stay travel across USA . 
 Oct 7 2007 	 not recomend hotel 	 stay two night Essex Inn end two week Route 66 trip . far bad hotel stay , 5 visit us.the room small noisey next lift , drink machine & amp ; air con unit roof we . ask moved say hotel full . there hotel information area information room ' be re - written' . I find staff hand , someof one restaraunt almost rude . the clean bathroom small shower bathtub . I consider three star hotel would recommend anyone ! 
 Sep 12 2007 	 second thought ..... 	 let begin say rate overall experience average past review think walk unclean hotel . normally stay River North Area unfortuantely decent hotel area book . , decide book Essex hesitant first unfamiliar place review favorable . pretty much expect bad . positive stay ... 1 ) check 11:30 a.m. problem2 ) free shuttle Pier ( every hour ) 3 ) free shuttle pick - Hancock4 ) immediate action concern fresh stain room carpet ( great job housekeeping manager duty ! ! ! ) 6 ) location ( across street Grant Park = Buckingham Fountain7 ) Savoy Bar Grill ( wide variety item ) 8 ) valet parking 9 ) 4th floor heat swimming pool deck area ( pool 75 degree ) negative ...... 1 ) Valet parking ( cringe pay 29.00 day , normally stay hotel offer free parking guest ) 2 ) room seem small 2 adult 3 young kid ( 2 double bed ) 3 ) location ( grant park not much else area really want see ) 4 ) Savoy Bar Grill price high 5 ) rate pay 270.14 total Overall , satisfied stay Essex . even though not familiar area Essex make easy we get main destination ( pier ) . able take shuttle pier , walk Hancock pick take back hotel . kid enjoy pool sit outside terrace . guess kind wonder poster expect . mean expect pamper pleased hotel customer service give staff immediate attention give problem . would stay Essex Inn ? YesWould recommend other ? YesWould pay rate ? nowhat would pay ? 100 - 135 
 Sep 9 2007 	 dirty expensive hotel 	 stay trade show . excellent location dirty room . travel approx . 40 week year know hotel . carpeting need replace feel like always wear shoe . air condition weak good . try find another place book Essex . 
 Aug 31 2007 	 essex inn chicago 	 return visit Chicago beautiful city well worth visit . lovely people , lovely building view , lot do . however , book stay Essex Inn South Michegan Avenue , Chicago . website show lovely room , state recently renovate ! - terrible . please believe photo , appropriate . wash basin shower tray broken enamel wear away . wall chip stain mark . curtain filthy carpet cover stain . furniture old chip break . light switch old look & quot ; unsafe & quot ; clean . ask upgrade full ( local football match Chicago trialethon town ) could show we another room state our . needless say check next morning book fabulous hotel super day . Chicago 4 night could entirely ruin stay . please careful book hotel . picture show description & quot ; recently refurbish & quot ; give entirely wrong impression . 
 Aug 27 2007 	 not stay ! 	 never stay ! room damp 4 day , even air conditioner run , bed everything bring damp , . bathroom floor filthy . bedside lamp table grimy . first time go use & quot ; clean & quot ; towel , discover makeup one side - fold hide dirty side . bad part : have pay front whole stay website , find check Essex Inn also charge we room directly . nearly $ 350 mistake part could caused we major problem catch . credit we amount , take almost week correct problem . 
 Aug 7 2007 	 hide charge ruin stay 	 nice hotel good location Chicago problem turn we ever stay . plus side , staff friendly helpful ; room comfortable clean ( even though plumbing system bathroom really need update - shower water ankle fun ) ; food restaurant terrific , fact actually bar real plus we . the problem check - in check - out ridiculous . bottle neck create queue people try move around make awkward speak receptionist . also need send fax hotel ( something trouble hotel ) charge $ 5 send , personally think little extreme . we ask could store bag hour go eat breakfast hotel restaurant charge 50c per bag store . never pay luggage room , hear other around we complain thing . the dinner hotel restaurant delicious , pay bill get tick . though waitress service excellent , place bill table finish eat , leave much chance drink dessert dinner . really annoy we already add gratuity 18 % onto bill get . understand automatically add bill large party , ' ve never see do 's party 2 . thing annoy , far I m concerned , tip something 's suppose discretion customer ? since waiter waitress start decide good job ? fully intend leave excellent tip suitably reflect service service terrible - be expect tip regardless ? hidden charge incurred stay really put we stay . 
 Jul 28 2007 	 can not beat Location Price 	 Stayed Essex 7/24 726/07 2 adult & amp ; 2 kid . room clean & amp ; comfortable , location great & amp ; price can not beat ( compare 's next door neighbor upscale massive Chicago Hilton . ) across street Grant Park , walk block north 's Burnham fountain ( not miss night ) ; block be Millenium Park ( outdoor concert , sculpture , fountain ) ; walk Grant Park towards lake & amp ; be inField Museum / Shed Aquarium lake . even Sears tower , Chicago Board Trade Magnificent mile walking distance . walk thing , taxis wait right outside hotel , bus stop block away El train block walk . room small appear large one wall glass view park / lakeshore / museum / soldier field . Bed neatly make white high grade sheet , fluffy pillow like comforter ( like home ) . room clean stuffy first . turn AC high & amp ; spray room small car deodorizer always bring travel , smell great . bathroom clean except small shower , need really replace . 's good size exercise room , indoor pool , balcony overlook park . overall , definitely stay Essex Inn next time visit Chicago . 
 Jul 27 2007 	 bad $ $ 	 stay hotel NeoCon June , however get around writing review . terrible price . compare hotel bargin . get pay . clean - but small . 3 we room 4 would crowd . resterant fabulous though ... good reasonably $ $ . really Chicago probably room long take shower go sleep ... plan hang may want choose different place . 
 Jul 18 2007 	 dump ! 	 chaperone Debate Team national competition . need : space , quiet comfort . room tiny , hot terribly clean . service slow . check nightmare check - in desk locate narrow strip -- really wide hallway -- opposite elevator main passage garage . try fight way mob retrieve car take time . check take time . adjacent lobby small , conference go downstair conference room , unavailable regular guest . good thing hotel run free shuttle service Michigan Avenue . be need since number affordable restaurant immediate vicinity limit . good experience stay . 
 Jul 6 2007 	 Perfect family vacation 	 family stay Essex Inn week June . love location spend considerable amount time Museum Campus , right across street Grant Park . easy cross Michigan Avenue block hotel . hotel shuttle handy ; shuttle driver extremely helpful friendly . one day , problem shuttle bus ' defroster ( couple downpour ) next day , hotel even new shuttle bus . pool fitness room adequate . terrace outside pool forth floor handy . Wednesday Sunday night Memorial Labor Day , shoot firework Navy Pier terrace provide excellent view . easy catch cab hotel concierge we . hold luggage check - out 50 cent bag . eat hotel 's restaurant several time find affordable good ! elevator slow time room could ' ve big , not much . clean helpful staff . would definitely stay . 
 Jul 3 2007 	 Slow elevator 	 main thing hotel go position overlook park . room basic need re - furbishment . wardrobe room pole two wall hang clothe , door pole ! bad thing place elevator , soooo slow . long line form , wait magical event one turn ! basic hotel prime position . 
 May 28 2007 	 well expect 	 clean room . friendly staff . free internet opposite check - in desk . good location front Grant Park . Michigan Avenue long though walk downtown get tire second day . solution : buy bus pass number day stay . travel bus easy quite fast . bus stop way outside hotel . swimming pool wonderful morning swim set come back evening . Buddy Guy 's Legends Blues Club two - minute walk . hotel also offer free shuttle bus town every hour hour . conclusion : good , moderately price hotel . seek luxury hotel good price . restaurant premise . good american food beer . by way , Chicago pleasant clean city . always feel safe around hotel downtown . try Chicago Greeter Program offer completely free ( tipping ) private , guide walking tour city . 
 Apr 25 2007 	 great location - equipment bit old 	 stay night mid April room 2 queen bed ( 14th floor ) . bathroom OK . free coffee room . soda vend machine locate floor elevator . on con side , air conditioning / heating system look quite old . window old , too . on pro , room clean , location great 's distant museum 10 min walk . 's Michigan avenue . 's Caribou coffee jazz bar within 1 block . dinner hotel 's restaurant serve indeed standard US food . the Sears Tower require 20min walk , metallic & quot ; bean & quot ; bit upper Michigan avenue require almost walk . there free Internet ( web indeed ) access 1st floor . 
 Apr 8 2007 	 Disaster Hotel 	 upon check , learn pool , one main reason book hotel , close . one inform we time book . get room , find small , dirty ( ant bathroom ) , loud due construction hotel . , point fail mention book hotel . call front desk upgrade . agree put we & quot ; suite & quot ; . room , even though big , still dirty grungy . floor tub , whatever reason , squish step . think solve noise problem find short time wrong . room adjacent elevator could heard run night long . check - in / check - out hassle valet service mediocre good . needless say , experience Essex Inn horrible . would recommend stay hotel . ever . 
 Mar 28 2007 	 control air conditioning room . 	 arrive two inch dead cockroach floor front sink . throw away , big deal . temperature March 26 , 2007 warm Chicago . room really muggy walk . go turn air conditioning button go . call front desk indicate control heating cooling say wanted ventilation would open window ( screen ; maybe be cockroach get ? ? ? ? ) . humid uncomfortable night sleep well uncomfortable get ready next morning . lobby extremelywarm . sweat stand five minute check . restaurant good food cool comfortable . omelet hashbrown really good . stay one night go tape Oprah show next day . great price ( $ 95.20 total ( -- -- ) ) would definitely pay extra somewhereelse air conditioner control know could not receive . 
 Feb 7 2007 	 Good downtown location Budget traveler 	 great location . right next Chicago Hilton host Chicago Bears convention . got spacious room $ 98 per night . the room comfortable although hot water work properly shower . fun take shower cold water winter Chicago ! pool area nice staff friendly . lobby spacious well . would stay . 
 Jan 8 2007 	 nice location ... 	 stay overnight attend convention downtown . location great convention center museum , little south main restaurant shopping . room small extremely dirty looking . glad not child ! uncommonly warm stay November , temperature hotel regulate well . fan & quot ; cool / high & quot ; not work well ... make noise . check see possible crack window open , quite surprised find tilt could remove screen hole . hot decide risk , keep wait bird ( Spiderman ) come fly room overnight . picture pool look nice , not time check trip . bar decent , four five beer choice tap . lobby clean , much atmosphere mostly brightly light open pedestrian traffic . overall hotel cheap , especially consider downtown Chicago price ... get pay Essex . 
 Jan 2 2007 	 stay elsewhere ! 	 book stay directly Essex Inn . book shopping package , advertise magazine $ 109.00 per night . reservation make cost $ 139 first night $ 119 second . question whether parking include entire stay pose time reservation , wife tell yes . call follow day question difference advertise price charge price , tell room type availiable , ask least expensive room type avialable , advertised price . also ask parking include entire time , also tell . upon arrival room ready 55 minute check time due cleaning issue . inform parking cover one night , ask twice previously tell cover . Opon finally get room unpack 18 month old play . look Daughter look roll barber shop , cover Hair Dust . upon Check request speak Manager , act could care less , completely ignore concern issue . needless say never go Essex Inn . 
 Dec 22 2006 	 great value good art lover 	 pick english friend O'Hare spend night Essex drive west . Booked Orbitz , pay $ 91 ( $ 78 plus taxis ) room , $ 21 parking . access hotel convenient , check - in staff pleasant . room large , bed comfy . bathroom small side water pressure shower not great , fine one night . coffee maker room , otherwise breakfast . eat dinner restaurant -- good selection , reasonable price , friendly service . one delightful thing Essex artwork room hall . instead usual generic junk , museum poster kind -- Renaissance , chinese , abstract , photography , American Colonial , name . charming , wonderful . 
 Dec 2 2006 	 good location ok room 	 stay wife major conference include venue Hilton like previous reviewer . unlike previous two reviewer find desperately need scissor comment that . an initial room king bed rather small change double - bedded room bit far back . room fairly standard old style glass wall let noise . however Michigan Ave . lot less busy expect major problem . I visit pool garden area nice spend almost whole visit museum never really time use pool . for museum freak location excellent . I seem bargain hunter hotel room location major conference , bang buck good normally get . , location major conference , one expect ? 
 Nov 30 2006 	 Perfect 	 pay $ 450 3 night , 2 double bed . hotel really great needed tthe time . need hotel close Hilton ( conference ) . be right next door . staff friendly helpful . try borrow scissor , someone else , instead let borrow paper cutter ! room clean average size . bathroom fine enough , small . hotel close museum , shuttle Magnificent Mile . really enjoy stay , location , would stay Essex Inn . 
 Nov 8 2006 	 Execellent location everything cover . 	 find hotel ideal 5 day stay . room large bed comfortable always well make . reception staff willing help question even let borrow scissor . free hotel bus take town centre regular interval not far walk . the pool sauna excellent . pool area heat even cold october day pleasant . we would stay recommend other . not fancy Hilton next door get plenty quality good price . 
 Oct 12 2006 	 well expected 	 read unhapppy comment hotel TravelAdvisor website little wary making reservation . however , every hotel price range book four day stay decide need room great room Chicago . I happily surprised get . room clean spacious , bed comfortable , location great , service friendly . one request make twice , extra blanket , seem oversight anything resemble poor service , quick rectify . note little bit mold grout shower slowness water drain other comment . however , issue pretty inconsequential minimal great scheme thing . one issue weather go warm cold October heat / air conditioning centrally control . come 90 degree heat Arizona 50 degree Chicago bit jolt wear layer even inside hotel room . hotel air conditioning first night ( brr ! ) basically leave central heat / air conditioning duration stay . cold two night wait turn heat bring extra blanket first night help bit . complain second night , bring heater perfect . know , would ask right away . another issue door room not close completely without extra push two occasion realize room secure . start push door close instead let swing , problem go away . let front desk know check - out , seem agree security concern needed address right away . overall , hotel well expect happy stay . would happy stay return Chicago would recommend look non - fancy decent accommodation good location . 
 oct 9 2006 	 basically good 	 stay Essex location ( near Field Museum King Tut Ford Oriental & quot ; Wicked & quot ; ) please location staff . room 11th floor SMALL 2 double bed take whole space . tv work fine . Bathroom puny tub drain well . the pool empty , lovely clean . evening . restaraunt fine breakfast . hardly room , great place hang out- $ 250 / night ! 
 Sep 29 2006 	 outdate hotel friendly service good location 	 book standard room pay around $ 130 per night . bathroom , simple outdated remind we something would find military hut . room ok bed good lift overall impression . hotel outdate concern interior could use renovation , 2 elevator could carry guest fast enough line often build . rooftop garden great ; pool fine well gym . location good service personal friendly helpful . would stay . 
 Sep 18 2006 	 great location great price 	 stay Essex September 14 - 15 , 2006 . standard room two bed fifth floor overlook hotel 's pool . room large enough family three . the price great ( $ 140 include taxis , book travel agent ) , valet price service great ( $ 21 per night vs. Intercontinental 's $ 45 ) , location great ( directly across Grant Park ) . take complimentary shuttle , stop Art Institute , Navy Pier John Hancock Building . taxi Navy Pier $ 9 plus tip . the hotel 's size quality remind hotel ' ve stay London Paris . room decent size , although bed short . bathroom little worn , linen bed clean comfortable . staff friendly , include front desk , valet , shuttle driver . stay chain hotel suburb House Blues Hotel Marina City . hotel good compromise suburb 's price HOB 's convenient location . one complaint - package deliver hotel morning arrival . confirm delivery USPS Priority Mail , front desk not able find package repeat request . 
