love 	 great hotel , staff lovely , great gym food cool . cheap . 
 Oct 22 2008 	 little small 	 love bathroom room staty small . not sure abouty jacuzzi , smell chlorine 3 day after . to top , get stick lift 
 Oct 22 2008 	 Great Hotel 	 daughter book room ( use airmile ) close offer BBC TV Centre . ticket strictly come Dancing . fly Heathrow , take underground Hammersmith walk tube station hotel . fair distance , hand luggage . arrive room ready 12 noon , go bar , much delight , two star strictly sit , join third . lunch good bar expensive consider 4 * hotel London . room good although could do hook towel rail bathroom , well toiletry although could ask they . do dinner Studio , continental breakfast excellent although little strange eating bar low table . location excellent BBC Television Centre also Madame Tussauds next day . also go Harrods difficult Shepherd 's Bush underground close . I think possibly noisy night unlucky enough room close bar , fair bit noise corridor outside room early hour , common hotel . good earplug answer . 
 Sep 30 2008 	 Fantastic Time 	 stay Saturday evening last weekend , little nervous review say fantastic time . the food excellent , service excellent , room excellent , spa excellent ( get picture ! ? ) 12.5 % surcharge food drink one say discretionary dont pay ! planning trip back november would hesitate reccomend anyone else . 
 Sep 22 2008 	 beware bar service CHARGES ! 's complete rip ! 	 ' ve previously write review hotel ago , back last month thing still not get well improve service . room okay , ' ve never experience problem staff rude bad customer service like people say . 's unnecessary 12.5 % bar service charge per drink ( yes PER DRINK ! ) put guest return hotel . 's annoying age ' ve lose count amount time ' ve complain need stop greedy put price bar drink scrap service charge . warn 11.00pm , bar drink double shot still charge service charge time order drink . example , order several vodkas , find charge extra £ 4 close service charge , well expensive drink price . the K West always popular fashion crowd , record label rock band , often stay discreet location fact bar willing stay open last guest leave ! however , speak somebody work music business , hear lot band use stay refuse come back , many people row staff mistake drink bill service charge drink order , insane totally ridiculous . stay hotel two day annual Kerrang ! magazine rock music award several band stay . bar , could not help overhear lot complaint drink food price . the extra £ 10 charge use spa facility still annoy , . use sauna , steam room jacuzzi , two year . ' ve patiently wait see actually pay attention complaint . favourite thing hotel still Aveda product room meeting lot rock star bar ! may 4 star hotel , be like 3 star catagory charge 5 star price . K West get act together ! 
 Sep 21 2008 	 bad Hotel ever ! ! ! ! ! ! 	 bad hotel ever ! ! could wait get access computer write review . I travel alot make hobby stay interesting hotel . this far bad hotel stay since Holiday Inn era . what make soooo bad staff . not one person customer service . they cold incompetent . our room clean feeling . they keep put filthy bed blanket bed even tell reception take away . cover mystery stain . the housekeeping beyond terrible . would take away pillow , face cloth toiletry never return , strange . minibar vend machine hall stock maybe week . they charge extra $ 20 day use gym . continental breakfast place behind bar ask someone croissant kind cheese far far away plate . respond & quot ; not know & quot ; bar service non existent . restaurant service ........... bad time . pay around $ 25.00 burger not bother ot request well do know serve raw . oh $ 30 microwave style pizza . I not mind hike hotel price convienance eat hotel , bad . express enough awful be . I not even energy list numerous thing go wrong hotel . at top , not care . and hate 12.5 % charge service bar restaurant charge ! ! ! joke . I also love bok room 3 page eco friendly employee bus work etc etc leave light cleaning room . stay , beware ..... not say warn . PS .... lounge 10 ft away front desk like close & quot ; private party & quot ; turn night club . so wish nightcap , sleep communicate front desk , forget it . this 1 star hotel 2 good . 
 Sep 15 2008 	 Spa hotel not make feel good . 	 friend stay one night last minute change plan - due travel Paris could not channel Tunnel fire . decide book hotel spa good location London , hope luxury compensate somewhat disappointment . book package include one night double room , full breakfast ( way really rather good ) two half hour treatment + use spa , total cost £ 144 per person . due refurbishment nearest underground station , Shepherds Bush , walk Holland Park station take long 10 minute mention website . initial impression arrival great , build nice area far , design interior maybe mean look modern instead look basic . room well equip clean , decide reserve judgment . time book package phone spa manager tell we treatment ' 11 ' clock ' . ' specific , arrival expect receptionist able confirm spa arrangement , give book package , room - idea ' try find . next morning 11 ' clock go Reception check , ' go smoothly either , get delay . eventually get spa 11:15 , tell we late instead two treatment one . try tell misunderstanding , time tell get 11 order get ready complete necessary form , adamant : miss time , 11 ' clock confirm phone , ' later . refuse refund , ' offer alternative solution , even voucher another time simply bottle one spa product – ' need would made we feel well . time massage nice apart time music stop loud hammering noise could clearly hear treatment room . the spa facility nice rather small , people try use space allow . swimming pool all . on whole agree Kiran76 – much hotel attitude staff ( mention ' feed stupid customer ’ expression receptionist ' face yet another misunderstanding check ? ) stop we use recommend other . ok stay night leave breakfast , look hotel spa facility make feel good , must well choice London . 
 Sep 8 2008 	 solid special 	 fuss ? hotel right word connect - boutique , niche , spa , West London ... comfortable , clean well equip hotel not feel special . I book whoppingly discount corporate rate stay double deluxe room rack rate £ 319 per night . room beautifully design , nice modern layout , plenty space nice touch like full length mirror lockable fridge . nice bathroom facility Aveda toiletry dahle . comfortable practical style . the disappointment come rest experience K West . everything seem little bit extra . free internet cafe want room , wireless , that s extra . spa access ? Stump £ 10 day & quot ; environmental & quot ; reason . perfectly reasonable be pay £ 300 night one might expect little touch come free . the bizarre aspect stay breakfast . hold behind bar serve waitress , cause needless confusion compare simple buffet . £ 11 continental £ 17 dine odd mezzanine restaurant also another little extra add up . my safe not work nobody could fix otherwise service friendly fast . there touch cool - little LCD screen corridor show wavy coloury video abstract , vend machine room service , overall not feel like luxury feel like Novotel Holiday Inn slightly well decor . hotel need add service really luxury bolthole . finally , Shepherds Bush . near Shepherds Bush , Brook Green Shepherds Bush area , Shepherds Bush . let clear . 
 Aug 5 2008 	 K West really cra * 	 deeply disappointed entire experience really look forward , part anniversary weekendThe initial impression impressive , front hotel cover scaffolding – refurbishment work feel warn run reception confirm room , even book room first place . room entirely characterless whilst ' argue ' spaciousness ' claim , ' particularly ' soothe ' inspire . ' courtesy Aveda toiletry ’ scant hardly merit mention . phone ask reception could feather pillow request meet abrupt unaccommodate ' ' . feel £ 150 rather lot pay single night feel like little Travelodge - style accommodation . ' sure whether room like whether unlucky room put . regularly travel work use much high standard . rate ' include breakfast , welcome drink even welcome smile reception ! 
 Jul 31 2008 	 nice clean hotel try hard trendy 	 stay K - west travel business , hotel try hard trendy , corridor dark futuristic colour theme random screen way play bbc24.the room decent size single room , bed slightly large single ( probably queen size ) , bed comfortable , except silly oversized display pillow , end use one two pillow provide . I surprise read review mention not toiletry , glad find usual shampoo / body wash . the rate quote hotel £ 150 + vat per night , check laterooms.com find rate offer £ 115 inc . VAT know trim service get rate , rate breakfast optional £ 15 Continental £ 20 full English ( big loss , plenty cafe shepherd bush green ) Gym access ( £ 10 charge per day ) mini - bar stock , although take £ 200 deposit & quot ; incidentals & quot ; internet access expensive not bother use , although free access & quot ; lounge & quot ; never try that . go name expectation high , standard achieve par expectation trim service disappointing . I would stay , clean , quiet air condition . 
 Jul 22 2008 	 Basil Fawlty customer service 	 quite trendy hotel nice decor lovely room , ruin inexperienced staff.i ' ve stay four time work time leave frustrated mistake staff complete incompetence . like land day planet hotel , quite literally not clue be . first time insist take credit card check even though work pay , say security would not take money , stupidly give £ 1000 take , colleague room charge card . another time meet suite bellboy knock door ( even though disturb sign ) look trolley borrow tell would bring finish middle meeting , insist come get argument door still demand come get . unbelievably rude ' ve never encounter anything like it . this could good hotel could find good staff , ' m sure be bad , maybe ' ve unlucky encounter one hire Faulty Towers . almost funny bad ..... 
 Jul 15 2008 	 Rock 	 stay hotel 6 day business trip London mildly surprised stay . hip decor , sleek lobby happen bar overshadowed fact 's Shepherds Bush ... area not exciting . be mainly residential nearby park ( Shepherds Bush Green ) nice relax stroll . unfortunately , hotel cover scaffold Shepherds Bush tube station construction also . mean walk 15 minute one various tube station around . however , service solid , food serviceable room good value . think good aspect stay bar scene . find many rock band tend stay hotel bring ( one might say ) lively crowd bar ... open 24 hour . 's lux want stay relatively inexpensive room London feel like rock star , place ! 
 Jun 30 2008 	 nice room shame noise service charge 	 arrival , friendly receptionist inform have upgrade superior room . glad not get put ordinary room , right far end corridor . bathroom nice powerful shower lovely toiletry . when purchase two beer bar , actually walk ordering , charge 12 % service , privilege barman bend hand two bottle . felt rather rip off . the noise night terrible , little sound proofing , effort guest keep quiet . door slam corridor every minute throughout entire night , even though far end corridor keep awake . must much bad situated central area . 4.30 a.m. person room next door start phone conversation America wake . light sleeper usually take awful lot wake , imagine noisy man . first think speak loudly corridor realise actually next door . way anyone real privacy wall thin . room service fast , though food little tasteless . chip good thing . be warn look map hotel website show route tube station hotel . Holland Park tube station 25 minute walk five pound taxi journey . Shepherd 's Bush tube station reopen , travel hotel via tube easy option . 
 Jun 23 2008 	 Nice hotel shame service 	 spend money make place look great waste customer service ! stay one night , largely could get spa plus room deal . room highlight stay . well think design ( lot hotel work though ) well equip ( except vend machine corridor instead mini bar ) .However be stop . customer service appalling . lose spa booking ( although manager work hard save we ask full refund ) , bar service unfriendly appear breakfast staff favour actually eat there . the photo site make look large credit photographer skill make disappointed walk . manager take time invest staff place would fantastic . shame ! 
 Jun 16 2008 	 kw - tops 	 experience hotel fantastic . husband stop 4 night . upgrade arrival extra charge without we askin . expect much amazed get money . Breakfast even include . reception staff , often first line defence alot moan guest excellent , especially Sumaya ( sorry spelt wrong ) helpful make stay extra special band ( Mission ) come see topped treat 
 Jun 13 2008 	 would not stay 	 far many inconsistency hotel . bathroom look lovely photo need work tubs mould . tell room bathrobe . room service item available ( dinner hour ) front staff different story . housekeep great job room main area always clean . the reason notice inconsistency due fact stay colleague despite book ( room type / rate etc ) different service ask question totally different answer . 
 Jun 12 2008 	 Best 	 literally come back last night honestly , hotel well remember . Stayed last 2002 , major refurbishment take place . little learly read recent review , negative review unfounded . upgrade Executive Super - king , garden side , quiet , non - smoking room , roomy clean . everything room work , bed change every two day , well towel . keep mind home , not change linen everyday , need be vacation . promo 30 pound upgrade per night great . Renee Piggott , Reservations Manager go beyond call duty . work regard upgrade , hide fee add . need cab twice stay , ask meter black cab problem . desk staff professional friendly well . complaint whatsoever . would stay heartbeat . ' m picky come hotel , K west meet need . 
 May 15 2008 	 Top Class ! ! 	 every part stay hotel incredible ! every single member staff friendly helpful , room spotlessly clean , facility second none ! gym cater top range machine , jacuzzi , steam room , sauna superb . K - West , ideal place night 's getaway ! 
 May 1 2008 	 not ! ! 	 not even know start . hotel massive diappointment . ' m one life 's complainer hotel really set one ! London one night visit friend , seem like prefereable option kipping mate 's lounge . take sofa save lot bother money . the room basement would seem need sturdy water pump drain away water sink , loo etc .. asleep 2 hour wake pump every time someone floor flush loo run tap went - suffice say manage 4 hour sleep top . the irony come morning , want shower refresh bad night sleep ever , pump not seem work well actually drain water . stop shower 4 time allow tray drain go flood bathroom . 5 minute shower become 25 minute shower . there several plug socket room , one work , obviously one nowhere near mirror ! ! room tiny bed hard . bathroom clean tatty condition . real ice cake little receptionist care present list complaint . basically accuse we make stuff calmly ask credit card - well rehearse routine fear . place clearly get location alone . oh , & quot ; creative & quot ; website give away nothing horror await . 
 Apr 19 2008 	 good . need Part London 	 choose K - West seeing show Shepherd 's Bush Empire . 's 8 - 10 minute walk venue hotel , quite convenient post - concert . would stay reason . commentsbed comfortableroom cleanservice pleasant responsiveexpensive non - metered taxi call hotelgarbage pick - up noise early morningNo shower cap standard toiletry . disposable razor front - desk cost £ 3 . treasure forever . internet service room £ 20/24 hour . chicken dumpling teriyaki sauce bar incredibly salty . not bother . the continental breakfast £ 10.50 look paltry . nice bakery coffee shop Shepherd 's Bush Common . go instead . 
 Apr 18 2008 	 Agree overrate overprice 	 Agree fully previous stay . stay recently recommendation web site tell half truth . 's shortlist make easy you all : Pro 's : + nice bar+ open area internet access+ small semi - dodgy Shepherd 's Bush shopping mall close , could eat / drink budget . Con 's : - room outdate , refurb need soon- room could clean , carpet feel clean- lot room still old tv - set , flat screens- staff speak English well ( be London thing , indeed ) , would get lot well speak russian Polish- internet access room overpriced- expensive ( yes , work ' rate day'-principle , general expensive get ) - location really good . train pass near hotel ( noise ) far three different tube station , either bit walk taxi time . 
 Mar 25 2008 	 average 	 nice comfortable room nothing really stand . friendly staff lively bar . noisy night apology offer check . lovely big bed , PS2 nice flat screen tv . give incorrect bill check quickly rectify . expensive breakfast want room service rate directory seem different tell reception . not breakfast end . mini bar corridor strange leave room use small selection food available strange combination drink ! nice find slightly disappointing website misleading . 
 Mar 25 2008 	 Loved KWEST ! 	 K WEST change old review mark . I find staff extremely friendly helpful . manager Renee go beyond expectation . executive room huge , spotless comfortable king bed . clean staff excellent . even room service food good . location great less 5 minute walk tube . book KWEST next London trip ! young hip hotel . old hate fun , stay somewhere else ! 
 Mar 14 2008 	 amazing would expect 	 stay couple time past month find bit disappointment . staff great also surly difficult time . bed comfortable room decent size train line main road often noisy . bathroom nice enough essential would expect amount money miss ( shower cap , vanity set moisturiser ) find stay convenience choice ... 
 Mar 12 2008 	 nice stay K - west 	 K - West Boutique Hotel London / UKVery trendy nice hotel spa wich bad thing polute London ! good hotel modern desing loby room . good value money think stil lot improve service ! ' ve get friend call we mesg . lost- understand & amp ; ? good location tube station working- staie end February 8 night find Tube station -Shephardbush- enter work close June ! - otherwise litlle take consideration Holland Park close 7minutes walk , bad ! notte Hill close add value . if look area quite bustlling ! Carol Jerusalem 
 Mar 2 2008 	 Noisy Noisy 	 would normally stay London convenient family party . we decide treat stay one top range suite . first mistake two adjacent suite night party seem start 4 morning . in addition room smell stale smoke air conditioning go greasey cooking smell come in . the decor may classed hip like door bathroom already show sign wear . the staff mix good , rude untrained . not experience intend repeat . 
 Feb 27 2008 	 watch cab ! 	 stay K - west friend , February 21st , book Girly Night Package , include manicure pedicure , goodie bag full girl good friend , CHOCOLATE ! complete chocolate cover strawberry glass champagne receive beauty treatment . everything great except cab driver , friend say overcharge we , live outside London use cab frequently . almost £ 30 Hotel near Prince Wales . get cab back £ 18 . cab call hotel , hackney cab , meter , taxi black cab request , not time argue go show . feel rip especially consider tell we hand £ 30 change , fare £ 25 . friend say give whatever change receive princely sum £ 2.50 . normally tip like voluntarily forcibly . read another person review way rip cab hotel around time think hotel review provider service perhaps employ new one reflect badly hotel . one negative , spa tiny pool staff , especially Charlotte friendly . would recommend package order cab reception , use directory enquire call mobile ! 
 Feb 21 2008 	 even close 4 - Star Hotel 	 book K West Hotwire buy 4 - star hotel Kensington area London . 4 - star property . even close . website make look hip , may lobby , room dumpy . sink would not drain , still not fix complaint . room particularly clean either . stay lot hotel relatively easy please , place worth price , even overprice London . never write bad review hotel ever . another caveat , close Underground station close renovation . walk next close , 10 minute away , bad , warn case . bus nearby work well . I think bad part stay cab ride hotel arrange . two stop , one Eurostar train station Paddington station transfer Heathrow . ask go Paddington first , cab driver take we Eurostar first instead . bad , hear later boyfriend cab driver almost insist drive Heathrow 30 extra euro , not go Paddington . boyriend throw fit report , beware . would safe woman alone , hotel call cab driver like guest . 
 Feb 11 2008 	 great location 	 regularly stay business close Olympia , excellent large room , great food , reception staff slow though ! 
 Feb 9 2008 	 good experience 	 will give good summary hotel ... first , aware excessively bad one - star review , seem happen hotel site usually isolate experience . this hotel offer specific product : true 4 - star facility well design & quot ; cool - urban - contemporary - boutique & quot ; ( know mean ) type place . importantly , cheap typical 4 - star hotel Central London , edge nice area oppose it . if read suit taste , recommend stay hotel . drawback precise location kind ethnic work class area , short walk away Underground upscale Notting Hill shopping street . actually enjoy experience bit middle - class London scene walk to / from Shepherd 's Bush Station . 
 Jan 31 2008 	 customer always right K West ! 	 arriverd hotel rrom ready time . porter stand walk twenty minute stuck lobby suitcase . later evening arrive back hotel porter stand door open . not happen look girlfriend I.They change bed everyday ( first hotel find policy ) .When check make payment top fee room . cover additional expensice may put room bill ( £ 50 per day ) . tell reception would put straight back account check . 7 day later still room charge additaion charge frozen account , evan though bill settle leave . speak manager K West get response - & quot ; nothing personal finance bank hold money ( true ) . hotel overprice rate , London much well offer . 
 Jan 19 2008 	 cool hotel problem 	 Booked Hotwire not know stay commited payment . be little central London would prefer room comfortable hotel obviously fashionable place local BBC type work nearby . ( Paul Weller bar last night ! ) however , wi - fi cost £ 10 day room free lounge area - ? second day pay never work , hey refund that . also problem hot water , especially morning everyone else use . get someone fix eventually . a good hotel ' ve stay well London cheap 
 Dec 29 2007 	 stay ! 	 stay . boyfriend stayed think sleek , modern hotel room look nice . however , major problem pretty much ruin trip . the customer service horrible tell satisfied . slight problem need sort accomodation , forget . take care . reason stay here:1 . call we cab morning never call almost miss plane . finally get one stand freeze cold 5 30 minute . 2 . hold $ 400 usd ( 200 gbp ) 7 day without tell US hotel $ 250 usd , go daily withdrawal limit could access money continue traveling.3 . hotel staff ( especially management ) horrible unaccommodate . management rude return tell stay inconvenience even laugh we feel accommodate travel experience affect . trust . stay . 
 Dec 12 2007 	 good location next Tube station 	 impressed arrive book twin non smoking room , try fob us smoking room , eventually complain give we non smoking room . parent upgrade free charge , room nice . room quiet , small cosy . hallway hotel dark welcoming . I go hotel parent sister night London . find hotel good location transport rest city , right next Shepherd ' Bush Tube Station . we find breakfast excellent good choice , ' stop evening meal go theatre see Sound Music . overall , would say place great music fan , people like we want somewhere stay carpark , ' sure much nice hotel well value money . anyone want ask question leave message ' get back : ) 
 Nov 18 2007 	 lousy stay 	 firstly , room shoebox , expect sometimes expensive city . check problem , everything . start ? 3 lamp room , 2 burn bulb . call Front Desk say ? well , never seem answer phone . decide shower- turn water immediately scald hot water spray nearly impossible turn . seem cold water pressure . finally get less - than - boil temperature , shower ; however , half show door ( ? ) bad seal bottom , bathroom flood . heat not work , either ( , good luck reach Front Desk ; fortunately , small room , hair dryer help ) . , noisy slam hallway door , furniture room ( besides bed desk chair ) inability get service make stay elsewhere back London . 
 Nov 11 2007 	 K bad 	 husband stay K West often 's problem , bad experience yet . first , check Oct. 31 problem check one room embarrase husband Tour Manager make look bad front client . secondly , person check Nov. 1 arrange early check November 3rd specific instruction regard parking etc . pre arrange travel agent confirm person Nov 1 . arrive morning Nov 3 tired overnight flight U.S. one bad hotel experience ever .. room not ready , indication six room reserve ( husband party would arrive later evening ) together trouble route billing seem annoyed request . ask parking re - confirm arrangement make , know nothing indicate would problem . really get upset would come late night van full expensive music equipment assurre secure parking . finally check agent , Sveltana , get manager Mina , introduce Deputy duty manager . Mina nice apologised agent say new , etc . assure parking okay room would ready soon . take bar buy coffee . promise bring card come back check . never see next two day . hour , decide go front desk check room . Marquez , seem annoyed check say would 10 minute would get . 30 minute , go back say room ready , cleary forget . want ensure room rest party checking later request . every question meet annoyance . room okay would expect money . the next morning breakfast , literally treat like child . go upstairs ask table one . ask room number provide say , however , would like settle bill separately . explain cost 15 GBP say 's fine try get go downstairs less expensive continental breakfast . mean , , look like could not afford 15 pound ? order room service one night fine , morning check go downstairs pay room service charge separately discover several incorrect room service charge add add bill . take awhile finally sort out . thing difficult , every single thing ask staff feel like overburden they . I would recommend hotel unless lot patience time go bill fine tooth comb . 
 Nov 7 2007 	 Fabulous stay cool hotel ... 	 read mixed review people not sure hotel go like . I have know hotel think look like cool place stay say not let down . my housemate teacher , half term break want relax stay spa treatment . spa treatment London ( research ) cost anything £ 50 £ 90 case . the package choose weekday wind stay 2 day entitle we 2 treatment ... cool ! ! ! decide get upgrade executive room make night cost we £ 125 night . seem lot think include treatment good value . we think go Sanctuary , do treatment go city ... relax ... anyway , hotel close Shepherd 's Bush tube station hotel 10 min walk there . we arrive 1hr 30 min early check , staff move we room ready could go : ) great ... ' ve put pic room . think room great glad have upgrade . able control temperature room think great feature ! check room go gym 1 hr quite small plenty stuff equipment 's tv place put headphone . we go steam sauna room really relax . round jacuzzi soak hmmmm : ) 2 treatment arrange 4 pm , 1hr 30 min massage dry floatation mud wrap ... woman treatment lovely extremely professional setting exactly look . great thing put robe , collect stuff go room , order room service watch movie : ) next day breakfast , great choice food thought fill , not need eat re day ! go shop Oxford street come back , use free internet access lobby area another session gym jacuzzi . that evening go bar end back hotel buzz people . Mark Ronson Chemical Brothers gig kind party . ater charging drink room feel one staying go bed 4 am ! ! ! great bouncer / doorman make sure one cause trouble fall asleep bar . lot industry type , EMI , BBC etc , great time chat all . the next day check troubel friend sort bill different amount . I would recommend hotel many different level , 's proximity London , coollness relaxation . room quiet trouble anything . staff extremely friendly , say hello walk corridor ans extremely accomodating . treatment dream definitely stay , already plan second trip xmas : ) hope not blather find useful : ) 
 Nov 6 2007 	 bad servicenoisy roompoor breakfast 	 room extremely noisy boiler next room . thw breakfast poor , beck little buffet . and bad happen check out . the receptionist want bill credit card claim use internet . I complain charge 
 Nov 5 2007 	 Appalling customer service harass staff member spa 	 atrocious Customer Service . harass staff member spa treatment already pay for . make wait 30min check whilst check room ( case steal anything ) aware cab wait outside . spend £ 1000 hotel would expect well service . overall felt treat like criminal . not RECOMMENDED ! ! 
 Oct 31 2007 	 nice comfy 	 stay see concert Shepherds Bush find hotel pretty cool . area bit dodgy not think would comfortable walk main bit town around back street hotel own . the foyer nice wait long get check . know honeymoon send bubbly we . the room ok size , v.comfy bed bathroom ok , decor seem quite uber - cool . we not use bar amenity comment . may stay way ! 
 Oct 29 2007 	 Good Hotel ... horrible Location 	 honeymoon 4 night , food great , room ok , pretty amazed size first , would really trade space another location . close underground station & quot ; Sheperd 's Bush & quot ; ... walk though strange street , well really walk long trully feel like walk Miami Seattle really creepy . someone mind bit insecurity feeling , person get fire alarm go nothing ... stay hotel . really bad location bad thing ... overall ok .... really outstanding Club Sandwich ... service really good , people friendly ... do not arrive check ... check leave hang @ bar chair lobby 
 Oct 29 2007 	 weird experience 	 not terrible hotel , honestly experience hope . Booking upgrade fine , check horrendous ordeal . tired journey hot hotel lobby , take good part half hour receptionist deal fact would bring different card check one book . process obviously painful fact , leave reel tell have pay two room offending card ( oh HORROR ) . come , surely not first time happen ? 's procedure , K West ! also resent pay £ 100 per room deposit case damage state art audio visual system room . outrageous . ' ve stay hotel world ask pay hotel smart kit ! well , aware deposit , check a / v stuff room work not . instruction room pretty useless info hotel guest folder room - mainly info relate product service ( food spa ) . useful proverbial chocolate fireguard . phone get maintenance person go set procedure phone . even mp3 connectivity ( be wrong supply proper dock ? ) fail work . room clean , large bit bland . agree previous reviewer , toiletry although AVEDA really pathetic ( shampoo body wash ) . conditioner , moisturiser annoyingly , bloody showercap . strangely , 100 million bloom towel ! ! Less towel , K West , toiletry ... bar expensive nearly fall bar stool hand bill £ 15 two small glass ( rather bog - standard ) Sauvignon Blanc . restaurant cheap comparison . service rather less attentive , something evidence breakfast . overall feeling leave place run convenience staff rather guest . staff friendly , without exception peculiarly detach indifferent . weird wonder later staff drug hotel 's airvent ! ! 's bit like cater Borg , Star Trek . ' ve money burn need place stay London , go see . 
 Oct 17 2007 	 funky comfy relaxed 	 first arrive hotel partner greet doorman open door we . reception area light airey trendy feel . check arrive room . immaculate bathroom gorgeous ; modern complimentary Aveda toilettrie . suite nice , large amount wardrobe space , desk mirror , sofa , tv , sound system Ipod connection , iron board superking sized bed . spa also amazing , really relax , superb value get bed breakfast spa treatment include room package . also able upgrade room superking bed £ 35 per night . worth money . great time . breakfast morning good variety choose everything tasty well prepare short space time . 
 Oct 10 2007 	 bad great 	 first impression K - west promising - busy side street , fronted net curtain , look like motel luxury hotel . check - in ok ; receptionist appear little distracted . I book executive room , spacious , clean neutrally decorate . bathroom & quot ; standard & quot ; & quot ; luxury & quot ; range toiletry pretty basic . ' m also bit fed stay hotel bathroom door glass - 's wrong little privacy ? one drink bar , somewhat expensive . bar staff pleasant knowledgable , think little cheeky service charge automatically add . on balance , probably would not stay : money , easily get hotel nicer central . 
 Sep 24 2007 	 pretty good stay 	 recently spend short stay K West . main concern find hotel London spacious accomidation . travel friend mine do not want bumping elbow stay room size premium London paranoid . find hotel uneventful , Sheperds Bush easy get around stop tube get city breeze . Checkin pretty good . request double bed get single , annoyance tired do not bother make stink consider customer next wait room ready . 8 hr flight ready lie . room pretty big , small seating area , big work desk large bed . think executive room book , slightly regular room well worth space get . view uneventful good retreat bussle downtown . one slight annoyance room service do not power converter US appliance , ' ve hotel London usually issue . use laptop trip . minor annoyance / blessing allow relax without feel tie email . the bar pretty expensive , spend one night hang friend vibe pretty friendly patron bartender . minifridge room nice touch do not get cold . tv kind old disappointing accord room description lcd . overall size room value good enough come back , do not feel like pay arm leg feel like get room comfortable enough feel relaxed arm room . final morning stay ( Mon ) notice construction go morning , awake thank leave window open . minor annoyance think might unique one I m willing give place another chance sheer ease get around space money . 
 Aug 29 2007 	 lovely staff shame noise ! 	 staff hotel friendly helpful ( also attractive ! ) , room facility great . however , not know 's location poor sound - proof , noise corridor night irritate . obviously can not blame hotel inconsiderate guest come hour shout corridor , somehow sound lot noisy hotel ' ve stay . having say , really enjoyable two - night stay , particularly upgrade free . free internet access pc bonus , although 100 % reliable . continental breakfast delicious relaxed . finally , not put external appearance , far grand . inside compensate ! 
 Aug 5 2007 	 great room ! ! ! 	 GREAT room ... american like King bed , well , hotel do ... bathroom match . the lobby bit rundown , pretty rough around edge , , upstairs room ... great . the location good . Sherperds Bush Tube stop step away , though outside Congestion Zone , worry , easy get Fro ... highly recommend . 
 Aug 4 2007 	 Fun relaxed home away home 	 's true entrance run street pretty ordinary , step inside delightful little gem enter relax lively hotel . staff polite , helpful discreet . decor modern fresh . room large comfortably accomodate husband two young kid ( sofa bed ) . criticism allocate & quot ; smoking room & quot ; stank would recommend specify non - smoking room not want sleep ashtray ! otherwise , love . would definitely stay . 
 Aug 3 2007 	 want really like K - west 	 ' ve stay K - West like well . staff friendly , pretty clueless room - least one stay time - see well day . fairness hotel completely full , could go wrong - could - go wrong , price acceptable . 
 Jul 29 2007 	 Rock n Roll Slumber 	 arrange trip friend get see band - Black Rebel Motorcycle Club - Somerset House London , stumble across little gem hotel . ideal want stay somewhere trendy would like veer away usual touristy area . located Shepherd 's Bush , area hotel locate give guest sense like live London away West end usual famous site . London Londoners . record company concert promoter seem use hotel lodge band visit London . indeed , band come see also stay hotel . resident bar resemble aftershow party musician music industry type party late hour . whilst lounge mac - book populated bar afternoon , overhear record exec convince one new northern signing license tune use tv ad one main supermarket chain . the hotel may bit buzzy hip taste , niche audience serve oasis cool . room fine , restaurant - decent value price . Turn leave outside hotel beautiful strip tony shop chichi restaurant , gem place breakfast lazy lunch . tip : 2 tube station call Shepherd 's Bush - one , one ground . locate 7 minute apart serve different line . clear one intend use ( recommend subterranian one ) avoid confusion . 
 Jul 18 2007 	 Cool hotel weekend treat 	 book & quot ; Weekender & quot ; rate boyfriend & amp ; hotel 's website upgrade executive room extra £ 35 . room really spacious bed huge , comfy ( want take pillow home ) .. ! bathroom spotless shower great water pressure . boyfriend book massage surprise ( bliss ! ) allow use jacuzzi steam room , able join extra tenner apparently let we use spa & amp ; gym day - relaxing ! DJ bar night atmosphere quite buzzy hotel bar , end quite late one ! therefore get later plan thought have miss breakfast - pleased discover serve 12 , really sizeable tasty feed restaurant & quot ; Kanteen & quot ; . location not glamorous residential area mean road noise night , convenient close central line . also stone 's throw away multiplex cinema whole load bus stop . find staff friendly & amp ; helpful – great stay ! 
 Jul 17 2007 	 ordinary .. would seriously look someplace else money . 	 wife spend first year anniversary spa . book last minute.com pay £ 115 day . get , thing explain well . leave work thing suppose , disappointing . feel value look . although wife massage manicure say ok nothing special . lunch choice salad , salad yes salad , fair lunch tasty right amount . dare order drink way price . staff well intentione idea go . overall real disappointment money feel pay £ 60/£70 day feel would fair reflection price . guess try get across post picture place look fantastic , relax modern . ' get across fact ' feel look , ' overprice disappointment . would seriously consider alternative money . 
 Jun 9 2007 	 2nd Visit K West 	 book Tablethotels.com always make safe easy . K West consistent second visit . like large , contemporary room great location . service fine . computer internet connection spotty ( time ) , business bit touch go . it super quiet hotel , quite like energy hip vibe . the hotel Shepard 's Bush , feel like come area London . diverse plenty restaurant choose , though none seem terribly swank ( ok ) . hotel inexpensive , feel get great room price . 
 Jun 6 2007 	 K West let ! 	 Hotel ugly frontage quite tatty part town bin bag along street ! check lounge area atmosphere not bother use bar right next entrance . give room feel like basement along past spa . room clean good size bland unwelcoming . loo make awful sound flush ! mini bar vend machine - very naff ! expensive big letdown ! 
