robbed 	 place horrible . service terrible first arrive actually rob middle night sleep . think someone staff door lock . report incident follow morning , ignore security actually tell us hope & quot ; money may return & quot ; . could . never stay . money lose . could stay somewhere way well . 
 review pretty much right 	 good reason stay Imperial Palace location - pretty much heart strip middle everything . price main reason stay . would prefer stay somewhere nice , money , hotel good deal . whole lot - nightlife pretty much non existent IP , hotel close always something . room decent - nothing spectacular mean , shower hot water pressure really good . noise level okay unless someone loud hallway ( be Vegas 's go happen ) . room pop machine get little perturb someone fill 7 ! say - & quot ; get pay & quot ; be will get IP . 
 love place .. money 's great 	 right middle BIG casino 's .. be worth ! different kind room everytime go .. can not decide one like good ! be one w/ huge tub .. year stay one w/ & quot ; living room & quot ; ( couch tv ) bedroom do not ' door tho . can not guest . lol 
 good value heart strip 	 read mixed review even advise friend stay Imperial Palace , however get great flight / hotel deal thought would give go . arrive Thursday , check take 5 minute , walk room . inspection room , even check bed bug , thing lack little bit hair bathroom floor . next day clean lady clean bathroom . hotel outdate , restaurant worth eat minute much well restaurant Margaritaville , etc . pool decent get pack small . weekend hit , hotel full elevator line get alittle long , never long 5 - 10min wait know way around hotel could find alternate route room tricky , finally master shortcut day 3 . location ideal , also bus stop right outside hotel . plan spend hotel instead outside enjoy strip hotel suit need . look hotel want stay play without leave , upgrade different hotel ! 
 Bed Bugs Imperial Las Vegas Beware 	 stay 6 night , second night itch third fourth day show clean lady tell lady must develop allergy show back leg . agony week ask new sheet , blanket , bedspread , day would ask something new . look sign see nothing . come home see MD next day say bed bug bite . call hotel look . want stop rent room refund money . respond yet . shocked let manager know hotel ! ! ! many people sabby bed bug cleaning lady say , allergy must develop . besides want man see , embarrase even complain clean lady show bite claw self try get relief . shy post help someone else . tell friend OH got BED BUGS . 
 cheap rate good location nothing . 	 Booked IP quick one - night stay low rate . not expect much , still disappointed . probably uncomfortable bed ' ve every experienced . room , hallway , casino wear dirty . front desk staff casino personnel seem fairly competent . would ' ve miserable extended stay . tip : stay , request room far away Rockhouse Bar , otherwise will hear thump bass early morning . 
 Hey be Vegas .............. get to love ! 	 hey get back Vegas wonderful time . six we go stay Imperial Palace . 4 we regular room friend repete customer compe penthouse ! staff great , room comfy clean restaurant good . can not beat location price . town Sunday CFL play West & amp ; East final Grey Cup . GO rider ! Wynn say would play game us sport bar ....... ....... mandalay Bay conference 2000 Canadians stay would play game either . ask RockHouse IP say bet . 4 tv go , 2 1 drink special we treat we like royalty ! Thry aslso go play Grey Cup Sunday anyone donwn . go see great bunch ! Annie waitress even wear Rider Jersey ! go see Terry Fador Mirage , great showman lot fun ! would go back IP , like sixe place , treat well enjoy right middle everything ! 
 Oct 4 2009 	 bad great 	 want somewhere middle strip reasonable price , probably place . 's fancy , far actually . people front desk kind helpful . room date , clean . water back tub take shower . take 20 minute drain . Vegas wedding , really quick trip , back less tan 24 hour . hotel serve 's purpose . room total 4 hour . going stay long , not hotel would probably choose . 
 Oct 3 2009 	 seem like good idea time ! 	 travel alone wedding Las Vegas , decide Imperial Palace central reasonably price , thankfully not book really really cheap room annex ! arrival , 22 hour journey expect encounter bedlam . noise reception unbelievable - slot machine drunk compete loud . herd ' la Disney ' communicate sign language bore receptionist , send wrong lift return ground floor , still bag porter evidence start . room clean ( ish ) dingy although everything need . like patient sardine hotel , lift slow , small infrequent . wear would look elsewhere . wifi expensive unreliable , room service slow cheap , shop tatty cheap Bettys Diner i.e place eventually able buy sad overpriced sandwich erm , interesting . want bed crash , fine . want peace feel vaguely safe , avoid . still worth though niece wed Bellagio ! , hotel half ......... describe hotel e mail tomy husband ' chav central attend trailer trash convention ' . Nuff say . 
 Oct 3 2009 	 customer service supreme IP 	 group 22 stay Imperial Palace 9 - 26 - 09 thru 9 - 29 - 09 . trouble check - in , elevator 's , cleanliness room 's . everyone sofriendly willing go extra mile make stay pleasure . return another stay spring . 
 oct 1 2009 	 Better Deal Vegas ! ! ! ! 	 pretty skeptical review hesitant stay IP . moment arrive check - out nothing impressed . money will not find nice place outstanding service . cater treat like entire time . find nice hotel strip pay much . never treat well staff Imperial Palace .... give shot .... pleasantly surprised 
 Oct 1 2009 	 average Tough Contrast 	 important thing need keep mind : 's reason Imperial Palace usually good / most affordable deal Las Vegas . be one old hotel strip really old think , 's hotels strip average lifespan 10 20 year . first , one go Las Vegas spend significant amount time room unless be pass drunk . be go wrong reason . nice luxurious hotel room wait get scorch hot desert atmosphere ? course , really need reliable base opperation be set . imperial perfect . pointless compare imperial glamorous hotel surround . 's obviously go stack , get pay . case sensible room reliable air conditioning perfect location - dead center strip . lobby dingy , decor out - date room par well enjoy ! unless feel like pay double price room will hardly spend time . 
 oct 1 2009 	 great Stay ! 	 like review read Imperial Palace , agree update need ... carpet particular . room quite nice overlook pool . carpet bit stain , overall , room neat clean find everything work order . hotel staff accommodate room service , twice , prompt food quite good . eat several restaurant hotel equally good . also read problem elevator , find problem . location , say least , fabulous ! stay hotel several time past always positive experience . time exception . great value ... great service ... great location ... could not ask . 
 oct 1 2009 	 average hotel strip 	 would describe IP average hotel - bellagio extreme Circus Circus . room date decor linen / towel change regularly , carper not always vacuum room clean . hotel corridor noisy night , Vegas people come go 24/7.the casino offer low $ minimum stake casino , restaurant pretty average . nothing bad say , likewise nothing good either except central . $ 20 dollar trick not work . 
 Sep 29 2009 	 excellent value money could not ask well location strip 	 first time partner Imperial Palace . sister recommend . warn expect anything like Paris , stay previous trip . money pay , not expect quite good . ok room need TLC , first room give unmade full dirty dish . go back reception give we different room apologetic . let honest , Vegas want comfy bed sleep long day gambling shopping . definately get . staff Imperial brilliant . look like star deal card game entertain . atmosphere buzz around casino amazing . try Emperor 's Buffett , would not recommend burger place good . many different place eat Vegas , suit every budget shop around try . enjoy stay much partner friend go back March 2010 50th birthday celebration . 
 Sep 23 2009 	 Ok Strip ! 	 stay Imperial Palace 9/11/09 9/13/09 . town Travel Trade Convention . want check hotel since rate excellent right Strip review ' so - so ' . be certainly 5 - star clean & amp ; serve 's purpose . little disappointed since know part Harrah 's property . however ; addition , Harrah 's Hotel every ' walk life ' ! cafe ' serve great breakfast . also pick Hotel since part Monorail system & amp ; need get Convention Center daily . not want stuck hotel right next Convention ( although Hilton Las Vegas perfect ! ) give chance close strip . also stay Bally 's ( another Harrah 's property ) ; check review & amp ; photo also . 
 Sep 22 2009 	 I m fan Imperial Palace 	 consider location price Imperial Palace , I m bother mould bathroom stain floor , staff friendly help we find cheap attraction around las vegas . shot Imperial Palace ! 
 Sep 21 2009 	 Great stay 	 read review hotel little worried . start check . arrive 6:30 pm long line chedk . frequent player Harrahs go Platnum / diamomd line ther one line check quick . get room clean everyte need . yes need TLC still nice . go next door Harrahs catch shuttle Rio quess , one line check , guess price matter since room Harrahs least twice much per night IP . stay three night problem maid service . elevator . yes sometimes wait minute , large hotel lot guest . several banksof elevator , find one close room use . ice machine close room order , one hall work fine . we eat hotel Veagas many time already make plan take Grandson place enjoy . ( purpose trip Grandson 's 21st birthday ) stay IP good . use valet parking prompt courteous . mid strip walk everything . want good room strip IP place stay . 
 Sep 21 2009 	 bad experience many stay Las Vegas 	 stay least ten ( 10 ) Casinos Las Vegas , least twice Imperial Palace since 1993 , bad experience . make complimentary room reservation month advance request two Queen size bed . check request Queen size bed . inform check $ 10 processing fee free room . assign room find two double bed room . complained phone , tell Queen bed would additional $ 20 per night . go complain person notification advance additional charge room bed size cost , & amp ; desk clerk talk supervisor give room queen bed additional charge visit . wife daughter trap elevator door would open . elevator break least twice three day stay , elevator slow . every trip elevator conversation include comment elevator , least three ( 3 ) time hear person say would never stay Imperial Palace , wife say ever want stay either . stay Harrahs Casinos , & amp ; hotels strip & amp ; Fremont st . & amp ; always inform advance additional charge request service item . never pay Processing Fee Complimentary room additional charge queen bed . brother check Imperial Palace day Complimentary room & amp ; charge processing fee . 
 Sep 19 2009 	 first room put 	 arrive put room # 147 2 elevator trim- 1 long walk 1 . room old , musty overlook fire escap . go back desk tell want change , tell non smoking room . since 9 pm , choice . tell come back 2 6 pm next day see available . go back desk early next morning ask lady change , would 2 6 pm day , ask wha floor want give choice room move ready time . put comfortable room , clean near elevator . assume , sure room night ! ! would recomend put room 100 number move speak manager , originaly room location acceptws . 
 Sep 19 2009 	 would book hotel 	 return today arrival tell room bit way get 2 elevator come back next afternoon get well room although nothing wrong 1st room.it the13th floor overlook strip bit noisy do not bother we spend little time room room spacious enough , bathroom bite small clean complaint . the dealertainer good would like comfy chair 1 bar listen . complaint would buffet use service poor food average well buffet would visit hotel perfectly situate strip 
 Sep 18 2009 	 unlucky 	 tell Deluxe room well view recently renovate compare standard room , go ahead book . however give one renovate view dark . ask see another deluxe room find much big room . stadard room different room apart bed headboard ( different shape ) . maybe book cheap deal . room funny smell looking , occupy long time could see dust information booklet . be go book place , make sure request room high floor look big clean lot light . reception staff knowledgable ask simple tourist information , good customer service . muddle room arrangement . take friend forever try arrange shuttle airport , pass around like ball one person another . keen restaurant do not ' try . overall , location good price . depend be . certainly would spend bit well hotel even though 's bed night . pay sleep comfy room . 
 Sep 18 2009 	 good deal - be move 	 location great , right middle strip . brother 's wedding across street Caesar 's . room not good not spend much time not spend much money room . little deck room looking pool nice . pool ok start lose sun around 5 . People friendly . 
 Sep 17 2009 	 Vegas cheap 	 prepare bad book room late Vegas trip Imperial . Imperial not disappoint . let us say look really cheap place stay not mind grime , rust , stink bad view - imperial . tell not do much place last decade . lobby decent decency end . room cramp , dank really show age . would place imperial peg Motel 6 . say , would still recommend hotel . 's great option want go Vegas , locate great spot save money lodge table booze . decent dance club hotel entrance street small fun . overall good place stay cheap . 
 Sep 16 2009 	 first time imperial palace love . 	 try visit free activity offer , fill day completely . 
 Sep 15 2009 	 Quit yer gripin ' ! 	 get pay ; always always . ip great location nothing close bad review see . ; convenient location liken mildly low grade LaQuinta . elevator problem . tell one busy day . take grand total 10 minute check . since completely book , receive breakfast free . room nice except directly bar . loud , loud . play much day fall right asleep never notice crappy DJ . room adequate , clean , bed comfortable . pillow draw back . call extra 4 hour later call . receive enough bed . immediately bring 6 pillow 4 bath towel apologize profusely . hey , good enough I . if want little & quot ; swank & quot ; hotel , spend extra $ 40 night go Monte Carlo . 's nice , room big , be still room run group people include Bellagio mgm.one thing IP General Manager ... Entertainment dealer look nothing like impersonate put stage middle poker room sound track lip synch old tired . one girl suppose Celine Dion , black short hair . really , spend extra $ 3 per hour get well side show folk . one caveat ... luau dinner . WONDERFUL . good time meet dancer show . talk girl lady ' room sweet . food adequate , crab leg , mussel , crawfish abundant . Mai Tai 's cute sweet . creme ' brulee ' suck , come cupcake wrapper expect ? show fun , though . stay be ok middle class travel . like high middle class ; not . ' ve stay many place second time IP . will stay . * * * not spa opening , send we Harrah 's price . Harrah 's spa MUCH nice . 
 Sep 13 2009 	 Perfect Location ! 	 Imperial Palace may fancy hotel Las Vegas strip , score top mark value ! stay 5 night , room locate 15th floor . yes , be basic , expect £ 24 night ? ! please standard room - clean , spacious comfortable . tv iron facility bonus ! hotel little complain . pool area clean plenty sun lounger towel available guest . staff friendly helpful . lift pain ( take forever - take stair be floor ! ! ) , ' sure many big hotel problem ! , really can not think anything bad say ! would recommend hotel anyone want good value money ! ' perfect place budget traveler , want save money spend good thing Vegas , like cocktail fancy meal ! 
 Sep 13 2009 	 great spot beat location 	 get back yesterday . stay deluxe room # 1286 . balcony face strip , rockhouse loud , know , request . be open till 3 am , great loud wild traveler . not bother bring Bon Jovi , play 3 4 time day . & quot ; funny & quot ; . great view could ask well , especially $ 35 night . old , hold well . stay tue - fri check fast . room little use , hear traveler bring clorox wipe , trick . IP get busy weekend , naturally elevator slow . longiest wait 10 min . 2 set elevator , ask staff aroud tell . use valet whole time , real easy give buck time , be worth walk , consider walk everywhere else . Hope review help . take chance ' m glad . worried review . book trip 9 month ago , read review 9 month . recommend ! go steeler ! 
 Sep 13 2009 	 good decision entire vacation 	 aussie first time Vegas . stay 5 day & quot ; & quot ; package . mean addition room , unlimited drink casino / pool bar unlimited visit buffet Tea Room cafe . turn good decision entire trip , save much food drink . US $ 150 per night ( total 2 people ) .here 's quick opinion : location : fantastic . enough say . room : & quot ; Deluxe Luv Tub Room & quot ; huge always well clean . Old yes , adequate consider much time actually spend . ice machine work fine entire time . elevator : seem common grudge . personally , never wait 2 minute elevator lobby , go . fair , always take stair room , wait room floor check luggage ( 2 min ) .Buffet : forget . bad part hotel far . glad pay $ 14 time go . avoid possible . food ( Tea House ) : went & quot ; Tea House Cafe & quot ; meal ( least day ) food standard american fare , generous portion prepare quickly . can not complain . can not comment value incude package deal . staff : satff deal courteous attentive . casino : old , bit stale - smell . not like , go somewhere else ! 's Vegas DUH ! dealertainer great fun must see visit . pool : fine . Good Bar service crowd , even day 108 degree . again , fair , stay mid week ( Sun - Fri ) not weekend . Imperial Palace . would stay ? worry . 
 Sep 12 2009 	 probably cheap strip would still go elsewhere 	 first , room fine . pretty standard , clean nice enough . check , tell not double bed room we , stay king size one day . view great , one night share bed friend not big deal . move low floor , room face & quot ; ugly & quot ; side . think , would ask keep good view , smoking room . anyway , take day figure layout hotel . depend room number , get wrong elevator will walk long time . certain elevator go room other go salon stuff . restaurant beside front desk , escalator . wait times elevator crazy long . ' ve read alot review stay tower oppose old room , be absolutely true . new much nice . pool nothing special , would like . like hotel middle strip however . onto salon . would recomend waste time money place . call make appointment week stay , tell could triple barrel curl iron style . get appointment however , tell iron & quot ; be two , one would tell & quot ; not think call customer liar good way start . since already book appointment , would pay even cancel . also quite expensive . not wash hair , 55 dollar dry style . needless say , style not stay could do much well job . walk hotel , see casino seem spacious , seem updated . not think breakfast place good , basic . flamingo street many option , 's denny 's mcdonald also road . whole trip cheap , money good deal . next time go , stay elsewhere , seem little money get alot bang . thing notice vegas deuce . 15 buck 3 day pass , find worthwhile . bus take strip , freemont street wicked outlet mall transfer . get 108 go mall . would definitely reccomend outlet mall , find really awesome deal . Freemont street good place souvenir . shot glass , ashtray , cup , pretty much anything want dollar . people street sell club pass , usually want 20 dollar tip . not end use mine , find great place love cover . part harrah 's , walk windy road little kiosk 's circle bar . need passport state though . get showtime shuttle pass airport , although find specific company sub par . would wait get plane buy ticket one company . overall , fabulous time vegas . really can not go wrong drinking , shopping see sight . 
 Sep 12 2009 	 brilliant location ! 	 stay Imperial Palace week although little disappointed arrive ( look big hotel go ) , price pay well worth ! hotel need refit clean tidy staff good . room large course air con ! could do fridge keep bottled water chill manage ok ice bucket provide . bathroom small shut door stride toilet get shower shower hot powerful . also provide shampoo , conditioner soap . pool nice , real sun trap morning early afternoon sun move around end shade . casino always pack full usual game would expect . the location perfect , right across road Caesars Palace & amp ; Bellagio 5 min walk Venetian not actually spend much time hotel . we try Burger Palace one afternoon ok . also try get Pizza ( Pizza Palace ? ) close . chinese / korean / japanese place open 24 hour not try . monorail right outside , use get Stratosphere end strip . there also car museum not get chance visit it . all , hotel interior could well cheap use like , simply bed night great value . 
 Sep 10 2009 	 Imperial Palace always choice 	 stay Imperial Palace 4 night March 4 night September . location great , room extremely clean , treat great staff stay next trip soon . ok sink shower drain slowly , live . water not stand turn , simply drain slowly . commode flush normally . not like buffet think overprice even $ 5 coupon , Vegas buffet pretty terrible . I get unbelievable deal use Harrah 's Total Reward card number book Harrah 's web site . I can not get negative thing say Imperial Palace review . think lot people look small thing complain other pure simple snob . not really matter . truthfully say several stay not complaint , maybe not go Vegas stay hotel room . another thing enjoy right next door Oshea 's 's Burger King ( great breakfast good cheap coffee ) Subway . I give Imperial Palace two thumb . 
 Sep 10 2009 	 VALUE LOCATION GREAT 	 spot good location right middle strip . room clean good size casino pumping week ! sure bellagio pay would stay anytime ! staff helpful friendly . definately good spot any1 seek heart action . 
 Sep 10 2009 	 Imperial Whatever 	 stay imperial Palace business hotel like motel . imperial alright palace . room bare dirty . carpet stain . paint peel stinky room . hotel like maze took forever get place . eat Ginseng restaurant food horrible ! room pre - pay 2 night -- stay night flight came transfer another hotel . not mind loose 65.00 dollar -- worth every penny check hotel ! 
 Sep 8 2009 	 Great Location disgusting room .. price good right time year . 	 third trip Vegas , second time stay IP . first trip great , husband . room fine huge complaint ; decide go people , choose IP huge problem previously , value location , can not complain ! right ! ? ! ? wrong ! ! ! go five people share room two queen bring air mattress ... SSSHHH not tell ! ! ! anyhow ... arrive around midnight wait line incredibly long ... take hour half check . throughout e NTIRE process , lady keep say , not like room , let we know . whey would say ? ? soon find . even extensive map give we find room , four elevator ride later , getting lose twice , FINALLY find room . DUMP ! ! smell musty , look forward finally gamble . change cut clothe , think floor kinda damp , pay heed ... want go play ! ! well , around 4:30 ready bed . room still smell musty , go open window ... WAY ! ! completely seal room , ventilation whatsoever ! ! ok , smoking room ? ? person smoke ventilation ? ? anyway , change PJ 's , lay bed . huge WET SPOT bed ! ! ! ! ! ! ! ! ! ! ! time 5 morning husband want go sleep put thick layer towel switch side . get around 10 , go downstairs somplain switch room , & quot ; manager & quot ; , snotty tone , tell we complain early . MUCH complain finally switch room we . sorry , comp , nothing . complain complain complain finally get new room . kind customer service ? ? ? end still decent time , whole trip could not get lay wet bed mind .... STILL give eebie - jeebie . UGH ! ! ! return November , way HELL ever stay IP ! ! ! ! P.S . tea room ( think ) incredibly over - price .... $ 10 BLT .. kid ? ? pool TINY ! ! ! 
 Sep 7 2009 	 nice clean room 	 stay IP 4 night 2 friend . 15th floor . check fast , clerk friendly . everyone encounter friendly . room clean . tip maid every day . leave one note ask extra shampoo . every day extra toiletry . Room clean late afternoon every day usually time . room one day ask wait minute leave could clean . room compe nice free stay would worth pay . , 4 star hotel everyone realize . clean quiet want . breakfastone morning teahouse food good service . 
 Sep 7 2009 	 dissapointe .... never return 	 read review little concerned appered good review outweigh bad give chance . dissapointe second pull parking garage . travel Vegas many time usually stay Monte Carlo . holiday weekend deicde try Imperial Palace since cheap try travel budget . free parking good parking gararge hard navigate . walk building check confuse long . walk entire casino full people get front desk . new hotel front desk guest elevator private location not navigate crowd casino floor luggage . check ok go room . hallway smell like urine room old dingy . hair bathtub room need update . tv not work well air conditioner not turn froze night . bed stiff board get terrible night sleep . wall not thin would expect quiet plus think . elevator slow always full . wait close 20 minute get luggage ready check . bathtub drain take shower stand water entire time gross since know tub not clean . wallpaper peel room need serious update . stay reccomend friend . travel another couple take away hotel selection privlage result trip also unimpressed./ 
 Sep 6 2009 	 Location Location Location 	 Imperial Palace may one run hotel Strip price reflex absolutely beat location . room fine need ( place sleep get change etc . ) clean . really surprised shower pressure , amazing big hotel middle desert . staff great help quickly efficiently query . never wait long elevator , casino pool fine rest strip accessible would recommend people use hotel simply somewhere sleep . 
 Sep 6 2009 	 bad hotel holiday 	 - Bathroom dirty leak taps- room substandard dirty wallpaper hang off- elevator not work ( one work elevator 2,600 room ) ; take 30 minute get floor 10 ground morning . option use stair come up- pool close sunny day non - existent threat rain- $ 10 charge internetmaybe worth $ 20 / night top $ 90 + charge weekend ! 
 Sep 3 2009 	 Nice hotel great price 	 start read review hotel little worried would not nice . stay 6 night love hotel . pretty fast checkin lady give we direction room . check room throughly impress pretty nice room especially price deluxe room 9th floor . problem room clean shower drain fast maid always nice job . elevator pretty slow weekend rest time be not bad . non smoking floor do not smell smoke quiet . also love location hotel right middle everything . also eat burger bar restraunt hotel nice food great pizza eat time convenience good food . would love stay ever come back . 
 Sep 3 2009 	 get pay 	 great location , people understand , get pay . stay second visit Vegas ( first time friend live ) . room decent , old hotel , still smell smoke saturate room . C'mon , be Vegas ... not spend time room anyways ! probably would not stay , would recommend people cost conscious still want action ( smack dab middle strip ) . 
 Sep 2 2009 	 would stay would try Harrah 's property first 	 able get room complimentary total Rewards member . leery first read many comment , decide take chance . the Imperial Palace good someone budget look frill . hotel old tell improvement make recently . I arrive hotel around 11 . check process little time consume , line long four Guest Services Representatives . opportunity check , representative confirm complimentary room well give discount sister property ( Harrah 's , Bally 's , Cesaers Palace , Flamingo , Rio Suites , Paris ) .a everyone else mention , elevator slow ! day , become accustomed call direction set elevator go one come first . the Deluxe Room big , could use furniture ( maybe sofa bed instead table chair ) . room indirect view Cesaers Palace , direct view parking lot . possible , ask room poool view ( good people watch ) .The bathroom clean , although drain flow fast would . addition , shower would start even pull gauge start it . housekeeping leave enough towel replenish . one complaint . come back room one day see bed unmade . first time okay leave laptop bed . housekeeping touch personal property , therefore bed unmade . remove laptop , call Housekeeping , inform telephone representative would like bed make . never come night . while hotel , eat Burger Palace , Ginseng 3 , Emperor 's Buffet . Burger Palace offer 1/2 pound cheeseburger combo ( burger , fry , drink ) $ 9.xx . know eat eight ounce beef , fill , especially since eat since 6 est . Ginseng 3 24 hour restaurant serve Chinese , japanese . korean food . sushi AMAZING ( Spicy Tuna roll ) , ask second order . eat Emperor 's Buffet breakfast day departure . cost $ 14 tell buffet cater late night partier early riser . selection include egg , pancake , fry chicken , rice , cake . the casino small opinion , although hotel dealer impersonator . sometimes impersonator would perform mini stage . go Michael Jackson 's birthday , impersonator , well J . Lo ( Jennifer Lopez ) impersonator . pool area SMALL ! last time come Las Vegas stay Riviers Hotel pool twice big ( give perspective ) . get early plan go . nice sit get sun . I like fact Monorail run Sahara MGM Grand stop near Imperial Palace . Monorail run 19 hour day . Location Imperial Palace beat ! across street Cesaers , middle strip . express checkout since charge room , easy . overall , okay stay . come back Las Vegas , check Harra 's property , turn nose Imperial Palace . 
 Sep 2 2009 	 Great Value ! 	 every complaint read trip complain elevator slow . not experiece problem . take first set elevator close strip fine . never wait . people take set elevator close parking problem would wait turn away 4 - 5 elevator full . casino friendly payout . dealertainer ... spot other .... miss completely ! ! ! not eat , use coupon room come eat Paris Bally , good buffet . not go pool , check car collection . 
 Sep 2 2009 	 Disappointed 	 great location , smack center strip , let tired room poor facility . try 24hr Burger Bar ( 8 pm ) dirty unkempt . food poor coffee must come sink ! try Dinner Buffet . enough . although room clean tidy maid service daily , fixture show sign age . lot silver Bathroom mirror miss , balcony door refuse shut & quot ; Air Con & quot ; noisy LV.They gimmick whereby certain dealer casino look - alike random jump onto small podium sing . without doubt & quot ; Billy Idol & quot ; get place rock , several other stick deal . stay Circus Circus 2 year ago , go would happy go back ( holiday tight budget ! ) end day , use Hotel somewhere sleep , eat , gamble partie elsewhere LV great time . 
 Sep 1 2009 	 can not beat Location Service 	 hotel old one could certainly use renovating like we , room basically place lie head hour , shower get go . know expect recommendation friend first somewhat take aback . upon arrival , room look clean sufficient meet need . problem first night back shower slow flush toilet . front desk immediately send someone take care problem good go . fan air conditioning , decide open balcony door later learn water bug love humidity find one room . another call front desk immediately move . fantastic customer service leave we quite happy . the location alone far good along strip . convenient everything without cross bridge large intersection . well worth value enjoyable stay . 
 Sep 1 2009 	 great location great service great time ! 	 location hotel spot . 's right middle strip , next flamingo , mirage several big casino . hotel casino fairly cheep cheerful fine we . find staff friendly , especially bar . ' lookalike ' dealer casino hilarious keep we entertain . food hotel not great many place eat nearby , not need stay anyway . would definitely recommend place . fantastic time ( especially bar ! ) would certainly stay . 
 Sep 1 2009 	 good hotel great location 	 friend stay Imperial Palace August 16 - 19 . stayed previously know expect . check process problem Ben , check , friendly accommodate . ask adjoining room problem . room clean floor quiet . eat breakfast Emperor 's Buffet 2 time complaint Tea Palace one breakfast everything good . & quot ; dealertainer & quot ; casino fun put good show . & quot ; complaint & quot ; would elevator little slow one work entire stay . be look clean hotel fun casino great location place , stay Imperial Palace . would definitely stay ! 
 Aug 31 2009 	 Budget 	 vast hotel strip can not beat location . room large clean fancy . not gamble ( teenager ) everyone seem happy enough floor ! pool large pack avoid cost . emperor Buffet simple filling . Valet parking cheap efficient . decent place reasonable rate . 
 Aug 31 2009 	 PLACE DUMP 	 Service good first get .. room be not clean , especialy bathroom yuck seriously need well job cleaning bathroom tub do not even drain fill need plumbing do .. bed be not comfortable like sleep spring .. pool kinda gross well , towel stain , pool smell strong chlorine hair random stuff float , pool chair smell pleasant .. elevator take foreverrrr get really irritate .. cheap room worth , well spend extra money nice hotel .. would stay hotel need rennovate completely demolish , would embaresse own hotel 
 Aug 31 2009 	 Clean Comfortable stay 	 husband look cheap , clean comfy stay strip . look many option , find Imperial Palace . always one look review research book anything . read good review place , read even horrible one . see great picture review , not seem bad . pretty skeptical course , afraid walk horrible room . well arrive Vegas We d , late evening , check flash right away get key . we go deluxe room 16th floor , could right away tell difference clean non smokey smell . room amazing , king bed comfy , clean , room smell clean well . feel like not even hotel casino . not know people give many bad review . guess plan stay Capri room cheaper , motel part property , yes , might complain . decide spend lil go deluxe room ! 3 night , whole stay cost we $ 118 . definitely go back Imperial Palace whenever head back Vegas ! cheap , cleanest comfortable place strip ! 
 Aug 29 2009 	 Great Location Great People Average Facility 	 hotel middle Las Vegas Strip , dissappointe . service great , casino dealer good ( except one crap table , one money guy keep hit die hand ! ) . food choice good . room clean basic ( small tv , toilet run lot , shower not drain well ) . location strength : be right middle Strip . walk lot great place like Bellagio , Ceasar 's , Harrahs , ... dealertainer casino fun . other , much . overall decide location really cheap rate worth crummy room ... 
 Aug 26 2009 	 Great Value . would stay . 	 live next Vegas Henderson . decide stay strip birthday instead risk drive home evening drink play tourist . read review , prepare bad , figure could stand anything one night . we arrive around 3 pm Monday wait 5 minute check . pleasantly surprised cleanliness size room . king bed still plenty space wife drive mobility scooter around . nonsmoke room absolutely smell cigarette smoke . 11th floor room overlook pool seem popular . there minor negative though . elevator slow small ( wife ' mobility scooter barely fit . ) find self parking garage challenge . in - room coffee maker . ( iron , iron board hair drier though . ) overall , feel worth much $ 30 local ' special rate pay . location strip across Caesars Palace short walk Bellagio , Mirage Treasure Island ' beat . stay Imperial Palace next mini stacation . 
 Aug 26 2009 	 what s everyone complain ? 	 stand people research hand write bad review expect . first time Vegas , long room sleep put belonging happy . hotel awesome location , central strip cheap among hotel strip . people think stay 5 star hotel cheap price ? happy service , happy location , satisfied bed bathroom price pay . come Vegas stay room complain tv .. get enjoy city . 
 Aug 25 2009 	 frill - great location 	 firstly great location - right opposite Caesars Palace strip . much well place alternative Circus Circus . room clean , could much well . shower tap work properly crack / chip bathroom . compare one friend experience good room . other group room overlook carpark look straight wall , whereas get room overlook pool . air conditioning noisy . the big gripe place lift . often take ten / fifteen minute wait lift become joke guest stay . place be / to go make sure allow ! ! summary , want somewhere central , that s cheap willing forgo extras okay place stay . spend much time hardly spend much time work we . want luxury relaxation time , would personally stay somewhere else . 
 Aug 23 2009 	 Awesome 	 Excellent customer service front end staff , bar service quick , polite friendly . Valet service quick informative . awesome room , simple clean . great view strip . location prime hotel simple feel . size make thing easy can not get lose . Vegas turn headache hotel put mind ease . grat place stay staying year ! 
 Aug 23 2009 	 Loved can not wait go back : ) 	 go last September boyfriend , good friend boyfriend . get IP 19:30 - 20:00 . line check go smooth fast . room right next great . wait bit elevator , fine give we chance meet people staff . once get room view ' good unknown hair bathroom….but ' problem go change headed strip , boyfriend ' feel well unfortunately early night . the next morning go check counter advise ' like view bathroom little messy . apologize apologize ask fast packed move two room next could take right . switch room awesome . high floor could see strip ' hear noise . food awesome staff / bar tender / security / valet store clerk awesome . as travel agent recommend hotel lot agent client . ' go wrong ip , location AMAZING . day check plane ' leave till later day . room could safely keep stuff could kill time drag around . we go back Sept staying . way see , ' go SIN CITY hotel , ' go SIN CITY . Less money pay hotel money thing . I give hotel 10 10 : ) 
 Aug 23 2009 	 terrible place stay 	 go three friend four day Las Vegas fun . good time Vegas IP dump . staff less helpful last night four we eat Pizza Palace Restaurant Imperial Palace . three we share pizza end severe food poisioning . paramedic call suffer bad food Pizza Palace Restaurant . miss flight sickness Imperial Palace nerve charge we room extra day . addition , never anyone management contact we room see okay offer kind assistance . try contact Risk Management IP try get room charge extra day remove avail . leave message call phone ring . week friend still well . not stay . room overall & quot ; well worn & quot ; upgrade room . tv 13 & quot ; tv.well keep try contact ip management room charge . 
