fantastic 	 stay Michelangelo past Sat . night ( 11/28 ) . hotel inviting , service timely , atmosphere warm elegant . room extremely comfortable , clean quiet ! bed / pillow / linen exceptional . bathroom suite fantastic . everyone assist we doorman concierge helpful , friendly pleasant . morning coffee good , along w/ croissant / scone . would definitely stay without hesitation . convenient location . 
 Thanksgiving NYC 	 daughter ( 23 yrs old ) go NYC Thanksgiving holiday choose Michelangelo Hotel recommendation friend . love five day stay lovely hotel . beautiful , nice room , great location entire staff create atmosphere comfort , safety luxury . conceirge , James , treasure . take care reservation give we great & quot ; inside & quot ; NY tip . hotel take care area guest watch Macy 's Parade Thanksgiving -- -we soooo grateful , event go NY see . thank Jefferey ! ! doorman always helpful cab direction . luggage porter great upon arrival departure . really could walk Rockefellar Center , Broadway , Times Square , NBC studio , Radio City , Central Park shopping . Michelangelo make NY trip special . 
 Feb 8 2009 	 Michelangelo Hotel Great Hotel Midtown New York 	 ' ve michelangelo twice 's good hotel ' ve ever New York . be right middle everything , step time square yet quiet . be elegant , room big well equipped , 's piano music lobby second time greet box Godiva chocolate welcome back card hotel director . complaint price raise lot lately , last time ny , go another hotel . 
 Feb 2 2009 	 first class way ! 	 love place . ' ve stay twice last 3 month already book another stay February . room elegant , spacious extremely clean . find come back hotel hang relax . convenient location Theatre district Manhattan shopping 's easy come back need . stay , definitely give continental breakfast shoot - coffee bar outstanding ! 
 Jan 5 2009 	 Christmas New York 	 stay Michelangelo 12 - 26 - 08 12 - 29 - 08 . sign prefer free membership get nothing . upgrade , box chocolate , early check . little embarassing show card nothing happen . arrive 11 hold luggage we . go city start vacay come back check . truly perfect location go Rockafeller Center , Times Square . * * big advice take taxi , take taxi direction go ( word walk block get direction want go ) . will avoid lot waste time cab go around block . we fantastic time . Michelangelo nice . seem like wealthy people go ( rich , wealthy ) . pretty much not bother , unless ask something . room make 3 time day . room service food good . everything clean . must low level room , fine . window see view brick build . well ask view want one . we pay $ 1,200 3 night . concierge ok , basically need ask direct question get answer . driver tell we City yes go little Italy good italian food ever ! Ruth Chris 's Steakhouse next Michelangelo good creme brulee . Gordon Ramsey 's Maze breakfast good , fruit not bother tase ' ve Puerto Rico ( sweetest fruit ) ' m give high rating nothing wrong serve main purpose . safe , clean , enviornment , loud party guest middle New York City . guest quiet , place beautiful . if be look sandal 's type welcoming , . not look like fool wear good clothe jewelry . woman mink . husband & amp ; Radio City Christmas show schedule , barely spend time hotel . love Bubba Gump Restaurant , Dr. Jeckel Mr. Hyde 's restaurant , fun , jean sweater meal . Ruth Chris 's Steakhouse around $ 275 2 people worth every penny . take taxi Tavern Green take carriage ride Central Park night , go eat little Italy . ( , not eat , driver tell we go little Italy instead well worth ) eat Buona Notte Mulberry Street good Lobster Ravioli ever . I would definately go back , expect upgrade although people front we get upgrade . Michelangelo nothing wrong deserve 5 star rating , except fact perfect honeymoon St. Lucia 's . go back New York , would definately stay . clean , professional , quiet , safe , beautiful . small , lot people . 
 Dec 30 2008 	 Great Hotel 	 get back two night stay NYC . wife bring 18 yr old exchange student France 19 yr old daughter book two room Michelangelo Dec 27 28 2008 . book web site pay 295 dollar night large room King bed . location fabulous . right next Rockerfeller Center Times Square room incredibly quiet ! nice bathroom , comfortable bed , complimentary continental breakfast , friendly , courteous staff . would definitely stay Michelangelo . 
 Dec 28 2008 	 favorite NYC 	 size room , cleanliness freshness entire hotel greatly exceed expectation . ' ve paid far get far less NYC many trip . continental breakfast feature european - quality pastry fabulous italian coffee , far superior nearby Starbucks , include price room . Concierge James put we onto neighborhood italian restaurant , Vice Versa , one good meal ever NYC . back ! 
 Dec 20 2008 	 stay away restaurant 	 earth restaurant insieme get one star Michelin ? soulless food waitress dare bring warm white wine table restaurant one end 100 $ per person bill . stay away . 
 Dec 2 2008 	 Loved Michelangelo 	 Beautiful hotel , lovely junior suite - spacious luxurious . great position , close Times Square Theatre District . good value money . great service . 
 Dec 1 2008 	 50th wedding anniversary 	 base online review , book Michelangelo 50th wedding anniversary getaway parent . appreciate high quality accommodation , Michelangelo live expectation . rave hotel : room , lobby , service , location . ( additionally , think front desk may generously upgrade deluxe room suite . ) bargain - hunt tip : find hotels.com seem consistently offer good rate hotel . also find pay check website time week two week , since rate offer seem fluctuate considerably . 
 Nov 25 2008 	 Loved Michelangelo ! ! 	 11/25/08 return weekend Michelangelo . beautiful elegant person picture . great location everything ... within walking distance Radio City Music Hall Rockefeller Center . service great right check - in . Doorman always available ready / willing call cab . ( although tell private car company doorman deal work cab driver ) ...... concierge knowledgeable quickly make dinner reservation we . room beautiful kind enough upgrade room due special occasion . room beautifully decorate wonderful comfort duvet , thick bath towel plush bathrobe . even tv bathroom vanity area ! ! ! bed turn - down evening chocolate another pamper touch ! ! complimentary continental breakfast lobby area coffee , biscottis croissant . complimentary coffee / expresso daily along daily paper deliver room . could go .... definitely meet 4 star rating give , include price . lucked obtain wonderful price online ..... otherwise would outside budget . would wonderful splurge ! ! ! would definitely return .... depend cost . 
 Nov 24 2008 	 absolutely wonderful ! 	 Michaelangelo great location close Rockefeller Center , 5th Avenue Times Square . book room iPrefer program ( free ! ) check , upgrade junior suite . not know become iPrefer member , 2nd time happen . box Godiva chocolate wait we get back room later evening . the room immaculate big hotel room ' ve NYC . complaint separate shower , tub deep , be little tricky get it . there free coffee , latte cappucino lobby morning , along biscotti croissant . we definitely stay Michaelangelo next time NYC . 
 Nov 24 2008 	 exactly want 	 choose hotel base review like & amp ; could not happy . hold bag we go show & amp ; return check upgrade junior suite . room lovely , large , & amp ; clean . staff friendly , lobby beautiful , & amp ; coffee hot . location great & amp ; hotel really round great NY experience ! 
 Nov 19 2008 	 Great Location 	 recently stay Michelangelo Hotel 3 night . upon late arrival , give upgrade ( without ask one ) , room beautiful , spacious , clean . bathroom large roomy huge bathtub soft , large towel . drawback view window particular room , quiet clean plus . hallway lovely . staff bothersome , helpful need . elevator quick well ! ! convenient location can not beat . enjoy stay immensely mention lacked view , staff say would place list room view next time stay . definitely stay ! 
 Nov 18 2008 	 great weekend stay 	 boyfriend recently stay Michelangelo 51st 6th 7th avenue Manhattan 3 night . ' ve New York number time ' ve stay different hotel time . first hotel think will go back . hotel not height luxury , staff not fall . not need , great place . not hurt room upgrade stay . find really big , comfortable quiet room . room little musty come , turn air take care . , room not height luxury , nice - big comfy bed , well - stock mini bar , huge closet big bathtub . location hard beat - weekend event include Broadway show recital Carnegie Hall - short walk away . problem come back unmade room . one thing love ( go sound strange ) - elevator . ' ve many hotel end wait surprisingly long time elevator ( one finally arrive , be already full ) . issue . last night , ask hotel hairspray could send , really pleased basket various bathroom amenity receive . nice end really nice stay . encounter overcharge upon check ( charge something minibar not take ) , hotel immediately reimburse we charge . 
 Nov 17 2008 	 Right Times Square 	 stay Michelangelo second half ny stay October / Nov 2008 . hotel around corner Times Square block starting point NY Hop on / Hop bus tour great way see city . room NY standard quite large comfortable king bed . staff friendly enough , although do not really deal much spend much time hotel . breakfast complimentary crossaint biscotti , variety coffee - however juice charge $ 5us gla ( go figure ) . overall , hotel clean , spacious convenient ny offer , would definitely recommend anyone look good base ny . 
 Oct 20 2008 	 Fantastic Location 	 husband stay Michelangelo night October 17 , 2008 , fabulous stay . location great -- far enough Times Square , close plenty great restaurant , shop Central Park . arrive early check - in time 3 pm , doorman store luggage go lunch . room ready time return 2:30pm . leave elevator , feel like make 10 left right get room , look sign come go find way back ... lol ... decent sense direction , husband may may agree . complaint would make , bowl potpourri hallway table emit cloyingly sweet floral scent , overpower . room standard room , furnish beautifully art deco style . fourth floor room face street . street noise moderate , not disturb sleep night . bathroom nicely appoint quality product , thick towel large tub . water pressure fantastic . anyone good head hair would appreciate ; can not stand hotel terrible water pressure take forever rinse shampoo . concierge able find we last minute ticket wicked ticketmaster ... hint theatergoer - ticketmaster release premium seat unsold day performance , standard ticket price . originally $ 300 seat available $ 125 . also , theater block half away hotel , nice . time return evening , bed turn , shade pull chocolate leave bedside . king bed comfortable . read another review complaint a / c unit noisy controllable . find control locate wall next desk able turn fan , turn quite frequently , lot noise . not think could ' ve sleep run night . least weather cool enough not need air . not eat hotel , comment restaurant , get cup coffee croissant go next morning . wait 15 minute car bring around valet , recommend call leave room . reservation happen first book new travel agent , reservation agent hotel pleasant . would definitely stay hotel plan recommend friend family . 
 Oct 17 2008 	 great hotel 	 recently stay Michelangelo follow cruise depart New York City . read several review talk small , expensive hotel room New York City , delight find hotel . we originally book another hotel near financial district , decide would make sense stay near Times Square . two week sailing date , able find feel great price hotel , compare price hotel area . book hotel 's website , contact via phone ask question luggage storage since know have arrive prior state check - in time , would need leave luggage check . courteous , tell we storage room luggage doorman could handle we . when arrive hotel leave pier , check luggage doorman . tell we would deliver room ready , suggest pre - register would wait we return sight - seeing . delight , room ready ( 10:30 ) , give key . go room luggage deliver five minute later . throughout one - night stay , continue receive excellent service , staff willing answer many question , first - time traveler New York . our room much large expect . king - size bed extremely comfortable , room clean , linen bathroom wonderful , bathroom quite large . extremely satisfied stay , would definitely put hotel near top list find New York future . 
 Oct 6 2008 	 elegant overdone 	 husband get back overnight stay NY Michelangelo Hotel . european style service . hotel elegant overdone . staff kind helpful . room large clean bathroom . hotel amenity 4 star hotel location quite convenient theatre district . want know eat .. concierge tell many good place . wait go back . 
 Sep 30 2008 	 wonderful 	 normally favorite hotel Peninsula tempt try Michelangelo rate quite bit low . pleasantly surprised . great view speak ... junior suite beautiful . color scheme green , salmon , yellow . the fabric elegant look new . window treatment lovely completely block noise 7th ave . not even miss view stare curtain happily ! artwork , mirror , furniture quality well place . the bed well ever sleep hotel -- -better bed home -- -we sleep like baby -- -and sheet wonderful . something special room -- -we feel comfort give we sense serenity . bathroom large attractive . think might nice small update -- -perhap improve light little show marble . shower area huge water pressure great . lobby intimate simple ; morning coffee god - send wish would improve morning snack ... although okay well nothing . think service relaxed casual really like . important thing we someone hail taxi provide . fall open door .... ... care ? comment hotel show little wear tear find everything well maintain well clean . sometimes little age hotel charming -- -and case . return thank Michelangelo , create special unique hotel speak & quot ; old new york & quot ; . 
 Sep 26 2008 	 warm friendly welcome would not return 	 second time New York . last time blast ! believe hotel happy deal business suit rather typical tourist . find front desk girl rude lack customer service . Room Junior Suite ok size sofa table near suite . could not work mirror panel walking room - night realise door be not fit correctly let light around ( fire issue ) . air conditioning need service noise wake . door man unable open door ! still love NYC still go , location hotel fantastic we would not return . plus side : Location , Bathroom size , restaurant fab service , lovely foyer coffee lobby bar every morningbut lot wonderful hotel ............... 
 Sep 23 2008 	 always great 	 Michelangelo close home get . wonderful location , great staff especially unpretentious ! Bernie ( bartender ) quite affable James Jolis ( Concierge ) always good recommendation ! be frequent guest hotel book , would amend travel plan stay else . 
 Sep 15 2008 	 nice shop around ... 	 spend Labor Day weekend NYC Michelangelo . hotel location good , plenty other within 2 block . get back , get Travelzoo notice W offer room $ 199 per night select date next spring . last time New York stay Affinia 50 , much large , well room similar price , also & quot ; action & quot ; .pros : Location , comfy bed , decent sized room , clean , quiet ( back side hotel ) . coffee , fruit croissant breakfast . bathtub . water pressure shower . air conditioner work well . never wait elevator , be big . internet access ( free , though ) .cons : Quiet mean view brick wall . not mind much , could not even tell sun . pillow great ( ask get foam pillow first night ) . can not set A / c leave fan running , cycle night , really make sleep well difficult ( come on Michelangelo , fix - 's new thermostat ) . Bathtub jet . overall great weekend good hotel , will go elsewhere next time . 
 Sep 14 2008 	 wonderful experience 	 book 3 room two night ( Sept 11 - 12 ) Quikbook competitive rate ( NYC ) . every employee come contact check - in clerk , concierge , bellman , valet , housekeeping , Insieme Restaurant friendly courteous . one 3 reservation appear misplace ; handle situation flawlessly without miss beat . quickly efficiently check room , even though arrive early ( noon ) . room spotless luxuriously well - appoint . complain noise A / c unit kick , find mask outside street noise nicely provide background & quot ; white noise & quot ; . location perfect two broadway show ( Wicked Jersey Boys ) OnBoard NYC Tour book . never wait elevator ( unlike cruiseship disembark ... lol ) . evening musician lobby soothe love ornate italian decor chandelier ( even elevator ) . would return hotel heartbeat . 
 Sep 8 2008 	 BEST hotel ever stay 	 hotel worth every penny . little touch everywhere bump 5 star hotel . would strongly encourage anyone celebrate something special come Michelengelo . an extra note - complaint breakfast substantial enough - croissant / coffee extra touch , mean full breakfast . want breakfast egg , bacon toast plenty restaurant ... New York , ! 
 Sep 4 2008 	 okay 	 front desk helpful request early check deny . nice room , great location worth price get deal . 
 Aug 23 2008 	 Beautiful fantastically locate hotel 	 beautiful hotel amazing location . convenient everything . room spacious , clean relatively quiet considering situate . concierge go way help really improve stay . reason give hotel 4 star instead 5 doorman ... really bad door service ever . do not open door we ( even wear wedding dress ) preffere instead stand around chat . get we taxi couple occasion find one driver doorman take tip taxi driver taxi driver add fair ! replace door staff think could good hotel NY . 
 Aug 10 2008 	 good place stay New York 	 beautiful hotel great location large comfortable room excellent service . stay every time New York ! 
 Aug 6 2008 	 great location room service 	 Michelangelo perfect we . anniversary trip , want nice place mid - town Manhattan . room comfortable reasonably quiet ( 51st St. ) , service excellent , concierge suggestion perfect , location great . 51st 7th , Broadway , walk distance play , jazz , museum , shopping , Rockefeller Center , Central Park , Times Square , thing NYC visitor need . 
 Jul 27 2008 	 fabulous friendly 	 return long weekend stay . it present birthday unprompte receive room upgrade . the hotel ideal luxury base tour from . it within easy reach times square tourist site . the conceirge James STAR nothing much trouble even find packaging wrap son 's baseball bat ready travel ! restaurant Insieme real gem . the food superb James book surprise even send complimentary glass champagne table . the room massive bath tub fit 2 ! ! can not recommend enough NYC think Michelangelo . you will not disappoint . 
 Jul 21 2008 	 Great Experience Michelangelo 	 spend three night Michelangelo Hotel NYC . nicely appoint lobby friendly front desk staff . room lovely , Bose cd system , comfortable bed , good sized bathroom large tub . certainly spacious New York standard quiet ( ok , room face brick wall guess trade - off ) . staff helpful self - parking $ 23 per day locate right next hotel . great experience ! 
 Jul 13 2008 	 great base explore Midtown 	 spend 5 night Michelangelo June boyfriend celebrate 30th birthday . find hotel high quality respect although area start date show sign wear tear , also refurbishment going often bump guy overall hotel corridor . room ( Junior Suite ) quite large king size bed . boyfriend impressed Bose music system tv bathroom . disappoint toiletry hotel long seem use Bvlgari . hotel turndown service although tend happen little early , usually 6 pm room get ready go evening . turn service consist chocolate bed note next day weather forecast - useful visitor New York turn heatwave . dine hotel , however try complimentary breakfast lobby couple morning - selection coffee small pastry nice touch . reception concierge staff polite helpful . safe room use one front desk bit pain signing valuable day . hotel great location 51st Street 6th 7th . minute walk Times Square , Broadway Rockefeller Centre ( well view top Empire State Building ) , plus Central Park block north . overall find Michelangelo great base trip New York would return , however cheap . 
 Jul 13 2008 	 Excellent hotel / service / location - Perfect Anniversary 	 wife return two night stay - impress everything hotel . location ideal walk mid - town . hotel service perfect . arrive early ( around 1pm ) go check .. one room book yet clean - offer show we room two double bed somewhat large tthan booked say could take want . room nice good size since 6 foot tall thought bed would short . show we two room suite say avaiable offer we $ 5o nite window pass . wife tell check inniversary . say would glass wine bar room find we . 20 minute later hotel person come whisper we upgrade 800 + sq ft two room suite two full bath . go enormous attracively furnished . two full bat - tv 's bathroom .... living room well furnish flat screen tv bedrrom also large . happy stay morning croissant coffee excellent despite read always run food - always keep full service always pleasant . elevator quick rarely wait 15 second door open . parking great - $ 40 day valet - ny great price . we would recommend hotel everyone 
 Jul 8 2008 	 Great Hotel 	 great hotel , even well service ! ' ve NY time far good hotel . lot hotel well locate staff moment arrive moment leave superb . many place tip staff feel , hotel tip everyone well deserve ! find hotel stay future visit NYC ! 
 Jul 8 2008 	 hard beat Michaelangelo 	 wife stay Michaelangelo part 5th wedding anniversary getaway New York City . honestly , ' m sure could pick well place stay special celebration . the service impeccable start finish . bonus , upon learn city anniversary , manager provide we ( unasked , mind ) complimentary upgrade suite weekend . room comfortable , surprisingly quiet ( give hotel Times Square ) , -- especially New York City -- quite spacious . ( yes , suite part help , still quite roomy even context . ) plus whole hotel exude feel Old World romance be get hard find day . in addition quality aspect , be also perfect home base take city . , right Times Square ( door , around corner , be ! ) , half block five - star dining Le Bernardin ( be sort thing ) , couple block Rockefeller Center adjoining subway stop . especially romantic stay , would say look Michaelangelo . 
 Jun 30 2008 	 Excellent Hotel 	 partner stay hotel four year row annual Broadway trip . stay four four night late June 2008.As per previous year , hotel gem heart Theater District . staff always pleasant helpful - everyone front desk staff housekeeping . the hotel spotlessly clean housekeeping efficient ( even fill ice bucket ice turn - down evening ) . heartily recommend hotel ever need stay mid - town Manhattan ( 51st 7th Avenue ) area . 
 Jun 28 2008 	 Perfect every way 	 stay many hotel NYC , Michelangelo favorite . location perfect . it easy walk Broadway theatre , Central Park , Fifth Avenue , Museum Modern Art . room beautiful , large , elegant . check - in simple , service everyone hotel great . complimentary small breakfast coffee , tea , croissant , biscotti , fresh fruit . king size bed comfortable . book good price Expedia . 
 Jun 19 2008 	 Yummy ! pink couch . love ! 	 base website , opt Michelangelo . book hotel Quikbook $ 295 Friday nite $ 340 Saturday nite . website site visit , rate night $ 395 . husband arrive 11 , not think would get check , queen room ready - King . say fine . tell we upgrade , ( suspicious ) say much ? say not anymore , want know . walk room 501 . oh gosh . suite ! gorgeous ! look like redecorate . gorgeous pink couch match chair living room beautiful silk drapery , large oak bar ( frig anything ) , bedroom compliment living room . bathroom nice , carpet look new . huge room . hear noise . love front desk personnel , concierge , bar folk , bellman . everyone encounter work hotel great . concierge recommend great spot Brunch - would think would great meal . call Park Avenue Summer . last word change season . IE : Part Avenue Winter , forth . hip . close restaurant 2 day season redecorate entire restaurant ceiling . brunch spectacular atmosphere unparalleled . husband filet divine . also , see star - Patrick Stuart ( know - new Star Trek - think name . ) anyway , walk honey Brunch . cool . another great spot meat packing district Spice Market . one Thai . overwhelmed menu , tell waitress like bring we . work well . , first trip New York , love . stay hotel . fabulous time ! 
 Jun 17 2008 	 good hotel NYC 	 Loved hotel . location can not beat . like stay midtown area hotel large room far . huge bathroom tub well light ( rarity hotel room seem ) . small hotel get well personal service chain area . staff friendly accomodate . parking available reduce rate hotel guest nearby garage . highly recommend . book early good rate . ask upgrade check . 
 Jun 16 2008 	 Loved Michelangelo 	 love hotel . well maintain . stay quiet Sunday upgrade lovely Suite . location terrific . desk staff nice helpful . agree reviewer bellman doormen . coffee set - up morning nice . drink lobby bar , service nice . wait return . 
 Jun 7 2008 	 ok hotel 	 book directly hotel honeymoon stay 6 night . arrival upgrade one bedroom suite . overall thought staff helpful exception door staff aloof . hotel good position although aware hear noise night central position . room leave lot desire dirty fray cream carpet bedspread along cabinet well past ther sell date . breakfast offer basic coffee pastry fine light start day . I ' m sure hotel get many rave review although be fine many regard 's certainly level many hotel stay around world , maybe standard New York poor even average stand ; know . for brit read celebraty stay hotel . give clue . & quot ; Nice see , see nice & quot ; & quot ; good game , good game & quot ; Seemed nice guy . 
 Jun 4 2008 	 find new ` ` favorite NYC Hotel ! '' 	 like everything hotel . location ideal Theatre District , Central Park , Fifth Avenue shopping . ambience lobby peaceful , especially nice hustle street . room spacious small sitting area , include chair ottoman . love complimentary shoe shine service wish pack other do ! morning coffee selection croissant nice touch . need & quot ; service & quot ; limit difficult gauge , overhear several employee refer guest name ask return next week , etc . , know regular visitor . evening lobby bar nice . bartender bit rough ( not appreciate one exclaiming & quot ; J. C. & quot ; something not go right . could hear not even sit bar . ) wife find lobby bar bit drafty due air conditioning , probably beat alternative . nice stay small well - furnish classic hotel . back ! 
 Jun 4 2008 	 Liked Michelangelo expect . 	 stay five ( 5 ) night Michelangelo Hotel , general , nice stay . hotel fabulously situate Midtown 51st Street 7th Avenue , lovely lobby , nice room , pretty good service , great bar bartender . one thing throw hotel room show website mini suite , disappointing lead room window overlook brick wall . think room would beautiful , light bright one website , alas .... ask different room get room window onto 50th Street . much well still nowhere near depict website . room decent size , nicely decorate red brown cherry furniture pretty modern marble bathroom . nice assistant manager tell well room available , could additional cost . already pay plenty , elect upgrade . , unlike many Tripadvisor member , assistant manager offer upgrade we without addiitonal cost , despite fact room available . little odd o.k . get great time . the Michelangelo serve modify Continental Breakfast morning , include coffee , tea , hot chocolate , croissant delicious biscotti . Juice include , addiitonal cost . thing , one well early , since croissant go , go . refillable . defense , people take three - four - a plateful croissant time , may hard keep seemingly hungry crowd . still , know available later arrive guest . on positive note , bartender Bernie make good side car great time hang -- sometimes -- dinner . here restaurant recommend : love Rue 57 breakfast . http : //www.rue57.com/ # home egg , lox onion scramble full lox banana pancake divine . Carnegie Deli merely o.k . Zebar 's 80th Broadway fabulous ! miss circumstance . Roberto Passon http : //www.robertopasson.com / media / robertopasson.html . good food , terrific price ( dinner $ 20 ) , appetizer large enough share ( $ 10- $ 14 range ) . note special considerably , ask price ahead time . restaurant modern look trattoria / osteria . white tablecloth - high price either . New York faultless . 
 Jun 3 2008 	 Masterpiece Michelangelo 	 Dirty , old hotel . stay Sofitel trip blow Michelangelo away . Michelangelo tacky run . staff rude . bellman complain bag heavy ask we take bag . another bellman rude condescending . time tip bother even make effort pathetic . tub dirty . carpet stain . worth ! 
 Jun 2 2008 	 Splendid serene environment 	 return home two night stay Memorial Day weekend . make reservation month advance receive good rate . arrive early ( around 1 pm ) check - in , mind sacrifice reserve King Queen - sized bed order get room immediately . hotel locate optimal location within walk distance Broadway , Times Square , Central Park , Rockefeller Center , Bryant Park , upscale shopping , etc . add bonus , subway stop need trip Yankee Stadium short walk away . street around hotel quite busy congested , say , leave noisy street walk lobby , transport lovely , serene european atmosphere . even though one expensive accommodation , room face room , everyone state , 7th floor room quite large NYC nicely furnish . stay , perhaps could pillow request iron board . addition , HD flat panel tv would nice touch since upscale property . minor issue free coffee , biscotti croissant morning nice importantly , staff encounter friendly , professional attentive housekeeping top every detail . look romantic getaway , away crowd large chain hotel , stay wonderful Michelangelo . 
 Jun 1 2008 	 serene serene ..... Michelangelo 	 beautiful hotel , excellent staff . receive nice upgrade spacious junior suite arrive . nice sized room . helpful doorman , excellent location . truly gem . would stay . 
 May 30 2008 	 Perfect Hotel NYC ! 	 stay 4 * hotel New York ( Omni , Westin , W New York , Millennium Hilton ) Michelangelo far well . we check around noon Friday promptly give key upgrade room ( sign www.IPrefer.com plan check supply membership number get upgrade . ) room perfect - executive king . complaint window view save brick wall consequently sun light . the staff great . never meet friendly group housekeeping staff . everyone outgo courteous . the bed delight ! rarely stay hotel we find bed comfortable . the location good NYC . central least 3 separate subway stop . if get chance , stay . be drive , save $ 13 / night parking car . parking garage entrance right hotel 51st Street . complaint : availability Michelangelo Labor Day NYC next ! 
 May 29 2008 	 Bad Staff ! 	 stay 5 night Michelangelo Hotel Staff unkidly . 
 May 27 2008 	 Best NYC ! 	 stay Michelangelo since 2000 seem get well everytime . probably stay average every 2 month . home NYC . second walk hotel instantly feel sence calmness relaxation hustle bustle city . room spacious , clean , comfortable , hard thing find city . price always reasonable NYC hotel , always find less other , MUCH well overall . stay place NY never stay anywhere else Michelangelo . room suit beautiful , different . never room look last one stay , nice , room style look , gorgoue course ! can not say enough great thing , staff , room , location ! great . not forget say hi Henry doorman , become friend longtime employee , great help , Michelangelo . definetly least consider hotel next trip New York . pretty hard disappointed ! 
 May 25 2008 	 Keeping Standards 	 2 year since last stay Michelangelo pleased confirm still comfortable spacious place stay ..... veritable ' oasis ' quietness good service heart theatre district , close many attraction short stroll Central Park . we enjoy suite recently refurbish afford extremely commodious accomodation . we thoroughly enjoy stay Michelangelo send thank contribute make memorable stay . 
 May 25 2008 	 great hotel 	 home , short stay NY . hotel great . nice doormen- ( especially henry ) , friendly helpful concierge . clean , room , quiet , good free breakfast , great location . recommend hotel enough , get adjacent room + upgrade .... 
 may 17 2008 	 return hotel ! 	 stay Michelangelo last October mum sister simply fall love hotel . elegant , european style last February fly ny celebrate Valentine 's day friend simply love hotel ! 's bit pricey 's worth every penny . stay Junior suite , excellent choice Bulgari toilettrie , manager send box Godiva chocolate . friend simply impress hotel . usually stay Manhattan ( travel business twice year Lima Peru ) Park 79 stay Michelangelo . coffee biscotti every morning add special touch . concierge fabuolous , book we broadway show even limo Valentine 's day ! perfect hotel perfect trip . 
 May 7 2008 	 Loved Michelangelo Hotel 	 take daughter NY 18th birthday . live stay ny - last visit 2000 - much cleaner safe . hotel well expectation advice . comfortable room service excellent . 2 room hotel manage get room next ( + upgrade ) - nice touch . air conditioning unit little offputting night accustomed 2 night . nice touch complimentary coffee croissant budget . hotel locate conveniently local restaurant shop Central Park . bloomingdale convenient - 10 minute walk . tip- freeze youghat Forty Carrots restaurant even take away- delicious . PS - take ID ( eg passport ) get 11 % Bloomingdales shopping- help - even clothe 1/2 price . recommend see show - Broadway close - price like West end - although SeaPort Times Square sell day cheap ticket - sure quality seat . bodieworks exhibition good Seaport first time visitor use Cruise Line ( 3 hour boat ) get accustomed Manhattan island . recommend legally Blond - entertain show - food Smith & amp ; Wollensky 's superb . beware large portion . thoroughly enjoy stay hotel would definitely return . 
 May 5 2008 	 delightful ! 	 hear hotel friend see positive review online , disappointed . elegant hotel perfect location . premise elegant impeccably maintain . room luxurious comfortable . housekeeping immaculate . staff professional friendly . enjoy convenience complementary coffee bar ( several variety , well cappuccino tea ) fresh croissant , biscotti apple available morning lobby . 
 May 1 2008 	 Amazing Hotel 	 wife stay five night Michaelangelo end honeymoon say love . room great size , clean everything seem brand new . location incredible , three minute slow walk Times Square , even close 5th Avenue right top Broadway . even Central Park 5 minute walk . location could ask . anyone look hotel room New York really great place . top quality .. really love ever go back New York sure place shall stay . thank michaelangelo nice hotel . 
 Apr 29 2008 	 wonderful stay ! 	 spend one night Michelangelo . Excellent Service entire staff . book standard room receive complimentary upgrade Grand one bedroom suite . we ' ve stay several hotel NYC far good experience ever . location convenient within walk distance theater district , Central Park , Times Square , etc . elegant , Classy accommodation satisfy pickiest guest . 
 Apr 25 2008 	 Excellent under - rate 	 Stayed Michelangelo one day business trip April . hotel absolutely beautiful elegant , spacious lobby . room large , esp . NYC standard incredibly well maintain -- clean , even beige carpeting . bathroom small side appear new . check - out bit later place , hotel staff helpful hold luggage , get taxi etc . this hotel nice lot similarly rate NYC hotel . unlike many hotel , be well maintain / renovate renovation not & quot ; cover - up & quot ; problem area . 
 Apr 21 2008 	 Wonderful Hotel 	 wife stay Michelangelo first visit New York . love hotel city . service excellent , room spacious quiet , hotel centrally locate . Saturday night come back hotel , air conditioning go . within 10 minute call , hotel service arrive within 20 minute completely replace air conditioning unit . think place would stay next visit . 
 Apr 18 2008 	 Huge room NYC 	 although boutique hotel , great location room large NYC . amenity decor really second none update unlike similar hotel NYC . possible downside staff calibre would expect $ 500 night hotel , overall , can not go wrong . 
 Apr 11 2008 	 Excellent Hotel every way ! ! ! ! 	 like many people review many hotel New York run review trip advisor choose Michelangelo .. say travel fair bit fantastic hotel ! ! arrival feel wait we ! upgrade we huge room great . room massive , big hotel room europe ( concern : New York room size ) . mini bar fully stack expensive . tv room bathroom , bed comfortable . Maid service twice day great location could well . stone throw away Radio City , Rockafella , Times Square etc .. staff helpful . coffee croissant second none . ( FOC MORNING ) go back stay DEF .. 
