perfection 	 recently travel US Australia family reunion find Affinia exceptional . concierge amazing . Christopher helpful , enthusiastic professional concierge ever meet . concierge know name end first day ( 2 adult , 4 child age 4,5,6,9 ) greet we genuine enthusiasm . australian travel Chicago , hotel remind we home , ' fake ' american service , genuine care ! room big extremely clean . wish coin laundry nearby ! great pizza restaurant next door within 1 block hotel . australian want proper cup coffee ... french bakery nearby great morning meal ! well do Christopher boy Concierge .... thank make long trip pleasant ! 
 Great Boutique Hotel Perfect Location 	 pleasantly surprise nice small hotel . beautifully renovate nice restaurant . eat breakfast think Chicago price , bad . not complimentary coffee lobby pay cup room . not like , every hotel stay , coffee maker room free . great location 1/2 block Michigan Ave 3 block south Water Tower . 
 May 4 2009 	 great staff location ... definitely stay ! 	 hotel great location ... close tourist location , near shopping restaurant right magnificent mile . staff amazing ... friendly people encounter hotel . room great .... spacious well maintain . opinion huge room give hotel large city tend small side . yes , elevator maintenance , wait maybe 10 minute max , usually lot less . really not anything negative say ... solid stay would recommend hotel . minor issue door tend make lot noise close , ' m light sleeper hear neighbor come go . big deal ... husband sleep fine . never hear ambulance reviewer mention . some tip ... check Publican Cafe Ba Ba Reeba ... awesome food ! 
 May 1 2009 	 excellent friendly service ! beautiful spacious room ! ! ! 	 front door , service impeccable - concierge excellent ! ! super friendly staff , ready accommodate every room need - stay amazing , super relax - good place girl trip ! 
 Apr 29 2009 	 can not review since move another hotel 	 reserve room since go part group meeting- usually stay elsewhere Chicago . make reservation via phone greet email week special request may . three night arrive , receive email telling oversell would relocate different hotel . call , one could explain help . spend hour tell call back follow day . speak Director Operations next day apologize offer upgrade suite ( reserve originally ) .I travel extensively business leisure never poor communication & quot ; luxury & quot ; hotel . would expect hotel charge 1/3 price . oh , way , stay Ritz Carlton less go pay stay ! 
 Apr 27 2009 	 wonderful hotel wonderful staff absolutely recommend anyone ! 	 excellent location , hotel feel classic crisp ! would highly recommend hotel - can not beat . find wonderful rate online , sweeten deal . linen awesome room spacious tastefully arrange . two room connect , need trip . staff nice accommodate moment arrive leave airport home . 
 Apr 23 2009 	 excellent - highly recommend 	 excellent location , lovely hotel , staff friendly professional . beautiful bar top floor .. would really highly recommend especially want shopping , less 1 minute walk Saks ! 
 Apr 23 2009 	 Beautiful centrally locate 	 everyone gracious room lovely . two thing : want quiet room ask one face alley . hotel next restaurant dump bottle wee hour . garbage truck rattle 5am . finally , business center . without laptop sink . 
 Apr 22 2009 	 wonderful experience heart Chicago 	 large , roomy , clean 2 bed room large bathroom , big minibar snack assortment tuck away nicely corner hall noise . Customer Service absolutely incredible , doorman front desk , gentleman deliver toothpaste room request . sure , get little outside noise , big city , unusual ! really enjoy stay strongly recommend . 
 Apr 21 2009 	 Classy hotel central location 	 spend 3 night Affinia Easter , good rate available Expedia . money accomodation first - rate - spacious , comfortable suite furnish high standard . hotel staff efficient friendly . our criticism concern noise heating , thermostatically - control fan cut quite rush . unseasonably cold stay - freeze overnight much day - window room good fit let cold air , heating work quite hard maintain room temperature . Affinia 's energy bill must enormous . candidate double glazing ? 
 Apr 20 2009 	 probably good hotel ' ve ever stay . 	 hotel top notch . friendly helpful not even describe staff minute walk minute leave . room spectacular . spacious room great view less block Michigan Ave . will read review elevator limit due maintenance true . however , little patience , big deal . complaint lack free internet . $ 9.95 check e - mail look thing worth . ... spend time wife see Chicago , surf net . try restaurant lounge breakfast room service good . ' m sure hashbrown , rock . in - room signature massage really cap trip . doubt back Affinia many time . high compliment go entire staff , doorman front desk housekeeper . everyone friendly want know else could we . thank Affinia . 
 Apr 20 2009 	 much recommend high floor 	 find much recommend hotel ; first time visitor Chicago position ideal , step away Magnificent Mile close bus route El . we studio room large surprisingly tiny bathroom closet . other mention one lift action bit pain . not realise schedule . staff friendly helpful . major complaint noise . 9th floor rear , outside large heating a / c unit noisy - like try sleep aeroplane ; book room high floor else take industrial strength earplug . breakfast prohibitively expensive eat outside ; one block away Elephant Castle sweet service one block along Corner Bakery serve acceptable breakfast reasonable price . 
 Apr 14 2009 	 Great Place stay 	 husband , daughter , stay long weekend spring break March 2009 . get great deal travel zoo . good part hotel service . everyone friendly make sure stay good one . room nice comfortable . location good , right Michigan Avenue , 2 mile museum campus . take cab quick bus ride though . would definitely recommend hotel staff . the negative cost $ 48 per day park garage . not drive find alternative parking . 
 Apr 14 2009 	 great hotel unfortunate circumstance 	 great hotel stay base customer 's review TripAdvisor . great location , right middle everything . walk distance attraction , bus line & quot ; L. & quot ; great fitness center . however ... elevator replace one time ( take 2 month ) elevator available floor 8 + mind . stop floor nobody , stick minute two floor , bring back looby , back 8th floor get correct floor . hotel nice enough upgrade we suite floor accesible freight elevator . wait friday night go c - lounge top floor ( one reason pick hotel ) , elevator , bar close never get see . first room great , clean , drain shower get clog twice . engineer , Jeff , helpful give we lot advice . suite move excellent , garbage truck alarm outside go hour night make difficult sleep . also , price room , get free wi - fi , pay $ 9.95 day . aside elevator problem noise outside , would give 5 star . hotel helpful immediately take care problem . unfortunetly many problem day . 
 Apr 11 2009 	 would give 4 rating except ... 	 people friendly , room comfortable , clean modern european style . location good . would give 4 rating following:1 . close busy hospital ( ambulance siren odd hour night ) . 2 . one elevator work check Sat leave Tues . use freight elevator time . 3 . smoke alarm battery beep 2 a.m. ( fall back sleep ambulance siren wake ) . front desk replacement battery come remove unit could get sleep . I would recommend place light sleeper . 
 Apr 9 2009 	 extraordinary customer service be really . 	 several pro con stay Affinia . PROS : - customer service outstanding ! front desk staff , doorman , housekeeping , even random employee meet elevator ... extremely friendly helpful.- Comfortable bed lot pillow option , buckwheat ' sound ' pillow build - in iPod speaker ! try memory foam , take time get use , fun try.- clean seemingly well maintain ( one exception ... see con ) . clean crew come good time mid - morning good job , also seem abide towel - reuse program.- good geographic location , one block Michigan Ave , Corner Bakery , Gino 's Pizza , Elephant & amp ; Castle within short distance . con : - elevator work , one service time right . anticipated completion may ' 09 believe . however , desk staff mention ever need immediate service , ask would taken freight elevator . wait elevator , time , 5 minute not believe exceed that.- price point high next comparable hotel nearby . ( trip cover employer , otherwise would able afford rate . ) - corner room two - level design , small flight 3 stair divide upper lower . neither level lot space store suitcase ; wound block mini - bar , also partially block bathroom door . extra - large ottoman / bench low level may alternative place , however not want wrestle suitcase stairs.- NOISE . window single - pane soundproof , east hotel construction site , complete jackhammer truck beep day . addition , fire station within 2 block . cfd truck siren seem abnormally loud 3 a.m. ! wall well - insulate though ; disturbed neighbor window blame that.- lighting . one overhead light entrance , one closet could not find switch , nice pair light mirror bath ; light main room inadequate . two table lamp one floor lamp , also ' read light ' headboard led 's . not like amount light provide , besides headboard light kind inconvenient reach . one overhead light would nice.- lastly , instruction wi - fi connection guest book . guess network use hope use right one ... believe Wayport , $ 9.99 per 24 - hour period . I eat restaurant however colleague , tell overprice ( $ 7 plain bowl oatmeal ? ! ) ; also get room service one night tell mistake well ... overprice poor selection good food either . I mostly enjoy stay , however say would recommend Affinia friend mainly due price excessive outside noise . 
 Apr 8 2009 	 LOVE hotel ! ! 	 hotel locate Streeterville neighborhood heart Chicago . staff great room awesome . even pick kind pillow would like ! ! love ! ! 
 Apr 3 2009 	 cautious room location 	 room 5th floor face rear building . behind hotel large wearhouse type building activity night long involve delivery , garbage pick - up worker conversation . really impossible sleep ! nice room , nicely update , worth sleepless night . would never stay circumstance ... would guarantee we room front build much high floor . room internet thru tv useless , credit account immediately . tv freeze several occasion . 
 Mar 31 2009 	 great price nice hotel 	 hotel really nice . bed super comfy decor nice . nice bar top hotel . location excellent . walk everywhere be right next pizza . allow pet free . doorman freindly remember name dog ' name . downside parking ridiculously expensive ( around $ 40 / day ) . 
 Mar 31 2009 	 Pleasant 	 spend night daughter son - in - law originally plan stay different hotel , due communication mix - up , reserve room . think switching , read review know location , decide keep reservation . it wise decision . from moment arrive turn car valet , big step trust , next day bring around load , everything go well . we reserve room vacation special , complaint price . ' m sure often special duplicate , hotel within range could touch it . the room stylish enough space not trip . true daughter 's room . everything clean available , be . we drink rooftop lounge enjoy view city night . bit cold , worth . lounge bit small portable heater type would nice , will attribute zoning restriction . either way , be worth check . Michigan Ave around corner hotel restaurant , bistros cafe within walking distance . shop equally dangerously close well 's main mission . staff fantastic friendly . Daniel suggest good coffee shop also fantastic croissant panne chocolate well . everyone good behavior treat we well . I intend visit look forward well . 
 Mar 30 2009 	 could not ask 	 16 year old daughter return 3 - night stay Affinia . would hard say love -- spotless room 's breathtaking view Chicago ... super - comfy bed amazingly quiet night ... terrific location , step away Magnificent Mile ... gracious staff bend backwards sure every detail stay perfect ... rooftop bar , beautiful sunset ... jaw - drop special rate lucke Affinia website ! , one good hotel stay ever ( travel lot ! ) . special thank marisol front desk answer endless question insight , humor , professionalism . ' m already plan next ( extend ! ) visit . 
 Mar 25 2009 	 great stay 	 hotel - great location , friendly reliable staff , lovely big modern clean room , top class gym , roof - top bar ! be right beside magnificent mile lovely area Chicago - everything close . John Hancock build around corner - sure go bar top floor enjoy panoramic view city , not bother view centre ! would highly recommend hotel certainly stay . one piece advice - book hotel website friend mine book hotels.com - get junior suite cheaper pay ordinary room ! 
 Mar 24 2009 	 stay anywhere else Chicago ! ! ! ! 	 stay Affinia 4 night 2 friend - get great deal hotels.com [ 40 % 4 night stay , way 22 year old could afford ! ] . look nice online vote number 2 tripadvisor [ highly value ] Chicago hotel know onto winner . simply , FANTASTIC . amazing , spacious room , whole hotel bright modern new ! bed comfortable . staff always friendly obliging . maid clean room immaculately every day . LOCATION could well . couple minute walk BEST shopping ! right next door one good deep dish pizzeria people flock [ Ginos - big queue outside time , damn good , starve go ! ] . walk distance everything loop / magnificant mile pretty much . never get try rooftop bar / restaurant .... will keep next visit ! 
 Mar 24 2009 	 Quasi - elegance good location . 	 get doorman 's good side ( neither difficult expensive ) , will take excellent care . hotel without lot & quot ; Grand Hotel & quot ; amenity ( gift shop beauty parlor ) , try smother personal service , give little touch like wonderful bathrobe stay , luxury toiletry . room little small , 's typical big city . two elevator bank , bank serve different set floor . within easy walk distance Magnificent Mile Water Tower Place , long walk distance Navy Pier ; block Michigan Avenue bus cab could want . room non - smoking , warn $ 200 cleaning fee engage filthy habit ( not test ) . , build adjunct hospital next door , vacant ( ugly ) lot . 
 Feb 24 2009 	 great Room Great People Great Location 	 find good deal ( $ 100 / night ) double bed guest room , believe cheap room . two bed nice comfortable , much room , not problem since not except sleep . service wonderful - treat respectfully staff quick offer recommendation eat shop . first night tired leave room , order room service in - house restaurant quite impressed - price lunch dinner actually fairly reasonable . breakfast ( order ) seem overpriced . use valet service pricey stress - free . room well stock mini bar snack nice view downtown . Gino 's East next door awesome . prepare reading review lack bath tub - high heel nearly day , would appreciate place soak foot ! also cold draft window , able adjust heat enough make room quite comfortable . stay week , not expect noisy , hear lot garbage truck siren . nothing within hotel though . overall , pleased room , service , location . 
 Feb 24 2009 	 Fab Hotel 	 fab hotel . room spacious , funky clean , bed huge pillow cool . staff friendly helpful . would definitly recommend stay . 
 Feb 19 2009 	 exactly mind ... 	 stay Affinia Friday night Christmas . hotel exactly look : great location , trendy / stylish yet comfortable room , helpful staff , great view . Affinia deliver . would highly recommend hotel , plus great value . 
 Feb 17 2009 	 Loved Affinia ! 	 wow , Affinia hotel lot expect ! stay standard king room lot spacious thought ! staff absolutelt wonderful ( special thank concierge Christopher ! ! ) helpful good recommendation suggestion . Affinia superb location minute 's walk great shopping place , movie , bar . even though be rather big hotel seem like small one sense personal touch really care client ! wonderful hotel wonderful city , wait go back ! ! 
 Feb 16 2009 	 Met need beautifully 	 try Affinia Valentine 's Day please . room 144 / night suite . room modern , clean , stylish , full light . lobby staff exceptionally pleasant helpful , really nice . cocktail C - View ( small beautiful ) dinner C - House , , staff great ... gracious without trace snobbery . fish chip wonderful , gourmet quality , shame Carneros Estate champagne . complimentary amuse bouche plate treat . nit - pick : Room lack stirring stick coffee ; real cream ( mini - moo ) would appreciate rather dry creamer ; enough coffee make two cup would nice ; elevator slow , management apologize beforehand . location perfect . room quiet comfy . thing consider , great place stay Chicago , could easily pay $ 100 ( high ) quality . 
 Feb 9 2009 	 would stay minute ! 	 stay Affinia weekend 3 couple . say staff phenomenal ! ! ! 2 couple stay studio suite , 2 couple stay standard king room . room plenty space . suite provide group nice area gather go . standard room plenty big Chicago hotel room . ironically suit small bathroom dressing area standard room . absolutely try pillow menu . lobby smallish , nice marble desk floor , 2 elevator 7th floor ( 29 floor total ) . hotel good kid , pool smallish gym area . we 2 issue hotel . first , way room check - in elevator break we . elevator fix immediately call front desk staff nothing continue ask everyone feel okay anyone uncomfortable . upon fix elevator staff offer comp drink bar evening . second , one couple room unexplained & quot ; rattle & quot ; . staff move room , upgrade suite without even ask . despite 2 hiccup mechanical issue , make customer service . not know Steven 's position hotel , meet check - in , hotel remember name . ask everything okay apologize elevator incident . also concierge 's awesome recommendation idea . bellman outstanding taxi 's luggage . 
 Feb 3 2009 	 nice shop find everything step away ! 	 boyfriend arrive pretty early flight check not unitl 3 , staff accomadating room we unpack get comfortable right away . finally make back ask get couple spot proximity concierge helpful knowledgeble give we coupon ! next day knock wine glass room immediately send someone housekeep clean immediately . decide see boyfriend feeling well fall early day miss stair room ( bad part ) bang toe black swollen , staff offer bring ice even bring pain spray anitbiotic . nice ! ! trip mainly experience extremely cold windy city get away course bf need . affinia comfort perfect 
 Jan 28 2009 	 Mini - vacation 	 stay Affinia one night Saturday . excellent experience hotel . the lobby spacious welcoming . front desk staff competent helpful . work concierge diligent knowlegable . Doormen porter helpful well . the room large comfy . furniture low quality take away ambience . bed comfortable enjoy custom order pillow . hotel quiet sleep well . we drink & quot ; rooftop & quot ; bar . drink quite expensive byt delicious . bar restaurant elegant . try food . the room special ( $ 109 ) make stay even well ! 
 Jan 25 2009 	 Affinia Great Stay ! 	 great hotel right heart Chicago Loop . within walk distance downtown attraction . parking expensive ( $ 50 p / not ) park free remote location ( recreation drive ) since not plan driving check . staff friendly helpful . room large clean . 
 Jan 25 2009 	 Loved Affinia - would return heartbeat ! 	 stay Affinia hotel 2 night weekend Christmas can not say much enjoy stay . first impression hotel one chic modern glamour . front - desk staff friendly check - in go completely smoothly . request view room low level accept request problem . front desk staff continue friendly come go hotel , saying & quot ; great afternoon & quot ; , & quot ; need umbrella ? & quot ; since rain , etc ... always prompt retrieve car hotel parking valet well ( unfortunately run total bill significantly ) . garage right across street , weather , convenient valet it . the room immaculately clean well - appoint . abundance lamp Aveda product bathroom , huge ! want transport bathroom home , luxurious . very comfortable bed , interesting headboard build reading lamp , even pillow menu choose . decide give buckwheat pillow try , pretty comfy ! Maid service little later usual , day , return room clean later afternoon . the one reason truly love hotel location . look boutique hotel experience budget , place . right absolutely heart Mag Mile shopping . would say hotel hotel girlfriend getaway want shop - till - you - drop : ) Ginos East right next door , boyfriend could excited . also stop breakfast cafe Pierot Gourmet , street Surperior lovely , huge breakfast ( bit expensive side though since attach luxury hotel ) eat hotel , steak restaurant look pretty empty , could becuase Chicago fairly empty winter weather . go show travel off - season . this place absolute 10 ! would absolutely stay next time Chicago . 
 Jan 23 2009 	 great florida winter getaway 	 want romantic getaway someone talking never meet . think Affinia would great review tripadvisor . good location , shopping drag . good eat , though slush n snow bitter cold . enjoyable . walk lakeshore drive enjoy view lake . twice morning , even though Affinia great fitness center . opt public transit even though cold easy bus least one block direction take directly museum . also shop michigan av well state street shopping theatre district . miss patti labelle find go Chicago . one bus ride away . the train station little red line . accessible one bus walk Chicago ave around block across walgreen . careful lot panhandler . housekeeping staff great , doormen front desk expect . parking tip lot other say $ 48.00 certainly find well price within one block radius many garage . , park street toward lake superior hotel past N. Fairbanks ( 2 block affinia ) . street meter parking weekend 's free . weekday can not park free till 6 pm move car 9 am street long free . 's safe hospital area police patrol area 's car . chicago still not leave anything visible inside car take hide rest . couple garage offer early bird parking 9 am 7 pm cost $ 16.00 . garage one block affinia walk affinia door south N st clair one block turn right E. Huron garage 150 E. huron . barely block n half . valet parking . work great usually move 9 am anyway back close enough area take car 7 pm . back city transit fast . hope help budget minded . truly enjoy stay affinia noise hospital loud bad ' m New Orleans use noise . good view 10th floor . hit lady , yes hit really well . think little spot visit return , next time try horse carriage ride . one thing need real work business center . 
 Jan 20 2009 	 Affinia hit home run 	 stay holiday weekend sightseeing shopping . usually avoid trendy boutique property service ( either personal business travel ) fail match surrounding . well , Affinia real surprise - a beautiful property , perfectly locate , superior service . junior suite enormous , well - stock , excellent bathroom flat screen tv . hotel nice fitness center , fine restaurant ( serve we 35 minute could attend last minute performance ) , small rooftop bar terrace . service could well , everyone -- front desk , concierge , housekeeping , maintenance . new favorite Chicago , look forward check Affinia property city . 
 Jan 12 2009 	 Perfect Weekend 	 wife enjoy 3 - day weekend Chicago Affinia . take South Shore train Millennium Park Station , pay 5 buck cab hotel . weather first 2 day cold , snowy , SLUSHY Affinia 's location perfect we . enough thing within 5 block radius . not get around 11 night first night , desk staff recommend Timothy O'Tooles good place drink good late - night food . need . staff always nice helpful . doormen first - class friendly . would even jump jacks middle street hail cab ! much well annoying whistle ask . ( image keep warm ) . room nice , view nothing write home . view office building garbage bin . flip side , pay $ 109 night weekend . quite happy room anyhow . roof - top bar , c - view , cool . amazing view expensive drink . believe wife cocktail 13 dollar . also , could go deck foot snow . cozy , sheik , fun quick drink dinner c - house connect lobby . love c - house . talented chef design sophisticated dish . love beet salad fish taco . wife like tuna pinenut . Watertower Place 10 minute walk great shop along way . could easily spend whole day , food court good one ever see mall hand down . we definitely go back Affinia next trip Chicago . friendly accommodate staff , nice decor around , perfect location . 
 Jan 12 2009 	 great place great price . 	 husband stay 2 night NYE . get good price could pleased property . check desk door man everyone great . room huge clean . bed extremely comfortable . flat screen tv great . stay would recommend anyone . hope not become popular price go . 
 Jan 3 2009 	 A+ Affinia 	 stay NYE & amp ; enjoy every minute . clean , modern room - spacious . aveda bath product . friendly , accommodate staff . comfortable bed . love fact make special request pillow , room , view , etc . - honor . ( go hotel website customize stay . ) great view & amp ; even partial view NYE firework lake ! Valet parking $ 48 / day , park garage across street $ 38 / day . hotel next hospital , be light sleeper bring ear plug ! one fully operate elevator , staff extremely helpful find alternate elevator get . complaint clock radio background noise try play iPod - ask different radio & amp ; second one bring problem . otherwise , nothing complain - would go back heartbeat ! ( oh yeah , great location one block Michigan Ave . also Gino 's Pizza right next door . ) 
 Jan 3 2009 	 Love place ! ! 	 & amp ; partner arrive Dec 27 right start staff Affinia could not helpful . soon arrive feel home . location excellent , Magnificent Mile , ideal everyone - shopping , sightseeing , restaurant - walk distance everything . can not recommend Affinia enough . Definitley worth visit . 
 Jan 3 2009 	 Best Center Chicago stay 	 exceptional stay . great rate hotel website . Location Superior St , 1 block Water Tower - Central Mag . mile ! Apple fan note store around corner . never well service amazed thoughtful well design room hotel facility include C - View C - House . well rate eat experience , pastry chef apply TOP CHEF ! ! ! enjoy meal 1st night purchase exception desert gift twice stay share & quot ; find & quot ; friend family . brother return friend APPLE store sister - in - law friend Northwestern . personally love workout package , be great touch ! service rep thoughtful instructing direction dvd player . desk staff wonderful help answer every question make sure stocked ice . 85 year old Mother enjoy modern design amazing service receive stay , 50 . hotel every age group . hope enjoy stay one New York hotel return Connecticut . thank wonderful stay ! cheer ! 
 Dec 30 2008 	 will definitely back ! ! 	 daughter stay model job business trip another mom daughter . girl model american Girl Doll store location block away . place excellent every way ! location perfect walk nearby shop Mag Mile . staff absolutely friendly attentive . room nice , clean , modern . view window amazing . 's great pizzeria restaurant call Gino 's East right next hotel ! bed absolutely lush ! pillow plush , bedsheet crisp clean ( old musty bedspread ! ! ) nicely tuck , sleep like baby ! ! even get take peek rooftop lounge . close staff gracious open we , take picture amazing view . thank everyone make memorable stay we . definitely back time american Girl group friend ! 
 Dec 30 2008 	 great stay city 	 recently stay family Affinia Chicago Christmas holiday break . get EXCELLENT rate hotel , good news , arrive well check - in time one room ( need 2 room accomodate family ) not ready yet reservation clerk quickly look proceeded upgrade one room suite price could immediately get room . efficient friendly ! location hotel fabulous - right mix Magnificent Mile Gold Coast ton restaurant shop . room nice - look recently refurbish clean well appoint . not need service , offer pillow menu choose type pillow 6 7 type offer bring walking tour ammenitie room request . I definitely recommend hotel - it great value rate fabulous location ... service great ! 
 Dec 27 2008 	 wonderful 	 everything hotel great -- comfort level , unique modern furnishing decor , lush bedding , overall cleanliness , friendly , interested , helpful staff , location ..... memorable experience ! 
 Dec 23 2008 	 Excellent Hotel ! 	 can not say much hotel , not already say . wife look forward styae Affinia read many good review site , dissapointe . the location first class , staff , friendly helpful . will stay visit Chicago future - without doubt ! 
 Dec 22 2008 	 good hotel life 	 one good boutique hotel Chicago offer . good location Magnificent mile , shopper paradise , block lake river walk , greatly place traveller . room nice modern , though stay top floor heating unit old work find , move suite inconvenience pay room service . friendly staff unparallel staff delt hotel . Affina chicago good hotel ever stay . 
 Dec 15 2008 	 Nice experience 	 Affinia great hotel . staff eager please , location extraordinarily convenient , room keep clean . problem typical shortcoming , small bathroom , noise , malfunction electronic , slow elevator , etc . stay superb . 
 Dec 9 2008 	 Affinia A - ok 	 terrific hotel experience . moment check till moment check , Affinia staff gracious courteous . 
 Dec 7 2008 	 great visit 	 .. pleasant 3 night stay Affinia . room quite nice , well appoint comfortable . staff exceptionally nice extremely helpful . seem content chit chat us lobby -- knowledgeable area genuinely interested make whole experience special . 
 Dec 7 2008 	 Loved Affinia 	 Booked Affinia reading review website exceed expectation . great location , Michigan Avenue . fab view avenue opposite hotel room . room quiet , 6th floor not find traffic noise . we fabulous room 2 king bed , comfortable ever . room really big load space , bathroom . aveda product bathroom nice add extra . staff friendly helpful , especially Christopher Daniel . Christopher arrange day trip outlet mall also ticket dirty dancing , great seat . overall love Affinia would love return . 
 Dec 1 2008 	 Great Hotel ... 	 get great deal week stay Affinia Chicago expedia October bargain hotel service get . superb location Magnificent Mile couple block away Water Tower Place . staff professional , friendly always eager help . book junior suite impressed - large desk office chair , spacious living area comfortable couch recliner chair , large flat screen tv could rotate watch either live area comfort large bed . bathroom not huge extra make area small illuminated mirror beside . shower excellent pressure etc . room spotless clean perfectly every day . mini bar fridge well stock snack etc want add bill . paper drop door every morning . lifts clean prompt . we not make much use hotel facility want get enjoy city bar look cosy invite . staff helpful doorman particular always ready hail cab , supply umbrella friendly word . a great hotel perfect location ( especially shop ) friendly professional staff . 
 Nov 30 2008 	 okay would like without hassle ! 	 book Saturday night stay Mag Mile Lights Fest ... get * great * rate thru Travel Ticker . location could perfect could see Water Tower Place room . , half block Michigan Avenue . book regular room , suite , setup walk stair enter room area bed . bed & quot ; pillow menu & quot ; think quaint touch , bathroom metallic orange wallpaper , ummm .. .. bathroom mini - bar top stair . room king size bed recliner chair . happy & amp ; surprised able get room late morning , well offical check time . also prerequeste & quot ; walk tour & quot ; kit deliver shortly check . also receive phone call desk ask everything , think nice touch . the room feel little cold , though , crank heat headed day 's adventure . get back room ... hour later ... still freeze , call desk say would send someone check . head rooftop bar drink . pleasant , , top floor hotel , get excellent view city light night . would even well summer month , bit cold actually sit outside , stay indoor . head back room , maintenance guy still work heat , room * still * cold . tell we heating system room deifnitely work & amp ; offer relocate we room right next door . say heat * probably * start work soon , room next door heat , room next door amenity room , would help we move luggage next door room . peak room move everything look feel warm . something hassle move stuff , go ahead move it . only new room realize room identical first one . first , end hall , second room quite bit small first one . also , comfortable reclining chair husband love sit second room . ( small ottoman , sorry ) . work desk half size one first room . rather disappointed , walk around city day , recliner chair look quite comfortable . see maintenance guy hall ask heat okay first room , say , decide haul thing back first room . tell heat go work night , believe would . thankfully , not lot stuff move . even well , heat actually work night . we also quite bit noise people run hall night -- know hotel can not much , FYI light sleeper . also , kind construction go right next door hotel , quite loud . overall , location hotel great , amenity nice , . however , expect heat hotel room work , especially Chicago November ! also , would really like hotel offer kind complimentary breakfast , even continental breakfast would greatly appreciate . ( coffee maker room , kind odd , brew one cup coffee ime ? ) .I fill hotel survey get nice letter hotel management rep , , heat something expect come standard , pay extra get . 
 Nov 30 2008 	 wonderful ! ! wonderful ! ! ! ! ! 	 husband surprised birthday dinner overnite Affinia . former travel agent , particular stay know husband little nervous . hotel wonderful . staff friendly accomodating . view room great . Location Michigan Avenue could not well bar top floor even well view Chicago . complaint heating system little noisy , minor detail wonderful deal great hotel . 
 Nov 28 2008 	 Nice Hotel Nice Location 	 nice hotel exceptional service . stay week business trip enjoy thoroughly . location fantastic , room well lay roomy . also get choice five different pillow , think nice touch . choose Ipod pillow connection build hook directly mp3 player . also eat hotel restaraunt tasty nicely present . also pizza place right next door hotel , Gino 's East , also good . location Michigan Avenue corner Disney Store also plus pick last minute gift little one . overall great stay . 
 Nov 27 2008 	 great location great price ! ! 	 book hotel see high rating tripadvisor find great rate hotel website . think pay $ 130 / night ( friday , sit , sun . ) excellent deal area . hotel one block fame michigan avenue . right next door great pizza place , gino 's east . couple block away , find thai restaurant , dao , good . not rent car ! walk everywhere affinia take cab long distance . take el ( subway ) midway easy . first trip chicago . walk couple block hotel save we $ 50 cab ride . everyone say pay go top john hancock bldg ( be $ 15 / pp ) . apparently restaurant top floor go price drink / meal . think worth free headset tour tell lot chicago history point landmark would see otherwise . complaint hotel room right housekeeping closet lot slam door early morning . probably could request different room not bother . 
 Nov 24 2008 	 Loved Affinia 	 book great little boutique hotel thru Travel Zoo reasonable price . rate time number 2 hotel Chicago . Affinia live rating . decor modern simplistic . never stay hotel real HD tv . location great - one block east Michigan Avenue high rent district . staff helpful friendly . 
 Nov 3 2008 	 Great Hotel 	 wife stay recently four night town conference . absolutely love hotel . book junior suite Expedia great deal . roomy , clean , comfortable bed . great view John Hancock building . staff friendly helpful . location , block Michigan Avenue , excellent . eat half - block away Coco Pazzo Cafe , would highly recommend . also like Bistro 110 , couple block away . something convenient casual , Gino 's East right next door . although temperature little cold , hang little outdoor rooftop bar , nice . drink overprice , 's big city hotel bar . would definitely stay . 
 Nov 3 2008 	 nice location soooo noisy . . . 	 great location , nice modern room . even think sleep try concentrate work room . housekeeping break new record doorslamme every day stay . lady China seem understand one word language start early prop door open servicing guest room . count door slamming ( door heavy ! ! ! ) every 10 second one morning opposite room hour . complained management , quick apologize nothing change . would easy use waste basket hold door open going ... experience border sheer noise terror . one minus : forget ( extremly expensive ) room service . try place order morning , call five time , phone never answer ... finally front desk pick promise room service call we back , happen already leave room get breakfast around corner nice place third Affinias price . and first night alarm clock room ring 4.30 Sunday . housekeeping reset previous guest . tell part daily duty , beware ! ` shame ... hotel otherwise nice , could fix problem easily . 
 Nov 2 2008 	 Classy 	 Affinia virtually perfect hotel visit Chicago . wife stayed upgrade suite . large room , modern little touch . staff extremely helpful professional . location excellent . price good value get . simply could not find anything criticize . highly recommend ! 
 Oct 30 2008 	 good hotel perfect location . 	 easy 4 star hotel ideal location hundred yard Michigan avenue close everything . bottom line everything advertise disappointment . room spacious , step bed area , huge picture window great view city . plus side window could open want fresh air . would stay heartbeat . eat hotel restaurant two block hotel Rosebud Restaurant one fine italian restaurant nation . low key , causal great food , large portion , reasonable price . 
 Oct 29 2008 	 well keep secret/ Hidden Gem 	 Excellent Stay . service attentive genuine . staff helpful always polite . room well think appoint . Menu limit well do . would highly recommend . good value area Chicago . NZ 
 Oct 28 2008 	 great modern hotel excellent location 	 pro : modern decorlocation , location , locationwonderful showergreat free gymcon : charge wi - fibathroom light dim makeup application 
 Oct 21 2008 	 friendly comfortable lovely 	 stay 6 pleasent day big friendly hotel . room spotless comfortable great view ... also nice view roof - bar . area pleasant nice clean , minute walk magnificant mile , easy walk around lake . friendly stuff , clean , great warm hotel stay . & quot ; big hotel & quot ; factory - like feeling - like home : ) 
 Oct 20 2008 	 love Affinia 	 husband stay upper level floor standard room . comfortable great linen . room separate area desk bar ( include coffee maker ) . manage book room $ 205 night well worth . front desk bellmen friendly helpful . location also plus . highly recomende . 
