Convenient 	 well locate 2 minute walk Tower London 30 second Tower Hill Underground Station 1 Minute Tower Gate DLR Station . Circle Line operation , not weekend , hotel well locate London . room overlook train line never hear anything . wife light sleeper never issue . bed comfortable , room large bathroom , good shower . staff helpful enough , friendly , probably owe limited grasp english case . continental breakfast include , basic good quality . toast bit let , put basket pre - make , bit cold . apart everything else good . not eat hotel dinner . plenty place around include nice place Marina near Tower Bridge . 
 Dec 21 2008 	 really Lovely Stay 	 spend lovely evening hotel enjoy every minute . check smooth treat promptly professionally . even give room upgrade free charge kind ! room lovely , big airy two lovely sofas two large bed . wonderful view window across Tower London Tower Bridge . location great , right inbetween Tower Hill Tube Fenchurch Street . 2 minute walk station . even though Christmas party go night , feel seclude relaxed . breakfast litle intimidate . quiet main restaurant table little close together , food quality service good though . overall , would go back flash next time London . 
 Dec 12 2008 	 Good Value Hotel 	 stay hotel last weekend mum go see show want christmas shopping . price good value 126 pound bed continental breakfast however price hotel dear 5 star hotel expect . arrival smooth check tell upgrade one new room extra security . quite sure difference never see room , say room nice 2 double bed , marble bathroom , mini bar , bathrobe slipper , Molton Brown toiletry great shower hard find hotel ! surprised pay room arrive , well 50 pound pre authoristion whatever , ( probably case take bathrobe home ) worried would come bank account check ; . hotel swimming pool , steam room , jacuzzi etc use , however skin really itchy use mom 2 bite face ( look like nat bite ) sure anything faciitie strange appeared time spa ? ? lunch bistro bar lovely , blt chip , great big portion yummy . breakfast continental ok . ; really want pay another 16 pound we english breakast intend nice lunch later ! location hotel ok - 2 min Tower Hill Tube , 15 pound taxi Leicester Square . next time would probably go hotel bit close Theatreland would probably pay hotel room swing roundabout really ... , nice hotel , nice little touch room , sure spa .... 
 Nov 30 2008 	 Excellent one delightfully decadent night 	 spend single night hotel part husband 's 27th birthday present I . we never stay 5 * hotel bit special occasion pick hotel close friend attraction want visit . staff helpful location convenient . the lobby grand would expect , aside see little hotel except room . good size wonderful view Tower Bridge - upgrade arrival worth stay special occasion . room clean , comfy , spacious well equip . decide completely decadent breakfast bring room next morning delightfully naughty ! think total upgrade room service probably spend nearly £ 200 one night sometimes great splash - style City Grange . 
 Nov 25 2008 	 sloppy 	 absolutely bad hotel ever stay term service . London business book executive suite nothing executive size . call housekeeping every single night either miss basic toiletry something miss not replace . one night actually return room find messy left . also pair leather glover take room report , tell keep room safe . utter circus . 
 Nov 19 2008 	 Exceptional Central London Hotel - Outstanding Value 	 exceptional value , fabulous room , excellent service outstanding comfort . would expect Central London City Hotel ! stay over- nighter friend Hen Weekend September . hotel book part special pre wedding package girlie extremely fortunate get expectional rate deluxe Central London hotel . the Grange City City base ( would course expect name ! ! ) ; 30 second walk Tower Hill tube , offer fabulous value money weekend rate attempt draw leisure traveller absence week day City business folk ! thirty , enjoy night away child , husband , housework hum - drum - appreciate bit luxury glamour . Grange City disappoint ! ! last time share hotel room 3 good friend probably 19 , outskirt Playa De Las Americas cheap apartment smell last night vodka ! ! pleasant suprise find 18 year day distant memory ! ! ! room offer huge amount live / sleep space , sumputious bed could sleep day , exceptional wardrobe hang space , fabulously style bathroom Molton Brown tolietrie , abundance assorted tea coffee , chocolate pillow heating / air conditioning control . the overall feel public area hotel state wealth glamour . decorate chic almost art deco style part , hotel would cater whim descerne visitor . Continental Breakfast - include room rate morning delight ! vast array pastry , fruit , cereal , bread , yoghurt , cold meat , juice etc etc lay style buffet format return long tummy allow ! ! small fee full english breakfast also available . the bar although quite darkly light , comfortable chill zone fabulous area relax friend . extensive wine list offer outstanding vintage pleasantly surprised find hotel calibre location charge sky high price . partner - London cabbie 16 year , extensive knowledge ( excuse pun ! ) multitude Central London hotel ; describe Grange City pre stay simply ' Top Draw ' ! ! top indeed would not hesitate recommend hotel 's service anyone business leisure purpose . true gem centre belove London . 
 Nov 2 2008 	 Excellent hotel great location 	 London two night company book hotel we . location great , right next Fenchurch St handy Leadenhall . we fly London City , hotel also excellently place too . our room superb , 2 double bed , tastefully furnish tremendous view right Tower Tower Bridge - 10th floor . the staff friendly . attentive helpful . we dinner bar one night , good quality reasonable price consider location . would hesitate stay , even pay . 
 Oct 8 2008 	 Excellent Hotel 	 stay occasion , every single time fantastic time . staff helpful , hotel relax throughout , swimming pool steam room restaurant bar . everytime visit London book Grange , would thing go elsewhere . 
 Sep 25 2008 	 Weekend Bargain 	 time book ticket V - Festival Chelmsford local hotel accommodation fully book . be really camp type - like home comfort comfortable bed . we decide stay city London travel 30min train journey day festival . I would stay Grange Hotel previous occassion think plush weekend rate cheap ( par travelodge rate ) seem daft allow little luxury . want . great get back festival nice , cosy , comfortable room Molton Brown toiletry bathrobe . Bliss . it , Ronseal would say , say tin . deserve five star rating . not get eat restaurant breakfast , little disappointing bland , room rate cheap could not complain . gym good size , pool . spa look pretty luxurious , although not time try treatment . think hotel gear towards business traveller week , rate drop steeply weekend . beware additional vat not advertise room rate . so , be London weekend happy base around City Tower Hill area , can not think well place stay . 
 Sep 24 2008 	 ok ! 	 stay hotel two night , mean 5 star hotel - fact like 3 star . they could find reservation quite long time , receptionist rude , demand £ 100 deposit per night pin code credit card even though get room several hour due none ready , explain would code upon return hotel politely inform close bank machine be . upon return hotel obtain key check hotel , reservation could locate long time , even though room pay full early day . when arrive room enough towel , bathrobe toileterie one person , phone reception none deliver room , finally obtain kick fuss . on second day room service leave 1 set towel etc . the lesiure facility ok , change room tiny filthy ! disappointing hotel price much high ! therefore think money could spend wisely 
 Sep 23 2008 	 Perfect ! 	 similar early reviewer , partner stay evening 13th Sep , birthday celebration also coinside Thames festival , previous reviewer , request room view website amazed , floor 11 fantastic view Tower Bridge , Tower London River Thames , take advantage use steam / sauna swimming pool facility include room rate ( alot hotel London charge extra ) bed comfortable breakfast suitable , give negative comment hotel would bathroom small , although matter we complimentary Molton Brown toiletry iin bathroom nice . guarantee similar room , would definately stay hotel . pleased : ) 
 Sep 17 2008 	 Great Location 	 quite o.k . London , definitely 5 star hotel . location great - tower underground station . room small , comfortable . staff friendly helpful . check - in fast without problem 
 Sep 16 2008 	 great hotel ! 	 stay couple time definitely stay . good value weekend London good location . stay Friday night visit Thames Festival Saturday really convenient . book standard double room upgrade executive double room really nice . much different double ( bathrobe ) room excellent anyway . use spa facility afternoon really nice relaxing . continental breakfast morning , fine enough choice we . think price upgrate English breakfast high mini bar price bottle water ( £ 2.75 ) bit steep , apart great ! 
 Sep 15 2008 	 Fantastic view Great Value 	 stay grange City hotel 2 night ( Friday Saturday ) 13th 14th September . purpose trip anniversary stay husband hotel make trip special . stay hotel london previously use live good knowledge city . review state hotel central little way consider step Tower Hill tube station overlook 2 famous building london ( Tower London Tower Bridge ) consider heart london . barley 10 minute tube ride embankment station walk Covent Garden Leicester Square 5 minute . I book hotel many week search good deal london usual site . normally settle basic holiday inn thistle hotel time want something bit special . end book hotel Grange Hotels website get 2 night continental breakfast £ 188 total . barely anymore basic holiday inn cost ! see people review say upgrade staying weekend take liberty ask room view Tower comment section book form arrival could not please receptionist say & quot ; nice room & quot ; . room indeed nice view magical . panoramic view Tower , bridge thame . could ask well . check also instant surprised due poor review read previously . this hotel also nice pool open long hour quite quiet therefore worth bring along swimming gear . also jacuzzi , steam room , sauna aromatherapy room . breakfast fairly standard continental not go food . nice hot boil egg along usual pastry , cereal , meat , cheese , yoghurt fruit . room also generously stock large selection tea , coffee biscuit . overall stay fantastic . enhance presence Thames festival quick walk across Tower bridge mean access performer food stall type . would recomend hotel anyone want beautiful location weekend stay london . 
 Sep 15 2008 	 wonderful 	 wonderful hotel , moment walk , nothing much trouble , room world , bed like sleep cloud , spotlessly clean , veiw tower london , london bridge thame window , breath take , book ticket tree theartre show well see wicked icing cake , bufett continatal breakfast filling , well present , eat much want , sign , train later day ythey keep bag sight seeing , overall would highly recomend one , 
 Sep 4 2008 	 Theatre Break 	 return city / theatre break friend , surprise hotel - upgrade view Thames Tower room . staff helpful , rate continental breakfast excellent , certainly reccomend friend return 
 Sep 1 2008 	 definitely hit 	 Booked hotel lastminute.com . ' ve bad experience recently so - call 5 star hotel reluctant use review facility , be much well . review hotel good book . glad , excellent . fast check room good . 3 room , 2 twin double . upgrade we . double room close Fenchurch Street railway literally could hear nothing , triple glazing excellent . hotel less minute 's walk Tower Hill tube ideal want go Tower . take 20 min get West End cab mainly take tube . pool good , see review mention peel paint would expect basement pool window , fine . staff helpful friendly yes Molton Brown complimentarie bathroom . could not fault hotel , particularly price . not try breakfast £ 12 per head , 6 we 's bit pricey could see look bit crowded mention reviewer . look around bit breakfast elsewhere 's City bit quiet weekend fine . 
 Aug 29 2008 	 pure luxury - not want come home ! 	 manage get lastminute deal 3 night August Bank Holiday weekend £ 100 night worth every penny ! upon arrival could not locate booking give we automatic free upgrade room balcony lovely warm balmy evening . bed far well ever sleep awoke morning revive ready tackle city . could not close Tower Hill tube Fenchurch Street station try , despite close , hotel well sound proof bedtime total silence . pool , sauna , spa steam facility fantastic , despite shut part one day due technical issue . quickly resolve however . not go breakfast option read review disappointing calculating would cost we another £ 180 include breakfast ! , however , within 2 minute walk plenty pub , bar cafe serve breakfast 8 am little £ 2.95 . really recommend Crutched Friar pub meal - price incredibly reasonable food drink , lovely atmosphere couple hundred metre away . want eat locally , Gourmet Burger Kitchen , Pizza Express , Strada Wetherspoons within 5 minute walk , well many independant bar restaurant . quality , luxury , proximity tube station staff service , could not hope well . 
 Aug 26 2008 	 great value weekend 	 isa pricey business hotel week , great price weekend ( low £ 68 sometimes ! ) seek fill room . location not great tourist although close tourist attraction go dead evening since edge business district . tourist would probably prefer stay west end go across river around London Bridge bar restaurant evening . great value good hotel . excellent leisure facility nice gym , large pool , sauna steam . room clean , comfortable well do ( traditional way ) . however , little small theall would not pay weekday price stay get well hotel money elsewhere - however get good deal , great place stay . 
 Aug 24 2008 	 could ask well 	 book lastminute break London . fantastic price consider Bank holiday weekend ......... great room , brilliant facility setting . good location base explore . would recommend re - visit . 
 Aug 20 2008 	 nice bit pricy 	 Nice hotel , nice part town , ie , beside tower . need worry late night etc mugged.downside - expensive ..... pay everything , ie , broadband , £ 10 , breakfast £ 17.50 altready £ 180 night exec room . excellent sport room swimming pool . 
 Aug 10 2008 	 Excellent Hotel 	 Booked via hotel website good value . excellent room near tube station . two shower balcony . Think upgrade much appreciated . check easy receptionist great . tea / Coffee room / flat screen tv BOSE music station . the downside continental breakfast little bit boring look load people raid ( upgrade full English ) set main restuarant overflow & quot ; sushi & quot ; area great quite busy . bar area well quite small . perhaps rellocate Sushi area make use outdoor space . table service consider many staff duty seem let . could pianist well music . price ok expensive want 25 ml spirit . pint four pound . sun , part 5 * hotel price beat facility . however look true five star London luxury ( i.e Mayfair etc ) service staff perhaps right hotel weekend break business hotel excellent . also area hotel , restuarant , bar etc stunning . amazing glass work , marble designer item . 
 Aug 5 2008 	 could recommend hotel 	 second time stay hotel ; stay August bank holiday year last year ( Irish Bank Holiday ) . stay last year issue hotel decide stay knew way around use hotel base . check quick friendly despite busy reception area . get room , standard double , little disappointed room much small one stay last year . go reception speak receptionist , Georgina , see could change room . explain booked room last year year ' room small . helpful upgrade we executive room enter discover room type last year ( obviously upgrade last year not realise ) . room view train station keep curtain close not hear one train announcement weekend ! ! ! room spotlessly clean , whole hotel . bathroom immaculate love toiletries hotel provide ( Molton Brown ) . also provide selection tea room peppermint honey chamomile . hotel great place base tourist tube right next door get Stanstead hotel easy . bus tour go London Tower across road taxi hotel Covent Garden cost £ 10 . staff friendly helpful , whether ' get taxi give direction . there two thing hotel could possibly improve ; 1 ) breakfast , additional charge £ 8 english breakfast - guess ' m use irish hotel seem serve hot breakfast . selection continental breakfast okay nothing look forward morning . 2 ) pool , need bit clean . pool dimly light make area around seem grubby dirty . change room clean though . I could not recommend hotel enough level cleanliness , location helpful staff . 
 Jul 22 2008 	 Great Place 	 Club Room overlook Tower Bridge . Nice Room . food ( room service ) great . would go back food . kid . breakfast hand average . make feel like mass produce . not like much . in term price , would say , find crap room London 4 * hotel almost price . ( grange 5 * hotel . ) say week ago stay crap room one famous hotel . business - person want stay reasonably price hotel good deal . ( certainly many well place London pricewise , grange value money . ) also offer free Gym , Swimming Pool Sauna not get chance go room evening . 
 Jul 15 2008 	 well expect ... 	 ... read previous review . dread 1/ check - in take forever , 2/ railway noise , 3/ nowhere nearby eat weekend , 4/ scrum poor breakfast etc . fear unfounded . 1/ arrival 7.30pm Friday reception busy people check look like school prom . attend immediately room within ten minute . nearly bedtime small daughter , grab takeaway pizza DW Pizza Express three minute walk away . 2/ room right Fenchurch St. station platform know , could barely hear train , line must not joint not hear clunkety - clunk train noise . could hear station announcement . yes , would love lucky get view Tower not curtain stay closed time . bed comfortable bathroom although bit small side reasonably equip nice toiletries.3/ head away Tower city find lot place , even little convenience shop close weekend 's Wetherspoons pub right across road pint bite eat , aforementione Pizza Express close . fine dining acceptable reasonably price grub . Saturday night walk St .Katherine 's dock five minute away go Strada , chain italian restaurant . good , service , food price . bottle wine would pay restaurant live water table bottle filter tap water FOC . pleasant surprise London feel eye take . suppose may find area quiet night want kind massive rave party probably luck round there.4/ not big breakfast eater selection Continental breakfast fine . cereal , fresh fruit salad , cold meat cheese , bread roll etc . fruit juice not good quality enough selection decent start day . coffee terrible though , barely warm not need . breakfast room third full 8.30 am . we book hotel base price pool central London location good access tube could use explore London . fit bill point , could warm coffee upgrade Imperial Super Deluxe Maharajah suite next time ! 
 Jul 14 2008 	 ok that s 	 book tripel room , dbl bed sofabe c - in ( 1 pm ) eastern european girl tell we housekeeping would come room extra bed asap , midnight have not happent yet , phone call ask toothbrush help extra bed man come room toothbrush , could not bothe help we sofabe , call rep 1 , two man came help we sofa bed , room ( 1018 ) need refurbishment , af staff look really stress Concierge seem obesse know go every time akse get cab , 
 Jul 7 2008 	 five star service 	 surprisingly bad service . take 15 minute manage check , although person counter . pay fortune internet access , be even Wi - Fi . get cable reception , break . room ok , hotel personnel suddenly come room early morning deliver message . next morning wake call come 20 minute early . 
 Jul 1 2008 	 Great Hotel Business District 	 business trip wife daughter add ouselve choice Hotel we . find Hotel clean , neat friendly . responsive request . wife ask room change 11th floor third floor room overlook working office . high room nice view St Paul 's Dome . convenient spot Tower London BRidge . right block Tower Hill stop accessable # 15 bus . with window open could hear noise street overwhelming . prom night . 15 - 20 minute ride city highlight think fine ! partake fitness restaurant amenity . overall good place stay , even not business part city wife . 
 Jun 26 2008 	 impressed Grange City Hotel 	 stay Grange City girlfriend long weekend June . get deal hotel website include continental breakfast access hotel golf simulator . we arrive early morning luggage store efficient concierge ( free ) room ready . lobby public area well appoint , inital impression good . this get well get room . spacious , tastefully furnish , well equip lot tea / coffee , toiletry etc ( probably coffee hotel ' ve stay ! ) . entry hallway room nice wide , addition bed sofa , two chair coffee table , write table tv etc along side room . bed two single push together , first night staff make bed one double . bathroom not enormous , good size certainly sufficient need stay . breakfast good , include lot pastry addition usual continental breakfast . sign warn people eat early weekend avoid delay seat breakfast , turn ( late ) Saturday Sunday morning delay whatsoever . one complaint stay noise Saturday night . ball function suite room , music quite loud midnight . think cause open fire door function room though not notice noise quite late evening , not issue bother phone front desk . hotel location perfect tourist business trip , situate essentially next door Tower Hill underground station ( zone 1 ) within 2 minute walk Tower London Tower Bridge . leisure facility also noteworthy - sauna , aromatherapy , steam room pool great , whirlpool heavenly day pound street London ! also try golf simulator amazing fun , though must say first experience thing really can not compare anything else . seem quite good though ! summary Grange City hotel provide great setting weekend London , luxurious room , good food , effective staff , great location walk local sight get onto underground network go afield . highly recommend . 
 Jun 24 2008 	 - 4 Star Hotel 5 Star Hotel 	 ' ve stay couple time , recently Royal Ascot race meeting - handy Bank Tube Waterloo City Line . generally location good City , West end easily reachable Tube Bank Tower Hill . it superbly equip gym really excellent pool , can not imagine 's well hotel swimming pool anywhere London . bar ok overly pricey breakfast ok , standard buffet see hotel day . say hotel fall bit room . not overly impressed cleanliness room ' m one really picky , fussy type . think standard room 4 star 5.service god though can not complain staff seem pleasant helpful . 
 Jun 23 2008 	 Loved Grange City Hotel ! 	 stay Grange City Hotel London June 18 - 22 , 2008 . get family room approx 400 pound include VAT . be locate outside Tower Hill tube station convenient visit Tower London many attraction . arrive hotel early morning 18th fly Toronto . room we great tired feeling bit jetlagged . stay room 409 overlook patio area hotel host outdoor event . room two double bed clean . bathroom stand alone shower separate bath tub . hotel staff nice helpful . choose hotel previously stay Grange Rochester hotel last London time want hotel pool travel teenage daughter . hotel huge indoor swimming pool , hot tub , steam room , sauna aromatherapy room . nice thing long day walk sightseeing . hotel breakfast ( continental ) include Saturday Sunday morning plenty we . could eat , boil egg , toast , cereal , fruit , cheese , etc . could upgrade english breakfast choose enough we . thing would like mention hotel locate business area little nightlife nearby hotel weekend quiet . suitable we teenager we not look nightlife . also , Saturday night event take place hotel City London Police Officers ... music go downstairs 2:00 a.m. could hear bass music 4th floor - would negative . mention front desk upon checkout say normally event go midnight guess attendee ask could extend couple hour , would assume stay third floor right area would difficult sleep . , great stay hotel would highly recommend ! 
 Jun 21 2008 	 Fantastic Value ! ! ! 	 book friday stay via hotel website . rate Room + Breakfast £ 80 upgrade executive room without extra charge . nicely locate next Tower Hill tube , good Tower London , Tower Bridge etcStaff excellent not matter member staff pass hotel , say hello ! recommend ! ! 
 Jun 7 2008 	 great location get London 	 stay 2 night xmas shopping . really enjoy pool spa facility , attractive lobby , good staff comfortable room . 
 Jun 5 2008 	 Good Place Stay 	 Stayed Grange City Hotel work April . good location business district tube station near . close Tower Bridge area . sightseeing work trip . area pretty dead night travel bit find nightlife . 
 May 30 2008 	 mixed experience busy Conference hotel 	 stay May two night attend City Wedding . Glossy , grand public area . party 's accomodatoin experience mix - roomy executive room - bit like Marriott - plenty space , small bathroom . other party similar room balcony , grand penthouse suite , small poky room describe double almost certainly single , twin room extra bed add described family room . use swimming pool great time . try one three restaurant - brasserie overlook nice little patio feature part London Wall . evening meal punctuate group walker guide explain Roman London . food good surprisingly good value . Sushi restaurant look nice . isis bar ok full relativley restrained stag hen party night . service amazingly slow , tea coffee room replenish advertise free paper tuck away lobby . good quality continental breakfast serve restaurant brasserie - full English £ 8 extra . staff universally helpful universally struggle english obvious good intention always realise . would stay leisure- would fine business trip . 
 May 29 2008 	 Good Value Quiet Location 	 Stayed bank holiday weekend , reasonable £ 79 per night . room good standard , continental breakfast include . pay additional £ 8 full english breakfast , little disapointing ( breakfast City 's sister hotel Holburn much well ) .Room overlook railway line back hotel , price pay smoker guess , experience noise , would ideal trainspotter ! well locate Tower London . tube station around corner , need pub etc , area quiet evening . a nice hotel , Grange Holburn well locate nightlife etc . 
 may 27 2008 	 Fantastic Stay 	 wife stay May Bank Holiday weekend thoroughly enjoy stay . hotel well locate ( next door Tower London ) easily accessible O2 Arena via Thames Clipper DLR ( Tower Gateway ) . room clean well present comfort would expect 5 star hotel great value £ 70 per night inc breakfast . staff helpful friendly hotel website use book stay easy navigate . we would defintely stay . 
 Apr 30 2008 	 Great Place 	 Stayed night run London Marathon . get hotel £ 80 per room really superb value . clean , attentive staff , nice bar excellent room . Breakfast morning run good quick need milk 15 month old drink bring upto room instantly . location fantastic right Tower Bridge . 200 yard walk tube station . overall , fantastic can not wait go back next year . 
 Apr 28 2008 	 Fantastic Hotel DEFINITELY 5 * 	 come back hen weekend away beautiful hotel . get key walk spacious room ( hotel london room much small ) huge window look Tower London Tower Bridge . two huge double bed , flat screen , lovely bathroom , absolutely spotless . know people do not good view , think luck draw . continental breakfast include lovely , pay extra full English . less minute walk tube , river . whoever bad experience hotel must unlucky 15 room , do not hear bad word . would definitely visit . 
 Apr 18 2008 	 Great Hotel Great Location 	 daughter stay Grange City Hotel March 21 - 24 , 2008 . receive great rate directly hotel website . check late Friday evening long day travel pleasantly surprised upgrade suite ! room two twin bed , separate sit area two television . room window , able see Tower London . marble washroom bathtub w / shower separate shower . hotel also indoor pool hot tub , gym full cardio equipment locker room shower . never use gym daughter great fun swimming pool . location perfect , stone 's throw Tower Hill underground station , Tower London , Tower Bridge . however , City London business area , will not find restaurant shop every corner . either eat hotel next door hop tube Leicester Square Picadilly Circus , restaurant shop everywhere . never eat restaurant , even though continental breakfast include price room . order room service last evening . pricey , expect room service . go breakfast hotel last morning , inform English breakfast £ 24 adult child ! opt eat across road Novotel one occasion . price fit budget much well . & quot ; complaint & quot ; location room . close underground , always heavy stream traffic walking past hotel . ( look front hotel , room directly top Grange City Hotel sign . ) even early hour morning , someone return night town football game . sound voice people echo building sometimes quite loud , wake sleep . think back building , oppose front , would bother . 
 Apr 17 2008 	 Poor Quality Five Star 	 book double room 10 year old daughter weekend 12th 13th April . read review bit concerned - note check business traveller ask room ( gesticulate leave ) . show right . go lift american tourist complain railway line noise . go room look window right railway track . mean , right . room cramp hotel advertise big room London ( great view .... railroad ) .anyway , hem hawed finally ring complain . cost 160 euro night ( plus not like phone book quote 110 sterling , discover exclusive vat . ' ve never quote hotel rate exclusive vat make wary company - unfortunately London Marathon could not get anything else late stage ) .anyway , complain upgrade much well , large room front hotel view bridge . obviously room gillie . the breakfast unbelievably bad . ask want tea coffee give coffee tray waitress carry around - result barely tepid like sludge . ask later another pot slightly warm still sludgy . give coffee go hot water dispenser make cup hot tea water . continental breakfast consist plate three meat - poor quality ham , turkey salami . another plate process slice cheese . 's continental breakfast particularly five star . apart boil egg reasonable bread roll , croissant danish pastry completely inedible . not merely personal observation , way , other complain cold coffee inedible food . all , would not back . pluse convenient train station ( har har , especially room right hand side ! ) . room clean , pool lovely aim adult kid . not visit sauna spa would kid I . oh , one thing - cleanliness pool leave bit desire . employee ask key pool - go pick plaster . daughter swimming underwater find three plaster one lane . jacuzzi dress near step tile outside . ignore , gritted tooth get . girl came take sample water soon get rope . Urrrgh . 
 Apr 17 2008 	 Disappointed 	 return one night stay frankly experience disappointing . major problem efficiency check - in , room extremely small rate 5 star hotel full breakfast turn something less . future visit think stick hotel area know past experience deliver efficient service well value . 
 Apr 14 2008 	 Great Location Great Weekend 	 return stay grange city hotel enjoyable weekend . stay Grange city one night , arive take 5 minute check , upgrade free executive suite . hotel great staff helpful concierge even look bag Sunday . nothing bad say hotel sure anyone book stay nothing good experience . 
 Apr 14 2008 	 okay - pool wonderful 	 stay part girlie night work . corporate deal grange rate pay excellent . free upgrade executive twin room two bowl fruit bring we enjoy . check seem slow time day , wait two staff finish & quot ; something & quot ; see . reception staff always something else whilst wait check ? anyway , take 5 - 10 minute . room ( 920 ) lovely , spacious overlook Tower London . bathroom reasonably spacious definitely enough two girl get ready in . we find room quite hot night , air conditioning control lazy tackle they . in morning find breakfast room far large , look like identi - kit all - inclusive holiday room . food quality staff seem sleepy not seem top thing much- ask two pot tea , one turn 30 minute later . also privy argument staff - not expect listen . full english £ 8 supplement think probably quite good , look okay come too . the swimming pool spa facility excellent , spend good hour half enjoy gorgeous pool / jacuzzi / steam room / sauna / aromatherapy room . friend book massage say good . Molton Brown change room £ 1 coin locker - thumb up . there two child pool area whilst not think much - toy around pool split slow / fast lesson swimming lane - also , shallow end think child rely . would not take child swim pool . check good , problem split bill room mate check yet . check good , check slow . 
 Apr 12 2008 	 expect 	 hotel locate quite close Tower & amp ; Tower Bridge station . the service hotel good , staff friendly , checkin ok . we eat hotel also use facility . room large expect . bedroom room clean . 
 Mar 31 2008 	 great location 	 well read review concerned check take poor review board although busy wait long . the breakfast adequate , fresh fruit , yogurt , cold meat , cheese , egg , crossiant not know people expect . the location ideal get around London , Tower Hill Tube , L r Thames Tripper walk distance .We eat japanese reasturant good food well pricedWe would go back againwe room 1001 view amazing 
 Mar 19 2008 	 enjoyable stay 	 boyfriend stay City Grange Saturday night thoroughly enjoy stay . room v.clean amazing view . time use swimming pool gym look dissapointe make time use ! continental breakfast good want toast ... ect . staff happy bring . think staff polite helpful although mention previous review check - in slow wait ! notice lot young people stay Saturday night even hen party staying - may experience little bit noise . experience noise morning bedroom next us - nothing major enough wake we . get hungry night hope room service - menu limit 11 pm , mainly sandwich available . all , like hotel would stay . 
 Mar 18 2008 	 ok - need improvement 	 stay mum sister 1 night , book family room get executive 2 bed instead family room 2 bed sofabe . room nice ask move 7th Floor renovate side , not want risk might got move . hotel nice facility pool , jacuzzi sauna / steam room . new room like picture website good facility tv pay per view movie , mini bar etc . main fall restaurant , hotel 4 choose choose forum restaurant hotel main restaurant thought would well much dearer other well . long wait food . not know go suspicion either 1 person kitchen kitchen food restaurant would think time take 2 soup prawn cocktail arrive ! guest could tell . food .... well starter ok well get . main course fish satisfactory much complain much comment either . mum pasta bland warm swimming oil - nice sister Risotto = basically hard pile bland cook rice . complain risotto say pasta also good . offer complimentary tea tell risotto would taken bill good . bill arrive still risotto raise tell free tea could not take bill already do . ? could not bear argue pay . dinner use pool facility back room uncomfortable night sleep bed rather large well centre sharing mean sleep lumpy edge well . morning breakfast - continental include english would extra £ 8 stay continental huge choice manage find something eat - hard boilded egg ok cold chewy toast actually quite nice weird way . lot tiptree jam marmalaide choose . check mention dinner problem offer speak manager refunded cost risotto without much fuss . thing hotel go pool gym facility decor refurbish room quite nice . would say average 5 * , like 3 * 4 * I m generouse . also mention room suppose refurbish look like apart bath hole enamel / ceramic - use shower not bother spoilt overall look - expect 5 * perfection . kind price ! dearer 3 4 * also look . want real 5 * pay extra go somewhere else , want 3 - 4 * fine . 
 Mar 4 2008 	 concern regard hotel 	 ' ve stay several time . hotel issue money not worth value anymore . the problem staff well basic cleanliness issue . see rat hotel . enough say . refuse eat that . the staff untraine . many speak understand English . concierge front desk among individual . the location good be City . otherwise , would avoid . 
 Mar 3 2008 	 Palatial Penthouse ! ! 	 stay two night 30th birthday . friend recommend Grange Holborn , want something really close Tower Bridge , Grange City fit bill perfectly . I remember book month advance quote £ 230.00 two night standard room . think reasonable 5 * hotel London . arrive 9.30pm , walk wonderful marbled lobby think have make excellent choice . well could not believe tell upgrade one penthouse suite 12th floor ! ! ! suite fantastic , separate sit dining room , 's kitchen , amazing bathroom huge , comfortable bed . view Tower Bridge Tower London amazing . we not dinner either two night ( reservation Fifteen ) upgrade full english day lovely - come really quickly , despite pack restaurant . aware booking include continental buffet not surprise supplement add breakfast . we manage dip pool , also lovely , really relax . slight complaint check - out Sunday . would expect hotel size enough place guest leave luggage checkout unbelievably chaotic , queue 45 min , leave case concierge . ' ve get day sightseeing pack , 45 min long wait . say , staff apologetic hey , get upgrade , ' m still give 5 star . we would definitely stay , sure would lucky enough get penthouse ! ! 
