unique 	 love staff atmosphere Monaco ! relax , whimsical , great seat area throughout lobby lovely fireplace . wine reception 5:00 great touch , even serve hor d'oeuvre . Grand Cafe honestly good food eat , long time dine pretty extravagant restaurant . highly recommend hotel ! furthermore , great location two block shopping ! 
 always pleasure 	 stay long weekend November 2009 , eight year first stay . hotel keep distinctive guest room ( bright candy - striped wallpaper , dark wood furnishing ) excellent , personable service . free wireless internet ( join Kimpton loyalty program , easy free ) bonus , evening wine reception . location couple block Union Square right next Curran Geary theatre - people might jib proximity Tenderloin , fine . catch bus Golden Gate Park right across street . 
 Outstanding 	 say enough hotel . ' want spoil everyone find , ' able get room ' able afford one . wonderfully comfortable bed bath , breathtaking lobby , large fireplace lounge wine serve 5 pm coffee 5 ( great jet lag ) . 24 hour room service ( albeit somewhat limit wee hour ) ! ! incredible gym spa area . street Union Square action shopping restaurant . theater next block . one complaint would restaurant ( Grand Café ) attach . one order waffle one continental $ 40 . however , many place choose . everyone go Dottie ' around corner ( line door ) . olympic almost next door ' look like much good pancake ! give try . finally , car , park around corner 24 hour lot Taylor . see reason pay valet service believe work twice cost . 
 girl Getaway Weekend 	 5 fellow mom recently stay Hotel Monaco recently 2 night , satisfied . research many hotel ( 5 woman please , ) , relieve everyone thrill w / the choice . 2 adjacent room stylish fun . comfortable bed w /duvet cover good - quality linen . room spotless spacious big city . bathroom nice bright w/ Aveda product . location good w/ popular retail store w / in walking distance . service curbside desk absolutely excellent . Staff allow we leave car late afternoon , w / no extra charge . really appreciated , get car , find parking couple hour would hassle . problem arrive back hotel dinner Sat . night friend want dessert drink restaurant , rather lounge . approach maitre have , abrupt informed restaurant eat dinner . , despite many available table . employee 's credit , inform host 's behavior next morning , shocked , ask we would stay another day . unfortunately , get back home . , Monaco terrific hotel , definitely back ! P.S . small dog welcome . hotel even keep photo album canine guest ! 
 Jun 14 2009 	 beautiful boutique hotel great location . 	 stay Kimpton Group hotel never San Francisco flagship . go couple day entice $ 81 promotion . promise hotel worth much . decor stunning , service impeccable hotel go extra mile treat member affinity program well . stay intimate room , though small , well appoint . aveda toiletry bathroom . Wifi free join affinity program ( charge ) . complimentary bottle wine dark chocoloate cover raisin await room . decor cheerful whimsical . gym moderate size clean equipment new . spa renovation hotel offer provide service en suite . not time indulge can not comment . the hotel famous pet friendly friendly , minature doberman greet front desk . the location convenient Powell street railcar , Bart & amp ; muni station . sure try Taylor Street coffee shop street fabulous breakfast . great restaurant abound within walking distance . go back San Francisco , definitely stay . 
 Jun 4 2009 	 great character pay . 	 make pit stop way california coast . live San Francisco know area . hotel well situate typical San Francisco , also cusp good neighborhood . may , 's safe spot . hotel room small well appoint character furnishing fixture . word , not feel , generic . unfortunately , seem come price , feel get little expensive really can not complain much , would definitely recommend fellow traveler base comfort location . one thing point , hotel parking , however overnight garage around corner . think $ 12 night . 
 May 31 2009 	 favorite hotel Union Square San Francisco 	 absolutely love stay Monaco Hotel , Kimpton Hotel . last weekend 2 night . never receive personal attention . room comfortable , fabulous bed linen , everything really measure high standard . bit 50 yrs old , female travel Europe find staff Monaco Hotel outstanding . fact , last night call we ask need anything ! friendly people , great location wonderfully amazing restaurant hotel lobby ! cheap , get pay . Loved , love , love . try place ! 
 may 27 2009 	 Hotels take lesson Hotel Monaco San Francisco 	 start , many thing list , around great . not think ever experience fast check , hassle fuzz . room small side Decor nice , bathroom great . lobby restaurant impressive . free morning coffee / tea / hot cocoa Lobby area convenient morning start . reception desk agent helpful , even print boarding pass we . parking bit expensive 49.00 24 hour San Francisco & quot ; & quot ; day many time want . as say Location Location Location everythingoriginally stay Mark Hopkins change Hotel Monaco think good decision we . walk distance major store restaurant , 6 7 block chinatown bargain . 3 block cable car ............ decently place go back San Francisco . 
 May 25 2009 	 memorial weekend getaway 	 enjoy stay Hotel Monaco San Francisco . make weekend include complimentary wine reception guest evening . meet really cool fun people drink wine . also offer free mini message Relax Rejuvenate , amazing . room , bit small , nicely decorate clean . bed comfy , comfortable bed ever experience . hotel within walk distance Union Square . staff responsive helpful knowledgeable city attraction viste San Francisco . compliant cold May , something control hotel . 
 may 25 2009 	 Fabulous 	 staying . Tim bellman good bellman every . 4 year old daughter love . tiffany front desk great check - in . christine great phone call request . I would hesitate recommend hotel anyone come San Francisco . wine reception everyday 5 pm meet people stay hotel get restaurant recomendation . great place . 
 May 12 2009 	 Gorgeous Room 	 Loved hotel . room not big gorgeous boutique style room . bathroom nice . bed comfortable ; love add touch animal print robe Aveda toiletry . staff helpful ; bar sophisticated , great buzz yet friendly . will definitely go back . 
 Apr 27 2009 	 nice stay 	 adult daughter return Hotel Monaco . would agree reviews hotel . room nice , wine reception great idea . however , find internet rate $ 5.99 per 15 minute excessive day age . travel excessively practice mostly eliminate . issue tell one computer entire hotel , every time go & quot ; busuness center & quot ; new key make . inconvenient . however , want nice room , nice staff , great location , try hotel . 
 Apr 23 2009 	 Great Stay 	 live close San Fancisco , visit often business pleasure . order experience different aspect city , make point stay different hotel . recent business trip ( solo ) , choose stay Hotel Monaco . read prior review , automatically book Junior Suite . staff Hotel Monaco quite helpful appear genuinely concerned good stay . room clean plenty room . nice touch extra towel already closet - without ask . busy city , street noise fourth floor room . find problem since come expect noise big city . basic wireless internet fast allow stay touch office . hotel close Union Square , great dining , cable car great shopping . parking $ 59 night - may sound high , pretty much line hotel area . less expensive , close parking immediately offer valet . thoroughly impressed hotel promise wife stay next time travel City . 
 Apr 19 2009 	 great little gem business pleasure 	 stay Hotel Monaco San Francisco weeklong conference October 2008 , stay day enjoy city . first stay Kimpton boutique hotel . Hotel Monaco charming , great service . get upgrade , sign Kimpton club get email offer upgrade cost , available , low price book . stay small suite . hotel room attractive . location convenient Union square , convention center one want walk little bit . french restaurant attach hotel ... go several time , think food good , fresh . brunch really nice . hotel within walk distance many great restaurant also . one favorite place walk San Francisco shopping center dine upscale food court one restaurant . great walk one take also . spend day walk Chinatown North Beach Coit Tower , lunch North Beach . fun walk , get see several neighborhood downtown site . even though hotel small downtown , find quiet enough sleep well . use fitness room several time , adequate workout . would go daily wine tasting , busy . guidebook state hotel close iffy area city , trouble . walgreen across street ... convenient essential one easily forget pack . also able work . attend conference , able work laptop use high speed internet . plan return hotel . great time find location excellent . 
 Apr 18 2009 	 Fantastic hotel 	 stay hotel last evening two & amp ; half week trip California . staff friendly accommodating . room lovely , little small luggage tow . evening wine reception great touch love ! location great , could not get much central . stay next trip San Fran ! 
 Mar 26 2009 	 good hotel location 	 HOTEL REVIEW # 166MY travel STYLE : possible , try stay away business hotel strongly prefer resort resemble four Seasons , Aman , Oberoi try find similar property low cost . seek " wow " experience encourage view hotel stay respective review ( click name ) .LOCATION : good , 5 minute walk main area Union Square shopping . close Clift Adagio hotel Starbucks across street . type ROOM : Standard . BED / SHEETS / pillow : excellent quality linen comfortable pillow . lighting : little dark bedroom , fine bathroom . BATHROOM / SHOWER : good water pressure , curtain curve rod plus . consistently hot water desire . TOILETRIES : Excellent Aveda product . cleanliness : entire hotel room spotless . a / c : never use . STYLE ROOM : strange . fan decoration ’ bite wild taste color ' seem work . still comfortable . common area : nice bar area , ' see happen place hang many great place nearby . lobby nice . QUIET / MORNING light : Room quiet morning sunlight could block shade . food : never eat . tv / INTERNET : ton tv station complimentary wire internet fast . service : Nice never go way opportunity so . summary : probably one good hotel low $ 200 price range . clearly good St. Regis top definitely place would recommend stay . 
 Mar 22 2009 	 wonderful experience 	 love stay Monaco ! service , amenity , location top - notch . celebrate anniversary , upon arrival room , pleased find lovely bottle champagne chill ice - bucket ... nice touch ! queen room bit small , ask possiblility upgrade king room . front desk manager wonderful , udgraded us junior suite . suite spacious , colourful creative decor - nice bathroom Aveda bath product . bed super comfy - nice linen , pillow . lots restaurant shop within walking distance . great time , certainly stay ! 
 Mar 21 2009 	 Great Place ! 	 stay Hotel Monaco girlfriend getaway weekend . wonderful time . location hotel great - easy walk Union Square , shopping restaurant . hotel lobby eclectic comfortable . love different common area could hang . late afternoon wine reception free neck shoulder massage miss ! eat Grand Cafe Petit Cafe , hotel 's 2 restaurant . good . Petit Cafe wonderful happy hour include food well drink . stay parlor suite . large tastefully decorate . bed comfortable . complaint lighting bathroom bright enough , parking expensive - . fabulous place ! 
 Mar 13 2009 	 Kimpton excellence 	 whenever San Francisco always try stay Kimpton Group property . quality hotel understate . first stay Hotel Monaco will certainly return . 's beautiful hotel , great restaurant connect ( Grand Cafe ) room spectacular . complaint ! 
 Mar 2 2009 	 special touch make hotel five star 	 stay Hotel Monaco wonderful experience . husband celebrate tenth anniversary staff make wonderful we . room nicely decorate look street fine . staff bring bottle champagne wine room . never nice jesture . morning coffee afternoon wine reception message real treat . would recommend hotel everyone . btw : spa area open message steam , sauna jacazzi wonderful . arrange front desk open door . location wonderful close everything . place great value . book online room start $ 125 . include $ 20 . voucher breakfast . upgrade available day arrival suite $ 29.00 . would give hotel 4 1/2 star rating . stay world five star hotel special touch make wonderful hotel . 
 Feb 26 2009 	 good hotel not expect much 	 first trip San Francisco spend week research stay , get two choice - Clift Hotel Monaco . choose Monaco thinking Clift look bit ' cool ' , realise across road ! get check , think make right choice . , book King Deluxe , expect large room disappoint room quite small look like queen size bed . even staff agree king bed look like queen ! also room overlook internal courtyard , one pet hate , want room overlook street make sure ask book . decor fun though , room comfortable . love ipod dock ! bathroom great size hotel . staff friendly bit hopeless , concierge never seem available though front desk staff try hard help we choose restaurant not really know talk . spa renovate guy give free massage wine hour great hard day shopping . , great time Monaco , love San Francisco , not expect much . 
 Feb 23 2009 	 Perfect start holiday 	 drive SUV size well fed elephant street San Fran , valet parking friendly staff arrival welcome ! hotel elegant styling flow well throughout , pleasantly funky . the staff highlight though , friendly service excellent throughout . would recommend central stay San Fran . 
 Feb 12 2009 	 Great Hotel ! 	 stay Hotel Monaco lovely experience . staff helpful , friendly welcoming . room decorate & quot ; world traveller & quot ; motif ; would not think color pattern would go together , work ! hotel two block Union Square 4 block BART station Powell Market . resturant , shop , art gallery small grocery store conveniently locate nearby . 
 Jan 14 2009 	 Hotel Monaco great hotel 	 recently pleasure spending weekend family Hotel Monaco Geary St. San Francisco . gem hotel city . yes , little $ -- great customer serivce . love quaint room decor . stay many hotel downtown San Francisco , set hotel apart excellent service . problem hot water one morning little cool side . immediately take care manager call see get hot water . staff personable give tip place eat etc . probably stay well feel take care family . hotel great cafe next hotel call Grand Cafe really great breakfast . drawback overnight parking par downtown San Francisco . garage street Jones Geary less expensive . 
 Jan 10 2009 	 simply excellent every way ! 	 fault hotel . decor public area room carefully consider beautiful . room whilst petite comfortable homely . service staff superb , could not helpful try . evening wine reception great idea , social pleasant way meet guest stay . locate two minute Union Square , lot great local restaurant diner doorstep . on return San Francisco stay Hotel Monaco . 
 Jan 5 2009 	 Good Hotel 	 Staff friendly helpful . property nice room small , fact , small hotel room ' ve ever experience anywhere world ! nice restaurant bar . hotel also great location within walk distance many sight San Francisco . fault could identify lack parking . hotel parking . hotel offer valet park around corner parking garage . fee park & quot ; oversize & quot ; vehicle would $ 64.00 per day . find parking around corner $ 30.00 self park . 
 Jan 2 2009 	 great hotel funky decor courteous staff 	 would definitely recommend place ! rate cheap , place nice . room pretty small nicely decorate . upgrade room free upon check - in send little gift basket idea , possibly call ahead ask nice room start romantic getaway weekend . valet parking end worth ( $ 36 per day ) due unlimited in / out privilege . evening 's free appetizer wine reception excellent . 
 Dec 29 2008 	 wonderful big hotel 	 Monaco well run , wonderfully decorate Hotel center SF . big therefore bit impersonal , amenity room excellent condition . bit pricey worth money afford . 
 Nov 24 2008 	 Love ! 	 wife appreciate courtesy front - desk staff , helpfulness bell people , well decorate , clean room . we will definitely stay come SF . 
 Nov 23 2008 	 Loved Hotel ! 	 Hotel warm & amp ; friendly time get front door . customer service great . enjoy coffee / Tea morning evening wine reception piano massage treat long day business . room nice bed comfortable . can not wait return 
 Nov 15 2008 	 small room good decor poor staff . 	 impressive reception , nice boutique style decor ... greet fairly rude receptionist long flight not impress first . read room small , actually could not stay standard double room book , first 15 min room , rang reception pay upgrade . sauna / steam - room / jacuzzi update . pro ? .. yes , close Union Sq , restaurant really nice reasonably price . nice touch like free wine afternoon fire - light salon . make sure book suite instead standard room , much roomy ! 
 Nov 10 2008 	 back sure ! love Hotel 	 husband stay Hotel American College Surgeons meeting . we truly enjoy Hotel one stay past , due follow . excellent location . shop / drugstore , etc near need anythingstaff friendlyroom nicely decorate .. small , efficientI love small touch boutique type hotel . evening wine cheese reception , massage , tarrot reading , etc .... let people mingle . Clean 
 Nov 3 2008 	 nice hotel 	 small boutique hotel , lovely reception , service sitting room . standard queen room nice , quite small . upgrade junior suite spacious . pet friendly thing freak bit , think might see dog cat everywhere , fine , like hotel , not see pet week here . good location , near union square . , can not complain place all . the restaurant beautifully present , pricey small meal . 
 Oct 31 2008 	 great choice Union Square 	 stay hotel four night . Union Square location good tourist , ' central close visitor information , transit , restaurant shop . Kimpton hotel decorate Art Deco style , fun different , theme " sophisticated world travel " , book room item purchase related theme . complimentary wine massage hour evening , take advantage comment . restaurant hotel fairly high end , actually go street another Kimpton hotel casual environment breakfast brunch . the room small , like hotel San Francisco , bathroom decent size . bed comfortable , nice duvet rather typical sheet blanket . request quiet room end hall , though could hear tv room beside we time , ' bad , traffic noise . real negative room lack light ; 1 potlight 1 lamp room , make difficult read night . the negative experience leave hotel . doorman tell we cab airport would cost $ 42 , $ 3 ( $ 45 ) could utilize hotel ' car driver . fortunately know cab would cost close $ 35 therefore decline offer . ' $ 7 difference , feel misleading . 
 Oct 19 2008 	 lovely hotel bring earplug 	 hotel charming , well locate boutique hotel . staff helpful must say would definitely stay kimpton property . daughter love goldfish , chocolate size suite . love coziness amenity , wish serve sort small appetizer cracker go wine night . okay ... earplug story , mention enough review ... many issue noise factor san francisco ... see orchard hotel review . book hotel , clear needed room away street noise . tell suites quiet high street . book suite . check , take 6th floor ( 7 place ) . suite face corner two busy intersection window single pan could hear honk noise well . bring one manager see window open say suite faced direction would give ear plug need them.needless say , traffic really never die get earplug allow sleep . pretty upset misdirect booking manager nice , let go.the key , learn san francisco , never , ever stay anything tall hotel high floor high street make sure window double pan not high floor . not happen new york city , also lot street traffic . ? ! 
 Oct 7 2008 	 meet expectation 	 perhaps plethora 5 star review , wonderful photo , experience two week early biz trip SF stay Palomar .. expectation quite high Monaco . book King room & quot ; upper floor & quot ; away elevator . also elect $ 15 get upgrade jr . suite . well , arrive & quot ; upgrade & quot ; go , , room second floor handicapped room . room funky shape ask original room - available . suite . fairly upset , stay room two night . would say good place , worth $ 350 / night paid.good : GREAT restaurant , generally good service , short walk Union square , good bar , fun decorbad : misleading & quot ; upgrade & quot ; , terrible pillow ( beg pillow night limited sleep Friday ) , sketchy neighborhoodgood hotel . 5 star , 4 star good day 
 Sep 30 2008 	 acceptable charm female business traveler 	 weeklong stay acceptable appearance charm went look . marble stairway strike funtional . elevator always wait lobby . weight room lock try use . cause concern unlock anyway security area . goldfish bowl elevator land friendly welcome home site . big tv watcher need stay tune national news weather report head . national news critical time national crisis unfold daily . without work remote tv also able manually change TV HOTEL MOVIE ORDER system regular channel four day big inconvenience . report four time . last time report , request change room hotel appear make difference . bed luxurious probably order comforter . bathroom keep clean efficiently . soap replace week . problem outside hallway noise . excellent WAKEUP call service staff 5am . able answer phone awoke early shower time call . staff member come door knock ensure wake . excellent friendly helpful service vallet parking front bellman . would skip restaurant mess breakfast . easy mess . waiter rush two table wait . busy listen order bring okay ate . cloth napkin put lint new dress . Potatoe Gallet grease sponge . Eggs Benedict okay . restaurant clean . big difference former stay Hyatt Hilton price . free internet nice . room nicely decorate include large safe . think maintenance dept . bad breakfast put hotel bad light . location : good toward Union Square - good West South West . 
 Sep 30 2008 	 Great Honeymoon 	 Due convention town not get stay Hotel Monaco first night . put we another hotel glamourous make we give we Suite rest stay champagne celebrate honeymoon . hotel exactly look . service outstanding ! front desk housekeeping . every single employee meet super nice . housekeeping staff wish we great day morning . room 2 flat screen tv 's , free wifi , clean . can not say enough good thing hotel . would definetly stay . location heart San Fran block BART / MUNI . Kimpton fan life . 
 Sep 23 2008 	 great hotel chain ! 	 Kimpton chain one favorite - great property well - run , clean nicely decorate . Monoco San Fran ( Chicago ) perfect fair price . hotel staff helpful , food great , maid service perfect . can not say enough good Kimpton hotel ! 
 Sep 16 2008 	 whimsical hotel heart SF 	 moment book room , knew find special hotel . Kimpton group do beautiful job restore majestic hotel whimsical delight please sense . the hotel staff professional go way make stay memorable experience . meet nice traveler make Monaco hotel choice complimentary happy hour . our room tastefully decorate whimsical theme stripe animal we , hotel supply animal motif robe . bed comfortable linen high quality . PS pay review . 
 Sep 16 2008 	 great 	 stay long weekend attend conference . honestly can not think complaint ! room SPOTLESS . friendly helpful staff , rarely ever hear noise room . guess thing not * love * block one direction , neighborhood become bit sketchy would not want walk around night . overall , nice stay . would stay . 
 Sep 15 2008 	 Great Feel - Great Loacation 	 arrive Hotel Monaco quite jetlagged flight Australia . even though arrive midday , room ready check process quick & amp ; corteous . Suite face onto Geary Street ( 2nd floor ) find room lovely quiet easily fall jetlagge sleep afternoon ! room stay lovely - separate lounge tv , huge plasma bedroom . overall clean furnishing unique , give real character room , not feel like one 1000 big chain . bed divine - comfotable bathroom beautifully appoint . immediately feel comfortable . stroll downtown area easy two block walk Union Square past lot lovely gallery & amp ; shop . friendly Res staff give map & amp ; suggest walk tour . room service night great . complaint - hotel everything expect - would definately recommend . 
 Sep 7 2008 	 Great Hotel Fantastic Service 	 wife return 7 day stay Hotel Monaco San Francisco extremely impressed whole experience . hotel situate two block Union Square great location shopping eat still far enough away avoid lot traffic noise would expect City Centre . although location move towards Tenderloin District mention other certainly issue around walk hotel not give we worry . encounter lot homeless people beggar throughout city area bad . Monaco lovely boutique hotel stripy wallpaper , canopy bed , large fireplace common area staff dress rather strange velvet uniform . room 7th floor decent size , extremely clean unbelievably comfortable bed ( difficult get body 8 hour behind ! ) . many other point staff pleasant bend backwards help question / request . stay expensive hotel fancy reputation Monaco none leave good impression hotel . 
 Sep 4 2008 	 Monaco- Grace worthy 	 love hotel . ( ) request goldfish room stay . help actually helpful , elevator quick ( think know sensor come towards ) room nice standard - & quot ; city standard & quot ; good well . 
 Sep 2 2008 	 go Monaco er San Francisco ! 	 stay Hotel Monaco 14 18 August 2008 great time . the staff friendly helpful , without intrusive , room well appoint generous sized bathroom . the hotel great location tourist ( like ! ) , minute walk away Union Square . reviewer comment upon noise outside night - hey , 's city centre hotel , expect ? ! goldfish , Jay , lovely touch - particularly appreciate 7 year old daughter , rubber goldfish give bellboy one morning whilst wait cab ! one last thing - must try Dottie 's true Blue Cafe breakfast , one block hotel . thank Monaco - get chance return great city will sure stay ! 
 Aug 31 2008 	 great stay 	 wife big fan kimpton hotel stay various one sf chicago look forward hotel monaco quick get - away . hotel house fine old building downtown frisco 3or 4 block union square . great location . lobby delight ..... eye candy ... steep grandeur marble staircase dome ceiling . sculpture painting abound . kimpton good eye . yr ever chicago spring Hotel Burnham famous reliance building . feast ! ! ! unfortunately , not appear info build Monaco would welcome addition ! room small well - appoint usual bold hip stripe kimpton fashion . clean . carpet however , especially hallway ( 4th floor ) tired badly need replacement intense cleaning & gt ; kimpton great 5 pm wine reception even massage ( free ) person hand . get schlockered wine massage . check & quot ; tree life & quot ; sculpture lobby . good.all good stay . hey , kimpton tell square footage room buy there s secret . yr smart get pretty good deal room . 159 per night downtown sf in2008.i pretty good deal 
 Aug 20 2008 	 love hotel 	 stay hotel 4 night July love . staff great , helpful . hotel great location , room clean . complimentary bottle champagne wait we wedding anniversary . the Grand Cafe remind we one Lyon food every bit good . we would definately use hotel . 
 Aug 12 2008 	 Excellent hotel - great staff lovely room 	 great boutique hotel block Union Square . staff fantastic extremely accomodating friendly , especially balk 2nd floor junior suite long day concerned noise street night . particular would stay . room beautiful clean , new fresh . complimentary happy hour wonderful - wine , Anchor Steam nibbler - 10 - minute chair massage boot . strongly recommend hotel friend . stay large San Fran hotel also enjoy , fun friendly place would definitely return . 
 Jul 29 2008 	 Nice Hotel Good Service ! 	 wife stay recently part executive offsite company . upon check - in impressed atomosphere style place . room small yet cozy remind Hudson NYC.Since business , snag get one room available manager Jenny jump right action . make one phone call within 5 minute Tokyo board room set water , napkin , etc . impressed . we dinner 12 Grand Cafe night . plenty good selection interesting pairing available . close bar early night - owl may travel outside . overall good stay , cool place , nice people . 
 Jul 29 2008 	 Great Hotel Great Location Wonderful Staff 	 daughter & amp ; return nice , 2 night stay Hotel Monaco , San Francisco . be look visit S.F . like hotel offer style , comfort wonderful service would strongly recommend Hotel Monaco . hotel locate Theatre district short walk shop Union Square . hotel door walkable every part city ; non - walkers cable car , bus , ( relatively expensive ) taxis available right outside door around corner . double room stylish clean , well - equip , spacious enough 2 adult . 2 double bed lovely sleep look -- beautiful linen ample , pillow . bath pristine clean nicely outfit over - sized bath towel courtesy robe crazy tiger zebra print reflect deco - style hotel . celebrate birthday James , excellent concierge , recommend arrange fantastic , fine filling dinner Scala 's Bistro ( see separate review detail . ) thank , James wonderful recommendation help get we dinner short notice ! fact , staff interact Monaco -- doorman housekeeper -- wonderful ! would not expect receive well customer service Ritz - Carlton Four Seasons -- simply put , service beyond picky expectation ! area around hotel well light due nearby theatre restaurant busy feel safe comfortable walk main street day & amp ; night . convenience , Walgreens across street anything one could need travel Grand Cafe next door serve fantastic Sunday brunch extensive bar . definitely plan return Hotel Monaco future would certainly recommend friend , family & amp ; fellow traveler . always , happy answer specific question experience Hotel . happy travel , Carol -- 
 Jul 28 2008 	 Fab - u - lous 	 hotel true gem level . location ideal , beautiful , FRIENDLY , HELPFUL , comfortable , bad price either . Michael , concierge genius , idea , make happen . restaurant work art . course four night stay , three meal house , another two room service . spectacular want tweak little , happily easily accommodate . Monaco permanent go hotel San Francisco 
 Jul 23 2008 	 wonderful boutique hotel 	 daughter stay 3 night shopping , sight seeing trip . location great room . 2 bed , somehat large single bed room . service good love wine appy hour evening Starbucks service morning place fire read newspaper . eat restaurant 1st night thoroughly enjoy . absolutely complaint wonderful little hotel . right Geary , find noisy . I book directly Klimpton book service hotel initially quote high rate . give Expedia rate , match , though note confirmation slip rate recorded & quot ; internet spoiler . & quot ; make difference room excellent treatment receive . 
 Jul 20 2008 	 Cozy Nest Bustling City 	 great place stay ! small room nicely decorate appoint . schleppe around SF day , wonderful respite get room - yes , get goldfish . room detail high quality - really like sound system / cd player L'Occitane bath product . thing bit quirky ( e.g . leopard print bath robe ) , maybe real conservative guest . also , need alot space view may want look elsewhere . look several Kimpton hotel area believe Monaco well . the restaurant bar area beautiful . Sunday breakfast menu weak force lunch / brunch menu . bottom line : SF huge number lodge option love try new place , would probably bother return Monaco . 
 Jul 15 2008 	 Fantastic ! ! 	 Hotel Monaco exceed expectation . BEAUTIFUL luxurious hotel , yet 15.00 night Comfort Inn A / C stay Carmel ! business district use quite bit public transportation San Fran ! room stunningly decorated- unique beautiful . bed linen , pillow comfortable . wine cheese hour , include , 5 6 classy touch one want miss Starbucks coffee morning . problem toilet repair immediately . eat hotel restaurant though expensive , worth . great service , quality selection . love hotel would recommend highly ! great value luxury . 
 Jul 8 2008 	 favorite hotel 	 really favorite hotel pretty much anywhere . book another hotel stay rate high date . turn huge convention go time . second morning city , call Monaco see availablity . rate much well call cab 7:30 move . I love Monaco . first experience boutique hotel 's fit . ' ve stay huge convention hotel conference - yes , room much large . , much sterile well . love color , vibe , entire atmosphere hotel . course , pet goldfish deliver room . name & quot ; Cybil & quot ; - honor Cybil Shepherd perform block away one woman show . the location can not beat . room fabulous . staff always friendly helpful attentive . consider stay Kimpton hotel SF , know will always come back Monaco . Breakfast morning move fabulous omelet Grand Cafe . love restaurant almost much Monaco . : - ) 
 Jul 4 2008 	 great stay Hotel Monaco 	 love stay Hotel Monaco , one pleasant hotel stay ever . double room 6th floor not exactly large , tiny mention . minimal street noise , much less expect . the room extremely clean , linen soft high quality , bed comfy . room lot amenity like dvd player video game not use , nice . in - room safe great feature , much appreciated . mini bar regular fridge , fit bottle wine water . free WiFi great , even guy speak phone trouble connect pleasant helpful . the location convenient , agree other area downtown SF & quot ; mix , & quot ; be like 's unsafe neighborhood . problem walk around daytime evening alone . the evening wine morning coffee nice feature . however , like other say , problem people 's bad manner , hotel . stay , parent allow kid play noisy video game wrestle around couch evening reception . part & quot ; host wine reception & quot ; say , & quot ; bring kid ! & quot ; overall , not think child problem hotel 's clearly try & quot ; child - friendly & quot ; -- think 's summer lot family travel . would want dread unruly child keep people lovely hotel . 
 Jun 19 2008 	 wonderful two Night Stay 	 Monaco quirky wonderful place . staff give impression really care guest . our room large ( queen double ) , clean extremely comfortable . negative review state 2 people could walk room time . suggestion really need go serious diet . the bed one comfortable experienced hotel . get inside room 3rd floor could hear traffic noise unusual San Francisco . the wine cheese reception evening great . good chance talk guest . problem first evening guest allow child play cheese dish . fault hotel parent control little charmer . next night thankfully child present . the comment neighborhood dangerous really base . tenderloin start block west Monaco choose walk direction not dangerous . go business like know go . might approach street people ignore pose threat . want avoid walk east toward Union Square . I think good thing go Monaco employee . everyone bell person desk great . I would hesitate recommend hotel friend 
 Jun 17 2008 	 Fantastic Retreat 	 wife stay Monaco two night week . moment step lobby end stay feel staff truly care guest . work Disneyland , prides guest , customer , disney employee could learn thing staff Monaco . our room large , comfortable furnished quaint fashion . bed comfortable room , inside , quiet . unusual San Francisco traffic noise siren norm . housekeeping spotless . bathroom clean spotless home . shower pressure great water hot .. bathrobe little heavy warm . like strip room tiger leopard bathrobe fun . the wine cheese reception wonderful . first night number child 2 8 year old parent ( control ) spoil atmosphere . play cheese table . one 2 year old great fun touch piece cheese cute little hand . parent concern employee would said something not think parent would respond positively . second night ( Sunday ) child reception pleasant affair good conversation guest . since hour checkout Amtrak bus store luggage lock storage area . bell man give we back luggage make sure not need transportation help luggage . the concern witness every employee rarity experience . well run hotel deserve business certainly return . 
 Jun 11 2008 	 Dedicated Hotel Monaco Fan 	 weigh hotel -- actually write review stay hotel . come San Francisco least 5 time year business , always stay Hotel Monaco . location perfect near Union Square , shopping , restaurant , also near business district . always find staff attentive pleasant . always find room spacious ( SF ) , clean comfortable . fitness room , spa , business center ( though must suggest hotel install wordperfect converter Word software , could not open document morning ) Mac pc 's . also , hotel always nicely decorate ( beautiful , fact , Christmas ) salon nightly wine happy hour hold comfortable fire place overstuff furniture . , love hotel think everyone give try . Kimpton in - touch member , think great program . 
 May 20 2008 	 Lovely Hotel 	 wife stay vacation . hotel nice , romantic , botique hotel . room clean comfortable . staff friendly . hotel offer wine taste daily . location second none Union Square . 
 May 19 2008 	 best weekend SF ever ! 	 husband stay Hotel Monaco anniversary weekend SF . allow check early , find room spacious beautiful . place spotlessly clean bed huge . shower great water pressure , seem rare even really nice hotel . staff could not nicer- bottle champagne box chocolate send room anniversary gift ! neighborhood- well , be pretty mixed , hey , downtown SF ! be busy lively enough never feel unsafe- many theatergoer around , doorman always vigilant . 's Walgreens right across street last - minute need , taxi drive fairly often . be within walking distance Union Square major shopping area , well cable car ton great restaurant bar . this nice Kimpton hotel ' ve stay at- usual Kimpton friendliness bit nice decor amenity . 
 may 15 2008 	 not match hype 	 nearly good hope . room tiny -- yes , know SF room often small , half size room recently Omni . room chair . request pet goldfish not bring one . good thing , nowhere put . make lot effort separate money . 's mandatory 20 % gratuity room service . 's ? delivery , guess . wait , be already $ 3 delivery fee well . really really cheap . thing like , offer free toothbrush take , charge remove charge point 's sign room say be free . really irritate expensive hotel , stingy act . internet not work 20 hour could not figure . spa close week , big disappointment big selling point . overall , okay striped wall cute , nearly nice friendly hoped . 
