sospa 	 hire spa group six us corporate entertainment event . everyone fantastic time . build beautiful . staff knowledgeable helpful . lunch good . successful day experience definately repeat . many thank SoSpa . the rating base cleanliness , location , service value not see room 
 8/10 	 struggle find top quality hotel London honeymoon night everywhere seem booked hotel ridiculously price £ 500 . previously stay one top central London hotel year ago , Swissotel , Howard Embankment , would prove benchmark hotel stay . pay £ 320 2004 top quality room swissotel , overlook river separate living room area massive bathroom . pay £ 500 + 5 * Luxury Hotel London seem pretty silly , see standard room , offer breakfast room look tiny photo . in end , decide go last minute.com secret hotel option coincidentally Sofitel select luxury room . quite happy luck day rang Sofitel directly tell luxury room fully book date ring back confirm reservation day , say last minute cancellation ............ hmmm ! anyways , tell special occasion arrive , receptionist inform upgrade junior suite delight wife . we take upstairs show room also champagne ice letter management , welcome we ...... say letter , mean compliment slip thought count . the room bathroom small thought would Junior Suite . would luxury room like wonder ? Toiletries Hermes brilliant rain shower . bed incredibly soft review describe . order room service , , expect , overpriced - club sandwich £ 16 + service charge delicious almost justify price tag . as stay one night , say breakfast option .... know be think & quot ; 's guy 's wedding night ... cheapo & quot ; would think £ 26 per person breakfast ...... starbuck job £ 3 pop 's 500 central London . sofitel simple thing well : staff friendly helpful , room exceptionally clean , bed brilliant food . however , beg belief top central London hotel cost much hate think tourist think price choose book . guess less , especially hotels bang central London . yes hotel bang central London , minute walk Piccadilly yet £ 450 + room ( remember book luxury room get free upgrade ) astronomical - not think stay would good give small , luxury room . however , get pay ; question top quality hotel term service receive , food cleanliness room room big enough not expect much basic accommodation option . come conclusion large proportion pay location . everything damn expensive place yet anything complain be treat kindly make feel welcome . would stay though think well hotel , offer well room space luxury money . 
 Mar 8 2009 	 Great Hotel 	 second visit hotel good first last year . great location , friendly staff wonderful room . stay superior room lot space . get back tea time man play piano 1st floor nice . bed comfortable room faciiltie like include make tea . 
 Mar 1 2009 	 location great pity breakfast 	 stay romantic weekend celebrate wife birthday . immediately impressed location hotel . easy walk distance Piccadilly Circus Trafalgar Square yet quiet street noise . room spotlessly clean sufficient size consider London say havecomparable room size Hong Kong . check - in quick painless service part extremely efficient . say part service associate breakfast appalling . we arrive breakfast Saturday morning approximately 10 am tell wait bar table . look inside restaurant could see half table unoccupie ! therefore wait outside 15 minute finally show table note 10 people also wait bar . upon show seat wait another 10 minute order coffee egg . coffee arrive almost finish breakfast ! although complain quality selection breakfast item service slow clear understaffed . acceptable 5 star hotel . we complain either , almost everyone make wait even offer hot drink . time seat table remain dirty . I would recommend everyone avoid pay extra breakfast ( include ) . fault rest hotel would like add agree reviewer - bed probably comfortable ever sleep . 
 Feb 27 2009 	 luxurious oasis right heart town 	 reception little lounge lead afternoon tea . arrive harpist playing . décor light airy . receptionist charming . get corner room ( bit big ) spacious beautifully decorate . bed quite firm mattress feather mattress topper - think bit firm , wrong , one good night sleep ever hotel . window triple glaze open bit welcome room bit warm otherwise . bathroom nice , compact , Hermes toiletry , bathrobe . soundproof excellent , room silent . location great , 2 minute Piccadilly . not try food beverage service literally hundred eat option within 200 M hotel . a measure good hotel bad thing could say room iron not good . absolutely recommend ! 
 Feb 25 2009 	 great location quiet . big room London great building 	 Sofitel locate well , block south Picadilly , 5 minute walk Trafalgar Square . 's super easy get around Central London , be also fairly quiet . room quiet , neighboring room noise , fairly large London room . bathroom nice part . careful shower – bit tricky figure work , towel warmer nice toiletry ( Hermes bodywash ! ? ) great . staff overall seem friendly , french . 2 drink bar lobby cost 30 pound . 
 Feb 6 2009 	 place stay ! 	 third visit London stay Sofitel time . location perfect .... great shopping , theatre tourist site . ( , husband 14 year old son ) upgrade wonderful corner suite 5th floor ... mean teenaged son & quot ; room & quot ; sofa sleeper tv completely close bedroom . parent travel teen take note .... great arrangement ! never eat breakfast hotel .... unless be include room 's expensive . plenty wonderful restaurant close , course , Starbucks . the room nice size bathroom perfect Hermes soaps / shampoo . mention many review , bed well ever sleep . highly recommend Sofitel St. James . 
 Feb 4 2009 	 bar staff need customer care training 	 travel far wide order Tiramisu dessert cocktail . take note , drink bar area cheap get pay . kind place lone woman could merrily drink peace friend drink least every month . however , recent visit leave bitter taste mouth . usual . friend order St James Cocktail & amp ; order regular . cocktail arrive , first sight know get order wrong . espresso . query waiter decide get driks list tell order wrong one cocktail come espresso - apology , nothing . make look like difficult customer . waiter guy make look flustered . take away watch make another cocktail alcohol . come along , take one sip find one cold black coffee cream top , alcohol ? ? ? ? time completely fed take cocktail back bar decide order diet coke . imagine surprise charge soft drink shabby service . I not want labour point . love place like say often stroll Friday evening Saturday afternoon nice cocktail exquisite surrounding . please get customer service bar area sort would hate find alternative venue . 
 Feb 1 2009 	 Excellent usual 	 stay 4 night Sofitel St James . excellent room ( London Standards ) . great place base work brilliant service . second stay hotel can not recommend enough 
 Feb 1 2009 	 great time @ Sofitel ! 	 decide book Sofitel reviewing Trip advisor get excellent price , would advise shop around price range greatly site site ! welcome warm efficient , hotel decorate really high standard make feel like celeb enter front door ! room really set apart 5 star hotel stop , beautifully decorate spacious . bathroom shower bit hit miss hotel @ Sofitel , do really high standard . incude toiletry really nice well ( bonus ! ! ! ! ) P.S try Bloody mary bar ! ! ! ! 
 Jan 29 2009 	 Great Hotel 	 happy room , bed , staff , food , unbeatable location . 
 Jan 26 2009 	 stunning hotel quiet central location 	 beautiful old building quiet street , yet minute walk west end , SOHO Westminster . Basic Room large london standard , elegantly decorate modern french style . great value money , however extras ( breakfast , room service , bar etc ) expensive . only issue hotel overheat , even room . despite aircon switch high 24/7 , always stuffy unless open window . concierge know talk , recommend excellent restaurant . overall highly recommend . 
 Jan 23 2009 	 truly wonderful memorable Stay ! 	 husband recently stay four - night Sofitel St James part european holiday celebrate 60th birthday . overnight flight state , arrive hotel 7:30 . exhausted flight expect tell room would ready mid day . imagine surprise enthusiastically inform check - in room ready receive complimentary double room category upgrade ! hotel beautiful also important , impeccably maintain throughout . 4th floor corner suite well insulate possible street noise fabulous design long hallway , large separate living room , spacious bedroom unbelievably comfortable king - size bed , separate bath shower . first - class accommodation way ! arrive back room first evening dinner , greet unbelievable delight : two slice decadent chocolate mousse cake surround fresh strawberry . along top plate , handwritten chocolate ' Happy Birthday ' ! make amazing time make reservation telephone Accor Hotels mention pass husband 's birthday . the location perfect walking distance tourist attraction , museum , theater , restaurant , shop multiple form transportation ( e.g . bus , tube ) addition course cab outside hotel 's door . many restaurant nearby , one lovely lunch hotel 's Brasserie Roux dinner drink St James Bar . like hotel , service attentive never intrusive . as traveler well know , hotel employee ' inevitable interaction greatly influence guest 's overall experience subsequent memory . say service provide staff moment arrival throughout entire stay make lasting impression . curbside attendant doorman , front - desk concierge , restaurant staff housekeeping room service , person display genuine warmth take sincere pride job well . with son daughter - in - law live London husband hope visit minimum twice year . could imagine stay , recommend family / friend , hotel . yes , city full hotel choose , Sofitel St James wonderful ! 
 Jan 21 2009 	 Great experience 	 hotel great location Trafalgar Square middle hustle bustle . at reception staff warm friendly , little slow side guest wait . partner tell superior room book ready ; alarm bell rung , fear have leave waiting hour . nevertheless sip complimentary earl grey bar - good pot tea ' ve ever - bar staff also pleasant . half hour later , clerk come give we key along news upgrade deluxe room would waiting - could not complain ! room spacious , well keep amenity would expect . favourite bathroom - like bathroom . the bed great , back approve little thing like complimentary newspaper free wifi great addition . definitely one well hotel ' ve stay London . Wish could stay long experience thing hotel offer . 
 Jan 12 2009 	 wonderful place middle london 	 Sofitel St James one good location city . minute walk , Picadilly Circus , Regent Street Bond Street shopping , Trafalgar square museum , St james Park long walk Bukingham Palace sight seeing . hotel wonderful atmosphere , without beee stuffy top . staff courteous welcoming . room quiet beautifully appoint . tell flat screen tv luxury spa come next month . great bar , love Rose Loounge afternoon tea . perfect place business nice week end get away London . highly recommend . 
 Jan 10 2009 	 good could better 	 Accor Gold Member book online find communication excellent . upon check - in delighted hear upgrade queen room deluxe king room . also tell breakfast include know originalbooke exclude breakfast rate , confirm front desk confirm . go room bag follow timely manner . warm welcome room usual Sofitel quality luxury . bed pillow option good industry opinion 's worldwide . after moment get comfortable receive call say upon check - in address need back home record . find little odd instruct free contact desk give information . never ask , even check out . the follow morning breakfast inform upon leave handed bill 52 GBP ( CRAZY ) say inform include . cvhecke twice two different people confirm case would pay . refuse seeked discussion front desk manager become involve say must communication error would cancel charge . say thankyou understanding , not get level find breakfast room attendant lazy little rude . rest staff hotel great LOCATION fantastic get around London . nice hotel genberally good example sofitel chain . the Hermes toiletry etc bathroom lovely touch conceirge helpful . 
 Jan 6 2009 	 Great Staff Great Service 	 wonderful hotel . stay 6 night Christmas 2008 staff atmosphere awesome . 18 month daughter sick Christmas Day . quick freshen room go 26th see many attraction , leave get well gift daughter . little something beyond need . room great , staff helpful hotel locate within 15 minute walk major sight see attraction . 
 Jan 5 2009 	 Understated Luxury 	 stay one night weekend visit London theatre performance . hotel 3 minute walk Piccadilly Circus underground station end Lower Regent Street . we arrive 1.pm room available 3 . , however , give voucher tea ( , scrummy mince pie ! ) Rose Lounge ( stll smell rose ) nice touich . Staff Reception throughout hotel friendly yet professional room lovely overlook road front hotel yet noise . sofitel hotel bed truly wonderful . as other say hotel many french staff visitor ( handy wish practice French ! ) breakfast ( include good value Weekend rate ) nice french touch ( wonderful pastry ) .We enjoy drink bar pleasant restful ambience . complimentary nibble tasty . so , overall , hotel gimmick , flashy ingredient provide require truly pamper feeling least two 's guest ! 
 Jan 3 2009 	 brilliant - top place stay London ! 	 absolutely gem . brilliant location ( 2 minute Picadilly Underground -- also line Heathrow , 2 minute National Gallery , 2 minute theatre district middle & quot ; happening & quot ; ) , customer service wonderful , actual accommodation top notch . bed ( feature delightful featherbe ) , size room ( comfortably sized , high ceiling , large window ) , amenity ( robe , slipper , soap , etc . ) , housekeeping ( prompt , effective spotless ) part make hotel fantastic ! bit pricey , yes , worth every single penny . book enjoy pamper close entertainment venue . 
 Jan 2 2009 	 true gem London city 	 special trip celebrate sister 's forthcoming 70th birthday Sofitel outstanding . reception friendly efficient room invite spotlessly clean . like smart muted colour scheme bed sooo comfortable ! . ( view speak window honest miss much see ) staff seem genuinely pleased greet - none pretentious nonsense get hotel . leave we chocolate cake decorate sister 's birthday beautifully thoughtfully present well delicious ! everything do discreetly professionally ensure sister special time . thank Sofitel . 
 Dec 31 2008 	 Great Service not compensate tiny Room 	 hotel really fabulous location - three minute walk Picadilly Circus Trafalgar Square . yet hotel quiet . staff largely french , many guest . almost feel Paris , London . hotel nicely decorate . lobby small , really set could converse- wait . Rose Lounge sweet place afternoon tea lovely job offering service . also drink bar- wildly expensive price experience Marriott Park Lane early year . tall doorman charm incredibly helpful friendly . wish get name compliment management room teeny - tiny , & quot ; view & quot ; oppose set window . neither size decoration would expect 5 * hotel . room small door armoire clearance slightly small span small hand . even child could fit open door wall . armoire could hold two coat item three small drawer . remainer armoire fill extra bathrobe , blanket , pillow , safe , tea service . 's NOWHERE else room . nightstand cube wood , shelf drawer- slide tray . table / desk vanity mirror , chair could align mirror due lack room . desk drawer , could open 4 inch due backing night stand . luggage rack , room one , even leave one room . turn , housekeeper throw plaid floor stand lamp place . would case even room empty . lest think travel heavy , one carry bag , lack space bring we . full length mirror armoire . order use , move floor lamp behind . otherwise , close mirror much use . iron / board room . tea service , replenish daily . miss shortbread hotel ' ve stayed also include tea / coffee . also pricey mini - bar . tv chanel many language . the bathroom lovely- beautiful roomy enough . great shower head , bit hard shower room , . puddle , housekeeping take care . like door bath ( two small door open middle one door would wide clearance room . ) part bath visible doors- nice privacy . ventilation bath . towel large plentiful . fluffy- dry without fabric softener , like , other might complain . second robe bathroom . beautifully shine chrome , black stone surface . Hermes toiletrie lovely touch . place bathroom plug hair dryer ! ! ! housekeeping , discreet . never cart , occasional young woman basket cleaning supply . clean room close , small note door not walk surprised . housekeep excellent job . room bath immaculate . although hotel staff could enough make stay enjoyable , basically , amenity good world make trip foot room . & quot ; tiny & quot ; woman , feel uncomfortably crowded room . maybe would acceptable one person ; totally inadequate two . ' ve stay 5 star 4 star hotel London , good bit large room . nice location hotel , would probably choose stay . ask could give we large room tell would cost extra 50 GBP ! clerk seem hear room inadequate . hope M. Jacque read review ask Sofitel consider space next time remodel . , put drawer nightstand , add storage toilet extra linen free armoire , add outlet hairdryer bathroom would improve stay significanly . 5 star room tiny crowd . 
 Dec 28 2008 	 Sofitel St. James - good 	 Booked Sofitel St. James romantic 4 day Xmas trip ( 24 - 28 Dec ) . arrive overseas hotel 8.30am previously request early check amazed receive , issue . book Sofitel Suite ( average 300 / night ) tell room type come complimentary mini bar Wi - Fi . room 517 , please 's suite anywhere near . large average London hotel room sleeper sofa 's suite . bathroom nice , Hermes product ( although buy Molton Brown 'cos love .. aaawww ) separate bath shower ... huge rain head shower , ' normal ' shower head door leak like sieve . water , literally floor , swimming shower away long flight annoying . head shortly thereafter speak front desk say would someone check remain 4 day ... go million towel , eco friendly . mini bar stock well bubbly , whiskey , gin , beer , soft drink , wine , nut , Green Blacks chocolate bar muesli bar , ' Survival pack ' ( condom , aspirin , tampon etc ) , water ( still fizzy ) , funky juice etc ... really well stock stock throughtout stay .... hammer tune 230 pound . complaint performance woman front desk go check point ' compe ' ( emphasis ) mini bar charge ... point come room rate , proceed somewhat snarkily say get good rate already ... hhmm .... bit sour taste leave honour complimentary stuff quite front desk worker would care idea . 300 quid night hardly cheap another couple friend come one night drink , mostly drink Voss water , soda eat snack ... 4 day not feel like abuse apparent ' priviledge ' ... except left take choc bar water take nut , water soda trip . not much hang space 1 robe always find weird hotel . second half wardrobe space take nice tea / coffee / hot chocolate making area . tea come lovely wooden box look yummy never get round . safe iron ironing board .. okay steam great . ask check want newspaper addition FT , say yes , never receive not care enough follow up . tv Sky movie channel , Skysports etc pay per view although DVDplayer mostly kid movie ( shrek , Madagascar etc ) hotel . bed lovely instal hypoallergenic bedding lady asthmatic , per request . House keep subtle ... cart hallways noise , total respect light put ( switch inside room turn green light ' make room , red ' do disturb ' smal panel door ) . room always spotless make , lake bathroom go etc . have room service one night ; arrive promptly ( 30 min ) expensive every hotel , lovely , well present , table bring set remove within minute call 2 am good . steak sandwich , hand cut chip , risotto apple crumble .. lovely hot . no ice machine floor ( flute ) arrive promptly room service Xmas morning champagne . Doormen concierge attentive get cab aswere question . at check give voucher 2 drink hotel bar ... cocktail , probably 13 pound , nice good fresh fruit etc . cocktail drink menu look good not go back . hotel ideally situate corner Pall Mall Waterloo Place 5 minute Trafalgar Sq Leicester Sq / Regent St etc quiet area . overall , really enjoy stay , hotel lovely would not pay extra ' suite ' , seem like waste money unless use mini bar Wi - FI probably still not make difference tariff room category feel like bonus know mean ? 
 Dec 12 2008 	 great location / interesting hotel 	 really like hotel although far perfect . housekeep terrible - lipstick stain pillow , make stain towel , hair shower . nevertheless , love location property quite impressive . staff friendly - arrive early room ready quite accomodating . room nice although design erratic - collision London Paris , new old . not quite work not horrible . nevertheless , really enjoy hotel . 
 Dec 12 2008 	 Great Location nice room 	 travel London 4 5 time year probably good hotel stay price . always , Sofitel Staff good ( think good Four Seasons ) . room spacious decor nice ( even hallway ) . nice selection Breakfast Cafe 's , coffee shop restaurant area - location could well Regent Street shopping . bar expensive food drink - get much money give 5 star . pay far small , drab room London past ( prime example would Jumeriah Carlton Tower ) . 
 Dec 12 2008 	 Fantastic Hotel Service 	 recommendation write site , reserve room Sofitel , St James . be disapointe , enjoyable indeed . the location outstanding accessible , foyer reception staff always welcome friendly . the room , number 106 Queen sized room , ' m guess basic room , nice size excellent standard . the good thing far , bed , comfortable bed , ever sleep . take one advertising card displye different package bed buy manufacturer - blissThink pay 165 pound per night . for couple night away , would thoroughly recommend hotel 
 Nov 26 2008 	 love 	 stay Sofitel London St. James begin November 2008 really enjoy stay . hotel staff friendly hospitable . elegant , English feel . good location , close shopping historical district . return London ' choose Sofitel St. James , recommend even choosy traveler . 
 Nov 17 2008 	 Class Act ! 	 Sofitel St. James fabulous perfect location . many major monument , gallery , restaurant within walking distance . hotel pure luxury . breakfast excellent , dinner . room book spacious large city standard . bed comfortable . concierge recommend good restaurant nearby book excellent seat we & quot ; Wicked & quot ; .We find great deal hotel website , beat anything offer discount broker . receive 3 night price one , one free dinner , one free tea , free breakfast every morning . also stay weekend , price much low weekday . freebie stay weekend drive price something affordable . ( way , excellent deal available hotel website couple week stay - keep check back . ) hotel staff , front desk restaurant personnel professional . bit mix - up free dinner . apparently , & quot ; special menu & quot ; free dinner , not give sit . instead , give regular menu . know different , order menu purchase bottle wine ( 48 pound ) . bill 200 pound ( 4 ) , figure everything would sort , since expect would actually pay dinner full , expect wine complimentary . restaurant closing , realize error give we & quot ; wrong & quot ; menu , call we ask we could come back next night free meal ( meaning would pay full first meal ) . say , , plan next night , would talk front desk morning . next morning , raise issue front desk . say want fair - could please deduct value & quot ; free meal & quot ; restaurant bill ? say would talk restaurant . get final bill , see deduct probably value , deduct full 150 pound . fair . fact , exceedingly generous . impress every aspect hotel , always try stay whenever travel London . hotel guest clearly come first . Sofitel St. James ultimate , need we look elsewhere . 
 Nov 12 2008 	 visit London Sofitel St James 	 good hotel ever . service amazing . I love harpist payer rise lounge : nice drinking pink champagne pink room . athmosphere amazing . flower decoration ! ! ! room spacious . like style hotel . breakfast great well . there nothing could I . I always stay Sofitel St James visit London , perfect . 
 Nov 4 2008 	 Pure Luxury 	 love ths hotel would return ! room beautiful , modern classy cosy . complimentary champagne petit fours arrival add enjoyment . visit Xmas period foyer deck lovely white xmas tree decoration . eat hotel menu look good . 5 minute walk Piccadilly Circus handy getting around . eat Bentley 's ( Richard Corrigans ) restaurant literally 5 minute walk away . area must go real treat worth every penny . 
 Nov 1 2008 	 wonderful wonderful experience 	 wife stay Sofitel St James hotel October 4 different occasion 5 week Europe business pleasureWe love everything hotel , staff fantastic nothing ever much trouble , bed excellent far comfortable bed sleep time Europe , location good London close transport good shopping walk park room good size UK hotel look hotel London go straight Sofitel St James 
 Oct 27 2008 	 Excellent Experience St. James 	 stay Sofitel St. James four night business trip start October 19 , 2008 . book two luxury non - smoking king room stay , one another client . book room 602 entire stay impressed quality furnishing , fixture lay - out . bed comfortable , room overall . from start , everything go perfect one misstep along way . staff excellent contrary comment , find staff professional conscious caring need without overbear . word , see staff need seem appear nowhere assist disappear almost quickly face constantly . housekeeping simply amazing hotel . never ... ever ... see cart , linen housekeeper anyplace anytime however hotel constantly spotless . go lobby meet business associate realize forget something room . return room retrieve , room clean spotless . do 15 minute time never see housekeeper anywhere along way . room service tray table disappear within minute deposit hall , almost magically . hotel & quot ; & quot ; perfect location impressive first entry lobby . hi quality comfortable overbearing do . we use restaurant in - house service try something different every meal hotel . one misstep reason drop one star rating hotel put client smoking room happen . intend make change room front desk client , client actually insist want unpack make move etc . doubt hotel would make change without second thought ensure keep happy . even error , client tell business associate find new hotel future visit London . I stay several London hotel include , Radisson Edwardian Hampshire , London Hilton Park Lane , Conrad Chelsea Harbor ( Wyndham ) , Rubins Palace , Hilton Heathrow , Hilton Hyde Park One Aldwych ; sofitel good experience . room size excellent , location view excellent , quality room bathroom excellent hotel general . unless something really go hill next visit four month , new hotel London visit . 
 Oct 26 2008 	 fancy ! 	 stay Sofitel hotel one night October , third floor . first foremost , location hotel amazing . couple minute walk National Gallery , really close Embankment , London eye , Big Ben Buckingham Palace . not use public transport , close enough walk everywhere want . our room lovely - super clean , really comfortable bed fabulous bathroom brilliant shower , lovely fluffy towel , slipper , dress gown , Hermes bath stuff heated mirror , not steam ! overall think lovely place stay . would love stay would definitely recomme friend . 
 Oct 12 2008 	 overrate 	 stay Sofitel two night ( superior room ) , think little bit overrated . ( price review site ) start good thing : location hotel superb , major tourist attraction walk distance . hotel two minute away underground , City also close . staff polite , really interested guest make feel welcome . room put dark room without almost daylight ( see photo ) , put nose window see weather . 's expect Sofitel . room next room keep staff wake time night . however , bathroom great , good shower separate bath plenty hot water , even morning entire hotel take show time . breakfast ok , staff seem care much guest , take quite get coffee . checking ask enjoy stay : tell guy really like room help much , tell sorry proceeded make bill . 
 Oct 11 2008 	 really nice Autumn Break - Good Location 	 spend mid week break hotel - absolute dream , perfect really central , good location , good food , really nice autumn break , recommend . 
 Oct 9 2008 	 absolutely perfect 	 pleasure stay hotel . first point contact reservation staff immediately get feel professionalism attention superb personal customer service . nothing much trouble . soon arrive , stress strain disappear staff really care guest . stay children hotel London would guarantee time reservation room would interconnect . room well equipped , spacious excellent bathroom shower facility - plenty extra towel toiletry . everything spotless welcoming . hotel arrange babysitting service we , even personalise welcome gift child arrival , well complimentary drink meal arrive room service ! housekeeping also arrange dvd player available child 's room stay . make huge impression child , stay hotel sometimes feel really welcome . ..... child even entertain favourite tune , pianist play evening first floor balcony . the service offer room service housekeeping efficient , speedy always accurate . fact staff seem keen help every little request . Breakfast serve Roux ( within St James Sofitel ) present buffet offer cereal , fruit continental style breakfast , also menu option offering individually request breakfast , include kipper egg Bendict wish . staff Roux extremely attentive every request . relaxed pleasureable start day , different many hotel one queue even get breakfast room . also worth note valet parking service offer - means problem arrive London worry park car . the hotel locate wonderfully elegant square perfectly situate west end museum theatre . yet peaceful , relaxed elegant . Rose Room perfect venue relax afternoon tea good book ( bookcase many choose , forget bring ) .I highly recommend Sofitel St James business pleasure guest child . certainly look forward return . 
 Oct 8 2008 	 traveler 's dream hotel 	 Sofitel St. James London truly traveler 's dream hotel . staff ( front desk , concierge , housekeeping , work ) go way make feel & quot ; home . & quot ; hotel beautiful . , without exaggeration , world class hotel . lobby modern retain traditional european elegance . room state - of -the - art . large , exceptionally clean , elegant , modern convenience world traveler look hotel . bed comfortable awake refreshed rejuvenate . housekeeping staff excellent job cleaning room happily fulfill extra request . wi / fi room traveler need internet access whether business demand modern reality . hotel also fully equip office computer , fax , printer , access internet , etc . impress hotel 's location guest service staff , include day night conceirge . hotel locate St. James ' , London , mean famous London sight within walking distance : Buckingham Palace , St. James ' Palace , Trafalgar Square , Nelson 's Monument , Westminister Abbey , Houses Parliament , Big Ben , Downing Street , river Thames , London Eye ! , Piccadilly Circus close , take London underground place might want go see , like famous Harrods , three stop via underground hotel . return day sightseeing , enjoy dinner hotel 's upscale restaurant , drink beautiful bar / pub , enjoy traditional english tea stunning tea room . energy spare , even fit workout gym , enjoy spa facial massage offer hotel 's spa . staff Sofitel St. James deserve credit make hotel world class player . moment arrive , feel home . day night concierge staff assist sightseeing question , point right walk direction , help map plan London underground trip , even provide historical information sight may want see . polite professional , eager hear opportunity see impression . staff provide service require ; sincere desire exceed expectation . simply state , Sofitel St. James excellent category . truly refereshe see demand world travel , feel home reach destination . hotel staff deserve recognition success provide traveler world - class accommodation , knowledgeable , professional , friendly service take true ambassador beautiful famous London . 
 Sep 28 2008 	 lovely 	 great hotel , great service . good personal attention.bar service disappointing . room might need little renovation . 
 Sep 23 2008 	 Great Hotel 	 stay celebrate 10th wedding anniversary . book hotel look Tripadvisor go hotel website . get Trafalgar Sqaure walk hotel . location excellent - great base walk around London . arrive hotel around 1145 ask could look bag we little early check . girl behind desk say would see room ready give we complimentry coffe wait . short tell room ready get upgrade superior room . go room please nice . everything would expect - flat screen tv , tea coffee making , minibar ( do not use expensive ) bathrobe , slipper amazing bathroom seperate bath shower . bed huge comfortable . look Pall Mall room really light . go bar get drink bar staff really polite friendly . go enjoy day . get back room note desk manager welcome we hotel two peach water - nice touch . do not eat hotel breakfast great . good egg benedict long . breakfast choice huge - bread basket bring table choice cook buffet also choice egg , kipper vaious bit menu . checkout hassel free look bag we day out . all hotel fantastic . be not cheap £ 282 night however special occasion feel worth every penny . impressed cancel forthcoming stay Gatwick Hilton stay Gatwick Sofitel instead . can not recommend hotel enough . 
 Sep 14 2008 	 oh happy day ! 	 stay two night break least 2 3 time per year London normally around Bond St area . stay somewhere little different come back ! Luxury King room knock sock many contender . service fantastic yet discreet room really spacious fantsatically quiet . cleanliness always gripe hotel pretty much faultless . bed great pleased comfortable pillow - saddo take travel ( frequent ) not need time . Hermes toiletrie nice touch free standing shower divine . force moan would say would not enough wardrobe storage space long 2 3 night ... still love hotel though . 
 Sep 14 2008 	 disappoint 	 satisfied user Sofitel NYC , Chicago , Washington , quite disappointed London branch . hotel excellent location near royal park convenient tube . staff quite friendly . however problem : ( 1 ) room airshaft receive almost sunlight ( actually quite sunny London stay ) . gloom quite depressing ( 2 ) one Aldwych hotel London long charge WiFi . Sofitel 's charge 15 poind high pay anywhere world . ( 3 ) exercise room one machine , free weight , etc . sofitel improve exercise room NYC here . bottom line : class hotel much nice hotel London . 
 Sep 6 2008 	 excellent choice afternoon tea . 	 afternoon tea Rose Lounge . truly tranquil set heart London . try reservation usual tea - room find book . good alternative . intimate surrounding touch class . excellent value money came feel refresh ready theatre . excellent Harpist also play add ambience . well worth . 
 Aug 31 2008 	 Top Class Hotel 	 Wonderfull hotel , great location , right center ( 5 min . away Picadilly ) . perfect service , staff helpfull smile . food breakfast dinner excellent 's & quot ; miracle & quot ; London . room big quiet , nice furniture . sure next time come London book room Sofitel St James . absolutly souci , simple perfect . 
 Aug 23 2008 	 room get tired staff still great 	 stay Sofitel St James occasion recall . welcome staff always first rate , service continue impeccable . & quot ; free & quot ; ( read , & quot ; include price , itemised & quot ; ) internet access mini bar worthwhile . while public area remain excellent condition , room start look somewhat shabby wear . my recent stay junior suite : good size , furniture chip mark ; sofa show considerable wear , stain cushion . be look bit tired , price unacceptable . the Sofitel St James use * * place stay , fading . quality room need improve want stay ahead pack . 
 Aug 23 2008 	 Perfect London Hotel ? 	 everything hotel perfect . upscale bit trendy , even show t - shirt jean staff give 5 - star treatment . be snobbishness . great value ( pay $ 350 / night room upgrade ) , perfect location - step away Piccadilly Circus , still quiet corner central London . also step away St. James 's Park Westminster . bathroom particularly nice - heat towel rack shower system require post - graduate degree understand . highly , highly recommend hotel . 
 Aug 19 2008 	 Loved hotel ! 	 wow ! return trip London could happier stay Sofitel St. James . staff friendly begin arrival throughout stay . hotel beautiful , classy , stuffy . partake breakfast hotel restaurant think pricey ( 24 pound per person ) . upgrade room check . room big compare ' ve hear room Europe impressive bathroom nice tolietrie . bed comfortable . beware heat towel rack ! 's nice not grab ! almost would hurt . view not wonderful- side building . London see , sit room long ? room service menu look pretty extensive mini bar stock anything would want ( want pay high price ) . location hotel perfect . within walking distance many area attraction tube stop . really say enough pleased location . definitely stay . 
 Aug 17 2008 	 elegant luxury center London 	 step away Piccadilly Circus tube station , hotel centrally locate . room elegant , probably comfortable bed ever sleep hotel . course come price ( everything London ! ) . 
 Aug 17 2008 	 Central Location Great Service 	 Sofitel St. James great hotel . room good size , ( London ) . bed comfortable ample closet space . bathroom spacious nice toiletry . continental Breakfast good be cheap 21 pound per person . staff helpful , especially arrive early morning . get room ready hour arrive . overall , Sofitel St. James great hotel hope come back soon . 
 Aug 15 2008 	 wonderful stay - highly recommend 	 truly fantastic hotel great service great location , minute Piccadilly Circus Trafalgar Square . the room large well furnished . hallway room large hotel room London ! room spacious desk , couch , coffee table comfortable king size bed plenty open floor space . bathroom also quite spacious , large stand shower , plenty counter space , numerous plush towel , robe , comfy slipper , hair dryer Hermes toiletry . enough room roll - away twin bed daughter , although bring portable crib . lead another great point sofitel : excellent service . upon arrive room , ask roll - away bed remove mini - bar empty could store food daughter . two separate people arrive take care issue , within 5 minute arrival . quick polite task . additionally , later stay stopper sink become stuck would drain - , someone maintenance fix within less 5 minute speed courtesy . the room smartly design single switch door turn light electronic version & quot ; disturb & quot ; & quot ; service please & quot ; sign - quite ingenious . numerous nice touch abound – umbrella , good storage space , wireless internet , flat screen tv , etc . we dinner room service one night stay pleasantly surprised good . 
 Aug 13 2008 	 Fantastic 	 first leg five week Europe excursion simply superb . loctaion good get overall could not fault . staff helpful , deluxe room incredibly spacious bed close thing heaven . read review thank decide stay . & quot ; Trust will not disappoint & quot ; . travel back London next year will not stay anywhere else . 
