always 	 stay wife 5 night early Nov. 2009 . always , room clean well maintain , hotel staff always pleasant . appreciate extra help receive Pedro , assistant manager . residential hotel nice neighborhood , able walk place want visit . room large , fully equip kitchenette . probably stay Affinia 20 time last 5 year . 
 Affinia Gardens Great Hotel 	 room service Affinia Gardens terrific . location ( E. 64th near 3rd Avenue ) perfect . staff people encounter various trip -- Krys , Latoya , Sam , Rhonda , Pedro Sal -- pleasant helpful . hotel configure like residential building hotel . like small , intimate reception area put directly onto 64th Street leave . fact , experience Affinia Gardens like residential hotel live Manhattan . highly recommend . 
 Apr 2 2009 	 friendliest staff New York 	 spend 4 night end March please Affinia Gardens . subway quick walk away , room super clean location super quiet . good part staff . desk staff , concierge , clean staff friendly address we name . ever make back NYC Affinia . 
 Mar 18 2009 	 great location . big room . quiet street . be like ? 	 travel son , 19 , like able get away , stay four night suite . two queen bed bed room large living room sleepable couch , plus kitchen big nyc apartment kitchen . hotel wasrunne special , sniff travelzoo . $ 199 per night . 's quick walk F 4/6 train . course neighborhood everything Bloomies Whitney . Sushi Seki 1st serve 2:30 a.m. hotel heavily weight toward room away public space , make sense . much lobby business center . bar restaurant . room big peaceful . even pillow menu , order 6 possible esoteric choice . ( problem city noise , get buckwheat pillow drape head . mke nice little cocoon . ) pillow . complaint : $ 14 internet . hate . little cd player room break , really care . kind expect ipod docking station . 
 Mar 12 2009 	 great NYC Value 	 stay 11 year old . highlight modern , spacious room allow we spread enjoy . lobby small , service staff always friendly helpful . 's nice Upper East Side neighborhood 2nd 3rd . would not mind return long stay . 
 Feb 22 2009 	 great value upper east side 	 stay 4 night feb 2009 . great location UES . room large , sort junior suite , well appoint except chintzy curtain fronted armoire / closet . bed pillow extraordinary , one comfortable hotel bed ' ve ever experience . day age internet access , whetehr wire wi - fi include price room . 
 Feb 21 2009 	 Decent relatively quiet location NYC v helpful saff 	 pick hotel due review ( option Affinia Dumont fully book ) . ny relatively quiet location side street Upper East Side . room good size v comfy bed pillow . kitchen facility excellent - reason choose apartment rather straight forward hotel . bathroom small clean functional . staff really helpful particularly problem phone airport confirm transport . Doorman , mention other , really happy friendly . tourist site easy access via subway Central Park 5th Avenue short walk away . strongly recommend go Statue Liberty early i.e . get Castle Clinton 8 am , queue huge due stringent security check get boat statue . 
 Feb 18 2009 	 Hidden Gem Perfect Families 	 parent almost-3 - year - old almost-1 - year - old , difficult sleeper , ' ve come dread overnight trip . be knowledgeable visitor New York City recently refer Affinia Gardens . be glad know hide gem . our one - bedroom suite two element crucial stay kid : separate living room bedroom , kitchen . share bedroom ( 2 queen bed ) daughter . wife sleep pull - out couch living room , beside son 's crib . ( crib , another unexpected bonus , moment . ) two kid not wake . matter , hardly hear noise upstairs , next door even outside two - night stay . the kitchen basic nice . buy grocery Food Emporium half - block away arrive snack breakfast food kid throughout stay . microwave , toaster oven , basic dish silverware , dishwasher . 's also small coffee maker , need , lobby offer lovely coffee - and - tea bar around clock ? nice touch . the crib -- solid , clean , piece furniture foldable pack - and - play many hotel offer -- seal deal we make we huge fan hotel . we never make gym not order breakfast morning delivery , not know feature . bit bullet daughter want open bottle Vitamin Water hotel - supply stash refrigerator , happy see cost & quot ; & quot ; $ 4.88 , small markup would expect Manhattan hotel . for we , location ideal , since visit family member live two block away . obviously , NYC visitor would prefer close heart midtown . 62nd 3rd , Affinia Gardens pleasant reasonable walk Central Park , heart 5th Avenue , museum , etc . personal attentiveness staff would huge help comfort anybody tackle NYC first - time visitor . I ' ve use TripAdvisor year , first time ' ve move write review . 's happy experience . 
 Dec 31 2008 	 gem ! Affinia Gardens TOP NOTCH ! 	 travel NYC family trip two child another family . lot research hotel would good fit family . Affinia Gardens perfect . stay Junior suite offer two queen size bed incredible bedding pillow . tv area recliner really make room feel spacious . family four comfortable room . kitchen nice bonus . 's market / grocery store right around corner able buy bagel , fruit snack breakfast . the staff top notch . bent backwards make stay perfect . friendly offer kind help print boarding pass secure driver we return airport . enjoy coffee morning , tea 's available time lobby . 's neat little hotel tuck away quiet neighborhood . feel safe secure location . be convenient lot thing ... day kid tired , take cab . recommend hotel anyone hear travel NYC . be terrific . manager , Alex Spector , truly something right . Evans Richmond , VA 
 Dec 13 2008 	 great find 	 return five day break New York stay Affinia Gardens . find ! ' ve stay several NY hotel Affinia Gardens far outstrip other . room spacious comfortable , quiet spotless . bed divinely comfortable ! stay 10th floor , face street noise problem . location great , near Central Park , lot museum gallery , Bloomingdales gentle stroll , subway nearby . local shop ( Gourmet Garage , Food Emporium CVS ) accessible try local restauranrt China Fun hand winner ! two small complaint : ( ) internet access expensive believe free guest ( ii ) see number review extoll Tuesday Wine Cheese night . perhaps long take place , surprise bring attention . 
 Dec 2 2008 	 Lovely Hotel 	 stay recently ( 2 adult child ) . one bedroom suite work well . suite huge -- large sitting area , kitchen , two comfortable bed . really enjoy stay , room quiet , hotel feel clean well look . build old , notice old plumbing , carpet little worn etc . not detract nice room though . staff also friendly . would definitely stay . 
 dec 1 2008 	 big quiet room ' ve NYC 	 endorse other ' positive comment -- room spacious enough family four ; bed bed high quality , staff courteous . despite next elevator , room quiet - almost street noise whatever . 
 Nov 29 2008 	 lovely spacious hotel NYC 	 Affinia Gardens NYC quite , tranquil hotel family - friendly , welcome spacious room . family secure two same - floor double accommodate family grandparent , parent two nine - year old , enjoy four - day , pre - thanksgiving trip New York . hotel well - locate ( walk Central Park ) close nice neighborhood restaurant trendy shop Lexington Madison . room ( formerly apartment ) include update , spacious bathroom well - equip though small kitchen . kitchen make travel kid especially comfortable . small , invite comfy lobby perfect morning coffee / hot tea newspaper read early riser group . furnishing bed top - notch spotless . staff helpful , friendly eager please . would recommend Affinia Gardens other hope book return visit . 
 Nov 28 2008 	 can not fault Affinia Gardens 	 can not fault Affinia Gardens . the location excellent , close central park , 5th Avenue Subway . shop restaurant close by . the Staff polite helpful , nothing seem much troublethe room large comfortable well equip kitchen . would highly recommend travel child infant . 
 Nov 25 2008 	 return 	 book hotel base upon review site find location superb . 5 minute walk Central Park , 35 minute walk Times Square etc allow easy access main attraction whilst quieter part city allow relaxtion end day . the suite huge city standard although little tired side part clean housekeeping do everyday clean towel etc etc . staff make stay memorable easy go , friendly , helpfull proffessional manner . would definatly stay recommend prospective traveller . 
 Nov 23 2008 	 Best Hotel ' ve stay year 	 one relax vacation year . recommend one hotel would Affinia Gardens . Great Staff nice reception hour excellent service . tell friend Gardens . keep good work . 
 Nov 9 2008 	 Excellent Stay 	 thoroughly enjoy recent stay Affinia Gardens . spacious , comfortable room elegantly furnish , modern comfort . importantly , room quiet , street noise . hotel reception tea bar excellent . staff time attentive , courteous well - inform , focus well - be guest . would strongly recommend hotel . 
 Nov 7 2008 	 praise Aus 	 stay Affinia Gardens first trip NYC - way Australia , 8 year old tow . price reasonable ( though Aussie dollar high time ) , room really comfortable , staff incredibly helpful . would stay flash ! 
 Oct 24 2008 	 less tranquil time 	 ' ve stay Affinia Gardens previous visit NY . room generally spacious many NY hotel , must say property beginning look bit shabby , peel wallpaper tired carpet . bed comfortable bath room spacious enough , white fluffy towel . room mini - kitchen convenient , course . funny , departure , ' ve always leave unopened soda juice next guest . first time husband sodas , juice . surprised charge . silly . guess have supplement hotel 's charge guest ! not think ! visit , experience uncomfortable surprising situation . temp room 75 could not get AC produce cool air . phone desk tell HEAT available , AC long operate . season ! offer FAN . move hot air around ? desk seem commiserate . could ? , can not provide AC ? sorry ! open window listen traffic siren . time experience Siclily stay converted convent , NY , Big Apple . so , dear traveler , forewarned . 
 Oct 21 2008 	 good location . disappointed maintenance cleanliness . 	 terrific location Upper East Side . nice decor . courteous desk personnel . carpet dirty , ask clean . never do . maintenance room could well -- peel wallpaper , grout need replace , etc . maybe one cheap room . ( brother wife complaint room . ) overall , disappointed . 
 Oct 14 2008 	 Peaceful 	 Affinia Gardens perfectly locate quiet street close Central Park numerous restaurant . small property allow staff pay special attention guest . doorman greet every morning name . staff pleasant room absolutely terrific . bed bed luxurious room suite type room small kitchen . would recommend property anyone spend significant time Manhattan great place set base visit Big Apple . 
 Oct 8 2008 	 Affinia meet expectation ... 	 big fan Affinia Hotels usually stay another property New York City . time hotel offer good rate location okay we . arrive pretty early ask room near elevator . front desk manager promptly send room 701 right next elevator service area . go back nothing else early check keep . noisy ring elevator staff hang . two night put . general look hotel awful hallway ... soil carpet date look . actual junior suite okay small bathroom . & quot ; Zen & quot ; ambiance consist lobby area sort tea counter .. & quot ; Zen & quot ; atmosphere enhance loud rap music . web site say hotel quiet hotel .. pre - order special pillow ( feature Affinia ) . staff try place polish Affinia 50 property would stay . 
 Sep 15 2008 	 great hotel hide away NY 	 impress hotel . room HUGE . rare NY . clean , spacious . Air Con , 2 double bed lovely , soft linen . good sized bathroom . friendly , helpful staff . great value . perfect location - near everything , quiet street , away noise . only suggestion improvement - well light bedroom , big towel , slightly troublesome internet connection . would totally stay would recommend friend . 
 Sep 6 2008 	 nice peaceful place Big Apple 	 prior first trip New York big challange identify hotel combine tranquillity proximity heart city . Affinia Gardens perfectly reflect compromise friendly staff , spacious room ( case equip functional kitchen ) optimal location 2nd 3rd street 64th . be always nice ( us important ) chance rest comfortable environment fatigue day discover wide street amenity Big Apple . recommend friend plan spend day NY later year . concern taxi drive airport would suggest use official cab instead private limousine organize hotel . need amount time reach JFK Airport trasfer city arrival , pay 15 % solution propose Affinia . bottom line rest : great time Affinia Gardens come back ! 
 Sep 2 2008 	 REALLY Pet - Friendly 	 return four night Affinia Gardens near central park . room , staff location unbeatable ! room huge ! large living room , kitchen bedroom two queen bed . bathroom small , not bother we all . the staff fantastic . travel two dog , bring gift bag , bowl , sign door let house keeping know pet alone would disturbed . take & quot ; pet - friendly & quot ; whole new level . couple frequently travel dog , really appreciate that . finally location perfect . hotel block Central Park , four short block subway step away 2nd Avenue , must hundred restaurant outdoor seating within walk distance hotel . back , without doubt ! 
 Sep 2 2008 	 absolutely fantastic ! ! 	 stay hen trip 3 girlfriend 3 night . book 1 room fine bed huge room / suite . room contain small kitchenette perfect store bottle wine ! enough space 4 girl big case lot shopping . staff friendly helpful . hotel location excellent - walk distance bloomingdale , Central Park subway station . the complaint arrive noon able check 3 - fault though check come . I would certainly stay - peaceful clean , price see go alot since stay though ! 
 Sep 1 2008 	 Loved ! 	 Booked hotel mine b / f 's first trip NYC . fantastic - good , quiet location . hotel room huge separate fully - equip kitchen seat area . spotlessly clean well maintain throughout stay . although bit far hotel - enjoy time spend Affinia without question . great little baker nearby get fabulous pancake waffle breakfast . would definitely recommend hotel would stay . 
 Aug 29 2008 	 good hotel 	 good hotel huge room great family . happy overall , although hotel 's emphasis ' tranquility ' little force . would recommend family need big room good sized kitchen attach . 
 Aug 26 2008 	 Affinia Gardens - Jewel Manhattan / NYC 	 physician recommend Affinia Gardens wonderful place recuperate surgery , also one locate heart city close proximity everything NY offer , . hotel 's brochure , place certainly appear accomodate , much . boy , wrong ! person frequent good hotel Europe Asia Soviet Union South America Middle East , Affinia Gardens rank right well . know ? room spacious , well - appoint , comfortable , provide one need lounge , work , socialize right within suite . housekeeping superb ( Thank , Chandra ) , keep room immaculate , linen toiletry fresh plentiful , live aspect top repair . place well manage nothing allow look slight bit compromise askew engineering arrive new shower head ( not even know need one ) , bright light bulb , glue gun fasten corner shade may begun curl . amazing ! add warm wonderful staff really go way make feel home , want leave . know . stay six week time staff , service , accomodation anything less superior . , Affinia Gardens NYC destination pointlook . 
 Jul 28 2008 	 beyond Expectation ! 	 husband recently work NYC weekend . company pick tab , decide join bring along almost 3 year old son first trip city . look property separate sleeping area fridge near Central Park -- WOW ! place beyond expectation ! property relatively quiet area within easy walk distance Central Park Zoo . lobby intimate front desk staff friendly -- Melissa big hit son ! pleased upgrade -- certain difference except nice bonus , large balcony ( Room 1104 ) . would even well couple chair small table balcony weather pretty nice evening stay -- complaint , suggestion ! room 1 - bedroom suite . large , even compare outside NYC ! , extremely large NYC ! everything clean -- even small kitchen . not take advantage stove , toaster , coffee maker -- fridge dish / silverware put use . order dinner night two three nearby restaurant delivery relationship hotel -- italian American . good . check - out easy . Michael hold bag could grab bite ran block call we cab . have already recommend property co - worker . would definitely stay . 
 Jul 28 2008 	 Quiet hotel good stay 	 Stayed Affinia Gardens weekend getaway . clean spacious room . room full kitchen , not use . really like hotel 's proximity Central Park . people want hustle bustle NYC ( Times Square , etc ) , hotel . Affinia Gardens clean , modern , relax hotel locate residential neighborhood . definitely return Affinia Gardens NYC . 
 Jul 1 2008 	 LOVED Affinia 	 family five return form week stay Affinia Gardens NYC . one bedroom suite . little concerned five we stay one room not worried , room huge ! large bedroom area 2 double bed large siiting room fold bed , nice , fully appoint kitchen nice size bathroom ( water pressure shower great NYC ) . hotel offerd complimentary tea bar lobby . they also provide pillow menu . location great , around corner subway ! good little din around corner serve good breakfast Alices Tipsy Teapot , right across street , must tea lover . BEST thing Affinia Gardens staff ! Krys , Nicole Latoya , Rhonda wonderful ! always ready assist we anything need Yankees ticket umbrella storm blow up . I definately stay Affinia Gardens next time ' m NYC . good value ever experience city . thank everyone Affinia Gardens make trip one always remember : ) 
 Jun 21 2008 	 Quiet Suite Hotel Upper East Side 	 travel baby always challenge travel New York City day , baby tow , particularly interesting . find place stay sufficient room baby 's paraphernalia ; may privacy Mom Dad ; skulk around fear guest mutter complain know baby be scream wail ? place . Affinia Garden Hotel find quiet upper eastside neighborhood ( even small park come place ) operate all - suite member Affinia chain . appearance , one life , place undistinuished apartment building . suite hotel , hard beat particularly travel baby kid . kid suite hotel either horde run corridor - demographic entirely diverse family , single , american international . like that . do not get wrong . nothing come cheap wind ujp pay $ 450 per night ( include taxis ) stay & quot ; deluxe & quot ; one bedroom unit . 1205 penultimate floor , north corner , overlook small park . could not well location . place small functional kitchen , dish silverware ( sign note could ask pot pan well ) low - end appliance work ; nice dining table four ; fold sofa living area , tv , working desk , divan entrance area ( divan ? ) , separate bedroom , plenty closet space small , well equipppe , bathroom . upkeep appear pretty good peel paint sill weird HVAC system mostly generate cold air strain living room area . early guest 's lose unfound shoe also perch one bed . prearrangement , staff instal workable crib one call produce function high chair . two elevator see delay day room service . we immediately impress professionalism staff bellman desk clerk support staff . sure indulge cucumber water . everone seem enthusiastic happy us nobody act though presence baby would way impede disrupt operation . wound keep baby bedroom work fine . feed time , might expect , somewhat messy would recommend Hotel lie 4x4 plastic mat place highchair - nobody want be rub clean Jr . Pasta Vegetables carpet . if high flying , would go Penthouse suite - large , balcony large bathroom boot . the Hotel offer take - out thre local restaurant - chinese , italian Diner , locate within block . eat lot diner food Silver Star good . convenience within block two - atm , dry cleaning , pharmacy , organic grocery store , restaurant . relatively quiet location . also offer lot spa type facility time indulge in . our babysitting service affiliate Hotel typical - run $ 100 per night tip etc . cash please . we probably stay Affinia next time NY even baby we . pretty good value buck . 
 Jun 18 2008 	 People bandage clean enough 	 read review agree statement convenience friendliness staff . however , would trade friendly staff clean room . dry food kitchen counter , smudge , stained rug , bad blood near bathroom wall . lot people recouperate surgery ear , nose , throat hospital directly across street . kid like see people black eye bandage . bother smell - sort sick hospital smell cover windex smell . staff incredibly nice try hard make everything acceptable . nice staff encounter long time . enough make unfresh feeling . slightly nauseate . stay bed seem fresh clean important . plus , rarely room . high standard cleanliness not want feel nauseous sometimes pay extra money stay somewhere else . hard find hotel much space kitchen quiet location - thing consider . could buy bottle clorox clean clean everything really well . look way go lobby avoid black eye bandage . would good place romantic getaway without kid - 's purpose - look elsewhere . 
 Jun 16 2008 	 great family hotel 	 arrive back week New York . family travel 41/2 year old 6 month old - put family friendliness hotel test ! choose Affinia Gardens 's family rating trip advisor glad . stay room 409 suite separate bedroom ( tv ) 2 double bed , sit room area tv desk bathroom kitchen . hotel location great park zoo 15 minute walk . food emporium supermarket / deli close provide everything need self cater stay hotel . also many restaurant near family friendly . one favourite ' Alice 's teacup ' serve great wholesome breakfast , lunch tea - keep child occupy 's Alice Wonderland theme decoration loo ! hotel also takeout menus room deliver door try good ( large portion ! ) kitchen well equip full size cooker , coffee machine , dishwasher ( although not know enough china / pot fill ! ) large fridge freezer sink . complaint microwave small microwave steriliser would fit ( trip toy r we buy electric one ! ) Hotel provide we hob kettle request one ( standard ) restaurant hotel , issue we , quite happy eat breakfast make self . room clean well everyday never see many towel provide ! ideal kid . room DVD shame think would good odd evening . film request though . internet connection good ( bit pricey week ) carpark opposite bin man / truck tend cause extra noise night / early morning , NY quite tame . if stay NY kid would doubt stay . 
 Jun 9 2008 	 Lovely Place Great Location 	 stay 5 night end May nothing praise hotel . we Junior Suite large comfortable . staff helpful free tea welcome long day city . Hotel 's location little way Times Square , etc , enjoy little peaceful within walk distance hustle bustle . one tip , instead turn right ( morning ) , turn leave 2nd Ave 60th St . cable car Roosevelt Island 5 min give different view Manhattan . Tramway Diner ( also corner 60th ) good substantial , cheap breakfast . if go back Affinia Gardens would first choice . 
 Jun 3 2008 	 Affinia Gardens 	 Loved stay , feel right home . everything promise . will definitely stay again . be sure visit Alice 's Tea Cup good scone ever , block away . 
 May 21 2008 	 simply good ! 	 stay 4 night Upper East Side Gem . hotel great suite absolutely wonderful staff . evening reception host manager great touch . definitely back Affinia ! 
 May 20 2008 	 2nd time still charm 	 second stay Affinia Garden amazing . agree review . service great . ask sofa bed turn do almost immediately . smoke detector 's battery low begin beep say & quot ; low battery & quot ; ( 2:45 a.m. ) someone fix within 5 min . bellhop go 2nd Ave . ( main Ave near hotel ) get cab weather . room clean view great . kitchen also clean well keep . location main Ave . make pretty quiet . look hotel action , . quiet residential , within walk distance many place . suggestion one bellhop duty . responsible take luggage room , get cab , store people luggage necessary . think much one person therefore sometimes wait service provide . instance take luggage b / c busy . bellhop 's fault think particular position staff . otherwise , totally recommend hotel stay next year . 
 May 15 2008 	 Excellent Stay Relaxing City Chaos 	 pros.1 . excellent staff , everyone friendly accomadating special thank Noemi Calederon front desk manager making stay extra special.2 . idea location upper east side quite busy streets.3 . close great shop central park.4 . one bedroom suite huge NYC hotel standard . like apartment week . the perfect place stay end hectic new york day.we back soon ! 
 May 10 2008 	 never stay anywhere else ! ! ! ! ! ! ! 	 want express amazing recent stay Affinia Gardens . never stay hotel everyone friendly helpful travel alot . want give kudo everyone work say keep good work . service outstanding , room great love every minute stay . can not wait go back ! ! ! ! ! ! ! ! ! 
 May 3 2008 	 Great Service ! Wonderful Staff ! 	 stay junior suite -- one large room- plenty space spread . kitchen regular sized refrigerator , oven / stove , microwave , toaster , coffeepot sink . stove look like never use . bathroom small adequate- plenty water pressure hot water . bed / pillow comfortable . everything clean . love tea bar lobby- use regularly since not drink coffee . hotel staff nice . maid see return room w cup tea offer hold cup find key- wonderful staff . con : door suite large gap around - like night light room night . Everytime one shut door , often , door would rattle shake . also aware even tho six floor & quot ; quiet side & quot ; could still hear traffic . use earplug sleep fine . noisy door - great stay . 
 Apr 29 2008 	 lovely hotel 	 two friend stay Affinia Gardens five day break New York . whilst hotel might look little drab , room fantastic ! two queen size bed one room , pullout queen size sofa - bed . room big tv 's air - con . room quiet , spacious joy spend time . also well equip kitchen , cooking , everything case need . bathroom clean new appliance . staff always friendly , helpful polite . really can not fault hotel . great stay . will come back . 
 Apr 11 2008 	 Switch hotel 	 switch hotel extend family vacation old kid . room spacious property modern well care - for . service outstanding . combine good location fair value . know several frequent traveler New York going make point recommend Affinia Gardens . sure miss choice midtown . 
 Apr 10 2008 	 huge room tranquil set 	 stay 3 night move cheap hotel . impression everything NY small slightly ratty unless willing pay big buck . mid - range price ( $ 400ish ) , one nice hotel ' ve ever stay , large NY apartment ! 500 sq . ft . suite tastefully decorate . pride & quot ; serenity & quot ; -- tea serve lobby , & quot ; pillow menu & quot ; . staff nice great service . good location , 3 block Central Park area not noisy . would stay ! 
 Apr 1 2008 	 pleasing middle range hotel 	 hotel well situate supermarket restaurant less 10 minute walk 59th Street subway , Central Park Bloomingdales . concierge helpful although multi task bell boy porter extremely busy . check good - e - mail ahead room preference arrival time check - in find confirmed room ( book 6 week ago ) available - apparently , first first serve many guest patient recover procedure 3 nearby hospital - seem get priority . room 408 junior suite - spacious well furnish small , basic kitchenette small bathroom . ambience good bed comfortable . daily housekeeping excellent . view street hospital opposite , well 100 garbage bag stack footpath , wait collection . the hotel theme & quot ; Tranquility & quot ; ! bright well decorate arrival small foyer & quot ; Serenity Lounge & quot ; crowd noisy italian group wait depart . enough room everyone sit - sit floor other cushion . many family use hotel kid heaps energy . in summary , would use hotel could guarantee high room back . 
 Mar 31 2008 	 affinia perfect family 	 stay three night 25 - 29th Loved stay hotel . lt good . husband three boy would love return soon . 
 Mar 31 2008 	 Safe Quiet 	 large , clean , comfortable suite , locate quiet , upmarket area New York City . noticeable noise outside . room lovely wall window overlook ground floor patio . although outside bitterly cold , large heater quick warm suite . disappointed time try relaxation pack available guest use , think great idea . this hotel handy Metro also within walk distance Central Park , Bloomingdales Apple store . my husband recommend hotel . 
 Mar 28 2008 	 Loved Affinia Gardens Hotel 	 stay Affinia Gardens Hotel Easter . family five , travel three teenage daughter uk.we think hotel good , really enjoy time , sooo not want leave ! ! room spacious comfortable . fantastic much space also full kitchen , shop nearby buy food want . ( Athough ever make breakfast ) . find staff hotel friendly , helpful knowledgeable . girl front desk approachable always friendly , never make we feel nuisance . we love area surround hotel , find plenty restaurant nearby eat . also love able walk bloomingdale also Central Park . slight negative could think : bathroom quite small consider five us ... problem we really . small one corridor look like need lick paint ... ( neutral colour maybe ! ! ) .. much big deal . first impression count ! ! . sum upwould stay ? ? yes would love toowould recommend friend family ? ? yes , without doubt . we good time New York would really rate hotel . consider quite particular /fussy stay , really like place . sure other too . the Campbell FamilyUK 
 Mar 25 2008 	 Wonderful Hotel 	 4 we ( 2 daughter 18 & amp ; 23 , 1 son 19 , mom 40 something ) spend 2 night Affinia Gardens . book Deluxe 1 bedroom suite find perfect we . separate bedroom 2 comfortable Queens LR comfortable sofa sleeper . room - well , amazingly large NYC standards- full kitchen boot ! love minimialistic asian - modern style decor cool lighting well pillow menu include wedge pillow and- get this- magnetic pillow . the bathroom small side , much time spend bathroom ? bright , clean , well appoint . we pay $ 424.00 night , might seem high , would need 2 room non - suite hotel would run $ 250 per room , feel like get fairly good deal . hotel staff excellent . respond quickly request always friendly professional . remember name greet we time enter leave hotel . there several place eat nearby , within 2 block , reasonably price . also grocery store wine store within 2 block . subway within easy walk distance well . the hotel ideally locate museum - base visit close MoMa , Met , Museum Natural History , Whitney . also easy access Times Square Theater District ( via subway , ground transport SLOW ) .I highly recommend hotel families- get large suites- couple ambiance sophisticated , 
 Mar 25 2008 	 Loved stay Affinia Gardens ! 	 Loved stay Affinia Gardens Hotel NYC ! arrive Thursday March 20 , 2008 - Chris Sal ( sp ? ) doorman make we feel right home . Sal go beyond , even locate great pizza we Saturday night . girl front desk ( sorry not get name ) friendly super professional . always greet we ask day - never make we feel like bother ask direction subway station Central Park name ! love room - pretty good size 5 we . really could ask well layout teen boy 9 year old daughter . one little area downtime ! oh pillow .... awesome ! Loved Aveda product ! location great - amazing burger place across street . great pizza street . shop block away . easy access subway station . starbuck around corner ( course ! ) breakfast diner , grocery ... everything need ! plan return Affinia Gardens fall - can not wait ! thank awesome stay . sincerely , family Texas : ) 
 Mar 15 2008 	 Chronic overbooking ? 	 daughter New York opera school audition . call hotel day courtesy , tell would arrive follow morning . imagine shock arrival tell room available , would available two day ! room could offer we one bed pull - out couch . give we small reduction room rate two night free internet ( work sporadically ) . odd part , accord website , room type available . think habitually overbook . finally , schlepped bag , food fridge , grocery , etc , new room . problem room , workman room often : sink tub not drain , light switch dining room break , tap not turn properly , deep hole carpet . whole experience unsettling make difficult focus reason first place -- prepare daughter 's audition . always think hotel confirmation mean room would available . guess . 
 Mar 9 2008 	 comfortable room 	 husband , along 11 year old son , stay Affinia Gardens 5 night February school holiday . room clean , extremely spacious king size bed comfortable . housekeep high standard chamber maid even wash dirty glass etc . leave one day . room layout could perhaps make well use space ; sofa bed use small gap wall , squeeze order reach bathroom . first night husband ( slimly build man ) dark hit shoulder central heating control , break . hotel promptly repair follow day fuss , wary remainder stay ! room front hotel , disappointment . email Affinia central reservation prior trip , request room overlook garden , mention reception show interest make suggestion request could accommodate even part 5 night stay , make keep blind lower rather look hospital directly opposite . another guest mention , also noise garbage truck , operate early morning , would probably stir hour anyway body clock still sync NY time . doormen exemplary ; helpful chatty . weather stay range snowstorm monsoon day departure , room warm . allow check slightly late day departure free charge , excellent mean could dry last minute shopping trip . night departure receive personal phone call Manager , check enjoy stay ; nice touch . the hotel also book we car return airport . price driver - not speak much English - ask we turn $ 10 price quote hotel , not quibble . we would happily return hotel hope long ! 
 Mar 4 2008 	 even well expected ! 	 stay Affinia Gardens Manhattan long weekend vacation . book double queen suite pleasantly surprised find arrive penthouse suite . suite large comfortable . bed linen nice plenty space group four . also pleasantly surprised room couch also pull - out queen ; everyone pretty much able sleep comfort . staff outstanding level . moment arrive check - out friendly professional . handle minor request ( extra towel , etc ) quickly desk follow make sure happy . as stay several day decide make use full kitchen suite able purchase food supermarket less block away . heart downtown , point interest far . walk Central Park several time also Times Square -- point far , would suggest subway . several station within four block radius hotel . view 13th floor balcony nice , though impressive skyline still block elevation . area hotel not busy far street pedestrian traffic probably would not hear much top floor , never notice much noise time around hotel . for whole stay , three pet peeve : first , lack internet access . true workstation lobby wireless internet available . however , neither provide gratis . would expect hotel room rate level include part amenity . second , lobby small room sort meaningful breakfast , would nice least bagel muffin available morning . last , minor peeve , hotel nice surprised date stay ( March 2008 ) room TV 's upgrade HDTV.Overall , would highly recommend Affinia Gardens anyone travel NYC . group , Couples , Families . neighborhood quiet friendly , room good size comfortable accessing point interest fairly easy . 
 Mar 1 2008 	 Excellent management staff 	 stay 5 night 2nd week February 2008 . everything hotel meet exceed expectation . management deliver claim deliver , room excellent condition , spotlessly clean , kitchen fully equip , bed superb . understand negative review ' midgl ' ' trippy44 ' . think great part town stay happy walk 4 block 59st subway . really pleased find ' Food Emporium ' end block breakfast grocery ( even well one Lexington bit walk ) . tuesday early evening chat management wine cheese . good meal Jo Jos feel bit underdressed ! us hotel good value , course depend rate get ! 
 Feb 24 2008 	 real home New York city 	 take mother week New York , New York many time , always stay hotel , either 3 star school trip 4/5 star partner , pleased say Affinia Gardens well far . room huge , 2 large queen bed , lot space , clean well design , kitchen excellent addition bathroom well appoint . hotel provide excellent herbal tea lobby , staff helpful polite . would definately go back . 
 Feb 20 2008 	 Shame aboit staff 	 holiday Canada arrange meet eld daughter ( university UK ) long weekend NY . arrive first find way room , jetlagge , go straight sleep . arrive several hour later , ' help wonder room contain batch incontinence pad , pill container pink plastic kidney - shape dish , suggest presence elderly guest either still residence recently undergo ' celestial ' checkout . ( subsequent forensic examination reveal pile old newspaper , half empty bottle contact lens solution use bar soap . ) management ' initial response discovery surprisingly defensive , seem base assertion , daughter challenge presence item immediately arrival , forfeit right subsequently . eventually chambermaid , send make sofa bed , express horror state room management realise troublemaker upgrade we penthouse suite way compensation . as prefer cold room extra bedclothe , turn ( rather noisy ) air conditioning . first night , phone reception 10.45 ask additional blanket . 10.55 , phone . 11.05 , enquire whether would easy staff come collect blanket , assure " way " . 11.15 , bare - face lie expose go reception pyjama bare foot wait one reception staff go fetch blanket – long wait , studiously ignore full five minute pretend concentrate laptop . time , morning ' compensation come form write apology complimentary bottle red wine . tower debacle figure Pedro , house manager , appear work shift excess 24 hour , try hard provide decent service despite surly incompetent reception staff disposal . even Pedro ' effort prevent terminal decline hotel , unless owner get grip . this pity , hotel thing go . despite boring part town , quiet accessible . room pleasant , doorman helpful . hotel rather sicken synthetic corporate ethos ' serenity ' – main manifestation cod - buddhist lounge pile cushion dirty washbasin , series nauseate ' tranquility tip ' place one ' room morning . rather appropriately , one day departure state " besides noble art get thing do , nobler art leave thing undo " . hotel perhaps favour latter expense former . 
