ok 	 frill 4 * hotel . many point , hotel well locate Gloucester Road tube station & amp ; Sainsburys & amp ; Waitrose nearby supply . major though wall thin & amp ; person next door clearly hear even be make much noise , talk , use toilet etc . get wake 4 am couple arrive next door we & amp ; ordinary normal volume conversation . positive , room come iron 4 * hotel & amp ; staff good . stay agin purely basis wake 3 night trot wall thin ! ! 
 room small like wardrobe 	 location hotel bad,10 minute walk Gloucester Road underground station , picadilly line good get city centre . hotel clean , room small feel claustrophobia , single room maybe 9 square meter include bathroom look like corridor . bed comfortable , hairdryer ironing board , small kettle , fridge find adapter reception charge mobile phone , buy it . smoking allow anywhere hotel . continental breakfast poor,3 kind sausage , one eatable,1 kind cheese , cornflake , milk , yoghurt , juice , tea coffee , toast , bread . vegetable , fresh fruit , cake , omlet english breakfast . on weekend possible wait breakfast line 10 minute , much place breakfast hall . staff hotel quite polite , check quick smooth , 11 a.m. early check . 
 Mar 13 2007 	 Quality Crown great ! 	 husband stay back middle February 9 night . little nervous kind hotel go stay review . kind feel bad review winey people like complain thing absolutely perfect . anyway , love hotel . sure , room small hotel America , would say small . enough room 2 big suitcase we walk around . check check go smoothly quickly . continental breakfast , make . fine . free . ' like go somewhere else instead complain ' standard . location nice . situate Earl ' Court tube station Gloucester rd tube station . tend use Gloucester Rd often . Sainsbury ' grocery store nearly next hotel , convenient . good amount restaurant pub within walking distance . problem service receive . believe reviewer say something tack onto bill , glad happen we . we problem sound . room next we adjoining , bring fan we like sleep one run pretty much whenever room ' see people room next we would think vacant . bed also comfortable sleep well . people say one ever bar / lounge . always couple people bar area time afternoon / evening . Boddington ' Stella Artois tap enough we . hotel bar price bad . bottom line hotel nice , clean , bed comfortable trouble staff probably stay next time London . oh yeah make local call much cheap pay phone street . 
 mar 5 2007 	 good base stay 	 return weekend stay London , stay 1 night Quality Crown Kensington . initially put report , say nice hotel . book 2 twin room arrive 1 book we , minimal fuss another room organise we , downside smoking room smell stale smoke ( roll April 2nd ! ) . noise night good night sleep . we continental breakfast , fine . bread , cheese , meat , croissant , toast , jam , cereal , 3 different juice etc . waitress nice attentive . person serve behind bar little knowledge English , good old pointing , gesture smile get we drink want ! check wa quick efficient . I would stay , probably 3 night . good location within walk distance bus stop tube station . 
 Feb 27 2007 	 poor customer service 	 wife renovation . experience ok , book hotel ( single room ) 4 night business occasion . as prior reviewer indicate , hotel good location ( Kensington near underground station Gloucester road ) renovation ensure room ( despite small ) well maintain clean . however , definite downside hotel . odd feature hotel every room besides door hallway also room neighbouring room . door close ( afraid unwanted visit ) well isolate respect noise . couple neigboure room talk , one coughing , sound like room . basically , noise problem hotel ( , also collegae accompenie trip ) .The next issue breakfast . secretary order hotel internet also order breakfast . breakfast divide small section label continental breakfast ( limited number bread , one kind cheese , one kind ham , jam , basic ) english breakfast ( egg , sausage , etc . ) . beware fact order breakfast , could - case - subscribe continental version english version . basically pay 5 pound extra breakfast able also enjoy english breakfast ( might really need consider basic choice available continental breakfast ) . main concern poor ( ! ! ! ! ! ) customer service ( mainly east - european ) staff . example : first morning enjoy continental english breakfast waiter come table make we clear entitle english breakfast therefore pay . much content message , schoolteacher kind way announce we . another example , item breakfast out - of - stock certain moment question whether jam , cheese brown bread adequately answer ( basically , look , murmle something would check without ever return ) breakfast room full , say try later . striking example check : add bottle champagne bill . reply order champagne , reply : show form room number signature mine . try convince error make look even remotely interested reply interested arguing pay . speak refuse , whole way communication take place hotel major turn - off ! ! ! ! 
 Feb 14 2007 	 good hotel stay visit London 	 stay hotel 6 night , hotel locate Kensington area , many hotel along street , 's good location visitor . be 5 minute walk Gloucester road subway station along busy Cromwell Road . supermarket Sainsbury 's 2 minute walk hotel . the hotel room relatively small ( like hotel room Europe ) , be clean well organized . staff friendly helpful . arrive check time , store luggage . 
 Feb 13 2007 	 ok budget hotel 	 stay 1 night . hotel locate Gloucester Road Earls Court station . there´s also bus stop 2 minute walk away get Harrods Marble Arch fancy sort thing . distance big Sainsburys supermarket , perfect happen forget pack toothbrush like do . the hotel typical budget hotel . room tiny clean include everything necessary nothing . great thing internet - via - tv service 3 pound per 24hour . that´ cheap London hotel . air conditioning unit heat pump didn´t help cold breeze blow bed - level . Luckily give extra blanket . the continental breakfast adequate : croiisant , cereal , ham , cheese toast . upgrade full english buffet big appetite appr . 4 pound . main thing annoy specifically book smoking room non - smoking hotel ! overall would recommend hotel budget single traveller short stay . 
 Feb 7 2007 	 keep open mind 	 , , concerned negative review hotel - expect get turn street find alternative accommodation . thank goodness ' case . we book , lift work surprised room not matchbox - maybe one slightly big room , fine let us face , be spend weekend London need hotel room sleep - unless be honeymoon course ! excellent base explore London far V & amp ; , National History Museum half mile tube ( Gloucester Road ) . breakfast good - full English waitress efficient . pizza bar lounge last evening enjoy too . all , good experience . 
 Feb 6 2007 	 nice 	 stay hotel 1 week . room small 2 adult . double bed could barely fit room . room re - decorate strong paint smell . Windows could open . Aircon break , heating work cold . room available exchange room . one night light fuse break light whole evening . hotel manager offer we 8.30pm go stay Paddington hotel . opinion - money pay hotel , might well stay Marriott hotel , right across road . 
 Feb 3 2007 	 nice stay prepared ! ! 	 read negative review hotel know expect . arrive greet staff wernt friendly friendly enough . allocate room go lft expect work many review say problem . do not expect get lot small ! ! room top floor ok view street . find room clean jus hairdryer do not work prepared . wall thin well expect hear everything 
 Jan 30 2007 	 Lovely Hotel 	 little concerene read negative review hotel . minute walk Glouster Road Tube station , Natural History museum walk , Harrods ! room spotless fair size although massive . bed turn night choccie leave pillow , surprise we . breakfast lovely although little limited continental , full english , however beautiful . would recommend anyone . 
 Jan 29 2007 	 Decent stay 	 location : location great . two tube station choose nice shop restaurant near hotel . hotel situate residential area therefore quiet night . room : room TINY . room book double bed small . barely space walk around . room works lie . bed pretty comfortable room clean . service : ask front desk call cab since area pretty residential say could not accomodate we , little dissapointed . overall : need place lie head , decent value dollar . not expect & quot ; extras & quot ; hotel . 
 Jan 18 2007 	 Booked not get stay ! ! 	 well , book 2 room hotel , 1 executive king 1 double last Wednesday hope stay Thursday . far could see website room available . hotel choose # 1 - parking , # 2 quite close Royal Albert Hall going see Cirque du Soleil . so , arrive London think well . find hotel thought look ok even right next door hospital . go inside guy reception say let room go problem debit card . excuse one digit short . , problem card , know fact not case fairly sure would pick upon enter detail onto site . anyway , guy say try call let know . tell phone switch 10 am not miss call voice mail message leave . arrive non wiser . he say book we Paddington hotel , want stay Paddington would book stay . try say fault , effect website pant , update fully book ! since send 3 email Quality Crown ask proper explanation . reply .............. well . much customer service ! ! ! opinion , look stay hotel .... think ! ! 
 Jan 11 2007 	 recommend 	 confidently recommend hotel . bedroom nicely decorate , bathroom sparkling….this hotel meeting every single need … .Our thank Stephen , Hotel ' Manager , check we early check time . 
 Jan 3 2007 	 Beware 	 hotel full , may get nice room , watch & quot ; City Room , & quot ; assign give discount rate room book . room barely large enough standard double bed push wall . one person time may move alongside bed bathroom one end room , luggage stand . People helpful - store luggage day , provide train schedule -- unwilling give we different room . reception area bar nice , smoky , breakfast cost $ 20 / each . 
 Dec 30 2006 	 pleasant surprise 	 book hotel , despite read several negative review site , location wanted present excellent value . expect worst , pleasantly surprise every aspect hotel . welcome enthusiastic friendly , front desk staff throughout four - day stay . room reasonable size beautifully decorate , suede ( perhaps suede - effect ) bedspread headboard , usual tea / coffee facility , in - room internet reasonable 2.99 day ( although local cafe also charge 1.00 hour ) . bathroom fine , good shower . the bar area look comfortable welcoming , although not use , breakfast room nicely decorate eastern - european staff attentive - word - pleasant . continental breakfast adequate , one day upgrade full english breakfast extra 4.50 . really superb , good sausage , thick bacon instead thin brittle american rubbish , even black pudding . scramble egg clincher , make water instead milk egg powder . personal preference , experience something hard find hotel . if negative , tiny one . breakfast week end 9.30 , see least one couple disappointed . tourist , business guest would probably appreciate extra 30 minute . , other point , wall thin . I would not hesitate stay . 
 Dec 12 2006 	 Room Inn - apparently 	 friend , female , book room hotel 1 week advance Expedia . arrive hotel 2.30 morning find room available , apparently due problem hot water . therefore redirect hotel Bayswater . we receive news consternation follow day meeting base Kensington . whilst arguing point ask relocate suitable alternative hotel Kensington another guest arrive . new guest allow check - in normal give key room . the hotel receptionist suggest we whether accept alternative hotel option . manage locate Marketing Director telephone similarly unhelpful . Marketing Director offer pay taxi next location proviso would register complaint . furnish prove spoof telephone number Managing Director Marketing Director , force find alternative accommodation . I would suggest visitor London careful book hotel . 
 Dec 10 2006 	 Hotel horror ! ! 	 book hotel directly , want ensure car park space , book line site be not actually guarantee , actually 2 space really small . if large car chance fitting lift drive get car park . that first problem . after leave car go shop London , come back shower head dinner going see George Michael Earls Court .... reason book hotel close . return tell manager room take previous occupant , tough long room , book we 3 * hotel Notting Hill , basically one thing , should not make fuss ... manage get pay taxi , hotel damp , nasty . return follow day Manager actually let we pay room car park , order . feel fair , really inconveniance we , another 9 room , thing happen evening . wary , could well happen too . shame , bar reception lovely . 
 Nov 30 2006 	 great location Earls Court 	 read review go ahead book two double room due location Earls Court . firstly stay 610 , nicely decorate , bed small , certainly small ever encounter many hotel stay , sleep bed find vertical slope , matress appalling , one side rock hard spring could feel . climate control , not fool hotel set temperature control room little stifle , bathroom well will not party , barely room one let alone two people . fare well friend 402 foot extra space . staff reception check prefer chat phone try say book singe double , wait staff attentive breakfast , full breakfast hot , however like strong tea suggest put extra bag . loaction perfect comfort room next time spend little , hotel decorate look good although paint lift door unsual . not use bar can not comment , complaint smokey atmosphere yes adjoining door may lucky enough listen next door make cuppa morning . 
 Nov 29 2006 	 absoloutely awful 	 reading review look forwards stay & quot ; Quality & quot ; Crown Kensington ! ! mistake . top floor listen loud boiler noise whole time room . wall paper thin could hear everything happen room next door . shower weak condom packet previous visitor . do stay ! 4 star JOKE ! 
 Nov 17 2006 	 let atitude 	 Quality Crown Hotel KensingtonHotel well locate clean generaly good condition . booking offer option small double std double room extra charge std . take std get give small room two twin bed push together two twin douvet . go reception find receptionist unhelpfull even arigent . hotel let atitude . 
 Nov 13 2006 	 great location 's 	 four star ( ! ) hotel promise lot yet deliver rather opposite . & quot ; hotel 's 85 elegant room chic modern feel - spacious uncluttered interior ensure relax comfortable stay & quot ; , claim hype . room ( 403 - avoid cost ) small triangular shape , cluttered practical item ( like two chest drawer ) , over - dominant twin bed ( matrasse comfortable though ) , one chair ( ! - double room ? ! ? ) , desk ( low round table serve substitute ) , flat screen tv ( not believe room description ) , fridge bar ! could believe ? ! ? supposedly four star establishment ? discrepancy management 's wish reality typical south european holiday destination . would ' ve expect decency . 
 Nov 3 2006 	 great accommodation 	 book one double room Gtahotels.com 75 pound per night per room , continental breakfast include . at rate , great accommodation . hotel 4 minute ' walk Earl 's Court tube . room small comfortable exceptionally clean . recently refurbish , room nice warm atmosphere . individual climate control , trouser press , in - room safe electronic door lock . bed large good mattress , sleep well . room ( number 103 ) connection door , could hear every single word say connected room . drawback . Breakfast ok ( tea , toast , jam , cheese , ham , yogurt ) continental . staff ok . spend really good moment Quality Crown Kensington . surely come back . 
 Oct 28 2006 	 Decent 	 base price location , decent choice . staff friendly Fawlty Towers moment . wifi work room , even though pay . bed bathroom ok though . subway bit walk , certainly rain area , although convenient Pic Line , well uninspire . 
 Oct 2 2006 	 says 	 spend three night hotel wife . Booked web persuade description facility . on checking show & quot ; double & quot ; room fourth floor . in fact room small two people could pass move chair order reach window . the bed narrow clean room certainly double . upon enquiry advise rather unhelpful male receptionist room standard & quot ; executive & quot ; room expensive . this fact mislead able discover immediately across corridor us room much large size extra cost . on arrive breakfast first morning 9.20am [ 9.30 finish ] tell sternly waitress poor English & quot ; must come early tomorrow morning & quot ; [ Sat breakfast finish 10.30am ] check bill mysteriously accumulate sum £ 164.50 & quot ; movie & quot ; & quot ; music & quot ; .We purchase either tell forget & quot ; mistake & quot ; .This hotel good location quite central . it pity management could somewhat forthcoming room detail advertising hotel . moreover hotel could investment staff train well short standard common courtesy reasonably expect . I would use hotel . 
 Sep 27 2006 	 oasis fresh air heatwave ! 	 stay Country Inn Suites 3 night trip England . London heatwave hopefully hotel , air conditionning actually rare megacity , especially 3 star hotel less . the lobby elegant , nice contemporary bar people sit watch footbal game drink english beer . the room quite small , bed outstanding design extremly comfortable . the staff could frendli , efficient even able book day bus / walking tour take hotel lobby England 's deep country charming town . the complimentary breakfast good ... finally location brillant : kensington stylish quiet neighboorhood close London 's Attractions . night bus stop front hotel go come back time ! 
 Sep 25 2006 	 much Money Little 	 call & quot ; Quality Crown - Kensington & quot ; , nice , except size room / bathroom , lack amenity . price expect least ice machine decent a / c , luck . plus , two people can not pass room , barely space end bed walldesk . bad location , underground station ( Gloucester Earl 's Court ) locate good walk away . handy day constant walk uneven street hundred narrow staircase . breakfast quite good though , full english breakfast include room price . 
 Sep 2 2006 	 2 thumb ! 	 choose hotel net great price close everything.having around world meeting friend london ( would never ) want something good location . got early morning ( 8 am ) ask could check in . an old guy reception tell we come back lunchtime . we able store luggage meantime hotel ! return later get room ( twin ) modern blue feature wall comfy king single size beds.only complaint room quite small london do not worry great deal.bathroom good size spotless.had brekki next day ( full english include price ) -went well great day sightseeing . next day dinner brasserie star go musical - food delicious quick.staff often call we mini cab go eurostar etc never much trouble.gloucester rd tube 5 min walk away worst.cheap internet cafe close by-1.60 hour.fantastic italian restaurant close sainsbury 's next door u forget something ! overall think hotel excellent value would definately stay ! 
 Aug 26 2006 	 Good Hotel shame Manager 	 overall pleased hotel . great location , clean , although room small . arrive late greet Night Manager could not friendly helpful ; disappointing therefore problem next day find Day Duty Manager unhelpful point surly . suggest Crown Hotels send refresher Customer Service course remind reason . would not stop book hotel though good value money . 
 Aug 16 2006 	 okay 	 room tiny would expect . clean bed comfortable . staff seem always absent . challenge find anyone work bar someone desk not phone . also seem like every question answer & quot ; not know . & quot ; gave get well advice street . hotel convenient tube large grocery hundred yard away . great indian Brasserie door . not unhappy stay , definately would look around . 
 Jul 22 2006 	 get pay excellent value 	 hotel spot . room small , lovely , seemingly newly decorate , be London much time spend room anyway ? anything big would waste . rate include full - english breakfast , not usually bother , food really good , greasey . rate also include car parking , wish tell pull car lift tight go ... 2 inch clearance either side , mirror fold ... ' ve get big car would definately leave street . I ' ve stay quite place London , stay next time , will get train ! overall , nice comfortable stay , great value . 
 Jul 22 2006 	 excellent locationsuper service spotless 	 Great Hotel friendly service . comfortable , spotless , small adequate bedroom good card operate airconditione . attractive entrance breakfast room . manage get underground parking , limited lift suitable small car ! modernise hotel alongside Cromwell Hospital , minute Gloucester Road Tube regular bus Knightbridge - suggest daily bus pass £ 3.50 ( child free ) . Sainsburys Supermarket next door useful . try get room 4th 5th floor quiter . lift small big luggage . excellent reasonable price food DaMarco italian Restaurant , 15 Gloucester Road 10 minute walk -turn leave onto Gloucester Road Cromwell Road 's top road right . favourite Princess Diana live locally , big painting owner . try delicious red wine lemonade spritzer ! definitely use hotel . 
 Jul 17 2006 	 Clean Affordable 	 husband stay hotel July three night . air conditioning huge blessing rather warm London summer . find hotel clean well decorate . everything look like well take care . would defintely recommend room without connect door . slightly small much quieter . friend room ajoine door say could hear neighbor quite clearly thin wall . careful make reservation . think breakfast include room book Expedia turn . big deal , Sainsbury ( grocery store ) literaly next door starbuck excellent bakery . we end use Earls Court Tube station often Gloucester Road . turn right Cromwell instead leave make leave Earls Court Road , will find right . several great fairly inexpensive restuarant area feel like bit close Gloucester . overall hotel nice location can not beat price London accomodation ! would stay . 
 Jul 16 2006 	 nice enough 	 July 2006 . choose hotel hour search net , finally decide go location ( London standard ) reasonable price . get price 86 pound incl . continental breakfast , amount 95 pound incl . taxis . hotel look disgusting outside , luckily get well be inside . lobby look fine . give room 606 ( front hotel ) , obviously repaint day arrival . smell paint horrible , go back reception relocate we room 210 ( back hotel ) without problem . 's good room , tiny ! not go hotel be claustrofobic slightly overweight , will not able move ! good thing 210 be situate back hotel mean open window , since hardly noise . although be next elevator , never hear . bed also tiny cramp , apart fine . good duvet , nice pillow , lovely linnen . room everything need room , tea coffee make facility hair dryer internet access safe . bathroom fine , small enamel stain tub , apart okay , spacious good work shower . decor fine , actually look quite date . at time visit redecorate rooom next we ( 211 ) cause noise problem , bad enough complain . book room include breakfast ! breakfast poor , separate 2 area , continental full english . Country Inns & amp ; Suites ashamed . pay extra 4.50 pound want full english breakfast , ' m sure like overcooked sausage pale egg will love . 's sure worth . ' ve well less charge . go Hogarth Street Earls Court , 's Bakers Oven sell delicious stuff half price would pay hotel ! say , choose hotel mainly location . Earls Court tube station closeby Gloucester Road . 's definite plus hotel ! , ' m sure would stay , like , service good ( apart service breakfast buffet , girl Eastern Europe keep bother breakfast stuff although probably mean well , be get nerve fact loudly talk something sound polish Bulgarian ) , fact room tiny might stop pay 95 pound per night next time . 
 Jul 4 2006 	 abomination cancel reservation 	 book Country Inn Kensington one night stay long cruise specifically close Picadilly line get Heathrow . spend countless hour review hotel location finally decide Country Inn would a / c , elevator within walk distance heavy luggage Gloucester tube . arrive hotel around 11 a.m. expect able check want leave luggage . man look reservation say room ready could check bag come back 2:00 . leave go sightseeing come back around 5:00 . receptionist inform we room available find we room another hotel Paddington . needless say , freak choose hotel location . Paddington 20 minute taxi ride Kensington also require multiple train change get Heathrow . receptionist [ - ] totally care we make airport morning . stand arguing , another british man check get room ! could believe . think give poor service Americans . anyway , insist another hotel would could carry luggage London , call taxi take we Quality Inn Paddington . morning suppose arrange cab take we back Gloucester tube station Kensington done wait 30 minute cab , meanwhile worry would miss plane . staff bad give we big f - you call we wake call ! Thak God bring alarm clock set . alarm clock room . , say awful experience Country Inn would understatement . cheap put we somewhere Kensington expect we get cab take tube across town luggage . first time reservation honor still traumatize attiude staff . completely unacceptable never stay Country Inn States oversee . shame . 
 Jul 4 2006 	 Good Quality Small Space 	 room great accommodation clean , staff helpful polite . bed hard hair dryer shoddy . lobby / bar clean , modern , empty , never see anyone not work . room small quiet , quiet fact thin wall ( ask room without door connect another room ' hear neighbor vice versa . ) view room 512 back , street noise , also view . air conditioning great . continental breakfast par , fact go 1 3 day . sainsbury grocery store road much well option -- purchase breakfast / lunch eat Starbucks store . gloucester station simple walk many restaurant , grocery store ( open 24/7 weekday ) , cheap internet cafe , convenience store , hole - in - the - wall tourist trap way . would recommend italian restaurant directly across side street hotel . service , cleanliness , food horrible rite , let alone combine together . the Marriott across street seem much nice , Holiday Inns close tube , might look next time . otherwise , location great . double - decker bus tour company run Gloucester station , find worthwhile first visit London . book Otel pay $ 455 3 night , save 30 pound / night agent / direct . finally , not realize tube stop 0045 , pay 23 pound taxi Liverpool Station hotel . 
 Jun 21 2006 	 Great Hotel 	 stay hotel begin June . room kind small side however room give clean , modern review mention , nice clean bathroom . room seem re - do recently , however , stay 2nd floor builder seem work 3rd floor . agree wall like paper , bed great , comfortable clean , honest , asleep quickly thin wall much problem . the hotel situate great location , tube bus with - in 5 min walk away , breakfast continental , bland ' british ' breakfast , egg , bacon , sausage etc fantastic costly around 10 pound , would walk 5 min go local cafe 's nearby . the hotel great value clean room , 's modern bar open guest 24hrs ! fantastic . staff mostly european , one two English , hey , 's London ! female receptionist somewhat ' light , one home ' sometimes understand want , carry duty perfectly , however , not expect smile time . I stay hotel 4 day honest , evening spend hotel bar , relax big screen tv , problem chair give somewhat ' closed ' feeling . bar could better air - conditioning , two door open near bar , although stay , London hot , imagine bar area could get really stuffy hot period . Highlight hotel ' intellectual ' barman call Joe . great character , know London well make stay London easy time . would recommend , although suit 1 - 2 people per room . stay . 
 Jun 6 2006 	 good value 	 fine hotel value money . surprised review , fact . ( also , reviewer say Internet cafe street charge 80 pound wrong -- -the correct amount 80 penny , $ 1.50 . use cafe problem . even cheap one Earls Court directly across Tube station charge 50 penny -- -or less dollar , 1 hour . room small , clean . however , maid change bed linen unless specifically ask . not mind , might . ( card say & quot ; not change linen save environment therefore kind farce ) . electric coffeepot free instant coffee / tea nice . also nice body wash / shampoo combo bathroom actually good job hair . we problem noise thin wall . everything quiet . front desk staff polite knowledgable , also help we book tour . grocery store area Earls Court neighborhood great cheap eat . 
 May 29 2006 	 could well 	 get back stay hotel 6 night . ok really could well . friend able book 6 night room 2 twin bed $ 800 ( include taxis surcharge continental breakfast ) -- - ( search site great deal , good could find internet ) . room typically small small expecting , clean , renovate . nice street face view 4th floor . wall thin , expect hear everything guest next door . be stay anytime soon , lot work room 4th floor , make huge racket knock tile . not really problem we though b / c usually go day . elevator work 's small . think fine money , clean safe , would try find something close west end go back London . also warn hotel staff sign area aware pickpocketer , operate area . not problem happen keep mind be stay Kensington area . helpful info stay here:1 . big complaint hotel : miss wake - up call last morning . excuse ? not one , miss . wake 2 hour suppose come friend come thisclose miss plane back LA . run late , not time grab coffee something eat could not get anything serve food drink plane . order wake - up call hotel , set watch cell phone alarm backup . 2 . close tube station Gloucester Road , 10 - minute walk hotel . would spend extra money ( 4 pound ) cab station be carry bag . otherwise , ok walk.3 . 's Sainsbury 's grocery store next door well stock , kind like small version Target . friend forgot pack sock able buy . 's also starbuck inside ATM machine charge use ( bank probably charge end though ) . 4 . not expect lot help knowledge city sight staff : get feel everyone work not even like London . definitely bring guidebook research beforehand b / c save lot time money . example , 's internet cafe couple block away charge 80 pound surf Net , yes 's 8 - 0 pound aka $ 160 ! guy desk shrug shoulder ask know cheap place . luckily check guidebook direct easyInternet cafe area Hight Street Kensington -- 2 pound 2 hour web surfing . first night , girl desk make face ask nice pub closeby . apparently hate english pub make point never go . well , be lot nice pub London , recommend Prince Regent Gloucester Road want go one close hotel . guy bar make face tell visit Notting Hill . say & quot ; not know Americans always want go . movie , one care Notting Hill , everyone want go ! & quot ; well , , Notting Hill charming 's lot cool shop , recommend spend hour 's closeby.5 . ' ve see mention hotel site London 's worth repeat : room come continental breakfast , cost extra hot & quot ; full English & quot ; breakfast . continental include juice , fruit , cereal , roll jam , slice cold cheese meat . full English extra 4.50 pound include egg , bean , sausage , bacon black pudding ( yuck ! ) . 2 separate station , continental back . fine not expect lot . also , be little shop Cromwell next Sainsbury 's call & quot ; Bureau Exchange & quot ; cater tourist sell luggage , phone card , SIM card money exchange . go , shopkeeper liar thief . sell we phone card 10 pound ( $ 20 ) say 500 minute US . 35 minute go back 10 minute later complain , say not know bad give we b.s . story . end need buy another phone card b / c need call home check message beware phone card little touristy shop , rip people . make sure say clearly card many minute not hand money be sure b / c will not get back . 
 Apr 27 2006 	 Acceptable 	 ' ve stay hotel 4 night April 2006 . location excellent . be much nearer Earl 's Court rather Glouceter Rd Station . Earl 's court go Kenney 's Rd Hogarth Rd , cromwell rd front hotel . internet expensive , £ 5.5 / hour , walk Earls court , get £ 1.0/2 hour . room small clean . believe wall ear except try heareven whisper next room corridor . lift awful , need lot attension . staff helpful though might even aware bus line stop near hotel . full english breakfast cost £ 10.50 include reservation . 's worth amount , nearby hotel e.g . KK George offer fantastic buffet amount money suitable call day buffet . overall , 's good value money , might come 
 Apr 3 2006 	 great 	 husband stay March 28 th till April 2nd . first day room warm , cool mechanism work . thankfully fix next day . the staff helpful , bartender friendly great talk to . we always get good advice staff , detailed map get around . the location beautiful , close bus tube . our room clean , bathtub , deep great bath . small refrig room . iron board , hairdryer , desk . our room twin 2 single bed together . the bed comfortable , pillow great . during week Euro comforter place bed , LOVE that.the breakfast consistent include breakfast consist cold cereal , grapefruit section , can peach , prune . cheese ham salami roll . Orange , tomato , grapefruit juice . you always offer white brown toast pot tea coffee jam . the grocery stoor right next door , go daily . use debit card everywhere get cash grocery store . we love hotel would certainly return 
 Mar 15 2006 	 Good Hotel Money 	 recently return trip England mom stay Country Inn Suite Kensington 4 day . hotel basic . nothing great nothing bad . room nice ware England Hotels offer 4 channel regardless say . room comfortable bathroom nice . location great , nice part town 1 block underground ( learn underground make stay well ) . staff nice contrary report read elevator ( although small ) work properly . breakfast good plenty café get small snack around corner . would defiantly stay worth money ! 
 Mar 6 2006 	 Great Location ! 	 two us couple stay Country Inn & amp ; Suites Cromwell Rd . ( next hospital ) 8 night LOVED everything ! lovely lobby area fireplace adjoining bar area & amp ; sumptuous complimentary breakfast morning nice breakfast room ; helpful staff meet London travel ; unheard huge bathroom tub / shower combo wow ! BRIGHT WHITE boot ! like safe room ' valuable ' go day also . also king size bed excellent pillow ! another unheard thing London middle class tourist ! negative thing : walls COULD LITTLE THICKER ! come back early one afternoon listen honeymooner room next .... headboard bang wall . embarrassing ! location great neighborhood restaurant Gloucester tube station block ! rate $ 97 usd first week June , book internet . hope return hotel next year ! 
 Mar 2 2006 	 lousy place stay 	 2 adult daughter ( 12 yrs ) . check give 1 small , narrow , closet room single bed good enough dwarf- let alone 3 people ( big people- 5 ' 6 & quot ; max , 150 lbs ) . hotel staff manager would budge offer room -for next 3 night - although multiple check out room 2 double bed . manager totally non - cooperative , would throw hand air ( seem different country ) . least effort would appreciate . basically , sleep 3 night simply ruin visit London . even business associate come visit comment non - friendly manager . breakfast every DAY & quot ; continental & quot ; - old stale cereal , unused sliced meat , leave yellow american cheese ( large hair ) , coffee ( try hard screw one ) . wait staff would watch everyone like hawk -if dare get near regular bfast scramble egg , sausage , ( pay extra $ 8.00 ) - would pounce you . book priceline - normally finebut priceline option input number people request hotel room - dose not - mercy imbecile front desk . see single staff member crack smile 3 day . 
 Mar 1 2006 	 good 3 - Star Hotel 	 hotel good , 3 - Star . stay King Deluxe , suppose King - Size bed , turn 2 twin bed stick one another . enough space 2 people . would imagine normal single double room would much small , would not recommend , cause King Deluxe room feel like normal double room . clean bathroom . conveniet location , get two tube station ( subways- Earls Court close ) less minute walk hotel . alot restaurant cafe next tube station . face hotel will find Marriot , good place dine be look something classy . breakfast hotel average . something quick , start day . side Earls Court Station 2 3 place breakfast like . elevator hotel small . receptionist helpful , not expect extra nice smile . ask room mini - bar really need one , cause room one . AC / Heater work insert room key special slot next room door , give 2 room key check , keep one key inside slot whole time . approx . 65 pound per night , think hotel convenient . 
 Dec 29 2005 	 Disappointed 	 stay area every time London . always look budget accommodation . first stay Country Inn & amp ; Suites . walk past hotel many time base impression ( outside ) , expect decent hotel . disappoint several reason . staff , although friendly enough talking , act unprofessional . barman receptionist communicate shout across lobby / bar . not help much conversation lousy management , angry guest , guest not understand staff not blame problem ( , blame management ! ) , etc . spend little bit time bar every night , happen several time . one occasion receptionist even come table give speech problem , blame management . never experience anything like . would Country Inn & amp ; Suites even want put logo name hotel ? ? ! beat I . apart ' lively ' lobby , elevator ' working ( hear , ' quite time ) tell use staff elevator . room clean ok , nothing special . sum , guess hotel nice enough consider not pay much . least London particular area . say , doubt stay . rate get well room much well service hotel area . 
 Dec 20 2005 	 Adequate 	 stay first trip London . positive side , great location . close tube within block grocery store . room adequate : expect amenity include trouser press , hair dryer , coffee / teapot . double small ( expect ) . wall paper - thin . could hear everything hall room next we . standard continental breakfast awful : cold cereal , non - refrigerated yogurt , dinner roll can fruit . staff replenish food run out . the lift work . room meet need nothing special . 
 Nov 9 2005 	 good location 	 good location museum hyde park tube connection theater . the hotel clean food basic would recommend poor continetal breakfast . 
 Oct 28 2005 	 cheap good location problem 	 stay two day start october . ' ve read review place might notice pattern develop mainly lift work seem work quite . service elevator problem , can not see actually floor till open outer door result lift stop gaze empty shaft . stay sixth floor first day another gentleman get stick service elevator . thankfully helpful bell boy lift well . say thankfully alarm button not work due member staff present walkie talkie able rescue lift twenty minute . not know would got member staff we . except hotel good location , clean great value london . always seem problem breakfast people make sure write confirmation . would stay would make sure low floor room noisy ironically due lift machinery belong lift never work stay 
