review 	 hotel nice . concierge great well staff bar / restaurant . staff front desk horrible ! ! ! ! wait 1 1/2 hour pass check time finally go third time room ready we . hotel beautiful , room nothing special , hotel close everything ... include hospital across street ambulance siren leave arrive time night ! ugh . 
 Jan 27 2009 	 friendly staff ~ good location ~ small room 	 location hotel near perfect , one block Michigan Avenue . outside hotel look impressive ground floor foyer 2nd floor reception area feel . reception staff check extremely friendly room available 11 am morning even though check 4pm . our room clean nicely furnish huge comfortable bed far small expect . think one small hotel room good . view brick wall total privacy ! ! ! room along rest hotel quite cold , manage get heating room eventually rest public corridor feel chilly comfort . another negative note little way public area , feel though purely business hotel could eat , drink sleep . ( handful seat reception ) .Breakfast next morning cost $ 20 plus tax per person . breakfast nice really worth money . personally hindsight may better starbuck around corner . to sum , nice clean hotel , friendly staff , great location near Michigan Ave ( ambulance siren near hospital seem constant , day night ) compact room . pleased stay think next visit Chicago spring try another hotel . 
 Jan 6 2009 	 good stay 	 second stay hotel , perfect walking distance many shopppe eat venue . front desk staff helpful courteous room well aportione clean . use gym daily , nice new exercise equipment . negative , close ER . hear lot siren , expect middle city . 
 Jan 4 2009 	 never complain ....... 	 husband stay Wyndahm 2 night celebrate New Year last & quot ; getaway & quot ; first child 2 month . book room point accumulate credit card option downtown Chicago location . initial entry hotel please , find place park .... good luck ! room clean day progress night , start regret choice hotel . first room directly across hospital . Sirens night ! light sleeper , like husband , fun thing hear night . sit bed , comforter soft , pull thing back sleep rock . strike three .... thermostat . fan stay low temperature go 65 . pregnant , sleep sweat night hard bed listen siren . kicker ..... loud thud happen anywhere every 5 minute every 10 second , depend time day busy hotel . constant thud pipe run hotel water pressure . sound like door slam constantly . REALLY ANNOYING ! ! ! husband sleep ear plug second night . exhausted walk much city wake time siren . one last thing notice , pregnant , not bother husband , counter top bathroom . 5 ' 8 32 week pregnant , counter hit directly belly difficult time use sink put makeup mirror . sit counter get anything do .... also safe pregnant . shell cash room , disappoint hard earn point go two night Chicago . thing go location corner bakery across street breakfast .... since include hotel . would stay . 
 Dec 29 2008 	 Wyndham Chicago well ! ! 	 first get unbelievable rate $ 70 night expedia thing go . hotel beautiful inside , staff great especially one front desk lady ( become fast friend ! ) . book hotel read review people bother ambulance stuff hospital literally direclty across street ( u could walk hotel door straight across road hosipital door ) honestly say do not bother we . siren keep we . everyone come conctact extremely helpful hotel 's location close everything . party consist , sister friend although get backj home already make plan go back next year ! ! ! ! 
 Dec 15 2008 	 great location clean room 	 book hotel website 159 per night great price quality hotel room clean , bed nice ( well sleep well ! ) average size room enough room relax , bathroom large usual nice 2 girl get ready morning . wine cheese ready room upon arrival , due free Wyndam reward program . staff nice helpful needed . never problem noise . room thermostat could adjust temp need . view ok defiantly matter . location reason choose hotel perfect block Michigan ave short walk almost anywhere would want ! would defiantly stay ! stay nice hotel Chicago pay lot ! 
 Dec 6 2008 	 Fabulous Location 	 fabulous location great hotel . front desk concierge staff go beyond helpful . bed comfortable not want leave morning . fitness room well - equip downtown hotel . not eat breakfast one corporate option nearby , instead walk around corner 233 E. Ontario eat Momi 's Cafe . Moni 's organic fair trade tea coffee , crepe , great breakfast option locally own ! 
 Nov 17 2008 	 Perfect 	 could recommend Hotel highly . stay 6 night begin November get great deal 55 % discount book Expedia . hotel ideal location block Michigan Avenue ( main shopping street ) . stay Mum never concern go Hotel two woman even dark . staff always friendly could helpful . room spacious , bed huge comfortable , big closet bathroom spotless lot free toiletry ( ask ! ) really like fact get free USA Today newspaper leave outside door day . not meal Hotel although restaurant try Corner Bakery across street first morning good value food yummy keep go back . perfect stay ! 
 Oct 25 2008 	 Real Surprise 	 Booked Hotwire great price , stunned find hotel centrally locate near Michigan Avenue . surprised level comfort . nice clean comfortable hotel nice luxurious feel . room large , clean well appoint . downside cost valet parking internet push price bit . could self park road cheap luggage restrict practicality . nice find especially get good price . 
 Oct 20 2008 	 Nice Hotel ... .. 	 spend long weekend Wyndham say staff friendly courteous . location wonderful block Michigan avenue . problem control temperature room . thermostat look like set anything . way hot durning stay . ask front desk say building engineer control temp . engineer come within 10 minute open vent say help . lower temp whopping 1 degree . nice hotel major inconvenience . 
 Oct 16 2008 	 definitely stay 	 ' ve stay hotel downtown Chicago , find one . the Wyndham great value ( $ 200 midweek ) . room clean comfortable . staff friendly accomodate ( late check - out ) . location perfect we -- block Michigan . nearby Corner Bakery convenient option coffee breakfast , Dominick 's grocery nearby drink snack . I worry across ER hear ambulance siren night , not bother all . the pool small , perfect kid splash around . we definitely choose Wyndham next time return Chicago . 
 Oct 14 2008 	 Nice Hotel 	 great hotel good value $ 300 / night . excellent helpful staff . clean . nice room great bath . comfy bed good linen . beautiful lobby . good fast valet service . make seperate trip car realize have forget purse promptly bring room smile . great conceierge . bad : noise . across hosptital ( siren ) noise travel door , necessarily wall . flip side across hospital really quieter hotel right Michigan Rush street . block & quot ; mile & quot ; felt tuck away bustle . not many siren light sleeper awoken . might ' ve jet lag system confuse time . would definitely stay unless get Sofitel price ! ( sofitel offer 2 doubles- need & quot ; girl weekend & quot ; . ) hotel snob would recommend . 
 Oct 12 2008 	 nice room lovely bathroom free request benefit 	 ' lot talk hearing ambulance agree could problem light sleeper ' face hospital . 16th floor believe could hear noise ' much ' expect home ambulance go street rather muffle . ' sleep well away home . ' conveniently locate hotel may worth minor noise disturbance . the room upgrade request membership something sign require money . course receive complimentary drink snack request . several option choose , opt fruit bowl , green tea water . also , large bowl green apple front desk check . much like old hotel front desk second floor . it nice suite living area standard TV armoire bedroom pair frosted door close ' disturb . bedroom armoire tv . bed comfortable , nice pillow comforter duvet seem much clean . whole bedroom wall fill large window good curtain keep dark . everyone else mention bathroom really nice wonderful scale measure body fat weight put height age . makeup mirror great product ' tiny little bottle get even four star hotel medium sized Bath Beyond item might give gift set nice surprise . overall room nice , clean , fresh , satisfactory . everyone helpful friendly . two problem . one internet ' mind pay ' much daughter ' able get hook . ' call assistance either ' find late might problem . second cable station keep go . ' call either though maybe ' problem anyone else . mention morning station seem fine . ' use room service try buffet even restaurant though drink bar friend enjoy atmosphere . several tv ' sport though noise disturb conversation . sit couch nice comfortable . waitress prompt pleasant . I must add thank reviewer avoid another problem use hotel ' valet service . charge $ 49.00 night understand parking horrible downtown Chicago right next door right perfectly adequate parking garage valet service well , 233 E. Erie Parking , phone number ( 312 ) 255 - 8200 want contact hand . sign say charge $ 39.00 weekend 24 hour kind gentleman say $ 5.00 discount apply . ' say enough garage . two man kind helpful . tell we could easily get whatever needed car time . convenience , service price unbeatable good thing barely five minute wait ! also , accidentally leave bag beside chair daughter wait mark ready return twenty minute later turn around Interstate go back . go back Chicago would please stay hotel park garage though ' make two night instead one ' much see . 
 Oct 10 2008 	 good hotel 	 Wyndham hotel great location right next magnificent mile although small walk near train stop . room nice old style decor comfortable . stafff also friendly positive stay overall . Chicago ( girlfriend ) five day would recommend people allow least five day city possible lot see . 
 Sep 27 2008 	 horrible 	 impressed hotel location . expectation need service do not stay . bellman get door point elevator leave get bag family upstairs check . wait ( 3hrs ) hope get room rest . hospital across street ambulance run non - stop . 
 Aug 29 2008 	 second stay Wyndham 	 stay property last summer find price service worth return visit . valet service , bell staff concierge average . location heart Magnificent Mile within walk distance good Chicago offer . complaint suppose get perk ( snack , free local call ) Wyndham request member . last year automatic . year ask everything , despite fact membership number reservation . 
 Aug 29 2008 	 Lovely ....... 	 receive great rate last minute booking priceline . desk clerk friendly upgrade we King Suite tell son go away college trip . lobby nice big deal go second floor . room huge beautiful bathroom fabulous . concierge friendly helpful occassion . here ... although top floor hospital next door ambulance arrive 4:30 scream siren good 3 minute . feel like right outside window . other review mention unless heavy sleeper may want avoid hotel , bad great location place nice . 
 Aug 27 2008 	 would come back ! 	 fantastic stay Wyndham ! lobby beautiful check - in quick easy . sign Byrequest member , plate cheese cracker two small bottle Pepsi wait we lovely , clean room . bathroom perfect us- clean , granite countertop , large framed mirror , bath & amp ; body work product we use . location perfect , step away Michigan Ave far Navy Pier . downside view wall building next door , not problem we since spend time city . also , Gino 's , famous deep - dish pizza ) block away ! sadly , find check way home . 
 Aug 25 2008 	 Wyndham Chicago - St. Clair not need car 	 business / pleasure nice little weekend getaway . be locate near hospital hear siren alot reason would quite later night . bed comfortable . agree person concierge helpful . concierge locate right near main elevator can not help use . always recommend get room without adjoining door . lucky quiet people room next we . come hotel muffle hallway / other room noise please ? ? park high 's high place downtown . nice walk place nearby show boat tour shop . look hotel window little cafe across street call Coco Pazzo good food . highly recommend place . Gino 's nearby outside patio . cafe 's quaint warm summer night . feel like Europe . hotel restaurant really good . eat lunch . good service . would stay . great couple getaway . 
 Aug 23 2008 	 comfortable great location 	 comfortable room . great location . lot good restaurant nearby . walk distance lot sight , easy get transportation . friendly helpful staff . furnishing high quality . 
 Aug 16 2008 	 great stay Wyndham 	 Wyndham Hotel locate 1/2 block Magnificent Mile . great experience hotel . stay non - smoking room single king - size bed . room clean , comfortable could not ask well location first - time visit Chicago . the Concierge make stay Chicago great one . great tip city make reservation we whenever need . far one good mini - vacation ever Wyndham lot . 
 Jul 24 2008 	 bed bug 	 bed uncomfortable bed bug ! wake unrestful night sleep matress expose foot ankle bite numerous time . count 25 bite one foot leg . 
 Jul 21 2008 	 average ... ' ve well Downtown Chicago 	 come girlfriend two night December see Oprah show Michigan Avenue Christmas shopping . want save money four us gal figure could cram one room two night . bed however way narrow grow woman share , would say little big twin size bed . really unacceptable standard room . People expect least queen sized bed . anyway , manage guess narrow bed otherwise good . stay Sheraton month early price say Sheraton offer much . give choice would take Sheraton day Wyndam . get good cheap last minute deal Wyndam will probably satisfied , however , pay $ 200 per night place ' ve . 
 Jul 15 2008 	 Great Hotel 	 Great Location , walk distance good shop Magnificent Mile great restaurant . hotel beautiful , 2 double bed room quite large , bed fabulous bed comfortable . marble bathroom dress area . highly recommend , picky ! 
 Jul 1 2008 	 great location 	 able get Wydham priceline $ 75 / night . great deal ! hotel nice close many restaurant shop . walk EVERYWHERE . great way spend summer night Chicago . yes , hear ambulance go view not great $ 75 , can not complain . intention not stay hotel enjoy Chicago Wyndham provide nice place sleep night . bed big comfortable room clean . definitely stay Wydham . 
 Jun 21 2008 	 Read ... 	 book room Priceline . would anyone pay $ 260 + $ 40 tax Priceline get four star room $ 80 + tax hotel ? check hotel Thursday night ; arrive hotel counter find hotel attendant personal phone call ; neither smile end conversation quite time . , say sorry neutral tone ; proceed ask king size bed ( instead two double bed ) tell none available . ( incidently , go ask hotel attendant recommendation restaurant area , tell ask concierge , without even realize one staff concierge desk . ) disappointed give room right next elevator , especially young child scream nonstop elevator lobby attempt sleep . goes say exactly peaceful night 's sleep hotel . 's rattle noise air conditioning . set room comfortable 70 degree ; however level noise annoying , especially try sleep . for four star room , bed comfortable . seemed & quot ; use . & quot ; furniture , seem worn even would consider elegant . also disappoint television plasma screen . bathroom , however , wonderful . granite counter , spacious floor plan , & quot ; spa & quot ; toiletry , nice shower system help counter problem room . overall , would stay get Priceline rate . otherwise , would ! 
 May 25 2008 	 Wyndham new Chicago favorite ! 	 spend long weekend every year Chicago time , opt try Wyndham Hotel two young child ( 7 9 ) . lovely experience . hotel immaculate ( , ask husband , ' m ridiculously fussy ) , room clean bright ( moderately sized , great linen , large clean bathroom ) , pool small terrific ( adjacent locker room well unisex sauna steam room ) workout room great ( even open 10 minute early - 5:20 a.m . often frustrate workout facility not open early enough ) . good part ? location . amaze we one block Miracle Mile , traffic diminish considerably ( fact , intersection around Wyndham mark stop sign , traffic light ) . Wyndham amid high - rise residence , hotel , office building , quaint quiet ground level . large Corner Bakery ( breakfast favorite ) across street indoor outdoor seating . TGI Fridays street , eatery ( , , be block Miracle Mile block Rush Street , eat shopping opportunity endless ) . also liked locate midway ( north / south ) Mile , make everything convenient . Wyndham staff member exceedingly polite helpful , doorman concierge front desk . always hold door , ask need help , talk child -- great . ( arrive , give room view concrete wall ask move , do without question . new view great -- floor . room bit large , . ) not eat hotel restaurant , crowded meal time - good sign . drawback ( ' m sure even qualify ) , 's hotel not large lobby . 's elegant , not invoke opulence ( hum activity ) large old hotel ( like Drake Intercontinental ) . , be lovely ( marble floor ; curved staircase , pianist baby grand , elegant furniture ) quiet . the Wyndham new Chicago favorite we . 
 Apr 26 2008 	 Nice Hotel Noisey 	 third time stay satisfied time . room clean comfortable bathroom large- downtown chicago . the service good rate usually well . book room king size bed thru hotel web site $ 160 per night . my big complaint hotel 's close proximity Northwestern hospital . room hospital side ambulance , usually several per night . minor annoyance need take one elevator get lobby change elevator get room . in category Mich. ave area hotwel $ 200 per night think hotel one good . $ 200 , would look Sofitel Omni . 
 Apr 15 2008 	 Timeshare scam warn ! 	 stay Hotel lure buying timeshare promo Wyndham Vacations . get call couple month ask enjoy stay . take $ 89 we . call 2 day later get money back . get money back amazingly record call . refuse give back $ 89 . go high corporate office file complaint Missouri Attourney Generals office . multiple complaint Wyndham Vacations ! stay away ! 
 Mar 31 2008 	 nice clean view 	 book two night short family trip explore City . location great except hospital next door draw contant flow ambulance ( siren ) . hotel clean , room nice . marble bathroom , granite top . exterior window dirty , really good view . change room shortly check , second room view not well . food price really expensive , find serveral reasonable resturant nearby . ( WEST EGG favorite ) oh , pool .... size standard hotel room , kid not seem mind . Bar make great cozmos . will drop $ 30 two tip . ouch ! frig room make bring resturant leftover back impossible . , ok , try another place next time . 
 Mar 28 2008 	 Yuck 	 stay business last month fortunately not money spending .... start arrival ... flight delay Seattle due snowstorm Chicago , arrive around 9:30 p.m. tired hungry . three young woman front desk discuss & quot ; myspace & quot ; profile hardly look arrive . give room key asked & quot ; somewhere hotel get food ? & quot ; said & quot ; oh yes , get food bar 10:30 ! ! & quot ; thanked go room . they put & quot ; suite & quot ; smoking room smell terribly smoke ( specifically request non - smoking room pay extra ! ) go bathroom find disgustingly dirty . someone clearly sick toilet clean since ... disgusting . towel bathroom also dirty , hair stick crumpled hanger have use hang back up . I call front desk girl say would send someone . wait 10 minute someone show long metal pole & quot ; unclog toilet & quot ; . explain situation man door tell would need call back downstairs . , girl say & quot ; send someone unclog ! & quot ; spell exact nature probelm . send someone else 10 minute later clean bathroom . man clean bathroom say & quot ; ' look like somebody room since clean ! & quot ; normal . when finally make bar 10 p.m . tell stop serve food minute . tell tell open 10:30 . shrug tell local place food hour ( snowstorm ... not really feel like walk 5 block food ) . annoyed would eaten first have know closing . so go bed quite hungry ( front desk girl not offer mini - bar key else would least snack ) could not sleep night since pillow reek cigarette . Blech . the next day complain front desk move new room great ... first night total disaster . will not stay help ! 
 Mar 28 2008 	 Pleasant experience @ Wyndham 	 get back today 3 day stay Chicago . switch hotel last minute Wyndham , base good rate Expedia , fact 7 year old insist pool . hotel check -in easy , although tell check - in could honour Wyndham Request membership , since book Expedia . front desk however , nice enough give we & quot ; club room & quot ; 16th floor , without benefit club service . find room adequate . appear new carpet , 2 double bed duvet bed small tv . Spring Break , hotel pack family , pool jammed kid - much chagrin , however kid ' delight . think ear still ring sound kid scream roar jacuzzi ! concierge & quot ; Russell & quot ; helpfull suggestion . TIP : plan go Rain Forest Cafe , make sure phone advance reservation ! play ear cost we 1.5 hour wait time ! ! ! ! Overall- find hotel nice enough return , deserve 3.5 star rating . eat breakfast cafe , instead use miniscule coffee maker heat water instant oatmeal , hot cocoa . 2nd note : club floor bathroom must design tall people . 7 year old could not reach bathroom sink . luckily great balance , invert plastic trash use ' step stool & quot ; . also love shampoos soap provide hotel . also like make - up mirror bathroom . kid think first floor lobby fancy - although space planning point seem inefficient since either climb grand stair , take elevator get lobby ! overall experience lovely would recommend Wyndham Hotel . 
 Mar 25 2008 	 Nice nickel dime stuff annoying . 	 book hotel list & quot ; good value & quot ; & quot ; customer favorite & quot ; Hotwire ; book Holy Thursday - Easter Monday , 2008 . happy learn have book Wyndham , chain usually please with . the hotel block Michigan Ave . Magnificent Mile / Streeterville area . 's easy walk Watertower place reasonable walk loop . use El bus visit part Chicago , find bus stop underground station Grand easy locate within short walk . Valet parking expensive — $ 44 night , think . opt self park around $ 35 night 1/2 block away , ramp St. Clair , adjacent Courtyard Marriott . the hotwire rate include breakfast , although think package book directly hotel . apple mint front desk , coffee service , something ' ve experience 4 star hotel . mini - bar small coffee pot room , pedestrian no - brand coffee ; stirrer , sugar , etc . tiny Starbucks perpetually long line across street ( next door Parking Garage mention ) , Dunkin Donuts step away Corner Bakery Panera near . room fine . 14th , nee 13th floor ; figure 's hide hotwire cheapskate . peek around tall building , could see lake . room two double bed w/ comforter pillow ; upholstered reading chair w/ table ; desk lovely aeron chair — easily comfortable piece furniture room . Wyndam yet abandon amoire , many upscale hotel , upgrade flat screen television . room feel little cramp w/ furniture . ( fact move occasional table closet could not otherwise set cot teen tow . ) cable package limited handful choice , heck , not go Chicago watch tv . . phone night table work . this must hotel , general , cater business traveler expense account . internet service something like $ 10 . day room , whop 35 cent per minute business center . walk Panera and/or Apple store ( within block ) could , charge , check email look ( write ) information place want visit . concierge print boarding pass free , pay sign ( note , credit card machine attach computer take American Express ) look reservation number , would forget bring . request cot teen - aged son gulp learn would cost $ 20 night extra . however , charge never post account . cot fit one spot room — between bed window desk , provide move aeron chair way . stand morning could move freely around room . there charge use gym ( surprised ) ; change room , shower , decent selection treadmill , bike , etc . free weight . never crowd use facility . the hotel tiny , shallow ( 4 foot deep end ) pool , hot tub , steam sauna dry sauna . pool crowded weekend , even hot tub full young child ( toddl early elementary ) splash around w/ parent . pool area monitor well staff ; dirty towel pile around hamper . several occasion dry hand - sized towel attach gym clean towel pool area . large , concierge staff helpful friendly , knowledge city limited tourist spot . ( query direction Benedictine Monastery south loop ( roughly 31st Halsted ) , Bridgeport neighborhood , meet first blank stare explanation not know lot & quot ; suburb & quot ; . suggest buy city map nearby Walgreens . find direction online , visit Apple store . ) room clean , housekeeping honored request & quot ; green & quot ; keep towel sheet entire stay . water hot water pressure fine . toilet loud whooshy flush might wake dead . the Wyndham must big business american Girl weekend package ; hotel lobby full AG bag tote parent glaze look , accompany 7 - 9 year old girl clutch America Girl doll . ( note parent boy age bracket : LEGO store mall Michigan Ave . , forget precisely , be several block wabash . ) 
 Mar 22 2008 	 Downtown Chicago 	 Wyndham one block Michigan Ave be look shop . get easy drive , despite one - way street downtown Chicago . find parking small problem try unload luggage , drive area street like often find . however , bellman other work street helpful anxious get bag snow hotel . upon check - in 2:30 p.m. tell room available 2 double bed request . going give we room King hide - a - bed . do already trip , opt stand firm wait room 2 double bed become available . person front desk pleasant figure way make happen . over - hear person next check though . stand firm request give room King hide - a - bed , not make happy . we stroll around downtown Chicago , enjoy offer , time go quickly . return 4 p.m. request , room ready bag quickly deliver room pleasant bell hop . the room nice - comfortable bed soft towel . hook hold shower curtain hook , fix shower . also give 2 soap , use small one sink area everyone shower . shampoo , conditioner . , major problem , lack attention detail . everything we get ready day , ask housekeeping deliver soap . downtown location great general tour Chicago . be also 20 minute airport . ' ve Chicago many time would stay Wyndham . 
 Mar 5 2008 	 nice place convenient location 	 Wyndham vey well locate near Magnificient Mile far , even walk , lot place interest . stay several day 2 bedroom update huge comfortable suite . would ok anyway internet price get . however fan bedroom bit noisy , may hide traffic noise especially adjacent Northwestern hospital . 17th floor traffic noise problem ... dit try restaurant Corner Bakery , Subway etc door , close restaurant 
 Mar 5 2008 	 Great 	 sorry get review bit late . I stay 3 night October attend conference North Western University . I really not spend lot time room either conference , walking & quot ; Mile & quot ; oogle want buy Apple Store - love place . I 3 breakfast , lunch dinner . breakfast buffet lovely - 's pretty hard screw breakfast buffet . use bar , pool fitness facility . tell room excellent , love location service could well - helpful , polite competent . rate get ( university ) steal - $ 189 per night . idea regular rate though . hope help . 
 Feb 25 2008 	 Best Hotel near Mag Mile ! 	 weekend FANTASTIC ! , sister two friend go back Wyndham past weekend & quot ; Girls Getaway & quot ; . second year choose hotel winter vacation spot . keep go back ? well , besides friendly accomidate staff comfortable clean room ... 's concierge staff ! Russell absolutely fabulous ! last year , arrive first trip could kind , funny , knowledgeable , helpful oblige we ! weekend top notch ! mostly Russell . help we find lovely restaurant , place spa treatment , many tip ! year 's weekend also world ! Russell rest concierge desk heart hotel impeccable . greet everyone sincerely concerned well , visit well attend every need . in travel U.S. abroad never meet concierge like Russell . past year send many family friend thathotel telling consider continue recommendation . thank time read email . 
 Feb 22 2008 	 Nice business 	 stay Wyndham one night business trip . hotel clean classy , quiet , fantastic location . one colleague end nice upgrade byrequest membership , would highly recommend get one . room nice size great desk comfortable chair . hotel nice soap shampoo room nice high ceiling make room feel spacious . go hotel bar also nice , extremely overpriced . use business center not free ( free internet byrequest membership ) fast couple computer printer . 
 Feb 15 2008 	 great choice 	 want nice hotel business pleasure excellent pick . stay business stay extra day fun . nice hotel money excellent location . touristy thing perfect . walk distance Handcock build Michigan Ave shop . short cab ride great bar restaurant . would definately stay . 
 Jan 26 2008 	 great deal great hotel ! 	 fortunate twice get fabulous rate $ 75 Wyndham priceline . times ' ve impress hotel . first , location fabulous . though directly Michigan AVE , be block , Corner bakery kitty corner , position perfectly along shopping area hit Mich. AVE.The hotel lovely , clean . feel upscale without top . room adequate . large , definitely big downtown Chicago hotel .. bed comfortable , room well appoint . there two downside hotel . 1 . parking valet , bit expensive result . still give great rate ' ve get priceline , even good deal . plus valet always quick friendly . 2 . way hotel set create extra step enter use stair elevator go level access elevator take room . bit deal , be try , be bit extra step . 
 Jan 24 2008 	 Good Location 	 go Chicago New Years great time , hotel close walkable distance shop restaurant . the staff friendly give we nice room accord request . overall great stay . 
 Jan 14 2008 	 could well could bad 	 get great deal Wydham 's site picture look amazing . call day ahead time tell request early check - in say would room ready 11:00 . arrive noon greet snotty young woman early 20 be inform us & quot ; lied & quot ; check - in 's 4:00 , exception . quite take back [ -- ] attitude do not let get skin . come back 4:00 inform we room give away room available handicapped room significantly small book . know know , take room . room small exactly upscale photo portray site . furniture demolish look like hit many - a - wheelchair . bathroom huge , accessible bar loose get way . outraged , switch room second night suppose enjoy rest stay . room snafu , good hotel . 
 Jan 4 2008 	 another great stay Wyndham 	 third stay Wyndam 22 month , anytime travel Chicago , 's stay . check super - fast , wait we , even though early normal check - in time . room spotless , by - request welcome pack waiting room . staff , usual , polite efficient , Russell , concierge , go beyond ! 's excellent concierge , font knowledge might want know / do Chicago ! room spacious , bed .. bliss . comfortable . lovely big bathroom , great amenity pack . lot towel also . location hotel perfect , five min Michigan Ave , plenty good restaurant nearby . breakfast one morning hotel , be lovely sit look two floor street , usually get breakfast directly across road one Corner Bakery chain . stay three time 22 month , stay future say - not even look alternative hotel stage , Wyndham perfect ! 
 Dec 29 2007 	 nice stay discounted price 	 18 - year old daughter stay Wyndham - Chicago 12/25/07 - 12/28/07 . book Priceline two month advance get awesome rate ( $ 75.00 / night ) . book room , immediately sign & quot ; Wyndham - by - request & quot ; member , stay would extra special . upon arrival hotel , however , quickly learn despite & quot ; by - request & quot ; membership , instead go forever & quot ; guest pay Priceline . & quot ; point one Wyndham employee ( politely ) . . . like need remind something . way book , deny perk & quot ; by - request & quot ; member automatically receive . addition , see guest enjoy complimentary breakfast hotel 's buffet - we . say , crunch number discover even purchase extras complimentary & quot ; by - request & quot ; member , would still come ahead book Priceline . upside : stay 6th floor , face west , nice since hospital , emergency siren , north side across street . room surpisingly large , oversized bathroom . nice ! bed linen oh - so - comfy . housekeeping staff prompt efficient . hotel lobby beautiful , wind staircase leading check - in desk 2nd floor . all - in - all , comfortable aesthetically pleasing environment . downside ? carpet room wrinkling ( poor installation ) tv look old 1999 discount - store no - name cheapie . room 's wall not block alot noise adjacent room . work - out room 4th floor small bad view nearby rooftop . pool teeny - tiny : maybe 10 ' x 17 ' - size two lap - lane community center . hot tub average size . due crowd , not use amenity . the Wyndham locate one block Magnificant Mile shopping corridor , super convenient . walk distance everything . would shop , swing hotel drop stuff , shop . 15 - minute walk Navy Pier ( tourist trap ) , 6 - minute bus ride Chicago Institute Art ( must see ! ) . find Wyndham affordable way enjoy Chicago busy time year ( courtesy Priceline ! ) . pleasant hotel great location . someone want visit Chicago , willing pay top - dollar , regular rate , would strongly suggest stay somewhere else . Wyndham worth pay , give 4 star . have pay going rate though , would felt pay much would give 3 - star rating . 
 Dec 25 2007 	 amazing hotel 	 Excellent location heart Chicago . large room staff treat we well . can not wait back 
 Dec 19 2007 	 fine price 	 actually book hotel help Prentice Hospital daughter baby . arrange local hotel give discount people use Northwestern Hospitals . rate good hotel . good thing hotel staff gracious accomodating . yes , pretty frequent ambulance siren - next Medical School / hospital campus . otherwise location great - center everything . room standard , bed comfortable ( maybe mattress old - creaky spring , like good quality sheet ) , tv option less varied caribbean resort . pool somewhat small - really geared swimming . eat restaurant , can not comment . , good thing hotel proximity hospital warmth helpfulness staff . 
 Dec 19 2007 	 great stay Wyndham 	 husband spend night Wyndham holiday shopping Michigan Ave . location perfect heart shopping area North Michigan Avenue . get great rate hotel Expedia , , hotel 's computer system check , upgrade suite ! room large , clean , nicely appoint . dinner across street Viand ( Marriott ) would definitely recommend place . be drive , would also recommend use hotel valet service ( one ) . not pay $ 56 overnight self - park block . 
 Nov 25 2007 	 Amazing Hotel price ! ! ! 	 book hotel , never stay Wyndham property , stricltly location . come Thanksgiving Day last minute sister baby Northwestern Memorial Hospital , across street . besides hotel perfect location Michigan Avenue , amazing . spotless , absolutely fantastic attentive staff , beautiful room .... could go . allow early check - in well late check - out enrol Wyndham ByRequest free program . neat offer , select choice make reservation , welcome snack waiting room . bottle Merlot , cranberry juice , round Gouda cheese cracker . even bring plate silverware napkin . entire one night visit wonderful , staff could not nice , awe $ 143 get 5 star 700 sq ft two room suite . great surprise ! absolutely remember hotel ever need stay Chicago . may even book next year Thanksgiving , ease get Michigan Avenue shopping . literally step away action . 
 Nov 19 2007 	 Heart Chicago ! 	 1 night stay Wyndham nice ; can not beat location heart Chicago step Magnificent Mile close Navy Pier ! 2 standard room nice , clean , comfortable ( comfy bed ! ) . bathroom clean Bath & amp ; body toiletry ; great shower ! Carpet one room little worn stain nothing horrible . view not exceptional 4th floor . Staff Wyndham extremely nice helpful ! check- 4 able get one room 2 nice . we join Wyndham Request perk , tell book Hotels.com Request link not give extra hear ( big deal ) .We park one two block Self Park garage cheap ( $ 34 24 hour believe ) .overall nice 1 night reasonable location . restaurant on - site bit pricey ; eat breakfast West Egg Cafe around block Fairbanks- good food w / quick service ! 
 Nov 17 2007 	 look nice never stay charge room 	 make reservation end find well deal elsewhere , call , twice , cancel reservation . call second time cancel , tell front desk reservation , tell reservation person , fact reservation cancel set . week later room charge show credit card statement . call hotel , give run - around front desk reservation line , transfer accounting department , since leave 3 unreturned voicemail message charge remove . dispicable customer service otherwise seem like reputable hotel . need get act together coordinate computer system something . 
 Nov 10 2007 	 one nice hotel ' ve stay price 	 boyfriend decide go chicago whim . like 3 day get booking order . take train get , book priceline get hotel . happy surprised size quality room pay per night ( 85 $ ) ! huge sit room/ living room another set door bedroom . concerned researching go hospital next door go fall hotel . soo active hotel sleep like quick change day . hear like one siren , nothing normal people could not handle . sleep well really love room ! decide one day try incorperate pool , went turn around go right back room change go bar ! pool laughable , tiny like 10 kid not worth even try go ! not go pool go sightseeing , Wyndham really fit trip well : ) 
 Oct 12 2007 	 Best Location experience 	 hotel one good hotel stay good price pay call hotel direct get good price trust I . very world class . 
 Sep 30 2007 	 Nice Hotel Good Location 	 quick business trip Chicago . stay one night , hotel really nice . stay corner room huge window overlook downtown Chicago . room large king bed , pull sofa couch , desk , entertainment center . join Wyndham Request , give welcome gift , well complimentary wireless internet access . restroom also huge , granite countertop nice soap shampoo , etc . really can not say anything positive stay hotel , include convenient hotel magnificent mile ( one block Michigan Ave . ) 
