good 	 mom recently stay Ramada Eastside Thanksgiving enjoy Macy 's parade . hotel good location could walk everything . continental breakfast include room price , nice . room compact clean . coffee maker ( rare NYC ) , flat screen tv , comfortable queen bed , price location , would definitely stay . want cozy , nice , quiet , clean , safe , convenient , reasonably price hotel Manhattan , Ramada eastside good value ! 
 Jul 1 2008 	 good location ok price clean nice 	 spend hotel one night , pretty good experience . call airport 10:30 ask early check ( 11:30 ) answer take bit bit be doable . well ... take bit promise wait bit cafe near ( pretty nice - good coffee , nice atmosphere , not tempt coconut muffin ... ) , get 12:00.the room pretty nice . small , greatly lighten sun . bath toilet pretty miniature ( ' m big man , feel like sit training pot , rather toilet seat.there breakfast include - pretty nice continental one.one minor thing ... someone reset alarm clock guest leave room ... ( go hotel ... ) not need remember shut someones else 's alarm morning day .... one last thing ... not want picky , elevator s - l - o - w .... 12th floor ... bottom line : great location - Lexington 30.the room clean tidyrestroom bit claustrophobic ok breakfasttake 5 min ahead schedule catch elevatornice cafe near bywill come will NYC 
 Jun 25 2008 	 Reason Visit City ! 	 hotel bit money want spend one night 's stay city . however , easily one nice room ' ve stay NYC , location absolutely IDEAL . walk distance everywhere need go weekend visit ( walk distance say lot NYC ) . upon arrival inform pleasant female attendant remodeling room floor room locate . book first room finish floor . briefly joke especially set aside know come . always love hotel staff friendly sense humor , not ? elevator door open 11th floor meet hallway full furniture , tv 's , styrofoam packaging material . first little nervous , show room one employee ( since room yet mark ) meet adorable room please ! employee kind ask make sure everything need , anything miss please let know immediately could attend request . stay standard Queen room . bed tempurpedic mattress amazing ; color design theme room nice warm ; bathroom huge single occupant room ! ; furniture simple , yet nice ; large window closet space actually nice little view & quot ; overlooking & quot ; city . room come nice air conditioner ( functional musty smelling ! ) come handy 85 * weather day . settle hour leave meeting block away . upon arrive back room 4 hour later hallway spotless , room mark , everything look though never remodel construction first place . pleased weekend experience already begin make plan stay return city week extend stay . 
 Jun 22 2008 	 good Choice kid 	 good location , safe neighborhood . room huge comfortable include breakfast great deal travel kid . undergo renovation noisy pretty clean . great nail salon near ( open 11 pm ) pizza place corner vezzo good . deal parking garage $ 20 day- 's bargin itself . it near bunch subway line perfect location well . would stay , good value money ( consider many ny hotel ask ) 
 Jun 17 2008 	 terrible experience 	 stay Ramada Eastside 4 night June , 2008 bad experience NYC ever . book online hotel website 2 month prior call hotel one week confirm . give we nice room say move another room next night remodeling . ask not book we room 4 night , receptionist not know . say new room would exactly like first room . well , not . half size smoking room . since specifically ask non - smoking , complain . say not smoking room ( lie ) besides not room . complain demand speak manager . not would not 2 day , receptionist not know . keep complain finally offer move we & quot ; sister hotel & quot ; near Times Square . say far superior Ramada Eastside new hotel would give we big discount , half price Ramada . well , look online new hotel 2 star Ramada & quot ; big discount & quot ; regular price . word , cheap hotel , NYC mean low quality way . ask low Ramada price not want move , agree . night , son urinate bed , ask Housekeeping change sheet . well , not put new sheet bed . get back ready go bed , discover ask sheet . hotel person came not want change sheet , refuse , . final experience ask call we car service take us airport . turn car unlicensed , open beer bottle back seat , one seatbelt break . go half block driver demand money original flat fee . seem hotel receptionist pocket ten dollar not tell car driver , want additional ten dollar we . demand take we back hotel catch taxi . strongly advise carefully weight negative management style free breakfast decide worth trip . 
 May 26 2008 	 convenient location 	 originally book hotel convenient location reasonable rate . not disappointed . ' ve stay hotel three time would hesitaste recommend friend family . good complimentary breakfast free interenet access . room clean staff polite helpful . the problem last visit room small - hardly room two suitacse - lot traffic noise surprising . 
 May 12 2008 	 extremely small pretty clean ; good location 	 book hotel 's web site $ 109 double room . staff friendly , bit stand - offish , helpful enough . room tiny , bed clean bathroom . hotel partly condo floor , interesting mingle local way in / out . hotel room old feel . not see creepy - crawlie traveler complain . use hotel base facilitate schedule audition kid NYC . well worth $ 109 , hardly ever room ; , happy general cleanliness room bathe sleep . would give hotel another chance could get nightly rate . hotel within great walk distance Broadway major street / ave . great pizza / shopping block away . 
 Apr 25 2008 	 excellent discount hotel 	 Ramada Eastside Inn 161 Lexington Ave . , New York , NYThis hotel Murray Hill section corner Lexington Ave . east 30th St. stay tenth floor three night mid - April 2008 . two adult - king size bed - non- smoking . per night cost , taxis fee include $ 270 . excellent experience . service people friendly helpful . room , like many New York , small , clean , bathroom include . basic cable basic television . continental breakfast great . bagel , cereal , donut , waffle , juice , fruit , coffee -- fresh abundance . clean woman maintain room constantly , clean replenish . block nearest subway stop , easily walk Empire State Building , Chrysler Building , Grand Central Station , Flatiron District . also right next door wonderful italian restaurant , Trattoria Belvedere . dinner two appetizer , wine , dessert tip - $ 130 ( generous tip good service ) . seek high - price luxury , look elsewhere , plan see many sight NYC use hotel simply base operation , might place . certainly plan return . 
 Apr 4 2008 	 Filthy Dive 	 let low rate promise tempurpedic bed fool . hotel bargain . Shabby Chic one thing , establishment dive . employee rude non responsive room filthy cockroach infest . case Hotel remind bad horror movie . room across mine , 5th floor , door foam shut . shudder think ! ! heater / air - conditioning unit self destruct first night cloud smoke still work leave . favor , avoid hell hole cost . inexpensive room rate decent location worth . 
 Apr 4 2008 	 Creepy crawlie 	 stay hotel 2004 visit pleasant time . book 3 - night stay 3 individual surprised condition much bad . condition room deteriorate early visit 2004 . peel wallpaper air vent look clean make peculiar noise even turn . could find another hotel 3 room available price range decide stick . one travel companion see cockroach last night staff duty hand insecticide say would handle next day . 
 Mar 1 2008 	 great value hotel mid Manhattan 	 arrival could tell hotel old - fashioned tired furnishing , however room clean . reception staff helpful pleasant . book early pay $ 140 per night consider excellent value location , superb mattress , free Wi - Fi internet connection eat - as - much - as - you - like cold buffet breakfast . breakfast room along public area clean tidy . large two - queen bed size room nice , view Empire State building window . 
 Feb 29 2008 	 ok Hotel - Poor Front Desk 	 hotel convenient , nice breakfast quickie , reasonable cost close hospital mom stay . NYC family medical reason hospital list several hotel area . call every one finally pick hotel . get price quote five night fax pretty quickly . arrive Friday go room , ask Ela desk much would cost upgrade room two bed . tell $ 20 dollar . say fine Dad come NYC share room rather get . Sunday ask Preya room upgrade price go $ 60 . say quote think wait next night . Monday ask nice guy Henry Harry give upgrade $ 20 . Tuesday go hospital day come back dad . go room lock . come back desk Preya say not sign time hold bag . ask manager say manager . say price $ 60 . tell quote twice two other extra cost $ 20 . say since sign without reservation price go . tell increase price two day reservation . eventually get real manager helpful either . pay difference since go 82 year old parent stand hallway wait get belonging . Ela Henry Harry whatever name , nice polite . never forget rude uncaring manager ( ) contact hospital let know inconsistency within group . understand price change every day change flip flop charge every day person rather suspicious . 
 Feb 29 2008 	 great place stay good restaurant nearby ! 	 be look place stay reasonably price , clean room friendly staff , place ! have bad NY hotel experience past one great . not wait long check , give list hotel 's amenity wifi also free great . bed also comfy - perfect be try adjust different time zone love coffee maker proper filter coffee . greet everytime go hotel nice something not get big hotel . could even see Chrysler building hotel room window . niggle one lift not work 's minor really . load restaurant around italian one next door superb . Ramada also good selection leaflet foyer city include money voucher go rockerfeller building . be good bar well , would recommend & quot ; Watering Hole & quot ; 106 East 19th Street . ' m lucky enough go back New York , will definitely stay . 
 Feb 27 2008 	 bed bug ( room 1009 ) 	 try hard ' find bed bug ( see early review ) . rather , find Ramada Inn eastside pleasant place . room bathroom clean everything work well – include wifi 10th floor . think mattress bit soft usually sleep futon , ' subjective judgement . find staff friendly , competent , helpful . somewhat annoying fact one lift work three day stay . staff front desk tell we safety paramount ' happy lift respect . certainly ' criticise attitude . location good – friend happy walk office East 43rd Street . subway station one block away . rate ( $ 129 per night ) seem good value money imagine lot place Manhattan expensive less comfortable . , would certainly check hotel next trip NYC . 
 Feb 26 2008 	 perfect quick trip NYC 	 hotel visit want luxuriate hotel experience . other stay clean , affordable , safe way visit city . Ramada definitely latter , perfect . be two block parking garage ( validate -- still expensive park , way cheap parking anywhere else ! ) -- two block 6 train , near plenty place grab bite . stay two little one , quite comfortable . room small , plenty big enough three we . quite clean . quite comfortable . complimentary breakfast morning pretty decent . lot selection -- yogurt , bagel , hardboile egg , donut , cereal , waffle , bread -- plus course juice coffee . downside nasty look get guy stocking room accidentally drop coffee cup . guy shoot dagger ! interaction staff member front desk , pleasant woman notice accidentally book smoking room quickly fix . would definitely stay . price right feel safe comfy . 
 Feb 10 2008 	 love hotel ! ! 	 love hotel . I ' ve Ny time even try new hotel always end Ramada Inn . I ' ve hotel alone sometimes boyfriend . I think location great , be really far thing , like walk many attraction walk distance ( 5 - 7 block away ) want ride cab usually expensive consider place far ... be great cause 's great neighborhood , many restaurant nearby still be crowd noisy . honestly room small , ' ve see much small ny . be small still big enough ( always come 2 giant package ) .The room clean comfortable , also view great . maids nice , someone else already mention . I feel home ! people front desk exactly friendly pretty efficient . there many service include , free internet service , free phone call US , free breakfast ( be nice breakfast ! ! ! ) .The tv good size , cable free . I ' ve hotel paie little cheap pay crazy price tv , internet , breakfast , phone ... 's worth ! average price pay stay $ 130 dollar , good price Manhattan everything get here . so highly recommend hotel ! Camila . 
 Feb 2 2008 	 great value hotel 	 stay week due family emergency NY . hotel great value - lovely free continental breakfast , free internet access , free daily newspaper , free local call room answermachine . bed comfortable although traffic noise expect everywhere major city . staff friendly . outside many restaurant diner . 5 min walk Empire State building , Macys , Broadways etc . get weekly travel pass $ 24 buy subway bus / tube save fortune taxi expensive . highly recommend buget - pay £ 500 in January pretty reasonable 2 queen sized room . tv satellite - ensuite bathroom , pay movie use nintendo . 
 Jan 18 2008 	 Decent place manhattan 	 stay hotel Christmas period . although front staff rude unfriendly , hotel centrally locate subway 5 minute away . great rate central manhattan . area seem little India lot indian type restaurant around . would not walk around much night time though - dubious character area . take standard room small since place stay , not mind . overall , decent long one deal much sour faced receptionist . 
 Jan 7 2008 	 ok price 	 pay 180USD per night seem ok . I think ok great . try get room high floor , say floor 7 since less noise low floor seem less fresh ( friend stay ) . also , try get room face side street ( 30th think ) less traffic . room kind small neat . breakfast lousy service snobbish NY - style . 
 Jan 5 2008 	 great rate great location nice staff adequate room 	 OUTSTANDING rate ( $ 140 / night AARP ) midtown NYC . location residential area - walk around like local less frenzied atmosphere . Subway Bus stop short walk away . nice staff overcome tiny , cramp room - be go stay room day night . room close ( bit noisy inconsiderate neighbor ) ' clean enough ' get . wonderful restaurant right across street : Penelope 's - inexpensive good food , breakfast , lunch , & amp ; dinner cash , reservation . Book Ramada applecorehotel website discount rate . 
 Dec 6 2007 	 Nicer expected 	 stay one night recent trip New York . last New York Ramada stay ( 34th Street ) horrible , bit nervous try one . building look kind old outside , turn quite nice inside . room two bed plenty room one person . usual array amentie -- coffee maker , hair dryer , iron . everything clean . business center internet access use free , well free breakfast . people front desk friendly . location corner Lexington 30th block subway . particular corner relatively quiet not much noise street . I accumulate enough point one reward program get free night . standard rate $ 250 , expensive . would stay could get well rate . 
 Nov 1 2007 	 really love hotel . 	 hotel great . location fantastic . away tourist crowd great neighborhood . Most staff not & quot ; friendly & quot ; , generally helpful ( come on . 's New York ! ) . maid delightful . would singe somewhat quietly cheerfully morning . always say & quot ; hello ! & quot ; , careful invade room not want disturbed , demeanor pleasant way start day . the room smallish , great New York . view spectacular . room 12th ( high ) floor . love lay bed able see city . ( free ! ) breakfast fantastic ! ! ! many option . cereal , bagel , bread , donut ( real donut . like fresh bakery donut ) . separate cooler unit yogurt , get , Red Bull ( regular sugar free ) . coffee always burn , be cute little cafe next door w/ great coffee fabulous vanilla latte . free wireless internet . nice closet . good desk space . , small standard , decent New York . small workout space , least exist . architecture layout build quaint classic . big complaint , course , price . 's pretty average New York , can not dock much . would totally stay . wish bit cheap , be come NY , be kind expect . 
 Oct 30 2007 	 bad ... 	 town convention Javits Center 10/21 - 26 stay good option @ AAA rate $ 246 night . MTA bus / rail schedule know walk 4 block catch M34 crosstown bus directly convention center ( 17 min ) . also pass Penn station , purchase 7 day unlimited metro local bus / rail pass upon arrival $ 24 proceed get Lexington St. stop . bus run every 10 minute . local metro transportation option easy hotel MTA map numerous brochure . Murray Hill Deli @ Lexington 34th good option sandwich / beverage / sundrie etc . I check - in @ 8:45pm present TripRewards card I d , however present invoice , noticed charge high AAA rate reserve website . question rate change said not show AAA membership card . countered & quot ; never ask & quot ; , show card ( make photocopy ) reservation copy , point change rate . process notice sign behind desk 8 foot high ( ' m 6 ' 3 ) , state must present AAA discount ID upon check - in obtain rate . classy methodology opinion . this charming , small , old renovated hotel , Murray Hill residential neighborhood , 10 - 15 room per floor . reserve double queen initially give room 1101 . unfortunately , minute realize floor wet 2 meter outside bath , remember another sign wall check - in , regard immediately report water leak ; go straightly front desk promptly assign room 601 . room leave back corner hotel view low building alley street , however quiet . the room small always NYC , contain two bed chair next one window . tempurpedic bed comfortable , however notice already occur inward sag towards middle one . bathroom small configure close door sit toilet , little annoying . however , phone bathroom & quot ; Arc & quot ; shower curtain provide space combo tub . problem CATV lose channel part one night ESPN another . hotel free WiFI work great inputte login / password ( obtain desk ) recognize week . open LinkSys network also available . the room clean service good . hotel contain small gym solely 3 piece aerobic equipment . also public gym locate 2 block away . continental breakfast pretty good go , although need splurge new double toaster , one sign say & quot ; not use & quot ; ( one side work accord attendant ) work intermittently . fourth day room key long work get another desk . next day key long work get another desk . immediately go room key also work . subsequently , hotel staff member escort room new one work . try unsuccessfully explain possible need new room key ( limited useful life magnetic strip ) young receptionist check - out . 
 Oct 24 2007 	 Inexpensive make sure confirm arrive late 	 hotel quite basic . location unremarkable . real attraction nearby . go top floor , get view Empire State Building 6 block away . need walk block get subway station . the negative experience check - in . arrive midnight . advise hotel email phone day . arrive , night manager say cancel reservation want charge we high walk - in rate . fortunately , wife copy email manager finally agree give we room original rate . end low floor room face brick wall neighbouring property . the price reasonable . book last minute difficult find inexpensive hotel day need . ( Part New York stay Radio City Apartments would highly recommend ; see Tripadvisor review ) . continental breakfast include adequate . one bonus , able pickup free wifi signal pay hotel internet . 
 Sep 20 2007 	 Fantastic 	 stay 5 night love - location great ~ 20 block Times square , 2 block subway station . hotel staff welcoming , room , although small everything need , bug - free clean . room quiet well . we want pay $ 200 / night hear hotel probably good value price range . good sized bathroom , toilet not flush well . complimentary continental breakfast nice . amazing indian food 2 block call Curry Hurry , time order eat back room . 
 Sep 17 2007 	 basic good 	 book hotel little trepidation 's least 20 year since good experience Ramada Inn . usually be bit shabby . however , usual mid - range hotel like stay ( Courtyard , Hampton ) either book solid $ 600 / night , give one shot . this hotel pretty good . 's luxury , room spotless , furnishing recent , tempurpedic bed comfortable , room fairly quiet turn air conditioning . real complaint . like pretty much everything New York , old building refurbish . room one queen bed , little claustrophobic , closet big enough put luggage would not trip it . WiFi Access free work well . ( call front desk get password login . ) shower control little tricky . turn knob first , go cold lukewarm water , back cold - ish . stop lukewarm hit spot water stop , will get surprise water heat ! trick open valve way wait water heat - cold first , perfect couple minute . ' m sure every room like , be experience mine . the neighborhood great - residential . feel like be live New York walk neighborhood , like be tourist . the hotel serve free continental breakfast want carbo load bagel , donut , cereal . coffee shop next door lobby serve egg , excellent Murray Hill Diner couple block away lex would like something else . I would stay . ' m still little skittish Ramada Inns general , good one . 
 Sep 12 2007 	 good hotel + location good price 	 look hotel New York 's go break bank hotel everything would need stay . ensuite room , good continental breakfast , friendly staff , internet access within walk distance major site . we would stay 
 Aug 13 2007 	 Ramada Inn Eastside .. 	 hotel average well . location bad Times Square 15 Minute Taxi Ride evening . staff luke warm unfriendly time time fine . last morning notice rodent baite station next Heating / AC unit . see sign rodent room happy see baite station room . Ramada Inn 's Wireless connection poor , able make work hour morning like clock work would cut . telephone Tech Support inhouse Wireless Network , call would reboot server would work short time cut . vacation maybe fate .. need connect not count wireless connection . elevator small hey not spend lot time elevator .. would probably look another Hotel next time NYC could find reasonble hotel somewhere else , would * * probably * * stay RAMADA Inn .. Good Luck ! ! ! 
 Jul 30 2007 	 Awise choice ny ! 	 hotel nycity cost 200 dollar less . didn´t en suite bathroom , didn´t include breakfast seem cheap tax add bill . Ramada Inn include decide consider NY price level , good offer ( 224 usd 1 night ) .location : 3/5it situate East Side close Empire State Building . taxi ride bus station hotel cost 8 dollar Carnegie Deli 11 dollar . 3 bus stop side street least 1 take Harlem Chinatown end route . the room 4/5the room clean smallish . ok . the bed excellent invest special mattrese nice . mattre alone can´t room air condition . set provide good sleep ever . didn´t notice disturb noice . the bathroom 4/5again , clean water preassure excellent . Breakfast:3/5It ok yogurt , cereal , pancake , donut fresh fruit . also energizer drink ! . bad ... staff : 2/5they weren´t rude look like didn´t care stand front . take care suitcase complain much . room matter ... would say simply can´t go wrong budget hotel . even fitness room , , 224 usd doesn´t seem high price . good regardsoscar denmark : - ) 
 Jul 19 2007 	 Price Location 's Fine 	 property fine price location . choosy want inexpensive location sleep night decent , free breakfast morning , property fine . property also brazilian coffee shop attach lobby . 
 Jul 10 2007 	 good 	 room clean & amp ; functional . worth price ! 
 Jun 24 2007 	 ok get good rate 	 stay june week 4 night . choose Ramada weekday hotel 3 4 star 400 - 600 $ night period . room ( king bed ) clean , bathroom . friend mine stay room queen bed , room small would not recommend two person . the room simple ok , mattress good . complimentary internet ( although think 's king - room ) convenient , complimentary breakfast ( fruit , yoghourt , donut , bread , juice , coffee , ... ) .I ' m give ramada inn eastside two five think room certainly not worth 214 $ night pay . get rate around 100 $ bit would recommend . 
 Jun 21 2007 	 good value overcharge offer refund 	 would write favorable review stay Feb ( clean , good location ) recently send friend bad experience . book room travel agent send friend reservation say $ 161 per night . hotel charge almost hundred dollar would issue refund . leave nasty taste mouth ... sure happen online booker well ... 
 Jun 19 2007 	 Expectations Met exceed 	 stay hotel four night June 2007 . lobby room clean , surprisingly little noise night . another unexpected plus : temperpedic bed . hotel staff friendly respond promptly request . expectation meet exceed hotel class . location also good . walk UN , Rockefeller Center , Times Square , Bryant Park , Fifth Avenue shopping . 
 May 29 2007 	 good value New York City 	 husband stay Ramada Eastside May 8 - 11 , 2007 time New York City hotel rate astronomical availability limit . able book room two queen bed AAA rate little $ 200 per night hotel charge $ 400 per night . arrive hotel 10:00 a.m. prepare store luggage check - in time , surprise able check room immediately . nonsmoke room clean quiet ( even though room locate close elevator ) . room fancy quite spacious functional ( free wireless high - speed internet access ) . tempurpedic bed new experience surprisingly comfortable . hotel arrangement parking garage locate East 32nd Street ( 2 block away ) $ 20 per night . complimentary continental breakfast adequate plenty fresh coffee ( important breakfast time ) bagel , doughnut , cold cereal , yogurt basic fresh fruit ( apple banana ) . ( wonderful little luncheonette locate two block away 28th Street ( Lexington Third ) call Stop 28 serve tasty hot breakfast reasonable price . ) also stay Ramada Eastside April 2006 king room . room clean , quiet functional , small . 
 May 27 2007 	 great location newly remodel 	 great hotel price . room newly remodel staff nice helpfull . great location everything subway two block away 28th street . breakfest plus , great start morning , bussiness center right across breakfest room another plus . area mostly residential make feel safe . 
 May 21 2007 	 great value mid - town 	 stay hotel time . great value safe area . indian Tibetan restaurant nearby . expect pay less half would pay nearby . little trivium ... absolutely convinced outside shot hotel use hotel Tom Hank 's movie , Terminal , play russian tourist get strand Airport New York . 
 May 10 2007 	 Excellent Value 	 travel snob impressed value money . stay almost hotel book city travel date , reasonably price room higher - rate room get terrible review . Ramada clean , bathroom recently update , breakfast nice addition . sheet little thin towel small , would still recommend hotel without reservation . 
 May 4 2007 	 price 's great value 	 evidently , be get lot expensive stay city since NYC last time ( 2001 ) . hotel room commonly hard find , especially tribeca Film Festival Yankees - Red Sox go weekend . luckily able secure room Ramada Eastside 30th & amp ; Lexington . three block away 28th Street subway stop 6 train , get Grand Central anywhere city want go . room nothing special , clean comfortable bed , appear do replace . continental breakfast free internet business center pluse . connect coffee shop hotel lobby decent italian restaurant right next door North ( Trattoria Belvedere ) . another good restaurant Les Halles , two block away Park Ave South . find location hotel good , especially since could not find hotel room available less $ 350 night . would stay could not get room Priceline . 
 Apr 12 2007 	 Great 	 stay Ramada Inn 30th lex Manhattan . wife three kid . room large two queen roomy bathroom . location great . quiet night centally locate . great Itailan rest across street well great Chinese/ suishi joint next door itailian place . eat place reasonable , kid friendly . good part stay new temper - pedic mattress ( next bed get one ) free breakfast ! bagel , cereal , juice , toast , yogurt , waffle Kids love taste great free . 189.00 night room spacious clean . problem morning leave hot water problem . bed BUGS BULL * * * * * . read another review . hard hotesl restaurant , hard please , complain Ramada restaurant across street 
 Mar 28 2007 	 's fine 's clean easy wallet ! 	 stay Ramada Inn Eastside March 22nd March 27th . price low could find Manhattan Murray Hill hotel room bath ( 179 - 189 night ) . hotel staff seem nice , hotel lobby clean ( fact hotel hallway smell kind like bleach ) , room fine . remember , Ramada Inn , W Hotel , not expect lot space luxury . expect smallish room ( size typical american bedroom ) comfortable bed , tv armoire , desk chair , night table , lamp , iron , blow dryer , phone , coffee maker , shampoo , several towel , etc . generous free breakfast serve low level morning . price , could lot bad solidly middle class hotel ! safe comfortable place . absolutely bug ! believe , check thoroughly terrified reading review have book room . complaint ceramic tile bathroom need regroute grout look kind stained year go , big deal , appeal look . nowhere put anything bathroom -- little shelf would nice . could not put anything top toilet tank slant , little pedestal sink room put anything . hotel management consider add little shelf bathroom . , fine place stay money . 
 Mar 20 2007 	 clean gracious staff stay 	 return 8 - night stay . room clean , comfortable whole time . weather outside go 70f start week , 25f near end . room always comfortable , hardly even turn heat / AC . room huge , stay two kid , plenty space . build new , seem maintain well , clearly do lot work lately ( new mattress , carpet , paint , fixture ) . breakfast normal continental fair , huge money saver . toast , bagel , donut , oatmeal , juice , fresh fruit , yogurt , coffee/ energy drink . eat well , 'cause rest day NYC cost lot ! staff courteous . Maids friendly trustworthy . plug toilet fix less 5 minute . we stay again . PS first - time visitor NYC , every stereotype shatter . sure , see drunk subway , nothing like expect . everyone cordial helpful . feel much safe , Chicago LA . course , aware surrounding , relax enjoy ! 
 Mar 19 2007 	 great value pleasant staff ! 	 stay wife two young child St. Patrick 's day weekend . overall pleased stay . room two queen bed large expect ( understand single bed room small ) , hotel clean , continental breakfast excellent , staff courteous helpful , location good . hotel good value would consider stay again . the real negative onsite parking ( discount public garage 2 block away ) , unload vehicle double - park front hotel . however , minor inconvenience grand scheme thing generally expect New York city . 
 Mar 17 2007 	 Best Hotel Eastside ny 	 stay Ramada Inn eastside numerous occasion . Ramada excellent hotel . hotel spotless . accommodation Superior ! people Outstanding ! 5 - star ! 
 Mar 12 2007 	 great location great price 	 return trip NYC stay Ramada Eastside W hotel - Union Square . record , stay Ramada two time ( span last two year ) negative experience mention traveler ' post . please new memory foam mattress room Ramada , actually comfortable mattress W ! also want mention , room Ramada small , decor little worn , price , can not beat ! location central everything opinion , extra add bonus locate mainly -residential area . also echo sentiment early post Brasil Coffee shop Trattoria Belvedere next door . outstanding ! especially Trattoria ! ! owner gracious consider fact party 8 ( include two child ) reservation - seat immediately ! ! food spectacular - come family italian ! sure visit , leave room homemade Tiramisu - 's house ! 
 Mar 7 2007 	 clean comfortable room . 	 visit Canada , stay Ramada Inn hotel New York , 161 Lexington wonderful new experience . offer good breakfast , fitness center , room service clean room . room offer new temper pedic bed comfortable health experience . vacation much well hotel ever visit year travel . really like location hotel , locate next good brazilian coffee shop shopping area . experience joy lovely trip . would recommend hotel boss family member . excellent way enjoy vacation hotel . Aftab Shaid Canada 
 Feb 27 2007 	 Update Beds Bugs Broom Sticks 	 stay hotel 21st Feb till 23rd . hotel clean well run . hotel replace every single matress clean tip toe , January , will see negative post people stay November . read post sleepless night , night due arrive New York , I m London , UK . anyway really tired , without anywhere go late night arrive hotel . staff really nice ask could pre inspect room bug move . staff complian take room proceed remove bed sheet check every nook crany room ( little small claustrphobic ) find bug even sign bug . would happily stay . beleive hotel say clean place Jan , Bed bug common problem many hotel patron bring clearing bug constant battle . room clean breakfast ample tasty , staff pleasent , guest middle class , clean great experiance , comme car use icon parking special deal hotel explain , save money . thought would put record straight . 
 Feb 26 2007 	 decent stay great price 	 wife stay past weekend . overall , fairly good stay price ( pay $ 139 per night 2 night ) . room small clean , although elevator strange aroma . staff ... average . definitely rude , indifferent , not really care stay . location quiet central much Manhattan . other say , coffee house next door fantastic . one caution drive NYC planning park : parking garage , although close , incredibly rude attendant . could understand angry gentleman say , literally peel car pull around we get . * think * mad not tip , normally not tip rudeness . ; ) 
 Feb 8 2007 	 bite ..... twice bite .... three time bite lose count 	 partner Colin bite badly whilst stay Ramada Eastside New York 8th 13th November response receive management complain totally unacceptable . during first two night receive number bite leg low torsos . could sure happen room third night notice small dark creature bed . absolutely horrified approximately midnight Colin go downstairs reception request something do movedto another room ( although would prefer move another hotel ' m honest ! ) .at reception Colin give & quot ; Raid & quot ; fly spray tell spray around room . say good enough understand manager contact via telephone tell member staff change sheet room . Colin arrive back spray bed carpet & quot ; Raid & quot ; member staff turn clean sheet Colin help put bed . ala seem trick bite night through . the next morning give new room move belonging . tell wait next day ( Monday ) speak Victor , manager , see could done we . night Colin feel rather unwell , bit sick honest . read instruction & quot ; Raid & quot ; discover poisonous come contact skin medical advice seek . tell spray room bed ! next morning , Victor finally locate take we office call man seemingly sort p controller . tell we room nothing could find say not problem . Victor confirm another guest complain thing within last two month could not find problem . rather stress point tell worried & quot ; Raid & quot ; especially since pregnant . ask would like we say not know sort people complain usually much . offer 10 % one night 's stay hotel tell acceptable put three night bug ride room . say could offer anymorethan ask detail someone complain . try give we business card accept name someone work reservation department . point say would look internet find company 's formal complaint procedure . say would call manager see could do . hour later contact tell good could done we 20 % one night 's stay reimbursement insect repellent andantihistamine would buy . fed point accept - wanted get home honest . complain via company website request adequate compensation experience assurance thing happen guest . would offer we anything else email Chief Executive via blog hear nothing . so summarise would say avoid hotel cost . New York fabulous city experience taint somewhat happen Ramada Eastside . 
 Feb 7 2007 	 beware Bed Bugs do not Bite 	 stay hotel three night , accomodation average standard comparable UK Travelodge except addition bed bugs/ mite . leave hotel cover bite fear luggage also infest . believe budget hotel would well standard without insect sharing room . 
 Feb 5 2007 	 Brilliant ! 	 ' m month late review love hotel ! fair enough not Waldorf meet requirement ! think everything look really clean tidy last day look bed find condom wrapper disapointing . loved breakfast - manage put 10 lb 5 day doughnut ! enough keep go nearly till tea time . thought staff reception helpful also week day breakfast room clean staff friendly indeed ! Loved Murray Hill diner road - popular sunday morning ! location great quite handy thing walk help burn calorie breakfast ! ! great place tourist want ' base ' sleep . 
 Jan 20 2007 	 find 	 easy check . view consider want smoking room 4th 5th floor smoke . really not room much . clean room bathroom . great water pressure shower ( watch step bathroom ) . complaint regard slow elevator ( maybe read review step bit ? ) italian restaurant next door ( Trattoria Belvedere ) awesome . owner premise introduce we also receive complimentary glass italian desert wine coffee . service wonderful . food incredible ! ! ! ! Deli street open 24 hour ( godsend ) . anticipate next excursion NY would definitely book hotel ! ! ! 
 Jan 14 2007 	 fine not mind bug bite ! 	 company book hotel look apartment . like another reviewer , room feel like sauna walk . call front desk ask air conditioning since would blow hot air ... telling , & quot ; not need air conditioning , & quot ; send someone & quot ; fix , & quot ; , mean send someone open window ... not close entire stay ( 5 night ) . anyway , minor inconvenience . reason depart early 3 - week stay eat alive bed bug spider something sleep . bitten 3 night 5 ... last night , incur 6 bite . ' m allergic bug bite , swell welt 4 & quot ; diameter . quite unpleasant make great impression new co - workers new job . hotel say ' ve never problem ... proof undeniable , lovely photo go post time . exist . 's week two day since switch hotel ... bite - free ever since leave , ' m pretty sure little critter still look another arm bite great Ramada Eastside . I not go post review online , Victor , manager , decide return call -- even though front desk encourage talk complaint . would not recommend hotel anyone . 's cheap reason . 
 Jan 3 2007 	 real find New York 	 spend two night late December 2006 . reasonably price hotel Manhattan . book single room double bed tv small sufficient spacious clean private bathroom . free buffet continental breakfast excellent fruit ( orange , apple , banana ) , orange apple juice , yogurt , bagel , donut , pancake , cream cheese , peanut butter , jam , cereal ( muesli corn flake ) , coffee , tea , cappucino . 
