perfection 	 family 3 stay 4 night long Thanksgiving weekend . warmly greet Frances check we without problem . room excellent , yes , window - seat cool ! nice cuddle blanket cup coffee watch shopper scurry around street . we traditional Thanksgiving dinner McCormick & amp ; Schmick 's , less 5 minute walk hotel . starbuck coffee lobby morning wonderful , wine reception evening nice . hotel set Wii kid enjoy parent sip wine relax . the hotel amazingly friendly comfortable . everyone staff smile face , even Thanksgiving day . mean much . finally , location . else say ? perfection . 
 Good need little updating 	 ' ve stay hotel time always good experience . recent trip , notice floor smell musty . room good wallpaper peel wall generally need little TLC . 
 Dec 9 2008 	 return visit Monaco- Proposal Time ! ! ! 	 come Chicago March stay Monaco , love much go back August . plan propose trip , splurge little book Mediterranean Suite travelzoo $ 189 / night . deal ! promotion book standard Med . Suite , email hotel tell engagement plan , upgrade we river view Med . Suite gratis . beyond greatly appreciated . Kimpton InTouch member well , preference note accomodate . suite large separate living room rather uncomfortable sleeper sofa bedroom , flatscreen tv . bedroom , swivel tv around watch Olympics infamous window seat . bathroom house humongous whirlpool tub , small standup shower tuck away corner seem like afterthought . view attach photo well idea room . be town , deal concierge quite bit try work detail special occasion , Ryan truly exceed expectation try plan special day . go Fox Obel day pick picnic basket well Target pick item , set local florist , even pick food day event Pastoral around corner . everything go without hitch . let sing praise staff member . meet Oscar , one Bellmen , visit March , recognize we visit , fun . also , couple new friendly face go ' round Jared Mark ( red - haired guy -- hope get name right ! ) . jared interested plan provide friendly conversation came go , offer suggestion grab late night Chicago dog , etc . now say , experience inconsistency stay . example , first two night room turn , exception , overall mood vibe staff friendly visit . front desk staff often welcome we back return day adventure like March , one ever greet we name entire visit previously do . know hotel book solid trip large convention town , addition hotel host wedding weekend well , obviously lot go . staff seem top seem exude cheerfulness , would say average exception folk . set bar high maiden voyage could not sustain perception we time . lastly , stay property , one comes expect certain level service . not feel attention detail . example , since hotel heavily involve engagement , halfway expect congratulation note , send piece cake , etc . overall , would give service Shannon ( director room ) Ryan prior arrival a+++ , service post arrival solid b . back ... oh , say yes ! ! ! 
 Nov 17 2008 	 great family - friendly hotel ! 	 husband stay business . suggest book Monaco family getaway weekend . TERRIFIC hotel family weekend Chicago . Great location- loop- walk distance great shopping Millenium Park . right around corner CTA bus stop . walk distance elevate train ( take train Midway Airport ) . staff Monaco friendly . housekeep excellent . room quiet- even though hotel seem quite full guest . room 's furnishing elegant comfortable . offer free pet weekend : goldfish room . 10 year old son LOVED treat . also enjoy Kimpton Kids gift bag receive check . concierge team also friendly full good information . 
 Nov 7 2008 	 great time Hotel Monaco 	 return great stay Hotel Monaco . river view king room 10th floor nice view . room comfortable staff great . hotel location perfect , close action noisy . 
 Nov 4 2008 	 's Chicago 	 confirm positve review previously mention . stay room 1112 , King River View . noise comfortable . the price bargain $ 191 night . would stay . & quot ; L & quot ; Midway Airport let two block Hotel . 's $ 2 ride - need $ 40 taxi ride . 
 Nov 2 2008 	 good location 	 since live Chicago area , look forward spend night city . find hotel uneventfully , drive hotel , discover one way street two way signage . one outside either take car tell we way go . drive away call hotel cell tell , & quot ; customer can not talk you . & quot ; drive around block try . time doorman take key . front desk check efficient , although friendly . room small . chair one desk . two & quot ; window seat & quot ; build window wells high could reach climb onto bed . closet hold clothe look like someone leave ; close examination apparent sale . bathroom nice ordinary . bath bomb $ 8.00 apiece . worth $ 259.00 plus $ 40.00 taxis $ 40.00 parking ? . 
 Oct 30 2008 	 Great Location Nice Hotel 	 stay Hotel Monaco weekend October 24th generally good experience . location terrific , overlook river nice area close restaurant shop . stay fifth - floor two - room corner suite great view . room comfortably furnish oversized couch chair , two large flat - screen tv , three huge cushion window seat look river . enjoy large whirlpool tub ample jar fragrant bath salt side . downside corner shower tiny literally difficulty turn around , limited room service menu , construction noise night street below . this boutique hotel , bar real hotel restaurant ; go door end hall lobby enter South Water Kitchen , casual - look place not try . hotel complimentary wine hour five six evening lobby , nice rather spartan : wine accompany solely dish olive glass fill breadstick . nothing room service menu way snack something light tide late dinner . one weak point room receive turndown service either night stay . second night telephone housekeeping minute 8:00 p.m. request turndown service , leave 9:30 dinner reservation . tell hotel provide housekeeping service 8:00 p.m . make sense suppose luxury hotel . , everyone go dinner 6 p.m. city like Chicago . , stay quite satisfactory staff pleasant . 
 Oct 30 2008 	 short stay perfect fit 	 spend one night Monaco , short stay . location perfect , close theatre . tall room , fun ( think tall ceiling , extra - tall robe plus regular sized robe ) . problem adjust shower head -- need climb side tub reach ! however , staff accommodate , ' m sure someone would helped ask . love lavender chocolate pillow , . 
 Oct 30 2008 	 enjoy stay Hotel Monaco - Chicago 	 nice hotel . Maid service excellent . clean room . wine hour night coffee hour morning nice extra touch . bed comfortable . problem outside noise . 
 Oct 23 2008 	 great location atmosphere service 	 stay Monaco six night Chicago Marathon year . location close Chicago River excellent central . River View room proper view include Trump Towers Marine City opposite side river . atmosphere room lounge comfortable . gold fish ( request ) daily wine bar ( 5 6 lounge ) help make feel ease . the reception concierge service great . very small gym though , care park ( marathon start ) close . 
 Oct 23 2008 	 Ni ce hotel good amenity noisy L 	 stay Hotel Monaco 10/9/08 - 10/13/08 Chicago Marathon . hotel convenient location get airport ( Midway ) . take Orange Line airport State / Lake Loop be short walk Hotel . hotel right river . arrive early ( 10 am ) able get room nice . room ok / poor view 5th floor wabash side hotel . room nice , big , small . bathroom nice size . could see river room weird 70 build side river . Extras hotel . pool . wine hour 5 - 6pm ( make ) . free coffee 6 - 9am use . staff friendly complete quickly request . room rate come $ 20 / night credit use attach restaurant . since Wabash side could screech L 5am-1am since hotel near L part loop turn . notice wabash side hotel . Got use however , never really interrupt sleep . close L , cta bus . however , visit Chicago probably would choose different location . 
 Oct 21 2008 	 good hotel - ( minor ) flaw ... 	 Monaco nice comfortable hotel excellent location . room spacious , comfortable clean . staff & quot ; friendly & quot ; describe , though - find rather & quot ; professionally friendly & quot ; , even bit smug ( concierge one tall front desk guy ) .We get good deal pay 180 $ per night . pay 250 - 300 $ ( regular rate ) would find expensive . hand chicago expensive city , come hotel ... * important * : book hotel , make sure book room street ( high floor ) . room back , street noise , constant & quot ; humming & quot ; sound ventilation system parking garage back alley -een 12th floor close window . really get nerve , especially night . first think sound come air condition room - realize turn ... not make long distance call room ! 2 minute call pay 20 $ - shameless rip . 2 thing cost Monaco point . nevertheless would recommend Monaco time - get & quot ; right & quot ; room ! 
 Oct 20 2008 	 Monaco worth money 	 travel Chicago daughter 16th birthday , book riverview queen room . great , beautiful , really blow away windowseat room look river . close theater district also right street architectural foundation boat trip ( definitely not miss ) . hotel staff sweet attentive , bring we little treat , offer we assistance find thing around town . second day , go & quot ; turndown service & quot ; . tired walking , room read we , robe bed , meditative music ocean video TV . soothe . 
 Oct 15 2008 	 Excellent choice 	 town run marathon . stay Kimpton property ( Hotel Serrano ) San Francisco ... love decide stay Chicago sojourn . great location heart city . walk distance everything . take blue line O'Hare ( $ 2 ) . ask receive high floor ( 12 ) comfortable west face room large seating area overlook Wabash ave . granddaughter love watch people go business street . attach restaurant good pricey . good safe room not believe will take laptop . nit ... advertise room coffee maker call one say many request put waiting list coffee maker . never get one . Cmon Kimpton ... coffee maker standard day . make provide pot hot water coffee marathon morning charge . kudo service ! good friendly staff .... extremely comfy bed . take everything get wonderful bed run race . 
 Oct 14 2008 	 Great Stay 	 stay Hotel Monaco Chicago Marathon find convenient , comfortable , accommodate . first room 2nd floor fine , though little close street noise . , second night , happily move we 12th floor , great big room little noise . also extend checkout time hour free charge . conveniently locate sight staff friendly . would definitely stay . 
 Oct 14 2008 	 Amazing Hotel Monaco - Chicago 	 recently host daughter 's wedding Hotel Monaco Chicago . wonderful experience every level , thank superior service attention receive hotel staff Mitchell Ray , event manager . say enough hotel Mitchell 's amazing service . every detail check carefully wed amazing event perfectly execute . the small european hotel perfect venue intimate evening . guest stop rave perfectly prepared absolutely delicious meal wedding cake . about 40 town guest stay hotel weekend . impressed hotel personel every request handle pride care . private dining room South Water Kitchen cozy convenient site informal dinner Thursday night town guest begin arrive . Emerald Loop Pub across street provide great spot late night drink treat . the hotel 's convenient location make tour city fun easy town guest . hotel wonderful intimate experience heart Chicago ! 
 Oct 12 2008 	 Lovely Hotel 	 husband recently stay hotel 2 night . get good rate hotwire . first time use hotwire unsure sort room would get . need not worry give really nice room . get hotel early room not ready . staff incredibly friendly helpful locked suitcase away say would phone we room ready . room really good size , comfortable , really clean quiet . hotel put free wine reception evening busy day sight seeing well receive . we also like downtown location hotel . side ( reason give 5 star ) expensive parking $ 40 per day . overall really like hotel would definately stay . 
 Oct 7 2008 	 Awesome 	 thrill Hotel kudo staff . good value close Oriental Theatre . 
 Oct 5 2008 	 Wonderful 	 want nice place stay night dinner , theater , daughter 's 21st birthday . place certainly fit bill . convenient everything include SouthShore Railroad station . staff friendly . small wine reception lobby evening Starbucks coffee morning . Ryan , concierge , order flower daughter nice bowl Hershey Kisses wait we arrive . upgrade suite although forgot make sofa bed , came promptly get set call later . window seat beautiful well enjoy drinking coffee morning reading book . 
 Sep 30 2008 	 Fantastic Hotel 	 choose hotel 7 night stay Chicago read many great review Trip Advisor . hotel certainly live review expectation . ask quiet room high floor allocate , also request goldfish stay wait we King Room upon check . hotel great location within easy walk distance many attraction great shopping , also numerous restaurant area . staff Hotel Monaco could well courteous attentive help every request question ask . would definately return Hotel Monaco fortunate enough visit Chicago would hesitation recommend friend family . 
 Sep 30 2008 	 Watch loop 	 great boutique hotel , sure many room , considerably less vast hotel centre Chicago . would stay read get catch out . the location fantastic couple hundred yard & quot ; magnificent mile & quot ; ( main shopping street city ) short walk cta underground station . it first stay Kimpton Hotel certainly will not last quality . particularly like free internet ( travel business lot ) , often add $ 30.00 day bill also love idea free wine 5 pm 6 pm ( anyone know vouch wine would add many $ $ $ bill ! wine offer quality oppose cheap plonk . also offer free coffee morning 6 9 - would nice also add biscuit two , can not everything . my concern reason give 4 star instead 5 , aware hotel really close cta & quot ; loop & quot ; , noise train considerable , frequent start around 5:30 every morning ! easily overcome sure ask room give onto back hotel . 
 Sep 24 2008 	 Great Location 	 husband stay Hotel Monaco 3 night really enjoy time . the room hotel overall cute . love striped wall bedroom big sun like mirror . enjoy pet goldfish ! staff friendly . able get ticket concierge cub ticket night ! man front desk like white chocolate ( staff fun name tag ) recommend good pizza joint dinner last night town . the hotel great location around corner Michigan Avenue . the good thing hotel small like big chain hotel . it definitely feel intimate ! 
 Sep 23 2008 	 great hotel ! ! ! 	 Based Trip Advisor rating , choose stay recent trip Chicago . our room awesome plenty space , clean quiet . staff helpful eager please . location also convenient two block Red line station ride Wrigley Field . we highly recommend Hotel Monaco would hesitate stay next time be Chicago . 
 Sep 21 2008 	 nice boutique hotel great service 	 stay several Kimpton Hotels disappoint . hotel cutely decorate good location walk distance many site . staff attentive - always greet ask anything need . couple downside - parking expensive even downtown hotel major city ( $ 40 / night ) , room back look directly parking structure , retrieve car valet take ( plan 20 minute ) .All nice hotel good location . 
 Sep 20 2008 	 Unbelievable ! highly recommend ! ! 	 say place stay far Chicago ! staff room valet everything ! ! bed comfortable , want sleep day bed ! goldfish bring nice touch super cute . ask ahead time would like one . bring cat hotel , room large pillow , right window room cat ( dog ) sit look outside . cat , usually terrified staying hotel , feel comfortable fell love hotel ! actually feel like home instead hide day night ! turndown service fabulous . request clean ( case cat get scared ) come fairly quickly . great job though clean . bed sheet clean bright white , even animal print robe wear ! shower amenity absolutely LOVED ! concierge great ! give we fun thing map would not get lose . location : must say GREAT location . read review book cross bridge get magnificent mile , honestly , be like 5 minute walk right begin street ! would never stay close hotel locate . be busy hear fire truck loud noises street teenager come home go , yet 's COMPLETELY safe . lot people walk day , even night ( walk night long day shopping ! ) oh , not do already , Chicago , must go Bobby 's Bike Hike ! amazing time , cheap GREAT tour city ! rent bike , tour worth , tour guide funny entertaining ! be summer month though , would recommend morning bike ride beat heat ! say hotel must try . 's cheap , be well worth money . can not go wrong hotel . pure luxury . 
 Sep 16 2008 	 Great Hotel .. Great Location .... real Gem ! 	 absolutly love hotel . arrive early morning concierge bring luggage room already available even though check time . room lovely , 2 large double bed big bay window window seat relax look river . even get goldfish delievere add treat ! right outside across small bridge magnificant mile .... bus tour chicago start right , everything within walking distance ! overall lovely hotel lovely city ! would definetly recomment friend I m back chiacgo defo go hotel ! 
 Aug 30 2008 	 Fantastic Hotel 	 hotel Monaco great hotel , locate heat Chicago River Loop , within easy distance major attraction Chicago : Sears Tower , Hancock Tower , Water Tower Place , Lake Front , Navy Pier , Millenium Park , also theatre ( go see Jersey Boys Bank America Theatre would recommend get ticket ) . stay three night end 10 day Holiday fly back UK o'hare . send option 4 week put waiting list upgrade thankfully available . upgrade upon arrival Mediterranean Suite large room split two large bedroom contae queen size bed small lounge area roll bed . room numerous special feature like jacuzzi bathroom well shower well use stay . window seat favour everyone . hour spend stare river street . lucky enough give room view river onto Washbee Street oppisote . shortage eat option hotel surround area . eat hotels restaurant & quot ; South Water Kitchen & quot ; one night food good quality prepare infront large open kitchen nice touch . within area around hotel seven eleven ( across street ) , corner bakery breakfast morning , countless Starbucks Subway numerous restaurant , be not short option . hotel offer Starbucks coffee tea morning help 6 am 9 am cookie 3 pm wine taste evening go evening meal 5pm-7pm . Hotel Monaco fantastic Hotel fault anything . next visit Windy City stay Hotel Monaco . and yes Goldfish ! request go email hotel add reservation . wait we room arrive . 
 Aug 18 2008 	 Loved Monaco 	 Hotel Monaco gem . hotel boutique hotel locate River North section Chicago . room spacious hotel accomodate . concierge , Ryan , extremely helpful recommend activity , entertainment restaurant . ask we question , able choose perfect restaurant spot visit . hotel near many local attraction , Millenium Park , River Walk , Magnificent Mile , John Hancock Center , El , etc ...... able walk everywhere ! evening , hotel lobby , wine cheese social take place , different wine day . lot fun staff extremely friendly . although eat breakfast hotel restaurant , good . great accomodate special request , item appear menu . Chicago July joy Hotel Monaco must return windy city ! : ) 
 Aug 17 2008 	 Loved Monaco 	 recently stay 2 night Hotel Monaco friendly hotel ' ve ever stay . staff member greet we hello upon pass lobby time day . double queen room huge window seat , mini bar , large bath , large flat screen tv , free wifi . Kimpton Touch member familiar chain , good 4 Kimptoms stay . also match internet rate we . the room spotless , service prompt . location north loop excellent - convenient El short walk shop Michigan Ave . , Millenium Park , etc . definitely stay next time Chicago . 
 Aug 17 2008 	 Fabulous Hotel 	 first time visit hotel property ! great experience fabulous view overlook Chicago river ! near enough walk Nordstroms great store magnificent mile . staff friendly ! room spotless bed comfortable . breakfast hotel dining room good ! would recommend hotel anyone ! also close enough great restaurant ! 
 Aug 17 2008 	 Monaco top ! 	 ( wife , teenage son ) stay Hotel Monaco four night mid - August . third Kimpton Hotel experience , although great offer Kimpton charm , Monaco exceptional . first , location -- river Wabash near Wacker block Michigan Ave & quot ; L & quot ; two block subway -- could well . second , facility outstanding -- charming decor lobby area room , modern flatscreen TV , wi - fi throughout hotel room , expansive bathroom , charming window seat excellent bed . river view room also afford excellent view Wacker Avenue , Chicago River , dazzle new Trump Hotel . Monaco 's staff among well experience anywhere . everyone friendly helpful , particularly Ryan Rich ( concierge ) , desk staff cleaning staff . speak latter , never see clean cart maid hall ; cleverly stay sight seem duck room without ever spot . maid leave note special treat we daily basis . hotel 's reataurant -- bit expensive -- also excellent . decor classic Chicago , breakfast dinner -- food service -- top notch . love goldfish we stay ! final note : Kimpton - in - touch member , felt receive even well service . include strong effort accommodate we good room available , along welcome letter small welcome gift await we room . , fantastic hotel experience . could recommend hotel strongly Hotel Monaco . 
 Aug 12 2008 	 hotel call Monaco 	 love Hotel Monaco ... funky interior design add bonus pet fish stay ... Hotel Monaco fantastic choice . with excellent location , friendly attentive staff really enjoy time Chicago . parking little steep $ 40.00 per night - parking major city . ooh nice soap lotion bathroom bath bomb sale $ 7.00 
 Aug 10 2008 	 wonderful serice character 	 hotel top quality . room well appoint extremely comfortable bed , big flat screen LCD tv , marble countertop bathroom , plenty storage , nice desk , comforable corner chair ottoman . also love window seat ! professional staff provide excellent service helpful every turn . location well . many amazing park , restaurant shop within easy walk distance . would definitely stay , fact , fear have disappoint stay anywhere else Chicago . highly recommend . 
 Aug 8 2008 	 friendly warm 	 company business conference Monaco . regret ability stay one night ! staff , doormen concierge , friendly professional . Stayed Room 907 , king , spacious beautifully appoint . linen towel fresh plentiful . refirgerator room . this room face street , traffic noise , sound & quot ; El Train & quot ; 1 block away . a goldfish bowl deliver , promptly name fish & quot ; Wilson & quot ; ; great company ! hate say goodbye ! meet accomodation Tokyo Boardroom , small yet elegant room perfect 8 people . minor issue wireless connection provide staff prompt attentive resolving . breakfast beverage pastry plentiful . so many attraction close : numerous list . Marshall Field's / Macy 's , major retailer , jewelry district , etc lot restaurant . pricey , nice place experience . 
 Aug 3 2008 	 great location heart Chicago 	 great property stay : - location great tourist : 1 block north branch river 's riverwalk ; 1 block ' l half block farth subway , transit route ( quieter ) ; 5 minute walk Millennium Park ( least expensive long - term parking area ) ; three block major live theatre ; close everything get everything . - without fail , greet door front desk coming go . - clean , comfortable , functional throughout ; room spacious bath shower excellent . although not confirm have give , have request & quot ; Tall & quot ; room Kimpton property offer : since end business floor ( well separate meeting room ) often high ceiling , shower head 6 inch 6 ' 2 & quot ; scalp , complimentary robe * actually * fit ( almost never ) would guess 's put us - love . - nice restaurant / bar premise free continental breakfast ( coffee / tea / juice ! , toast large fresh fruit plate person ) - free Starbucks coffee ( 6 - 9am ) wine ( 5 - 6pm ) lobby daily - pet - friendly ( photo album previous 4 - legged guest ) - city 's attraction within walk distance - either directly via extensive efficient transit system ; get CTA visitor pass unlimited L / subway / bus usage , be worth drive place . in contrast previous review , noise hear occasional siren ( downtown expect ) occasional faint screech ' l car turn end block - a / c like central air home , quieter . we would recommend property anyone - especially tourist - travel thru Chicago . 
 Aug 1 2008 	 2nd good hotel chicago ! 	 decent hotel , experience one good Chicago offer . we arrive 2:00 Friday , check 3:00 . room available , tell come back 3:00 . come back 3:00 , still room ? husband work clothe , meet . hot day , want shower change . tell would call we minute room . 4:00 still call , call . amazingly room become available , probably bad hotel . right next fitness center , across elevator . obviously tick someone actually expect check check time . usually never problem we , one day husband really need room . room view , rather small small bathroom . nothing spectacular . we call complain , forget , room tomorrow . we stay two night , really feel like pack everything stay one night . who know would gotten room anyway , already go sleep ? perhaps treat way , get great rate travelzoo promotion . not know . Klimpton touch member . we stay Nine Zero Klimpton hotel Boston travelzoo rate treat wonderfully , way . Monaco could learn something sister hotel . we enjoy hotel restaurant , South Water Kitchen . service good food , tasty fairly price thought . there also construction right front entrance hotel / restaurant , bit hassle . 
 Jul 30 2008 	 nice small boutique hotel : stayed suite ! 	 family ( two daughter 13 10 ) return stay Hotel Monaco one night ( also stay Park Hyatt~ write review hotel well ) . Hotel Monaco nice job making feel welcome Park Hyatt far greeting go . mean ph least 6 people meet car front desk . hm person help luggage ( dress bit casual , thought ) person front desk . front desk pleaant inform us room ready would call , do . we hotel hold luggage go see Wicked ( love ! ) . return room ready give key . unlike Park Hyatt , take luggage room . instead point elevator luggage come minute later . splurge stay Karen Newburger ( sp ? ) suite . since able find info suite , try elaborate much possible . the door special curtain pull back along side door pad . nice touch ! feel special arriving ! inside door small hallway closet contain robe ( safari print ) , even one child , Karen N. pjs sock buy , iron board iron , blanket , etc . blanket extremely soft~ dd13 love wrap around lounge window seat ! next dining / living room . small round table two chair , couch make queen size bed ( comfy accord dds ) , cupboard games misc . fountain hanging . make big deal fountain website 's ok . room also LG flat screen tv wall big window seat lot pillow . window seat ( think four total ) comfortable cushion sit ... comfortable could easily sleep ! window seat deep ton pillow . family love people watch , especially construction Trump Tower across street . also enjoy watch boat river . the next room contain king size bed comfy pillowtop mattress . bench foot bed , tv armoir also hold honor bar , large , tall chair small table next put 2 goldfish , 3 window seat . lastly bathroom large deep tub build sitting area like juccuzi . jet spray . sink adequate rolling cart underneath blowdryer , wash clothe , fizz bath ball ( try one ok , think cost $ 6 ) . shower stall small room shampoo , conditioner , soap . shower stuff corner like use much room tub shower afterthought . toilet room shower tub . one garbage whole suite , one bathroom . towel soft ! room service timely courteous . bellstaff friendly , help restaurant suggestion . departure , bellhop also efficient friendly . not partake evening wine festivity can not discuss . overall , family enjoy hotel would recommend . especially plan activity close . able walk follow place : Millenium Park , Art Museum , Oriental Theater , Chicago Architectural Boat Tour ( go early plan 10:00 ride ) . if / when return , probably try Rock Star suite seem like would fun . Karen N. suite great romantic visit . 
 Jul 21 2008 	 Nice Hotel 	 stay one night evening town . room quite large King bed , small desk , nice side chair table . visually pleasing design . large flat screen tv new . bedding find pretty average , little skimpy pillow . bathroom nicely size . tub shower pretty average . nice towel complimentary toiletry . complimentary wine service evening nice touch . do use gym , pretty small . look like 6 total machine ( tread , elliptical , bike ) . equipment look pretty new 's tight space . great service valet . parking $ 40 / night w/ in - out privilege . Front desk staff good . First rep give room 2 next gym . concerned noise , able move we another room far elevator , etc . drama , professional . I would stay w/o hesitation ; however , find preference classic presentation vs. ' hipness ' boutique hotel . ask : prefer white bathrobe , leopard print bathrobe ? Hotel Monaco animal print . 
 Jul 20 2008 	 Excellent hotel great location 	 Hotel Monaco really great location , block away Miracle mile couple block Millenium Park . Sears Tower also well within walking distance not mind walk will not problem walk Greek Town Lincoln Park ( ) .The daily , complimentary , wine hour really nice touch unfortunately around try out . if , leave car behind , will not need parking quite pricey , surprising consider location . everything clean , fresh modern staff helpful . bad thing noise elevate train around & quot ; loop & quot ; quite loud room happen next maid 's supply room quite busy morning . 
 Jul 18 2008 	 Great Weekend 	 great weekend Hotel Monaco , mother - daughter getaway . arrive Saturday morning train able check room 10:00 . request coffee maker goldfish check - in . coffee maker arrive within minute , goldfish arrive afternoon . window seat absolutely fantastic . 7th floor able watch city , include river . possible , get window seat ! theater shop convenient - easy enjoyable walk . staff always welcome we seem enjoy job . room well - appoint comfortable . el ( elevated train ) turn corner near hotel , loudly squeaky outside , not bother we room . great hotel , great weekend ! will definitely look Kimpton hotel city future . 
 Jul 15 2008 	 Fun ! 	 great hotel ! doorman greet we arrive , young man reservation desk young woman serve complimentarily wine , everyone friendly helpful . & quot ; stranger minute ! & quot ; room extremely clean , well appoint pretty view Chicago River , especially enjoy large window seat . loved purple polka - dot paper toilet paper roll ! hallway large quiet . restaurant next door , South Water Kitchen nice . location walk distance theatre , park , river ( take cruise ) , Michigan Ave . 's ideal . negative concierge nearly friendly invite rest staff helpful . self - sufficient traveler , would not really need service ( although nice ) someone come Chicago first time , concierge helpful . I would definately stay hotel would recommend . 
 Jul 14 2008 	 Fabulous Stay - 's detail ! 	 sister book suite Monaco use travelzoo.com 4 day sister weekend . previously stay Serrano San Fran , want try another Kimpton Hotel since love service . disappointed . register Kimpton point member , receive fantastic treatment ! early check , welcome note hotel management staff , smile everywhere . especially love hotel 's complementary wine reception . give we chance unwind share story day guest . highly recommend spend $ 20 fortune teller entertain - analysis handwriting errially accurate ! book mediterranian suite $ 189 / nt travelzoo.com . room spacious , jacuzzi , twin flat screen , large window seat . turndown service chocolate welcome long day ! location hotel good . stay explore city find location close everything . term food , 7 - 11 across street , lot local chain near ( Quiznos , Starbucks , Corner Bakery ) well upscale ( Morton 's , Smith Wolensky 's ) . love authentic Chicago deep dish pizza Giordano 's , deliver hotel ! impress standard care provide Monaco . housekeeper even leave we note bottle upscale water since notice love bottled water . attention detail welcome make we feel , definitely stay another Kimpton hotel ! 
 Jul 14 2008 	 terrific service ! 	 personal service hotel simply perfect . noise issue neighbor first night staff move we next day meeting . staff recognize we name make effort meet every need ! concierge get we ticket Jersey Boys ( sell month ) . short , everyone go extra mile . room clean , attractive , well - appoint . back ! 
 Jul 5 2008 	 Loved Chicago hotel view ! 	 great stay Hotel Monaco . love Chicago – far exceed expectation think train go ! hotel Reception warm , welcome quick . lounge area Reception , complete fireplace , comfortable although compact . enjoy evening wine reception – find wine nibble tasty generous . our room reasonable size glad pay extra window seat view ( see photo ) . Wifi free , bed comfortable , good closet size , strong shower , plenty vanity bench space bathroom , bath robe interesting , bright décor room nice change course window seat view . enjoy interesting view street river comfortable window seat . window seat rather high short we ( 5 " 3 " ) use ottoman climb . magnifying mirror bathroom excellent . we meal Southwater Kitchen – find rather expensive although convenient , food okay , surrounding attractive . hotel location excellent first time visitor Chicago ( like we ) . walk place although taxi plentiful cheap . 7/11 immediately across road hotel . architectural boat cruise leave nearby ( highly recommend cruise book ahead ensure seat ) .No negative really although poor hair dryer bathroom one heat fan setting . find $ notice item bit much , $ nightwear closet , $ bath bomb ( salt ) etc . return Chicago several week later stay Water Tower Place ( enjoy Monaco want experience another area ) . check Hotel Monaco quick easy . 
 Jul 2 2008 	 sit Pretty View 	 family four return 5 night stay Hotel Monaco . first visit Chicago always , use TripAdvisor plan vacation ( thank ! ! ) . disappoint outcome ! take Chicago Hotel Monaco offer . Hotel Monaco conveniently locate edge Loop Magnificent Mile -- 's wonderful place stay seek luxury without snobbery . side note , be suburb DC ( Northern Virginia ) accustom private transportation . however , base research , decide & quot ; rough & quot ; rent car Chicago . be glad not rent car . El less block away hotel bus stop EVERYWHERE . review Hotel Monaco ... entire staff friendly extremely accommodating . service always important .... receive extremely pleasant service doorman front desk . especially kind hotel allow early check late check . sometimes travel child may feel be treat inferior guest ... always treat kindness respect Hotel Monaco . room spacious , whimsical clean . fabulous view Chicago River Trump Tower . the major highlight include : * great hotel rate ! * WINDOW SEAT ! ! husband definitely manly - man never expect overwhelmed window seat ... favorite hangout spot * welcome note present management ( not want give away surprise ) * stuff fish , activity backpack ice cream gift certificate 2 child * comfortable bed pillow option ( choose pillow ) * actual pet - away - from - home ( goldfish ) * l'occitane product * turn - down service chocolate * complimentary wine reception evening 5 * complimentary fresh bake cookie 3 * familiar / friendly face among staff * complimentary Starbucks morning 9 ( think Hotel Monaco consider offer coffee day every day ) * close proximity everythingextremely Minor Complaints:1 . concierge give we wrong direction bus ( circle route map ) , not big deal would ' ve gotten lose anyway . could tell concierge well respect guests.2 . housekeeping adequate request extra towel first 2 night 4 member party ( provide 3 towel set ) . whereas housekeep prompt respond request ( leave extra towel , soap , clean tub , etc ) , would ' ve prefer proactive approach . Hotel Monaco keeper . 
 Jun 30 2008 	 great small hotel 	 group girlfriend fly Chicago celebrate 40th birthday stay Hotel Monaco . location perfect ! room great size 2 large window seat overlook river . bed comfortable even though right across elevator , hear noise hallway . service prompt friendly - call housekeeping bring extra towel room result someone door 2 minute . free cofee lobby wine night really nice touch . fun come back hotel end day get ready dinner drink lobby heading room . there construction go outside hotel lot scafolde & amp ; block sidewalk , noise never issue . ask goldfish , definitely add bit whimsy stay ! 
 Jun 23 2008 	 wonderful ! 	 Hotel Monaco wonderful . Mediterranean Suite , feature enormous living room pull couch , desk , chair flat screen tv enormous bedroom king bed , chair , sit area another flat screen television . bathroom spacious deep 2 - person whirlpool tub free - stand shower ( shower could touch big , though , be tough shave ! ) . favorite part room window seat - least 3 ' deep lovely cushion great place perch watch river read book . complimentary wireless internet great . housekeeping really friendly - hotel 's staff . we get suite 50 % Travelzoo sale , can not believe luck . spoil - really raise bar hotel standard ! convenient El train ( hear bit , not bother ) - block away . river also right , handful block Millenium Park - great location . 
