perky 	 staff great . be good thing hotel . ' ve stay time business London . previous visit change room room assign not scratch . time , booking , remind reservation not impress previous visit expect might get well room time around . basic , tired shabby . lumpy pillow . poorly order room . Hand hold shower . felt look like upscale hostel . 's pity , use great . 
 Aug 10 2006 	 Terrible Service 	 stay Myhotel Bloomsbury early August 2006 , bad hotel experience ' ve ever have . we stay many hotel travel great deal work pleasure , stay hotel range 2 star 5 star luxury service Myhotel Bloomsbury London par $ 50 night 2 star hotel , actually ' ve much well service bad 2 star hotel ' ve visit . arrive late check , welcome help . bottom lift break top floor lug bag first last flight stair , one night person take pity we ride lift bag walk 4 floor room we . we upgrade superior room 3 adult room , provide tiny room fit double bed desk , squeeze tiny $ 20 fold bed wall . bed small adult uncomfortable ( bad hammock ) pull 2 inch thick mattress onto floor first night . we complain next morning greet blank look guy behind desk , get manager much helpful bed replace well quality one ( still uncomfortable ) , pathetically grateful for . we expect choice pillow , music bag toiletry advertise , instead supply 1 tiny bar soap , 1 bottle shampoo conditioner 3 we share , second night get toiletry , call , never arrive , call hour later receive bottle shampoo conditioner shower cap soap , give go buy bar soap . the next night ask ice , never come either not bother ask anything else clear not go get anything ask for . they renovate bar restaurant breakfast basement room grey carpet white wall ( like room , decoration , similar hospital room ) window boom music , hint Feng Shui peacefulness . we check early 3rd day - thank goodness . Lift still break , sign fix time soon , lugged bag stair street 2 staff behind counter look offer help , lug last bag one guy get backside go hold door struggle , wait tip , not get . we book Myhotel last minute , book another hotel , come across Myhotel website look style , friend stay back say enjoy experience stupidly ignore bad review trip adviser look lovely website end long european vacation decide stay contemporary relax spa hotel last day . towel great , linen nice , - rest hotel terrible , room tiny hot , air conditioner break every hour would start bang rev deafen noise level , bathroom tiny laughable . staff ( bar one ) may well , mostly ignore we . non smoking room ( think whole hotel mean non smoking ) , yet every time came make smell old stale tobacco - disgusting . never ignore review , hotel trip stay fantastic , shock shame Myhotel bad level . 
 Aug 5 2006 	 decent value London 	 London certainly difficult place find hotel 's bloody fortune . decent place start £ 220 night , still get closet . always prefer stay Soho - Covent Garden area tend work , look place like Charlotte Street Hotel , Soho Hotel , one Aldwych , price stagger . Myhotel Bloomsbury close Soho Covent Garden , minute far fairly quieter area . walk Covent Garden 10 min . be right little park , feel really safe . 's pretty building next nice little pub Sushi restaurant ( attach hotel . ) hotel nice , room still small . London . ask something big cheap catagorie . , price £ 150 high catagory , 's relative bargain other hotel closeby . will find comfortable bed nice linen , good breakfast small gym job . free internet library downstair wireless room pay . think room simple nicely decorate , small stain carpet couch room . slightly gross , wish would keep stuff well . notice last couple time ' ve . end , accept possibility small , clean soiled room decent amenity central location , will fine place . want , pony extra pound move different place . sleep , fine . would give 3 1/2 star possible price crazy market . 
 May 12 2006 	 Feng - Shui ... really ? 	 myhotel situate side road Tottenham Court Road bar Yo Sushi ! . double room sofa space walk around bed ( unlike reviewer ) . sadly turn two single bed push together masquarade King - sized bed cover rather weird stripy acrylic fur throw . still bed ( ) reasonably comfortable square pillow . I suspect Feng - Shui guy get bit bored time reach room . bit tired sad rather sereen . couple oriental piece furniture , yes , sit alongside pseudo - victorian badly scratch desk Ikea- style light cabinet wonky handle . orange / red tilie floor bathroom stick like , well , orange / red tiled floor ! .Still , aircon work , windows double glaze cut noise ( open ) noise neighbour . reception flat screen tv not bad London hotel , either . it finish touch miss - decor need paint job , iron take 2 call reception 11/2 hour arrive rusty bottom , lift lurched floor floor . finally , checkout nobody offer find cab . bit Travelodge 4 - star price ( , hey , orchid room ! ) . 
 May 5 2006 	 relax oasis ! 	 stay Myhotel Bloomsbury 1st wedding anniversary lovely stay . hotel great location , short distance Oxford Street tube station . hotel everything expect 4 star plus bit . Extras make special us free magazine London room , library book , magazine , fruit drink , bath robe & amp ; extra large towel ! ! room good size , modern decor . impressed normal sized hairdryer Aveda product , whereas husband like magazine flat screen tv . air - conditioning also welcome due unusual hot weather ! ! staff friendly eager please we . read hotel 's mission provide relax oasis amongst busy street London , certainly . hotel nice bar / cafe , small gym treatment room . swimming pool spa , would give 5 star ! ! not problem noise within hotel end corridor room one side we . would recommend location ( Rm 219 ) less people go past door close lift . due great location , noisy outside window block well . always request room side street ( Bayley Street ) Tottenham Court Road always busy therefore , noisy ! many siren strange noise throughout night ! ! pay continental breakfast stay really nice . one healthiest breakfast hotel ! fruit , bread , egg , ham , cheese , salmon , croissant , etc . also love facv Innocent smoothie well wide range drink . overall , fab time would recommend hotel leisure stay . 
 Mar 10 2006 	 Terrible - would stay pay 	 stayed hotel 3 night whilst London business . would usually stay Malmaison unfortunately fully book . stay night look around alternative would bit different standard find one . paper look good . reality different . I give small hotel room ever . room literally exact size 2 single bed make particularly good spend length time - nevermind whole day remote working . generator outside room loud day refurbishment happen floor contribute noisy & quot ; zen & quot ; experience . I find staff rude , unhelpful make complaint , despite promise charge low rate internet dial - up , present enormous bill end stay . send letter complaint receive offer upgrade room next time stay .... never . communal area nice , breakfast good , although staff slow clear table . stay , not book single room . 
 Feb 16 2006 	 Awful Service 	 spend great weekend hotel several month ago , boyfriend book anniversary . unfortunately , unpleasant experience . everything good finished breakfast present bill £ 28 ! far expensive breakfast ' ve ever buy ... go query reception staff claim nothing confirmation slip indicate breakfast include rate . ' ve stay many hotel year give breakfast even though state confirmation slip , reception staff refuse consider argue 's fault . feel wrong give we information breakfast check without state be include , yet staff disagree . guess 's good interest advertise breakfast involve extra charge still think plenty opportunity stress guest rather give nasty surprise end stay . I feel particularly aggrieve reception staff rude , acknowledge criticism fail offer mitigation compensation . 's shame leave bad taste mouth ruin good impression hotel . stay . 
 Nov 22 2005 	 perhaps overnight stay ... 	 great thing bad thing hotel . great thing location , public area - library , ( free internet access ) bar cafe - great informal meeting coffee . overall really nice ' feel'the bad thing ( experience ) room . single like shoe box - barely room get past bed . ask move first room give huge generator outside window mean sleep night . second room least space.breakfast overprice little slow / painful service front . find great caff charlotte street road fancy something substantial ! ok - maybe sophisticated enough understand ' capsule ' accomodation book , business trip , need bit comfort little less scrimping room front . also feng shui principle hotel claim adhere surely do not apply sleep shoebox ! 
 Nov 7 2005 	 's pleasing people ! 	 boyfriend , Londoners , stay hotel special treat 30th birthday party say , one nice hotel experience ' ve ever ! believe bad review , maybe people impossible standard ? location quiet central , tourist one good area stay . atmosphere hotel relax service extremely friendly efficient , tell 's rare London . everything need take care immediately . our room , standard , lovely big enough need . loved design room especially bed , comfortable nice big pillow gorgeous fake fur bed cover . bath also nice - enjoy Aveda product fluffy bathrobe . we order dinner room service food good , nice size portion reasonably price . breakfast also impressive - fresh ingredient , lot variety friendly service . 's also room call Library fantastic . free internet printing , lot newspaper magazine free refreshment like coffee machine , bottled water , fruit pastry . the slight quip one reason book hotel treatment room , unfortunately expensive we . oh well , nothing completely perfect Myhotel near get . 
 Oct 24 2005 	 favorite money 	 money , favorite hotel London . stay last weekend third time past year disappoint . the room comfortable , modern , bed heavenly . room well stock nice touch like Aveda amenity , big bathrobe , Tazo tea Wallpaper magazine . hotel main street quiet , location fab . Energizer package , allow we enjoy super 30 minute head neck back massage full breakfast morning . contact Spa prior email schedule treatment . the library downstair great free internet access comfy sofas . do not get gym look clean sufficient light workout . negative : sound issue room - awoken neighbor apparently good time early Sunday morning , singing maid 9:00 cleaning room side . service good , except sunday morning breakfast -where dire need staff . 2 person serve hotel descend 1030am catch breakfast close sufficient . food quality however good . 
 Aug 7 2005 	 would definately go back ! 	 hotel situate prime location London , short distance walk near tube station . first impression Myhotel excel really friendly helpful staff checkin question local area thing see quickly sufficiently answer . room ideal size comfortable . decor generally hotel impressive modern . bar ' upbeat ' trendy , staff polite . really enjoy ambience bar small ' cosey ' . small gym internet access also bonus seem like excellent price attractive City centre hotel . would definately return hotel visit London would recommend friend family . 
 Jun 6 2005 	 Good Vibes need sort room . 	 read review site , book Myhotel via Lastminute rate £ 147 per night include breakfast double room . I agree reviewer location hotel excellent , service friendly efficient , general atmosphere vibe good , breakfast plentiful varied . in view however , let hotel room . double room fairly small problem . problem furniture furnishing feel cheap , bathroom ordinary , somehow doubt bed face large expanse blank wall fall within good feng shui principle ( mention feng shui apparently use design hotel interior ) . wear tear visible ( bedside lamp fall wall , damage double glazing , break slat wooden blind , stain carpet ) . tea coffee make facility minibar goody box ( bad news anyone crave cold drink snack / chocolate bar 2 am ! ) . flat screen tv good place awkward position ( side wall , lie bed twist body completely watch ) . wireless broadband work fine , half - way registration process actually find price ( £ 10 one hour 's use 24 - hour period - choice also available ) .On plus side , floor quiet peaceful quality atmosphere . provide fine ( Aveda toiletry , bathrobe , free Guardian / Observer paper , Tazo tea ) .Bottom line : would stay ? definitely price . might try Myhotel Chelsea next time London , will not come top & quot ; to - try & quot ; list . 
 Jun 2 2005 	 Great Hotel ! 	 Stayed MyHotel Bank Holiday wonderful time . hotel hip cut edge hi tek gym library kitte free internet PC 's . room huge sony cd / radio 's plasma 's bed huge . breakfast extensive serve room whcih include rate . thet open hotel Brighton hope stay finished . 
 Apr 18 2005 	 Excellent Location Fantastic staff Shame price 	 low figure put perhaps little unfair read review hopefully will see problem . firstly location . excellent , especially like bit retail therapy . 's Tottenham Court Road , 100 yard Tube Dominion Theatre . not know , Tottenham Court road & quot ; gadget & quot ; & quot ; technology & quot ; centre London . want late hi - tech kit low price tha place . be also 100 yard Oxford Street , everyone hear of . despite 's proximity hotel surprisingly quiet ( despite review ) London Hotel . road directly outside one - way street pretty minor get relatively little traffic . big problem noise find come inside hotel . not know kind sevice elevator something ( quite way standard lift ) 10 pm 1 am loud thump mechanical sound anoye . part reason low mark . anniversary kindly upgrade we superior room . well , would hate see standard room . must bear mind decor hotel minimalist chique . mean not want spend money furniture . reallt taste . bathroom par cheap hotel ever stay , although towel enormous supply bath robe . room also small ( although extremely high ) furniture look cheap . nice LCD tv channel work picture poor . also nice stereo tea coffee make facilite . fantastic view fire escape air conditioning unit build opposite , bit disapointing & quot ; superior & quot ; room . window building opposite also look right onto bed bit off - put London . positive side , bed comfy . now onto couple good point . staff food . staff friendly helpful . give example ; ask direction concert venue call & quot ; mean fiddler & quot ; . guy reception look internet we draw map show we get . 50 yard hotel tap shoulder receptionist say have find detailed map point we exactly build . certainly deserve praise . in morning breakfast ( include deal ) honestly say good full - english ever . English 38 year old imagine be exceptional . guess use high quality produce . service breakfast excellent . I shock , however , leave see & quot ; standard & quot ; rate room . close £ 400 ! ! pay £ 130 , consider central London marginally over - price . to sum : Excellent LocationFantastic StaffGood foodmassively overpriced pay full rateDo not expect anything average room . good business accomodation , good romantic break . can get bit noisey night ( traffic noise ) .would stay . honest , probably .... not think & quot ; hip & quot ; enough . 
 Apr 2 2005 	 excellent value Easter rate 	 take advantage low Easter rate hence find excellent value money . stay standard double small fine one person . bed comfortable room flat screen tv , tea make facility , bottled water & amp ; small desk . inroom safe . bathroom fine bathrobe & amp ; excellent Aveda product . ask room away Tottenham Court road , busy road , limit traffic noise . room service menu good selection dish trendy bar & amp ; Yo Sushi downstairs . also take advantage library downstairs relax , surf web stock supply bottled water , tea / coffee energy bar . small gym cardoiovascular machine & amp ; free weight . service excellent . staff friendly natural . location central & amp ; good want near Oxford St shopping theatre district . would definitely return could get £ 99 rate . 
 Mar 18 2005 	 love energy 's hip 	 Justed arrive australia 24 hour travel ... enter hotel , sense great calm .... energy great ! room excellent .. seem renovate ... huge plazma tv screen wall wirless connection laptop ... anyway , ask room 404 book . great hotel ! 
 Mar 17 2005 	 finally hotel really care ! 	 visit well lay website make booking tell preference turn find room prepare request - seemless ! great experience . without overdoing , staff quietly anticipate every need . reason come back next stay London would check myhotel Chelsea also would live high expectation myhotel . 
 Mar 17 2005 	 Outstanding hotel ! ! ! 	 top drawer hotel - good stay London come highly recommend friend complete devotee . I stay 2 night great time . hotel funky excellent value money . drinking bar next Natalie Imbruglia less ( Beth neighbour ) surround beautiful people . everyone friendly well - attitude arrogance , make change trendy gaff like . next visit London make point visit ! 
 Mar 17 2005 	 recommend friend 	 comfortable great service . beautiful hotel friendly staff . 
 Nov 16 2004 	 Myhotel still worthy visit 	 stay 15th November 2004 , pay 186 sterling b+b first time back 2004 . stay lot 2000 - 2003 be still good ever . 's small hotel stay alone book single room miniscule . always stay double try get breakfast include ( try lastminute ) . ' ve previously do grab fruit water coffee library go meeting . sevice 2000 , although good , staff try help atmosphere place relax big London hotel , feel like home . room overlook street may noisy , good WiFi reception must travel ........ nothing wake beer even pricey ......... least mean clientele right . new LCD TV 's room good . favourite bit .... relax basement Library area free drink comfy bed ........ one top 5 favourite hotel London ' ve stay hundred ..... come back .... 's fullly book price less 200 . 
 Oct 31 2004 	 much would double glazing cost ? 	 hotel well design staff exceptionally helpful .... be right next one busy road london windows ( least room ) old fashion wooden ' dual ' window , keep noise acceptable level . stay one night would enoughplus , hilarously , wifi connection room work fine ... sit right next room 's door .... move 2 metre away signal lose 
 Oct 24 2004 	 Myhotel try fail 	 nice hotel , overprice creature comfort . single room provide small dorm room might find . environment modern sterile , though claim fung shiu influence . get flat screen tv , desk closet . not toss bed floor . bath tub , fine toiletry . charge extra 14 pound breakfast include room cost . also charge phone . drink bar 7.50 pound minimum . hotel library free internet , coffee snack minimal fitness center basement . eat snack breakfast rather pay restaurant . impressed . 
 Jul 26 2004 	 Disappointing despite effort 	 travel London several time year , often try new hotel time . great location helpful staff aside , hotel disappointing . wall top floor room paper thin ( avoid room adjoining door ) amenity batter ( bath towel fray end , bathrobe hole ) . ventilation bathroom nonexistent , prepared steaming room . design lighting clean , bed furnishing comfortable , plenty closet / cupboard space . hotel bar / restaurant bad , room service . however , overall experience efficiency staff lack ( explain ingredient mimosa three time waitperson ; receive call inquire see another guest 's miss laundry , etc . ) lobby tiny often bustling , place quietly sneak - especially elevator extremely slow . 
 Jun 30 2004 	 thoroughly enjoy stay Hotel 	 find staff exceptionally helpful & amp ; friendly . clearlythe hotel 's great asset ! make feel welcome becomeour ' home home ' 
 May 25 2004 	 honeymoon London 	 spend honeymoon London . Hotel Bloomsbury pretty hotel near important sightseeing shopping area . nice restroom , gym library internet access . room big enough comfortable . love private athmosphere . next time London stay place . 
 May 21 2004 	 make honeymoon special 	 receive warm welcome lovely room allocate ! hotel location great shopping heart thing ..... 
 May 15 2004 	 Oye ! want stay 	 go open mind Hotel , stay Various & quot ; W & quot ; hotel , love . take chance . positive aspect hotel location . near trendy Charlotte Street , spend evening . friend stay Charlotte Street Hotel- $ $ - stay . hotel 2 friendly helpful people staff like 20 . not understand English . room small could Pilates / Yoga mat work . literaly , mat big floor . try open mind . use Aveda product . room size serious hassle . $ 300 night US . even close worth . one could help & quot ; Wi - Fi & quot ; hook lap top , need line , come wi - Fi savy . sad really , location great . 
 May 11 2004 	 Disappointing 	 disappointed Hotel , treat daughter seriously ill hospital four month , break family . on arrival hotel look nice , smile reception desk I m afraid . quickly book give room pre - book we Starlight Foundation grant seriously ill child ' wish ' . go hotel three daughter , two give room one floor we room 311 , daughter give 402 . much weekend break go floor order arrange outing other . on first evening tell reception bathroom window close properly bathroom cold , tell someone would tend , return evening dinner nothing do , nobody get back tell we even try close . follow evening around 8 pm daughter recieve call reception ask someone could come room change bed do daily 9 pm , day daughter realise ' do disturb ' sign leave door , bed could change , time try get ready evening result everyone moan ...... stress free do not think . I m sure bedding could wait one day . oh one thing .... make sure plenty cash credit card want drink bar , know four star hotel price high . nine pound ninety four penny exact one Whisky Diet Coke , & amp ; glass Diet Coke . Sorry Hotel be not expect London great ! ! ! 
 may 11 2004 	 Great Place Stay 	 stay MyHotel last year find one good standard hotel throughout Europe . the room desgine ulitmate comfort fairly well price prime location . all though thing stand guest service provide . everyone housekeeping staff front desk staff look every need . would recommend hotel people whitout doubt . 
 May 6 2004 	 treat like princess ! ! ! 
 Apr 2 2004 	 Hip 
 Mar 7 2004 	 great bar lounge bit noisy small room 
 Dec 8 2003 	 C'est Magnifique ! 
 Dec 4 2003 	 Loved Myhotel Bloomsbury 
 Nov 19 2003 	 ` ` W '' London 
 Nov 4 2003 	 home heart . lose bloomsbury . 
 Jul 14 2003 	 trendy bloomsbury trendy myhotel 
 Feb 17 2003 	 Lame 
 Dec 6 2002 	 worth money 
 Dec 6 2002 	 Bof bof 
 Nov 26 2009 	 zona si trova di meglio ... 
 Oct 14 2009 	 Zentrale Lage gut frühstück effiziente Personal 
 Aug 27 2009 	 Muy bien situado acogedor hotel 
 Jun 11 2009 	 Super séjour 
