way 	 hotel street surround residential building get real feel would like live area . find great diner nearby ( Joe Junior 's ) become regular breakfast place , laundry deliver , bar corner ( mumble ) great scallop restaurant , block Union Square 's shopping , restaurant subway . room ensuite glad week . second floor , could walk , good lift seem slow . amazingly quiet ( although air conditioning could rival jet engine noise , not ue ) clean enough . bed little hard double , would not hesitate go back location real star . 
 good value location 	 nice , quiet location near Union Square . hotel attractive facade , lobby room decent . share bath ( least corridor ) close room extremely clean , room comfortable quiet . desk clerk staff member saw , seem pretty detached . absolutely fine , might bother . would hesitate book room . 
 Aug 7 2008 	 good basic downtown accommodation 	 look generally cheap ( New York standard ) hotel , place go . room basic , share bathroom clean ( use anyway ) perfect location . one staff member little rude lack customer service skill , apart cheap place lie head night . 
 Jul 22 2008 	 can not complain location ... 	 stay Hotel 17 May 26th June 2nd . weather NYC perfect sight - seeing . first trip NYC . bit nervous since ' m girl be never mainland U.S. hear NY scary city young girl . really careful pick hotel go stay . course budget traveler since ' m college student look cheap nice hotel . find Pod hotel , Chelsea Lodge , Hotel 30 17 . 4 hotel locate good place price reasonable . even though try book hotel April , Pod hotel , Chelsea Lodge Hotel 30 not room since around memorial weekend . fortunately Hotel 17 room price reasonable . check location google map also map JFK LGA hotel . not far airport . plus , ' ve book 2 hotel expedia stay Hawaii really satisfied hotel , doubt hotel would suck . day arrival , check luggage first , since 9 morning . check fast easy compare fancy hotel like Hilton Ritz Carlton . 8 min away Union Square near main avenue like Broadway Park Ave . also lot good restaurant around , could beer wine night time near hotel . but problem hotel itself . I could not get sleep 2 night row . crazy people next door make noise night long aisle . Damn horrible ! tired walk around metropolitan need peaceful rest least 5 hour next day . call front desk 5 time moment . those crazy people make noise . irritated lot . yell keep slam door night long , seriously . wan na know bad thing ? go front desk first night tell trouble sleep night 's happen , call police . person front desk make mock . attitude toward thecomplaine guest totally wrong . get angry talking . feel frustrated . noise make happen again . also , card key serve bad quality . I try open door 15 min not work . go front desk change card key total new one , not work either ! ' ve change card key 3 time . and whenever try watch tv , keep shut channel several time . maybe weak signal station , 's problem . horrible shut tv couple minute show peak . but good side . even though 's share bath people choose stay floor not private bath , clean enough make people feel gross . besides location cleaness hotel , experience Hotel 17 horrible . would never recommend hotel anyone person can not afford little bit expensive hotel not give [ -- ] kind crap . never stay Hotel 17 . mean ! 
 Jul 17 2008 	 step stay Hostel 	 Hotel 17 feel like ' ve enter kinda surreal Jim Jarmusch movie , hotel check person chain smoke behind glass window there s ghost hallway . find decent rate online $ 60 night , steal NYC , get great top floor unit face street . might ' ve since stay summer 9/11 , hotel drop rate get traveler door . the bed pretty uncomfortable , bath shower european style - share door never seem close right crooked . place lot character , wallpaper kinda control pin stripe . tv never work 3 night . plus side , clean Gramercy Park near nice walk . pretty close everything well -- especially subway . price get 3 3.5 star . 
 Jul 13 2008 	 new home away home 	 stay 4 & amp ; 5 star hotel NYC could take tip & quot ; little hotel 17 & quot ; hotel safe , quiet clean . staff one good NYC , well keep secret residential street clean , close subway good food . one draw back would one elevator , daughter granddaughter use take bag room check rest time use stair problem . on We d. way subway farmer market union square amazing . Garmercy Park cafe place get breakfast food great not break bank . cab ride hotel 34 street $ 4.50 x tipfor three we . some reviewer say room small , triple plenty room bag extra stuff bring . try New Yorker room small get store bag bed charge double pay Hotel 17.not 5 star get real feel NYC SAFE , QUIET , CLEAN . 
 Jul 8 2008 	 Hotel 17 historic interesting 	 although give score 3 - hotel Midtown Manhattan pleasant surprise ! reason do not give 5 3 front desk worker . one worker ( James ) wonderful accomidating , 3 work evening absolutely terrible aloof . nervous & quot ; bathroom hall & quot ; completely non - issue . beautiful bathroom , rarely wait , completely private , SPIC SPAN CLEAN ! avoid room 20 ( 520 - 620 -720 ) literal CLOSETS - & quot ; double & quot ; bed room actually SUper single DOUBLES & gt ; however also stay room 03 ( 603 703 ) wonderful double -double - great rate double / double lovely room - large spacious . ( 01 room good SINGLES 501 - 601 - 701 ) James continually try move we nice room , incompetant would move we back - frustrating- arrive late give room away give whatever leave . even call day arrive confirm would arrive 11:30pm STILL give away doubl / double pop we triple ( SMALL ) somehow fit roll away- miserable night - walk put luggage . move 603 James Morning . -we check friend leave move double room - James assign we great room leave early - - GUESSED IT- guy give ROOM someone else -that night daughter spend 620 basically CLOSET ! miserable - later move back 720 friend retrune . - aside fact decor look like Disney 's TOWER TERROR ( agree ) - guess add charm : ) - pleasant stay ( closet ) -= 3 block l train -and 5 block Union Square subway pretty fun shopping . great bargain . would definately stay - rate great . however arrive late - think woudl call 3 - 4 time day - fromthe airport - arrive etc ... make sure hold good room - not- -spacious room . hotel clean - talk James desk- know listen . 
 Jun 20 2008 	 Delightful Surprise 	 delighful surprise Hotel 17 turn . hotel old world charm beautiful woodwork . single room small adequate . room , bath hotel clean . never wait use bathroom . bathroom extremely clean never see sign anyone use . note -the mattress extra firm , window unit air conditioner room -a little loud , nothing ear plug could not drown . room small safe , tv , nightstand , desk area hang clothe . room well insulate could not hear neighbor tv 's . nice affordable . beautiful neighborhood right 3rd , 3 block Union Square subway , Grammercy Park & amp ; NYU . safe . lot Europeans stay hotel . GREAT VALUE definitely stay ! oh not listen reviewer said & quot ; Bugs & quot ; never see one -either floor , wall crisp clean white sheet ! thank goodness read review satisfied guest . 
 Jun 18 2008 	 stay 	 husband stay 5 night Hotel 17 pleasantly surprised . I expect much pay around $ 150 night story cheap New York hotel actually little apprehensive might find . when arrive man checkin quite pleasant make way 6th floor small , nice lift . tell room private bathroom . floor 4 bathroom clean everytime went never wait . our room small bad . view top Empire State Building window . dress table , basin mirror , quite large wardrobe tv . even room floor two bag accessible . for price hotel absolute bargain really like neighbourhood . 3 small block subway restaurant diner street . we definately stay . 
 Jun 5 2008 	 Recommend Hotel 17 	 May 2008 , pleased stay Hotel 17 225 E. 17th Street New York City ( Gramercy Park ) . hotel clean well care . location , residential section , especially appeal . easy access public transportation ; easy access eat establishment , corner fresh fruit vendor . room small , clean well care staff . bed comfortable . advertisement speak & quot ; share bath . & quot ; feel quite accurate . two lockable separate private bath per hallway instead in - room bathroom . take getting use . one bath toilet , sink , shower , another toilet , shower . bath furnish toilet tissue , everything else need need bring time . packing roll two paper towel would great bring . seldom anyone bath need . one really need bath , one could always go another floor . hotel place towel room , along soap . room window ( view ) twin bed , phone , clock , small tv , desk / chair two night stand , lamp official closet , bring clothe hanger . read bed bring reading light . would certainly stay recommend anyone consider hotel . 
 Jun 3 2008 	 like home 	 arrive jet - lag Hotel 17 rainy Manhattan like come home tough day work . quiet street characteristic stoop safe , residential area give instant feeling home , away home . staff lay - back , ask & quot ; today ? & quot ; every time pass front desk . ( american custom quite exhausting european ) . , however , friendly , respectful , funny , flexible service - minded . room beautiful , could not help buy fresh flower put ice - bucket make even delightful . home New York , would not trade anything - include free suite Plaza . generally prefer luxury even average business hotel feel uncomfortable around anything 's ten year old , Hotel 17 . prefer hotel stay look exactly , wherever world . want feel would like actually live New York City , look - hotel 17 home . 
 may 26 2008 	 Fantastic Spot Budget Traveler 	 hotel wonderful . extras big hotel would , share bathroom , hotel extremely clean , desk staff pleasant knowledgeable , location wonderful . less 3 block Union Square locate quiet street . would highly recommend budget traveler want stay Manhattan clean safe hotel . 
 May 25 2008 	 great Stay . 	 really love stay Hotel 17 . staff helpful funny , room charming clean , shared bathroom ( worried ) clean always available need they . the neighborhood exceed expectation would stay heartbeat . 
 May 23 2008 	 hide gem ! 	 please stay Hotel 17.being simple farm girl , somewhat hesitant stay anywhere except well - know hotel . however , affordable good review decide give try . it excellent . yes - room old somewhat small . , make whole place unique charming . everything - room bathroom , clean . bathroom clean - almost point sterile ! downside ( probably fault ) , impression bathroom dorm - style , separate stall shower . fact . bathroom actually one small room toilet , shower sink . - clean , course , one floor . also private sink room never leave brush tooth , etc . I never feel unsafe neighborhood hotel . highly recommend ! 
 May 21 2008 	 clean quaint charming hotel 	 moment check think hotel outstanding ! ! charming decor lobby right extremely handsome blonde Desk Clerk Front Desk Manager work daytime . room small basic , however , super clean . not believe review someone say room bedbug . the daytime Desk staff extremely helpful professional nightime Desk Clerks perhaps bad ' ve ever see , talk cell phone time loud , assume ( arabic language ) , completely disregard customer , completely useless information whatsoever , extremely rude short ask something . well avoid together can . all great stay , would highly recommend place anyone seek lower price hotel hard get day . area really super ! ! 
 May 9 2008 	 great location 	 bit skeptical share bathroom , work fine . hotel locate great area east Union Square 's accessible . room small , mean cramp NYC standard . stay 2 occasion , first time sink room second time . never run problem wait bathroom bathroom pretty clean share ( hotel floor divide 2 half 2 bathroom toilet / shower ) . overall fine would stay , though would request sink room . 
 May 3 2008 	 great budget Hotel 	 book hotel look cheap hotel . happy go hotel share bathroom long room . bathroom always clean , share 1 5 room . we spacious triple room plenty space , not hot reported reviewer . also not problem online reservation , arrive 9 pm night find room available ready we . room free safety deposit box , room sink . lobby quaint clean , hotel really safe nice neighbourhood far good subway station serve almost manhattan . easily walkable Flatiron Times Square . would definatly recommend budget hotel speaker . 
 Apr 28 2008 	 get pay 	 although surprise little one get New York compare London Paris . hotel 17 dark , depress reminiscent 1930s Great Depression . glad stay one night . shared bathroom , tiny sink tiny room . plastic cover matress - feel like sleep old man 's diaper . one unreliable lift room ( 80 ? ) . also lodger , prepare strange character roam hall . if be really cheap like stay one night - will survive . otherwise , splurge stay somewhere nice . 
 Apr 27 2008 	 pleasantly surprised 	 pleasantly surprised ... Cape Cod , Massachusetts , USA initially search reasonably price hotel NYC startling result , culminate decision try share bath hotel due low rate good customer review . problem online reservation , confirm . find small lobby charming old world way - and bit dim dark carve wood work , picture frame wallpaper . elevator treat , beautifully ornate wood , although quite wait . since 8th floor , 17 yr old take stair time . european feel , fact , guest european . the desk person comment room ( # 808 - triple , non - smoking ) particularly nice , not know indicative other . , pleasantly surprised decent size , encompass 1 double one twin bed plenty room spare . ( stay much small room Comfort Inn previous stay NYC ) . mattresse comfortable , linen clean , carpeting appear newish , in - room sink bit cramp alcove . 2 large window offer great view neighborhood life . need run air conditioner whole time , never get cold - so not know would like room really hot . big fear , share bath , minor inconvenience . 4 rm share 1 bath . use shower 8 might necessitate short wait , , problem . everyone say , bathroom immaculate , bright newly tile . need remember bring soap / towel time , shower ... would great management would wall mount antibacterial hand cleaner . it be location fine not mind walk . 3 nice park nearby , lot decent , reasonable restaurant . family three , often take taxi , cost little subway . would return , although might check sister facility -Hotel 31 - next time , private bath , location may convenient . would recommend certain other , every one would enjoy old world charm . 
 Apr 15 2008 	 keep Expectations Low 	 certainly not W Hotel , expectation low will not disappoint . overall opinion great location need , safe neighborhood reasonably price NYC , ' m still bit shocked $ 150 / night get city .... tiny room w/ sink , 4 hanger open rack , bed comfortable brick ... ' ve comfortable camping tent , sleep ground bed double bed Room 707 . thank God bring pillow ! ! room really stuffy smell mildewy . completely lack air circulation . put AC time time , room definitely dankness . would prefer able open window ac.our room fairly quiet , except bang pipe seem happen couple time night . hot , particularly April , ... bed awful ! ! ! ! stay two night second night kidney not hurt much first night . also learn stay back side avoid shoulder go numb , not know could take third night ... like firm mattress . share bathroom always immaculately clean , never wait , although would nice soap dispenser paper towel dry hand . prepare cold shower ! ! ! front desk staff not particularly friendly helpful . we book room online , still sign credit card slip , second time check . ' m wait get bill see charge . be look comforable , charming , hotel great service , not . be look decent place $ 200 Union Square neighborhood , Hotel 17 . would go ? probably . ' m think might worth extra $ 100 / night stay W hotel ! 
 Apr 15 2008 	 - chaotic reservation 	 like another reviewer , reservation mishandle . book onine month advance - arrive - room - overbooke . go send right uptown - book hotel know people downtown . persistent gain another room magically become available - say would move ' proper ' room next day . not happen . maybe next day ? , although feel like equally like might not happen . disruptive - want settle temporary home . safe not work either . boil hot , radiator clank loudly night ... apology - make feel like favour . generally hotel feel chaotic - leave wondering go wrong next .. sister hotel , hotel 31 , stay later , much professional . straightforward manager - nothing go wrong , feel confident , would fix problem . so , Hotel 17 quite cheap NYC ( althoug cheap ) - certain rundown charm - probably will not stay . 
 Apr 2 2008 	 warm reception 	 spend 8 night Hotel 17 . yes hot ... open window . yes coffin like . sleep like baby . yes car alarm go every morning not need alarm clock . desk clerk 's recommendation Sunburst cafe breakfast spot . 2 minute walk . breakfast $ 4.95 include small coffee , atmosphere want .. could watch CNN big screen tv . Union Square 5 minute away subway . could Times Square 25 minute . walk Greenwich Village . comfort level day night good . get kick elevator , wife would race stair seventh floor always beat . surprise charge bill . bathroom always clean accessible . value money opinion . Birdy EdwardsWinnipeg 
 Apr 1 2008 	 ' ve always want go NY Hotel 17 great 	 husband & amp ; stay Tue - Fri ( 3 nite ) Hotel 17 March 2008 celebrate 27 birthday & amp ; love . room spacious , double bed , vanity , sink , clock radio , phone , & amp ; coat - closet like nook w / hanger . view look large building neighborhood . normally bed would hard husband exhaust every nite not care . tv channel limit . know get local news , public access , TBS , & amp ; Bravo . like spa resort ( like W corner ) , well lot Ramada Inns / Comfort Inns ' ve stay . location can not beat . restroom 2 door & amp ; always * immaculate . * far clean restroom find city . shower every nite & amp ; problem -- although 7th floor take little hot water heat ( pressure fine ) . 2 restroom leave wing & amp ; 2 right wing floor -- one occupy , 3 choose . elevator old fashion , mean be also slow . be hurry take stair . hall relatively narrow & amp ; dimly light . room decorate golds w / green carpet & amp ; little disappointed not mismatch room . style hotel add experience . front desk & amp ; housekeeping always nice . front door lock @ nite & amp ; buzz . neighborhood exceptionally safe , quiet , residential . be around corner police academy & amp ; private Gramercy Park ' m sure something . hotel 17 1 block away Gramercy Cafe open 24hrs & amp ; great lox - cream - cheese - veggie - bagel sandwich . 3 block away Union Square & amp ; subway . short walk East Village & amp ; Greenwich Village . location absolutely perfect . cater primarily european tourist . run lot Germans hallway . see guest 20 - something 40 - something . also apartment , famous resident Amanda Lepore . ( husband run . ) draw back Wi - Fi , mean rise price ( $ 128 / nite w / tax , season ) survive w / out internet . would recommend Hotel 17 anyone want New York experience & amp ; good , clean , affordable room . 
 Mar 25 2008 	 Mishandlied reservation problem Hotel 17 	 reservation ( make online ) three - night stay handle fine : room ready arrive , stay pleasant . room 204 , though dark , immaculate , well - maintain , quiet . would give hotel much well rating hotel misplace / drop friend 's reservation , make month ago , also online : arrive check 2:00 p.m. , front desk tell room available record reservation . even confirm reservation phone week ! view astoundingly bad managment , bad overbooking practice , . ( witness another couple reservation get turn away day . know often happen ? ) room friend open next day , room ( Room 211 ) next laundry room something noisy keep awake night . stay Hotel 17 , despite great location virtue . 
 Mar 20 2008 	 Hotel 17 - Budget - ideal seasoned traveller - tip 	 review hotel could put flash please read make decision . arrive Newark , get taxi Penn station east 17th 3rd avenue $ 11 ( inc tip ) . well worth long flight . hotel scaffold front time hear builder etc . we deal pleasantly efficiently get non - smoking room 8th floor . , lot comment slow lift , ever hotel Paris 's principle , slow ... small fine . walk stair wait small amount time . either way physical difficulty get stair impatient wait lift hotel 17 not you.the hotel room fine . 's ritz neither money think go . get mismatch wallpaper , clean double bed , sink room lot storage . perfect . annoying thing bird roof love make racket usual urban noise traffic etc.the bathroom always clean peak time morning busy . advice get early shower late night . absolutely clean.top tip - gramercy cafe 3rd ave nice reasonable food . tip get st marks ale house st mark great food drink . thirsty scholar 2nd great wee bar . molly shebeen be pack , expensive drink reasonable food . pete 's tavern expensive beautiful.other top tip - take subway . be $ 2 safe . not use night 's perfectly safe . would advise study line need use not seem many map actual station.other tips- go see knick game . not good team spectacle world great alternative . celeb spot good night . beer expensive tho.and take good shoe walk , cause walk mile ! ! cheap shoe etc try union square DSW filiene 's basement . great book store barne noble union square chill grab coffee read ! anything else ask ! 
 Mar 20 2008 	 Love Love Love 	 look really inexpensive place stay . use live NY help friend look wedding dress . briefly think stay hostel like $ 25 night decide would ok spending room not hear someone else snore deal anyone steal thing . hotel 17 good review figure minimum would not horrible . love location , be away touristy stuff , ' ve already do want chill . super close bus though since 's 2nd Ave ( bus head south way Ferry ) 3rd Ave ( bus head north way Harlem ) . Union Square block catch subway anywhere . the heat work well hot water . acutally sleep fan night home fan a / c work great since heat probably bite much need . much heat well enough ! word warn though , bathroom hallway , room sink , smoking allow low floor . say , 2 bathroom hall ( 10 room ) though one sink ( toilet tub / shower ) , toilet tub / shower always super clean smell nice . although room ashtray step hall could tell neighbor smoke ( alot ) , never smell room asthma usually smell mile away . wear white sock room stay white ( issue hotel icky floor ) . mattress plastic cover ( guess bed bug control cleanliness ) also mattress cushion top never would know not immediately check bed bug ( something everywhere ) .There one time bathroom full go hall . time available . I hear hallway noise neighbor tv nothing absurd intolerable . I ' m definitely stay whenever go back though try get sink next time . 
 Feb 29 2008 	 normal 	 hotel great variant price . low price Manhatten . responsive administrator . and good location - easy get upper part manhatten lower . subway station block . it little cold room , ask heater everything fine : ) 
 Feb 19 2008 	 beware bed bug 	 stay one night , get bit several time shoulder bed bug . read previous warning reviewer . pay get . 
 Feb 19 2008 	 Loved Hotel 17 	 great location , great price ( NYC ) . room 501 , get great light since face south 17th street . 3 different wallpaper - sound odd cool . bathroom clean fresh smell garbage disposal instruction several language ( abfall en den abfalleimer ! ) . could not find thing complain , will stay next time ' m Manhattan . 
 Feb 15 2008 	 clean safe cheap - girl ask .... 	 ' ve return week stay Hotel 17 New York . find hard know whether book hotel base read review website , seem contradict . ' m natural bear worrier , naturally worried ..... turn , nothing worry . hotel 17 great location subway place eat away hustle bustle safe area . pick thing people comment : 1 ) yes lift bit slow , antique - everyone always hurry . 2 ) desk staff generally helpful , apart one ' vacant ' guy , guess people not bear customer service skill - need work acknowledge people . none rude though . 3 ) Bed bug - load rubbish , see evidence . 4 ) share bathroom nothing worry always spotless always plenty hot water even everyone else building shower . 5 ) central heating - room always warm enough even snow , 2 night make funny hiss noise , loud enough keep we awake . if be expect Ritz be going dissappointe , think great value money ( £ 180 7 night ) . Tips food place - go downtown hotel along 1st 2nd Avenue block 's load place . to sum - would not suggest come romantic weekend ( unless be really tight budget ) ecclectic decor may put , young female student suit perfectly . pic bathroom , case want peek . thank read review , hope help make decision - enjoy holiday - ! 
 Feb 11 2008 	 not quite manage stay 	 book hotel week well advance arrival New York . budget want stay somewhere reasonably central . at JFK phone hotel confirm reservation ask good get . confirm get bus suggest . however get hotel tell room available ! complain naturally offer see anything sister hotel , hotel 31 . thankfully least give we dollar towards cab fare hotel 31 . 
 Feb 11 2008 	 great convenient hotel 	 two friend triple Hotel 17 first week Feb year , find great place stay . the room large , clean comfortable , share facility great shape staff friendly helpful . I would definitely recommend anyone travel budget , position great good diner bar nearby ( Gramercy Diner Still bar ) , couple block Union Square station . all , great time 
 Feb 10 2008 	 BIG mistake 	 stay last week mishap company leave without reservation one busy travel week New York . boy , mistake ! matter crack folk ... place DUMP ! hotel .. room house transient man . single female feel comfortable do not sleep wink . do not read review TripAdvisor booking ! certainly well place stay city $ 109 . carpet drape stunk take week get smell luggage stupidly place floor . 
 Feb 7 2008 	 Great Location frill 	 Hotel 17 great deal excellent central location . large room share bathroom clean . never wait use shower toilet . hallway narrow , lobby small hotel great traveler budget . not expect lot service / interaction staff . bed comfortable ' ve ever sleep . guest encounter young Europeans . Larchmont downtown could compare hotel . two , would say Hotel 17 well condition , although preferred Larchmont 's Village location . 
 Jan 27 2008 	 nice place ! 	 wife stay four night 2006 . hotel clean didn´t problem share bathroom . hotel locate pleasant calm area , near subway , nice coffee shop , green market . we surely stay . tip : come JFK subway , remember drop 3rd Ave x 14th St station . ´ ll 3 block away hotel . 
 Jan 15 2008 	 outstanding location 	 stay three night Hotel 17 late December . enjoy outstanding location ( away mid - town 's throng high price ) , helpful staff , cleanliness , confy room . regard room , ( like 507 ) loud pipe noises night ( probably water hammer ) . complain promptly move next morning ( thank ! ) . talk guest mind noise . there excellent dining option around hotel . one Casa Mono ( Irving Place 18th St ) another Chino ( 173 3rd Ave ) . breakfast , walk block City Bakery ( 3W 18th St ) . great option value local crowd . we definitely stay 17 next time go Manhattan . 
 Jan 13 2008 	 lovely little place 	 2 girlfriend go last minute New York trip catch friend , need somewhere relatively cheap stay yet kind picky . worry alot safety , especially be 3 girl twenty travel alone , also cleanliness let face , noone would choose stay somewhere grubby . ' ve read nightmare review ! anyway cut long story short , scour internet eventually agree could deal share bathroom mean stay somewhere central not go break bank . pleasantly suprise get room . 3 we quite large room 2 double bed . ( add photo ) AC work fine thankfully unbelievably hot arrived . room clean , washbasin room hairdryer . ( one thing truly dread ) share bathroom always clean , never toilet paper , wait use morning understandable everyone get ready check go sightseeing day . old fireplace room nice touch , add character . basically pleased choice . lift also interesting , however refuse get 2 people time ! overall , would definitely recommend stay . really like place . good location , 's Duane Reade right street sell pretty much everything could need ! 
 Jan 6 2008 	 funky quiet small 	 go New York City two - day seminar need mid - price place stay far Cooper Union . find Hotel 17 Hotels.com seem like want -- something little character bland , joyless franchise motel overprice , overdone , corporate conglomerate hotel chain . hotel 17 right . reception polite courteous check - in . room small side , window view . desk , dresser closet . single room share bathroom , hall couple door . problem bathroom occupy , ever bad shape . elevator fairly quick quiet . the hotel bit dank cramp -- 's old building -- overall place keep tidy , clean seem competently manage . 
 Jan 4 2008 	 Charm 	 second time stay Hotel17 ... 's luxurious hotel get charm oodle character - mention great location . room spotlessly clean arrival , bathroom keep clean throughout stay front desk staff helpful . book Expedia problem whatsoever reservation . Hotel17 really romantic getaway - try nearby Second Home Second Avenue . instead , would recommend Hotel17 single friend travel together . check East Village , St Marks Place , Alphabet City , Union Square .... get subway go downtown . good city world . 
 Dec 28 2007 	 Comfortable noisy . 	 hotel need explore New York foot . Close Union square huge wholefood market always get breakfast starbuck within 3 minute away great location . ask twin non - smoking room 's get , back build high space four suitcase get interrupted traffic / late night drunken noise whatsover ( except occasional siren NY hear ? ) great place stay reasonable New York . 
 Dec 10 2007 	 room inn ! 	 wife arrive hotel 1 am 2nd Dec take taxi direct airport . confirm book email phone , inform hotel would arrive around 1 be due time flight . I even phone 24 hour arrival make sure problem arrive time . when arrive guy reception ( JOHN - see comment post ) say room give away arrive 6 pm hotel totally full . I explain check would ok arrive time , say not know anything . ( point apologise hotel 's mistake . ) make call hotel 31 ( sister hotel 31st street ) say could go night instead . apology . I ask would get . say could hail taxi outside . ask would pay taxi . give $ 5 . cost $ 8 . still apology . a disgraceful experience round . would receommend hotel anyone ! 
 Dec 4 2007 	 fantastic location shame central heating ! 	 book Hotel 17 mainly price location , also review have see . hotel quirkyly decorate quite kitch , think suited make nice place stay . cleanliness never problem , even share bathroom . first bit worried share bathroom , especially 6 month pregnant , ever wait even , not long . the room basic livable . standard double small double bed large single . bed hard ( end swap room ) enough space luggage purchase . the hotel fantastic location , especially food . subway Union Square 5 minute walk away , market Union Square Saturdays . Gramacey Cafe hotel corner , serve good breakfast extensive menu ' ve ever see ! service fantastic definitely great find . opposite Gramacey hotel Mumbles Restaurant ( hard miss , watch ) , serve good burger ' ve ever taste excellent service , expensive either . Pete 's Tavern round corner hotel great bar restaurant good food , price service . the thing let hotel staff really could not bother work . ask room change first night ( explain later ) morning receptionist say would come back 1 could not anything , go back 1 afternoon receptionist say do morning cleaner would not able clean room , would mean could not rent move ! another evening wait 5 minute receptionist cigarette whilst wait reception ( view ) phone ringing constantly - ignore we . the central heating mess ! first night wake 5 time radiator air pipe sound someone hit hammer full force . ask move could not switch give portable heater . not work obviously problem air pipe portable one useless room end freeze cold . move side hotel different floor problem manage solve turn . leave room freeze again . shower morning pointless run hot water . wait hour rush shower die water still freeze . hear cleaner 's walkie - talkie everyone phone reception say hot water , give try . would think price pay have least get hot water ! be glad not pay double room bathroom . there tea / coffee facility room stay , disappointing return full day . otherwise like hotel location , need improve thing make definitely worth money ! 
 Nov 30 2007 	 Charming hotel 	 really like european hotel style , nice woodwork funky lift . personnel seem relatively friendly competent . hotel clean , quiet well locate . lot restaurant major subway stop block away . major complaint lack hot water . one morning shower go warm ice cold stay way . day warm , hot . room private bath . 200 $ plus tax one would expect hot shower . otherwise room comfortable , large enough coffee maker decent mattress . 
 Nov 28 2007 	 Fab Location - Standard Hotel 	 recently stay Hotel 17 5 night generally quite impressed . service lobby fine , despite read bad review . room ( 807 ) large average , plenty room store luggage many new purchase ! decor kitsch mix quite charming clash stripe wallpaper weather wooden furnishing . major reservation idea share bathroom , apart morning rush never occupy . would avoid room 806 though - door directly opposite bathroom imagine be quite noisy , especially wall seem paper thin . term location - hotel fab plenty great place eat / drink within walking distance . try cocktail ' olive ' Park Avenue chic start evening . would happily recommend Hotel 17 nothing else 's location price ( cheap ) 4 word advice anyone think staying - beware bed BUGS ! ! ! ! 
 Nov 21 2007 	 great value 	 book hotel 17 boyfriend recommendation friend positive review site , well find great rate hostelbooker . want echo good comment - great value hotel excellent location , feel really comfortable . bit nervous arrive , sure share bathroom priority location price , also want somewhere could relax day city . disappoint - really lovely , big room ( 603 ) extra bed even though book standard double , clean , light , decent tv lot charming furnishing ! never wait use bathroom always keep clean , nearby subway union square handy part city , able walk easily east west village , low east side etc good bar , shop restaurant . couple minor flaw - first arrive service little surly , would nice access proper bath well shower ( tap bath ) . minor detail - overall love hotel would definitely recommend anyone look stay new york do not want blow budget overprice hotel ! 
 Oct 31 2007 	 Hotel 17 	 book hotel see good review disappoint . hotel clean , friendly staff even though share bathroom never problem cleanliness . this budget hotel , essentially place sleep not expect anything . however luggage storage ample information hand regard New York . the hotel central nice area , union square 3rd ave subway station block away . also nice cafe serve huge amount food corner 3rd ave . if want cheap quality hotel . also book way advance also get good price . come back New York future would not hesitate stay . 
 Oct 27 2007 	 ok MANHATTAN PRICES unacceptable OTHERWISE 	 know exorbitant price Manhattan choose one review read tripadvisor , really afraid budget hotel . hotel 17 quite clean , also old - fashioned uncomfortable . rate & quot ; 2 & quot ; be speak Manhattan hotel , otherwise would & quot ; 0 & quot ; less possible , be absolutely exorbitant pay much dump . first time NYC know 's normal stay bad hotel pay much . unfortunately , be way . 
 Oct 26 2007 	 Location Location - clean comfortable 	 stay super touristy - expensive Midtown Manhattan , Hotel 17 welcome change . walk distance Union Square , Subway , East Village , short taxi / subway ride SoHo , Chinatown , downtown make hotel perfect one couple 30 + traveller budget . expect Ritz - room clean , quirky comfortable . slightly noisy aircon worth comfortable , tv provide entertainment want zone relax . bathroom always clean , although sometimes wait , fact 4 every floor mean desperate could always go next floor down . overall , great stay , would definately recommend traveller budget do not need bell whistle . ice machine first floor also good feature , consider mini - fridges room . 
 Oct 25 2007 	 great price 	 room bathroom nice , new fixture furniture . high ceiling , wood paneling . good location . downside noisy , hot radiator head bed . blizzard hotel accommodate let we extend stay change room . 
 Oct 25 2007 	 great location clean confortable 	 Location good , bedroom really clean , also share bathroom . feel really confortable ! 
 Oct 20 2007 	 could perfect ... 	 much like hotel : cheap New York , centrally locate many good diner , restaurant , supermarket , etc . nearby . definitely stay , next time sure mind two things:1 ) stay clear room 204 ( private bathroom ) room close kind & quot ; AC - unit & quot ; /generator - thing locate alley window next bed continually make much noise completely impossible sleep room - usually squemish . sound car run right next bed ! guy man desk night arrive act oblivious complaint , although possibly believe one complain . follow morning nice helpful young man , James , move we different satisfactory room , though - room 316 . air conditioning room loud , seem case everywhere hotel.2 : stay clear car servicethey rip big time . upon arrival choose destination charge much large amount money inform service would cost hotel . upon refusal pay outrageous price ( charge $ 15 agree upon hotel drive JFK ) , attempt intimidate handing cash . 
 Oct 16 2007 	 good location great price 	 need room Saturday night October , Union Square area , not cost much . place choose , either book much $ . find place thru networking . room $ 150 double bed bargain . decent size . share bath concern we actually fine . front desk inept give direction . parking block away garage . safe neighborhood . would stay must neighborhood . definately place stay child . 
