great 	 stay three night Thanksgiving . choose Executive room ( high floor ) 12 floor - high go quieter room . street noise get bothersome . clean well furnish room - although trouble tv local station operational ( something change system ) staff cheerful helpful time . tradition put beverage near elevator . day get unusual tea time bowl & quot ; cucumber water & quot ; different refreshing . would describe hotel European , small , new , efficient modern necessity . we would go back . 
 Sep 13 2008 	 Mediocre Stay - nothing Special 	 husband stay Hotel Adagio September 8th September 12th . book Expedia , look forward see city never before . location : location hotel good , nothing great . go right hotel block , Union Square , go leave hotel block , not - so - nice neighborhood . Hotel Lobby : hotel lobby nice , thing nice hotel . one girl front desk - Marie - rude we check . Joel hand , sweet helpful . room : room date . almost feel like 70 's flick . picture website give false picture room really like . bathroom seem renovate clean , however room gloomy . air conditioning room work well , everytime come back room , AC . bed uncomfortable . sheet bed rough compare use . feel like sandpaper ! ! ! ! gross orange pillow bed filthy , also dark spot actual sheet bed . one day find big puddle water middle bathroom floor . look like someone leave bag ice melt floor bathroom . Cortez Restaurant : restaurant inside hotel ok , expensive . piece chocolate cake , $ 12 . husband drink ( small glass might add ) $ 13 . ridiculous ! Joy Life Club : Joy Life club & quot ; point reward & quot ; system . apparently give point stay location , redeem different amenity . sign online booked hotel could get free stuff . website let choose want & quot ; free gift & quot ; arrive . pick bottle wine , let tell - never see . also let pick & quot ; reason & quot ; stay Hotel Adagio . husband 's 30th birthday - never acknowledge hotel . all , would not stay place . website show luxurious picture hotel like . shame . 's lie . 
 Sep 11 2008 	 great hotel 	 stay Adagio 2 night August 2008 . hotel good location , block walk Union Square . room quiet give central location . hotel staff helpful local restaurant recommendation . would definitely stay . 
 Sep 7 2008 	 avoid Adagio 	 hotel worth money . listed many site 4 star hotel- could far truth . true lobby beautiful , STAYING Lobby ! pay $ 160 night , & quot ; executive suite & quot ; 5 day , rate find hotels.com . picture ( verbal description website hotels.com ) explain room 400 + sq ft , sleeper sofas , update bathroom , expansive view , etc . case . yes , 16th floor , room small bathroom straight gross ! multiple challenge , happen & quot ; four star & quot ; hotel , would met accommodation courtesy- something hotel adagio offer . notify we annual schedule fire alarm time , get ready go eat anniversary- walk 16 flight stair heel . electricity randomly shut ( include a / c ) six different time twice random people enter room hang ( front desk issue room guest give access key mistake ) . another important thing note clean room . bathroom filthy . replace soaps & quot ; clean & quot ; anything room- change sheet . mexican take food night , come back next day ( room & quot ; clean & quot ; ) food exactly leave . WAY would recommend hotel would stay hotel . 
 Sep 3 2008 	 horrible service ! 	 stay Adagio last three night holiday California . location excellent - close Union Square , restaurant , bar . room worth price . unfortunately experience & quot ; problem & quot ; really spoil stay Adagio . place room queen size bed instead room King size bed book . wc room order ( not flush ) . take 24 hour front desk servicemen conclude solution change room . room air condition noisy impossible . Non work key card seem minor compare WC air condition . problem happen meet unfriendly , incompetent RUDE service really not want . decide stay Adagio , prepare fight pay . avoid Joel ( front desk ) - rude person ever meet hotel . 
 Sep 2 2008 	 Fantastic love 	 absolutely fab ! staff brillant honeymoon upgrade we corner room fab . leave we bottle wine handwritten card . would thoroughly recommend hotel 
 Sep 1 2008 	 boutique hotel elbowroom 	 maybe ' m use tiny NY hotel , modern stilish many boutique hotel , leave enough room move around . 4 use 2 double queen , extra space well welcome . block Union Square take cable car move around town . tip : plan use Muni system , get ' passport ' day ( 1/3/5 ) ticket transportation will save lot money . reception nice friendly , check make easy . Valet parking rip guess 's SF . room nice elegant furniture nice extremely clean bathroom . bed comfy . room offer water heater make coffee tea also free coffee hall wi - fi system work well . we 6th floor noise . a / c system indeed bit weird , be basically like portable unit , tend bit noisy - europeans , SF temperature good we without need use . doubt get hot , , would rate like average a / c unit noise - would scare everyone sleep way . we breakfast twice Dottie 's true blue café , would recommend get line early skip weekend . Sears also ok , dollar pancake kid enjoy . dine Grand café front , good food nice ambience ( small menu ) . good pizza kid . we may return next year , SF definitely will book . 
 Aug 30 2008 	 crazy place 	 stay in - law . recommend friend . maybe be come neighborhood , think sketchy place want hang . lot aggressive homeless , graffiti run building . good location we , always leave neighborhood enjoy city . 2 elevator slow . unfortunately , pretty warm get uncomfortable room . window not screen , ceiling fan not enough air conditioning unit way loud . staff extremely helpful kind snobby . not eat restaurant drink bar , nice snobby ... 
 Aug 29 2008 	 great inexpensive clean 	 stay Hotel Adagio great . place clean environment welcome . find good price Hotels.com . staff accomodate . hotel provide coupon two complimentary organic beer Cortez restaurant . although bar staff little snobby , beer delicious . overall pleasant stay . * stay side face Geary St could hear club / bar go night . not bothersome could hear . definitely recommend friend family . 
 Aug 20 2008 	 fabulous food 	 excellent city centre holiday great location Union Square . room clean , comfortable well - equip . hotel nice lobby / lounge free tea coffee day . the staff excellent - really friendly helpful . food world ; hotel restaurant & quot ; El Cortes & quot ; Michelin - star not expensive lovely atmosphere . reasonably price Continental breakfast buffet . would definitely stay . 
 Aug 11 2008 	 Hotel Adagio San Francisco 	 hotel locate theatre art gallery centre SF close Union Square form transportation . result find well place touristy stuff need 4 day . staff hotel excellent , notably Joel go extra mile help . work Mon Fri . room ok , top hotel standard perfectly comfortable well equip . restaurant , operate other , first class . really good californian food serve well train staff deserve 20 % service charge much eat twice ! ! would choose stay SF , say enough . oh , also reasonably price city . 
 Jul 30 2008 	 Central Location 	 stay Hotel Adagio 2 night Labor Day , find great promotional rate $ 99 night hotwire . conveniently locate near Union Square ( great shopping also hop trolley ) also short walk BART stop , take airport ( fyi -- quick easy save bundle cab ) . though hotel still work kink relate renovation ( e.g . humidifier hallway ) , could please experience give rate pay . clearly spend money redo lobby / bar area , room also comfortable staff eager please . lobby beautiful selection coffee tea morning afternoon well complimentary fruit afternoon snack . sure would pay full rate stay get discount would highly recommend . 
 Jul 17 2008 	 Excellent boutique hotel San Francisco great location 	 Hotel Adagio wonderful boutique hotel locate heart San Francisco . arrived warmly welcome since arrive around 1800 , front desk person , Joel , offer make we restaurant reservation small italian place road . feel helpful , allow we drop bag off go straight dinner instead try decide go first night there . the lobby modern classy . nice small bar restaurant . never try , look invite . wonderful room 14th floor . not mind height , would definitely ask high floor view nice . room flat panel television nice selection channel . also provide stereo request adapter front desk attach ipod . mini - fridge room typical mini - bar . ask person bring bag room refrigerator , say , mini - bar , want item remove could use store item , wine cheese bring along . say , yes please within 10 minute content remove little fridge . think nice touch , show concerned comfort profit may made min - bar ( would not anything anyway not use ) . nice touch . the room clean , bed comfortable , furniture nice . window even open ! love cool San Francisco breeze night . course downtown busy street , not mind traffic fire engine , enjoy open window . , close peace quiet , double pan . the hotel locate Tenderloin area . good , use live block away 70 's area undergo improvement . block Union Square great store , large small . Union Square get anywhere , North Beach , Chinatown Fisherman 's Wharf . walk back hotel many time 2200- 2300 night , problem . , would suggest head around corner dottie true Blue Cafe , 522 Jones St. Best breakfast city . get early prepared wait line . be small , food excellent well worth wait . hotel staff give we hint . next street west Jones walk see Dotties street . line , call order go , walk front line , pick order eat room . a great hotel great city ! highly recommend 
 Jul 15 2008 	 love San Francisco thank Hotel Adagio ! 	 moment step large door spacious , cool , clean impressive reception area , feel welcome . room incredible , plush bed , bed pillow ( Son say could stay entire trip ) ! snack beverage wait we room also , wonderful bonus . restroom sanitize , sparkling , maintain entire stay . beyond comfortable chair ottoman ; desk office chair ; flat panel tv ; closet robe , iron board iron , hanger , shelf , safe could program . restaurant ; room service ; laundry service . the Adagio within walk distance San Francisco 's Cable car , ride minute Fisherman 's Wharf , Golden Gate Bridge , China Town , famous site city . I must admit , favorite part stay , , unbelievably caring , compassionate , knowledgeable friendly staff Adagio . person front desk , two in - particular , Kimberly Gizelle , two see , adoptable ! beyond helpful suggestion restaurant nearby ; get cable car ticket good catch ; different thing could go . love special attention pay child . , , gold ! come time we leave , not want , doorman get we beautiful town - car driver , take we airport ... much well shuttle , little pocket travel three - or - more person . Son , Daughter , would recommend fine establishment everyone ! 
 Jul 12 2008 	 Fantastic Hotel ! 	 stay four night Hotel Adagio San Francisco . hotel location execellent close Union Squre . hotel recently renwe room look nice . room also big normal . staff friendly reception restaurant Cortez . breakfast restaurant good . pay attention car : valet parking ( taxis ) cost aproximately usd 40 night . nice place go ! 
 Jul 11 2008 	 Personal Service Finest ! 	 love Hotel Adagio . quaint , boutique hotel heart action San Fran . upon arrival , bottle wine , hand write welcome card , detailed list attraction see include brief ( also hand write ) explanation spot . room quite spacious fill lot window see city view building . bell hop passionate city ALWAYS welcome we back interested go . day age , personalize service lose art place bring back . would definitely return next trip San Fran ! 
 Jul 11 2008 	 Hotel Adagio exceed customer service expectation 	 recently travel San Francisco long weekend friend travel around country . annual sojourn book Hotel Adagio , new usually stay Hilton , Mariott , Westin , etc . I could not please stay . moment arrive staff clearly commit accomodate need request . flight arrive Honolulu 6 , yet able check right room early hour , thank Alexandria . the room contemporary , staff friendly , decor would expect San Franciscso modern boutique hotel . I definitely stay Adagio would recommend fine hotel friend colleague ! Clare M. Rountree , Ph . D . 
 Jul 7 2008 	 centrally locate close union square - great decoration 	 nice hotel . small room . 
 Jul 4 2008 	 Excellent Location 	 stay 5 night June . excellent location , 5 minute walk union square . first impression arrive hotel looked not look fresh person appear web photo . hotel room excellent size bathroom . room clean exceptional job day . well stock mini bar coffee make facility . Hotel Staff friendly . attempt breakfast hotel 's Cortez Restuarant one morning . place order 7.20am 7.50 inform original selection available ask would like choose something different . leave without breakfast leave tour 8.00am . least 5 reasonably price diner within five minute walk hotel . would recommend take hotel town car trip back airport . well price € 45 trip . orginal taxi airport hotel cost € 40 . 
 Jul 4 2008 	 Nice Hotel Good Location 	 great hotel price ! room nice clean bar / dining area nice trendy . come town girl weekend away great choice . concierge friendly helpful . BART ( transport airport ) close hotel easy navigate well much cheap cab ride . the thing negative say really nothing hotel . around 3 am every morning could hear clank bottle hour time bar directly across street clean . would recommend ask room face main street . would hopefully eliminate problem . 
 Jul 1 2008 	 Chic stylish 	 hotel style panache hotel restaurant spanish Colonial style seem hot property San Francisco . glamorous people lobby dinner , always feel though pamper guest ! forgot camera battery one day rent bike day call hotel , offer bring . personal service ! please forget Hilton Marriott unless conventioneer hotel select . hotel style much pricier Clift across street , little low key understate elegance brash Monaco nearby . hotel restaurant 's feature small plate fantastic bartender extremely helpful selection food cocktail travel solo . please try Adagio . disappointed ! 
 Jun 30 2008 	 wonderful stay Adiago ! 	 stay Hotel Adagio 1 week vacation . book stay travelzoo.com get great rate . soon arrive staff assist . arrive 3hrs check - in go beyond we get check early . room clean update . like modern feel place . room king suite 11th floor . hotel staff friendly show we ammenitie room . bed comfortable / great linen . air conditioning available need . stay please keep mind CITY . street noise . not let review may read make think twice stay . tip : night close window could not hear thing . location great , 2 block Union Square . also Walgreens near hotel . recommend pick snack / drink room instead pay mini bar price . also free coffee paper morning downstairs lobby . make coffee room mini bar charge go lobby free . doormen knowledgable city help we along way every day . would stay . great value , great customer service , great location , Great Experience , hope enjoy much ! 
 Jun 29 2008 	 ok place problem 	 wife stay Adagio price good review . clean place staff friendly room work internet . wife need internet conduct business away . suppose include free room . tell staff problem work right away . unfortunately 3 day still not fix even though day tell work .. offer different room room hot AC not work properly . eventually move AC unit old room new room everything work last NIGHT hotel . this hotel also restaurant price high even San Francisco . example , offer cold buffet breakfast include 3 cereal , small offering fruit , yogurt , juice . price $ 14 . bad enough add additional $ 3 gratuity top . CRAZY . never charge gratuity serve ! total cost end ( tax ) $ 20.overall place ok feel could well . typical city hotel serve seem fall short expectation . 
 Jun 20 2008 	 Tired Tenderloin 	 badly hung drape 90 's trance music can not transform tired old building edge tenderloin try hard inn . ugly floor stand air conditioner sit beside old model still adorn window . unless reason neighborhood , try somewhere else . 
 Jun 4 2008 	 hiddern Gem ... definately worth Booking ! 	 first stay San Francisco , must say bit apprehensive first , one hear hotel stay ... however would describe hiddern Gem ! standard exeptional , especially consider 3 * , seem like 5 * least 4 * . think main reason low rating pool , however much San Fran do not need pool ! location spot , Geary Street , stretch Union Square , however far eneough away ( 12 minute walk ) top everything , quieter night . the lobby , lounge area downstair resturant area plush , stay Hilton also trip must say nice nicer . Decor contemporary lift quick ! * * TIP- stay FLOOR gym- think 2nd floor . gym 24 hour door quite heavy , end staying night ! * * do not eat resturant , however look nice little pricey , pay ambiance . room nice , huge bed , good room service clean bathroom nice . air conditioner seperate heater room , good . * * TIP check , ask discount voucher , couple available , particularly useful shopper ! also ask map tell everything town get around * * * * TIP join JDV reward scheme , & quot ; joy life & quot ; get late checkout early check , plus free internet access free local call room ! worthwhile even plan staying , visit website www.jdvhotels.com fill leaflet front desk . * * front desk staff extremeley helpful , particularly impressed phone call 5 minute go room , check everything ok . therefore unhappy want change room , wait call unpack ! price wise full price look king room $ 350plus tax quite expensive . however shop around price promise , rang hotel direct get rate $ 173 plus tax ! ! ! ! ! business centre good , hotel finaly think foreign guest ( do not laptop ) get 15 minute free print boarding pass completely free however lon take ! * * tip- town car worth airport transfer , front desk arrange you- take credit card charge , fix rate $ 45 include grat fix quite luxurious * * * * tip- budget , try Lefty Doules , green sign . get breakfast $ 5 lunch $ 7 , nice food pub atmosphere * * can not think anything else say .... look handlery little nearer Union Square , however be not nice well worth extra 5 minute walk .. 
 Jun 3 2008 	 Great Boutique Hotel San Francisco 	 although live couple hour away Sacramento , visit San Francisco often variety reason . stay number hotels Union Square area . stumble upon Hotel Adagio , boutique hotel , email advertisement . pleasant experience . room look like picture internet ! clean , cute , comfortable , feel safe . 's location Theatre district near fun restaurant perfect place . also within walking distance Union Square . the employee helpful positive . would highly recommend hotel like feel small intimate hotel .... local fee . 
 Jun 3 2008 	 PEOPLE make Adagio wonderful experience 	 wife look little 5day get away chain hotel book come across adagio different website decide call directly inquire get go staff sell experience WOW great time ! Ken C. Kelowna BC Canada . 
 May 22 2008 	 Unbelievable Service Great Hotel 	 husband spend one night Adagio last weekend . read review say hotel good neighborhood litttle bit nervous . arrive wonderful ! front desk unbelievable professional extremely friendly . although arrive bit early check , luggage store toured city . Adagio 5 - 10 minute walk Union Square start cable car line Fisherman 's Wharf . room small - ish feel trip one another . fence stay please reconsider . Adagio set free private CITY TOUR ! ! ! ! ! hotel also provide complimentary copy suggest itinerary San Francisco number destination area . take nighttime tour Alcatraz return Adagio evening discover hotel right around corner ton night life . find noise problem - wish energy enjoy neighborhood club ! bottom line , stay . can not wait visit ! 
 May 7 2008 	 home - away home 	 sure , good way describe Hotel Adagio . stay one week perfect : check - in , attention staff , advice , apple hall , comfortable room location . could every thing foot since hotel two block away fron Union Square . besides , restaurant hotel , Cortez , pleasure great food ! definitely would stay ! 
 May 2 2008 	 Excellent Hotel 	 spend 3 night Adagio , must say experience unforgetable . location central -- 200yds . Union Sq . Geary St . several restaurant bar within 100yds . hotel . also centre theatre area . staff welcome . large room well insulated . 20 min . walk get we pier1 . Powell Hyde stop cable car 5 min . walk . would heartily recommend Adagio . 
 Apr 30 2008 	 Delightful Stay Hotel Adagio 	 stay three night late April 2008 . hotel bright spot not - so - nice area SF ( believe tour guide refer area ' the Tenderloin ' . ) hotel invite attractive though . decor modern . able check couple hour early woman check desk gracious efficient . score great price per night stay via hotel 's Website , , help we absorb $ 33 per night valet parking fee ( plus tip . ) room ( 11th floor ) fairly large clean offer king bed , pull - out sofa , refrigerator , desk , tv , radio , small dresser large closet . bathroom good size , , water pressure shower good . there restaurant locate first floor hotel , not opportunity sample . hotel offer coffee tea apple lobby morning late afternoon . it short walk Union Square , hotel part Square . many homeless folk area , none & quot ; nasty & quot ; folk ( mean aggressive insulting . ) one fellow kind enough tell meter fed park car check hotel commercial vehicle car could tow away . wish cash hand give save potentially costly problem . early review indicate lot noise night . time not problem , one night hear loud motorcycle start around midnight . drive , quiet enough . 
 Apr 29 2008 	 Great Hotel Exceptional Service 	 get excellent deal Adagio Travelzoo . book Deluxe Junior Suite pleasantly surprise size . decor hip minimalist fresh retro element . bathroom nice , space makeup , shave stuff etc pretty cramp around sink . think shower tiling could use update . , perfect . three Apple computer internet access hotel guest use . first 15 minute free . WiFi lobby . hotel restaurant look cool , not dine there . the staff really make stay enjoyable . receive three great restaurant recommendation front desk always provide we accurate direction destination . location great -- within short block shop Union Square # 38 bus doorstep . must eat Dottie 's true Blue Cafe breakfast . 2 minute walk away . prepared wait line , be worth . food fantastic . there lot homeless people walk along Geary ( fact , lot everywhere San Fran ) . live Toronto ' m use homeless people , SF homeless aggressive . great stay overall ! thank Adagio ! 
 Apr 23 2008 	 love hotel ! 	 arrive adagio roadtrip vegas santa barbara weary tierd . pleasantly suprise do not feel picture site hotel justice . meet helpful friendly valet staff .free tea & amp ; coffee lobby bottle water nice touch.our first room 7th floor fine little small side ask switch spacious roomwe get much big room 8th floor helpful request.love room stylish , spotless , bright airy dayroom could get warm middle nite ceiling fan time .never use AC unit window find noisy ! would reccommend stay high floor geary street get noisy early hours.the bathroom little small side oki love location hotel block union square . I find overwhelming sad amount homeless san fran quite aggresive . also expensive compare place u.s.have say san francisco beautiful place & amp ; wonerful time . 
 Apr 21 2008 	 Fantastic ! 	 enough good thing say Hotel Adagio . great location shopping , nightlife , AVIS car rental behind building ( rent car go Wine Country ) .The staff extremely friendly , courteous , polite , efficient . nice every need anticipate even ask ! get great deal Travelzoo hotel little leery SF & quot ; boutique hotel & quot ; code & quot ; shabby rundown & quot ; . case Adagio . , unlike old hotel room tiny , room spacious spotless . hotel update recently without lose spanish feel . be Union Square area quiet location close great restaurant , theatre , shopping . we love would definitely recommend traveler , know stay . 
 Apr 18 2008 	 Hotel Agagio visit 	 wonderful stay . gorgeous furniture , quiet , nice staff , great location , return 
 Apr 16 2008 	 staff wonderful ! 	 four we go San Francisco celebrate 40th birthday . never - end pick great hotel great location . Hotel Adagio locate within easy walk shopping , dining , drink , cable car , BART . staff good . friendly offer help need - do . there review metion noise street . case we 4th floor , not unbearable . staff remove portable air conditioner . would allow one window fully close - think would make positive difference . I would definitely stay . 
 Apr 13 2008 	 great stay one night 	 get deal Travelzoo stay executive king room upper floor $ 139 night , happy get rate . staff professional friendly . room tastefully decorate everything clean well maintain . first time stay hotel , although eat restaurant Cortez time , great food . purpose trip spend day city freakishly hot weather , ( unlike SF ) dine wonderful Michael Mina locate St. Francis . hotel great walking distance restaurant shopping . 's great location tourist . choose hotel want close Micheal Mina could not justify pay St. Francis 's hotel rate close $ 300 one night . would definitely stay Hotel Adagio , however stay long two day room might feel claustrophobic . room tend small size . , bed pillow super comfortable . 
 Apr 11 2008 	 favourite hotel San Francisco 	 husband want special night city fortunate experience joie de vivre Hotel Adagio . location great ! room stunningly beautiful hospitality could welcome . husband 's birthday upon return suite , lovely birthday cake await we lovely Sonoma County Red ! write review , often want tight lipped nobody learn secret , Hotel Adagio deserve great review ! 
 Apr 10 2008 	 Met Expectations 	 Met expectation . modern style hotel term furnish style . service good . room average average . nice room , decent furnishing , avg . bathroom . location ok tourist . 3 block west Union Square . BART station within 3 block . Market St. close well . ' ve live SF , ' m use business / tourist area city area typical type area . much go night . 
 Apr 6 2008 	 great Stay 	 friend great stay Adagio . staff pleasant helpful lobby pretty . especially like complimentary coffee morning coffee / tea evening . ( not pay make coffee room - go lobby be free ) . room - executive queen , queen surprisingly good amount space . bathroom 's little small , expect , 2nd shelf vanity make everything workable . criticize : bed little soft taste ; carpet seem bit dingy ; not crazy stand alone AC unit hose go window . however , major factor ; would not keep stay especially spend time room . walk Union Square 5 block - less hotel other . like walk . people site complain homeless . yes , aggressive 's life big city . get use keep little change handy sometimes . like stay near Union Square well area -- especially like shop . sunny day , be beautiful sit around square . recommend meal Hotel Adagio 's restaurant - Cortez . service slow particular night food good . drive Napa day pretty tired - wonderful good meal without leave hotel . also enjoy lunch twice Max 's street might catch great band Biscuits Blues nearby . keep news pop culture , like satire musical - do not ' miss Beach Blanket Babylon ( cab ride away ) . everything 's little pricy - 's San Fran - expect . would stay Adagio , especially good rate . get sale travel website average 160 / day - low hotel 's website . 2 recommendation : rent car 2 day Napa -- get great price & quot ; make bid & quot ; priceline . hassle . total 2 day ( pick noon Tuesday drop 5 pm We d ) tax 107 full size car . also - ask hotel get ride airport - SPECIFIC - want taxi private car . automatically get we private car little money -- albeit comfortable ride . 
 Apr 4 2008 	 ok probably well choice 	 book junior suite 5 night priceline . bring 5 - month - old daughter , be get junior suite . the service start great - bring pack - n - play freshly launder sheet daughter , empty minibar could use bottle . hotel room gorgeous 's well acceptable . 's suppose look mute sophisticated 's look little wear down . but problem . room overwhelmingly hot take day fix . infant , not fun . cordless phone room not work . front desk sometimes unfriendly ( eg , stare struggle open enormous heavy front door stroller tow instead help ) .The bad room service . menu limited way overprice . tiny steak fry $ 26 . husband 's way overcooked , mine 2/3 size husband 's ( tiny ) . never bring extra receipt constantly ask . meal two bowl oatmeal $ 20 , seriously . even though full service restaurant , would allow we order anything except limited number item room service menu . even ask could go pick food Cortez ( hotel 's restaurant ) tell . issue will not affect people like we . infant , could not run grab something eat . find limited menu , extremely high price , poor food quality real downer . definitely negatively affect experience would not come back . 
 Apr 2 2008 	 Nice Hotel Great Location 	 stay Hotel Adagio March 24 - 30 impressed quality room professionalism staff . location hotel convenient strike distance Chinatown , Fisherman 's Wharf , Richmond district neighborhood . panhandler , welcome SF . noise , ask high floor . staff accomodate . stay rm . 1403 , quiet . work - out room also one good ' ve every see hotel . the qualm fan bathroom . biggie though . 
 Mar 24 2008 	 staying 's 	 would stay ? . would recommend hotel ? . would say anything exceptional ? . , may ask ? first , use type lodge hotel , inn , you - name - it , throughout world . ' m particular fanatic . hotel would rate maybe 2 star . front desk people nice , bit confused . ( initially give we wrong reservation printout another guest without check , remind send wine room , give we proper number check - bag receipt , call we back restaurant reservation ask two time , etc . ) . provide bottled water warm pretty much huddle behind small desk area guest wait line . friendly place discuss one 's need . front lobby : okay , bit worn tired . sit sofa chair immediately sink , good way . even front door hotel need refurbishing . free coffee nice touch , hot water container bone dry . little lack attention . room clean , really clean . towel scratchy new feel good . Shower head good , shower curtain old fashioned . toilet seat stain . bottom sheet lumpy end bed . sofa bed make blanket . turn - down service . tv fit run different hue color . bar & quot ; extras & quot ; overprice ( Snickers bar $ 2.17 ) . restaurant downstair & quot ; Cortez & quot ; need make - over . curtain stain . smell stale . food service spotty . food so - so , nothing wow . mushy crab cake , chintzy glass wine overprice , real theme make sense . Hostess keep we wait 15 minute reservation without ask we want drink let we know 's . server forget wine meal . entry door need refinish . parking $ 33 overnight . Bellman helpful , not offer ice anything suite . loud fan room . light come bottom door light room dark . Windows clean . might wonder old hotel like tout wonderful forum ? beat ! ' ve stay Holiday Inns together . staff not nice , 's attention detail lack . not pay $ 200 room really want stay . bring laptop , pay WiFi well . 
 Mar 23 2008 	 small room old hotel bad service 	 book junior suite much small pic website ! Bathroom look old , smell . staff do not care anything . morning afternoon coffee service frequently leave empty . Member Joie de Vivre loyalty club , do not get perk supposedly offer . 
 Mar 13 2008 	 Excellent Hotel 	 absolutley love Hotel adagio , greet smile face , allow check 3 - 4 hour early . everyone , mean everyone hotel great personality helpful . stay week worth every penny . would like personally thank new good friend David , great . definatley back July visit Adagio , service great take upon join Joy life club , know come back . hotel around lot year come due friendly helpful staff . arrive room perfect , describe website . really love place . 
 Mar 10 2008 	 Oasis San Francisco business traveler 	 ' ve regular Adagio four year . travel San Francisco frequently business find Adagio business & quot ; home away home & quot ; ! front desk staff always courteous go beyond meet need . often host team meeting everyone enjoy stay . room well appoint business traveler comfortable bed , spacious work desk reliable intenet connection . hotel convenient Union Square host excellent restaurant . also bring family along weekend stay over find hotel accomodate personal stay well business travel . highly recommend hotel anyone want break stay big hotel chain . 
 Mar 9 2008 	 great experience 	 arrive Hotel Adagio evening February 29 immediately take care front desk staff . young man ask need double - double reserved name , nice , large King could put instead . take King regret decision . room 511 . huge , clean well - appoint . view speak , fine , prefer quiet scenery . my 3 night stay great experience . room well take care housekeeping staff rest staff everything could make stay pleasant one . I great rate book site much cheap comparable hotel Union Square area . I would recommend hotel friend , family colleague . 
 Mar 7 2008 	 Pleasant Surprise 	 need place stay SF conference . previous trip design pleasure , stay close Fisherman 's Wharf ' tourist ' area . know nothing place friend say , try Adagio . suggest Travel Agent presto , arrive nice little Hotel . room big amenetie hit spot . free internet , nice bed , clean bathroom & amp ; helpful staff work well . large window nice view 14th floor work well . a / c unit extend room kinda funny , manageable . be look small , chic hotel theatre disctrict , near Moscone center , work ! 
 Mar 4 2008 	 Fabulous San Fran ... even rain ! ! ! ! ! 	 little gem ! love absolutely everything Hotel Adagio - location , staff , amenity , decor ... well , except a / c unit middle bay window ( be old building ) light fixture look like someone over - order not know shade ( lol ) ! stay many 5 star chain hotel Hotel Adagio feel much personal every level . bar Cortez restaurant buzzing local Fri . & amp ; Sat . night alone speak reputation cater side hotel - great martinis fabulous food . certainly back next time visit SFO . wary way exit hotel - leave theatre district , shopping , tourist attraction , etc . , right fringe less fortunate make home ....... 
 Feb 16 2008 	 Clean Great Location worth money 	 hotel friendly staff , clean room , great bedding . drawback AC unit go pipe window , window open happen . noise Geary Street unbearable , nightclub lineup sidewalk almost night , many drunk shout singe ' til dawn . also every smoker force outside cigarette , choose smoke window , room constantly full smoke . price room exorbitant consideration . leave husband , check charge honor - bar item consume . pay suppose say not . find sloppy . also bathroom wall sort stain near toilet , continued exist whole stay . would assume cleaning staff also wash wall one pay way $ 200 / night noisy room . , bring attention hotel , since business convention bring we , room arrange head office , even though pay . also know hotel full , would possible move we . 
 Jan 24 2008 	 Lovely Hotel Big Issue 	 would rate place average - excellent , checkout , husband realize have leave value set single earring bathroom . also leave camera supply . call report , understand cooperative , indeed send we camera supply ( case & amp ; content ) . never success earring , however . confirmation ; though be / be positive . loss sentimental value , one earring diamond , other probably replace . completely overshadow lovely thing hotel . yes , wrong fail pack thing - uncommon oversight traveler ; hotel houskeepe staff deal exactly kind occurrence something separate other . 
 Jan 7 2008 	 great place Theatre District 	 going show San Francisco simply want shop Untion Square ? well Hotel Adagio place stay . centrally locate theatre district ( block Curran Theatre ) 's great boutique hotel . quiet , reasonably price excellent staff make 1 night stay wonderful getaway . moment walk staff pleasant , helpful room ( recently remodel ) quiet cozy . walk distance show - Jersey Boys Curran Theatre - great shop Union Square . give price , location quality , will stay future . 
 Jan 3 2008 	 nice marred rude staff 	 Hotel Adagio small hotel locate near Union Square . lobby small nicely decorate . David , work front desk , manage immediately insult try check say much hate home town , happen also mine . ( staff member desk little sign show . ) , enter credit card info incorrectly , cause card deny . attitude embarrass greatly . confront fact reason card deny , say computer 's fault never apologize . complain management however , make call we apologize - worth . Jason , bellman , wonderful try well make rude behavior David . room nice enough , internet connection work , clock radio malfunctioning would randomly turn , sink could plug . would probably single complaint hotel , even small issue room , first person speak enter rude . first impression important . 
 Jan 2 2008 	 Quite Nice 	 enjoy hotel immensely . fill many pleasant detail decor representative unique , boutique hotel . visually pleasing amenity back good customer service . hotel exceed expectation - complaint . some detail : pleasant decor throughoutThe room look like one photoswell - stock honor barPrice stay include valet parkingquiet - even Geary StreetGraciously accommodate request low floorgood location near Union Square , ACT , Curran theateri would highly recommend hotel . 
 Dec 27 2007 	 Best good 	 family go San Francisco every 4 month . summer come across Hotel Adagio join & quot ; Joy Life & quot ; Club get awsome discount room . honestly exceed expectation evrey time stay . staff truely FABULOUS ! make feel like important guest hotel . go way make sure take care pleasant attitude . club memeber treat wait room wine , chocolate , bottled water .. ever choose time booking . also hand write card welcome hotel along phone call front desk get settle room see need anything . well take care of . they top notch ! room nicely decorate , comfy , clean . hotel stay City . close Union Square large Malls , walk distance . everyone refer Hotel Adagio say thing ... impressed hotel staff . try ... sure pleased . 
