crack 	 stay 2 night Chiswick Moran attend friend wed Kew Gardens soooo glad . crack hotel , central London would far expensive . book Room 425 lovely spacious room , albeit set disabled guest - although mean spacious . carpet lovely room modern well design . 400 m away Gunnersby Tube station ideal visit Kew Gardens half hour away Hampton Court - it ideal need . bar lively stay ( Fri Sat ) DJ playing give great atmosphere crack bar staff boot ! breakfast first morning ( severly hungover day 2 ! ) good 7/8 10 - its help style buffet bake bean : ( . lovely evening meal first night select set menu around £ 17 2 course good value food . 
 Jul 3 2008 	 Star West 	 find good deal Alpharooms . suit we go Wimbledon handily place District Line - Gunnersbury station almost opposite . also secure carpark - £ 10 per day ( pay reception leave - say £ 20 sign , halfprice guest ) . Chiswick also one dining hotspot low price central London . recommend La Trompette , particularly Le Vacherin , Sam 's Brasserie . also dine in / but also takeaway fishshop / restaurant close , decent fish meal wine good price . we really like Chiswick - leafy , quite residential , reasonably quiet , handy kew , lot cafe pub , good shop High Street .. hotel pretty good . room reasonable size , noise whatsoever , comfortable bed , clean , good climate control system , nice lighting , good bathroom bath walk - in shower , walk - in wardrobe / storeplace modern decor . food ok adequate . deal include breakfast pleased get .. staff pleasant . we experience none thing one 2 reviewer mention , like room warm water cold - guess people may figure control well enough . if content far town , excellent option , think stay .. 
 Jun 30 2008 	 's tiny thing make difference 	 get back great long weekend London . book hotel price seem compensate town location , cost underground day pass £ 5.90 wherever be . it really not disappoint . room well decorate , bathroom great breakfast good . underground station hundred yard away train regular around 10 - 15 minute place ( excpetion , example , British Museum end town ) .I think two thing let place - one trivial hardly matter . service breakfast not great cook breakfast could baked bean ( keep go day ! ) . importantly , air room . remember use go caravanne mum use open ' for good airing ' . place need . 's danger smell musty lack air can not open window . all good 4 * ' ve London . 
 Jun 23 2008 	 Excelent choice - Modern Hotel 	 Excelent choice do not care stay far downtown . brand new hotel , modern , big room ( really big , mainly compare London hotel ) . excelent bar , service , meal cleaning , powerful broadband internet ( cable - charge ) wirelless connection free lobby , etc . I first stay hotel locate Mayfair , fency expensive ( 350 pound / day full breakfast , business ) change Chiswick Moran ( 100 pound / day full breakfast ) . not think downgrade all . the problem ....... locate far dowtown know site nothing around . close & quot ; tube & quot ; ( Gunnesbury - 100mts ) . problem cable connection promptly move another room . [ -- ] 
 May 28 2008 	 Loved Chiswick Moran 	 newly design Chiswick Moran great choice anyone visit London . hotel 2 minute walk Gunnersbury tube Sloane Square 10 - 12 minute . stay recent trip Chelsea flower show comfortable room / bed welcome lot walk around London . Chiswick High Road full lovely restaurant bar - within 10 minute walk bus stop outside door anda travel pass easy find perfect restaurant fun bar . breakfast excellent free newspaper . big bathroom ever see hotel ( room 317 ) .I would hesitation stay Chiswick - 's close enough get centre quickly town enough lot restaurant nice park . Richmond two stop Tube wonderful discovery find walk along Thames 
 May 9 2008 	 bad hotel world 	 want send email phone hotel complain terrible service receive , contact detail website . think pretty much sum hotel make pretension west End glamour fail deliver every level.1 . breakfast cold . Salmon order grey ... like ' value ' cut supermarket . not one .... load people send back food . 2 . reception staff without doubt rudest ' ve ever encounter . hotel offer free wireless internet access . laptop problem connect ask one reception team might able help . look straight face say . ask anyone else could , , say . not offer service be prepared help people bite difficultly . 3 . bar staff also rude . ask anywhere bar area could plug laptop . bartender , turn back walk without say word . stunned ( come back 5 minute later adapter ) . favour , be go spend amount money , stay somewhere central , good atmosphere , decent room , , helpful staff . disappointment . 
 May 4 2008 	 nice room hot water 	 first impression Chiswick Moran nice - helpful reception , nice room , easy walk tube . however experience bad service enquire not hot water Friday evening . first call reception fine - apologise say maybe 30 min would fix . still water hour call time lady answer say hotel full expect would hot water hung say would talk duty manager . not get apology call back . end boil kettle use ' shower ' ( ie . wash sink ) . next morning hot water lukewarm . glad pay much less rack rate 1 night stay . would go back , esp Fri Sat night hotel would likely full . 
 Apr 6 2008 	 excellent location sight 	 recently stay quirky hotel couple night touristy weekend , see sight go theatre . it be refreshing stay hotel deliberately veer away bland , standard hotel norm beige , coffee cream boldly decorate monochrome accentuate splash bright jewel colour . carpet really unusual - 's like hay , quite long tufty nice bare foot ! hotel well situate want venture car far London , M4 easy find . park car hotel Gunnersbury tube minute walk road . say ' ve use tube London year vastly improved remember . use like go bowel earth always smell like public toilet filthy train , every train catch new clean station . anyway , back hotel - room clean , bright , quiet spacious great double shower good quality bed linen . slight disappointment ( picky ) not complimentary biscuit go cup tea ! Breakfast also good , plenty choice attentive staff , could settle read complimentary irish newspaper ( Owner Irish ! ) leisurely pace . we late back one evening use room service dinner - complaint . promply serve , price competitive food tasty . we get room reasonable non city centre rate already plan next trip - highly recommend ! 
 Mar 5 2008 	 great Decor - terrible air conditioning 	 stay Chiswick Moran week business . find decor , room size bathroom really nice , fitout cool inital impression high . staff nice polite helpful . problem BIG problem two day work room air conditioner work ! ! speak reception 4 time stay keep say & quot ; getting fix & quot ; . do not think anyone actually fix would hate stay Summer - would swelter . also unlike australian hotel fridge room ice machine floor hot room terrible . middle Feb like Aussie summer leave - nice go outside cool . hate winge side - great size room , nice staff , decent breakfast , nice bar , cool fitout , far tube ( fact gunnersbury right - however Chiswick frequent ) . would stay ensured air con work . 
 Mar 3 2008 	 Great Hotel 	 book Chiswick Moran TravelRepublic three month advance get double room £ 80 . absolute bargain . 15 - 20 minute centre London tube ( Gunnersbury tube right next hotel ) , well position be prepared stay bit outside Zones 1 & amp ; 2.the hotel excellent ; decorate good modern standard . room clean large comfortable bed . small Plasma telly . stay one night would hesitation stay . breakfast ok , nothing exceptional , include price definite bonus many hotel B & amp ; B 's nearby charge extortionate amount privilige . staff friendly helpful speak excellent English , ' ve find many occasion London big problem . overall , would recommend hotel without question . 
 Mar 3 2008 	 Good Hotel ... ! 	 stay five night . business give option number hotel choose one close work . apart close absolutely nothing nearly die boredom evening . close tube station spend hour half get central London one evening . executive room really can not compain hotel . room big , bright , spacious , modern luxurious bathroom ... everything could expect hotel 's standard . enjoy complimentary breakfast also . complaint be not really near anything interest . 
 Feb 24 2008 	 lovely hotel convenient 	 stay weekend partner , book alpha rooms.net £ 148.00 ( 2 night b & amp ; b we . ) fly dublin gatwick , flight reaonable ryan air ( 30 euro 2 ) book gatwick express train online , £ 58 return 2 ) train go every 15 min . get gatwick express , get district line richmond . ticket £ 4 single , get gunnersbury , take 19 min . arrive hotel please , room lovely . next morn wake drill road 8 am , seemingly control . would accept , however duty manager pleasant , move we another room . breakfast fine , wary cooked breakfast review o.k . Personally would like well selection bread croissant fresh fruit . get tube Gunnersbury Picadilly . get day travel ticket , £ 5.60 give unlimited travel tube day . book show careful , book Leicister Square queue age , realise arrive Lyrics theatre , ticket £ 9.00 cheap pay . , hotel difficult find , staff especially Jamie Patrick reception friendly . room funky relax . would go back . 
 Jan 16 2008 	 Good Locationcomfortable accomadation 	 Hotel clean comfortable . very easy get cental London hotel beside tube station . food poor ( avoid Fried Breakfast cost ) 
 Jan 15 2008 	 yes be good onebut avoid fried breakfast ! 	 stay hotel January 08 , base good review . come car , spacious safe underground car park £ 10/24 hour go please ( pay Reception checkout ) worried room might hot window not open , heat controllable , not problem . although room face busy road , noise not problem , bed comfortable bed sleep age - very large double , crisp white cotton sheet . good tea / coffee make facility , ask sugar , never come . staff appear Czech Republik Poland probably language misunderstanding . excellent Breakfast buffet include price could also order Irish cook breakfast . however , arrive swimming grease , want something hot , get scramble egg salmon instead . I would definitely stay , get good price alpharooms.com 
 Jan 4 2008 	 can not go wrong ! 	 excellent ! nice room , nice hotel , nice area . yes , walk bit get shopping / restaurant part Chisweek yes , need Tube trip get London city , hotel definitely worth ! 
 Jan 4 2008 	 nice 	 wife read reviews hotel choose hotel stay 4 day vacation new year eve London . it nice hotel pretty big objection - none window open . take double deluxe room . small nice , pretty big bathroom - bath walk shower . climate set 25c hot sleep . window air - conditioining blow directly face bed . big minus I . we walk closed shelf , kind hard unpack staff , not problem we . safe tee make machine . personle really nice help everything ask . breakfast rich . 2 kind salami one day run yogurt ? ! ? also include price irish breakfast mushroom , egg , bacon , sausage - tasty large : ) .The location pretty conveniece . distric line couple minute hotel take directly Westminster Tower London . be go oxford street must chage 's problem . also would like advise change Acton town state hotel web site be go heathrow , becouse will need change train . rather change Hammersmith take district Richmond . it nice hotel be claustrophobic . 
 Dec 18 2007 	 lovely hotel part London worth extra travell time . 	 love hotel . , perfect retreat London . couple minute walk near Underground station , minute use live London , Gunnersbury . it four star hotel without relaxation facility though fitness room . I four night stay London , two night first Crowne Plaza , Docklands , two night Moran Hotel . much prefer Chiswick Moran Hotel Crowne Plaza Hotel , Docklands . even though one complimentary night Crowne Plaza Docklands , still pay £ 20 two night Crowne Plaza Hotel stay two night , book ABA hotel ( abahotels.com ) . although Crowne Plaza , Docklands full leisure facility , find would much rather stay Chiswick Moran . fully recommend Chiswick Moran . try ABAHOTELS.COM . pay £ 68 per night room one person one area double bed comfortable seating , separatearea single bed desk chair . one hotel , , would pay hotel 's usual rate , think £ 99 online ( otherwise believe ) room one person . good value . as expect , hot drink tray room , stylish one actually , safety kettle design . bathroom lovely large , walk shower ( large round ' monsoon ' shower head ) separately , bath . the restaurant nice , unpretentious , relax good place unwind . bar must say one nice place experience London . bar worth travelling stay hotel . may seem kind ' retro ' seventy style seem , , modern decade much . visit see . free wi - fi web network access guest , also free visitor restaurant aand bar . bar price good . also 4 7 ' Clock afternoon , exclude Sundays , cocktail around £ 3.50 ( can not remember exact price . ) refreshing come Crowne Plaza , away near furth South East London , beyond Canary Wharf , cocktail £ 8 time . room web network access cable free , though pay half hour hour rather day like , good , common four star hotel often charge 24 hour rate . look photo room take guest Trip Advisor , think room good , subtle dark light green white mauve , thick , dangle pile carpet . think nice design room 'd age . really relaxed . ( actually get sick Crowne Plaza , need go , spend night Central London dance club second night , though garish red brown decor hotel gradually make ill anyway . ) stay Chiswick Moran really tonic . lovely area stay , though immediate vicinity , offer attraction beyond shop take - away . extra 15 20 minute underground Victoria stay Chelsea Kensington . worth . hotel relatively quiet Gunnersbury end Chiswick , excellently place huge Gunnersbury Park ( lovely , really recommend time London ) . small nature reserve , Gunnersbury Triangle also , worth walk sit , far hotel , entrance Chiswick Park underground station . 's , Richmond quite short train journey Gunnersbury station , also Richmond Park . Kingston bus ride . happen special view suburban London lovely greenery back gardens road window look onto . shopping , eat drink good around Chiswick High Road , one two stop train , get bus stop near hotel , extra one day London Travelcard underground train journey . , would often prefer go drinking , eat , stylish place Chiswick , bother try find two three place evening Central London . least one day two day stay , would happy stay lovely hotel refreshment , sustenance , pleasure . relax lobby seat first floor , look onto entrance . for excellently price car rental near hotel , Aim ( aimrentacar.com ) . offer nearly good rate London , perhaps Easycar aside , pick branch near hotel Chiswick Park station , Gatwick Heathrow airport , delivery London location ( not think Stansted Luton airport , though check ) . 
 Dec 3 2007 	 nice hotel West London 	 due bad weather end stay extra night London . luckily manage book executive room ( 129 pound include breakfast ) Chiswick Moran Hotel . Moran hotel Chiswick recently open ( 2007 ) decorate bright ( room lime green ) , modern style . large room two read chair . bathroom walk - in rain shower bathtub . lovely dimmer light main room relaxed feel . room kettle coffee / tea making . breakfast adequate - small selection cheese meat , toast 1 kind bread , cereal , usual continental stuff . some niggly point : stain carpet room ( otherwise clean ) , expensive internet ( 3 pound 30min ) . Chiswick highroad noisy road , would always recommend stay one room face street Chiswick . 
 Nov 12 2007 	 Excellent hotel link central London 	 Booked night Chiswick Moran order see show London . stay 4 star hotel central London , bedroom size cupboard , thought would try somewhere , near tube station ( opposite hotel District line ) .We arrive midday problem check time . room size excellent enormous , comfortable bed . room everything would need , plenty tea coffee . room decorate modern style , complaint bed side light seem switch ( little bit picky ) .We use retaurant bar apart breakfast comment they . checkout need complete midday breakfast serve eleven , allow lazy morning require . staff friendly would certainly stay again . carpark cost £ 10 24 hour not think excessive consider location . 
 Nov 12 2007 	 Excellent Hotel ! ! 	 book Chiswick Moran one night ( Fri ) visit MPH Show Earls Court . hotel easily accessible motorway easily find main road . hundred yard railway station take 20 - 25 minute central London one change - short ride kew Gardens direction . hotel interior v smart . receptionist v friendly upgrade executive room arrival ! room large retro style . huge bathroom shower - much nice accomodation many hotel Central London v good standard . plus park available hotel extra cost . anticipate continental breakfast price room - £ 76.00 - excellent buffet style breakfast include full English ! ! actual room tariff £ 190 standard £ 220 executive one allocate - absolute bargain ! ! presume week hotel probably full business people weekend internet company able buy room knock rate - book www.alpharooms.com . eat hotel restaurant evening - v good food though little pricey pay convenience catch lift ! ! car parking £ 20 24 hour £ 2 per hour - leave car whilst London Saturday return around 4 p.m. save drive London find parking Saturday ! expect pay £ 28 ticket machine behind hotel - luck would - would accept new £ 20 note . husband go back hotel speak receptionist payment - say actually cheap pay reception providing stay hotel ( car park obviously also open non - resident ) charge we £ 10 total ! ! would definitely stay . staff pleasant friendly . ok little central London well worth additional 10 minute train . 
 Nov 5 2007 	 good one London far 	 stay hotel one night early November . reason come stay area - Chiswick - use live see Guy Folkes night Fireworks local park . Chiswick Moran hotel easy find although bit walk centre Chiswick , load bar restaurant ( note towner : consider spending evening Chiswick rather trecke London 's West End restaurant superb - plentiful selection budget - great night life , without stifle crowd west end . will not dissappointe . ) get upgrade suite , great modern clean . bottle champagne deliver room soon request ( part package get ) enjoy double end bath sip champagne . want ? ! also downstairs bar serve great bar food , lunch plentiful breakfast morning good too . I really find fault stay Chiswick Moran would / will come . love area hotel serve well , without forget quick transport link West End shopping area , like Kensington High Street . go ! 
 Nov 2 2007 	 Great Hotel 	 nice hotel spacious room modern decor - photo show exactly will find . restaurant also pretty good - although plenty alternative choose road . 
 Nov 1 2007 	 Fabulous Hotel 	 ( husband ) today return 3 night stay Chiswick Moran . book hotel mainly due review site certainly disappoint . decor brilliant standard hotel room book huge bed really comfortable - could fault room although say shower could powerful . rain - type shower due fact 5 ' tall , time water reach sprinkle shower ! overall hotel lovely - friendly staff , good food restaurant even though menu extensive . breakfast good ' ve adequate . get problem city centre 20 min . tube ride away . would absolutely recommend Chiswick Moran anyone would certainly stay . 
 Oct 29 2007 	 Super Hotel 	 stay 3 night partner standard room first class . tube station 5 min walk hotel give free range travel london . arrive late hotel first night prob quick check - in . room huge London compare hotel stay . breakfast next 3 morning superb . staff nice especially Victor . would reccomend hotel anyone visit London 
 Oct 21 2007 	 never stay anywhere else London 	 stay Chiswick 3 time come back . never go anywhere else go London . park car parking travel tube , Undergroud station almost across road . room spacious , beautifully decorate superb bed . second time familyroom ( 3 ) , one double bedroom , bathroom extra bedroom friend . excellent . the breakfast good , staff friendly . you look ! 
 Oct 15 2007 	 absolutely Fantastic Place Stay ! ! ! 	 five we come London Hen weekend & amp ; stay Chiswick Moran hotel . little worried quite far Central London never stay anywhere else . amazing hotel . room beautiful , bed comfortable , duvet thickest & amp ; softest ' ve ever feel & amp ; bathroom .... wow ! ! ! staff helpful & amp ; could not enough we . breakfast lovely , hot food freshly cook order & amp ; serve we rather hotplate & amp ; cereal , juice & amp ; patrie lay help . Toast & amp ; fresh Tea / coffee also serve table . would highly recommend hotel , be worth pay extra money taxi 's & amp ; London also Train / Tube station ( Gunnersbury ) road literally 3 minute walk . Taxi fare 's range £ 21 ( day ) -£40 ( midnight ) depend time day / night & amp ; take 40 minute & amp ; hour depend traffic . Tube / Train cost £ 4 single one way & amp ; take 35 minute change Hammersmith . if not want venture central London plenty Chiswick . great bar call JB 's bar & amp ; diner couple minute walk hotel , look bit dive really nice , clean & amp ; recently re - furbish . food gorgeous & amp ; staff friendly . 5 - 10 minute walk away load shop , pub & amp ; bar really not need travel London not want . also Esporta gym & amp ; Revive Spa road & amp ; hotel sort pass want use facility . highly recommend detoxify aromatherapy massage ! Hotel really make weekend & amp ; can not wait go back April . 
 Sep 17 2007 	 stylish 	 stylish hotel modern room trendy hotel bar . do not put 's west city location - 5 min . walk river Kew green ; 5 min . Chiswick high street 's myriad tempting restaurant ; 2 stop tube Richmond ( Gunnersbury tube station 50 yard ) 20 min . tube straight city . having stay ropey hotel city past ( pay good money ) hotel excellent can not sing 's praise highly enough . I will go back time ' m back London - 's location virtue tourist area fashionable Chiswick / kew local . 
 Sep 12 2007 	 leave early 	 spend 2 night Chiswick Moran can not understand highly rate . fact check early move elsewhere . overall not find staff particularly friendly . pro : - comfortable bed- spacious bathroomcons : - window not open- view ok hard see dirty windows- breakfast standard , coffee good staff quite unfriendly- lighting bathroom dim- light hang desk keep bang head on- internet cost expensive ( move another hotel charge 5 pound 3 day - Chiswick Moran charge 5 pound hour ) -reception staff seem unable help internet query command english limit - shag carpet quite stain - mirror bathroom door look like someone bathroom walk night turn light ! ! give quite fright ! trip Richmond 2 stop underground , highly recommend - lot lovely shop restaurant pleasant walk along river . 
 Sep 5 2007 	 Great Hotel Location 	 business week recently opportunity stay weekend . location hotel could better work company Power Road ( next hotel ) . not look like much outside , inside hotel really neat retro style , clean , comfortable fairly quiet . tell interior design go hotel rain shower funky light . staff extremely helpful nice , room big London hotel ( especially one town cost one ) . ample breakfast provide room huge cost saver well choice full hot breakfast continental buffet location also good since tube ( Gunnesbury ) right across street bus stop right front hotel . bus take Syon House , Kew , Hampton Court , worth visit less expensive way seeing take short walk bus stop . Tube ride London great District line major attraction within short walk like Tower Hill . 's 25 min Victoria station , watch weekend tube work may mean will make different connection still get fairly easily . Rides airport ( LHR ) less expensive go way town right LHR downtown London . definitely would stay . 
 Sep 4 2007 	 modern retro heaven 	 husband , 3 child , stay Chiswick Moran party large wedding party 31st Aug 2nd sept 2007 . set busy central road , walk reception cool , retro oasis . book independently via hotel two interconnect deluxe room ( one double , one twin ) tell arrive room next left , explain problem due old child 12 14 yrs old . compromise easily make upgrade junior suite executive room . however , enter room realise double husband sleep apart ( first night anniversary , hubby bit strop ) .The room lovely , difference two suite little big due corner building front . see picture decor . feel shag pile carpet may need replace year though start look bit bad wear , can not complain cleanness . bathroom amazing , funky modern ... love Green light box mirror . however bath take age fill hot water pressure ( 3rd floor ) poor . rain shower refreshing . breakfast ..... buffet slightly limited could order small menu ..... salmon egg coffee favourite . all hotel deserve 's rating pleasant weekend . 
 Aug 17 2007 	 1st class 	 back Chiswick Moran 10th - 13th August . trip London daughter 's 18th , sister two young lady friend girl . 1 x double 2 x twin room . room lovely spotlessly clean . bed & amp ; breakfast deal early morning meal nice way set we rest day London ! ! ( aside Wicked , well , wicked , Avenue Q good ) .Back hotel , staff friendly one girl could not open safe engineer within 5 minute matter resolve . evening , drink pricey room service lounge one night quick tasty , dear . people come Gunnersbury Tube Station , turn left go barrier 250 yard hotel right side road , will cross over . would stay - definitely . 
 Aug 15 2007 	 highly recommend ! 	 stay night , good website rate include full breakfast expectation high website . staff really friendly , hotel unpretentious , room great , big bedroom bathroom , like decor .. elle decoration 70 's twist . problem water pressure room terribly British not want complain , glad ! front desk great offer we another room amazing . huge bath , fantastic walk shower , panoramic view overlook London comfortable bed . lovely meal restaurant equally great breakfast next morning . thing would mention extra quite high , tip people drive , car park pretty expensive £ 20 24 hour worth note park pay display bay 70p per hour free parking 6.30pm 9.00am . bay adjacent hotel Power Road . internet house movie pretty expensive apart great value money staff good . would definitely go back . 
 Aug 12 2007 	 Shag pile memory 	 obviously , Australians ( certain age , ' travel well ) need sleep pretty much soon get London keep sleep exactly feel like . get comfy quiet hotel important . Chiswick Moran exactly right , stay week . cheap Ozzie standard certainly immaculately clean , spacious , light , airy comfortable . room dare say " funky " , i.e . shag pile carpet ( ' 70 ' ? ) however décor pleasing . executive room spacious bathroom . hotel modern , popular bar , noise interfere good ' night sleep . 40 minute train trip London 5 minute rail station easy reach Heathrow . excellent local restaurant pub within 15 minute stroll Hotel . need walker . tip : try little local Tandoori excellent smokey experience ! not use soap powder local laundramat . 
 Jul 30 2007 	 highly recommend ! 	 could not believe nice place . bad journey , relieved hotel lovely website claim ! room clean decorate high standard ; would not pick bathroom colour house , work ! shower especially wonderful . staff friendly helpful , ample parking breakfast great , wide selection food drink , although half disappointed croissant go time come ! location perfect attend event Gunnersbury Park easy find , even someone rarely drive not familiar area . price extremely good , pay recent stay another London hotel much nicer ! not think will stay anywhere else future . 
 Jul 12 2007 	 number one London hotel 	 stay one Saturday night order back Chiswick holiday weekend currently temporarily work overseas . book review tripadvisor . long haul flight perfect . corner room spacious smell almost new great location one end Chiswick High Road . chiswick anyone do not know lovely part London . the service great irish breakfast included freshly cook much well usual chain hotel buffet thing warm age . absolutely complaint number one choice hotel come back London . 
 Jul 9 2007 	 Fabulous Hotel 	 wow ! say ? 8 we stay hen weekend , step hotel impressed . stay 5th floor . everything room satisfaction , extremely comfy bed lovely bathroom / shower . continental buffet cook breakfast satisfaction ( although waitress get order mix 2 morning stay ) plentiful . make sure taste danish pastry ! hotel staff accomodate thank Alberto team make stay pleasant one . 's ideal location , certainly trouble commute Central London organise activity Gunnersbury tube station literally road . would definitely recommend hotel look forward go back soon rather later . 
 Jul 8 2007 	 Fantastic 	 stay hotel weekend , 7 friend love every second , upgrade executive room , amazing , room good size fabulous bathroom walk shower huge bath . staff pleasent friendly , breakfast nice . hotel close tube station get london 20 - 30 minute . would highly recommend hotel 
 Jun 24 2007 	 Nice Hotel 	 Stayed weekend find room bathroom nice , nice comfy bed great shower bathtub staff nice helpful food bar room service great . 's great hotel across road tube station central London half hour 
 Jun 15 2007 	 Fantastic Designer Hotel ! 	 stay Chiswick Moran Hotel last Saturday night , wish could stayed forever ! 's good look hotel outside step inside amazed . arrive hour check time greet warmly even give free grade Junior Suite . the room gorgeous , fantastically design high tech gadget could wish for . massive bathroom speaker - listen music channel shower ! 's two minute walk tube station - not bother pay double hotel central London . can not recommend enough ! 
 Apr 29 2007 	 great hotel great value 	 spend two night Easter . book well know hotel booking website , still give upgrade superior room arrival . superior room bite big big bathroom . new room perfect nick decor great . pay £ 72 per room per night double , include hearty full irish ( Irish own ) breakfast . also allow we check early could leave car walk across Kew Gardens rest day . Carpark £ 10 / day resident ( despite sign barrier say £ 20 ) . get travelcard underground station 200 m along road get central London . would definitely stay - comfortable , clean , friendly efficient staff . 
 Apr 20 2007 	 extremely frustrating experience 	 email send hotel stay . response receive email . Sir / Madam , stay hotel Easter weekend extremely disappointed experience . staff polite helpful throughout however two incident ruin whole experience.1 . see original booking request cot . check - in tell cot room . arrive room cot present . rang front desk tell cot available one put aside request one via internet booking . apart contradiction one room tell front desk one allocate , clearly indicate would like one via booking tell internet booking extremely annoying.90 minute evening ruin one party drive across London collect cot.2 . book junior suite express purpose able put baby bedroom able entertain members party living room . arrive & quot ; suite & quot ; discover hotel appear re - invent definition suite separate living sleeping area . I inform front desk indeed suite room hotel 's definition suite . not propose advise good way market hotel 's room , might politely suggest call single room apartment suite clearly mislead miss - sell room . regard , 
 Apr 8 2007 	 love hotel 	 take three child London stay one night hotel . can not say enough good thing . staff friendly helpful , food lovely . evening meal enjoy breakfast fantastic . room spacious , clean decor really modern bed really comfortable . drive m4 parking hotel £ 10 good tube close . find get South Ken easy quick . we will definitely stay - long next time . would recommend Holiday Inn Kensington Forum ' ve usually stay past . Chiswick Moran family friendly . 
 Apr 2 2007 	 amazing stay Amazing price 	 say . superb ! not normally stay hotel , however want something bit special go london romantic weekend . load research find ok ish hotel average review website would pay £ 100 plus night double room centre london breakfast . 's find place . slightly . 2 min walk gunnersbury tube station 20 min district line journey centre london . £ 80 pound per night include full irish breakfast ( tasty ) well continental breakfast ( eat much want ) think hotel bargain . book double deluxe room ( basic think ) however arrive , upgrade executive double . service outstanding . ring place we , find information . the room always clean tidy , gorgeous bathroom . 20 minute journey centre london , hotel definately worth . good review place correct . Chiswick high st , nearby , 2 min bus , 10 - 15 minute walk load restuarant . go sunday night . basically can not recommend place enough . 
 Mar 7 2007 	 great stay Chiswick Moran 	 book Chiswick Moran weekend stay read review Trip Advisor not disapponte . pay £ 78 per night double room ( include breakfast ) Laterooms great bargain ! ! ! hotel well situate 200 yard Gunnersbury tube station . spotlessly clean throughout . room well furnish flat screen tv , comfortable bed , beautiful bathroom shower bath . fault tea - make facility room . staff exceptionally friendly obliging London . parking would expensive ( £ 20 per day ) receptionist allow we park one free space side hotel . ( CCTV not problem . ) Breakfast include excellent standard pleasant service . the bar lively evening . obviously popular local . half price cocktail offer 7 pm weekday evening . altogether great stay . definitely back . 
 Feb 27 2007 	 sorry one night 	 choose hotel mainly review site . upgrade arrival junior suite problem furry carpet . room bright tastefully decorate everything one could need overnight stay . the shower one rainfall variety refreshing soak hit Le Vacherin Chiswick High Street ( be another review ) . get back pop bar nightcap , overly crowd nice buzz . bed comfortable breakfast next morning good , hot cold choice . staff friendly attentive . would definitely stay , get good deal Octopus feel real & quot ; find & quot ; . regard parking , sign carpark say £ 2 per hour £ 20 per day pay reception 1 day £ 10 think good . 
 Feb 26 2007 	 GREAT hotel 	 partner happy content guest . strongly recommend hotel anyone . base lovely convienent location , 20min central london gunnersbury station minute away . staff helpful friendly might add look proffesional lovely uniform . the room allocate absolutely gorgeous magnificent view area . I book room Superbreak suprise partner birthday , absolutely worth every penny . we without doubt recommend Chiswick moran hotel family friend . 
 Feb 21 2007 	 Fine hotel Chiswick 	 Fine hotel Chiswick area London - area lack decent accommodation . 's distance Heathrow require 1 - 2 change . room fine , bed comfy , food fine , staff pleasant attentive , price reasonable . decor intentionally 70 's retro mean likely look date fairly quickly good stay ! staff not seem know parking available since tell need book parking space booking room . 3 comment room ; whoever choose carpet not realise thick furry shag give feel walk pubic hair . full lenght mirror bathroom door problem . stay 4 night every night get pee shock somebody stand bathroom doorway . other less dramatic imagination may ok . finally , shaving socket . person reception tell concern guest may abuse socket .. sure . will certainly stay . will take slipper avoid carpet , razor leave bathroom door open night avoid shock . 
 Feb 19 2007 	 great stay Great Value 	 husband & amp ; return weekend Moran . fairly new hotel open 8 month say pretty impressed . stay lot 4 - 5 star hotel Europe perfect yet ( still young ) , pretty darn good . furnish modern version 60s-70s style , nicely do . bathroom nice & amp ; modern ( good tub , important ) . locate block half Tube stop . also many nice restaurant / bar within 5 - 6 block ( 10 min . ) walk hotel right Chiswick High Road . money , think really well London . book on - line octopustravel receive good rate full breakfast include . the stay not & quot ; flawless & quot ; ( bit expect brand new hotel ) , small issue hot water check , soon mention problem maintence staff verify issue , immediately upgrade Jr. Suite problem whatsoever . staff great , incredibly helpful . bar also really nice popular , want drink weekend night reserve table many people area come cool ambience . 
 Feb 4 2007 	 good quality value money 	 book Chiswick Moran strength TripAdvisor review , pleased . we stay one night , ask room shower bath get upgrade Deluxe Executive without problem . hotel high quality , friendly staff , well locate tourist come London Heathrow West happy use ' tube ' get central london . tip : use bus right outside hotel go west Kew , Richmond Twickenham - lot historic park stately home within couple mile - also get boat kew Bridge Hampton Court Westminster - Kew Bridge short 15 minute walk quick bus ride hotel . 
 Jan 24 2007 	 Love Love Love 	 fussy come hotel . read review believe could good say . however nice . modern , stylish , friendly ( london ) ideal loacation . know like come away think hope nobody ruin room stay really look forward stay . breakfast slightly par , people complain cold undercooked food , however not problem toast , fruit , yoghurt selection . suggestion even well service - would variety tea offer , lady magazine room , brand toiletry ( can not beat molton brown ! ) , ban child bar area . 
