great 	 family suite two double bed separate room queen . spacious nice view Coit Tower , Embarcadero bay . front , settle street noise view worth . one block cable car route block Fisherman 's Wharf . love location . would definately stay can not beat free parking ! 
 Jan 1 2009 	 Gem San Francisco 	 return stay two night Columbus Motor Inn . base decision stay great review Trip Advisor . not disappointed . great location ! feel close everything . the staff accommodate pleasant . arrive early request early check grant . not please first room due 's location ( near street elevator ) , immediately switch another room near back hotel lot quieter . room great . king size bed plenty room family three move around . room clean ( important factor ) . husband extremely please flat screen television . bed comfortable . read another traveler pillow feather take heed warn bring pillow since allergy . walk everywhere . approximately 5 block away ( around corner ) bottom Lombard Street get great view infamous crooked street . 15 - 20 minute walk Fisherman 's Pier street heart North Beach . really enjoy walk , head street Stockton turn right , take straight China Town . continue , will eventually end Union Square . walk enjoy wonderful sight along way . one good way see city opinion ! will definitely stay next time visit San Fran . oh , forgot mention one hotel 's highlight ... parking free ! compare $ 40+/night hotel , can not beat free . plus get great internet rate $ 79 / night hotel 's website . a couple suggestion place eat ( base recommendation we ) : San Sun Chinatown : 941 Stockton St. great food inexpensive . picture dish display make lot easy order . U.S . restaurant : 515 Columbus Ave . good italian food within walk distance hotel ( approx . 15 min ) . moderately price . like tea , check Red Blossom Tea Company Chinatown : 831 Grant Avenue . sample several tea make purchase . highlight since ' m tea lover ! note : Bay St. , approx . 2 block hotel ( head towards Fisherman 's Wharf ) , turn right walk 6 block , will find Trader Joes , Cost plus , Barnes & amp ; noble , Walgreens , plenty store . one last bit advice : be plan check CA Science Academy , suggest get extremely early . purchase ticket advance , time get line unbelievably long . holiday week , hear line long since open September . museum open 9 a.m. people wait hour arrive even open . end get refund wait two hour , yard away entrance . sign we get anytime soon . also , find parking get in / out park entire nightmare ! alternative , go Discovery Museum near Fort Baker . great place kid ! http : //www.badm.org / wonderful view Golden Gate Bridge . could not drag 6 y / o place much fun . 
 Dec 23 2008 	 great hotel 	 stay inn one night 14th Dec . room spacious great flatscreen tv . mattresse comfortable wonderful stay . heater spoil though , staff kind enough carry portable one room . also walk distance nearby attraction like Lombard St Fisherman 's Wharf . 's , be free parking ! definitely stay ever chance visit San Francisco . : ) 
 Dec 1 2008 	 Good Hotel 	 hotel clean throughout . room big average nice . large flatscreen tv nice room back quiet . nightclub next door close will not noise there . the guy front desk helpful make booking we . location good ( one block cable car stop ) . 
 Nov 30 2008 	 Perfect Family 	 wow , believe outstanding review ! great little motel . clean , room spacious perfect location . stay 11/22/08 - 11/25/08 suite . pay around $ 100 per night plus tax . great suite ! room 313 . stay back building , super quiet . room king bed main room flat screen tv queen bed second room 's flat screen TV & amp ; phone . bathroom regular size , nice shower pressure plenty towel . bring shampoo / conditioner shower gel . shampoo supply . the motel photo Columbus website justice . room much nicer update . apparently housekeeper sister work 28 year . clean freak ! everything immaculate . love space husband son plenty privacy space chill long day sightseeing . guest quiet respectful , like stay large Hyatt Hotels always much hallway commotion large chain , problem . watch Sponge Bob night could watch tv show , cool . eat Pat 's Cafe around corner , cute good food . like Joanies Diner much . Noah front desk knowledgable staff . weekday . weekend guy nice , not know much restaurant . parking easy free ! space bite small , always enough parking spot . 2 level garage . ideal nieghborhood . yes , Little Italy ( try Golden Boy Sicilian Pizza ) Fishermans Wharf block away . Trader Joes , N , Cost Plus , Cable Car , Barnes & amp ; noble block away . CA Academy Sciences , crowded enjoy , go Exploritorium instead . ok , bike accross Golden Gate Bridge - bike shop play difficulty level . bike path identify well . would recommend child 10 adult fairly fit . quite trek get , 4 hilly mile bridge , noisy stressfull car etc .. well drive park nearby walk bridge take photo . see nieghboring hotel ( Hilton , Sheraton , Marriot , Holiday Inn ) realize insane bargain . nieghborhood , big room free parking . brainer - stay Columbus Motor Inn , absolutely wonderful . 
 Nov 21 2008 	 stay ! ! 	 great review , decide give try . great place ! ! CLEAN .... pet smoking ! couple block away wharf hotel . request refrigerator , 3rd floor room away Columbus Avenue ( get noisy management advise take room away street light sleeper ) late check ..... everything request . think room nice size compare hotel . arrive late evening , Denny 's restaurant several block away Holiday Inn . Joanie 's Happy Days Diner approximately 3 block away ... great breakfast . cable car turn around close .... everything walk distance . free parking plus ! wharf hotel $ 100 night ... get monie worth Columbus Motor Inn ! ! ! 
 Nov 9 2008 	 Excellent Location Good Price Great parking 	 highly recommend Columbus Motor Inn visit shopping downtown SF , Fisherman 's Wharf , Nob Hill , North Beach , etc . within 3 block Ghirardelli Square , Buena Vista cable car terminal . room nice ( Room 302 ) large flat screen tv large bathroom . could see Alcatraz Coit Tower 3rd floor room .. good part hotel free on - site parking . convenient safe . safe , although overly friendly , vary efficient competent . 
 Nov 5 2008 	 Clean Motel Free Parking 	 Columbus Motor Inn plain , clean motel easy , , free parking lot street level . valet parking not need . II 's economical anyone need car SF . stay 5 night . couple night bite noisy late nearby night club . 's good place stay experienced traveler not need lot coddle staff although front desk people quite pleasant . 's motel , hotel . 
 Nov 1 2008 	 Feather pillow available . bring sleep without . 	 hotel type disappointed place . problem contact front desk one answer say call right back one ever , problem try book room first place answer . room large clean look pillow feather call front desk pull 5 option pillow feather allergic feather late go purchase new pillow , turn leave since fit luggage . waste money pillow . look find new hotel pain sleep roll towel . guess feather allergie common hotel . 
 Oct 27 2008 	 fantastic location 	 not single complaint stay . room clean , comfortable , modern ... complete flat - screen tv . girl ... hairdryer room ! not whole lot interaction staff toward end stay , accommodate , even call cab take we back airport run late last morning stay . my comment ( reason four star instead five ) Columbus Motor Inn incredibly close Fisherman 's Wharf San Francisco attraction , close major BART stop . plan use public transportation instead taxi , plan figure bus schedule beforehand will come handy . 
 Oct 26 2008 	 Real gem 	 reading review Trip Advisor , decide give place try , must say exceed expectation . lovely room balcony overlook Columbus Avenue . bed comfortable enjoy flat screen tv . room clean , staff friendly . within walking distance Fisherman 's Wharf , Alcatraz Tours , chinatown short bus cable car ride many attraction . thing lack in - room frig . free parking wonderful real saving . definitely stay next time San Fran . 
 Oct 15 2008 	 Excellent Quality Value 	 read positive review , decide give try . need one night city , also want hotel well / centrally locate . review right - reasonably price free parking , room exceptionally clean ( clean expenisve place ' ve stay ) room seem quite quiet . right around corner cable car make fun convenient get downtown , block Fisherman 's Wharf ( disappoint , way tacky , overpriced / horrible food ) ... lesson learn least ! plan go back much long stay would likely stay . conceriage / desk ( Noah ) truly helpful well . 
 Oct 6 2008 	 good location 	 say 3:00 check little ridiculous . arrive hotel 2:00 know 3:00 check . paper work tell guy front desk would go Wharf , eat come back take luggage room . return 2:55 call see room ( 1st floor ) ready . wait ten minute . room nice clean tv bed help stay , although pillow need send pasture . not take pillow case day leave . for future stayer , would recommend stay corner area 107 . four door right . door slamming bother night , never mind . 
 Sep 28 2008 	 Nice Value 	 Hotel good location walk cable car , Wharf , Pier 33 Alcatraz Tours . everywhere else want go reach car , also make easy parking Columbus Motor Inn free , big plus . reception staff friendly . would nice mini fridge microwave , otherwise , nice place would stay . 
 Sep 26 2008 	 silver anniversary 	 great location walk fisherman wharf downtown . Terminus street car across road . 2 room suite 2 double 1 room , 1 double room . tv room . view window great . would reccomend 3rd floor room face columbus ave get view . newly decorate car parking well . 
 Sep 24 2008 	 Free Parking ! 	 free parking terrific location sight seeing . walk take cable car everywhere . 2 bedroom suite flat screen tv room . , comfy bed . room clean , staff friendly helpful , price reasonable . could ask anything . definitely stay next San Francisco trip . 
 Sep 12 2008 	 Excellent location value money 	 book motel direct call UK get deal find online . location superb first time visitor San Fran , check - in staff friendly room luxurious - comfortable bed , large tv , large bathroom etc . transport link good well ( near bike hire , tram etc ) . room front ( road ) quite noisy would recommend try get room back . would highly recommend place somewhere comfortable stay San Fran . 
 Sep 6 2008 	 good buy price 	 despite negative report book anyway . free parking location public transportation condition accomadation well anticapate staff helpful 4th stay sf staed waterfront sir francis drake find money much well deal much make cont breakfast even tho take choice room servge purpose yes would absolutely stay george canton 
 Sep 2 2008 	 Location Location 	 apart pay fortune view Bay difficult imagine well location first time visitor SF . room reasonable size , clean well furnished . whilst offer little way extra , ( pool restaurant ) area many bar restaurant within twenty minute walk add bonus free parking great give daily cost $ 40 elsewere . all difficult beat 3 - 4 day visit family . incidentally unlike reviewer find front desk staff friendly helpful . 
 Aug 31 2008 	 problem 	 stay night August , fancy motel , perfectly adequate . clean room quite big . parking fine . good location , walk pier , way good resturant . believe comment Trip advisor , use past comment book accomodation Amercia 3 week , problem less . turn leave motel , come cafe call & quot ; Joanies & quot ; great breakfast available there . Fishermans Wharf brash busy , August , hop bus great , book Alcatraz England . need book island peak time , many people turn away fully book . would recomme motel . 
 Aug 29 2008 	 Walk Fisherman 's Wharf 	 other say , great little place within block Fisherman 's Wharf area . clean well keep , staff good . Noah front desk informative weather around bay area well . stay two different night one week , travel wine country , satisfied . choose Columbus Motor Inn rather possibly big name place price , assurance would parking space hotel search downtown street parking , pay outrageous fee park already pay hotel . great decision parking real PITA city , everywhere . could find parking street , meter , questionable . lucky find safe look garage , expensive . wharf want $ 7 per hour , walk hotel ! factor decision . room comfortable flat - screen tv nice well . will make one favorite place certain ! will post picture take room look Columbus toward pyramid Coit Tower . 
 Aug 24 2008 	 Great Location 	 Columbus motor inn great place stay San Fran want close Fisherman 's wharf , Pier 39 , touristy activity . King - queen suite , husband , teenage boy . perfect size us room bed update recently . comfortable room . continental breakfast , close Safeway pick bagel donut morning . free parking . would definitely stay . 
 Aug 19 2008 	 average motel good location 	 husband two teenager go california two week stay 4 differant motel san fran san diego . use trip advisor reference book trust review accurate surprise arrive .. columbus motor inn good location clean free parking bonus . basic much impressioin make we . room small 4 we . view ask specific room . go roof top nice view . think maid service terrible . one woman whole 3rd floor not get room twice 5nights . love location . within walk distance wharf north beach great dining option . choose price location know basic . look stay want keep look . 
 Aug 14 2008 	 great find - wonderful hotel location ! 	 almost regret pick hotel arrive drive couple hour . arrive early around 11:30 upon enter lobby , desk guy ( not get name , unfortunately ) feel little bit rude make comment , & quot ; not room available . not know check - in time 3:00 ? early . come back then . & quot ; little shock tone . say nicer manner , think would not worried . , allow we leave car parking lot without check . parking free - huge plus since notice many nearby hotel charge anywhere $ 30 $ 40 night . return 3:00 ! man check we pleasant maybe take comment wrong way . , pleased room . spacious clean appear renovate recently . flat screen tv , great plus husband kid ! major cable channel seem available . location well . walk distance Fisherman 's Wharf / Pier 39 Ghiradelli Square . cable car stop block away bus stop right outside . front desk staff nights/3 day helpful ( even first guy ) . even able point laundromat couple block away . helpful we ! notice want ride cable car , good time 9:30 line start wrap around turntable . first line get 9:00 . shop around many hotel area must say nice , clean room great price , place . enjoy stay probably stay . 
 Aug 11 2008 	 great find SF 	 real find great location great city . locate North Beach , within walk distance Fisherman 's wharf great restaurant . free parking , spacious well - appoint room . lobby . ask rear room prefer quiet view . 
 Aug 9 2008 	 great location free Parking 	 extensive research internet tripadvisor decide Columbus Motor Inn would hotel San Francisco 3 night 155 , - usd / night . mainly good rate since July 4th , great touristy location especially free parking ! get really expensive annoying pay parking San F. ! hotel easy find surprised big garage tiny ' lobby ' ! make sense though ! check - in fast friendly ask large & amp ; quiet room . pleasantly surprised room refurbish look nothing like internet home page ( ! ) room look bit date ! room nice size two bed , nice big flat screen tv , desk , two chair even safe ! also big window could slide open , great ! bathroom nice dark hair floor previous occupant , negative issue . ask front desk clerk ( Noah ) tour etc . kind helpful ! hotel minute walk away action wharf area way wharf also starbuck cable car station . close hotel bar indian restaurant . like tripadvisor member highly recommend Columbus Motor Inn ! 
 Aug 8 2008 	 ideal location great value SF 	 rough time find accomodation SF . would find great deal realize parking rental car would cost we extra $ 100 . problem solve discover Columbus Motor Inn ! property locate close Fisherman 's wharf sit # 30 bus line provide easy access rest bay area . also within easy walk distance cable car line great eatery . one day take 30 bus bart station go Oakland 's game . day walk block hop cable car take we Chinatown . walk back hotel take Coit Tower Lombard street along way . parking free huge plus SF . room two double bed flat screen tv wow kid . room clean nice view window . front desk staff helpful give we dinner breakfast recommendation well spell mass transit option available . downside lack continental breakfast . however , free parking really make that . we would definitely stay Columbus Motor Inn ! 
 Aug 7 2008 	 decent place great location ! 	 stay 5 night wife 2 teenage son . 2 - bedroom & quot ; suite & quot ; perfect . clean neat , large - screen flat - panel tv room . amenity outside room , location block Safeway Trader Joes , well two cable car . bus right outside get either end city . 4 block wharf area . get AAA discount , sure check bill leave . refridgerator extra $ 5 / night . 
 Jul 30 2008 	 great place stay 	 stay hotel 3 night July . request room back mini fridge . receive check . room really big . look like recently update new carpet linen . bed extremely comfortable . huge flat screen tv wall . hotel within walk distance Fisherman 's wharf great restaurant . block Lombard St. Front desk staff really helpful , especially Noah . take # 30 bus right front hotel see Giants play diamondback . not change bus get back without problem . easy . this great place stay would definitely stay . 
 Jul 30 2008 	 like great secret 	 wife normally book website , Bay Bridge pack laptop hand , say let stay city pick place drive area want stay . great decision Columbus . wife 's birthday , present we . newly remodel room , extremely clean spacious balcony look right coit tower . 42 & quot ; flat screen LG tv . Wolfgang puck coffee room , key code safe , comfortable bed ... etc etc etc $ 145 free parking ... not get better~ 
 Jul 30 2008 	 wonderful value great location 	 family four return great stay Columbus Motor Inn . location motel perfect . park car never move - easy walk Fisherman 's Wharf & amp ; China Town . motel staff extremely helpful - early check - in print airline boarding pass . room nice clean . overall fantastic place stay ! 
 Jul 23 2008 	 hard beat Columbus Inn 	 great safe location Columbus Ave , easy walk Lombard St Fisherman 's Wharf . free , secure , onsite parking , recently renovate room . spacious , room 2 Queen bed , couch , even flat screen tv ! comfy bed , clean bathroom , parking , $ 150 / night ! site dining , San Fran , go ! highly recommend budget conscious traveler 
 Jul 19 2008 	 Super stay Columbus Motor Inn 	 husband recently stay Columbus Motor Inn 2 night . fantastic stay . the hotel really clean room ( 103 ) large . we arrive early hotel give we early check - in expect . overall , would hesitate recommend hotel . 
 Jul 16 2008 	 newly refurbish motel Columbus 	 book 3 night early July base upon recommendation tripadvisor . glad location excellent - easy walk Fisherman 's Wharf , Ghiardelli Square , Pier 33 Alcataz , tram , fact everything close hand . add bonus free cover parking , clear sight reception area . plus , room completely re - furbish lovely plush bed , huge flat screen tv , new carpeting etc whilst fridge room , 's ice bucket ice machine near lift . great choicce reasonably price . Noah Reception also deserve mention helpful idea restaurant sightseeing also welccome . thank Noah . 
 Jul 12 2008 	 Great Value ! ! 	 stay 2 night , well expect . free parking ( great bonus ) , nice neighboorhood good restaurant store , need walking distance , friendly service . walk distance Fishermans Warf . good value . 
 Jul 10 2008 	 great location 	 Columbus Motor Inn make great base explore San Francisco . husband spend pleasant week complaint . be luxurious , room clean comfortable great view overlook Columbus street . thank # 30 bus outside front door , nearby F line , cable car , not worry fight parking city . another huge bonus hotel car free parking . first level garage usually full , second level always room . 
 Jul 8 2008 	 Great Bargain Clean Walking Distance Fisherman 's Wharf 	 old modest hotel , clean , well price , staff helpful , free parking , within walk distance Fisherman 's Wharf , Ghiradelli Square Pier 39 . would definitely stay , good bargain , especially San Francisco ! 
 Jul 6 2008 	 Columbus Motor Inn terrific family budget . 	 Columbus Motor Inn great place stay family . short walk Pier 39 Fisherman 's Wharf . bus stop front hotel , one Cable Car stop block half hotel take Union Square . ( would highly recommend pick 1 - day 3 - day Muni Pass airport stay . ) also , number great restaurant four five block Columbus Ave . fact , front desk manager , Noah , never steer we wrong great restaurant block hotel . stay hotel two family , teenager . love place . regular room great family four , suite perfect family six . price location , can not beat Columbus Motor Inn ! ! ! 
 Jun 27 2008 	 great Stay 	 Great Hotel wonderful price SF . location close variety restaurant within walk distance Wharf Piers . staff firendly room comfortable good size ( king ) . would stay . 
 Jun 25 2008 	 Loved Columbus Motor Inn .. 	 read many great review hotel , disappointed . stay six day really happy location . close cable car stop , muni route Bike n Roll rent bike . also , quick walk Fisherman 's Wharf . the room newly renovate , good size quiet , back request . carpet , flat screen tv , mattress , pillow , everything relatively new . bath area tiny hotel old , nothing . family four , rotate everyone . totally worth free parking , great location ( us ) staff helpful . great map lobby staff give we easy direction get we way . parking also secure security camera viewable front lobby . 
 Jun 20 2008 	 expect - great 	 review state - great gem . 's close Wharf . 's accessible public transportation . 's locate safe part town . Ritz , need clean place stay affordable rate . much else say - like lot ! ! would recommend Hollywood Cafe North Point breakfast . great portion , price service . 
 Jun 17 2008 	 Location Location Location 	 place hidden treasure . price right , offer free parking key San Francisco . nothing fancy . clean helpful help . walk Warf , park restaurant . 
 Jun 15 2008 	 pretty much expect 	 book due location free parking . three we stay three night everything fine . frill room rate great , cheap 6 hotel stay trip . room bathroom clean functional . would stay . 
 may 28 2008 	 great price 	 place well expect . free parking room even balcony . location walk distance Fisherman 's Wharf , room big clean . would definitely recommend stay . 
 may 27 2008 	 super location 	 hotel last stop honeymoon location ideal . base Fishermans Wharf block away cable car , less 15 minute walk pier 33 ( alcatraz tour depart ) .The room must renovate - carpet new everything clean . highly recommend location sightseeing near transport 's parking . staff helpful local attraction transport . 
 may 22 2008 	 good location transport link free parking 	 despite many recommendation tripadvisor stay hotel near Union Square , choose one wharf italian quarter car ( much trouble cheap hand re - hire onward journey ) free parking . San Francisco little difficult navigate ' put car . after visit , glad pick location prefer Union Square area visit day evening . main aim shopping , Union Square may taste Yerba Buena garden area SOMA ( well worth visit ) lovely homeless situation rather depressing ( yes , know ' part every city quite sadden sheer number ) . find wharf bit tacky enjoy see sea lion easy walk Alcatraz boat Fort Mason ( lovely park community garden ) . italian North Beach close cable car stop around corner run well midnight . buy 3 - day pass cable car , also allow unlimited transport bus tram $ 18 – think good value consider single one - way ride cable car cost expensive $ 5 each . the hotel cover parking although ' appear many space , lot never completely full . access lobby parking area check quick straightforward – map available desk useful also give bus route attraction may want visit – Golden Gate park fabulous ( bridge course ) . make reservation hotel website , request room face street third floor floor undergo renovation second story . ice cold drink machine available . room clean decent size , bed pillow comfortable . large flat screen tv together coffee make facility . breakfast , place nearby – unlike previous review , ' good experience Pat ' Café ( almost cold potato bland , soggy omelette ) ' subjective . bowl apple lobby morning may enough last couple hour ( tend get bit tired eat every meal holiday anyway often either breakfast lunch ) . , happy choice hotel price would stay . free parking bump rating . 
 May 11 2008 	 great motor inn ! 	 stay 3 night begin 16 night tour west . book property use advice fellow trip advisor traveller . motel exceed expectation . we rent car airport able park 3 day problem free car park beneath hotel . go early evening drive along marina able get space return . I request 2 quiet room party 5 . 2 bedroom suite situate back little view quiet . - king room , situate right elevator ice machine front busy road ( though view ) . guess win lose . ask , tell could move room if / when one become available decide stay put like room . our floor , think 2nd floor , look like recently refurbe . room clean spacious large flat screen tv . also little balcony , time use . coffee maker , iron board hairdryer . it 5 - 10 minute walk bay , little long reach pier 39 . would highly recommend Pats cafe breakfast , road slightly leave ! lot italian restaurant nearby . cable car also 5 minute away . all would definately recommend place , especially rate low . great value . 
 May 4 2008 	 good deal town ! ! ! 	 hotel clean roomy . everyone helpful , especially Noah . we welcome back day trip greet every morning . thank wonderful stay ! Nancy & amp ; Dennis RI 
 May 3 2008 	 decent ; smile want 	 decent place stay san francisco . clean room . 10 min walk fisherman 's wharf , & lt ; 5 min cable car station union square . free parking . reasonable rates.best thing room : large lcd t.v . ( not see one hotel class / star - rating ) . front desk personnel helpful informative . wish would smile talk . would meant pleasant experience . word fisherman 's wharf .. authority need something homeless drunk roam place . incident scare [ - ] : drunk enter burger king restaurant two young kid start harass couple eat table next kid line counter . rush kid ' side drunk begin challenge 2 male beside fight . demand give food . good thing throw manager . geesh ! way , happen around 7 pm . 
 may 1 2008 	 good place stay San Francisco 	 great place stay San Francisco . location convenient . right near bus cable car line well block Fisherman 's Wharf . hotel clean comfortable . travel alone young female sometimes bit intimidate feel safe hotel . although not car trip , love fact free parking huge plus large city hotel usually overcharge parking . return San Francisco definitely stay hotel . 
 Apr 29 2008 	 wonderful San Francisco Hotel 	 spend 4 wonderful night Columbus Motor Inn . great hotel . locate block Fisherman 's Wharf direction many wonderful italian restaurant North Beach . read several review website thankful . great find $ 79 night . front desk fellow , Noah , helpful we -- give we good suggestion help we figure bus system . would highly recommend hotel -- nothing fancy , great location , clean helpful personnel . 
 Apr 27 2008 	 Great Value 	 hotel great choice number reasons:1 . cost - good price hotel . pay $ 99 week $ 116 weekend . give location , great value.2 . location - easy walk Fisherman 's wharf hotel . edge North Beach , short block direction reach many italian restaurant North Beach area . walk back China Town hotel nice leisurely walk far.3 . room size - room basic , large . plenty room everyone spot luggage . travel friend sink area separate shower area much easy get ready morning.4 . Staff - Front desk staff helpful . provide tip place go , book tour us arrange taxi airport . if be look basic hotel great price good location , look . highly recommend hotel anyone visit San Francisco . 
 Apr 12 2008 	 love stay 	 arrive long journey , park hotel car park walk lobby greet Oscar , even glance , word ' name ' . pre book refrigerator , tell not one available morning . , good start . room two double bed , small table two chair wash basin outside bathroom , useful . quite adequate , importantly , clean ! next morning one wake someone vacuum outside room- really early- lie . sure enough , fridge deliver room promptly morning . room side building , overlook ' Bimbos ' club . however , issue noise stay midweek . location perfect . walk almost everywhere- even Union Square back - although quite distance . drive Lombard Street leave S.F . love San Francisco think hotel represent good value money , particularly not use car arrive depart , free parking mean not either pay lot park take hire car back rebook another one . 
 Apr 6 2008 	 Frills Excellent Choice money 	 recently stay ( March , 2008 ) Columbus Motor Inn . family 4 stay queen , Queen , sofa room . read review , pleasantly surprise amount space within room . motel clean , quiet 3rd floor back close city transportation fisherman 's wharf . $ 264 total 3 night . Noah front desk polite helpful . would definitely stay . 
 Apr 4 2008 	 Great Location 	 spend 7 night hotel mid March . first give room front husband , light sleeper , find noisy . request change do swiftly room opposite much quieter . room large maybe little date clean bed comfortable . staff helpful informative . return back late one night tired find place eat Noah give we takewaway menus pizza deliver within 20 minute . unheard UK hotel frown people anything room not buy premise ! location excellent , cable car 1 block bus stop outside . buy MUNI pass , get monie worth 7 day pass first two day . out hotel turn leave 5 minute Fishernans Wharf , turn right Columbius Avenue full resteraunt . directly opposite irish bar Curry house combine ! not car trip next time would definately take advantage free parking . last vistit San Francisco stay upmarket hotel Union square find location friendlyness staff well hide gem 
 Mar 30 2008 	 great location 	 come back California trip , stay san francisco three night columbus motor inn . find motel great location , everything walk distance , staff extremely friendly helpful . room spacious , need update . bathroom old look alittle mold grow along windows shower ceiling . nothing offensive , little gross . basically clean facility , would stay . check inform renovating . first floor already do currently work second floor . wish know time booking , would chose first floor . good value find . 
 Mar 28 2008 	 Perfect location great deal 	 family four ( two child , age 8 5 ) stay two - room unit 6 night . location PERFECT . take # 30 bus almost everything , cable car stop close . eat breakfast Pat 's Cafe right around corner . first floor face courtyard hear noise . location safe quiet , parking free . amenity basic far linen room feature , adequate clean . favorite dinner Macaroni Sciuè Sciuè - take # 30 bus get ! think reason pay triple price somewhere else . 
 Mar 28 2008 	 Perfect location wonderful stay 	 come back 5 day stay Columbus Motor Inn San Francisco . first , let thank Trip Advisor member state great place -- take advise go it.the location perfect , right Columbus -- walk major spot : North Beach , Coit Tower , Chinatown , Fisherman ; W. , great restraunt ..... , cable car , muni line literally doorstep . plus Safeway Trader Joes need something . the front desk answer question . the hotel remodel everything new . and Free Parking ! ! ! ! major Plus ! park car experience SF foot -- -you disappoint . the drawback like stay place breakfast snack . Columbus . coffee maker get start ( bring coffee though , weak ) price low place area -- -so ok . 
 Mar 22 2008 	 great place GREAT price ! 	 book internet get fantastic price ( $ 79 night 2 bed ) , read review tripadvisor fairly confident would work . 2 daughter , 11 & amp ; 15 , nervous first area since dad wa not we first night fine . room big ( 301 , corner ) perfect 2 night , say could easily stay week feel cramp . short walk Fisherman 's Wharf feel perfect location . 2 day city buy & quot ; Wharf Pass & quot ; , give we great thing see lot city good price . give we destination instead wander around . also rent bike Blazing Saddles bike bridge Tiburon , not believe ' 16 mile ' tell ! ! wonderful ride took long expect . overall , experience ciry amazing can not wait go back . 
 Mar 16 2008 	 Location location location 	 stay 30 anniversary . love ! clean roomy . little deck face Columbus St. 1 1/2 block cable car turnaround , kiosk muni pass $ 18.00 three day one , get one ! worth single cable car ride $ 5 one way . free parking bonus , car move four day , FW , sightsee thing far away . Recommend Alcatraz Tour . excellent rate $ 79 nite . would defineately stay . 
 Mar 16 2008 	 go SF stay 	 Booked hotel direct follow read review trip advisor . disapointe . room rate excellent value pay less $ 300 3 night trip . room well appoint large . columbus face room third floor , balcony , could watch world go morning , also view bay alcatraz . free internet access room add bonus , feature , room clean daily excellent locatation 2 minute away fisherman wharf . shower great also , need beer night . reception staff helpful also couple traditional US bar across road handy . definately return hotel would wholeheartedly recommend . 
 Mar 10 2008 	 Bargain Bay 	 stay 3 day King / Queen Suite $ 105 rate per night . free parking easy walking distance wharf , North Beach , Chinatown , hard imagine deal could beaten . room spacious clean bed comfortable . Noah especially helpful friendly front desk . 
 Mar 3 2008 	 Decent Hotel Reasonable price 	 stay Columbus Motor Inn 3 night . stay 2 bedroom room . bedroom 1 double bed , dresser , tv closet . othe room ( door room privacy ) 2 double bed . tv , dresser , small table chair sit room . also coffee maker locate room . bathroom decent sized . sink separate toilet / shower . room ok general . clean daily maid service . get face Columbus night pretty loud -- - bus , car , truck noisy . room could definitely use upgrading modernizing . , give price pay good value decent place stay . good thing hotel free parking ! would nice offer continental breakfast , not big deal . free internet access also nice . the hotel locate 5 minute walk Powell Mason Cable Car turntable . recomme buy 3 day pass use SF Muni trasit cost $ 18 . one day pass cost $ 11 . one way ticket cable car $ 5 ! ! ! , definite saving get one pass . also , number 30 bus stop right front hotel go China Town Union Square . also convenient pass good bus too . Fisherman 's Wharf 10 minute walk away . also Safeway Walgreens within 10 minute walk . 
 Feb 26 2008 	 San Francisco 	 hotel ideally situate , clean cheap , pay around £ 40 per room per night . there 2 double bed , tv , coffee maker , good size bathroom , maid service daily towel etc change want . there drink ice machine landing . the concierge , Noah , amazing , nothing much trouble , knowledge area site , travel route etc fantastic . I would suggest day travel ticket cover transport , cable car $ 5 one way , much cheap buy day cards.the area hotel populated cafe , restaurant pub ( irish bar across road ) visit Fishermans Wharf approx 10 minute walk away . a cable car ride must visit Alcatraz well worth ( approx $ 25 , book internet travel place hard get peak time ) Golden Gate little disappointing red gold , nice say see it . bus great way get around , stop nearly every 100 yds , hop feel like . 
 Feb 4 2008 	 nice hotel decent price good location 	 stay 1 night girlfriend . try book room property website , use SSL encryption ( safe credit card personal information ) , contact via phone . got rate via phone one quote online . hotel free parking definitely perk . hotel lobby small locate near parking lot . check - in fast easy . room spacious , pretty bare . tiny balcony overlook Columbus Ave view Coit Tower . room free wire Internet , ethernet cable short could barely get laptop bed , long enough laptop night stand . room safe . hotel offer free breakfast . hotel 2 block away San Francisco Cable car terminus Powell - Mason line Taylor Bay Street , walk distance Fisherman 's Wharf . Fisherman 's Wharf several place breakfast , Denny 's IHOP , 5 - 10 minute walk away . hotel also 4 block famous Lombard Street ( Crookedest Street ) . walk landmark , warn walk steep hill get bottom Lombard Street . exhausting , health problem push stroller , try avoid approach Lombard Street way . staff friendly let us park car check another 4 hour sightseeing . overall nice stay good price hotel . 
 Feb 3 2008 	 good price 	 Stayerd last two night west coast . we stay king room street side ( quiet side hotel sell apparently ) .Street noise not bad , luckily heavy sleeper . room clean , functional HUGE . bathroom also clean . despite old style room furnishing find good choice pay . a word warning , make sure get room near ice machine , extremely loud seem make lot noise ever pass it . the location excellent , far enough away tacky Fishermans Wharf right edge italian section . many fantastic restaurant cafe . 
