pleasantly 	 wife travel Thanksgiving weekend get - away . choose Whiskey Pete ' pet - friendly hotel bring along Boston Terrier we . little concerned room service would read review Trip Advisor , figure " heck – let ' give try anyway . " arrive , five couple front we check well . one hotel clerk working , process take little long start long holiday weekend , 15 - 20 minute make hotel desk . young woman work extremely friendly efficient , get we check problem delay . explain put we room set - aside people pet course expect , think sure mean old , dirty , stinky room . but get room , discover fear unwarranted . room large , clean ( carpet , bathroom etc ) , great view outside pool , good , smell like completely deodorized . certainly Ritz – great room – especially low price pay . the casino staff also friendly helpful . give wife T - shirt pick player card also compe we ticket Country Superstars Tribute show nice little gesture really start weekend well . we highly recommend try place next time ' look inexpensive get - away . 
 May 9 2007 	 fun ! 	 Thought stateline really far Vegas , turn 40 minute drive short try travel place place Vegas . Stayed Whiskey Petes . nice staff reasonable accommodation . enjoy Herman 's Hermit concert seem pretty cool act future . look forward next trip ! 
 Apr 20 2007 	 ok . 	 be really bad place -- stay Las Vegas bad . first , not really clear go register . big entrance front go straight casino , weave way slot machine get desk . , common many hotel town , especially old one . entrance side , next monorail , go straight registration desk . line check - in computer . 7 p.m. seem people choose time check , line later . room 15th floor , decent room , apparently whole floor non - smoking . glare huge spotlight keep room totally dark . buffet close 8 p.m. , not particularly hungry , take monorail Primm Valley Resort ( formerly Primadonna ) find place could buy pizza slice , good enough . look selection buffet not many choice say , not hungry enough get money 's worth anyway . next morning eat coffee shop Whiskey Pete 's good IHOP , complaint . , $ 25 , want Bellagio ? good enough , complaint . oh -- pool open Friday Sunday , take account . big spa available 24/7 . still want swim , take shuttle monorail across highway another hotel . hotel ownership 's big deal . 
 Apr 17 2007 	 whiskey pete 's 	 stay Whiskey Pete 's Spring Break . find room nice clean . furnishing tasteful comfortable . shower die , ton pressure lot hot water . staff encounterd friendly helpfull . pool area really great . kid enjoy waterslide . slot loose drink come fast . not complaint place price not think get well deal anywhere . totally go stay . 
 Apr 17 2007 	 go hill 	 second stay Whiskey Petes , third Primm , one Primm Valley . we dissapointe , place go hill since stay last 2005 ( 2006 pv ) . room much worn place seem scruffy . see take Terribles course may do much improve place . let us hope Terrible 's something control . in casino table 's seem friendly time play hour Keno shut 11 pm unless drive Primm Valley . eat buffet , rush back , be get one bad , plastic plate , glass dull food . we mind past 30 min drive Vegas time road work drive make drive hard work . overall unless tight budget would say try somewhere else . 
 Apr 12 2007 	 get Pay ... 	 first , Whiskey Pete ' Hotel Casino build 1977 . therefore , choose stay particular facility , please bear mind ' stay 30 - year old hotel . year , hotel undergo periodic cosmetic renovation . nevertheless , ' still old hotel . word , hotel clearly show age relative room overall layout facility . ' expect get " Vegas strip " quality room $ 26 per night , ' sadly disappoint . however , ' comfortable clean , yet worn room , ' satisfied . I recently stay one night Whiskey Pete ' Hotel Casino motorcycle ride . expect , entire hotel ( i.e. , exterior interior ) look worn . , ' 30 - year old hotel . comparison casino / hotel Vegas strip , place tremendous bargain . book non - smoking room vegas.com $ 26 , include taxis fee . check - in process quick smooth . room two queen bed locate 19th floor , high floor hotel . bed basic " Motel 6 " quality view rear parking lot ton desert scenery . although room clean well stock towel , plenty stain chair carpeting . furniture , cheap worn . fact , nightstand entertainment center numerous cigarette burn mark , guess somewhat common casino hotel . wall literally " paper thin . " every time someone decide flush toilet take shower , could hear stereo high definition quality ! toilet paper holder bathroom break , ' much inconvenience . inside elevator vandalize graffiti etching several light within corridor either burn near death ( i.e. , flicker ) . carpeting throughout hotel old , clean . if ' hungry morning , avoid hotel ' breakfast buffet . although ' $ 7.95 per person , price give enough concern stay away . frankly , ' much food critic , ' definitely get well meal Denny ' . however , still decide venture breakfast buffet , definitely stay away ham french toast . first , ham taste odd . fact , upon close inspection , ham appear process . french toast , hard rock taste awful . ' look stock freebie kid , ' definitely recommend take several home . dessert section assortment donut pastry , look ' purchase local supermarket . , ' expect get much $ 8 . ' McDonald ' restaurant right next hotel ' buffet , ' recommend instead . overall , staff hotel outstanding . everyone extremely friendly professional , make hotel bearable . , $ 26 ' really expect much . say , get pay . 
 Apr 7 2007 	 Thought Good 	 arrive Las Vegas 3/27/2007 9:00 pm drive Primm . pick baggage , get rental car agency , pick car end arrive Whiskey Pete be around 12:00 3/28/2007 . reserve room ahead time , taxis around 25.00 night . pleasant lady check , take 5 minute time day . room 1029 , clean comfortable . room could see parking lot , also nice view desert mountain . bed linen bathroom clean , problem . carpet clean carpet hotel see kind turnover . mean , really , people come would clean every day . sock not black walking . ' m impressed amenity opulence , require clean room . room clean . staff member encounter courteous . not see & quot ; bum & quot ; around . room not opulent bed , table , etc . , not 5 star category , expect 25.00 night ? furniture room not shabby . give hotel 4 category clean cheap . would definitely recommend would stay . breakfast cafe good . egg cook exactly request , pancake big plate . think pay around 5 6 dollar pancake , egg sausage . , enjoy Whiskey Pete 's . 
 Apr 2 2007 	 bed comfortable 	 know would shabby want cheap place stay way CA . exactly everyone say . front desk nice . get outside elevator thinking would fun trip third floor . scary ! not tempt . actually think going fall , jerky . take stair . get room : 2 light room work dim ; view gravel pit - which not big deal ; something hang wire corner . husband jokingly say probably camera ; bottom bathtub feel like rubber get not drain fast . food casino tasteless . , well sleep car . 
 Mar 16 2007 	 Non - smoking smoke extra charge 	 disappointed service receive start long wait check . request non - smoking room . room smell smoke . empty cigarette pack leave tv room service leave behind . carpet empty plastic drink cup floor . room dirty . mistake stop book room without check continue Las Vegas business . return Whiskey Petes evening dicovere mess stay , late . try get sleep , however , congested , eye swell , disappointed . back road 4:00 . never stay Whiskey Petes . really get play . however , excuse dirty , smelly room . Thrusday weekend rush . good luck warn . 
 Mar 15 2007 	 Free nasty 	 Room dark . light bulb miss lamp . stair lead room parking lot . difficult get luggage up . this hotel hotel stateline need revamping . carpet filthy , room need paint update . Didnt feel safe walk way hall room . load drunk stinky bum hang around . 
 Mar 4 2007 	 Nice Noisey Hotel 	 stay Whiskey Petes one night prior flight home Las Vegas , staff nice place we room top floor want good night sleep prior flight . room nicely decorate great 2 neighbor move next door couple kid dog . proceed conversation hall slam unit door repeatedly hour . addition dog yap kid yell . thing quiet 3 half hour later occupant unit side we decide need play tv full volume . point get go hotel desk complain noise . call unit ask turn tv volume . also offer give we another room time late we good . needless say , not get good night sleep can not recommend hotel goal . 
 Jan 3 2007 	 ' ve find new home sand ! 	 wow ! hotel small , compare large resort Vegas strip - could not happy choice ! arrive late Christmas Eve surprised find wait check - in desk . find , kind courteous gentleman check we quickly meet request well could . receive room 10 floor tower ( want high - bad fix ! ) clean large ! well yet , water pressure shower - wow ! ! ' m sure spend water , price room ! could not get - place LITERALLY middle nowhere - hot , strong water every shower take - incrediable ! another surprise - actually coffee machine room . something ' ve yet see stay 's Vegas ! - Reason casino 's want trapse machine find $ 4 cup coffe ? ! food value tremedous great quality ( try cafe buffet - well variety & amp ; hot , prepared food ) . earn point , quickly 5 day stay - fact , enough free room return April . never happen either husband ten previous trip Las Vegas regular gamer . hotel monorail go 3 casino' / hotel - love , neither sacrifice parking spot safety cocktail enjoy everything ! outlet mall FANTASTIC deal - will definately go back . also & quot ; town & quot ; locate next Mojave National Preserve wonderful place go see . drive one large Joshua tree forest 's world walk amongst sand dune desert- beautiful experience ! - go check time . if want & quot ; glitz & quot ; Vegas - will not find . folk 's simple casino's / resort . want kindly service ( ATTENTIVE cocktail WAITRESSES ! ) clean , large comfortable place rest bone , place . Thank 's Wiskey Pete 's revive faith & quot ; old time & quot ; Vegas value feel ! will definately back ! 
 Nov 15 2006 	 never 	 select Whiskey Pete 's base Trip Advisor rating # 1 Primm area ... disappointed . stay 11/11/06 , Marine invasion , actually problem we . check quickly problem . room clean , worn . impressed view wall window , figure would not look much . return room evening , find constant draft window area . turn heater , even low , room hot . heater noisy constantly turn ( probably due outside draft ) . take shower , floor front shower damp continue damp throughout night , although visable leak shower head toilet . ? ? ? call front desk next morning discuss problem room see could change room tell would wait noon see room available sell Saturday night . since would inconvenience we , choose check early . eat buffet Green Valley Inn find bland mediocre . stay Primm Valley Inn last year find room much nicer ... say , select Whiskey Pete 's year due rating find Trip Advisor ! ! book , review sound well . recent comment reflect opinion . book another stay Whiskey Pete 's 
 Nov 13 2006 	 Checkin Staff rude . 	 well say ... arrive hotel day U.S. Marine corps function . enough checkin station open least fifteen minute wait ... marine give preference O.K . checkin staff rebuff customer rudely . computer sytem use hotel leave lot desire , seem two three clerk station . eventually issue room key ... work ... go back desk .... key reset go back upstairs confront Supervisor cleaning staff say room occupy . talk phone hallway desk supervisor tell go back downstairs desk . original checkin clerk proceed tell we get trouble ... GO FIGURE ! ! eventually get room clean nice . the buffet next problem . first experience ok follow evening post dish substitute ... half cook food . buffet staff able rectify problem becuase could speak English . dessert buffet absolutely decimate nobody serve cake etc behind glass . we leave day early .... book 3 night could stand another night . 
 Nov 11 2006 	 ok ! ! ! 	 usually stay high - end 4 - 5 star hotel like Westin , Hilton , etc etc . book Whiskey Pete 's $ 19 night ( tax ) -- - , expect really bad hotel . keep think $ 19 dollar room go gross . drive hotel airport , think Plan B find another hotel standard . I book one night test see stay comfort , future , visit Vegas weekly ' search reasonably cheap clean hotel . surprise Whiskey Pete ' REALLY much well expect . ' compare major chain low end hotel pay $ 50 – $ 80 night , like Fairfield Inns , Holiday Inn Express , Hampton Inn , etc etc ' hotel motel good cause ' stand outdoor motel . arrive hotel midnight , one person work check - in desk . slow , $ 19 / night expect . registration desk middle casino , smokey . casino ok ; ' dark décor old western theme . ' McDonald ' hotel restaurant/ buffet casino . people play mostly elderly folk live area . room like standard hotel size important part CLEAN . ' big bathroom ; bathroom gross ' . bathroom clean , marble counter top , shower / tub combo , mold . shower curtain clean . request non - smoking room , could tell someone smoke room . people non - smoking room ? air little stale . like say room similar holiday inn good western hotel . Mattress standard , pillow top . look comforter bed pull right away . matter hotel ' staying , comforter first thing get rid . know people do . room locate separated building casino , quite . large tv , 20 – 25 inch . a / C wall unit , one old kind , loud . towel clean & amp ; white , sheet clean also . whiskey Pete ' ok , get typical $ 50- $ 80 room $ 19 . ' bad one night stay . ' nothing would want stay long period time , ' right night two . would recommend . much well motel . 
 Nov 2 2006 	 would not stay pay 	 would hope nice time outside hustle & amp ; bustle Las Vegas , & amp ; get suckere cheap rate , find woefully inadequate , big & amp ; small thing . GREATLY disappointed stay . stay risk . particular order : have arrange w/ hotel , far advance , package deliver UPS . find correct address & amp ; way suppose address guest . get , however , take several day even find package refuse hotel staff , & amp ; never get adequate explanation . , ABSOLUTELY one charge . everybody management absent ( , maybe , be absent complaint ) .I leave message people supposedly charge . one ever attempt contact , one thing regard this . light bulb burn room . get change day & amp ; 2 call . the & quot ; good & quot ; buffet 3 available ( 3 casino management ) mediocre , good . seat cafe dinner time hour wait -- even tho season , & amp ; even tho plenty table open . what tip first experience . 's line hotel registration ; one 2 teller tell close station be & amp ; move another one , mean delay . absolutely reason , take entire cash drawer w/ , waste time close one machine & amp ; start another one simply move one station over . then , go room , noticed sign -- & quot ; outdoor pool close seaon & quot ; ( off - season , Oct. ) -- & amp ; underneath & quot ; spa open 24 hour & quot ; . ask 3 different people even find & quot ; spa & quot ; . first person & quot ; never hear & quot ; , 2nd not know , finally go touch w/ someone explain & quot ; spa & quot ; simply whirlpool next pool , & amp ; closed season . SPA ? consequence , purposely even gamble -- drive Las Vegas , deal w/ people know run thing . never stay . 
 Oct 25 2006 	 great value hotel ! 	 child stay one night way Disneyland . much nicer expect consider price pay . book expedia get 19 $ night rate . ( taxis ) view room amazing , overlook pool window frame palm tree . however noticed side hotel view big dirt hill , make sure ask pool view . positive - can not beat price ! large TVClean quiet roomsbeds resonably comfortablegreat viewpool waterslide /Hot tubNegatives - have walk smoky casino check . ( might problem kid ) air room seem slightly staleA / C get little loudNot enough towel roompillow little flat side 
 Sep 28 2006 	 unusual nice 	 stay last night do not want go back Vegas night . restaurant offer value money . casino area smokey room smoke free . comfortable , clean nicely decorate . go concert enjoy much . put last bit change slot way bed 1.30am ! ! ! nice end three week holiday travel around . Outlet shop nearby save time go visit . convenient airport do not want go back Vegas fly home . 
 Sep 13 2006 	 Great Hotel 	 Whiskey Pete ' great little casino desert . stay night August 9th , 2006 way California . room EXCELLENT price . side arrive around 9:00 pm pool kid arcade closed . pool look awesome water slide fountain . trail end Coffee Shop yummy inexpensive . good stop way back California ( check keno number ) breakfast . Whiskey Pete ' definitely bargain . mention away hustle bustle Vegas . 
 Aug 14 2006 	 great stay Primm 	 stay first Saturday August work great family . bit concerned read early review . price , great . pool nice . fountain , water fall water slide . kid love . tram run 3 resort make easy get around . a pleasant experience . ' m glad try ! 
 Jul 28 2006 	 Loved Whiskey pete 	 must ! ! love visit extend stay ! ! quaint place crow LasVegas clean , friendly staff , lot great slot machine , blackjack , stuff Las Vegas offer , . crow , room drink always come . vegas , flag someone drink even bet 5 k table . try place truly enjoy stay , . 
 Jul 25 2006 	 great place rest 	 wife stay Primm drive Salt Lake City , UT Simi Valley , CA . first stay Whiskey Pete be also stay Buffalo Bill 's since . frill hotel , cheap place rest love ! not know early review , pleasantly surprised room . definately back ! 
 Jul 13 2006 	 think Twice keep Driving ! ! 	 make short list fact otherwise small book caould write ! large ugly stain carpet lead elevator go room ! large roach waterbug see several time ! drop earring behind dresser look back see go -saw many ciagarette butts gum wrapper etc . obviously clean priority . upon arrive room husband hunt housekeeper person get spray tp spray room odor unbearable ! slot exceptionally tight , food accepatable enjoyable ! know place around awhile , hotal / casino around heck alot long clean well care make differance . we never go back . another thing notice tell do not clean - the whole time , elevator use go room piece wht appear candy type stick floor - it whole 5 day ! ! ! clean be not priority -you may like would think twice ! ! 
 Jun 14 2006 	 good enough one night 's stopover 	 gambler need bed wife 17 year old friend aprehensive stay first casino / hotel . parking easy enough haul suitcase casino registration desk uncomfortable strange . late night checkin problem . room average size real complaint 3 woman . for $ 22.04 jetaway steal , never stay anywhere cheap . I smoke habit ( never indoor ) sure glad never start gamble . anyway , McDonalds right , coffee shop next bargain also . back room , non smoking , real odor we , fairly clean , 6 night hotel stay , ( different night ) girl say one well . that include $ 145 Grand Canyon Holiday Inn Express $ 120 Rubys Best Western Bryce Canyon . ( also report ) say get pay , indeed case base previous review , way pay . almost free . would stay pass . 
 May 17 2006 	 great bang buck 	 can not believe negative review hotel .... stay one week pay 25 dollar canadian week 50 dollar weekend.the room clean small . pool area nice especially kid enjoy slide.the food good cafe buffalo bill , take free tram hotel.for anyone not vegas maybe stay strip , since 2nd trip decide rent car stay primm . car ride around 30 minutes.by way .. plan gambling , ask comp . card . gamble 3 time blackjack table get 20 dollar restaurant choice.all great value nice people.enjoy 
 Apr 26 2006 	 elegant Room - Great price - Miserable Stay ! 	 book room two night , Fri Sat , several month advance , lady friend could celebrate 60th Birthday 36 year Fire Dept . room ready wait we -- non - smoking , Kingsize bed , elegant room -- except , second floor , pool spa . plus floodlight right outside window , , lite room like daylight night long . could also hear every voice , every shout , every cuss word drunk use spa pool NIGHT LONG ! top , guest ( ) room next we ( adjoining , locked , inner door ) must fall asleep tv . could hear night long . finally go around 6:30 morning . go lodge complaint see could get transfer another room . book three Primm Valley & quot ; Resorts ? & quot ; end 12 mile road Nevada Landing Jean , NV . even though room double pay Whiskey Pete 's ( $ 109 Sat . night ) , nearly elegant -- - able get much needed sleep evening finish gambling . stay Whiskey Pete 's many . many time , never experience like last weekend -- - weekend suppose special -- - not . seriously doubt will see Whiskey Pete 's . -- - SoCal Al , Gardena , CA 
 Mar 23 2006 	 great room cheap price 	 little concerned since get room cheap , room large , clean quiet . happily surprised . need hotel area future , pick one . 
 Mar 9 2006 	 bad 's funny 	 stop get late . stay Vegas day way back Orange County . bad hotel ever stay . give rate 70.00 . first seem reasonable . untill walk room . beyond stinky ( smoke ) . comforter smoke burn . tv around six channel . could barely fit shower ( bath ) . phone not work . disgusted ! yes , prepared roach . see two stay . decide get sleep . lay , turn light neigbor start scream . hear bang cursing . turn light go downstairs gamble . time , stop get room change . tell we not room available . find next day plenty . top wonderfull night ... fiance go room . decide keep gamble ( big mistake one dollar slot horrible payout ) . realized not bring room card . go back front desk find room . lady say could not find reservation . sit two hour wait , know fiance asleep . finally , laugh mispelle last name . 's could not find . [ -- ] ? ' m laugh . next day speak manager tell could not understand take long find . need go check 's manually . okay hour later decide go buffett . completely disgusting . stare laugh point . never stay hotel . horrid . not spoil rich people . military family not expect perfection . stay Prim Valley Resort two year ago Army Formal . clean descent . staff friendly great time . spend extra $ 30.00 avoid roach , bad food incompetent staff . 
 Jan 15 2006 	 whiskey pet wonderful surprise ! ! ! 	 worry room quality price book anyway - sure GLAD did- stay 5 night room wonderful staff great ! ! ! ' m hotel manager major chain picky problem all . the food par expensive buffet strip money save breakfast lunch primm location able great meal last night . read reveiws leave & quot ; shady & quot ; people strip everyone come LA excite go back Primm everything quiet calm ( even night sell ! ! ) can not say enough wonderful thing place ! 
 Jan 2 2006 	 Geart place stay 	 stay Whiskey Pete 's October 05 two night fly back UK . room good size clean , Bathroom clean bad size . Coffee plus Shampoo Etc . we view pool . good food book Midas Hotelnetwork cost we £ 21 two we two night could believe price sure expect would stay , like we fly Vegas start holiday do not want stay Vegas try think suprise . great shopping mall do not even need go one Vegas . it 20 minute drive Airport good road . first visit Vegas need stay right Vegas . plus also lucky slot . 
 Oct 6 2005 	 great place stay ! 	 second stay area . first time hotel . stay save $ $ saturday night head Vegas day . top floor though not much view , room really clean roomy enough 3 . $ 260 nickle machine though one night , three we earn enough point pay breakfast buffett . the shampoo give smell like cake mix ! ! ! : - ) although , admit top floor , encounter big cricket ! hardly cockroach another poster state . imagine road elevator .... tram take across street Primm Casino free bit ricketty worth trip check outlet mall . live Orange County , CA , can not beat round drink 3 $ 7.50 ! ! ! 
 Sep 19 2005 	 enjoyable visit Whiskey Petes 	 girlfriend visit place July weekend . Whenwe arive around 11 p.m Friday quick check - in room 13th floor . hear room smelly , wer not stinky .. Floor need vaccume . nice pool kid . room offer two queen size bed , 25 & quot ; Screen T.V . writting table 2 chair , & amp ; standard bathroom . unpack headed casino , buy Mix drink $ 4.50 ( order White Russian -It taste Bland ) regular Beer ( bottle ) $ 3.50 . go gas / liquor station across way . stock New Castles head toward Nevada Landings . go restaurant / $ 4.99 Steak Dinner ( Good ) offer free coffee dinner late hour . total dinner two tip & amp ; 15.00 head back Whiskey Pete 's , enjoy casino well night , lot kid around day time . enjoy fist night 's rest . free coffee room . Saturday Mid - Morning headed rest casino area , good time play keno fist time . ( enough buy drink ) walk around mall , drink bar middle food court . ( Great White Russians great ) around sun head local bar sceen Las Vegas . grow tired strip . long night bar / casino hopping ; way back state line . stop bar call thelast Call . pick Philly Steaak sandwich return room eat sleep . follow day enjoy spending time room . a / C blow great , dinner stair Chuck Wagon Cafe . nice people work . good food . eat way Vegas . 
 Aug 18 2005 	 ton FUN WHISKEY PETE 'S 	 get back LAS VEGAS stay WHISKEY PETE 'S 08/13/05 1 night . choose hotel & quot ; least expensive SATURDAY NIGHT RATE & quot ; ( $ 45.00 ) . check early earn enough point 1 night play nickel slot 2 free buffets - generous point system . take tram across highway shop & quot ; BEST & quot ; PRIME RIB DINNER $ 6.95 PRIMM VALLEY Coffee Shop ! ! pool WHISKEY PETE 's great kid cute slide . book TRAVELWORM week rate only- $ 15 / night . terrific room $ $ $ look forward stay next LAS VEGAS vacation . staff great well - everyone FRIENDLY PROFESSIONAL ! ! ! ! 
 Aug 7 2005 	 I m do Stateline ! 	 fourth trip Stateline . first three trip stay across highway Primm Valley Resort . adequete nothing . reasonably price opinion . casino Primm well casino 's Buffalo Bills , Whiskey Petes limited offering . now review Whiskey Petes . food suck , service suck . I m talk hair food , I m talk waiter waitress could speak . mean , like zombie . coffe taste like [ - ] service bar atrocious . drink weak one point yell boxman play crap get cocktail waitress table . I know Stateline talk , even limit . 70.00 90.00 dollar night weekend expect much well . oh yeah almost forget mention dead ROACH room upon arrival . mean thing dead least day two stuck carpet middle room . if must go stateline , favor stay Primm Valley gamble Buffalo Bills . trust know I m talk . even Primm Buffalo Bills comp suck , table limit , casino overcrowd . my wife go Stateline 40 mile close Vegas much easy quick getaway . either drive extra 30 mile will not go . Al 
 Jul 6 2005 	 great time ! 	 three we stay one night way Vegas 4th July weekend , really enjoy hotel ! arrive 10 pm Friday night - check friendly quick find room extra clean quiet . reserve non - smoking room high floor 2 queen bed , be exactly get . ( could not smell trace smoke either . ) head bar really enjoy entertainment lounge area . not catch name band , sound like perform often . end night everyone dance even conga - pretty hilarious ! bartender friendly pretty lively crowd blackjack table . we check next morning head Vegas 3 day fun . course , Whiskey Pete 's glamorous classy elegant great value fun little hotel . not expect much place , turn great time . 
 Jun 21 2005 	 Great Room price 	 stay Whiskey Pete 's way San Deigo return trip . book room travel worm $ 15 night . room clean , well mantiane . kid like arcade love ride monorail hotel area . pool waterslide also nice feature . staff friendly helpful , let we check hour early . food cafe good , reasonably price . would stay . 
 Jun 1 2005 	 great value 	 stay pete friday 13th may 05 , stay palm spring do not fancy 4 hour drive back flight vegas back england , think great value night great rock band , casino . definately back . 
 may 22 2005 	 nice hotel great price 	 get room Whiskey Pete 's Travelworm $ 15 per night , not expect much . surprised get room number 1915 top floor hotel . room perfectly acceptable every way ; clean , comfy bed quiet . room similar Best Western Comfort Inn fraction price ( stay We d Thurs night , weekend probably high ) . bathroom stock thick fluffy towel , oatmeal soap , shampoo hair dryer coffee maker . also iron iron board , usually not come inexpensive room . 18 channel cable tv . blackout curtain block light want sleep late . nice pool jacuzzi ground floor , theme - park - style water slide . park car inside multi - story garage keep sun , park close front door place not care . nearly 100 degree May . coffee shop ground floor great deal dinner -- delicious prime rib dinner $ 5.95 . come salad , bake potato peas incredible bargain . monorail take across Interstate 15 two hotel shopping mall . Primm Valley Resort ok , Buffalo Bills Hotel attractive 3 , opinion . problem Buffalo Bills roller coaster nearly encircle hotel ; plan sleep early late , coaster may allow . 's probably well stay Whiskey Pete 's take monorail two . 's first time , sure sign Player 's Club -- 's free give voucher good either free buffet , $ 5 one coffee shop . get dinner buffet Buffalo Bill 's ok , though memorable . large variety food choose , 's volume , excellence buffet know . dessert particularly disappointing , salad bar excellent . Buffalo Bills log flume ride actually inside hotel , gigantic arcade video game , plenty distraction young people will not gamble . sorry talk two hotel Whiskey Pete 's review , 3 hotel part complex , own company . outlet mall reach passageway Primm Valley Resort . price not wow , not gamble , pass time . convenience store outside mall case need provision . see internet booth entire stay anywhere property , not plan & quot ; connected & quot ; . overall great place cheap getaway , Vegas 30 minute drive i-15 get bore . 
 Apr 11 2005 	 Great Place Stay ! 	 stay weekend Friday , sit sunday April 1 , 2 , 3.vegas price outrageous get great room line state line . only problem drive Vegas 30 min state line . room classy clean . great view desert mountain nice large shower 2 people . air condition strong furniture plush comfy . tv least 25 inch great channel well . food Whiskey unbelievably cheap delicious . Cafe open 24 hour . would stay heart beat . love Whiskey Pete 's ! ! ! 
 Apr 7 2005 	 unsatisfie 	 AWARE getting make reservation TripReservations . charge heavy penalty cancellation . cancel reservation right book hotel ( within 20 minute ) . hotel rate $ 55 penalty cancellation $ 50 . never user service . 
 Mar 25 2005 	 great value 	 little leary price , especially see mixed review , think would take chance $ 16 Sunday night . think great value . room clean quiet , king - size bed comfortable , bathroom fairly big . bathroom tub , shower couple seat it . my complaint room adjoin room next , door room really hard lock . spend little time casino , $ 30 nickel machine , lose buck quarter . interact staff check check , man friendly good work . would definitely stay . 
 Jan 6 2005 	 Cool hotel 	 England , go Las Vegas every year , always make point stay 5 day 14 day holiday Whiskey Petes never bad thing say hotel /rooms / service / food , always clean good value money . ( 3 cheer Whiskey Petes ) 
 Nov 27 2004 	 Awesome theme 	 Cool theme , stop drive back San Diego Vegas home Ohio . check Casino cookie milk McDonalds ( cost 3 buck ) invest 2 buck slot $ 100.00.not bad passing , eh . feel oblige hit gift shop move though , see lot cool novelty stuff . even though spend winning gift shop , take we interesting picture mountain , desert , cool memory back cold wet ohio . 
 Nov 9 2004 	 surprised well 	 despite negative review , book stay anyway 1 night partake road trip home . front clean , casino date . sign throughout area say place remodel . check 3 am ( long night Vegas ! ) checkout 9 hour later . need place lie head road trip home . check average . take elevator room 6th floor . room huge bathroom especially huge . 's tub , 2 seat shower . bathroom small coffee maker . adequate towel . think light miss dressing area , ok . room clean . sit area 2 chair table bay view window wall mountain side . problem , since book stay sleep refresh next day . queen bed comfortable clean . negative thing chain door break . , average room . buffet pretty good despite negative review . $ 8.95 , excellent value . even though & quot ; lose shirt & quot ; place , would stay . pay $ 65 total Friday night stay . much well Motel 6 cheap . 
 Aug 14 2004 	 Nice Suprise ! ! ! 	 husband stay 8 - 8 - 04 impressed ! pay $ 15.00 night travel website get expect money . room big expect nicely decorate . bathroom granite countertop large shower 2 seat inside . a / c unit work well keep room cool . pool slide not use . spa open 24 hrs many include we , use morning . pool hour 10am-8pm . staff friendly check - in take time since 4 pm everyone check time . request room overlook pool rec would room 15th floor . breakfast buffet good ! ! ! go free buffet Sahara dinner night terrible . ( ever get free buffet Sahara would use ) food breakfast hot taste good . egg great . omlette station biscuit gravy good ! also sugar - free sweet . hotel 40 minute strip drive not bad . would definately stay . even though one cheap hotel Las Vegas , one well hotel stay many hotel Vegas include Caesars , Mandalay Bay , Flamingo , MGM , Luxor , Mirage . price hotel well worth money ! ! ! 
 Aug 2 2004 	 absolutely brutal 	 oh ... ... god ! Room not horrid , clientele casino disturbingly low - class . employee not much well . pleasure see place rear - view mirror . 
 Jul 30 2004 	 enjoy Whiskey Pete 's 	 believe Hotel Hell review . 4 pleasant stay Whiskey Pete 's . room always clean . one time noisy neighbor change room immediately . the slot generous , table anywhere else . , not Bellagio , always clean cheap . someone bad experience , understand ......... not fit experience . 
 Jul 26 2004 	 HOTEL HELL 
 Jul 26 2004 	 A+ ! 
 may 24 2004 	 Disappointing 
 May 14 2004 	 always like whiskey pete be always stop 
 Apr 21 2004 	 fairly depressing 
 Apr 1 2004 	 Unforgettable Primm 
 Mar 30 2004 	 worth price ! 
 Feb 21 2004 	 Primm really proper ? 
 Jul 31 2003 	 Dinner Whiskey Pete 's 
 Nov 27 2002 	 Great Hotel Casino 
 May 31 2009 	 weit weit weg 
 Sep 14 2007 	 Ottimo Hotel 
 Feb 4 2006 	 Positive Überrascung 
