Best 	 WOW ! ! ! fantastic hotel . warm welcome staff arrival . room everything would expect 5 star hotel , large room dress room large bathroom . furnishing top quality . staff always helpful courteous could enough maid hotel manager . hotel like step back time impressive lobby seat area . every floor hotel like walk art gallery numerous piece art , well worth go wander check . staff dress uniform similar would worn colonial era . atrium impressive ideal place relax afternoon tea . hotel pool oasis hustle bustle Delhi . 
 Jan 29 2009 	 great way begin Whirlwind Tour India ! 	 trek Northern India , return Delhi begin whirlwind sightseeing tour 5 city 7 day . initial greeting doorman throughout stay service prompt professional , room spacious well - appoint , meal 1911 ( could eaten dhal Imperial every meal ! ) Spice Route good trip . day spend sightseeing , chance explore pool outdoor area hotel . way back U.S. Delhi book day - room Imperial ( stored trek gear week ) , definitely exceed expectation - low floor although small , amenity need . 
 Jan 28 2009 	 Jasmine scented splendor 	 imperial final stop last two night India . something look forward great deal . reception area flower arrangement throughout hotel stunning . smell jasmine run whole hotel create real sense serenity well . hotel impeccably clean , room comfortable enjoy every minute . however . 1 ) one day Republic Day . book room month advance courtesy note advice we disruption day would cause send - email address i.e . shop main attraction shut 's ' dry ' day . could use opportunity get ticket we . 2 ) swimming pool area completely repair massive overhaul big disappointment - forewarn potentially incentive still stay hotel provide i.e . drink bar , concession towards spa treatment , example . 3 ) hotel 's fault , , one evening italian restaurant meal pretty much ruin bitter old American complain absolutely everything extremely rude staff prolong period . give indication ' type ' people stay i.e . like get way consider other rich . - leave evening bit tainted treat we . 4 ) surprised room rate breakfast not include . 's pretty expensive - 's buffet , eat eat get money 's worth ! ! 
 Jan 28 2009 	 Fantastic Hotel - probably good Delhi 	 fantastic hotel . everything great . the interior hotel fantastic . everything design elegant taste , really british Imperial Time . the room spacious , nicely decorate . amenity top quality . the service quick efficient . try supposedly good restaurant Delhi & quot ; Spice Route & quot ; quite disappointed regular food be . that side hotel . , fantastic stay would definitely go Delhi . 
 Jan 18 2009 	 Grand old lady 	 Grand old lady really nice art deco touch . feel british imperial , although element modernize . good restaurant excellent service . drawback - swim pool right one hedge away one noisiest road junction Delhi . stay intend relax pool . room look onto reception , something everyone would care . 
 Jan 16 2009 	 excellent place decompress upon arrival India ! 	 one gracious hotel accommodate staff . room lovely calm happy first three night seven - week tour India . breakfast buffet plentiful Sunday brunch 2100 rupee ( usd $ 43 ) bit pricey uninspire food choice . nonetheless would stay hotel anytime . 
 Jan 14 2009 	 Disappointing experience 	 second trip India Imperial unfortunately disappointing . service standard slip , disappointing dinner hotel restaurant San Gimignano , cold room service breakfast hot water morning shower . give high room rate , would suggest try elsewhere Delhi . 
 Jan 13 2009 	 Grande Dame strong lack atmosphere 	 imperial truly grand mythic hotel . one want stay least even everybody know sme well town . usually , stay , imagine go anywhere else afterwards next stay . work Raffles Singapore Oriental Bangkok . , Imperial , next stay might let try Oberoi , course , open Aman Delhi ! imperial wonderfull build plenty memorabilia old India - sometimes , understand possible without shock indian citizen ... public area bit glitzzy let we think due recent renovation . the overall staff friendly respectful . excellent Thai restaurant top service . bar really enjoyable well even might learn make less sweet cocktail ( Singapore sle syrup alcohol ) .The service airport excellent well anything access airport lounge . perfect . then come many issue make imperial fade glory . the spa , first : SPA ! ! ! ! ! ! ! ! ! ! even indoor pool frozen city January ! believe . imagine come Summer ... , room . stay two time Imperial ( arrival India , 10 day later ) . nice suite ( Heritage Art Deco ) thank management upgrade . suit nice bathroom need serious modernization : one lavabo ! conditioner ! welcome gift : fruit . detail speak world top hotel ... relation money tricky : checking , want post postcard . ask 20 rupiah ! ! ! ! room wait bellman pick luggage , employee enter room check three time minibar , call reception say take away - course ask permission use phone ! ! ! finally , security big joke . vip guest , security manager ask - staff member picture ... entrance , ask go security gate : ring , go deep examination ... imperial really beautiful hotel many & quot ; & quot ; . hope management act improve . 
 Jan 12 2009 	 Awesome Experience Imperial Delhi 	 stay Imperial December 2009 right Christmas . check late international flight staff friendly could . even gave wrap present child . fruit basket wait welcome note . room huge bathroom gorgeous ! really enjoy hotel -- enjoy room service Spice route -- well dinner Coffee Shop -- pleasant experience . back ! 
 Jan 8 2009 	 truly deserve 's world class reputation 	 return 10 day trip India involve 2 night stay hotel . truly one exceptional hotel ever stay . drive airport centre Delhi bit culture shock be use India ( call hotel driver pick airport .. would recommend ! ) . arrive oasis calm Imperial . show room tell upgrade anniversary : door open amazing suite , marble , cream sofas , fresh flower , corridor lead bedroom beautiful bathroom . knock door produce bottle champagne cake , note wish we Happy Anniversary . 4 restaurant , 2 eat great . hotel driver take we afternoon give we quick tour . knowledgeable , interesting total cost £ 30 . service start finish 5 star truly sorry leave . recommend highly . 
 Dec 27 2008 	 wonderful 	 sumptuous hotel extremely well manage . attentive , polite pleasant staff way intrusive . lay stunning welcome we realise 25th wedding Anniversary . two visit year heritage suite heritage room exceptional . swim pool like something Busby Berkeley movie . one morning ! eat 1911 Terrace restaurant find excellent find much vaunted Spice Route restaurant let - down . perhaps off - night . say though hotel management actually write we home England apologise visit Spice Route mention disappointment casually driver take we station . customer service . 
 Dec 27 2008 	 fantastic atmosphere 	 imperial fantastic hotelThe location perfect , close center old Delhi . palace fantastic staff friedlythe atmosphere bring old time colonialism ! find good offer website hotel would definitely suggest stay hotel 
 Dec 23 2008 	 Imperialist paradise 	 hotel 's museum - like quality well known , true . never see , much less stay , something lavish . unfortunately business , otherwise would tempting take refuge one room week . excellent cleanliness , food , etc . caveat : find staff far deferential personally comfortable . complaint : business centre service price well beyond realm acceptable . 
 Dec 19 2008 	 5 Star Luxury friendly Atmostphere 	 Charming hotel lovely atmostphere . beautiful public area interesting art , splendid double room excellent facillitie . outdoor pool lovely place relax long flight main bar . enjoyable meal Spice Restaurant ideal like South East Asian Cuisine . service good staff friendly . 
 Dec 18 2008 	 grand hotel 	 return three week trip India first hotel stay . set high standard seven 5 * hotel stay . unlike reviewer find hard fault old fashioned high standard . indeed real oasis middle pollute Delhi . pool awesome . like warm pool , . steam rise go early evening - absolutely delicious long flight . find restaurant excellent superb , friendly service . whole hotel stylish flash vulgar . ' ve long time show . 
 Nov 20 2008 	 true tourist hotel 	 beautiful hotel wonderful architecture great location spoil average staff poor facility . like review suffer poor staffing restaurant table not clear sat , wait 10 minute menu , get bill effort . frustrating break meeting . despite plush corridor nice room effort make fitness facility , clear temporary & quot ; room & quot ; permament . weight area dent ceiling lift handweight head ( ' m 173 cm ! ) . stay beautiful garden remember previous visit restaurant cover temporary structure function . loud function take place metre ground floor room . overall hard justify cost ( $ 400 night ) trading heritage location might work tourist anything beyond experience disappointing . 
 Nov 15 2008 	 Bizarre 	 somewhat odd experience . book online room discription room garden view either kingsize bed twin . event room put view ordinary sized bed . complain deputy manger point thing take turn surreal . show book form clearing outlining view , bed size , etc . point begin argue vehemently issue misinformation style .... & quot ; & quot ; protest , & quot ; clearly say buy room kingsize bed garden view & quot ; & quot ; problem ? & quot ; say . & quot ; bed view & quot ; ? & quot ; & quot ; reply , do not seem get . continue witter theme style . eventually move we another room .. kingsize bed view garden . thanked tell usually make habit complaining . & quot ; complaining & quot ; say firmly . & quot ; well actually & quot ; say . & quot ; & quot ; , reply . give point decide something formal return . all pity second room pleasant , excellent meal , good service , sleep like log . the business deputy manager leave unpleasant taste though . 
 Nov 14 2008 	 Fur Coat knicker 	 great Delhi location , pretty good 1930 's builiding , load money spend jazz still spoil energetic forgetful unskilled service . India , charm real ( unforced ) concern guest 's welfare come free . mess ensure ( admittedly characterful ) staff remember bring tea , clear dirty plate , take order , bring correct order , bring bill , fail repeatedly , careless waste good raw service material fine building . speak Terrace Manager ( main offending facility , though curiously name Daniell 's tavern prone ) comment would discipline staff . comment give people real aptitude work proper training . Ho hum . if want see well train staff add experience , stay Oberoi Delhi ; much well value , frankly . like glitz , Imperial 's . like real quality , less conveniently locate though , try Oberoi . 
 Nov 8 2008 	 Place stay Delhi ! 	 third visit Imperial ' ve do - hide oasis hustle abd bustle Janpath . overall great stay minor thing disappoint . Front desk check : mom arrive hotel ( airport ) 11.50 . check 12 noon . lady front desk say room not ready wait lobby - seem reasonable . 12.15 room still ready question lady desk . apologise suggest coffee restaurant something - ask whether ' coffee ' complimentary hotel cause delay . refuse point blank think unreasonable hotel standard . might sound miser part however hotel like Taj Mahal Man Singh Rd Oberoi much accomadating situation like this . room : stay imperial room ( . 56 ) end corridor ground floor . good sized room , however space would recommend heritage room ( book last visit ) . three telephone , one not work - could not bother complain though . breakfast : buffet b / f 1911 restaurant serve wide variety indian continental food , fresh fruit juice , bakery product etc ..... good great way start day . location : could not well - top Janpath - touristy thing also centrally locate everything interest delhi : IGI airport 30 min drive away ( r 500 local taxi ) , India gate Cannought Place also close car . VERDICT : property aura place , location overall experience hotel worth price tag attach place . must see ( stay ! ) hotel . 
 Nov 8 2008 	 wonderful Imperial 	 expensive well worth money . book suite family 4 ( 14 & amp ; 6 ) even though young stay king size bed , since stay free , find blanket ask extra sheet mean sleep sofa . son extra £ 70.00 night z bed lounge . pool superb travel desk orgnaise 8 hour city tour , include driver guide , cost around £ 80.00 4 we large A / c car . food amazing , one would expect , 5 * service impeccable . only side suite internal view , although reduce traffic noise level , mean natural daylight . I pedicure spa extremely good value compare UK price . a true art deco hotel full historic painting picture . 
 Oct 21 2008 	 exceptional ambience 	 stay Imperial 3 night . heaven middle bustle street . the room comfortable . polite helpful staff . several good restaurant hotel . like much bar . quick effective service . spend 2 afternoon pool great . an overall good stay 
 Sep 27 2008 	 absolutely beautiful 	 round spectacular hotel . drive long palm fringe drive bell - man wear elaborate uniform , enter sublime jasmine infuse , flower laden marble foyer . round sensory experience ! impeccable service , stunning room , quite formal austere quintessentially respectful service . really feel like ' ve transport another place time , treat like royalty ! heavenly oasis calm & amp ; serenity hot hustle - bustle Delhi . I ' ve lucky stay pretty spectacular hotel year , definately there . a level service seem get Asia . 
 Sep 26 2008 	 Lovely Hotel Service Problems 	 stay Imperial one week business trip . stayed 2 separate room due take side trip Agra . first room lovely , bright & amp ; airy , situate close front hotel . second room small , noisy natural light . service hotel restaurant good . service bar pretty poor , staff seem attitude problem aggressive approach . ruin stay front desk staff . cut stay short one day return home & amp ; despite give 7 day notice point blank refuse charge extra night . never encounter . insist charge , rude , aggressive spend 30 min argue issue . would stay hotel next time visit Delhi , would go shangri - La instead , service impeccable . 
 Sep 17 2008 	 nice see beware stay . . . 	 mediocre stay Imperial . build undoubtedly gorgeous , definitely worth thorough walk - through . however , would recommend stay . mention previous review , service lackluster - polite , stiff . room also claustrophobic - small window look onto interior courtyard ( echo noise ground level ) . beware TAXES ! room rate 11750 rupee , assess 12.5 % tax base arbitrary , undisclosed & quot ; rack & quot ; rate 29000 + rupee . amount tax excess 30 % room charge . outrageous . 
 Sep 14 2008 	 elegant luxury 	 stay 2 night 3 night begin end Golden Triangle trip . when arrive greatly impressed beautiful hotel . oasis calm hectic hot city . it fine Art Deco build lovely colonial feel inside magnificient painting floral display . the room spacious well appoint quiet . ameanitie could ever need . unaware building work go hotel . the hotel make feel special important guest . it nice get water cold towel fruit kebab pool . on second visit welcome back regular guest upgrade suite . we agree review food drink expensive else would expect 5 star hotel . all probably good hotel ever stay would recommend anyone . 
 Sep 12 2008 	 imo # 2 ! 	 always want stay . imperial beautiful hotel seem serious problem . serious noise . room particularly quiet , especially old section hotel . stay , change room 3 time . Desk clerk seem pleasant clueless construction go room last 11 p.m. the business center could well run loud talkitive guest disrupt computer time say something . female staff simply timid ask anyone keep level noise other work . would warn guest check bill carefully mine full erroneous minibar charge . take long time get remove . judge experience trip Delhi , would say prefer Oberoi Taj Mahal hotel . 
 Sep 10 2008 	 beautiful comfortable hotel drawback 	 hotel well worth visit architectural beauty hundred painting house . large swimming pool impressive pool - side service top quality . overall , staff friendly helpful hotel work hard keep immaculate clean . room public area fantastic marble floor room comfortable . room allocate arrival relatively high standard , include dress room . we room service , delicious breakfast promptly bring room . coffee particularly good . find one breakfast enough two people share . food rest hotel bit let perhaps attempt eat budget - restaurant fairly pricey . indian food definitely well value western meal . cocktail cost equivalent £ 10 avoid western price . useful tip water : complimentary water provide room twice day well pool . helpful know could stock pool run . unfortunate aspect stay end move room twice . first night incredibly loud music come building across road ( although loud even room ) . hotel assure we would stop 1030 . phone call downstairs offer let we sleep another room ( 1230 time late move stuff ) return original room next morning . move we another room last night ( two night ) . see quite hotel 's room excellent incident unfortunate . staff good help we though . hotel 's fault find ( rest trip Delhi ) wedding season negative impact holiday , mainly term noise . spa currently build imperial listen construction noise first room . necessary inconvenience though hotel improve service , beware . overall , hotel worth visit aesthetic appeal good service . 
 Aug 12 2008 	 try least 	 third visit hotel place never cease amaze ... facility service high class ( well ! pure luxury ask ... ) whole place colonial feel definitely take back time ... room bed spacious modern amenity could ask -include pillow menu ! ! ! hotel also locate one good part Delhi ( Janpath ) close many restaurant shopping district .. frequent traveler Delhi never stay hotel , would seriously urge try least – Trust ! ' regret .. 
 Jul 25 2008 	 favorite place Delhi 	 two ... less successful ... Delhi stay , decide fool around book nice hotel Delhi third stay , numerous source claim Imperial . cheap thought would , perhaps 3 - 4 time typical budget room Delhi would cost , still fairly expensive , certainly see money go . common area room impeccably clean , well - appoint , classy . must thousand unique painting hotel room , spend enjoyable couple hour simply walk around inside hotel . room comfortable , well good margin typically get US stay 3 - 4 star hotel , read chair , top - notch bed , separate tub shower . furniture / fixture among nice ' ve ever see hotel . eat two restaurant , Spice Route 1911 , quite good , fact Spice Route would call outstanding , cost we $ 35 / person dessert . order cocktail room service , promptly deliver delicious , overpriced . service excellent , good India . let check 3 hour early additional cost , respond immediately query , , importantly , seem tune westerner expect expensive hotel , get right mix attentiveness respect avoid obsequiousness experience almost everywhere else . treat guest , cash machine , really appreciate . my complaint : give get , room restaurant not really expensive western standard , pricing ' extra ' almost insulting ... minibar Coke would cost $ 5 , beer $ 10 , etc , bad , want Rs700 drive literally street ( ~1KM ) next hotel ... get taxi street Rs75 , ' m sure even gouge . car pricing particular leave bad taste mouth . still , certainly upfront pricing , happy pay room food . stay one 5 - star hotel Delhi , perhaps $ 75 cheap room food , nearly nice , be go ' splurge ' escape Delhi , recommend go stay Imperial . 
 Jul 20 2008 	 Smiles honesty pure greed ? 	 location Imperial excellent interest lie explore Delhi one main reason stay here . as like hotel stand norm , imperial disappoint like walk inside museum . everything spotless staff utmost keep place shape . with exception eat 1910 , , breakfast buffet hotel . compare hotel staid India breakfast great , however comparison breakfast standard hotel many european country Sweden , nothing special . someone eat sandwich breakfast , choice good eg . regard different kind cheese . when come service , everyone indeed smile kind : extent , least , though rather difficult address & quot ; Sir & quot ; time especially hardly feel like one . some issue regard service : 1910 bar , ordered & quot ; pint & quot ; beer turn small bottle 0,33 liter . question whether & quot ; pint & quot ; measurement volume brush aside staff claim indian pint indeed small bottle 0,33 liter . later bill , however , cost bottle beer pint differ even though sort beer . cost seem differ visit , could make really order get call pint . however , irritated ( staid imperial two different occassion ) dishonesty upon check - out regard currency creditcard debit . clear want bill settle Indian Rupees , transaction currency would lead high cost . staff claim purely service present bill usd transaction would reality Rupees . later , obviously , check bank account staff 's claim simple service turn lie , transaction conduct usd . upon second stay , tell thing Imperial shop . consequently , appear staff either unaware disservice find hard believe intentional . upon stay couple day , difference transaction currency turn worth 1000 - 2000 Rupees equivalent currency . find annoy unworthy behaviour five star hotel . overall , Imperial definetely worth stay , though visit make wonder whether greed rather honesty behind staff ' smile . 
 Jun 12 2008 	 Outstanding service 	 hotel lovely . impressed service . plane arrive late ( 2 ) prearrange airport transfer ( HIGHLY RECOMMENDED WOMEN ) wait . luggage lose . plan , unfortunately , leave 6 am train Agra spend one night return back imperial business meeting next 3 day . return hotel , man pick 2 am , return airport secure luggage hotel send luggage room store clothe closet . outstanding ! 
 May 19 2008 	 calm oasis Delhi 	 stay begin lengthy indian vacation tour . hotel offer comfortable luxury room good service price expect busy capital . receive excellent food service stay . service personalise ( comparable large ) hotel stay , always good efficient . the room well appoint , ( modern convenience working- note couple luxury property ' glitch ' A / C , fan , door etc ) . breakfast experience really wonderful preparation hot day city . whole hotel bit museum- part attraction many guest . business visitor still home here- obvious many guest international domestic alike business . in short , would certainly return imperial tourist business . 
 May 16 2008 	 middle delhi 	 nice hotel stay begin tour india end ( spend 3 night total ) hotel fantastic marble floor wonderful jasmine scent room comfortable bed reception staff not friendly not deal much , big deal . the restaurant hotel fantastic dinner famous spice restaurant ( thai ) DELICIOUS ! ! ! also tuscany french food absolutely delightful . they could improve pool appeareance thing hotel do not good maintenance .. great location middle city ... good hotel stay ! ! ! 
 May 13 2008 	 Superb 	 great hotel . large well train friendly staff time impeccably dress . old hotel maintenance renovation keep date par anything new . the restaurant good . week business eat . even stay somewhere else go southeast asian restaurant delicious food stunning decor . all reason hotel may price high other get lot season huge bargain . Delhi tough city heat , pollution , beggar unrelente rickshaw driver -- sanctuary . find nothing critical ! 
 May 5 2008 	 bit ' over - the - top ' 	 huge Sikh doorman impressive moustache , cream uniform red turban make instant impression we travel - stain tourist , smile lady identical red uniform - saris welcome we walk lobby . sense assaulted abundance glass , chrome , gilt , light , multi - coloured marble , deep red rose , white carnation , portrait , landscape perfume regularly spray air discreet white container guide Heritage room , . 254 , glimpse swimming pool garden . bathroom huge , gorgeous Fragonard toiletry . pleasant dressing room disappoint give twin bed . sleep together home – want sleep apart holiday ; especially one celebrate Silver wedding ? ' offer choice tired try change room . evening , mind - blow afternoon organise tour company , excellent Audley Travel , eat hotel ' Spice Trade restaurant . delightful sit restaurant ' intimate , subtly - light courtyard , beside rectangular candle - light central pool , dine star , though Thai food ' quite live reputation . next morning lonely breakfast terrace 5.30am , enjoy wide selection prepare fruit , fresh watermelon juice perfectly cook scramble egg & amp ; toast . day later return another night , eat hotel ' Italian Restaurant , since ' curry - out ' . food make pleasant change , ordinary over - price . Heritage Room , . 57 ground floor , small previous one breakfast ' order room 4.30am arrive right time every bit good . apart welcome , ' describe staff ' friendly ' perhaps ' stay long enough give chance . whole experience rather ' top ' memorable , good introduction many contrast would meet India . 
 Apr 27 2008 	 heat 	 husband regular visitor Delhi last year opportunity visit imperial meal drink occasion late trip decide stay three night . like luxury hotel Delhi expensive - special internet rate plus taxis come around $ AUS 650 night basic room breakfast . first time traveller India aware taxis luxury room , food alcohol add $ 100 day final bill . the Imperial really like piece India go - remnant colonial past one beautifully restore maintain . main area hotel glorious lovely wander hallway look artwork photograph . room spacious comfortable ( bed comfortable find India ! ) little cold - turn aircon even though 38 degree outside . room face internal lightwell generally quiet traffic noise tinkle fountain . second night awake 3 am noise - probably ballroom we -- tell staff next day keen resolve offerred move we another room . we find food 1911 restaurant agree reviewer service bit par . say comparison Oberoi New Delhi food service main restaurant second none . another observation would make staff imperial look uncomfortable outdated liveried uniform - although understand try maintain period look think would well modern , streamlined uniform without turban , etc . dine Spice Route really enjoy meal . menu Thai influence indian twist recommend Kerala Lamb curry - delicious . 1911 restaurant interesting dress code man must wear long pant dine Brasserie restaurant even 40 degree . husband dress smart dress short designer shirt ask sit bar area rather restaurant yet next day large group visitor hotel wear would class casual , hippy attire seat Brasserie next we problem proceed smoke - staff member game ask leave . bit annoying ! find pool area service good hot take opportunity swim . general location Imperial great shopping Emporiums market Janpath good bargin find warn venture outside gate easy target taxi driver , rickshaw driver hawker general tell manner thing convince go . little confronting never Delhi stick gun walk . want local taxi , ask doorman hotel call one tell want give rough idea price . hire taxis hour meter . want big , modern mall exist Delhi ie Select City Walk South Delhi visit traditional shopping area like Khan Market South Extension really good book , clothe , etc . we enjoy experience stay Imperial would recommend friend choose would opt Oberoi standard service , facility ( pool , gym ) food location would consider superior price . visit imperial afternoon tea dine Spice Route look artwork stay Oberoi slick service . 
 Apr 23 2008 	 colonial museum 	 stay imperial part personal guide tour Rajesthan . nothing fault . room beautiful , staff attentive food restaurant good . walk around corridor like museum , shiny marble floor hundreds picture show scene old India . worth visit even be stay . 
 Apr 21 2008 	 oasis comfort 	 stay 3 night business hotel one comfortable place ever stay . staff attentive accommodate . arrange day trip hotel car Taj Mahal take excellent care we . tell concierge need camera , immediately send someone get two disposable camera we . the ground beatiful would well describe Imperial island comfort general craziness Delhi . 
 Apr 20 2008 	 mixed feeling 	 architecturally stunning hotel , fabulous art collection . location perfect we one luxury hotel within walk distance Connaught Place . however room , alhough beautifully decorate immaculately clean fabulously comfortable bed great bathroom , bit small side compare room corridor . presume booked & quot ; special rate & quot ; ( time taxis etc add , come around £ 260 per night anyway ) . whilst breakfast fabulous would not bother eat hotel restaurant . try 1910 bistro - food so - so , service shoddy overprice , albeit nice setting . also eat Spice Route restaurant supposedly one good restaurant Asia , although fail see . send duck back overcooked . also bland food eat two week trip India . the hotel marketing play fact garden hotel Delhi do not find garden anything special . spend anytime poolside ( pool fine standard would expect luxury hotel ) expect great service pool staff lone female one occasion . however next , accompany Mr BB completely ignore . bring major criticism hotel - find service scratch . 
 Apr 17 2008 	 Heavenly Respite 	 lovely hotel wonderfully situate near great government emporium cottage industry shopping center . want buy handicrafts shop good price , hotel location . imperial touch make feel welcome candle hallway stunning floral arrangement room amenity . would return heartbeat . variety treatment beauty salon whose price reasonable . recommend pedicure kind massage facial Andrea 14 year . hotel 's breakfast buffet top notch . dinner must Spice Route . artwork hallway unrivaled . 
 Apr 16 2008 	 business 	 beautiful , clean comfortable hotel . stay business , helpful arrange site - seeing , etc . 
 Apr 13 2008 	 still nice lost luster ..... 	 base experience last year Imperial decide stay second trip India . say experience lose bit luster last year . hotel still beautiful , service seem slip bit . also expect level nice room since second stay , room small bit worn . service restaurant slow , especially breakfast . ( want sit outside breakfast sure arrive early ) one point walk waiter station pour tea wait 20 minute refill . level service dinner Spice Route . ' get wrong still great hotel , next year return try another alternative . 
 Mar 31 2008 	 excellent round city hotel 	 stay partly business , partly vacation . two room excellent service perfect . great midst hustle bustle Delhi . hotel character Oberoi . gripe pool area crowd Sunday afternoon . otherwise , much criticise . 
 Mar 30 2008 	 great start holiday ! ! Imperial Chic . 	 imperial one impressive hotel ever stay , well worth price . stay begin end journey real treat every time . heritage room stay big , look garden front quiet , comfortable , clean airy . Hotel 's interior clean , modern yet classic preserve charm history . despite size Imerial find staff exceptionally helpful time , well organise management keep everything run without guest notice . dinner Spice Route daniell good restaurant . Spice Route well know beyond Delhi often busy , reservation recommended- choice , area outside wonderful , underneath sky . back Delhi make sure return ! 
 Mar 16 2008 	 top world 	 everything top line western standard exept restaurant 1911 food average service laycy . italian restaurant one good whole world . 
 Mar 10 2008 	 amazing India amaze Imperial 	 Arriving Delhi whole day excursion , real pleasure step Imperial . excellent every respect , service quality furnishing decor . stay Heritage room two night . room luxury atmosphere style , although bathroom nothing extraordinary . good restaurant ( Spice Route really charm good , little expensive ) . real luxury real " garden " Hotel heart fast move city . would definitely recommend Imperial . 
 Mar 3 2008 	 one world 's great hotel 	 one world 's great hotel . although quite expensive , feel worth every penny . room common area hotel amazing , exuding elegance character . consider offering breakfast buffet reasonable . would go back heartbeat 
 Feb 18 2008 	 price go quality service plummet 	 go prepared happy ( Sept 2006 review serve evidence ) . go back . jaw - drop average room rate $ 800 per night , service impeccable . instead , shabby around . check full - price room 3am greet twin bed frigid air . five hour heater full , room still cold . complaint elicited offer heater deliver ; never come . numerous small failing add almost wholly negative experience . wait breakfast table ignore two hostess stand foot away ? ask coffee three time receive -- two different day ? get bait - and - switch bar order well gin bill good stuff & quot ; ran & quot ; ? 4 - star stop kind laxity might bearable , & quot ; one Asia 's fine hotel & quot ; be flatly unacceptable . top , credit card mysteriously bill many thousand rupee additional -- completely illegitimate -- charge . would several illicit charge remove check . similar problem last stay , read bill carefully ! two week later , cashier yet even respond inquiry add charge . top - notch hotel New Delhi provide excellent service break bank . strongly urge consider look elsewhere . 
 Feb 14 2008 	 Shabby treatment 	 stay several time since redo nicely . begin courteous . , little little , , service decline . last year , book American Express Platinum . give room shower , room window ( cover sign ) . also , twice change reservation time change United States , would give refund one hour late ! ! rude inflexible . never stay . going back Oberoi know treat repeat guest . 
 Feb 12 2008 	 Reservations honor 	 book pay 4 room Imperial Hotel November 2007 . reservation make month advance . travel back Agra train guide learn would honor reservation government delegation overstay . send TAj Mahal Hotel instead - excellent hotel , area want - definitely price . much scream get give 7 us dinner car transport we one evening , request refund room rate - least diifference rate two hotel forthcoming . 
 Jan 25 2008 	 wonderful hotel one good world 	 eight we stay Imperial two night treat ( expensive one well worth ) . excellent every respect , unobtrusive friendly service outstanding quality furnishing decor . real luxury . price high get pay . 
 Jan 13 2008 	 great long 	 great property last stay 2003 . unfortunately service quality mix . real highlight also disappointment particulat & quot ; 1911 & quot ; restaurant . & quot ; San Giminignano & quot ; ( italian restaurant ) excellent . nothing really dramatic would tempt try something different next time . 
 Jan 11 2008 	 amazing time Imperial 	 amazing time Imperial . stay twice time really nice room . lobby around hotel nice restaurant excellent . hotel also arrange car driver day . new pool look incredible . would definitely recommend Imperial . 
 Jan 11 2008 	 great place stay 	 Luxury room atmosphere style , good restaurant ( although Spice Route overrate overprice ) delicious breakfast buffet . small good gym . ideal place stay Delhi . 
 Jan 6 2008 	 Magnificent Officers ' Mess hotel 	 stay hotel four night follow flight GB . luggage arrive us delay connect UK flight . , wife 's case soak content . hotel staff take away wet clothe dry , press fold return within two hour ( charge we ) hotel reminder Raj officer ' Mess - excellent service , food friendliness efficiency staff . print hotel reinforce image Mess . without doubt one good hotel ever stay world wide travel . opinion wish experience old fashioned service India hotel stay . less interest wife proximity Governemnt othe bazaar . not put number tout outside hotel- aggressive provide introduction rest country . 
 Dec 29 2007 	 5 Star need tinker ..... 	 grand boutique style hotel proximity attraction less touristy shopping Delhi . room spectacular restaurant hotel . couple reservation however:1 ) hotel fumigate exterior hotel daily , include around restaurant patron dining ( imagine large scale fumigation mosquito rise drink snack ) . ask hotel not aware could problem patrons.2 ) winter month hotel 's much herald ground ( bill & quot ; oasis & quot ; Delhi ) untende essentially shut . Imperial 5 star hotel Delhi close pool exterior seating area winter ( go Mauriya Sheraton Taj Palace lunch find pool area open ) . day december warm enough swimming - however importantly able sit outside would nice . 3 ) hotel put natural scent oil diffuser throughout hotel - include outside room . stay oil diffuse jasmine - pleasant small dose , smell fume dust Delhi drag ( would impossible anyone allergy respiratory issue ) .4 ) hotel shop superb bookstore commercial / shopping service available ( exception chanel store .... empty close throughout stay ) . location hotel somewhat overrate likely tourist often driver / taxi take shopping site - shop Janpath good buy quality shopping feast tourist . I would opt next trip Mauriya Sheraton - , shop restaurant fabulous particularly far afield shopping attraction . 
 Dec 28 2007 	 Peaceful Oasis 	 first trip India / Delhi ' m happy stay Imperial . hotel old favorite work colleague visit India regularly certainly disappoint . bit overwhelmed hustle bustel India well new sight , smell , sound .... mention local approach driving . great spend day new environment able retreat back grand , yet comfortable , Imperial . honestly feel like step back time arrive hotel greet friendly staff . hotel museum . sure spend time look art photograph wall . room amazing marble floor , tall ceiling , comfy bed . scent hall room , appreciate , understand might off - put sensitivity smell . shocked cost , understand high hotel price standard hotel New Delhi . contrast general Imperial ( opulent ) surround area ( local shop , etc ) staggering . imperial truly oasis gate 3 acre compound sort . my complaint mix booking , not realize check . imperial reserve extra night ultimately pay due 24 hour cancellation policy . learn hard lesson verifying reservation check critical . expensive mistake ! ! 
