Friendly 	 close everything would want . located heart Union Square , lot great dining choice nearby , close cable car line public transportation . large room San Francisco comfortable bed ! staff extra friendly helpful . free room coffee newspaper daily . certainly stay visit San Francisco ! 
 Aug 12 2009 	 fabulous people location room big bang buck . 	 love hotel ! town assist daughter surgery expect pleasant stay . also nervous Union Square part town afraid dirt , noise , etc . spend 6 night . much surprise , hotel quiet , extremely well run , room clean good shape large compare , pricy room SF . great deal storage space also not see hotel Wharf . Mark front desk folk kind ask daughter get back hotel night . valet parking exceptional . leave hotel 5:30 morning surgery car right request . front desk even give little map key card help find way around town invaluable . free continental breakfast bit light healthy fare , advertize . club floor elegant touch choose hotel work facility , fine . bed pillow large , comfortable clean . large window room could actually open air . hugely impressed Donatello would go back heartbeat . sorry get try food restaurant look romantic go investigate . 
 Aug 11 2009 	 Perfect stay perfect vacation 	 travel two old teenage child room vacation within vacation . ' ve San Francisco 4 time good stay yet . yes little noisy , 's city . want quiet would go country . location fantastic . one block trolley bus . great restaurant within walking distance . room large , bright airy . bathroom large enough everything spotless . bed comfortable accord child , sleeper sofa . staff incredibly helpful . not eat breakfast say , travel teenager think wake 10 am . early really , ' m San Francisco , would eat continental hotel breakfast anyway . fact include room price pretty unusual hotel major city . complaint pillow . could much firm . overall , fantastic vacation wonderful hotel . 
 Aug 10 2009 	 nice room - thing could better though ! 	 pro : * spacious room * Fridge , toaster , microwave , coffee pot - convenient ! ! * good storage * clean ! ! * excellent location Union Square shopping * concierge helpful - ask want listen timeshare pitch pushy say . * besides credit card issue ( see ) , staff friendly happy answer question . * sound not issue - mean , yes , hear traffic , ' m really sure avoid SF not bad hotel ' ve stay before . con : * HORRIBLE shower - feel like pressure washer shower . * breakfast - coffee , tea , OJ pastry . couple baby apple orange bowl . include breakfast also sign say charge $ 4 - free can not knock - want muffin donut , be going happen . * internet work time room . go club level get good service . * issue credit card - person speak tell we different thing hold incidental / room charge ... confusing , stay hotel LOT never bizarre experience . overall - would stay ? maybe . be still wait credit card issue work , guess depend thing really resolve . , probably - chalk issue glitch misunderstanding mistake . , would try somewhere else - many hotel City try . 
 Aug 9 2009 	 room date 	 husband along teenage son book & quot ; Presidential Suite & quot ; . large , like apartment , dining room living room , kitchen , two large bedroom two bath . decor date , comfortable . bathroom small , dingy seem like not belong , proportion rest suite , like belong motel six . towel substandarderd , shampoos soap . great room , really need up - date ! 
 Aug 8 2009 	 good hotel ' ve San Francisco . 	 numerous Hotels San Francisco include pricey hotel locate directly Union Square , hotel far nice . really great deal . room modern , clean , spacious . bed comfortable . sleep well . also sofa bed members party sleep , say pretty comfortable well . window large , view good . also refrigerator , microwave , toaster , coffee machine room . front desk staff member friendly . location couple block Union Square . also Walgreens nearby case need anything rush . read reviews hotel book , complain noise . well , San Francisco always noisy . city always something go , always siren . nightclub across street hotel little bit noise really noticeable unbearable . would say room pretty quiet compare room ' ve stay elsewhere . negative continental breakfast $ 4.00 2 pastry fruit . however , one can not really complain room wonderful great price . offer free hot chocolate , coffee , tea great . GREAT GREAT GREAT HOTEL ! stay enjoyable . 
 Aug 2 2009 	 Perfect hotel great location service 	 stay Donatello one week start July impressed . room large , clean well equipped . staff attentive helpful . breakfast include bonus . would recommend hotel anybody travel young kid . 
 Aug 2 2009 	 Nice room - bit noisy 	 ROOM 502 : large bed . cool room . small bath . steamy mirror . poor shower . shower gel . coffee machine available ( tea ) , plus fridge , microwave toaster . big tv . poor lighting . noisy city night . service : conceirge extremely helpful booking tour . breakfast choice poor well crowded seating area . area : cable car slow huge queue . bus tour available ( 5 pm ) Fishermans Wharf Alcatraz access towards Golden Gate Bridge . sonoma wine country tour worthwhile . I WOULD RECOMMEND STAYING HOTEL NEAR FISHERMAN 'S WHARF . 
 Aug 2 2009 	 great value great staff 	 stay Donatello 4 night start holiday California . great hotel , good sized room , friendly staff good value . within easy walk distance Union Square . would certanly hesitation recommend hotel . 
 Jul 29 2009 	 Good Times 	 hotel staff wonderful great sense humor ! contact concierge within hour checking , want find could help we stay . locate central area close much . room feel welcome comfortable . enough room sister - in - law drop spend night . bathroom show hotel age clean well stocked . like provide bathrobe . two night quite nice stay . continental breakfast light . love free wireless internet room ! though 30 odd dollar parking fun hotel close enough walk get public transit pay parking . 
 Jul 29 2009 	 Great locationfriendly stafflarge room full kitchen 	 love hotel , near Union Square , easy get kind shop restaurant . big room kitchen allow we meal lot confort ! top floor enjoy nice room magazine , soft drink juice ( free ) .spotless clean . 
 Jul 28 2009 	 Bad Start nicely handle 	 Booked room Donatello base upon nice review TripAdvisor . walk tell hotel oversell ( guess economy not hurt everywhere ) . credit , compe room sister hotel ; Intercontinental . handle situation nicely , provide reference person talk letter we provide person verify freebie . Intercontinental handle end graciously , provide nice room 24th floor . disappointed situation , impressed result , would certainly book another room either hotel . side note : breakfast downstairs intercontinental good , ' location base Mission Street perfect access various site city . 
 Jul 28 2009 	 great room ; helpful friendly staff ; good rate 	 5 night stay family attend conference . everything room work ; bed pullout comfortable ; plenty shelve storage space assorted gear . room look almost exactly like one website . breakfast room relax get early good fruit go . even wrap - around balcony hard - core smoker .... would definitely stay . 
 Jul 26 2009 	 great sized Room - Great Location ! 	 stay three weeknight Donatello family vacation two teenager . room great size four we . read tips pullout couch semi - worried going - perfect ! room rate reasonable location good - Union Square . much walkable accessible nearby . the service top notch front desk helpful friendly . knock workout room - subpar . one treadmill bike will not cut major hotel property . find outstanding three mile run downtown Union Square area - excellent ! breakfast area also crowd confusing complimentary need pay . not matter two good breakfast place close walkable - Dottie 's Crepes . overall - favorable stay would recommend friend ! 
 Jul 26 2009 	 great value great city ! 	 Close Union Square shopping China Town culture , Donatello Hotel great value San Francisco ! good restaurant , Happy Hour , piano music Lobby knowledgeable , exceptional staff ! will not stay anywhere else ! 
 Jul 22 2009 	 lovely room great mattress 	 spend 2 night Donatello recently highly recommend . room tastefully decorate comfortable nice sofa , table lounge chair . mattress really comfortable . sleep Number Bed home particular . sleep well . especially like could open window outside enjoy cool San Francisco night . hotel walk distance several restaurant choose partake hotel 's , ( ) . upscale shopping near Union Square . close BART public transportation . return Donatello . staff welcome housekeeping friendly . nice hotel . 
 Jul 19 2009 	 great hotel great location 	 stay one night really impressed hotel , large room , friendly & amp ; helpful staff . complaint spa area . hot tub large enough fit 2 - 4 people ( would cramp ) . look forward soak relax day shopping / sightseeing be not possible give amount people wait use . Sauna , be not turn ( take 20mins heat ) large enough 2/3 people only.although fairness hotel everything else really good . Located Union Square really handy good shopping / food / transport . staff friendly arrive back girlfriend day shopping / sightseeing really nice touch find curtain draw lamp , dinner mint bedside . really easy thing really nice touch staff . room coffee machine , fridge , microwave , cutlerey ( basically everything need stay long fancy save dollar make lunch room ) . 
 Jul 14 2009 	 Convenient 	 two day stay Donatello Union Square wonderful . chinatown block away two cable car route . enjoyed walk around find wonderful place eat drink . staff helpful room locate quiet side street could rest well afternoon evening . 
 Jul 11 2009 	 Quality Hotel 	 stay Donatello least five time year . room spacious , clean comfortable . service outstanding . Donatello first choice stay downtown San Francisco . 
 Jul 10 2009 	 great c0mbination price service amenity 	 wife make regular trek SF change pace try dozen hotels year . fit we well . one block Union Square , nice clean room everything expect hardly ever get ... comfy king - sized bed ( well home ! ) , clean room nice furnishing , flat screen , dvd player , little boom box , fridge , safe , coffee machine Club room complimentary coffee , park 20 buck ask combo package . else ? little stuff like robe , iron board , hair dryer , queen - sized pull . window open , least room , not feel like be hermetically seal cage . service top rate . be go back . 
 Jul 10 2009 	 excellent location cozy / romantic getaway ! 	 girlfriend stay Donatello several time enjoy excellent central location Union Square , within walk distance Starlite Night Club , several variety restaurant , trolley service etc . etc . hotel 's 2nd floor bar & amp ; lounge cozy / romantic jazz singer & amp ; pianist complete setting . hotel staff always service orient problem cozy , clean room . 
 Jul 10 2009 	 special place 	 five year ago spend honeymoon Donatello fall love . since live Sacramento , use get away place city . ' ve find favorite restaurant within walking distance . staff always pleasant . lounge top floor always comfortable spot go . nite theatre Giants game love go 2nd floor lounge drink pleasant live music . 
 Jul 10 2009 	 Great Location 	 hotel within walk distance Union Square & amp ; public transportation . staff friendly & amp ; helpful . hotel room large & amp ; come microwave , minifridge , & amp ; dish . room little date & amp ; carpet could use cleaning . 
 Jul 9 2009 	 beautiful hotel . excellent service 	 stay Shell Vacation member . customer service excellent . front desk bell caption service helpful . room service great good price . dinner italian Restaurant hotel 1st class . definitely stay . location perfect take public transportation anywhere . 
 Jul 7 2009 	 comfortable enjoyable stay great top - floor Concierges ! 	 spend 9 comfortable day Donatello partner SF conference , find room spacious comfortable . look somewhat date , one warm , convenience space fridge kitchen area appreciate . breakfast limit pleasant , least opportunity chat pick brain wonderful concierge - Poldi Peter . mine information , extensive file hand assist sight - see restaurant booking ! not bother hotel restaurant - average - go across road Fino 's good italian food ! ( not forget ' Cheesecake Factory ' Macey 's - find ! ) . 
 Jul 7 2009 	 fantastic hotel exceptionally large room 	 stay Donatello many time last several year . always impressed courtesy staff , impeccable cleanliness room fabulous location ( right near union square ) . room large ( approx . 425 sq . foot believe ) nice amenity ( microwave , mini - fridge , coffee maker , sink dish ) . club room nice place cup coffee wine relax also . 's lovely hotel would highly recommend anyone seek friendly , professional atmosphere attention detail . value / quality price exceptional also . 
 Jul 5 2009 	 great hotel great staff ... 	 think fantastic hotel . really enjoy Friday night wine taste .. staff helpful offer tip navigate city . 
 Jul 3 2009 	 Nice hotel friendly staff comfortable room . 	 Donatello part meet expectation five night stay . after research site like Trip Advisor find excellent rate hotel , decide give Donatello try . room quite large ample space spread . queen - sized bed comfortable . fortunate enough get corner room experience minimal hallway traffic noise . room 's layout cleanliness good quality furniture lighting seem average level hotel class . since fifth floor , also fair amount street noise . bathroom pleasant surprise convenient layout , plenty counter top space clean towel . overall feel cleanliness extremely high similar one find five six star hotel . the continental breakfast basic good . sliced bread , bagel , donut pastry fresh fruit available . coffee quite good serve hot . every morning , tiny breakfast room outside deck area crowd many guest hold . fitness center across breakfast room small one treadmill , cycling machine free weight . the Donatello little one block away Union Square five block trolley car station . day , area around hotel seem relatively safe . many night walk back hotel uneventful decent amount people car still go area . memorable friendliness hotel staff . approachable helpful keen make stay pleasant one . overall service highly commendable generously - sized comfortable room . hotel unpretentious well - keep . Donatello offer tremendous value stay San Francisco . 
 Jul 2 2009 	 great hotel 	 great location good size room , friendly service , great value money . 
 Jul 1 2009 	 great Stay ! 	 stay hotel one night , wish could stayed long . value price excellent . travel husband brother room spacious enough accommodate three we . location could well , short walk Union Square cable car line . room clean ( bathroom bit date , clean ) . stay fifth floor bother city noise . would highly recommend stay Donatello ! 
 Jun 22 2009 	 fantastic hotel location ! 	 Donatello great place stay ! room clean spacious ! great service concierge , Carlos , great ! bed really comfortable street noise room ! location excellent . trolley stop 1 block away get right Fisherman 's Wharf Lombard Street . 's fun ride ! would definitely stay ! 
 Jun 20 2009 	 stay Donatello Hotel one memorable experience trip . 	 room huge , lot storage space , neat clean . pleasantly surprise nice hotel , perfect location , easy . concierge helpful , make reservation us dinner attaction , additional fee . happy hour always perfect way end wonderful sightseeing day . hotel staff make we feel welcome . restaurant great . waitstaff attentive . 
 Jun 19 2009 	 great accomodation 	 great central location , large modern room , good service.will stay . 
 Jun 18 2009 	 beautiful convenient downtown hotel . 	 great stay Donatello . concierge helpful , room clean adequate . easy get tourist site , financial center , Union Square public transit location . 
 Jun 17 2009 	 Great Hotel 	 large , comfortable room . great location . everyone group nine love hotel . would definitely stay . 
 Jun 17 2009 	 could not ask 	 travel 4 year old never easy one thing look plan goto San Francisco easy access city offer without car . Donatello literally 1 block away Union Square hop trolley Fisherman 's Warf . room Donatello get little date , especially bathroom , nothing gross . live area spacious 3 us noise level ( floor 9 front elevator ) actually quite minimal . front desk staff courteous helpful make we feel welcome . less ideal part hotel small breakfast area limit food inlude continental breakfast ( assortment muffin donut ) . end take food back room . overall serve perfect base operation 5 day trip $ 99 / night , good bang buck . 
 Jun 16 2009 	 Perfect every way . 	 Hotel centrally locate , block away Union Square easy access public transportation , important , make easy move around . travel 13 year old grandson , everyone Donatello make we feel right home minute arrive departure . staff friendly knowledgeable city attraction . room spacious , clean well appoint . bed comfortable . Breakfast ( continental ) include good . high Speed internet offer free . definitely stay . 
 Jun 16 2009 	 excellent place stay staff take care . 	 staff great . travel lot line business generally alone . Donatello staff ensure stay would great . Mark desk , room service even parking attendant make sure every need take care . stay resort hotel San Francisco , find one staff great . solo traveler business ensure staff stay would great . big thank housekeeping staff , room clean fresh everyday . Mark rest staff big thank amazing experience . back often . 
 Jun 16 2009 	 Love Hotel 	 Hotel staff accomodate efficient . suite beautifully furnish super clean - quite upscale modern . boutique style hotel right middle terrific shopping restaurant walk . numerous art gallery around . easy access cable car tour bus . consierge extremely helpful valet parking top notch speedy take luggage car . never fast uncomplicated check . entrance classy marble wood . good italian restaurant 2nd floor cosy piano bar . you must stay real treat take care of.next time plan stay long take advantage spa fitness area 
 Jun 13 2009 	 Perfect Place stay San Fran 	 large clean modern room . great value superb central location . be short hop union sq shop etc . be also close trolley head wharf . the breakfast really worth bother great place near by . we return 
 Jun 9 2009 	 spacious clean room good location 	 stay 5 night . room clean , staff courteous . amenity great - 's spacious , almost like studio suite . microwave , sink , plate mini fridge ( minibar ! ) let bit in - room cuisine , save cost let control eat ( health - conscious ) . tv get ton movie channel , wireless internet free 's little desk laptop . Room get street noise - especially thursday friday night - people street party pretty loud . do not try continental breakfast , 's part amenity . this great deal . would stay travel back San Francisco . 
 Jun 9 2009 	 great location walk distance Chinatown Fisherman 's Wharf 	 not spend lot time hotel sightseeing lot , fact fridge small kitchen area impressive . not need use car get place want go . overall , great value . 
 Jun 8 2009 	 definitely great place stay 	 room huge , front desk clerk Jesus ...... amazing , service impecable , clean , great price , great location , honeymoon ...... MEMORABLE , thank DONATELLO ! ! ! ! ! ! ! ! ! ! ! ! ! 
 Jun 8 2009 	 great hotel great value 	 great hotel great location . good value . room outdoor terrace fantastic ( room ) . would stay go San Francisco . 
 Jun 5 2009 	 Fantastic hotel 	 stay Donatello May 23 - 28 truly wonderful ! hotel staff pleasant , efficient friendly . hotel room spacious , homey well equip . internet fast free . the hotel centrally locate , short walk Union Square - the transportation center , shop restaurant . it gem . intend stay Donatello whenever go San Francisco . 
 Jun 3 2009 	 steal price 	 one nice hotel ever stay . satisfied every way . great location , could walk everywhere San Fransisco great upscale area . staff pleasant , room large , clean , well equip comfortable . feel upscale . concierge give we great tip Napa place eat city . would defintely recommend hotel . 
 Jun 3 2009 	 Great Central Location Spacious reasonably price ! 	 2 adult 2 & quot ; 20 something & quot ; kid family vacation 5 day . read lot nice review go . request room away street get want . service wonderful quick request make . within walk major shopping , nice resturant , street car . much nice stay downtown instead commercialize Wharf area . room spacious clean nice furnishing . shower head complaint . bathroom clean , little date . would stay time visit . 
 Jun 3 2009 	 excellent hotel close Union Square 	 ( come Switzerland ) moove son Tennessee San Francisco , stay month Donatello . absolutely satisfied . first warm reception give we . room spacious nice , always spotlessly clean . the hotel also nice bar good restaurant . enjoy stay much absolutely recommend hotel . 
 Jun 2 2009 	 Quality service - value money 	 nice hotel center city ( close Union square ) , easy approach , close commercial center ( Union square ) main mean city transport . service provide we good . hotel staff prompt serve we well immediately . room , wc ( bed ) big continuously keep clean . price room good . many fittness service provide free charge . & quot ; continental & quot ; breakfast , also include room price , rich acceptable . room ( & quot ; Club & quot ; ) breakfast provide ( self - service ) rather small , never experience problem find table . in general value money hotel high . 
 Jun 2 2009 	 Best Value Hotel US 	 recently stay 2 night Donatello whilst honeymoon US . book Donatello base previous trip advisor review live reputation . hotel excellent , room large , comfortable well furnish sofa / bed , plasma tv , fridge , coffee , kitchen sink , plate cutlery . honeymoon upgrade balcony room give complimentary champagne upon arrival . Jesus , along staff reception everything could make we feel comfortable welcome hotel . location excellent 1 block back Union Square close everything . free internet computer lobby without laptop great also . would definately recommend hotel . 
 Jun 1 2009 	 Donatello - Great Hotel ! 	 Shell Resort elite owner ( New Jersey ) several Shell resort upscale destination . regulars Donatello whenever San Francisco . hotel posh location , comfort , amenity , super friendly , courteous staff , hotel rank . soon walk , front desk welcome we warmly . room ready get early . go quick lunch return room ready luggage inside . give room upper floor hear city noise . room hallway though could use upgrade make hotel really outstanding . concierge staff superb accommodate . Morgan work we dining taste hit ' home run ' every recommendation . housekeeping staff always smile greet we . hotel Union Square right theater district lot gallery see . cable car , shop , restaurant , nice mall walking distance . hotel everyone 's list . highly recommend ! 
 may 31 2009 	 gem midst Union Square ! ! 	 Donatello far exceed expectation . room large San Francisco , clean classy . decor trendy bed & amp ; linen super cozy . moment walk , staff Donatello seem eager welcome make stay visit City amazing . would definitely stay ! ! 
 may 27 2009 	 Five Star Service Heart San Francisco 	 want pamper utmost kindness , courtesy caring assistance , make Donatello home away home San Francisco . staff - Moises , Jesus , Ed , Romie , Joe , Tony , Ed ( along everyone else ) - accommodate , knowledgeable cheerful group people ever meet . go beyond every request -- tell we great place dine secure ticket two - day Open top sightseeing bus arrange transportation to / from Napa airport . accommodation clean , comfortable quiet . yes , quiet -- downtown San Francisco step Union Square thousand people . room equip fridge , small micro coffee maker . twice phone desk service twice someone appear door within minute two . unlike other register disappointment continental breakfast , quite pleased -- fresh pastry , fruit juice ; robust coffee several tea ; hot instant cereal ; daily newspaper offer cozy library / den set fireplace outdoor access . can not wait return ! 
 May 26 2009 	 great hotel value money central 	 hotel brilliant location , great value money . a nice safe , central , clean tidy hotel . come pretty much five star hotel Vegas bite nervous hotel would like . room good size , clean comfortable . everything good condition . the hotel room nice quiet , staff friendly helpful . location hotel excellent . less ten minute walk main shopping area Market Street , gorgeous Union Square five minute walk , . many lovely restaurant around choose , far central cable car route . we hada great time San Francisco , doubt make enjoyable stay lovely cosy hotel . feel home , hotel San Fran . would definitely stay . 
 may 23 2009 	 hotel ideal location good service would like go back future . 	 hotel 's staff friendly helpful . stay Donatello 3 night find location perfect take public transportation . rental car need . not use available facility daily complimentary breakfast nice . 
 may 22 2009 	 Donatello live Tripadvisor hype . 	 friend return two - night stay Donatello . read many positive review , experience live expectation . staff unfailingly polite , cheerful , helpful , downright friendly -- particularly Ed reception desk . arrive 2 - 1/2 hour 3 p.m. check - in time , Ed take cell phone number call tell we room ready . room large , clean , comfortable , light , large window afford view SF skyline , side window actually open , provide welcome fresh air . ask quiet room , 10th floor location provide . several fifth floor room share common terrace , afraid street noise level might problem . the concierge ( Peter ) suggest eat Colibri , wonderful restaurant serve Yucatan specialty , rather typical fare one find mexican restaurant . food delicious , restaurant locate around block . Zingari , hotel 's second - floor restaurant - lounge , offer half - price appetizer $ 5 house wine 4 - 7 p.m . portion sufficiently large serve dinner us night arrive . the continental breakfast provide excellent orange juice along orange , apple , muffin , croissant , breakfast pastry , tea , coffee Club Room hotel 's top floor . surround Club Room outdoor terrace area provide great view City . the complimentary wi - fi definite plus . computer available lobby travel laptop . , entirely positive experience Donatello , recommend hotel without reservation . 
 May 19 2009 	 People Donatello go beyond expectation . 	 hotel centrally locate good restuarant , shopping transportation . Ed Jesus front desk make feel special right home . tour , restuarant attraction want see Moises person make sure excellent experience . stay Donatello love stay much decide bring friend could experience good customer service orient destination possible . choice go anywhere know would experience something magical San Francisco expecially Donatello warm , caring people work . highly recommend Donatello know visit soon . 
 may 15 2009 	 great hotel 	 stay week April love ! front desk staff nice helpful . room great - spacious quiet . concierge helpful tour information . housekeeping excellent ! love location - close main attraction . everyone super friendly . would definitely stay ! 
 May 15 2009 	 excellent location great value friendly staff 	 stay end two week holiday California enjoy site sound San Francisco . locate minute Union Square location excellent . value money also good , competative rate area . good link local transport , BART road Powell , bus cable car interesting part city , include Fishermans Wharf Ocean Bay . room equip microwave , fridge , sink , cutlery crockery , coffee maker . excellent free wifi internet access large telly lot channel , although son want watch Stanley cup ( ice hockey ) channel available .... one minor gripe , booking include continental breakfast , one day nothing leave arrive . continental breakfast consist coffee tea thermos , orange juice ( nice ) muffin . day croissant make nice change . also fruit , apple , orange , banana . much room sit eat , normally take available back room eat . despite middle city , room 10th floor quiet . disturb traffic noise . 
 may 11 2009 	 Excellent bang buck 	 rub shoulder expensive hotel around Union Square , prime location good price good reason stay Donatello . room spacious , well appoint fairly attractive . also spotless , keep good order friendly room staff . bed good , good . think much street noise filter windows night street cleaner various garbage truck always seem around . noise adjacent room , however , bad hotel . newspaper outside door morning nice , complementary & quot ; breakfast & quot ; less appealing . orange juice fresh coffee pretty good ( paper cup ) , high - fat , high - sugar pastry offer definitely idea nutritious breakfast . least fresh , give lot energy ... look gift horse mouth ? quibble aside , think Donatello Hotel offer great combination amenity location price ( pay less $ 100 usd per night taxis ) , would hesitate stay . 
 May 11 2009 	 Great Service Good Rooms Good Location . Breakfast ? 	 last leg 2 week vacation , three night say early May . first time SF , compare place . the room ( King , standard ) sufficient size ( 400 sf ) hear rarity city . location downtown amid tall building . close Union Square method public transit . I choose deal include parking . highly recommend unless familiar SF know & quot ; & quot ; park already . otherwise , Donatello part property network offer comp listen sale pitch hour . parking one comp . not , since parking deal already . in city size , night time noise expect SF disappoint . 10th floor though ' m sure could 1000th floor would not matter . biggie , hope not disturb street life snore . the city busy safety real concern dusk later . throng people permanent residence thin , thing look little tough couple time . beg homeless , find nuisance people hand girl card Las Vegas . not make eye contact keep move . defense , see number give direction . characteristic city - hotel . see anyone & quot ; living & quot ; near hotel night . you want service ? get ! immediately check dished concierge warm welcome useful information . special mention Ed ( be always Monday Donatello ) desk , Sarah concierge , Joe bellman . ' m sorry not remember valet , top notch , . Sarah spot restaurant recommendation two three time ( Fino 's downtown Alioto 's wharf ) . even third good - & quot ; San Francisco & quot ; good . the room also include complimentary continental breakfast , available 7:00 9:30 . 0 - 2 find anything muffin banana / apple . bit disappointment ( also see review ) . sheesh , get big fridge , cereal , pastry , jam , jelly , fruit , bagel , cream cheese - know , standard - enough last entire 2 1/2 hour . little attention precious little negative say Donatello . I ' m glad stay look forward return visit . 
 may 10 2009 	 solid value near Union Square 	 first overnight stay San Francisco , although day trip , hotel experience SF compare . say , travel frequently family familiar similar option general . the valet parking package extra $ 20 day simply unbeatable city issue regard . find place charge $ 30- $ 50 + per night , & quot ; local & quot ; make trip Monterey , really option bring car pleasantly surprised . room fairly spacious , layout bit inefficient . may due next elevator , amount space , separate living sleeping area would nice . sofabe locate room bed , luck able put kid sleep different time . furnishing modern blue tan decor , tv nice still enjoy room find pretty good value . free wireless internet also include work without issue . small fridge microwave also include . we stay sixth floor Friday -sunday Mother 's Day weekend find outside / street noise prevalent night Saturday noise level enough disturb sleep repeatedly . may common hotel Union Square several night club area . not blame hotel , may consideration traveler . within hotel noise really issue , even elevator , rare loud grouping pass . night noise , everything hotel pleasant . staff friendly attentive , property clean , value space outstanding . would definitely come back wife , might look quieter financial district bring child perhaps insist high floor see alleviate issue . finally , note trip help other . first , skip cable car . yes , know sound like romantic experience reality long line pack car , far likely view another rider 's behind part city . price ( $ 5 person ) get limo Union Square Fisherman 's Wharf . absolutely must get one , likely need get either end line see people repeatedly tell room stop . second , go touristy spot early . go Pier 39 opening ( 10 ) without crowd , actually great place sightseeing take kid . 1 - 3 , crowd expect wait lot stuff . go Exploratorium . get 10 free day expect bad , , bad first hour two . crowd commence . practical standpoint , find 2 - 3 hour sufficient view each . we also 1 hour Bay Cruise find enjoyable . bring jacket though . all , nice stay - cation well worth weekend . thank SF ! 
 May 8 2009 	 Great Location good sized room 	 stay four day / five night near end April 2009 . location good , one block Union Square good restaurant around . service efficient , room comfortable spacious cost we £ 128 night . however , breakfast little disappointing amount room ( locate top floor ) available eat limit . last day ( Sunday ) , actually run food ( pastry cookie ) leave guest without . hotel overall clean window lead onto street , especially attach Zingari restaurant ( locate second floor ) desperate need cleaning make hotel look shabby street . easily resolve however . room 6th floor look onto Post Street , noise street occasionally disturb we . 
 May 3 2009 	 Excellant location 	 1 block Union Square near Powell Street Tram terminal BART / Muni station , ideal location holiday . the room good size sofabe require well maintain . Guest service respond quickly require . staff polite , coutious efficient . the downside breakfast small selection muffin , pastry apple . breakfast room small table difficult get table sit at . overall good hotel well price . 
 may 1 2009 	 Good Value Money 	 - like : price , room size , location , staff , .- dislike : Breakfast ( sweet ) , internet ( extremely slow ) , room furniture ( new small workdesk ) bathroom ( outdate ) , noisy airco be outside . 
 Apr 30 2009 	 comfortable elegance top notch room . 	 stay part sister 's weekend package . exactly hope . wine glass , plate , cutlery , etc . ready wine cheese bring back evening . close publice transportation choose use . walk distance many thing . would definitely stay . staff superb . could not get tv work call front desk realize DVD player remote hung phone ! call back let know mistake within 2 minute maintenance person correct problem . representative service . 
 Apr 29 2009 	 First Class Hotel 	 Donatello delightful place stay one block Union Square San Francisco . central almost anything want see San Francisco . recently stay one week thoroughly enjoy pamper . everything perfect customer service excellent . bed , Club Room , front desk concierge assistance could well . negative noise nightclub Mason St 12 2 , expect popular downtown San Francisco ? plan return soon . highly recommend . 
 Apr 28 2009 	 LocationLocation location ! 	 clean , friendly , easy walk anywhere . one block Union Square , 1 minute away type transportation . show stuff 2 small baby need everyone parking attendant , bellman concierge helpful patient ! 
 Apr 28 2009 	 great staff great room great location 	 hotel scale intimate grand , locate one block Union Square cable car , parking package rate reasonable . Donatello 's strong point 's staff , friendly obviously focus serve guest . room pleasant , modern decor , lot storage space , microwave small fridge . include access lounge top floor , get coffee , tea hot chocolate anytime , juice , bagel , muffin danish morning . totally comfortable , love hotel . ( P.S . one us light sleeper , bother popular club across street ! ) 
 Apr 26 2009 	 good experience 	 hotel well locate San Francisco downtown area , walk distance many attraction bus line one block away good restaurant around . 
 Apr 25 2009 	 Superb - good choice San Francisco 	 stay 7 night Donatello group 8 colleague . hotel excellent choice traveller great value city . extremeley happy accomofation recommend hotel other . the location great , 1 block away Union Square easy access cablecar , Bart , etc . find dozen restaurant within 2 minute walk . the front desk service great , attentive , fast . the room large , king size bed , sofabe kitchennete every room , large LCD tv , dvd player . room immaculate , recently renovate . stress nice hotel room be . the free wireless internet service great , adequate enough basic email web need . there nice gym jacuzzi spa . the one thing improve breakfast buffet , basically coffee / tea / orange juice selection pastry - bread , cerel , hot item . nevertheless , Donatello excellent choice visit San Francisco highly recommend . 
 Apr 22 2009 	 wonderful first time stay San Francisco . 	 wife try get San Fran year . finally go wound Donatello Hotel wonderful 7 day stay . room comfy . Shower nozzle could take skin not want get . view neat consider city . staff excellent seem genuinely pleased see we . make we feel comfortable welcome . breakfast muffin sweet roll coffee , place share intimate unless want sit floor ask sit stranger . great share time people . would stay heartbeat . clue site restaurant evening . 
 Apr 20 2009 	 love everything ! 	 great room great service ! want try spa leave early meeting side bay = ( 
 Apr 20 2009 	 Awesome stay 	 great location - Union Square one block away . wife hard please could not fault cleanliness room . complimentary breakfast consist fresh pastry , fruit , juice tea coffee - simple adequate . appreciate complimentary internet computer lobby not travel computer . without doubt , good value hotel 3 week travel USA . 
 Apr 19 2009 	 great SF find 	 stay Donatello , remember nice , comfortable hotel great value . sure enough - still . recently stay JW Marriott across street wonder twice price . Donatello small hotel nice ammenitie , good service , comfortable room ( nice microwave , refrigerator dish ) . clean comfortable . bed hard . negative come . great location , within easy walk distance shopping , cable car & amp ; restaurant . nice little terrace ! not spend - still great place stay . 
 Apr 13 2009 	 not Miss Staying 	 Location , service , accommodation staff excellent . treat plan stay . 
 Apr 12 2009 	 great location amenity staff 	 two suite recent girl 's weekend . hotel convenient BART really save ground transportation cost . location shopping site can not beat . walk Ferry Building Farmer 's Market quick cab ride War Memorial Opera House ballet . room exactly like photo web site . great bar sink , fridge microwave room since could snack visit . room spacious nice big window let lot natural light . one night bring food watch movie . hotel huge selection premium movie channel : HBO , Showtime , etc . complimentary morning breakfast nice touch club level lounge terrace complimentary WiFi . housekeep excellent front desk concierge really go way friendly attentive . place get big thumb we be picky group ! 
