good 	 good stay even Front Desk meet expectation : quiet room = share room door common another room . Front Desk pretend hotel ( 100 room ) fully book wednesday night 11th November ! ! ! easy cross check try book available room internet ! want waist time non well train educate staff ( 4 5 star hotel ! ) . suppose move another room day ( anymore 6th floor 2nd ! ! ! super trade ! ! ! good way convince client come back anymore requirement ) . anyway find solution make noise neighbor could complain anymore noise next door hahahah ( stupid rude french ! ! ! ) .The hotel brand new , clean , noisy cleaning staff , well situated ... certainly come back even choice dozen hotel NYC already try they . tribeca place stay ! ! ! ha way : funny coincidence one night stay : fire alarm 2.00 A.M. 6 Fire Trucks come hotel dozen fireman per truck ! ! ! ! excuse Management Front Desk Non Event . chance real fire . would imagine staff would manage situation ! ! ! 
 fear .... 	 weekend getaway could happy hotel . location excellent ... , hotel new , clean comfortable killer bathroom , bed tv . frosted glass shower wall issue floor never wet . staff attentive without face every minute hand pleasant surprise . Darker vibe also non - issue . room enough light available . want pleasant stay away BS mid - town , place brainer bargain . 
 May 12 2009 	 great hotel weekend vacation business trip . 	 exceptional place ! wife check immediately greet staff extremely courteous ( joke , everyone look like model ) . lobby cool , low - key lounge great drink . room amazing . fortunate enough get upgrade mulit - room suite awesome bedroom flat screen wall , sit area cool crescent couch seat whole group people ( another flat screen ) , kitchen / dining area could seat least 10 people . business traveler , could easily see whole suite ( especially dining area ) meet place business team . finally , two cool part suite huge private deck overlook tribeca , amazing bathroom ( multi - jet shower , bench , Kiehl ' shampoo , etc . ) . whole time Smyth treat like celebrity ( consequently feel like celebrity ) . would head back heartbeat . thank Smyth ! 
 Apr 27 2009 	 great room cheap rate 	 get good discount booking Quickbook upgrade get , make room nearly half price . lovely room , handy location subway , shop , resturant , bar close . helpful staff . huge comfortable bed . 
 Apr 23 2009 	 Loved ! 	 recently pleasure stay Smyth Tribeca five night April ' 09 . part three week NYC stay choose move hotel several time get feel different neighbourhood , Smyth one not want leave could ' ve extend stay would ! right arrival find staff lovely , friendly welcoming always case ' trendy ' look hotel . everyone encounter great . we change room type several time book Quikbook get good rate end King Superior . room 501 think , back quiet ask . arrive around 12 able accommodate we immediately . room huge NYC standard , come 6 Columbus Smyth defintely mile hotel room hotel general . we room door shower provide plenty towel use soak water floor - it be design choice apparently hope not end bathroom tile look grotty . I will not go amenity location love .... convenient downtown sight shopping / subway outside door etc ... not want leave , rest trip hotel not really even measure . restaurant open later year add ambiance make place even well , hope still price range decide visit ny . 
 Apr 23 2009 	 upscale boutique hotel relatively quiet area low Manhattan . 	 wife recently spend weekend Smyth Tribeca Hotel , upscale boutique hotel relatively quiet area low Manhattan . we stay first weekend April take advantage hotel ' " soft opening " rate $ 165 / night King Deluxe Room . incredible deal ! room approximately 350 square foot full , floor ceiling window overlook West Broadway . room nicely decorate contemporary / minimalist theme , comfortable king - size bed . modern marble , stainless porcelain , tile bathroom quite large NYC frosted glass wall separate bedroom . huge , two - person , glass - enclose shower featured rain showerhead . wife really like Kiehls bath amenity . room bathroom modern spotless . hotel restaurant ' open stay , drink appetizer lobby bar good . hotel within walk distance Financial District , Ground Zero shopping . also walk Palm Sunday Mass Church Saint Peter Barclay Street , old Roman Catholic parish New York . hotel also close several good restaurant . Friday night late lunch nearby Kitchenette quite good quick bite eat . morning get delicious cup organic coffee Le Pain Quotidien , directly adjacent hotel . also easily catch cab to / from West Village dinner Gusto Ristorante Saturday night , Artisanal Bistro Murray Hill Sunday Brunch . hotel also decent fitness room 3 4 Life Fitness treadmill . overall , great stay great location terrific value . ' definitely stay . 
 Apr 13 2009 	 Nah .... would stay .... much hassle 	 stay two night recently Room 901 . good : - excellent location subway user . basically access several line within 3 block walk . learn express train work ' amazed little time take get uptown.- comfy bed sheets.- staff member awesome - bellboy esp . Dake , Maria front desk.- new property ' gross yet.- Cool neighborhood . New Whole Foods 2 block away healthy restaurant alternative.- Zucker ' bagel 1/2 block away . ask bellboy point direction . excellent bagel . the good : -trie check - in 12:30 pm , room ready . understand . tell " guarantee " room 3:00 pm would call cell phone ready . lead believe request high floor room back going happen . explained light sleeper ' care view , lot street noise.- room ready 5:30 pm despite tell absolutely later 3:00 pm . apology acknowledgment late time . Room hold low floor front building . explain request new front desk person , request accommodate room ' ready . tell 10 min . wait . Wait turn 50 minute . original desk person customer service orient , room could make available . since tell 10 min , waste time lobby since not think would long.- 50 minute wait clean room , room actually dirty rip sheet ( staff say due person room " sit bed " - thought wait 45 minute clean ? ) housekeeping take 45 minute arrive change sheet . waste almost 2 hour short weekend . - shower shower curtain door water go everywhere other mention . really suck . also , place put toiletry shower everything go show floor bend constantly . ok old folk may like . photo , look like shower configure way.- Hot water ' work part Sunday morning - take cold shower check . check ask stay . explain so - so . staff ask could make . request discount bill ' explain rate discount . think discount rate suppose get service everyone else . , would stay even low rate . really ' worth hassle short stay . stay Millennium Hilton block away several time prefer property . new room big , shower curtain , never dirty sheet slow housekeeping . side note , even though room upgrade king , fancy chair picture web site . one plastic desk chair room . 
 Apr 9 2009 	 Fabulous hotel tribeca 	 perfect hotel not mind travel subway part city . be right next one line 1 block another . room give ready even though arrive check time . since hotel open , ' m sure full . Kiehl product space age bathroom . floor ceiling window look busy street , noisy vibrant day , quiet night . comfy bed , cool lighting , everything need . body lotion , call second . beautiful , helpful staff , doorman carry case step subway . price ? average $ 140 per night Quikbook . quibble $ 10 internet charge , rate , right complain . hope price not go high would love stay . 
 Apr 7 2009 	 great new hotel unexplored part manhattan 	 husband , nearly 4 year old daughter stay Smyth four night begin April . not fussy people , not need crazily attentive service anything extraordinary - kindness hotel staff definitely get ! book King Suite via Quikbook 400 dollar quite satisfied reservation .... upgrade Thompson Suite gorgeous . even without upgrade , think hotel exceptional . door man friendly chatty ( invasive way ) concierge professional . small child , tribeca great place stay many young family area . 's quick walk Soho , great park river , various great restaurant not trouble child table . never really consider tribeca must say stay , definitely come back area . 's less crazy populated rest Manhattan , still offer great restaurant shop . 
 Mar 31 2009 	 even soft open Smyth Tribeca wonderful 	 starter , hope tripadvisor change name hotel Smyth tribeca instead Smyth Hotel ; would little easy find search . but task hand : wife stay early March find hotel , good . book Studio King room ridiculously low rate ( check ; go $ 475 night ) . know corner room , expect slightly large normal sized room . , especially NYC standard , huge ! short hallway walk really enter room . decor would call tasteful modern ; not try incredibly hip , not stodgy , either . color scheme dark brown cream dark gray , since room much natural light four window ( shortly ) , not feel dark cramp . since corner room , two exterior wall , basically floor ceiling window , afford lovely view ( window , least ; can not speak room , obviously ) West Broadway , Chambers Hudson Streets . look uptown , possible see Empire State Building . large armoire , include obligatory honor bar Smyth Tribeca logo robe . sit area comfortable chair sofa , desk chair . large flat screen tv bracket allow view anywhere room , iPod docking station / alarm clock come handy . the bathroom also immense , shower large soak tub . perhaps due size room , shower door close completely enclose shower , unlike room mention problem water get everywhere , due door shower . plenty towel available , , course , Kiehl 's product nice . service friendly ; constantly tell need anything sure let know . last night , realized not check depart flight , go downstairs see computer somewhere could use ( business center , least yet ) check online print boarding pass . concierge simply ; take three minute . checkout quick pleasant , gentleman ask everything like , really seem mean ! location perfect regard public transit , since Chambers Street subway station literally step front door . never stay far downtown , love . lot great shop eat place nearby , away craziness Times Square , , due subway , easy get everywhere matter minute . as reviewer complain thin wall noise , say problem we . not hear anything , could due corner location . also plenty hot water , not notice room uncomfortably hot . thermostat say room 70 degree , perhaps problem fix . ' m sure , week go since opening , kink work . rate go ! two minor complaint would pay $ 10 24 hour wireless internet access . minor quibble sure , hotel stature , available automatically . minor point would regards room service : order breakfast one morning , , since believe come Le Pain Quotidian next door , little cool side time arrive . good , bring street . restaurant open , think problem resolve . all , love Smyth Tribeca , would definitely stay , especially low rate still available . ' m guess will not , however . think place go far popular keep price low much long . 
 Mar 24 2009 	 second time around ... new favorite hotel NYC ! 	 spend another great wekend NYC stay Smyth incredible rate $ 120.00 King room , book via Quikbook . stay Queen 4 week really must say , even Queen , small room category , exeptionally large NYC standard ! love location ton restaurant around subway station right front door . room toward back therefore quite . staff excellent ! one example : pull taxi front hotel , bellboy come right away , take 2 carry - ons trunk ask we need help luggage . ( helpful , still give we choice take service , personally appreciate . sometimes want carry bag hold hostage desperate attempt tip . ) ask name radio back front desk , still front hotel . get frontdesk , already reservation pull take we maybe 2 min . check - in . bellboy bring luggage inside , keep eye , however hover around . go , give tip tell , take . everybody encounter work courteous , helpful , overbearing . room bathroom new , modern ample storage space belonging . pic room website really room actually look like . restaurant yet finish , since previous visit , room service well breakfast serve bar area add . we definitely return hope rate go soon ! 
 Mar 12 2009 	 Comfy bed nice bathroom 	 recently stay deluxe double room 3 night 23 year old daughter . room large great bathroom . large deluxe room , nice soaker tub bathroom , walk - in shower . bathroom long counter great two woman use time . bed comfortable . flat screen t.v . large , internet work well ( daily charge ) , like iPod clock radio speaker system , add bonus , fridge room useful drink snack . staff nice helpful - use concierge service advance concierge send e mail advance ask we want anything arrange . front desk bell staff also helpful . location ok - close lot tribeca restaurant walk distance fFinancial district . good access many subway line . would like coffee maker room , fair lot place outside door get food . two thing not like - room soundproof could hear next door neighbours time . issue temperature . other mention , quite warm room . front desk clerk say heating system ( & quot ; green & quot ; eco friendly ) , way really adjust heat . system entire hotel either heat air conditioning . room window open ability let fresh cold air , not real solution . however , whole enjoy hotel would recommend interested location . 
 Mar 12 2009 	 Hip hotel great location friendly staff still work kink ... 	 book trip Quickbook.com & amp ; get rate $ 112 / night king suite . rate online website currently $ 524 / night room book . believe Priceline Hotwire room list $ 200 . hotel brand new staff advise we still soft opening -- hence & quot ; kinks & quot ; mention early . get ... location ( tribeca , mere step subway good food ) excellent . eat breakfast Cosmopolitan Cafe , one block away , every morning . hotel restaurant open yet , bar open service relatively ( NYC ) inexpensive drink ( $ 10 mixed ) . room outfit mod furniture , iPod docking station , flatscreen hd tv , upscale minibar , Khiels product bathroom . love open plan room -- make room seem large , actuality , be big . read early review hotel note bathroom door . well , open bathroom , slide thick wooden screen across toilet area section . shower section , Kohler waterfall shower head , also great . keep mind shower enclose one side slightly frosted glass ( , possibly modest travel friend be close ) . get Post deliver every morning , . staff incredibly friendly helpful , billing mistake make final total . one staff member quote price parking car , another staff member charge we differently . not know solve problem , end take $ 20 bill ( $ 65 / day park ) . give customer original price quote ? night staff , friendly , seem different operating system day staff . think work month year belt . oh , pay wireless internet access ( $ 10/24 hour ) . minor mistake , would recommend place . safe , comfortable , clean , fantastic location . 
 Mar 8 2009 	 Great Hotel - great location room staff whole thing . return ! ! ! 	 book hotel rate great love Thompson Hotels . staff amazingly attentive . location perfect right subway line . upgrade King Suite sweet ! awesome trendy decor , huge bathroom . clean ! Kiehl 's product awesome television ihome iPod . stay occur week open , not restaurant open . not matter since ton place eat near . lounge comfortable well . would absolutely recommend hotel . 
 Mar 1 2009 	 not understand negative hype - place gem ! 	 fiance & amp ; travel , routinely stay Thompson Hotels , ' ve good luck past NYC , Gild Hall Financial District new LES Hotel locate , course , low east side . question mind would stay Smyth Hotel tribeca astonishingly low rate $ 112 per WEEKEND NIGHT pop Quikbook . soft opening ? problem ! readily take advantage not least bit disappointed . the highlight : -location bit way anyone need anything 14th street hotel directly front 1,2,3 line Chambers St stop 10 min subway ride via express Penn Station . complaint . extremely easy walk around downtown : 5 minute Century 21 , Starbucks immediately across street lucky find , Zuckers Bagels , tuck right around corner near Hudson.-The lobby subdue , modern achievement cozy nooks drink read attentive , attractive , mod - ish staff . doormen concierge front desk , everyone come contact gracious & amp ; accommodate . -The construction mention previous review keep minimum , hear normal work hour week - hear peep weekend . foresight request quiet room away construction elevator give perfect location , away noise . room , hear nothing outside hallways.-the room , standard , extremely spacious . reservation queen superior room , likely low end luxury spectrum , large NYC hotel room deluxe variety . imagine low rate quickly disappear hotel & quot ; opens & quot ; develop regular clientele ( undoubtedly ! ) $ 112 buy we enormous room : least 2 - 3 bed wall direction much space front armoire bathroom , large window black curtain , desk ample room computing , lovely pillow soft queen bed quality linen , drawer armoire storage space clothe bag , interesting mini bar interested ( not ) bathroom wonderful water pressure Kiehls hair product ( interested . ) minor , truly minor thing might like little different - can not even call low point not : -The shower door , seem en vogue boutique hotel , tend get bathroom floor bit messy . even tilt shower head , slippy there.-the bathroom fan , mean take hot shower shower without door , inevitably get stuffy fast . crack door take care problem , still.-that be seriously it . we great stay afford future rate skyrocket , will definitely back . 
 Mar 1 2009 	 impress ... 	 stay two night hotel . front desk friendly welcoming . mistake room rate correct immediately . unfortunately check noticed rate still incorrect , solve immediately charge credit card . hotel location good , well connected public transport . subway uptown / Brooklyn corner . line take JFK airport step walk WTC station offer great connection Newark airport 5 minute walk . back hotel . new completely finish . Stayed Thompson hotel reason choose new Smyth . time impress ! room impress . stay double deluxe room 604 ( book king available ) . Room look cold dark furniture color detail would make room look warm . bed comfortable . turn service like Thompson 's hotel . bathroom big , Kiehl 's product . wall bathroom unfinished . bad thing room connect door room . stay hotel connect door room worse isolated door . could literally hear everything guest room say . , mind hear intimate noise guest make sure stay 604 ! probably first Thompson hotel charge wireless internet ( 10 $ ) . breakfast hotel since many nice place neighborhood good breakfast . despite little negative thing mention quite nice stay . room big compare NYC standard , new A / c quiet , great location friendly hotel staff . , room rate get quickbook amazing ! 
 Feb 27 2009 	 great location sincere staff boutique hotel ! 	 New York native live currently Tokyo trip back NYC stay Smyth . also get great rate Quikbook - upgrade King Deluxe room . front desk staff cheerful , efficient kind . bell staff terrific - friendly energetic . room enormous - love great red chair room . hotel lack restaurant - many place food nearby - Odeon , Pain Quotodien , Whole Foods , etc . besides want explore New York 's culinary scene . room tad overheat - crack window , notice building noise mention previous review . shower lovely , love Kiehl 's product . hotel quiet comfortable , location could well - ready move ! 
 Feb 26 2009 	 nice room though climate control thin wall 	 spend Saturday night mid - February newly open Smyth hotel . reserve King Superior $ 135 / night pre - opening promotion . arrive 2 pm able give we room early upgrade we King Deluxe room believe bit large floor ceiling window overlook W Broadway . we enjoy hotel . staff friendly helpful . location downtown great , right next Chambers street subway stop . room large comfortable . big issue climate control working room . could get room cool 75 degree stifle hot someone use sleep temp close 50 . make sweaty night . also , neighbor return room around 2 clearly hear exclaim , & quot ; 75 degree ! kid ? & quot ; also could hear conversation morning wall not thick . hopefully thermostat kink get work soon . the room nicely appoint . sheet towel obviously new sheet still tad scratchy towel not terribly absorbent believe multiple laundering help problem . bed bottom sheet duvet duvet cover , top sheet . shower wall separate room opaque glass provide interesting illusion room someone shower . would not recommend two people modest around share room . enjoy free NY Post doorknob morning . 
 Feb 24 2009 	 hotel finish build work 	 currently Smyth building work deafen 8 am . hotel finish restaurant . sound thing room finish builder start 7am . the pipe work standard rattle pipe wake night . when finish look like htis great hotel - would advise staying unless verify building work - unless plan 7 am .... 
 Feb 16 2009 	 love new hotel ! 	 stay newly open boutique hotel tribeca . hotel centrally locate good shop hot spot area . hotel staff top notch tough find NYC . hotel open two week ago able get sweet deal $ 179 night . upon check upgrade king size suite ! deal year . room huge brand new . separate sit area couch flat scene LG tv . king size bed super comfy also nice flat panel wall . AM / FM ipod clock radio nice also . bathroom beautiful tub shower separate open shower area . size layout perfect . we two slight gripe . one robe large closet get spank overnight parking $ 75 ! great new hotel sure get even well . can not wait go back . 
 Sep 8 2009 	 Sin duda ha sido un acierto elegir este hotel 
