perfect 	 Hotel quiet , street quiet night . hotel close pretty much everywhere will want go . short walk Bryant Park , Grand Central Station . little long walk short subway cab ride Rockefeller Center , Central Park Lower East Side . room pleasant enough room move around , leave luggage floor , put thing away , etc . window actually open nice touch hotel offer . able easily open window get little cool air packing . bed comfortable lot extra pillow ; side bed little table lamp . hotel decor happen exactly style bright color ; make everything feel cheery . excellent breakfast buffet reasonable price NYC . complaint . staff friendly helpful . seem brief problem heat . least be tell deliver space heater notice problem . never need use . heat work fine hour later . also nice find superb rate Kayak . offer park reasonable rate Manhattan , not even need use . got great advice park car get free parking space within 2 block hotel weekday weekend . not know will ever able afford hotel , would love go back . 
 small room yes comfortable . 	 go New York City third time October mom great aunt . teenager , quite bit travel experience . say , Roger Williams hotel second hotel one trip . switch two day stay Novotel . arrive Roger Williams , kind concerned location ( location time square ) , not know nearby . walk hotel impressed . exactly like website show ( sometimes website bit improved ) , comfortable feel , warm lighting . pleased entire stay . yes , hotel room small , compare last hotel not mind . hallway colourful , room white colour . bathroom quite small , yes , light not good . still like . modern , comfy . shower leak floor , detachable shower head over - head one not work . veiw not good , room service kind weird . still , nice hotel compare leave . look feel safety hotel room , guarenteed . oh , add : bed amazingly comfy ! 
 Dec 16 2008 	 Roger Rocks ! 	 city full overpriced , disappointing hotel , Hotel Roger Williams real knockout . let us start check - in ... wife travel friend - arrive hotel early expect usual Manhattan luggage check . instead , get room ... noon ! overall feel trendy yet cozy ... staff FRIENDLY . ( everyone run - everyone - wish we good day / night . ) room nice spacious Manhattan . quilt bed nice touch . read review someone warn bathroom small ... Manhattan , pretty good sized . there be quaint hotel bar / restaurant comfy relaxing . plus , location pretty great - right 31st & amp ; Madison . the problem encounter stay two heating choice : . call check tell someone would open window wish . ( wish - HOT . ) remodel seem fairly new bit surprised - mean deal - killer . ' m usually pretty critical , really fabulous hotel . would heartily recommend plan return . 
 Dec 15 2008 	 ok ... 	 room small , especially bathroom ... air conditionning room warm open window .. hard sleep window open Manhattan ! althought rate 4 star hotel , would consider 3 star ... food great , service perfect , staff nice , probably nice staff town . unfortunately , ' go back .. room 3rd floor , could hear bass music mezzanine ... get good deal Hotwire , would never pay $ 250 per night . 
 Dec 1 2008 	 unexpected gem 	 great boutique hotel Murray Hill . 10 20 block walk distance away major site ( Times Square , Little Italy , 5th Ave ) far enough away frenetic pace area . staff awesome - door man remember name next day . bright , sunny room typical size ny ( king size bed two people fit comfortably ) tastefully decorate . bed linen well ! love flat screen tv . bathroom shower update rain shower head small ( serve purpose amount time ) . wonder Aveda bath product fluffy towel make great . definitely worth visit ! 
 Nov 16 2008 	 great location good room size friendly staff ' ve ever find ! 	 good find hotel NY far enough tourist fill area around time square easy get important place . amazing staff reception help anything , bar idea get good spa rub ! ok gym - enough machine want work , wifi even 2 free use laptop reception case ' ve bring laptop . not try breakfast restaurant ( lot place go / see NTC hotel fare ) . cheap feel worth - aveda product quite enough get good night sleep ny . 
 Nov 11 2008 	 great overall experience 	 wife come back weekend trip NYC stay Roger Williams first time base Tripadvisor report . please overall . book special rate $ 300 per night hotel 's website include parking , breakfast deluxe room . seem like well deal $ 250 per night standard room plus least $ 45 per night park $ 16 breakfast . we greet sidewalk , doorman car valet park . check - in easy fast . tell upgrade room 15th floor view Empire State building terrace . room decently size King bed , easy chair , desk , flat - screen hdtv , minibar , armoire ( closet ) . other say , lot thing sale room , not find obtrusive . picture , style colorful , bright , modern . bathroom small nice good selection toiletry . water pressure so - so , showerhead adjust make fine . bathrobe provide . window open . bedding , pillow , towel comfortable adequate . the breakfast buffet serve lounge mezzanine nice fresh fruit orange juice , scramble egg , nice pastry , cereal , oatmeal open til 11 weekend , Sunday Times available . the fitness center small 2 treadmill , eliptical machine , free weight 3 weight machine . staff helpful . stand front desk wait check bellman realize want check bag , take away say could drop key andcome back ready get car . also helpful restaurant suggestion , show ticket , direction . there free WiFi throughout hotel work well two available laptop lobby access printer . good location anything NYC.Overall , would definitely go back recommend friend . 
 Oct 5 2008 	 good 	 recent long trip cleary good city hotel . read staff amazing everything good hotel ( aircon could work ) . staff without exception amazingly friendly helpful every opportunity . mezannine lounge great place chill , drink , snack etc . Defnately everythingit crack . 
 Oct 4 2008 	 Perfect Stay ... 	 research quite time , girlfriend decide Hotel Roger Williams ( HRW ) brief stay back east . LA , ca , expect pay play , lack well term ... long story short , 110 % satisfied choice stay HRW moment walk hotel , last moment prior departure . staff , location , stay HRW enable we see city without anxiety worry stay ... also , front desk seem help we truly want , oppose provide we information we favor . know people feel hotel staff automatically provide guest top - notch service ; however , live real world , know talk cheap promise great service may stop particular hotel missionary statement website . addition factor , room modern hotel restaurant bar , although pricey , worth money , staff restaurant point we cool bar area , fact utilize . course , get give ; however , take honest person reason go bat hotel / business . great stay highly recommend HRW type person wish enjoy NYC 's worth . 
 Sep 14 2008 	 nice 	 Excellent location , quiet , great equipment , good service , comfortable bed , nice bathroom , funny detail room . book cheap room possible , mistake . room tiny fake window . however , expect view anything else , since be NYC , hotel high quality cheap . 
 Sep 13 2008 	 small ROOM 	 hotel room SMALL many way .... first , Superior Double Bed room 30 & quot ; two bed push wall side room . 30 & quot ; enough space ! also , tiny bathroom like airplane bathroom ... luckily small people family . tiny round sink set square counter available space toiletry ( less sink basin ) 1 1/2 inch . nothing fit much space . shower curtain rod curved feel like bit space shower toilet close tub use & quot ; & quot ; move curtain tub not feel curtain drape . room way over - price get . 2nd night , fire alarm ( smoke detector ) malfunction corridor every floor fire truck show ( 4 ) front build 3:00amish . sleep disrupt tiny room think breakfast offer house maybe little acknowledgement inconvenience - like maybe give we one $ 8.00 bottle water something . mention incident however pay full price less space less sleep . good part ... great service , excellent food , great location , stylish lobby room . 
 Sep 2 2008 	 Fanastic Botique Hotel . Wonderful Service . 	 arrive 28th August 4 night break 10 year wedding anniversary . wonderful staff , helpful concierge give great advice tip visit . breakfast hotel good although concierge recomende place call Penelope 's 159 Lexington Avenue excellent breakfast ( Waffles , Pancakes , Fruit , Eggs anyway want bag charm ) superior room decent size room , comfortable King size bed ( much big english king ) decorate vibrant colour . room good aircon , flat screen tv , excellent room service . bathrom compact guess expect New York City . criticism would lack storage place clothe case . the Door man helpful hail taxi etc . we wonderful visit New York would happy reccomend hotel . 
 Aug 22 2008 	 wonderful stay 	 arrive Friday night greate door man remove luggage make small talk walk we check desk . interior hotel expect , modern stylish . go room find get double bed request . call reception alert . come straight room new key card new room number . nicely handle . notice lot counter space bathroom , bother since big make girl anyhow . functional nice layout . room average size hotel room . suite , room . love quilt want take one home ! = ) promise would address price tag issue saw repeat . price card extras room . ( mini bar , snack , robe want one , shaving kit , intimacy kit , etc ) card hardly noticable take away room . would much rather know charge take advantage item suprise . card two area price tag per se , like state little card info . Everytime walk door door man would grab we cab time . impressed location great staff 
 Aug 20 2008 	 Great Place Stay MIdtown area 	 boutique - style hotel 31st Madison . 's Midtown without feel like be tourist hell . modern look , excellent staff , room well stock amenity , bed comfortable . ask room terrace nice weather . be go naked , private big city . little place breakfast upstairs lobby . nothing bad say place . stay times business would definitely recommend someone come city . 
 Aug 11 2008 	 great hotel business traveler 	 stay Roger WIlliams 's one company 's prefer hotel . not really look forward - low expectation business hotel August New York . pleasantly surprised . room small terribly special - well decorate , comfortable . bathroom small well fit . really like : service free interenet . people hotel extremely helpful go way help find place eat , get airport settle room . 4 stay hotel tend scrimp staff , case Roger Williams . staff greet name , book restaurant perfect ( solo business traveler ) generally helpful . second thing : free internet actually work . spend close 75 night / year hotel , really hate penchant nickel dime death , especially internet fee ( expensive service poor quality ) . Roger Williams . also - room quiet , bed comfortable tv perfect working order . else ask business hotel ? 
 Jul 27 2008 	 good great ! 	 stay Roger Williams 03 night 25 - 28th July . be allocate room 1010 arrival around noon . first impression good , hotel well decorate well locate , staff pleasant doorman always polite . room spacious however , opinion functional . room small wardrobe , barely enough 01 person , bathroom nice space put anything , also shower do not much pressure . I friend 4 suitcase we leave side bedroom , due lack storage space . right check go walk come back 7 pm , noticed bag yet deliver room , call reception make sure deliver immediately . there problem aircon be not work room , place mobile unit really noisy fact air cooler , efficient fact , NYC stuffy hot . the wireless connection work first day stop work floor , try fix use . mandatory charge USD12 day internet use also local call , think be not fair , specially computer still pay . I might unlucky time , read good review hotel booking , however personal experience mine be not good . seem great hotel run amateur people . do not plan go back be not happy get . 
 Jul 24 2008 	 Fantastic Place - 2nd visit 	 great hotel midtown , locate Madison 31st pretty well position NYC basethe staff , especially doormen exceptional , great , really friendly full suggestion . its smallish hotel hip styling decent enough cocktail bar gym . excellent bar around corner open till late , 24 hour italian deli across street empire state within strike distancelike anywhere NYC room small 
 Jul 9 2008 	 great stay Roger Williams 	 book $ 192 pre tax Quikbook . great , quiet location , beautiful Art Deco lobby , nice clean room . little wear around edge , like bathroom door , whole room great . window little small , hide japanese screen light behind . the bed California King , highthread count sheet . soft turkish towel . aveda bath product bathroom , fancy shower , rain type shower head , well Euro style handheld shower extension . bath , though . staff courteous . complaint would never end get use internet complimentary computer someone always use . would great time limit , and/or one computer available use . like fact hotel Madison & amp ; 31st , block Penn Station . Madison turn much quiet expect night . would happy return hotel future visit New York . 
 Jul 4 2008 	 stay business -- return pleasure 	 travel New York attend conference , choose Hotel Roger Williams company block book room . say company make good choice choose hotel . the first night due arrive around 6 pm due incredibly delay flight , arrive around 3 next morning . front desk clerk incredibly friendly helpful , despite hour , really go way ensure everything need comfortable stay . staff member equally friendly courteous , whether breakfast simply walk lobby , person invariably nice word smile , way seem natural forced . give jetlag , appreciate well - maintain 24 hour fitness center , 4 one use . reviewer note , breakfast bit pricey , give travel business limit time , take time look around something cheap . breakfast good , atmosphere good , available 7 , real plus I . the location ideal . affordable cab ride away main Manhattan attraction , reasonable walk . hotel staff also provide good restaurant bar recommendation area -- several close proximity . while eat hotel restaurant , order room service one night , enjoy meal . in term room , not spend much time , satisfied . really like bright modern color , put number item sale . fact need , appreciate close . bed comfortable , air - conditioning work well need . all , extremely happy stay Roger Williams Hotel hope able return New York not - too - distant future . return , definitely choose Roger Williams Hotel . 
 Jun 30 2008 	 Cool cold 	 say & quot ; cool cold & quot ; sometimes hip factor hotel directly inverse friendly factor . , ' m happy report , Hotel Roger Williams . cumbersome name trouble remember entire stay , find fault . front desk friendly helpful staff member . boutique hotel , especially New York , interpret modern black blue purple . like hotel interpret modern bright colorful way . spend money upgrade twice ( online , offer front desk ) deluxe room , worth . b ' New York standard , room huge window thick , noise problem even though fourth floor . see inside standard room . I add get good deal get discount code travel website . con ? people mention item scatter room sale ... bit overboard . toothpaste sale ? come on , holiday inn give away . also , try fight & quot ; service & quot ; fee hotel charge . 's 12 buck day use phone internet . not use thing , not think pay , hotel automatically charge you . also , step away cheap , yummy breakfast . need pay hotel . the positive far outweigh negative . good hand . 
 Jun 25 2008 	 nice midtown Manhattan hotel 	 stay & quot ; Roger & quot ; two night . arrive early expect , front desk check early ( 10am ) , great way start stay . room modern , clean , comfortable queen bed . small closet & amp ; bathroom , room nice flat screen TV & amp ; small fridge stock mini - bar item . try breakfast hotel , two charming cafe ( Suble Tea & amp ; Keko ) Madison 30 & amp ; 31 St. great breakfast & amp ; reasonable . I find rate Travelzoo $ 200 night . compare see travel site , feel get fair price Manhattan hotel room . fyi ... New York State & amp ; city taxis & amp ; hotel service fee add almost 25 % total bill . 
 Jun 22 2008 	 nice contemporary hotel 	 return trip ny.overall satisfied hotel . its nice contemporary style hotel . staff helpful courteous . the room clean bed comfortable . the location right Madison avenue good . I would recommend hotel . 
 Jun 17 2008 	 great boutique hotel 	 spend 4 night Roger Williams duly impress . real complaint bathroom strangely design . huge shower 's marble super nice , rest bathroom tiny . barely room put makeup , blow dryer , etc . stay queen deluxe , small side , suspect hotel ny small room . bed almost soft , back actually hurt little . sheet appear clean ( never really know ' til turn night vision thingy , oh well ) . nice flat screen tv . also provide really sturdy umbrella come handy thunderstorm . what like staff . attentive friendly , force way . really go way make feel comfortable take care . think must hammer employee . every time elevator staff member , would go way make small talk tell nice day . a couple thing . free internet access via laptop lobby need pay 10 buck internet via tv room . be nice location , block half away 33d subway stop . little bummed breakfast not include ( btw , pay 20 buck breakfast buffet . walk outside go next door tea cafe ) .I would not recd place anyone travel child . teen maybe , kid . kid friendly hotel . well single couple . , good hotel good location . 
 May 28 2008 	 impressed 	 nightmare flight get NY memorial weekend . rang hotel maybe 4 time let know flight cancel , delay eventually transfer another airline get hotel 13 hrs late . greet consierge & quot ; sign good night / morning sleep look tired & quot ; . bag room perfect 40 hour trip 4 hour flight . Room Pent House Level . although small standard comfortable much work area bed die . really nice linen comfortable . Balcony relax calm . regular room might room . room service excellent quick tasty . mezanine level breakfast good sellection food everyone . little expensive ny . business meeting level afternoon look well staff . concierge helpful arrange direction time schedule train show . everyone staff genuinely interested could help make stay . definately make comanie hotel NY . 
 May 20 2008 	 Perfect 	 Perfect girl weekend . party four arrive hotel early able check one room ( double delux ) . room clean comfortable . bathroom small shower big . Breakfast delicious . fresh croissant , egg , bagel fruit salad . much well typical continental breakfast . staff great . everyone helpful polite . the location close enough walk SoHo Times Square . already talk return next year . 
 may 5 2008 	 comfortable 	 hotel joy come back freeze cold weather New York . room lovely comfortable warm we back . breakfast really good . dining room nice place sit , eat dinner watch snow blow past . 
 Apr 22 2008 	 week Roger ... 	 stay Roger Williams week early April . one we work , take day rediscover Manhattan . spend lot time NYC pretty well travel , sceptical property offer show . website classic example something try hard making . compare & quot ; classic & quot ; boutique hotel Soho Grand , Mondrian L.A. , well , comparison . location midtown mean good city offer . staff . one point , comment feel someone buy hotel turn group student operate . live Europe use , perhaps , high level service - regardless one live , certain level professionalism expect often miss property . general , much & quot ; chit chat & quot ; , especially guest ear shoot ; typical New York bar maybe , hotel . say , staff friendly welcoming : doorman gracious ( take give help bag ) ; staff breakfast , whole , wonderful dealing early morning grump ; clean staff thorough charming ; staff reception generally competent add tough , shall say , New York color experience . hotel nice fitness room open 24 hour usually empty . breakfast good . room decor truly everyone 's taste . tacky , honest . like Paul Smith logo ( multi colored stripe ) well , feel right home - believe hand design scheme . let us say stay well away hotel . room typical level hotel New York , terribly large , enough water pressure , bed comfortable ( extremely , even ) view bad upper floor . general , happy stay hotel would return , give budget . money tough time replicate experience city . 
 Apr 2 2008 	 great place overprice 	 girlfriend stay Roger Williams Hotel summer 2007.pros : extremely helpful front desk staff , doorman , waitress . decor nice , hotel clean . bright room . lovely quilt . aveda toiletrie nice touch . robe provide . we leave luggage hotel checkout tag bag , comfort , european hotel ' ve stay simply leave bag aside unattended . con : bathroom allow little privacy . toiletry replenish second morning stay . price hotel , expect replenish ! someone else mention , numerous price tag room contribute hotel feeling like convenience store home away home . room small , expect Manhattan . the buffet breakfast decent WAY overpriced . real complaint , would probably go back hotel due location lack value . 
 Apr 2 2008 	 decent place hang hat Manhattan 	 stay hotel 3 day weekend February . not ever stay Manhattan , imagine be pay big premium location . room small , outfit nicely enough colorful furnishing . be remind little 80 's , study attempt & quot ; zany & quot ; , be well boring bland guess . annoying part bathroom tiny crammed thing buy use . could do without , be tight fit want friend hang room . the staff friendly ( friendly , not like greet front desk every time enter hotel ) competent . friend meet we hotel book right next door we , nice . quick bring plate utensil decide in - room picnic LES forage ( whitefish salad Russ & amp ; daughter fantastic ) . 
 Mar 29 2008 	 great NYC Gem 	 be look affordable alternative big name luxury hotel , Roger great choice . recently remodel , contemporary feel , bright color , clean , new , comfortable . terrific front desk staff helpful concierge service book dinner , show , event , whatever need . end first day , greet name front door . something find large hotel . room vary size .... first room small comparison mother 's . upgrade large room charge second morning . Breakfast delicious , although find less expensive alternative next corner . nice little work facility great equipment . subway less two block away , easy access Manhattan . walk theater district several time . lot european traveler Roger , give continental feel . overall , really enjoy stay Roger . be look Four Seasons experience , stay FS . perfect alternative big chain hotel , far nice . 
 Mar 17 2008 	 Awesome bed .............. 	 return weekend Hotel Roger williams . hotel modern , clean appear completly renevate . minute pull hotel door man , girl front desk , even maid friendly willing help pleasure . book king size bed get room queen . call witihin minute wiske we away king size bed could appologize . never sleep bed comfortable bed . sheet , pillow comfortable make body melt . side ( one ) bathroom small , would expect manhattan hotel . great hotel would definetly go back . 
 Mar 16 2008 	 Cold ice hip 	 Roger Williams Hotel come highly recommend colleague . love NYC -- will not stay again . my room colder ice . complain twice move last night nice room - take loud heater even make room warm . also , room $ 1k night worth re - booking . the decor sort like gang clown run wild Ikea . the food involve much ciabatta aioli -- enough basic fare . the wireless internet slow spotty . -- . 
 Mar 14 2008 	 price everything 	 feel like hotel try upscale actually . turn price card everywhere room , feel like every time turn around small room another price card ( desk , bathroom , nightstand , ledge , etc . ) . feel like stay convenience store rather hotel . hotel quirky like decoration , service cleanliness . however , design hotel impractical , bathroom small sink area room put anything ... maybe part sink cluttered & quot ; sale & quot ; item . overall , hotel decorate well clean practical … and would prefer less price card . 
 Mar 11 2008 	 great hotel great location 	 great hotel two block Empire State Building . nice contemporary decor throughout hotel , friendly informative staff , hotel well worth stay . room slightly small huge bed real downside would breakfast little pricey , go one local dinner ! 9/10 
 Feb 22 2008 	 impressed price 	 girl 's weekend NYC stay Roger Williams . picture online make hotel seem gorgeous date . find extremely small sort worn area . room tiny separation bathroom bedroom area glass wall . absolutely privacy . shower area completely see - through one us need brush tooth someone else shower look way ! price ( 600+per night quad occupancy ) worth ! 
 Feb 18 2008 	 fine dandy 	 ' ve Roger Williams time past seven year , since last visit , refresh color mezz . kitchen - dining area . locaton great . subway nearby Madison Ave . loud . find staff front desk housekeeper nice helpful . build old , room size configuration hit miss . bathroom visit shoe - box . time , bathroom spaceous huge . bedroom compact ok . clean , king size bed small desk , flat screen tv closet . room really dark depend location . 2 elevator depend time day , wait . overall , will stay . price vary alot depend day week demand typical . 
 Feb 3 2008 	 Friendly Staff much money 	 book deluxe double double five night . price $ 400 first two night much low weekend . virtually lobby hotel , doormen helpful , however . front desk staff young friendly . room put initially although tell deluxe , accord description website . two double bed , room absolutely miniscule . female , could hardly turn around incredibly awkward bathroom . room & quot ; fun & quot ; decorate nicely . closet would hold maybe two coat , desk 24 inch across . move large room , meet deluxe criterion . slide glass door shower make bathroom nice . desk . third night & quot ; right room & quot ; give generous discount first night manager . bottom line still another NY boutique hotel govern people instal / square foot . decor pleasant amusing , staff friendly helpful , , know price , one need real closet , full length mirror , actual room service breakfast , beautiful free buffet one , least , bathroom nice home , large . housekeeping excellent , neighborhood convenient . old pretend comfortable lilliputian surrounding matter decor . 
 Feb 1 2008 	 nice NYC 	 stay frequently . room normally clean well . always get corner room window either side . one note stay multiple time since September room start show toll NYC traveler . still bar top notch service world class . great place . 
 Jan 28 2008 	 enjoy stay 	 get great rate $ 199 Travelzoo , not get much luxury Manhattan . , pleasantly surprised get hotel . within walking distance Penn Station Madison Square Garden close subway . staff incredibly nice . room stylish , clean big NYC standard . hotel bar / restaurant small nice place go grab drink show concert price outrageous . beware minibar snack though - they 3 time would pay deli street . fault could find could not figure heating / cool system . 
 Jan 21 2008 	 Nice Boutique Hotel - would not top choice though 	 stay 4 night NYC UN General Assembly disaster traffic . location wise 's great cause office Madison 20th . pay US $ 400 night , room small , wall thick . could hear television chatter neighboring room . I prefer Parker Meridien , London NYC Roger Williams . not much choice end rw.would return ? possibly , would not first choice . service good , location good , room tiny , poor bang buck , definitely place stay be look relax , ie go shop , go back room , nap , go party will not get much rest room , be comfortable . king size bed feel like full size , tv 15 & quot ; flat panel mount wall . if NYC day , outside meeting 15 hrs day , hotel suffice , be fly Sunday , time kill Monday meeting , not stay 
 Jan 8 2008 	 stylish comfortable 	 stay Roger Williams Hotel 2 night Christmas find lovely unusual hotel lovely addition time New York . we arrive train Washington DC Penn Station ( get slightly turn round tend NY ) walk three block hotel ( easy spot Christmas light flash ) . allocate room 15th floorwith lovely view Empire State building . room clean nicely decorate guide book umbrella could use stay . safe room , not look big enough lap top computer . bed rather soft , fairly comfortable , pillow clean . bathroomwas clean , stain window grout rust metal work sink . also floor slippyin sock ( bruise toe ) .The negative - well sound proof not much - could hear television room conversation hallway , take ear plug . also , staff friendly , seem surprised not want taxi would rather walk . we not eat hotel , would suggest go blue smoke Bar ( rib place 116 e 27th Street , 5 min walk ) fantastic food . sweet potato chip superb . 
 Jan 7 2008 	 love everything ! 	 stay Hotel Roger Williams 4 night Dec 2007 ( Christmas ) fantastic , reccommend enough - location decor staff great ! would agree review room hot , turn heating , keep window open fine . offer change room really not big enough deal ( though appreciate offer ! ! ) .The staff really great , helpful , also find use laptop ( end reception desk ) great look little bit piece want . also great stash map find really helpful , ask ! stay room basis , suprise pleased find invitation complimentary breakfast stay , , really good . 
 Dec 31 2007 	 love place 	 get back spend Christmas New York . hotel great , love breakfast , bar snack cocktail gorgeous . hide bowl sweet sale , nine year old , space bit premium , fill available space merchandise sale bit inconvenience . room hot though , take we three day manage get room reasonable temperature could sleep wonderfully soft bed . I suppose could ask staff something , do not hind sight do not know do not . ' ve never come across many apparantly genuinely nice staff , take pride work . nothing appear bother , seem genuinely pleased able help . spend number night hotel UK , front desk staff people barely speak english , never mind know anything hotel area , really mark difference . do not really need help , hear plenty would class beyond call duty service offer . ensure reservation would find Xmas dinner , take personal responsibility ensure return message would take pass . would forgotton service could like relatively inexpensive hotel . full mark staff , particularly lady beakfast duty absolutely insist daughter go around buffet table one time paper bag thing later.they make christmas 
 Dec 12 2007 	 Modern Affordable NYC 	 husband fly East suburb Philadelphia California visit family Thanksgiving holiday ... mini - vacation within vacation ( belate 1st anniversary present ) - book room hotel roger williams Fri Sat follow holiday . take train city Jersey , hotel thankfully close Herald Square / Penn Station ( 15 minute brisk walk ) . upon arrival doorman greet we , hot cider warm we cold . check - in quick , get room , get courtesy call make sure everything ok ... great ! book room month thru Quikbook.com get rate $ 240 per night - also request get room one high floor possible 10th floor ( 1014 ) , small terrace peek Empire State Bldg .... hotel quieter street , really close touristy attraction ( Empire State Bldg , previously mention , Macy 's , Madison Square Garden ) good walk subway ride away other . our room small adequate , chic decor , flat - screen ... airplane - like bathroom . small ... shower great . also beware cute little kit find , free , not . bathrobe provide , linen comfortable cozy . greet happily every employee hotel , even take pic we outside hotel sign ! look breakfast not feel worth price , eat restaurant across street ( Tasty 's ) -- much quick cheap Bagel Brothers around corner . 
 Dec 1 2007 	 Terrible actually want sleep ! 	 really would well night 's rest lay bench Central Park . room stay perfectly charming , decor cool , decent size NYC hotel . however , important presentation give next morning really focus get sleep . room must least 80 degree . could not breathe , open window far would go . cool slightly ( keep mind , November ) traffic noise keep half night . 3am , finally close window room little cooler . tossed turn night , 6:30 decide cancel wake - up call . course , call anyway . breakfast buffet perfectly lovely , although go downstair get ; room service morning . say , small point , awful lot stuff sale hotel room , point feel like sleep store . advice ? avoid place possible . 
 Dec 1 2007 	 Awesome ! 	 Hotel Roger Williams far exceed expectation . staff helpful friendly . friend New York weekend booking able get king size room . arrived & quot ; pull string & quot ; we get we room 2 double bed . room , small , perfect . bathroom ( smallish ) put together beautifully . really great use space around . surprising vitrually sound come room . could hear street hear guest floor . location great , . would hesitate recommend hotel anyone ! ! really love ! 
 Nov 28 2007 	 great hotel would recommend 	 return three night stay Roger Williams Hotel would definitely recommend . hotel not exciting look street look great lit inside Christmas light tree ! hotel clean tidy , modern funky also comfortable . staff polite offer excellent service throughout stay . stay room 611 6th floor . room not big world , small either . kingsize bed comfortable indeed . bathroom good size also shower bath . wardrobe big enough short stay iron , iron board umbrella wardrobe , plus electronic safe . room also alarm clock hairdryer bathroom also useful . mezzanine lounge change breakfast bar / diner morning bar / resturant evening , cleverly do ! breakfast lovely . offer wide range breakfast drink set price much want . would say fairly expensive want something small coffee take time try thing breakfast fill day much well value ! nice though ... not eat hotel evening food look nice bar area great evening drink go bed . hotel 2 - 5 minute walk Empire State Building Macy 's not like walk taxi 's cheap take place afield . would definately recommend hotel can not fault . 
 Nov 25 2007 	 love . 	 Excellent . staff amazing attentive need guest . room small nice clean . go NYC atraction $ 6.00 cab ride . would definetly stay . 
 Nov 17 2007 	 good place - recommend 	 nice hotel Midtown East Manhattan . exciting area nightlife reasonably handy place NYC not hard place get around ! hotel little small side everyone make feel really welcome . 's mezzanine bar serve pretty decent drink food ; perfect fancy loosener go night cap go bed . understand 's smallish gym not check , prefer feel guilty rather feel exhausted ! room not big world prefectly adequate . bed comfortable , bathroom bedroom really well keep room number really nice little touch , e.g . copy Time New York copy insider 's guide city locate room . the hotel really tick box really good value price pay . big flashy luxurious good hotel good location everything need make feel welcome . 
 Nov 16 2007 	 Gem Hotel . 	 return yesterday 5 day stay Roger Williams Hotel must say much enjoy visit . staff friendly seemingly concern Clientals comfort . enjoyment . - impressed ! pleasantly surprised size 7th floor Room ( stay much small one U.K. ) find adequate wardrobe space lenght visit comftable bed ever sleep ! window overlook courtyard mean peaceful night street noise therefore negligible . bathroom rather compact ( ' m 5 ft ) that s minor point feel . one thing like need Room pass key access floor use elevator - good security measure think .. buffet style Breakfast ( nice ) available Mezzanine level , also double Bar area time serve snack meal - eat first evening happy choice food . Cocktails / Beer pricy guess that s norm . hotel anywhere ! hotel location suit we Blocks 5th Ave shop Empire State Building etc . variety Restaurants / Bistros nearby favourite & quot ; Crooked Knife & quot ; around corner R.W . 30th street great atmospere Evenings ! sum , happy choice Hotel ( hour spend research Trip Advisor pay spade ) base experience would highly recommend - fact hope return next year family . we love New York Roger Williams Hotel . 
 Nov 15 2007 	 stay away cost 	 please please please take advise stay away hotel cost . travel business least half year world stay 20 - 30 hotel Manhattan , say lightly stay really bad hotel India , please bad hotel ever stayed try 3 time every time get bad , last time something bad happen can not go mention cause will not let . please fellow traveler listen warn , 1000 's hotel Manhatten really would well look elsewhere . 
 Nov 14 2007 	 good loction value 	 nice clean hotel great location . small room , big breakfast , great coffee.overall good , would stay 
 Nov 5 2007 	 lovely WAY small 	 staff GREAT , lobby common room lovely , room way small , counter space . place would great , opinion male business traveller , someone go NYC pleasure need space spread . make - up bag hair product , live , closet tiny -- college dorm room big . small room impossible friend , move one block Carlton , lovely much spacious . 
 Oct 10 2007 	 cool funky design great room great service fair price ! 	 see review title . sorry , lazy write real review . nice NYC hotel , reasonably price ( pay $ 250 per night ) . 
 Sep 24 2007 	 fabulous hotel price ! 	 search endlessly two week find decent , overpriced , hotel NYC girl 's night last weekend . need find room sleep 4 ( easy find NYC without pay arm leg ) . come across Hotel Roger Williams immediately book . get travelzoo rate $ 250 / night room 2 double bed . place clean feel like brand new hotel . picture website true 's like real life hotel staff friendly accomodate ' ve ever deal . bed sooo comfy room decent size . bathroom tiny though . one snafu - toilet overflow flooded bathroom , quick call guest service , resolve within 30 minute . forewarn though - except Aveda soap shampoo , charge use everything else bathroom ( toothbrush , razor , candle , etc ) . also , since girl 's weekend , bring bottle alcohol drink room . ice delivery person ( ice machine , call ask ) see bottle warn we housekeeping staff would add charge bill see bar hotel . not make sense , not take chance idea true . , would highly recommend hotel . great location - # 6 subway stop right around corner . 
 Sep 15 2007 	 winner 	 small well - appoint room . room clean great bed . air conditioning bit loud well function . 
