great 	 staff amazing . the breakfast dinner perfect . save we ton money perfect kid . great location ! 
 Apr 20 2009 	 Great Family Hotel Super Location ! 	 kid , age 10 7 , still rave hotel . staff extremely friendly helpful ! stay Thursday - Sunday , enjoy complimentary breakfast ( offer many selection , continental ) . also complimentary dinner Thursday , include burger , fry , coleslaw , soda , beer wine . location great . free trolley outside front door , take we Navy Pier . would highly recommend hotel family . would absolutely stay ! 
 Apr 20 2009 	 Homewood Suites Chicago great place stay ! 	 great hotel . stay friends family middle April bachelor party . location hotel great multiple restaraunt nearby 1/2 block red line train . include breakfast morning great free wifi also include ! everyone hotel extremely friendly beat rate . definately stay hotel future would recommend anyone . 
 Apr 17 2009 	 great place take kid . 	 great hotel take family vacation . go we d. - Sat . get enjoy breakfast buffet , also afternoon buffet . child 8 6 . love ravioli hot dog fountain drink . husband ecstatic find beer tap . ( note offer Mon . - Thur . ) location wonderful . walk American Girl Doll store also Garrets Popcorn highly recommend . staff always pleasant helpful . pool great 4 ' 6 & quot ; deep end able let kid swim sit watch . room clean spacious would never call romantic extravent . king bed kid sleep sofa sleeper main room . perfect . return couple weekend , would try different style hotel awesome family vacation . kid blast . directly across street mall Legos store . ( not find last night kid would drag we everyday . ) also near ESPN Zone restaurant game room . boy go nuts . , would return Homewood Suites next vacation child . 
 Apr 7 2009 	 great place family trip 	 husband , mother , sister - in - law , visit hotel weekend trip Chicago . Checkin easy . not use credit card , want check check card . able pay hotel stay full checkin , not hold place ard incindentals- nice ! hotel situate two block away Magnificent Mile . room top floor , great view city . walk room , notice entire far wall hotel room consist window , view breathtaking . kitchen door , desk / workstation , living room sleeper sofa flat - screen tv . bedroom leave , two double bed . high speed internet free , business center ( free ) nice printing flight boarding pass . bathroom actual bedroom , sink / vanity outside bathroom . water pressure shower great , neutrogena toiletry provide nice . thing wish different poor venthilation bathroom , pretty thin mattress pullout sofa . be plan sleep , please bring mattress pad . pool area seem nice- never swam pool since child always seem , even late evening . exercise room small nice- , one whole wall consist window , great view work . complimentary breakfast great . please get early weekend . wait 5 - 10 minute otherwise . Eggs , bacon , sausage , potato , cereal , bagel , yogurt , fresh fruit always serve . one day french toast , another biscuit . coffee fruit juice great . staff wonderful . one staff member give we tip great place eat area , actually pull map show we restaurant . speak we 10 minute see eat , think nice . overall , plan trip family member want great place stay , strongly recommend consider hotel . look romantic place two , may want stay elsewhere . 
 Mar 27 2009 	 make experience Chicago wonderful ! 	 front desk staff , bellman valet staff wonderful ! totally make we feel welcome home . room well expect ! child enjoy pool view astounding ! really enjoy & quot ; middle ! & quot ; within walk distance Rainforest Cafe , Ed Debevics , Hard Rock Cafe & amp ; Water Tower Place . constantly ask staff question always go beyond answer . complimentary breakfast delicious ! probably welcome ever feel hotel definately back ! 
 Mar 23 2009 	 great choice kid 	 stay 4 night recently fantastic trip . hotel 's location big plus -- close many amazing restaurant lot great shopping . free breakfast supper huge hit 3 kid , although quite busy , especially breakfast time . however , always lot food replenish . pool big hit kid , not complain temperature . staff helpful friendly , room clean spacious . kitchenette full fridge , microwave , dishwasher etc . great ! parking expensive , chicago hotels downtown . we definitely go back . 
 Mar 1 2009 	 Great Hotel Location Value 	 Weekend trip celebrate anniversary . location great wide selection restaurant nearby . another plus Trader Joe 's within two block . full size fridge , easy shop keep item cold . Suite clean well appoint . fridge icemaker , dishwasher , microwave , 2 burner stove , reason 4 rating one elevator temporarily service Sunday . great room rate $ 99 . - $ 42 / day parking . 
 Feb 24 2009 	 great hotel great location 	 happy follow advice TripAdvisor reviewer book hotel . location perfect , everyone work nice , helpful , seem genuinely happy job . room nice , extremely clean . complaint wall bite thin - or child across hall we bit loud . maybe combination ? also , hotel website note 2 flat screen tv suite , not , 2 tv , 1 flat screen . breakfast wonderful - can not say much like , location near everything . 
 Feb 16 2009 	 Chicago 's good keep secret 	 Hotel great location . suite awsome , Staff friendly helpful , Complimentary Breakfast hit spot . Kev Michigan 
 Jan 31 2009 	 Awesome location . good value . 	 stay Hotel 1 night . want stay downtown Chicago . hotel right next John Hancock building . walk distance many shopping , restaurant , everything else . valet people front desk people , friendly helpful . good thing hotel ( awesome location ) room suite . choose 1 king 2 double inside room get another sofa bed living room area . get 2 tv also . roof top pool look Michigan lake lovely also . 
 Jan 28 2009 	 's detail ... 	 travel lot business stay every type hotel luxury boutique chain ... yet ever find great mix service ammenitie consistently see Homewood . everyone mention , place fantastic location . anything could want see either within walk distance nearby public transportation . really set place apart detail . people work job well- add detail actually enjoy . everyone helpful importantly - sincere . suites fantastic add detail soft linen ( never life feel soft towel ) thoughtful ammenitie . free food breakfast cocktail hour great value add add detail take away container want eat room . everything place perfect . also - great family - daughter adore swim nice indoor pool ( awesome view city ) food location make perfect fun family time . eat Rainforest Cafe Melting Pot block away . total blast . can not wait next visit ! 
 Jan 28 2009 	 Great Deal 	 Homewood Suites grat hotel overall , location perfect . roomy room full kitchen perfect . complaint housekeeping come room twice morning still room . not knock , & quot ; Disturb & quot ; sign door . ' m sure problem , really annoying rude . overall , hotel nice breakfast good . would recommend . 
 Jan 27 2009 	 Excellent hotel 	 nice hotel . attentive service . clean , attractive , comfortable . bed comfortable . pool little small pretty cold . would love hot tub explore day December . nice gym next door use . grocery across street also mall across street . short walk Magnificent Mile public transportation . entire stay great . really love return hotel dinner time group seven ( four teenager ) hot dinner buffet wait . want throw arm around staff thank . healthy , hot , delicious , oh convenient . would definitely stay . big thank ! 
 Jan 22 2009 	 want 	 free breakfast buffet free light dinner , great location , capable friendly staff , cheap rate . 
 Jan 11 2009 	 great hotel ! 	 recently stay 3 night Homewood Suites downtown Chicago wow , impressed ! great value downtown Chicago hotel . location wonderful . walk everywhere Magnificent Mile , Navy Pier , Millenium Grant Park , Field Museum Natural History ( pretty good hike though ! ) downtown trolley stop right around corner , also get cab easily one night . ton restaurant nearby . original deep dish pizza place , Pizzeria Uno , one corner , ESPN Sports Zone restaurant another , Weber Grill restaurant around block , name . also good brewery nearby drink . suite quite spacious full kitchen large bathroom . tv sit area bedroom . 19th floor end hall never hear anyone else , quite restful . build one fast elevator ' ve ever ride ! heat pool ( hot tub ! ) small fitness room 19th floor , guest also use fitness club next door . go fitness club one day enjoy expand equipment . room complimentary wireless , problem internet connection . complimentary breakfast typical hot breakfast buffet egg , meat , waffle , fruit , etc . , think touch make standard . fruit fresh , include fresh pineapple , real dish silverware , plastic . two attendant keep everything stock clear table . dining area large comfortable . one night Manager 's Special ( weeknight , 5 - 7 pm ) shock much food serve . really enough meal , light snack expect . notice several people carryout eat room , easy full kitchen refrigerator . friendly polite service everyone encounter entire time , valet , front desk , dining area attendant , clean staff . seem like lot special touch , like bowl snack sit check ( tired hungry ) complimentary daily newspaper . get suite $ 119 , amazing value downtown Chicago amenity . downside other comment parking cost ( $ 38 ) . however , pretty comparable cost park downtown hotel , nice know car safe cover lot . overall , great hotel experience good value , would highly recommend anyone , especially family need space cut food cost complimentary breakfast Manager 's Special . 
 Jan 10 2009 	 Good Value 	 really enjoy every interaction staff Homewood unfortunately room stay urgent need update . arrive extremely early allow book . star front desk call we arrive room ask everything okay . point . go dining room 30mins prior closing , nothing find coffee run people stand , sit everywhere . perhaps Homewood would consider extend breakfast hour congestion would diminish . ask bellman place eat breakfast recommend Mary 's cafe . quick 2 block walk enjoy breakfast . later evening , notice mirror closet door break , stain ceiling former leak tv bedroom bad reception , could watch 2 channel . ' m sure ask move would problem stay 2 night bother . Homewood locate close Michigan Ave surround wonderful restaurant . great choice first time visitor Chicago . 
 Jan 8 2009 	 comfort home ! 	 visit Homewood Suites downtown Chicago family . can not say enough good thing stay ! room beautilful amazing view . staff kind helpful . location could beat , close everything right across Nordstrom ! two free meal week hotel excellent value . breakfast serve daily offer many option . family area stay hotel ! 
 Jan 8 2009 	 Nice hotel - great location 	 hotel meet expectation . nice spot couple block east Michigan Avenue . two young child ( 3 year 4 month ) hotel quickly send pack play crib . room set suite nice sized living area . living area couch fold bed clean sheet already bed closet . live also small refrigerator sink . nice sized bathroom small nice separate bedroom . check Tripadvisor.com review hotel see poor remark staff . opposite experience . staff helpful , friendly , prompt . go extra mile we even though book room priceline . would expect Hilton . 
 Jan 2 2009 	 $ 99 ! 	 find hotel last minute due change plan find $ 99 ( plus tax ) hotel website . great location , load space suite good free breakfast . downside breakfast area full end perch one stool along wall . could taken breakfast back room though . for price steal . clean , friendly staff great location . 
 Jan 2 2009 	 good Stay Downtown Hotel 	 hotel locate nicely heart Chicago downtown . locate one block east Michigan Ave . there actually 4 Hilton Properties within 3 block hotel ( Conrad , Embassy Suites & amp ; Hilton Garden Inn ) upon get hotel meet Bellman assure get check bag would bring room . we able check early ( 10am ) New Years Eve originally give room 19th floor . however , upon get 19th floor try get room key would not work . we go back front desk find someone room still . ( oops . ) give room 18th floor ( Room 1811 ) nice 1 bedroom suite full kitchen ( would useful family stay long period time ) room comfortable working order . internet access little slow time , comfortable . the hotel locate one block Michigan Ave , 5 block Navy Pier across street Shops Northbridge . if want see famous people sport figure ( would suggest Joes Stone Crab . ( located right corner hotel ) see Coach Bulls , Rex Grossman , Brian Urlachers , Jonathan Toews & amp ; Coach Bears New Year 's Dinner . Oprah Barbara Striesand two night previous . the hotel locate one short block ( Grand Red Line Subway ) enjoyable experience would return . 
 Jan 1 2009 	 Great Hotel 	 first time visit Chicago stay Hampton Inns Florida . Hampton Inn Chicage fully book stay Homewood Suites glad great location , lovely suite amenity room stretch . Breakfast plus , need get 0830 queue although not wait long . room clean , comfortable & amp ; staff pleasant helpful lot eat place close suit taste pocket . reasonable price hotel could thoroughly recommend . 
 Dec 31 2008 	 Hidden Gem Downtown Chicago 	 Free breakfast buffet , free dinner ( Mon - Thurs ) , indoor heated pool , huge suite full kitchen separate bedroom , one block Michigan Avenue , across street Nordstrom 's block Bloomingdales , helpful , friendly , can - do - anything - you - ask - for service ... could family four Louisville , KY want ? ? love definitely return next trip Chicago . also love tripadvisor work ! research require . 
 Dec 31 2008 	 Loved Homewood Suites 	 Excellent stay Homewood Suites . hotel clean , room nice size , bed comfortable , location good , walk distance everything . free breakfast every morning nice plus . definitely would stay . 
 Dec 30 2008 	 Homewood Suites Chicago - Affordable Comfortable Great Location 	 hotel downtown Chicago one block Michigan Ave perfect 2 night stay ( King bed suite ) . location excellent Navy Pier surround attraction . manage get 30 % discount booking help $ 38 / day charge parking . staff friendly . complimentary breakfast ( continental & amp ; hot ) great really appreciate go box take food back room instead wait table dining area . k bed comfortable main bedroom child sleep well sofa lounge area ( tv ) . also full kitchen , nice want cook ( incl . full fridge , microwave , dishwasher , cutlery crockery ) . bathroom basic clean . would definitely recommend family anyone want great location , clean room service . 
 Dec 29 2008 	 great value downtown Chicago 	 Nice , clean hotel . bed comfortable . nice flat screen tv living room . 1 BR suite reserve full kitchen . not use seem thing long stay . right across street Shops Northbridge Michigan Ave one block east . hotel pretty close everything include restaurant , shopping night life . Valet parking smooth . hotel staff friendly accomodating . comfortable place stay would recomme anyone , especially budget want stay someplace nice . 
 Dec 22 2008 	 good choice Chicago 	 first visit Chicago business purpose , stay wonderful place four mos . 's good stay life kind hotel . people courteous approchable . nice room , good food be near almost nice spot Chicago . I never forget stay Chicago , ' ve country unforgettable stay . thank Homewood . 
 Dec 17 2008 	 Fabulous Service - Breakfast Staff supurb ! 	 use stay Homewood Suites time business stay business since 2005 - since time company business suburb instead downtown . December 2007 year 2008 stay day family greet never leave . there lady name Connie work breakfast shift greet everyone always remember year . wonderful lady indeed - wife even comment way Chicago lady would still would still remember yes ! great place stay . 
 Dec 15 2008 	 Hidden treasure Downtown Chicago 	 search several website downtown hotel want shop prior attend musical & quot ; Wicked & quot ; . little apprehensive choose Homewood , friend tell would pleasantly surpise . book two King Suite room , one daughter , friend son . room comfortable . concierge , desk clerk , housekeep accomodate welcoming . appear make every effort stay perfect possible . hotel quiet hallway , even though busy . free buffet breakfast delicious expect . look centrally locate hotel near Michigan Ave . would like good deal price , hotel . magnificient view motel directly Michigan Ave . truly hide gem . choose hotel future use stay downtown . 
 Dec 15 2008 	 bad ... 	 location excellent , next Northbridge Mall block Michigan Avenue . room little cramp two elevator hotel wait par course . breakfast pretty good term selection . valet parking available hotel . half block north self parking garage cheap valet . hotel correct gift card reservation manager appropriately resolve issue satisfaction . bathroom show little wear . overall , good choice location . not expect Ritz . 
 Nov 30 2008 	 Good Value near Mich Ave 	 stay Thanksgiving night since join family Lawry 's two block away Thanksgiving dinner . book use Hilton point call ahead early check . arrive 1:30 room ready ; free pink lemonade snack mix lobby along hot drink . front staff friendly efficient . lemoade go evening small store behind reception could drink , snack , souvenir . our room 15th floor face south great view downtown building include beautiful new 90 story Trump Tower back Wrigley Building . be long time Chicago area dweller nice see new addition skyline , especialy night . the living room suite small kitchenette table two chair , sofa bed , easy chair . kitchen simply adequately stock cooking / dining ; sofa bed feel & quot ; springy & quot ; 20 year old son seem sleep fine . living room flat panel tv ; bedroom old CRT . entire suite interesting art Chicago architecture . the bedroom little small ( close dresser drawer get around end bed ) nicely decorate bed comfortable . single sink across closet toilet / bath separate room . would nice able get bathroom directly live room fit lot small space . the breakfast buffet next morning crowd wait 10 minute table , food good . waffle maker long line hold meal . everything else constantly refill . overall step Hampton good Embassy Suites . oddly enough could smell 6th floor buffet hall 15th floor . we pick hotel rating , proximity Lawry 's , Michigan Avenue , Loop . location perfect ; strolled N Mich Ave hour checking , walk two block Lawry 's ( GREAT Thanksgiving meal ) , next morning walk see & lt ; Macy 's & gt ; windows Loop ( nothing like old Marshall Field window ) . 
 Nov 26 2008 	 Perfect toddler lot comp great location ! 	 great place kid ! first , place great value . book park n play package , include parking ( $ 38 ) $ 139 basically $ 100 night one bedroom suite . especially give location ( right middle downtown great access attraction ) think amazing deal . room not huge , large enough family four ( 1 3 year old ) be always nice separate room put kid ! great perk stay free breakfast dinner weekday . think meal would simple snack type fare , turn full meal ! convenience rolling bed get hot breakfast downstairs great . figure save twice cost hotel food . as other mention , location perfect . take free trolley right outside hotel Navy Pier visit Children 's Museum . also less five minute ride Field Museum , Shedd Aquarium , Adler Planetarium . not make Millenium Park , close well . shop also great . Nordstrom's / Mall directly across street Michigan ave less one block away . one tip , 's Jewel Osco less block away , great stocking milk perishable full size fridge . , highly recommend absolutely back ! 
 Nov 25 2008 	 Nice Hotel Hidden Heart City 	 nice hotel suite room . staff friendly - even busy Saturday stay . family stay night Festival Lights Michigan Avenue . Michigan Avenue area ( block away ) extremely crowd expect holiday parade . however , hotel never feel crowded . pool clean , heated , average size city hotel . breakfast good . service excellent . would consider stay property weekend escape . 
 Nov 23 2008 	 Homewood Suites Great Place stay 	 Homewood Suites Hilton clean , stay non - smoking King Suite roomy husband . buffet serve good , service helpful . stay whole week comfortable accommodation . love free use gym Crunch right next door take full advantage . location hotel also good . , really pleasant trip we . 
 Nov 9 2008 	 good value hotel Chicago great stay 	 wonderful stay . staff extremely helpful , room especially large , fact small kitchen make everything lot easy . breakfast supper excellent . go way make feel comfortable - instance , take - away plate take room . business center , gym pool also make first choice next time Chicago . 
 Nov 8 2008 	 ask 	 stay three night conference McCormick Place take taxi 's back forth . one great place stay downtown Chicago . great full breakfast morning nice dinner wine beer night include rate . room clean well keep great LCD tv living area another tv bedroom . free WIFI room hotel offer day . shower bathroom clean new looking . location fabulous , right across street Nordstrom ' many shop . rent car take shuttle bus airport notice parking $ 30.00 day would recommend car . little need car downtown Chicago anyway . the staff friendly helpful . would recommend hotel anyone travel downtown Chicago . 
 Oct 24 2008 	 wonderful Stay Homewood Suites 	 stay Homewood Suites girl 's weekend downtown Chicago . location great -- block two Michigan Avenue lot shopping restaurant . main entrance hotel face Nordstrom locate North Bridge Mall . lot great shopping Nordstrom even full - service spa . one lady we manicure quite please it . you enter hotel Grand Avenue entrance ( valet ) take elevator 6th floor lobby check . valet personnel staff lobby desk friendly professional . parking bit steep : $ 38 / night , heart downtown Chicago ..... rooftop pool not time use busy thing , heart soak hot tub , place .... breakfast morning quite ample : scramble egg , sausage , french toast , bagel muffin , juice , coffee , biscuit gravy -- lot choice good . also love hot water / coffee station lobby decaf regular coffee lot tea plus hot chocolate packet make carry room ! make sure head Ghirardelli 's Chocolate Store get coffee / hot chocolate drink , course signature chocolate candy even ice cream sundaes dessert treat die . also take horse carriage ride ( 35 minute ) around Lakeshore drive general downtown area . bit chilly go , Ghirardelli hot beverage , plus carriage blanket put lap . Filene 's basement , home great bargain , next door Ghirardelli 's Borders Book Store . eat dinner one night Grand Lux Cafe . , good . 's own company Cheesecake Factory . peach bellini drink chicken lettuce wrap large portion could not even finish .... dessert amazing : try chocolate molten cake warm rustic apple pie . lot dessert choice -- go website check . not take reservation , go dinner , try get 4:30 . 15 minute wait Saturday night glad get . dinner , lobby area swell people wait table ... get later 5:00 pm , expect wait least 45 minute hour . hotel room nice kitchen area / dining room table -- bit small side , 11th floor corner room nice view downtown area . live area sofa turn bed . two we share king - sized bed , order roll - away extra person party . nice flat screen tv livingroom ..... room not ready party arrive check - in staff give we bottle wine compensate wait . everything clean refrigerator usual kitchen utensil ( especially wine glass ! ) stove / microwave come handy want heat something store next day fridge . I would definitely stay -- bit pricey -- aside parking , pay $ 280 room , girl 's weekend splurge we . next time , bring husband two teenager ! 
 Sep 27 2008 	 Nice Place Stay kid 	 stay hotel use Hilton Honors point four night 15th floor non - smoking king suite . always like extra space suite travel two child , age 8 6.pros : location hotel great travel purpose - easy walk Navy Pier , Mag . Mile , American Girl Place , Hancock build Gino 's East pizza . Nordstrom right across street hotel . take cab Field Museum Art Institute . suite clean , bed comfortable , carpet new . decor nice . fantastic view Hancock building room . appreciate large fridge . breakfast ( include room ) good - much well other ' ve Homewood Suites . indoor pool recently refurbish sparkle clean . pool locate 19th floor ( top floor ) hotel city view amazing - unique swimming experience ! pool , small could get crowd ... con : housekeeping ! room make 4:00 p.m. day , call ask housekeeping day . annoying ! con hotel small single sink / vanity area bathroom - prefer double sink Embassy Suites . could get little crowded morning try get ready day . also , hot tub pool area - would nice relax walk around day . no hotel perfect , despite con , would consider hotel future Chicago stay . 
 Sep 24 2008 	 wonderful staff 	 great location , good room excellent breakfast ( really good choice ) pleasant lobby area ( free coffee , juice fruit guest ) free use internet executive suite ) , staff impress . the guy entrace , dining room wait staff , cleaner reception ( Jennifer particular ) make feel home nothing much trouble they . if want home away home place you . this customer care 
 Sep 19 2008 	 wonderful stay wonderful hotel 	 sister go Chicago weekend decide stay hotel friend work Homewood Suites Cleveland get discount . valet really friendly , get service pay parking hotel . check - in 6th floor restaurant beneath hotel street level . also make find hotel tricky expect groove pull turn pull right side street . lady front desk friendly informative . room clean . fact extente stay hotel nice come bring home leftover restaurant , store reheat food . complimentary breakfast great ! real food egg , bacon , french toast , cereal , bagel , juice , milk , yogurt . hotel walking distance everything trolley go Navy Pier pass Michigan Avenue . also free WiFi . overall , would definately stay would recommend other . 
 Sep 18 2008 	 good location great city 	 stay 4 night without problem . Hotel seem clean run efficiently . check actually 6th floor , staff ground floor helpful look guest . decent breakfast offer morning , although room get little crowded , lot walk back forward get cereal , juice , coffee , etc . evening & quot ; welcome home & quot ; food drink nice touch , although beer little watery wine , well , comment . location ideal , far Magnificent Mile , Loop , etc . Chicago lovely city , would definitely go back . many tourist convention , get little busy time . book restaurant advance ! 
 Sep 9 2008 	 Homewood Suites like home 	 stay downtown many wonderful hotel Chicago . Homewood Suites one return . location food wonderful . staff , however , make feel really home . could not comfortable easy talk . 
 Sep 9 2008 	 Perfect plus 	 recent stay Homewood Suites perfect . suite beautiful , quiet nicely lay . weekend , wedding , use kitchen nice have . the full breakfast wonderful ample . plus coffee goody available day long . the location superb , walk be thick thing . everyone friendly , helpful available . 's hide gem hide vote # 1 Homewood Suites America . love . 
 Sep 4 2008 	 Great Location 	 read review trip advisor book Homewood suite . pleased location , room . location within walk distance attraction , take taxi . able walk navy pier , magnificent mile , theatre district , milenium park . book online save money , well free breakfast dinner week . allow money shopping ! ! 
 Sep 4 2008 	 many positive need redecoration 	 stay midweek 3 night - 2 Adults & amp ; 2 child . second stay 12 month . what be good - child enjoy pool , large suite tv bedroom also live area mean do not watch disney take time . Buffet breakfast include price - wait one morning 5 min table . staff vary helpful business - like bad experience . location ideal we free blueline trolley stop beside hotel . 's two grocery store locate close also great restaurant . 's bad - room need redecorate esp replace carpet - foot dirty barefoot couple hour suite , find fingernail clipping search child 's toy check none we cut nail stay . otherwise surface suite perfectly clean . go back can not find alternative tick box pro list . 12 month ago would give Homewood 4/5 rating 3 time solely carpet . 
 Sep 2 2008 	 ok stay Customer Service need work 	 recently stay one night ( August 30th ) hotel . overall , room nice customer service need work . hotel much 3 star hotel sure . could well staff . nobody extremely helpful nobody smile . the good thing hotel complimentary breakfast morning location pretty nice . several dining option right near hotel . redline service right outside hotel , order contruction . ready long wait elevator ! read review absolutely true ! hotel 19 floor 2 elevator side side . Labor Day weekend , hotel busy ' m sure not help . it seem like good hotel family children LOTS . : ) one , might happy staying place litte bit expensive . but one night city ok . not think would excited go back though . 
 Sep 2 2008 	 Nice Stay Memorial Weekend 	 stay Memorial Weekend 2 nite , 2 room . Great Hotel , always love breakfast morning , drink even applicable . around corner magnificent Mile , close lot restaurant . staff great , even check early noon , room available less hour later . fresh fruit available we , bell guy cool . suite small side compare homewood complaint , house cleaning keep room clean , feel safe ! 
 Aug 30 2008 	 always love homewood suite 	 love free breakfast dinner weeknight . hotel clean nice room pool needs update ( kid not care ) friend take granddaughter grandma grandaughter out hotel perfect 
 Aug 29 2008 	 great location price family ! 	 select Homewood Suites look hotel search convenience , family friendly & amp ; value . this hotel 3 ! right near bus & amp ; rail station ( even though rail service due construction ) . love breakfast morning wonderful price . kid love pool never busy . we would definitely stay ! 
 Aug 28 2008 	 Loved Homewood Suites Hilton 	 first trip Chicago & amp ; want well could . since go sightsee not want spend extra money food figure homewood suite way go . read wonderful review excited experience . soon pull homewood suites valet service get bag take car parking garage . staff friendly call immediatly see room ready . since be not hold bag could go see city . get back hotel check quickly bag bring we . room amazing & amp ; amazing view . room AMAZING would say Homewood Suites main star quality staff . find well staff . helpful planning direction . last night want take carriage ride . call front desk within 10 minute horse carriage pick we . hotel move # 4 # 3 since stay . time hotel # 1 hotel Chicago . afforadable , great location , great staff . LOVE HOTEL ! ! ! ! 
 Aug 27 2008 	 Great Location 	 spend week Homewood , two child ( 3yrs 4mos ) . location great , literally one block Magnificent Mile . short 3 block walk bridge 15 minute bus ride Lincoln Park . since stroller stair Mag . mile tricky , recommend go Nordstrom across street walk Rush , north 1 block . quick . go anywhere public transportation , note Redline close night construction , make get back US Cellular bit tricky . property great helpful employee , although not always know ' good way ' get location , homework . room clean , carpet probably ready replacement . pool kid friendly shallow / step area hot tub . breakfast nice , get crowd around 8:30 need wait table . 
 Aug 27 2008 	 wonderful Chicao Hotel 	 hotel excellent location walk Chicago 's downtown , pier , etc . Mon - Thurs . offer wonderful early evening free light dining . our room separate bedroom , extremely clean quiet . the breakfast outstanding . 
 Aug 23 2008 	 Great Time Great Location would come back Homewood Suites 	 read review hotel make selection pleased see reviewer right tis hotel . stay 7 night love . 3 year old nice place kid . son see another boy pool breakfast { awesome spread } dinner 4 night serve . make fun . take cab airport someone suggest $ 41 tip . could take blue line Jackson , transfer red - line get grand $ 2 . station 1.5 block hotel lot people . scary travel downtown . rent car go downtown tourist stuff . get 3 5 day CTA card grocery store around corner , get city - pass well worth also . free shuttle run , hotel map , train bus easy , less crowded free trolley , also run later . get card , promise glad . grocery around corner everything need want cook room . great great breakfast take room want , mon - thur dinner good . beer wine serve soda machine save lot money . order UNO 's call ahead 1 hour go pick pizza , eat room worth wait one 12 table . complaint . find travel advice site right helpful . hope help . go back . can not go wrong staff SUPER ! 
 Aug 19 2008 	 Best keep secret Chicago 	 first trip Chicago little hesitate staying downtown . park front hotel attendant valet park car go 6th floor check . check - in quick , go room 11th floor pleased see really beautiful room kitchen , table chair , sofa nice flat screen tv.the bedroom separate room wonderful bed many pillow another large tv . breakfast beyond free meal surprise provide free dinner buffet style offer several choice . the location convenience , right front trolley bus stop block river , easy walk . for $ 189.00 hotel exceed expectation 's . 
 Aug 17 2008 	 convenient location explore downtown Chicago 	 recently enjoy 3 night stay ( Thurs . thru Sat . ) conveniently locate property . 9th floor suite include bedroom king size bed , sit room sofa bed , kitchen . room cheerfully decorate airy . view outside two large window good . surround skyscraper - a pretty view night . bathroom average size ; lack vanity space . one sink mirror & amp ; extra shelf put toiletry . less ideal bath share . would also nice extra washcloth & amp ; hand towel - we keep run . abundance interesting restaurant shopping area nearby ( Nordstrom & amp ; Bloomingdales ) , well movie theater . especially enjoy Melting Pot ( fondue ) & amp ; Big Bowl ( asian ) restaurant . able walk sightseeing boat tour departure point Michigan avenue bridge . also walk Macy 's . take free shuttle right outside hotel Navy Pier look like bit walk . ( shuttle get crowded weekend ) morning departure receive prompt & amp ; pleasant service bellman retrieve luggage & amp ; hold taxi we . 
 Aug 12 2008 	 Great experience 	 family stay hotel extend weekend trip July , 08 . ( 3 ) 1 bedroom suite . Great Location downtown Chicago . within walk distance shopping downtown tourist attraction . service excellent hotel staff friendly . breakfast buffet good eating area get crowd . recommend go early . room quiet clean . highly recommend hotel family traveler stay & gt ; 2 - 3 day . would stay again . parking expensive , $ 28 / day . valet . cheap self parking could find area $ 24 / day valet parking . valet bell staff helpful friendly . this 3rd experience Homewood Suites ( 3 different city ) . great experience time . 
 Aug 11 2008 	 great Stay ! Ideal Location Friendly Staff ! 	 stay Homewood two night quick lovely trip Chicago . arrive , staff super friendly helpful . arrive early room quite ready , staff offer keep bag we go lunch . could even catch elevator downstairs ( reception 6th floor ) , call we tell we room ready . great people easy check - in . room spotless big expect ! perfect everything would need . good part room BED ! surprisingly comfortable bed ' ve sleep ! great location - close Magnificent Mile far Chicago Theatre . nice walk Navy Pier step red subway line take Wrigley . we definitely stay - highly recommend . 
 Aug 4 2008 	 excellent value great experience 	 get back overnight Homewood Suites . live 90 minute away Chicago stay many many time hotel right Michigan Avenue . time shop around little find Homewood Suites holy cow , great value great place stay . least $ 100 less hotel ' ve stay Michigan Avenue plus suite full kitchen bedroom also include breakfast continental breakfast , full breakfast bacon egg , hash brown , french toast , fresh fruit , juice , roll , etc . really , price go wrong . 25 - year - old daughter stay weekend . travel lot business Chicago say would highly recommend Homewood Suites collegue . room clean , kitchen utensils clean ( check picky ) bathroom huge . staff friendly . hotel one block Michigan Avenue close every place would want go shopping , tourist activity , etc . would suggest take trolley taxi Navy Pier pretty long walk . head city next month definitely stay Homewood Suites . 
 Aug 2 2008 	 great hotel . good location . 	 nice hotel excellent location . everywhere easy get , Michigan Ave 5 min walk . Red Line , Grand station same . the hotel clean , room pleasant . suite separate bedroom living area . son use sofa bed living area , say comfortable . two t.vs , kitchen area fridge / freezer , microwave , dishwasher two electric ring . the breakfast good choice thing , although room little small hotel busy weekend , wait table . container provide take breakfast though . breakfast staff friendly polite . there dinner drink evening , Mon - Thurs . eat mostly though , seem popular people young child . only one slight complaint , lift painfully slow , two busy time seem wait long time . overall like hotel would stay . 
