impressive 	 stay girlfriend / now fiancee ( propose London ! ! ) 2 night November 09 , receprion area walk stunning check - in efficient ( I ve lot place one smooth ...... trust ) . room great , bed huge everything clean , also huge tv room system could play mp3 player . gym small adequate , pool area / gym / sauna / steam room great really easy find huge hotel ! location absolutely brilliant tube station 30 second away 10 min oxford street , definitely back ! ! ! ! 
 perfect hotel location 	 stay week may deligte stay . book n / s family room 2 double bed hard find london . room assign corner room large many stay north american cite . room bathroom clean bed incredibly comfortable . hilton always brand one trust . already recommend hotel family friend due easy acce tube short walk oxford street . well excellent coffee shop , supermarket restaurant doorstep . definitely stay future staff could helpful interested making stay memorable . congratulation staff superbly manage run property expertise . 
 Aug 11 2009 	 Location bit iffy good hotel 	 stay mid July 2009 start Globus Monograms Independent Tour . Globus desk site man 12 hour day excellent . room good size comfy bed clean . breakfast buffet excellent load choice one thing notice staff well train courteous helpful . disappointed go outside first time want find restaurant eat almost whole street Lebanese Restaurants struggle find Indian Restaurant English Pub . however close Edgeware Rd Underground Station Bakerloo Line bus leave across road go Harrods . think probably make well business hotel touristy one . we convert drink bar etc NZ $ drink cost small fortune . do not dine restaurant inhouse either reason . Marks Spencer across road cheap supermarket 5 minute stroll away supply . probably would not stay would prefer stay pretty location character apartment house nearby instead location do not give we good impression London see part . 
 Aug 10 2009 	 alright will not stay anymore 	 stay hotel parent march . hotel least section stay pretty rundown . the house keep great either . 3 we stay one room even let front desk know still everyday call house keeping bring we extra towel mug . not even fix mistake . one staff drop something sink washroom neglect get problem fix eventually 3 day call front desk send someone come fix sink we ! would think would job ! another thing house keeping , not change sheet unless ask everyday ! stay 10 day change sheet realized not change 7 day ! wkend tell 's go secondary breakfast area tower arrival realize half section not power could not make fresh egg type we . another issue hotel put we room open construction sight ! not mind since not room day time would ' ve like head ! try restaurant one night stay realize staff confuse place . keep wait around order food . food not come time pay food great . so together , go back London will not stay hotel . rather spend money ( quite bit ) stay nice 4 star hotel ! 
 Aug 10 2009 	 always excellent 	 return 39th visit UK - 4th time Metropole . stay four night executive floor main wing . room redone floor . always quick breakfast morning , tea afternoon snackie poo around 6 . nice swim day . staff personable - Sandra bartender really sweet make smiley face hot choc . trip fall Strand , rather bruise , make feel well . room clean . understand anyone would think hotel way . one stop Paddington - two underground right across street gazillion bus head Edgeware Road Oxford street . love Fatoush . great sandwich Marks Sparks . yes , hotel large London , never disappointed . hope stay Hilton . 
 Aug 10 2009 	 Good Hotel good location Good Value perfect tourist 	 stay hotel one night . get last minute , £ 98 well worth money . Edgware Road tube right opposite hotel , ideal tourist normally jump tube anyway , see attraction . take 5 minute book , check . offer smoke non smoking room first choose non . say none available time , though 10:45am decide take smoking could put bag room go . would probably opt non smoking next time , obviously , room smell bit ! nice able check early . staff friendly , especially leisure centre , swimming pool small expect ! would stay . 
 Aug 9 2009 	 nice stay large hotel 	 stay weekend , book ex floor standard hilton area , staff excellent , hotel need revamp wear tear starting show , location bad close tube station 2minutes,20 minute oxford street , hotel get busy checkin take time , always say would go back , would try another . alan 
 Aug 6 2009 	 Good Business Meetings Tourists 	 nice BIG hotel . crowd , long line restaurant , nice sport bar far far away anything . nice pub street call Green Man . good Pub Grub . not mind walk would okay alot well place close tourist area . 
 Aug 6 2009 	 Big Improvement 	 stay hotel year recently couple stay client whose HQ round corner . must say really impressed improvement term service accommodation . check much well remember ( able use Hilton Honors check desk ) refurbish room good - stay Towers West Wing - latter particually impressive - large , well decorate high floor good view plus aircon worked brillianlty . executive lounge also tarted - still suffer little long thin room - get noisy 's busy . nevertheless breakfast buffet good fresh time use . 
 Aug 5 2009 	 Hotel ok 	 Hotel ok ... website say Hotel 10 minute walk Oxford Street - like half hour walk . stay Hotel 1 night ok stay think would stay agin ( unless ! ) 
 Aug 3 2009 	 convenient - expensive extra ! 	 family 4 spend day London , want stay one room . hotel well suit - 2 big queensize bed great , fairly spacious room . great view . big , impersonal hotel , course - easy check - out without quee ! skip breakfast hotel assume restaurant would crowd . annoy us stay , fact hotel charge £ 15 / day use internet . want use minibar fridge , charge £ 5 / day . pretty stiff ! 
 Aug 2 2009 	 big hotel close Tube great view 	 stay two night ; lucky -- great view 20th floor Big Ben London Eye . close main sight , conveniently locate Paddington Edgware Rd station . take Heathrow Express train straight LHR former walk hotel ; use latter ( block away ) catch Tube . room clean staff courteous , expect Hilton . would nice free wi - fi . Marks & amp ; Spencer across street good source package food go . bad place stay London . 
 Aug 1 2009 	 nice stay 	 hotel staff helpful . check room , disappointed quality . speak young lady front desk offer upgrade modest additional cost . well worth ! new room large , nicer much well view . stay point outstanding . 
 Aug 1 2009 		 stay several Hilton 's around Europe interesting see available UK . hotel ' be ' , one large hotel London large conference facility Europe . vast often full consequently busy 24/7 , particularly lobby reception . clearly two part hotel , old new . stay old part , large tower - view good , look bustle street Wembley stadium . traffic noise air con effective . room clean , adequate housekeeping good - nice toiletry . tower room lobby clearly need refurb , distinct damp smell damp floor come lift . carpet room stain would easy enough remove . free complimentary newspaper deliver room day . breakfast busy efficient staff ease volume people . second morning , Friday , pack breakfast conference ' over spill ' breakfast room . food ect uncomfortable . previous contributor site comment safe room accomodate laptop - hotel stay ever have . the reception staff extremely helpful - store jewellery , laptop ect hotel safe extra charge quick . internet access room big minus . internet cafe area . ATM cashmachine lobby charge . pool gym good - hard find Londond hotel . Head Bakerloo tube line Edgware Road 2 min walk away hotel . starbuck close Marks + Spencers food hall road Superdrug next door . 
 Jul 28 2009 	 upgrade ? 	 book twin room January sale discount upgrade Deluxe roomupon check inform upgrade executive room , could not wait see roomIt size matchbox , way deluxe room , never mind executive room ! ! small bog standard , frill twin room . not going spend much time hotel one night stay not complainone little gripe , check room not ready drop bag general drop zone end hotel , return collect bag , would ' ve nice hotel drop bag room we make ready . location good near undergroud station room quiet ( perhaps upgrae judge review ! ) breakfast chaotic , many people stay make function room dining room , however , say well stock food good 
 Jul 27 2009 	 busy noisy lousy service 	 location ( & amp ; helpful concierge - thank Carlos ) near tube station little recommend hotel . hotel busy ( & amp ; mean extremely busy ! ) appear hotel service cope number . the room basic even though reasonable view West Wing high floor , understand comment early . hotel need renovating - hallway carpet quite bare section . housekeep lousy - seven day appear room vacuum even . ask towel soap every single day always two towel leave ( three room ) complain every day ( yes , sir note happen ) happen every single day . the hotel busy breakfast line long - 20 min wait first day breakfast different room every day & quot ; overflow & quot ; . staff trying cope - really cope . hallway near room noisy child run around , people return late night etc room good sound proof . 
 Jul 26 2009 	 ok Hotel Business - big impersonal 	 Hilton Metropole huge hotel fact disguise . could theoretically run number discrete unit would make much friendly less impersonal . use hotel regular business get exactly " say label " .There always several receptionist duty , never wait long check - in check - out . the room basic – wardrobe , desk , bed , bedside table , chair table . never sure whether room could accommodate furniture décor – always feel little bare , cold empty . small safe wardrobe take basic big enough accommodate laptop . bathroom executive room separate shower bath - tub good . there good sized swimming pool never busy give size hotel . change room dirty , difficult find available locker shower facility small . the executive lounge reasonable range food breakfast busy single traveller uncommon share table , matter time take breakfast . one thing watch mobile coverage around hotel variable , one side hotel little 3 g coverage network . yet tempt pay £ 15 hotel ' wire internet service . I use room service time food always good although cheap . the hotel good want Edgware Road area London convenient tube , bus , etc . 
 Jul 24 2009 	 ok - expensive get 	 service standardThe room average , lousy view , use sleep ( bed ok ) location good tube nearby , take nice walk thru Hyde Park get Buckingham Palace Area within half hour . like fact internet access provide free ( teenage boy go & quot ; nuts & quot ; ) IPod Touch guide we trip . hotel $ range US give free access.liked good : nice buffet breakfast ( good selection food ) like least : free internet access guest hotelp - would search hard well hotel - hotel recommend old couple much diposable income . 
 Jul 24 2009 	 Great Location - Good service - wall thin paper 	 wife stay Hilton Metropole five night stay London . get ( London anyway ) good price via Priceline . get room Tower part hotel view room amazing . room rather small ( although important we since want stay much room anyway vacation ) fairly old looking , problem . problem wall extremly thin . could clearly tv - show watch adjoining room . one morning awaken somebody next room use hairdryer 7.30 . sound hairdryer besides bed . nice wake . another morning awaken man pray room besides . location Hilton Metropole excellent . 10 - 15 minute Hyde Park / Marble Arch also two tube station within 50 - 100 metre hotel . also number bus take around London . go Fulham - Manchester United game Craven Cottage South London . able catch bus outside hotel go Fulham . take one hour good way see southern part London bus drive south Chelsea Road . service hotel great . check breeze staff helpful . maid somehow manage break bottle wife foundation . would expect inform discover wife use . talk concierge ( ryan something ) apologetic really try well find another brand . could not offer we dinner instead . great work Ryan . would go back ? could get another room would adjoining room would definately go back . 
 Jul 22 2009 	 eh ... 	 avoid TOWER section possible . room impossibly cramp ( approx 12x12 ? ) electrical outlet anything might need plug aside one & quot ; entrance hall & quot ; - supply hair dryer bathroom outlet either bring one anyway ! furniture place clothing absurdly small closet barely contain clothing one traveller- way two- live suitcase 10 day . wall paper thin well- 6th floor could still hear ordinary street noise- not mean police siren , mean car bus traffic people call across street . every sound come elevator people talk around corner television room hall could hear . addition , room light poorly one small desk lamp small light bed . despite tell reception room hotel EXACTLY , see standard room new section hotel twice size , furnish american hotel appear much comfortable . there much desire food well . perhaps variety american menu choice spoil , aside pastry , little flavor morning breakfast buffet selection assortment fry food saturated fat . not stick around lunch fairness hear asian restaurant 23rd floor good , yet could not afford 25 Pound cost fire rice noodle . on positive , staff hotel EXTREMELY polite helpful needed . knowledgeable public transportation route well take various day trip suggestion bore . the location hotel far get around public transportation could not convenient - tube station across street blocks- bus stop block away walk- could get almost part & quot ; tourist & quot ; area foot almost every day . need wireless access , prepared pay quite bit . 's access lobby 2 computer terminal quite slow- WiFi room well , be costly daily expense . 's 24 - hour market across street internet cafe back MUCH well rate service need faster computer . the property clean gym indoor pool , quite small would get well workout walk around city . overall , 's bad hotel , make sure know pay . room not pay ' extra ' not need hotel- 's less expensive option around already costly city . 
 Jul 20 2009 	 good central London hotel 	 ' ve stay quite different hotel London ( include two Hiltons ) recommend hotel . we arrive early morning flight Canada , longish tube ride Edgware Rd station , glad hotel able check we 10 . unfortunately room smoking room , first floor , however stay London short happy get room early hour . room , promise , not smell smoke although small , comfortable serve purpose . the hotel busy convention hotel ; location good Edgware Rd tube connect different line easy get around . immediate area around hotel not exciting , London stop away . as first experience Hilton breakfast , say like big breakfast , Hiltons will not disappoint - ' ve stay rest assure will eat well . 's gourmet , fill day travel sightseeing . overall , good bet - preferred Hilton Paddington , one usually dollar cheap would pocket saving stay next time likely . 
 Jul 20 2009 	 get pay 	 Got deeply discount rate travel site . arrive around 11:00 pm - restaurant closed ( room service available - think ) . find lovely spanish restaurant within two hundred ( 200 ) foot serve till 1:00 . restaurant top floor open afternoon , late , never experience . room tower , tenth floor , okay , though window open could control HVAC , suspect old portion hotel lobby new , bright , modern - room . Got & quot ; so - call & quot ; king bed request . one two full size mattress push together match height , comfort , sound ( ) yes , sound , etc .. towel ( Hilton ) standard , totally non absorbant could almost look . bathroom small bathtub / shower nimble less coordinated would difficulty enter exiting . housekeeping never remove spoon ( upon arrival ) drain sink result water sit bowl , though place stopper would see problem . elevator move quickly work without delay ( say tube elevator ) . request late checkout tell one could additional charge 20 GBP hour - kidding ? leave luggage area provide hotel free work fine . walk , long one , form express Heathrow train Paddington , two station tube within two minute walk , convenient want see . 
 Jul 19 2009 	 Average Hotel 	 Location- good , near Edgware Road Tube . check slow . busy hotel . Room-5th floor view wall ! get high room guy . bathroom ultra tiny , basic , tired . room- ok sorry guy run hotel mean attention detail arrive delighted fin tea coffee making without cup ! ( know endof world know ........ ) .Bed request double two single push together comfortable . carpet - stain old . way four star hotel basic 3 star . Fod drink hotel vastly overprice . £ 5 cup coffee lobby ! will not stay again . one positive nice view Lodon sky bar top floor . 
 Jul 17 2009 	 Great Staff ... watch View ( lack thereof ! ) 	 stay 4 night . room adequate . Shower / bath facility could better . stingy facecloth bath product . Window look onto another part hotel without view window look back we . would check checking ask nice ( decent ? ) view . location convenient close tube stop food / clothing store right across street . staff pleasing . go top floor restaurant drink twice ... food like ... even appetizer . bad , think miss capture audience view nice ( especially look concrete wall window hotel room ) . high traffic hotel lot people coming go . good gathering spot . ( note : internet access available Fee ) . great morning breakfast ... satisfied start day restaurant . 
 Jul 17 2009 	 never 	 regularly stay Hilton hotel however bad stay ' ve ever . room extremely noisy air conditioning function . fire alarm went seem induce panic staff not appear clue ! Breakfast move hall normal room breakfast become full quicklyWorst acknowledge complaint , response satisfactory . poor 
 Jul 17 2009 	 stay ... 	 couple minute walk Edgeware Road tube station ( district , circle , hammersmith city line ) , ideally locate hotel businessman tourist want head city . check quickly tower room 11th floor . room bathroom nicely decorate lovely view Wembley Stadium . bed comfortable ( luckily ) decent iron ironing board room . eat dinner hotel must say disappointed . pea mint soup nice lamb curry like Sunday roast leftover stew three day bit curry powder throw . Yuck . conversation waiter clear go like : waiter : ' eat much , ' like ? : ' nice actually . waiter : ' like it . I : , say ' nice . waiter : & lt ; & lt ; look embarrassed exit stage leave & gt ; & gt ; do something ( offer take bill , bring something else ) . breakfast fine . checkout breeze . ' stay ( probably eat somewhere else , maybe ever japanese restaurant 23rd floor ) . 
 Jul 16 2009 	 Gigantic Hotel handy tube 	 stay 2 night , could not believe size hotel get , love fact straight across road edgeware station . check fast friendly other say althought really busy breakfast staff efficient helpful try get everyone seat . room four rarity London save we pound spacious enough we . two mug room tea coffee take four call manage get another two , minibar also full someone food two week date ! go bed , breakfast dinner package , help we save bit money . meal serve Fiamma restuarant set menu , first night food lovely waiter efficient friendly , second night actually order night good , leave disappointed . waiter second night seem treat we second class set menu , could see fuss round people wait hour main course , find almost impossible order wine . would stay would not get dinner include . visit London Dungeon good , definitely worth £ 21.95 , make sure get half price offer somewhere , like cocktail , thoroughly recommend Maxwells Covent Garden , happy hour 5 8 cocktail die , food pretty good ! 
 Jul 12 2009 	 friendly service smile even though busy ! 	 stay two night hotel friend . hotel full busy impressed friendliness staff . always smile several joke two we . ask get ice employee immediately offer get we bucket save go another floor find ice machine . we bite concerned see large queue breakfast move fast get breakfast room could see . lot staff work together really well ensure table clear delicious food keep top . not rush staff still give good service matter busy be . this hotel right opposite Edgeware Road tube station , perfect location tour London . the room comfortable clean , quite small price pay good value money . 5 star not pay 5 star price ! 
 Jul 9 2009 	 another visit 	 Stayed , be still good bet London . favorite location , much central many other . main street , Edgeware Road , busy , block either way much quieter , much pleasant walk town place else . tube stop convenient , walk place instead , much nice . come go Heathrow , fast train Paddington Stn . , short walk away , need jump tube one stop . surprised read ' smoking ' - not get , thank goodness , though would talk someone smoke smell smoke . got excellent rate internet , not breakfast , work well look much busy usual ; fact whole hotel seem busy . instead , keep food room breakfast go one small local outdoor cafe nearby . even busy , find service good , HIlton Honours member , treat well , get room early etc .. room could update sure , get good deal , be worth . 
 Jul 6 2009 	 Hilton Metropole- stylish 	 never stay Hilton London stay would def recommend , although dead central going westend like be . it hotel easily reach style make town location , plus nice pool sauna use well relax busy day street London . the room spacious huge double bed great view city also highlight . breakfast busy 9 & amp ; 10 am , go early want avoid que seating , great choice meat & amp ; vegi eater even good healthy option choose prefer . hotel huge shop restaurant & amp ; bar keep happy & amp ; cater . fault state location everything else excellent good value money 
 Jul 6 2009 	 Hilton Metropole fine ... 	 mixed review worry book hotel family vacation . worry unfounded . hotel fine . Rooms West Wing big comfortable . free wi - fi lobby ( something miss find HIltons ) . service good . room could use update drab housekeeping basic ( make bed , new towell , vacumme clean ) . however , adequate neighborhood not seedy ( mention ) . access tube / train / and airport easy . well -- bed option 4 person -- something oddly scarce London . executive lounge goody delicious ! lobby 3 star room 2 star US standard . not worry ' ve book hotel good trip . Melanie 
 Jul 6 2009 	 3 Star good ... problem 	 room need refurbishment . hallway real clean , carpet stain age hotel show . be really 3 star good . location bit odd , be mostly middle - eastern neighborhood . lot middle eastern restaurant nearby , nothing else . nice Marks Spencer across street , supermarket nearby . 2 subway / tube line close get anywhere London pretty fast . hotel allow smoking everywhere . room supposedly nonsmoke room , reek . offer move ' m certain room way . main restaurant great food , expensive . not like room 's mini bar , cause can not put anything , charge rent empty one . 's one minibar move item , be charge . everything work fine , hot water , a / c , light , etc . quiet room , other tell room noisy . staff friendly . get room use Hotwire give small upgrade slightly large room . other tell regular room small . hotel large spread . indoor pool look nice . also gym guest . price reasonable be real picky , doubt happy , will spend double price genuine 4 star hotel elsewhere . like around cigarette smoke , hotel . be everywhere . nerve sign say & quot ; entire hotel non smoking & quot ; , yet smoke floor . go figure . 
 Jul 3 2009 	 perfect stay 	 stay 3 night boyfriend june . hotel good location link bakerloo line circle district line . within walking distance Hyde park oxford street . check check quick . arrive 10 use hotel luggage storage get room 1 pm . breakfast treat . well worth money , much food , hard know start . not time use pool facility find hotel staff helpful keen please . room king room ( standard room ) tower section hotel . probably one old part hotel show age slightly . quite central room quiet air con work well good night sleep . would return hotel price right . 
 Jul 2 2009 	 huge fantastic - really impressed 	 stay June 2009 wonderful time . Superior Family room HUGE 2 large bed , view 7th floor wonderful . room service spaghetti carbonara excellent . pool bit small , be expect London imagine . neighbourhood lot great lebanese restaurant feel safe walk dark family . hotel close Hyde Park Marble Arch . get good deal Hilton website would love stay . find hotel bit large side , get pool like walk airport go one wing use 2 elevator . also park hugely expensive £ 30 / night , not guarantee even reservation . 
 Jun 25 2009 	 Nice Hotel - Comfortable 	 husband stay portion honeymoon happy . tell woman check honeymoon upgrade we deluxe room amazing view free . London hotel room spacious enough ( much time want room anyway - much see ! ) pretty comfortable . location great , 15 minute Paddington Station ( convenient get airport ) step away Edgeware station get around breeze . also close enough walk Marble Arch , Baker Street Selfridges . the concierge helpful provide we map direction . the Hotel also nice pool ( good quick dip rest ache bone long day tour ) small fitness room . we please Hotel London price definitely right ! 
 Jun 23 2009 	 Fair quality room would need refurbishment 	 stay Hilton one night conference . friendly staff check - in , nice welcoming . room west tower little bit outdated , tap loose etc . room door lead next room , poor soundproof , neighbour discussion audible . good breakfast lot fresh fruit . decent stay business , good value money . 
 Jun 21 2009 	 good half price deal 	 book one Hilton 's half price room deal think good value two night . executive room huge comfortable . stay B & amp ; B . first night fabulous , great value meal lebanese restaurant block away Edgware Rd . central Hilton 's London Hotels fine we visit Maida Vale Wembley . 's close tube station require change line Euston , Leciester Square Oxford Street outing . ok we quite confident use underground . god good value tube day ticket . 
 Jun 17 2009 	 Central Friendly Staff 	 stay hotel 3 night queen deluxe plus room . check 10.00am give room straight away - brilliant ! ! reception staff efficient friendly , staff . hotel large not much queue . room large clean mod con : - internet access , safe flat screen tv . hotel right next tube station , & amp ; , Starbucks , Waitrose Macdonalds ( kid ! ! ) within minute walk . less 10 minute take Oxford street . never queue breakfast check quick check ! ! great hotel short break London . Priscilla Queen Desert must ! ! ! 
 Jun 16 2009 	 great hotel explore London 	 Travel Info : 4 adult Queen Deluxe plus ( 2 queen bed ) date : May 19 - 22 , 2009cost : 680pound ( around $ 900USD ) - include BreakfastI choose hotel look hundred hotel finally give go w/ Hilton boyfriend 's mom accumulate Hilton point figure have book place . place little cheap Paddington one . look around figure $ 300 / night not bad 4 people w/ breakfast include . thing great : -good plentiful breakfast . usually eat around 9 a.m. not crowded . also week & quot ; sure be busy weekend . great item choose make - it - your - way egg stand . little jar jam great well.-Room good size . not large mean definitely comfortable 4 adult . room new tower overlook building construct / remodel . -location : hotel right next Edgware Rd . underground great get around London . 's heart tourist stuff make easy get everywhere . area also middle Eastern area . lot mediterranean restaurant , hookah bar , etc . Marks & amp ; Spencer right across street - come handy snack drink . -staff friendly helpful - bar area open 2 a.m . good lot bar around close 11 p.m. . take Heathrow Connect Paddington station hoof hotel . 10 minute walk w/ luggage . Boyf 's parent little wind walk be healthy able easily . overall , great experience location . real gripe ! FYI - not use pay internet lobby . numerous internet cafe area lot cheap ! 
 Jun 15 2009 	 brilliant location great Breakfast ! ! 	 look large outside close underground perfect weekend break . lucky enough upgrade suite would normally could not afford really lovely , trendy , clean spacious . we room service make use lovely dining area come want good value money . good bit inclusive buffet breakfast everything imagine . negative think smell chlorine pool corridor room overpower do not affect stay . stay suite ! ! 
 Jun 14 2009 	 stay caveat 	 look hotel stay Hilton Kensington June 2008 ( go London June every year ) really like 's first impression . book executive room first week June 2009 , deluxe room 17 year old son . room expect ; son 's high 21st floor mine executive section eighth floor . pick hotel location : want show London son , hotel close Paddington station , edgeware station ( all - important circle line ) ten - minute walk Marble Arch ( major tour bus stop ) . check smooth even though convention check time . hotel Hilton Honors express check make wait less five minute . first impression room would rate nice . room veiw Westminster ; clear view Abbey , Parliament , Eye , prominent site . first , good stuff : without question exception , hotel professional , friendly , efficient helpful . make request ( car airport , show ticket , direction ) , every question request answer quickly spot on . all restaurant hotel excellent . excellent breakfast may fiamma ; go full buffet enjoy . miss outstanding sushi top hotel , Nippon Tuk . the room service fast , efficient , good . room clean late morning , complete , always look spotless , like check . clean staff always willing leave extra package Earl Grey biscuit , one weakness . upon close inspection room , however , thing need fix . executive room , large comfortable european standard , need carpet change due numerous stain . although balcony , always enjoy , door knob remove ; disappointing enjoy city view immensely . bathroom sink chip , electrical outlet lose razor plug would stay it . the carpet son 's room , stain . ask first day in - room safe fix replace , never ( least stay ) .The internet access , 15 pound per day , overprice . all , would stay hotel . highly recommend anybody consider hotel London . 
 Jun 9 2009 	 comfortable room great staff little beat path 	 room accomodate 4 person hard find Europe room big , comfortable clean . greet promptly show room - West Tower , expect long walk ! purchase dinner breakfast package . meal good not include drink ( soda , alcohol , etc . ) .The hotel locate north west edge central London area close Edgeware Station ( one block ) . London Underground excellent way get around - stay several day , definitely get travel card unlimited access Tube . train frequent , clean never see beggar vagrant train ( like Paris ) . child 10 free pay adult age 11 - 15 pay one pound unlimited day pass good 9:30am ( cash fare additional 2 pound want travel 9:30am ) .hotel close Paddington Express Heathrow ; however , travel four people , might well take cab . 's almost price 's hard wrestle luggage underground train . 
 Jun 3 2009 	 great stay 	 good experience stay . especially enjoy Hilton breakfast ! good location . walk distance Hyde park . 
 Jun 1 2009 	 friendly staff 	 hotel really nice staff help lot recommande thing see London . location perfect explore London short way tube . room clean well worth money . would recommand hotel everybody look trip London ! ! 
 May 26 2009 	 good LOCATION 	 hotel perfect sightseeing next tube station . good location drive north . go end M1 hotel main Edgeware Road , take hastle driving . room good city window open sleep airconditione . breakfast good morning overcrowd accomodate another enormous room . food , however , still hot despite cater many people . toiletry La Source bonus . 
 May 26 2009 	 clean room great location ! 	 Hilton locate 5min walk Paddington Station . 's large hotel lobby could bit chaoitc . room old Tower Wing . room clean clean bathroom - nice quite . staff friendly . bring wrong adaptor borrow one small deposit ( room service bring 5 minute ! ) . would stay . Edgware Tube stop ( yellow , green brown ) , north Hyde Park . take tube London attraction , yellow line hit many place wan go . & amp ; across street , Chapel street great pub call Chapel ( great place drink pub food ) . 
 May 26 2009 	 excellent hotel happy return anytime ! 	 book 3 night stay family stay deluxe room . on arrival quick easy check in.the room clean bed comfy . downside view bedroom window ( rather lack ) back hotel look onto huge multi storey building scaffold not spoil stay . staff extremely polite helpful , breakfast room fantastic plenty choice everyone , car park price steep ( london ) locattion hotel good easy access tube bus . overall pleasant stay would return anytime . 
 May 25 2009 	 lovely hotel good location great stay ! 	 stay 4 night good time ! room clean spacious , breakfast buffet morning great .. staff kind ! although seem busy hotel day , hall quiet evening night . ( good night 's sleep ! ) hotel close tube , take couple minute travel various place London , Oxford street Hyde Park Covent Garden . would definitely recommend hotel friend ! 
 May 23 2009 	 Excellent location . great breakfast buffet ! 	 location hotel fantastic . Edgware Road tube station basically across street Paddington Station 10 minute walk . breakfast buffet wonderful . never wait state . room little small , not care sight seeing room much . 
 may 22 2009 	 stay week top location 	 purchase use ' top secret ' deal last minute.com . pleasant surprise find HIlton ! check get offer upgrade club lounge fifty pound day extra , turn great decision include breakfast , afternoon tea , light tea unlimited drink 6 8 pm . two people good value . corner room 5 floor still abit noisy . 
 may 22 2009 	 great view 	 choose hotel view show web . upon arrive give expect room change we room expect . view simply great . the room ok ( although could refurbish soon ) .The sauna pool ok pool small wait get ( many people ) .Location close transportation . 
 May 22 2009 	 Excellent hotel central location great facility . 	 mean write review ago get round , feel compel review stay family trip London absolutely fabulous time . when book trip hotel extremely reasonable quite nervous review mix however decide try hotel . group 11 we go include parent usually stay 4 - 5 star accommodation , family 4 2 young child . hotel cater everyone ! ! stay bed breakfast basis breakfast morning absolutely amazing . wide variety continental cook breakfast particular favourite mine omelette make order whilst waited.2 4 room beautiful view London , however 2 nice view clean decorate high standard . the location hotel good quality locate Edgeware Road 15 minute walk Oxford Street great 2 minute ( even ) tube . the health suite , bar , restaurant room service utilise party never problem . travel quite regularly London would advise anyone stay hotel . 
 May 19 2009 	 generally pretty good 	 ' ve stay quite week Mar / Apr / May 2009 . general hotel pretty good , probably one well class / price range London ( try quite ) . be huge , bit impersonal , room generally pretty nice ( ask one West Wing rather Tower - MUCH large , normally two big double bed ) . staff breakfast irritatingly slow , often long line - go executive lounge instead can / be allow . 's big conference venue , although handle well - big crowd people reception sometimes not slow thing much . the hotel little poorly place - central business unless office happen area . tourist , probably bit well 's far Oxford St. Gym pool pretty good , little busy time . 
 May 18 2009 	 Theft Problem ? 	 stay London 1 night May bank holiday . friend book hotel state close everything . close everything dingy ? ? arrive Dublin 3 pm Sunday afternoon , check & amp ; get basic , run room smell like hospital ward . night undressed bathroom & amp ; leave dress hanging hook back door . leave hotel 11 am Monday morning . Gatwick express remember dress . mail hotel 5 pm ( minute get home ) say have forget dress , could send back . Wednesday would hear nothing call hotel . confirm have receive mail still & quot ; look & quot ; . friday get mail state record check nothing leave room . return mail state 100 % sure dress leave hotel , could check , unless problem staff take guest leave behind hotel ! ! Tuesday , would still hear nada . mail head office . reply say due nature complaint have forward mail hotel . two day later , receive mail say dress hotel , sure one guest room ( husband ) not pack . two small bag due nature visit know leave dress bathroom . I assume cleaning decide like much take home . ' m disgusted . someone hotel thief problem deal . never set foot hilton group hotel . 
 may 17 2009 	 Hit Miss ... 	 Metropole strange hotel - either get great room quiet get small pokey room noisey ( close lift ! ) .The location not great business , always need get cab tube work west end . the Hilton loyalty scheme main reason keep go back ! 
 may 17 2009 	 Lower Hilton standard 	 book Hotel Easter trip , close Paddington train station ( 5 minute walk ) , Tube ( Bakerloo , Circle amongst 2 minute away ) , think nice location stay , indeed . I book executive room 4 night . check pain , wait 20 minute queue , indication executive check . room get happen 2nd floor , rather strange executive room , would expect much high floor . furthermore , discover swim pool center area floor , executive room around . therefore warm noisy kid activity around pool ( understand normal due Easter vacation ) . nevertheless , ask , think 's unacceptable confition room pay 50 % normal one . the first evening around 12 pm , neighbour arrive start talk phone . feel standing room . needless say , 2 minute . complain clerk reception ask another room . get really could care less complaint make feel like beee pain ... new room also locate 2nd floor . inside room , feel ok , clean , spacious impressive bathroom could use revamp stare get old . tv channel limit , yet not watch tv.the executive lounge fine , half closed time ( even though Easter , hotel fully book ! ) . staff helpfull , get loan continental power converter phone charger , check there . breakfast main restaurant definitely go , way crowd , hell queue ... executive lounge usefull pretty much need breakfast . relax quiet . all mixed experience . pay 50 % extra get noisy warm room second floor exactly call good value , lounge life expactation location ( Paddington kind little Lebanon , charming cosmopolite , tipically british not far away Regent 's park , Little Venice St Johns 's wood ) make ok hotel . sure will back though . 
 may 14 2009 	 nice room staff not particularly go way 	 stay 2 night whilst event hotel . arrive quite early would not let check change gym bit annoying ( mean huge hotel , must couple free room ! ) room : love floor ceiling window . room big , 2 double bed ( ) , bed reasonably comfy . Bathroom ok , nothing special ( always seem Hiltons ' ve stay ) . like Crabtree toiletry always , always take home ! kettle room not work boil water not switch , eventually steam ! service : nothing special , personal level not special request . not strike go way please . however , mentionne event hotel , find conference department easy work . set late want order food put conference bill . would let we put room service , 20 people one want room ( much hassle get client put room individually ) . do conference many hotel never problem except . be spend £ 50k event expect leniency . end say forget order take away pizza deliver hotel ! not think pleased man Pizza Hut turn 20 pizza walk hotel past guest . food : breakfast quite big varied , lot space restaurant . not dinner 
