great 	 return three day Holiday Inn Bloomsbury Nov 27th . could fault hotel . room 429 right opposite lift problem sleep three night . location great , Euston Station 10 min walk away , mess taxi 's arrive leave . lot place eat within walking distance , make sure take walk Bunswick shopping centre right hotel , really nice lot good place eat . eat Giraffe Strada could fault . would highly recommend use Big Bus Company tour get around , pick bus main road buy hotel , drop Trafalgar Square collect bus different attraction , brilliant way get around , 48 hr pass two we cost £ 50 well money worth [ one ten minute taxi ride back strand cost we £ 10 around 10 pm traffic busy ' m sure price would lot high . sum great location , great breakfast , nice staff , would highly recommend . 
 Apr 14 2009 	 friendly helpful professional staff good confortable hotel 	 refuse horrible room Royal National , around corner , agency put Holiday Inn Bloomsbury . pay , difference incredible . staff Royal National could not care less client , staff Holiday Inn Bloomsbury helpful polite , smile try help necessary . breakfast fine , egg , bacon , sausage , several tipe bread fruit , etc . keep fill cup coffee tea . room confortable , nothing extraordinary cosy , air condition , tv internet acess . everybody polite nice hotel , people reception restaurant even lady clean room . grateful good service . bed pillow confortable . would come ? yes , definitely . 
 Apr 11 2009 	 Sigh . another Holiday Inn ... 	 bit skeptical see Holiday Inn Bloomsbury four star hotel come , Holiday Inn ? four star ? really ? ... hmm ... first thing come mind think Holiday Inn mediocrity telly . know talk .. anyway review : hotel fall far four star . admit come high expectation * * * * review disappointed . start service , ask wake - up call newspaper upon check - in receive wake - up call one three morning . newspaper never come . ask adapter , tell come retrieve not mind really way treat & quot ; guest & quot ; ? not like price internet charge exercise not appeal either . room remind Tokyo business hotel extremely cramp window face really ugly air conditioning unit . night , people make lot noise go room likely drunk hallway light shine room gap door really annoying . besides , hotel conveniently locate block Russell Square Station close many store . really good restaurant find ten minute walk prefer make money . also cybercenter cheap internet small street hotel Holton station . walk past Cagney 's restaurant main street make right corner . cybercenter near laundromat . I seldom write review inform fellow traveler expect hotel : another Holiday Inn ... 
 Apr 10 2009 	 may entirely meet 4 Star criterion 	 hotel book Priceline " name price " program constitute certain abandonment choice establishment degree location . use program quite time mainly London area mean allocate hotel several occasion sometimes give opportunity try something new . novelty bring element apprehension , especially book several night . Holiday Inn , Bloomsbury quite unfamiliar – reckon know London pretty well . it little beat track sense small , unpleasant , square nestle close relatively recent block apartment ( Brunswick Estate ) .In fact also mere three four minute walk Russell Square Tube ( London Underground rail ) station Piccadilly Line therefore direct , no - change route Heathrow Airport . important thing note travel tube luggage get platform fresh - air involve climb 20 step platform , wait lift ( elevator ) generally congest . kind mentality call elevator floor platform ? ok build hundred year ago suppose . additional useful note – Russell Square serve quite hotel often congestion ticket machine especially young traveler not get London Underground 's useful item – Oyster Card . go Transport London 's website full detail essential item . buy one tube station get one London day two . the hotel incorporate pub ( Callaghan 's ) also food not chance use trip stop serve 9 pm two hour pub close . there small pedestrian zone within nearby Brunswick flat development incorporate supermarket , Starbucks , several restaurant visit today enterprise genuine german - sausage stand – Mmmm delicious ! similarly adjacent street chinese indian restaurant several place next tube station . plenty choice folk wish eat hotel . first positive thing say Holiday Inn excellent , attentive pleasant staff . italian lady check great job male colleague patiently answer barrage question wheelchair bind lady room disable . room . allocate room 5th floor check - in small . small degree make way round bed get tv lamp - standard . fairness Holiday Inn complaint room small 4 night stay consistent 4 star rating deal instantly pleasantly offer move . due commitment first evening delay move till follow day take 6th floor business room much reasonably sized . I ' m go comment much first room say meet 4 * standard . 6th floor room refrigerator bear print sign say " replacement system investigate unsuitable store food drink " ! wait minute ! even small motel USA usually work refrigeratorswhat kind system investigate ? go order bunch small refrigerator folk ! day age unreasonable provide one 4 star establishment . suspect " system " investigate unwanted mini - bar , another method extract every last penny client . 's 2009 client going allow schmooz mini - bar charge expense . the room lack 4 star touch . chair room wear uncomfortable - management please look Marriott 4 Star hotel London idea . 's shame hotel let item bring star rating question . the hotel clean , well furnish pleasant . elevator frequency good control access floor key - card system security . 
 Apr 8 2009 	 Nice Hotel Great Location 	 husband recently stay Holiday Inn Bloomsbury pleased facility . great location , convenient Russell Square Tube Station , grocery store , restaurant , pub . staff friendly extremely helpful . issue experience stay first room locate recycling / trash bin delivery area , begin around 6 a.m. , noise begin . ask move quieter section hotel return outing , belonging move new room . hassle we ever . 
 Apr 7 2009 	 Convenient Location Great Service 	 Booked hotel part & quot ; stay Show & quot ; package not regret . spite difficulty negotiate stair various Tube station get hotel ( many station easily accessible people wheelchair luggage ) , , staff friendly service excellent . room , small , comfortable lack nothing . towel , pillow , shower excellent . attend theatre , location could beat staff helpful provide direction theatre location nearest Tube station theatre . the cost wifi ( internet access ) seem expensive comparison place stay know London hotel charge , can not provide comparison . however , return theatre enquire front desk computer could on - line check - in , Gary immediately say could do key - click airline site even manage move seat like . Gary print boarding pass , put envelope ask require assistance next morning bag need care airport . staff bar friendly knowledgable wine serve . price reasonable enjoy glass white wine watch late night news flat screen television . breakfast next morning give many choice : cold meat , cereal , pastry , croissant , fruit , juice , cheese , different type milk , coffee , tea , item not remember . seem something everyone staff attentive . cup even half - empty someone ask refill require . I wish obtain ticket see production June . however , difficulty book on - line theatre seat plan available peruse . ask time walk theatre box office , map provide direction short order . manage obtain ticket theatre production want see June ( one last seat available due ascot begin day ) .check - out quick easy enquired possibility book June , Gary spend time look option available advise final booking need make due various event occur week . I would recommend hotel people look centrally locate place stay friendly knowledgeable staff . look forward return June . 
 Apr 7 2009 	 noisy thin wall . disappointed 	 noisy hotel . wall door must paper thin ! hear every sound room next door , hallway outside door morning night ! annoying . room bathroom bit cramp . shower poor pressure . ' ve much well room London Marriott Hilton . Russel Square Tube two minute away , beware line long morning lot tourist line . room clean staff helpful , however noise issue make disappointing stay . 
 Apr 5 2009 	 Great New Rooms 	 stay 1 night Saturday pleasently suprise . exterior do not look great inside lobby area bright ultra modern seem swish . usually hotel do not carry room , case . look like literally refurbish , stay executive room 1st floor fantastic . large room , great fabric carpet stylish colour scheme . bed comfortable I ve even sleep make good use pillow menu . negative morning paper do not arrive maid knock door 12 midday disturb sign - annoying late ( 2 pm ) check . would defiantley saty . 
 Mar 22 2009 	 love stay - would use ! 	 London 20th March special occasion see new musical Priscilla Queen Desert ( Amazing ) . hotel fantastic refurbishment look amazing . checkin process quite slow room worth wait . offer room top floor great view courtyard city behind . everything would want room . downside shower - pressure awful take age wash hair . towel small not shower gel shampoo offer . hotel two minute walk Russell Square tesco behind ( midnight snack ) . would stay really love experience Holiday Inn Bloomsbury . 
 Mar 15 2009 	 pleasant stay lovely Bloomsbury 	 despite rather tired exterior oh ' 70 Holiday Inn logo , hotel Bloomsbury rather nice good value . public area recently refurbish give hotel contemporary spacious feel . double room well decorate main area , essential - tv wide range channel , desk space internet connection , comfy bed spare pillow , bath / shower trouser press ( be inclined ) .The high point stay breakfast . even though restaurant busy , staff plentiful , quick attentive . conceivable breakfast option cover tea coffee refresh require . newspaper also available . the downside stay check vey slow indeed . reception staff not seem know handle guest efficient way . perhaps get woman run breakfast service trouble - shoot reception ! minor gripe . hotel excellent location good job . 
 Mar 10 2009 	 good value central London 	 typical Holiday Inn . daughter stay one night last week theatre / shopping break . good B & amp ; b deal Travel Republic . check - in quick efficient . twin room reasonable size bed comfortable . pillow could well ( although ' m bit picky ! ) room clean tea / coffee make facility , bathroom , although little tired , clean . bit noise outside , expect London . real complaint high cost internet access . breakfast great - plenty choice nice cook breakfast . restaurant staff friendly attentive . Russell Square tube station around corner ( 2 min walk ) , well coffee shop , small shopping precinct Boots chemist , also sell sandwich , wrap , cold drink etc . 5 minute walk British Museum 15 minute Covent Garden / Theatreland . altogether great value , comfortable well locate hotel central London . 
 Mar 9 2009 	 reasonable Hotel close Tube . 	 four star Holiday Inn Bloomsbury locate adjacent Brunswick Centre ( Selection Shops , Waitrose Supermarket , Restaurants ) , couple minute walk away Russell Square Tube Station . also short walk British Museum ( approx 5 min ) .check - in : check - in prompt problem free . room : overly impressed first room allocate . however , promptly sorted contact reception alternative room offer , comfortable good size . appear recently refurbish , generally quite clean , exception previous guest hair plughole bath , easy spot dirty shower hose rail ( see picture ) . find room quiet noise free , apart odd emergency service vehicle , expect London . internet / Wi - fi : Internet / Wi - fi available room , costly £ 15 per day . perhaps people would use rate dramatically cut , everyone charge business account . staff : staff quite good , ' can ' approach . breakfast : Got say much well hotel star rating . vast selection , vegetarian sausage available . say , breakfast acceptable would go hungry . overall , would stay right rate . 
 Mar 5 2009 	 decent enough quick stay 	 stay hotel one night last weekend . not expect much have see review ' m great fan Holiday Inn hotel , last minute booking , not much choice . hotel short walk Russell Square tube station locate busy side street , however , honestly say noise not bother , not let put . room fairly small size , clean facility would expect see . thing not like bathroom look clean old tatty & amp ; see well day . breakfast great - lot choice , fairly quick get tea . would recommend place quick , good value stopover girly shopping trip rather romantic break . 
 Mar 1 2009 	 luxurious 	 stay 4 night hotel . room wonderful . bed comfy sofa , coffee table , tv little extra like kettle bathroom . downside hotel lot door slam go night . the breakfast nice . choice bread pastry , cereal , english breakfast toast . 
 Feb 19 2009 	 place rest comfort 	 come back 2 night stay . good sized room London , yes little tired , breakfast great , staff lovely especially breakfast . problem . pay £ 108 per night double . good thing designate smoking room 
 Feb 15 2009 	 Nightmare Bloomsbury 	 location hotel great , quiet street Bloomsbury , near Euston Station ( main line ) Russell Sq tube , close British Library , British Museum etc . the hotel entrance nice , room small expect , normal Holiday Inn standard . tv ok , around 15 channel , old fashioned set , flat screen hi - res . desk lamp work . unfortunately , stay , two major problem ( write hotel ) . cold water , due problem & quot ; main & quot ; . may may hotel , not contingency place cope event , ( cold water supply = drinking water , shower , flush WC etc ) warning / apology post entrance . also , problem probably specific room , radiator stuck & quot ; full & quot ; , heat unbearable , unless window leave open - cause & quot ; London ambience & quot ; enter room , form wail siren , mechanical noise sound traffic airoplane . the staff offer refund , place guest hotel . expect well . also ( hotel IC group , internet cost ridiculous . bring 3 g modem . 
 Feb 10 2009 	 decent enough business stay ! 	 find hotel clean comfortable . room ok , bathroom small . great location – 2 minute Russel Sqaure tube less 10 minute walk king Cross . ' small shopping centre right next eatery , shop Waitrose . breakfast good staff friendly ! business stay ' recommend , leisure purpose , think get far well £ 140 ( roughly ) price tag ! 
 Feb 2 2009 	 brilliant place stay 	 stay hotel one night daughter ( 8 ) , hotel central , clean everything need . for breakfast something everyone food lovely fresh . room clean although massive big enough need , bed comfy room lovely warm , could adjust heating room hot cold want , great . overall could not fault anything . 
 Jan 31 2009 	 one night stay Holiday Inn bloomsbury 	 book one night stay want theatre visit mini break . the room clean small , standard double bed , bedside table side , bed close wardrobe door would unable open . bathroom clean small cramp . mini bar action air conditioning work . room stuffy noisy open window long . offer upgrade £ 30 decide bother 1 night . breakfast enjoyable . all disappointing four star hotel . 
 Jan 18 2009 	 Convenient Location 	 stay 2 night celebrate New Years Eve London . minimalist design hotel locate near Russell Square Underground , convenient . reception staff attentative , upgrade executive room quite spacious clean . Buffet breakfast excellent .. facility include Callahans Pub locate ground floor NCP car parking avalable basement . plenty restaurant nearby eat . recommend . 
 Jan 2 2009 	 Happy New Year ! 	 great choice hotel celebrate New Year Capital . everything PERFECTION , hotel fault way . Holiday Inns certainly know please client . room spotlessly clean . staff polite , friendly welcoming . breakfast superb wide choice choose ( fact not eat late afternoon ! ! ) believe book hotel disappoint . main bus tube route safe area - even brand new shopping complex opposite hotel . glad relay Holiday Inns - return home nothing praise ! ! ! ! 
 Dec 7 2008 	 great weekend stay 	 stay 5th DEC weekend , lovely hotel , 6th floor room perfect . it clean everything need , bed comfortable 4 different type pillow leaflet tell large spacious room good view.our room clean saturday soaps shampoo replace tea coffee restockedthe location hotel good sight seeing walk oxford st regents st within 10 Min 's plenty see pub call callahan 's adjoining hotel reasonable ( especially we never charge spirit evening ) food also look good fish chip come paper bag impress hotel location go back next year want eat hotel good restaurant oxford street call STEFS , italian staff welcome advise book hand turn people away fully book 
 Dec 5 2008 	 Loved Huge bathroom 	 book hotel research claim good accommodation people disability . partner walk crutch use wheelchair walk around . I book accessible room , pleasantly surprised size . huge ! bed comfortable , amenity nice restaurant food great . get , worry Russell Square station , although block hotel , stair lead lift . wonder would carry wheelchair luggage , people not hesitate help really worry nothing . my complaint front desk staff could helpful . ask suggestion nearby , barely look pointed stand bunch brochure . the restaurant staff excellent though : ) 
 Nov 29 2008 	 Good London Hotel 	 base research London hotel turn good hotel , fairly good location nice size . the hotel block away Russell Square Underground stop . recommend lift step baggage workout ! hotel staff knowledgeable , friendly able store luggage later flight . load small pub place eat outside hotel multiple direction . internet free poor way make money people . one nice touch selection feather pillow soft firm . also would recommend stay side hotel face small mall - noisy street area . one recommendation get day pass ride tube bus . bus well way get around see everything start head direction not want go , get change bus . 
 Nov 28 2008 	 Great Wee Hotel 	 Friend stay hotel 2 day Christmas shopping London . first stay friend stay great experience , naturally , choose stay . room exactly need . hotel fab location less 2 minute walk tube station . Buffet breakfast great usually staff pleasant , helpful nothing much trouble . overcharge minicab book concierge . driver charge we quote ( outside Ritz Hotel not want cause scene . would ? ) arrive back hotel complain . deal total professionalism politeness . give total refund fare apologise even though not hotel fault way . £ 75 per room per night ! well do Holiday Inn , 10/10 . 
 Nov 21 2008 	 Spotted Charles ad Camilla 	 hotel great location , stop Oxford Street not mind walk , be 20 minute walk Oxford Street & quot ; posh famous name & quot ; part city . hotel foyer minimalist , modern clean efficient staff . book executive room top floor , floor six number & quot ; suites & quot ; locate it . the room reasonable size , dress table tv , lounge chair double bed ( two single get many european hotel ) . room view back hotel absolutely nothing see , problem I . the bathroom clean modern toiletry provide plenty clothe storage space wardrobe trouser press . however , facility provide executive room quite good receive standard room similar chain hotel London equivalent price . for example , shower look fantastic turn feed via bath tap pressure extremely low , light room not work wall thin could hear couple next door 's conversation morning . also one bathrobe one pair slipper although mini bar , empty use seem odd executive room , either use lose . tea coffee make facility . one problem stay guest floor & quot ; socialising & quot ; early hour Sunday morning wake we 3 am people move room , shout , giggle chat corridor middle day allow door slam repeatedly . I surprise hotel give impression type hotel would attract clubber . Sunday night much well hotel much sedate weekend corridor socialiser probably check out . I not use pub attach ( look bit artificial - seek genuine London pub lots street hotel ) . not eat hotel . stay ok minor tweak room would deliver true executive experience . bump Prince Charles Camilla Russell Square tube Monday morning pass zebra cross black Jag . cover blow large police presence ! ! ! 
 Oct 21 2008 	 Shame stay 6 hour 	 book hotel stay overnight London early train trip London , map hotel look like near Euston . the hotel locate side street behind Russell Square Tube , location quiet ( well midnight Sunday ) .arrive late tell room service stop Tesco nearby open 24 hour . the reception staff helpful , upgrade room Executive Room due Priority Club status , check - in quick painless , take less 2 minute . the room quiet large London hotel , bed comfortable , use facility time , end stay 6 hour . the reception arrange taxi take station ( Euston ) , although advise station 10 minute walk away . would stay ? yes ! hopefully 6 hour ! 
 Oct 21 2008 	 tiny nice 	 tell hotel Europe small not quite expect would small . hard suitcase open lengthway open suitcase gymnastic evende step time . shuffle sideways get bed wall get window / fridge area option put stuff doorless wardrobe bed hard . say nice , clean , everything would need like shampoo , moisturiser , decent tv lot channel etc . buffet breakfast probably good hotel 5 week away - everything could want include room price . minute Russell Square tube station great staff little clinical friendly enough . not happy get charge 2 pound ( NZ $ 5 - 6 ) 30 sec local phone call give friend phone number call we back ! lovely & quot ; cosy & quot ; hotel small bag cellphone , would highly recommend . 
 Oct 6 2008 	 good bad . 	 husband stay Holiday Inn Bloomsbury week September 2008 . London need find place night book deal lastminute.com not actually know name hotel get cheap price . 's three star hotel deal say would four star hotel happy price pay stay . close tube station hotel Russell Square always closed often walk fair distance next near tube really irritate . aside , location actually really good , be right next large shopping mall Waitrose Bloomsbury place get tea supply . the internet breakfast ludicrous price , complain get room service breakfast free ( nice admit ) would not recommend breakfast anyway - revolting ! almost inedible . the major issue ( complain ) every day ' do disturb ' sign many valuable room ( include two laptop computer not fit supply safe ) repacke luggage flight home month abroad stuff EVERYWHERE , really not want anybody room . every single day sign ignore room make window open ( something hate anyway ) , even leave note ignore rang reception . third fourth day really frustrated , continued day leave , crack ( hence free breakfast final morning ) . reception staff also really unhelpful ( whole story ) . however room quite nice large plenty space two large suitcase four hand luggage bag , would come much small room space nice . over would not stay due invasive policy ignore ' do disturb ' sign ( sure be provide , say reception not re - 's door sign ! ) , however not worry , think would decent stay . not expect much reception house keeping though , seem go way unhelpful . tour group come hotel constantly also annoy try use lift check . quite nice overall decent price London . 
 Oct 2 2008 	 much well expect . 	 pleasantly surprised . room bit small side well equip clean . breakfast excellent . good position close Russell Square tube within easy walk distance many place . load restaurant , etc . immediate area . irritation expect phone call - firstly people ring 0845 number pay extra switchboard deny knowledge resident ( suspect remote call centre use reception staff good ) . 
 Sep 8 2008 	 good location 	 book NHS discount get good price hotel . stay 2 night , room clean , adequate size . air con unit bite noisy outside room able close window air - con . drink expensive hotel hotel pub much cheap . staff friendly helpful . breakfast good , plenty choice . would definately stay - easy location access , get day pass bus satisfactory , could also walk Covent Garden . 
 Sep 7 2008 	 sad state - of - affair . . . 	 book double room wheelchair access facility Saturday 30 31 September 2008 . spend long time explain young man reservation requirement neccessity room toilet access right hand side toilet , face entrance . assure understand confime . upon arrive hotel 530 p.m. Saturday 30 August , none hotel staff help husband luggage . husband help wheelchair well run back forth motor car order bring luggage hotel . young woman reception desk hand husband card door . go lift alone . husband make follow luggage another lift . concierge raise finger help we . upon enter room , find incorrect room ( due toilet wrong side , left - hand space right hand close wall ) . addition , toilet seat break unusable . upon telephone reception desk , young woman ( whose English minimal ! ) tell we nothing could . go downstair reception desk ( luggage ) ask manager . could help we . addition , go Shafstsbury theatre ask concierge young woman hail we taxi , want drive theatre due traffic parking issue . young woman concierge want find we taxi give we faulty explanation . virtually force concierge hail taxi , reluctantly much persuasion . suddenly manager find we alternative ' accessible ' room ; exectuive suite . hurry get theatre . luggage leave foyer concierge eventually take executive suite , promise look theatre . upon return hotel different staff decent helpful manager call Henry . accompany we executive suite prove , , INACCESSIBLe ( could use bath toilet much low use , well faulty ) . tell Henry would good we return home Bedfordshire . late Henry reluctant let we travel home without eat something first ( eat since breakfast ! ) telephone room service tell little choose . order tuna sandwich , cheese sandwich coffee . take almost hour arrive ! ridiculous sojourn , husband journey home . Henry helpful concierge also help we luggage . it sad state affair hotel Holiday Inn , Bloomsbury , provide advertise afternoon staff lazy belligerent . sad hotel disrepair . sad people deal hotel low standard pay much money ' privelege ' . sad hotel London provide decent stay people disability . 
 Sep 7 2008 	 Fantastic Location nice breakfast kind staff ... 	 family really enjoy stay Holiday Inn London Bloomsbury spring . location excellent purporse , choose , course ! directly across shopping centre , near laundromat , easy access St Pancras , right next tube station get anywhere want go . love walk neighbourhood , quick jaunt British Museum several small park area . come North America find price high , seem line accomodation see Internet . breakfast buffet also seem pricy , first morning discover excellent really worth cost . the room adequately size ; overly large , small either . also find quiet night , nice . the staff kind , especially two - year - old daughter . leave little Holiday Inn dollie ! would definitely stay base great location alone . 
 Sep 3 2008 	 Great value 	 good value & quot ; special offer & quot ; Holiday Inn 's advertisement . £ 89 per room include breakfast ! room small clean , good bed , excellent choice various pillow . great shopping centre ( Brunswick ) outside , also Gt Russell St underground station yard away . building look old outside , must re - furbish internally long ago . breakfast good , large selection quality fruit , cook breakfast , etc . typical 4 - star breakfast fare . recommend price ! 
 Aug 27 2008 	 bit tired 	 dark interior , saggy old carpet suspect plumbing , London - hotel seldom worth price ( least 5 star ) . @ Holiday Inn apparently cater non anglo - saxon since least interior light ( white ) fresh bathroom neither carpet plumbing work ! ! ! lobby , breakfast bar area cool modern , somewhat minimalistic design refreshing stay typical London hotel ostentatious / sullen reception . however superficial ( obviously light interior though ) . Door handle loose , elevator ramshackle corridor bite claustrophobic . staff proffessional ( usually chain be not ) location really good . all ok stay ( well bayswater tourist ghetto anyway ) definitely would not go way stay . 
 Aug 18 2008 	 bad London 	 comfortable hotel three star standard . good point : well locate 10 - 15 min walk St Pancras Eurostar . location also handy number shop restaurant nearby , include supermarket - also close tube . check efficient put allow room early 10 am . bed comfortable sleep well . check also efficient collect bag end day . thing good ... room really small , barely half metre end bed wall . mini - bar working fridge annoying . fair ask check would use anything mini - bar say probably , nevertheless still would like fridge store item . unexciting view window inside building - generator sort outside window , probably AC unit hum whole time . unable call taxi front hotel walk main street flag one down . so overall think bad London , good place stay either . 
 Aug 1 2008 	 worth ... 	 first time London want stay somewhere close British Museum . Location great .... room incredibly small , fine , mini - bar / fridge not work problem since medication we need keep cold . normally something small like would not bother , fact pay double room ( since dollar suck moment ) pretty irritated . we not contact front desk bring bag room not really want change room . now , room fine , wall hotel INCREDIBLY thin . could hear neighbor cough . could hear everything happen street . could hear elevator night . terrible . not get sleep . so ... location hotel great , staff adequate , need good night 's rest .... spend money elsewhere . 
 Jul 30 2008 	 enjoyable stay 	 wife stay two night recently wed Anniversary . Executive Room clean , comfortable large enough . Air Conditioning work perfectly , almost point cold . one thing impressed , fact put & quot ; Disturb & quot ; sign door go bed , actually mean not get disturb th morning ( late night need sleep ! ! ) stay many HI 's past not case . believe .... 's incredibly annoying work night shift , someone bang door ' ve drop sleep ! ! can not comment food not eat Hotel , bar price standard HI Tariff . Staff seem freindly enough . would stay . 
 Jul 27 2008 	 stone throw away 	 Booked British Airways . direct tubeline Heathrow . perfect location ever need London . the hotel standard Holiday Inn like , room bit tired clean , serve purpose well - say tin ! ! ! breakfast plus point never end - buffet , always seat need one . efficent staff hotel . will use , possible get big room . 
 Jul 27 2008 	 Good Old HI ! 	 stay HI Bloomsbury many occasion past work , problem choose night journey Europe Eurostar . on arrive hotel ask , get , upgrade ( not ask , not get ) . give ' business class ' room sixth floor quiet , clean comfortable - give choice sooo many pillow would remiss decent night sleep . we leave breakfast morning , refresh ready journey . review complain £ 11.50 price tag breakfast fruit , croissant , bacon , egg , coffee .... need go ? cost 2 adult , ! ! ! pay nearly £ 10 couple coffee baguette cafe St Pancras - that s call expensive . 
 Jul 14 2008 	 Great Location ! 	 wife book 9 night Holiday Inn Bloomsbury start European Tour . ( be Canadians . ) amazing rate get ( $ 150cdn , approx 75 GBP ) Hotwire not include breakfast , find happy buy croissant / muffin fruit one two supermarket within half block walk eat breakfast . hotel staff gracious , always willing help . one front desk employee give we direction restaurant , internet cafe , without suggest use overprice internet hotel lobbey . front desk staff Eastern European Accents , understandable . location hotel excellent , close Russell Square station . have never Europe , find easy take Piccadilly line Heathrow hotel . oyster card great , make sure compare cost day week travelcard , would save we money . because stay week , hotel upgrade we large room couch , nice consider book hotwire . would describe room average size one bed room North America , imagine regular room tight north american standard , probably quite comfortable nonetheless . two complaint elevator service seem bit spotty , fire - alarm go ~5am one morning . 's hotel 's fault , would nice have acknowledge it / apologize inconvenience . recommend hotel friend , continue . also , be great indian restaurant right adjacent Russell square , white table cloth service low price part west end . 
 Jul 14 2008 	 oh well bed night . 	 book line via company site , £ 84 - odd bam ! tax add take price £ 94 travel expense allowance . , breakfast . thank Holiday Inn . ( jump throat may say book another Holiday Inn Milton Keynes minute tax add , fact two night full breakfast MK cost 1 night Bloomsbury . ) get £ 95 + ? well , first room right next air - con unit , room could not get , member staff come open door ... five ride lift get room could actually sleep ! clean , big , over - bath shower biscuit hospitality tray ... ask breakfast feel inclined spend £ 11.50 ( claim reduce rate ! ! ! ! ) breakfast free every Holiday Inn stay in . will go back ? well , travel allowance B & amp ; b £ 94 Holiday Inn cost £ 109 B & amp ; B , ! 
 Jul 9 2008 	 Comfortable Central London hotel 	 currently middle third week stay holiday Inn Bloomsbury far good – three week , three different room , fairly good experience time . ' write desk room 610 , room show five attach picture . the hotel locate quiet residential area Coram Street , sandwich Herbrand Street Marchmont Street . 200 m away Russell Square underground station ( Piccadilly Line ) , Bernard Street , bus Euston , king Cross , Camden , city centre Russell Square ( , 200 m away ) .All three room ' stay well present , commensurate money pay branding / marketing hotel . first two week ' executive ' room 1st floor , week ' business ' room 6th floor . main difference two different class room : • 1st floor ' executive ' room slide shutter instead blackout curtain 6th floor – equally good keeping light.• 6th floor ' business ' room trouser press iron / board , whereas 1st floor iron board• 1st floor room provide complimentary small bottle water Kit Kat every day , room mini bar• finally , 1st floor room power shower whereas room 6th floor standard mixer shower attachment bath tap ( still ok temperature control pressure ) .All room stay desk , big enough bit work still space bit bob . bed , firm comfy , kitte plenty pillow , cushion , duvet . ' also pillow menu offer 5 different option medium synthetic ( bed ) firm feather pillow . plenty storage room , although 6th floor ' business ' room , room stay enough hanger week worth shirt couple suit . room safe digital lock , big enough put laptop in . the bathroom big , bright , clean unpleasant smell sometimes get stale shower curtain . complimentary toiletry room ' stay range bath gel shampoo ' business ' room , bath gel , shampoo , conditioner , moisturiser , shoe polish , nail file , sewing kit , shower cap ' executive ' room . honest toiletry ’ taste bit strong fake fragrance front , ' hope Molton Brown Elemis well bring stuff . for entertainment traditional CRT television usual terrestrial channel ( BBC 1 , 2 , ITV , C4 , five ) , Sky One , news channel , one channel french , german , spanish , Middle East . sport channel ( Sky Sports News ) room , big game show downstair irish bar . signal strength WiFi system good , predictably expensive Central London hotel , unfortunately connection speed internet log WiFi pretty poor every time use . £ 15 day ( £ 75 week ! ) would pretty disappointed , however , use roam btopenzone account ( Boingo , iPass , & amp ; , Fibrelink also support roam partner ) cost anything extra ok speed . on food drink front mini bar room , obviously expensive go store , enough free space put beer . 24 hr room service offer , ' use couple time soup hearty sandwich filling generous ; delivery time , bear mind room service , food ok quality good presentation . ' eat restaurant breakfast dinner , ' comment , load place eat drink area Brunswick centre next door ( Waitrose , Yo Sushi ! , Carluccios , Nandos , Gourmet Burger Kitchen etc . ) , chinese indian restaurant / takeaway Marchmont St , good pub , Starbucks Pret Manger round corner . in summary ... positive – business traveller stay great central location area feel safe time day night . good transport shop / restaurant nearby stone throw centre town . negative – price ( ' pay around £ 120 night ) ' find negative , ' clean , quiet , comfy , staff competent friendly . 
 Jul 6 2008 	 Disappointed 	 book 4 night specifically ask non - smoking room . call twice travel , make sure room guarantee non - smoking one . upon arrival room , stink cigarette smoke , try change tell may room . hard get sleep night cigarette smell strong window could open . also something watchful , minibar . miss item think miss due supply shortage . however surprise , check - out day charge bill . insist use minibar accept remove charge . 
 Jun 27 2008 	 bad Holiday Inn 	 stay Holiday Inn one night June 2008 . bad experience Holiday Inns bit apprehensive , one reasonable review Trip Advisor ideal situation give try . the first room offer connect door really bad night 's sleep Gatwick Hilton time ago due noise transference connect door , ask change . , problem . room clean reasonable condition , bit small . bed comfortable , noise problem air conditioning work . really problem all . one thing , air con switch hour , wake hot night , be , turn ! offer breakfast deal check £ 11.50 , good value , normal price £ 16 . breakfast good , fresh plenty it . so , overall , bad holiday inn ! 
 Jun 21 2008 	 Good Experiance 	 stay Saturday 14th June friend , go party central london not fancy face night bus . end check party early hour sunday morning ( 5 am ) staff amazing reception , offer we late check till 2 pm without charge.the room clean spacious bathroom spotless ( important wherever stay ) .will def stay also close king cross short journey london 's west end . 
 Jun 11 2008 	 cramp outdate 	 ( two adult one child ) stay one night June . choose hotel location need immediate neighbourhood next day . interaction staff ( check , reception , breakfast ) friendly ( necessarily give London ) . room tiny ( know London tiny tiny ) cluttered non functioning fridge ( note paste effect door ) seventy - style trouser press . one light not work ( form could fill promise repair would do within 24 hour , really need overnight stay ) bathroom miniscule , night airconditione switch make room hot ( get switch thing ) . ask quiet room face street , inner courtyard take rather noisy machinery ( air conditioning ? ) . would stay ? , unless really really area . far well hotel hotwire price ( Hilton Metropole , Hilton Islington ) . location , way , wonderful : adjacent vibrant , renovate Brunswick Centre glorious Waitrose wonderful Carluccio 's . 
 Jun 1 2008 	 make sure renovating time 	 location - yes . need hotel ? wife stay location great , outside russel square.the problem start decide renovate middle tourist season , say finished noon not evening , oh well ... like middle week hot water bath want start day.those little thing expect hotel like better.hopefully other work better.but hey - london great . 
