enjoy 	 good thing say Chelsea Pines Inn . moment arrive treat guest . friendly , helpful show resturant recommendation . extend breakfast hour morning help alot . make feel welcome well take care . thank staff Chelsea PInes Inn . definitley back see . Regina 
 Perfect Location - Clean - Great Hosts 	 title say ! place spectacular ! go ny business class not sure stay . check homestay.com see great place money Chelsea Pines keep call . review amazing ease location well concierge . can not say enough locale . trip stay uptown pleasure close everything time . one bedroom suite picture work great employee . guy front desk gracious check check ( even though accidentally steal H2O fridge ) . become home away home never hesitate recommend other return ! thank everyone - blast ! ! ! 
 good job Jay ! 	 clean , friendly , idiosyncratic [ showered closet , work ] [ relatively ] quiet . great location away snooty people upper 5th . felt like real ny experience . Jay crew great host . will go backa tip . european like light breakfast bit ham smoke salmon would not go amiss ; look rear garden , could real treasure ; warn we old folk climb offer room 2nd floor 
 Jun 19 2009 	 great location friendly helpful staff clean comfortable definitely worth return . 	 close several market , Greenwich , West Village , new Promenade , Hudson River , subway number super restaurant . New York hustle bustle 24/7 spot easy access quieter neighbourhood . thank Jay colleague suggestion . 
 may 26 2009 	 terrific small hotel lot personality 	 terrific small hotel personality . lot personal attention . staff friendly helpful . room different . nice breakfast . feel like come home busy city day evening . small business center allow free use computer . great location within walking distance Village Chelsea . subway corner . 
 May 8 2009 	 stay Library Hotel Casablanca would choose Chelsea Pines day 	 ' ve NYC several time stay variety hotel include good review Trip Advisor . however , never stay Village hotel appeal base review would read price . disappointed . book standard room , ask high floor room back inn . give Ann Margaret room , 4th floor overlook back garden . large expect room 2 armchair addition bed . also build wardrobe , safe , fridge , flat screen tv i - pod docking station . also plenty room strore empty suitcase ( behind armchair ) . bed really comfy room nice quiet street noise ( back ) noise neighbouring room despite inn pretty full . yes , be long climb 4 flight stair , get easy week progress help we work generous ( free ) breakfast muffin , bagel , pastry , fruit , cereal , cheese , yoghurt , juice , tea coffee ( not eat everything ! ) . extra touch include free wifi , 2 computer internet access printer ( also free ) excellent daily newsletter suggestion thing . inn great location , less half block subway station , C , E L line , enable travel north / south cross town . plenty good place eat within walking distance , include Chelsea Market , certainly worth look . however , absolute good thing inn staff owner particular Jay Al . Al real comedian show . funny , interesting helpful . feel home make feel really welcome . sorry week come end certainly stay next trip city . 
 Apr 24 2009 	 still good place stay New York location character service value ! 	 last review Chelsea Pines 18 month ago great stay . back 3 time since , late early month , would consider anywhere else New York . location ideal , welcome warm , room character - full clean service attentive . high standard consistent every visit staying add great deal enjoyment trip New York . 
 Apr 17 2009 	 Claustrophobic room 	 expect lot base hotel 's website . room pathetically small cramp , exactly great deal . think owner obviously make effort add charm place , overall would rather spend little bit money feel cramp -- queen bed , maybe two foot space either side bed . feel like narrow closet . bed comfortable despite website proclaim redcorate , perhaps miss room & gt ; definitely great location be go night 20 year old , might mind , not expect comfortable B B. Splurge bit will happy . 
 Apr 16 2009 	 Perfect place NYC explorer 	 wife stay Chelsea Pines Inn week explore NYC . hotel probably good bang buck NYC . great location , excellent staff , small cosy room , service top notch , great free breakfast , two free computer i - net , nice plump cat : ) . hotel staff help we everything direction book ticket phantom opera Broadway . positive course minor con small room , noisy pipe time time hear neighbor quite well , really tiny con deal breaker ! rent room visit NYC ! thank Chelsea Pines inn lovely stay ! 
 Apr 16 2009 	 stay hotel extremely fantastic 	 Specially location ( Chelsea , Meatpacking District Greenwich Village walking distance ) . subway 14th 8th Ave . room really comfortable single two enough . great thing : Daily News , sheet paper proposal day breakfast , incredible ( specially onion 's bagel cookie ) thing comment : lift . 5th floor high specially long trip walk city . 
 Mar 22 2009 	 Location location location 	 round world trip bring we NYC Chelsea Pines Inn . book see gay listing . room name movie star film poster everywhere . individual . helpful staff include cute guy reception ! room 5th floor , four heavy bag lift get super fit ! hotel slightly rough around edge feel make really quite charming , room immaculately clean , comfortable bed , free wifi , aircon , nice complimentary bathroom product , breakfast rather sparse fine . not expect eat healthily - bagel , cream cheese , peanut butter , muffin , doughnut , could invest good coffee machine really would make big difference , something really good morning newsletter push door idea thing 's on . alert we fantastic evening music jazz theatre overlook Central Park . hotel great price NYC 's perfectly locate - right border Chelsea West Village . lot lovely cafe restaurant nearby gay nightlife close . lovely stay . 
 Mar 20 2009 	 Love place ! 	 can not say enough positive thing Chelsea Pines Inn . ' ve stay twice , will not stay anywhere else NYC help . room elegant , comfortable immaculate , staff stellar - helpful friendly . woman travel solo , be nice feel like people hotel keep eye well - being . can not beat location . 
 Feb 25 2009 	 Ticks NYC box 	 stay recently day wife could pick well location . hotel clean welcoming ( staff ! ! ! ) really feel go extra mile make stay enjoyable . hard travel around city nice come back people welcome back first name . location superb subway close anywhere Manhattan 10 30 minute away , JFK Airport within hour Subway .. fact CPI crossroad 4 area good socialise expensively inexpensively choose . high - end restaurant proper Drinkers bar within 10 minute walk . lovely deli Balducci 's corner good point also . to summarise want quiet friendly location give quick easy access NYC offer , defy find well value Chelsea Pines Inn , . 
 Feb 24 2009 	 wonderful place stay 	 friend recommend CPI first visit NY . recommend ( ) everyone else . inn perfect , go beyond expectation . 1 . service : begin front desk courteous , professional , & quot ; welcoming & quot ; . check we , recommend restaurant , place interest , get around town . Jay ( believe one owner ) even write direction we ( Hotel , ' ve stay many come Vegas never anyone provide level service ) . additional star ( ) rating.2 . room : clean , well furnished , absolutely splendid . room classic movie - star theme ; smile , girlfriend go & quot ; sooooo cute . & quot ; fresh towel need ( none cheap thin - rough kind ) . bed comfortable - even ipod station plug listen tune . modern , yet homey . great lighting system ( dim preference ) . awesome.3 . downstairs : kitchen - clean , comfortable , fresh bagel / muffin / orange juice morning . 's backyard outdoor sitting , bad cold enjoy it.4 . price : reasonable . affordable . friend come take look place , state : & quot ; Dude , can not get room like anywhere NY price pay . & quot ; * plus - stay weekend.5 . accessibility : near subway - street.6 . location : see Manhattan glory . Chelsea Market right around corner - cool place hang get great eat . fun walk around city . go union square , empire state , times square , central park check MET ( learn NY lingo ) . basically , place interest accessible Chelsea Pines . * * review write third party - gimmick - affiliation whatsoever CPI - independent inquiry . 
 Feb 17 2009 	 Film Nostalgia Chelsea 	 ' ve Chelsea Pines twice past year , December 2008 wife February 2009 , wonderful stay time . inn great location Chelsea , half block subway walk distance restaurant , nightlife , etc . room name star starlet silver screen ( ' ve Tony Curtis Jeff Chandler room ) feature set vintage poster advertise film . top , staff amazingly helpful friendly . room reasonably price NYC , go wrong ? 
 Feb 17 2009 	 good place stay NYC 	 not waste time search hour good quality hotel Chelsea Pines Inn cater need . past 10 year travel New York continuously pleasure stay Chelsea Pines Inn . could wish stay hotel NYC like call Chelsea Pines Inn home home . basic cover , clean hotel , quality furnishing , room pleasant size facility Satellite TV , multitude tv channel WiFi . let us forget room theme famous Hollywood name , stylishly accessorize original film poster depict star question . morning wonderful selection muffin breakfast delicacy greet include tea coffee . staff Chelsea Pines Inn fantastic , task great , always hand help . extra touch also go long way morning newsletter provide information local event attraction include head weather . luxury toiletry bathroom , quality linen provide along extra bedding need , room equip separate kitchen / seat area whilst room hotel tastefully decorate . visitor New York stay Chelsea Pines Inn certainly consider . hotel situate within walking distance many attraction include SoHo , Greenwich Village , Meatpacking District Hudson River Park great jog enthusiast like chill watch world go . Jay owner alongside Al , Rich staff certainly help get good trip NYC whilst provide good value , quality accommodation , like , consider call Chelsea Pines ' second home' . sammual James - McLoughlin 
 Jan 21 2009 	 Love Place - definitely come back 	 love place - first trip New York , hear alot mixed review hotel New York . find Chelsea Pines inn tripadvisor , happy say 's great place stay . stayed & quot ; Jeff Chandler & quot ; room . room quite compact really cool well lay everthing need , definitely add enjoyment trip . staff really friendly helpful , place really clean ... free buffet Breakfast delish nice little perk . really nice location , quiet quite central - subway corner ..... get lazy . love cookie coffee day , another nice little perk ..... definitely stay go back New York October . 
 Jan 17 2009 	 ' this good 	 good place stay New York City . not look , want . great neighbourhood , quiet garden , clean , wonderfully decorate old new combine good , friendliest people ever meet New York . helpful , gracious kind make feel home comfortable . come NYC time accompany daughter ... start international fashion course NYC january . Jay help much find way , move . , back husband , daughter , friend ... , never stay anywhere else NYC life . gem . 
 Jan 16 2009 	 wonderful value money ! 	 boyfriend stay Chelsea Pines Inn week Christmas wonderful time ! atmosphere homey , complete friendly , cuddly cat . staff superb . get lot help direction travel information , addition helpful recommendation thing see . would never know go Top Rock instead Empire State build great panoramic view ! pizza place recommend perfect . see reviewer complain room small look guy , New York room go big average person 's budget . ( though room big enough , think . need big room city want , anyway ? ) think Chelsea Pines Inn make inevitability little touch , like fresh varied breakfast menu , daily print event weather information deliver room , lovely , whimsical decor , general ambience goodwill hospitality . certainly return next trip NYC ! ' ve already recommend friend . 
 Jan 12 2009 	 Loved Fresh Bagels Chelsea Pines 	 wife recently stay Chelsea Pines Inn find great experience . location great subway travel well walk area location . staff top notch Charlie cat add pleasant atmosphere . continental breakfast consist coffee , juice , fresh bagel lox ( name item ) superb exceed expectation . 
 Jan 6 2009 	 Giving thank Chelsea Pines Inn ! 	 thanksgive eve , boyfriend desperately look place stay arrive Manhattan victim scam concern apt . book internet still back Portugal ! ! ! ! new city , little hope .... special vibe side road catch attention , say : Chelsea Pines Inn . we go inside , tell story kindly receive Chelsea ! find fantastic place term neighborhood also term comfort sympathy ! give thank Chelsea Pines inn great people work ! scam end benefit ! 
 Jan 6 2009 	 great stay Honeymoon 	 find Chelsea Pines recommendation Pauline Frommer 's NYC See , spend Less guide . beyond pleased choice ! location great - half block subway station 14th St & amp ; 8th Ave . take subway everywhere go , huge plus . accomodation keep clean , room stay ( superior deluxe ) quite spacious . move superior standard last night , even pretty decent size . room mini - fridge , flat screen tv , iPod dock alarm clock . nice ! staff friendly always ready help . breakfast quite good . eat every day trip except one . homemade bread morning special treat . can not say enough great thing Chelsea Pines Inn - score home run choice , would not think stay anywhere else NYC . price amazing value well . highly recommend ! 
 Dec 30 2008 	 really love hotel Christmas visit NYC 	 recently stay hotel really great time . conveniently situate great value money . visit New York quite bit stay ! well recommend . 
 Dec 19 2008 	 great location good price 	 first stay hotel 4 year ago nicely surprise recent makeover : good job ! staff helpful friendly , room good size , nice modern bathroom , complementary breakfast much well average price Manhattan ( Chelsea/ Meatpackers ) bargain . 
 Dec 15 2008 	 nice place stay visit NYC 	 nice , charming well - locate hotel NYC . room nice , clean small ( Manhattan hotel average ) . staff correct , helpfulf location really great nice neighbourhood ( safe go night close underground station ) . gay friendly hotel , hetero couple problem stay open everyone . room original berakfast ( complete one ) include . 
 Dec 3 2008 	 Great Location wonderful bed ! 	 arrive friday evening Chelsea Pines Inn . first , partner , little put receptionist welcome , wich little cold . room however nice . book standard room , wich locate 4th floor ( wich really 3rd floor we Europeans , nice surprise ) . bed super high comfortable . Bathroom look newly appoint enough storage clothe . room even decently sized fridge . stay Jean Simmons room wich locate front side building . although locate busy street not problem noise come traffic . room clean daily get change breakfast saturday . breakfast really good , salmon , creamcheese , fresh bagel kind bread . thing not like breakfast breakfast area seem heated . cold ! guy work friendly , overly . expect top fake & quot ; hi , look nice & quot ; etc . etc . place . people friendly real ! great ! inn really really good location ! close main subwaystop edge Chelsea , Meetpaking District Village . right smack middle action , wich great like explore NY 's nightlife . all really nice stay feel bit sorry left . surely return Chelsea Pines Inn next time NY . 
 Nov 10 2008 	 good location 	 ease get around NYC Chelsea Pines inn great location , number subway line service different part Manhattan . overall though can not help disappoint overall experience . room second floor excessively small ( even NYC standard ) , nowhere store suitcase leave little room move . read previously refurbish think room must miss . room stuffy drab , hot water shower unreliable . right W14th Street also mean garbage truck siren 24/7 . staff functional overly friendly ( even token offer help carry bag upstairs ? ) , find odd stay much friendly g & amp ; l accommodation . US $ 239 per night look hard enough nice place stay area money . 
 Nov 3 2008 	 adorable Inn Great Location 	 Chelsea Pines Inn adorable , great location walk hop subway , reasonably price . room small side , sheet towel great . staff super ! 
 Oct 24 2008 	 Perfect hotel perfect location 	 husband spend three night Chelsea PInes Inn , long weekend break New York - love heartily recommend . location perfect want walk distance major sight Manhattan , away tourist rabble high rise madness midtown . location Chelsea neighbourhood , meatpacking district next door , Greenwich Village great stroll lovely restaurant bar evening experience bit ' local life' . we stay ' Albert Finney ' room locate ground floor , stair , right complimentary hot drink cookie available day 11 pm - perfect six month pregnant ! room spacious , bed super comfy , bathroom well equip , clean stylish . love visit Charlie Chaplin , resident cat . the staff really make hotel special New York - nothing much trouble , really friendly without intrusive - strike right balance . morning get ' Chelsea Morning ' deliver door selection suggestion 's day city - nice touch peruse be enjoy yummy complimentary breakfast include home make bread world 's large bagel . will back ! 
 Oct 23 2008 	 great Stay 	 great hotel , nice room , good breakfast . great service fantastic connection public transportation . stay hotel time travel New York future . Peter Kiki 
 Oct 23 2008 	 gem ! 	 friend Times suggest two place ; wife opt Chelsea check website review . owner staff fantastic ! give length stay ( 10 ) ; request ' quiet ' ; age ( 60 ) , assign Doris Day room , survive hike couple flight stair quiet , clean , commodious ( NY stds ) room . need ticket ? problem ! find excellent seat Miller 's ' all son ' ' Spring Awakening ' half price ; suggest excellent restaurant nearby ; always respond request . breakfast repast always good , include lox cheese couple day . , would hesitate recommend spot other , stay . great location , great dig , great people . oh , bit warning . place perfect , , be always Waldorf ! personally , prefer Chelsea . 
 Oct 20 2008 	 league 	 book hotel solely basis review read . stay Chelsea Pines Inn 6 night late sept./early October . two couple fifty . room second floor bathroom . staff either helpful friendly job efficiently , great . expect small room ( first time NYC ) bite small expect . bed , linen , towel , hot water , breakfast good . happy . location great . particularly enjoy warm weather eat breakfast courtyard behind dining area . would like make one suggestion owner : due small room ( think superior standard - Susan Hayward ) high ceiling , perhaps could give thought add couple hook room and/or put shelf take advantage vertical space . due small amount floor space difficult keep floor clear clutter . would recommend hotel other would return . thank great stay NYC.Susan Deevy 
 Oct 18 2008 	 excellent location helpful staff ! 	 excellent location helpful staff ! Chelsea Pines great place rest head New York visit . locate 3 stop Time Square , walk distance meat Packing district Greenwich Village . central , great tourist . staff also friendly kind , help we make visit . offer excellent dining recommendation assist & quot ; tourist & quot ; need . owner gem ! : ) 
 Oct 16 2008 	 home away home 	 like spend time Chelsea , Village Meat Packing District , good choice . great price friendliest staff town ... adorable house cat . nice selection complimentary breakfast . room small will need climb stair , , look . will back soon ! 
 Oct 1 2008 	 good location nice staff overall disappointing 	 hotel great location staff nice . however , could not help little bit disappinte whole experience . think room refurbish ( reception definitely look nice new ) , certainly not . stay lesley caron room top floor okay , , okay . room reasonably clean , decor bit old drab ( especially sink area - mini fridge ancient ! unplug complain much ! ) . shower keep go hot cold , air conditioning make clunk noise make good night 's sleep impossible ( open window get lot traffic noise form 14th street , plus mosquito ) . room not cleanre one day . ok since price NY crazy probably good value money ( even though be cheap ) , will not stay . 
 Sep 23 2008 	 RECOMMENDED ! ! ! ! 	 Tripadvisor member Antwerp / BelgiumWe enjoy stay hotel much ! ! location exelent subway nearbye .We book hotel probably ask room high third floor , due lack alivator . the room bathroom clean bed comfortable . the staff friendly hesitate help book event explaine get somewhere .And ...... serve breakfast ! ! ! 
 Sep 23 2008 	 Plesant friendly comfortable 	 Chelsea Pines inn small hotel limitation size age building . first one con : elevator . now pro : get considerable discount stay one upper floor . the staff among helpful friendly hotel stay NYC . try accommodate every request , reserve restaurant , book theater ticket find discount available , finally book cab get back airport leave . ' want leave , really make stay special , assistance get around city find thing pricelessthe room well appoint , bit small , expect old NYC hotel . room non - smoking room , small outside area smoke . room clean daily always fresh . apparently one name movie star , decorate poster feature star . believe poster original , copy . breakfast self - serve continental bread , pastry , cereal , juice , coffee , tea , etc . unlike place keep open around 11am , great late every day get late . coffee available time . while cheap standard , price much less place look area , guess " bargain " , boy , hotel room pricy NYC . definitely stay next visit New York . 
 Sep 23 2008 	 Fantastic find New York ! ! 	 thought would let know wonderful hotel New York fashionable Chelsea area Meat Packing District . staff brilliant ( especially Shaun , Daniel Al ) always helpful polite . hotel spotlessly clean recently refurbish lovely standard . great time New York make stay even well , nothing much trouble . past hotel predominantly know 's high percentage gay guest still gay pay guest type couple , husband law varied type couple stay age , please stereotype thinking miss great place stay New York . keep guy - hotel suppose like ..... 
 Sep 8 2008 	 great location great hotel 	 stay August 2008 , love location . hotel near subway station minute walk away West Village , wich LOVED . great restaurant shop area . hotel could not live expectation . owner , Jay , really nice helpfull staff seem bored , not really helpfull not humor . also , cold water come shower morning . , give we last night free charge , really nice . room not always clean sometimes ackward smell small room . , ok hotel , great location . could come NY , think would go another hotel . 
 Aug 19 2008 	 great location ! 	 hotel good location - away tourist trap . Close Union Square Meat Packing District Balducci 's right around corner ( excellent meat deli way ) . room okay - nothing special always clean either ( experience ) . day toilet not clean not think even look bed ( maybe not either ) . breakfast area nice touch ( especially courtyard back ) staff pretty friendly . sure would stay , maybe one two night max . terrible nothing special either . 
 Aug 19 2008 	 Chelsea Pines make stay 	 Chelsea Pines amazing . room fun , spacious enough two staff accommodate . continental breakfast great day , offer plethora food / drink include fresh fruit , bagel , donut , cereal , juice , hot tea , coffee . Charlie , resident feline , absolute sweetheart bit ham . great value , clean room , fantastic Manhattan location ( subway right corner ..... another subway lot line union square block 14th ) . be really hard sum impressed word . stay Chelsea Pines really make trip . say right inn suitable type ! lot stair top floor room elevator / lift . problem like stair easily get stair , may place . man newborn , stay may do - able family certainly would difficult . ' m sure staff try inform come stay . helpful ever question ( need roll toilet paper ! ) . 
 Aug 17 2008 	 great place stay NYC 	 cosy , comfortable clean litle hotel great location close wherever want go tourist . three friend stay four night please everything ; room clean , service great , breakfast good . recommend Chelsea Pines Inn friend go NYC definately stay next time go ! 
 Aug 12 2008 	 great hotel worthy rating 	 choose Chelsea Pines Inn New York leg honeymoon trip read good review Trip Advisor . stay four night , really pleased choice make . we stay Lee Remick room , clean comfortable , like room hotel cool movie poster decoration . fourth floor nice view street ; reviewer mention , lift hotel , quite lot stair climb , aware advance fine . street not particularly noisy , quite high never bother traffic . it hot humid city stay , air conditioning work well pleasant room . breakfast nice , kind american / continental range muffin bagel , bread , cereal , etc . could also get tea , coffee , ice cookie breakfast area time day , mean not miss tea - make facility room . the hotel quiet , not think encourage child , suit we well . hear noise room , even people pass corridor . the staff lovely helpful . problem arrive late ( 9 pm ) , able give we lot useful information go city . my criticism would room often not make 4 pm , mean come back afternoon sometimes wait finished . not really problem , might start low floor work . never wait 15 minute anyway , time would got drink downstairs fine . the location good close subway station , not mind walk get Times Square half hour . lot restaurant nearby , gay bar Chelsea West Village within easy walk distance . I would thoroughly recommend hotel , come back New York would definitely try book . really deserve good review be here . thank Chelsea Pines ! 
 Aug 3 2008 	 great 	 stay chelsea pine one week good mate , england ! general area hotel exremely clean fresh , breakfast good - self service kitchen rear property . we stay budget room , room base upon theatre show think ....... room big yellow stripe thing accross wall memory , yellow brick road ? ? .The staff polite really helpful . speak length one ( blonde , 40 's , skinny ) always answer question . its location good , 20 minute walk town , hotel always happy book taxi 's airport run etc . would recommend problem 
 Jul 18 2008 	 Chelsea Pines inn great little hotel fantastic location 	 stay week last June . hotel truly wonderful , great room decorate movie theme ( every room different moviestar , funny ) . room large NY . room backside absolutely quiet , really great . one good thing hotel location ... first , edge Chelsea West Village , close hip meatpacke district ( be even Apple Store corner ! ) , be plenty see , even eat ... equally important , literally 2 minute subway station line go north - south also east - west , mean become really easy go anywhere Manhattan really quick . Jay Lesiger , owner nice man , give we great suggestion get 1 - week metro card $ 25 ... outstanding value . Jay prove great help point thing , see eat area city . truly recommend Chelsea Pines Hotel anyone would like something else Times Square Large Impersonal Hotel Chain Hotel . Mike Belgium 
 Jul 17 2008 	 child want 	 planning stay New York wife newborn baby . read wonderful review reasonably price hotel . however , call tell hotel & quot ; suitable & quot ; child infant 16 year old . quite understand ask told & quot ; hallway wide , bathroom small , build elevator . & quot ; WOW , know newborn need amenity . NYC ! 
 Jun 26 2008 	 Gem NYC ! 	 return overnight Chelsea Pines NYC . attend concert Hiro Ballroom Maritime Hotel , could not afford room . start research find something reasonable . come across CPI map - quest search hotel close concert venue . hotel spotless , tasteful , exceptionally welcoming ( plus we , since not know NYC well , feel little overwhelmed ) . room movie star theme . 's nothing gaudy tacky . room ( stay Room 135 , Tony Curtis room ) Tony Curtis gold star door , decorate cool , frame movie poster film . bed comfy , AC work perfectly , towel heavenly , toiletry exceptional , room clean comfortable , safe fridge , nice tv cable , free wi - fi access . room ( economy room ) share toilet private shower . room Deluxe Superior , complete private bathroom . stay include great continental breakfast cute kitchen area , access coffee , tea , cookie , etc hour . also , cute veranda outdoor seating . mention NYC obviously noisy , CPI totally quiet moment walk front door . not know 's noise - proof door , , impressed . room equally quiet , although aware people use hallway toilet night . CPI also easy walk distance lot great restaurant , bar , shop . disappoint one night ! Chelsea Pines Inn gay hotel , although welcome orientation . husband ( obviously gay ) feel completely comfortable welcome everyone encounter . absolutely stay Chelsea Pines Inn make back NYC ! 
 Jun 23 2008 	 absolutely amazing ! ! ! ! 	 fantastic little hotel ! staff friendly - might mistaken think somewhere else New York ! room spacious clean . breakfast good day coffee cookie nice treat . subway also close hotel . stay four night seem go quickly . definitely back soon ! 
 Jun 19 2008 	 great stay 	 ideal location , close subway station , breakfast provide free , room small doable night , expect new york . staff friendly helpful . 
 Jun 18 2008 	 GREAT ! 	 NYC - thought would hate . go wife gallery opening.surprisingly , city good . hotel great . accommating , helpful , close subway + galleries+ good restrauant , etc . when go back , will stay . 
 Jun 18 2008 	 delight ! 	 stay nine night Chelsea Pines , ample opportunity experience many facet hotel life . quiet , pleasant , respectful atmosphere hotel make nice place & quot ; come home to . & quot ; excellent access line subway , Broadway Financial District 15 minute away . two block away 9th Ave . many hot night spot city , Chelsea Pines remain calm amidst storm . love neighborhood away roar madness Times Square , easy access choose go . can not say love climb two flight stair , good , Charlie Cat greet we trip make climb little effortless . staff offer help luggage , problem . movie theme room playful add ambience . room spotless day , staff quick offer help need . 
 Jun 17 2008 	 good location ; value 	 give frame reference review : wife travel ( especially Europe ) tend stay small hotel pension independently own without amenity . type establishment expect Chelsea Pines Inn . run friendly staff happily hold bag explore city immediately address small concern arise . hotel locate Chelsea less block subway station ( , C , E L line ) within easy walk Greenwich Village Soho . breakfast mainly consist bread , bagel like coffee milk juice all - day cookie jar well welcome candy dish add nice touch hospitality . go mention stay least expensive room 5th floor . important two reason : one , hotel elevator . day walk step nearly welcome candy dish . second , walk past room clean many look clean , large well keep . say seem fair judge hotel base accommodation offer slightly average term cleanliness , decor comfort type hotel compare city ( first time type hotel within City direct comparison ) . lobby convention naming room old Hollywood star imply hip atmosphere get nowhere near room . institutional green wall old flat - pack cabinet interior decorate . , not spend much money , place feel safe , staff friendly not vacation New York hang hotel room . say do job well need . 
 Jun 9 2008 	 home away home Chelsea Pines Inn 	 Chelsea Pines Inn , wonderfully locate West 14th St NYC , get detail right . staff personable friendly , yet sense value privacy . room movie star theme ( instance , Kim Novack room ) , complete movie poster star door . towell thick , bed comfortable , light flatteringly adjustable , vintage building allow great audial privacy ( thick wall floor ) . hotel , often hear neighbor sneeze , shower , etc . it walk ( lift ) , prepared schlep bag stair . coffee freshly bake bread offer morning . amusing informative news sheet ( Chelsea Morning News ) slip door dawn current detail importance : weather , local eating / drinking / gather establishment , event city . find daily missive thoughtful touch . the location ideal : close subway , easy walk distance Chelsea , Greenwich Village , Chelsea Piers . even movie star cat , Charlie Chaplin ( black white ) ! 
 May 31 2008 	 great stay ! 	 love stay Chelsea Pines Inn . convenient part town ( 14th Street 8th 9th Aves ) within walk distance Soho , Greenwich Village etc close subway stop . hotel clean room ( Ann - Margret room ) everything need : safe , iron board , aircon , ipod charger etc . staff friendly helpful , complimentary breakfast bonus . downside staircase - prepare trudge stair luggage unless request & amp ; pay low floor ! overall though great stay price , would stop . 
 May 28 2008 	 Perfect Value Perfect Place 	 place amazing . stay Tony Curtis room . bathroom clean wonderful . direction inn helpful 's centrally locate easy get . find staff friendly helpful . lot great recommendation restaurant thing . continental breakfast life - saver hearty good . room small , not mind . really clean , however , air conditioning work well along big window open . room 2nd floor back really perfect . view garden quiet really wonderful . sad come home ! will definately return . 
 May 9 2008 	 Lovely Hotel Heart City 	 hotel good value much well traditional tourist hotel . location excellent actually feel stay real ny . room spotless comfortable staff friendly helpful . one minor complaint lack breakfast one morning easily forgive consider selection every day . highly recommend anyone want stay small comfortable hotel great value price . 
 Apr 26 2008 	 Bargain Twice Price 	 CPI favorite inn NYC . everyone welcome diversity visitor morning coffee breakfast room interactive event want -- be force dialogue B & amp ; Bs . fresh pastry bagel bring every morning 's well attend staff ; therefore not crumb , banana peel , use mug ever compete space table . owner , Jay , even make fresh bread every morning . the staff extremely kind , generous , helpful room elegant simplicity clean clean clean . neighborhood full restaurant convenience property less block away subway . CPI wonderful place call home city -- upon return day work touring , chocolate , cookie , tea . elevator , lot luggage , staff assist ( carry bag ameliorate guilt discover bottomless cookie chocolate jar ) . ' ve stay almost every room inn , one retro treat movie poster age past . room face street white noise machine , block well ambient noise . guest room across bathroom bit noisy , though , overall quiet inn 's personalize intrusive service . 
 Apr 19 2008 	 excellent location good value neutral service 	 location , confluence two three intriguing neighborhood , spit distance subway station ... ideal . even pretty quiet night ( room face street ) . patron grown - up well - behave type , party sound . local daycare let kid play 9AM -- 's nice noise wake to . I think may remodel recently , notice shabbiness previous reviewer mention . ( husband say think little rough around edge , though . ) yes , enter lobby little mustiness -- think may dryer site not vent well , though ' m sure . upstairs room ( climb 5 flight time day bad long know be ) bone dry . there great element -- quality bed , excellent sheet . mini - fridge without usual expensive impulse snack . varied fare continental breakfast . thoughtful list three event / location note , slip elf door night . there lack -- hook , towel rack , phone book . big deal , thing would make extended stay little easy we . small space , course , creative bathroom fixture placement -- not obese expect fit certain important bathroom niche ! guy clean room friendly genuine . guy work desk unfailingly polite , patient helpful . general , though , warm vibe . kind like -- efficient waiter . guest happy , certainly . see least one previous reviewer note little chatter guest , guest staff . maybe NYC , ' m closet Minnesotan ? think campy decor make expect little ... chatty , casual interaction , human warmth , give take , laughter . one owner go way help we . owner , well -- make feel way day hotel , time . like living room . in general , would describe tenor service reserve ... standoffish , depend like interaction vacation . it bother little woman seem work hotel . * exclusively * gay male clientele , apparent lack woman employee ? definitely book stay want decent value great location , seamless NYC stay . , want spend much time hotel room city ? would think twice single person travel alone , want make friendly connection people . go Toronto : ) 
 Mar 24 2008 	 Great Hotel 	 stay short break would highly recommend . complimentry brekkie morning nice touch great way mingle traveller . its central would like look middle . underground station corner set transport . hotel lovely room snug clean . guy reception name Rickie Poe , hope spell right real character friendly great information , really make stay little jewel call Chelsea Pines well worth . 
