much 	 stay wharf hilton 9 day ; check good smooth even immediate upgrade ( HH diamond ) possible due fully book hotel . checkin staff manage get we upgrade 3 day later promise still nice surprise . first room topfloor hardly noise neighbours nice view part san fran . upgrade room first floor noise upstairs neighbour expect old building ! hotelroom ( ) spotless , clean well daily basis anything need provide housekeeping . maintenance good amenity check supply every day stay .All one good hotelstay san fran past 20 year visiste city frequent basis .Our stay certainly give we good value money ! breakfast buffet ( continental - ) complete fresh ; one want warm food egg pancake , surcharge 10 $ never try .restaurant open breakfast choice eat plenty area .Area around hotel safe streetcar cablecar one get quickly downtown san fran shopping . minus observed member front desk staff certainly work & quot ; people skill & quot ; remind mangement hospitality business minus we . 
 Feb 28 2008 	 convenient localtion clean room bizarre experience lobby concierge 	 check Hilton Tuesday night two night stay . read previous review not expect much , stay free Hilton Honors Points , can not complain much 's free . check - in efficient pleasant , reservation order . our king room clean , much large expect , quite comfortable . review note , be unfortunate mini - fridge . coffee maker coffee supply . the bathroom clean supply Crabtree Evelyn toiletry . towel generic hotel towel , decent size nothing special . one bow shower rod curtain not stick -- nice feature many hotel seem adopt . the bed quite comfortable . room also desk comfortable upholstered chair ottoman . view window basically back hotel side block , although quiet hear street noise all . our first morning could get lukewarm water shower . call front desk say turn temperature boiler , wait ten minute hot water . call back ten minute later ask hot water , offer move we another room check hot water want . time water warm enough take shower -- hot , acceptable quick shower , opt keep room rather pack . experience problem follow morning steamy hot water . fact front desk call back verify water heating offer move we room verify hot water give two major thumb up . we breakfast buffet lobby restaurant morning . service generally adequate , food varied good . the location perfect , easy walk Fishermans Wharf North Beach . UPS Store half block away need ship thing home . our second night want go japanese Steakhouse Japantown . ask lobby concierge could book we someplace . seem completely unfamiliar japanese steakhouse , keep try steer we korean , chinese , sushi place . try explain look Benihana type place , not understand refer . finally pull Blackberry find one . think absurd quite puzzle concierge fairly large tourist hotel major city not know Japanese Steakhouse , seem never hear chain restaurant Benihana . although minor inconvenience mention , feel overall staff truly try give guest pleasant stay , would return recommend . hotel certainly worth slightly discount rack rate . 
 Feb 21 2008 	 Beware - overbook may room ! 	 travel lot business need add stress wonder whether hotel room wait end day . I book room Hilton - San Francisco Fisherman 's Wharf receive confirmation number Hilton . I arrive hotel 11:30 pm find room , able offer room nearby inferior hotel . person position , another lady reception exactly time story . I wonder many guest overbooke turn away early evening . well do Hilton Fisherman 's Wharf ! 
 Jan 26 2008 	 Fantastic ! 	 stay hotel exceed expectation . staff friendly helpful . room sparkle clean , bed divinely comfortable front desk respond request incidental promptly . pour rain hotel provide complimentary loaner umbrellas ( save we ) . would definitely stay . 
 Jan 21 2008 	 expect awesome due price pay 	 stay 3 night 1/12/2008 - 1/15/2008 ( Saturday - Tuesday ) . book bidding site get room $ 60 + tax total rate per night $ 71.our room 2nd floor ( 3 floor street level ) , face inside courtyard . room nice . per Hilton 's standard , comforter pillow . king size bed soft , might personal preference . room also feature nice sitting area , clock radio could hooked mp3 / ipod player ( note charge ipod ) , standard tv , plenty cabinet store stuff , tub / shower Crabtree & amp ; Evelyn toiletry ( excellent ) .We problem furnishing equipment . everything room expect and/or operate correctly . since room face inside courtyard , street / road noise , although hear people we walk around room . I wish room mini - fridge . find Cost plus market street amazing selection wine . unfortunately without mini - fridge force use ice bucket chill wine . make matter bad , ice dispenser floor break entire duration stay . venture 3rd floor fill ice bucket . as property , observation fact . room Hilton 's non - smoking . smoke either venture courtyard onto street . confusion , courtyard several patio table chair couple lounge . courtyard like one would find adjacent office building Hilton . patio heaters courtyard , none operational visit . additionally , hotel feature restaurant , bar exercise room . not try review available . multitude excellent restaurant SF , desire eat hotel . exercise , walk everywhere rent bike day . hotel Wharf area among multitude hotel therefore area touristy . girlfriend 's first visit SF , appreciate near Wharf cable car line . overall par Hilton 's , still meet need . get room ' sale ' discount rate hotel great deal . pay Hilton 's standard price may disappoint . 
 Jan 15 2008 	 Noisy nice 	 book hotwire $ 79 , great rate area . however , find reservation good first floor , street side room , awful window let huge amount street noise . also , entire hotel could use coat paint . add , employee check we treat we like & quot ; unwashed masse , & quot ; unworthy staying , confine & quot ; bad & quot ; available room , undeserve breakfast voucher . prepare $ 32 night parking fee , probably typical area . though view , location excellent , Aquatic Park beach walking distance . 
 Nov 14 2007 	 great location wharf area 	 great location wharf area 2 block away . near cable car start right wharf area . people state street noise high ... yes ... city anymore anyplace else . notice could hear people walk room bad . plenty restaurant around take suggestion hotel go Pat 's Cafe around corner good filling . also Denny 's one block away ( 24 hour ) cheap eat time day night . lobby nice bed comfortable nothing fancy . typical Hilton ok book . clean , basic typical hitlon stuff . if one complaint , would wait Conceireige ( sic ) desk get luggage storage people desk finally look stood , call take get unlock luggage storage closet . beleive busy something ok . guy go wave cab could get one due big Oracle conference . give bus number could get Caltrain . finally get cab way Caltrain , people every hotel try wave cab . 
 Nov 2 2007 	 Exceeded Expectations 	 stay three night Hilton Fisherman 's Wharf 10/14 - 10/17/07 . first visit area tear stay Fisherman 's Wharf stay town . hotel location perfect walking activity / restaurant Fisherman 's Wharf , ride trolly car Ferry Building walk distance cable - car turnaround . hotel staff could not pleasant helpful . find restaurant great quick breakfast full day activity . room beautiful housekeeping staff excellent job keeping room clean stock necessary toiletry . housekeeping staff even replace showerhead first day without we even request . think water pressure low effort save water -- -the new shower head prove theory wrong . would highly recomment hotel would definatley stay future trip . 
 Oct 18 2007 	 Nice hotel 	 stay hilton two night part Caravan tour . unlike viewer say hotel noisy , stay section face courtyard , room quiet .. other group face street comment bit noisy ...... room clean relatively new , staff pleasant helpful , go way help us problem piece luggage damage airport ... location fine want near fisherman 's wharf , choice , would stay near union square , think well location overall .... nothing bad say two story hotel , everything fine , include breakfast quite good . 
 Oct 18 2007 	 okay place - good - thing aware 	 pay $ 99 hotwire -- great rate big city within walk distance attraction ( fish . wharf particularly ) -- parking steep ( even steep lombard street ) -- combine room & amp ; tax , still seem reasonable -- service slow ( other note ) -- make sure get rightsize bed -- fault specifiying , request change ........ unless stick bargain payer room 2 purpose ; - ) -- - room fine otherwise not usually need much 
 Oct 4 2007 	 great San Fran ! 	 trip first stop twin centre holiday America , second stop Las Vegas . decide stay Hilton Fisherman ' wharf primarily due reputation Hilton chain , arrival disappoint . locate 2 minute wharf find lot restaurant , shop bar . hotel nice size room large 2 people extremely clean . nice bar find concierge desk extremely helpful need question answer area . intend see sight San Francisco tourist office end road overlook wharf offer lot different tour really good price . decide book bus city tour pay $ 80 . full day extremely well organise knowledgeable bus driver . one trip miss course Alcatraz . however hear Alcatraz tour get extremely busy decide book leave UK . would strongly recommend queue long people pre book would miss ' get visit . the trip decide book leave UK day trip Yosemite National Park . boyfriend ' seem keen 5 hour coach trip arrive agree well worth long day ( 15 hour ) . park amazing definitely worth see like take odd photo ! ! ! ! even get see bear ! would advise dressing light though weather different San Fran , almost always need jumper . although park huge people stay lodge week order explore park day trip allow enough time look amazing scenery waterfall . even time raft stretch river . book tour website call Extranomical Tours pay $ 120 . still ' believe cheap . definitely highlight holiday boyfriend still talk amazing . ' disappointed . finally , like good restaurant try book table leave UK boyfriend birthday , hear good thing restaurant call Garry Danko try get we table . even 2 week departure could offer we 5 pm slot , decide turn end . however restaurant 2 minute Hilton say good San Fran local . would highly recommend book early . however visit Farallon ( kindly book us concierge desk ) . Farallon underwater theme restaurant specialise seafood definitely well worth visit make we miss visit Garry Danko . San Fran amazing place visit would definitely like return . 
 Aug 29 2007 	 probably well option area 	 party 2 adult , 2 kid stay weekend getwaway ( 2 night ) . Hilton member , try stay Hiltons time . unfortunately , wish stay Hyatt next door . not expect much , not like cheap hotel . linen nice , bed way soft . street noise quite loud 2nd floor room could hear noise hallway room next we clearly . also , toilet overflow fix , never work quite right . breakfast Vintners decent , not change . would think would vary little day day . front desk bellhop cordial , nothing way . the great thing location . walk distance wharf , cable car Ghiradelli , many option area . despite Hilton Honors member , may try Hyatt next time area . 
 Aug 8 2007 	 worth recommend location get good price 	 agree review commend tourism location hotel ( 3 block Fisherman 's Wharf , Pier 39 , etc . direclty terminus Powell - Mason cable car line ) . disagree overly critical review room hotel quality -- least 4 night stay not experience break fixture , poor water pressure , poor cleanliness -- room clean everything work fine -- decent sized nice bench window . small hotel not top lobby like Hilton tower large propertie major city . bed average -- think call & quot ; Hilton Beds & quot ; upgrade linen , f eather pillow , etc . toiletry good quality . flat screen tv yet , room clean , well furnished , upscale . parking hotel area , however , outrageously expensive , ie low $ 30 per night . restaurant continental breakfast Hilton may give coupon member Hilton HHonors program -- call ask . , tourist location , worth recommend hotel get good ( ie imo $ 200 less ) discount rate . 
 Jun 4 2007 	 worth ! 	 book hotel Hilton reliable , comfortable , clean hotel chain . hotel ( motel ) ' ve ever stay , one thw bad , Hilton , raise rebuild . restaurant open 10 , room service question night . room smell like mold . toilet leak , shower water pressure noise street keep wake . furniture , good , shabby chic . can not even believe Hilton Hotel ... staff nice , not really much way make feel welcome comfortable . especially get bill . $ 200 charge not even make — room service , never order , parking charge , not car , double billing internet . place worth , good , $ 45 night , $ 200 + . recommend place one . 
 May 30 2007 	 Location location location . 	 cap visit San Francisco May one night Hilton Fisherman 's Wharf . take advantage Hilton HHonors point stash away , end pay parking one - night stay . room top floor surprisingly large featured amazing view downtown skyline southeast . Hilton Fisherman 's Wharf 's location . nestle heart San Francisco 's tourist district , Hilton great choice look take sight sound city . Fisherman 's Wharf , Pier 39 , Ghirardelli Square , Lombard Street cable car turnaround block away . chinatown , downtown , & amp ; Park attraction bit easily reach via trolley , cable car taxi . location come price though hotel Fisherman 's Wharf district carry pricey nightly rate . add parking ( $ 32 per day Hilton ) cost visit one expensive city U.S. add fast not plan well advance . the hotel staff friendly helpful . question surround area include direction transportation option easily happily answer member Hilton team . front desk short - staff check - in though one agent processing check - in answering phone line four group waiting help . would definitely stay Hilton Fisherman 's Wharf area , especially additional HHonors point spare . one - night experience pleasant could not ask well location Fisherman 's Wharf area . 
 may 28 2007 	 middle class hotel tourist center = ok 	 hotel strike proximity Fisherman ' Wharf , next Hyatt , Marriott Holiday Inn . walk minute away touristic heart city . ' walk approx . 15min . crookedest street ( Lombard St ) another 15mins . Little Italy / Chinatown . cab ride back Union Square , heart city cost approx . $ 9 take 10 min . walk ' kinda exhaust ' go , sometimes steep . our room 3rd floor face daylight busy street ok 3 adult incl . rollaway bed internet charge , Iron board , inroom safe . everything standard , business lounge nothing outstanding helpful front desk clerk . female concierge need bit enthusiasm . suggestion gladly decide take Cablecar Fun Tour last 2 1/2hrs cost $ 25.- p. person . absolutely recommendable short way sightsee city coach , fun way . restaurant Fisherman ' wharf obviously cost 15 - 20 % elsewhere city ' always good choice . european enjoy good espresso / coffee 3 - week USA - crosscountry - trip Café Roma Little Italy . selfparke hotel garage cost $ 32 , valet $ 35.- per night . ' small exercise room treadmill exercise machine , limited amount dumbbell . ' outdoor pool . ' forget bring jacket trouser even summer time might chilly wind . 
 May 25 2007 	 Great Location 	 average hotel , GREAT location . stay get rocky start find roll away bed reserve would cost additional $ 20 per night . also provide breakfast three person reservation 4 . take matter hotel manager , give breakfast fourth person room charge roll away bed . at first rate hotel would issue begin . find somewhat odd front desk personel button & quot ; want make stay 10 & quot ; could would anything take care issue request manager . for part stay find front desk people friendly . would say hello , speak first . concergie helpful bell staff . our 3rd floor room clean pretty quiet night even though overlook city street below . the true beauty hotel location . short walk Wharf & amp ; Pier 39 one way couple block cable car stop . alot walking find easy get around . would stay Hilton , clean convenient . service would expect Hilton . 
 May 13 2007 	 Good Location 	 stay Hilton Fishermans Wharf part complimentary trip receive San Francisco . the staff helpful we , reservation non - existent first arrive . miscommunication company book hotel , Robert helpful get everything take care forus . hotel nice , great location . room quite nice , overlook courtyard . able walk Ghiradelli Square , Pier 39 . trolley close enough hop go see sight . close restaurant , nightlight , etc , great we well . park $ 32 / day , seem high charge internet $ 10 / day , San Francisco , expect somewhat . overall stay great , would stay Hilton . 
 May 11 2007 	 great location wee bit noisy 	 stay two night husband 12 year old daughter . spend 2 night hotel suite , feel bit cramp room even though good size . room clean bed comfortable ( although one sag bit middle ) .The valet parking nice touch staff contact pleasant . the location hotel wonderful . block Fisherman 's Wharf shop restaurant . dining option San Francisco , not eat hotel . my complaint room rather noisy - even window shut . hotel process renovate hopefully take care problem . 
 May 1 2007 	 good location average room 	 use HHonors point book free room two day include New Year 's Eve see firework Fisherman Wharf . upon check - in HHonors status recognize upgrade corner room second floor . also give breakfast voucher continental breakfast small restaurant main floor . room small usual standard Hilton room quite dark tone . bed however quite comfortable despite room age . single room bathroom well stock usual Evelyn & amp ; crabtree product . good thing room nice large window 's sill use place sit read nice book watch action fold street ) .The continental breakfast muffin bagel juice fruit . equal foot four point certainly caliber 4 star Hilton . we issue checkout bill regard parking fee use . however , issue promptly resolve front desk . the location Hilton quite good . block Fisherman Wharf . close enough action , yet far enough peace quiet look . 
 Apr 20 2007 	 Great Location Clean Rooms 	 arrive Thursday 10 . room available - check not 3 4 . however , another relative travel we receive last room store luggage room want drive wine country day . drive Golden Gate Bridge get wonderful Sonoma . not far hotel . however , go napa far two . let anyone tell close - . drive Napa back hotel . easy hotel location navigate . close Wharf Pier 39 block way Ghiradelli Square . major renovation . close hotel Denny 's restaurant . hotel close Marriott Holiday Inn . hotel old well keep complimentary coffee room . & quot ; view & quot ; hotel tall . parking garage attach charge $ 38 per 24 hour time frame . fortunately , arrive 7 pm leave 7 , park $ 18.00 . would recommend hotel location . 
 Mar 6 2007 	 Best Hilton Good Location 	 , far , good Hilton ' ve ever stay far decor ammenitie . , good location , large room sufficient need . use Hilton Honors Points 3 night stay free pay cash , would fork wanted room . concierge slightly rude breakfast host / waiter rude . 2nd floor could hear person we walk / stomp around could hear tv . could tell get every morning stomp noise . also , could tell come bed night stomp / noise lack thereof .... husband 's big complaint serious lack hot water shower morning . take evening shower nice hot complain cold morning . finally take one morning shower find right . water go completely cold 1 minute . front desk , give wrong info twice ask shuttle direction . even argue amongst direction - funny ! really nice person female bartender . final day , give try interact staff . rush thru lobby room vice versa leave . would stay enough point stay free . 
 Jan 20 2007 	 wonderful hotel ! ! ! ! ! 	 stay hilton fishermans worf 10th feb 17th feb would recomend anyone wish close main attraction san fran . room large comfartable tea coffee make fercilatie . staff could'nt enough rang room service flash , want taxi would one wait . usally beckfast hotel tipical american huge portion delish ! ! ! ! ! . room enterance court yard small area could go sit sun glass wine allway friendly people could chat to.what fantastic holiday hilton fisherman worf . well do hilton fab hotel ! ! ! ! ! ! . 
 Jan 2 2007 	 small Room Bad Food Great Location 	 stay 5 night 5 week stay USA . location great , walk distance Fishermans Wharf . not find noisy . expect large hotel little shocked find 3 story high high hotel build area . we give room 2 double bed , feel like single could fit 2 people ! ! room really small bathroom tiny . stay Hiltons trip way bad . order room service couple time quality really terrible ! food either burn raw nothing taste nice . staff friendly hotel keep clean . location perfect . room small stay away room service ! ! 
 Dec 27 2006 	 Great Location 	 stay hotel visit SF conference . quality hotel expect Hilton . hotel excellent location Wharf feel safe neighbourhood even late hour . 
 Nov 16 2006 	 Decent would upset pay full price 	 book three night via Priceline . check quick front desk staff friendly . room size bite small side , view wall courtyard . room 2 double bed , small desk , seem fairly recently renovate . window open foot however , nice get fresh air room . shower bathroom light first 2 day , sudden full power last day , odd . figured & quot ; green & quot ; showerhead not complain . bad part morning , ( Sunday Monday ) loud bang start around 7 8 . enough wake keep get back sleep . sign outside hotel say construction , not click call front desk 7:30 Monday complain noise stop within 2 minute . side note , friend priceline bid price star level ( 3 ) receive Holiday Inn across street . room not nearly nice Hilton . need renovation sort dingy . satisfied overall stay . 
 Nov 8 2006 	 Disappointing 	 husband stay 3 night tour California Honeymoon . honest , find interior hotel quite date grubby . staff friendly helpful . issue voucher breakfast , big deal drama every morning get , even though repeatedly promise slip room door evening . also room dirty . small dirty , feel really uncomfortable . ' bar ' atmosphere resembalance bar . lady sit tourist info desk , far rude person meet America . would not even let we use phone find car hire company relocate , need know find . end go Hyatt hotel around corner help we ! ! ! ! much nice hotel way . would not stay Hilton , would advise anyone stay . dirty unhelpful . 
 Oct 11 2006 	 Excellent Location ! 	 like reviewer , think hotel excellent location San Francisco . go San Francisco first time weekend visit , hotel perfect location . 2 - 3 block actual waterfront area , great deal noise people hang , close enough walk restaurant shop . middle downtown either . also close Chinatown / North Beach area great little cafe restaurant , great truffle place ! yum ! give first trip SF , want see much could city spend much time actual hotel . get hotel , offer free upgrade big room , end handicapped - accessible room . actually great thing everything big - bathroom , bed , doorway , especially open space . everything clean . view speak , , spend time room stare window . people front desk helpful suggestion tour restaurant . self - parking $ 28 day privilege high - speed internet access $ 10 day . pool exercise room , neither use . also restaurant bar lobby , , visit either ( neither vacation SF - ton great restaurant around city ! ) .I would definitely come back . area , also Holiday Inn , Marriott , Hyatt , Sheraton , might also want consider hotel well location main attraction . 
 oct 9 2006 	 Beautiful Hotel Great Location 	 husband decide take small vacation San Francisco decide stay Hilton Fisherman 's Wharf . love hotel . clean , staff nice helpful , hotel great location . block away Pier 41 Pier 39 , short walk Cable Car stop , 15 - 20 minute walk away North Beach , tour took pick we right front hotel . lastly , 20 minute airport . helpful tip : shuttle van take to / from airport $ 14 - $ 15 . make sure allow enough time get airport , though , since van usually make several stop get airport . also , hotel computer lobby check flight , check flight status , helpful . book hotel Hilton directly via phone get well deal anywhere online . bed Breakfast package ( 2 ) $ 209 per night ( plus tax ) . breakfast full buffet breakfast good . good deal reputable hotel could find . highly recommend hotel would definitely stay . 
 Oct 5 2006 	 nice clean 	 room nice clean small . twin room come 2 super single bed ( small queen size ) . additional removable bed extra charge . price room include breakfast . little bit noise traffic street . reception staff friendly helpful , other reluctant help . hotel tie - up Avis . rent car Avis hotel . reception staff concierge agree allow we drop key would return Avis ( 2 block away ) staff duty next day say able . tell concierge leave Monday nobody stand ! last day , receive 2 hotel bill slot door - 1 room another another room ! 2 negative experience . housekeep everything else good . overall , decent hotel , average value money , expect well service front desk staff . 
 Sep 7 2006 	 great service nice hotel 	 say ? hotel nice , well anticipate lot negative review read hotel near Wharf . decor decent , terribly exciting much well average - bed plush , plasma nice touch , bathroom large average San Francisco standard . not hear outside noise , sleep great , staff gracious accommodate . 's little tip - upon arrival , son whisk away wrong room . change computer , desk clerk unaware fact actually oversized room ( pay extra booking online ) . insist wrong . perhaps new ? call 800 number inquire dispute yes , oversized room not fairy dust . the manager promptly move we room choice - nice little sit area near window - ( couch ) , save money stick standard room . nice even wee bit cozier . would definitely stay . one last thing - accidentally order web tv hotel prompty take charge , without question , addition questionable charge . service definitely number one . , attitude pretty good perhaps be get give sort deal . also , bell hop nice , , overly ingratiate genuinely helpful . let park car outside extend amount time settle . 
 Aug 19 2006 	 perfectly serviceable 	 Stayed one night recently en route wine country find staff friendly welcoming . hotel close Fisherman 's wharf many wonderful restaurant . high rise , two three story , room fab new W - style Hilton room instead offer clean , sturdy place stay . away elevator street everything quiet . parking garage around $ 40 night rental car . breakfast next morning bufet . decent include room rate . 
 Aug 14 2006 	 great location hotel - awful noise ! 	 stay Hilton Fisherman 's Wharf four night begin August . receive warm welcome reception staff , friendly helpful . parking valet also happy help . elevator little old slow worried claustrophobic girlfriend . stay second floor room 207 , twin oppose King request . not bother we tired fuss . room clean well - appoint . excellent range toiletry bathroom . night , realise window back onto main road suffer break clasp - thus , around 90 % outside street noise allow room , make difficult sleep . end , resort ear - plug . location hotel fantastic , sufficiently set back Fisherman 's Wharf avoid crowd . around ten minute walk Pier 39 . one day walk Union Square probably take we hour , stop en - route see Lombard Street etc . return room one day discover maid leave door open ; however , luckily nothing take . intend complain completely forget time check . would definately stay Hilton Fisherman 's Wharf , would certainly stay Room 207 . go one around corner opposite lift ( start room 220 believe ) . 
 Jul 15 2006 	 stay ! ! terrible service . grumpy staff . 	 family 6 stay 3 night . 2 room small double bed . street noise awful ! room small . breakfast include room charge . bathroom room need update . bathroom light terrible buzz 's . internet reservation confirmation Hilton say internet free ; hotel staff say not . battle . charge we tax parking garage fee ! confirmation either irritable grumpy desk clerk say would credit we amount . give we receipt , look like charge question . say credit . get VISA statement . guess ? charge we ! ! battle fight . front desk staff grumpy attitude . hate much ask check day early want charge we $ 75 per room stay . never stay . also , ' ve contact Hilton twice problem yet receive response . not stay ! be bad ! 
 Jul 11 2006 	 noisy neighbour 	 stay hotel three night june find hotel clean tidy reception give reasonably warm welcome ask quiet room fly scotland long flight say hotel full although inward face room look directly onto think air conditioning unit therefore constant buzz unit turn airconditionig noisy night however might well keep afraid could people upstairs indulge sex every night stay little putting say least something want hear stay hundred hotel never subject . area nice handy tourist breakfast reasonable enjoy stay san francisco go las vegas wedding orlanda 
 May 24 2006 	 enjoy stay Hilton 	 get hotel Priceline , stay 3 night last week . request inside room ( face courtyard instead street ) 2 bed , get exactly request ( not sure would , since get room Priceline ) . room quiet , street noise noise neighbor . also clean , quite large . 2 double bed , loveseat , even rollaway bed move room , still room spare . pleased . fisherman 's wharf hotel , right wharf , be set apart tacky , touristy stuff . location make quick walk back night - time Alcatraz tour , even dark feel totally safe . 's close bus line cable car turn - around , great location we . staff always helpful polite whenever question . would gladly stay Hilton next visit San Francisco ! 
 May 5 2006 	 good hotel noisy 	 1 night . room large clean staff polite helpful . the problem room top level locate directly air conditioning gear make night bit like sleep cargo ship next machine room . we check late leave early want change room stay long , would definitely ask another room . apart problem , excellent hotel . 
 Apr 6 2006 	 ask room inside 	 room outside hotel noisy . ' ve stay several time business always ask room look central court yard stay room noise traffic keep awake . good location Fishermans Wharf cable car plus irish bar road not bad . 
 Mar 21 2006 	 nice place stay 	 husband two child ( 8 & amp ; 6 ) stay Hilton 3 night . room clean location good close public transportation tourist sight . room face Jones Street window insulate hear lot street noise . , enjoy stay . 
 Mar 13 2006 	 good hotel 	 4 night . room nice , big , clean . staff good . only negative front desk staff could not tell we local car rental outlet ( turn 2 block away -- Avis , Hertz , Enterprise ) .The neighborhood not great . busy night seem bit dodgy end Columbus Ave . would not walk alone night . fairly flat walk Columbus way downtown wish . take 45 minute . it be 5 - 10 minute walk Pier 39 , wish visit tourist trap . Ferry Sausalito smidge close ( highly recommend trip ) . head way 's 5 - 10 minute twisty bit Lombard Street . 1 - 2 block either way either Cable car line ( $ 5 one - way ) . # 30 bus ( $ 1.50 ) go straight downtown # 15 stop reasonably close way back . the restaurant hotel skip . lot over - price option waterfront , wander Columbus Little Italy . 
 Feb 16 2006 	 great location need upgrading 	 apent fwe day way back UK Hawaii . great location staff friendly helpful . room little jade great suprise noisy location surround busy road double glazing . indeed exist widow fit properly noise penetrate easilly . ask room front hotel back get noise 
 Feb 13 2006 	 Great Location 	 first timer San Francisco , really lucke location . central enough could walk place . hotel clean & amp ; staff great ! room nice date great place comfortable stay San Francisco . 
 Feb 6 2006 	 great Little Getaway 	 stay couple night great little getaway . stone 's throw walk wharf 5 minute walk Chinatown . location excellent , easily accessible hotspot without noice foot traffic . hotel nice , quiet clean . great continental breakfast buffet premier member ( think 5 dollar member ) enough breakfast goody get go . decent happy hour staff nice courteous . would stay , hand . 
 Jan 2 2006 	 well expect 	 find Hilton location enough wharf away craziness noise . room clean staff helpful . small hotel feel . stay Argonaut find comparable . 
 Oct 21 2005 	 Decent Best 	 depending look , Hilton & quot ; OK & quot ; . want stay near Wharf , hotel 3 minute walk away appear one nice property area . location , Hilton nothing special . room size fine decor look contemporary photo , hotel smell musty over - disinfect . additionally , lighting room non - existent . bathroom light okay however . service pleasant well . 
 Sep 7 2005 	 Location location 	 Stayed night recently work touring . location good location Marriott across street Hyatt right block . take Bart airport Powel Street ride cable car ( get right one ) hotel . hotel less block start cable car line . kind cool way commute sightsee time . car prepare pay big change park underground garage . the hotel okay , good . stay Hilton Hotels around world one nice one . draw line mold mildew crawl shower curtain - replace immediately call front desk . easy fix tile , though . good point location , fairly large room size , quiet . bed pillow good although Hilton radio gadget advertise sound tinny pushbutton volume control - will bet Hilton exec not use baby home . hotel personnel okay front desk people short time . can not recommend windowless restaurant hotel food barely warm even though selection bad . okay , will try Marriott Hyatt next time ' m look brand name around here . by way , go rent bike would really recommend Bay City rental place Blazing Saddles . bike Blazing junker compare Bay City bike examine touring . 
 Jul 22 2005 	 good location outstanding 	 ( family four two boy age 12 14 ) stay 4 night early July . good friendly service room ( two double bed ) okay - bit dull little extra . bathroom smallish . overall bit tired looking . however serve purpose well . hotel good location - public transport easy - bus cheap get main shopping centre Union Square clearly walk Fisherman 's Wharf . carpark rate hotel $ 28 per night - not need hire car much stay - hire last day fine . Taxi airport c $ 50.We really enjoy buffet breakfast dine Denny 's road two day run find hotel breakfast ( $ 15 per head - half price kid ) extremely good . kid love Exploratorium - easily access public transport - need least 4 hour justice . kid love Alcatraz ride tram . ever cheesecake Factory top Macy 's great place eat - great choice , good food , good value queue bad . love San Francisco - well worth trip across Golden Gate Sausilito . Northern Ireland family 
 Jul 12 2005 	 Nice Time 	 return home trip west coast , first 4 day spend hotel . room , hotel , neighborhood nice clean . location hotel also good . downside fisherman 's wharf touristy hotel quite pricey quality . people front desk helpful . room ready arrive allow check 2 3 hour early . overall , would definitely recommend someone stay area . 
 May 31 2005 	 O.K . terrific ... 	 spend night Rohnert Park Hilton , spectacular ! staff assure we like Rohnert Park Hilton , would LOVE Hilton locate Fisherman 's Wharf . wrong ! ! pay $ 200.00 per night room ( parking garage additional $ 28.00 per night ! ) , would rate simply acceptable . room not large , clean . old hotel , show . Rohnert Park , breakfast include price room , parking free . bed comfortable , street noise keep we night . enjoy fact close action Fisherman 's Wharf could walk ever choose go . staff also helpful direction . however , really not think hotel worth charge . think would stay somewhere else next visit San Francisco . Randi 
 May 27 2005 	 good hotel 	 solid 3 star hotel . good size room ( get executive king room , ) clean , decent furniture , comfortable bed pillow . although could definately use new bedspread blanket ( clean , outdated worn . ) handicap room ( reason ) bathroom huge . water pressure shower pretty low . Location awesome , block Fisherman 's Wharf . staff helpful polite , go way make recommendation place eat . ' m Honors member , tell reservationist ( 800 number ) upgrade executive level , would separate floor ( less child ) include breakfast . get , find 's case - since be small hotel , not executive level . however , manager not hesitate give access free breakfast avoid situation , appreciate . window thin hear traffic somewhat , not bother we . not hear neighbor , could hear walk around floor us - not disturbing . overall hotel good , solid 3 star . perfect location price pay . would not hesitate stay . side note , staff recommend Bobo Quivaris dinner ( sure spell , ) - good filet mignon ' ve ever live ! ! food OUTSTANDING , atmosphere wonderful - eclectic , overall incredible place dine , highly recommend . also go Aliotos restaurant Wharf ( pier 43 , think . ) service absolutely awful ( among bad ' ve ever , ) food ok - would not recommend . however , feel waiter bad , other , would not go find . 
 Apr 27 2005 	 Hilton San Francisco Fisherman 's Wharf - Superb 	 SUPERB Hotel . New Management really make tremendous difference service standard . wonderful Location . newly renovated . clean , large room accessible facility . convenient in - room safe plenty space . Excellent Service Front Desk , Concierge , Housekeeping Room Service . wife recently knee surgery , location important . location BEST ! taxi Wharf Pier 39 $ 5 easy enjoy rest Hotel afternoon go dinner . it easy plan enjoy vacation family location . Fisherman 's wharf 3 block away . Tour Alcatraz must visit , make reservation get San Francisco . cable car turnaround close hotel great way journey quickly Union Square area Macy 's , etc . hotel ' garage easy use less one block petrol station - convenient . hotel 2 block away 24 hour Walgreens . all , HOTEL ! 's superb location allow we get good stay San Francisco . 
 Apr 17 2005 	 Excellent base SF 	 stay week SF ; love hotel . room large clean , parking handy ( drive Stanford daily ) location great . friendly service good breakfast top experience . superb value money ! 
 Apr 2 2005 	 Great Hotel 	 Room average size , clean , excellent location fisherman 's wharf . definitely opt breakfast morning possible , absolutely great . hear noise hall sometimes , part , soundproof night sleep . 
