good 	 make reservation take advice traveller site . arrive 11 hour flight midday , quiet room look court yard ready we . room overly big , clean comfortable bed , great shower clean bathroom . nice decor good amenity . thoroughly recommend Cafe Pescatore adjacent hotel food good . ideally locate Fishermans wharf , cable car , plus supermarket across road . staff friendly helpful ( even buy we English Tea hot water ) .The wine reception great idea nice meet traveller great access free internet access room . 
 Nov 22 2008 	 great stay 	 comfortable enjoyable stay . hotel clean convenient . staff helpful friendly . never go evening wine party look popular . street side bit noisy morning truck delivery . 
 Nov 19 2008 	 Dog - Friendly 	 hassle - free place stay dog . travel small poodle usually , even though hotel say welcome pet , front desk people give certain look walk lobby dog ....... ! ! ! ' ve never stay dog - friendly place . see couple check 3 large dog ( retriever ) apparently not weight limit , maybe limit 3 dog ? ? ? stay suite ....... note consider stay suite .... think mine rather small ask suite size tell , & quot ; be & quot ; . end stay suite busy weekend get view suite directly across mine huge difference ( would guess extra 100 sf ) . , make sure request one large suite , price . dog tend little disruptive noisy side , bathroom fan keep make noise . also , room air conditioner / heater make sound also help mask noise . dog well - behave ' m lucky never hear dog noise . stay , dog ( ) love . 
 Nov 19 2008 	 like 	 room quiet , clean good bed smallnot cheap hotelvalit parking much expencive oke location 
 Nov 19 2008 	 Awesome hotel ! ! 	 stay Tuscan Inn Fisherman 's Wharf San Francisco recently . lovely place midst fast - pace environment ! think Best Western make think ahead stay okay place rest night surprise find cutest place City San Francisco . room adorable everything need . concierge , Hugo Vides , absolute good . welcome wine event 5 6 p.m. nice twist get know other stay . wish would time hope someday return . glad travel agent Liberty Travel suggest . 
 Nov 16 2008 	 Liked stay Tuscon Inn 	 book hotel via booking.com KLM website . go lot review one Frommers Guide helpful . get good rate prepayment KLM website ( link booking.com ) . Tuscon Inn near pier 39 , great location , check easy . staff helpful . room nice , good size quite clean . bathroom big clean well . although alone , room good enough couple . hotel free coffee drink everyday free access wireless internet . adjacent serve nice breakfast . great location hotel . try book anything hotel though , walk pier 39 choice . hotel arrange shuttle airport without extra charge . 
 Nov 15 2008 	 Cozy friendly place stay wharf 	 quick trip SF decide stay could easily walk wharf , pier 39 Ghirardeli chocolate square . choose place primarily base user review TripAdvisor . room nice , cozy ( i.e . fairly small ) well put together comfortable . take everyone 's advice request interior courtyard view ( basically look oppose wall hotel ) not hear noise . we incredibly lucky come weather good . free coffee biscotti morning helped get GF bed . funny run fellow husband elevator bring back coffee wife well . parking crazy expensive , drive LA car - otherwise , really not need . staff friendly helpful - issue . guest foreigner . 
 Nov 11 2008 	 Nice Convenient Hotel 	 stay 4 night mid October , suite cater 2 couple . first room kinda worn , view , could hear noisy a / c unit , bed feel worn , could feel spring press firmly ! ! good ! unfortunately , come rather nasty throat infection , 2nd leg extensive trip , come 5 night Santa Monica , LA . anyway , next morning request another room either street garden courtyard view . big difference ! room get big , toward rear building , long walk lift , well worth . also pleasant courtyard view . room also feel use maybe third much one ! ! perhaps like let ' close lift ' room kind housekeeping ? ! ? big difference though - bed - uncomfortable spring ! ! also , bathroom quite well set , seperate toilet / shower basin , whilst one guest shower another use basin . Decor etc . quite nice fresh looking , would hesitate come back - provide get similar room ! internet provide via pc foyer handy ! ! thing miss gym , reason inclination use gym O / s ! ? service good , albeit bit stoic . dutifully help 130am want hospital nip sickness bud , much appreciated . however , feel little weird , almost uncomfortable couple night , whilst suffer cough fit , decide go downstairs use internet , keep fellow guest awake . upon arrive downstair , find duty manager / staff napping ( guest ? ) lounge ! ! . not bother , feel little weird , like interrupting ! ! anyways , one night come back turn coffee machine restaurant , wonderful waiter / maitre have organise hot drink we big mug ' ve ever see - LEGEND ! ! ! love San Fran - fantastic city great selection restaurant etc , Fishermans Wharf great also - eat Wipeout , waiter honest order ! ! eat Caesars old style italian - fantastic price , also Mona Lisa Columbus awesome Little Italy . unfortunately not get dine hotel restaurant , would say would good , hour service anything go ! can not wait go back SF explore , i.e. berkely Sausalito etc . like architectural history ' Ghost Tour ' Queen Anne Hotel ... fantastic , intrigue history exclusive area city . the hotel nice close Fishermans Wharf attraction , really handy . 
 Nov 4 2008 	 ok price ... 	 book two room Priceline $ 139 , overnight stay fly home next morning . check good , room ready , upgrade problem . room small 4 , apparently & quot ; outside & quot ; room , truck crash around night loading unloading . try tip maid 2 extra towel 4 we huge problem , apparently 4 towel per room ? not want pay mini - bar , frig leak floor . maintenance guy come , blame we turn , locked cabinet ! ask wake call get . one male working desk morning 10/20 rush , rude , check without talk . hotel clean , convenient Wharf shopping . would stay , due noise staff , ok price , would pay rack rate , would upset . 
 Oct 28 2008 	 comfy room Tuscan Inn 	 stay lovely , incredibly well locate hotel 6 night explore hill San Francisco . staff wonderful , room pretty view Fisherman 's Wharf area . bathroom marble luxurious bathrobe really , every detail attend . first arrive 2 am , mixup room reservation man desk competent accomodate - hotel full , find room we , eternally grateful . meet manager , incredibly helpful restaurant area , also lovely person talk . breakfast neighboring restaurant ( attach hotel ) delicious evening wine hour perfect thing day one 's foot . would highly recommend Tuscan Inn base location , cheerfulness staff , aesthetic room general overall service . 
 Oct 27 2008 	 great stay tuscan inn 	 stay three night tuscan inn . easy walk distance fisherman wharf , cable car , streetcar stop ferry building . old hotel small room update nicely . thin walled room . coffee bisquit breakfast . overall pleasant stay . 
 Oct 26 2008 	 love wine 5 pm 	 stay two night August follow flight UK . room ground floor well decorate bit gloomy . come sleep actually help . large enough space case . disappointed coffee make faclitie . breakfast hotel fine , lunch dinner well . lunch time staff miserable evening book age wait table , crowd noisy . we would go elsewhere around 21:00 find place close Hobsons choicethe good part stay free wine eat lounge arond 17:00 , absolutely great warm fire well ! cosy friendly . staff always helpful . even charge error credit card return UK sort grace effortlessly . we use stopover meet bill front . 
 Oct 26 2008 	 Perfect Location 	 first visit San Francisco unsure area stay . Fishermans Wharf perfect . good Western excellently locate , 3 block sea front within 5 minute walk pier 39.the room abit small side , ok 3 night stay . front desk staff friendly dedicated concierge desk guest could book excursion get information . the free wine nibble serve 5 pm 6 pm lovely touch . first thought must catch , reception area pack every evening great place talk fellow traveller . the area feel safe walk around night lot people plenty restaurant bar frequent . I would stay hotel without question . 
 Oct 19 2008 	 Great Hotel Great Location 	 husband stay hotel 4 day . flight come early room request not ready yet . concierge recommend bus tour call see seat available book we tour leave hour . tour fabulous driver wonderful provide excellent information tour . tour end around 2:30 drop back hotel . time room ready . we ask courtyard room light sleeper . problem even though everything San Francisco book people everywhere due start Fleet Week . room extremely clean spacious . carpet bit worn outdate not complaint observation . find staff helpful courteous problem all . we not participate wine social occur everyday 5 lot people every time go lobby pack . however take advantage free coffee biscotti offer every morning lobby . the hotel fantastic location 5 minute walk Fisherman 's Wharf 10 minute cable car attraction . ihop one block eat couple time . our stay pleasant one complaint . would definitely stay . 
 Oct 15 2008 	 Job 	 wife stay 3 night August could not fault want . great location , concierge guy fantastic lovely restaurant attach hotel great breakfast ! bar hotel free wine taste every day 5p.m . ! 
 Oct 10 2008 	 great time San Fran 	 love Tuscan Inn ! book King room , upgrade we King Deluxe arrive . pretty small , ' m sure standard room even small ! , two we perfect . room nicely decorate obviously recently renovate . love . clean , beautiful bathroom , comfortable . staff friendly ( especially Jose ! ) wine hour nice touch ! ! able go one day , great ! hold we nicely dinner wine appetizer . if stay here- prepared walk uphill get anywhere outside Fisherman 's wharf ! ! also use & quot ; F - line & quot ; street car get ferry building financial district ... seem safe , easy , close hotel . spend alot time walk able see much day , prepared hill . some highlight San Francisco area : -Coit Tower , Alcatraz audio tour , Chinatown , Lombard St , Hyde - Powell Cable Car Line ( stand outside ! ) , Golden Gate Park must dos ! -Wine Country Shuttle Tour - go Domaine Chandon , V. Sattui , Rutherford Ranch , Andretti Wineries . great day worth money worry drive , plus really enjoy wineries- different experience ! -Saulsalito - short time , look like great area explore art gallery , boutique , good food.-Punchline Comedy Club - Muir Woods ok- ' ve never see redwood north CA , will satisfy ... be close enough SF easy visit tree still huge ! ! lot tourist quite size coast , still pretty enjoy it . we thoroughly enjoy Tuscan Inn would recommend stay be look stay Fisherman 's Wharf area . pretty quiet little bit remove action Wharf Pier 39 , nice . love ! 
 Oct 3 2008 	 Excellent service great location good value 	 spend 2 night find staff friendly . location great , 2 block Fisherman 's Wharf . room nice give 5 star property expectation exceed . overall , great value would stay . 
 Sep 28 2008 	 great location price 	 first , book hotel Priceline . get Sunday Wednesday $ 135 night , great deal think good value . be certainly worth book price via website find good deal too . the Tuscan Inn great place stay . 's close Fisherman 's Wharf , within walking distance Coit Tower even Chinatown . street car also block away . room nice seem recently upgrade . bed linen quite nice too . the hotel staff really friendly . impressed concierge work find extremely useful . people front desk friendly save one girl find consistently rude abrasive . ( ie , bring five dollar bill front desk could say anything say & quot ; not give change & quot ; walk away ) . exception one bad egg , everyone nice . the free wine / beer coffee / hot chocolate / biscotti wonderful touch take full advantage . would recommend make reservation restaurant quickly fill every night turn away frequently - hear one traveller get heat discussion never able get dinner . my recommendation would ask room 's first floor , room view garden . street noise pretty bad woken time . homeless people would sit street outside make ton noise throughout night . also , restaurant drag table chair inside midnight later outside 7:00am . make lot noise - tip . anyway , love hotel happy . last word caution - be go San Francisco , not rent car . parking expensive ( $ 40 per night ) everything much within walking distance . take cab across town $ 10 ... fun ! 
 Sep 28 2008 	 Lovely Hotel 	 boyfriend stay hotel 23rd August 3 night enjoyable stay . great location , 5 minute walk Fisherman 's Wharf promenade 5 minute walk tram stop . we give room look street prove noisey . reception staff accommodate say hotel fully book first thing morning would move luggage room look courtyard . room alot quiter could also open window appose room street level . the complimentry tea biscuit morning good restaurant ajoined hotel pleasant . the hotel clean , good location would reccommend travelor . 
 Sep 28 2008 	 Great Stay 	 complete 3 night stay end September , Tuscan Inn - excellent ! great location . room great - outside room - bit expect street noise - obtrusive . staff knowledgeable friendly . concierge staff - exceptional extremely helpful - right suggestion transportation / excursion option recommend amazing restaurant . 
 Sep 19 2008 	 lovely stay Tuscan Inn 	 hotel seem get mixed review , particularly reception desk staff . think staff good equally bad , since experience positive one . greet warmly ask enjoy stay leave . check ( able check early ) check fine friendly . stay hotel , year ago , know room particularly large . occasion room quite small , extremely nice , although contain small wardrobe ever see ! hotel well situated , 5 minute walk Fishermans Wharf , shop , restaurant cable car etc . fortunate get inside ( courtyard ) room , disturb noise ( except 1 night fridge go mad ! ) problem AC whilst , friendly helpful maintenance man come within minute report , fix touch button . Valet parking , view , unreasonably high $ 38 per night , know arrive can not really complain . good point hotel wonderful restaurant attach - Cafe Pescatore . breakfast evening meal excellent - well use , booking advise evening . late afternoon free wine reception really nice touch enjoy much . , enjoy lovely stay hotel almost certainly go back next visit SF . 
 Sep 16 2008 	 DIsappointed Front Desk Staff Room Size 	 anticipate special stay anniversary trip . the front desk staff ' even bother greet we hello . take confirmation information annoy not additional copy give . room clean nicely decorate small . view 4th floor window two outside building wall , quiet . husband talk concierge , find helpful . daily coffee newspaper lobby nice early morning . location great , block Wharf . check - out , front desk clerk ' even bother ask stay , unusual . fortunately , hotel stay Monteray make disappointing experience hotel . 
 Sep 16 2008 	 lovely boutique hotel convenient location 	 stay Argonaut previous trip , interested see Tuscan would compare . disappoint cost less 4 day stay . location fantastic - 5 minute walk Wharf close bus trolley stop . having read previous review , request courtyard room . give room 4th floor view partially construct building . concerned lack view intend spend much time room wonder whether would early morning noise . concern unfounded hear sound . the room nice size beautifully furnish . bed comfortable bathroom clean nice selection toiletry . fully - stock fridge snack drink . although not use , free internet access room . however make use PC / internet access available lobby without cost . the staff front desk could helpful whilst avail service , concierge always seem busy guest give info advice . the wine reception good way wind end busy day sightseeing also meet share experience guest . also gentleman offer massage time meet people enjoy service . upon checking - in , tell would receive complementary continental breakfast morning stay . usually rate well really nice - large dish fresh fruit , croissant muffin , juice coffee . also eat dinner hotel restaurant ( Cafe Pescatore ) one night . food service excellent . the negative point book airport transfer hotel , charge $ 10 going rate . all , would recommend stay Tuscan would definitely stay . 
 Sep 15 2008 	 good value heart fisherman wharf 	 hotel nice . room nice . complaint . close public transport walking distance restaraunt . probably well pick we not like tourist area Fishermans wharf one big tourist service . food drink price area outrageous . summary : good place stay tourist trap . especially not car . 
 Sep 10 2008 	 Charming Comfortable ! 	 originally request courtyard room since check around 11 a.m. front desk person say one would available around 3 p.m. 4th floor room face street available immediately . light sleeper ' admit apprehensive room face street . pleased room nice decent size three we plus great view Coit Tower , Transamerica build partial view Alcatraz bay window . street noise get loud already know would since street - side window busy tourist area . also bring sound machine pretty much drown annoying noise manage sleep well . mini fridge fill snack & amp ; drink rearrange thing could put bottle . fridge make noise , a / c work fine although use cool enough we . 11 year old son say sofa bed comfortable normal sofa bed sleep soundly every night anyway . king size bed comfy , think king size pillow well instead three standard size one . light good husband really appreciate lot reading time . bathroom adequate size . sink area bite small small glass shelf toilet one shelf sink hotel towel blow dryer store enough room couple toiletry bag . bath one large rain shower head love quiet ! shower curtain rod curve outward allow " elbow " room really like . hotel city , parking expensive unless really need vehicle ' cheap buy MUNI Passport stay . nice clock / radio also CD player . ' figure change time call front desk request wake call morning . hotel charming comfortable , staff great . location hard beat Safeway , Trader Joe ' , Borders , World Market cable car within block hotel . pier 39 short 5 - 10 minute away . sort sad leave transfer another hotel Union Square second part stay . stay Fisherman ' Wharf area , would absolutely stay Tuscan Inn ! 
 Sep 6 2008 	 Great Hotel 	 wonderful Hotel . read bad review , start worry stay . worry wash away moment reach hotel . staff amazing , go way help we . coffee treat more amazing . wine treat night great also , nice touch . take advice reviewer request court - yard side room . glad , quite . say room small , not tiny . normal size hotel room compare hotel room stay , besides not spend much time room much around San Francisco . I stay ever get chance go back San Francisco . 
 Sep 6 2008 	 helpful staff great location 	 hotel convenient location . within walk distance wharf , well pier sail boat Alcatraz . many public transportation option include cable car , trolley line bus service . within easy walk distance China town sit within City 's italian neighborhood . hotel across street Dollar rental car drop , rent car airport , tour area drop car get city . hotel parking , expensive hard get around city driving . hotel attractive common area . room small , small . , however clean well equip . staff hotel make tiny room . extremely helpful would go way meet every demand . consigliore extremely knowledgeable helpful . look inexpensive hotel stay staff make tour city good experience , . 
 Aug 27 2008 	 Great Location ! 	 wife stay two night kick honeymoon . staff friendly really enjoy dinner recommendation . hotel clean , evening wine hour nice touch . parking steep ( $ 40 / day taxis ) , would park 1/2 block north half . overall , would highly recommend hotel two block warf , dining , etc . & amp ; 
 Aug 13 2008 	 would recommend 	 hotel snob - not mind little noise , little bit dirt , etc . , give fairly strong review place , disappoint . first , day one bathroom urine smell never go away . otherwise bathroom decent enough - decent temperature decent water pressure . the room loud loud loud . fourth floor could literally hear conversation street , windows shut . ac seem accurate effective book room sleeper sofa . not get go noise fridge made - sound like jet plane every time motor shift . finally buy sleep pill across street try sleep this . then last morning , get hear heated argument reception desk police . police investigate something happen staff would cooperate police get annoy ... front guest . on positive note , like Trader Joe 's right behind hotel use mini bar store goods.l also enjoy morning coffee lobby free wine . enough every bring back . 
 Aug 13 2008 	 Good Hotel 	 stay hotel three day move street Hyatt ( also review Hyatt ) three day trip . this hotel clean excellent location everything . the cable car one block behind hotel , waterfront two block front hotel # 10 bus & amp ; ballpark right across street main entrance . we arrive early morning try check front desk staff say would room clean asap we . we leave come back two hour later room still ready . we ticket 12:45pm Giants game hope get room go game . we casual conversation concierge mention fact , say would see could we check room minute . the front desk staff not seem care concierge take care we great ( two work different day ) also many suggestion tip we Bay area . the negative small one , size room , tiny clean well ready return every day . 
 Aug 12 2008 	 Good Location Great Value 	 good location want walk distance sight transportation . room nice , clean comfortable . 2 - room suite little crowded , much furniture , nicely do otherwise . 's walk distance many sight , , well cable car line , trolley . convenient . every day lobby : nice complimentary coffee biscotti morning , wine taste evening . Wifi include laptop , otherwise internet available lobby . highlight hotel us service offer staff , particularly two concierge duty . service level knowledge would expect 5 - star hotel . also call ahead information regard bilingual tour ( information hard time find internet ) , everything take care we arrive . 
 Aug 12 2008 	 Nice 's drawback 	 good thing hotel close proximity Fisherman 's Wharf . lobby nice , staff friendly . con place $ 38 ( plus $ 5.32 tax ) night parking fee . room nice ( king bed ) although small , sink area poorly design ( functionality ) small . not think would stay . 
 Aug 11 2008 	 experience good bad 	 similar disgruntled reviewer assign different room book . three we book two double bed room confirmation prove . choose hotel particular reason difficulty get two bed room nearby wharf hotel . give king room cot check - in . trip clerk back manager remain site tell book double bed room double occupancy room not true . say notice three people automatically provide cot room , tell full room available . get room cot already due small room re - arrange furniture get fit , re - assemble cheap particle board table . room face side street , street directly become active 5 motorcycle particular addition truck noisily head street . ' m sound sleeper normally nothing wake sign noisy . manage get switch two double bed room next couple night experience good reviewer must . room significantly large , still small liveable , although still 3rd floor face wharf would think busy street traffic much quieter not hear much next two morning . valet 's little slow hate vulture baggage guy . not problem help room although ; fine . guy immediately put bag cart pre - occupied valet try correct problem room check - in impatiently try get we hurry spite tell leave bag . location great , opt Fisherman 's wharf stay vacation stay near Union square business past ' m glad easy walking distance Chinatown touristy area wharf . have leave well rating give 2nd room arrival due mix - up fact other experience would avoid hotel future opt take chance another mix - up . 
 Aug 10 2008 	 brilliant start vacation 	 wife stay tuscan 3 night last month , first stop 3 week vacation USA great start , ....... superb hotel staff helpful / efficient , food pescadora restaurant must , quite honest well place eat wharf whilst , one quote well , ......... us tourist trap big rip . name give request . location hotel ideal explore know attraction , 2 min walk wharf / ferry famous cable car , transport union square /lombard st etc .. afternoon wine taste cool touch hotel staff , prove popular guest include us.had problem air - con room within minute report front desk plan place sort , return later ot find room chill satisfaction even personal note leave engineer . would stay everytime SF 
 Aug 7 2008 	 check free wine 	 room small american standard really comfortable , well appoint , quiet . location ideal car park really expensive , end trip , take hire car back unload luggage get taxi airport . walk ride bus SF , fun . lobby area really pleasant free wine ( coffee ) get talk guest . staff pleasant helpful . not pay full price lot cheap deal . 
 Aug 7 2008 	 absolutely love 	 hotel awesome .. stay honeymoon bottle bubbly ice wait us room .. nice touch . the staff helpful suggest place eat direction get place eg.baseball . the room nice . house keep lady pleasant always greet we walk past . this hotel perfect location . several block fisherman wharf , far cable cars union square . the free morning hot cocoa coffee nice daily excursion . 
 Aug 3 2008 	 enjoy Tuscan Inn 	 Tuscan Inn great location minute Fisherman 's Wharf . easy walk North Beach well . do not ' car , like fact short walk cable car stop . room small , clean , quiet , suited need . afternoon wine cheese nice bonus free Internet . concierge hotel extremely helpful nice . check baseball ticket , offer dinner reccomendation , answer san francisco question . would definitely stay hotel future . great base explore San Francisco . 
 Aug 2 2008 	 nice surprise ..... 	 say place dazzle deliver solid consistent performance .. price reasonable base other vicinity good job . room clean , staff great CLOSE Pier 39 Fisherman 's Wharf ( easy walk ) . would stay . restaurant look nice ' m big italian food fan bypass place . go average expectation come away pleasantly surprised . 
 Jul 27 2008 	 Fisherman 's Wharf overrate 	 although enjoyed stay Tuscan Inn not would hope would . probably disappoint Fisherman 's Wharf area . really dirty , crowded , crime - ride touristy . food bad overprice general . place really like place Pier 39 , would not eat sit - down restaurant . would stay North Beach Sausalito next trip . Food North Beach fabulous ! .As far hotel , room clean small . bed comfortable - king pull - out sofa 12 - yr - old son . nice big flat screen tv . compe we in - room movie report & quot ; jerky & quot ; . Bathroom shower curtain reek mildew enough smell room . take wash , probably get use . staff great . concierge helpful . location convenient . grocery store Trader Joe 's block . pretty close North Beach cable car stop . one afternoon , car window break right outside hotel could steal content car . lot panhandler . one lady report cash steal car valet parker , stupid leave car . parking $ 45 night outrageous , probably worth keep car safe . 
 Jul 22 2008 	 good hotel 	 San Francisco final stop drive Highway 1 . wife two friend stay four night July 08 . third visit city first stay Tuscan Inn would strongly recommend . surprised delighted , arrival , give tokens free continental breakast . unexpected not inform travel agent . hotel certain individual style distinguish Sheratons , Holiday Inns , etc . reception area compact free evening wine sampling get quite busy . free morning coffee also well appreciate attend . rear room first disappointed air - con much quieter friend also bite bother noise street . room little bit tired simple expedient renew wallcovere would show great improvement . bed comfortable room bathroom keep clean although refrigerator honour bar hotel happy chill drink . find reception staff , maid porter friendly helpful . stay three hotel Fisherman 's Wharf Tuscan Inn represent good comprise location , cost facility . oh forget , hotel restaurant El Pescatore serve excellent food reasonable price . would recommend stay Tuscan Inn visit San Francisco . 
 Jul 21 2008 	 right position visit SFO 	 hotel right position visit city . price really convenient . remember ask courtyard room ... risk room & quot ; street & quot ; . 
 Jul 16 2008 	 Tuscan Great Location 	 three friend return Tuscan Inn , Fisherman'sWharf , San Francisco . book reservation Southwest Vacations . great time could havestaye long . room nice , nice bathroom . wall view window , since room except sleep make big fuss . nice Safeway store across street get snack . enjoy hot chocolate every morning lobby . fireplace lobby pretty , courtyard flower beautiful . location perfect . alot hotel expensive happy Tuscan . desk clerk nice helpful . friend celebrate birthday ! walk lot place . convenient . car , hotel parking expensive . Tower Tourbus pick we every morning hotel anexcellent job . also plenty bus taxis . everyone friendly we . great exciting trip . 
 Jul 15 2008 	 Loved ! 	 spend two night hotel back August 2007 begin end trip San Francisco Monterey . book standard two queen room happy stay . room wonderful great bed , nice bathroom also excellent view Coit Tower well . location 2 block Fisherman 's Wharf make perfect base explore area , able walk take public transportation everywhere go . not drive Monterey next day would not rent car . 's need stay hotel . valet parking convenient seem secure attached hotel . lot hotel parking garage / lot premise hotel area . restaurant locate hotel excellent morning coffee / biscotti really nice well . would love stay be area . 
 Jul 11 2008 	 problem 	 great location Fishermans Wharf . hotel excellent . staff great helpful . Fishermans Wharf tacky . 
 Jul 10 2008 	 ok good last stay 	 stay hotel past like much . time , impressed . room small , king bed , truly claustrophobic bathroom . two bath towel two adult skimpy , close door tub / toilet combination , room breathe . bed comfortable . awaken loud racket 0730 - construction nearby . place conveniently charge phone / blackberry / laptop without crawl around floor . hotel install convenient plug guest recharge device travel ? morning coffee quite delicious , check 0545 , never offer drink . would difficult offer we little coffee , probably ready ? location good . 
 Jul 9 2008 	 Perfect locatin explore city 	 stay Tuscan Inn Fourth July weekend use Priceline Christmas book room ( although not actually think would get one $ 75 / not holiday weekend ! ) .check quick boyfriend give queen room fourth floor face street . boyfriend 's first response & quot ; wow , tiny room & quot ; , expect consider location 3 - star property . fact small room ( King size bed would fit ) tiny closet 2 drawer store clothe . good thing pack carry luggage not much put away ! room always clean maid staff friendly , saying & quot ; hello & quot ; & quot ; nice day & quot ; pass . frequently room change clothe take nap never walk maid ( walk ) . one day disturb sign door maid come could rest , finally step hour , change sign maid service everything perfect return ! one bad part room street noise travel , although really disturb one night car park street play loud music people around laugh talk loudly . pro hotel : staff - friendly helpful . send receive several fax stay always happy help . use concierge book theater ticket , work flawlessly , also call front desk around midnight last evening ask arrange airport shuttle next day , follow morning shuttle company open . amenity - hotel not luxury property , nice touch like marble bathroom , mini bar , room service evening wine reception every day ( many people attend ) . restaurant attach hotel nice , great little bar area friendly bartender . restaurant breakfast menu pretty minimal , trick . location - good part hotel . two block Pier 41 , one block F line street car two block cable car . awesome area gain access many different part city without try hard . overall , would say room worth rack rate $ 250 + per night , far beyond expectation Priceline bargain rate ! 
 Jul 5 2008 	 Appalling check lot lie 	 book two suite king bed , pre - pay suite receive reservation confirmation Best Western . arrive hotel tell one suite ready would hour . get suite ready find one king bed suite two bed suite . I ring reception speak person call Jamelia ask allocate right type suite per reservation confirmation . attitude appalling lie start . initially say reservation come incorrect Best Western book correctly website . offer take best western reservation confirmation reception evidence say absolutely interest make difference . say king bed suit hotel suit two bed . ask website state type room available exist state . say website must incorrect . next offer standard king bedroom , point cheap room suite book . say ' well get good rate booking line ' . like matter . pay $ 1900 front suite 2 month ' prior make booking . ask next suite would also two bed instead king bed state type suite exist . unbelievably say next suite would King bed contradict lie tell we . point ask put Best Western Customer Services amazingly room change king bed suite per reservation within hour . funny thing get room , welcome cookie welcome note Mr Mrs Bonfiglio . , sorry couple probably get load lies bull arrive find get room book . hotel also noisy guess inevitable consider location . free drink great like feel get something nothing . please also beware restaurant hotel . state obligatory service charge table 6 . dine party 4 still hit waitress fail hand $ 10 change take additional service charge . on plus side staff nice helpful especially concierge gracious . suite decent size , clean décor bad standard . want near Fishermans Wharf location great . contact Best western return home see response would get investigation . apparently hotel tell Best Western contact directly management stay matter resolve ( contact ) . apologise inconvenience say nothing eventually give room book . mention lie , arrogance ' attitude ' staff ? ? 
 Jun 24 2008 	 great experience 	 stay 4 night $ 125 Hotwire . first night Street , could motorcycle race night . complain , move quiet room duration stay . morning second day daughter stomach cramp go emergency room . leave 6:30 , front desk valet cab ready instruction go time come elevator . impressed service receive . location tourist beat . 2 block wharf , Mason line cable car right behind hotel , F line street car block away , pier 39 alcatraz tour walking distance . Trader Joes , Safeway , Walgreens close too . the room nice , comfortable , clean . shower great . still miss strong coffee biscotti breakfast every morning . next time SF , stay Tuscan Inn . 
 Jun 24 2008 	 Bunch criminal warn 	 aware - honor reservation guarantee . book expensive room suite - $ 350 per night . charge credit card , send email - & quot ; reservation guarantee & quot ; . upon arrival , ' ve tell room we . manager duty - Gregory Abdon start lie we . first sentence - room maintenance . ask show room , maintenance - refuse . ask speak supervisor - refuse . his next version - guarantee reservation - first come- first serve . ' reservation guarantee ' letter , ' ve get ? next version - well suite , maintenance , another room , refuse show room well . next , tell , replacement suite we different hotel , different part city , choice , go find suite , regular room . bunch liar funny part place we $ 125 room ( print ) , still try charge $ 350 initial charge . force get charge reverse . by opinion , hotel bunch criminal , try implement follow criminal scheme.1 . overbook desirable hotel Kimpton chain.2 . move overbooke people different hotel different part city , within chain , virtually empty.3 . collect rate Fisherman 's Wharf location.4 . child hotel different part city return Fisherman 's Wharf 's hotel part initial fee , simply collect difference air . anyone experience - will glad file law suite they . our well plan vacation ruin . be warn . 
 Jun 23 2008 	 amazing find ! 	 stay hotel book Priceline . get GREAT price hotel extremely happy hotel . first , fantastic location - block Fisherman 's Wharf within walk distance many thing ! right checking , staff unbelievable ! every single staff member come contact extremely helpful nice ! room small side definitely enough room two we . coffee , tea biscotti morning nice . would highly recommend hotel ! ! 
 Jun 21 2008 	 love noisy ! 	 hotel wonderful every way except noisy night . room face street rather courtyard traffic - especially motorcycle - loud night long . drown noise fan , except fan air conditioner cause go , fan hot air intermittent noise . suggest request room face courtyard ( even number room , think ? ) pack fan ! comfortable bed room - nice decor ! not miss 5 O'Clock wine hour . great italian tradition match theme hotel . 
 Jun 19 2008 	 Great experience 	 planning trip year . use priceline try find we 4 star hotel near wharf . well get Hotel . arrive wonder expect soon arrive staff make we feel welcome .The 5 o'clock wine gather lobby terrific . room clean , new , quiet , relaxing . the concierge service second none . highly recommend hotel even call 5 star ... 
 Jun 19 2008 	 not stay here- charge $ 75 depart day early mult- night stay 	 tell require 24 hour change date stay cancel . check plan stay three night . first night , find would leave one day early tell -- 24 hour advance -- would leave one day early . charge $ 75 early departure fee . never stay recommend either . 
 Jun 18 2008 	 great Find City 	 Charming hotel , reasonably price right Fisherman 's Wharf . in area Radisson Sheraton . walk immediately think & quot ; boutique hotel & quot ; & quot ; Best Western & quot ; . remind Napa River Inn Napa , ca.they take & quot ; Tuscan & quot ; theme way . call hotel say & quot ; Buon Giorno & quot ; play italian music hold . valet dress like venetian gondolier . lobby reminiscent Italy . lovely pot flowering plant tree fill view picture window lobby , welcome fire light lobby fireplace .... even though day , sunny pleasant 78 . next day windy fog blowing , fire quite apropo . arrive early - noonish , check - in til 3 p.m . accomodate allow we park car garage ( add charge hotel SFO ) leave bag secure room check - in , could go start day SFO . upgrade us suite tell we would call cell phone room ready . call within hour ! room spacious , clean tastefully decorate . could make LR area small accomodate King size bed br well - much room bed tv stand squeeze . sure ask put room right driveway / entry . 6 a.m. roll dumpster garbage truck comes roar empty ( clang , bang ) back leave ( beep , beep , beep ) . half hour later neighbor business haul dumpster pick - up another garbage truck come along .... minor disturbance otherwise great hotel . overall would rate hotel Excellent . 
