trendy 	 hotel excellent location , couple block away Broadway ( Time Square ) choose hotel cool picture website . altough cool website , hotel still modern stylish . as use hotel sleep , give opinion regard room impression . use facility also chance experience either restaurant bar . the room book standard room . clean stylish , little small taste . the bathroom pretty decent provide brand toiletry L'Occitaine . as almost never hotel express much staff . guy bring bag room friendly helpful . guy escort departed . , interaction staff basically he . as mention early location excellent , reach anywhere NY midtown foot . also undergorund station outside hotel 's entrance . in opinion hotel suitable young crowd ( 18 - 30 ) Overall enjoy stay Dream . 
 Aug 27 2008 	 room like nightclub . 	 get collar pop ? dream good location seem overpriced . good : highly stylizedthe bad : local well - to - do kid take rooftop bar sneak aged one they . money speak . guest get seat roof local new haircut arrive cash . I blind fact Chopra Spa . think center meditation bit spa -like , not . it like overprice nightclub sleep . interesting experience though . 
 Aug 21 2008 	 Great experience 	 ' safe say bad experience recent 3 - night stay Dream July 4th holiday ( 2008 ) . reservation process easy friendly . operator full suggestion , obviously function outsource operator know little small detail hotel room . friendly helpful overall . book extra - extra large suite reservation ready accurate arrive around 2:00pm . mention anniversary making reservation note check - in ( champagne flower though … LOL ) . also ask suite away top floor ( rooftop bar ) comply . TIP : pull right front hotel . someone assist bag deliver car parking garage Fifth Avenue ( say ) . parking fee add right bill ( $ 35- $ 40 ) .You ' get car without pay would want ? public transportation abundant convenient . the location hotel perfect … 3 block north Columbus Circle Central Park , four block south Times Square lot stuff west east . subway confusing grid pattern city easy get use . prepare walk lot . right street ( Broadway ) excellent little café – Europa . good morning tea lunch nibble . ' also starbuck two door . time feel unsafe NYC matter venture within Manhattan . ' sure place ' go , stay busy populated area . the room exactly describe ( 7th floor ) . immaculate clean , nice soft robe , separate bathroom , excellent shampoo soap … the blue neon light really make room different experience . say bed true – ' super comfortable . outside noise impose we one night next night relatively quiet . ' bleed room room ( far could tell ) .TIP : careful mini bar . much remove bottle snack look , bar code automatically charge item room . slight complaint – fridge room water ' ice vending machine hotel – need call room service – mean least tip . each room two flat screen tv two Bose radio . water pressure shower excellent never shortage hot water . air conditioning work fine quiet part . the concierge always helpful map recommendation . staff friendly unobtrusive . housekeeper pretty much invisible good job . Checkout went smoothly call 20 minute advance car deliver front door . the hotel generally clean well - keep ' notice mark dirt reviewer note . perhaps depend room get ? sound like small room low floor need attention ' verify comment . the elevator slow other note bit busy night . rooftop bar great experience . first floor bar trendy seem turn dance club later evening . breakfast restaurant ( outside ) good slightly cold outdoors – small trade view . tip : drink expensive . pay $ 7 bottle beer $ 10 - 12 Absolut cranberry . may normal depend come , we expensive . drink ample well make compare home , expensive . ( ' stop we though … ) although may expensive stay Dream , ( round $ 600 per night ex ex large suite + parking ) , worth every cent . 
 Aug 16 2008 	 hip hip 	 return week Dream Hotel . hotel list hip hotel New York however definitely hip . fact , hip thing location , metro station step hotel door ! stay first level lucky could use stair go room . bar roof toop seem busy specially weekend kind & quot ; want hip & quot ; people totally exagerate outfit . mean take one two extremely slow elevator take time . the hotel temperature 65 F , 18 c , absurd wear summer clothe . housekeeping set temperature every day 65 F room . want set temperature high , air conditioning cool therefore room temperature go . ask get fix do . perhaps know room winter bed clothing plain summertime ? bar top ok , however staff rude helpful kind would expect hotel . ask way back stair go room get rude answer : & quot ; take way get get & quot ; . unbelievable . the concierge kind specially helpful . shocked hear 200 $ could sell seat we Broadway musical , course average price 75 - 120 $ per seat theater take offer . another funny one one know internet café near hotel - recommend go Apple store get access laptop . almost internet cafés ny.the Serafina restaurant look ok , lunch end . ask table offer we share one guest even table free ( 4 place ) . think unacceptable ask we share table free . inside course temperature 65 F.Overall would say average hotel need improve service level well renovate furniture , paint wall change basic installation . worth money , , stay somewhere else . 
 Jul 24 2008 	 Ok 	 husband look stay NY business function . want room less $ 400 . lobby great , look relatively swanky like many boutique hotel . soon get elevator could tell upkeep rest hotel would not nice . room 1st floor look ok upon open door light could see dingy carpeting , extremely nicked wall floorboard , kinda skeevy bathroom . bed nice rest furniture ok- exception pleather chair green pen mark . staff nice , not check bar not noisy sleep fine . would not stay lavish upscale hotel experience fine 1 night stay . NYC hotel overprice $ 359 one ok . 
 Jul 13 2008 	 impressed 	 impressed dream hotel , especially light hefty price tag . treat poorly desk check multiple problem arise book hotels.com . although payment go credit card charge , Dream hotel claim receipt serve reserve room ( entirely ludicrous ) . hour manager finally able stay . hotel modern look , however decoration entirely limit lobby area well place saltwater aquarium . rest hotel ( floor floor ) cheap modern theme disappoint . room small , expect new york , additionally old become apparent bathroom . room relatively ok LCD tv comfortable bed however neon lighting bed desk simply destroy atmosphere , usually one write review particularly disappoint facility especially give high price tag . essentially oversell product , albeit efficiently , well - design website extensive lobby . marriot would cheaper frankly satisfy choice . 
 Jul 4 2008 	 Mod Chic Bit Tiny 	 would like stay mid - town near theatre district like mod , trendy little hotel might right . room tiny modly appoint . everything dimly light sleek looking . would recommend business traveller necessarily family could good someone look hip little place stay . bed comfortable one huuuge picture wall everything definitely tidy white . expensive place mid - town . also - exactly quiet area 's mid - town ! 
 Jun 30 2008 	 great rooftop bar 	 great big statue Buddha lobby ayuvedic spa basement , hotel add extra . room renovate , honest finish bit lacking . lift constantly go blink ! rooftop bar cool great view Broadway resident , give we table immediately despite Friday evening crowd . 
 Jun 30 2008 	 comme ci comme ça 	 like : easy check - in , check - out ; valet parking ; first impression ; comfortable bed ; good shower . here like : corner room 13th floor . staff fail mention bar room . let us face , loud thumping music conducive sleeping . enough college . hotel 's credit , wife call front desk immediately move we room low level . hassle , however , annoying . party mode good place stay . however , many good hotel NYC , simply worth money . 
 Jun 22 2008 	 never ! ! ! 	 arrive NY late find Dream problem . could not pull door Valet park strret husband go find valet , say leave get .. lugged luggage desk check , go pretty smoothly , get room 12th floor ( right elevator ask ) room size postage stamp window . call desk say sorry nothing Friday ( 3 day away ) . go bed since late next morning talk manager say could move we room window , 11th floor elevator . come back broadway show bar 14th floor could get three elevator due crowd wait go . husband climb 11 floor stair get room around 11:30 pm . night long could hear people stick elevator ring bell . elevator break trip ( 1 med . elevator two small one ) . 5:00 night bell man knock door say ash tray , explain do not call ash tray non smoking hotel , ( manager claim hotel turn non smoking must confuse ) morning 8:30 cleaning lady do not even knock barge . bathroom dirty - mold grout . could not wait get home could rest ... great location prefer hotel need lot help .... sorry hotel dream .. 
 Jun 17 2008 	 great stay 	 girlfirend stay Dream 4 night run Thursday Monday fabulous time . upon arrival greet door man usher reception check quick painless . find queen size room 4th floor good size , clean , well lay quiet . throughout stay show nothing good manner staff helpful , attentive happy help query . hotel around clean modern , chic feel ; range polished marble floor giant fish tank lovely look spa downstair blue strip lighting room 2 good bar . the hotel perfectly situate everything wish , 5 minute walk Times Square Central Park 5th Avenue shop . read many review moan lack service small room reality many people come New York sit room ! find enough space need nothing praise staff suring stay . it true food drink hotel not cheap think say almost every hotel New York . one complaint would day visit almost impossible get anywhere sit rooftop ava loungue . nice venue find full office worker ' reserve ' table everwhere - perhaps consideration stay would good . Friday Saturday night turn busy nightlife hotspot queue outside doorman check entry . bar downstairs however nice full everytime visit it . our stay New York fantastic - weather great , see sight , lot shop brilliant time day night . although thing result stay Dream , definitely contribute we great trip New York . woud resevation recomende hotel anyone 
 May 26 2008 	 bad service 	 stay 3 night Dream hotel , friday monday . People reception desk overbusy , nice wecome . bagage man aware joke colleague take luggage . ask put suitcase trail , raise eye up . the furniture room bit old . renovation do . I message staff . call back , housekeeping answer angry way . but , last day , consult internet site realize lounge fitness club . one information room inform . everyday , go spa center near annex . one tell direct access spa . hopefully hotel , localisation exceptional . will not stay next time . prefer stay Night hotel much terrific . 
 may 21 2008 	 CHANCE dream noise 	 get little good , lot bad ... stay small room one night . room bathroom incredibly tiny , even new york standard , price point ( $ 400 ) . aside , location great , pizza room service yummy , bed super comfy , blue light thing mildly amusing , tv bose sound system great . unfortunately positive say hotel . place 13th floor ( hear reviewer similar experience ) tell lounge upstairs might slight noise . BIGGEST statement ever hear . music blaring point could make word clearly , picture wall shake ( kid ) , sound footstep upstairs deck boom . look , ' m twenty , go bed pretty late , noise generally bother , ridiculous . impossible sleep around 4 noise stop . obviously soundproof issue baffle room level . staff ok ... upon arrival doorman ( be job presumably open door ) stand chat another staff member make attempt open door , even arrive bag ( happen time enter hotel ) capable enter building , leave pretty bad first impression . go room , tiny tiny hallway block housekeeping cart two housekeeping staff chat open door room next mine ( clean nothing ) make attempt move cart barely squeeze room . would expect type hotel Dream say . part room wear need revamp ( ex side table large chip veneer miss window shade stain .. yucky ) hallway elevator similar state certainly need revamp . another slightly irritate thing check dream 's hotel site reservation see small medium room available ( $ 400- 429 ish ) . generally like call talk agent directly call reservation reserve one type room . upon call , reservation agent insist room available suite around $ 600 . hung , think wow room go fast , reason check website immediately get phone find small med room still available , book online ... know , room available arrive . odd thing warn even get . terrible , put experience slightly terrible , return hotel . 
 may 19 2008 	 Dream - ing stay elsewhere 	 Dream beautifully outfit everytime elevator open get treat artful nude photography . suite consist living room , br , 2 full bath . turn light blue neon illumination look pretty , honest staff never smile look like irritated 24/7 ; concierge limit / unoriginal restaurant suggestion ; despite rooftop terrace bar nice dj play good music ; bed / bathrobe also nice . not really care horrible deepak chopra toiletry . average- stay chamber gansevoort next time artful / well service experience . 
 May 10 2008 	 Wake ! hotel Dream 	 classic run hotel give face lift lobby area , add neon blue lighting everywhere get call & quot ; boutique & quot ; hotel . here get $ 450 night ( Room 1003 ) -great location close Broadway Central Park - very small enterance / lobby area . hip guy wear ' Simbad Sailor & quot ; outfit check . nice aquarium set lobby neon blue lighting everywhere , large Buddah type statue dominating.-elevator tiny , suffe dent everywhere.-Hallways : narrow scuffed chip wall scuff mark over - room : tiny , queen size bed , one flat screen tv wall , blue neon lighting , one cheap looking want hip frame poster wall - Bathroom : tiny , place put shaver ( plug away mirror ) , toilletry bag except toilet . rust many corner ; bath fixture come apart wall ; mildew residue blue bath tile . bed : small , comfortable pillow top pad add bed make comfortabel . view : non existent , side run building . noise level : load vent noise come rooftop low building next hoel . overall : something must work hotel becasue able charge similar price much well NY hotel , yet interest fix detail scuff mark rust everywhere . I hope review help search hotel NY , Personally would look elsewhere . 
 Apr 30 2008 	 nice boutique hotel 	 stay Dream 4 night , 24 29 April ( two ) . spend quite time look accommodation prior go , read huge amount review hotel . put short really like hotel . look something really luxurious , overly romantic otherwise , may first choice . general stay , spend day around city night ( plus hour day ) hotel , pleasant accommodation alternative . keep old style , charm feeling . staff friendly forthcoming , carry luggage , borrow quick internet connection , order air - shuttle airport general inquiry . entrance house huge aquarium cylinder - like shape . beautiful watch . kill time wait someone , don´t stare wall , least . room 9th floor ( do not think floor real floor , maybe would right call 4th 5th ) big , sufficient regular traveler . bed wonderful room bathroom clean . hot water shower luke warm . much noise traffic 7th ave . air condition work well . arrive , every day cleaning , apple pillow bed . big juicy red apple . iron iron board cupboard . big flat screen wall load channel , bosé radio table good sound , regular squeaky hotel - radio sound . hotel ideally place . two / three block Central Park , hotel entrance mere 50 meter metro line take straight Greenwich Village around . breakfast / diner every corner hotel . David Letterman´s show also around corner , Broadway . way , french restaurant 51st , somewhat west , call Tout Va Bien , incredibly charming french messy style . well worth visit . would definitely stay . 
 Apr 21 2008 	 OMIGOD LOVED hotel ! ! ! ! ! ! ! 	 wicke sick hotel ! ! ! come friend , mom , , mom blast . hotel sleek hip ! would totally recommend listen may young pretty good thing hotel . say LOVED ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! also little NYC Broadway show tip , go see legally blonde amazing ! ! 
 Apr 21 2008 	 chic small ! 	 friend stay Dream book one ' small ' room budget ! whilst appreciate square footage ny premium , not quite prepared small . picture not show exactly small something . ' ve get 4 suitcase ( Vegas want lot shopping NY ! ) barely enough room swing cat , be trouble . having say staff reception polite check problem , room clean tidy serious space planning fit need , i.e . put suitcase small cupboard , desk , chair etc . bed comfortable small fit we ( probably good couple friend share ) , great plasma telly nice toiletry . nice touch maid deliver fruit afternoon free charge , nice ! one serious negative bathroom shower curtain simply keep water time shower bathroom floor flood , step shower simply low keep water escaping end turn shower wall try keep water one direction , great washing hair ! bathroom tile could also do scrub , quite bit mould ! overall though Dream lovely , definitely try Ava Lounge bar upstairs , take lift top bar roof terrace although not get chance sample terrace busy go . great location , far walk Times Square Columbus Circle . do make sure collect luggage early valet , ' m sure day take good 20 - 30mins find suitcase serious rush get airport , make sure not make mistake we leave rush hour ! ! one stressful journey aiport say . I would definitely recommend stay , try upgrade one large room will appreciate extra space ! ! ! 
 Apr 2 2008 	 okay - good location small bathroom 	 hotel look , Dream seem good one term price , location interior we . end stay 5 night . room clean , agree reviewer - light poor , sometimes 's dark see day ! bathroom small , okay . room suppose queen - doubt ! bed feel small double ! partner poor sleep due . also , check , give we wrong pricing night originally book , correct end , thankfully ! overall , hotel okay . good people like bed space , bathroom space people sensitive noise night ( , book high level apartment , penthouse bar ) . 
 Mar 31 2008 	 ` ` Style '' Substance ... 	 friend stay Dream four night recently . location close Times Square ( 5 minute walk ) . hotel modern clean . room nice fixture fitting amazingly comfortable bed tiny . stay many hotel NYC far small . realize room small one beyond joke . bed take room small patch carpet walk . also , medium sized room book - would hate see small option ! ! phone reception ask big room available guy end really bad attitude - end day pay guest happy room give price pay . another point would elevator - another person point , SLOW . hotel popular penthouse bar , make wait even long member public staff member also use elevator . always believe stay hotel , treat courteous respectful manner staff - , keep hotel business . attitude seem lack somewhat Dream , feeling seem hotel somewhat & quot ; trendy & quot ; guest feel privileged staying & quot ; put & quot ; complaint ... opinion hotel actually & quot ; trendy & quot ; , pretentious . overall , stay hotel ok . would incline stay room big , staff friendly elevator quick . 
 Mar 28 2008 	 dreamy expected 	 originally find hotel someone recommend Ava lounge -on rooftop hotel- ( , incidentally nice ) . hotel pretty much thought would see website . think picture site might exaggerated , maybe photograph good room , like many hotel . however , little room & quot ; dreamed & quot ; like have hope . book cheap room , would expect , tiny shoebox . despite , comfy clean not feel cramp . somehow , white decor linen ethereal blue light suspect , actually feel airy . everything modern ( nice fat screen tv hang out - of - the - way wall ) fine working order . quality everything robe comforter bathroom fixture superb . hotel staff courteous helpful . order dvd player room ( hook promptly nice maintenance man ) inadvertently leave movie player leave . call track mail problem all . the price reasonable NYC.If make one complaint would view room hideous ( grungy alleyway ) . 
 Mar 28 2008 	 Odd Construction noise 	 first , construction . across way room . renovating building -- -NYC hour permit construction . mean night dumpster noise - HORRIBLE . strange blue light beneath bed desk . creepy picture little girl wall . room small side well . bed really comfy clean . ok . good location show times square . restaurant eat do not outside hotel . 
 Mar 28 2008 	 Dream little 	 Dream Hotel great mid - town location , choose - close couple subway stop , Columbus Circle , Central Park , Theatre District . Serafina Restaurant onsite bad . Good News . room small well appoint , Staff helpful . fitness room so - so , get comp . pass Gold 's Gym ( one street ) . book Quikbook.com get $ 247.00 per room rate . the Bad News . coffee maker room ( really , Hampton Inn coffee maker - can not upscale hotel like Dream ? ) . slow elevator . low level noise come bar . use earplug - travel staple , esp . NYC . ask upper floor . 
 Feb 28 2008 	 Ok smoker 	 hotel funky cool . also get reasonable NYC rate . room small comfortable . good part . bad part non - smoking room might well bowl alley . smell passable check due bathroom window crack . closed come back dinner smoke smell awful . complain front desk repeatedly insist non - smoking room finally offer housekeeping bring filter fan help smell . never show . know person early night housekeeping staffer mistakingly stop fellow guest complaint . additionally , clean linen room smell strongly smoke . first night 3 night business trip clothe absorb awful smell . Marriott Sheraton completely smoke - free forget hotel still dark age . 
 Feb 25 2008 	 Night 	 take girlfriend date night , surprised get room Dream Hotel . justin front desk helpful figure great room , end junior suite 13th floor . rate reasonable room wonderful . room 1318 list 380 Sq Feet , private balcony look right onto Times Square . be newbie city , be perfect view . ' ve live 8 year , still somehow get excited look onto city . blue lighting decor inside room fun , bed amazing . even leave fresh fruit pillow . catch however , room right Ava Lounge ( hotel bar ) . warning room 1318 : be heavy sleeper , plan late – big deal . be look find dream state early night – bar not stop 4 am . 's soft hum , sometimes make word know song . since be topic bar , be locate 14th floor ( PH ) stock good variety liquor fancy drink . course , be look spend $ 16 cocktail . Woodford $ 17 – eesh . view great , outside inside . also upstairs tent - like extension incase not want near bar . overall , stay fun lady happy . could do less bass come upstairs around 3 am , anyhow . oh , sign , www.iprefer.com ( free ) – request late checkout 1 pm , rather typical 11 am – highly suggest . 
 Feb 5 2008 	 great hotel excellent location . 	 boyfriend take Dream 21st birthday love . room good size clean , bed huge comfortable . love blue light , give room really modern trendy feel . staff extremely helpful poilte although get secure room credit card neither partner hadone we would not except debit card partner dad fax photocopy credit card passport pain . the hotel excellent location , turn leave walk minute Times Square turn right walk minute 5th ave . we breakfast Serafina resturant , $ 18 get scramble egg , croissant , toast , corn muffin nice , potato , jam tea coffee . not sure scramble egg like omlett everything else great . across street hotel place call Applejacks also great breakfast . view roof bar amazing night go , private party shut go bar ground floor nice , cocktails delicious bar staff friendly . I love every morning copy New york times deliver room , also toiletry stock daily . bathroom exceptionaly clean great shower . I love everything hotel , modern , clean would definatly stay , also would recomend trip stardust din Broadway , food great staff sing , want see Broadway show alot cancle due writer strike . 
 Jan 5 2008 	 amazing hotel gem NYC 	 really wonderful stay gemstone hotel NYC . never hear Dream recommend friend . location excellent - two block Timesquare 5th Avenue . expect usual small NYC room , pleasantly surprise big corner suite 13th floor , large walk - in closet multiple window throughout room . bed heavenly multiple pillow full duvet front large plasma tv . double blind window work well keep room bright without risk peak inhabitant surround buiding ( yes view see sky ) .The fluorescent blue light fill room enter give somewhat futuristic cool affect , night indeed calm choose keep on . we also love chic Ava Lounge top hotel , great place end eventful NYC evening good cocktail . the beautiful D'Or restaurant bar close time visit , allow walk will sure dine wine next visit NYC . 
 Jan 2 2008 	 right special 	 book hotel flight / hotel package Expedia . recommend friend . spend 5 night 12/21 12/26 . interesting hotel , special expect afer look website . room tiny know normal NYC . rooftop bar cool , mostly book private party ( i.e . & quot ; Russian Vodka & quot ; party ) . staff not bother informome we advance ; simply usher we elevator not go roof top ... design pretty cool ; however , whole hotel seem literally cool / cold really invite . never see anybody hang small lounge area next front desk . really simply nice place sleep . Vikram Chatwal hotel & quot ; Night NYC & quot ; waayyy well . Times Square area crowd tourist ; not like . Midtown East low east side much well nice hotel restaurant . Midtwon West cater tourist : crappy food over - price everything ... look REALLY nice hotel , cozy , invite reasonably price ... stay & quot ; Bowery Hotel & quot ; . awesome ! ! 
 Dec 12 2007 	 Nightmare hotel 	 book hotel part honeymoon , obviously lot research first . initially book lastminute.com description ' standard ' room not accurate - Dream Hotel ' small ' , ' medium ' ' large ' room . call lastminute.com try find size room book , call hotel America . ' small ' room cancel ( pay lastminute £ 20 fee would not waiver ) . re - book hotels.com much helpful . when get hotel room tiny - king - sized bed enough room walk around . small window look directly apartment , blind shut . call reception complain room honeymoon pay lot extra ' large ' room read review . they upgrade we suite warn we may small amount noise bar 14th floor . ask much say small amount bass . the room lovely although feint - hearte - balcony look length Broadway wall not high around - 13 floor quite high ! get back room noise unbelievable . earplug bass strong could feel picture literally vibrate wall . could everyone 's foot dance . go 4 am ! call reception middle night say could not stay room , say may able move we ! call back next morning get move available room - originally ! also warn get ipod room reception . take $ 400 deposit credit card case not return . return not get ask sign anything , checkout try charge , say not return ! lot argue check security tape say bring back , see . apology all . my recommendation - stay Royalton - massive room , great staff 5 ft round bathtub - great ! 
 Nov 18 2007 	 tiny room 	 Hotel lobby nice along staff room size small . bed size small british standard double bed . hotel great location . restaurant food good good atmosphere . disappointed room size , lot extras Plasma tv excellnt sound system lighting . 
 Nov 16 2007 	 overprice ok 	 mid - October . friend give small room fill smell cigarette smoke - smell go away three day . room bit nice smell . service spotty around Doorman not open door tray garbage leave room hallway . the bad thing mattress pad bed - feel bit like plastic slide around mattress make sleep noisy uncomfortable . ask remove take away pillow top left pad ! $ 350.00 night expect - even NYC . 
 Nov 7 2007 	 Loved spite review 	 parent book hotel birthday gift husband . stay 2 night . find trip ( advance could get time ) go tripadvisor check hotel . quite worried review , figure love NYC , love location hotel would get by . I love hotel . ' m super modern stuff , light not annoy like thought would . small room , think fine , waste space empty corner could keep suitcase ( room spare ) . bed amazenly comfortable , great . bathroom small , place hang towel , could never reuse . would leave we fresh one , problem . also safe broke go lock 30 minute leave play , ticket ! complete panic , neither we ready dress . hotel staff great help we , send someone immediately . could not get fix , get someone else say take safe drill . return opening could account nothing take . take 20 minute ! make play ticket , hair do dress . quite pleased service . my parent think would like rooftop bar . boy wrong , think waste . not outdoors , tiny room , way loud music room . small . would not recommend bar . I would willing stay , definitely could not beat price get location . notice price much high booking though , must special expedia deal mom find . 
 Nov 4 2007 	 everything DREAM ! ! 	 boyfriend travel NY August much deliberation decide stay Dream . want make trip special arrange advance concierge Mr. Edwards room & quot ; do & quot ; flower balloon .... disappointed man ! ! moment arrive staff fantastic , help we luggage help we direction Zoo ! room beautiful , stay Queen size room really do not understand people talk say room cramp - plenty space baggage ! bed amazingly comfortable blue lighting aid good night sleep - possible Manhattan ! turn service evening return find apple pillow , lovely touch perform extremely friendly housekeeping staff . location ideal shopping - bang smack center close everything ! ! really can not fault Dream already look forward return ' 08 ! fantastic holiday fantastic Hotel ! ! 
 Oct 31 2007 	 Great Location Great Staff Mediocre Facility 	 location perfect sight - see trip NYC . Steps Subway , many restaraunt ( inexpensive diner fine dining ) within short walk , 5th Avenue shopping ten minute walk , Times Square easy safe stroll street , hotel could well locate . room small try hard stylish . could not figure turn strange light bed ( despite call front desk ) , toilet overflow fault . bad part put we second floor -- nightclub -- loud thumping music last early morning . ask move , unaccomodating , even though prepay 3 - night stay 9 year old child we . good part concierge helpful arrange doctor examine wife experience minor medical emergency . overall , will not stay due noise . next time , will pop extra money stay & quot ; name brand & quot ; hotel near Times Square . 
 Oct 29 2007 	 Dumpy Pretentious 	 thought 's way people could say bad thing hotel ... look great web ! boy , wrong . we arrive New York around 8 pm hellish drive Newark , greet nice girl check desk . get key go room issue . walk room ... small , imagine , never think would dirty SHABBY . first clue elevator ... tiny , rundown , slow . in room , carpet extremely dirty , room musty smell . go bathroom , find shower tile MOLDY . okay , be go commit tile entire shower , need commit maintenance . happy . I go front desk inquire move big room . book night ( Thursday ) , would able move next night king bed room extra sixty dollar night . the new room spacious , bathroom still mold issue . sheet keep slip bed featherbe big sheet small . bad thing , however , air conditioning ... make awful bang noise every 45 second night . eventually turn air sleep hot , stuffy room rest night . complain immediately next morning , assure going fix . fix . finally , last night , husband take vent air conditioner , guess find ? dirty TOWELS , shove air conditioning vent . disgusting . tell front desk , receive 100 dollar total bill . on Friday night raining , front desk concierge flat refuse get taxi we . say way would get taxi rain . finally go corner 55th Broadway hail taxi . desk people rude , dismissive , unhelpful . please , please , give hotel business . try hard trendy fun , end dirty rude . not waste money . 
 Oct 25 2007 	 Dream - ! 	 excellent ! spotless room ( small - ish - ? ! ) though size go problem read review , wrong ... book small room , honest , peak room , be worth extra cash upgrade medium . go New York stay room , really need head look ! haha ! size ample 2 adult - ' ve stay LOT small ! room clean / towel change twice daily , staff super helpful , supply we free NYC map , even loan we umbrella rain . also quiet ( Floor 5 ) subway 20 yard away , Starbucks corner , Times Square 5 minute foot . be probably perfect spot could ask for . all , could fault Dream . People complain anything , try take negative review pinch salt . sure , ' m say may bad experience , stay 5 Star still thing go wrong ... Dream New York hotel would suggest anyone ! go back ! 
 Oct 17 2007 	 Dream 	 overall , find hotel lose lustre . understand particularly attractive first open , build get old chip furniture tile bathroom suggest hotel past prime . also , staff particularly friendly compare , term customer service , staff W , instance . having say , concierge , Kevin , brilliant make stay NYC enjoyable -- & quot ; know & quot ; regard trendy bar , club restaurant always willing help . the room tiny carpet need good cleaning . bed , however , incredibly comfortable . I book hotel website pay quite bit money -- not feel experience worth . also , ipreferred member , suppose obtain room upgrade availability . surly staff attendant front desk reassure receive room upgrade , clearly get pay for . in short , particular believe would well experience staff front desk friendly -- get hotel bargain , would recommend . pay standard price room , however , would suggest elsewhere . 
 Oct 12 2007 	 Comfy bed good bar 	 Lobby gorgeous cylinder fish tank . Front Desk Agents not overly friendly , job check ( related hotel uniform mustard yellow unappealing ... ) plus side ask ice bucket buy within minute . room decent size comfy bed . strange side creepy picture girl room ... artwork sort creepy . good stay , good location . tip : take anything mini bar want pay , sensor anything move take even put back charge . 
 Oct 7 2007 	 great hotel great location 	 hotel pricey worth . room quite small , bad New York . clean modern plasma tv great . blue light desk bed unusual touch - shame take we age work switch ! location hotel could not well . subway station around corner couple block Time Square . not eat hotel go drink roof top bar - fantastic , get early get busy . 
 Sep 27 2007 	 good advertise 	 attract hotel 's style despite mixed review decide risk get decent $ 240 rate well advance . disappointed . room roomy enough two people , stylish great bathroom & amp ; shower perfect antidote weary day walk around Manhattan . huge flat screen tv load channel , easy internet connection laptop etc . morning & amp ; evening someone would tidy room leave apple pillow weather forecast come day . find staff perfectly polite helpful . penthouse lounge hotel restaurant bite noisy we though never eat there . I would definitely stay . 's really convenient location quiet . 
 Sep 27 2007 	 Terrible Hotel 	 boyfriend stay Dream Hotel September . my friend rave bar roof top . room tiny far chic . air conditioner keep we night . stole boyfriend watch . try go bar sunday night , table open close 3/4 bar . attempt sit , scold waitress say , & quot ; SIT & quot ; like animal . terrible service , horrible hotel , ever recommend stay ! ! ! 
 Sep 24 2007 	 Anniversary Trip NYC 	 wife celebrate 2nd wedding anniversary NYC . usually stay Sheraton New York , city . think would fun try new hotel . read review little nervous might make mistake book hotel Dream perfect . check fast staff friendly helpful . room small put right weekend getaway . would defiantly stay next time City work fun . 
 Sep 7 2007 	 Perfect 	 great place . complaint . friendly front house staff , clean room , great roof terrace . get busy find good go early drink go , not go New York stay one place night anyway ! watch sun go , head ... People say lobby / lift get busy later , be stay hotel get priority . room smallish not great view , comfortable every respect soon step door ' ve get everything right , subway , shop , bar park . can not ask ! 
 Sep 4 2007 	 comfortable modern - noisy 	 stay hotel business trip , along three colleague . check hotel quick easy , hotel staff courteous friendly . wear strange uniform gold polyester , find odd hip , modern hotel decor . I & quot ; medium & quot ; room , supposedly come queen sized bed , think king . room good size , enough space walk around bed feel cramp . room look exactly like picture website , dark modern furniture , white wall , white bedding , blue neon light bed . thankfully turn ! bed really comfortable too . the closet tiny , deep enough hanger hang straight . bathrobe provide , use feel plush , towel . bathroom also quite small , expect , clean . big complaint bathroom lack counter space , six inch deep shelf sink . shelf also make uncomfortable lean sink , always feel like go hit head . the problem room street noise , loud . window right front door hotel , construction across street start early . trash collection apparently last night NYC , truck position directly window . move would require upgrade room . colleaugue room face street , complaint noise . over enjoy hotel would stay . 
 Sep 3 2007 	 Chic - trendy fantastic location 	 worried boyfriend tell book Dream hotel read review . ture staff bea bit rude nothing would expect New York . room small wow fantastic bed . want try get suitcase ! ! ! really go New York would want spend time room . hotel great business people trendy chic boutique hotel Manhattan . I would reccommend brit use hotel , location bed alone . the shower lush ! ! ! need walk day night . the room service brill ( brit - freebie fit suitcase ) shampoo soap etc lush ! ! ! still brill . the bar hotel nice ... dark cool ... please please put bad reviews . hotel good stay , location , chic beat rest . I spend weekend New York location everything , job . 5 min Times Sq , 3 min Central Park.5 Mins shop . love ... xx 
 Aug 29 2007 	 stylish pleasant modern Dream Hotel 	 read many bad review Dream Hotel NY , wary staying . however want stay location want stylish modern hotel , standard traditional hotel . I much enjoy stay there . I couple comment response bad review . think fair say hotel really suitable look cool modern hotel lively atmosphere . I find hotel staff perfectly pleasant rude . people mention concierge useless . use , like thing rely hotel staff tell go etc . room - lot review say room tiny . book king size room , great size . lot room , big bed , cupboard hang clothe , clean spacious bathroom etc . would suggest book king size room space . the negative put soft mattress main mattress sink ( ok great ) . butthe bad thing slip overnight bit mess morning . issue bar upstairs . all cool modern hotel , lovely room , nice environment . perhaps expensive get not hotel New York ! 
