great 	 stay Apex weekend November base review site . disappointed . stay King Deluxe room first floor room HUGE ! bathroom large bath walk shower . my gripe pillow terrible ! standard one feather would suggest order extra foam one comfortable night . the room quiet London could hear wind tree small square opposite window . within 3 minute walk Tower Hill tube station , take Embankment 5 minute walk Leicester Square etc . Ideal Tower London across road . not food hotel pub around block full english breakfast £ 3.99 ok we . also pizza place , noodle bar various eatery within 5 minute walk . would also suggest walk Tower Bridge walk towards London Bridger South Bank multitude place there . all fab weekend fab price . 
 Aug 3 2009 	 lovely hotel good location 	 stay hotel tenth wedding anniversary lovely weekend . weekend start delay flight 3 hr delay forget get hotel . close Liverpool Street Station ( arrive Stansted Express ) walk . 5 min walk Tower London Tower Hill tube station . staff helpful friendly room spacious clean . everything need room , include fridge ironing board iron . food hotel light breakfast room complaint , arrive time exactly ask . make use extensive list dvd hire ( free ) . would definitely stay . 
 Aug 3 2009 	 good location value 	 stay weekend 31 july till august 2nd . cabdriver could not find hotel first , be new hotel surround street building construction lot moment . get see nice hotel handsome interior . room spacious bed large really nice . bathroom also good seprate bath shower . service hotel also good , guest receive complimentary newspaper everyday nice . bar shop area close Saturday Sunday , walk bit take cab find somewhere eat , location still good . hotel right next underground station Tower Hill next Tower London Tower Bridge . would stay next time ! 
 Aug 2 2009 	 good hotel London 	 arrive early find friendly staff welcome we . want leave bag , tell upgrade could get straight room ! brilliant . and fab room . luxuriously decorate large bed lot pillow . luxury carry forward bathroom huge bath seperate walk - in shower room , lot lovely toiletry . a large flatscreen tv mini fridge complete . hiccup ( fault ) get 11 pm realise have forget toothpaste , quick call reception sort we within 5 minute door couple small dental travel kit . we do not breakfast Wetherspoons near , do not require . plus pub also serve food right 10 pm ... good news we do not get back 9.30pm . other positive include 5 minute away tube station , open top Bus Tour , Tower London London Bridge . brilliant area , superb hotel , fantastic staff . even cynical hubby say would not stay London hotel . Nuff say ! 
 Aug 1 2009 	 Excellent 	 London City ApexFrom welcome hotel friendly reception staff surprise give free upgrade good room type hotel . guess since Friday business guest leave hence free upgrade . the room huge large super kingsize bed , 32 inch flat screen , massive wardrobe . minor side view room , top hotel , look onto building site . ' London view hotel ' matter jot . the bathroom huge luxurious . deep single bath , walkin shower full height frost external window add feel hotel . toiletry excellent though unfortunately 125ml ' take plane we . at £ 100 room London , quality suggest steal . sure take tube get . care get spotlessly clean room might get hotel centre London cost double price nowhere nearly clean good quality . we would definitely stay . 
 Aug 1 2009 	 must stay london 	 lovely room great room service twice daily ! ! staff helpful polite- great location 2 min walk tube . upgrade we 1st wedding anniversary- amazing room ! ! 
 Jul 31 2009 	 totally agree review . 	 high expectation read review hotel . husband satisfied stay Apex London . deluxe room overlook little park across street . location - business district , many place close early around hotel . difficult time find somewhere eat around 8 - 9pm , remember another reviewer say plenty option across water . true , be easy walk get . still , note place stop serve food even 10 pm . overall , location hotel still great easy sightseeing , quiet night 's rest . room - room couch coffee table issue space all . amenity - slipper , robe , iron ironing board . one closet kettle coffee , tea , pack hot cocoa . can not stand hotel fill mini - fridge full expensive item . well Apex , also greet we closet snack ( Pringles , jelly bean , cookie ) not replace everyday , still nice touch . plus , EMPTY mini fridge handy store extra drink whatever else want cold . like other say , bathroom toiletry huge ( shampoo , conditioner , lotion body wash ) . stay 3 night not even use half bottle - 4 ounce ! would think huge expense hotel , be certainly generous different . fitness room also , nice , large side hotel gym . never see anyone use though . also take advantage free in - room wifi . need print something , printer lobby free charge . also borrow dvd one night dvd library fairly large . surprise , also ' adult ' dvds , note ask , sign out . staff - like other say , friendly super helpful . issue lobby printer try use , one staff behind counter let we immediately use computer printer get need . breakfast - continental breakfast include booking consist various danish , loaf bread breadboard , 4 different kind dry cereal , couple kind dry fruit , platter fresh cut fruit , glass various yogurt , platter cold cheese cold cut meat . bring personal pot coffee tea table , well toast . find continental breakfast satisfy never upgrade hot breakfast , last day Sunday , offer hot english scottish breakfast extra charge . sure be regular Sunday occurrence not . it awesome stay , high expectation thoroughly meet ! 
 Jul 31 2009 	 Four Star Hotel Five Star Service 	 stay hotel TripAdvisor recommendation . room excellent ( upgrade superior room anniversary ) . service friendly helpful , check - in stay check - Out . breakfast excellent , though little pricy go Braveheart Breakfast . always challenge . location quiet 5 minute walk Tower Hill Tube Station . personally , quiet worth remove Centre London . , might little far away hubbub City . downside stay daughter boyfriend join we evening ask whether could pot coffee tea 11.15 pm Sunday , tell bar service could find tea coffee room . Service Notes state would bar service 11.30 pm . hiccup otherwise perfect stay . 
 Jul 28 2009 	 hate leave ! 	 far good hotel B & amp ; B ' ve stay London , travel regularly . international staff impressive - quick assist bellman friendly helpful reception personnel - particular , breakfast staff , whose warm smile make feel right home morning . breakfast well norm quality taste ! particularly enjoy smoke salmon toast grain bread , greek yoghurt fresh whole berry parfait cup . the entire hotel fabulous , calm ambiance , muted color , good lighting stylish furniture . walk corridor wonderful rich feel . workout room also well equip . the room super comfortable bed , 4 pillow duvet not want move morning . Layout , lighting , fabric , furniture bath facility functional foster totally relaxed feeling . free in - room wireless work perfectly . plush towel , spa toiletry rubber ducky tub cute extra bath . the location superb restaurant , Tower , walk along river accessing part London . 3 night , disappointment leave - accomodation friendly personnel ! fantastic base London . 
 Jul 27 2009 	 Excellent location friendly staff service . 	 book expect windowless room would go cheapy rate . get room 7th floor access balcony great view Tower Bridge . room clean , nicely finish free access list dvd . not get use night . breakfast attentive , continental include fruit yoghurt could opt menu item . manage leave property room one phone call concierge way home get back post we . park fairly normal Central London . concierge map nearby secure parking . 
 Jul 22 2009 	 Luxury budget price 	 spend weekend Apex London , previously stay sister hotel Edinburgh think fabulous decide go London obvious choice . hotel good location minute Tower Hill tube station . reception area staff impressive , never trouble help luggage call taxi . room well appoint , slightly small Edinburgh still comfortable , also good selection toiletry bathroom unexpected room rate pay . cocktail hotel bar ; delicious though slightly overprice nothing outrageous , hotel price . I recommend hotel friend . 
 Jul 21 2009 	 Excellent Hotel value location service cleanliness . 	 wife stay Hotel weekend break , good value money 4 star Hotel London . stay London Hotels pay much , one lot , price , location , service cleanliness . would definately go back . several pub restaurant immediate area not want stay food drink will not problem ( weatherspoon round corner , full english breakfast £ 3.99 bargain ) . Butlers Wharf , Tower Bridge also worth visit Restaurants shop . Tower Hill tube station 3 minute walk away . the local area also good , feel quite safe walk night ( area London bit dodgy ) . one thing notice small local pub restaurant open Sat Sun , probably make enough money week business customer work local office . 
 Jul 17 2009 	 Excellent - back 	 lot research decide hotel . stay budget room basement . absolutely devine . could move ! downside , know anyway , window can not see weather like ! area perfect we . busy throughout day sightseeing etc come back evening freshen go drink bite eat . quite pub around . weatherspoon , Bar one , Hung Drawn & amp ; Quartered , Pizza Express . recommend hotel enough . 
 Jul 17 2009 	 Hidden Gem London 	 recently stay 3 night wonderful stay . upgrade Superior King Junior Suite LOVELY ! room big , separate sit area bedroom . decor great ... lot attention detail , room clean bathroom modern . mini - bar free ... rare day ... great touch . would highly recommend place ! downside , sheet great ( soft ) , bed not comfy ... need thick mattress pad , towel thin scratchy . however , easy look beyond everything else nice . another downside location , depend where / what London . bit far major attraction , quite close well . really enjoy stay ! 
 Jul 16 2009 	 Excellent Hotel good value 	 everything stay first class , moment walk door meet one friendly staff check . slight moan would lack proper view hotel window , apart room perfect , offer everything 4 * hotel . continental breakfast excellent menu evening meal seem reasonably price London hotel standard . location good two minute walk Tower Hill tube station . overall great value money give pay hotel less standard London . 
 Jul 14 2009 	 fabulous modern trendy hotel 	 stay 2 night boyfriend . book special travel agent 's rate , extremely good value money . book city double room arrival tell upgrade deluxe ! fab ! check smooth , receptionist friendly helpful . our room fairly large , double bed , sofa , big tv , fridge , walk shower bath . make excellent standard . even give complimentary pringle jelly bean ! decor modern chic , clean room bathroom . slight negative do not like pillow duvet cover , pillow squishy cover rustle night , that s personal taste ! room service high standard , £ 20 refundable deposit , could choice dvds watch . do not use restaurant order sandwich room come quickly . late night room menu limit though , basically bowl soup , sandwich ice cream . hotel minute walk Tower Hill tube station around corner various pub restaurant . lovely hotel stay 
 Jul 12 2009 	 Fab ! 	 spend two night stay leisure weekend London . fab hotel , great spot , two minute walk Tower Hill tube station Tower London . lovely comfortable room sofa bed make son . include safe , air conditioning , separate bath large walk shower , fridge quiet . spotless lovely bath product include rubber duckey big hit son . get well value quality service . area quiet get tube Embankment - West end , within 10 minute lot restaurant , show etc . friendly professional staff , free internet . not breakfast deal look fab next time indulge - stay ! 
 Jul 11 2009 	 perfect ! 	 choose hotel recommendation TripAdvisor really impressed ! go London celebrate husband birthday , book standard room arrival upgrade premium room 7th floor great view Tower bridge . room great , spacious really clean comfy bed , room even small terrace . the location business district close Tower London Tower bridge centrally locate although definately problem Tube station close , also boat run Thames short walk hotel . try hotel restaurant one night , quite ok would still recommend walk St Katharines dock close Tower bridge will find lot different restaurant , really cosy area . we book full english breakfast next time Continental breakfast ( include price room ) great yoghurt , lot fresh fruit , different kind bread , ham , cheese , salmon ... enough keep full well part day . : - ) , perfect choice spacious , clean room , totally wonderful friendly staff quiet calm location - definately come back ! 
 Jul 9 2009 	 Close Tower London St. Paul 's Cathedral 	 stay Apex Saturday Sunday night . hotel business district , weekend rate pretty good . Tower London across street . service excellent , room nice . free wi - fi , iron / ironing board large safe room . heat wave London , really appreciate air conditioning ! ! amenity really nice . breakfast hotel restaurant first morning , pretty expensive get ( be big breakfast eater ) . next morning , walk corner coffee muffin / croissant Pret Manger , wonderful , lot cheap ! ! 
 Jul 8 2009 	 Excellent 	 stay hotel weekend last excellent time . hotel conveniently locate ( 2 min walk tower hill tube tower London ) find easy get around . particularly surprised ' extra ' ' normally get hotel price range , toiletry , tea/ coffee making , free room safe , bottle water . bedroom well equip stylishly fit , normal bland budget hotel interior staff really friendly . also rate continental breakfast include excellent , good selection cereal , bread , pastry , cold meat , cheese fruit- fresh tasty . would definitely stay would hesitation recommend place friend family visit city . 
 Jul 7 2009 	 great place stay 	 free internet great perk stay hotel . also location convenient quiet . room awesome . great value service . 
 Jul 6 2009 	 Good Hotel - Service could Better 	 Booked hotel 1800hotels.com read review trip advisor . we pay £ 106 / night include continental breakfast 2.reception : staff helpful , minor problem computer system checking - in trouble . one keycard stop work first night typically way back breakfast everything room quick trip recption confirm furnish 2 issue . room : stay room 238 end corridor room , king bed , nice walnut finishing , good size desk , 30 & quot ; & quot ; old & quot ; CRT tv bathroom shower bath . word warn however wardrobe limited hangne space , 6 hanger enough room , iron ironing board store wardrobe - good room bit pain hanging stuff . other comment room spotlessly tidy , include bath room . next wardrobe anothe cupboard contae free room safe , fridge kettle tea . breakfast : manage get continental breakfast include room noow look like good deal , breakfast least efficient part service hotel pay £ 15 per person would impressed offer . 1st morning struggle get tea toast - arrive 20 min prompt also prompt buttter jam . 2nd morning seem change everything run smooth - credit young waiter serve we . 3rd morning normal service resume , table side knife , milk butter toast arrive prompt . thought even least sharp tool box able get hang set table , ask guest tea coffee bringing toast . wait staff ver efficient clearing table either get bit crowded table ! breakfast reasonable wide selection , 6 cereal , 4 cheese , 4 ham , couple bread , couple fruit juice , fresh fruit yogurt . whole sufficient not seem stock tray regularly either - patch Raddisson Breakfast . location : hotel well locate central London , DLR 5 min walk , Tower Hill Tube station 3 min walk , weatherspoon pub couple minute away , along Bar one Pub , Pizza Express , Pret Manger Subway round corner well . skip breakfast option probably weatherspoon day breakfast something pret would cost effective option . never use freee WIFI can not comment think great option have . all hotel good base cleanliness , location room , would go back aware hotel shortcoming may little different . could work breakfast would say would well value money . 
 Jul 6 2009 	 helpful staff 	 travel agent try tell stay business district . ' m happy take advice . neat tower London since go Wimbledon underground direct line street . 
 Jul 6 2009 	 nice place good location 	 stay wife deluxe room . pros- clean modern design hotel- great location- nice staffcons- breakfast worth price , cold bar poor fry - up ( egg , sausage , etc ... ) take 15 minute prepared- minibar room ( even deluxe one ) - construction site nearby , quite noisy 
 Jul 4 2009 	 Amazing experience 	 wow hotel ! room spotless , downside lack teletext plasma tv wall , however picky ! staff although good English well understand could not enough we . start door doorman take suitbag hang whilst attend book reception . give 1st class service 1st class people . we think breakfast include although case , perhaps something other confirm reception check in . all 1st class stay 1st class hotel . will definatley return someday ! 
 Jul 3 2009 	 pleasantly surprised 	 book one value ( basement ) room low cost , expect one small modern clean & quot ; W Hotel & quot ; room . walk room much large anticipate , thrilled . room nice size , plus alcove small sectional sofa ( believe 42 & quot ; ) plasma television . room clean , comfortable spacious . the staff polite & amp ; helpful location fantastic . ton restaurant area Tower Hill underground station 2 minute walk away . grab take - away breakfast neighboring Pret every morning eat bench lovely Trinity park ( right next Tower Hill station -- former home notorious execution site . memorial Thomas , Bishop John Fisher countless other die ) . also suggest walk nearby St. Katherine 's Dock -- enjoy Dickens Inn Mala , delicious indian restaurant . the Apex primarily business hotel stand bit tourist , care ? highly recommend . 
 Jul 2 2009 	 gem hotel ! 	 usually hate stay London hotel - feel rip price substandard accomodation lacklustre service . therefore , year search hotel meet need London business leisure , delight find hotel buck trend restore faith . the room wonderful - comfortable modern well finish . staff always friendly helpful make feel value . the position hotel - close Tower Thames - make accessible relaxed walk around city offer wide range amenity . this hotel would recommend London ! 
 Jun 29 2009 	 well take care ... 	 wife book Apex London 6/25 - 28 anticipation first ever voyage England USA 5 day Rotary Convention Birmingham , follow 3 day London . do extensive research find terrific review consistently Trip Advisor hotel 4 star . Apex 2 blk Tower Hill tube station Tower London . clean orderly emphasize , room limited view London Bridge overlook small park building along king size bed Superior King , also sit room couch , desk ( electrical locate mirror ) tv w / Bose Stereo ( free 128 dvd library want ) . hotel room GB seem smallish vs USA , pleasantly surprised ! able unpack put item away well think side closet drawer ( Radisson hotel drawer suitcase ) . amenity full toiletry coffee / tea complimentary snack bottled water well do . , take note not provide tea coffee mug , cup saucer ! also greet white Terri Cloth Apex robe slipper room , journal London visit need complimentary newspaper . separate shower deep tub , normally find combine . everything well maintain , nothing appear worn , electrical work well . fridge use , need , course safe . access internet email hotel provide system , service outstanding concierge service helpful first timer city . restaurant quite good ( burger hand prepare thick ) , able package continental breakfast morning stay Travelzoo.com , hotel commonly offer package anywhere London could find . really hunt . lastly , hotel offer package dinner theater discount , etc , never take advantage already make separate plan . also large exercise room equipment last level never access either . clean , accomodate friendly service , professional appearance , good food orderly . surprise hidden fee check . come USA , bring 2 3 pronged electrical adapter - desk one 3 prong use , 2 prong could use . plug 3 prong outlet , 2 prong adapter U.S. 2 prong electrical device could plug . oddly , GB hotel electrical bathroom mirror except shavers hairdryer ( hotel provide ) curl iron lovely wife use sitting room . least mirror , hotel not even . aside , mostly seem national reality rather specific hotel , highly recommend Apex City London ! ! 
 Jun 25 2009 	 Quality good value hotel near tower london 	 say staff excellent could not enough help we . room spacy good facility . we eat bar quality food good , little pricey ( standard 4 star hotel price ) .The hotel close tube make relatively easy get west end . also right heart tourist area tower london . one advatage city location quiet weekend . would reccomend anyone . good value £ 80 per night room . 
 Jun 25 2009 	 comfortable clean modern hotel 	 book Superior King room £ 110 Saturday night get really nice room comfy large bed , large bath walk shower . lovely quiet overlook church tube station short walk away . use place 
 Jun 21 2009 	 Excellent Hotel - 4star hotel bargain price ! ! ! ! 	 girlfriend stay hotel 3day break London would happily recommend anybody look somewhere stay London . hotel locate business district near Tower Hill tube station easy access centre london , west end etc . staff pleasant , polite , helpful extremely efficient . room spacious well appoint large shower seperate bath . downside fantastic hotel lack amenetie open late night , business district , shop close early ! not really issue though , know stock early day ! ! ! ! ! definitely worth stay ! 
 Jun 18 2009 	 Excellent Hotel faultless amenity . 	 highly recomende anyone book hotel London . Hotel superb & amp ; within bus ride everywhere significant see London . staff proffessional . hotel faultness . 
 Jun 16 2009 	 almost faultless 	 Stayed way back holiday , meet friend London , happy hotel . Quiet ( London ) , well situated , helpful staff great room . the detraction breakfast - friend praise Apex hotel breakfast different experience . take 3 request pot tea , toast stone cold , table not properly lay , cereal ' selection consist cornflake , branflake muesli , pastry selection minimal service generally poor . staff spend much time clear enough time serve replenish ; happy . the room however , excellent - spacious , well equip comfy ( little warm - a / c not good ) .We would stay , location room . 
 Jun 14 2009 	 first class 	 partner experience first class service Apex City London Hotel . book suprise romantic theatre weekend dissapointe . service efficient friendly , mention helpful . room 5th floor . coner room spacious fit decor stylish indeed . want take soft furnishing home .... discern taste ! bed confy area quiet evening great nite sleep . bathroom roomy shower cubicle big enough two rather nice bath . would def stay .. sample gym downstair look great underused . ( empty go check ) . well do Apex , can not wait come back . 
 Jun 12 2009 	 Fabulous Hotel 	 husband stay hotel last weekend would happy recommend hotel anyone . whole hotel modern contemporary feel staff extremely friendly helpful could not enough . room clean modern fabulous facility , fridge , iron tea / coffee plasma tv , excellent bathroom luxury product complimentary . we breakfast include stay great . lots choice buffet could eat much like ! 
 Jun 7 2009 	 Superb hotel great location great value ! 	 stay Deluxe King Room view Tower Bridge , think good value . room large , comfortable clean . as well advertised perk Bose CD / dvd sound system , large wide - screen tv , bath robe & amp ; slipper , separate bath shower , good quality toiletry , fridge , safe , free wi - fi , free morning paper , etc . little touch ' expect , free DVD library cute rubber ducky bath tub ! hyper - critical , guess thing might mention " view Tower Bridge " bit limited – could see bridge , quite small corner window . all staff talk friendly helpful , really make we feel welcome . check we early , help we direction , sort stereo system ' figure work , take picture hotel ' green cow ( interesting artwork lobby ) , generally happy chatty people . the full scottish breakfast , include haggis black pudding , tasty set we day . the hotel business district mean quiet night ' good night ' sleep , hundred yard Tower Hill tube station ' easy get ! really pleased choose hotel , almost certainly go back . 
 Jun 4 2009 	 go back 	 offer hotel one want ( london Bridge ) fully book - disappointed . hotel stone throw Tower London Tower Bridge minute Tube Tower Hill . heart financial district busy week nice quiet weekend . standard room fair much well name suggest , room nice enornmous bed walk shower plus bath , air con , fridge , safe . the continental breakfast fine lot choice include price full english price - may consider booking room Weatherspoons pub corner road breakfast £ 2.99 ; quite bit custom weekend drink hotel overprice . all thing consider would definitely go back . 
 Jun 4 2009 	 Best Budget Hotel ever ! ! 	 return one night stay Apex City London Hotel , stay one budget room . bit worried room might like not window bill much ' budget room ' . say get room pleasantly surprize find luxurious budget room ever stay in . I one fussy people complain everything often impressed , hats Apex . def stay recommend everyone know . 
 Jun 3 2009 	 huge comfy modern room close City Tower London 	 stay whilst conference Old Billingsgate Market . the room great , really big , really comfy , really modern . bed really comfortable . the bathroom huge big walk shower bath . Plasma TV , coffee make facility , safe , wifi , iron board , mod con . location great city tower , dockland etc . breakfast fantastic ... huge range delicious food . I love hotel would definitely stay business pleasure . 
 Jun 3 2009 	 great hotel London 	 stay 2 night Apex London hotel feel comfortable . clean , big modern room nice bathroom ( deluxe ) . fair rate . quiet street . tube bus station around corner well Tower Bridge Tower London . great hotel weekend business trip . we come back next stay London . 
 Jun 1 2009 	 Excellent value London 	 stay one night Budget City Room . basically standard room basement , therefore window . excellent value London hotel . room spacious - large bed , l - shape sofa , coffee table , desk / dressing table , massive tv , walk - in shower , large bathtub ... however , breakfast disappointing . expensive ( £ 25 + two us ) food terrible . coffee worst ever . great location Tower London . 
 Jun 1 2009 	 Super Modern Clean Hotel - Stay ! ! 	 really super modern hotel ' m picky . the room clean modern / boutique style . bathroom clean lavish seperate shower room large bath ( standard room ! ) .The room expensive furnishing include 40 & quot ; LCD TV Sky include . I would definately stay value ; £ 100 whereas Travelodge would cost £ 85 ! would definately pay extra every time . also stay Apex Edinburgh good . it also literally minute walk Tower Hill tube station , close London Bridge area . restaurant / bar want cheap lunch option pret sandwich place next door . also bar one accross road alternative . 
 may 31 2009 	 Great Hotel great location 	 hotel clean en modern hotel . 's location 2 street away underground Tower Bridge . room spacious en nice . staff helpful even give we room 9 o'clock morning arrive . would stay ! ! cheap , certainly price worth ! ! 
 May 28 2009 	 Wonderful Hotel ! ! 	 fiance stay hotel 3 night . room modern , spacious , clean . bed extremely comfortable duvet cover . big LCD TV , fridge , iron board , closet . bathroom spacious shower tub . toiletre provide good quality ( shampoo , soap , conditioner ) medium sized bottle last we full 3 night . choose room window save money not make difference we window room nice big . reception desk friendly offer we great suggestion food - look try indian food direct one fine dining resturant Lovage wonderful cheap alternative Brick Lane street abundance excellent indian restaurant well . location hotel convenient - tube station 3 minute walk away less 20 minute tube get major attraction . reception also store luggage free check not travel till later day check noon . free internet access well although not use - think hotel provide code enter use . overall , great stay hotel would defintely return ! price pay ( $ 140cdn night ) well worth room feel luxurious ! 
 May 25 2009 	 stylish clean hotel excellent service . 	 take 6 year old daughter weekend London . though ostensibly double room , hotel happy set sofa bed . room clean stylish excellent bathroom ( seperate shower bath ) . service restaurant uniformly excellent , staff particularly attentive little girl always score highly . excellent hotel reasonable rate . 
 May 20 2009 	 great hotel London - great value 	 Superb boutique - type hotel step away Tower Hill tube station . nice room , friendly staff ... worth stay London . good value ever London ! 
 May 18 2009 	 customer service need improve ... otherwise great hotel 	 friend stay hotel 2 occasion May . first , describe like hotel . occasion , room give top notch - spacious room bathroom excellent amenity iron & amp ; board , hairdryer , lux toiletry even cute rubber ducky . bed comfortable trouble wake morning ! good . stay weekend , real hassle get West End / Oxford Street yellow ( circle ? ) line closed upgrading occasion . walk Bank station , 10 min away . get food difficult place area close weekend . say , east end attraction ( Tower London , St Pauls , etc ) easy get Old Spitalfields market mere 15 - 20 minute walk away . customer service definitely need polishing . want make call UK mobile phone call reception enquire charge ( pamphlet room specify charge call UK mobile line ) . Reception say check call back , not ( wait 15 minute ) call transfer concierge desk . guy speak sure said & quot ; 20 penny & quot ; . make 6 minute call upon checkout , horrified see charge 4.20 GBP call . work 70p per minute ! explain , reception lady agree take charge bill , although rude unfriendly manner . all , good hotel come business visit east end . check tube schedule plan closure weekend . know yellow line operational , doubt would choose stay hotel . would also well service staff show warmth smile attitude , go extra mile help guest . 
 May 18 2009 	 Truely exceptional 	 meaning write review several time . stay Apex several occasion business reason multiple room booking . find great hotel stay . good mannered polite staff , lovely clean building throughout , nice bedroom , clean well lay , can not fault . nice bar , great way lay , open plan rather locked room . love idea Al Carte service Breakfast , mean get nice hot fresh breakfast , also importantly hotel waste money throw excess food away . hotel learn . would recommend hotel anyone , whether visit london business social event . customer service exceptional . staff mangement Apex hotel keep good work , deliver great product . 
 May 17 2009 	 Great Location Business 	 hotel great location business , nothing anymore 5 minute walk away . service breakfast well , primarily communication issue , can not understand can not understand . appreciate come different language speak country assume english language country stay get little frustrating repeat request 2 3 time . I sure Apex room movie , cost would assume , need look many people include want walk downstair book dvd . think need look assume many 4 star hotel common place . overall though would stay also advise staff stay , although comment ' nice 's ' minor whole scheme thing . 
 may 17 2009 	 definitely stay 	 choose hotel reading review trip advisor . room good . flatscreen tv though . bathroom lovely toiletry product excellent stingy size . decor modern discreet . two twin bed would prefer King fair never ask change not know could . like layout room make feel big tv seating area , almost like mini suite . room bad size London Hotel . Staff efficient check we . bar staff also good . the location ok , good touristy stuff South Bank Tower London . city absolutely dead weekend . get catch lot tube maintainence go near line ( circle / district Metropolitan ) close . walk Bank , 10 min . 
 May 15 2009 	 shall Return 	 daughter thoroughly enjoy hotel . appreciate ambiance , cleanliness , spacious room , lovely linen , special bath product . service excellent location London Tower exactly look . 
 May 13 2009 	 excellent base excellent weekend 	 arrive early despite good attempt London transport . pleasant check - in easy luggage storage . arrive back later , find room everything expect - clean , comfortable , really good shower , comfortable bed ( view though , expect ) .Eating locally problem , 5 - 10 minute walk St. Katharin 's Dock . establishment locally well . breakfast good wide choice . overall good London hotel 
 May 8 2009 	 weekend london 	 Excellent location good service helpfull staffbreakfast disappoint expensiverestaurant overatedoverall good location explore london 
 May 8 2009 	 great location staff room ! 	 book twin room hotel Xcapewithus , unfortunately ( unknown ) cease trading day arrival . arrival attempt check girl reception inform reservation cancel previous day , helpful send friend bar complementary drink attempt find happen . discover cause problem apologetic long twin room available room could offer we budget city room . suggest try room one night not suit would see else available we follow day . despite minimal natural light ( room basement ) pleased room , spacious super king bed , sofa , desk , huge tv fabulous bathroom . gripe bed firm taste cos side sleeper . all staff pleasent nothing much trouble . location hotel , be 2min stroll Tower Hill tube station plenty place eat nearby . wetherspoon corner great breakfast less £ 5 ! 
 May 5 2009 	 excellent stay ! 	 stay hotel 6 time , past year . every time excellent stay . we never room , even style / decor room . like 's individual feel it . our rate include continental breakfast , full english £ 5 supplement . the staff great , say look forward return July . 
 May 5 2009 	 good hotel excellent service 	 nice , clean quite hotel city . friendly helpfull staff . good value money . defenitely stay 
 May 4 2009 	 excellent hotel offer 1st class customer service 	 visit hotel theatre break 3 friend . celebrate friend 's 50th birthday moment arrive hotel service receive exceptional professional . room fab : comfy bedspristine bed linenlarge walk shower bathfridge , safe , hairdryer , iron board iron roomspotlessly clean . breakfast hotel include price exceptional , delighted service provide Paul ( manager restaurant ? ) . nothing much staff make breakfast pleasant enjoyable experience . thank you . we view make difference we room bathe sleep . & quot ; ouch & quot ; moment purchase round 4 drink bar bill £ 30 ! ! ! , little gem hotel minute walk tube station Tower Hill , not mind wee bit biz , try hotel - disappoint . N.B.Buy OYSTER card travel London Transport - save we fortune . go see & quot ; WICKED & quot ; Apollo - fab show , even 2nd time around ! 
 May 1 2009 	 sure 's high 	 stay one night . could not fault hotel . Unsure 's high list . good value Money , location good clean . room small side London 
 Apr 29 2009 	 great value London 	 recommend hotel , perfect , quiet location near Tower heart City London . room clean nicely decorate good sized London hotel . bad thing sound air - conditioning even turn ! 
 Apr 28 2009 	 great hotel 	 2 night stay great hotel freindly polite staff , exellent breakfast , upgrade deluxe room ( worth every penny ) extra room make huge differance , 2 min tube & amp ; public secure parking would recommend hotel one would return time 
 Apr 27 2009 	 great value ! 	 good . 3 minute Tower Hill station , 10 minute walk Tower Bridge Tower London . hotel modern , clean , quiet . staff helpful ( gf wallet steal Camden ( watch pickpocket ! ! ! ) help we way ) . room small side expect . bathroom spotless high quality amenity continental breakfast ( include rate ) excellent staff serve could match 5 star hotel . bar good selection drink , cocktail serve top - notch . excellent hotel . would go back minute . 
 Apr 26 2009 	 new clean excellent location 	 stay 1 night April . clean room , ammenitie new stylish , free wireless great ! location close Tower Hill tube station . great short stay London . 
 Apr 25 2009 	 amazing price 	 stay Apex one night London watch London Marathon . stay one hotel 's & quot ; budget room & quot ; , room basement window . barely GBP 50 per night , quite steal , Apex turn largest well appoint room ever come across uk . basement room great respect natural light , be probably big deal many visitor . spacious , beautifully furnished , great bedding , large bathroom separate bath ( large ) shower fancy toiletry . free wifi unusually fast . stone 's throw Tower London . great deal ! 
 Apr 23 2009 	 enjoy 3 delightful night Apex 	 £ 300 incl . continental breakfast spend 3 night Friday Monday up - to - date hotel . although come 11 , check - in quickly also get nice room & quot ; view & quot ; ( view include see surround building narrow street ) , huge bed , 40 & quot ; flat screen tv possibly well design bathroom ' ve encounter hotel - visit career . spacious walk shower plainly sexy , also bath tub bathroom well nice complimentary toiletry . concierge service friendly helpful , everything hail taxi via make reservation restaurant carry bag . also get free wi - fi connection stay , be convenient 21st century . we enjoy breakfast every morning , although continental breakfast not favorite way start morning , enjoy every crumb toast every sweet piece pineapple goody . breakfast also available room service , not breakfast room . nevertheless order 2 club sandwich , although bit small , tasteful fair value money . fry , though , probably ordinary encounter 3 night spend hotel . Apex 2 - 3 minute walk Tower Hill underground station therefore 3 - 4 minute walk historic Tower London 's iconic neighbour , Tower Bridge . tube be 10 minute away Westminster / Big Ben , architectonic masterpiece Gherkin Lloyd 's building 5 - 8 minute walk away . would definitely recommend hotel every person consider stay London , especially weekend predict get good deal stay ! 
