great 	 world travel gay couple rarely find homophobia . upon arrival hotel greet young lady front desk . ask we three time correct want king size bed . assure correct sneered look like go ill . maybe , defense . warm greeting . the next day ask concierge time TKTS discount broadway ticket booth Times Square open say idea walk . stun we . later day different concierge hand helpful . room huge , comfortable clean . location can not beat . recommend hotel friend probably stay somewhere else next visit NYC . 
 like home 	 really really like hotel , nice place , easy reach mean ; service perfect , price effordable worthy people gentle . 
 Beautiful Hotel RUDE Front Desk Personnel get low mark 	 hotel surprisingly beautiful woman front desk horrible . misdirect room go hotel trying find , keep insist direction accurate . take colleague notify direction flaw even notice still not apologize look computer . later need call front desk person answer - quickly interrupt conversation response hang . beautiful hotel staffer work MOTEL , hotel . recommend hotel mindful rude staffer 
 apparently many folk think be Leona Helmsley 	 stay past ( 2009 ) Thanksgiving complaint whatsoever . the room ( king smoke 14th floor ) large comfortable clean . my good tip ? * * roosvelt deli west end block . cheap , friendly ( ! ) , open 24/7.i think 's safe assume property renovate part Holiday Inns ' & quot ; makeover . & quot ; , ask two cent ' worth , would bring two things:1 ) bright lighting , 2 ) ice machine every floor -- currently be stagger . meanwhile , must say like . travel would prefer , would definitely stay property . 
 Basic Accomodations .... get pay 	 bad hotel mean ... basic run . decor old drab , location mean great . however , far Columbus Circle , Central Park choice , right . unfortunately , get stick hotel Hotwire . sometimes get good , sometimes get bad .... time drab . 
 Apr 26 2009 	 New York good Holiday Inn ok . 	 usual stay hotel ( father ) 16 year old daughter walk room see large happy , last thing need squish around room say 16 spend time bathroom happy small use lol breakfast anyone would like good place go Moonrock Diner Café come door hotel turn right one block leave staff food great . back hotel book hotel price get great price line pay front happy large room , Carl Concierge great help even stupid question lol . the hotel room need make old old old find clean . you can not beat hotel stick location one block 2 central park even taxi max 9 buck times square use bus Subway little tip subway ticket use bus also . look New York room 730 look road matter go hear noise hear wrong city lol say bad . over would stay price location alone look thing fancy " forget - about " . 
 Apr 19 2009 	 pitt 	 try find somewhere else . this hotel like drive motel .need refurb . 
 Apr 19 2009 	 lousy service check option 	 hello , book hotel since able use airline loyalty point . wish would made decision . we family 16 year old boy . book hotel room 2 double bed also voucher state . arrive hotel , informed room king - size bed available . since teenager 180 cm tall , could accept sleep roll - over bed . receptionist unpolite , never meet anything like she . we discuss manager duty insist roll - over bed brand new comfortable . promise could change room next day like . never deliver roll - over bed room . go reception since long flight want go sleep . & quot ; brand - new & quot ; roll - over bed come , horrible . dirty , lousy mattress short sleep properly . result : teenager sleep problem back . next morning go reception twice order get room change one promise we . get help luggage need carry everything . challenge : live low floor , need wait long time ( 10 - 20minutes ) get elevator go . three elevator people stay room 10th floor fill . breakfast lousy . go deli leave side hotel , corner . excellent pancake , sandwich good coffee . small table , eat in . due recession , hotel room available Manhattan . go check option Holiday Inn Midtown , 57th street . 
 Apr 14 2009 	 pleasantly surprised pleased 	 interesting location west Midtown hint realism people away bright light far . easy walk distance like Central Park Times Square . subway station also 3 4 minute walk away great fun use - suggest buy $ 7.50 Metro Card unlimited use day . sightseeing bus also good value often get deal talk uniformed salesmen street cornor ( yellow red outfits ) . commentator interesting slant life ny . deal also include Empire State Boat trip around Manhattan . warning , go Empire State get 9.30am leave 4.30pm due long queue - mainly due security . hotel friendly expect . breakfast ample reasonably price . Felt safe street would use .. 
 Apr 11 2009 	 two mind 	 outdate place . old room need refurbish , really clean staff helpfull friendly except Carl booking ( musical , theatre , restaurant , club , ... ) 's gem . location good price reasonable ny . 
 Apr 11 2009 	 be not bad check bill end ! 	 stay Holiday Inn , slightly cheap rest hotel ic chain . its 10min walk PATH station ( go Newark Intl ) . check good quite quick . platinum member priory membership club , give voucher continental breakfast morning , unexpected . get room 5th floor . room twin bed room quite spacious New York . room look bit tired clean . bathroom set bit weird , sink outside ! bathroom be not nice smell damp & quot ; friendly & quot ; mold grow corner . room equip large tv coffee machine , tea us Brits ! : - ( would like safe room look everywhere 15mins , could not find one ! room clean everyday good standard , one seem notice mold bathroom ! use voucher breakfast , extra sometimes menu . price breakfast seem reasonable quick . the good thing hotel location ! could times square 15min walk . day - day night - feel quite safe . on last day advise could actually use breakfast voucher give menu minus $ 5 bill ( reception conviently forgot tell we ) . however cause problem , come bill check still charge full amount . reception seem care could not bother help resolve problem . realise like talk brick wall , pay leave huff ! overall , slightly cheap rest hotel IC chain would probably go next time ! pleased location . 
 Apr 9 2009 	 Perfect Location ! 	 Mom , Grandmother stay Midtown Holiday Inn Friday - Sunday April . hotel room adequate , location could beat ! 15 - 20 minute walk take Central Park one direction Times Square direction . three we fit comfortably room 2 double bed . would stay ! breakfast , sure try Morning Star Cafe breakfast - right corner 57th 9th . also eat breakfast one morning Brooklyn Diner , little pricey , good . dinner option : - eat O'Neal 's ( 49 W 64th street ) theater one night - good upscale american food ; moderately expensive- also try Patsy 's ( 236 W 56th Street ) - great italian food , so - so service high price ! 
 Apr 8 2009 	 bad hotel ex location good price 	 hotel expect holiday inn , ex location , good price , fairly sterile atmosphere clean . room fairly large , everything need provide room , hairdryer , plenty clean towel , crisp clean sheet , plenty hot water iron ironing board . room properly service everyday . staff polite accommodating . apart hotel need complete decor overhaul , food great . none group impress find several ex place eat near hotel . Moonrock diner eat lot meal . ex pancake breakfast , huge portion interesting special dinner super price . meet Rachel Allen one morning ! half block right go front door hotel , near kennedys pub opposite side road hotel . super deli leave hotel end block take away - huge sandwich , really tasty open 24 hrs . location hotel ex - walk 5th ave first day get taxi need go . problem get outside hotel . would return hotel , mainly location price . 
 Apr 6 2009 	 Nice staff / but dirty old 	 location decent , hotel need major remodelling . room old , smokey , dirty . bedspread look date . bathroom tiny . last stay , bunch kid live next door mother , could hear every word 11 pm go sleep ( finally ) . room adjoining door paper thin . old dinner plate cake dry food room service stay hall outside room nearly day . unsanitary . ton tour bus tour group use hotel . ( think ... kid field trip going see Mama Mia ) . people work great friendly . get impression know place dump , be cheap 's Midtown bother fix . also , elevator extremely slow , cramp , stop nearly every floor . good fitness center . restaurant so - so . toast dry ( ? day old bread ? ? ) . coffee decent . gift shop joke . cash register not work call maintenance fix . 
 Mar 31 2009 	 good value money 	 actually expect less hotel , price midtown manhattan . stay 3/27 3/30 . concierge duty friday saturday ( evelyn ? ) helpful . honest happy help . impressed . entire staff wonderful , waiter restaurant , friendly people gift shop , doorman . hotel old , room big , be clean , feel safe . would definitely stay . 
 Mar 25 2009 	 Excellent Location - great value ( least low season ) 	 spend one night March 20th March 21st , great . Central Park 3 block Hotel . Times Square 15 minute walk top , west 57st nice restaurant , sort ammenitie close by . the Hotel two tower , B , B look well shape , stay room great . comfortable bed , nice clean , good bathroom , etc . I not know 's low season thing , pay $ 152.10 night taxis ( AAA rate ) , think great deal Manhattan Hotel Room . 
 Mar 11 2009 	 good location terrible staff 	 good location , good room . one night hot water nobody tell we . get back shopping day Woodbury hot water fwe come shower . apologyse advice one tell we happen water would abble guest . , night , stay hotel ( good room service ) . whole hotel repair , dirty . price okay great location . 
 Mar 10 2009 	 Excelent Price 	 want go Ny intend walk day good atraction city , night , arrive absolutely clean comfortably room NY excelent location ( near train station , Central Park , columbus circle , Broadway , Times Square , .. ) good price , real good choice . wait luxury , modern decoration , gorgeus swim pool view ( new resort resort ) . would come back sure . 
 Mar 9 2009 	 Good value -- Fine Location 	 's Holiday Inn -- sterile atmosphere lack character warmth par course . room clean overall small noticeable old stain furniture , carpet bed spread . bed linen clean nicely preppe . room hallway look slightly dated start show wear tear ( often coated paint ) . room small side serve need . unfortunately , sleep hamper lack dark curtain around window ( sheer curtain provide ) . clean staff friendly helpful . front desk indifferent sometimes unhelpful rude . one bothersome note bellhop insist take bag room ( annoying ) -- accompany we . mean sit room 15 minute wait bag arrive wonder passport safe ( tipping privilege ) . 's point ? carry bag hotel surely take elevator ? location central . get good deal room reason would return ( assume could get similar deal ) . 
 Mar 7 2009 	 clean clean clean 	 Easy walk Lincoln Center , Carnegie Hall , Columbus Circle Central Park , close bus subway , can not beat location . quiet room good size comfortable , good bed , pile soft pillow , sheet blanket always appreciate . large squeaky clean bath plenty towel . people could not friendlier helpful . get great rate think hotel gem . would go back heartbeat . 
 Feb 28 2009 	 Hope stay .... often ! ! impressed 	 pleased service receive family three young teen .... everyone hotel friendly helpful ... front desk , housekeeping bellhop service .... morning paper , coffee , extra towel amenity .... store luggage day departure . could not impressed service fantastic location , reasonable price ! ! ! close many tour , museum , restaurant attraction ..... walk distance Times Square , Broadway District , Late Nite David Letterman .... Central Park , Park Plaza Hotel , 5th Avenue , Trump Tower , etc .... great restaurant , shopping ...... already plan another trip ! ! 
 Feb 28 2009 	 cheap 	 trail net decent 3 star hotel Manhattan , soon realise quite task find one without bed bug vermin infest hotel . review read 3 * hotel within area Holiday Inn , stay , many review highlight , pleasent experience ! upon arrival , greet bell staff check problem . smoke , unfortunately book smoking double room . floor room smell smoke though , good thing ! decor hotel room date , furniture . room big , enough space 3 us lounge ( room could easily hold another person ) . book 2 double bed find rather small comparison country , ideal 3 , 4 maybe push bed front ! amentie room : -HairdryerComplimentary lotion , shower gel shower capCoffee Machine ( top extra everyday charge ) TVInternet Access via tv costirone board IronRadio alarm clock ( * bit dodgty keep go hour ! ) HeatingThe bathroom tiny - read review big bathroom luxury New York space = money pay Holiday Inn hotel value 's fine ! therefore not really issue ! although find odd basin sink outside bathroom ? ! ? ! ? sure room stay , hey ! school opposite room stayed - go spring break traffic / noise morning . window single glaze ' m guess would hear lot term time ... also wall thin , hear water pipe wall . note light sleeper - take ear plug ! parking hotel , be charge something like $ 45 day . good check plan hire car whilst . transport link pretty good - 's subway block away time warner building ( oh yeah Ricky Martin live around corner hotel ! ! ! ) always cab pass hotel . there drawer neatly store clothe . , read review , seem major theft problem hotel , can not say notice anything miss , time leave phone camera room exactly lft come back . go summer month , rooftop pool open within certain hour day . obviously February freezing , locked , can not really say big ! location wise , hotel situate around 50 min taxi ride airport . note : cab flat rate $ 45 ( + tip ) airport Manhattan destination . fool cowboy cabby hover approach airport ask $ 50 + discourage lining ! ! ! apply return . something call airtrain , travel people work cheap get cab . long queue , patient cab wait line go quick ! ! ! ! hotel around 15 block Time Square - far walk , maybe 15 min - ' m quick walker either ! ! ! tour bus stop block hotel well , decide take red/ blue city tour guide , good familarise surround street . up road starbuck ( see say 's starbuck every corner , literally ! ) - cheap compare England nice breakfast hotel pricy menu . hotel internet access something like $ 4 per minute rip - off - starbuck free wireless access anyone take laptop they . there also nice little turkish restaurant ( halal ) across road starbuck near hotel price well - full meal cost $ 10 beautifully cook ! ! ! eat every night problem , staff really nice friendly . there be also McDs cosmopoitan building ( will know see - 's weird shaped building make mirror make top magazine - locate 2 minute road hotel ) . mcds stop serve breakfast 10 am - 's really cheap ! ! note general - New York different London . haggle stores ! ! ! ( * obviously place like Macy 's Bloomingdales , independant store ! ) . know non - us citizen claim back 11 % purchase tax . remember , clothing thing tax New York ... broadway / sporting ticket . the hotel entertainment booking desk - pricey , good go broadway theatre buy good available seat day . also find ( i.e . go see Mary Poppins ) charge theatre box office $ 31.50 ticket . ask hotel , say cheap seat available $ 60.00 show seat ! apply knicks game , Madison Sq . Garden box office = $ 80.00 , hotel = $ 110.00 . good save penny book direct about . one bad thing , control hotel course , water really harsh New York make skin rash ! take cream / lotion case skin sensitive . all , Holiday Inn . problem get towel bed linen change everyday maid service pretty good untidy bunch good time . bad thing tv choice ( maybe 's broadcasting network shabby choice ! ) price food entertainment hotel ! ! ! not like New York - people rude London much well , go probably would stay Holiday Inn . 
 Feb 25 2009 	 beyond expectation ! 	 friend stay hotel 4 day . extremely amazing meet expectation . location ' well , anything need either street around corner . inn typical holiday INN . room immaculately clean spacious … . ( well , ) . furthermore , house keep job well . everything organize update . overall , would give specific hotel 10/10 . 
 Feb 25 2009 	 Great Location 	 2 girl celebrating & quot ; 40th 'S & quot ; , decide shopping trip NY without husband kid ! ! ' ve return 4 night stay Holiday Inn Midtown . read previous review , unsure standard hotel expect . pleasantly surprised ....... yes , decor fo corridor could update ..... price , clean , staff friendly helpful maid daily service thorough . lucky 17th floor ...... room view get ! ! ! ! room super size ( plenty room leave daily purchase ! ) , 2 double bed , comment comfortable bed come across hotel . the location great . first time New York , delight find many place interest walking distance . close Times Square , Central Park , theatre district many good restaurant ........ make use hop hop city tour bus catch several street away . would definately recommend hotel , like we , shop , shop , shop take sight . hope return Holiday Inn Midtown 50th 's ( possibly bring hubby ! ! ! ) 
 Feb 25 2009 	 shopping trip friend birthday place 	 staff friendly , allway willing help get we book sex city tour also mama mia reserve we table tony italian restraunt times square any1 going check beautiful food drink expensive go jug sangria mmm lovely 
 Feb 20 2009 	 great location great price 	 be look inexpensive hotel midtown Manhattan , Holiday inn great choice . while toen business 3 day , get room queen size bed less $ 110 night , unheard midtown Manhattan . expectation high -- Holiday Inn , , Waldorf Astoria -- pleasantly surprised . first , location unbeatable . hotel 57th Street -- major thoroughfare -- less 2 block subway , close Columbus Circle , Central Park Theatre District . many good restaurant within walk distance hotel , well drug store open 24/7 , various bodega / delis/ manicure place anything else may need . also extremely easy get cab either near hotel . the hotel staff pleasant accommodate . book reservation online , room available price want smoking room , upon check ask non - smoking room available price . , switch reservation problem . doorman also hail cab help luggage upon arrival departure . room service extremely fast food good . call room service around 9 am 3 morning receive order less 15 minute time . food good , reasonably price portion generous . my room quiet extremely clean . bed comfortable heat easy adjust . maid thorough . oh , room come free high speed wireless internet access , convenient ! connect internet literally second connection extremely fast . catch , really free . I not check amenity know bar / lounge , restaurant , pool fitness center . , not luxury hotel , pleasantly suprise efficient service . would absolutely stay hotel , 's great deal ideal location . 
 Feb 11 2009 	 bad price location 	 stay hotel first week February 2009 . book standard room Queen size bed Holiday Inn website get rate $ 89 usd per night . tax fee , total come $ 105 usd.the hotel little old room little outdated price location , can not really get well deal Manhattan . hotel locate block away Central Park . 's 5 minute walk . subway access block away . bed comfortable floor clean . however , dust . really not mind dust . everything fine hotel except one thing . maybe big thing people , bit nuisance . guess due old pipe something water come bathroom sink bathtub bit white ( kind look like salt water ) . not crystal clear like would get home . complaint stay hotel . staff friendly polite . be look cheap yet acceptable hotel Manhattan , hotel probably good bet . $ 120 usd , get acceptable room great location . 
 Feb 8 2009 	 comfortable clean well run reasonable hotel 	 great location near Columbus Circle Central Park south . easy walk subway . my wife stay three time always pleased . room clean well maintain . staff hotel courteous helpful . certainly luxury hotel price excellent value . 
 Feb 5 2009 	 nice ! ! 	 stay hotel one week Xmas could not believe could nice cheap NYC ! ! ! room clean nice , room service every day , lot delis nearby not order breakfast hotel ! ! be go NYC sightseeing be afraid walk day , will not need transportation , be really close time square 5th avenue ! would definetly stay 
 Jan 28 2009 	 great location 	 hotel great value . room good size , neat & amp ; clean . 's walk distance jazz @ Lincoln Center , go night . breakfast Gotham Cafe , recommend -- -good service , food & amp ; price . 
 Jan 8 2009 	 Excellent location - could not well 	 stay hotel recently friend mine . read terrible review hotel , afraid would dive . decor bit shabby date need two double friend light sleeper snore lot ! room surprisingly big NYC space premium . say room spotless could not fault . get roomservice one nite , not great , would give miss . good thing hotel location . stay close Times Square would not get wink sleep ! 10 min walk everything . find really classy/ upmarket diner five min away call Brooklyn Diner ( 212 W57th Street ) ~It full local little bit pricey lot people watch staff really chatty nice . day leave hotel , flight not til evening unfortunately concierge arranged bag check organise towncar airport , dearer cab MUCH comfortable . bad thing hotel bathroom bite small side , stay expensive hotel like Sheraton Manhattan bathroom not much big , like say space premium NYC suppose . 
 Jan 6 2009 	 budget stay Manhattan . good location ! 	 spend last day NYC trip Holiday Inn 57th St . January deal $ 129 per night ( book hotel website ) , cheap convenient hotel find net . staff service standard , expect budget hotel chain . room situate two different wing – one odd - number room , even number . tell wing room , get find ourselves … we stay standard suite " even - number " wing , amazed spaciousness room , give small room Manhattan . room clean odour - free , king - size bed , tv , fridge , coffee - make facility , standard bathroom include basic . little strange wash basin mirror outside bathroom , iron board bathroom toilet bath tub . location 9th 10th Avenue , willing little walking , shop world 5th Avenue 20 minute away . much nightlife surround , Time Square far away – 15 block away ( block big , ' afraid ! ) . eatery keep walk towards 9th , 8th avenue , Starbuck nearby need quick feed . Duane Reade ( 24 - hour convenience store ) also nearby need essential . breakfast available ground floor . food reasonably price $ 8 $ 15 ! food fine , standard offering . food taste bit bland , fresh orange juice nice ! overall stay Holiday Inn 57th St fairly standard – pleasant expect . hotel suit traveller toward end New York trip want clean , cheap quiet place stay night two head back home . 
 Jan 6 2009 	 good location 	 well locate , short walk Central Park , 9th avenue ( lot great restaurant ) Time Square . room good size , not put slight shabbiness corridor though , room well . , main complaint slight smell smoke seem hang around corridor bathroom . 
 Dec 31 2008 	 Convenient 	 Holiday Inn suitable family hotel . arrive late night check inn efficient . staff friendly , exception breakfast room manager could lesson people skill . staff fun morning though . room adequate . able walk venue include Broadway show . those away accessible via hop on / hop bus also within walking distance . tell get breakfast nearby cafe 's , hotel breakfast much dearer much convenient . good quality many choice . dine restaurant en route night venue . never feel unsafe walking . room clean , bed comfortable , bathroom well present fresh . 
 Dec 27 2008 	 excellent hotel 	 stay hotel 3 night 5 friend , 3 room , 2 double twin . room spacious tv great veiw new york city . clean towel flannel every day nothing much reception staff.very clean , tidy friendly hotel . exellent location , thing walk distance central park times square.would definatley stay . 
 Dec 27 2008 	 great location 	 stay Holiday Inn Midtown 8th - 18th Dec , 2008 . room clean bed small uncomfortable . guest noisy , come late night , slamming door , talk loud . ( hotel fault , ignorant guest ! ) . walk Time Square day ; take 3 day & quot ; Hop Hop & quot ; tour ; buy ticket Statue Liberty hotel , neglect tell we ticket not include entry Statue book ticket 2 day advance . hence , miss go inside . find New York people generally unhelpful , uncaring ( unless tip stake ) pushy . restaurant & amp ; room service hotel add automatic tip 15 % bill , take away right choose much think service deserve . plenty cheap take place corner market buy food & amp ; supply . would recommend time visit NY winter . much city beautiful Christmas light , cold , crowd general attitude local hard deal . traffic nightmare walk good option . we fantastic day trip Niagara Falls however flight home 2 half hour delay due traffic JFK . shuttle back hotel take another 2 hour . shopping Canal St interesting great place bargain . go Rockettes Christmas show absolute hightlight stay , along World Trade Centre tribute site tour Intrepid Air , Sea & amp ; Space Museum 
 Dec 25 2008 	 highly Recommend Holiday Inn Midtown 	 travel fairly good bit . stay everything Westin 's Mom Pop Hotels middle nowhere . ahve wide range experience . look four thing hotel . 1 . cleanliness . hotel clean experience bug , dirty room problem . wife pretty picky cleanliness content . 2 . space family four . stay five night . need 2 double bed two teenager well . room see New York hotel large . 3 . want good location . two block subway . fifteen minute walk Time Square Rockefeller Center . two block Central Park . location & quot ; & quot ; crazyness Time Square close enough hardly effort walk ten fifteen minute . subway station Columbus Circle get we anywhere not want walk . 4 Price . pay ( avg . 180 night ) could ask . staff tremendously helpful . got we discount event want go . give great information . got we car back airport cheap cab . could ask anything . 
 Dec 17 2008 	 hotel NYC around $ 300 per night available 	 stay 4 night hotel . clean - room 2 bed large enough accomodate 3 people comfortably . also rooftop pool gym . it be block south Central Park . could not say much & quot ; vibe & quot ; neighbourhood - office building construction site block cafe restaurant 8th Ave couple block away . feel safe night - 57th St quiet adequately light . subway not far away - 5 - 10 minute walk . this large hotel ring many hotel city month ahead try get room hotel around $ 300 night could get . save trouble call small hotel try one first . 
 Dec 14 2008 	 ` ` good choice excellent value '' 	 stay Hotel Dec 2nd - 6th 2007 happy choice . room large , clean comfortable , also benefit excellent view skyline night . location good , place withe walk distance , although cold December . amenity excellent & amp ; everything hand , staff information desk particularly helpful even arrange SUV JFK short notice . little apprehensive reading odd negative review please experience . hotel good value price . definately stay future . TripAdvisor Member , London 
 Dec 8 2008 	 love ; ] 	 stay hoilday inn 1st 6th fantastic time hotel perfect location , clean , towel change daily , fresh coffee every day , friendly staff helpfull would definatly stay recommend , eat try kennedys across road absolutely gorgeous food chicken basket huge well worth , 
 Nov 30 2008 	 Basis staff need customer service training 	 firstly say trip overall bargain take account price hotel value money , however without problem . check give room key 9th floor . room opposite lift enter smell damp , bad suitcase belonging room . room already occupy ! luckily honest people return straight reception rather nose people 's belonging ! however receptionist could understand disbelief error . keep say & quot ; 's fault & quot ; quite indignant rather apologetic . say hope would hand key new arrival , reply & quot ; 's fault & quot ; although check computer finally say & quot ; aah fault & quot ; although still accompany apology mix ! finally get unoccupied room basic seem clean . luckily bring earplug whilst 8th floor still noisy locate near lift . sound proof strong point hotel . room chilly discover heating work however hotel send engineer immediately fix heat mean long freeze . our one experience hotel bar use free voucher give we reception apology room mix check however surly girl behind bar exactly make we want stay second drink leave tip really quite rude . confirm second customer arrive query something previous drink respond clearly show bill . reply would fine actually present bill . soul less bar area , chilly unfriendly . finally check early friend scream cockroach run around sink area . assume run toothbrush previous occasion thought would rather dwell . report lovely ( ) receptionist check informed & quot ; madame New York , big city cockroach & quot ; . Hhmmm yes appreciate customer service whole stay . pay rate quote site hotel would feel hard do , pay minimal rate book package probably £ 50 pppn . advice would pay research hotel even small boutique hotel actually care customer wish return . yes , location reasonable however cab cheap get want minimal cost . personally return March would stay cost ! even concierge tell we avoid hotel drink / cocktail ! 
 Nov 26 2008 	 great Stay Holiday Inn ! ! ! 	 stay hotel 4 night November great stay , stay New york several time hotel hard beat price room size ! ! got great deal book Hotwire . room spacious clean , bathroom small side clean . staff friendly location abit would normally stay price 's bargain - near subway columbus circle ( two block ) would stay Holiday inn ! 
 Nov 26 2008 	 great value Holiday Inn 	 two friend stay three night triple room hotel . ny many time usually stay upmarket hotel , occasion , price important design . level , hotel let we ( pay £ 160 per night triple room , far less similar hotel neighbourhood ) . hotel basic , little date ( think floral bedspread dark wood furniture ) importantly clean well locate . cheap option ny , can not recommend place highly enough . 10 min walk 5th Ave , friendly staff large , refurbed bathroom add experience . 
 Nov 25 2008 	 practical comfortable 	 hotel sufficient short stay , though glamourous do not make feel like prince princess madison avenue , provide clean comfortable room . be old hotel , darkish feel entryway hallway carpet little stinky ( minimal ) . chemical sensitivity bother . like fresh new york city air ( ha ha ) open window room partially ( personally , find comfort ) . dining room bustle morning feel like place would not mind hang awhile , do not anything besides tea muffin can not rate food . the convenience location ( safety ) nice plus . I would recommend look fancy , welcome lobby ( try time square ) want good place rest . 
 Nov 24 2008 	 extremely friendly Hotel 	 back enjoyable stay Holiday Day Inn West 57th St Midtown , find room large extremley clean . warm turn heat bad thing cold outside . Room clean every day high standard clean white fluffy towel , clean sheet everything use replenish . staff reception door could not enough make stay enjoyabe . great location get , could always get taxi soon step outside also within walk distance place interest . would like visit New York time next year definatly book hotel again . well do Holiday Inn keep good work . 
 Nov 23 2008 	 great place stay ! come . 	 great hotel stay . go Fox News see Hannity Colmes son 's 8th birthday . tell stay close Times Square price range . find Holiday Inn blessing . it clean , comfortable 2 block , C , e subway Columbus Circle . centrally locate room good size . staff well inform friendly . great time , safe enough walk home studio . absolutely stay . great deal well . price well spend TImes Square still convenient area NYC . 
 Nov 21 2008 	 Great Budget Hotel 	 hotel great be budget visit NYC . check fast , staff courteous , room clean spacious . not try hotel 's restaurant though . quite pleased would stay . would nice visit summer try rooftop pool . 
 Nov 17 2008 	 good location large room 	 midtown hotel bite west prefer , entire city nearly sell good option . large room , promt inexpensive room service ( food ok ) , clean pleasant overall . Rooftop pool nice , difficult get cab location / street direction / traffic flow . find cross busy 57th many time get cab large tour bus occupy bellman attention . room bit tired well - use , especially $ 369 night , New York price , UN Conference lucky get room . 
 Nov 16 2008 	 Excellent Location 	 take trip NY 27 year old daughter bit worried negitive review , although Hotel require complete revamp everything clean , hotel staff helpful , room large ; bathroom small ; strange wash hand basin outside bathroom site room , A / c work : downside room toilet flushed noise unbelivable also easy door closure , hear constant slamming door night . use Resturant , use Deli corner good value moneylocation ExcellentStaff ExcellentRoom Clean ( need revamp ) Bathroom Small Shower GoodFlush & amp ; door NoisyA / C ( work ) KELLY & amp ; EMMA CARDIFF WALES 
 Nov 14 2008 	 Great Location Hotel pay 	 partner return four night stay ny excellent time . check fine , problem , queue . give room 8th floor , view look 57th Street . room quite large , 2 double bed . bathroom clean need . room standard 3 Star hotel be not pretend anymore . bit weary go read review know pay 3star get . room spacious clean really need . complaint noisy guest come hour fault hotel . do not sample food hotel can not comment room service price expensive . location fab , walk distance central park times square . get taxi battery park get ferry statue liberty cost $ 15 think ok side manhattan . land Newark airport taxi fare $ 56 plus $ 10 toll fare plus tip work $ 70 , return hotel arrange shuttle transfer we cost $ 24 per person ( cheap JFK ) quite good . overall , price location perfect anyone want bed night want base explore new york ! ! ! 
 Nov 12 2008 	 unhappy room ! 	 stay hotel three year ago seem pleased stay , idecide take vacation daughter husband nov stay holiday inn . ask two double bed turn size full bed , difficult two people share . also bathe room small , get tub carefull step toilet.on top heater connect , arrive temp low sixty . room hot could ony open slight inch air hotel give we desk top fan . disapointe hotel stay . besides rate hotel almost four hundred dollar night . good . 
 Nov 11 2008 	 bad 	 skeptical booked rate reasonable NYC - 212 night . book anyway think go would sleep . pleasantly surprised . hotel busy staff encounter obviously overwork , extremely helpful eager meet need . room clean , bed comfortable , sleep great . receive recommendation dinner , bar , subway travel , etc . waiter even remember we breakfast welcome we back next day . complaint find female bartender . act put wait we , one bartender even tell we two beer , kind pay try something else , offer get , offer another suggestion . woman bartender two different occasion interested check email talk cell phone deal customer . male bartender hand restock bar , greet we upon entrance come around bar sit ask we need refill snack . hotel overall , really gem find we , would stay . close central park Lincoln center short walk time square . Far Macys ground zero easy subway access . 
 Nov 4 2008 	 good hotel location 	 reading review post little concerned , need worried . problem book , staff polite helpful , room large bedding clean , bathroom small size need refurbishment water always hot . ask assistance safe someone arrive door within minute . ideally place sightseeing , take 10 year old son walk time , get far Times Square without moan . use small restaurant around corner 9th Ave call Route 66 breakfast , would recommend . prepare type weather October , quite warm one minute , absolutely freeze next . use limo service Newark Airport , cheap get taxi . enjoy stay Holiday Inn 57th Street would stay . 
 Nov 4 2008 	 Decent location need makeover 	 stay 5 night towards end October glad leave honest . let start say expert New York Hotels , first visit . expect much Holiday Inn , previous week stay Holiday Inn San Francisco difference chalk & amp ; cheese . however sister stay Novotel 42nd ? say room also average , maybe be ny thing . the room ( 16th floor ) date smell damp time enter . also awful Artex ceiling , damp patch . Platinum Priority Club member give voucher complimentary continental breakfast , mention Muffins , Bagels , Croissants etc . morning try tell waiter could coffee , orange juice , toast since nothing leave . never go back . also try restaurant one night , miraculously transform breakfast room ' Italian Trattoria ' . difference menu . joke . waiter clearly forget process order 45min later present we toast , & quot ; keep we go & quot ; . toast ! starter arrive , 30 sec later another waiter come kitchen main , spot start starter u - turn back kitchen . doubt meal keep hot - lamp next 10min . I problem staff , waiter . bar reception area 's fine . give late 2 pm check - out helpful , bell - boy arrange car JFK ( $ 60 ) . safety deposit box available reception ( safe room ) , free pay $ 100 lose key . as mention already locate well Central Park Times Square 20min walk . overall enjoy NY next time look elsewhere hotel unless get rennovate . notice 2 block , maybe old block ? ( room face 57th St ) . 
 Oct 27 2008 	 special ! pratic ! Good Location 	 hotel good location : near Central Park ( perfect would like run ) far Fifth Avenue ( 3 4 bus stop ) . brodway important museum far ! hotel special new ! room old .. also bathroom . New York City expensive accomodation . know .. usd 380 double room // night much . 
 Oct 26 2008 	 Holiday Inn 57th Street perfect expore NYC 	 stye 7 night 27th September say hotel brilliant ! ! ! really scared go read negative review however throw window arrive . room 9th floor face street amazing brilliant view could soak NY atmosphere ! ! ! 4 we room 8 suitcase still hugeeeeeeeeeeeeeeeee ! ! ! problem bathroom right lift however cause we problem . check quick staff really friendly . hotel perfect position . 5 min walk Colmbus Subway station brilliant $ 6 taxi ride times square . 5th Avenue around corner behind corner load resturant . definatly go morning star resturant . food brilliant staff good ! ! ! nice give we load help . also moonrock diner road really good . load shop 2 - 3 min walk away easy need anything . honestly hotel great term location , room service . if look clean comftable hotel one great . not expect 5 * quality hotel still briliant . already plan nest stay next year ! ! ! 
