say 	 travel Time : November 2006reviewer : Gaurav KumarI happen stay hotel business trip New York . stay month . convenient stay hotel close office , 1180 Avenue Americas . the location hotel excellent walking distance Times Square , plus Manhattan lot eat option around it . the comfortable although staff not courteous ( time even rude ) . check discover phone room work properly . unable take call room , complain tell problem could handle next two day holiday , would do third day . they could change room room available category booking . run reception take call . anyways two day guy finally come , tell wiring problem would take another day two . finally put foot lot argument finally upgrade high category room : ) leave aside stay ok . 
 Jan 22 2008 	 Reallity Check 	 review comment hotel , decide give one try abandon another hotel usually frequent . maybe be people not truly understand purpose website share information experience expectation . top five thing look book hotel:1 . Cleanliness2 . Location3 . Cost4 . Service5 . amenitiesstarte bottom , hotel slim amenity . fitness room 4 piece equipment , offer complimentary bottle water . however , ' m go NY work will get enough walk Broadway 5th Avenue . doorman , bellhop concierge desk , provide information , find get yourself . service - Automatic check - in . not even need speak staff get room key check room . yeah , hold luguage check late flight also offer late check - out small fee ( $ 35 ) till 3 pm . dining hall serve breakfast dinner . elevator slow small . health - minded , always stair . cost - reasonable consider location line hotel class . location - 2 block Broadway 1 block 5th Avenueand surround plenty small store breakfast , lunch dinner little shopping . Most important - , clean . open door , pleased contemporary design clean room . diplomat suite 4 adult plenty room manuver . room come plasma tvs small refrigerator ( clean ) microwave ( not use ) . iron board provide , ' m sure ask would provide . bathroom small size , clean modern . ' m sure people concern size bathroom long toilet , sink shower , not know else need . btw , door bathroom slide door not problem door hit toilet . diplomat suite get 2 full bathroom 2 room . if trip NY strictly sightsee shopping , majority time spend inside room . however , come back exhausting day , want nice clean room relax , hotel fit bill spade . 
 Jan 2 2008 	 Judge ... 	 judge … accord website , Club Quarters " private , full - service hotel member organization " . also accept reservation general public . since sister plan New York weekend New York Marathon , go online travel website , prepay standard room ( queen bed ) two night Club Quarters Midtown near Times Square . arrive , hotel management claim nothing else available , give room one twin bed . complain , politely imply would make good ! desk clerk say would try move we standard room next night ( way ) provide roll - away bed " ' allow " . late ' discussion ' go nowhere – least one we would comfortable , let sister sleep twin bed sleep floor . follow day , staff unapologetic evasive mention compensation , state right assign room accord ' run house ' . ( must include cram two people room clearly design one ? ) ' month yet hear either Club Quarters Midtown corporate headquarters even though register letter send explain concern . since talk ethic ( ? ) , say travel website offer compensation get touch hotel management also find uncooperative . Club Quarters Midtown describe online part " new concept hotel industry . " … no thank . ' well - price , good location , way recommend hotel . fellow traveler still want take chance – pack air mattress sleep bag case . – L.V . 
 Jan 1 2008 	 Great Location Friendly Staff 	 wife return weekend New York please excellent customer service . block away Times Square Rockefeller Center location price beat . check quick easy without hassle unlike hotel stay long line . would recommend hotel can not wait try location New York next year . 
 Dec 27 2007 	 good location staff 	 manage fit 3 people tiny room ! staff nice enough provide we cot extra bedding , work nicely we . room clen , stylish small NY standard fairly average size . however tiny bathroom remind airplane lavoratory ! staff helpful well ! would definitely stay ! 
 Dec 19 2007 	 Hotel average price location fantastic ! 	 consider booked room Club Quarters Midtown ) morning day check , b ) height holiday season ( December 12 ) pay less $ 300 night two night , not much room complain ! standard room queen - size bed huge acceptable . ( probably convert studio apartment - still fireplace mantel one wall . ) take second realize closet , corner pole hang thing four - prong coat rack wall . floor closet elevator could get iron , iron board , extra coffee , blanket , etc . bathroom , expect , small good counter space toiletry . shower look little dated not enough hot water long shower , water pressure good . bed comfortable well - linene . room also well - appoint workspace sit chair ( use luggage storage ) . small flat - screen tv make room look modern . big issue encounter - apparently wiring equip handle lot voltage , use window - unit heater , hair dryer bathroom light time cause power go . overall , room nicely renovate give space work with . the staff friendly helpful upon check - in check - out call get extra washcloth get power back on . my trip work , also time enjoy holiday sight city . Times Square two avenue block west , Rockefeller Center quick four block Fifth Avenue . really can not beat location want Midtown hustle bustle ! stay CQ Midtown - price not good , might look option . 
 Dec 18 2007 	 Good Hotel 	 Club Quarters Midtown nice place stay . we long weekend ( 4day/3night ) stay NYC NYC Christams stuff . Club Quarters clean , room average size , small thought go . use hotel resturaunt immenitie ... , lot people say apply we . , NYC see site play , thing important we . room sleep shower , perfect ! king size bed , tv , good hot shower room clean even standard ! even store luggage check check time flight leave . exception one staff member , everyone overly friendly helpful ! definately stay ! 
 Dec 12 2007 	 ok hotel business bit eerie 	 stay 6 night CQ Midtown month ago work . usually stay QT think would switch . probably stayed beat path . at check - in point machine complete check - in , fine , prefer deal human unless really ... ( know mean ) . upon enter room bit drab , dark inadequate lighting closet belonging . room small -but not particularly bother ' m travel alone- , comfortable bed clean bathroom . point would say stay ok business trip . however thing take sharp downward turn ask a / c turn freezing room , two morning attempt happen . friend come visit one evening give key - card able ride elevator floor without phone give previous permission . slightly worrying ... okay stay probably return . 
 Dec 11 2007 	 OK Business Travel 	 travel NYC business purpose couple time year . time , stay Club Quarters Midtown price affordable fo NYC standard location ideal . pleasantly satisfied finishing overall look . free fresh fruit front desk nice touch . room small Tokyo - uncomfortable . bathroom clean . bed comfy too . service quite hit miss . not expect 3 - 4 star hotel service . staff seem train business crowd . greet & quot ; check - in kiosk please . & quot ; sure confirmation number check - in swift . encounter really nice staff member , seem standard there . I recommend buffet breakfast sparse selection pastry seem fresh . be also quite overpriced midtown area many many alternative quality bite grab . if fly red - eye , note early - arrival option . good , know advance unlike we . hotel allow red - eye arrival ' ve book precede night well . follow method CQ , computer system ( many thing automate CQ ) consider no - show give room charge one night . expect overly automate place , charge require lot man - hour resolve . management return 5 voicemail , polite tone ( front desk staff try help much possible understanding ) . one attempt reach management , actually get live . imagine delight . however , explain , said & quot ; hold & quot ; transfer voicemail ! deal credit card company instead finally resolve erroneous charge . additionally , think bose QC2 headphone take room . leave desk room , not see pack . unfortunately , realize miss want use next day already check . front desk try helpful , even check room even though someone else already check in . if manage avoid out - of - the - norm transaction , keep valuable safe , require much service , think CQ could good experience . price - wise location - wise , hard beat . due incident describe though , personally would really cautious might begrudgingly book second time . 
 Nov 2 2007 	 always stay NYC 	 ' m bit surprised read poor review hotel . always stay travel NYC business ( usually 3 - 4 time year ) . yes , room small ... NYC ! yes , street noise sometimes ... NYC ! expect ? plan staying room day ? care room small side . always travel earplug matter go , potential noise problem solve . this hotel people want great location , comfortable room , wireless internet access , TERRIFIC price NYC . ' m book another room today full week December , everything else come $ 300 range . hotel $ 150 . money expensive hotel , book somewhere else . want great value location accommodation , book . 
 Oct 16 2007 	 Mattresses upgrade ! 	 consider guest stay business ( one night ) , surprised not sense purchase new mattress renovate ( least assume renovate recently . seem like thing new - ish old building NYC . ) mattress sink middle -- fold half vertically . though thermostat seem fairly new , work well . least room freeze oppose hot . shower fantastic though . get corporate rate company , realize would add $ 15 one person . would look stay one hotel guarantee good , new mattress nice sheet ( i.e. , Marriott ) . Street outside also quite dark night nervous walk alone . 
 Oct 15 2007 	 will not go back 	 town 1 night stay Club Quarters . attempt check 8:45pm inform apologetic staff room ready , & quot ; be clean , will 10 minute . & quot ; 25 minute later , find dirty sheet bed room obviously vacuum . complain staff , promise clean . upon return hour later , room thoroughly clean , find huge wet spot carpet near a / c unit . since late , place extra towel floor ( 6 towel 2 people ) find yellowish stain towel follow morning . room thermostat flaky could hold consistent temperature ; bed uncomfortably soft ; sheet not entirely cover bed , leave gap uncover mattress pad head . bathroom clean little shabby . staff give we voucher future one - night free stay apologize dirty room , not intend return hotel . 
 Oct 3 2007 	 Excellent Customer Service ! ! ! 	 Husband stay Club Quartes MIdtown weekend September 22 - 24 birthday . receptionist Raquel Dietz exceptional .... answer question throughout stay although busy asste guest check hotel . hotel suite great ! ! ! nice clean staff make we feel home , husband back New York near future stay hotel .. thank much hospitality ... Williams 
 Sep 25 2007 	 comfortable 	 one night stay Club Quarters . generally orient self - reliant business traveller . room small , bed comfortable . small exercise room ( basement ) one bike , 2 treadmill , stairmaster . check quick via computer . free internet lobby travel computer . safe easy location . 
 Aug 1 2007 	 Good Hotel ..... Great Location 	 stay 7/29/07 - 7/31/07 ..... staff friendly ...... room good size .... great location walk distance Times Square Madison Avenue .... Rockefeller Center ...... find great cheap soveneir shop 32nd 5th ... check ..... 
 Apr 16 2007 	 Nice Room 	 room small nicely design completely functional one person . appreciate free wireless connectivity room . stay weekend food service . go find Sunday continental breakfast avail well . location terrific . pay 175 plus fee Hotwire . 
 Feb 24 2007 	 Noisy ; bad night sleep ' ve ever ! 	 stay work , 2nd experience CQ hotel . first experience ( DC ) great . one not meet expectation . location good ( except , other note , 45th street 5th 6th leave little something desire , : cleanliness , etc . ) , internet access lounge great , part , staff friendly try helpful . , problem , . enter room ( double bed , room size single college dorm room ) , immediately notice odor , musty , smell like urine . however , realize come mostly HVAC system , probably urine . anyway , unpleasant , minute , call front desk , say would send someone . hour , one come , go downstairs , difficulty override thermostat ( read 72 , room quite cold ) . take care immediately . also note bathroom not clean could ( sink residue wipe , example ) . next problem come later night . attempt fall asleep , keep wake occassional chirp noise ( outside somewhere ) . keep heat warmth try drown chirp , regulate temp , automatic HVAC system keep turn kick back - NOISILY . addition kicking , regularly produce loud bang noise . , throughout entire night , every time almost asleep , would get wake either chirp HVAC bang / kicking . AWFUL ! bad night sleep remember . leave morning , notice chirp actually come open stairwell outside room ( many room stairwell , multiple floor ) . think must smoke alarm need new battery . notify front desk chirp noisy HVAC system ( result awful night 's sleep ) way . nice seem feel badly , offer anything trouble . would not first CQ choice next time . 
 Jan 23 2007 	 must give bad review 	 always grateful concept Club Quarters give special break non - profit weekend , enjoy stay Pittsburg Washington immensely . facility mid - town Club Quarters NYC perfectly decent , staff friendly . room well appoint ( clock not turn ) . take figure thermostat -- look like one enter must , say 72 degree , quickly realize freezing , finally figure manually work radiator . came try sleep night , bit nightmare -- one thing , every time heat come , come huge rush sound , wake every time . , every time someone use bathroom , flush hear throughout system . finally , low floor ( 4th floor ) , ready garbage truck come odd hour night -- window must seal way cut sound . always hard retrofit old building , usually tolerant less perfect situation quest charm , big meeting next day really need good night 's sleep , may want think twice . 
 Jan 21 2007 	 Great Location nice sized room 	 not expect much read bad review . however request quiet room read review . room nice size , clean decor modern ' chinzy ' . picture room seem small other think lucky enough one big one . to honest not spend much time room everything could ask really . quibble air conditioning unit outside loud time honest have tired time get sleep ! ! PC 's downstairs useful meant could check online return flight . would certainly book return . 
 Jan 3 2007 	 get upgrade room 	 book room Delta Air Lines / Hotels.com . first , wish do research . first room break heater . second room . 10th floor smell like ash tray . , get upgrade additional cost we . room acceptable . great midtown location . common room nice good use community computer . wireless signal room lap top weak . eat hotel . would stay upgrade room -- . 
 Dec 27 2006 	 Great Location Facilities limit 	 Club Quarters Midtown great location opposite Rockefeller Center . business traveller , facility mixed bag . staff front desk somewhat helpful , always seem distracted busy someone else . lobby tiny thus busy crowded . 3 computer internet access not travel computer ( like ) . room large would expect Midtown large desk , small - ish plasma tv , sofa , sink , coffee maker . bed comfortable . little disappointed bathroom not tub , shower nice powerful . overall , stay quite good , not live hotel particularly design business traveller mind . perhaps hotel would well tourist . 
 Dec 16 2006 	 will not regret ! 	 other mention , , , little anxious read review hotel . must say , though , pleasantly surprised arrive . staff friendly helpful . room small , space use efficiently . bed pillow comforter comfortable . wi - fi apparently free , also two public computer one use time . hotel couple block Times Square , inside , street noise quite unnoticeable . also short block Grand Central Station , Radio City Rockefeller Center . GREAT LOCATION ! , superb time NYC thank Club Quarters , accommodation make visit even enjoyable . 
 Dec 5 2006 	 's Weekend Special Rates ? 	 like hotel , like staff much . however , hotel advertise special weekend rate , every time make reservation tell rate available , even call six month advance . be lie ? lie company quote special corporate weekend rate company ? 
 Nov 25 2006 	 Great Location Clean Room love Club Quarters ! 	 husband book hotel two night stay NYC . read review , bit nervous . , find hotel nice , little small side . lobby tiny , elevator tiny , room tiny . however , find room clean comfortable . space room utilize well , not feel miss typical amenity find large room . furnishing new comtemporary good repair . staff work quite helpfull polite . , location FANTASTIC ! close several great Irish puba , restaurant , theater , Times Square . love hotel , would absolutely stay future ! 
 Nov 18 2006 	 Good Good Good 	 Read review , go , great time ! wife stay two night , Nov. 7 & amp ; 8 , could not enjoyable time . ? adventure base hotel ...... base city ..... outstanding location . room quiet need ( be big city ) , bed way comfortable ( sometimes bed ruin stay elsewhere ) small elevator charm could . go ahead stay great experience ( choose ) grumpy find something complain about . buy MetroPass ride subway bus . Sooo easy never feel intimated threaten ..... noon night . 
 Nov 1 2006 	 Tight tidy 	 town guest NYC wed room reserve ( pay ) bridal couple . though room reserve two , rate quote ( $ 204 ) single ; check - out , $ 15 daily extra person surcharge disappointing surprise . tiny elevator deliver we small , clean Euro - sleek room comfortable bed . two large window could view oversized airshaft . hear street noise wall . heat A / c system average noise . two phone , one cordless , handy . appeal dress code management one party stop wear denim slack , find table twelve customer 152 seat restaurant , serve hotel guest club member . sevice slow erratic , quality also mixed , follow - up get 15 % discount offerre . enjoy living room bar , newspaper free internet . also find staff mix ability interest . great location . complaint another post coffee continental breakfast , wait staff deliver table , silver thermal pot . least . spacious shower , tub . freestande wardrobe one drawer , not plan unpack weekend . like closet hall extra pillow , blanket , iron board . handy solution small room limitation . 
 Oct 27 2006 	 Brilliant Location 	 read various review friend little nervous say least would expect find much planned vacation . however , positive experience - good size modern room request two single bed , plenty suitcase space , nice sized bathroom . room next elevator air conditioning low buzz throughout night never hear dreaded ding say elevator . good , mostly friendly staff , access two pubic computer ( although restrict couple time conference go room computer situate - would like separate room complete access ) . gripe would bit hit miss get hot water morning , business hotel , bar weekend . two block Times Square though buzz middle great city . highly recommend good rate . 
 Sep 21 2006 	 Good Location . miserable experience 	 Lukewarm water room filthy dept . store air conditioning window unit . grout miss tile shower floor replace mold . check go straight bed , discover morme . Desk clerk refuse adjust room price fix problem . barely conversant English . response & quot ; run water long enough ? & quot ; . Priceline pick hotel . not pick . place must schedule convert private residence something . sensible hoteli would let place get run . mention hallway stuff full banquet chair table make navigable walk side - way ? oh , location great . 
 Sep 15 2006 	 great Locale Great People 	 stay Club Quarter 's Midtown five day train New York City . training locate 34th Street & amp ; 5th Ave . so Club Quarter 's walk far away 34th Street . though thick winter could brutal . location excellent , near Times Square , walkable Rockefeller Center . even walk Central Park twice . see couple show free time ... Chicago Hot Feet . several Duane Reade store nearby quick refreshment personal care item . plenty food place too . the room small simple . the small room Tokyo , Japan . bigger much . room clean . bath area clean could use work . clean staff good job . plan spend lot time room one person ... 's could cramp . Club Quarters feature automatic checkin checkout use Credit Card . little interaction staff , good thing helpful friendly . wait bit prearrange towncar driver , show wrong place ... hmm .... big complaint room near elevator loudest annoying ring sound whenever reach floor . ask move ... tired walk city training class . actually use earplug ... advice room near elevator . think get great rate not plan spend much time room , not need lot assistance place alright location , several trip City , would know place stay . 
 Aug 7 2006 	 Great Location Tiny elevator 	 wife recently return first anniversary weekend NYC , stay Club Quarters Midtown . read mixed bag review location , somewhat apprehensive . however , never spend sleep / rest time hotel stay , think make difference . arrive well check - in time , problem store baggage hotel wander around city morning / afternoon . finally check quick , no - nonsense process . lucky enough get penthouse room queen bed , nice view street . bag indeed wait we room promise . put disclaimer staff - look big bright smile people fall help , book location . answer question , . barely even get smirk . fortunately , not look pamper - clean , air condition room sleep shower , get . room great condition , everything clean , A / c work wonderfully ( although take little cool arrive ) . bed comfortable , love flat screen LCD tv attach wall . provide iron / iron board hair dryer . however , may locate closet next elevator . guess something fact cater employee member business week . warn least bit claustrophobic regular sized elevator , may want take stair location . really fit 3 people comfortably , A / c get hot come 12th floor . also stop erratically . odd . wife could think rode & quot ; break ? & quot ; overall pleasant stay hotel , would likely stay simply location 45th street unbeatable . three block away hustle bustle TImes Square , theatre , subway - great place home base . 
 Aug 7 2006 	 Careful Making Reservations 	 husband stay hotel one night 3 couple . surprise get book room one twin sized bed . friend book room say not mention book room one month ago . not even know twin size bed room . hotel sell location Rockefeller center not want stay downtown near Wall Street . end use mattress roll away bed floor ( bed frame would not fit tiny room ) .As far hotel go ... convenient Times Square major site . not problem elevator . staff moderately nice . room small would ok one person . bathroom smell like mildew keep bathroom door shut . little storage space stay day two . pay $ 164 night ... sure worth husband sleeping floor , make good . 
 Aug 5 2006 	 great location 	 hotel guest NYC company . impressed quality cleanliness room hotel . location incredible . 5th avenue 6th avenue 45th St. Manhattan . literally two avenue away Times Sqaure three avenue Grand Central Station . the room comfortable . clean modern . air - conditioning superior bathroom modern clean . problem safe room refrigerator . ice available travel basement . ice machine floor typical hotel . the hotel lobby flashy . simple , however beautiful lounge / parlor free internet access ( printing ) bar dining room . Weekend service seem curtail ( coffee lobby a.m. meal weekend ) . go across street breakfast . however , buffet ( continental ) -fruit / juice ( COFFEE ) a.m Saturday morning ( $ 8 additional ) . go parlor , feel like rich man 's club expect see gentleman smoke cigar read Times . good experience later usual checkout ability extend checkout relatively little extra money . 
 Jul 19 2006 	 good deal price pay 	 stay 1 night Club Quarters Midtown July 16 . stay twin bedded room $ 109 plus taxis . room midtown think good value . room actually large expect . good sized desk room apparently recently renovate . bed twin comfortable enough . big person may comfortable . bathroom fine . big walkin shower , small vanity , toilet . shower little bit moldy terrible . air conditioner loud like sound fan sleep ok . be light sleeper might want earplug . also bit noise corridor door close early morning . there absolutely view . need room place sleep take shower fine . there lot place nearby get food Times Square couple block away . location really ideal . not understand people complain asian people neighborhood . 's NYC , polyglot place world course see sort people . could not get wireless internet work , two terminal lounge use . overall tremendous value one night stay . stay long might splurge nice place . 
 Jul 6 2006 	 location save grace 	 ok ... 's skinny ... good : - great location ... around corner Times Square.- decent room NYC standard . Cozy functional.- Machines breeze hotel check - in check - out.- Wifi work great . also , two free computer w/ high speed internet printer lobby plus.- Great bed pillow ... good sleep busy day night city.- Cordless phone room.- Hotel provide microwave fridge upon request . the bad : - small elevator ' ve ever see . lot luggage , good luck . - workout room 4 machine cramp dungeon ... inspiring.- hotel staff exactly professional ... other fine.- base room size , prepare creative store luggage belonging . the hotel decent close popular hotel area . be willing put inconvenience , may place ... remember ... place inexpensive , get pay . 
 Jul 3 2006 	 Job ! 	 spend June 2005 make stop around US find Hotel internal Company site . stay 4 night honest , gym 5 * luxury not expect much place . the plus side : - EXCELLENT location - literally round corner Broadway , Times Square , Central Park , Empire State , Grand Central Station 's shopping district.- Good Price- Friendly staff - maybe 5 * treatment get know be great helpful . area need improve : - room slightly cramp - honest , New York City end day . like say , not expect much , overall pleasantly suprise . even mate total pain demand well come flight accomodation happy place . be cheap cheerful stay NY Location , Price Cleanliness top agenda choose hotel , would recommend Club Quarters MidTown . wrap thing , also stay Club Quarters San Fran great ! 
 Jun 12 2006 	 Great Hotel go back ! ! ! 	 go NYC see show Broadway Hotel . trip , look several different board regard review hotel . clearly good good go trip not know expect . upon arrival greet efficient manor quickly check comfortable clean room . room redone year ago modern flat screen 24 inch tv normal channel room movie entertainment . concern people write previous review room small . true ! fine one two night . bathroom small fine one person time . also make hotel great locate two block Times Square ABC Good Morning America Studios , four block 30 Rockefeller Center NBC today Show Studios Broadway Theaters walk distance . great find price location . remember , New York tourist time suppose spend room sleep rest next adventure . Club Quarters Hotel fine ! ! ! 
 May 29 2006 	 excellent location friendly staff . willl go back . 	 say staff rude unattentive Club Quaters 45th outright lie . people friendly hotel staff ever experience , travel NYC every month minimum . stay include Crown Plaza 48th Bdwy , Novotel , Hotel41 , W Lexington , Club Quaters 45th Street Midtown . the next person complain room small ought stay New York City ; whether business pleasure . folk want nice big 750 sq ft palace ? hotel room follow : sleep , Showering , Shaving , -- , maybe -- ( significant ) . really need much hotel room ? come one folk ; 's New York City ! enjoy town room . my wife stay room 614 . yes , room small , perhaps could build historic site , build 150 + year ago , people different perspective overall design . I one small gripe , bed bit soft . need firm matresse bit . go back ! ! ! 
 May 24 2006 	 clean quite comfortable place . 	 Husband stay 3 day hotel find place return next time Manhattan . front desk staff always friendly , professional , helpful courteous . room small - clean . food across street Manhattan Cafe delicious ! clean place & quot ; important & quot ; hubby . small room - care - room shower , dress sleep . ' re NEW YORK CITY - much not include sit hotel room . 
 May 13 2006 	 Bad Choice 	 travel quite bit business choice company book hotel . room small quite noisy . conceriege service , room service kind service matter . staff rude unattentive . many hotel city size , anyone would return hotel one stay beyond . 
 May 5 2006 	 love place 	 stay Club Quarters four day mid - March 2006 , read review site . hotel appear clubhouse sort chemistry society , evidence chemical engineering journal lounge . find staff front desk friendly helpful , instruct we self - service check - in check - out procedure . arrive , room yet ready , show small private bar give free drink comfortable place sit . staff enthusiastically give recommendation certain nearby restaurant . thrilled room . New York , always stay mid - level hotel , one flat - out clean pleasant ever stay . although small , room appear recently remodel & quot ; high - tech & quot ; style , flat - screen tv . please small kitchenette ( sink , fridge , coffee maker ) . room stock several book . free wireless internet work flawlessly . location excellent . room seem quite soundproof . negative toilet bathroom , loud flush . remember keep bathroom door close flush middle night not want violently awaken travel companion ! anyway , definitely stay . 
 Mar 2 2006 	 surprised 	 return weekend trip new york , book club quarter via hotwire nervous review .. however be not bad expect , yes room small , hardly , clean quiet comfortable room . location ideal , issue encoutere park block away hotel quite chilly .. check quick easy . 
 Feb 28 2006 	 will back ... 	 ignore bad review stay Club Quarters Midtown . friendly helpfull staff . comfortable clean room . room may small uncomfortable . excellent location many good restaurant cafe nearby . do not afraid try hotel . will back . 
 Feb 23 2006 	 Decent 	 boyfriend stay Club Quarters Hotel President 's Day weekend . upon arrival surprise look like outside . look pretty plain compare hotel ' ve stay , Belvedere . however enter lobby little hopeful look decent . front staff , particular lady name Grace , helpful . difficulty self - check kiosk . grace walk speak we condescendingly even little kid could figure use machine . elevator small . maybe two people luggage fit comfortably time . hallway lead room multiple door . go two door get room , fourth one floor ! room look modern , straight Ikea catalog . however , small . free wi - fi redeem quality . bathroom bit small well . shower water splash floor cheap shower curtain . overall , would recommend hotel tight budget not plan spending lot time room . Times Square , Rockafeller Center , subway within readonable walking distance . 
 Feb 15 2006 	 Club Quarters Midtown great value 	 one good value stay trip NYC . room smallish well set comfortable ... standard room fine travel alone .. might little cramp two , big room available price ) . book negotiate corporate rate $ 129.00 night price definitely right ..... bargain accommodation give location . $ 139.00 corporate rate year ( 2006 ) be still geat value book . easy walk essentially anywhere Manhattan ... really central . W45th street 5th 6th Avenue REALLY handy location . the noise not problem , heating work fine , nice fresh air ... open window like . bit tricky negotiating hall room ... hallway narrow . never ate tell dine quite good . lounge pleasant area yes internet access check email ... mind , people get bit stressy be minute .... brief deal fellow patron ' blow ' . Desk Service ? ... little stiff sometimes . price prepare ' get ' ... people may find bit confronting . perhaps dish ' happy pill ' staff , might smile ... hehehe . helpful wanted butt kiss , will stay elsehwere . all , bad place ' flop ' end day 's sightseeing , eat drinking . ai not Ritz - expect trimming , will disappoint . want good reasonably price place stay , will problem place ... like going stay May ( 2006 ) . 
 Feb 11 2006 	 bad experience Dark Gloomy 	 make travel arrangement thur American Express Travel Business purpose company . recommend agent American Express discount rate company Manhattan ( New York ) . even look rate 3 star . mine cancel early reservation City Club Hotel . place stay : Club Quarters 40th west 45th street , New York NY 10036 . couple good point free internet , location good . number problem . 1 . people front counter friendly used go hotel . 2 . room size good early make reservation ask double bed . end get single bed . go front counter ask double bed tell not double bed send & quot ; cot & quot ; . 3 . room dark kind gloomy . view roof top Heating AC unit run day . know hear . 4 . bed first day kind dirty . , one pillow blood stain . happen notice bed not change bed request due water conservation issue . 5 . toilet seat never stay . litteraly hold toilet seat time go bathroom . 6 . reservation 5th thur 13th . end able stay find another hotel . Club Quarters charge additional $ 30.00 plus tax early cancellation since reservation 13th Febuary . 7 . even bum not include complimentary breakfast . just good luck plan stay hotel . Stan 
 Feb 9 2006 	 great location great facility sure staff 	 stay two week mid January . business . my first impression good . greeting give desk staff & quot ; credit card & quot ; . seem desk staff want speak happy direct automate check check machine insert credit card . other like place . free wifi great bonus desk room great power socket table top flat screen tv mount wall . bed exceptionally comfortable . shower great plenty water pressure . room keep clean . note : not rely get show gel room get soap . some might say room small like size . ample hanger space drawer space . I not get sort view window work daylight hour problem . room get cold weather bad outside take bit work figure get aircon system warm morning , mostly not bother it . the location excellent close Times Square subway link everywhere . I recommend hotel dismissive desk staff location facility . 
 Jan 24 2006 	 great hotel know expect 	 little bit concerned review , already book hotwire $ 165 incl tax . , though , problem love place . location perfect , block times square , one block 5th ave . let us face , New York hotel room notoriously small . hotel exception : ever stay european hotel , expect size . want big room space will not even use , either wind pay $ 200 / night less convenient location . say : ny , go something , not stay room . room modern well appoint even include complimentary WiFi internet access . hotel normally really hotel membership club room . thus , usual front desk set . check check automate , GREATLY efficient , although someone desk 24/7 problem question . staff encounter friendly let we know call anything need . problem book 2 people hotwire , hotel try saddle $ 15 & quot ; extra person & quot ; fee , accord , & quot ; room rate base single occupancy . & quot ; contact hotwire refunded amount . would definitely stay though . 
 Jan 23 2006 	 Great Location Plus ! ! 	 GREAT LOCATION ! ! two woman walk New York City need feel safe convenient place . ' ve New York good get far location . walk 1/2 block either direction 5th Ave Broadway . walk far Central Park 30 min stroll . walk e 80th St. back Club Quarters ( 45th ) afternoon shopping along way . problem . not walk everywhere New York not know miss . Club Quarters clean , lovely lobby , quiet repeat great location . stay Nov 11 - 14th 2005 room one double bed , ( request 2 twin reservation thru hotel not guarartee room choice . irritate end world complaint ) . room small adequate , clean pretty good price ( $ 219 ) New York thing bath sleep . front desk helpful ideas lunch dinner ( send we fabulous italian place 46th St ) . Cleanliness Location far important thing . unless need & quot ; posh & quot ; quite satisfied Club Quarters Midtown . 
 Jan 1 2006 	 Loved Club Quarters 	 Club Quarters midtown NY perfect location .. quiet quaint . elevator room space small quietness room make .. would definitely stay . 
 Dec 28 2005 	 perfectly satisfied ! 	 husband stay Club Quarters Midtown 12/23 - 12/27 complaint . really worried read negative comment , end please everything . find staff friendly helpful . room small clean . love location ! ! go back New York definitely stay ! 
 Dec 19 2005 	 Pleasant stay ! ! ! 	 enjoy visit Dec.14 - 18 , 2005 . room freshly paint , bright clean . reserve room Priceline -- one room , one price . opt . upgrade , etc . true one washcloth , ask two , housestaff realize 2 people room , time forward 2 washclothe . we think room normal size NYC . regardless , convenience central location,45th street , far outweigh need large room . understand several negative review hotel . certainly get room buck expect . would stay hotel . 
 Dec 1 2005 	 pleasantly surprised 	 concerned daughter due stay hotel last weekend read review . however pleased stay . pay 158 dollar per night ( plus taxis etc . ) book mention son 's employer member hotel . arrive inform we penthouse floor ( 12th Floor ) . room large well decorate nice bathroom except one man find staff helpful polite . offer store luggage us checkout book transport airport we . ( slightly expensive taxi leave rush hour would problem get taxi . ) position hotel brilliant add enjoyable stay New York . 
 Nov 14 2005 	 absolutely horrible 	 would never stay . husband travel New York past 5 year , never stay hotel bad . front desk staff rude , room size & quot ; matchboxes & quot ; , shower floor full mildew , find someone help luggage impossible . tell arrival offer double bed room , not ! ! ! ! complain , tell could leave check , already bill . please think book hotel , way , charge $ 350.00 per night . 
 Nov 8 2005 	 rather pricey still good 	 stay Club Quarters Midtown weekend October 22 - 23 2005 . ' director 's room ' one high floor give really spacious well appoint . stay NYC hotel not high expectation service standard , prolong wait check - in not really irk we much . it rather pricey ( without breakfast ! ) , figure fantastic location ( 1.5 block Times Square ) worth . 
