nice 	 usually use Hilton New York , newly open Hilton Garden Inn two block office make sense try out . I book two week back find room 2 night $ 219 night + tax seem like bargain . due personal reason delay trip one day change resevation online price go $ 359 + tax would make room little pricey considering . helpful reception quick checking . room nice ( albeit little small ) hd flat screen tv , microwave , coffee machine , iron board , etc . wifi perfect free . breakfast good include make order omelette . would certainly use would expect pay little less $ 359PS . bad point breakfast coffee ( european ) terrible . tea taste coffee expresso available : - ) 
 Excellant Hotel Location 	 clean , attentive staff well service room . outside front door Hotel see Macys right Empire state leave . Superb . 10 - 15 min 's walk Times sq . easy reach & quot ; attraction & quot ; Rockerfeller centre , 5th Avenue , central station , etc etc .compact reception area bar certainly adequate . not eat restaraunt far many great place eat outside . ! would hesitate reccomend . 
 Perfect choice 	 Hilton Garden Inn strategically locate heart Midtown Manhattan perfect location business leisure purpose . the whole property 100 % smoke free facility . cleanliness outstanding ( change bedlinen every 3 night ) . room quiet , though small medium size seem rule NYC.Neighborhood lively apparently safe ; subway station around corner major bus stop ( MTA ) front Hotel . Trusty website / brochure . we definitely recommend Hotel ! 
 Sep 7 2009 	 stay -- look thing charge $ 500 -- like smoking room not even smoke ! ! 	 book hotel business / leisure trip advice trip advisor . know book hotel smoke free perfectly okay . first day maid service , come back find locked room . upon go front desk , tell evidence smoking room would $ 500 cleaning fee charge card . evidence cell phone picture black speck window sill . . speck say ash window sill . smoking room . none . yet amount rational reasoning , proceed raise voice , almost yell would convince otherwise . charge someone else 's smoking poor maid service previous people staying room . unless want get investigator come take picture smell check room enter , stay . hotel new , believe look way possible make extra $ 500 many people possible . front desk well manager impossible deal general manager , tell would Wednesday . fantastic customer service . ( SARCASM SARCASM SARCASM ! ! ! ! ! ! ) 
 Sep 7 2009 	 good value hotel good location 	 enjoyable stay Labour Day weekend 2009 . staff mostly friendly , competent . room nice , odd design decision . be new nice , also like free wifi . the downstair bar decent enough spot finish fun night -- patio area nice enough view surround city . Hoegaarden $ 7 seem reasonable . definitely ry korean BBQ area be . 
 Sep 7 2009 	 good location ! ! ! ! great service ! ! ! ! 	 nice hotel New York.1 minute walk Macy 's , 1 minutewalk subway walk distance Times Square etc ! ! ! definately recommend Hotel holiday NYC ! ! ! ! ! ! staff friendly helpfull time . everything need contact . disappoint thing safe inside room . one reception always full could use . 
 Sep 7 2009 	 never stay charge PEOPLE smoking ! ! ! ! ! 	 never stay hotel find & quot ; ashe & quot ; room even though not smoke charge $ 500.00 ... can not seem find dust wall lamp ! try expalain manager duty say housekeeping never miss anything we not we report room smell smokie upon checkin even though not smell . hear attoney week . 
 Sep 6 2009 	 Best Mix Value Luxury New York City 	 book hotel 4 month prior trip $ 135usd intention possibly find something luxurious . end need regret . like stay boutique hotel know staff recognize ; location good TImes Square ( walk distance ) subway stop 30 foot front door ; price reasonable stay Midtown new hotel . Front desk staff bar staff great . concierge assistance great . one particular able add value whatsoever inquiry seem eager assist either . aside , great stay . free internet access business centre nice perk . lot food choice nearby rely much hotel hungry . NYC , rarely room anyways not matter much glad rate probably take account . already refer other hotel plan return . save hundred dollar night eat shopping stay . 
 Sep 5 2009 	 would stay ? absolutely 	 stay August 27 September 2 allocate Room 31st floor look back Uptown . Room keep clean housekeeping great job everyday stay . subway station 30 meter front door hotel , give connection want go city . ryan front desk fantastic , could ask anything know point right direction . for shopaholic within 500 meter Macy 's , JC Pennys , Modells Sports store many . 10 min subway Downtown Manhattan , Wall Street , Ground Zero , Castle Clinton ( Statue Liberty Ellis Island ) .Times Square easy 10 minute walk are'nt walk one subway station away . all good clean hotel value money , staff happy willing help . 
 Sep 5 2009 	 great value great service 	 first upside : super friendly helpful staff , free wifi internet access , new modern room average bathroom shower - much well hilton new york ( avenue america ) , stay follow 2 nights.upon arrival welcome upgrade gold member without ask get nice corner room 30th floor great view empire state building . room brand new , modern amenity would expect . every staff member meet extremely helpful go way fulfill request.only possible drawback : location may nice manhattan , subway step hotel , everything easy get - really issue . 
 Sep 2 2009 	 not Long Served Purpose 	 great location . meet New Yorker want stay Hilton property . new hotel . room small nice ( long dinner early meeting next morning ) . staff friendly . 
 Sep 2 2009 	 great hotel - perfect location 	 great find midtown ! hotel perfect location business ( barely block Empire State Building ) well little leisure ( 12 block Times Square ) . staff extremely friendly , concierge helpful . room small ( normal Manhattan ) , absolutely immaculate . hotel clean safe . note Standard King room shower - bathtub . will definitely stay future business may consider next leisure trip ! 
 Sep 1 2009 	 Absoulute BEST Location NY 	 hotel relatively new , service really GREAT ......... get ask person RYAN RUDY .... person make trip much enjoyable relaxed , room clean though small enough stay ........ shop far eye see , Macy be across street 34th Street shopping corner , TRUST , stay HOTEL WO not REGRET . 
 Aug 31 2009 	 great find NYC 	 recently stay weekend getaway hubby . choose stay base good price get Expedia , traveler review . pro first . location great . Herald Square literally step away hotel , hop subway convenient . ' ve also get Macy 's big shopping venue right across street . be also far koreatown good , since planning meal , easy walk hotel . hotel open year ( February accord check - in person ) everything feel new clean . staff friendly helpful , even midnight check . automatically upgrade we city view room , nice . room decently size especially New York , standard amenity : fridge , safe , microwave , free wi - fi , iron / board , Neutrogena toiletry , etc . good part room bed , control side dial prefer level mattress firmness . not think would actually work , try different level , could definitely feel difference . fresh coffee available every morning near lounge lobby . con . bathroom bite crowd , although may design anything . toilet right next shower , kind run every time be get show . toilet paper dispenser bite far toilet , reach bit grab paper . 3 elevator 28 floor , would think would enough , busy time - morning / evening rush , would wait awhile get one . would ' ve take stair pretty high floor . also , print system business center bit confusing . direct link computer printer . instead send & quot ; confirmation code & quot ; be suppose punch keypad , never get work . , relatively minor complaint . would definitely stay , especially give cheap price vs. hotel area , great location . 
 Aug 31 2009 	 great hotel 	 clean quiet hotel , close subway . stay 5 day , good service friendly staff . breakfast buy street eat Bryant park 5 minute walk hotel . 
 Aug 31 2009 	 Excellent 	 advantage : superb location ( near Empire State Bldg , Macy 's Store , Times Square ; good dining option - pizza , fastfood , eatery Macy 's ... ; 30 metre far 34th street subway station ) , brand new clean hotel , A / C , big hdtv , free wifi hotel PC center printer ( good online airplane boarding : - ) , comfortable bed , coffee making facility , microwave oven , iron , free morning tea / coffee lobbydisadvantage : safebox room , one day find beer open fridge black hair ( maid ? ) , loud night ( turn A / c sleep close window : - ) , toilet paper & quot ; far & quot ; sit closet : - ) ) ) , badly reachable 3 elevator ( hotel 32 floor high , sometimes take 10 minute call elevator ) 
 Aug 30 2009 	 excellent choice ! 	 fabulous , safe , central location -- step away subway , within walk distance many major attraction . staff exceptionally friendly , helpful , knowledgeable . free business centre big plus . overall , hotel new , comfortable , look forward stay . 
 Aug 29 2009 	 excellent choice ! 	 husband stay may quite pleased . gladly return teenaged daughter . spend 8 night room 2703 , could not happy . look window , leave , great view Empire State Building . double bedded room smallish side , bright since building across street much short . bed comfortable . the room conveniently microwave , refrigerator , coffee pot , free internet . whenever encounter staff , whether housekeeper hall front desk person , greet smile hello . always felt welcome value customer . elevator occasionally slow , would guess 90 % time reasonable wait . also find location great- 1 subway station outside door , 2nd one two block away . could walk Times Sq . less 15 minute . overall , great stay look forward return hotel . 
 Aug 27 2009 	 Great Location Great Service 	 Normally hotel great location midtown Manhatten make hostel Baghdad look good . place handily situate close subway Penn Station easy get find ( find right exit Penn Station ) . staff could enough we stay , right find nearest food outlet 4 am . wealth information absolutely nothing problem . room big expect spotlessly clean . bathroom good size shower luxurious carry backpack day . room look Empire State Building view allow drink Big Apple . free Wi - Fi throughout hotel massive bonus . fantastic place stay want something central clean , tidy need help hand every plan day . 
 Aug 27 2009 	 please 	 New hotel smart room ( small ) good location . nice touch - large fridge reception selection food / drink item buy ; great we arrive late night starve ! complaint - lifts small get busy ; one order cause delay get room walk stair ( 16 floor ! ) . overall - pleased stay would recommend . top tip - hotel close Penn Station use Penn Station Jamaica ( LIRR express train ) access / JFK - quick subway . 
 Aug 24 2009 	 Excellent Location . 	 3rd time New York previousy stay hotel 2 block away would definalty stay . friendly staff , efficient reception . hotel across 5oth street tube take JFK ( 1 hour $ 7- shove case turn style ) room much big hotel modern . particulary enjoy location : one block time square 2 block resturaunt row favourite Armish Market Hells Kitchen . food emporioum across road pretty much get anything eat take back room put microwave . husband particulary enjoy watch lady yoga view room - view look directly across yoga centre ! would definaetly go back . 
 Aug 22 2009 	 great hotel - great location 	 find hotel TripAdvisor great time . hotel recently build , clean , well appoint . room small side , bad midtown price . great bed , good staff . love Herman Miller desk chair glass shower . location FABULOUS - step Herald Sq subway station come right next hotel entrance . be also block Empire State Building , ten minute walk Times Square , 5 minute Penn Station . will back . if one minor gripe , would hotel need elevator service elevator . one three car service , housekeeping staff often use one remain two . walk 17 flight option . 
 Aug 22 2009 	 good vacation ever ! 	 stay Hilton Inn 10 night enjoy every single day ! pay $ 135 + tax night , nice lady check even upgrade we city view room check ! think well deal NYC . room get ( 2101 ) spacio clean , even think wear shoe inside room . housekeeping excellent ( although one day forget refill coffee , minor mistake anyways get free coffe lobby ) . Custom make omelette breakfast , . everything perfekt . complain something , would crowd elevator . read problem beforehand Trip Advisor , prepared , bother we much . , recommend hotel everybody . 5 star ! 
 Aug 21 2009 	 great hotel ; fantastic location 	 fantastic , newly build hotel great location . hotel intersection two subway line , second Macy 's , one block Empire State Building ten minute walk Times Square . also close ( one block ) Penn Station connect JFK airport . bedroom good ( although bath ) , multi firmness setting matresse . also free internet connection bedroom ( bring laptop ) business centre . upgrade arrival 20th Floor noise road . would highly recommend hotal would stay return visit . 
 Aug 20 2009 	 pleasant 	 small group 6 travel often . pleasure stay clean friendly place . 
 Aug 18 2009 	 good stay great location ... 	 book expedia stay 10days . stay Rm602 July20 - 30 2009.as subject go , good stay ... location great -- close 6th Ave ( Ave Americas ) stone 's throw away Macy 's JC Penny shopping place , course Times Square ! subway literally jsut outside door well ... front desk staff helpful friendly .... concierge informative although one ( Jeremy ) could not ( do not want ? ) bother assist research tourist info ... know already know.room small king - sized bed though many thing outside door hotel , do not stay room much except shower sleep . wireless internet work well room.didnt get try patronise restaurant / cafe bar ... although do not like bar staff tell bring drink small garden ( diet coke ) purchase drink bar able use small garden ... besides minor damper , would recommend people want book affordable hotel heart action NY . 
 Aug 17 2009 	 Thanks Trip advisor guide hotel 	 hotel great place , subway stop literally step main door . 's 15 minute walk Broadway Times Square . 
 Aug 16 2009 	 Awesome value 	 great location , safe convenient Times Square . cookie check . Wi - Fi internet . brand new room look great . get great deal pre - pay purchase - $ 139 / night plus tax . receive free upgrade scenic view upon checkin . only con small room size ( extra space , everything ultra functional meet need ) lobby elevator get bit crowd . highly recommend . 
 Aug 15 2009 	 Happy Stayed 	 family three stay 8/7 -8/14 . location great ! 's step away subway station , restaurant , gift shop , department store . 's safe area , although first half block not well lit , time get hotel area , be bright . ' ve walk towards dark part past 1:00 a.m. issue though , be use . lot people street times night ! lobby efficient ( small , space functional ) , air conditioning welcome humid hot day . concierge desk right front helpful even answer question . business center 4 computer office supply , computer not always work time . be business person , will want rely computer seem use tourist like ! : - ) fitness center downstairs consist two treadmill , two ellipitical , 1 bike along w / hand weight maybe 5 50 lbs . - not see light one , several weighted medicine ball also bench well . ample space use large ball , mat stretch , etc . never see 3 people time . would use , except mile walk every day stay late , hard work top that . the hotel 31 floor 10 room floor . two room floor not view . not know view whether mean window . room 23rd floor could see top Empire State Building window . : - ) 10 room great less noise level . room design way take consideration noise next door neighbor . happen corner room , tv side next door 's tv , rather bed , worry less tv volume , although considerate ! even though ice machine elevator close door , hear people talk outside door , never hear people next we we . the room efficient space well - use . Manhattan , expect spacious room . room two double bed ( price around $ 162 plus taxis ) . imagine bed , night stand , second bed , stand lamp . would one side room . opposite row desk chair , flat panel tv top 4 small drawer ( small height drawer ) , obviously wide enough fit tv . next cabinet ottoman . full size mirror . bathroom sleep area cabinet small microwave , coffee maker ( not use ) , ice bucket , cup , item associate w / coffee not look , mini - fridge & quot ; freezer . & quot ; freezer well could . would put couple bottle water freeze , would 1/2 frozen morning , work purpose . in bathroom shower / tub combo , water level sufficient . toilet , albeit quite low , 1 sink soap , shampoo , conditioner , mouthwash provide . sufficient towel provide well . in general , everything room fine , service efficient . minor thing could well : use ice bucket several time day , least two day , forgot give liner ; & quot ; sheet & quot ; top duvet look dirty black marking , not sure whether we already first night ( quite tired hardly detailed ) - say something also hope would notice change ; least , come back mid afternoon , room not clean yet - problem , unexpected ; enough seat area - since bad back , always get chair , husband daughter sit bed , 's problem less property , something aware of . I would recommend hotel everyone would encourage people give try . great location , service efficient , room clean , price really good , especially newly build hotel ( February 2009 ) . 
 Aug 11 2009 	 perfect 	 great hotel , great location friendly staff . newly renovate hotel everything impeccable . stay 15th floor view 35th room amayze quiet , not feel right middle Manhattan . definitively come back hotel ! 
 Aug 11 2009 	 great location brand new clean free wi - fi '' 	 recently spend three night hotel . two double bed nice linen lot pillow . mini frig , microwave , coffee pot room , stack top way spot not need . room also closet , suitcase stand , dresser , desk light , good view Empire State Building . bathroom granite countertop , hairdryer bag door need . location great , subway stop end block . self parking across street bringing car . charge $ 35 dollar night SUV . call hotel several time staff always polite helpful . free breakfast complementary coffee bar morning . would definitely stay . nice new . 
 Aug 7 2009 	 Location Location Location ! 	 new , small hotel locate Herald Square across street Macy 's walk distance everything ! not feel like walk subway right outside . staff extremely helpful friendly . Scott , concierge , helpful knowledgeable FABULOUS ! got we ticket Saturday night Billy Elliott ( must see show way ! ) hotel small -- big restaurant , small bar bell service . room not big either hey -- be NYC ! bar & amp ; restaurant everywhere ! hotel good value good location , would stay ! 
 Aug 6 2009 	 good value location hand 	 company colleague adore hotel , . near every Subway line ( major within New Yorker - pace 10 - minute walk ) . rate outstanding . also please amenity . 's brand count room fantastic . mine even manage view look uptown . service also outstanding . sweaty mess walk ... full business dress day meeting NYC - in - August humid day . front desk staff water bottle hand room key . level hotel , little thing like turn comfortable stay notably good one . level friendly service remain entire trip . 
 Aug 5 2009 	 great location -- check bill . 	 except snotty desk clerk seem think know nearest subway station ( despite fact check night ) billing error , would rate hotel 5/5 otherwise . 
 Aug 4 2009 	 Great Place nice expect shortcoming 	 Hilton Garden Inn 35th St. almost everything : great location , ( 5th & amp ; 6th Ave , 30 foot Herald Square subway entrance ) , large room ( NY City ) free wireless -and wire - internet , everything new ( open 6 month ago Feb. ' 09 ) . room quiet - never hear anyone , next door , though end hallway next ( 15th floor ) staircase , people use ( ! ) could hear door open & amp ; close . towel door fix . professional staff great . housekeeper ... well , clean beautifully , forget stuff . room toilet paper - 2 empty dispenser ! fortunately , wife able call deliver tp 2 minute . ( have travel alone ... ) flatscreen tv not work - yes , check make sure plug plug behind heavy furniture . call , & quot ; engineering & quot ; door 5 minute . turn cord unplugged TV . not realize possible . mostly , think tv something think maid would check . bathroom fan not seem work . turn , be constant - exhaust system . quite quick de - fog mirror , make noise , either . tip : get 42nd street subway , take & quot ; yellow & quot ; train one stop toward uptown . always feel safe . bit confusing first , people always willing help . hotel breakfast excellent cost $ 18 . two door leave breakfast $ 14 Metro Hotel . cross 5th avenue 's Starbucks . go door right , instead ; turn right 6th ave . 's McDonalds ! pizza place across street deliver 18 & quot ; pizza ! price $ 14- $ 20 depend topping . however , go lobby get , will not come room . keep leftover mini - fridge reheat microwave . : ) lobby buy sodas & amp ; snack 24/7 . new drugstore build around corner - like 7 - 11 steroid , regular - size package , several brand choose , realistic price . ( base one 2 block away . ) , great place stay ! 
 Aug 2 2009 	 Perfect 	 Perfect situation , perfect price , perfect staff . recommend hotel go back ! 
 Aug 2 2009 	 Terriffic Hotel Terrific Location Terrific Rate 	 •We book " NY Super Sale " special " Evolution Cityview Double " ( minimum 4 night , 7 day advance purch ) 5 night $ 186 pleased . two teenage boy . two double beds.•checkin a - ok ( early checkin noon ) . front desk personnel pleasant helpful.•the " cityview " package , believe read somewhere , get high floor . 19 30 . terrific view Empire State building.•smallish room ( typical size NYC ) . sit desk , boy climb bed get bathroom . expect small . otherwise terrific room . bed die kind adjustable firmness feature ( dial velcro ' flap leave front mattress ) let make mattress soft firm fact seem work advertise . REGULAR SIZE PILLOWS , dinky shoebox pillow hotel . FITTED BOTTOM SHEET , huge plus book . flatscreen tv Highdef . Microwave , coffee mini - fridge leftover pizza John ' Pizzeria AWESOME reheat next day . small adequate closet . Roomy bathroom – small . terrific shower pressure . BATHTUB ' soak foot day walk creation Manhattan . complimentary wifi . ironing board / iron . safe . safety deposit box lobby.•nice look gym basement would ' like use get exercise ways.•free coffee service morning lobby . free cookie around 5 pm front desk.•we experience lengthy elevator delay mention elsewhere one day ( Saturday Sunday believe ) . least 20 minute wait elevator . day , problem . Typicall would head around 8 am morning.•airconditioner – wall thermostat set room . generally work ok couple night lot on / off behavior unit . set low ( 70 less ) sleep generally seem work aforementioned night . •location – 4 - 6 block Penn Station . take train Newark airport Penn Sta walk luggage hotel . day would head Penn Station foot take subway wherever might headed day . many attraction walkable . Times square 6 - 7 block away instance . macy ' block two away.•maid service – a - ok . would leave first thing morning come back night . side story – one morning , still asleep , open coffee package . take inner coffee pouch exterior foil wrapper . walk toward coffee pot . hear spill sound . coffee pouch seal , result ground coffee floor . notify housekeeping , get vacuum request . •there small bar restaurant . visit bar , pleasant . visit restaurant . think maybe breakfast only.•Hotel understand new Feb 2009 . clean new . overall pleased . 
 Aug 1 2009 	 great hotel stay NYC 	 thank good rating Trip Advisor , take chance book room . first time NYC many year , familiar area . staff helpful . room decor tasteful , comfortable clean . great bed , . space bit tight , NYC , 's place sleep shower . bathroom well do -- suggestion : make mirror would helpful . cafe serve expensive ( $ 20 ) buffet not know get toast & amp ; coffee . , manager understand not charge . could see Empire State Bldg window ! would definitely stay . 
 Jul 30 2009 	 great hotel check could well 	 book 2 room 4 night stay early June . check experience put dampner stay start . check inform although book pay advance ( 2 month advance ) ' City View ' room allocate low level non city view room would costed approx $ 70 less per room per night . say acceptable either find we city view room refund difference . inform refund possible City veiw room . explain travel 26hrs mood request speak manager . wait speak manager another couple arrive check clerk advise happy tone happy let know upgrade City view room ! ! manager could see boiling point agree ' unlock ' two city view room we wre ready we straight away , impressed go get pay ! ! ! say staff fantastic rest stay helpful especially bell staff ( Daniel , think ) hotel great spot represent fantastic value money . within 2 min walk Macy 's ( do not forget go guest service 10 % disc card international traveller ! ) 5 min empire state . subway , walk straight straight onto train take we straight Yankees ! ( 20 min ride approx ) fantastic proximity Broadway 5th ave 20 30 min walk way central park . room small side wuite large compare room NYC ! ! 
 Jul 27 2009 	 great experience 	 sister bring mother NYC Broadway play , choose hotel base review . pleased - staff friendly , accommodate helpful . room 2 bed great view Empire State Building . ask room 20th floor want enjoy skyline ! room spotless , bed great , flat screen LG tv , microwave , coffeemaker ! quiet ! concierge right door , nice ! 
 Jul 26 2009 	 convenient location 	 's alright place ... location good Macy be across street within walk distance Times Square . 
 Jul 25 2009 	 absolutely great ! - Definately Recommend ! 	 hotel fabulous . I stay long weekend April leisure friend . originally plan stay Jersey , decide last minute stay Manhattan convenience city . we get recomendation friend stay last minute book without hesistation . ( glad ! ) -- staff -- hotel staff great . friendly , polite , socialable , yet professional . absolutely trouble check checking . hotel staff wasy helpful direction accomodate certain request . -- room -- Rooms New York standard spectacular . first time NYC , expect room size sardine , pleasantly suprise spacious quarter enough space walk store luggage . bed comfortable , linen fresh always clean . bathroom spacious large counter top full tub shower . room decorate quite modern touch . -- location -- BEST part hotel location . short walk Times Square , Empire state must - see NYC attraction . lot cute little place eat ( BEST brownie place step away ) . everything within walk proximety , require transit , subway right outside door . convenient . hotel do not parking , agreement parking garage literally right across street . side hotel also cute little patio area enjoy morning coffee late night drink . Patio lead cute bar situate lobby . overall hotel MUCH could ask . do not opt breakfast prefer eat city , always fairly full morning . however , take advantage free coffee be not half bad . hotel offer free internet available 24 hour day free printing well 24 hour snack bar plus whole experience . I would recommend hotel anyone look great stay would not hesistate stay . fact , would prefer stay read review hotels town . 
 Jul 16 2009 	 Loved hotel ! clean modern comfy . 	 hotel great location . close Times square , Empire State Building subway . two big thing care hotel cleanliness comfort . room spotless , modern , small . view amazing ! bed quite comfortable . usually take shoe hotel room , actually feel clean . would definitely stay ; negative experience . 
 Jul 16 2009 	 great hotel - super location - right price ! 	 stay three night second week Julky . room great - comfortable bed - microwave - free coffee room lobby . super fast check - in ; pleasant staff . hotel wake distance everything wonderful - walk Central Park North great restaurant 14th Street South . would definitely come back next stay . 
 Jul 16 2009 	 great place stay come home recomende friend family ! 	 book hotel without know anything read tripadvisor 's review people stay . stay 4 night . staff friendly accommodate . hotel open year February , practically brand new . good part : bed ! ! comfortable bed hotel ever ! ! good part : rain day get , build new ( explain we front desk ) wet stain carpet water seep crack , create wet stain carpet ( 30th floor , apparently concern people high low floor complain ) . great gym downstairs , defiantly asset . place centrally locate , right Broadway ( central shopping location ) , block away Empire State building , 4 - 5 block Times Square . thing mention disseminate breakfast hotel consist egg omelet toast cost we $ 20 per person . way expensive , cafe around corner $ 20 we . , ' m ever New York , would DEFINITELY stay ! ! 
 Jul 16 2009 	 Perfect every way 	 husband return five day stay Hilton Garden Inn nothing good thing say itthis third trip NYC stay budget bare bone hotel share bath ultra posh hotel bell whistle place far good deal money ! book Revolution room king size adjustable bed city view delight find Empire State building right outside window ! 22nd floor traffic noise issue . right elevator worry first never notice noise it . the room small expect NYC . desk ergonomic chair , fridge , microwave , flat screen tv small side chair . oh free wifi ! come handy since husband work bit . bathroom look brand new decent size large glass enclose shower ample counter space around sink area . improvement suggest add another shelf shower toiletry . as neighborhood perfect need . subway stop ( N , R , Q , W Herald Sq ) outside front door . Macy be around corner Times Square / Theater District within safe walking distance , several korean restaurant block , well irish pub , newsstand deli counter several bar restaurant . also clothe need launder find place one block away 36th street day service . I can not stress enough much like place . hope stay well keep would love remain go place future visit ! 
 Jul 15 2009 	 Brand new close can not wait come back ! 	 hotel brand new , clean friendly staff . room small , be NYC ... expect ? nice tv , super clean walk distance time square , great shopping , great food etc . inexpensive pub near affordable shopping souvenir . great area , nothing scary even relativley close . 
 Jul 15 2009 	 Great Hotel Friendly Staff Small room poor management 	 Hotel overall great . nice location , room little bit small New York City . funny observation would personally bring even staff Front Desk friendly , Front Desk Manager Frederick Jones rude since time check . approach Desk check look we look Clerk next tell , check , walk away , feel like good check we . afterwards go desk ask restaurant dinner simply look we say & quot ; not & quot ; turn away another guest .... kind rude ... overall Great Place , great Breakfast buffet great locationI would probably go back one day , change Front Desk Manager 
 Jul 13 2009 	 Great Hotel Excellent location 	 hotel excellent location . read many review not really sure stay . take chance hotel since new disappointed . empire State Building Macy 's right outside door . attraction Manhattan Times Square , Penn Station , Port Authority , etc . short walk away . one problem hotel . 8 hour delay arrive instead get 1:30 pm arrive 9:00 pm . hotel somehow overbooke get double instead king size first night . happy travel give 2 free breakfast great room next day face Empire State Building . concierge not friendly helpful male desk clerk first night . next day get great service two female desk clerk . unless picky , hotel great bargain normal amenity . would definitly recommend stay . 
 Jul 10 2009 	 Excellent Hotel great location 	 Checking breeze , room quiet , clean comfortable . midtown location perfect - step away Herald Sq subway access 8 different subway line . Wifi reliable well . 
 Jul 8 2009 	 great value great location 	 book via Expedia get great deal approx 3 month prior arrival . welcoming , friendly helpful staff . new , modern , clean room . 5 we ( twin twin 3 ) even 3 us room , not crowd ! hotel locate right Macy 's one block away Empire State Building short walk Times Square . when reception close , swipe room key enter hotel . we not eat hotel , 's much choice around place breakfast . the problem incur ice machine ( one floor ) temperamental triple room glass , coffee cup towel 2 people . we think excellent choice hotel New York 
 Jul 6 2009 	 good location sweet price 	 first trip ny love every minute ! hotel great location ( unbeknownst we book ) right next subway , 5th & amp ; 6th . room 30th floor face empire state building , view not bad , expect face brick wall . price considerably cheap other area , expect lot less actually get . concierge Marc super helpful , even manage score we decent ticket Yankees game day July 4th . parking across road public lot , hotel validate 's discount , pay $ 100 3 day . might cheap place park not investigate advance . neighbourhood safe central location able travel every part city via cab cheaply . definitely re - book hotel next trip ny . 
 Jul 5 2009 	 Location location location ! 	 stay Hilton Garden Inn West 35th Street three night Fourth July weekend . book hotel straight hhonors.com web site base positive comment . surprise . pleased stay . check - in business - like effective , actually like cold . I give room 15th floor face north . view Empire State Building , old office building 20 foot away . the room rather small , small Manhattan hotel room ' ve stay . decent working desk ergonimic chair , king size bed small ottoman . everything great shape . bathroom small spotless glass - encose walk - in shower . next door room , also small closet store luggage clothing . hotel restaurant bar on - site . breakfast rather pricey ( 18 dollar ) light morning eater prefer use nearby deli . dozen delis restaurant nearby . Hilton Garden Inn occupy brand new building 6th Avenue . another new hotel building next door , housing Hampton Inn franchise . hotel situate 60 foot subway station B , , F , N , Q , r , V W line . penn stadion 2 block away . my complaint hotel lack safe room . know safes part HGI concept , still would nice addition . to sum , really please hotel . likely stay next time ' m New York City . 
 Jul 4 2009 	 great NYC Rates 	 stay twice . within walking distance Broadway theater . pay $ 139 / night king room w / microwave fridge . clean room , comfortable bed , decent walk shower ( bathtub ) . typical Hilton Garden Inn - lot amenity , NYC outside door , need . parking garage across street , $ 35day . 
 Jul 2 2009 	 Excellent Hotel 	 stay Hilton Garden Inn four night end June . four girl one room . would highly recommend hotel . not one bad thing say . like other say , brand new excellent condition . fifth floor , hotel extremely quiet . bathroom nice , shower great . little worried room small four us luggage fit comfortably , problem . right outside door 34th Street Subway station convenient , subway easy use . easily get around whole city walk , subway cab night . get awesome rate New York Super Sale rate . staff friendly . I would definitely stay ! 
 Jul 1 2009 	 nice hotel excellent location 	 go Manhattan friend june 2009 book hotel good review get . confirm review . friendly staff , free internet , free coffee morning realy nice clean room ( 2 singlle bed ) 23th floor big LCD tv . location perfect realy close times square empire state building 
 Jun 29 2009 	 great location clean roomy . 	 decide book stay Hilton Garden Inn read many fab rave TripAdvisor . 1 day NYC make , hotel location ideal . walk distance Empire State Building major shopping attraction . room decent size importantly , clean ! 
 Jun 26 2009 	 absolutely love stay hotel fab great location : - ) 	 book hotel Hotels.com get great rate . initially stay Sunday check Wednesday stay elsewhere afterwards meet family , hotel shock thank goodness Hilton find we room remainder stay NYC check Thursday Sunday . samira particular helpful check we back manage give we room back check ( top ) 31st FLOOR . brilliant . room little small corner room City Skyline View fantastic , especially night 's light . full length window corner could see right round Macy 's etc . on arrive NYC walk Hotel Penn Station get Airtrain LIRR overground train see view way in . the room say little small expected fine two we , though agree safe available room . nice well equip microwave , fridge , tea & amp ; coffee facility , huge shower great bath product . wardrobe little small use big drawer fine . the hotel quiet , complimentary tea & amp ; coffee lobby 10:30am , reception staff concierge helpful welcome complimentary business centre free internet use locate couple recommend restaurant also online check - in flight home . the location second - to - none 's centre everything - Macy 's , Penn Station Herald Square subway Station next door ( great get Brooklyn Bridge Statue Liberty ) , Times Square Broadway , along plenty place eat out . we would definately stay think return trip already : - ) would definately recommend other . the thing would bear mind build February 2009 lot cab driver not know yet , either give exact address ask Macy's / Herald Square Station ( Hampton next door ) . 
 Jun 25 2009 	 clean quiet great location so - so service 	 meet good friend NYC girlfriend getaway . choose hotel base review overall impressed . thing keep give place point service category fact problem shower take three day get fix . shower head attach properly water spray sideway , cause sink , toilet , wall floor outside shower get wet . not request change room morning , ask fix think simple thing would get do , third day get pretty irritated finally repairman show . would not let keep stay , however - new hotel probably kink work , plenty good thing place . 
 Jun 24 2009 	 want want 	 Hotel new great shape . Room offer need . addition flat screen tv nice touch . also complimentary business center great bonus . late flight nice able store luggage tour City day . subway right doorstep . hotel 7 block Times Square , nice little walk . would recommend . 
 Jun 24 2009 	 Excellent Stay 	 stay New York first time , want central location close main attraction , transport shopping . could not imagine well location stay last six night - stone 's throw Macy 's subway , close BoltBus drop - off / pick - up location Boston & amp ; Washington DC service ( also recommend ) .room not huge , nice comfortable King bed , good size bathroom large vanity , wardrobe , flat screen tv , desk fridge . free internet also great bonus . also quiet night - 's worth extra block Times Square go night every night . say , take we 10 - 15min walk Times Square depend light . would absolutely stay . great value ! 
