Great 	 parent stay visit China fantastic time . two notable aspect hotel service location . the location excellent walk take subway - great not speak much chinese subway good backup plan can not get cabbie understand tire Beijing traffic ( ) . hotel practically top Dengshikou station Line 5 , stop away line Temple Heaven Hongqiao Pearl Market . also walk distance wangfuje Shopping Street Donghuamen Night Market . technically walk distance Tiananmen Square Forbidden City short walk , especially already walk around day . couple convenience store within 2 3 block snack , etc . also . neighborhood appear sterile first ( nice hotel , department store ) interesting hutong street also walk around bit . the staff hotel excellent , especially restaurant . concierge helpful making booking arrange tour well give direction . reason recommend take taxi oppose subway everywhere maybe be not trust get around subway - really quite easy not hesitate take even tell cab recommendation . the room nice bed pillow comfortable . food good - particularly steak restaurant ( break chinese food night ) . gym also well - equip large expect . my complaint room street side hotel pretty noisy . although nice view be sensitive noise recommend stay courtyard side . for money can not imagine could find well hotel Beijing . rate find least US $ 100 less five star hotel look . 
 Wonderful 	 stay Peninsula two previous trip Beijing . decide try Regent time $ 100 night cheap suite look wonderful . true ! suite nice ever - even two bathroom ! President Korea short time stay - security tight - fact , everyone floor . club room option also wonderful . thing find different Peninsula staff good grasp english language . difficult time get thought across . fantastic bargain stay next trip . 
 Apr 23 2008 	 great hotel great service 	 book next door Park Plaza due late arrival , upgrade we sister hotel Regent . can not say enough good word hotel . every aspect , 's wonderful - room huge nicely decorate , king bad comfy toilet exquisite . staff hotel train give good service - reception last bell boy - give feel . breakfast wonderful , everything imagine want - continental , chinese , english american good quality . location central , five minute walk wanfuje 20 T. square forbid city could see room ! also starbuck adjacent hotel several good restaurant next door . we feel lucky pay 4 star hotel get fabulous hotel , - twice . 
 Apr 22 2008 	 Great Hotel watch hotel cup ! ! ! 	 Beijing Regent initially luxurious experience we travel family . great place relax spend night especially climb great wall . however , good experience facility . one family member take one hotel cup wash basin , without know handle detach cup . warn sign either . , empty water cup , fall straight handle crack cup . check , charge rmb 280.00 small damage ! ! , check hotel , please aware . housekeeper also regularly replace toiletry . less half bottle body wash leave , replace ! hairdryer room also terrible . smell burn smell soon turn . try look inside , see small fire come fan ! ! overall , outlook great , many detail need take care . 
 Apr 14 2008 	 ok stay Regent Beijing 	 stay Regent Beijing one night ( travel Europe Nanjing make one - day stop Beijing ) . actually book Park Plaza ( property ) via web , full arrived get free upgrade Regent . ( read review , seem common policy . ) hotel really posh , thing demand traveller ( ) look : huge lobby , several bar Piano player day etc . the room luxurious ( e.g . brand new flat screen cd player - not turn not time ) , free internet access ( bring laptop ) .The location GREAT : easy walking distance Wangfujing , main shopping street , also Tian'anmen Forbidden City ( can . 20 minute walk ) .only minor detail : toilet really clean use first time ( & quot ; yellow stain & quot ; seat ) , shower tended flood whole bathroom ... - seem general problem 21st century fantasy marble shower : beauty go functionality ... rest , overall great experience . give good mark really disgust stain toilet , make think management might stress superficial poshness thorough quality control , maybe unlucky . remark concern neighborhood ( course nothing hotel ! ) : rapidly develop area , last old building currently knock make place modern high - rise building . many traveler warn friendly & quot ; student & quot ; chat step hotel yes , true , phenomenon experience EVERYWHERE Beijing : young people start talk walk ( matter destination ) , claim & quot ; art student & quot ; , suddenly ( sometimes 30 minute friendly chatting ) invite & quot ; art gallery & quot ; claim buy cheap painting etc . never follow , get rid easily enough , hear people get nasty situation ( allow leave & quot ; exhibition & quot ; without buy something etc . ) simply not go . Chang Bizi ( & quot ; long nose & quot ; Caucasians call Chinese ) , invariably encounter Beijing . hand , invite one guy quick beer many outlet wangfuje , part friendly enough . least speak English , far normal Beijing ... 
 Apr 12 2008 	 nice upgrade - great location . 	 initially book Park plaza Wangfujing , upon arrive already fully book . concierge move sister hotel , Regent - right next door . it great stay , room nice , modern location minute wangfuje shopping area . concierge helpful advice sightseeing confirm onward flight . happy ! 
 Mar 10 2008 	 highly Recommend ! 	 take long time post review want tell anybody think book hotel ! also get upgrade Park Plaza disappoint . even breakfast Club privlege . make sure ask staff will not offer . room clean , modern large . feel like paradise return hotel long day tour Beijing . Cozy , comfy bed great linen duvet . well locate taxi cheap need get somewhere fast . 
 Feb 29 2008 	 could become regular 	 originally book stay Park Plaza next door base review . however , wife show tell hotel full take son next door Regent . levina front desk treat like royalty always great see ( like rest staff ) . get we gorgeous room 19th floor give we fabulous view firework Festival Lanterns . room stunning , dark wood , frosted glass , rich drapery , comfortable window seat , nice work space lot US plug . bathroom separate shower nice deep tub . lot lighting option room always ensure comfortable . the staff great , everything need take care , turn service quick , prompt thorough . Laundry , like every hotel overprice , service excellent . everything be say Park Plaza go Regent 's worth extra money ( though not pay stay ) . end extend stay several day honor transfer rate Plaza , nice . 
 Feb 17 2008 	 amazing spa ! 	 recommend choose hotel need bit pamper . woman , could not enough . find many 5 * hotel stay past either ignore make feel uncomfortable alone . room beautiful . ask one high floor view give one 19th floor . everything need room . appreciate caffitiere fresh coffee , complementary bottle mineral water bath salt body scrub . soak bath whilst take lovely view watch tv . would perfect place also romantic get away . health club amazing . 32 metre pool immaculate tranquil - perfect way relax sightseeing . often person swimming pool . also book treatment spa gorgeous quite affordable . breakfast expensive Beijing quite spread . negative cook breakfast bit cold . highly recommend hotel stay Beijing . staff friendly attentive make feel welcome . 
 Feb 6 2008 	 one good 	 first time beijing decide treat book regent .not 's walk distance tourist attraction shopping district .but also good value money .lovely bedroom bathroom.the breakfast buffet excellent . 
 Dec 31 2007 	 ok great say 	 stay Regent two different type room past month . say although hotel nice , mean top class hotel today standard . stay Executive room , one bedroom suite ( connect twin premium ) . yes room look nice , upon close inspection quite dirty , dirt mound behind door , muck bathroom counter . daily clean good well . two different stay housekeep wash use fork , glass leave sit . shower ( stay ) seem quite bit old residue . room service leave corridor extend period time well . complementary bottle replace day ( ) toiletry replace either stay . seem cheap sort thing . room ' tidy ' well several occasion , i.e . straighten coffee table sofa cushion . overall give room half clean feel . room also noisy hot . noise come outside hotel , build construct 24hrs day ( China ) . think affect one side hotel . club lounge quite good , great benefit . however seem one Joss Stone CD play whole time , stay . quite annoying . however , breakfast good , evening drink nice way wind . hotel nice ? yes . great ? . would reccomend family friend stay expect good ? . would say go Ritz Carlton FS want modern big hotel , Cote Cour sl pleasure . AMAZING 500 year old funky boutique hotel . also lucky stay December well . I would also say try stay one many hotel open Beijing moment . open next month ... - Mandarin Oriental- Park Hyatt- Ritz Carlton 's ( ) - JW Marriott- WestinThe Regent nice , great . sure one top Beijing moment , well ... lot come . look around . 
 Dec 31 2007 	 terrible service 	 first visit Regent say ' go back again . true , room nice spacious … a / c work properly smell bad . lot noise outside able sleep . call manager duty , able understand offer free breakfast ( guess ? package include breakfast ) … speaking staff . ignore " disturb " light . speak English ignore . manager seat Bar Restaurant also ignore guest … stay almost week suite none one come say hello ! ! ! staff see client annoyance . get round drink lobby bar 30 - minute affair . extra mark uselessness grumpiness go front desk 
 Dec 28 2007 	 Regal Regent 	 stay Regent Beijing twice December . first stay book Expedia , recommendation hotel staff , join Regent / Radisson / Park Plaza executive club ( fee ) . first visit , standard room exceptional well beyond expectation consider affordable rate . staff exceptional -with valet quick argue cab drivers behalf ask help . desk staff helpful , happen meet dutch woman work evening -she amazing . three week travel trek around China , realize outstanding hotel really . modern , exceptionally clean , meticulously maintain -truly five star hotel . second visit , upgrade executive suite additional charge , breakfast happy hour include . end leave hotel day ... trip pool spa turn day event , simply one else seem waste take advantage facility . backpacker 's China , certainly welcome luxury tired traveler business traveler . Tips budget conscious -the Park Plaza attach Regent share pool / spa facility ( sure room , vintage . seem book fast ' ve hear upgrade Regent ( fee ) overbook . also , look Radisson executive membership book potential upgrade arrive . 
 Dec 23 2007 	 well - Good Hotel 	 external appearance hotel not look anything special , inside change . lobby elegant , Lavinda - Guest Relations come Europe handle check efficiently smooth transition check - in room , welcome . know hotel seem wait age bag deliver , here . the Deluxe room standard room , stay numerous hotel standard norml . room picture show , well appoint quality furnishing , flat screen tv , room safe , nice king bed love snuggle/ relax , individual temperature control , seperate Toilet shower optional rainfail/ normal shower head , plus soak bath . little extra set perfectly rather sexy glass bathroom bed view something like . I dine Bar & amp ; Grill restaurant & amp ; not diappointe , food service excellent . the location convenient , Airport hotel taxi cost $ 80 chinese yaun , [ $ 10 yaun toll gate fee include ] . main shopping street easy 10minute walk & amp ; Forbidden City 20 minute . Peninsula Hotel 5 minute away . subway entrace hotel subway easy use , $ 3 - $ 5 yaun per trip . could not easy . upon leave , Lavinda personally come & amp ; say goodbye - speak volume hotel philosophy - make people feel special staff do . only negative Concierge section , information provide inaccurate , rather small take overall stay . gladly stay hear again . if people ask would stay Olympics , would recommend Regent . just note book hotel website , check special , save decent money checking section . 
 Dec 20 2007 	 superbly classy ! 	 convenient location , extremely beautiful hotel lobby room spacious classy . unfortunately , breakfast slightly disappointing - bland fresh . 
 Dec 18 2007 	 nice brand new hotel 	 arrive Regent bit irritated front desk check take long time , clerk confuse end keep desk since want photocopy passport I.D . card ( tell every hotel BJ req passport copy ... ) check process also slow ... BJ building hotel quickly get feel not really many experienced hotel staff choose frombut , room beautiful every creature comfort would wish , bathtub ( new hotel ) look tempting , 2 day event , pretty happy food chinese restaurant ( 2nd 3rd floor ) convention / banquet food bad.coincidentally parent stay week love place ( term decor , food , comfort , location etc ) love place fast / well service BJ hotel ( ie Peninsula ) 
 Nov 28 2007 	 luxurious relaxing 	 find Regent oasis calm luxury end busy day sightseeing . 10 minute taxi ride Forbidden City , Tiananmen Square , main shopping area . ideal Beijing short time . room -- -- -- -- -- stay 2 night deluxe room 18th floor . room contemporary beautifully decorate . king - size bed comfortable . good use modern technology - flat screen 32 & quot ; tv , DVD / CD player , electronic blind bathroom , tv speaker bathroom . large glass desk give ample room work large floor - to - ceiling window let lot natural light . in - room lighting dim change various way produce relaxing atmosphere , find ideal long day sightseeing around Beijing Great Wall . similarly , large tub - bath drench shower bathroom excellent . complimentary toiletry include relax leg balm , bath crystal , shower gel etc . possible watch tv bath opening blind bathroom . dining -- -- -- -- -The buffet breakfast super . cater English , chinese , japanese cullinary taste . whichever preference , large selection food choose frrom . room service also excellent , always deliver quickly hot . hotel even bring starbuck drink room wish ( Starbucks hotel ground ) . service -- -- -- -- -- front desk always helpful happily provide advice go sightseeing etc . organise taxi day take Ming Tombs great Wall Mutianyu ( less touristy badale ) , £ 40 ( US $ 80 ) . bell boy attentive take care luggage soon taxi arrive hotel . ' Regent Touch ' button phone room use request whatever want , e.g . room service , travel information etc . certainly stay Regent next time Beijing . highly recommend business tourist guest . 
 Nov 21 2007 	 truly beautiful hotel 	 put Oct 1 - 2 , right begin Chinese National Holiday , overnight tour Beijing Regent Mariner cruise ship , dazzle opulence room assign - superb ! 700 us tour , include part Mariner 's Grand Asia Pacific cruise ( Vancouver Los Angeles via Alaska , Russia , Japan , China , South - east Asia , Indonesia , Australia - New Zealand South Pacific ) , arrangement , food , everything connect exceptionally well do . bravo ! 
 Nov 19 2007 	 Excellent Luxury Hotel Beijing 	 stay 5 day begin November 2007 . Regent excellent hotel build new . stay outstanding return back hotel every evening like retreat oasis . check , find book room little dirty , complain Manager appear present apology grant we upgrade room , really appreciate ( receive nice modern suite , amazing integrated bathroom / bedroom area ) . one good suite ever stay in . leg balm scrub cream extras never see hotel ( find leg balm specially useful daytrip Great Wall ) . hotel restaurant good ( specially italian one ) cheap compare average local business . swim pool beautiful indoor pool ever see . the room face big avenue front hotel ( believe name Dongsi Dajie , Jin Bao street , official address , understand refer vehicle entrance - hotel locate corner ) locate high floor view Forbidden City . Forbidden City view good , something die , therefore , would not pay specific view . avenue front hotel , way , good place shop ( besides wangfuje area , also close hotel ) . walk right leave hotel find several store ( clothe , shoe , bag , gift etc ) follow block . travel budget , check Park Plaza , locate complex ( two minute walk lobby lobby ) . 
 Nov 19 2007 	 Loved Regent 	 Regent Beijing first hotel stay annual 4 - week long China journey , one good hotel visit . book club room , spacious nice design , bathroom perfect lot amentie . club also nice breakfast service good . not eat hotel restaurant , though drink bar Grill , service good . concierge helpful . location hotel good , walk distance Forbidden City short drive walk shopping street oriental Plaza . taxi driver not know hotel however , actually quite normal Beijing , since taxi - driver come country not know lot Beijing . build next hotel couple good restaurant . Regent favourite Beijing , stay several five - star hotel Beijing far . 
 Nov 17 2007 	 Loved Regent Beijing Beijing 	 Regent Beijing outstanding . beautiful , friendly , comfortable , helpful . travel husband ( like value ) 2 adult daughter ( 20 ) 4 we love hotel . cost hotel Beijing , however , similar room major city would least double cost . even husband think good value ! would definately stay again . Beijing also exceed expectation -- post separately . we , however , positive experience expedia . husband tell breakfast include rate expedia employee . get hotel , case . try remedy problem expedia phone , satisfied customer service . 
 Nov 14 2007 	 Superior hotel inferior Front Desk service 	 stay Regent 3 day good time stay modern superior hotel . room spacious meticulously design . one thing would lke make remark , though one thing trivial . service Front Desk shock . first , request non - smoking room 's availbale time check . staff Front Desk explain could make ' smoking room ' smoke . play magic ? second incident , ask lady Front Desk could find recognise Olympics shop , give short & amp ; sharp answer four simple word , & quot ; , not know ' , keep drop head . still silly thing happen Front Desk simply want make review short . 's pity hotel notice inferior Front Desk service compare superior hardware design . lastly , fair , valet service good , would like pay guy compliment . 
 Nov 12 2007 	 Fabulous Regent Beijing 	 stay three night deluxe room Regent , 10 day vacation China . we perfect stay . beautiful hotel , gorgeous well equip room , great breakfast buffet , gorgeous western style restaurant , courteous prompt service . nice gym , swimming pool world . this one beautiful hotel stay anywhere world . will not disappoint . 
 Nov 12 2007 	 Nice Surprise 	 originally book Park Plaza next Regent . check , concierge tell we upgrade Regent additional cost ! pay HK $ 900 per night enjoy spacious modern room wth King size bed buffet breakfast 2 . bathroom well equip supply leg balm body scrub among basic stuff . really complaint good price ! 
 Nov 8 2007 	 Heavenly ! 	 be look fabulous hotel Beijing , look ! Regent Beijing memorable historic site go see . personally , not think Emperors China good . the hotel barely year old mean design date amenity . deluxe room incredibly spacious beautiful decor . course , usual convenience amenity top shelf five star hotel , ie . flat screen LCD tv , dvd / cd player , featherbed , high thread count sheet , fluffy towel , marble bathroom , etc ... bit . bathroom free standing bathtub separate shower . shower rainshower shower head hand hold shower . also provide bath salt bubble bath . the location ideal . hotel within walk distance Forbidden City , Tiananmen Square , night market ( food stall ) , Dragonfly ( massage ) Starbucks ( leave hotel ) . be adventurous , subway next lobby . 's Dengshikou stop number 5 line ( open Oct. ' 07 ) . unfortunately , get hotel problem . none cab driver know . SURE HOTEL 'S PHONE number hand driver call ask direction . even well , print map website . be hotel , ask card hotel name address Chinese . help get back . the restaurant top notch . enjoy breakfast buffet Cafe 99 ribeye steak Bar & amp ; Grill . let us forget great spa , gym heated pool . definitely shedule massage evening . will sleep even well afterwards . service good overall . everyone courteous . however , could brush english skill . check disappointing . arrive NY direct flt . ( 16 hrs . ) 5:30 pm tell come back hour room not ready . not get good first impression glitch . fortunately , check breeze . we ' ve stay numerous 5 star hotel around world think Regent Beijing beautifully appoint room . reluctant leave hotel even though Beijing see site . think say . 
 Nov 3 2007 	 Great Hotel 	 lovely modern chic hotel . reception area impressive room fully equip comfortable . whole spa area really fantastic - full size swimming pool large gym lot equipment . pay reasonable price room anything else hotel ( food drink ) expensive . 20 minute walk Forbidden City - Starbucks hotel complex ! ! 
 Nov 1 2007 	 Grand Hotel 	 Regent one beautiful big hotel ' ve ever stay , facility match . hotel new , service still need smooth rough edge ( mostly language department ) experience overall terrific . big beaufifully decorate room sort special touch ( include free internet -- many hotel grade charge 15 - 25 $ ) . breakfast buffet lavish delicious . fitness center splendid pool delight -- sooo big . also , hotel 's location central . overall , marvellous place stay Beijing . 
 Oct 30 2007 	 Best Breakfast Buffet China 	 lucky enough upgrade Regent one night sister hotel ( next door ) , Park Plaza Beijing Wangfujian overbooke . really great hotel good breakfast , wonderful fruit fruit juice decaf coffee - spend 51 day region set standard never beat . also , comfy bed ( unusual part world ) , great room , flat screen tv glass wall bathroom electric blind . good location - walk Hutongs , shop wangfujian visit night food market wonderful meal experience starbuck behind hotel need caffeine fix . we leave baggage hotel 1 week go Mongolia safe fetch we smile return . move back Park Plaza return , also good breakfast even come close ! 
 Oct 26 2007 	 shabby 	 stop day . overall , hotel fine . 's modern , clean , well appoint , staff friendly . little less stuffy hotel , nice . great health club , overall fine experience . 
 Oct 24 2007 	 Excellent Concierge Poor Front desk English 	 husband stay Regent Beijing Oct. 20th 2007 3 day . room spacious excellent decor . bed comfortable . Plenty Amenities room friendly service . especially Concierge dept . well train courteous . deliberately give gratuity ask service first time see still serve way . well , . friendly helpful . leave big tip leave . thing surprised level English Front desk . sometimes write instruction question find say . location little main part Wang Fu Jing still close enough within walking distance . would definitely stay Regent . 
 Oct 19 2007 	 one Best Hotels Asia 	 travel asia , many 5 star hotel stay nice , attentive , beautiful one . concierge helpful , room service not extremely overpriced , front desk staff excellent . room BEAUTIFUL , good furnishing room ever stay . stay basic room 107 night , amazed . vault ceiling , dark contrast colored furnishing , beautiful lobby , GREAT location tourist . Regent . 
 Oct 18 2007 	 Fabulous Accomodations Bejing 	 fabulous hotel . room luxurious well appoint . staff , enlarge speak english . close everything Bejing . 
 Oct 10 2007 	 smile 	 last review . got free upgrade Park Plaza next door . fantastic great size room . hotel year old sevice good . as mid - Autum festival , also give complmentary moon cake ! concierge definately useful , espically city like Beijing one need find Peking Duck resturant organise trip Great Wall . 
 Oct 7 2007 	 way well expect ! 	 actually book Park Plaza surprised learn upgrade Regent Beijing . 's first time Beijing really not know expect hotel Beijing . thrilled enter room ! stylish spacious ! ! bathroom great - tub nice 's hard resist bubble bath . bed real nice , although could occupy small portion king - size bed . working desk right size right stationary - ( never expect stapler ! ) come free internet access ! ! ! ! ! ! ! breakfast real good . wide variety food choose food actually taste good ( unlike 5 - star hotel area ) .Overall , think get well exceed pay . sadly , switch hotel one - night stay Regent Beijing . stay one good hotel Beijing , rather disappointing move another hotel ( even tho 5 - star ) Beijing long period time . truly appreciate stay Regent . 
 Sep 30 2007 	 Exquisite Hotel ! 	 Regent Beijing one well new hotel Beijing moment . grand welcoming atmosphere . hotel majority 's staff emanate top service hospitality . location convenient one well suberb Beijing . close many landmark shopping area short taxi drive away - maybe 20Y-40Y . Western Management enable facility stay top world hospitality good practice still focus Beijing ' historical value - display proudly . hotel staff excellent command English Language helpful . require school Western Etiquette pity - hey , China . Cafe 99 's staff fantastic - friendly welcoming morning . room din fairly economical service one well around . housekeeping bit disappointing , room clean well whole 8 night . complain top management clean well standard . the Business Centre staff little help we , command english poor service attitude poor - example , serve we mid conversation would think twice pick ring telephone leave mid sentence come back you . the room large comparison chinese standard decorate luxury comfortably mind . feel right home never want leave . great come back hotel long day site see shopping . we feel also one safe hotel Bejing . overall , would stay facility . 
 Sep 30 2007 	 good hotel ' ve ever stay 	 hotel absolutely suberb - perfect location ( 10 min walk main shopping street 15 - 20 min walk Forbidden City / Tian'anmen Square ) ; efficient , helpful friendly staff speak good english ; room / leisure facility excellent . good breakfast one evening meal first class too . all perfect hotel see Beijing good hotel ' ve ever stay in.p.s . walk around Beijing take toilet paper public loos not provide ! ! 
 Sep 29 2007 	 one nice hotel world ! 
 Sep 12 2007 	 Hotel Super ! ! 
 Aug 24 2007 	 Regent Beijing Best Ever Hotel 
 Aug 16 2007 	 simply first class 
 Aug 5 2007 	 first hotel 3 week trip China 12 year old triplet 
 Jul 15 2007 	 Best Service Location Room 
 Jul 14 2007 	 great room rest need work 
 Feb 2 2007 	 great experience Regent 
 Jan 26 2007 	 good hardware poor service 
 Jan 26 2007 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Oct 11 2009 	 Parfait 
 Sep 18 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Sep 12 2009 	 ? ? ? ? ? 
 Aug 29 2009 	 ? ? ? ? ? ? ? ? ? ? 
 Aug 12 2009 	 ? ? ? ? ? 
 Jun 25 2009 	 ? ? ? ? ? ? ? ? ? 
 Jun 5 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Feb 2 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? 
 Dec 22 2008 	 ? ? ? ? ? ? ? ? ? ? 
 Oct 28 2008 	 Buen hotel 
 Oct 24 2008 	 ? ? ? ? ? ? ? ? ? 
 Sep 16 2008 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Feb 28 2008 	 Das Highlight meiner Reise Sachen Unterkunft . 
