GREAT 	 read several review , pleasantly surprised . agree coffee maker room would nice amenity . room large , carpet stain , room overall clean ; linen , nice . bed comfortable . housekeeping service great ! would definitely stay . Location North end strip , be nice busy . easily access bus monorail . 
 well ' ve stay nice place sure .... 	 actually casino . Thanksgiving . suppose short handed help could not even get cup coffee casino . be not coffeemaker room inconvenient also fridge microwave . view good part room . woman Club Sahara helpful black cashier disrepectful rude . bored mind go WASTE money tight slot . money get me.to housekeeping ..... guest room completely clean stay F -- - room rude . 
 get Pay 	 not really sure expect booked trip Vegas . figured hotel would deal ... unfortunately , get pay . concur previous poster problem bed bug . also weird stain wall room . huge one odd place , like wall windows . can not even begin explain could get . also paint chip woodwork room . aside bug , bed comfortable though stay quiet . not think see single person floor . check - in / checkout line somewhat joke . seem like one two people work line stretch entire length lobby / hallway area . one huge positive proximity monorail fact casino not massive maze need figure . would stay can not get past lack cleanliness . sorry ... oh , also internet somewhat expensive not work great - go Vegas sit online anyway ? 
 Jun 2 2009 	 Fair price hide fee + unprofessional service 	 glad find fair price room Sahara friday night . however , hide facility fee unprofessional person change mind . first , one front desk mention facility fee . second , person answer call around ( 10 pm 6/1/2009 ) rude unprofessional . & quot ; every hotel charge hidden fee , even though prepay hotel.com agent . & quot ; stay Imperial Hotel 2 day ago , not hide fee may & quot ; every hotel & quot ; . 
 may 30 2009 	 Nice hotel far strip action 	 stay number hotel vegas year visit . hotel long way action strip . got double room £ 16 night , ggo value.hotel ok room clean big , 2 bed Tv clean bathroom.the pool area pleasant large pool . no free WIFI 
 May 28 2009 	 Strip Hubub 	 recently return trip Vegas . want strip hubub . Sahara perfect North end strip . Monorail bring right strip sight may want see . Sahara reasonably price comfortable . always plenty table machine play not jack table minimums peak time ! need update , stayed & quot ; Deluxe Room & quot ; , yet figure deluxe part clean comfortable . 
 may 27 2009 	 surprisingly nice stay - love Sunday brunch champer 	 expect bad $ 29 , stay turn really fun . receptionist pretty rude , allow check early . room old expect elevator ancient , tv not work , man come fix moment report . thing get well . go downstair eat cafe . eat one dish deal not like look menu ask buffet . Sunday brunch $ 15 champagne drink . really good deal polite staff . pool lovely lot family kid - single . shallow area though young kid , ground hot . overall enjoy stay . 
 May 26 2009 	 good value Strip 	 Sahara great value money . room spectacular mine clean spacious . since surround casino tear , Sahara somewhat distant hotel , connect monorail . casino fun dealer friendly . Sahara throwback Rat Pack day preferable newly build hotel lack character . stay Sahara several time never bad experience . also stay many Strip hotel keep come back Sahara . 
 May 26 2009 	 's security ! ! ! 	 can not fault value money , room fine money pay , security poor . weekend 16th may seem huge influx teen . party pooper kid ( appear age ) allow access tangy tower early hour . non stop door bang night . kid resident would room key . security desk man kid would gain access tower . three guard check desk use . complain get strange look check clerk point security . 
 may 22 2009 	 great stay Great Hotel money 	 yes definately old hotel strip $ 24 night complaint all . ROOM & gt ; & gt ; stain carpet , look like spill drink . buy hey stain carpet home . room clean , bathroom clean . Shampoos soap replenish every day . use work hotel housekeeper look closely corner , behind tv 's , bed etc area get ' miss ' housekeeping , pleasantly surprised find room nicely clean . a / C could cooler closed drape leave note housekeeping keep close clean keep room cool enough even . one king size bed , room comfortable roomy , bed acceptable , hard taste . Ammenties & gt ; & gt ; & gt ; 17th floor view city , parking garage mountain distance . vagas though look spend alot time room stare window not problem . pool huge hot tub nice lot nice pool towel . Casino & gt ; & gt ; & gt ; & gt ; spend alot time casino enjoy . cocktail waitress prompt pleasant bar tender bar friendly make awesome rum punch cocktail ! non - smoker , obviously casino smoking . sit right next smoker would say smoke not bad , know acceptable . get player club card -- earn cash comp , ? CHECK & gt ; & gt ; & gt ; & gt ; check - in take time though , line always long , always two people check . would say expect 30 minute wait line . Sahara Spirits locate end check - in line ... get bear bottle water wait ! desk people always pleasant . ANNOYING & gt ; & gt ; & gt ; one annoying thing people try sell condo -- desk locate inside lobby pool entrance . everytime walk area -- way casino would try stop . ugh ! ! HINT -- walk ramp close coffee shop avoid they . overall experience Sahara completely positive . sure another $ 100 + night another strip hotel would gotten room refrigerator clean carpet world 's practical we . enjoy stay ! PS ... sign one Grand Canyon trip via bus / coach ... prepare long long bus ride hurry minutes canyon ... favor , rent car go . please ! 
 may 22 2009 	 Good Hotel Price use monorail easy 	 love stay here.yes glam hotel strip monorail station onsite u can not lose u mgn grand 12 min ( well deuce bus eh ! ! ! ) staff friendly helpful . pool area nice , restaurant fine , nascar cafe , caravan cafe etc , do not bother buffet.room ok clean every day , tv / iron / wireless internet / two double bed / shower etc , £ 15 quid night ! ! ! , u can not lose.bit dead evening u tell hotels centre strip lively , gd hotel come back crash etcwould going stay much value , I m uk never see many USA tourist stay , must worth it.you denny 's i - hop 5 min walk away , walk towards stratophere tower see , oh stratosphere 5 min away well , that s local.if u want tip ( walk peppermill breakfast , that s good town ) , 10 min walk hotel ( peppermill past riveria hotel , opposite mcdonald , go back towards centre strip.pharmacy well , u get burn etc need anythingcatch duece go freemont st ( 5min bus ride ) that s local tooall frill hotel clean / cheap easy access centre strip monorail bus etcwhy pay much want place crash wandering strip etcif ur gamble , poker tournament quite popular , u normally get seat crap / blackjack etc , casino never seem busy , although be not gamble suit us.u want crowd / well atmo casino , would gamble another hotel honest . 
 May 20 2009 	 never stay not care cheap . 	 never review anywhere stay , mostly ' m picky , pretty easy please , terrible experience feel like warn other . come Vegas time year , stay hotels strip . decide stay outstanding price , even though be old hotel , figured & quot ; bad , 's strip VEGAS . get early check - in , pretty much nice thing hotel . walk room , instantly disgusted . huge stain carpet pretty bad condition , old pretty worn . pull back top comforter reveal large brown & quot ; fresh & quot ; stain middle blanket . immediately call front desk request different room , every time call get busy tone . call operator , transfer front desk phone rang rang . walk lobby find 30 + people line , 2 rep . front desk . decide try back later find thing everytime call go lobby . gave decide tough enjoy trip . go casino , sit slot , hour slot play , still see single cocktail waitress , get went search one , finally track one opposite side casino floor , tell would & quot ; hit next time & quot ; course never come . head bar get service , put $ 5 dollar bill machine order drink , bar tender inform put least $ 10 give & quot ; free drink & quot ; . informed spend $ 200 slot service , shrugged shoulder walk away . needless say , another penny spend casino . next fiasco pool , reserve cabana pool ( group ladie 's bachelorette party ) go check cabana tell private party would rent cabana . heck would not tell early ? find spot crowd noisy pool , hour half , announce pool would close 30 min special engagement everyone would leave . disgust terrible customer service provide dump . write letter management stay , course ignore . please take advice shell little well hotel . 
 may 13 2009 	 good deal 	 not actually stay spend fair amount visit gambling . be big fancy like Wynn , Paris , etc , certainly comfortable atmosphere . dealer friendly , $ 3 & amp ; $ 5 table hard find , slot pay well place , decent sport bar type area . $ 8.99 buffet 's pretty generic . I understand next month ( June 09 ) discount room $ 26 , $ 1 table , $ 1 shot , promos get booking . will able get suite $ 59 . grant , room may need update , spend much time room Vegas ? 
 May 13 2009 	 2 Night stay Newmarket travel Group 	 HIWe stay hotel 2 night 5 - 6 May 2009 . read review leave mixed feeling store visit . outside Hotel Moorish feel like Tunisia . enter hotel rear coach first thing strike dark unwelcoming , carpet wear remind enter old bet shop . room ok like review state worn . room 2 double bed , colour tv coffee maker fridge . bathroom ok adequate towel gel . pool area nice good choice varied music suit taste . pool bar leave hand side tou fill water bottle 2 urn next bar . drink price ok cocktail around 9 dollar bit pricey . buy drink shop inside pool area cheap ( take Note ) . main Buffet ok good variety food join free membersip reward club buffet half price around 8 dollar . Caravan restaurant good breakfast around 9 dollar full breakfast toast 3 dollar coffee . beware fist restaurant come coach entrance gift shop opposit e check desk , think expensive . the Monorail run 13 dollar 24hr day pass every 6 minute , efficient service bear mind need walk least 800yds arrival point get want go walking problem get taxi ask go strip busy reduce cost . around 15 dollar taxi centre go strip 30 dollar busy strip . overall hotel ok fellow traveller get flood sewage whilst move room . would hotel would choose go back pool area nice . rep advise Newmarket change hotel next year try give balanced view see thing . hello trip 24april 7may start SanFrancisco . Dave Diane 
 May 7 2009 	 SAHARA ! 	 attend SEMA show Las Vegas convention center two half year ago father stay two night . second trip Las Vegas one first experience Vegas style hotel ( first visit day trip ) . initially , father book we whole trip & quot ; Tropicana & quot ; realize far convention center check one night . first , say get one good choice be concerned proximity convention center . be pretty close 's monorail stop get anywhere else strip . believe update room ( though picture ' ve see unimpressive ) standard two queen bed . decor furnishing room definitely little outdated . bed would probably find economy hotel anywhere else room also equip 19 & quot ; tube television limit channel . view consist mainly parking lot monorail station could also make & quot ; Stratosphere & quot ; distance . would imagine book low rate travel site would put one room . we try couple restaurant stay first & quot ; NASCAR Cafe & quot ; . would compare & quot ; Applebees & quot ; & quot ; T.G.I . Fridays & quot ; . typical sport bar atmosphere food . be fan & quot ; NASCAR & quot ; may impress memorabilia full sized race car replica hang ceiling . really okay ' ve back another trip ( though stay hotel , time . ) also eat & quot ; Paco 's Bar Grill & quot ; believe open dinner . restaurant locate casino floor much nice room & quot ; NASCAR Cafe & quot ; . really not anything special ordinary ... pretty much mexican style sport bar . would compare & quot ; Chevy 's & quot ; & quot ; Garcias & quot ; . go back something mention early ... & quot ; Sahara & quot ; , much like low level hotel strip , offer limited cable channel . not even get ESPN look forward catch first game team 06/07 NBA season . decide watch game tiny sport book , not problem first mostly desert comfortable chair . halfway game guy manage sport book tell we change tv 's particular channel accord policy . apparently every weeknight around 10 pm . seem little ridiculous , consider father one even sport book point ... go back & quot ; Paco 's Bar Grill & quot ; finish game . honest , would probably rate hotel least nice 's direct competitor ( Circus Circus , Riviera , etc ) be far . stay , really plan lot walk ... even , be real hike want go & quot ; Riviera & quot ; . standard room go super cheap , though , not afraid book find good deal . would suggest utilize either monorail deuce bus stay . 
 May 5 2009 	 good quality great value 	 fairly old hotel Vegas standard , little lose one end ' Strip ' , 10 minute walk centre ( NB centre city , somewhere little distant , place know ' downtown ' ) . alternatively monorail stop right outside . room little worn , large , clean comfortable . shop within 5 minute get basic provision ( include favourite US shop Walgreens get everything ) . coffee shop various eatierie casino , not try . service front desk check bit slow , check room , quick . would recommend hotel , although desperate right centre action . 
 may 2 2009 	 Subdued Nostalgia Dime 	 stay husband 's second time Sahara . be one last old - school hotel Vegas - room require touch - up , be look clean room , good game friendly service excellent price , will appreciate . management replace television room , mattress could stand firm preference . dinner buffet economical , be certainly great quality fare - well head multitude fabulous restaurant city . excellent location explore South Strip , Fremont Street , Fashion Outlet Malls Monorail Deuce doorstep . Caravan Cafe offer good breakfast menu 60 diner atmosphere . wait staff professional friendly . husband would certainly stay . light action Vegas , be relaxing come back subdued atmosphere - one allow we come well budget . 
 may 2 2009 	 use nice place stay much anymore 	 stay hotel many time past . time last time . 's cheap hotel look . room be not ready 3 like say . sit wait 2 hour room -- -- could not full come sunday night . room give we & quot ; deluxe & quot ; furniture scratch , bed huge sunken body mark one side . outside door dirty carpet floor life saver , thought would see long life saver would .... yeah , still leave 3 day later . clean hotel all.but never complain ...... .... last night go buffet eat cashier hassle player card would not scan do not purse show ID $ 8.99 buffet . WOW really think ' m try rip $ 8.99 buffet . say need go back room get ID . say well , player card redone ... get player card rescanne go manager ( nice ) end free buffet . 
 May 1 2009 	 awful tacky seedy unhelpful staff 	 Sahara Hotel & amp ; casino massive utterly tasteless . locate eastern end Strip opposite ' stratosphere ' consist large hotel , casino restaurant outside pool area . overall building reasonably well keep room good size clean , although taste . casino area seedy vulgar full old people . visit mexican restaurant hotel food relatively good . check inefficient . que long get desk member staff deal , although friendly , stupid trouble basic task question . the pool area okay , ' lot table sun bed shady area sit . staff café rude continue personal conversation serve we . information desk information ' utterly useless help we plan evening Strip . the crowd Sahara odd mix . lot old people quite people ' like spend much time . parking site add $ 6 ' amenity charge ' . location okay , would advice get taxi driving night , walk Venetian take 45 minute watch pimp club ' vip ' pass pusher . fine place sleep . would rush back , hotel vulgar depress cheap feel . 
 Apr 29 2009 	 good stay 	 return Las Vegas . have problem room staff never feel unsafe night walk back . we like idea little away th push & amp ; shove strip night . swimming pool & amp ; area really nice . 
 Apr 28 2009 	 harass 1:00 	 shortly 9:00 pm 4 year old son sit table , place arm & amp ; top come strike forehead . Sahara 's Security write report etc . bust table not replace , remove , ask want different room . 1:00 desk call , tell two officer outside door remove table . tell clerk wife , son bed asleep two hour . clerk phone say & quot ; let in . & quot ; wife night clothe wait bathroom demean harassment with . for reason seem alright someone establishment make call like . go stair ask speak management . reply none hour . ( call wake manager hour question ) . security act common place establishment . instead good night sleep ( pay ) get stay , son knot eyebrow , wife hide two unwanted man room , 2:00 , livid unable rest 16 hr drive ahead . add insult act ' m one wrong protest action . guess rent room Sahara , entitle sleep , privacy , descent treatment staff , right one would think would fall rent space ( room ) . mention file accident report 9:20pm someone send security officer room harass disrupt sleep 1:00 . way conduct handle problem . 
 Apr 25 2009 	 nice ROOM 	 friendly front desk , table various employee , room large clean . nice hot water shower . 
 Apr 24 2009 	 great budget hotel strip 	 stay Sahara find great last minute flight hotel deal expedia.co.uk . ' Vegas know location slightly seedy end strip . must admit couple time walk deuce bus stop feel little uneasy , especially dark , ' quiet end strip ask change couple time . absolutely complaint hotel room , old stain nothing bother we , tired end day anyway ! one thing absolutely hate pool . terrible sound system play loud , bang music constantly mean ' relax read book bass give headache . ' music pool would fine , nice place unwind soak sun . ' gambling ' comment , try buffet , great . cheap lot choice taste lovely . also great coffee shop bottom elevator get breakfast , licence get beer room . ' budget want hotel strip ' discourage stay , ' easy hop deuce ( every 10 min $ 15 3 day pass ) get main action . 
 Apr 23 2009 	 good hotel cheap rate need refit 	 hotel bad review make . sure , be look new casino bell whistle , place - old set building show . however , conference hotel pretty suitable . check - in quick easy , check late evening - afternoon see long line people wait check , attendant check . room good - stay Tunis Tower 25th floor , ok view towards Wynn Circus Circus . room large clean , bed comfortable well - make , bathroom clean well - equip . room service personnel friendly helpful - even ask several day time would like room clean , actually show agree time . the interior casino , however , lacking ; place could done store sell food drink - instead , get well - equip liquor store water extremely expensive . sit - down cafe diner could do low price attractive decor - dark brown . casino floor staff , especially barmen main floor , seem treat customer though annoyance rather pay customer ... seem wait tip . the internet expensive pay - per - day option , pay - per - week option available . like ' compulsory ' daily facility charge hotel add bill end stay - suppose cover use facility pool , March , pool never use cold outside . furthermore , facility well - maintain - ice machine floor break week , drink vend machine eat money ! 
 Apr 14 2009 	 not affriad sit bed awake ready get room 	 husband stay Sahara locate far end strip begin April . stay probably less dissastified do not cost anything stay there.we actually stay recently construct part hotel & quot ; affraid sleep bedsheet , awake every morning eager leave drab hotel rrom smokey casino lobby . okay expect smoke casino 's Sahara far one smokey facility .... due part hotel old ceiling low ventilation system antiquate . say , hotel suitable , bad , good ... restaurant , night cafe ( worth $ $ $ wait til 1 am eat twilight special half menu price ) casino bar show etc . okay . could appreciate security guard position outside elevator go upstairs ... ( although check room key entire time , appearance safety well nothing ) valet speedy , self parking quick easy , bell service efficient , rail station hotel ( want walk central stip hotel ) hotel glimpse borderline & quot ; seedy & quot ; Vegas ... wow much , will not get bed bug either . budget would recommend , afford well upgrade another hotel . one regret ... get ride roller coaster . 
 Apr 14 2009 	 want cheap place stay Vegas stay ... 	 husband stay two night look job . $ 20.00 night can not expect much . check line always 50 deep go quickly . room really dirty not take shoe room carpet disgusting . overall room cleanliness horrible , stain everywhere furniture carpet . husband feel uncomfortable sleep room . room sleep leave right away day . not expect hangout room , Vegas not know would anyways . staff seem fine not overly friendly rude . check late get two double b / c not enough king . will not tell check two double unless ask . want cheap place stay strip stay . take monorail hotel pretty far walk monrail hotel jump right . first time Vegas not recommend hotel . 
 Apr 10 2009 	 great place low price 	 boyfriend & amp ; take trip Vegas stay 2/22 - 2/27 Sahara . could not happy room . clean great view . housekeeper not bother we give we everything need . problem request King give we 2 double offer we move next day King room . decide stay throw luggage bed . pleased would stay sure ! 
 Apr 2 2009 	 Sahara review rest moaner 	 back week Sahara hotel wife ... read rewiews went think ` bad place would not still business . got find staff great well apart security ( different matter ) , hotel abit date one first hotels strip I ve stay alot bad hotel close health safety . food ok good price , menu could date food court , room big balcony old run vegas right mind going spend time ? ? ? ? ? casino staff brill , Vegas Vahan MR VEGAS , hotel old good staff vegas take time update business . wife plan go back soon kid family member . see soon Sahara Vegas Vahan . 
 Apr 2 2009 	 great place people budget 	 choose hotel cheap $ 32 / night 7 day stay . not expect much low price live 's expectation . clean room ALOT stain floor even lampshade ( gross ) . get elevator entire floor smell like old moldy house . say night sleep . last stop monorail , nice lot see every hotel monorail . could not believe check line . entire stay every time walk past check area least 10 people line . staff friendly , never problem anyone . mexican restaurant absolutely delicious . never go buffet 's cheap strip $ 8 . end would definitely stay recommend anyone . 
 Apr 1 2009 	 nice stay Sahara 	 stay 5 day . find stay excellent . quite distance main action middle strip catch bus outside $ 3 one way get day pass $ 7 find cheap option monrail $ 5 one way ( really far worth much ! ! ) . elvator find fine be not slow . room big spacious bathroom nice complaint room . we meal one restaurant good value . the negative would far away main hotel . would stay could not find anything roughly price close middle strip . 
 Mar 31 2009 	 Bed Bugs 	 not like bad mouth resort least tell experience . mom husband stay Feb. 2009 , come home bed bug bite . mom nurse ER Dr give antibiotic . bad part tell manager , offer complimentary room ! needless say not take , would ? call health department investigate , say not find say mattress stain need replace . ' ve stay lot LV hotel 's need stay one 's infest . include picture , face leave picture privacy reason . 
 Mar 31 2009 	 good old 	 first room give average view car park , ask different room move big ( enormous ) room balcony pretty good view much vacant . staff personal & amp ; extremely friendly . book 2 night end stay 5 . convenient monorail get middle strip cheap . room service great & amp ; husband say poker room really good . flash hotels atmosphere easy go fun unlike real flash one . would definately revistit . 
 Mar 30 2009 	 worth 	 fiancé stay Sahara weekend wedding . seem good deal strip $ 90 / night & quot ; premium & quot ; room . guess raise red flag . when first get room , seem decent . quite warn , smell old , look like need remodel . also really hot entire floor . see bad . non - smoking room king bed , request . seem good enough . the next day , dress wedding , catch cockroach run across floor . acceptable . even though single bug , know 's kind travel alone . place like that . on way wedding , stop front - desk complain . clerk give we bit attitude , though say would switch room . tell wedding get , say come back would switch we . okay ... come back exhausted change clothe , think would call front - desk speed along process , since huge line form . easy , could barely get anyone phone ! either get busy signal , rang rang . 10 minute , finace call bellhop . answer immediately , even tell we skip line go straight window desk request new room . after finally get key new room , call bellhop back , come less 5 minute move we . though enter room # 2 , realize premium room , also two full sized bed , instead king . room also extremely warn , much bad first one . we attempt call desk , realize would get we anywhere . rang time , assume ignore we point . go desk . we explain issue . thing clerk respond , & quot ; oh , not roach , water bug ... ! & quot ; remark make quite livid , though luckily fiancé quickly say , & quot ; look , need guy make right . & quot ; come manager . once , explain issue . manage least look concerned upset situation , though make excuse number available room . fiancé say want make right somehow . manager claim understand , disappear back room 5 minute . come back say would reduce rate $ 35 / night , look another room we . 10 minute , apparently find one . room number 3 similar first one , quite nice . though point , do play musical room . apparent Sahara , not going get well . overall , cleanliness customer service need complete overhaul . place look smell dingy . spilt ice cream hall one point , take least day packaging even pick ( still melt carpet ) . assume care room must . fact staff shrug away complaint , even argue extremely frustrating . work customer service 5 year ... not respond way ! appreciate manager attempt make right trouble , end , worth . would much rather pay bit elsewhere deal disgusting atmosphere . can not see place survive much long , especially consider negative review sound similar one . 
 Mar 21 2009 	 sleeping shower 	 spend four day Vegas wife Sahara . read lovely review wife book hotel . everything bedbug wild orgy . place pretty rough around edge . get elevator early go downstairs morning , get room high , less worn do not smell bad , Sleep , take shower , get hell ! self love one favor save little money do not stay . strip . north end take forty minute walk action . personally feel ownership wait right offer come along blow . obviously money reinveste long time . do not fall last rat pack hotel deal , Vegas move people visit . 
 Mar 15 2009 	 last minute trip 	 go last minute trip search online good hotel deal . find Sahara $ 35 night book . hotel strip bite north main busy section strip Vegas ton free parking not really matter unless want fall around drunk weekend , case would suggest taxi anyways . the Sahara staff friendly accommodating . room service quick taste good , love desert ! ; - ) thing like old school comforter , make room look tacky problem connect internet , however resolve ( every wireless attempt fail ) engineer replace ethernet cable room . wireless handle well quick way could - thump ! come , sleep , eat surf internet .... time fun good business . 
 Mar 13 2009 	 Love Sahara 	 price think Hotel / Casino great . be one old Vegas hotel still existance , like history place . third stay Sahara staff always helpful , advise we go , find place USA . great view 22nd floor , close great stratosphere tower restaurant . 
 Mar 12 2009 	 be old grey place stay . 	 age:25 - 29.went Vegas time share presentation ( Tahiti Village ) sahara choice hotel comp . 3 night stay . choose hotel primarily Monorail . monorail quick uncrowde little difficult get station strip . try bus couple time ( cheap ) , jammed packed hour . the Hotel plain old , kinda remind casino movie swinger ... read review line , little terrified room would like . 10th floor look mountain sunrise great view aircraft come go . clean , hair sheet ... lol date , cheap wooden furniture old , kinda look like something find garage sale . everything work , bathroom little stinch ( think shower curtain ) D.N.D . sign ! ! ! coffee stair lobby $ 2.15 large , mcd 's far entrance . Did'nt see many people age , Dollar Rent Car lobby . check bad , 5 Min wait . free ! be pay , want middle , stay far south ! see ! 
 Mar 11 2009 	 cheap clean quiet 	 fancy room -- soap shampoo product basic . T.V . sort small . think room clean . also find quiet bed comfortable . get budget rate hotel satisfied -- would feel rip pay 100 per night . expect basic room happy . near Stratosphere hotel / casino . 
 Mar 11 2009 	 great place price ! 	 stay Sahara week Nascar race . arrive around 2:00pm find line check . great service . book Deluxe non - smoking put we Tangiers tower . ask want high low floor . pick high ended 22nd floor great view . Sahara 2001 noticed condition hotel basically . room clean . bedbug . bit issue tub drain fast enough end stay repaired day . definitely old hotel buffet basic . save lot money spend little time room anyways . recommend get Duece bus pass unlimited ride . slow go strip Friday Saturday expect . recommend use Monorail day . Booked Hoover Dam tour hotel . convenient hotel pick up . hotel staff friendly answer question week . not think pool would open .. not bathe suit . open day arrive , February 25th . look nice . want basic , quiet , uneventful place stay rest head .. recommend Sahara . 
 Mar 7 2009 	 Players Club 	 ' ve stay Sahara month ago room fine . trip Nascar weekend friend enjoy poker black jack table gambling . also like Buffet din area . problem trip rudness treat CHARLOTTE Indiana Players club . rude unhelpful . alway 's go sahara gamble eat , would recommend stay away Players club CHARLOTTE behind counter . friend go Vegas every month two month will never go Players Club 's . would gamble elsewhere first . 
 Mar 5 2009 	 place absolute WORST 	 stay 5 day NASCAR . not problem room service . actually think front desk staff friendly upon check . room clean daily . not dirty mean , older outdated . my problem security . vehicle break , FOURTH vehicle day , know . luggage steal . every piece clothing go . everything buy NASCAR mall . dvd player inside vehicle . window bust , vehicle key panel crack . see broken glass parking garage day . last day break . happen middle bring stuff room go back get rest . guess watch . there camera anywhere outside . two security guy bicycle mostly ride around ignore everyone . obviously not car getting break , unless security . know sign everywhere & quot ; PARK RISK & quot ; however security manager could least act care offer sort advice . call police go station file report even annoyed Sahara camera garage . never stay recommend place anyone . not problem happen . 
 Mar 4 2009 	 never stay hotel 	 room suppose recently refurbish , however , room look like something late 1960 's . tacky outdated . carpet near door come , black mold grout around tub . mattress hard rock view room rooftop cover walkway people throw phone book , soda bottle , beer bottle assort trash not appealing . clerk check - in polite well wait staff Paco 's Reaurant , however , employee act like could care less basically look way see anyone look might need help question . bad part trip leave . put luggage vehicle , go back room check one last look belonging . get back sahara parking garage vehicle broken belonging go . immediately go front desk inform take responsibility happen parking garage , also video surveillence camera could see do ! ! ! ! ! extremely rude tell we option go police station file report ! ! ! ! ! ! never stay Sahara encourage other think twice stay . vehicle get break supposedly attend parking garage , middle morning , park space next elevator , somewhere not ever want around ! ! ! ! ! stay somewhere else . 
 Mar 3 2009 	 stay stay stay stay ........... stay 	 hotel GREAT nice hotel cheap , go Las Vegas Cater Source Event solution conference . GREAT TIME ton money hotel AWESOME ! ! ! ! food everywhere drink everywhere well ! ! ! ! ! Friendly Staff , room clean everyday nice come room day convention FUN ! ! ! ! Monorail right 1 - 2 stop away Hilton convention Center ! ! ! ! Monorail cool get unlimited pass3 day 26.00 cheap taxi bus , also rent car go see Boulder Dam one day go huge DAM ! ! ! ! Stratosphere would not bother waste time eat Top WORLD menu confuse , Lobster Ravioli Average would fun make spaghettio . view well anything ever see light site ! ! ! GREAT EXPERIENCE THOUGHT ! ! ! ! back SAHARA would recommend hotel anyone everyone , old stay , bed bug loud noises night ! ! ! great stay stay Room 2549 25th floor Tangier 's Tower view Hilton Vegas . room not smell anything clean . problem . Woudl Recommend anyone would stay heart beat ! ! ! ! 
 Mar 3 2009 	 Clean Nostalgic 	 stay Sahara Nascar weekend 2009 . room clean , old hotel . great view balcony . service good , ask extra pillow towel bring right away . check line long certain time could use staff area . read reviews hotel could tell alot people must expect hotel offer . remember , one old hotel , 's day , probably one nice . remember & quot ; Rat Pack & quot ; ? want stay new hotel , would recommend one . 
 Mar 1 2009 	 Dirty Bad Service boot 	 first day sign Club Sahara tell get 100 point slot midnight would receive free buffet . right Midnight reach 100 point , go desk tell get redeem day . tell would spend another dime hotel . place dirty house keeping replace use . front desk would answer phone . charge $ 13 day internet $ 6 service fee day . coffee pot room , clock . also try cash $ 3 worth nickel tell could $ 2 . second time Sahara last . look cheap dirty place bad service place . 
 Mar 1 2009 	 get pay ... 	 check - in breeze , happen arrive non - busy time . rest 3 night stay , constant huge line not seem move fast . the room seem fine first . everything work properly , expect budget - type hotel . however , shower first morning drain work properly end shin - deep mucky water - ew . water eventually went seem ok - , return room little midnight night . tub somehow backflowe , leave black chunk cover . call front desk 5 time back back - answer . try call bell desk , locate end front desk , hope would walk alert someone front desk call . end transfer we front desk , , go unanswered . finally give walk desk find huge line . stand line 30 minute finally tell problem , several call go unanswered , told & quot ; help customer first . & quot ; ? apparently , not consider customer ... ? Maintenance finally make room around 1:15 . long story short , little 3 am - 3 hour problem first began - move different room . maintenance man explain happen lot tub since renovation beware . besides one night complete lack customer service night , stay not horrible . cheap place stay monorail right , easy get part strip . definitely ' sleep - only ' hotel ... spend rest time strip nice place . 
 Feb 25 2009 	 Vehicle Theft Dirty room Sick Dealers 	 well , must say absolutely never go stay Sahara ever . stay Sahara 3 time past ok experience cheap reliable . time , list item find unacceptable : * arrive Sahara hotel 4 pm Friday , 8 pm truck break parking deck . stole GPS unit blue tooth well item also break door lock . parking attendant advise we EIGHTH breakin DAY & quot ; park deck BAD & quot ; . * checkin process ridiculously slow . take almost 30 minute get check agent give we connect room friend reserve month even though empty . * room reasonably price furniture stain . lampshade , chair , table . old , chip , stained , wreak foul urine smell . * carpet disgusting not go without shoe room entire stay . * bathroom old , date , not work properly . toilet take forever flush , shower barely work , odd marking toilet . * balcony nice old cigarette butts strew indoor / outdoor carpet shaggy stain . * try play card one table casino dealer cold keep wipe nose bare hand touch card . snotty fingerprint card completely disgust stop play . over , extremely disappointed stay Sahara amount cheap hotel room would ever entice we stay . deal break - in vehicle several day get damage door repair . hotel act like big deal far completely lax provide we info even fill report separate police report . thumb WAY one . 
 Feb 21 2009 	 beware bed bug 	 ' ve stay business always fine ... be dingy hotel $ 35 night not big deal . however , time wake bed bug bite body . ' ve home three day bite still appear ( internet say could take 14 day bite appear ) . call front desk send security guard take photo bite body file complaint . immediately go check front desk UNHELPFUL . repeatedly try tell we nothing could , legal service would contact we . pitch fit unnacceptable , eventually refunded money stay ( could ? ) well dry clean every article clothe we . treatment we unforgivable , never stay . fully plan contact Nevada state board health report . 
 Feb 16 2009 	 can not wait go back 	 return 3 night stay Sahara total cost $ 150.00 . room 15th floor balcony . view Sahara sign Stratosphere , good , mountain .. room large clean exception sheer curtain beneath drape . dirty tore try pull back . notify housekeeping remove immediately . first morning , discover hairdryer work within 15 minute , new one instal . Caravan Cafe excellent House Lords . ( much , buffet . ) casino smalle new hotel , clean slot loose . never look cocktail waitress . accomodate . 60 's style band play every night lot fun . the perk get player 's club card terrific comp point pay meal . last stop monorail Sahara travel end strip 15 minute . hotel old somewhat worn , clean , staff friendly food good . definitely get money worth . can not wait return . 
