nice 	 recently stay Excalibur Thanksgiving week . upon enter hotel able go straight check - in , plenty friendly attendent take care we . ask view thing airport , hubby plane watch gambling ... lol ... request meet easily . arrive early due time change ... 10 am , check til 3 pm able get room immediately . room one old room yet remodel . neat clean , exception little finger print window . bed comfortable clean . casino bright active , drink service could alittle available . nice place great location . 
 great spot cheap price ! ! ! 	 location perfect . price great . time share propaganda annoying . $ 29.95 eat day buffet excellent . 
 beware Mandatory charge 	 book trip cheaptickets.com go online print confirmation , find unwelcome surprise - & quot ; mandatory hotel charge collect hotel checkout : resort fee $ 20.00USD per Night taxable - include fitness center access , free drink more . & quot ; know mandatory charge time booking , would able compare option well . far concerned , dishonest pricing policy - include fee part hotel charge ? will not stay will certainly lookout hotel future . 
 Nice Hotel full kid 	 bad hotel find room 23rd floor tower 2 playground kid nighttime think hold elevator funny ! ! hound upon check go claim free gift redeemable give $ 40 deposit attend time share meeting new resort next day tell bring credit card form idendity ! ! go figure ! ! 
 Excellent Excalibur Experience 	 arrive & quot ; remodel widescreen room & quot ; find partial remodel . new tv , low - end remodel bath , new pillowtop mattress . warn thin pillowtop . sheet clean , stain . blanket dirty double sheet . however , request extra sheet . room furniture appear original . third day , hall fill 8 scream kid run knock door . security arrive contact security manager 2nd time thing calm . cocktail service casino horrible . plus find excellent maintenance staff ; good service Sherwood Cafe , location . overall , recommend hotel unless budget - conscious . step Circus Circus , stay elsewhere next visit . 
 great Time Las Vegas 	 problem Excalibur even though comment make negative . book online get great deal price include admission & quot ; Defending Caveman & quot ; .The staff relax friendly reception , room , 25th floor , Tower 2 , face tower , clean quiet . issue whatsoever . the one thing bit annoying fact people look like work hotel approach offer free show ticket turn try get attend & quot ; time - share meeting & quot ; . not hotel 's fault , annoying . 
 Sep 20 2009 	 good value hotel lot around . 	 nice casino , decent restaurant , good bar really excellent care staff , one newly renovate room 42 inch hdtv . bed extremely comfortable . place even close nice hotel one amenity ... be clean , great service offer good value . 
 Sep 19 2009 	 Nice hotel not want go all - in 	 stay hotel go Vegas first time . 10 mate casual weekend without want go all - in . room casino good value money . unlike Caesar 's Palace often cost minimum $ 25 per hand Black Jack find nice table game fair price mood bit casual gambling . 
 Sep 18 2009 	 make mind - location price can not beat 	 read many review leave previous guest , arrive Excalibur Hotel 13 night stay August full dread fear . initially choose hotel great location cost ( nightly rate low $ 22 night ) , decide need base stay , go Vegas experience fantastic atmosphere take root hotel room . over past 5 year husband visit Las Vegas 3 time , stay Imperial Palace , Flamingo Luxor find accomodation pleasant adequate need . when check Excalibur 14 hour travel , member staff pleasant , upgrade ask we widescreen tower room recently refurbish , give we voucher 2 free drink , 2 free spa pass 2 free game fantasy midway . the room clean tastefully decorate , adequate need . explore hotel impressed cleanliness hotel , helpfulness staff encounter . pool fantastic , always sunbed available guest , even labour day weekend see massive increase number guest stay hotel . drawback real suntrap , pool little shade ( unless hire cabana $ 60 - $ 100 per day ) shallow pool hot tub help cool down . the negative thing hotel constant badger sale staff get attend presentation new city centre resort - place key area hotel , even though persistant , find find alternative route casino avoid they . overall really suprise quality accomodation would definately stay . rate cheap , plenty option food , drink shopping , prime location access many large hotel . advantage stay Excalibur one first stop deuce route normally load room hit really busy bus stop . 
 Sep 17 2009 	 hard hotel rate 	 everyte hotel either really good really poor middle groundstaye 2 week 29 augcheck night mare fly thomas cook ( joke strict luggage weight charge nearly £ 100 ) get hotel mid day can not check 3.00 p.m. . unless pay room upgrade bit con last thing u want wait recepion 3 hrs 10 hour flight , youl pay anthing get roomSo upgrade tower 2 room nice memory foam bed pillow good air con , bath ? view strip ask tower 2 high floor odd low numbered room . casino ok like every one say vulture try sellin time share annoying 2 week drive u wall . for brit tip get quite annoying use , u baically tip everything buy bottle water shop restaurant write bill much tip annoying.we pay 29 dollar mon - thur good value resort generally half full . weekend rate 100 dollar per night worth everything busy . this hotel also basically love americans hate brit . e.g . americans smoke drink alcohol pool brit get chance ' l tell get , also love closing pool , 14 day pool close 6 time , radiculous . this prob make hotel sound awful really be not would say pay 29 doallrs night great pay 100 dollar fall short change , pay exta stay else would recommenadtion 
 Sep 16 2009 	 good Value Money . Remodeled Rooms . 	 stay 2 night 6th 7th august , two teen kid . ask new remodel room get . ok , clean , quite spacious comfortable . cable internet room work perfectly ( 14,50 $ day , must ! ) . environment family friendly ; get problem kid . pool crowd good enough refreshing relax . look upmost luxury , frill glamorous casino , hotel , need good standard nice place family , good location Strip good price , hotel fit . would recommend . 
 Sep 14 2009 	 ` ` Excalibur never never '' 	 never book room Excalibur . thank Excalibur employee ; Annie , Jeff Loretta . never set foot Excalibur . lie scamme free one day buffet coupon ten buck . check , Excalibur employee refuse honor promotional offer free one day eat buffet send via email . bring concern attention 2 supervisor . I lie scamme supervisor front desk . assure would correct problem . wrong . get apologize . the problem never correct . never receive one free day buffet coupon ordid get discount room rate promise Loretta ( front desk ) .Loretta , Annie Jeff front desk reason never set foot Excalibur . get rip front desk casino floor . happen ? Loretta , Annie Jeff get hand pocket . enter Excalibur risk . bigbus6903 @ verizon.net 
 Sep 14 2009 	 good value money 	 check 9 - 9 - 9 , check 9 - 11 - 9 ; receive room 13th floor , tower 2 , room 13 ... would think sort oman ! check smooth . upgrade widescreen room . totally worth . wonderful view NYNY MGM , along rest strip distance . travel airport back via city bus , use 24 hour pass purchase $ 7pp knowing have use alot deuce next day . easy ! spend first night gambling Excalibur casino . cocktail service every 20 minute .. bad . not win able gamble penny keno machine 4 hour $ 20 . woke next day ready hit eat buffet $ 25 . will tell right .. review true ! suck ! ! ! n't ! ! ! go next door Luxor eat buffet extra dollar ; even MGM believe start . anything get well Excalibur buffet . read review going take grain salt , want cheap Vegas trip worry cost spending money food one day . yeah .. will not . anyway .. room .. amenity room . hair dryer , magnifying mirror bathroom , fabulous towel , COLD a / c , comfy mattress bedding . elevator quick , even day check 1059am ( check 11 am , way ) . walk neighbor hotel problem . 's indoor walkway Luxor , link ( indoor ! ) Mandalay Bay . go NYNY , MGM , Tropicana need walk outdoors . street crossing hotels bridge walkway take street . elevator escalator ( work ) provide ease one want walk outside 's 100 + degree outside . great budget trip overall . stay , eat . be many food place try Vegas settle blah ! oh .. one note .. 's people entrance check - in desk , locate near walkway hotel room ask want free show ticket . be try get pre - book next Vegas trip . FYI . get annoying 2nd time try make sale we . need G - e - t ! ! ! ! ! 
 Sep 13 2009 	 never 	 pleased room 's condition lack customer service front desk clerk show regard concern mold grow bathroom room . she show remorse act inconvenience ! ask do rectify matter , response .. up - grade , would charge extra money ( like inconvenience fault ) move another room like one . going come pocket anymore already go along lateral move . first impression last ONES ... 
 Sep 12 2009 	 rate stay low show .... 	 be rundown : pro : - Location ! - Price - Sandwiches pool ( Drenched ) pricey good- slide pool good addition not hard find chairs- room pretty spacious - bathroom large lot counter spacecon : - Windows / door casino area need cleaned.- Room clean well arrival never get service . - $ 5.60 / day resort fee thing use ( i.e . fitness center , local call , etc . ) - bed fit sheet cause mattress become expose numerous occasions.- vulture keep attack see time share , & quot ; free show & quot ; . every hotel least 3 different people bother everyone pass , particularly couple . get annoying.- ' sure people register slow people alive always line buffet . food ok could stand low price bit . I would definitely stay long not raise price . 
 Sep 12 2009 	 would never come back even room upgrade FREE 	 check - in staff ( Jeff ) unpleasant ! ask least 5 room floor , ( answer yes ) still split we different tower . Sister & amp ; son split , go speak another clerk . finally , get room floor right cross ! room , hand , many problem . hole blanket ! weird odor first step . blind window break . bathroom ... hair dryer burn , not work . shower door handle break . sink problem , water take forever drain . get house - keeping regard odor , see red stain centre room ! ? ! ! ! ! ! ? call reception , say could not anything 12 pm next day ! would never come back even cheap give free upgrade . 
 Sep 11 2009 	 Remodel do right . 	 third stay Excalibur recent year . invite back remodel terrible stay previous ( spring poke bed linen thread bare . ) time , however , room nice . bed new linen well . flat screen T.V . decent view strip . casino quite large bit confusing . kid personally go Vegas adult mode . restaurant usually crowded check always give bit wait . Vegas line part big casino . if not mind kid , bit old place consider large casino , . 
 Sep 11 2009 	 Budget friendly ` ` family '' orient 	 Confusing check - in , walk casino floor get tower room locate . son get & quot ; eyeful & quot ; ! glad bit old . pool area nice , unfortunately pool slide close stay . 
 Sep 10 2009 	 Best Bang Buck 	 reading review little take back bad review . not believe , Boyfriend stay Labour Day weekend blast ! yes room bit outdated be suppose , 's medevil theme hotel . really nice upgrade room wish we be room sleep not matter much . maid clean everyday size room quite decent . everyone Hotel extremly friendly willing answer question . yes time share people quite annoying dress blue blazer make believe be part Hotel Staff , say walk right past . hotel pretty decent location connect Luxor , New york New york MGM Grand . pool really nice not fool water slide advertisment 's like regular kiddy pool slide . entertainmant 's always something , Tournament king dinner show awesome , great time find cheap ticket day ticket booth right beside & amp ; world strip . like Nightlife Coyote Uglys Studio 54 right beside hotel New york , New york . Price Hotel Fantastic ! ! ! 
 Sep 10 2009 	 good value place stay 	 yes trolley get leave hall age apart fine , nice big room , clean comfy , air con bit noisy work . good location deuce bus pass day pass go n strip save long walk . loved would go back 
 Sep 9 2009 	 good value 	 stay resort couple day .... must say price good deal . excellent swimming pool , good room quiet ( perhaps period year . I book one night flight delay , unfortunately cost much 3 day ! ! don´t forget ask free voucher ! 
 Sep 9 2009 	 Fairy Tale Land ? ? 	 let list couple thing love : outside look -- really feel like fairy tale land . Bedrooom -- big clean comfortable bed . one get king . tv -- huge 42 & quot ; LCD . ( btw , television check - out . fun ! ) parking free internet access . $ 13.99 one - day internet access , cheap . hotel small room 26 & quot ; tv , front desk lady nice upgrade we well room free , would otherwise cost we $ 20 . hotel locate right strip , go anywhere monorail ( $ 13 24 hour ) anyway , good hotel fully recommend . 
 Sep 6 2009 	 great value hotel 	 husband go Las Vegas get marry spent week Excalibur . room spacious clean great view strip ( pay extra ) . upgrade spa room , well worth extra . 10 coat hanger we , ask receive pretty quickly . excalibur good location although be bottom strip , frequent bus service cheap reliable . staff helpful . the thing really bad , upon arrival hotel , approach member staff ask check . say yes , take we ' promotion ' desk trip show . travel 12 hour 4 suitcase , last thing want ! ! eventually check great holiday . TIP - not drink bar casino , buy mini - market level 2 drunk casino strip .. P.S alcoholic slush puppy fantastic ! ! 
 Sep 6 2009 	 great stay get room change . 	 mom stay Excalibur 6 night April . get fantastic package deal Expedia include Cirque ticket . first arrive assign handicap accessible room 6th floor . open door room foul odor someone use bathroom - a turnoff say least . window open wall not room view ( fair enough , not pay view . ) unless disability require , not want room design handicap accessible . virtually counter space bathroom . us lady like counter space . next morning , could not turn tv go request another room . second room 27th floor thing great point . high view anyway . think pool area workout area great . wish Excalibur centrally locate strip - make transportation quick want go downtown . Cirque Show & quot ; Ka & quot ; MGM amazing . never see Cirque show , blow away . overall great stay . 
 Aug 31 2009 	 Excalibur ehh 	 stay Excalibur weekend July ( 24 - 27 ) celebrate 25th birthday . try upgrade could not . decor date lame . tv miss power button . see 1 many roach probably due housekeeping let tray sit floor hallway hours take away ! ! hotel nothing special . pool area crowd one day could not find chair . connect hotel ( luxor Mandalay bay ) much nice + night club shop ! make sure check LAX ( inside Luxor ) ! next time stay luxor mandalay ! 
 Aug 31 2009 	 great stay overbare security 	 problem Hotel security . Rheumatoid Arthritis use cane get around use jacket scarfs air conditioning . wife head pool area see renovation done advertise . well ! use jacket undergo 10 minute interrogation security could take 30 second look pool area . even discuss medical problem still get . nice place stay general accommodate disabled people . use pool area . feel welcome . 
 Aug 29 2009 	 love Excalibur ! ! ! ! ! 	 stay Excalibur last August get marry Gorgeous Chapel . return Excalibur thisaugust 1st wedding anniversary ... love location , slot seem looser expensive casino . easy access many casino literally walkout casino start walk strip lot ... sure check comp never pay food even go tournament king show hotel awesome ! great service great hotel ... highly recommend huge casino ! 
 Aug 27 2009 	 great time ! 	 go UFC , hold Mandalay Bay . Excalibur quick check - in , four corner NYNY , MGM Tropicana , right strip convenient . dick last Resort pub style restaurant ( little raunchy ) staff much fun .. one guy sing Harry Connick Jr we ask interview job sing exactly Jr . staff great food expect pub style restaurant - even leave bra behind hang bar ! ! & quot ; fair & quot ; downstair kid arcade little cheezy , although do not recommend Circus Circus , far well ride etc . there food area escalator really convenient well store buy booze ! cheap , bring booze room do not waste time wait waitress slot ... although waitress hotel really nice quick . the pool nice kid zone nice party . could hear people next room , rarely there . alot people seem come Luxor Mandalay Bay play Excalibur could play quite while . we pay five hundred four night , flight hotel Ottawa worth every penny ! 
 Aug 27 2009 	 Noisy dirty crowdy 	 hotel expensive summer ( except week - end ) , ' get much money . never end line check - in , crowd everywhere , , , omni present casino noise . book expensive & quot ; renovate room & quot ; look renovate . cleanliness perfectible . spend , go Bellagio ! 
 Aug 26 2009 	 Try hotel 	 stop 3 time staff arrival lie & quot ; welcome pack , meal coupon , discount book & quot ; entrance reception table tower lift . try sell we show lie hardsell complete turn . stay another hotel along strip week give welcome pack , various freebie , meal coupon check impromtu gimmick , lie hardsell . Foyer bite funny , need go around casino get reception tower one occassion see dad 9 - 10 yo son watch exotic dance ( dance foyer , open everyone see ) . check 10 pm find corridor room litter tray , plate , room service trolley plastic wrapper . still follow night . we get room renovate huge LCD tv face New York New York . room clean , spacious , nicely furnish . housekeep good . like room much . we also like Tournament king agree without 2 1 ticket worth price . we will try different hotel next time . 
 Aug 26 2009 	 Great value 	 although husband Las Vegas number time , first time stay Excalibur . pleasantly surprised value , service quality room . three night stay cost we $ 100 . give complimentary upgrade check - in . although not get view , get upgrade room wide screen tv . check room , one light bulb miss desk lamp . call housekeeping someone replace bulb within 10 minute . exercise room nice include large selection cardio equipment , weight machine number wide screen tv . use exercise room include resort fee , however , want use shower , sauna , etc . extra $ 5 / day charge . exercise room look onto pool area . can not comment pool never use look okay view point . check breeze use kiosk swipe credit card be able review bill print spot . Excalibur eat buffet $ 25 go Mandalay Bay ( $ 35 / person ) MGM ( $ 30 / person ) buffet instead . extra $ 5 would definitely recommend Mandalay Bay Buffet . fresh blueberry , black berry , great dessert main meal selection . not free wireless little disappointing teenager keep busy thing . internet access available room charge $ 14 / day . would definitely stay Excalibur next trip Las Vegas . 
 Aug 26 2009 	 good start 	 start trip first two night .. fly vagas meet friend stay mandalay bay . this hotel roomy , comfortable clean . I find bizaare lobby nowhere near car park entrance lift room . I hear mixed report hotel , pleasantly surprised . we nice view pool , even though not get chance use . 
 Aug 26 2009 	 awesome place : 	 expensive ... Strip .. close everyhe .. all - you - can - eat service : ) .. casino .. bar 
 Aug 25 2009 	 bad ... 	 get back today spend 3 night Excalibur Las Vegas . check around 3 pm Saturday . spend 10 minute line . room 2nd floor Tower 2 . Wished would get high floor well view not spend much time room . book widescreen room decent size . clean , light work , etc . dresser little worn not care ... plumbing okay except sink take little long drain . the casino good size love low minimum bet table . Played roulette come even 3 day nice . dealer fairly friendly pit boss . pool pretty good , go yesterday morning ( Monday ) around 11 problem get lounge chair . music Top 40 not loud . the location decent- next NYNY luxor- across MGM Grand . take deuce bus ( $ 7 24 hour ) first night walk . not sample much food except $ 2.50 hot dog beer steal ( Players Club member ) . show see Excalibur Tournament king , entertain would not pay see ( worth $ 65ish cost ) not 2 1 coupon . see Penn & amp ; Teller Rio strong recommend ! kid around ... see Vegas . still boggle mind , would anyone bring child Vegas ? ! Sunday afternoon morning , see few . overall , Excalibur good value price . pay average $ 74 night not major complaint . noise room , decent housekeeping , overall nice casino . would go back go budget ... would like keep test hotel / casino . 
 Aug 25 2009 	 get pay people ! 	 seem people complain compain hotel - expect $ 30- $ 50 room - royalty ? reserve widescreen deluxe room pay $ 46 night . great - trick , worth pay . look amazing hotel - stay somewhere else . look something cheap clean -try one remodel room . 
 Aug 25 2009 	 Excalibur horrible ! ! ! 	 Filthy swimming pool ; old , ugly room ; elevator get stuck ; coffee room ; poor customer service . buffet plus pretty good . 
 Aug 25 2009 	 frill good location great value ! ! ! 	 surprise book night Excalibur less Motel 6 ( even strip ! ) . excalibur good deal strip ! ! ! sure classy hotel , beat Circus Circus . I book non - smoking room 6th floor king bed . nice view cinder - block wall probably 10 story high . the room keep clean ( turn service every day ) housekeep nice people . many complaint stay . wish would DVD player connect TV.I would recommend hotel anyone try stay strip cheap ! ! ! plan staying room long ( time spend strip ) care basic setup . 
 Aug 24 2009 	 plenty place stay strip . say Excalibur 	 read review Excalibur , part mixed bag . want know , Excalibur 's crack . room stay well use - really well use . reminiscent 1977 ( good year - also 32 year ago ) . furniture ( plural ) break . bed relic leave mid 70 's - could feel spring bed . ' m pretty sure black mold bathroom - health concern ( pretty amazing since Vegas driest place find ) . hotel & amp ; casino smoking establishment ( like hotel strip ) , age , & quot ; special funk & quot ; . positive closely locate MGM , Luxor , New York New York . pretty decent arcade kid . 's family friendly show knight , horse , jousting , eat finger . 's food fair 2nd level McDonald 's , Quiznos , place . 3 4 pool ( water slide ) , bunch deck recline chair - perfect soak Vegas sun . overall , though , would say could well . stay New York New York , couple night , Excalibur . considerably well hotel . 
 Aug 24 2009 	 cheap -- show 	 stay less 24 hour plenty . food trolley stray plate leftover room service food outside door check 5 p.m . still next day check 11 . bedspread one bed rip . elevator horribly slow . since fourth floor , decide walk -- entrance first floor emergency exit , option besides slow elevator -- ' m exaggerate say wait five minute sometimes . place advertise one family friendly place Strip , exotic dancer stage lobby -- impossible get room outside without pass within foot . pay $ 50 four we , barely worth . 
 Aug 24 2009 	 Decent Night 's Rest 	 Excalibur probably see well day . definitely luxurious place stay strip idea good time Vegas consist hop several casino day time several club night time without actually spend much time hotel room , would good value . however pretty far happen place . everything outside hotel . little extra moola , get decent place right smack middle strip much exciting club restaurant . there not anything outstanding place staff friendly room clean . be need . place book friend probably never would consider otherwise . I probably would go back would recommend alternative budget accommodation . 
 Aug 24 2009 	 Dark casino hotel need upgrade . 	 return weekend Las Vegas , stay Excalibur . take shuttle airport drop back hotel . drag luggage casino trying find registration desk . clerk registration desk friendly helpful . give room Tower 1 sixth floor . hallway dark smell funny ; several light bulb need replace . our room probably update since Excalibur build . Wall paper peel wall room bathroom shower mold caulk . view beautiful block wall probably ten story high . the casino dark desperate need upgrade . appreciate woman dance underwear & quot ; Party Pit ' casino . not Excalibur family orient ? eat breakfast lunch Sherwood Cafe . food excellent staff friendly / efficient . there several far well hotel Las Vegas people budget . look elsewhere . 
 Aug 23 2009 	 Family Friendly Hotel - ! 	 ' ve stay Excalibur several year ago place really go hill . problem : - food cart sit hall room we entire 4 day stay , get ripe day progress . last day , someone cover plate top napkin . simply not call food service request cart remove hall . housekeeping walk past every day clean room . Definite & quot ; job & quot ; syndrome here.- & quot ; family friendly & quot ; hotel , pool close 7 pm . huh ? ! ? ! ? ! ? ! - scantily clothe suggestive dancer registration room . know 's vegas , really , not belong along main walk registration / front door room Tower II.- Arcade downstairs feature many broken game , tape coin slot , work whack - a - mole miss mole break one next full set ... - visit arcade afternoon , not expect change machine work . one attendant ask machine say morning crowd empty machine 's empty . person not change . nice guest change one $ 1 bill 4 quarter . ' m dismayed can not schedule refill machines.- wife nearly knock two bellman take luggage room . go Tower II elevator rest property , 's incline ramp . bellman take full baggage cart , barely control , disregard guest mill around . 2nd guy clearly control sign apology side - swipe wife cart . thankfully injuries.- sleeping guard elevator room . 's sign go elevator area show room key guard . yeah , right . sure purpose guy serve . definitely prevent anyone go elevator . guess wait people come announce good stop . yes , one morning , ' m pretty sure one guard sleeping.- coffee maker room . hear number guest complain this.- Inconsistent housekeeping - seem linen bathroom keep decrease qty stay good job cleaning room , inconsistently wipe surfaces.- Reservation system not confirm online booked reservation . call complete reservation make sure really go . receive thank - you reservation up - come trip trip . 
 Aug 23 2009 	 could would not bother 	 arive later afternoon , immediately strike row row slot machine . could even find reservation desk , hijack timeshare people try get we go one presentation . sucessfully pull one , finally see reservation desk , huge que . first impression l eft want walk . smell cigarette smoke , dark lighting looked date . the reservation person basically process we show interest we human , let we know room book go upgrade we . our room clean , date . air conditioner ... effective , extremely noisy would often wake night . the hotel staff come every day clean room nice . offer eat day around $ 25 que enormous describe chow hall . if come back Vegas , think choose pay get much well hotel . get pay guess 
 Aug 23 2009 	 Decent 	 stay standard room so - so . time upgrade widescreen room much well . room still small decor modern decent bed clean room bath . recommend upgrade room , worth extra $ 20 / night . 
 Aug 21 2009 	 Superb budget option 	 room book internet really cheap ( $ 40 usd ) be not expect anything great , absolutely fantastic ! check pretty quick - do not room leave type book upgrade we well room flat screen tv , 2 giant bed big bathroom . staff really helpful question , pool area good , room service quick not find noisy despite large amount drunk people late . the location end strip get want look casino along take , be not problem plenty around walk . find get deuce bus nightmare , slow . think great hotel rock bottom price , would definitely stay go back . 
 Aug 19 2009 	 Excalibur Kids Place- Aug 19th 	 girl spend five night Exalibur awful . crowd , appropriate kid smokey , dark dancer lobby . also smell bad several location . go Dick Last Resort hotel around 2 pm waiter actually make fun kid , horrifying . go pool one slides not work well one pool close , crowded . plus something spill deck like walk sticky soda . price cheap get pay , cheap , cheap ! nice part hotel fitness center spa . next time go , pay bit stay clean hotel class . 
 Aug 18 2009 	 Pole dancer lobby ! 	 ok , know Las Vegas ... woman dance table little bikinis right registration area hotel 's suppose family orient many other ? ? ? ? think hotel zoo . price certainly right , think 's tends fill . would much rather pay little stay hotel not remind subway station . 's pool close 7 8 pm summer ? get kid ! ! ! be look cheap room resort strip place . want little atmosphere would suggest look elswhere . 
 Aug 17 2009 	 not waste $ Excalibur - look good true ! 	 stay Excalibur 8/13/08 2 night . book hotel family special good deal read pool remodel . true pool area remodel one slide kid pool work long line kid wait go one slide working . lifeguard say second slide never work . arcade game mess . least 1/4 work . room terrible , terrible . travel 2 week Utah , Arizona California room worst stay . tower 1 , floor 9 room 51 . mold grout around shower old , crack . grout around sink area crack . air conditioner sound like 747 . come , drape blow daylight would come . wakeup call morning . alternative turn A / c room become hot / stuffy . the bed uncomfortable , sheet old , ice machinge barely churn enough ice couple drink . want call complain first night two week travel , tired want move room . figure would write review let everyone know stay place else ... except . leave town , see nice hotel outskirt strip stay . 
 Aug 17 2009 	 luxurious hotel LV 	 stay one night Excalibur . not pay lot room guess could not high expectation . clean place stay stay US . hair shower , joint mouldy . furniture not spotless clean linen show sign wear . the room overlook back hotel ( concrete roof casino huge AC fan ) .The hotel situate end strip , far airport not hear plane . not think far away centre . nice walk along hotel strip . I would recommend hotel people limit budget . 
 Aug 16 2009 	 good value money 	 stay 2 night least expensive hotel find ( still look ok ) . room much well expect . new , clean comfortable . little far big hotel walk ( hot weather ) go see outside show Bellagio Treasure Island , much less expensive ! parking free , keep little money valet ( also park back hotel ) . 
 Aug 14 2009 	 Excellent Hotel Casion great price ! 	 read review Excalibur , little worried . first hour Excalibur , worry fly window . great hotel Casino , especially first time Vegas . Norma front desk upgrade widescreen room free ! 28th floor , strip mountain view . mom $ 1000 penny slot . Room Service excellent . McDonald 's Quiznos hotel . connect Luxor right next MGM New York . complaint . if want fancy hotel .... spend money stay . want great deal stay Excalibur ! 
 Aug 12 2009 	 old hotel family limited budget 	 wife return four day visit Las Vegas stay Excalibur Hotel . Excalibur locate one end strip , close airport however notice noise airport . hotel bright " glitzy " like hotel Vegas . fact decorate dark tone . staff friendly helpful . upon arrival tip front desk clerk twenty dollar receive upgrade room twenty fifth floor twelve ' clock check time . upon go room find door would open . report situation security guard go back room we . try door several time discover doorset faulty jerk handle order get open . discover door would close unless slam several time . say probably report problem someone . next morning report problem one housekeeper floor state noticed ' work day clean room . call report problem . also go front desk report problem . door repair time return breakfast . also receive follow - up call housekeeping ask door repair work properly . room good size old rather tired looking . wallpaper window peel back , curtain miss ring hang . furnishing show sign wear , one bed spread hole one chair mark someone try repair hole tape , tape peel long ago . shower cap previous guest leave hang bathroom door two day . tell housekeeper cleaning room go return room . awaken 5:30 morning sound fire alarm ( could happen hotel ) . turn false alarm . elevator efficient little wait time . time share salesman common area ( several hotel ) polite , offer assistance really ' bother anyone . buffet hotel reasonable selection vary . typical buffet usual selection food along mexican , italian , chinese food bar carving station . line rather long move quickly . staff friendly efficient . also go Tournament king dinner show . different fun , one thing go enough . eat everything hand eat utensil . eat broccoli hand different . would think family young child really enjoy show . show great acting , fun . cheer King compete various contest . all Excalibur old hotel would benefit room update . upgrade room wonder standard room like . hotel probably good family , look limited budget experience . 
 Aug 12 2009 	 not surprised ! 	 stay Excalibur June 7th thru June 10th , actually 3rd time 3 - month . friend live Vegas recommend hotel cheap great location , prepared stay . after stay 1st time hotel send room comp next trip ( make sure sign player card everywhere go ! ! ) . , opinion , & quot ; free & quot ; average room worth pay $ $ $ stay & quot ; nicer & quot ; room ! allow much mad - money fun ! hotel , want stay remodel tower - II versus tower - I . pay tower - I room 1st trip , upgrade well tower ask ( politely ! ) front desk person free upgrade . 1st stay , future comp new tower . the room nice , clean , ok view . eat hotel know much well food . thing eat / drank Excalibur coffee & amp ; snack ( plus lot booze ! ) . gambling fine , though bit smokey compare nice place . yes , time - share folk approach , simply say & quot ; thank - you & quot ; leave alone . yes , kid running & amp ; rip place , ignore also ! amazed many people think Vegas good & quot ; family & quot ; vacation ! basically use hotel place crash , spend time casino 's . would stay , long room compe ! 
 Aug 12 2009 	 good location NEEDS UPGRADE 	 fly Vegas spend first night US Excalibur . stay thought know expect . place shabby need upgrade . however , location excellent . also stay 3 night fly home end stay really wish go elsewhere . room day want safe place sleep , fit bill . be bad really need upgrade . 
 Aug 10 2009 	 nice perfectly locate hotel family 	 stay Excalibur Aug 2 - 7 ( sun - Fri ) , 2009 three child , girl , age 7 , 9 , 13 , love . book directly Excalibur get average nightly rate $ 40 . upon arrive , request adjoining room Tower II offer upgrade $ 10 per night , per room . cost upgrade well worth , mainly proximity pool , view pool mountain . actually , first room put we floor 17 overlook roof a / c unit . call front desk land we room side hall spectacular view additional cost . room clean well - appoint . bed comfortable , a / c work great room . problem construction noise guest noise . employee , part , great . last two day , wind Las Vegas strong Excalibur close three pool ! ! disappointing front desk lackadaisical , say guest safety compensation would offer . go Monte Carlo pool spend day . windy , not see anyone 's life danger Monte Carlo . massage Excalibur spa not real impressed $ 60 25 - minute back massage -- actually , disappointing thing whole trip . good thing trip great room view uncrowded pool . resort pool jampack . one day go check Mandalay Bay pool suppose well . first , pool guy turnstile said & quot ; entry without hotel key , & quot ; husband give $ 20 , unabashedly say & quot ; abolutely welcome in . & quot ; nice pool , complete sand , wave pool , lazy river , buy tube $ 23 ! ! ! luckily , meet people loan we . Monte Carlo , not bribe entry , charge reasonable $ 10 per tube ! Krispy Kreme doughnut taste stale , McDonalds come quite handy time two . regale italian restaurant overrate ; pay nearly $ 100 service horrible . ' ve much well meal service Olive Garden ( medium price range family eatery Texas ) . eat Excalibur buffet enjoy . two day , buy eat - all - day buffet armband Luxor . hotel connect move walkway . adult price $ 29 , really good deal kid -- $ 15 eat day ( age 4 - 11 ) . check - in check - out quick . arcade lot fun kid . start early ignore man woman blue blazer want know & quot ; be & quot ; & quot ; long be stay , & quot ; avoid getting tie talking timeshare . Excalibur nice , perfectly locate hotel family . 
 Aug 10 2009 	 money - 's good place 	 may remind , dodge stroller , wait elevator already full family , pester timeshare salesperson little pay stay - room ( remodel ) nice spacious , staff helpful - be simply look nice lodge good location reasonable cost - work . 's short walk get nice casino - save money room staying - gamble ! 
 Aug 10 2009 	 amazing hotel food good 	 excalibur look amazing , could see tacky look visit Vegas . recently redecorate hotel room roomy , modern nicely decorate . the bed extremely large , change daily . bathroom keep extremely clean look wonderful . hotel obviously massive casino , four separate pool unfortunately 3 ft deep , swim slightly impossible . spa available include gym . upper floor variety food court , include mcdonald pizza hut . also buffet open day , can not say find food particularly appeal . there also beauty salon pricey good job , ( attend wedding use facility ) . think excalibur nice hotel offer value money would go . 
 Aug 10 2009 	 really happy Excalibur ! ! ! 	 arrive Vegas Excalibur already put comment make people expect 5 star 35 pound night . stay tower 1 although decor bit outdate everything else great . great pool , space room bathroom , clean freindly staff . please not put delude people speak bad , great value money great position strip ! ! ! 
