disappoint 	 like boutique hotel . , one feel cheap 's clean . first ask could quiet room - yes , respond . get corner room full window face main street . 's impossible block light ( noise ) many pair curtain could get stay closed . bathroom , use towel hang shower curtain . let front desk know , actually next day well . phone long black hair panel phone . rug dingy - feel clean anyway . 's real room service & quot ; free & quot ; continental breakfast even good like Hampton Inn . check check bill rate 50 % colleague - ask say travel agent fault book corporate rate . unhelpful actually quite rude . $ 365 , kid . . . . 
 great spot Chicago weekend 	 stay Amalfi pre - turkey day weekend getaway husband . we check little noon Saturday pleasantly surprised room ready . check process smooth , professional welcoming . even chair check desk guest use register . our room expect . huge lavish , great rate , quite pleased . decor modern , room flat - screen plasma tv , I - home alarm clock etc . go lunch Harry Carrey 's italian steakhouse across street split huge italian beef sandwich bar , plus cup soup . couple Stellas , ready shop Macy 's ( three four block south ) along Miracle Mile -- couple block east . attend free reception . crowd , everyone friendly enjoy wine provide snack . little disappointed not view reception room firework along river evening . the next day breakfast available elevator -- type juice , bagel , sweet roll , etc . plus coffee tea . overall , satisfied hotel , service , etc . 
 expect 	 wife stay Amalfi trip visit son friend Norway vacation City . excited stay Amalfi reading review , really disappointed accommodation . web site photo 18 story building house hotel . not state hotel occupy first 6 floor building . rest office . room 4th floor view blank brick wall 16 foot distant . room unremarkable , standard furnishing equivalent Holiday Inn . although close good part City , tuck behind new Trump Tower open surprisingly sketchy stretch road / sidewalk . norwegian friend , contrast , stay 33rd floor swissotel view Lake Navy Pier . 
 bad taste mouth ..... 	 letter management ..... Sir Madam : write give feedback recent stay Amalfi . we guest 11/20 11/23.dure stay use & quot ; Valet & quot ; Service operate Standard Parking . vehicle return steal item glove compartment . much chagrin , $ 44 / day valet service include proper security / monitoring , despite premium & quot ; self park & quot ; .I understand parking service sub - contract hotel , would think worthy hotel would remedy situation . case . I hope staff able take measure rectify situation future guest 
 disappoint 	 book Amalfi base rave trip advisor find hotel tired disappointing . the towel robe old throw away . dresser break feel redone office . the room fine cocktail hour hotel over - rate many . 
 Dec 5 2008 	 Pretentious 	 stay Amalfi brief one . I book hotel base glow review see Trip Advisor . when arrive , sit desk amazingly aloof clerk . feel like step episode Twilight Zone . the room small dark . then internet not work . not inform check could not give time frame would back up . I walk neighborhood find another hotel like , gather belonging go there . if be one people like trendy upscale chi chi location hotel , will lurve place . like hotel light , work internet good view real breakfast , go someplace else . 
 Nov 18 2008 	 enjoy Amalfi 	 wife return three day Chicago . stay Amalfi Hotel would highly recommend . staff professional , courteous helpful . hotel clean well - keep . continental breakfast evening reception also bonus . hotel great location block Michigan Ave . block River North . be also easily accessible via public transportation . would definitely return Amalfi future trip Chicago . 
 Nov 5 2008 	 great staff Amalfi 	 stay group 7 great stay . although initially get adjacent room have request , able make happen rollaway bed minute . room clean well keep . complimentary breakfast floor nice touch ! would definitely recommend hotel downtown Chicago , search around bargain websites hotels website / list price much expensive . 
 Nov 3 2008 	 fabulous experience 	 overall great stay excellent location ! girlfriend fabulous stay Amalfi hotel late October 2008.three thing particular stand we : - complimentary drink appetiser serve Rafello lounge . pop lounge first evening : cheese , meat cracker serve complimentary along variety beverage ( complimentary ) .- breakfast serve outside elevator floor . , nice touch take breakfast room help much like ( croissant , yogurt , fruit , bagel , pain au chocolat etc ) .- iPod deck room . allow listen music ( recharge ) room . 
 Oct 31 2008 	 would definitely stay 	 fiance stay 2 night past week . agree would stay Chicago . room clean , bed comfortable , cool radio iPod deck , shower head really neat ( dual head adjust ) . one thing make excellent hotel bit weird . not feel like luxury hotel , feel like almost like apartment / office building . otherwise , great . business center 24 hour free printer fitness center also 24 hour . not make reception fiance though nice beverage , cheese , meat cracker . breakfast so - so ( toaster 6th floor lounge toast bagel ) bad . nice floor not go far . location can not beat , be around everything . walk Mano , literally block leave N Dearborn nice , romantic experience . also get really good deal hotel website $ 153 per night ( include taxis ) . 
 Oct 14 2008 	 Amalfi Awesome ! ! 	 love Amalfi . bed comfy Aveda hair product great . staff always greate we welcome we back . 's great location walk around see site Chicago . wake continental breakfast morning newspaper wait outside door . evening Rafello lounge cocktail wonderful antipasto repast enjoy meet hotel guest . thank Amalfi . make first visit Chicago spectacular . 
 Oct 14 2008 	 Great Hotel Great Stay ! 	 Amalfi Hotel small hotel cater ' customer . really care make stay pleasant possible . husband stay Columbus Day Weekend , Friday Monday . run Chicago Marathon surprise breakfast early floor also front desk table set Bananas granola bar . impressive ! complimentary breakfast cocktail hour tasty expect . room comfortable shower wonderful want come . name brand Aveeda bath product high thread count sheet plus Ghirardelli Chocolates turn service every night . definitely return next visit Chicago ! 
 Oct 12 2008 	 great hotel great location 	 even look hotel rate list $ 300 . orbitz 24 hour sale room half price . since low price post website , Amalfi give we rate upgrade Suite . room large , nicely furnished , quiet even though second floor right Harry Caray 's bar Cubs Sox playoff . love happy hour nice cheese , salamis , roasted veggie , bruschetta plus comprehensive bar signature cocktail etc . breakfast serve floor , take room enjoy chocolate croissant , yogurt , fruit , bagel , cream cheese . staff friendly quickly responsive request help room , get wi - fi going , etc . love time definitely stay get rate around $ 200 . 
 Oct 9 2008 	 small Clean Great Staff 	 Amalfi small hotel , 6 floor , share 's building office space next door . room clean , nice television , free wireless , fantastic shower . staff genuinely seem interested making stay comfortable easy possible . also like continental breakfast elevator floor . 
 Sep 24 2008 	 Amalfi Hotel Chicago BEST ! ! ! 	 date : September 24 , 2008reviewer : Bob Soriano , National Sales Manager , Enchantmints , Brentwood , TN.I stay beautiful Amalfi Hotel Chicago fourth time past July . stay continue get even well , new remoldeling continue complete . service , General Manager marketing people general staff , simply wonderful . make guest feel welcome . the room nice , comfortable bed , flat screen T.V . 's recently update bathroom . level six floor hotel include continental breakfast , make easy pick food bring back room enjoy . evening , offer fantastic hospitality suite drink delicious appetizer , perfect place relax long day . include room price , extraordinary value hotel . Amalfi ideally locate many fine restaurant immediate area . heavy national travel schedule , rate Amalfi Hotel one good place stay Chicago . 
 Sep 13 2008 	 Amalfi know stuff ... 	 girlfriend stay Amalfi couple weekend ago nice girlie getaway . great ! tell four star however would rate like luxury 3 star . room kinda small , quite luxurious . soft robe slipper , aromatic Aveda product , comfy pillow top mattress silky sheet ! sleep like dream ! also love ipod alarm clock could plug nano . continental breakfast floor nice wake roam robe . evening hor - deuvrs yummy almost light dinner ! chocolate bed night nice ! one good thing hotel staff . helpful Olga , Information specialist talk phone stay need information hotel area sweetest person Chicago ! amalfi great location , close everything , include Harry Carry 's restaurant right across street yummy ! walk Magnificient Mile Navy Pier anywhere downtown . be also easy access Blue Line Rail come straight airport $ 2 ! super deal ! Amalfi luxurious 4 5 star . 's great place stay , high - end . be electic , comfortable , accomodating . one thing : not miss eat breakfast Bongo Room 3 mile hotel ... 's quite walk distance ( unless want jog like girlfriend could eat big breakfast ) . pancake die omelete big head ! may wait line , be worth ! fun Chi - town enjoy joy city ! 
 Aug 30 2008 	 nice hotel ! 	 get great rate Amalfi last Minute Travel really travel blind know layout city well . drop airport shuttle 10AM , course room ready . Desk clerk offer store thing suggest take & quot ; architectural cruise & quot ; city ( short 10 minute walk hotel ) away hour get overview city room clean . take advise love . not miss tour ! return 2PM immediately check . room bite small side - 2 queen bed , husband 16 year old son - however lack nothing . amazingly comfortable bed , top quality bed towel , nice desk chair FREE internet connection big plasma tv . every morning free Starbucks coffee scrumptious pastry , fruit , juice , yogurt bagel floor . pad pj 's bring back room . every evening 5:30 - 7 cocktail hour yummy italian appetizer open bar - top shelf liquor good bartender Chicago . try signature drink - Amalfitini - mmmm . Navy Pier , Mag Mile , Riverwalk Millenium Park within easy walk distance . super friendly staff , super clean room , big bathroom , nightly turndown service Ghiardelli chocolate - 's love ? 
 Aug 22 2008 	 Brilliant ! ! 	 WOW ! feel compel write review becuase excellent stay . say other already say ? hotel strategically locate downtown Chicago . open bar 5:30 - 7:00 help kick - start evening . mention serve appetizer time ? free dvd rental downstairs lobby great addition . breakfast bar always fully stock juice , muffin , tea , coffee ( name ) . hotel staff , although kind old ( 40s , 50 ) try good point right direction . next time travel Chicago , sure will check see Amalfi suite . 
 Aug 19 2008 	 LOved Amalfi 	 stay one night , hotel staff extremely friendly polite . room clean large . decor redone . good perk complimentary continental breakfast floor morning free cocktail hour premium drink great appetizer night . get great rate would go back . great location walk around . 
 Aug 12 2008 	 hotel deserve 5 diamond award ! 	 stay last July , live Las Vegas stay / work many top resort , none compare Amalfi ! truly top notch hotel ! front desk invite comfortable one one sit , ammenitie offer second none ! feature stocked pay go mini refrigerator , Voss water end table , ( charge ) refresh daily need , ( need ) , double head Speakman 2000 showerhead shower amazing ! cleanliness first class . among top ammenitie offer top 2 Continental breakfast serve EVERY FLOOR , dingy breakfast nook downstairs , every floor feature set next elevator every morning ! second top ammenitie Coctail hour feature night ! believe 2 hour , free Coctails hor d'oeuvre ! talkin Jim beam Budwieser either ! Jack Daniels Single Barrel Peroni ! Wines Ferrari Carrano Robert Mondavie ! every staff member accomadating friendly , much would almost expect brainwash nice ! stay definatley make person feel like vip ! would ever consider stay anywhere else visit Chicago ! can not wait go back ! 
 Aug 11 2008 	 good rate make great deal 	 need one night stop December Chicago way Vegas , initially make aware Amalfi contributor TA forum seek suggestion . tie year bargain settle rate $ 180 inc taxis . consider location specification , sound like bargainlocation - wise 10 minute walk Magnificent Mile , Clark Lake station , be pretty convenient airport transit main drag . boutique pretty much sum . room cosy classy quite high specification nik naks toiletry . although other make variable comment lobby breakfast , think great . could pick tea , coffee , muffin , fruit , yogurt whatever outside bed room door robe , retreat back inside polish bed be watch morning news . be wrong ? check easy , although would say check staff & quot ; edge & quot ; aloofness might ruffle one two . warm welcoming not rude . yes , room view . overall would say future trip Chicago , first place would try . could pick one two fault try , reckon need try 
 Aug 9 2008 	 Decent Hotel Decent Price 	 Amalfi stylish , european hotel Michigan Avenue within easy walk distance downtown attraction . tuck away block daily scrum ensue Miracle Mile , nice addition , decent restaurant within short walk . check - in breeze staff helpful thing like package direction . good answer phone inside outside call . however , reach twice via cell phone let know package conference arrive . bell service use except taxi fetching . the room nice , clean spacious price . bed bed slightly norm comfortable . nice touch like update flat - screen tv , dvd player ( loaner movie available lobby ) suppliment standard pay - per - view cd clock radio . also cd use book room want / need . Aveeda bath supply nice touch quality towel . bathroom decent size , clean keep way . I utilize workout facility walk around downtown take care chore , seem nice . restaurant affiliate hotel eat . bonus nearby bar restaurant , include ubiquitous Harry Carry 's , Andy 's Jazz Club Rockit Bar . worth check town . overall , nice experience would recommend alternative higher - price chain hotel part town . 
 Aug 8 2008 	 would definitely stay 	 nice room , good breakfast nice staff . would definitely stay . view room nothing special disgust anything . staff freindly helpful . hotel easily walk distance mag mile , pizzeria uno , Navy Pier , John Hancock tower ; house blue like next door . really nice central location walk downtown art museum park etc . Amalfi hotel show Batman Dark Knight , tip film neighborhood . Bruce Wayne 's office right hotel . pretty cool ! 
 Aug 7 2008 	 terrific hotel -- terrific value ! 	 small boutique hotel tuck away perfect location Loop Miracle Mile . two block west Wrigley build convenient restaurant , etc . staff , doormen desk folk extra nice accommodating . delicious breakfast floor ultra - convenient , evening happy hour generous , morning paper welcome . bed comfortable . second stay , certainly last . love Chicago , hotel one reason . 
 Aug 6 2008 	 Amazing Amalfi ! 	 stay 3 night past weekend . loved location , central everything . walk everywhere , Millenium Park , Magnificent Mile , River , close El train . Liked evening cocktail reception , try signature Amalfitini , 's delicious . room big , clean , bed one comfortable hotel bed ' ve long time . staff friendly , front desk staff little standoffish , would not even look walk , everyone else , bellman , porter , housekeep friendly make . see Batman movie & quot ; Dark Knight & quot ; imax theatre Navy Pier , nice see much Chicago movie since film Chicago , Amalfi Hotel even make brief cameo movie . would definitely stay ! 
 Aug 2 2008 	 fantastic stay ! 	 spend three night Amalfi Hotel , Chicago business . booked king - corner room love . large room ' ve ever hotel Chicago , incredibly comfortable , clean . breakfast evening cocktail nice bonus . location could not beat . walk distance River , Loop , Michigan Ave shop convenient public transportation . notice number review comment noise ; yes street noise , build across street construction ( noise usually 730 - 4 , want sleep late week ask room back side ) really , downtown Chicago 's go silent , want silence stay suburb . want great hotel ( great price ) right thick everything , stay Amalfi . 
 Aug 2 2008 	 nice boutique hotel 	 stay Amalfi hotel week , one night , business experience really nice . ideal location block river three Michigan Avenue . hotel quiet , quiet , clean staff friendly . got & quot ; king corner & quot ; room fantastic . free wireless good , also internet connection work great . business center private , two computer printer . plenty work primarily room . they complimentary continental breakfast floor morning quite nice . coffee even good coffee snob like . hotel much small thought six floor . room reasonable rate downtown Chicago . 
 Jul 21 2008 	 Great Location 	 Weekend trip Chicago drop student School Arts Institute Chicago . positive : - excellent location - loop- walking distance everything- Millenium Park block away- & quot ; El & quot ; nearby- many great restaurants- Boutique style hotel - similar Kimpton- nice decor- Snack bar fee- dvd available viewing- Decent view- friendly helpful staff- Breakfast available elevator lobby floor- donut , pastry , bagel , yogurt , juice , coffee - high qualitynegative : - pricing - able get corporate rate thru employer @ $ 239.00 / nite- bottled water available fee- room close elevator lobby , little noisy - bearablenot many negative , really . great weather good temperature . Loved Chicago . 
 Jul 21 2008 	 Slippage Begun 	 still nice hotel staff great , wart hotel not year ago . one good feature use morning breakfast . quality breakfast fall far last stay opted breakfast . unappeale bread danish high sugar content juice extent spread . appear greatly cut back breakfast save money . the room still fine ( one hotel downtown Chicago book room 2 queen size bed ) . clean . good sized . nice bathroom . parking $ 48 night . may want self park less oncce park will not need car leave . everything close short cab ride . this use favorite hotel Chicago not pay attention detail way use . nevertheless , good place stay . 
 Jul 21 2008 	 Amore ! Amalfi ! 	 family 4 travel quite bit ' ve lots hotel & quot ; experience & quot ; . Amalfi one pleasant stay . staff friendly helpful , hotel clean , afternoon happy hour divine ! staff person encounter seem enjoy work perform top form . believe also reflect management - happy work environment create happy worker ! cudo trustworthy housekeeping staff return forget & quot ; stuff & quot ; . thing vacation purchase still tag . return timely manner intact . see next visit beautiful city . Blake Family Winter Park , Florida 
 Jul 13 2008 	 amalfi hotel review 	 stay summer 06 read great review get great price orbitz . hotel centrally locate staff pleasant . room look street , right across harey carey restaurant . room huge , clean , big bed , free wireless . bathroom also really big two shower head , handy . include price continental breakfast , could collect area right elevator . guest still bathrobes collect ! choice consist muffin , pastry , fruit etc , nice nice choice . definitely stay . 
 Jul 12 2008 	 nice facility average service 	 stay one night business , love location , room design , european breakfast serve near elevator . price , hotel regal good value . however , someone fortunate enough regularly stay boutique hotel business trip , find aloof , detach relational - style front - desk staff miss opportunity make hotel someplace really special . Chicago , James ( big budget ) Burnham ( modest budget ) well choice . 
 Jul 6 2008 	 warn ... 	 another reviewer state , room second floor overlook alley dumpster . disappointed view , major problem . major problem 4 night 7 - night stay , could clearly hear bass nearby nightclub . pretty sensitive sound practically impossible fall asleep * thump - thump - thump * dance music reverberate room . sometimes interrupt truck empty dumpster middle night , least break monotony music . last night bad , several patron nightclub venture alleyway smoke ( could see clearly window ) , could hear human voice addition music . unfortunate , hotel pretty wonderful every aspect . staff friendly , continental breakfast good have ever see ( coffee , orange apple juice , fruit , many great pastry ) , room comfortable ( even look buy pillow ) , bathroom clean spacious double shower head ( although blowdryer ) , free happy hour cocktail snack every day ( yes , free alcohol ! ! ) , turn service provide free Ghirdelli chocolate , location great , block away Magnificent Mile subway stop . hotel , , really well put together , impressive right . all say , would stay Amalfi . opinion , not matter great hotel - can not restful sleep night get bed cranky morning , nothing else matter . ' ve stay 2 - star hotel literally prostitute hang lobby middle night , well night 's sleep . if go luck room face alley , perhaps problem noise , stay enjoyable restful . would also recommend hotel go party night regardless , would thus concern late night noise . need measure quiet reasonable hour order fall asleep , would definitely recommend look elsewhere , least ensure room book face alley one upper floor , confirm reservation . otherwise , come pack earplug hope well . 
 Jun 29 2008 	 can not understand positive review hotel 	 IMO Amalfi do not come close justify glow comment TA . basically Holiday Inn . half room overlook alley / loading dock . hotel 6 7 flor high garbage pick wake daily 5 . 530 , nod , begin set complimentary breakfast . continental buffet every floor next elevator bank . room within 100 foot elevator hear noise . reception bit tacky & quot ; staff & quot ; little rough around edge . not see single business traveller . Valet parking expensive ( usual Chicago ) slow . ok . explore option . 
 Jun 29 2008 	 great place stay 	 great place stay downtown . clean , comfortable , quiet , close everything . easy walk grant park , michigan ave . , 2 block red line plenty restaurant . everyone helpful friendly breakfast floor handy . would definitly stay . 
 Jun 25 2008 	 would stay 	 good thing hotel location . place pretty mediocre good . room small . bathroom serviceable . lot lot hotel area . know people seem rave place . believe , place ok . think much well price near area . 
 Jun 17 2008 	 great small hotel style 	 husband return Amalfi Hotel next week second stay . stay first time last month , wonderful . room comfortable nicely appoint great amenity - flat screen tv , ipod docking station , cable , comfortable bed , cleanliness , even nice spread current magazine . staff always courteous friendly . love breakfast include room price - fabulous bagel , pastry , fresh fruit , juice , coffee -- serve early ( ) late ( mine ) schedule well . lovely cocktail hour nice italian appetizer welcome respite end day even though bar area tiny , cramp room . lobby also small , certainly well decorate professionally staff . all - in , like boutique , small hotel atmosphere Amalfi , hope return often . 
 Jun 17 2008 	 great price 	 let us get one thing straight - hotel compare place like ritz carleton even sofitel . five star mean excellent price . book hotel long weekend height chicago tourist season right downtown - look James , Hotel Sax , boutique hotel amalfi good price book ( despite spotty review site ) . happily surprised . staff excellent - friendly knowledgeable . location ideal ( construction site across street might noisy week , quiet weekend ) . hotel extemely clean - complaint . happy hour great idea , room drink serve not window feel bit like uncomfortable cocktail party , price ( free ! ) good food even top shelf cocktail . room maybe bit small , comfortable . , great place definitely stay . 
 Jun 17 2008 	 Amalfi great ! 	 sister find hotel review right TripAdvisor . could believe nice hotel amenity include price . visit beautiful city Chicago leisure hotel contribute fabulous weekend . room clean . bed comfortable . huge bathroom double shower head heavenly . hallway clean well keep . stinky stuffy smell . towel nice soft . morning breakfast delightful spread yogurt , fruit , muffin , bread , delicious coffee tea . floor set convenient slip get morning caffeine fix . the manager reception , locate 6th floor , unbelievable . name brand liquor , Kettle one vodka , skyy vodka Captain Morgan , option available nightly cocktail . addition , wine beer also available . elegant spread meat , cheese , bread lay snack pleasure . lobby small , clean decorate nicely . front end people polite . many time get overly eager doorman , opinion , gentleman exceptional job . we find good rate hotel . atmosphere cleanliness , along amenity , make exceptional value city hotel room run extremely high . thank Hotel Amalfi ! refer establishment friend , family even stranger ! ! 
 Jun 11 2008 	 Great Hotel 	 10th time Chicago always stay & quot ; big name & quot ; hotel Mag mile little apprehensive choose hotel . ( mainly choose base cost ) . fear unfounded . love hotel . breakfast spread floor amazing . think would couple donut coffee pleasantly surprise . bottled juice , variety coffee , various tea , jelly , pastry , muffin , cereal , everything bacon egg ! nice touch . evening happy hour great . expect chip pretzel draft beer . instead , olive , cheese , various bread , arichoke , brueshetta many high - end item . bottled beer ( two variety ) wine liquer . could use little big lounge seating limit , load go back room . room fine . usual amenity . negative could mention view pretty crappy . ' m use Hyatt Sheraton rest Mag mile view pay . since ' m really person stay room , not big deal . place close El everything else . would hesitate stay . especially get great deal like . 
 Jun 10 2008 	 Pricey value 	 include price continental breakfast set floor allow quick start morning . ok sized room large bathroom large tv screen fine . the $ 400 Sunday $ 500 Monday reduce room price couple less bubbly front ( trendy ) desk staff preclude & quot ; excellent & quot ; rating . [ seemingly high room price may consistent since room availability Chicago time visit & quot ; nil & quot ; . ] 
 Jun 5 2008 	 Great Location comfortable accomodation 	 husband spend anniversary Chicago stay Amalfi Hotel . FABULOUS experience . love view room . also nice breakfast every floor not venture far get croissant juice ... would throw robe provide room would walk hall grab breakfast . location hotel great well . within walk distance Magnificent Mile theater district . anything cab ride away , hotel would gladly arrange ask . definitely stay ! 
 May 30 2008 	 great Room Good Location 	 not start well town car pull Amalfi . driver jump unload bag , doorman stand post not see we . exactly four star welcome . bring bag inside ( tiny lobby , nice , modern somewhere yoou would want relax long trip ) bell boy quickly tag store bag front desk staff nice helpful . early room read . problem say please good try get we nice one , would rather wait look air shaft . Got call lunch offer upgrade suite , 2 bed hope , suite . beautiful . curved window , great space . thank ! really nice comfortable small hotel , great continental breakfast morning , clean room perfectly locate . lack heater bathroom . I surprise one mention construction acroos street research hotel , real disturbance ! staff welcome friendly encounter Chicago , always feel lack adult supervision , service professional . there lot choice nice hotel downtown think Amalfi deserve consideration . 
 May 15 2008 	 Amalfi Hotel first - rate choice adult 	 amalfi fabulous , hip boutique hotel happen part city . room chic extremely comfortable . wonderful touch free continental breakfast be provide every morning -- floor array fruit , cereal , pastry , juice , coffee . husband really like able bring breakfast back room climb back bed enjoy . not good hotel family , be single couple like sophisticated pleasure reasonable price tag , Amalfi Hotel terrific choice . 
 May 7 2008 	 great choice 	 look nice clean central hotel - excellent choice . House keep great staff helpful . 
 May 6 2008 	 Amalfi - Fuss 	 Amafli pretty hassle - free stay . location great , lot nice restaurant nearby . room comfortable , soft bed , lot pillow . aveda product ( shampoo , contitioner , bar liquid bosdy soap ) . towel pretty rough , though . magazine lay desk change weekly . day checkout find alarm clock upgrade IPod - compatible model ( remark husband day need remember bring IPod adapter future trip , voila ! ) view pretty nice , dh go crazy - look right across Marina City , two apartment tower look like corn cobs . building feature cover Wilco 's album , Yankee Hotel Foxtrot . nice stay , fuss , good location 
 Apr 30 2008 	 pretty nice stay 	 recently stay Amalfi Hotel Chicago short personal / business trip . boyfriend stay weekend conference work stay 3 day . boyfriend agree one really good thing hotel really good location . everything within walk distance exception main tourist attraction ( museum , navy pier , aquarium , etc ) . see take $ 8 taxi ride . the hotel staff nice ... top accomadating , nice . entire hotel modern feel . room really nice , clean simply decorate . bathroom good size lot counter space ( important woman ... least ) . say , travel quite bit business normally hard time sleep , bed comfortable . one thing bother hotel room service ... technically not . restaurant next door call & quot ; Harry Carry 's & quot ; order room service . place order room service hotel , place order Harry Carry 's , bring back . order room service night alone food marginal . food arrive luke warm ( ) , arrive late ( quote 30 min ... take almost hour ) , dinner roll hard rock ( night ) . top expensive ... $ 30 plate spaghetti , salad glass water . room service not important ... reccomend stay . overall pleasurable experience . Tip- Visit & quot ; Rockit bar grille & quot ; right street . really good food , cool / young atmosphere , cool dinner lounge upstairs . 
 Apr 28 2008 	 clean hotel 	 stay Amalfi Hotel 20 - 25.april . room nice clean , bed comfortable . bathroom spacious . hotel 's location close nice restaurant : favorite Shaw 's Crabhouse fresh seafood , Frontera Grill Mexican Weber Grill delicious BBQ ... thing not like breakfast buffet , many choice buffet serve breakfast room : take breakfast go eat another room .. ! however afternoon snack complimentary drink wonderful : long day shopping visit touristic place nice something ready go back hotel ! ! ! : ) ) 
 Apr 23 2008 	 Beautiful Property ! 	 hotel great location Downtown Chicago ! walk distance shopping restaurant . clean sleek property ; nice Europeon style ! would definately recommend ! enjoy ! 
 Apr 22 2008 	 Amalfi gem ! 	 Several Trip Advisor review indicate Amalfi terrific . right . arrive hotel 10 a.m. friendly staff let check right away ! room spacious & amp ; pristine , thermostat work idiot - proof . want , pull blackout curtain ensure stay dark , dark , dark room even sun rise . chocolate ( Ghirardelli - really ) magically appear pillow evening . housecoat slipper provide , tv huge 's minibar ( room fridge store snack ) . breakfast provide include lot fresh fruit -- coffee even pretty good . love Chicago , large part hotel comfort , welcome well - locate . highly recommend ! 
 Apr 21 2008 	 pleasantly surprised 	 arrive mid - morning plan leave luggage check - in . pleased greet news & quot ; room ready & quot ; . unexpected truly appreciated could freshen coffee heading . room nicely decorate . Ford Theatre easy walk evening reception nice touch , especially & quot ; Amalfitini & quot ; . would definitly recommend Amalfi ! 
 Apr 14 2008 	 Fine could better money 	 travel frequently business ( domestically internationally ) look forward five - night stay . good point : hotel prime location , two block Mag Mile . be walk distance ( within 2 - 3 block ) several excellent restaurant . room clean . continental breakfast floor nice ( elaborate -- sweet roll , fruit , coffee juice ) certainly convenient . mediocre point : price glow review read , fear 's quite snuff . service not exactly would call & quot ; European & quot ; & quot ; upscale & quot ; traveler note . be like nice Holiday Inn . staff friendly ( except doorman , always excellent ) , not really go way make feel welcome particularly pamper . , be & quot ; fine & quot ; $ 400 - per - night worth fine . bad point : room 311 , back alley fill dumpster . ok , be look , hear garbage truck empty every one 35 dumpster 2 am . exactly restful . first night , think , & quot ; well , bad luck be over . & quot ; garbage truck return next night another two - hour crash bang BOOM f . ask move next day , hotel . also ask adjustment bill ( take $ 20 two night ) , less readily . want great location , . be look european ambiance tout 4 - star accommodation worthy 4 - star price tag , look elsewhere . plenty hotel Chi - town . 
 Apr 9 2008 	 charming place 	 really like feel place . quite opposite corporate soulless megahotel : get sense someone think detail carefully . like particularly lack mean - spiritedness one quite often find large US hotel : be feel whole hotel experience craft extract much way ' extras ' possible . 's charge internet access ( free wifi room ) ; breakfast include ; even offer cocktail every evening ( not seem mind swipe one head room ) . breakfast set - up would not suit keen serious eating morning , really like self - service arrangement floor , could wander coffee without get dress . find staff exceptionally friendly , helpful , professional . would definitely go back . 
 Apr 7 2008 	 Nice Stay 	 tiny lobby , block & quot ; nicer & quot ; part downtown , still good location , nice room . 
 Apr 7 2008 	 ok quite expectation 	 base glow review would expect quite lot Amalfi . stay Easter weekend not bad , can not help feel slightly deflate . get , good point ... location great , one block river hence walk distance everything center . restaurant across road ( one supply room service ) good steak bag character , real asset . free breakfast lay outside lift floor nice , need time sortie right order get much selection . on downside , room ( hotel general ) rather tired appearance ( wear fitting fixture etc ) lack anything resemble character - be clearly cheap concrete box , take right back day student dorm . 's nothing actually bad , try different thing applaud world large chain , experience be not really top notch . 
 Mar 25 2008 	 great service Amalfi ! 	 Amalfi upscale hotel upscale staff . first walk modern chic lobby , nose greet fresh floral aroma . staff friendly dilligent , room devine . amenity great , breakfast bar floor not change p.j 's . walk right room continental breakfast . location heart beat Chicago . recommend hotel . 
 Mar 25 2008 	 Exceeded Expectations 	 hotel nice indeed first stay Chicago , exceed expectation brilliant price . complaint , room well maintain ie fresh towel bed linen daily , breakfast good get start day , front desk doormen good advice , complimentary drink nice extra . lovely stay centrally locate location . good nearby restaurant include Harry Carrys ( accross road ) beer bar chip , ( bit pricey food Bruschetta amazing ) , Rockit bar grill ( locate behind hotel ) good burger cheap , Quartino 's ristorante pizzeria ( 626 North State Street ) great small plate dining . 
 Mar 16 2008 	 Location Price Service - Place ! 	 first stay Amalfi - definitely stay next time Chicago . hotel conveniently locate North Chicago River ..... walk across street couple step door House Blues Harry Carey 's . easy walk distance theatre district Magnificent Mile . not expect much view outside window ( build immediately front renovation ) - ' m room much .... ' m see experience Chicago ! ! exceptionally warm weather January , use 1 cab entire time ... hotel back train station .... not mind walk - perfect location easy access everything . complementary breakfast nice - great selection fruit , pastry , juice , water , etc . complementary drink hor d'oeuvres outstanding . ' ve see previous review complain bar staff . maybe night - maybe treat staff little regard ... say guy GREAT ! yes , tip jar ... come -- - drink free - food free - can not spare dollar reward people cater .... definitely big problem world . tip couple dollar ...... bartender treat we like royalty . good ! room clean - robe slipper provide ( nice touch ! ) . disappointing thing - many extra outlet room ...... four girl sharing room get ready hairdryer , curl iron , etc little hectic . Amalfi send bottle wine room celebrate birthday anniversary . request time reservation - deliver first day - quick request front desk resolve issue day . 
 Mar 14 2008 	 Nice Break Chain Hotels 	 pleasant change big chain hotel group . european comfortable . find good deal great location . 
 Feb 29 2008 	 absolutely love hotel 	 stay amafi 4 night Feb . fantastic . minute arrive reception , girl desk friendly . room really testefully decorate . also love really soft bath robe slipper provide also safe wardrobe useful . double shower head great mirror light make - up ( something not see hotel ) .The location perfect we . complimentary bar 5 7 pm nice . meet friendly people therewe go 2 evening 4 always enjoy . must admit surprised hear breakfast buffet opposite lift ! ! first 2 morning fine , good breakfast , sneak room bathrobe luckily one spot ha ha . 3rd 4th morning go good breakfast goody go conference onin city hotel book need get buffet early ! fantastic time definately say next time xx 
