value 	 hotel look location , price , cleanliness , 5 star . hotel central park west , 2 block subway , basic clean , helpful staff , fuzzy tv reception , private bath , request room balcony overlook central park , get . pay tax $ 134 nyc november . see hostel share bathroom price . 
 Aug 11 2008 	 Astor Park - > great value money ! 	 stay hotel last week find perfect . especially take account rate compare New York hotel .... room bit small clean good bed . cross street central park 2 block walk metro . within 10 minute downtown Manhattan ! highly recommend place look clean comfortable hotel reasonable price . we certainly come back ! Rodey & amp ; Helen , Amsterdam Netherlands 
 Aug 10 2008 	 good value money 	 stay first visit New York last year . accommodation basic enough room bathroom clean daily cleaning service . situate little far city centre - find waste lot trip get subway city . however , pay - high season - could not fault . staff friendly helpful , give direction , etc . literally across road Central Park ! 
 Jul 24 2008 	 WI FI 	 Hotel clean room tiny paint horiffic green colour view cement wall . phone room convenient could call reception find weather like morning . the view hall slightly worse - curl barbed wire fencing . arrive porter watch struggle lift luggage without offer help . key , ( yes actually key ) not work struggle back porter come show trick lift door handle , pull toward turn key . sister take turn try open room door night almost impossible . Wi Fi & quot ; working & quot ; 4 day stay hotel direct cafe around corner hotel get see first ever cockroach owner kill . honestly not believe hotel wi fi facility hotel staff seem know anything it . lastly , not nice give taxi driver address & quot ; central park west & quot ; souund nice , reply usually & quot ; oh , want go Harlem & quot ; . 
 Jul 22 2008 	 Fish Palace 	 Hotel cheap do not expect much . clean basic slightly would like . main problem room clean day bathroom absolutely stank fish . idea clean smell bad , bathroom window small window bedroom case get use ! 
 Jul 19 2008 	 ` ` save good til last '' 	 two girl twenty stay hotel 23rd-27th January 2008 . would consider good location girl travel need get sub taxi town due distance would walk around neighbourhood night . room average size lie bed slope - interesting ! also awake darfader like sound come heating system follow loud bang sound , give heat freezing ! overall room clean would agree review bathroom good feature , last night enter bathroom greet something neither we own toilet ! ! ! call clean big issue good come sort straight away . Astor Park ok pay see New York , definitly give we laughs story tell return ! 
 Jul 17 2008 	 Little Gem 	 boyfriend stay 12 night . downside size room , never see anything tiny , however reviewer mention somewhere put head long day . bed extremely comfortable . location hotel wonderful . upper west side , subway 5 min walk away hotel , take bus M10 take Times Square drop outside Macys . overall hotel good , however , size room toooooooo small . 
 Jul 7 2008 	 great hotel 	 normally check 3 friend arrive 10 hour bus ride around 8:00 morning . lady help desk say would well get us ASAP noonish sort . excellent location , clean room overall great experience beat price ! 
 Jul 2 2008 	 surprise 	 great deal good , clean hotel . mattress comfortable fantastic view downtown park . staff friendly . negative : tiny sink impossible wash face , elevator break day leave 10th floor . also order one car take we airport instead taxi pay twice much . overall , find . hope stay affordable . 
 Jul 2 2008 	 right money ... 	 back two night Astor Park . say little surprised small room arrive , honestly price great little hotel . room bathroom recently renovate , clean well keep . young staff cheerful helpful . nice convenient subway make get meeting fast easy . you go NYC see city , great place sleep ! 
 Jun 30 2008 	 good enough 	 visit New York first time wife hotel adequate . nothing special clean , cheap good location upper west side across road central park . subway close deli one block great breakfast . smoking room available third floor . staff polite . 
 Jun 28 2008 	 great Stay Astor Park ! 	 husband stay Astor Park two night weekend getaway . book online nychotels.com get excellent rate Central Park area . hotel locate north - west corner Central Park 106th St Central Park West . quick 5 minute walk subway stop 103rd St 110th St. really like location outside hustle bustle southern end Central Park . room face Central Park . room tiny , clean . one double bed armoire closet television set . channel not come well tv , not spend time room . bathroom good size amenity require . staff friendly courteous always open door greet we smile . also bonus 3 pm check - in 12 pm check - out able store luggage arrival departure enjoy city without burden bag . if return NYC would probably consider stay Astor Park . 
 Jun 23 2008 	 Relief 	 get back father / son trip New York stay Astor Park . say little worried reading review . however , pleasently relieve get hotel . will not say 's fabulous , call sufficient . price , though , can not beat ( $ 145 / night ) . people suggest , not go New York stay room . honesty hotel place would want spend much time room . the room tight say least , double bed room . enough room two double bed , t.v . small cupboard clothe . honestly whole lot room move around . room would crowded three people , three adult would push . bed actually comfortable get good sleep ' ve six month . bathroom high point room though . room clean newly tile . mildew shower great pressure hot water ! ! ! ! room smell air work . side t.v . not really work remote , watch weather news morning . otherwise sufficient hotel tourist . would definitely recommend buisness traveler unless not mind minimal accomodation . location actually great , opinion . be far enough away high traffic area , two block subway get anywhere fast . 's 10 minute ride Times Square . also Central Park right across street . small hotel minimal accomodation , say serve purpose tourist . group four room room slightly big , much . room warp floor old bathroom , everything clean everyone rave well sleep . staff friendly accomodate need good ability . 's whole lot ammenitie , help ask . 
 Jun 15 2008 	 mixed feeling 	 friend stay 5 night hotel . disappoint room small crowd . say recently renovate room dark shabby . furniture poor quality wardrobe damage . television unwatchable poor reception . facility make tea coffee nowhere else get hot drink . ask move another room hotel staff agree , alternative bit bright tv work . floor however interesting gradient , slope one side ! plus side , standard cleanliness good always fresh towel . the hotel also claim offer park view think number room could possibly must limited hotel frontage small . view back ... attractive . I would return hotel think poor value . 
 Jun 11 2008 	 good hotel price 	 hotel clean , bathroom excellent . good bed , good pillow . front desk good job except one guy fail give wakeup call request . fortunately , awaken early . phone never rang , mention man front desk not get wakeup call , say rung room one answer . woman next night * * give wakeup call . clearly problem particular man , system . as might expect hotel pay $ 108 / night New York , tiny room view available check . read review say problem heat , find heat high occasionally run air conditioner order swelter . coffeemaker room . however , read review website , prepare bring heating coil mug small jar good instant . number small grocery store restaurant block away . I take subway couple block away . plan take train back night , sure find train stop time , line take morning may always run late . ( buy one- week MetroPass , find handy add money . ) 
 Jun 7 2008 	 well thought would ! 	 stay 2 night QM2 cruise , worry see review pleasantly surprised clean spacious bathroom tub soak , yippee ! get fed poky shower tub . nice area good little turkish run deli end block highly recommend breakfast good coffee - not strong really tasty . opposite c.park , great location direct bus route centre NYC , need get metro card fare driver take dollar coin $ 2 trip . frequent clean bus , pay taxi fare ? departure day arrange taxi cruise terminal us time wait we . drawback noisy plumbing night . would stay , probably yes ge nyc.as provide exactly need . 
 Jun 5 2008 	 want stay hotel cost $ 48 dollar less 	 Sheraton Times Square hotel . request extra night arrival hotel find hotel manager receptionist bother pursue request , leave we without hotel room last night stay New York , despite assurance arrival would problem . get day due departure date still get confirmation extra night . receptionist even want call , leave we call central reservation room , follow morning care hotel room extra night , even pay $ 1 access internet basement see email confirmation . manager try find another room we , tell we call later day acce email . finally tell room . manager hand we card call email www.nychotels.com . friend Chicago arrange night Sheraton would spend day find hotel . manage get room Sheraton , Times Square $ 226 facility type hotel deliver , restaurant , concierge , shuttle service airport etc . budget hotel , hotel least 40 minute walk Times Square need catch bus cost $ 2 way , lady want shop , cost $ 10 cab . hotel offer nothing room , shop water breakfast , room small twin room even small , absolutely put case chair suitcase stand . recommend hotel honest , £ 27more book direct Sheraton middle Times Square , else say 
 Jun 3 2008 	 problem ! ! ! ! 	 read review hotel honest not million mile truth . arrive see room quite small however go big apple stay room ? personal opinion fine sleep day ! staff friendly always helped need anything , read review room noisey could hear subway , never hear thing however plumb little noisey , anything like walk around new york 6 - 7hrs day would sleep band playing . view window room great I m look window day . this hotel quite far times square def would recommend walk , would say gud 4 6miles taxi 's really expensive 3block away subway , taxi 's $ 15 subway $ 7 day ticket . my problem hotel bar go back room sort stay sit around . overall enjoy stay do not feel like need move , personally would try stay hotel due central location ! personal choice like near centre . please note : arrival hotel ask credit debit card , incase use telephone room check without pay , litle worried first take number , check see girl behind destroy copy ! upon return UK go bank check money take account , money take : ) 
 May 24 2008 	 Excellent value money clean comfortable no - frill hotel 	 Reviews hotel general unfair likely put possible guest book . hotel clean linen change every day , plenty hot water , room adequate good night 's sleep , staff friendly helpful . hotel good value money one cheap find - price $ 25 7 day Metrocard - bus stop opposite hotel subway 3 block away - centre town within short time . room back quiet - could not see sky difficult see weather like outside - however , want sleep ! food available plenty delis area simple snack . would highly recommend no - frill hotel spend extra would pay hotel enjoy delight New York . 
 May 12 2008 	 nice surprise read bad review 	 book hotel , wife & amp ; read review start worry we . one point , tempt book another hotel , really bad need worried . arrival , give room second floor , nice close street noise . wife go back Reception , ask room high & amp ; give one sixth floor , ideal light sleeper . room small side fine need , would use sleeping & amp ; shower . hope , follow point helpfull anyone consider stay hotel . the hotel . the staff friendly & amp ; helpfull . the lobby clean & amp ; comfortable , vend machine & amp ; internet downstairs . problem find , small lift . bit tight fof two people & amp ; couple suitcase . the room . these slightly small side , much storage space much room need . room clean every day & amp ; bathroom need , towel change daily . buget hotel , really need NYC . real let location . top end central park , bit trip every day city real problem , not mind travel subway , bus . station 103st , short walk hotel & amp ; M10 bus stop side door . we would stay hotel , soon hopefully & amp ; problem recommend other , travel wonderfull city . 
 May 10 2008 	 spotless clean unbelievable value money ! ! ! 	 's long hope help ! stay hotel early 2008 one week . book 2 twin room party four ( middle aged ) . could well afford @ € 60 per room per night . get unbelievable deal @ www.hotelrooms365.com , simply use credit card book dollar exchange rate right get simply unbelievable deal ! lot Irish English hotel ( aswell Americans ) familie elderly couple ! research hotel tripadvisor go must say review mostly accurate . long one go hugh expectation happy hotel . ( bar / restaurant - would eat hotel NYC anyway ! ! ) arrival receptionist check we problem , yes credit card require friendly world care , always friendly anyway , OTT like plush hotel . our room quite spacious , acceptable NYC , spotless marble bathroom , extreamely clean complete phone , tv number channel , radio alarm hairdryer . request park view get view internal courtyard not really mind request , sit room nyc.the lobby small , clean receptionist porter 24 - 7 . small basement area coffee machine , vend machine internet access . the lift small slow often decide simply walk fourth floor , mean one wait want ! room service daily , warm air - con , radiator & quot ; hiss & quot ; make noise , one turn valve ! .. big deal really . bathroom clean , well stocked linen complementary toiletry . the hotel situate west side central park . nice location although would choose explore area seem little less well 10 minutes/4 km/2.5 mile Central Manhatten . would defentantly allow stop people stay hotel still manhatten nice area , Times Sq . area obviously & quot ; 's & quot ; happen ! subway 1 minute walk bring Times Sq . 5/10 minute . use subway daytime taxis night ( taxis plentiful cheap - $ 12 - 14 time sq hotel take credit card ) , ( bus also stop outside hotel ) would reccommend subway old people , people baby would reccommend travel somebody , , less well maintain staff London tube , similiar Paris metro anybody famili . ( also go right JFK less hour give plenty time ! ) overall would stay hotel , recommend friend family . clean , cheap , although little action , Manhatten easy get around ! personally go NYC next time would try get mid town close time sq . personal disrespect hotel well represent review picture . picture site hotel extreamely accurate ! ! ! .... exact picture . please hesitate contact Q 's ! ! ! another note ; Print subway map plan take subway airport readily available every station . airport subway interchange incur $ 5 charge per person . try take express train subway system manhatten stop certain station ! ! subway cheap - $ 24 unlimited travel 7 day . go www.nycvisit.com order free city guide include subway map ! ! do not forget socket differnet british european appliance certain voltage ( tink 120 something ) work . ( european GHD 's hair straightener work ! ! ! ! ! ) take bus tour get around NYC also relax tired walking get see everything ! 
 May 4 2008 	 get pay ! 	 stay Astor park Christmas 2007 find dingy . severall problem include room temperature - room either freeze cold boil hot - control heating , quick walk 5 flight stair wait anchient lift , bar , toilett keep overflow - even Christmas day ! good $ 10 n taxi get New York City . the room cheap fairly clean , place could find new york en - suite bath .... would never stay ... pay extra .. worth ! 
 Apr 27 2008 	 good value money ! ! 	 stay Astor Park 6 night absolutely complainte ! first visit New York bit nervous read hotel New York could bit disgusting didn´t expect much hotel pay 110 $ per night . pleased first come hotel . outside look nice clean enter reception continue look nice clean . receptionist kind problem check . read room small expect packed room see really surprised . big bed clean sheet plenty room around nice medium sized , spotless extremly clean bathroom , tv , ironboard , hairdryer soap , bodylotion ect . bathroom . european - standard defently quit big room . remember two - star hotel ( opinion three - star hotel ) think person give hotel bad review expect much . location hotel perfect . area quiet right next Central Park subway three block away five - ten minute could city . hotel make holiday perfect would deffently come back . 
 Apr 27 2008 	 exactly say tin ! 	 stay hotel 5 night mid April . yes credut card ask check soemthe experience check UK hotel problem . the room adequate size comfy bed crisp clean sheet & amp ; huge pillow . private bathroom plenty clean linen complimentary toiletry . problem try work use shower enquire reception , someone come room straight away get sort we . true previous review say location get subway sort problem . great view Central Park & amp ; experience noise reviewer note . the thing miss kettle make cup coffee morning vend machine basement despense soemthe nearly resemble coffee ! ! 
 Apr 17 2008 	 enter risk . 	 never New York book package deal flight accommodation , Astor park choice Hotel great location affordable price . read review booking decide base handful good review worth shot . upon arrival Hotel greet uninterested receptionist hello ' want check ? ' ask credit card deposit demand $ 100 also reason case take something room . reluctantly check double room suppose twin room advise due overbooking move tomorrow . exhausted 9 hour travel decide deal follow day . cram tiny double room history amenity bathroom tv good reception static ( make wonder could steal lose deposit ) good start holiday . morning receptionist quiet pleasant advise would move we twin room day . get late night full day sightseeing collect key ever friendly night receptionist , find ' move we twin room base fact twin room book entire weekend . verbally display unhappiness receptionist advise would like sort compensation form refund difference twin room tell ' ' compensate booking package deal ' ' . afraid Hotel one help luggage , room service , fridge food water room , basic room electrical problem ie : plug hang wall socket light bust roof , hot water great shower ' work . sorry say recommend place get 4 star Hotel price I m sure well service . good luck , happy travel . 
 Apr 15 2008 	 experience 	 stay Astor Park July 2007 , travel Agent book nice picture recent refurbishment - would hate see refurbish . room small , safe , gap door , dirty sheet , stale smell , small lift . good location either . ok hardly room would go back .... 
 Apr 14 2008 	 wonderful Stay Park 	 arriving Wednesday 3pm April 9th check time , friendly staff check wait extra min get room view Central Park become available . stay room 603 window towards street Park . the room perfect traveler wish explore New York rather hang room . table desk need visit pleasure . hook notebook kick back bed plush nice pillow . the bath room spotless brand new look polished top bottom -- something normally would associate 4 star hotel often stay pay business travel . find towels complementary toiletry refreshed return late pm next night . would stay long could . the afternoon sun warm room without need window AC / Heater unit . locate surprisingly quiet neighborhood almost north end Central Park , lite background sound occasional subway pass night add nice NYC city flavor . otherwise would thought home . a short walk south get 's & quot ; 103rd St Station & quot ; subway stop connect north - south B ( Orange ) C ( blue ) line ... i.e . easy 10 min travel midtown 20 min downtown . as bit budget , amazing special price find god send . I would give three star + rating . great service ... complaint . we great time ... highly recommend . 
 Mar 29 2008 	 Perfect Budget Travelers ! 	 friend spend four night Astor Park mid - March . wonderful experience . hotel staff friendly , room ready wait we right check - in time . room great - clean attractive good - sized bed nice private bathroom . never cold , despite frigid temperature outside . subway station three block away - easy five minute ( less ) walk . area well - light highly traffic - two young woman alone , not feel nervous neighborhood . I think key enjoy ( ) hotel homework know expect . negative review ' ve read hotel , think problem lie guest expectation , hotel . luxury resort ? . never see advertisement claim . room spacious every room boast sweeping view city ? . spend time research NYC hotel , will know price ( pay $ 108 per night ) , be likely find well . Astor Park private bathroom - , nice one ! extreme rarity $ 100 Manhattan hotel . , be next door NYC attraction Central Park - , look address would know , nearby subway , get heart city easy . need full - service tour guide , enough space play twister room , plan spend majority trip hang hotel , spend ( lot ) money go elsewhere . want good quality bathroom good price , place ! absolutely love would recommend friend ! 
 Mar 25 2008 	 Rubbish 	 hotel negative positive . however negative weigh positive . the girl check , moody unhelpful concerned play phone printing reservation , result misunderstand long staying . reception rang room 3.30 morning question departure date , professional . upon check complication due absent attitude staff . the room reasonable , clean , dark . future book hotel long advance avoid stay dump . 
 Mar 24 2008 	 ok get good price 	 pay much hotel know could do well price pay . find 100 dollar night rate bellow good deal , otherwise try find something close downtown bit luxurious . this kind hotel go relax sleep . matter fact , view room , dark twist neck see sky sun . room small basic extremely clean , bathroom adequate also clean , great powerful shower plenty hot water . subway 2 block away , 7 stop 42th street . want eat area plenty good reasonably price restaurant . the worse part : HEAT ROOM ( matter entire hotel , could feel cold soon exit elevator . I tell front desk nothing do . tell space heater say would give blanket . call blanket thin cotton spread . start feel little warm pille 4 . BEST PART : friendly staff part . specially Emil doorman , really nice helpful . make difference . good , cheap eating area Broadway Amsterdam touristy area , like real New York . 
 Mar 23 2008 	 ok hotel affordable price 	 stay partner 3 day break Astor Park . we arrive late night quick check although receptionist not seem happy see we - as seem disturb rest . the room small basic clean . one small window overlooking inside court hotel . facility : alarm clock , tv bad reception wardrobe . bathroom also small basic clean . not easy try work use shower receptionist not explain well calling . also one hairdryer not work . due lack facility not much judge service interaction reception staff not great . last night request early wake call catch early flight . unfortunately receive luckily we set alarm well . one strong part hotel housekeeping . every time return room day sightseeing bedroom bathroom well clean . the hotel location ok comfortable use public transport take taxi not expensive . situate opposite Central Park . first time visitor NY would recommend central location . all , hotel reasonable value price pay . 
 Mar 19 2008 	 good budget Hotel 	 Staff behind desk particularly friendly rude either . music play small reception area perhaps little loud obtrusive . interior little tatty place , long be expect luxury hotel nothing worry . room appear clean ample size . bathroom spacious , clean well stock towel . pay $ 100 deposit check fully refunded . small room downstairs , coffee , cold drink snack available vend machine computer use surf net ( rather pricey sum $ 0.20 / minute , dollar go rather quickly be look time / place / subway station etc ) . walk centre town take 45 minute go via central park pleasant . area rather suburban feel safe . hotel two block 103 st subway regular train town ( around every 5/10 minute ) journey take 10 minute . also regular stream taxi pass be feel extravagant . bed comefortable ample bed provide . wall thin may mercy neighbour be light sleeper . heating system little noisy aroun 5 am problem be light sleeper not stay loud long . , mean luxurious clean comefy . 
 Mar 19 2008 	 ok hotel 	 hotel locate bit far midtown . $ 16~ $ 25 grand central st . taxi . room clean . door man kind . I pay $ 145 per night quite deal NY.but hotel stuff kind problem . never offer detailed info anything like sightseeing , musical , bus schedule . recommend use internet service downstairs.furthermore , provide $ 45 taxi ride LGA , much . usually , $ 25 + 3.50 LGA . maybe get buck taxi driver . I recommend book taxi , book airlink supershuttle.even get $ 2 coupon ny guidebook . 
 Mar 15 2008 	 do not believe read hotel 	 really dread hotel review read expect bad price pay . got hotel friendly doorman help we bag . lady reception be not overly friendly horrible either . word warn take master card visa u do not u pay $ 100 dollar deposit check . decor clean atmosphere pleasant . after check get lift small take two we two people size bag . room fresh clean smell nice . soooooo hot room turn radiator would advise . ac/ fan unit attach window time . bathroom lovely fresh fold towel toilet paper even fold ! lovely touch . soaps shower cap shower gel etc . maid visit room every day change towel bed cover . tv do not really many channel new york watch tv . we never disturb stay staff friendly . alot people mention loud noises morning .... light sleeper morning noise do not disturb once . I would recommend hotel anyone go new york want lovely location 2mins subway still low budget . stay two friend brill time . definately stayin . 
 Mar 14 2008 	 good start new york 	 stay hotel feb 29th 2night .the good thing good location subway .we package deal book travel firm sepnding 2 night move cruise .as soon walk door know would dissapointed .It small reception desk alift bench sit facilitys whatsoever .we allocate room 4th floor , exit lift corridor litter empty cleaning bucket general rubbish 8 pm night , wound way dirty corridor call room , consist double bed , 1 bedside cupboard , wardrobe look 50 yrs old tv era dump top . yes clean small bathroom , however decor need seriuos attention . , window blind era open give depress sight 4 brick wall around window keep shut block light look upoun .had good weather new york suffer hotel know would do go room sleep sight see 2 day .the sleeping easy either wake noise thin wall people talk small corridor , wake noisy heating system approx 5 come life alarming noise bang gush water .the subway 2 block away good small cafe /takeway street door small cafe bar 3 b lock near garage , nothing keep occupy near hotel hotel would ever recomend would never ever return freind also impress .If happy rough fine like we expect good standard room stay away 
 Mar 12 2008 	 frill clean . dishonest reception staff ruin stay . 	 friend check afternoon Feb 29th 6 day stay . already prepare bad reading review please present clean bedroom ( though small ) spacious bathroom . I stay hotel first 2 night stay Ave boyf ( live ny ) 3 night . deal get cheap include flight ( £ 400 ) , Astor Park use place dump luggage place actually stay duration week boyf book hotel romantic surprise . anyway .. digress . view bedroom window dire , brick wall room opposite different building . make difference , not view blind stay week anyway . what irritate one key per room issue leave key small box reception desk leave day pick return . ' m surprised nobody mention review deem unacceptable indirectly give free ticket anyone enter bedroom key box proof room ! room 5th floor lift unbelievably slow ! ! OMG ! twice end take stair ground floor twice wait downstairs 5 min .. be die toilet bloody long time ! ! somehow manage misplace room key boyf leave go 2nd hotel tell reception share $ 100 deposit friend put arrival would hold , key find would refunded back ! fine , although find strange replacement key could issue within 3 day would need escort room return member staff open door . anyway , go 2nd location , may add amazing comparison ! ! rec hotel enough ( be separate review ) .On afternoon day 5 return Ave drop shopping could start pack . bellboy accompany we open door withe master key 10 min later knock door say original room key find go to try bedroom door see fit - handed . definately key cheap yellow plastic keyring recognise writing & quot ; 504 & quot ; . pleased meant go to get $ 50 deposit back ! think ... stay boyfs parent hse night f day 5 surprised get text friend last morning tell reception refuse hand full deposit would change lock room door cos have lose key ! LIARS ! key use open door exactly , keyre everything ! ! ! go hotel boyf ( live 10 min away ) try get back deposit point inaccuracy claim . blonde haired hispanic woman reception quite surly insist would change lock bellboy make mistake have declare have find original key ( try door , double check key ? ! ! ) - ask see receipt locksmith have supposedly change lock , say use internal staff maintenance ! argh ! ! frustrating nothing could , leave pacify boyf get really annoyed behalf . store luggage us back corridor late flight back London lot luggage line obviously something be happy everyone . up nonsense key reasonably happy Astor Park . want frill .. not place . find staff whole polite accomodate . doorman really friendly always time give cheery & quot ; Good morning & quot ; - despite -5 outside ! ! Brrrr ! ! ! notice day leave go Ave painter repaint corridor . renovation still go . ' m fan bogey green wall , light bedroom quite dim bright paint would brighten room bit . our tv joke not work ( fuzzy picture ) 2 night 6 quite frankly preoccupy boyf bother tv back hotel ! * wink * Erm .. else tell ? oh shower nice powerful slide door shield water splashing floor . sheet glass glue side bath bit stupid keep put towel floor stop water flooding ! fresh towel everyday ( friend end stay Ave 5 6 night friend ) room clean perfection . we ring reception ask switch .. 's conventional shower ! guy reception not good english speaker boyf end go downstair speak he . overall , hotel clean , staff polite ( apart one lady give attitude concern deposit ) location think fine . 's subway station 4 min street . thing frustrating lack food option . restaurant site not get chance go vend machine . order Dominos first night cos boyf phone -lolanyway , emergency stay probably would stay know exactly expect : key , shower , location etc would much well prepare . I would recommend place someone low budget not fuss extra bit get nice hotel . 
 Mar 9 2008 	 cheap Price Cheap hotel 	 teen come back New York stay Astor Park March 5 March 8 , 2008 . concerned negative review hotel try change reservation late . overall , hotel rate 2 star worth 2 star . room bathroom clean ( although carpet need change ) . first room view back hotel ( awful ) , ask change room do big room 8th floor . recommend hotel not want spend much stay , otherwise , maybe pay little well hotel . Astor locate near 106th Street , Broadway 42nd Street . 
 Mar 1 2008 	 extremely good value 	 stay Astor two night February . search internet find good rate , USD80 / night / room incl tax - that´s hostel price - didn´t expect much . arrive late , well take care man reception friendly doorman Hamilton . get room 9th floor , obviously recently renovate . room really large , dubbel bed bunk bed , perfect family . small , nice clean , bathroom . even considerebly high price , would bargain . steal ! imagine , though , room attractive . lucky enough get room , low rate , make one good hotel deal ever ! 
 Feb 26 2008 	 outstanding - clean - Good Value 	 recently stay Ator Park weekend trip New York City . read review online unbiased person , decide give establishement shot . good decision ! lobby clean room also . bathroom exceptionally well maintain clean . unlike botique hotel stay one exception . pipe heating system hair nosiy get past little hurdle great place stay unbeatable price . Astor locate safe , clean neighborhood west side central park . worth $ 75.00 pay night stay short taxi ride stop subway heart , TIMES SQUARE ! 
 Feb 25 2008 	 Basic 	 first impression awful , dingy ' reception ' appear local Mafia charge . room ( triple ) small acceptable although take air freshener dispell musty smell . room clean fresh towel every day bathroom would place Holiday Inn . heating erratic noisy 5 wheeze back life . overall represent value money pay much . hotel really designate backpacker hostel . 
 Feb 22 2008 	 Hotel ok 	 short review hotel , first would like say hotel clean tidy find staff helpful friendlythere much hotel except small room downstair u get drink vend machine use internet accessThe room hotel small basic , heating make lot noise light sleeper affect , also hear tube go also pain , heavy sleeper like fine . lot space hang put clothe kinda live suitcase five day , lift also mind lucky fit 4 people without luggage , luggage lucky get two people hotel distance attraction midtown downtown , central park two ½ mile long hotel base right top park right next harlem taxi mid town cost $ 10 - 15the hotel try sell taxi ride back airport around $ 55 - 60 book super shuttle bus internet go cost $ 8 per person way book new york air port shuttle bus servicethis hotel ok go to day want get head , New York lovely place lot see , lot walk New York prepaire take comfotable shoe i.e trainer would besthope great time question please hesitate contact lisajane100 @ hotmail.co.uk try help good canjust one thing , give deposit $ 100 dollar per room arrival , do not tell booking 
 Feb 19 2008 		 stay hotel 25th 28th january prior holiday apprehensive stay hotel review quite concern . yes ! heating system unpredictable . arrival room extremely cold necessitate we move room night heat extremely noisy . plus note , bed bathroom clean . ideal area stay , long walk mid town . 
 Feb 9 2008 	 Noisy Astor Park 	 stay 2 night 24/25th January 2008 problem location bus stop opposite hotel tube station close , room clean comfortable bed , good shower , view room keep blind closed , go ny spend time room . long day travel Scotland decide walk central NY take 45 min . take local bus back hotel arrrive back room 10.30 pm -5 degree outside room heating , go bed tired , waken 4.30 pipe bang clanking till 6.30 heating go mean loud sleep impossible . glad 2 night would recommend hotel spoil time New York 
 Jan 17 2008 	 great little hotel overlook park great view skyline ! ! ! ! 	 come back New York 9 Jan 2008 spending 5 night . hotel fine ! problem , apprehensive reading review , stay near theatre district last time , pleasently surprised . ok Plaza , not pretend be . it bit way , grateful night quiet room Central Park West side sleep window open . subway great way get round , station 103rd street 3 block away ( approx 5mins walk ) get 7 day pass $ 24 . take approx 25 min get Battery park right endthe room self fine small comfortable , expect posh hotel ok , hotels New York small room really sleep ! find room little warm like leave window open night , noisy plumbing- honestly say hear morning people use water , would shut bathroom door could not hear ! ! staff helpful friendly . room clean daily fresh towel toiletry . the view window great central park opposite skyline reach window , problem window dirty outside , suppose expecterd busy city ! ! ! night would get taxi approx $ 10 one waygood tip , book Tavern Green , magical experience , pricey might think ! ! ! remember great time , happy ask hotel staff ! ! ! 
 Jan 16 2008 	 cheap clean 	 stay four night Jan 3 - 6 , 2008 . get great deal via Hotels.com ( $ 80 / night ) . room small clean shower hot . first room leak radiator , tell front desk move next day different one , problem . overall , staff friendly helpful . usually leave around 9 am , return 11 pm , need place sleep fit bill . like walk Central Park , bus stop outside hotel , subway near . come NY city hotel , would rather spend money show meal room , place perfect . 
 Jan 16 2008 	 dump 	 two double room that s say paperwork . one room small climb bed enter room climb back visit bathroom , well size still small radiator leak hot water obviously long time carpet soak middle room . the plumbing noisy room impossible sleep . we view rubbish tip . after one night demand room change , get . next room slightly well , thank goodness two night . this without doubt bad hotel ever , fact hotel way would describe place , pet leave well accommodation . dump stay .this place ruin stay New York tired . 
 Jan 11 2008 	 clean friendly little gem park ! ! ! 	 want 5 star luxury Astor probably want clean comfortable room , friendly helpful staff subway opposite ideal . we use hotel base although bit beat track subway cheap easy use run 24hours- daily ticket $ 7 - bus also run past hotel . there nothing flashy astor- pretend luxury hotel really enjoy stay money spend christmas shopping , show meal cheap break . a delightful surprise view room . blind window decide raise get light room wow- spectatular view ! ! entire Manhattan Skyline -- will not get well view 5 star hotel ! ! ! ! check photo ! ! ! spend lot time window- great day breathtaking night- alone make recommend Astor -- little Gem park 
 Jan 7 2008 	 spend money shop .... 	 12 year old daughter stay hotel December year . yes hotel basic , clean enough . room small adequate 2 . agree people comment fact sleep hotel pay lot . get reasonable deal fly American Airlines , excellent masse room plane . the hotel quite way hustle bustle Manhattan peace welcome . we suffer cold room ask extra blanket get straight away comfortable . I little concerned go get hotel first night 's long walk back hotel try subway . pretty cheap reliable . travel various different time day night never feel unsafe even get wrong train end Harlem . please use subway , be far easy way get around . shopping would expect fantastic New York . try Macy 's , Century 21 Armani Exchange ( Time Warner building ) . Bloomingdales UGG 's , lucky enough get . finally tkts time square really good deal theatre ticket . New York brilliant . one word warning , find exchange sterling dollar little difficult . finally find strange place 5th Avenue exchange rate really poor . spot Travelex times square near end holiday , bank , unless customer HSBC will not exchange currency . last word , try Virgil ' Times square dinner , be great , large portion , good quality , reasonable value . look tourist tat , try RAG . always , always pick leaflet , lot offer cheap money voucher . New York brillaint . 
