North 	 always stay hotel visit Vegas get comp room , every time notice bit piece snack leave behind room . example , night stand , table chair , corner room , tv armoir .. find cheerio pretzel time ... apparently , maid might rush clean room , not leave roll toilet paper laundry bag ... call someone bring room , not happen long time ... besides thing , always enjoy stay Bally 's room big , 's good location . order room service breakfast , come timely manner , portion okay . we would recommend Bally 's anyone look good size room location . 
 Great Location 	 go Vegas stay ritzy hotel , place . yes place run chip furniture snag rug , bed fresh sheet bathroom clean . price place hard beat . hop skip jump away everything even partial view Bellagio 20th floor . germaphobe clean freak yes wear sock walk across floor , would stay next time ' m town . 
 picture say 	 stay room 7008 south tower . room dirtiest , raggedy chair old chip shabby furniture . take photo request new room get problem . true room inexpensive strip hotel disgusting . 
 Great Loaction good price ! 	 partner stay friend begin November 3 night request near put 3 seperate floor , speak next day move hassle . staff check fine . do not really anything rest staf hotel can not comment . first room massive could party . second room still big huge . bed ok , good stay clean . see people mean window dirty , second day clean really notice , much well . spa Ballys amazing , attention detail good tender need , question ask . overall would say hotel good . vegas room explore party / gamble . loaction great right middle everything . would stay budget . 
 good deal friendly people clean back Ballys ! 	 Vegas 15 time , second time year . stayed & quot ; low star & quot ; hotel right 4 star MGM . Ballys good deal ever . book Westjet Vacations Nov 14 - 21 , get return flight , hotel taxis $ 1200 wife , $ 400 credit Westjet . actually pay $ 800 7 night stay airfare taxis Regina , Sk . Canada . know Ballys older , surprize . right time arrive Valet parking ( always rent car ) Valet cheerful , happy , helpful . ask Bellman take bag store untill call room deliver . delivery bag take less 5 minute . checkin breeze . 10 minute max . go look room not ready yet . ( 7 pm ) unusual , see room get , said & quot ; would wait & quot ; . hahahaha . come back hr WOW ... large , clean great view 25th floor . 2nd room MGM year ago . PROS : * everyone pleasant , cheerful , smile , helpful , like royalty . never experience comfortable greeting helpful people hotel Vegas . large room , clean , great location . right smack dab middle strip . * cost . * connect Paris . * great eat everywhere . food great . * room super quiet . * floor ceiling wall wall windows . view . con : * coffee maker , ( knew always bring coffee maker Tim Hortons coffee coffee casino shop expensive like early coffee pajama hehehe ) internet expensive room , kiosk everywhere use $ 5.00 15 minute must . go Vegas surf web ? people put hundred dollar slot machine blackjack table complain internet cost ... sheeshWe would recommend Ballys . J.Knox 
 sep 23 2009 	 Stick dynamite anyone ? ? ? 	 need say anymore . place need demolish build . everything wrong . entrance , layout , staff , reception , decor . arrival , follow 5 hour drive , meet grumpiest receptionist ever encounter . fair mariachi band play literally end reception area . unable hear say name take passport ! tell non - smoking room leave put suite one night , move next remain 4 night . ideal inconvenient understand thing happen . get upgrade suite would think would lucky see opther half live night ..... wrong ! vile room ever see . durty decor outdate , think old . tv safe rip wall , socket hang . vast room ugly furniture ever see spread around wall , mismatch lamp , disgust armchair . top , add 1980 's adult movie theme jacuzzi tub sit top 3 stair next bed lead bathroom . tacky ! bathroom area , dirty , awful . tile base shower cubicle see well day ( probably 1981 ! ) towel . suite would hate see room planing move we next day . book stay 5 night stay less 14 hour ! check headed find well hotel . make terrible mistake book hotel . think location would make good choice . please do not make mistake we . pay little bit extra somewhere else . staying could possibly ruin holiday Las Vegas . 
 Sep 15 2009 	 price right ! ! 	 second year row stay Bally 's great ! go Price Right ball ! room clean always refresh . plenty room pool . cocktail waitress much well compare casino . back ! 
 Sep 15 2009 	 fancy solid 	 stay four night buddy mine long weekend Las Vegas June . got great rate Orbitz , pay $ 210 ( tax ) four night able get upgrade much nice North Tower , room much close 3 1/2 star 4 star rating Bally 's Hotel get . still nothing fancy room ( north tower ) par Hilton property . North Tower room also tend well view strip . one positive Bally 's shuttle Las Vegas Airport tend one first stop zone , one last place get pick bit close airport , be much wait involved bus . check line long prepare , good spot - location can not beat across Bellagio , Bally 's not buffet give coupon use Harrah 's , Flamingo ( excellent buffet ) , Imperial Palace ( cheap good ) . Paris also next door buffet fancy . plenty club nice pool within walk distance strip , like jog map recommend jog route guest directory appreciate . all would stay whenever price right ! 
 Sep 14 2009 	 Fun Vegas 	 stay Bally 's Labor Day week . arrive 10 be not able check 4:00 check time . even room not show & quot ; ready & quot ; . upgrade cost without ask . Bally 's not update hotel / casino strip centrally locate . like rest Vegas nickle dim everyone death internet access , various cost hotel . use pool every day stay staff attentive . great visit consider Bally 's next visit . 
 Sep 12 2009 	 okay good 	 stay three night Bally ' Las Vegas girlfriend . another couple go Vegas free room able get we deeply discount rate . rate , find Bally ' acceptable , certainly memorable property . we stay South Tower . room large pretty banged . Carpet , furniture mattress well past prime really need replace . ' recall last time sleep hotel mattress slope middle wear . tv mid - size tube variety decent selection channel . bathroom fine equally large . Harrah ' definitely cut service level Bally ' save money . Sports Book close , go Paris place bet . also , total Rewards desk Bally ' close . could get replacement card cashier cage head back Paris transaction . exactly full service hotel experience ... gaming horrific . 7/5 Video Poker . 6 - 5 Black Jack . high Minimums . go downtown local casino want gamble . worth Harrah ' property . we eat Bally ' Sterling Brunch Sunday . excellent . we rave quality food champagne . well worth $ 85 treat Sterling Brunch . also , really like bartender two casino bar . consistently friendly quick drink . Valet Bell Desks provide fast , efficient friendly service time . all , visit Bally ' fine . good location , good rate , however , several well property Strip ( Monte Carlo , TI ) comparable price prefer would unlikely return Bally ' . 
 Sep 11 2009 	 horrible experience .. ever ! ! 	 hotel terrible ! would never stay ! ! room old dirty ton carpet stain ! ! first hour repair hotel man walk without knock say : need replace air conditioning vent ! ! complain hotel manager think nothing ! ! leave soon could , would better one star hotel . place customer service awful ! ! stay BALLEYS . awful ! ! 
 Sep 7 2009 	 Nice room need Renovation 	 stay South Tower room face pool Eiffel Tower Paris Hotel next door . nice view . add bonus could see good portion center Bellagio Waters hear music tv mute . room bathroom big bedding nice comforter vs worn blanket . room look like see well day . carpet need replace since gap noticeable even hallway floor . ' m recommend hotel location strip . also receive booklet discount freebee use go Eiffel Tower free 2 , two free drink Rio nightclub 51st floor . 
 Sep 7 2009 	 Vegas go hill . 	 look Hotels Continental 's vac package & amp ; decide Ball'ys would good place go 45th wedding aniversary . package coupon come room . base settle Bally 's . first see Penn & amp ; Teller & amp ; go Improv . case recieve poor seeting meny good seat leave . go reserve seat Legends Concert mention poor seating receive . tell use coupon would received class & quot ; B & quot ; seat . apparently mean worst available regardless many good seat leave . real disappointed coffee pot room & amp ; small cup coffee lobby close $ 4 cup . & quot ; nominal & quot ; charge internet $ 16 day & amp ; safe $ 5 $ 6 day . want bungee cord player 's card ? available gift shop . ( nominal fee ) .The casino way small number room available . also apply swim pool . Bally 's part Harrah 's groop , along Ceasars , IP , Paris , Flaminngo , & amp ; Rio . one move freely shuttle foot . Coupan book give discount card good . good slot pay ticket . move around wound pocket full change one want . my title & quot ; Vegas go Hill & quot ; believe problem confine Bally 's . local ( cab , shuttle , & amp ; bus driver , waiter , & amp ; local wait bus agree Vegas well mob charge . one great thing go Bally 's 's proximity Ellis Island . good place eat Vegas . thing not change . 
 Sep 7 2009 	 25th Anniversery 	 great bargin . location , location , location . first visit Vegas Ballys super . room huge clean bed comfortable room part quiet . casino could use video blackjack wife location make . 
 Sep 6 2009 	 Price Right 	 Fun show scam . decide go not disappoint final showcase turn thousand dollar less would expect . 
 Sep 1 2009 	 Great Location ! ! ! Great Room ! ! 	 vacation nervous upcoming stay Ballys read so - so review . will say enjoy stay Ballys much . check line bad . reserve South Tower get North Tower check -in additional cost . room Great ! ! large clean . bed comfortable . bathroom huge well spotless . Location Ballys wonderful ... right middle everything . pool nice size .. complaint . pay $ 49 1st night $ 36 2nd night . . good value think ' ve ever hotel room 
 Aug 31 2009 	 theme good value 	 get back Bally 's Las Vegas . first time go 10 family member 2 family friend . get room together nice not call ahead , would difficult . nice room newly renovate non smoking . veiw ok mountain Planet Hollywood 's new tower . think Bally 's excellent location great value . really want somewhere lay back stuffy ( bellagio / wynn , nice uptight ) feel like Bally 's good medium . pool great , never problem find chair , although nothing special prefect visit . good thing location , we , close Forum shop Ceasars great go & quot ; & quot ; Bellagio , Peep Show Planet Hollywod , walk not far . would stay price location . 
 Aug 26 2009 	 would stay .. 	 pro con . con not take room upgrade unless plan pay . total Rewards Card , use every time eat , gamble etc . 5 day receive grand total 16.20 reward end , call Total Waste Time instead total reward . Food Vegas ridiculously overprice , include Ballys . room upgrade take great . room clean every day , problem towel etc . room safe work great , problem either . staff Ballys great . pool great , service drink . tell check debit card going charge $ 100 per day every day trip . 4 day trip , charge debit card $ 400 check tell . find day leave ask , tell ' charge privledge ' hotel . 25th floor never wait 1 minute elevator . employee keno room superior , well Debbie cocktail waitress pool . let we check 10 am . look Luxor , New York New York also , price range Ballys . however trashy , lot construction go . glad not stay . food deli great , overpriced . order room service breakfast every day , within 20 minute . continental breakfast ( plate danish , large juice , pot coffee ) side order hash brown sausage cost $ 25 , plus $ 5 tip , $ 30 breakfast every day . Sbarro downstair extremely overprice , plate spaghetti cheese ravioli , 2 pop $ 30 . sport book close remodeling never tell prior booking , course reopen day leave . total reward , total inconvenience . lady check give we impression use reward card would compe room upgrade not happen . complain comp 2 nite room upgrade ( 22.40 per nite ) think fair . would definately stay Ballys . 
 Aug 25 2009 	 one Worst Hotels ever 	 stay Ballys 8/18 thru 8/21/2009 disappoint . room need upgrading . carpet dirty , kid run hall yell , people slam door ! noisy hotel . bed uncomfortable , pillow hard rock . ask soft foam pillow recieve 2 like marshmellow . would ever stay would reccommend anyone . Vegas big rip ! ! food outrageously price drink extremely price . think cheap pay mixed drink $ 9.00 ! ! ridiculous . 
 Aug 25 2009 	 great value excellent location 	 ' m glad not read review go would worry unnecessarily ! hotel come part package - two one night stop either end pick RV touring round southwestern state - not choose real interest Las Vegas destination can not comment casino show not visit ! however , satisfied hotel ( be picky ! ) - first night upgrade two standard room two suite ( not ask ) suite amazing ! spotless , enormous , pile toiletry fluffy towel , sink bath , three huge screen television one separate room quiet . faultless . for second night standard room lovely - clean , quiet , comfy bed , nice toiletry , lot hot water .... pool bit walk away full patchily sunburn young people smoke drink one end big deep enough get away they . the noise lobby casino annoying easy enough get away check staff helpful pleasant . we not eat hotel go Harrah 's buffet times great used hotel 's discount booklet get $ 20 time . I would not go back Las Vegas ' ve would definitely recommend hotel . 
 Aug 24 2009 	 Bad Choice Gaining Revenue 	 six we return Bally 's Las Vegas . 8/20 - 8/23/09 . first would like mention much food liquor whole town Las Vegas go . ridiculous . omelet breakfast Ceasar 's $ 17.99 . really rape public . check Check lady nicel ; however talk we upgrade South Building North Building $ 20 / night . say room beautiful upgrade compare South Building . long story short , decide upgrade 3 room . get room , really disappointed , furniture new , great , change curtain , upgrade . carpeting dirty wear , , one chair table ws filthy , truly warrant $ 20 / night charge . next morning start shower , bathroom less amenity past 28 year go . short towel , lotion , shower gel , shower cap . little thing . bath , cabinet paint chip away , exhaust fan , real bad , hook wet towel , showere curtain go top tub , shower whole marble floor get wet slippery not enough towel , struggle rather luxury . disappoint . go complain , long line , everytime go desk long wait , keep put fault . remove 2 upgrade charge , point , would minded charge would delivered check lady push . we love Bally 's , sure stay . would recommend hotel , upgrade , worth . 
 Aug 21 2009 	 excellent large room Great Pool 	 room massive , high quality funishing clean , could not ask . hotel staff great everything could make stay enjoyable . 
 Aug 19 2009 	 Great Strip Location ; Great Hotel 	 reason stay location , smack middle strip want . casino smell heavily smoke comparison other . room definitely basic extra coffee , refrigerator , etc . bed pillow kind hard flat . shower head work sporatically . course , carpet look bit dirty . great view , least quiet room . pool long walk nothing spectacular ; spa cold apparently work . large fight pool area surprise lack security long response time get staff . felt pay much stay plus location . connect Paris , really liked end go time play eat . Tower Experience Paris worth - great view ! 
 Aug 16 2009 	 excellent location nice clean room . 	 have not stay Ballys hotel pick location . well positone strip . Stayed Bellargio know opposite . enjoy stay much bellargio . free internet , fridge bar room . Ibelieve hotels strip charge net strip need fridge room . ideal position next door paris hotel go tower . night good view & amp ; light . disappointed room view . ask strip view & amp ; get train track view . still enjoy stay alot cheap bellargio . Lorraine & amp ; Paul U.K would go back , could not fault £ 36 room not . 
 Aug 16 2009 	 nice 	 girlfriend stay Bally 's 5 night August . check quick we see long line throughout stay reception area . upgrade north tower without ask ended room fridge coffee maker . room clean spacious . may need update work we . like fact Bally 's connect Paris hotel find eat Paris ' buffet twice , listen music piano bar munch pizza deli shop several time stay . Bally be locate centrally many hotel make easy hop one place another . terrific stay would return . 
 Aug 15 2009 	 outdate 	 Overall stay disappoint one positive thing say customer service front desk check . friendly , 's positive feedback stop . many negative thing stay many hotel Las Vegas come attention detail . 1 ) Bathroom not clean hair sink , tub floor ; 2 ) Room would great 1980 's , be 30 year later need updated.3 ) Bed flat cushion , pillow lack pillow cases4 ) tv balance nightstand outdate 10 years5 ) appear one point purchase bulk furniture another hotel item not match6 ) elevator key light 50 % time floor up / down indicators7 ) great view top rusty pillars8 ) window elevator lobby may wash within last 10 years9 ) pool terrible . vegetation die leave , one fall hit girlfriend sit pool . music would great Top Gun movie time period today . umbrella . gum stick bottom chair life guard stand . 10 ) Friends toilet not work . stay different room.11 ) conditioner body wash soap . in conclusion would not stay Bally 's Las Vegas . maybe North tower well not want find . appear ' ve spend lot money make Paris look nice , detriment Bally 's . 
 Aug 12 2009 	 great place stay 	 be like step back time . staff can not nicer . Harrah be send people train . abad trip April Rio Harrah 's Reno never go stay Harrah 's go back Bally 's great time . win money great time stay . always stay Bally 's 6 th . time not know stay April never go anywhere else . stay Bally 's staff treat like old friend great time . 
 Aug 11 2009 	 nice stay 	 recently stay ballys las vegas aug 3 - 6 . travel cousin first time vegas look good location strip . little concerned read review hotel even consider find different hotel . come vegas husband stay belliagio . ti , ny rio . arrive monday around 5:00 pm line check , desk clerk nice make small talk us flight vegas . stay room 757 north tower . satisfied room , clean , temp perfect even turn thermostat a / c work great . room spacious 2 queen bed , 1 desk ( work station ) oversized chair . floor quite , sure anyone else floor . compliant would water pressure shower well work window could little clean , picture take day time spot . valet staff helpful every time leave ask need direction anywhere usually short cut help alot . really do not eat resturant hotel ( pizza place sbarro good ) . check line fast check problem . glad stay do not change hotel . would recommend hotel / casino . 
 Aug 11 2009 	 hotel great we ! 	 doubt take 9 young people hotel , review seem negative . however , room huge ! clean hotel maid friendly accommodate . hotel big , like , yes full slot machine hey , Vegas ! check quick , helpful staff . pool busy nice , great food offer etc . there also suprisingly good variety shop hotel , particuarly shoe shop base downstair ! party girl find hour ! buy lots shoe , good variety cool choice ! food quarter great . oh business centre also base walkway Paris helpful jump internet cheaply ! also , location wise , hotel perfect , 5 minute walk walkway hotel Miracle Mile Mall ! perfect ! 
 Aug 10 2009 	 deff plus ! 	 honestly keep read bad review , decide give try , seriously AMAZED . book room thru vegas.com get great deal . Valet parking free , go thru check less 5 min . express check thru tv . staff nice , bartender kinda rude , old . bathroom great condition , mold , chip , nice . bedroom veryyy BIIIG . ( friend stay MGM , pay room half size . surprising ... know ) king bed , comfortable pillow . even buy pillow take home . tv bit outdate , care like staying room ... VEGAS ! ... lol . order food , great , nxt time well skip . great view strip , window bit dusty ... lol . overall ... would stay . deff PLUS ! in - expensive ! : 
 Aug 10 2009 	 fancy shabby . right relax . 	 boyfriend always come . 's middle strip walk either way not kill . check staff willing help question . room comfortable maid take good care we . casino floor keep we busy hour end . ' ve see couple emergency staff handle well . sometimes get drink slot machine take awhile , 's server fault cutback . notice casual eat place suffer staff cutback , 's economy . overall , want someplace simple , place stay . 
 Aug 6 2009 	 great location great value great pool average room 	 enjoy stay Bally 's . room nothing write home , clean enough . not get smoking room unless chimney smoker smell like death . get one move . Bally 's old need renovation price cheap , care ? actually , prefer old casino thing cheap charm . the restaurant fine . little sandwich shop South Tower elevator really good . the good part Bally 's connect Paris shopping mall . give two casino price one bunch additional restaurant . burger Brassiere ( whatever ) really good dessert place . Most night stay Bally 's gamble . ton well know hotel right nearby want journey , bother ? great big casino go lose money soon sit . least Bally 's get plenty free drink actually play $ 20 slot machine awhile . the pool great . big warm enough . deep end plenty chair space . 
 Aug 6 2009 	 not stay hotel ! ! ! ! ! ! ! 	 stay spouse past week , stay Bally 's terrible . one thing , water shut one morning , husband could take show first day ! secondly , king - sized bed available , request one reservation six month trip ! ! thirdly , thermostat work well , temperature room get cool balmy 75 degree . check , front desk ask we like stay , tell not happy stay , said & quot ; sorry that . & quot ; not even ask we not like . 
 Aug 5 2009 	 would stay 	 reading review little concerned reservation anniversary . check early line long quick . oversized room North Tower great ! next time Vegas definately stay ! ! 
 Aug 5 2009 	 Excellent trip 	 not gamble like high roller - bet pony , love texas holdem , slot . receive offer 2 free night July Aug combine offer 6 night . compe July 29 , 30 , pay $ 29 31st Aug 1 , compe Aug 2 3rd . arrive 11 airport - ask could least register - desk clerk polite assist - tip $ 20 ( definitely deserve - tip every one else desk clerk ) . find room ready North Tower - compe South able get room immediately . never meet come contact anyone unfriendly . stay Bally 's quite time past surprised hear negative list review . personally never problem Bally 's . glad away bottle water room charge past never drank - call front desk charge remove . one computer glitch time $ 11 room reservation charge - appear 4x bill instead 1x - extra 3x remove bring desk clerk attention . location perfect , casino large get lose , find short cut Paris ' sport book - go front entrance - walk leave past taxi stand - walk thru passage mark visitor parking - 's entrance Paris - Sports Book right next bar . beat walk thru passage shop Bally 's Paris fighting get past mass people . glad open Bally 's sport book . thank people poker room - tell one guy would mention name review request will ( hey J ) . also drink girl Paris 's sport 's book cute attentive . morning coffee - would ask ready Heineken . absolutely great ! back ! ! ! ! 
 Aug 4 2009 	 spend couple extra buck stay somewhere way nice 	 go Bally 's 4 night June . town wedding decide stay rest wedding guest party Bally 's . room nice - except coffee maker , hate lobby . line check terribly long stand pretty well right casino - seem especially loud even casino . also take extreme amount time walk room street outside ( atleast 20 minute 30 ) also get pretty irritating . 
 Aug 1 2009 	 happy stay 	 go vegas family freind stay bally 's ..... compe stay give we really cheap upgrade . room clean good size staff great bar , casino hotel staff aswell . also air con work really well ( thank god lol ) . construction strip fromt u could not even hear anything . recommend drink tequilla bar , however do not recommend see jubilee show much . happy vegas altho thing suffer bit due recession be not quick give free thing still great trip . 
 Jul 31 2009 	 Nice Stay 	 return 3 Night Stay Bally 's . select Bally 's reading review Vegas time want Strip . upgrade North Tower HUGE , clean , lovely room . not overly impressed check - in Staff , rest staff speak stay pleasant helpful . excellent service Patrick Tours / Show Desk . set we fabulous Grand Canyon tour could not nicer . even remember we two day later ! liked fact Bally 's connect Paris complaint pool area noise Monorail . otherwise nice stay stay . 
 Jul 31 2009 	 Summer Vegas Location important 	 choose Bally 's location Cirque De Solei & quot ; & quot ; . summer heat not make sense walk outside not . take $ 20 upgrade North Tower , bring price $ 99 first night $ 79 second night . room clean cool roomy enough 3 we . stay inside shop Bally 's , connect Paris walk shop . take outside overpass quick easy Bellagio Caesar 's Palace , location value plus . 
 Jul 28 2009 	 treat like Royalty 	 wife come 5th wedding anniv 30th b - day , never treat like ! ! ! quick check - in less 10 min took sign great trip ! ! ! eat al - dente sever john one good sever ever good job food cook perfection , top special desert , even constuction quite , still easy get casino ! room ! ! ask grade room perfect every way ! size , cleanlyness , view beautyfull , wife stay till day close hope do not ever happen ! ! ! 
 Jul 27 2009 	 one good 	 great location , love choice restaurant pool amazing , good hotel easily good value $ $ 
 Jul 27 2009 	 First Time Vegas ..... Bally 's great 	 first time Vegas everything go smooth . first concerned limo pick us airport ask , say Bally 's say , OMG , place still open . husband look like .... ? check late Sunday night get right . give room number husband ask could upgrade suite 30th anniversary clerk helpful put we North Tower . needless say , blow away room make we feel like celebrity , view , tub , bed comfortable not want get , room clean , easy access Paris ..... two thumb ! would definitely stay . 
 Jul 23 2009 	 Decent .. problem might stay 	 first location superb ! within walking distance everything right middle strip . my husband stay Bally 's July 4 - 7th . comp have south tower room check ask North Tower . room 25th floor decent . part clean , large Vegas room would fine we , little run complain free ? major complaint problem shower . shower drip , run faucet 3 inch away wall . call fix , fix faucet shower head ( really look like need good clean bc much build ) . also horrible mold / mildew smell bathroom . issue every night disturb sign would go miss 8 housekeeping would come walk either sleep get ready . problem big enough keep we come back comp have room . 
 Jul 23 2009 	 surprise $ 49 / night nice 	 great location , nice room ( even though little outdated cozy ) , good service . complaint try get sleep , across Bellagio water show music night loud get sleep . , employee nice . room clean . center strip . walk thru Paris ( connect ) get Miracle Mile shopping mall block away close shopping attraction . 
 Jul 23 2009 	 great location 	 Bally 's always great location , vegas always long check line Bally 's exception time . staff friendly service excellent 
 Jul 22 2009 	 stay Harrah 's next time ! 	 book trip Bally 's Expedia . deal 2 free Jubilee ticket well . ' upgrade ' upon check ( 1 hour wait ) . sit room write still perplex upgrade mean ? break desk lamp , dead phone , coffee pot room ( Standard every place stay ) . safe $ 3 day store personal belonging . coffee bar stair $ 14 two cup coffee two banana . not mind folk make buck two not think need buy week 's grocery . find Planet Hollywood Miricle mile shop plenty option eating eat Bally 's . food overprice stale Tequila Bar Grill . will not back . 
 Jul 21 2009 	 Brilliant stay ! 	 stay Ballys 4 night 4th July weekend . could not believe luck queue check , day follow see huge queue , altho ' fair least 9 10 people check folk . take $ 20 night upgrade North Tower , ' m glad - room enormous spotless , well worth money . view mountain airport night sleep soundly quiet - lovely ! Location ACE ! right across Bellagio fountain , Caesar 's Palace , not even go outside get Paris ! miss coffee maker room , Java Coast lobby . noise machine loud , find really smoky - thought Scotland would healthy comparison ? ? ! ! ! ! Ballys leave we helpful information sheet morning , warn construction work , advise we way check quickly offer half price ticket Jubilee , go see , albeit early show 17 year old tow . love , maybe ' m sucker old style singing dancing show ! act fab , be quite spectacle . pool quite walk away , worth get . however , tennis court worth - $ 20 hire court , $ 10 racquet ... not know much tennis ball , stop listen ! find outrageous - luckily 106 degree nobody could bothered playing . we check early morning , queue , hurrah ! stay four different hotel holiday year , Ballys one leave smile ! would recommend Ballys happily , location can not beaten money ! 
 Jul 21 2009 	 Review acount daily 	 reserve two room pd depit visa 4 nght go shopping later find pay another four night next day decline make sure keep eye open account do not experiense ! ! comp 100.00 inconvience take back do not use ! ! end treat really rude ! ! speak Reggie diamond center RUDE.JOEY Front desk RUDE MANAGER JOSE RUDE ! ! customer family far customer service would rate 1 ! ! ! ! ! Patsy Freeman 
 Jul 20 2009 	 excellent location value 	 despite read numerous bad review Bally 's , rent 2 adjoining room July 4th weekend , travel 2 adult son . room airfare weekend pricey , Las Vegas quite crowd . 5 minute check - in line , tell room South Tower . remember reading get North Tower . room available , without upgrade fee . 2 South Tower room ( 14th floor ) wonderful ..... clean , spacious , overlook Paris pool view Eiffel Tower Bellagio fountain . hallway always clean , housekeeping great never encounter one rude employee . ' m glad believe bad review . family stay MGM , Excalibur Venetian . Bally 's outstanding location th Strip , connection Paris wonderful bonus . 
 Jul 20 2009 	 great hotel @ cheap price 	 stay Ballys friend mine . week . stay deluxe room . really worried review previously read , perfect we . room spacious . housekeeping point . come clean different time everyday . somehow housekeeping know would leave room . even short period time would come clean quickly . still not figure . suspect cameras room hallway , otherwise would know . room clean well . would great room microwave refrigerator food Vegas EXPENSIVE . buy single bottle water soda go cost $ 3 hotel . travel good travel Deuce . city bus take ever need go . get pass 24hour $ 7 . great cab cost double price depend go . catch deuce target similar super Walmart . buy thing much cheap hotel charge . Ballys great location . complaint check - in time long . two people front desk check people . really bad . tour hotel check process MUCH quick . careful Vegas people try get money way . lie tell one thing , get totally say . fun . enjoy Vegas first time . probably go back year . 
 Jul 20 2009 	 Shabby 	 stay hotel LV , think would give Bally 's try . 's centrally locate 's thing would give . book room north tower . check noon since clean room , wait almost 4 pm . problem , go long lunch . finally get allocate room , open door see assume Bally 's suite sort . front center Murphy Bed .. room smell musty furniture look like come scratch dent sale . renovate thing appear bathroom since bathroom replica next room give , tend think renovation mean bathroom only . we request another room smell unpleasant live 4 day - room regular queen adequate . we wander promenade hotel disaster . paint peel concrete floor , sport bar business black shop close . walk hotel around Bally 's really make aware much hotel deteriorate . restaurant would recommend hotel - eat pizza joint nathan hotdog , place locate pool level , lazy moment tired could not bother go somewhere else eat . I would recommend hotel anyone well deal around . think Ballys make 's mark 's location 's . place shabby - nobody really care . redeem quality location fact charge resort fee . get room ' special ' rate $ 90 per night decide motel 6 room worth plus tax . deal go around strip day , could do well . 
 Jul 19 2009 	 love staying ! 	 not worried negative review see ... Bally be great ! room ( North Tower ) clean huge , bed comfortable , price affordable , staff courteous prompt . combined great location , Bally 's perfect hotel relax explore rest strip . play slot , thing not like Bally 's selection slot . go elsewhere gamble ... mostly Paris ' casino , easy walk distance . stay ! 
 Jul 18 2009 	 Great Vegas trip party 10 	 group friend want middle everything Bally 's perfect . room great North tower . put we together Deluxe type room $ 20 ( actually $ 40 ) sandwich get we upgrade ( 5 room ) nice check - in . great connect Paris eat meal ( buffett great breakfast ) . pool fine maid service wonderful . also , shoppe Miracle Mile Planet Hollywood nice find close walk . overall . good mix customer Bally 's much well feel Harrahs , Imperial Palace , Flamingo type hotel similar price . 
 Jul 16 2009 	 great value great location 	 quick getaway Las Vegas stay Bally 's ( July 15 ) . could not believe inexpensive room Orbitz ( $ 49 ) , point somewhat nervous . not . none issue other mention surface we . check quick Michael grant request non - smoking King North Tower . room huge ! not modern have see , not badly date , either . bathroom recently remodel new tile & amp ; granite countertop . plenty towel drink glass . yes window filthy , hot not want shade open anyway . AC thermostat false ( say 72 , like 82 ) , turn , room perfectly comfortable . hotel nothing get excited , yes , casino smell cigarette smoke . location killer hotel - connect Paris across street Bellagio . 's perfect spot Strip . not like casino ? walk Paris , go across street Bill 's Bellagio . be right there . we also get coupon book $ 5 buffet Harrah 's property free admission two Eiffel Tower . save we $ 24 . , quite satisfied . 
 Jul 15 2009 	 Decent stay 	 first trip vegas . wife friend join stay hotel couple day . check - in take hour , enter room , lose frustration . clean much well expect price . service good room much big hotel stay . happy . 
 Jul 15 2009 	 excellent location excellent stay ! ! 	 come Bally 's 2 friend 21st birthday great time ever Bally 's ! ! hotel reasonably price convenient budget . problem check ( due problem company book UK ) Bally 's great help us - room huge great view strip include Caesars Palace - fault location right middle strip - food lovely reasonably price - would definitely come back 
 Jul 15 2009 	 not ! ! ! ! ! ! ! ! ! 	 Hotel need rennovate old smell . check guy not even look give greeting . dealer happy job . would suggest stay somewhere else even cost . never stay RECOMMEND BALLYS . opinion - good luck 
 Jul 13 2009 	 Unpleasant staff -- hotel good location 	 stay Bally 's Las Vegas one night mixed feeling casino / hotel . line check ( enough help ) check - in person say non - smoking king room book month advance available would take room one queen bed price . think minute realize hotel & quot ; down - grade & quot ; room ask speak manager . clerk ask ID , check manager say & quot ; room miraculously become available & quot ; -- able stay king room . check - in person sarcastic experience make dislike hotel . hotel good location rate good . casino seem date interesting , room nice . miss basic amenity extra towel coffee pot , overall good . would stay - get excellent rate -- would take advantage good location hang Paris Bellagio . 
 Jul 13 2009 	 coffee pot 	 can not believe diamond card holder coffee pot . every time stay rule change . 2008 ; Winter 09 yes June . Harrahs need put pot room . one not get room fast . 
 Jul 13 2009 	 great deal great location ! ! 	 stay Bally 's 4 night comp Harrah 's slot club , total reward . check flash $ 20 ( know $ 20 trick ) upgrade south tower room junior suite north tower , remodel tower . room view awesome ! room really big clean . separate vanity area outside bathroom , bathroom lot granite huge . bed soft comfortable . elevator quick . complaint water pressure shower lack . seem half water come tub part , even though turn show part . another thing think side face Flamingo , will hear street noise fire station far away . ' m heavy sleeper not bother , light sleeper , request high floor . overall , stay Bally 's great ! location good , casino quiet calm ( compare & quot ; hip & quot ; place around ) feel safe , even 3 am . would definitely stay ! 
 Jul 12 2009 	 great time great location 	 stay 6/26 - 6/30 . arrive around midnight upgrade suite free charge . move & quot ; room & quot ; next day though , , large , clean spacious . complaint room . everyone desk housekeep friendly . review read prior trip nervous , , worry ! wonderful stay . location excellent . 's central easy walk many place . would go would stay nowhere else ! 
 Jul 12 2009 	 could beat price value 	 stay 4th July . travel 2 couple . room large clean . check able put we floor room part . work great we . pool nice size . rent cabina good drink service . beat location . would recomend hotel . 
