's 	 •Clean•Good Location parade & amp ; museum , local food 24x7•close enough Subway lines•good mattress•desk helpful responsive•toilet close wall side , … & lt ; censored & gt ; … ( ' use ) •wind loudly whistle close / locked window one night•No window screen allow room cool w/o risk bird entry•Bed short – need queen size , room small•nobody desk time one morning 
 May 8 2008 	 nice STAFF 	 make reservation Wendy every nice lady ; know hotel go nice . arrive hotel seem small . checkin lady front desk funny nice , check 3 pm lady next hear hear look room check we room tiny nice . room smile clean sheet extremly white duvet . lady give we Godiva Chocolates note ( nice ) . go find everything close doorman say . ( looking not want leave hotel ) . question lady front desk short hair history hotel find four woman run show THATS CRAZY . arrive late night call front desk get ice unpleasant , UNATTRACTIVE , RUDE OLD LADY WORKING NIGHT HELP US . next morning leave hotel early ask name say CJ Cee - JAY CYL Cee later . rest staff EXCELLENT . never get supervisor leave hotel early come back every late , see front desk supervisor verry sweet professional want upgrade we one night , refund we night inconvenience want Know girl need help . supervisor give we sign card name & amp ; Ms. Blake get 10 % discount next stay ( cooooooooooooool ) . highly recommend hotel everyone . central park Museum natural history , Ocean grill , nice martin , shin star , Blond 's Bar , Evelyn Lounge , many , many thing weather nice . 
 May 5 2008 	 tiny room overheat 	 check Friday afternoon weekend . double private bath . room much big double bed . place sit bed . bathroom shower , shower door open ( room open ) one squeeze around door use shower . water pressure low . the room hot , turn radiator , open window help . return room Saturday night theater still hot , despite radiator day , outside temperature 50 . would hate think like summer ( a / c . ) doorman desk clerk pleasant , doorman suggest park street save cost garage . take advice problem . plenty restauarant area , subway nearby , although choose walk theater district back . feel safe street , even midnight . 
 Apr 21 2008 	 great location . extremely clean . pleasant room 	 Park79 good option . situate upper west side , short walk central park location safe pretty posh . stay deluxe room New York , think price okay - would not say steal think fairly reasonable . hotel clean room nicely furnish character . first time New York perhaps next time go , would try something mid - town slightly action two single girl New York , good safe option . staff quite competent . not bowl efficiency friendliness nothing complain . 
 Apr 14 2008 	 satisfy 	 spend week friend Park79 . three room en - suite bathroom perfectly satisfied standard cleanliness room . leave NY read review complain noise level . precaution mail ask room away street get . not strike W. 79th Street unduly noisy night . notice couple time someone hold conversation corridor could disturb , especially late night , be true hotel category . 's matter luck inconsiderate one 's fellow guest not much hotel . one party problem block toilet . happen several time different hotel NY imagine pipe old ny building inadequate modern day need . anyway blockage promptly deal next morning mean time friend give access one share toilet , quite acceptable . satisfied attitude reception personnel service general . lift antediluvian slow , work reliably little patience advisable . location ideal – one block Central Park behind Museum Natural History . plenty excellent restaurant nearby , especially Amsterdam Avenue . would certainly recommend Park79 , especially give ( Manhattan ) reasonable price . Alan Miles 
 Apr 11 2008 	 bad ... memorable either ... 	 husband stay 8 day , week Thanksgiving 2007 . never go New York spend countless hour try research good place stay , decent price time year . hotel choose , base multitude review , site , picture , etc . the PICTURES website mislead ... whatever impression get , know disappointed arrival , overall feeling room seem date tired , dark somewhat cramp ... specific : clean small room small bathroom ( private double ... ) fresh linen towel daily ; toiletry small generic . adequate heating , windows open get bit warm . view alley street traffic , depend room location ... desk staff concierge polite helpful necessary . bed matress generally uncomfortable ... ask neighboring guest - . elevator painfully slow . two adult , two average piece luggage , maybe one person squeeze time . often wait 15 20 minute go ... complimentary lobby coffee good , often cold ; least 5 - 10 block walk direction good food reasonable price . 's GREAT deli 7 block Columbus , towards Lincoln Center ... & quot ; Columbus St. Deli & quot ; ... great taste food reasonably price breakfast huge variety great people ! subway area , know use system go ! good station hang ... empty weekend ... walk across Central Park hour ... walk Times Square 40 minute . not bother cab ts ; will get hang Lincoln Center area traffic long take walk ! overall bad stay constantly go , probably try different area next trip ... 
 Mar 4 2008 	 fantastic quaint little hotel ! 	 come back hotel couple girlfriend highly reccomend 79 Park . excellent location although small , right size people come NYC explore city . bathroom stylish room clean everyday . really good value money . look hotel New York one ! one sugestion - affird one suite bathroom definately work well ... back next year ! 
 Feb 8 2008 	 great stay Park 79 ! 	 husband another couple stay first weekend December . third trip New York even though like location little close main attraction , pleased location . short walk quick subway ride get we wherever want go . book room two double bed . pleased clean room , especially like hardwood floor . doormen attentive hotel worker hospitable . would highly recommend hotel . 
 Jan 14 2008 	 Visitors Beware 	 ok , must start say area hotel GREAT ! often visitor NY choose Park 79 picture Hotels.com make place look charming also far great restaurant shop . first day get room greatly disappointed . boy picture Hotels.com lie ! bed small bathroom . 's . not look anything else . heating not work room ( travel January one cold month NY ) tell hotel front desk clerk would hit 25 degree order heat kick . livid say least night time feel hyperthermia set night desk clerk ( CJ ) God send , take see several room heat actually work let chose room want . get second room , try play plumber toilet run 2 night straight even maintenance come repair . could not get toilet fix move third time room heat run toilet even small two previous one . decide cut loss happy heat non run toilet . upside staff helpful . other . , location great , centrally locate across street Museum Natural History far Central Park . extra money stay someplace well .. ! be short cash need place crash couple night ... place fit need . last warning wall paper thin . hear everything . someone infant room next , definitely feel room . beware 
 Jan 9 2008 	 UN - be - liev - a - BLE 	 book reservation hotel website . change date arrival . call hotel lady name Glady 's tell go website change reservation ask lady RUDE laugh phone . ask speak manager transfer voice mail . call manager Jennifer say ther one reservation could help time , ask go website change explain change plan want help . next morning call 8 am speak front desk explain happen lady look reservation make change . apologize inconvenience . arrive hotel doorman helpful receptionist maryell well speak , friendly courteous . lady apolgize . reservation room bathroom upgrade we give we room bathroom . lady send housekeeping manager extra towel chocolate apology note . room spotless , sheet duvet change everyday , Cofee newspaper lobby every morning . hotel great location excellent one block away Central Park , American Museum Natural History many restaurant , cofee shop subway station . stay ABSOLUTEL WONDERFUL . attention RECEIVED see evryone else choice future visit ! 
 Jan 1 2008 	 Christmas New York 	 second ever review Trip Adviser , first slate certain place China , one however opposite opposite could get ! Park 79 79th Street , New York , place go , want know why … read on … my girlfriend look somewhere spend Xmas , well place really New York , everything , trust , review mention hotel , ' tell go Big Apple . first hotel … get JFK , , hotel cost we around $ 50 taxi take around 1hr 20mins . journey use subway $ 7 , way back . ok , location … .. perfect word ; walk everything , within reason ! Central Park - 10mins awayNatural History Museum - 5mins awaysubway - 10mins awaygreat bar - 5mins awaygreat Diners / restaurant - 5mins awayi could go , really need , take , location perfect ! far enough away " major " sight hassle crowd , want fall hotel land tourist heaven , place . want walk morning coffee Central Park , place ! room big see , " big boned " person shower could bit squeeze , go room , bathroom . opt share bathroom , shower large enough even large person jump dance around . bed comfortable enough storage room accommodate winter clothe . room warm , warm night ; excellent maid service ensure clean towel crisply make bed every day ! flat screen tv whole range channel wish kick back , relax watch 10 minute tv show interrupt advert ! ! doormen reception staff oblige question help ask , free coffee offer every morning ! anything bad say hotel , would say lift , 4th floor ' mind walk , top floor walk could become bit tiresome . lift ( singular , one ! ) slow , slow , speed lift distract fact hotel excellent . so tip New York traveler . number 1 tip , buy subway card , get one 7 day $ 24 , every ride , matter far go cost $ 2 , buy card mean go subway crazy ! ! empire state building - ' pull guy try convince go next level , ' worth ! Statue Liberty Ellis Island - do getting ferry , latter well venue , interesting , ' miss thinking , Blah Blah Blah … Ellis Island well worth visit . Central Park – good park world , ' clean , ' BIG , ' GREAT ! Natural History Museum – check planetarium , IMAX show spectacular . I could waffle , ' go buy Lonely Planet Guide anyway , review Park 79 79th Street . great little hotel ' miss . enjoy New York , love ! ! 
 Dec 19 2007 	 good hotel bad experience 	 go Thanksgiving . room small clean yes , near everything . go check tell owe $ 200 additional fee . use anything Room question extra monie . tell girl take reservation make mistake price ! pay well $ 200 per night far cry price list site . tell could leave hotel monie pay . stay travel schedule leave . email five time get home . response ! good business book . 
 Dec 13 2007 	 great little hotel 	 Hotel great location away hype NYC equally nice spot city . subway plenty shop restaurant breakfast , lunch dinner 5 minute away Central Park . cab Times square $ 10 . hotel small friendly , staff great always helpful . Julio & amp ; Joshua doormen helpful local info direction . std room small adequate stay clean daily fresh towel provide . great value money . 
 Dec 6 2007 	 expensive 	 pick hotel recommend friendwho live new york whose parent stay . location great - traffic noise , near subway hectic middle everything could get everywhere easily . room tiny - one bathroom clean . however wall paper thin , room near lift could hear door bang , people shout hour - come room - would ask room away lift sort thing bother . ; spend much time room 's size not particularly bother . however heat unbearably hot - open window entire panel collapse get maintance fix not able turn . also pipe heating make lot noise every minute ' ; light sleeper might bother . first morning hot water shower - hostel would expect - 350 dollar night stay ! rectify rang reception price not issue . would stay could not find anywhere else . plus side clean feel safe convenient . NEgatives 's boutique hotel - 350 dollar lot paper thin wall , lack hot water tiny room - appear impossible get good value hotel New york . would describe reasonably well travel especially city price standard hotel suprise think throw comfort price tag ! 
 Dec 3 2007 	 nice .... 	 small hotel great location . fixture top quality , bathroom extremely small - husband bump backend wall shaving sink . double bed mattress pad sheet tuck , sleep somewhat uncomfortable sheet keep move around . unpleasant thing stay quote price - telephone , change check . arrive pay full quote price five night . last day , checking , tell we owe money , price high . mistake , pay extra $ 102 . like kind thing . misquote price , deal . , although may go back , . not want increase price surprise . 
 Nov 29 2007 	 never ever 	 stay hotel probably 5 hour - although cost we around $ 350 . unfortunately delay flight Heathrow check 3 am . hotel somewhat quiet part New York . close Natural History Museum Central Park long way buzz NYCThe receptionist manage stuff credit card machine keep we another hour let we finally go room . despite fact 26 hour stage refuse take passport deposit . finally payment accept show room . we see hotel 's website expect & quot ; boutique & quot ; quality hotel . room dark , drafty damp tiny window overlook flat roof . toilet certainly clean , carpet vacuum pubic hair bed . however plasma tv - per photo . go charade show equally dire alternative room ( 4 am ) decide evenutally change sheet ourselves . at 6 am plumbing come life hotel 's hot water pipe run right room . continue check 9 am . decide enough enough decide check . receptionist 's English poor take time get message across manage find somewhere last minute type website ( hotel wi - fi blessing ) . make two local phone call ( NY phonecard ) somehow phone bill $ 22 . defence , complain next day management shock state room reimburse $ 100 inconvenience . small mercy perhaps something not . 
 Nov 13 2007 	 Great Little Hotel 	 great little hotel budget . room small , course , clean bathroom completely redo . bed nice duvet bulde old school hardwood florr hallway . the location excellent - nice neighbourhood upper west side . away craziness midtown right near subway great little shop restaurant around . be also near Gray Line bus tour stop nice tourist . staff friendly helpful . look spend considerable amount time hotel room , likely not place , would stay heartbeat . 
 Nov 13 2007 	 Satisfactory 	 stay hotel run NYC marathon anyone strongly recommend , since locate couple minute finish line . premise clean nice staff attentive , special mention doorman Joel Julio extremely helpful . 
 Oct 31 2007 	 absolutely wonderful ! 	 go NYC least twice year vacation girlfriend , make Park 79 permanent NYC vacation home ! doorman readily available time arrive back hotel , courteous friendly anyone could ! arrive 3 hour early , expect check bag , allow we go ahead check room , save much time aggravation ! room spotless , duvet heavenly room safe huge bonus expensive camera equipment ! bathroom immaculate readily available . Hallways lobby expensive feel ! nice location , great neighborhood , staff absolutely wonderful ! choice future visit ! 
 Oct 26 2007 	 Good Value Manhattan 	 Park 79 Hotel property recommend . room not large , fairly quiet , clean , tastefully decorate . share bathroom close room , never hear use guest . the impressive thing hotel , price , follow closely location . one block American Museum Natural History Central Park West , give access many restaurant , coffee shop , subway . weekend market block south ... buy gift fantastic hot apple cider . two block away Central Park , Tavern Green within comfortable walking distance . cab Radio City Music Hall cost less 5 buck . speak cab , though ... catch early flight back home , hotel employee insist call taxi we , would wait we check . sound great accepted offer . next morning , check , sure enough , car wait we . step outside driver ( livery cab ) begin load suitcase car . see livery cab ( realize ... shady , ' m nice ) , ask much ride ( LGA ) go cost . answer ? ... & quot ; fifty dollar , plus toll . & quot ; laugh second two , think joke . realize serious , snatch bag trunk quickness say , & quot ; will hail real cab , thank nothing . & quot ; grumble something along line , & quot ; good luck time morning , & quot ; stand minute ( like might change mind ) , get dent Lincoln , drive away , kick slush swerve process . my wife walk 100 foot , hail real cab ( elapse time 3 minute ) , way airport ... cost we $ 30 , include nice tip driver . much commentary hotel staff , warn regard black livery cab . nonetheless , would recommend Park 79 hotel , plan stay . 
 Oct 23 2007 	 good place 	 family & amp ; book 3 room . arrive hotel new go excellent stay look lady stay front desk GLAMOURS eye sweet voice . arrive check time . lady front desk call housekeeping manager 3 room ready check noon . brother want stay ask question hear speak . housekeeping manager extremely nice lady room get extra towel sheet . bellman also pleasent . information ask always give . recommend Park 79 Hotel everyone young old . Lady 's Gentlemen reading page want feel SPECIAL RICH go . find everything shop store resaurant , Kids Adult activite Central Park . the Clark family 
 Oct 23 2007 	 horrible hotel fantastic desk staff ! 	 travel Maryland three night stay New York . friend book hotel worried woman stay city . hotel look nice outside desk staff friendly ask drink last night ! hotel another story . room tiny bathroom like cupboard shower leak . final straw paper thin wall , could quite literally hear everything go next room . thankfully , love NY much , hotel not ruin experience . not nice & amp ; would not return . 
 Oct 16 2007 	 Decent Budget Hotel 	 stay quite place NYC , place rank pretty far list . plus side , hotel nice neighborhood Upper West Side . near several pleasant restaurant , good boutique - type shopping ( Eileen Fisher , Design within Reach ) , block Central Park . come DC work , usually stay midtown , nice change neighborhood . free wireless , hotel staff cheerful helpful . on negative side , find hotel quite shabby drab . 7 story convert apartment bldg / townhouse . queen suite -- room 714 . view , tiny tiny bathroom . upscale - ish touch ( new floor , lavatory look like restoration Hardware ) , whole , find place pretty basic . clear , nothing terrible place -- clean safe neighborhood , website description & quot ; boutique hotel & quot ; misleading . pay $ 379 per night suite ( include taxis , put place $ 444 ) . book last minute work , stay b / c complicated deal involve husband work stay . get really great deal ( like maybe range $ 200 per night ? ) , might consider stay , think many well place stay NYC consider . 
 oct 9 2007 	 great . 	 husband stay one night Park 79 last month ( would two , leave due unforeseeable circumstance ) enjoy stay much . room clean bright , bed comfortable plenty room two we . sure people keep say need room two , maybe not want know . anyway , problem noise either outside surround room . fact , think rest floor must unoccupied lack noise , next morning , housekeeping cleaning , must full . room share bathroom totally fine . never wait bathroom clean . staff friendly not know could expect hotel . 
 Oct 3 2007 	 little gem perfect location 	 choose Park 79 hotel location not disappoint . two subway station within block , be stroll Central Park lovely neighbourhood plenty restaurant , delis , diner bar . totally touristy , within easy reach hustle bustle , yet far enough get good night 's sleep ! room good size , high ceiling , nice firm bed , plump pillow huge tv . private bathroom small absolutely spotless . fluffy white towel arrive day everything could need - shampoo , sewing kit , hairdryer , iron , iron board , safe air con . service great , always happy help . ask ice two occasion arrive within couple minute . ok , hallway could spruce wooden floor bit echoey , not ever disturb noise . I would DEFINITELY stay ! 
 Sep 29 2007 	 great place say 	 newly renovate hotel excellent neighborhood . room clean , private bathroom , small , also clean . staff extremely friendly - always helpful courteous . hotel excellent value money . be definitely will stay go back New York . 
 Aug 21 2007 	 Good Budget Hotel clean 	 hotel clean . amenity quite basic . floor two bathroom around 10 room , honest hardly ever anyone . travel new york March 2008 , time big budget pay accommodation elsewhere , not big budget would definetly go back park 79 ! 
 Aug 9 2007 	 great location friendly service clean 	 first time Upper West location five night stay partner . stay deluxe room 3rd floor face rear onto back terrace W 80th St . location quiet within walk distance several good restaurant ( City Grill - great steak , Boat Basin Cafe - great view , quirky service good burger ) . room excellent , air cond work ( heat wave Aug ) clean . front desk staff extraordinarily friendly helpful . issue room ground floor , move we right away another room become available . suggestion would put small bar fridge room although ice always available demand make generous use . door man smile sense humor always give we lift long day walk . bathroom small , clean modern full bathtub shower . bed comfortable soft duvet cover top cover sheet . overall seem like bargain location , service cleanthliness . 
 Jul 21 2007 	 great honeymoon stay ! 	 return honeymoon , include stay New York City want say loved time stay Park 79 hotel . initial room normal small New York , nice enough . thankfully move large room , great ! thank management ! location amazing , close Central Park Museum Natural History , subway station , ton shop cool restaurant ( wide range ) . also , quieter residential neighbourhood ( read : non - touristy ) . be great convenience store / deli across street open late . the room comfortable , decor fashionable . wif ' e 's extremely picky cleanliness say room could use bit thorough vacuuming corner , otherwise complaint . ' m sensitive noise find bit noisy night hardwood floor hallway people walk closing door soundproof around door quite lacking . first room close elevator noisy , second room back much well . staff helpful friendly . we much enjoy stay . price , be great deal New York City . would definitely recommend Park 79 stay go back . 
 Jul 9 2007 	 Clean Central Secure small 	 location Upper West Side great , block subway Amsterdam short walk Central Park . street calm safe . the room small expect , clean bed firm ( unlike Amsterdam Inn stay previously ) . clerk polite allow we check - in early different room ready . ask room face street non - smoking floor give . room micro - bathroom ( tiny , shoulder touch wall throne ) shower stall beside sink . bed fill room . tv foot foot bed , foot floor space along side bed bathroom . otherwise bed occupy two wall . storage clothe minimal . average sized dresser three drawer , rack ten hanger attach shelf top ( instead closet ) . basically suitcase fit rack right beside tv clothe became part decor . there iron board ( not use ) . shower hot water good pressure , bathroom blow - dryer ( work well ) , towel linen clean , stain , sign bedbugs nasties . chair desk - room ! whatever , sit , eat , sleep , bed stool foot bed . the room also small safe sidetable work four number code one be choose . air - conditioner predictably noisy , fan washroom , hear door common bathroom hall , noise minor , nothing earplug not remedy . there phone room , book Expedia need give credit card number , rate 75 cent first minute 25 cent every additional minute . day check - out allow we leave luggage run last - minute errand . weird misunderstanding , gaff gap service one day maid forgot leave clean towel - call downstairs fresh one us minute . we think Park 79 expect , place we leave belonging safely , base we return end day bathe rest . place entertain work . plus : cleanliness , security , firm bed , location . minus : lack seating , tiny washroom , noisy bathroom fan . basically room fine base short stay would suffice place spend much time one might long stay . city intent , room serve we well budget set . 
 Jul 4 2007 	 Hotel ok . 	 Hotel look well photo 's reality . room quite dark & amp ; look tired . carpet odd ... not nail floor & amp ; wear place , curl wall . bathroom tiny large concrete pillar middle , quite monouver get shower & amp ; definately one person time bathroom . Awoken first morning ( 7.30 ) loud hammering / bang opposite room . Rang reception tell renovation happen hotel , inform sink & amp ; various room item corridor agree investigate & amp ; call back . still wait call . approach reception room change tell Hotel full & amp ; room avail . say would contact Manager find solution . evening return inform renovation would start 9.30 next morning & amp ; none weekend . agree offer would difficult find another hotel stage . receive apology receptionist & amp ; small box chocolate ( 2 piece ) .Air conditioning unit hopeless , hardly make difference room , big old fashioned type sound like 747 landing speed setting . overall Hotel ok , clean linen & amp ; towel , room would quiet , look garden & amp ; street noise . Positon good look quiet area , bus route , walk midtown 20 min , close central park . I think Hotel expensive offering , look budget medium range & amp ; would stay . 
 Jun 25 2007 	 Good Value Price 	 no - frill hotel ( ice machine , cable tv ) seem fine recent 1 - night stay . location , upper west side , right near park , Metropolitan Art Museum , etc . ideal ( blessedly noisy , crowded & quot ; theatre & quot ; district ) . opt single semi - private bathroom . room small , clean , quiet , quite functional . far could tell , floor ( 2nd ) two bathroom share , perhaps , 10 room . relatively roomy , convenient , clean . never wait never see anyone else . minimal , pleasant , service hotel . pay $ 145.00 . 
 Jun 14 2007 	 Fit budget safe clean 	 friend mine recently visit NYC recommend hotel search place decent stay fit within budget . , husband spend two night please overall -- free wireless Internet , soft bedding , complimentary toiletry , quick room service courteous helpful staff . room bare bone paint need touch - up especially around door , furniture decent , mahogany , , mention , bed really soft . towel replenish every day , bed make , thing tidy . Closet safe , wooden hanger , iron ironing board . flat screen tv HBO ( watch much since explore city ) . eat two great restaurant nearby : Uno 's Chicago Pizza EJ 's diner . share bathroom bummer , worth saving . bathroom always empty stay clean . window unit ( central air heat ) noisy -- constant hum -- probably serve muffle noise room . great hotel staff store luggage upon checkout could sightseeing plane depart . take time give we direction . 
 Jun 13 2007 	 nice neighborhood stay Manhattan 	 Room tiny , suppose small Manhattan hotel . located quiet street right next Musuem natural history intersection 79th St Columbus Avenue . cozy , old world hotel charm . convenient location , 2blocks no.1,2,3 red line subway broadway run entire length Manhattan north south . no.7 bus stop intersection Amsterdam Ave ( 1block away ) .walk pass Musuem Central Park . unlike many Manhattan Hotel price range , quiet , still direct subway , 1bus ride downtown like Times Square , Rockefeller Center , Union Square . concierge cum doorman / porter knowledgeable helpful . 
 Jun 10 2007 	 nice people shady management 	 must say people lovely , everyone nice . stay week , place clean keep clean , overall great value price . one complaint . book 7 day , 6th day girlfriend decide try book extra night . way day stop reservation desk . credit card charge , receipt give told & quot ; set check wednesday & quot ; ( instead tuesday , originally ) . walk spend day shopping seeing sight , expect . apparently , hour leave day woman desk leave message hotel phone ( though , know ) say & quot ; reservation & quot ; could honor , need find another place stay . not bother call number file , not get message 1 am . plane reservation already make plan stay extra day ( example , ticket empire state building dinner reservation ) , tell need find place & quot ; overbooke & quot ; room . instead hotel manager helping resolve issue offer telephone book location internet cafe locate hotel . exhausted day hear need pack move new hotel hour ridiculous . next morning wake early speak front desk , say would speak supervisor . call back hour later , tell manager came leave without address situation . tell woman front desk credit card charge hotel fault , tell void charge ( without knowledge ) day . point tell we leave , respond proper frustration tell problem not going anywhere fix . demand speak manager tell would call , . tell know work . hotel overbook time , always offer fix problem one way another . Nelson reservation desk contact manager , finally manage find way keep we . talk first . never talk supervisor . I really want give hotel good review . even take nice picture room post trip , problem cause way much grief last day . would never stay . next time stay somewhere not think get away thing . 
 Jun 7 2007 	 Cozy welcome Park 79 	 privileged stay Park 79 , time wonderful . park 79 cozy , welcome venue nestle quiet , tree line street ( hard find NYC ) , truly lovely Upper West Side neighborhood . transit close easily accessible . neighborhood , neighborhood , one world 's good museum litereally across street , quaint coffee house , great restaurant , charming shop within one block . room scrupulously clean , linen crisp fresh inviting . accommodation may small , ( hotel room not day ? ) , furnish tastefully adequately . staff treasure . receive four star treatment visit , everyone doorman , concierge , manager . Park 79 lovely little pie terre hide away NYC . quite find , many know , enjoy still secret . Travel Agent , Love NYC 
 Jun 5 2007 	 great Gem Lovely Neighborhood 	 stay Park 79 three night town convention . location terrific -- directly behind Natural History museum two block subway . everything need within block -- restaurant , drugstore , Filene 's , Zabar 's , atm , etc . staff always responsive helpful , especially special situation . credit card steal one day trip , way pay thing cash . call ahead graciously let pay room cash , many hotel will not allow . also get late ( 3 a.m. ) greet . room small ( hey , 's New York ) always spotless linen fresh daily . nice soap , shampoo , etc . shared bath always clean rarely wait . complaint gorgeous hardwood floor hallway make lot noise walk , afraid bother guest . bring soft - sole slipper walk bath . overall , great little gem will gladly stay . REAL NYC . 
 Jun 4 2007 	 great find 	 wonderful stay Park 79 , find staff friendly . would go back ny.yes room bit small , , say go & quot ; NY & quot ; great location , Shining Star Diner , turn right hotel walk end block cross 79th street , be leave , great place eat , friendly staff . 
 Jun 1 2007 	 happy overall 	 first trip New York find location ideal - quiet close subway , Central Park excellent local shop / deli Amsterdam Broadway ( especially Zabars Fairways terrific choice good value food ) . staff extremely friendly helpful . first room spotless cramp without adequate natural light - ask ( politely ! ) change couple day transfer much nice room . morning coffee lobby nice touch good chance chat staff . overall pleasant experience great value money - can not wait come . 
 May 23 2007 	 bad really 	 understand people little upset confused . hotel advertise web room 's elegant , photo , learn , use many site . hotel would benefit show real picture hotel entrance , lobby , photo actual room ( ) . single traveler rarely travel expectation spend much time hotel room , need minimal - meet , plus . yes small room roughly 72 sq / ft twin bed , dresser small tv top ( limited selection ) , nightstand light telephone , padded bench sit put thing top . rent room share two bathroom floor , also sink stand mirror place put personal item - fresh towel & amp ; linen provide daily . also place hang clothe ( stool ) , niche could place luggage . small do - it - yourself safe also locate nightstand . yea ! ! free wireless throughout hotel , able log get e - mail check direction , restaurant , site , etc . , evening . yes , wall paper thin , realize , hopefully try quieter normal disruptive neighbor . early riser , regret move know disruptive neighbor , quickly get soon possible . yes , trouble hot / cold water first , find let water run couple minute , hot water come - scorch hot . not problem 6th floor May 3 - 10 . bathroom always empty always clean whenever access . say room - mine always neat clean whenever return excursion late afternoon . the staff people friendly helpful . several occasion , ask help direction recommendation , go way help . first arrive , room little warm , window would stay open unpropped . tell staff , A / C unit window day return room afternoon . also helpful get place NYC , Brooklyn , Bronx well Airport ( La Guardia ) .there many good reason stay . subway bus nearby accessible quickly . natural History Museum Central Park literally block away , Metropolitan Museum Art quick bus ride across park . mention plenty restaurant , store , etc . , within short walking distance . great hotel need clean , safe place hang gear go explore city . 
 May 17 2007 	 Slamming Doors Hot Water 	 stay Park 79 3 night May , 2007 know price go luxurious stay . expectation meet . upon arrival , front desk polite courteous . room extremely small , somewhat prepared , also prepare share bathroom ( bathroom pay extra ) .However , area hotel could improve upon . first , door slam . would normally huge problem hotel , except exacerbate fact wall paper thin . quite annoying . secondly , hot water lukewarm 2 day stay . fact , could get warm water Saturday morning around 11 . politely firmly explain fact reception , also security guard/ maintenance worker front desk . incredibly , question whether master technique turn shower . use shower previous day , know turn right way . tell , two shower floor hot water , neither floor . specifically ask whether problem encounter . get sweet smile , incredulous & quot ; ! & quot ; suspect hotel overload properly equip guest stay miniscule room . anyways , kind half expect sort response -- even slight discount ? free coffee coupon ? -- none forthcoming . also housekeeping start clean 9 . , normal sized hotel thick wall would not much problem , could hear everything.that 's negative part . positive part hotel nice area , good access subway , be cute little deli across street sell great chicken sandwich . 
 May 15 2007 	 still improvement 	 friend stay hotel , hayden hall ( hayden hole ) use know , can not believe , year line place yet IMPROVE . would suggest people still condsidere stay really need read review look elsewhere please . save money time . 
 May 1 2007 	 small clean bit way 	 stay 4 night 26th - 30th april 2007 . side holtel look loverly front dresk staff really helpfull nice . lift something stone age room 711 ( 7th floor ) take ever hall way look invite need good paint etc.once enter room find room small , dnouble bed 4 pillow like big pillow bed ok do not : ( 25 28 & quot ; tv good channel enought shopping.the alarming bit window could easy fall 7 story drop noy good iam sleep walker good kid window start low . tea coffee make facilitys tea coffee moring reception ( get early ) .the bathroom clean small mean small bath shower sink toilet.also room safe , iron , iron board.overall , ok day would rather stay 5th avenue know far away place cab do not wana come far.if like small room , love , like nice room like will not . 
 Apr 24 2007 	 fine price 	 please base decision stay negative review . park 79 old building ' m sure every room different quirk within room . we book room double bed private bath . room small , cramp trip luggage . two nightstand , double bed , pad bench end bed , armoire tv storage drawer , write desk , closet hanger iron board . in - room safe locate one nightstand . bathroom small functional , though hook hang thing would helpful . pedestal sink shelf , mirror , blow dryer ; full - sized tub shower slide glass door handle hang towel ; toilet towel shelve above . our room face side building next door , street noise not issue . find hallway loud due hardwood floor . be original beautiful , noisy people walk create echo . the front desk staff helpful friendly doorman . coffee tea available lobby morning . neighborhood fabulous easy walk subway stop , ton restaurant , Central Park . use room sleep get ready morning -- rest time . hotel fine purpose . luxury hotel lounge around day price way . hope review helpful . 
 Apr 23 2007 	 Great Cheap Place stay 	 great little hotel . locate 79th Street Columbus . Natural History Museum 2 minute walk . although Upper West Side , absolutely problem get around , two subway station within 5 minute walk . actually well stay away madness Midtown . room cost £ 100 per night , include taxis , couple . give we room bathroom . room clean , bed pristine white remain whole stay . many hotel awful floral bedding , feel lovely clean . room big enough two we come iron , iron board hairdryer . bathroom toilet , washbasin , shower small bath . plug bathroom hairdryer shaver . staff hotel pleasant absolutely complaint . five star hotel , totally fine holiday involve lot sight see little time room . we able spend week New York relatively cheaply . 
 Apr 21 2007 	 Location worth price room ! 	 choose Park 79 location would give 4 star . website deceive though - room look like one example give . ( ok , maybe one room might look like ! ) even , see room know pay much place . stay ny many time , automatically know anything $ 200 night chance . first time stay . entry foyer presentable doorman accommodate . can not say reservation clerk though . like look outside first impression dash get room . small kind ! kid , room large 10x10 foot within cubical manage squeeze tiny bathroom large enough back toilet go forward 2 step cubical shower , squeeze past tiny sink process . place hang towel , closet . double bed shove corner wall 3 foot space move bottom bed past open side bed . . travel cheap New York City up - side , however - $ 140 + dollar save 79 spend go opera ! bottom line : ok cheap place stay buck . good location stay night get day go nuts stepping luggage take empty space surround bed ! 
 Apr 14 2007 	 price ! ! 	 first plus side , hotel great location near central park subway , room basic clean , doorman extremely friendly helpful however lady front desk reception curt , friendly , rude helpful , noise street dreadful wake last night ( thankfully first night ) 2 see mouse room bin remain chocolate bar inside ... frankly disgust rang reception ? man finally appear ask want change room ( course ) offer help carry bag apologise way - just state new york could ? get apology even reduction price anything ? bathroom filthy without lock ... 
