ask 	 first positive ... short walk Grand Central Station . upon enter 70 Park Avenue not get & quot ; Kimpton & quot ; scent Kimptons ( sorry think Kimpton propertie distinct fresh scent ) . lobby check - in area cramp feel claustophobic . dog lover purposesly stay Kimptons pet friendly , find odd ask front desk person dog not know ask front door man ? check request fish bring room . six hour later , still fish , place phone call transfer manager 's voicemail , politely leave message request fish would like one bring room Wednesday . upon check - out Friday never see fin friend Room 709 , way would never stay . room locate right near elevator door use constantly housekeep staff open close make sound someone knock door . apparently hotel housekeeping closet storage . whole three day line hall right outside room various cart towel , etc . television room serious malfunction . set temperature room 65 , consistent 75 ? ? never use room service think breakfast average $ 24 worth . silverleaf lounge offer customary Kimpton Happy Hour $ 5 drink 5 - 7 p.m. nightly . tell live music lounge , not hear not start time advertize . love Kimpton hotel , definitely stay one one NYC next time . 
 Nov 25 2008 	 Loved 70 Park Avenue 	 arrive 70 Park Avenue Firdya 21 November greet friendly staff . arrive advance check - in leave bag safely stow away hit street explore Big Apple . position Park Avenue great immediatley step outside hotel wondeful full view Grand Central Station leave . take 6 - 7min get 5th avenue great . smack bang middle midtown many sight accessible . room great comfortable bed amenity . would certainly want stay next visit tick many box . pound NY street hour end good look forward come back lovely cosy room great atmosphere jacuzzi ! ! . good NY hotel hard find many focus uber trendy expense real comfort wallet ! 
 Nov 23 2008 	 ok - might visit NY will not stay 	 back 2 night hotel . got good ( NY ) price priceline website . hotel nice location good ......... however , negative - taxi driver ! feel need make continued racket hour night ? ? ? ? extremely annoying . bed room ( double ) bit smalll ............ shower noisy water turn hot . room service order food totallye $ 28 charge $ 12 taxis , delivery graditude - ridiculous surely ? ? finally , phone front desk ask borrow hair straightner morning checked not arrive .......... return New York probably would not stay . 
 Nov 21 2008 	 would stay 	 room small , stylish . bed comfortable plush pillow linen . bathroom tiny , awkwardly place toilet , shower great water pressure , hot water , plush towel everything clean . two window actually open ( nice ! ) great view Empire State building . thing love : -convenience . easy walk distance major NY attraction . visit see play theatre within easy distance . drive hotel fairly easy on / off fdr.- Pet friendly : specifically book Kimpton chain pet friendly want travel dog . reason , keep come back Kimpton . - wine hour lobby - nice way unwind end day meet traveler . - mostly friendly accomodate staff . front desk staff doorman always friendly helpful . hotel kindly accomodate request scheduling specific housekeeping time could take dog walk clean room . find one conceirge little snooty helpful . would recommend & quot ; meet greeting & quot ; guest less internet surfing part.- neighborhood feel : locate mostly residential Murray Hill , like walk side street neighborhood admire unique architecture home . neighborhood great walk dog worry would walk busy NY street . side , feel neighborhood lack good dining choice within quick walking distance . hope small , neighborhood style restuarant find mostly large , glitzy restaurant . enjoy Moonstruck Madison great breakfast . El Rio ok mexican food . otherwise , travel neighborhood eating . funny enough , small cart opposite street corner morning coffee pastry fresh doughnut ever ! thing could improve : - room small , less furniture would . anyone really use minibar ? - closet , armoire mesh door . ok hang clothe , small storing suitcase . bad , pair leopard print woman 's underwear apparently available purchase . would recommend management , getting rid tacky item . firstly , gay couple , last thing want see , , make we feel though stay cheap motel nobody want look someone else 's underwear . armoire open become part room decor . generally , tacky feature can not believe anyone actually purchase ? ! - internet - huge problem . unblocked signal tap . hotel allow 15 minute free use lobby computer ( enter credit card ) , fee long use . price , would expect free internet . - noise : request room high level , hope eliminate city noise . unfortunately , limited third floor since designate pet floor . even though hotel call & quot ; honk & quot ; zone , honking seem non - stop . live major US city therefore use city noise , constant . ask fan second night provide white noise sleep . ask high floor booking . flip side , pet floor , think booked room entire floor . never see hear anyone hallway next us.- expensive parking - $ 50 day valet parking . several garage neighborhood special rate . think could save big buck park car . say , valet greet we ( wish name ! ) upon arrival could friendlier accomodating . overall , still enjoyable stay would rebook . 
 Nov 11 2008 	 ok stay somewhere else next time 	 pro : great location , helpful concierge & amp ; wine hour ! nice breakfast restaurant too . con : noise adjoining room ( complain & amp ; hotel guest speak ) unfortunately hotel allow party least 3 am room next , apparently guest also hear people fight . confusion room , ask twin room room allocate arrival queen . check hotel email arrive still manage get wrong – maybe end twin room look brick wall ? also get upgrade mention reviewer even though Kimpton Touch member , would mention reception know ! nice hotel noise problem would put ever stay . 
 Nov 9 2008 	 would return 70 Park Ave . 	 stay 70 Park Ave . Oct. 25 - 27 booking via Priceline . rate excellent , upon confirm room , Matthew , extremely helpful due availibility , upgrade room two queen bed . when arrive , check promptly everyone staff extremely courteous nice . must say , ' ve stay Manhattan 20 time , hotel polite helpful staff . the room extremely clean good size NYC , bed , comfortable . also sign Kimpton Touch program online beforehand , receive $ 15 credit spend room 's minibar ... nice bonus . locate 8th floor could hear street noise . bathroom quite small , problem sink properly drain . front desk send someone remedy quickly . l'occitane amenity amazing . usually fan bathroom shampoos / conditioner , etc . ( except 's Aveda ) , one provide excellent quality . the location excellent , close Grand Central several subway stop . snag check . although room tax already pay via Priceline , charge visa . return home call back confirm indeed double - charge , front desk staff member say would reverse charge email update receipt . however , never receive , call back couple day later . time person quite helpful mail copy correct bill . inconvenience , ' m glad catch mistake eventually take care of . overall , despite billing issue would definitely return 70 Park Ave . . positive experience stay . 
 Nov 9 2008 	 Great Location smallish room 	 near Grand Central , Herald Square , beat location . walk distance Times Square short train ride away Grand Central . downside everyone mention smallish room , 1001 ... face back another buidle quiet . let look 1005 , marginally big , bighter 2 window instead one afraid street noise stay first room . much issue small room day small W stay 2 year ago , even tinier ! wine evening nice touch . staff friendly , Nadia housekeeper bellbo / doorman whose name forget ( alonso ? ) . concierge great , see name think name tag say ' Harry Connick Jr ' ... give frank real advise . funny , bonus . give good advise brunch nearby , cafe call ' Penelope 's ' think , long wait great value tasty touristy.i get $ 239 / night hotel website though great value . good stay 
 Oct 28 2008 	 Great Value 	 previously use Kimpton Chain SF refer Trip Advisor make book 70 Park Avenue New York . lucky upgrade King Room upon arrival give Kimpton Touch Member . great bed , enough space although bathroom small . however , enjoy room bed big comfortable . staff friendly courteous consider hotel great value New York . hotel bar / restaurant use . definitely would stay 
 Oct 26 2008 	 great hotel great location 	 stay 5 night family room 2 adult 2 teenager . although space tight adequate not spend lot time room anyway . bed comfortable bonus great view Empire State window . first night find room quite noisy readily move high floor Reception much appreciate . also friend hotel stay low floor not bother noise may extra sensitive ! nice touch hotel ' happy hour ' evening reception , lovely treat return home long day sightseeing shopping . hotel great location 5th Avenue , Grand Central Station , Empire State , etc minute walk away . would definitely stay . 
 Oct 22 2008 	 Awesome Hotel Awesome Service 	 AWESOME hotel , staff great , manager get together nice touch end day .... excelent service PatrickIn middle everything walk everywhere .... sure back ! ! ! ! ! ! ! ! ! ! ! ! ! ! 
 Oct 22 2008 	 Quiet get 70 Park Ave A+ 	 book hotel love kimpton year , namely attention detail hospitality . make sure stay sign website Kimpton touch member . be free , get perk point . namely free internet ( $ 11 ) , welcome gift , since friend 's birthday , champagne cake . the room good size NY hotel . use light ( everything dimmer ! ) mirror really create great atmosphere . Loved l'occitaine ammenitie . also free wine reception 5 - 6 , miss theater ticket . room quiet , far Grand Central . overall really enjoy stay . room perfect staff friendly . would highly recommend hotel . 
 Oct 21 2008 	 Wonderful Hotel Wonderful Location 	 recently spend long romantic Columbus Day weekend 70 park avenue hotel , Friday Monday , October 10th 13th . room 1217.our redeye drop we NYC early Friday morning go directly hotel . chat reception bit , show Kimpton InTouch card , upgrade King Premier . room quite large NYC standard , stay quite hotel City . jacuzzi tub Occitane sundrie add whole romantic weekend feel , electric candle . entire experience lobby welcome aromatherapy , room , bathroom one quality . facility leave we without want . my bride member Kimpton Hotels Guest Loyalty Program feel hotel group go way cater Woman Business traveler . 70 park avenue hotel , even curl iron straightener available one forgot . attention woman business traveler evident morning complimentary coffee service evening wine reception . brief stay , honestly say moment , ratio Men Women well 1 4 . bad way start day . the location perfect , middle quiet Murray Hill area , yet 2 block Grand Central . walk 5 minute . hotel Park Avenue never problem flag cab whenever need one . use Grand Central Terminal meeting spot foray city friend live Brooklyn Upper East Side . would meet Oyster Bar Campbell Apartment cocktail heading town . would recommend hotel expect luxurious boutique hotel want centrally locate . 
 Oct 15 2008 	 great location Park Ave . 	 hotel recommend friend perfect we . arrive red - eye flight store luggage 8 am morning . room great , bed comfortable not much time use flat screen tv except . staff great , doorman always smile cheerful . sister get room view Empire State building . great location , walk everywhere south park two short block Grand Central station lot subway suburb train . gripe breakfast overprice great , everything else really good value . cheap , expensive either , worth every cent . stay . 
 Oct 9 2008 	 bit cramp noisy ... 	 room indeed bite small , be use small space , could even feel cramp ( especially bathroom ) .Our neighbour noisy even try enter room door connect room open , hotel can not help that . since room not big , would advice hotel adapt term ' less ' .. : - ) ' ve put way much room ! bit dirty open one small cupboard room , 1 mm dust bottom cupboard . immediately close again . room way dark ' view ' ( request send email upfront ) not allow we open curtain without watch .. positive room since rate quite high ( know , be ny ... ) . positive lobby bar / restaurant cosy welcoming . staff friendly ! ! think need make change order keep status . 
 Oct 8 2008 	 good hotel experience NYC 	 70 Park Avenue Hotel home away home NYC . travel extensively business stay fine team property 60 - 70 night 12 month period time 2007 - 2008 . wonderful ! John , Carlos , Fernando , Jennifer , Marcella , Effrin , Josephine rest team world class . dog travel hotel pet friendly , embrace ! concierge gladly arrange dog walker ( ask Mustafa ) recommend good place take pooch he / she . room little cozy , 's NY location outstanding ! short block Grand Central get anywhere NYC beyond . many great eating establishment area ( try aji like Sushi Carl 's Cheesesteaks good outside Philly ) be sure go , ask one smile face lobby ! make sure join Kimpton 's frequent guest plan will visit hotel ! 
 Oct 5 2008 	 Great Time 70 PA 	 get back long weekend 70 pa fantastic time . weather great ( result Tropical Storm Kyle ) glad choose good 4 * hotel gear make guest ' time comfortable luxurious possible . I personally feel hotel quieter part NY ( 38th East ) still pretty central ( 2 3 block Grand Central Station 5th Avenue ) good world . TIP : light sleeper get room high try get away much street noise possible . also request room away lift . ) hotel ' look ' boutique ' might expect outside - lobby intimately opulent one might expect familiar boutique style hotel staff welcome helpful . concierge ( ' get name ) star get us table Marriott Hotel View Restaurant last minute ( restaurant great city view ask table window advance get taste menu – gorgeous great value compare London taste menu ! ! ) . TIP : wine taste lobby every night 5 - 6 pm ( approx ) look great fun real bonus hard day shopping . the room make hotel book . feel like walk cocoon chaos city - warm lighting , soft fabric soothe green tone . take 10 second take peace notice the … 42 & quot ; plasma , amazingly well stock mini bar , L'occitane toiletry exemplary 24 hour room service menu . oh mention spa menu fancy relief tired foot walk ? ( walk ! ) summary , hotel really try please everyone not fail . love would go back , , definitely another Kimpton Hotel . 
 Sep 25 2008 	 Small perfectly form 	 great location , friendly staff , bar nice . although never try food . the room pretty small 's New York ! nicely decorate . nice touch like complementary umbrella Ipod dock station/ alarm clock . great tv dvd available although never use much NYC ! 
 Sep 21 2008 	 happy ! 	 husband stay weekend September 13 - 14 , 2008 . hotel staff polite helpful . check , worried elevator would bother we . however , could barely hear quiet & quot ; ding & quot ; problem ! room smallish expect , wonderful little time spend . say .... bad time morning trying get fabulous bed ! ! ! ! want stay bed day rather sight see ! also appreciate nice bath amenity . hotel locate perfectly sightseeing . easily walk sight , subway station block away . tired , doorman happy hail cab . thoroughly enjoy first trip NYC happy 70 Park Avenue Hotel . 
 Sep 10 2008 	 good ! recommend ! 	 stay room 1520 70 Park Avenue 9 14 Aug. , 2008I husband , friend mine son . decide share room stay good hotel avoid pay much money accommodation . there 3 friend we locate 3rd floor : sure ask high floor room get good view , otherwise low floor extremely noisy . the hotel conveniently locate near Grand Central Station 5th Ave , major tourist attraction nearby . metro station minute walk hotel go everywhere easy . staff cute , polite good - willing . the hotel decor modern pleasant . foyer seat area newspaper , internet access computer ( first 15 min free ) chill water dispenser lemon , lime orange -- tasty hot day . I say well let feel welcome , comfortably ease . the room , huge , adequate ( please note 4 ! ) everything could ask , include comfortable bed . the bathroom small clean pleasant ( toiletry excellent ) .I say good stay , good value money , hotel would highly recommend hotel anyone look go New York . I ' go back next May ! 
 Sep 8 2008 	 great boutique hotel 	 return weekend stay 70 Park Avenue Hotel Manhattan . Hotel Location : 70 Park small , chic , Midtown hotel offer level service ' superior many large hotel price point . quaint lobby nicely decorate , comfortable inviting . hotel staff encounter stay ( front desk , concierge , doorman , maid valet ) proficient , gracious accommodating . hotel locate residential area Park Avenue , 4 block south Grand Central Terminal . get around town hotel pretty convenient ; taxis readily available Park Avenue two subway station locate within 5 block hotel ( Grand Central Terminal 33rd Street / Lexington Ave Station ) .room : get reasonable " Sleep Style " promotion rate $ 263 / night King Deluxe Room Friday Saturday night stay ( valet parking additional $ 52 / day ) . room rate include $ 20 credit hotel ' Silverleaf Tavern . request " quiet room " 12th floor , overlook Park Avenue Roman Catholic Church Saviour . room approximately 300 square foot ( decent size NYC standard ) , clean stylishly decorate comfortable king - sized bed , small armoire ( instead closet ) small desk & amp ; chair , upholstered chair two nightstand . room size adequate two people couple piece weekend luggage , ' book less category room . bathroom , although spacious , stylish , clean functional . hotel offer special Kimpton amenity include complementary evening wine reception ( 5 - 6pm ) , L'Occitane bath product plush bathrobe . around $ 250 / night , think room particularly good value Midtown Manhattan . Hotel Dining : Friday night , meet couple friend hotel ' Silverleaf Tavern , enjoy tasty " small plate " appetizer , cocktail wine glass . food drink quality , presentation service good . tavern ' full - service restaurant , ' great place hang , converse people watch . summary : overall , 70 Park Avenue Hotel wonderful city hotel great location . promotional rate $ 263 / night also great value . , ' satisfied quality accommodation , amenity value offer Kimpton would definitely stay ! 
 Sep 3 2008 	 Prime location Great Service 	 stay business . arrive , email question receive prompt satisfactory response Tim Thomai . Kimpton Touch member , also enjoy benefit offer hotel . the hotel conveniently locate near Grand Central Station 5th Ave ( shopping buff ) . toiletry excellent . flat screen tv decent selection channel . thoroughly enjoy stay . 
 Aug 28 2008 	 mixed experience 	 really good hotel great location 5th Avenue , RF Centre , Grand Central , Central Park etc . room smallish comfortable , clean pleasant . issue four we stay , couple two woman . book ( time advance alpharoom ) double twin room arrive say twin room leave . say would see could . response provide fold child bed totally inadequate - especially price pay - although wait day 2 3 night stay sort thing nothing resolve situation . disappointed not really try least offer kind compensation . good hotel nothing go wrong not expect respond get wrong . 
 Aug 22 2008 	 good location traffic noise 	 stay 4 night choose hotel good review closeness Grand Central Station . location good . walk Empire state building 5th Avenue shop . room small ( 3rd floor ) bathroom tiny . sit angle loo ! however , everything clean bed comfortable . lovely L'Occitaine toiletry , bizarrely shower gel , soap , shampoo conditioner . drink facility room , shame course mini bar expensive . however , hotel staff excellent . room plasma tv line mention staff arrange engineer repair . could not move we well room ( big 9th floor ) give we voucher free breakfast compensation . pleased . traffic noisy . hear continuous horn blow taxis street noise , guess 's side staying city . eat breakfast numerous cafe close cheap . breakfast buffet style plenty choice . hotel also provide complimentary tea coffee 8:30 am- 10 am often use grab drink buy muffin bakery . New York great good hotel stay sight seeing . use Gray Line tour bus getting walk easy . would stay hotel , would book large room high floor . 
 Aug 12 2008 	 so - so will not stay . 	 great location , correct . ... stay weekend husband child . several day arrive , email hotel ask two bed room . Kimpton website say would receive reply . upon arrival tell two bed would possible . concierge tell husband & quot ; not know & quot ; good place kid friendly dessert locate . room coffee maker - come ! ! toilet situate right wall unless 75lbs , prepare adventure . tv remote work properly . could change channel . thank goodness great bartender hotel bar ! happy hour lobby nice . hotel employee friendly , bed comfortable . would take chance one many hotel area next time . 
 Aug 8 2008 	 Great Location friendly / helpful staff tiny room . 	 make Priceline bid eventually 4 * -rated property $ 185 / not ( $ 222 w / taxis fee ) . hotel outstanding area : close Times Square , Grand Central Station & amp ; Empire State Bldg . tree line street make attractive neighborhood . nearby restaurant , drug store like make ideal short trip nyc.the staff uniformly friendly : doorperson , desk staff , housekeeper , restaurant / lounge staff concierge . treat politely everyone . several , fact , want accept tip service ( e.g. , person bring we roll - away bed ) . surprise , expect people & quot ; east coast , big city & quot ; air . the hotel decor modern pleasant . foyer seat area newspaper , internet access computer ( first 15 min free ) chill water dispenser lemon , lime orange -- tasty hot day . our room tiny -- one bed two people , need rollaway bed . accommodate rollaway , remove chair . flat screen tv ton channel . two radio . minibar serve tiny fridge water bottle . coffee maker , iron , board hair dryer . bed rollaway comfortable -- lot nice pillow . light color combination pleasant . bathroom , huge , large enough toiletry etc . well fan / ventilation would nice prevent mirror fogging . toilet sink work well . low floor , view air shaft . ask upper room . New York hotel expensive room small . context , felt receive decent value money . would want pay $ 300 + per night regular rate , priceline rate make hotel good value . 
 Aug 5 2008 	 Great Hotel ! 	 excellent property . Location Park Avenue quiet , ' well - to - do ' residential neighborhood , ideal return busy day NYC sightseeing . Fifth Avenue , Central Park Empire State building short walk away . the room large ( Deluxe Queen ) , modern , well - appoint quiet . one good city room experience trip across USA.If one complaint , charge internet . opinion , hotel supply part standard service ( many ) , least , nominal charge . however , fee hotel seek excessive . although WiFi laptop , many traveller come far away like ' lug ' around laptop ( especially travel US airport ) . case ( much seeking ) , find internet cafe 38th St far hotel charge $ 2 30 minute . other internet ( take account rating hotel ) experience Kimpton excellent . return NYC , first hotel would stay . already recommend hotel friend NYC September . 
 Aug 2 2008 	 incredibly friendly staff average hotel 	 wife stay two night 70 Park Avenue Hotel weekend July 26th . book hotel Priceline making offer $ 200 4 - star hotel . I send email hotel prior arrive let know wife come get one last getaway upcoming baby . also request kind room upgrade , possible . arrive around noon friday . state could check regular room time wait 3:00 pm , room reserve we 16th floor nice view Empire State Building . decide wait hold bag we . return 3:00 , book we room 14th floor without view . ' m exactly sure happen original room , book regular room , fine . overall , find room nice enough . would , however , rate 3 star , 4 star . room small side bathroom heater right next toilet require sit angle . window room also dirty impairing view . also power strip splitter many wire plug little frightening . positive side , room clean nice decor . also provide lot extra include flat - panel tv , iPod docking stereo , daily newspaper , slipper evening chocolate . also leave we box chocolate , two water nice card congratulate we pregnancy . find incredibly thoughtful . we find hotel staff incredibly friendly helpful every time encounter . location hotel also convenient well . couple block Grand Central Station within walk distance many attraction . would recommend hotel other helpful staff little extra . 
 Jul 29 2008 	 Midtown hotel human scale 	 stay room 1712 70 Park Avenue July 25 , 2008 . have book room -- ' deluxe queen , ' think -- promotion Kimpton website ( would find , turn , frequent traveler program ) $ 194 . hotel exceed expectation every way . previous Kimpton stay Chicago , Hotel Monaco , underwhelme several way ( fray furnishing , bad plumbing ) , 70 Park Avenue thoroughly redeem brand . room -- top floor hotel , add thank front desk staff we favor -- airy , quiet , ( folk care ) spacious , thank long , narrow corridor separate room main hallway . room bathroom , remember , do shade cool green , beige , white ; great place take refuge night ( morning ) town . hotel , like ( perhaps ) kimpton , feature complimentary wine hour 5 6 evening , fun people - watch lobby , even latter little small accommodate guest want hang . ( big lobby , way , anything tend crave hotel ; still , have arrive later 5.15 , would nowhere sit . ) location also , think , preferable fringe midtown , except , perhaps , Hell 's Kitchen . plenty restaurant Murray Hill Gramercy , drawback yuppie vibe : ' ve spend time San Francisco , imagine coarser version Marina few natural blond ( e ) s. eat well sleep well walk everywhere , be expect neighborhood . hotel clearly old building -- whiff sewage every time step elevator make think , ah , good old day ! -- renovation pretty convincing ; lobby graceful , small ; never run guest hallway ( big plus ) , hear ( except one door shut distantly around midnight ) ; bath product L'Occitane nice ( although would still prefer Aveda , guy ) ; keep express wonder well have sleep heart city . 
 Jul 22 2008 	 could not nice ! 	 enjoy three night stay 4th July . first room face inner courtyard noisy . request move honor luggage move . concierge helpful restaurant recommendation . wine hour great -although busy not enough glass everyone . oh well , cold beer taste good , ! great location pleasant staff . give hotel try ! 
 Jul 17 2008 	 Standard Kimpton 	 ' ve stay 70 Park Avenue several time business leisure . price usually seem right ( $ 250 range ) main draw , neighborhood not exciting . good : – Kimpton Touch member , seem upgrade property fairly often . corner king room nice view Park Avenue abundant light , rarity NYC hotel . – bed typical , comfortable Kimpton bed . – desk great extremely functional . – extra chair will not need resort sitting desk chair bed . the bad : – nearly impossible catch cab outside hotel . locate downwind Grand Central , forget get cab 8 - 10am 3 - 6pm . handy . – room tiny . closet space abundant bathroom teeny . overall , continue stay Soho Grand capacity price range ( winter ) . clean , staff friendly room comfortable help forget size . 
 Jul 14 2008 	 great location 	 return 3 week holiday US spend 5 night New York hotel . hotel great location near many great skyscraper ie Empire State Building , Chrysler Building beautiful building Grand Central Station five minute walk away . hotel lobby small plush complimentary apple , water newspaper . room 3rd floor ask move first night extremely noisy air con unit outside window hence sleep first night ! hotel staff accommodate helpful issue move . move 18th floor ( back building ) get lovely bright room view Empire State building . bed comfortable excellent large flat screen tv , bathrobe , nice toiletry bathroom , iron , minibar even umbrella . two child we never breakfast hotel @ 25usd head . instead walk 5 min Grand Central station lot good value option suit everyone . 
 Jul 12 2008 	 great stay -- disappointed ! 	 daughter town celebrate 15th bday . first stay Kimpton property , join in - Touch program select preference . note reservation celebrating . upon arrival , give preferred room -- double - double high floor w/ view ( Empire State Bldg ) . pleased since pay one bed . it nice room size perfectly adequate . size bathroom fine . agree w/ many poster light bit dim reading create nice , soothe atmosphere . the staff nice . enjoy many special touch -- wine reception , L'Occitane toiletry , turn - down service w/ chocolate , ice water apple lobby , free tea coffee morning , $ 15 & quot ; raid mini - bar & quot ; coupon . also much appreciate & quot ; green & quot ; practice . but good part stay way choose honor daughter 's bday . 15 minute check room , room service arrive surprise we small bday cake , bottle sparkle fruit - flavor tea champagne bucket w/ 2 wine glass personal note daughter another $ 15 & quot ; raid mini - bar & quot ; coupon . excited ! feel hotel go beyond expectation . 
 Jul 8 2008 	 Excellet location service clean . 	 boyfriend stay 4th July weekend good time . location great . 4 block Grand Central Station . walk distance Empire State Building , Chrysler Building , shop , restaurant 5th Ave . check - in efficient courteous . entire stay , staff friendly . no coffeemaker room . free coffee lobby morning wine - taste thing early evening . everything great . employee can not enough . name . can not go wrong . notice remark small bathroom . true , will not spoil trip . really sensational hotel . ' ve stay many . keeper . the Empire State Building , God rip ! ! ! worth ! ! ! ! . pay kind money . 
 Jul 7 2008 	 nice 	 well say , add information may help try find way round NYC first time .. start get airport problem get cab , fix fare $ 45 do not worry meter show .... important .. tell cab driver go Park Avenue , corner 38th Street NAME hotel 70 Park Avenue.if not say way chance take , Park avenue corner 70th Street , long long way want cab driver charge extra .. arrival check fast well organise . our group twin room kingsize room . the difference ? well apart bed ... kingsize view onto Park avenue , twin view brick wall need ear plugs noise air con unit outside room . advice ? request room front . room clean , slightly well bathroom , big bedroom sofa & amp ; table . nice relax room decent shampoo , soap etc . large flat screen tv mini bar restock every day . we also hair dryer , iron , board , dress gown even umbrella room plus free newspaper every morning . one 2 lift failed weekend , fault leave people choice long wait , use service elevator walk ... 4th floor not problem we . fix first thing Monday never major problemThe downside breakfast ... cost $ 25 , consist usual fruit , croissant etc egg , bacon like . limit choice honest really worth money , mother law diabetic something first thing not leave much choice . well choice option would visit railway station 2 block away Grand Central , lovely food downstairs food hall cheap . there good internet service ... available room also couple computer lobby . this work ! ! ? ? type credit card number , get free 15 min per day . ( several card take get 15 min card ) . end 15mins choice pay $ 6 carry another 15 min log .. ( use another card ) .We fly BA day return check line . lucky early flight cancel people flight , people flight fail check via internet bump onto much later flight . I print 4 sheet paper boarding pass expect pay $ 1 , ( like many place ) ... however not . frankly sign small thing make difference .... many hotel bother visit tripadvisor reply ? ? customer service right . check easy fast . cab wait outside early airport run ... $ 45 fix price . in conclusion , apart breakfast less exciting stay 70 Park Avenue perfect . thank staff make stay enjoyable experience . 
 Jul 6 2008 	 dream come true 	 husband away together ( we ) 5 year , really , really look forward night city 70 Park Avenue Hotel . able get great rate hotel web site use AAA discount , book 4 month advance . book King Deluxe Room . Imagine surprise check really nice guy front desk inform upgrade we King Suite . top floor hotel throroughly enjoy view Empire State Building private terrace . hotel gorgeous , super clean , spacious staff nice . 's location perfect get around town . would like point short walk 3rd Avenue bring Sarge 's deli , one good jewish delis leave New York , also open 24 hour . one night New York romantic relaxing could possibly agree wonderful place like close home , definitely back month . thank 70 Park Avenue Hotel wonderful experience . 
 Jul 4 2008 	 great weekend New York ! 	 town see Eddie Izzard 's comedy show ' strip ' Radio City ( fantastic ! ) look somewhere fun relatively central stay weekend . stay Kimptons city find wonderful deal website - book King room $ 269 ( non - refundable ) . hotel great spot , Park Avenue bit quieter mid - town 7th Broadway hotel . room lovely , l'Occitane toiletry nice treat ! room door bite loud shut ( especially people hold let fly ! ) , otherwise room quiet comfortable . please nice , walkable neighborhood . walk Brasserie Les Halles ( Park 28th ) dinner Friday night ( chef Anthony Bourdain work town ) great brunch Josie 's 3rd Avenue 37th street . would definitely stay 70 Park Avenue be next ! 
 Jun 30 2008 	 great 	 great location , quiet neighborhood short walk Times Sq , staff courteous helpful , able meet need would expect Kimpton , would stay next time NYC 
 Jun 30 2008 	 Nice Hotel Good Location 	 return girl weekend NYC . hotel perfect . book two King Rooms . room # 1505 really nice . corner room lot window . room # 1507 fine , exception near elevator . room large ny . bathroom small nice . bed really comfortable . fact , location hotel extremely quiet night . hardly hear siren etc ... different San Carlos Hotel stay last year . nice wine reception evening . water apple lobby area day . Bellman nice helpful . Grand central couple block , convenient subway . easy walk Rock . Center area . Conceirge seem little rude , think odd ! complaint , one elevator work line / wait time elevator extremely long also one room ready 4:30 . disappointing since arrive hotel 10:00 morning tell come back around 3:00 . eat dinner show ( Grease ) Trattoria Trecolori 47th Street . dinner really good price extremely reasonable . restaurant adjacent Brooks Atkins Theatre , perfect location . Moonstruck small diner type restaurant around corner hotel . reasonable priced breakfast lunch . also eat Bar american 52nd ( Bobby Flay Restaurant ) . okay . would not eat recommend friend . I would definitely recommend hotel anyone would stay . location perfect ! 
 Jun 29 2008 	 mixed reaction 	 finish 5 - day stay hotel , leave mixed feeling . pro : excellent location Murray Hill , near Grand Central middle chaotic surrounding . staff pleasant responsive ( although use concierge ) . since member Kimpton Touch , receive free wireless internet entire stay ( much appreciated husband teen - ager ) 2 free item mini - bar . large flat - screen tv various audio - visual gadget also fun . evening happy hour provide we good glass wine . con : although expect relatively small room , virtually nothing place clothe live suitcase 5 day . aforementione gadget take virtually desk minimal cabinet space . bathroom tiny person could barely turn around . although help hotel 's boutique aspect floor small number room , hallway small laundry cart clean supply sometimes block way . our queen - queen room price $ 300 per night , not decide yet whether get money 's worth . 
 Jun 23 2008 	 Good Location Great Beds 	 70 Park Avenue cute hotel really good location . room two queen bed . room pretty small bathroom tiny . strange dimmer almost every light , include bathroom . tub small could not even lie . technology good though , huge LCD tv room . bed great great view . look Park Avenue . room - service breakfast pretty good . 70 Park Avenue pretty decent hotel not good hotel stay New York City . 
 Jun 20 2008 	 another great Kimpton property ! 	 room beautiful pretty large ny standard . queen room spectacular view Empire State Building bed . 's excellent location close lot tourist spot great restaurant nearby . staff friendly accomodate every request include track stapler . 's gym onsite pass NY Sports Club 's couple block away . would defintely stay . 
 Jun 16 2008 	 nice room inconsistent service 	 70 Park Avenue Hotel nice hotel , service inconsistent . room ( queen deluxe ) small comfortable , location convenient Grand Central . the hotel advertise excellent service lack follow ; example , receive e - mail prior stay hotel 's executive assistant ask special request question , yet never respond e - mail send reply . also request specific pillow type making reservation ( be hotel 's registration form ) still receive wrong pillow room ( easily correct next day ) . bad hotel concierge ; ask help find restaurant , busy shop online t - shirt act interrupt ( note : early morning one else lobby ) . offer make reservation we even provide we restaurant phone number . since room nice location good , would consider stay , would know expect chain motel vs. boutique hotel service . 
