absolutely 	 hotel recently renovate beautifully do . locate Upper West Side across street Fairway market one great grocery store . hotel room come complete kitchen . really enjoy stay . 
 great place stay do not wan na slap bang city centre .... 	 stay hotel two week .. turn great location holiday .. subway use time ideal we .... staff helpful pleasent ... even meet fellow thin lizzy fan reception good oman ! ha .... lovely view hotel room nite .... clean .. quiet .. ( except jerk decide start play trumpet early hour sunday morning .. phone reception nobody arrive .. small gripe though ) ... laundry room bonus ... great wee cafe rite beside hotel .. close central park john lennon old place bonus ! do not wan na locate heart city .. would welcome quieter area nite .. would highly recommend hotel .. 
 great hotel certaintly live expectation 	 arrive Hotel Beacon sense expectation would hotel cut rest disappoint . stay 8 night lucky enough upgrade one bedroom suite - roomy well appoint need . service great find staff professional helpful everything need include little thing make difference . upper West Side neighbourhood wonderful hard day pound NY pavement load great restaurant within easy walk distance fabulous delis , supermarket bottle shop across street . 
 Jul 30 2008 	 Little Gem 	 return week 's stay Hotel Beacon great hotel be . this first time New York really enjoy stay . room big believe NY standard bathroom - stay far tiny place Europe . we primarily choose hotel location also fact kitchenette room . the decor hotel bit date could revamp not bother we . the location hotel perfect - subway within less 5 min walk distance block away Central Park . neighbourhood nice always feel safe . load fab restaurant choose Fairway market across hotel - go see place ! ! ! upstairs night steakhouse 's informal . there complimentary newspaper every morning staff helpful . a great find definitely stay whenever go back NY would highly recommend . 
 Jul 25 2008 	 would not stay anywhere else ... 	 stay Beacon 10 day right end June . first ever visit New York , indeed USA . taxi trip hell ( take right East Side , rush hour Penn Station , driver think go Beekman , despite give address Beacon ... ) bit frazzle say least pitch lobby . right arrival impress friendly manner reception staff . room 18th floor , one floor already refurbish . , work progress least one floor , aware lift stop allow workman . disturbance report . assume room refurbish eventually . we delight room . lucky get corner room back , mean fantastic view edge Central Park . plenty big enough , finish really high standard , huge bed , tv match useful well - equip kitchenette . really can not think anything even mention downside . hotel well - situate , area lot less frantic midtown . 's easy walk Central Park good selection bar , diner restaurant nearby . fairway market across street open 6:00am till midnight everything could possibly want way food drink . zabar deli H & amp ; H bagel short walk Broadway 72nd St subway station 3 minute away opposite direction , great get around . know read like brochure hotel , really find good - fairly critical traveller afraid register displeasure thing not scratch . plan visit NYC within year , stay Beacon would not entertain idea stay anywhere else . 
 Jul 23 2008 	 go big chain worth headache stay 	 Beacon Hotel nicely furnish nice location , unfortunately , staff not pay attention payment detail . credit ard charge three time stay - travel world never experience problem get ' hold ' credit card release hotel . go large chain process pat , mom pop place can not address need small . 
 Jul 13 2008 	 Faded Grandeur 	 go two daughter ( 19 22 ) two room suite 24th floor . modern hotel stay , masse room , two tv , kitchenette view die , especially night . contrary previous review , restaurant believe own hotel , separate entrance ground floor . also recommend Manhattan diner road breakfast light meal , numerous restaurant vicinity ( comprehensive list provide room ) . fruit breakfast goody , excellent Fairway supermarket across road . it be minute ' walk 72nd street station , fast line underground one stop Times Square ( 4 stop slow line ) . also walk pleasant tree - line street Central Park 5 min ( Lincoln Centre , Dakota building , Natural History museum , Strawberry field ) . even walk back park Metropolitan Museum Art Upper East Side one evening . would definitely stay - price good New York . oh yes , not use Shuttle bus JFK - drivers manic , drive phone clamp ear , pile luggage back danger decapitate stop suddenly , moan we late hour office tell we ready ! 
 Jul 7 2008 	 great Stay Beacon 	 stay Beacon hotel seven night June 17 - 24 . initially book one bedroom suite check - in , desk clerk look family four upgrade we two bedroom suite extra charge . suite huge comfortable quite clean . can not beat space price . staff friendly helpful . really enjoy restaurant upstairs Fairway market . food great really affordable - end eat several time . also starbuck right corner . love area versus much crowded commercial mid - town area . I actually live Beacon year back late 80 be definately do remodelling since time . 8th floor sound like remodelling floor us noise never intrusive . definately lot street noise ( hey , 's New York ) bring & quot ; white noise & quot ; machine help lot sleep . the negative experience book return transportation airport concierge . recommend book shuttle versus get cab since go Newark . tell we , quite confidently would last stop shuttle trip would take 45 minute book we . well , shuttle arrive , surly driver inform we Beacon first stop trip would take close hour half . end jump Midtown luggage hail cab order get airport enough time . problem get cab driver take we Newark ( despite concierge tell we ) . fee shuttle non - refundable end quite expensive . certainly seem like concierge well information kind thing . we would definately stay Beacon ( rely cab go airport ) . 
 Jul 7 2008 	 Beacon - not shine 	 Beacon great location , close everything room large clean . my problem hotel staff . discover theft room report front desk . could care less . loathe take detail ask police attend pull collective finger . ask conduct ' in house ' investigation rather get rozzer . agree ask next morning progress investigation front desk staff look we blankly discover detail theft pass zero investigation carry . since contact manager promise faithfully would come back answer guess ? nothing . if think go NY mean go , great town avoid Beacon . 
 Jul 6 2008 	 wonderful experience 	 hotel great location , near subway nice upper westside neighborhood . choose could 4 room , unlike mid - town hotel check , would allow 3 per room . great family clean . would stay would recommend anyone - problem . 
 Jun 23 2008 	 Fantastic - could not ask well price .. 	 arrive New York long stint holiday Europe .. fall absolutley love city . the hotel Beacon wonderful .. price great , room huge ( comparison Europe ) , clean tidy 's great location lovely Upper West side , away tourism , hustle bustle & quot ; Times Square & quot ; .there also huge laundry lot wash drier make horrible holiday chore bad .. although restaurant hotel , definatley not need Fairway Market Place across road stock superb fresh fruit vege wonderful selection hot meal go rock bottom price , even choose buy anything , surely worthwhile look . figure must one good cheap place town grab something easy eat always NY Police Department car NY Fire Department truck front , sure fire way find decent place - follow local ! however many different type eaterie nearby . Central Park way everything relatively easy access hotel include sub . we plan go back NYC distant future stay .... thank Beacon Hotel make stay NYC good one .... 
 Jun 15 2008 	 Beacon great 	 time whole travel stuff help travel agent . almost get desperate ask budget hotel give woogoo read review . serche little bit get little ore flexible money come Beacon . I love hotel , view high floor room , size old comfortable room . the kitchen room also quite clean room service fine . I think Upper West Side nice place manhattan first time . pleasent , easy nice breakfast , like zabar , restaurant , etc . also develop theory whole right side island well subway transportation ( Lexington line crowd hell kinda lonely far east ! ) .The negative aspect concierge lack ability solve issue quiqkly car airport arrive settle time . end get plane back Rio , happy NYC Beacon . 
 Jun 14 2008 	 Fantastic ! 	 stay April 2005 2 + 2 night en - route Toronto / Niagara Falls . Booked BAHolidays website March 2005 pay £ 38 / room / night - excellent value money - could easily pay total price hotel reservation one night NY ! . Beacon Hotel locate much seek Upper Westside , block away sub - way downtown manhattan close Central Park . got double queen room equip kitchenette first part reservation ( conveneint good deli 's takeaway around ) . got king - size bedroom suite kitchenette second part reservation . hotel internet facility check - in online spend time shopping head home ! ! ! 
 May 5 2008 	 wonderful Value - Great Location ! 	 husband & amp ; return weekend Manhattan could not happy accomodation ! beacon block subway , 3 block Central Park right across street WONDERFUL market . since room kitchen facility ( include toaster ) able prepare breakfast room prior head day . be also nice little greek restaurant next door ( good reasonable ) liquor store couple door . definitely return ! 
 Apr 26 2008 	 treasure 	 hotelier tend super critical hotel would hard time fault Beacon much return next month . tastefully decorate , spacious clean room , friendly helpful staff fantastic market right across street stock want chill room watch tv get late start breakfast room ! location ideal close everything could possibly want Big Apple really need take cab subway minute away . I highly recommend hotel can not wait return next month . 
 Apr 9 2008 	 happy accomodation 	 stay Hotel 9 year ago , like . Broadway distance away hustle bustle Midtown N.Y . must admit little wary booking inform hotel go refurbishment . need not worry , either complete werelocate away work . little disappointed 6th floor would like one high , ok . we side hotel , be not bad . the room clean keep immaculate maid change bedding towel every day . tv lot channel really want watch tv n.york . we travel Virgin Holidays find rep , meet Planet Hollywood helpful , least pushy booking trip . would not take want thing . I would certainly recommend ' top rock ' wonderful experience queue whatsover . staff nice helpful . totally different Empire State Building , wait four hour , actually get top half rope due wind . inform , do not think would bother . actually , Husband not . the diner next door excellent food , opening six morning closing 1 ( think ) allthough time staff friendly . especially girl guy fine well mannered . also include service charge bill , think quite naughty do not realise first tipping again . the grouch thehotel , reception staff miserable , friendly all . however , would not let put , ever travel New York City , would certainly stop . 
 Apr 6 2008 	 good value 	 choose hotel location value money . still conveniently locate Broadway stay slightly centre meant get good sized room New York standard . hotel facility fine staff friendly helpful , although noise adjoining room one night . plenty shop , coffee bar , deli 's , etc . around , Central Park close subway . would hesitate stop , recommend want value money good quality easy convenience get around . 
 Mar 29 2008 	 Outstanding ! ! 	 gem ! fall love Hotel Beacon . 's meager star rating ( due lack amenity would not use like in - house restaurant room service ) property justice . stay one renovate two - room suite one top floor . even view Hudson River ! could easily spend ( prepared spend ) $ 500++ midtown hotel get nice room . two - room suite incredibly spacious , spotless soothingly decorate . one side comfortable living area dining table four . room also great fully equip kitchenette stove , refrigerator , microwave . also fully stock plate , glass flatware , use take - out meal gourmet grocer Citarella across Broadway . numerous dining option , include great little diner adjacent hotel , starbuck step away , plus plenty restaurant type . need dreary hotel restaurant ? ! bedroom side comfy king bed , large flat screen tv bazillion channel cable , iPod docking station speaker . bathroom small beautiful & amp ; functional . all - cotton towel feel great , full array & quot ; emergency & quot ; item case forget toothbrush , razor , need mend something . all , stay greatly exceed expectation . Hotel Beacon fabulous value Manhattan , right smack great neighborhood convenient even business appointment midtown . & quot ; go & quot ; hotel ny.note : hotel currently undergo renovation , always make shudder potential noise & amp ; disruption . not let scare . honestly say renovation impact stay whatsoever . renovation - relate disruption . 
 Mar 4 2008 	 Loved Beacon ! 	 return 7 night New York stay Beacon . 1 bedroom suite excellent . kitchen BIG bonus Big Apple . great size room , maid service every day - can not fault . Position Hotel fantastic - outside busy Times Square area near enough subway ( 72nd ) get anywhere want . great value ! ! ! ! 
 Mar 3 2008 	 simple hotel clean good location couple problem 	 book hotel something convenient upper west side . no - frill establishment , feel slightly worn . lot review refer & quot ; discovery & quot ; , think read & quot ; hide gem & quot ; lead bit astray . I arrive late , ill , ask room service ( need chicken soup ) . got blank stare . hotel not thing ... oop . good news good restaurant next door easily order get soup , perfectly fine I . there real work desk , could not set laptop easily . hotel website say & quot ; internet access & quot ; include room description . cost $ 9.95 , big deal , wish hotel would clarify add cost , think include . room loud not - very functional heating unit . wear earplug . suite two room , bedroom would not heat . room contain microwave minifridge , work well order lot soup get ( really well , flu ) able heat morning . room clean , kind worn feeling . bed , bed kind line 2.5 star establishment . two day leave bill $ 600 not feel really good value . location good , right corner Broadway 75th . doubt return , nothing really huge negative , seem kind expensive provide . usually would stay Omni recollection pay much well place , would go back next time . 
 Feb 17 2008 	 run great location 	 stay Beacon seven night April last year . first quite pleased foyer nice give good first impression . room , however , leave lot desire . travel 5 7 year old book two room suite . two room choose sleep fold sofa bed lounge area mean could watch tv kid go bed . sofa incredibly uncomfortable result sore neck stay . decor old fashioned , although reasonably clean , not feel ` ` nice . lift probably bad thing stay undergo maintenance ( apparently month ! ) slow . often would walk ten floor room rather wait . staff quite nice time tour desk great . , not sound like whinge , location great . nothing cool get cab saying & quot ; west 75th broadway thank ' ... New York ! lol short walk Central Park Strawberry Fields , subway big international market directly opposite . great , room kitchenette , buy breakfast supply / drink , etc keep room . cafe next door hotel great breakfast friendly service . decide New York going pay huge amount money little term ` ` çlass ' . pay lot less would do stay Times Square like . however , little detract New York experience whole . would look elsewhere return . 
 Feb 7 2008 	 mixed feeling 	 stay hotel , recomende family host wedding NYC . price good , room large NYC standard . location excellent , safe convenient . din / cafe next door fabulous . wall super thin , however , door visible gap around , interior ( street ) noise neighboring room hallway unacceptably loud . we could barely sleep . physical plant issue - nothing really do . also , bed & amp ; bath linen well room carpet really shabby . know top price hotel , beyond sad . carpet huge fray ripple , chair scary stain , threadbare towel time . kitchenette feature , though , great clean . NYC tough place find well price room . bring earplug reduce expectation linen stay ok , especailly eat Cafe Viande order pesto omelette . 
 Jan 21 2008 	 relief kitchenette sitting room . 	 4 week tour USA December / January 2007 , 3 old child ( girl , 22 , boy , 19 boy , 18 ) , go San Francisco [ Omni Hotel ] , Miami ( South Beach ) [ Beacon Hotel ] , Orlando ( Disneyworld , Pop Century Resort ) , Chicago [ Drake Hotel ] , New York ( Christmas ) [ Beacon Hotel – relation one Miami ] , Boston [ Omni Hotel ] , New York ( ) [ Roosevelt Hotel ] ( include New Year ' Eve Renaissance Hotel overlook Times Square ) , day trip Niagara Falls . sometimes cosy - sometimes downright stressful - kid . anyway , accommodation review . ' mention side trip tour . sometimes accommodation arrange travel agent , couple occasion organise direct . spend 6 night Beacon Hotel New York , include Christmas Day . actually see accommodation favourably review travel article local Sunday paper , make enquiry direct result . ' locate Broadway Upper West side . we 1 bedroom suite , capable sleep 5 - 2 double bed bedroom fold - out couch separate living area . ultimately , take another double room seem bit cramp 5 we , especially Christmas . management arrange spot , conveniently , room immediately next door . suite large living area kitchenette , complete large fridge , stove ( hotplate oven ) , cutlery , cooking utensil , crockery glass . housekeep generally quick request thing extra towel , sharp knife cutting board , tray champagne flute . there tv bedroom , along drawer , comfy chair , wardrobe room safe , well 2 double bed ( quite large room ) . sit room , another tv chest drawer , couch , desk / table 2 chair , coffee table 2 end table table , lamp , plenty room trundle bed , management provide fold - out couch find break ( term fold - out bed - still ok couch ) . standard double room 2 double bed , desk / table chair , comfy chair , drawer , wardrobe , safe small kitchenette hotplate , crockery , etc . bathroom reasonable size New York standard . large laundry floor we , coin - operate washing machine dryer ( great able wash clothe properly couple week road ) . wireless internet $ 10.00 per day . hotel quite old ( building New York ) , ' let put off . we particularly happy living area Christmas ( even buy small tree Christmas light ) . kitchenette large fridge delight long ordinary room bar fridge ( lucky ) . good thing huge market across road , serve every kind food imaginable ( fresh fruit sushi , gourmet cheese olive tv dinner ) . liquor store next door . mean could completely self sufficient room . breakfast , several dinner even lunch room . relief eat every night ( day ) - cook pasta room instead . as far location concern , depend want close . New York huge city , Beacon mile away , say , Little Italy Wall Street , United Nations , Guggenheim museum , even Empire State Building . conversely , walk easily Central Park , Strawberry Fields Dakota , American Museum Natural History even Columbus Circle . subway nearby , good way cheaply get around long distance ( get multi - journey ticket - dispatch vend machine use credit card subway station ) . close multiplex cinema IMAX theatre . like big city , never get hotel NY convenient everything . as tour , get money ' worth City Pass ( valid 9 day see 6 attraction ) , save we time queue Empire State Building . City Pass include boat cruise ( Hudson River , Statue Liberty Ellis Island , East River Brooklyn Bridge ) well worth . [ Hint - trade travel agent ' voucher book City Pass ticket less popular attraction , queue short . instance , Empire State Building , ' huge queue get City Pass , ' join back queue building . ] Gray Line hop - on hop - off loop ( open top double - decker bus ) good ( purchase travel agent leave ) . also awesome helicopter ride Manhattan Liberty Helicopters ( chopper take 7 passenger plus pilot ) Christmas Day , , imagine , hellishly expensive . empire State Building must , ' recommend Top Rock ( view deck top Rockefeller Centre ) . , get much well view Central Park , plus look south Manhattan see Empire State Building ( ' ' atop ! ) . big bonus , whilst take 2 hour get top Empire State Building , virtually wait get Top Rock . go mid - afternoon , stay evening get sunset night photo . the Beacon great choice , kitchenette ' location across road market . ' stay , especially Manhattan night two . 
 Jan 16 2008 	 excellent value 3 * 	 decide year would spend new year eve New York instead sit front tv Milton Keynes uk.our travel agent select hotel Beacon part package first concerned hotel would far away area want visit ie : Times Square wonderful shop . once get bearing find subway 72nd street take 10 minute Times Square 30 minute ferry terminal Ellis Island Statue Liberty walk Broadway Times Square Central Park 5 Avenue take 30 minute ( think walk fast reach minus 12 ) stay 10th floor hotel much view room good size king size bed . Kitchenette handy able stock daily supermarket opposite . the room look like recently decorate clean , maid come daily change sheet towel . would recommend stay hotel Beacon look large standard 3 * hotel use base sight see shopping . 
 Jan 11 2008 	 great location 	 great hotel - be lone young female traveller terrified discover would lose paperwork - the staff allow book spend considerable amount time effort contactiong various agency behalf whilst slept night away ! have sort everything time get leave enjoy trip ! ! room nice spacious kitchenett extreamly handy - especially heat home cook meal supermarket across road . also nice able make cuppa first thing . room safe also usefull . plenty hang space clothe shower great ! ! ' m return week concern take young baby great hotel will use city ! ( ' ve stay far bad place twice price ) 
 Jan 4 2008 	 Loved Beacon Hotel NYC 	 wonderful 6 night stay Beacon Hotel , New York City . room one bedroom apartment , great size kitchenette bonus ( complete utensil , crockery full size oven refrigerator ) . clean spacious . front desk staff friendly , concierge helpful well . location great , straight across supermarket , next door great cafe / restaurant ( salmon raviolli great ) starbuck , bank / ATM 's shop close . within walking distance Central Park ( must ! ) American Museum Natural History ( great place visit ) also subway 2 minute walk , give we access major site attraction . the Beacon Hotel feel like & quot ; Home Home ' , would definately stay , without doubt . loved . 
 Jan 3 2008 	 great hotel great Manhattan location ! 	 really enjoyed stay ! hotel oversized room suit perfect travel family . travel family ( 2 adult 2 young kid ) reserve suite perfect we . suite large kitchenette . hotel location ( Upper West side ) great many restaurant , central park , natural history museum store walk distance . be one minute walk subway station go directly Times Square ( express line ) . personally prefer location real New - Yorker leave . ' fan Times Square area hotel ; crowdy noisy expensive restaurant ( good ! ) dedicate serve mainly tourist visit Time Square . restaurant hotel ok quick meal breakfast ( need go hotel access restaurant - direct access hotel lobby ) . hotel parking ; area cost parking $ 47 / day ; ' NYC … . 
 Dec 16 2007 	 Hotel Beacon Great Neighborhood 	 stay 2 bedroom 2 bath suite long Christmas holiday weekend . beautiful corner suite spacious 3 flat screen tv . process remodeling room one finished one . make sure ask remodelle room , possible . staff concierge extremely helpful friendly . feel safe really love neighborhood . wine store next door grocery store across street . neighborhood real family people live . neighborhood service good catering tourist -- plenty delis , pharmacy , bookstore , etc . 2 block 72nd street subway . love come back crowd Times Square Broadway area . quick cab ride / subway ride back home hotel . comfort come back escape insanity . feel safe welcome back neighborhood 74th Broadway . would highly recommend hotel girl weekend New York family . like eat next door Viand cafe quick service , reasonable price , good food . will love shop Fairway Market across street buy fresh fruit , cheese , baked good , etc . will shop local . bad thing happen large plate glass window sort drafty little cool bedroom , sleep well ! ! not overlook hotel ! 's price fairly 's great location ! 
 Dec 13 2007 	 much expect 	 travel England first ever visit New York really did'nt expect . tell lots story small hotel room , poor service bad location . 7 hour flight fill anticipation . arrive Beacon Hotel approx 10 pm meet pleasant receptionist appreciate fact long day provide quick service get we key room . room spacious three us lovely night time early morning view would pay much back England . housekeeping everyday keep main area room clean . location far enough Times Square affect noise far get approx 10mins cab cost $ 7 £ 3.50 alternatively pleasant walk ( like walk ) . central park 2/3 block away lot shop , diner ( next door ) , restaurant , boutique , nailbar etc surround beacon hotel . directly opposite large foodstore . next door hotel theatre unfortunatley time strike . family enjoy 7 day would recommend hotel family friend hope visit hotel Beacon NY next year . 
 Dec 12 2007 	 Night Hell 	 Night hell ! go bed 10:00 pm less minute hear bang noise . sound repeat 2 4 time minute next half hour . call desk complain . desk tell we would send engineer investigate noise . wait half hour engineer . another call desk tell would send engineer . another half hour pass noise still continue & amp ; engineer . decide investigate noise discover head bed next elevator every time elevator move make bang noise . hour half wait engineer , decide personal visit desk necessary . get dress & amp ; go downstairs . approach desk steam come ear , say desk man " room 2304 " ! respond & quot ; look like someone ready attack & quot ; follow & quot ; not change room " . say " would good idea " . give room 919 . room : must say , room clean . however , furniture old wear . small bathroom exhaust fan . small pillow . 19 " television remote work . 9th floor hallway smell musty ( terrible ) . dangerous stand shower , non - slip strip bathtub , wife slip twice -- -once get get . call desk service " forget " . finally : hotel provide desk personnel sport coat fit . poor man wear jacket 4 - size small . look like single button ready pop . would not stay beacon free . 
 Nov 30 2007 	 comfortable accessible affordable NYC ! 	 Hotel Beacon great location short walk event Lincoln Center . neighborhood also offer plenty shopping , run gamut Barney 's Loehmann 's . room unusually spacious , comfortable well - equip ; bathroom tiny clean . addition , little kitchen sink , fridge , stove , microware , coffeemaker , toaster , dish & amp ; cookware , ... everything need extend stay . ( be also coin - operate laundry hotel ) . next door cafe ( sort greek diner ) offer free delivery reasonable price good food . Hotel Beacon staff professional friendly , hotel rate can not beat New York . highly recommend . 
 Nov 27 2007 	 yes want space want tourist location style 	 prior review pretty much point . review post & quot ; 504 & quot ; 11/21 right almost word word , shabby window treatment , carpet , wallpaper , etc . another poster describe stuff & quot ; fade . & quot ; true . depend want . we ( family 4 ) one bedroom suite far large space stay : thebedroom around 12 x 14 living room probably 12 x 20 -- huge Manhattan standard . ( see picture ) place little worn . be use Marriott 's couple grade that . location : tourist area ; neighborhood . not think there s much Times Square ( play , ESPN , etc . ) prefer stay . exicite neighborhood real urban feel walk around fun enough . hotel 2 block 72nd express stop Broadway line easy get anywhere , although fare $ 2 - $ 8 fare family 4 add . cab fare Chelsea gallerie around $ 14 ; Canal Street $ 18 . want neighborhood style try Ave hotel 2 block north : expensive much small modern room . food store : good cheap shop Fairway , huge ( Manhattan standard ) supermarket across street well competitor 2 block north side street . normal stuff store plus ton cheese prepare gourment food . worth look even not buy . restaurant : Amsterdam Columbus ( two street parallel east Broadway ) load restaurant -- walk look fun itself . fast food : two pizza place north hotel east side Broadway ( surprisingly NY ) mediocre bad . want pizza , Little Nicks ( 2 block north , west side Broadway ) outstanding . Gigi 's , 5 block south , west side Broadway , delicious quessadilla , jewish deli ( 3 block north , east side Broadway ) mediocre good little expensive fast food 
 Nov 21 2007 	 hate 	 ' understand good review ? stay hotel two night pay $ 740 – bargain ! receive spacious accommodation , good thing . wallpaper peel wall , carpet spot buckle floor , bedspread cigarette burn inside , sheet cheap , pillow pitiful , window treatment heavy gloomy . yes , location good hotel location city . never stay . 
 Nov 19 2007 	 Beacon great 	 book Beacon location , price great review Trip Advisor . turn even well expect . stay three night mid - October , expensive time stay New York . would definitely stay even could afford & quot ; well & quot ; hotel . service fantastic . room clean large New York standard . location absolutely fabulous , close food , shopping , transportation , park , etc . room need update , consider everything function properly - window open , air conditioner work , plumbing , safe elevator , will take shabby chic . ' ve stay chic hotel New York stuff work , room small could touch wall hand , service yucky . , Beacon ! ! 
 Nov 19 2007 	 love location 	 hotel great location , close subway , walk distance central park museum surround lot cafe 's . enjoy Gray 's Papaya Hotdogs road . staff not overly friendly conceriege . good laundry facility helpful be extend holiday . room large , great shower , kitchenette come handy . bed comfortable hotel quiet . would stay . 
 Nov 19 2007 	 Perfect Location 	 Hotel Beacon fabulous location see thing NYC . reviewer say , great access subway walk distance Central Park . room clean great lay - out . kitchenette prove great benefit breakfast ! also , Fairway across street convenient . I also find staff helpful . flight delay not arrive next morning able go right room 8 am . also , flight late afternoon leave bag concierge problem . would highly recommend hotel traveler look convenience , great ambiance reasonable price tag . ' m definitely book place go back next year ! 
 Nov 10 2007 	 great value Upper West Side hotel 	 Beacon Hotel bit fade great on - site facility . location excellent heap coffee shop place breakfast/ dinner right doorstep . ' ve stay hotel three time time ' ve happy service . the hotel near subway easy walk distance Lincoln Center Central Park . although might centre midtown obvious choice first time visitor New York , would recommend anybody seek comfortable hotel reasonable budget New York . last time stayed , upgrade suite ( picture attach ) standard room big . 
 Nov 8 2007 	 right 	 good location , minute Central Park - Strawberry Fields area near subway could get anywhere ! ! ! room clean although light not work check fix 5 minute ! supermarket add bonus never see anything like - fascinating two good meal cafe attach hotel , real good value . surrounded shop plenty see take atmosphereI would recommend hotel anyone leisure visit . 
 Nov 5 2007 	 bedroom sit room kitchenette easy shopping 	 visit UK Virgin Holiday . ideal hotel family prefer self catering type arrangement luxury waiter type hotel . stay Park Central Hotel 7th 2006 . Beacon Hotel far welcome much well room size - two double bed one room , large sitting room , kitchen , bathroom 3 walk cupboard . room face east away Broadway - quiet . Carpet bit tatty also sofa , great place stay . Fairway supermarket alone worth trip Manhattan . 2 minute Subway , 1 minute bus stop , 5 minute walk Central Park . Fairway restaurant 2nd Floor opposite must . not put 75th street - friendly safe convenient place stay . back ! 
 Oct 30 2007 	 great location good price 	 always challenge find affordable hotel New York city . beacon good choice . travel New York often business time try save company little money . Beacon help reach goal . hotel locate Broadway near west 72 street step away subway station location great . many restaurant shop nearby gormet supermarket right across street . like Beacon addition location friendliness staff . check - in quick pleasant . room good size , small cramp equipped mini fridge , range top , pot , dish microwave . could bring leftover restaurant back hotel heat late night snack . decor nothing write home , be Trump Tower . wallpaper carpet little outdated start show sign wear tear along edge consider buck ' m save not mind . look atmosphere elegance not place look comfortable budget hotel like Beacon . would stay price location . stay Beacon like stay nice well worn shoe , comfortable . 
 Oct 24 2007 	 great affordable choice Manhattan 	 originally go stay outside city due budget consideration , weigh pro con decide stay Manhattan worth extra expense . right decision . Beacon locate great Upper West Side neighborhood , load great store restaurant , block 72nd St subway . Times Square less ten minute , be easy reach part NYC . hotel well suited family , especially teenager need privacy . suite spacious New York standard , well - appoint living room sofabe ( become daughter 's domain ) , full kitchen , good - sized bedroom two queen bed . 20th floor overlook Broadway , offer great view rather noisy throughout night . Fairway Market across street great place shop , take delivery around clock , truck idle whole time . be light sleeper , demand room back . think suite nicely decorate , sign wear tear whatsoever . bed comfy , appliance work , plenty towel kitchen utensil . although traffic noise constant , never hear peep neighbor , run water , flush , tv , nothing . elevator bit slow never wait long 2 minute . housekeepers friendly give we whatever ask question ask , people front desk could use refresher course customer service , maybe surgical procedure remove attitude . also friendly clerk go way help . get back Fairway , incredible market , amazing selection meat , cheese , produce , deli item , reasonably price . store open 1:00am , advice go late night , afternoon early evening aisle pack gill . be grocery shopping , dozen great restaurant within five minute walk . beacon ideal choice people budget : price ordinary room one big chain hotel Times Square , get suite full kitchen , room relax . 100 % satisfied stay look forward return trip someday . 
 Sep 22 2007 	 great place stay 	 really enjoy stay Beacon , easy get around New York hotel , park short walk 72st subway 2 minute away . the kitchen fabulous asset holidaying numerous food market across road big selection fresh food ever see . area feel safe wander street night 12 year old daughter fear danger , enjoy eat ' Big Nicks ' nearby well reasonably price food around , residential area interesting see people actually live Manhattan great shop cinemas next block . the shower tile could do spray soap scum remover couch need spot clean one cushion , turn cushion make sure not drop soap quickly get fabulous place stay . 
 Sep 12 2007 	 great stay Beacon 	 recently stay Beacon Hotel . Upper West side great neighbourhood , plenty interesting food store , restaurant etc close many attraction . staff always helpful friendly . view 25th floor towards Central Park wonderful . also handy laundry hotel could laundry . we find Metrocard great value travel subway bus . 
 Sep 11 2007 	 beacon really shine ! ! ! ! ! ! : - ) 	 return New york , stay beacon hotel , 3rd visit city stay various hotels/ Apartments time , Beacon Hotel far good ! ! , book 1 bedroom suite , want space , space exactly get , apartment hotel huge compaired other stay ( price 2 ! ! ) , living room , sofa ( fold double bed ) 2 chair , dining table 2 chair , coffee table , tv , stand storage space , living room overlook hudson river , ( 24th floor ) wicked view night ! , living room small compact kitchen , spotless , everything need want stay cook ( nyc ) , maid , daily service , leave fresh coffee , teabag etc we day request come change sheet etc . bathroom decent size , bath shower , sink/ toilet , ( maid also leave we lil shampoo conditioner etc , mouthwash look bit toxic , think count haha ) bedroom huge , x2 double bed ( comfy ) plenty storage space , along tv sky also room , also personal safe ( free charge ) could programme , want store cash . find room well keep clean , believe I m quite hard impress regard way hotel clean property , sure always room improvement nearly spotless ! ( could do change carpet l room , hey ! ) hotel situate 75th street broadway , 2 block ( 1 min away ) 72nd street main subway get Metro card fun pass ( good rail bus ) day $ 7 go anywhere nyc card . resteraunt site do not want go , resteraunt/ diner style eatery need , also wine shop , pretty cool , price fair . on 72nd street , head towards central park , place call BBQ 's , stonesthrow away Beacon Hotel & quot ; Texas Style & quot ; frozen cocktail offer around $ 7 , miss ( size fishbowl , delicious , hammer 1 , $ 7 , can not complian ! ! ha ) also across road Beacon , famous & quot ; fairway & quot ; supermarket , everything need , even do not want see supermarket hol , worth go see amount food place ! . beacon hotel 5 min central park , could either walk , catch cab catch sub want go & quot ; downtown & quot ; Macys , hustle bustle , beacon hotel brill anyone , especially brill people like venture hustle bustle new york fancy , enjoy peacefull lay back pace hotel situate , Beacon hotel fab ! : - ) P.s Coney island must , although & quot ; cyclone & quot ; roallercoaster give major bruise ! ! : - ) 
 Sep 9 2007 	 great family 	 stay Beacon two night two child . walk king suite , obviously give smoking room , front desk promptly without question switch we non - smoking ( ' ve ask make reservation ) . room generously size , family plenty room stretch . enjoy neighborhood ( nice wide sidewalk front hotel ) cleanliness size 72d St. subway station . fancy hotel NYC , really hit spot family . regret able take well advantage adequately - stock kitchenette- eat Sambucca nearby , food awesome plentiful . unfortunate leave next day not time eat leftover lunch ! 
