smart 	 return long weekend London stay Place2Stay . first choice usual B & amp ; B fully book find someplace else . modern clean . well run comfortable room , excellent shower , efficient elevator . free WiFi room . downside , expensive usual B & amp ; b hotel serve breakfast room nicely equip kitchen nook complete tableware , complimentary tea coffee , kettle , microwave refrigerator . location bit far away Theatre district Oxford st./covent Garden / Soho , customary haunt , convenient Earls Court underground station . Buy Oyster card convenient bus tube travel . overprice London , would say hotel represent decent value would hesitate recommend adult without child . 
 Great Hotel Great Location 	 really enjoy stay . room little small , however still big enough , well appoint extremely clean . service require excellent . great location couple minute walk Earls Court Station . Earls Court Road quiet feel safe night . would stay back London . 
 stay . 	 beginning walk door , base2stay great . staff extremely friendly go way help . location hotel central 2 minute walk tube . taxi 's need . room clean comfortable . modest sized double room suit need tour day . would suggest look large room plan spend lot time chill room bed take majority floorspace , desk , lounge chair bathroom . however tour London , would perfect . the bathroom clean generous size compare many hotel . the staff assist we day tour available , offer assistance wherever could polite . pay £ 243 2 night worth . overall , hotel modern , comfortable , centrally locate staff great . would certainly stay strongly recommend other . 
 modern clean convenient affordable ! 	 pleasantly surprised base2stay Kensington . staff member helpful courteous . double room reasonably price , really small . not big deal since really need sleep , hang . modern decor charming old Kensington neighborhood . good closet space nice kitchenette mini - fridge hide behind closet door . receive 20 % coupon local restaurant front desk . hotel short walk Earl 's Court tube station able travel around London great ease . would definitely stay next visit London ! 
 Aug 27 2009 	 Great Hotel 	 stay September 2008 . staff helpful , even let we room early extra cost . room spotless , yes bit small , 's London . room look brand new , despite basement street level window , quiet . loved internet tv ! would totally stay . 
 Aug 26 2009 	 great service friendly clean modern quiet 	 stay one night . hotel look practically new , entire place spotless . room lovely , comfortable bed , staff friendly eager please , hotel location convenient , yet quiet street . decoration furnishing up - to - date tasteful . Mini - kitchen well stock . in - room film wonderfully price , 2 pound . heavy luggage convert old house style hotel ever - so - slightly inconvenient since 4 - 5 stair manoeuver , even good lift , much do , guess . staff big asset , duty 24 hour day full wordly advice local attraction , transportation , restaurant , supermarket , etc . walk Royal Albert Hall Kensington Gardens / Hyde Park . 24 - hour supermarket 2 minute away . definitely return . 
 Aug 25 2009 	 simple luxurious comfort 	 Base2stay hit great idea . be happy look room , fridge , microwave ensuite bathroom & quot ; Hotel & quot ; facility like bar , restaurant , lounge etc completely brilliant . they ' ve take care stuff matter like lovely mattress , linen modern simple & quot ; Farrow Ball & quot ; decor waste ( ) money unnecessary frill . the bathroom simple good fantastic power shower fluffy towel . very central quiet lot nice place eat drink short stroll away . I will definitely use , fiancee use business trip lot . only drawback lounge space room anywhere else probably suit will time . 
 Aug 24 2009 	 great place Mother / Daughter weekend 	 reading review , choose Base2stay mother daughter weekend . locate near Earl 's Court tube station . not detail map direction , first time look place take minute . restaurant fast food nearby , satisfy eleven year old . staff helpful accomodating . book bus tour willing book sight see theatre ticket . give we direction recommendation . friendly efficient . room perfect size two we . shower large glass door . room bathroom clean . able check email free internet tv . stay next visit . 
 Aug 21 2009 	 everything stay wonderful ! 	 find room comfortable ; staff accommodate . location perfect need . 
 Aug 21 2009 	 Excellent location friendly staff help make visit great experience . 	 Base2Stay close excellent restaurant Tube . hotel staff helpful arrange rail travel part England . hotel quiet street . room little small functional . 
 Aug 21 2009 	 one good stay ' ve ever England ! 	 unfamiliar hotel booking , need place stay one night London catch flight next morning back state . wife , 2 child tow ( 4yr 6yr ) not sure expect . ' ve stay high price place London previously would condemn city . imagine surprise Base2Stay ! moment walked welcome warmly thoroughly staff . pleasant customer service could use training seminar . the hotel attribute truly value place stay . clean , way reception hall room bathroom . tv actually work , oppose 90 % place stay tv nothing prop . bathroom exceptional shower large enough husky gentleman water pressure actually make feel clean , damp . price extremely reasonable ! throw con , much different hotel London . hallways narrow , even use elevator ( lift ) still might end navigate couple small set stair . room also quite small , although way arrange , even fitting 2 adult 2 small ( one medium , heh ) child feel cramp . Overall 's perfect place stay London next time visit , will make sure main stay instead stopover . 
 Aug 19 2009 	 good location pleasant staff clean small room 	 2 night , 2 room early August . close underground . nice neighborhood , pleasant staff . room small since 2 night , issue .. room top floor , quiet . small issue rate resolve later ( favor ) . would definitely return hotel would book large room stay long 2 night . 
 Aug 19 2009 	 base2stay hotel luxury tint 	 stay hotel 6 day overall experience positive . hotel simple , clean effort balance business luxury hotel . location perfect ... near Earls Court tube station ( 2min foot ) reach almost every destination London ... time road front hotel really quiet . stay single room . even though expect see small room surprised space provide . big ... small ... exactly someone ( least european ) need book single room . think provide one good single room view fantastic . one minor issue sound insulation door noise come room ( could listen happen corridor ) ... hotel busy ... couple time hear something loud . concern issue Green tourism ecology say little bit puzzled merely find way eliminate running cost ... nevertheless opinion . in addition Wifi free ... sometimes signal go stable ... also internet tv someone read e - mail surf internet TV even listen radio music via tv jukebox ... free .... hotel provide special amenity bar , gym , breakfast ask friendly helpful staff ... happy serve . mean ! good possible satisfy customer find solution . always smile always support ! overall would recommend try hotel ... least ... sure become one favourite choice ... 
 Aug 17 2009 	 everything need . 	 stay base2stay 6 night first trip London . location great - 5 minute walk Earl 's Court Underground Station easy get Heathrow Airport . room clean nicely decorate , exactly depict website . kitchenette free internet browse tv handy , often lack hotel room price . staff friendly helpful . appreciate effort make hotel stay green possible . would definitely stay next trip London would recommend hotel . 
 Aug 16 2009 	 great stay . 	 really enjoy week stay Base2Stay . staff extremely helpful help book couple tour also provide restaurant recommendation direction . would definitely recommend anyone want good experience stay Base2Stay . 
 Aug 16 2009 	 great place stay central London 	 would thoroughly recommend base2stay stopover central London . room small everything need . staff friendly nothing much trouble . would definately stay . 
 Aug 14 2009 	 Bijou experience 	 nice professional staff reception , nice minimal confortable decoration . room small even onde person . enjoy much location . 
 Aug 13 2009 	 funky new hotel - 's door ? 	 handy Earls Court tube station lot nearby eatery . hotel modern refurb lift . reason door really large gap bottom , mean anyone talk corridor sound like room . roll towel gap help . 
 Aug 11 2009 	 two thumb ... 	 location great , staff friendly , room excellent price bargain . like stay next time , ... room perfect sightseeing get good sleep / nap - small stylish . highly recommend .. 
 Aug 11 2009 	 ideal home - away London 	 glad decide book base2stay becuase hotel absolutely superbyou feel really like home come back room day spend walk London relax . the room clean spacious . not unpleasent feeling hotel price london.i defenitely reccomend itFilippo 
 Aug 11 2009 	 great place . Great Service . 	 wife stay 6 night sight - see August . hotel good location - get anywhere Earl 's Court station , be convenient Heathrow . room well design , comfortable , bathroom wonderful . excellent service friendly helpful staff . minor negative small fridge - & quot ; absorption chiller & quot ; learn get nearly cold be use - even really much cold room ... milk spoil . accord staff proper fridge would way loud . be count fridge , aware . otherwise great place . 
 Aug 10 2009 	 base2feel comfortable 	 hotel really nice cosy place stay . 's stylish overdone , right style feel relaxed long shopping tour good friend ! 
 Aug 10 2009 	 Nice hotel great value good neighborhood 	 Base2stay excellent choice traveler plan active -- use hotel room place sleep . room clean , 's nice neighborhood service staff excellent . the negative thing would say one chair room uncomfortable . 
 Aug 10 2009 	 great stay 	 excellent location room . nice mini kitchen London facility , bed , bath , etc high quality comfortable . would definitely stay . staff professional helpful , especially Mr. Potter ! overall excellent quality value London . 
 Aug 8 2009 	 Excellent value money 	 although room small , hotel clean , newly decorate convenient location site see . small kitchenette useful family breakfast , 's Mark & amp ; Spencer food shop within 5 minute . front desk staff helful . cheap single room ( book teenager ) small ... would not want spend one jet lag night one . actually upgrade room arrive get bit room move around . 
 Aug 5 2009 	 fantastic service cost benefit 	 great hotel great deal : room really practical , good taste decoration ... bed confy , shower really good , even find mini kitchen inside closet ! clean great place rest busy day . Sis extreeeeemelly friendly helpful - even offer print stuff charge . free wireless , discount local restaurant fair price vend machine hall reallu show hotel think convenience . location great - 5 min walk subway station pleasant neighborhood . will definetly stay next trip , recommend whoever look convenient frill stay ( do not mean poor , old bad decor bad service ) . 
 Aug 5 2009 	 great little hotel 	 stay double room night head Bath . recommend friend clean , modern hotel reasonable rate London . agree . the hotel convert georgian building locate close Earls Court tube station ( 1 - 2 minute walk ) set back busy street quiet area . not find great deal nice restaurant area though pub corner close Earls Court station decent . room clean modern little micro - kitchenette hide behind door come handy want keep prepare food ( Mark 's Spencer 's nearby ) . bathroom also clean modern . high speed internet room safe also provide . the hotel staff friendly helpful rate reasonable London . small complaint would room small . be big enough walk around bed bit space front bathroom front door . ceiling seem little lower normal - be small people . large room available high rate though not know warrant city like London day anyway . 
 Aug 5 2009 	 great hotel 	 terrific location , 2 minute walk Tube station , clean , neat room ( double huge comfortable ) , great shower . extremely warm friendly staff . highly recommend . 
 Aug 3 2009 	 AWESOME TERRIFIC FABULOUS ! ! ! 	 6 we travel group Hawaii London , UK last stop european adventure . happy choose stay Base2Stay ... way end trip ! service exceptional ... hotel staff go beyond we . knowledgable friendly . hotel room right size , clean modern . great location , near Earls Court train station , grocery store many great restaurant bakery nearby . definitely one BEST hotel stay trip stay heartbeat visit London ! 
 Aug 2 2009 	 great hotel 	 base2stay lovely , quiet hotel great location . Earl 's Court favorite part London , hotel quiet street remove bustle , yet still close restaurant , bank , grocery store , many tube line serve Earl 's Court station . ( elevator to / from Piccadilly line mean get Heathrow stair ! ) room nicely decorate , modern , clean look , free wireless great bonus . staff friendly helpful , room immaculate . room quiet , hard believe middle London . never cook meal kitchenette , handy breakfast ( hotel not offer meal , want overpriced hotel food , anyway ? ) . 
 Aug 1 2009 	 clean comfortable riduculously affordable 	 hotel locate quiet neighborhood , couple block Earls Court tube station . front desk staff , especially Tony , helpful polite . travel friend separate single room ; though small room clean well set , little kitchenette . hot summer stay , room air - condition United States standard desire . 
 Jul 28 2009 	 good value moneyneat safe good location 	 London several time find hotel far value money . stay hotel London early cost £ 150 per single room less comfort . pay £ 96 single room base2stay room equip nice clean kitchenette . nearby bakery round corner street . choose eat breakfast everyday . size room small clean comfortable . 
 Jul 28 2009 	 Excellent hotel 	 great location within walk distance Earls Court tube etc . plenty good restaurant nearby . smart clean hotel , maybe bit pricey worth extra money stay bright clean place plenty room 
 Jul 27 2009 	 Clean Comfortable Safe Friendly Affordable 	 2 woman travel alone , perfect spot . safe , close Earl 's Court Tube Station , clean good front desk staff could ever ask - knowledgeable helpful sense humor ( rare , anymore ) . room not large , not spend much time room , not mind . plenty room bed suitcase . bed comfortable , kitchenette nice addition , shower fantastic really need . quiet location side street , convenient restaurant , Tube , supermarket . plus , price , make 3 night stay affordable , London standard . would stay heartbeat . keep good work ( sense humor ) . 
 Jul 26 2009 	 Great 	 ' ve stay several time double occupancy situation , different room . place still feel like great offer price range area London . location quiet , around corner Earl 's Court Tube station , range place eat , buy food , dry clean / laundry , internet cafe etc ... perfect . style feel still newly renovate modern , retain warm feeling well look . mean , rather sense wall railing paint ten time already , carpet cover something . style good way . detail solid importantly room quiet ( least inbetween room , like everywhere , also depend loud guest hallway ! rule though quiet ) kitchenette course , small adequate unit , bathroom always good size shower , flatscreen tv big offering good , wifi available free . work issue , far feel , staff try well get right . arrive far early flight , even room rent reasonably hour room normally ready , case need freshen least . never write review want base2stay , solid bet . 
 Jul 26 2009 	 excellent long - term stay 	 stay 2 week business wonderful hotel . kitchenette godsend , fridge store plenty fresh food microwave teapot absolutely adequate . everyone say , Earls Court location ideal , tube , store , many essential ( e.g . post office ) within 5 minute walk . slight complaint other say mattress soft , sagged spring part . twin size bed could also challenge wall , could not splay bed might like . oh , internet , wifi perfect laptop , definitely , not bother tv version . corner room super bright cheerful quiet would definitely stay . 
 Jul 24 2009 	 confortable ` ` base camp '' visit London 	 well locate Earl 's court . friendly efficient reception . confortable clean bedroom , bit small . tiny kitchen bathroom quite big compare bedroom . internet tv ( practical useable ) . good place base stay day ( small ) . 
 Jul 24 2009 	 great modern traveller 	 Base2Stay great find , locate Kensington Earl 's Court Gloucester Rd ( 7 minute walk ) . hotel & quot ; noveau basic & quot ; -- frill like gym restaurant , nice , clean , comfy / cozy room flat screen tv , kitchenette , good shower in - room internet . Perfect be kind traveler want affordable place stay past age hostel crappy accommodation acceptable . staff ridiculously nice boot . minor drawback location -- depend kind nightlife like , bit far be past tube 's closing . nonetheless , certainly stay ' m London ! 
 Jul 23 2009 	 great base 	 lovely stay . thoroughly update building stylish sophisticated decor . Smart bathroom clutter free sample . nb hairdryer . big comfortable bed , quiet back build pretty view ( Rm ; Q6 ) . helpful staff discount voucher many local restaurant . close tube . make everything easy , would stay recommend other . 
 Jul 23 2009 	 base2stay good stay 	 complete third base2stay vist last 18 month . frequent business traveler accumulate 100,000 miles+ year , think one unique hotel world . yes , room small clean extremely well appoint . staff always exceptional . look probably good hotel value London tastes not run towards hotel like Clarideg 's , look ! 
 Jul 20 2009 	 gem hotel London ! 	 base2stay Kensington excellent hotel love stay July 2009 . travel cousin . first time London , third trip . want hotel bustle center London , far away energy . pick Kensington perfect Choice ! hotel locate block away Earl 's Court tube station ( District Piccadilly line ) . area lovely neighborhood feel surround rows white townhouse , walk away tube station lively commercial area restaurant shop convenient super market supply . our room clean well stock usual simple amenity . kitchenette great ! come complete mini fridge , microwave , sink , dish . comfy bed , spacious modern shower , plenty closet space , flat screen tv , free internet browse highlight . staff friendly professional . give great advice locate around neighborhood provide discount coupon local restaurant . recommend try Gourmet Burger Kitchen Balans breakfast ! .Really wonderful hotel . Book early get good rate ! 
 Jul 20 2009 	 truly great ! 	 stay hotel three night mid July . staff fríendly helpful , room great , well area . free internet useful look restaurant place go . I would really recommend hotel anyone ! 
 Jul 20 2009 	 clean tidy sane price 	 wife stay Base2stay 5 night July , peak season . although give room view trash area , rest great . room good size ( compare previous experience european capital ) . evident lot effort give make room comfortable , keep hotel spotless . would definitely book . must mention breakfast available , issue we , enjoyed look new place get espresso every day . great stay . 
 Jul 17 2009 	 great location small room friendly staff WiFi issue 	 location within minute ' walk Earls Court tube station ideal -- get airport , national train line , every attraction want see . although many mention small room , aware single room REALLY small -- small could not back stretch exercise prone wall not far enough apart ! staff friendly , authorization tool necessary deal WiFi speed reliability issue one day -- pretty much unusable day want pay get cable access presumably fast and/or reliable ( not use . ) authentication system WiFi bit cumbersome -- require put code every time connect , even take quick break outside iPhone , need re - authenticate time return . overall ' ve hear London hotel , though , balance hotel good option . 
 Jul 17 2009 	 delightful room exceptional service 	 lovely hotel superb room patio lead small private garden . although minute stroll busy Earls Court Road ( lot bar restaurant ) , hotel peaceful location - noise all . the reception staff well ever experience - friendly , helpful informative . nothing much trouble . thank . 
 Jul 17 2009 	 nice room great staff relatively convenient location 	 nice hotel . stay 4 night single room . nice courtyard view , nice furnishing include desk course useful kitchenette , shiny modern bathroom , little floorspace suitcase . minor , minor issue shower , fix without mention next time housekeeping service room . you use internet via tv , be easy . see portion screen time . good quick use check flight something , great general surfing . the staff extremely friendly helpful local info . Earl 's Court area almost everything could need - grocery , bank , bakery , restaurant , course Tube station District Piccadilly Lines . it splurge travel budget trip , welcome upgrade last 5 hotel stay around UK really quite worth price . 
 Jul 17 2009 	 Fabulous service staff 	 go Base2stay rather unpleasant experience another London hotel . cheerful staff actually bring tear eye . nothing problem . room ( twin ) clean , modern , little small happy . thank , thoroughly enjoyed definitely recommend . 
 Jul 16 2009 	 great hotel excellent location 	 great hotel friendly , helpful staff lovely location . would certainly recommend anyone . 
 Jul 16 2009 	 nice place stay will back 	 good location , clean hotel room , friendly people 
 Jul 15 2009 	 not get ! 	 property appear 15th good London mind boggle ! , nothing seriously wrong stay , room ( double ground floor ) . ... ordinary . really service apartment hotel - will not find standard service would expect hotel . even accord Trip Advisor , 's 15th good hotel London . virtually amenity . go figure ... other note , feel like dormitory ( okay , newly - renovate dormitory ) hotel . the room quite small ( expect ) . be impressive ' ve fit small kitchen ample closet space . decor relatively new , suppose buy furniture Ikea , will really love ! 's well - locate want stay somewhere away standard tourist area London ( ) , lovely , peaceful residential neighborhood . Earl 's Court Underground station block away . plenty restaurant market within walk distance . as other note , soundproof room almost non - existent . could hear every door slam hallway . every step upstairs neighbor took actually shake ceiling . someone hotel respond similar complaint write something effect , & quot ; sound noticeable be unusually quite here . & quot ; quiet , peaceful neighborhood , be poor excuse major soundproofing issue . claim build noisy 's old also cop - out . ' ve stay many old hotel somehow successfully manage deal issue . single big reason stay recommend other . but know ? trip Advisor member apparently think place rank high world 's fine hotel . 
 Jul 15 2009 	 base2stay work well 	 rent 2 room ( spouse self , second room 18 20 year old son . pro : good location , minute Earl 's Court Underground ( see tube map ) bus stop walk distance many pub restaurant . nice neighborhood . desk staff excellent host courteous knowledgeable accommodating . management take cleanliness seriously , team approach . security good , need swipe card get front door . con : room internet poor work AOL bring laptop good internet access . room tad small probably unusual London . small chair table wall mount flat screen tv . small frig microwave pot boiling water . outsource fitness center . overall pleased would go back . 
 Jul 13 2009 	 expect 	 stay base2stay 7 night . do lot research choose base2stay base tripadvisor review . expect lot hotel really deliver . room well - lay , look brand new relax artwork wall . kitchen , stainless steel counter , serviceable . staff encounter could helpful . helpful accomodate Sabbath need , open electronic door we need . would love stay ! 
 Jul 13 2009 	 excellent base stay ! 	 stay Base2stay Kensington 1 night July 2009 . 8 we stay 3 apartment go see take Wembley ! 3 room excellent ; want , bit luxury brilliant price . misunderstand 1 room quickly sort reception staff . room clean , modern fully equip , not need thing . staff helpful , know area well recommend great cafe breakfast . we would definitely use Base2stay . modern hotel central location great price . 
 Jul 13 2009 	 convenience style fantastic service reasonably price - 's like ? 	 second stay base2stay , would stay . take first place & quot ; kitchenette & quot ; ( really microwave fridge ) allow prepare meal room . keep go back immaculate cleanliness , friendly helpful service convenience location . be within walk distance number key London attraction ( Harrods , V & amp ; , Natural History museum ) step away Earl 's Court tube station . room tiny , find arrangement first room , desk area right next bed , convenient time , desk foot bed ( be nice somewhere put glass cup beside bed ) , 's minor complaint . on last day , leave bag behind counter check . go back collect late afternoon , desk clerk earn undying love ask need use toilet set ( ) - 's thoughtful service ! 
 Jul 13 2009 	 First Rate 	 want write directly say visit Base2stay excellent . ' green ' room great neat clean ! staff friendly help train booking London make transportation go smoothly . I appreciate assistance ! another hotel direct we computer , needless say , Base2stay recommend we friend Chicago visit London often . 
 Jul 13 2009 	 wonderful clean great location helpful staff . 	 staff Base2Stay make vacation exceptional . hotel friendly , quiet , clean exceptional accomodation . location superb ! always go back Base2Stay London . 
 Jul 12 2009 	 pleasant hotel reasonable price heart London 	 greet promptly gentleman reception staff assign nice room first floor away street . room not overly large , clean large comfortable king size bed sleeper chair teen . free wi - fi definite plus . ample place eat ( quick bite , pub , sit restaurant ) within 5 minute walk Tube stop ( Earl 's Court ) block half away ( convenient Picadilly line access Heathrow District Circle line popular tourist site ) . bit pricey ... , line room cost large city . 
 Jul 12 2009 	 excellent modern sympathatic hotel near tube nice neighboorhood ! 	 good modern sympathatic hotel thing need . near tube , nice neighbourhood sort restaurant shop . staff genuine friendly . Booking.com make mistake reservation , room arrivaldate . problem ! staff really everything give we base2stay . really get warm welcome ! 
 Jul 12 2009 	 GREAT place stay ! 	 third trip London three year , first time base2stay . husband stay two young daughter 12 night late June July . room L1 L2 , low floor terrace outside . girl love bunk bed room ! small , really well lay comfortable amount space . husband double deluxe spacious . bed comfortable . two room end small corridor , locked door end form & quot ; suite & quot ; . great ! not actual door directly connect two room . back hotel not bother street noise . not know noisy would front , hotel situate main street . occassionally hear people 's footstep room we , never bothersome . the hotel extremely clean bright look exactly website . the daily maid sevice keep room spotless . clean dish utensil use kitchenette , . not take full advantage kitchenette , really handy keep thing fridge . location beat . 's easy walk tube bus find taxi , boot , Marks Spencer 's food store , post office two minute away . type restaurant immediate area . hotel give discount card recommend one try wonderful . eat breakfast Balan 's several time ! make hotel stand staff . without fail , everyone person front desk kind , helpful genuinely eager make stay pleasant possible . respond question request thoroughness willingness incredible . husband especially impressed said & quot ; ' ve never stay anywhere people truly eager help & quot ; . ' ve stay many lovely ( many five star ) hotels year base2stay really something . everything family really needs actually use hotel . be look spa restaurant conference room , etc , not . never use thing anyway ! fantastic hotel look forward stay ! 
 Jul 9 2009 	 perfect stay . 	 return wonderful brief visit London , Base2Stay one good thing trip . be exactly be bill -- need travel , without unnecessary extras , outstanding value extremely pricey city . hotel centrally locate , block away Earls Court tube station , right Piccadilly line ( 45 minute straight shot Tube Heathrow , 10 - 15 min central part London ) District line ( easy access Wimbledon , Kew Gardens , Notting Hill area , attraction along river ) . arrive really early red eye flight first day , check energetic helpful Tony , apologize room not yet ready ( 8 am ! ) , give we helpful local breakfast recommendation . room ( L4 ) immaculately clean ( really clean , like japanese ryokan clean ) , simple , soothe decor , comfortable bed , crisp linen , perfect climate control ( hot visit ) , strong , hot shower , nice toiletry , lovely little outdoor patio table chair . not huge , substantially large far expensive room ' ve London prior trip , definitely feel large actual size . free wifi , large tv , small kitchenette microwave , refrigerator , plate , cup , utensils replace day need . neighborhood really nice -- far busy street restaurant , convenience store , branch Marks Spencer fresh fruit , produce , lot prepared food , Sainsburys ( grocery ) , quiet residential nonetheless . long day walk around London , really happy come back lovely room , sit patio , enjoy nice London weather ( lucky ) seasonal cherry , strawberry , iced tea . be fairly independent not need particular assistance staff , extremely friendly always eager answer question help travel arrangement . wish hotel would follow base2stay model ! definitely stay return London . 
 Jul 7 2009 	 Bed Bugs 	 stay 4 day mixed business pleasure trip . first morning , partner wake red welt . thesis continue / increase nightly . happen night hotel , include place body cover bed clothe / pajama . disappointed response staff , though allow we change room . ( actually ask ever London not perhaps allergic London . ) room change , irritation stop . hotel follow letter , claim nothing find . recommend hotel . 
 Jul 6 2009 	 Great place2stay 	 third time base2stay , room clean fresh always . staff always friendly welcoming . depend plan London depend whether be good location , we perfect . hotel clean new , little kitchenette well equip . definitely would stay business leisure . 
 Jul 5 2009 	 great hotel 	 stay 3 night teenage twenty - something son . it perfect we . hotel clean , nicely furnish beautiful , modern bathroom / shower , convenient everything ; short walk bus metro , lot restaurant , pub , grocery store , bakery pharmacy . especially appreciate beautiful , safe neighborhood , air conditioning , elevator , wireless internet , mini kitchen ( microwave refrigerator ) , reasonable price . staff excellent - friendly helpful . would definitely stay . 
 Jul 3 2009 	 fantastic choice highly recommend 	 Loved hotel . great location - beautiful & amp ; quiet residential neighborhood , immaculately clean stylish deluxe room mini kitchen enough space family 4 ( include 2 teenage boy ) , terrific always cheery staff . Sainsbury 's Marks & amp ; Spencer close bring basic provision . easy walk museum ( V & amp ; , Science , Natural history ) Harrods , tube stop 5 minute stroll . 15 minute ride get Wimbledon . would recommend base2stay heartbeat anyone travel London ! 
 Jul 3 2009 	 Excellent 	 thoroughly recommend , nice location - central quiet street , excellent staff , comfy clean room . 
 Jul 2 2009 	 recommend 	 good location , great staff , clean bathroom bedroom . minor negative small bedroom , expect . overall great value 
 Jul 1 2009 	 fantastic concept good location great service 	 really way go traveller intend spend time room . room service , resturant , fitness centre , business lounge , club floor , breakfast . provide however spotlessly clean comfortable room , clever free interenet service via tv room , little kitchenette microwave could heat food , plate , wine glase cutlery ( great idea ) , kettle little vend machine water little snack . location smack centre town , nice , safe residential district , close enough get heart town easily . hotel 3 minute Earl 's Court Tube station , benefit terminus District Line Picadilly LIne well - easy get Soho , West end etc . Earl 's Court also great fact one handicap friendly Tube station , mean easy access elevator ( useful also lug luggage around ) .Kudos absolutely fantastic staff well - welcoming , helpful give impression would anything make stay comfortable possible . late lunch meeting drop host rather heavy bag run without check , return late evening . get back , bag already neatly room , document ready quick check - in . brilliant . finally , another great idea availibility room book hour checking . fantastic travller ( like we ) flight evening . could chill room , take bath , use facility , getting pick go airport . great boon . 
 Jul 1 2009 	 home away home ! 	 frequent taveller London stay many hotel , definitely good . 's « home away home » . location perfect , easy acce city Heathrow Airport . staff friendy helpful . room comfy need . especially like digital radio great selection music . kitchenette super . definitely place stay visit London . business pleasure ! Barbara , Bern / Switzerland 
 Jun 29 2009 	 perfect Base2Stay ! 	 previous reviewer cover excellent aspect base2stay , however could mention -1 ) location - stunning , handy , quiet , beautiful2 ) ' the Team ' - absolutely 5 Star - folk genuinely great privide hospitality - ( note owner - look keep hold staff - 100 's place London ' sholud ' staff good , charge 3 4 time rate . team 's pride job obvious - well do ! ) 3 ) shower - nothing bad bad shower - Base2Stay shower FAB ! great stay - Bruce Springsteen concert attend Hyde Park amazing ! 
 Jun 27 2009 	 Hop skip jump Earls Court . 	 first thing notice security Hotel - need buzz reception get front door , use security key check . second thing welcome friendly staff never cease continue throughout two day stay hotel along bright , fresh reception area - large bowl sweet offer reception desk keep sugar level leave day shopping town . ground floor room clean view mews courtyard suite bathroom / shower also clean , although shower head mind 's came get shower , keep tilt forward like ' limp ' lettuce need place quite firmly 's holder work correctly , not problem . master , push button toilet work well . the tv reception little pixelate time could due hot weather ( 25 deg ) cause bad signal reception say would look cause problem . not watch much tv problem . the kitchenette ' compact bijou ' cleverly hide behind close door sufficient , crockery utensil anyone ' need . take basic supply stay milk tea bag , although supply Hotel , top day - understand order ' Breakfast Boxes ' reception reasonable price . base2stay good place stay reflect good value money compare family member stay nearby cheap Hotels low standard noise underground train . Base2stay short walk Earls Court Station ( noise underground room ) give easy access rest London - would recommend ' pay go ' Oystercard travel Underground Buses . many lovely Coffee shop , pub convenience shop also within short walk , give ' Village ' atmosphereKensington /Earls Court wonderful street wander around ' whitewash georgian house /Mews reflect sun . flower basket hang almost every Windowsill Doorway . tree nearby private park provide much need dapple shade hot sunny two day stay London . 
 Jun 27 2009 	 fantastic location great hotel . 	 good hotel price range , area . location convenient , close Tube ( use Earls Crt luggage , lift ) . offer room use shower / change great early arrival overnight flight . room comfortable . staff deal extremely pleasant helpful . 
 Jun 25 2009 	 wonderful hotel charming staff spotlessly clean ( green ) ! ! 	 share 2 room sister brother - in - law nephew total 6 night . hotel perfect stay . room wonderful shower , small kitchenette flat panel tv free WiFi . think staff good feature . day recommend excellent cafe pub well great trip sightseeing . hotel locate 3 minute walk tube station Earls Court . give Base2Stay 5 Star rating ! ! ! 
 Jun 24 2009 	 Charming hotel work well we 	 wife stay recent trip London . make early booking arrangement two night . week prior trip plan change realize actually need three night . upon contact staff able help we . apologize advance would change room mid way stay . first room stay toilet not always flush first push button . nothing happen . big deal would flush second third go . transition first room next room go smoothly . staff move bag , belonging fridge , we clearly instruct we check leave day , upon return . second room glass shower door open wrong way . apparently prior guest see fit fiddle . door correct next day without even mention staff . presume see prepping room take corrective action . some room little snug , however unusual building vintage , european hotel room . mattress second room little worn . internet tele work well expect , recently add WiFi however can not comment well work not bring WiFi device trip . give hotel 3 value scale mainly due currency conversion rate . price appropriate base see London hotel , bit pricey convert usd.the staff easy work friendly . call US check website US 800 number . 
 Jun 23 2009 	 great concept work well ! 	 like base2stay concept . get clean comfortable room basic cooking facility , free internet , nice staff , efficient cleaning service , cheap room movie , air cond , etc , great location near hub tube station London . anyone want London ? 
 Jun 23 2009 	 warm friendly 	 nice staff , clean comfortable room . close earl´s court undergrond good place city break . 
 Jun 22 2009 	 Perfect ! 	 stay one night see play Royal Albert Hall everything perfect . friendly stuff , great neigborhood , clean stylish room , good value money , close subway , really perfect find city like London . yes , room bit small , make feel like back student time ... ! 
 Jun 21 2009 	 nice modern design excellent friendly service good location 	 Location pleasant convenient Tube , yet quiet . clean room excellent ventilation , great plumbing , many convenience , pleasant view good lighting . service excellent - get great guidance prompt response anything need . travel two child work well we . safe area . mattress could firm . 
 Jun 19 2009 	 great place stay toddler 	 travel son ( almost 2 ) request portacot room . already set wait we arrive . one large room ( duluxe room think call ) whilst huge , enough space we , portacot toy book . kitchen facilities practical hide away double cupboard son 's reach . room clean great feel place decor stylish . reception staff really helpful friendly . whilst tube strike really appreciate fact easy walk museum . definitely recommend place , criticism slightly hard use toilet flush trivial show impressed stay ! 
