woooooow 	 make one short sweet : ) Vegas magical city whatever heart desire ... long cash ! speak world class dining , over - the - top vip treatment club , high roller treatment casino , uber luxurious spa treatment . on actual review Planet HollywoodFIrst , location PRIME ! ! center strip . locate across bellagio new City center construct . plan see whole strip would good place stay , near middle strip , plus Miracle Mile mall attach shop essential ( alcohol , food , pharmacy stuff ) rite downstairs without pay resort price . get resort room view bellagio fountain pool area . complain huge room , movie theme little weird , Baywatch , cool pic baywatch fan . also , real complain room position tv ; face bed , could not move bed , could watch chair . good part room washroom , huge , big bedroom , sink , side , separate side boy toiletry lady side vanity work . middle huge open space , giant soaker tub , standup shower seat course toilet door . the atmosphere rockstar - ish , everytime go downstairs like party go . good place get drink people watch , pleasure pit always fun prive nite club well think go . pool area little PH style , seem little bland almost family orient , nice view paris tower though . eat earl sandwich , good place grab bite , cheap . try spice market buffet , second fav buffet Vegas , reasonably priced consider get . the overall impression good one , hip trendy , still work , upgrade pool area want . service friendly throughout hotel , one issue maid , would not give towel thought need . room amazing , vibe amazing , location amazing , dining amazing ! ! ! Planet Hollywood ROCKS ! .p.s . Holly Madison start headline Peepshow ..... woooooooooooow ! ! 
 Planet Hollywood Las Vegas Review 	 huge room , great location middle strip buffet amazing ! ! ! free bottle whiskey wine also help ! ! 
 highly recommend perfect location Strip 	 stay first part nine night trip States 16 November . hotel locate right middle strip make get around easy . check not queue whole process take less 5 min . room 31st floor view strip two queen size bed , large bathroom spotlessly clean . room also connect door ask could move room without one , upgrade even large room luxurious bathroom inconvenience move . whole complex big bit confusing finding way around everything soon click place find bearing problem . ever lucky enough return Vegas would stay Planet Hollywood without hesitation . 
 Vegas 	 beat hip , gear towards young crowd . still adult . 
 Oct 3 2009 	 impressed new Planet Hollywood 	 go vegas 5th time September decide stay one hotel one week another second . choice first week Planet hollywood . the revamp old aladdin slow , less finished fact well way build new wing hotel , nice finished . planet hollywood buzzing hotel . modern reception area , dark though think . casino area sort go around circle husband still getting lose week ! ! room huge modern bathroom , also huge , really good , two seperate sink unit opposite side bathroom , seperate toilet , shower cubicle big free standing bath tub . impressed room , downside tv position unit right hand side room , be not easy watch bed . also clothe storage terrible . two week worth luggage really struggle find place put . room big enough put least another set drawer . two pool , massive get early want bed around pool . , however big sunbathe terrace plenty bed . there restaurant , PF Changs fave , really busy chinese restaurant . prepared wait , never wait 30 min worth wait . as say , casino buzzing day night ..... maybe pleasure pit girl dance pole casino table contribute ! ! go see show ' peepshow ' rubbish , apart couple exceptional dancer singer . Wish have book see something else instead . one thing do not like , lack security go room . security check hotel , anyone go lift room , do not know roam around night ! all - in - all good hotel would not hesitate stay recommend other . 
 Oct 3 2009 	 worth 	 book planet hoolywood month ago great deal , arrive bit line check , take vip section , room request available give free upgrade.to large room.the room wonderful overlooked strip , ok fountain , still great view .we use room service times wonderful , staff thru stay helpful.even ask I.D bar small inconvenience done usually carry , however barman explain whyand apoligetic.ive mant trip vegas first time last time stay here.also eat , try PD CHANGS , GREAT FOOD FANTASTIC SERVICE ! ! 
 oct 2 2009 	 great time thankyou PH 	 Planet Hollywood las vegas wonderful experience , 2 swimming pool lovely casual surrounding , spacious room flat screen tv , great bar excellent service , buffet bad , convenient location south strip . drink service around slot find little infrequent , perhaps 5c slot playing . overall would certainly stay , 100 % love PH . 
 oct 2 2009 	 Amazing View 	 hotel good casino visit strip . room dark light . bathroom huge . view room amazing . bed comfortable . honeymoon expect little luxury upgrade hotel not anything . get money voucher check use restaurant . love Vegas . would recommend hotel value money . ' peepshow ' good , really enjoy show , however not expect big thing Holly Madison , think show attract people buy ticket , not actually much main show . also queue nightclub annoying run main casino people wait get way gambling . 
 oct 1 2009 	 Good Times 	 room nice .... titanic theme . bed comfortable , bathroom enormous ! nice view strip . 
 oct 1 2009 	 great weekend getaway 	 great hotel weekend getaway . would not come honeymoon anything .... rate usually pretty good , clientele usually 20 - 40 party crowd . could good bad thing depend want . want room sleep .... spend time casino pool . pool definitely be not great , basically concrete DJ middle pool either side . , good enough come couple day party , tan gamble . room clean , service around pretty good free bottle thing great . promotion still definitely worth ..... night went pick free full size bottle alcohol ( gordon rum , smirnoff , etc ) . save stop duty free way home ! 
 Sep 30 2009 	 great view fountain 	 good thing hotel view Belaggio fountain . impressive . , pretty standard fare . furniture room odd , drawer unpack suitcase . also big lamp stick front small window . pool strange location ( roof ) , uncomfortably hot glaring . will add one star review location middle strip . place clean fairly well maintain 
 Sep 30 2009 	 wow bright light 	 stay HIP room kingsize bed lucke fountain view Bellagio Fountains . room , lead thrifty life , big have see descibe 430 sqft bathroom basin slightly roomy twin Qeens room fact bed take less space allow second seat . tv big mine home whole excellent . staff excellent could enough , room service work day appear work miracle go return . 
 Sep 29 2009 	 tired Hotel compare other 	 stay ph Sept wife . get drop underneath Hotel near Valet Parking , drag case 50 yds check , drag case room , never see Porter support we feel welcome Hotel . we ask high room view fair get , view awesome , that s positive . it darkest hotel room ever tired ! everything need real good refurbish , soon build new one well . tap leak every time turn tv tempermental . room clean much else go it . there dinner plate corridor three day still leave , probably still ! walk round hotel I m afraid PH trail well behind moment . 
 Sep 29 2009 	 great hotel great location . 	 stay September 2009 3 night . like Las Vegas hotel 's huge bit spectacle ! room nice although duvet cover couple mark . could not bother get housekeeping change not know would ' ve deal . bed comfortable . hotel fault lot construction area make quite noisy almost 24 hour nothing keep we awake . hotel buffet fab , be bill good area would agree . 2 pool tend quite busy . sunlounger inch they . I would stay would like try hotel strip . 
 Sep 28 2009 	 Brilliant - love Vegas PH ! ! 	 first trip Vegas absolutely love . great time PH fantastic base right middle strip . check - in fast room lovely , disappointment lack cupboard space . bathroom huge , bed . bed also comfortable . have hear bad thing pool go ph , end fine . two pool greatest plenty sunbed waitress serve drink , not walk bar . Labour Day weekend mean hotel full brim guest pool busy , always manage get sunbe ! never really gamble not expect spend much time casino go slot indulge free drink get spend money casino - probably save lot money way ! not rate Prive ( hotel nightclub ) Heart Bar much seem lot attitude . go elsewhere evening . on last night ask late checkout hotel happy extend checkout time 2 hour - extra sleep invaluable ! overall fab time would definitely recommend hotel . reason ' m give five star room service tray half eat food leave outside corridor 24 hour collect . make corridor smell unpleasant . phone reception ask someone could remove tray ( not even ! ) , guy reception quite rude nothing assist . 
 Sep 27 2009 	 Nice hotel great location ! 	 stay 6nights 16th Sept already ' m look hotel next stay . hotel one modern strip refurbish 2007 show . part build bright airy , casino floor one open around although be theme compare other , be still plenty go look keep everyone entertain . girlfriend book king size room , upon checkin eas unavailable , not disappoint double queen room receive . 36th florr great view bellagio fountain strip , room much big standard room stay clean . think hotel aim young people , stay think suitable everyone , room well insulated noise , restaurant fantastic location can not beat . main attraction sight within 5 minute walk , plus good bar show find around hotel . side we staff could little un helpful , seem depend ask help affect reaction get , early day helpfl later ( long work ! ) less could bothered help . don'tworry thing go wrong , go enjoy vegas experience ! 
 Sep 26 2009 	 Party Time ! 	 Plenty review - 's 2cent . firstly , would like say stay PH mainly pay one thing : location , location , location . not come expect exceptional service every need cater . people reviews act like pay premium treat like vip , nagana happen . pay privilege stay PH . want cater , try Skylofts . another note newbie , not bring kid . can not believe trip kid sometimes . hello ? adult hotel . Pleasure Pit , hello ? ' ve stay twice . 1 ) room . time , stay Strip Suite , love room outstanding view . bed super cozy ! housekeep great job stay . bathroom great ! course , closet tiny fit everything . room two huge flat screen , separate sit area . room average 220 / night . on one visit & quot ; Good Hunting & quot ; theme room display memorabilia like jacket someone wear , beer can bar scene , still pic , etc . time & quot ; Universal Soldier & quot ; room , showcase big poster Dolph Lundgren , clothe , weapon ! 2 ) Casino . think 's well look casino Vegas . pleasure pit gem ! decor fantastic - granny feeling like big b . game play good . trouble find low limit table could lose money slow . drink come around reasonable pace . definitely party atmosphere.3 ) bar . staff good job act like happy see , part . even downright friendly ! sourpusse weird attitude behind bar - big deal , not let little thing ruin vacation like seem other . Heart Bar , directly middle casino , hence name . extra Bar edge casino . sit , put money machine like dunce , talk people , drink . good times.4 ) restaurant . Strip House . way overrated way overprice ( except oyster , incredible ( TIP : order oyster room service menu . like oyster , HIGHLY recommend give try ) ) . decor place cool , 20 's feel . go , will not back ( pay twice much dinner Eiffel Tower Restaurant next door - worth every penny ) .Yolo be . great mexican food , reasonable price , back . Planet Daily 's . nothing special . Earl Sandwich . Quick Delicious ! Spice Market Buffet . eat breakfast - ' t delicious . Tip cheap breakfast : mexican restaurant Miracle Mile breakfast $ 1.99 . 's cheap drink water , coffee OJ make $ 8 . order three breakfast , two one wifey . take ste prive bill ! ( see ) .Club Prive . want go Prive closed , section call & quot ; Living Room & quot ; open . good time . drink ridiculously expensive . go two bar order drink wifey . bill ? $ 30poker : poker room good . well , good everything go hell lose everything . typical scene - towners local look clean out . pool : pool bland desolate . definitely need major overhaul . overall great stay time . want party atmosphere , great choice . not get expectation high service everything fine . - definitely back 
 Sep 25 2009 	 Newer ok 	 bottom line front : busy place , check fast easy . room dark movie theme decorate . tell high turnover place room get tired worn even though place year young . iron , iron board safe provide , coffee maker , fridge , microwave . even though careful research fee charge ( disclose reserve room online ) , still get hit unexpected $ 5.99 per day daily newspaper bottled water replenishment . amenity basic sparse … iron , iron board , shampoo , conditioner , lotion , two bottle water . ' stay unless . member Starwood Preferred Group Hotels preference would stay Casuarina strip . ' quieter , amenity well dollar dollar , earn amount point . big thing ' sacrifice pool Casuarina dinky comparison . sure ' stay again . parking : far free . accord concierge garage belong Miracle Mile ( mall ) . mall attach Planet Hollywood ( PH ) garage attach mall . therefore either walk mall casino get room go way downstairs dodge taxi get check desk area . take 10 minute get 4th floor parking eighth floor room . ROOM : small side . king size bed , desk large hutch . hutch two small closet right leave side 42 inch flat panel middle . iron board iron one closet . iron cheap leak water instead burst steam . room dark four lamp ( 2 bedside , one desk , one floor ) light . bathroom huge separate shower large , deep tub two . basic shampoo , conditioner , lotion provide . food amenity : house restaurant offer good food . PF Changs deliver consistently good food , Planet daily open 24/7 decent menu bit overprice ( e.g . $ 15 sandwich ) , # 1 rate buffet whose attraction food choice world . outside casino Miracle Mile mall numerous eatery well . get chance get coupon book , get one … it money saving offer might worth , remember spend money save money . pool : overrated . two pool separate large sunning area , bar , grill . one pool rental cabanas . relatively small consider number people stay hotel . find one get early afternoon sun start get shade 4 pm . pool laden rental cabanas get later afternoon sun . unlike pool , DJ week feel like go neighborhood community pool . fitness : cost $ 25 per day , unlimited spa area access . overall decent basic workout . numerous cardio machine spread free weight relegate 12x12 area two adjustable bench , limited number dumbbell / free weight , squat rack compact cable crossover station . spa OK . could get locker , robe , slipper enjoy wet dry sauna hot tub . Break area offer free fruit beverage . shower , basic like lotion , deodorant , shaving cream also provide . expect more / well . service : good . staff helpful , on - the - spot , professional . place encounter less courteous service Planet Dailies lounge . see waiter – single offer refill drink . ' even silverware napkin . basically take order leave . suspect dine alone drinking water " profitable " customer . tip accordingly . 
 Sep 25 2009 	 Perfect location hip trendy great value ! 	 Planet Hollywood right middle strip , perfect location explore north south end strip . hotel stylish , trendy new . room clean , spacious large bathroom , room theme different movie movie memorabilia . perfect young people lot great nightclub 2 amazing pool daily DJs . buffet good , vote . 1 Las Vegas . lot choice cousine world . great value money , would def stay ! 
 Sep 25 2009 	 ` ` within Authority '' 	 would normally give hotel rave review except happen beginning stay Planet Hollywood . travel twelve friend celebrate 40th birthday . friend decide book Planet Hollywood already book accommodation . unfortunately , unlike friend , entitle free bottle liquor every day due book March . friend prod say something get free bottle well check ... front counter person coldly answer & quot ; within authority & quot ; . befuddle short sightedness individual ... however , happily relay story staff meeting execute customer service . indeed , staff would never suggest & quot ; within Authority & quot ; would simply find someone understand customer service . 
 Sep 24 2009 	 Fun Honeymoon Planet Hollywood 	 ' ve stay Planet Hollywood two time first trip husband . keep go back great value , comfortable bed central strip location . get great airfare / hotel package Allegiant Air go Vegas honeymoon . upon arrival , mention desk clerk honeymoon give we free room upgrade . the room clean comfortable bed pillow . bathroom large could practically make whole hotel room ! bathroom two vanity great get ready hit town . hotel crowd inexpensive choice dine . Planet Hollywood attach Miracle Mile Shops never run place see thing ! Planet Hollywood might fanciest glamorous mega - hotel strip , can not beat value , room quality location . three trip Planet , still can not find something complain ! 
 Sep 24 2009 	 Nice Hotel Excellent Location 	 stay hotel 4 night September whilst travel around West Coast . love hotel , fantastic location middle strip . room 7th floor overlook pool Paris hotel . room large two double bed . room large flat screen tv two arm chair desk chair . room modern armchair look little old . room clean . also safe room , wifi charge . bathroom large two sink , bath , seperate shower toilet . , bathroom clean . line check hotel wait . parking free self park valet , although use valet 20 minute wait get car back . pool hotel nice never busy . always plenty sunbed free . eat P F Chang China Bistro hotel . food really nice really good value money . worth make reservation wait 45 minute table well worth wait . 
 Sep 24 2009 	 Married Planet Hollywood ! 	 fiance ( husband ) stay Planet Hollywood August 14 - 18 , book wedding package & amp ; reception PH . negative say abut hotel length time take check - in . 4th trip Vegas two year , previous experience hotel check - in city line ( line ) pretty much zip along . ' m sure PH not many check - in station , extraordinary number people try check - in time , definitely line well hour . however , stress feel wedding go away soon see room . booked & quot ; Father Bride & quot ; package include two night stay one ph 's panorama suite . never see amazing hotel room entire life . room 180 degree panoramic view strip , focus Bellagio founain . suite consist seperate standard size hotel room , suite , include two bathroom , living room , dining room , bar area , huge bedroom , bathroom . decor fantastic - clean , sleek , modern . room immaculate . Planet Hollywood , accomodation different memorabilia theme . Star Trek , fun see different prop costume display room . definitely tasteful . suite large spacious . think big condo live back home ! never want leave , nice see upper half live ! ! upon check - in room service come suite witha basket cheese , cracker , fruit , chocolate . wedding ceremony hold chapel Planet Hollywood . chapel simple , elegant , beautiful , perfect size 20 guest . part package violonist perform 3 song choose . reception hold suite , enough room seat everyone eat dance . flower , music , cake customize we , food bring world , also customize . bar essential also include . wedding planner photographer really go beyond make day special , concierge staff always helpful . would call room service would door 5 minute matter silly request may seem . next morning bring we breakfast bed . ' ve hear stereotype regard Vegas wedding , event Planet Hollywood really put bed . beautiful day , anyone look location Vegas wedding not involve Elvis drive - thru , would recommend Planet Hollywood instant . memorable day us guest . aside wedding , Planet Hollywood one favorite casino Strip . hip trendy , lot young people , not feel place like casino . wonderful dining option like Koi PF Chang 's - husband almost walk right Tom Cruise Katie Holmes leave PF Chang 's , see Holly Madison walk dog casino ! day check movie premiere , red carpet roll . neat see ! casino open floorplan , not smokey , well lit , good vibe energy . would definitely love stay , even not , sure hit slot next trip back Vegas ! 
 Sep 22 2009 	 stay away hotel awfull place ! 	 come back 3 day pleasure trip Las Vegas . disappoint Planet Hollywood hotel . positive side location -- right middle Strip . everything else .... suck ! ! ! begin , book trip one month advance . night trip call hotel double check -- fountain view , 2 quinn bed promise . arrive Saturday around 3 p.m line HUGE ! 4 register open check - in one vip . spend one hour check - in line . bench , water , ad tv 's . finally turn check - in . lady front desk ( whose name - tag cover hair ) unprofessional . without greeting say & quot ; credit card ID & quot ; . spend another 10 minute type something computer without explanation . almost like email someone . lose patient ask be go . say search room 2 quinn bed can not find ! tell call advance . also , lady strong oriental accent ask 2 - 3 time repeat . work customer service noone understand ? accent try stay away customer service . offer we smoking room ... noone smoke family ! finally 25 minute give we key room . room clean . could see crumbs carpet suspicios spot blanket . bathroom ugly . room dark , sure try save energy . view fountain angle , good one . room 2283 , 22nd floor . casino so - so . anyways , book Paris ot MGM , much well choice money . stay away Plannet Hollywood . 
 Sep 21 2009 	 Planet Hollywood Rocks ! 	 third visit LV 2 excellent stay NYNY decide brave try another hotel . read review worried choice . however , need not worry faultless stay . check . due short flight delay not arrive untill 4 pm bit Q wait around 15 min . book holiday Virgin give Hollywood Hip room . ask room fountain view minute lady checkin manage find we one 17th floor . ( room 1732 ) excellent start . the room . well view excellent overlook pool Bellagio fountain . room large 2 queen size bed . large bathroom twin sink , large tub walkin shower . one small moan though , room dark little storage space . pool . like relax pool day area important reading review one concern . well experience problem enjoy every day . ph two pool side large sun terrace . good waitress service though pool bar expensive . also need get early bed pool especially weekend . food . mainly stay hotel eat . Breakfast Planet daily great start day . spice market buffet also good fav Earl Sandwich . along line Subway 10 time well open 24 hrs perfect quick snack . one place enjoy P F Changs . food average come luke warm , seem little short staffed . even food poor . the Casino . love play poker feel comfortable relaxed atmosphere room dealer friendly . friend stay Imperial Palace come PH night cause love Casino . ( also book next year time stay ph ) . many bar around casino Heart Bar excellent playing type music 80 's onward . overall excellent stay would recommend hotel anyone . return LV fourth time definatley stay ph . excellent ! 
 Sep 21 2009 	 Little dissapointing 	 arrive Planet Hollywood Resort impressive , showbiz & amp ; blingy . upgrade Hollywood Hip Foutain View room & amp ; view Bellagio Fountains really good room dissapointe , new furniture & amp ; random movie memoribilia well & amp ; good bathroom touch since hotel Aladdin - include genie lamp shape tap . bathroom feel olod & amp ; shabby weak shower . would expect hotel level . also originally put room next elevator , noise elevator make impossible sleep - even jet lag . move immediately complain & amp ; ask happen lot tell yes ! ! bathroom side funky hotel - not spot star though . would recommend see Peep Show 
 Sep 19 2009 	 Excellent location - smack bang middle action ! ! ! 	 Excellent hotel - absolutely huge . stay 32 floor near top ! ! room spacious , clean bed comfortable . room Goodwill Hunting Room . hotel well locate strip . across road Bellagio ( water fountain ) bustop right front . shop fantastic Miracle Mile shopping centre . advice want go tour - highly recommend Sundancer Grand Canon Helicopter Tour not book hotel . book agent road hotel near McDonalds will not rip . hotel staff work commission try sell expensive tour rip . would stay Planet Hollywood - hopefully soon love Las Vegas AWESOME . 
 Sep 19 2009 	 okay conference venue 	 stay Planet Hollywood two night attend conference hotel 's conference center . I amaze take nearly hour check due long line . finally reach registration desk , tell non - smoking room room category would reserve ready ( official check - in time 3:00 pm , flight get 1:00 pm ) . therefore , three option : could take smoking room ( way ! ) , upgrade well room ( miraculously , plenty non - smoking room ready high category . . . ) , come back two hour ( check - in line would likely even long ) . realize & quot ; upsold , & quot ; really need get work do need get room . decide pay well room come part package include free internet ( PH normally charge $ 14 / day access ) unlimited use fitness center ( daily charge normally $ 25 ) .the room fine -- little tired , clean . nice work area ( large desk good lighting ) . fitness center small top - of - the line equipment -- worth $ 25 / day . since check , ' ve receive several marketing email hotel -- annoying . even annoying : hotel seem think & quot ; Upsell & quot ; first name : message come address & quot ; Dear Upsell [ last Name ] . & quot ; bottom line , stay hotel conference take place . would choose Planet Hollywood visit Las Vegas vacation . 
 Sep 18 2009 	 great room good price awesome staff ! 	 book standard room three night Planet Hollywood Resort Casino Las Vegas . tend book cheap room possible ' m Vegas , , not go Vegas stay hotel room whole time . want room cheap quiet ( sleep 3 afternoon want ) . pay $ 50 night hotels.com . after arrive late night , offer free upgrade one suite front desk . think perhaps upgrade room strip view , upgrade big hotel room ever see . room simply stunning . come three large flat panel tv 's , huge party room , great view overlook Bellagio fountain , air hockey table ( , surprisingly , source much fun ) .The hotel room great . comfortable bed , great water pressure , quiet . could not ask well room Vegas . my big complaint casino . ' m engineer study rule give player big edge . rule Planet Hollywood ( especially blackjack ) favorable player . would head Tropicana Excalibur want play game rule benefit player . casino also loud ( tend like casino little bit quiet ) . side note , sport book area nice . lot comfortable couch watch game ' ve wager money on . overall , be something everyone Planet Hollywood . would definitely stay ( even not upgrade suite ) . 
 Sep 18 2009 	 total vegas experience 	 wonderful hotel great view ! could see dance fountain belagio hotel window . the problem excite do not clearly remember room get lose many time try find ! love breakfast buffet karaoke party . for sure stay ! 
 Sep 16 2009 	 good trip Vegas strip 	 planet hollywood arrive wait ten minute check friendly staff free upgrade fountain view good view ever , staff friendly helpful Hotel clean room do daily . planet daile Hotel meal ok price , Buffet terrible food taste , day breakfast planet hollywood restaurant Caesars Palace full english praise enough good buffet town Treasure Island great food price . trip , go Grand Canyon day love . 
 Sep 16 2009 	 Planet Hollywood - Fitness Area 	 return home stay Planet Hollywood ( September 2009 ) want report Spa / Fitness facility , average good . happy pay $ 25 nice workout area update equipment , Planet Hollywood lack both:1 , Equipment – old elliptical equipment free - weight area afterthought . CRT television hang ceiling individual headset availability – Note Planet Hollywood , 2009 , 1999 , quality workout area individual TV ' workout station.2 . Shower grooming area – old worn , tile miss shower serious need update . old Aladdin theme would fine Planet Hollywood maintain area . 3 . Rest Area – , old worn . furniture appear Aladdin era serious need change . one old CRT television majority channel unavailable . place dark dingy . juice water consist small Planet Hollywood bottle water tiny can juice ( apple , tomato pineapple . Orange juice must expensive . ) one positive note , staff nice helpful . bad tip suffer sub - par area . 
 Sep 16 2009 	 never go back ! ! ! 	 hello everyone . girlfriend decide go Vegas party hang , book hotel middle strip . hotel okay little dark burn light call take care worker came say not know . hotel horrible recommend anyone ! ! ! ! hotel housekeeping horrible , leave $ 5 tip everyday room never tip top ( ie : smoking room take ash tray ) . well let say friend feel little itchy day surprise get home break look like mosquito bite , turn bed bug ! ! ! ! disgusting ! ! ! ! 
 Sep 15 2009 	 great hotel . 	 great atmosphere , friendly staff , good slot machine . clean room , good housekeeping . check - in process slow courteous . shower strange water end floor . buffet way price quality food . rent car Avis desk lobby super easy pull car we drop . stay hotel would . 
 Sep 15 2009 	 good hotel .... problem contract service 	 get hotel bit trick right . lot construction go around hotel Hammond close Las Vegas Blvd . first trip Vega complaint Planet Hollywood . check - in que take 15 minute , bad since hour check - in time . room clean comfortable . plenty towel bath accessory . safe big enough average laptop , however large laptop might fit . discount coupon give check - in find Spice Market buffet good value good food . easy check - out unusual item appear bill . problem experience Avis car rental desk locate Planet Hollywood . late opening get charge extra day car rental return car Valet instruct , Avis not log car next day . phone customer service problem fix , go airport pay rental return particular Avis location . , Planet Hollywood 's fault , contractor property . I would problem recommend return Planet Hollywood ever Vegas . 
 Sep 14 2009 	 least bit helpful 	 stay property originally regret stay one night . , currently odd property . find fault charge bill call corrected tell accounting correct . speak supervisor tell could not look folio 's beyond & quot ; Todays & quot ; check date . absurd ! ' ve work hotel many year tell guest access past folio 's Monday - Friday 8am-4pm ridiculous inefficient . way hotel could operate like . seem money desire . issue , would stay away CAROL ACCOUNTING . useless ! ask follow procedure , reluctantly , , avoid . really ? be come ? Ignore customer hope go away . big regret choose place begin . 11 day later , issue yet resolve 
 Sep 14 2009 	 Spectacular hotel 40th birthday bash ! 	 Planet Hollywood good choice party . 25 friend join we -not stay we PH comment afterwards stay . service excellent ! stay strip suite well worth splurge . however , keep mind high service charge reviewer mention definitey true . end buy wine alcohol shopping mall downstair keep room entertain service charge order drink via room service expensive . location hotel perfect restaurant shopping ideal group . would definitely book PH ! 
 Sep 14 2009 	 love room ! 	 check - in process lengthy ! check Sunday wait 30 minute . understand Sunday busy check - out day , frustrating . we stay Hollywood Hip room love interior . bed plush , furniture nice , bathroom large ( separate tub / shower ) . downside room place right next elevator , loud ! would recommend ask move find room near elevator . Buffet expensive , receive BOGO free offer night 's stay . otherwise , not think 's worth money . love location hotel ! downside stay casino . luck getting drink difficult . , 's 's great Vegas , plenty casino choose ! 
 Sep 12 2009 	 functional convenient 	 check - in busy efficient express check breeze . room clean well service , top good size . room quiet good place chill time . bug coffee / tea make facility room . hotel , another Casino . Spice Island breakfast average , limited range healthy food option heated option scream cholesterol . swimming pool area large bake pan top roof . definitely attractive area good need beautification , good place get high dose uv ray 's thing ( ' ve skin cancer ) . bar price next time have tempt visit ABC store Miracle Mile , purchase beer walk Casino . would not rave hotel certainly work ok . 
 Sep 12 2009 	 blue collar joe 	 simple person yet like travel thing would like blue collar climb myan ruin could , see great roller coast spot ex : cedar point great ! pocono 's horse back ride dining , FLA disney thing love epcot , deep sea fishing cancun other , last trip vegas disappoint , send letter ph first post here.ok go hardly offer drink casino floor , ask 6 - 8 time day want take tour time share annoying , offer drink pool side go get , bed way soft pillow awful sorry say , buffet 14.99 breakfast 24.99 dinner think lunch 18.99 can not recall , hotel close 19.99 brunch dinner eat 12 pm 10 pm much like 20 bucks= ) that s recall vegas buffet like , could get good italian sit dinner NY NY 20 dollar never stop ask want cocktail . forget get coffee room would cost 15.00 dollar 20 % tip top . pool side area close think 10 pm want go back drink smoke cigar husband want luck . feel ph hotel high roller set blue collar joe . good thing ph give free bottle spirit ever night guess make get cocktail floor . earl sandwich good locate casino level ph good price good sandwich , many sandwich one eat . simple person . 
 Sep 11 2009 	 Great Hotel 	 stay Planet Hollywood 10 night 30th aug-9th Sept husband great time . check within 5 min upon arrival request upgrade give Fountain View Room ( 2457 ) also request Fridge medication purpose give problem extra charge . Maid service daily , clean bathroom get fresh towel etc . gripe cleaning corridor , floor rather grubby not hoover whole time shame find rest hotel rather clean . our room two queen size bed super comfy fresh bed linen twice ten night . room rather dark 's lamp two lamp one main light never cause we problem . bathroom great , clean spacious fab bath tub nice marble vanity area walk shower also good . Hairdryer also supply . there 2 swimming pool one not open 10.00am suit we never problem get bed pool area keep clean cleaner regularly come round sweeping remove rubbish . this lively hotel definately gear towards young age group good thing everyone go Vegas 50 . music around pool good loud read review albeit DJ weekend must admit rather loud . we eat Spice Market Buffet Planet Daillies Breakfast really great . pf Changs Chinese within hotel fab Earl Sandwich superb . casino well air condition smokey slight yes woman dance table find offensive anyway half time not even notice . timeshare people pain keep say thank walk fine . overall great hotel superb location right centre srip bus stop right doorstep catch Deuce Bus take strip often like buy daily ticket . Bellagio Fountains absolutely stunning Volcano Mirage spectacular Gondola Ride Venetian fab . tip : avoid Labor Day Weekend , place jam pack , inside ! 
 Sep 11 2009 	 middle 	 second stay Planet Hollywood , definitely not disappoint . 's great location , easily accessible Strip . arrive mid - afternoon long check line . probably take 20 min check Sat . ask late check ( b - day want sleep ) not problem . we book fountain view room , check realize right next elevator . not want take chance annoy / woken noise , call change room . reservation man not really helpful - say could put we quieter room , would not fountain view . walk stair , stand check line ( short time ) eventually help someone work Starwood Preferred desk . tell issue , say ' no problem , king bed , fountain view room prefer / premium floor & quot ; . will take ! ! excellent view , free food & quot ; green room ' free internet , . nice . although little hassle begin , great time PH , also enjoy free buffet ( room come ) Spice Market . one small gripe , although 2 pool , not particularly deep , crowded . 
 Sep 10 2009 	 Loved ! ! 	 love hotel ! ! staff friendly get upgrade strip view room check . reception wonderfully glitzy , Vegas ! check - in fast guy helpful . room spacious clean .. comfiest bed ever .. spend much time appreciate ! room darkly light previous review state mind .. thing could change show door clear glass , people might want get ready bathroom able see shower ! pool nice , loud much young crowd mention - not would minded . pool bar snack bar also good ... soft drink 11 could get vodka cocktail - we love Vegas ! ( passionfruit vodka slush nice ! ) casino big , clean ... not use much can not really comment . starbucks earl sandwhich use alot . planet daily cafe not fantastic .. friend get ill eat there - and presume could . also go mexican restaurant nice . go see Peepshow , would recommend . not go club PH , probably enjoy LAX Luxor club go . location fantastic , right opposite bellagio centre action ! would definately stay .. get depress back home see hotel watch happen vegas day ! planning go back ! ! 
 Sep 10 2009 	 really average hotel bad makeover 	 arrive hotel face hour wait check ( ' m lead believe expect Las Vegas Hotel , although queue go ballagio couple year ago ) . issue room key travel darket corridor ever see . get room well . room dark even curtain open . not know due location ( 6th Floor ) level pool find beyond dark . also not many light fitting room not help general ambience . the really anoye thing friend stay Flamingo go room bright airy general feel room / corridor open area well newly refurbe ph.anyway , believe well deal PH combine poor traffic due new building / city build across way would mad stay moment.cheer james 
 Sep 10 2009 	 Great Location do not want leave ! ! 	 4th trip Vegas first stay PH . arrive 12.30 ( midnight ) wait check get free upgrade resort room ! 9th floor partial strip view . room spacious , 2 queen bed , desk , office chair , table , 2 sofa chair huge flat screen tv . bathroom huge shower , huge bath two sink ! hotel perfect location right centre action , great shopping mall build hotel conveinent . stay see peepshow star Holly Madison great show also . slight negative roadwork go , make Harmon Avenue close Las Vegas Blvd end . temp build new bridge link new MGM City Center project across street . in Summary PH great place stay , young hip crowd , definatley stay next trip Las Vegas 
