average 	 hotel clean & amp ; well present . easy access 02 dlr one tube stop . room service meal poor price & amp ; good . breakfast also poor £ 17 per person lukewarm cook breakfast ideal . 
 May 28 2009 	 Stunning Hotel avoid restaurant 	 stay Friday night hotel really fantastic . modern stlyish building light airy feel . room beautiful really great bathroom . we love everything hotel apart restaurant . order steak burger glass wine . 50 minute question food not arrive . apologise 10 minute later meal come . restaurant not busy explanation give delay . bill came charge we £ 9 glass ( average ) rise wine add 12.5 % service charge . poor service , disappointing food rip price . hate dwell negative really spoil would great stay hotel 
 May 27 2009 	 good hotel - would like go back weekend break 	 good hotel good price . nice clean spacious . deluxe room huge bathroom , bath ! walk shower inste suited fine may suit everyone . room lovely - would definately stay - especially £ 100 night advance booking , give cost 4 * plus area . not sure description 10 minute walk Canary Wharf correct ( centre anyway ) - unless walk fast : - ) hotel shuttle bus take morning return night - last one around 9 pm though . £ 5 taxi need one . 
 may 22 2009 	 Fabulous Hotel 	 stay hotel go exhibition area . point arrival , staff wonderful attentive . stay beautiful room wonderful view , though slightly angle . one comfortable bed ever sleep . breakast good variety dish available . would definitely stay already recommend hotel family friend . 
 may 22 2009 	 modern hotel traditional value personal service 	 stay number hotel around location base star rating alone spoilt choice . Radisson , however , set clearly rest ensure guest feel & quot ; home & quot ; . hotel clean , provide luxury good value - bar restaurant provide friendly atmosphere whether stay business family ( do ) . minor complaint quickly give hotel management attention - overall , would recommend hotel anyone . hotel provide traditional high quality service level age good personal service often rare - well do ! 
 May 14 2009 	 take Customer Service another level 	 moment arrive weekend treat warmly respectfully - combination many hotel manage . staff area hotel absolute good accommodate every need without ever make seem anything normal . , specific dietary requirement , essential often lack place visit . entire weekend spend relax , fabulous Spa treatment - cosset care , relax bar , nothing spoil calm , tranquil atmosphere end weekend relaxed have long time ! important factor design location hotel , first time able sleep keep awake guest traffic - real bonus never expect good night 's sleep hotel . specific detail : room clean would think new , many home home feature like soft robe , ' my Music ' ( allow use iPod room ) staff help anything need . hotel quiet , bright modern without austere . food bar restaurant modern nature , high standard would expect , beautifully present serve staff can not enough . enjoy good breakfast , would say selection impress . everything ' full English ' Fruit Salad . lay choose even categorise ' low ' ' high ' Calorie good still eat fill plenty choice . would not hesitate recommend hotel business leisure already do . 
 May 11 2009 	 outstanding hotel service staff . 5star room 4star money 	 Book early take advantage discount , staff refreshingly helpful attentive need ( usual lip service experience elsewhere ) .very pleasantly suprise room ensuite facility particularly without ask one room view thame . really great place stay . 
 May 10 2009 	 Fantasic Wedding Party 	 stay Radisson Edwardian NPW December wedding party . River Room venue hold amazing view Thames O2 Arena perfect location special occasion . friendly helpful Staff make we guest feel really special . thank fantastic wedding party ! ! ! 
 may 8 2009 	 top quality 	 stay two night wonderful experience say least . check easy friendly kind offer newspaper deliver room morning accept thank . the room wonder ; huge bed , classy television adjoin bathroom fantastic huge bath even well shower . I order room service second night plese speed service aspect meal . road pleasant italian restaurant enjoy first night . check - out friendly helpful arrive . need taxi arranging take we Canary Wharf station . do quickly smile . this modern hotel great all - rounder would reccomend everyone . 
 may 1 2009 	 real treat we 	 use hotel special couple day London already visit connection business . welcome superb ; room describe wife omigod - good possible way course . feel good return . air - conditioning hard control keep window open much time - overlook river O2 - otherwise great - superb value high standard . breakfast fine service top - level . use Mini Cab UK get West End South river - comfortable ( reasonably - price ) Ford Galaxy - send driver time , make we feel special . be next time ! 
 Apr 29 2009 	 Chic Birthday Getaway 	 stay Radisson Edwardian New Providence 19th-21st April 2009 24th birthday event O2 , pay extra deluxe room & amp ; well worth . room spacious & amp ; modern , really trendy furniture & amp ; gorgeous bathroom . Decor really simple gorgeous , much space , even huge glass dask , modern chaiselong , 2 chair big bed room . bathroom also spacious modern separate bath shower . the hotel 15 - 20min walk Canary Wharf tube station ( 10 like say hotel website ! ) , nice weather not matter . would recommend print direction find hotel intend walk get bit lose arrive first try find hotel . however , know going walk enjoyable & amp ; plenty bar / shop / restaurant Canary Wharf walk . not eat hotel restaurant drink hotel bar night , price & amp ; choice good , & amp ; service great ! room service breakfast last morning treat , seem expensive order anyway last minute luxury . tthere much food , neither we make dent amount give selection provide huge & amp ; breakfast worth money . view hotel O2 arena amazing , probably close hotel . ( although take time get there- take we 15mins taxi way £ 20 & amp ; 30mins via tube / walk way back , one stop away ) . although near much , area peaceful rest London easily accessible everything maximum 30 - 35minutes away . take we 30minutes together get St Pancras Station less reach Oxfrod Street , include 15minute walk hotel Canary Wharf tube station . we could not fault hotel ; staff everything make stay enjoyable really nice , room gorgeous & amp ; probably one nice look / well finished hotel room stay . go relaxing / romantic / fun day escape would definitely recommend hotel couple getaway ! definitely stay hotel ! note : really , really enjoyable stay hotel think also due gorgeous sunny weather , walk shop / bar / restaurant / tube Canary Wharf every day 15 minute enjoyable rather chore . however , ' m sure would case raining , would expensive hassle get around weather not nice . hotel amazing , want emphasise fact walk / taxi get anywhere : still stay hotel though ! ! 
 Apr 28 2009 	 great hotel lovely food decent location nice shower bed - want business traveller ? ! 	 regular business traveller ( regular hotel ) , want number things1 . hotel easy get . ok , heart Canary Wharf short walk short shuttle ride . DLR City Airport / Bank also walk distance2 . hotel servie decent room service . room service food always good - steak do ask , food hot , good selection . not like undisclosed tray charge , fairly standard charge hotel . hard find right button press phone sometimes ring ring good2 . decent bed decent temperature . bed fine , cleanliness immpeccible , recent room temperature issue seem get sorted3 . decent shower - one thing need stand bath contort body get miniscule trickle scald water ! one proper shower none attribute above.4 . quick check check outi would follow quibbles- tv channel great , poor reception , available- Room service slow- customer service sometimes leave little desire ( e.g . lack follow query / complaint ) - gym little pokey never use pool look small decent swimhowever , hotel perfect balance would happy continue use hotel . 
 Apr 28 2009 	 Excellent hotelstafffood 	 hotel one good stay travel around world stop many hotel . I London business every week try several hotel stay Radisson , hotel wonderful atmosphere staff stop ever since . nothing much trouble staff , room spacious love flat screen tv room even bathroom room stay in . even busy general manager Paul Duggan find time come friendly chat . I always recommend hotel colleague friend . 
 Apr 25 2009 	 nice enough hotel convenient hope O2 	 husband choose hotel 's proximity O2 , actually need not bother worry . blackwall station DLR nearest station hotel , however emerge station bit challenge actually locate hotel - challenge make daunt horrible neighbourhood ( right next Poplar , avoid ! ) . arrival hotel have already decide not fancy come back Blackwall O2 dark , agree would take taxi O2 ( transpire Jubilee line , service O2 , not run anyway , taxi would option - boat ! ! ) . summary ... go O2 , would concentrate find hotel nice area worry quite much proximity o2.as hotel ... nice enough . reception staff helpful room adequate ( although limited tv channel , naked female torso wall bit odd ) . breakfast would say adequate . 
 Apr 24 2009 	 completely convinced ... 	 first impression mix - reception area clean attractive lady front desk give rather cool reception . go ( supposedly & quot ; deluxe & quot ; ) room find overlook main road car park - lovely ! have ask river view room , whilst appreciate hotel can not always accomodate request , really not get impression hotel full even busy . room nicely furnish immaculately clean . lighting arrangement seem bit complicated - end mash switch light come somewhere . happy level traffic noise throughout night ( however , point ' m use sleep quiet room ) .The bar area nice good place relax , member staff serve not seem pay attention . wine serve taste though open long time store warm place - nice all . when check , get flavour hotel good review - member staff check doorman friendly eager help leave positive feeling hotel . stay area will consider hotel , ' m ready recommend yet . 
 Apr 23 2009 	 hotel resold prepaid room 	 prepay 100 % room charge & amp ; dismayed find oversell hotel arrive room . Understand take 2 taxi 's train travel specially hotel need close O2 Arena . still not understand resell room pay 100 % . grant send taxi May Fair Hotel central London whole point stay first place close O2 Arena . attempt contact make & amp ; find whole experience incredibly slack ! 
 Apr 23 2009 	 Great Hotel hard get 	 would expect Radisson , hotel facility staff excellent . however , choose hotel attend event O2 ( directly opposite hotel across Thames ) . firstly , quite difficult get hotel use public transport . secondly , frustratingly difficult get O2 consider across river . end taxi £ 30 round trip . 
 Apr 17 2009 	 Lovely Place 	 one good place ever stay . room excellent view . helpful good staff , eager help people . sure find good rate though , stay 3 time rate fluctuate majorly . 
 Apr 16 2009 	 enjoy Docklands Providence Wharf Hotel 	 second stay Radisson Edwardian New Providence Wharf , happy . courteous friendly staff , room lovely design beautiful river view , also nice breakfast . - pair ofd norwegian academic - could ask ! 
 Apr 15 2009 	 Nice without severe drawback 	 stay 3 night . hotel new nice . convenient O2 Canary Wharf , bit trip Central London . breakfast good . problem A / C , lack thereof . window partially open face highway , either hot listen traffic . hotel could ' ve good , swelter room outweigh positive . 
 Apr 11 2009 	 Quiet hotel wacky room temperature control 	 brand new hotel Docklands area London , close Canary Wharf , many company headquarters . 's quiet problem noise . room , though , odd . temperature control function properly , way mystify . control panel say temperature arrive 24 degree Celsius ( warm ) set 19 C. hour later temperature panel say 25 C. matter , could get 23 C. air room dry bed hard , sleep well . shower excessively complicated stung high - power jet water could mute . hot breakfast downstairs good . 
 Apr 7 2009 	 Fantastic Hotel beautiful view 	 look tripadvisor , find perfect hotel London . not necessarily need center town , focus good hotel . wire Marriott Radisson Edwardian , ' m really happy choose later . room really nice ( modern interior ) good size well . bathroom tub shower . complaint ( actually preference ) bed , really hard . maybe get soft bed , not ask it . the service great would like give special thx making stay much well . location wise , wish stay near town center , radisson . like evening calm relaxing . Radisson Edwardian really quiet area town , will not disturb street noise etc . room clean every day , excellent .. money spend two night stay certainly worth money , would love stay return London . choose stay make sure breakfast , be great promise , leave hungry . hotel also Spa , Business Center ( free charge internet access computer ) also great want stay & quot ; home & quot ; .absolutely worth money ...... 
 Apr 3 2009 	 relax venue friendly helpful staff . 	 friendly well manage hotel . exceptionally well present . staff could friendly , credit organisation . 
 Mar 31 2009 	 absolutely fantastic hotel would definitely recommend anyone fab location o2 . 	 stay friend ' birthday March 09 wonderful time . staff meet extremely friendly welcoming . we friend one bedroom suit absolutely amazing . room huge suite area , bedroom bathroom fantastic . large rainshower tv could watch whilst bath ! also love fact massive mirror one wall small pull mirror opposite wall soThe room modernly decorate feel luxurious . hotel not park onsite drive right door concierge park car . go o2 evening location hotel brilliant . actually see dome across river right outside hotel . cost we £ 15 short taxi ride ( 10 minute ) hotel staff offer book we check jubilee line tube run night . perfect weekend ! can not fault . 
 Mar 30 2009 	 fabulous room . great staff . 	 stay whilst attend civil partnership . stylish yet relaxed hotel . wonderful room . great staff . nothing much trouble . 
 Mar 30 2009 	 smart contemporary efficient . 	 impressive contemporary hotel . stay whilst attend wed London , would much recommend hotel business traveller . accessible Docklands . staff helpful give advice area know well . room contemporary immaculate , would expect hotel class price range . London hotel often disappoint - one . 
 Mar 24 2009 	 customer service poor small thing let 	 Events Manager , run conference incentive event UK abroad , spend fair amount time hotel . never fail surprise time time , difference service get organising event bring large revenue hotel , verses arrive partner normal customer . book hotel birthday treat half along ticket 02 . arrival hotel , one entrance greet we valet park car pre book . sort car issue , check smooth . we room 5th floor , order get lift work insert room key . try 2 lift , 3rd lift finally work , continued entire stay 3 different room key , still problem . first impression room , hot ( 28 ) good , nice view river dome . bathroom massive , large bath , separate shower , big enough two . room well dress , clean tidy modern . however small thing start let spend time room1 ) window open fraction , air con ' cool room , 24hrs manage drop temp ( 24 ) 2 ) bedroom curtain do not cover whole window , leave large gap light come streaming , early morning3 ) bathroom blind be not wide enough , whilst sit toilet , bath look flat opposite .. exactly private window floor ceiling4 ) Room service , limited 10.30 night . ham sandwich fish pie ' exactly want 12 night get back 02 , thankfully McDonalds 10 min walk away.5 ) bar small , service really slow sit , cheap drink mini bar room , drink bar . £ 12.80 2 drink price hotel6 ) warn breakfast £ 17.00 per person ... another stop MacDonald ' sas say small thing , take away experience . stay hotel , expect level service facility spend night sweating , wake early curtain do not close , able use bathroom private . check ok , ask enjoy stay , address issue , reception staff , do not really reply . night hour sleep ' time patience take matter , another small detail make walk away hotel feel negative . simple sorry address issue would enough . and finally ... word warning , like car want take care ... ' trust valet parking service hotel . expect anything damage car ! wait 10 min car , straight away noticed radio Ariel snap bent two hang roof . after much arguing , entrance hotel , everyone look ... hotel 's solution fix black tape . argue clear go nothing , spend hour try resolve matter pointless waste time hotel . drive away , far amuse , never stay . lose two customer , also lose business future event run , would also carefully consider use Radisson hotel full stop . hotel learn customer service little touch make difference . difficult get right , clearly . ' care less . if simply want somewhere sleep , close o2 fine , want hotel experience , special event , want feel special treat guest rather number , ' bother . 
 Mar 24 2009 	 friendly excellent hotel ! ! 	 book one night stay Radisson Edwardian New Providence hotel wife 's birthday , start finish enjoyable stay . take advantage site valet parking much easy drive , say surprised easy get , much well lug suitcase across London tube . greet reception staff helpful , speedy check - in luggage take room . room spacious new , normal amenity would expect 4 star hotel high standard . my wife book treatment Spa hotel , say lovely staff friendly , pamper take advantage free gym . big equipment appear new . free weight ( good enough free weight work ) numerous weight machine . plus treadmill , rower , cross trainer , bike stepper . not forget swim wear sauna steam room well . swimming pool road hotel , pay . Canary Wharf 10 minute walk away , tax map Reception help find way . all find hotel high standard definitely stay . 
 Mar 20 2009 	 service dreadful communication hot water morning apology 	 wedding . spa lovley however service staff dreadul well hot water ! arrive ask 2 bath robe spa . arrive back 2 hour latter remind housekeeping bring . room service friday night - take 1 hour ask burger well do be not . send back bring back we bun burn explanation burger could well do dry even touch cheif - message got & quot ; cheif say burger big well do & quot ; . drive macdonald roundabout starve . there 2 phone room one screen surround button & quot ; reception & quot ; & quot ; housekepping & quot ; etc break friday night . small phone bed could press 0 take age get reception ask someone come look . 8 pm . time leave Sunday morning still break . that evening meet client bar drink . sign put room . walk bar client waiter came loudly say credit would need pay cash . explain need check reception whilst stand wait client . come back said & quot ; oh yes sorry right & quot ; damage do front client . morning go gym come back shower . hot WATER . try ring phone take age get reception . tell politly lady end line rang put head office either Gatwick Heathrow wait put hotel reception ! ! say hot water tell boiler working - apology explanation nobody contact we . we wait bucket water bring ! push say be not good 2 girl go wedding ! alot persuade part talk health club across road we shower - idea . really do not seem bother hot water . duty manager say ask check would sort something . when Sunday come check see . receptionist do not care rotten stay reiterate happen stay . could offer money take food . I also charge full price parking - concession becasue part wedding party , challange reluctantly give we discount . I email manger hotel complaint - offer stay free - fully book . contact head office complaint say would want stay could offer compensation ? last August 08 do not thing back . I never write site stay many hotel different venue around world let lot thing ride feel need complain receive apology happy . apology comensation horrible stay bad communication staff , dreadfull food service feel compel write ! 
 Mar 18 2009 	 could not ask ... 	 Excellent hotel , fantastic helpful staff . complaint anything . 
 Feb 25 2009 	 welcome Comfortable good menu gorgeous decor 	 check hotel could not go fast smoother . arrival car valet park low cost , immediately leave worry pay fortune local parking nearby , doubt security leave street . plenty staff available check , often problem place , check painless . the room ( delux king ) describe picture , often false impression give marketing , exactly describe picture , good rate radisson London . travel centre problem , train service 3 - 5 minute walk around corner , 10 - 15 minute journey centre , stop 4/5 stop . we also dinner restaurant service food could not fault . many thank staff would definately stop ! 
 Feb 23 2009 	 Fantastic Hotel ... brilliant place valentine Day 	 book hotel Valentines Day Girlfriend really tough year want give treat deserve . choose stay deluxe room modern , clean spacious . pay extra 40 pound river view disappoint ! ! amazing night curtain open see o2 lighting river . bathroom fantastic probably big bath ' ve ever bathe . service hotel phenominal always happy help . alarm go room next 6:00am call reception within 3 minute , come turn . buffet breakfast delicious would definately stay . bad point authorisation bank hold full payment top night stay couple day look like charge double , depend Bank bare mind stay hotel enough money account go back 3 day later . 
 Feb 19 2009 	 Perfect overnight business stay - friendly comfortable 	 find hotel delightful . reception staff friendly , helpful polite . decor pleasantly modern neutral . room superbly comfortable quiet . bathroom fabulous . room rate reasonable . I would definately stay . 
 Feb 18 2009 	 Decent room awful service 	 travel London husband sister husband . book 2 room hotel ( 504 & amp ; 505 ) location review site . watch show 02 ( Russell Peters ) weekend . couple late 20 's , early 30 's . put context , husband travel alot . often stay 4 - 5 star luxury hotel abroad . not date move write review first . first deal plus point , check nice easy . decor throughout hotel modern contemporary . bedroom / bathroom reasonable size London although view room leave alot desire ! check fairly simple although wait abit . now deal negative . modern clean hotel make 4 star . service throughout stay appalling . firstly , deal night arrival , drive hotel decide good way we travel 02 car , ask reception , concierge security leave carpark direction . one could provide direction ! hotel market close proximity 02 , clearly need get act together . however , main gripe breakfast ! serve 7.30 - 10.30am . come 10.00 . wait someone show we seat area . lady front continue talk mouthpiece seem like age whilst wait . eventually show we table overlook river tell we someone come take tea / coffee order . table show we clear away . use coffee ? cup table brother law sit . could see least 3 member staff milling .We wait approx 10 min someone come take drink order eventually give walk hot buffet . hot plate ! good variety however , sister want fried egg wait one bother fill tray . sit breakfast see margarine / butter buffet area table , ask staff member . disappear fail come back we . proceed ask least two staff member avail . husband eventually get speak lady front pick two small margarine plate another table hand . coffee serve finish breakfast . we go back room shower request late checkout ( extend 1 pm ) . water well lukewarm . rang reception send someone check . checked agree tell we problem hot water source outside would go speak revert back we . wait 20 min call reception tell we boiler need 20 min heat try . 2mins late room buzzer go male return tell we problem take 20 min resolve try ! point would enough want leave . intend book treatment spa follow experience shower decide give miss ! let say stay Raddison anytime soon . 
 Feb 11 2009 	 ' strictly ' lovely 	 recently stay Radisson one night sister ticket ' strictly come Dancing Live ' O2 . greet friendly helpful reception staff . check quick easy . twin bedded room comfortable nicely decorate bathroom . room exceptionally clean . not evening meal restaurant can not comment buffet breakfast morning good - everything could want . bar evening nice atmosphere although , expect , bar price par rest London hotel ! would definitely stay concert / show see O2 . 
 Feb 8 2009 	 good hotel overnight Canary Wharf O2 	 want good , newly build hotel , close Canary Wharf O2 arena ? good price ? try this . only two year old modern styling NPW Radisson hidden gem . first time visitor will escort room , shown 's feature 15 min later reception give call make sure well . stay business one night probably stay next month . do not use facility room comfortable , bar area comtemporary restuarant menu look good . if Canary Wharf business arguably walkable weather nice else short cab ride departure take free shuttle bus back wharf . 
 Feb 4 2009 	 great value quality London hotel 	 new hotel , Thames , river O2 Arena . spacious room . great bathroom . very helpful staff . slightly overpriced breakfast . good value overall London . very handy Canary Wharf office , free shuttle hotel . 
 Feb 3 2009 	 bad billing system 	 stay fine . nothing disasterous ( problem tv take three call reception get someone fix , think tolerable ) nothing outstanding . but month later unexpected credit card charge unhelpful attitude phone staff leave bad taste mouth . fraudulent charge , check room pay final invoice expect charge related room include . hence surprise additional charge ( room service ) appear late credit card statement . the Radisson staff speak phone impolite . accord , different ' window ' room service charge different window charge . I try point customer , not understand not care ' window ' . request room service charge ' different window ' . check , one front desk tell ' other window ' . anyway , want suggest review procedure . adamant nothing wrong part , check . so , word warning plan stay ... beware ' window ' unhelpful incompetent staff . 
 Jan 31 2009 	 Nice Hidden Gem 	 originally slate stay nice boutique hotel Chiswick , Radisson FANTASTIC winter rate webiste - far low would expect - decide switch hotel take chance . hotel disappoint - fact , exceed pretty high expectation already set forth TripAdvisor reviewer ! be look stay area London well dockside scenery , Canary Wharf want go . hotel sit right Thames stunning view - especially O2 Arena night . despite little way , hotel extremely quiet peaceful - something perfect nice vacation getaway . the DLR stop close hotel Blackwall . 's 3.5 - 5 minute walk - nice convenient , especially Tube primary transport around London . Canary Wharf 20 minute outside central London ( Tube ) , be area leisurely trip , see problem stay hotel . complaint hotel 's location 's situate cul - de - sac face Thames ( account stellar view ! ) - bit tricky find get front door first , especially construction go around property ( note - construction present sort noise issue we inside property ) .The room nice size . modern , well keep , clean . bed little hard liking , call front desk extra blanket sleep , bed , least , soft enough get good night 's sleep . bathroom modern fixture feature heat mirror , heat towel rack , outlet 120V appliance , separate bath rain - style shower . ' ve never rave much hotel bathroom . view , like reviewer state , office building next door ( not care , come London walk around city stare window ) - feel stay one Deluxe room , will nice view Thames . there also free WiFi access room - end nice surprise . the staff friendly helpful . order quite bit room service , reasonably price . room service super quick , good worth money . another reviewer suggest , try Hotel Ibis next door breakfast - 6 pound , be cheap , offer Radisson 's breakfast ( alternatively be also McDonald 's across street well ) . however , weekend , Radisson offer stellar breakfast buffet less expensive , offer double selection - highly recommend . Dinner Radisson little pricey , assure food amazing . be really one restaurant near hotel ( nice italian bistro not try ) , would recommend hotel restaurant ( room service ! ) find tired hungry . 's also small market block hotel near East India Quay DLR station pick light meal snack . the bar nice well . bar tender sweet make good amaretto sour ' ve ever . ' m sure not 100 % sure go , amaretto sour tad different London - different ingredient , taste great ! little pricey , consider hotel , be would expect . do not use spa service ( though spa look nice , receptionist friendly lady ) , gym top notch . brand new , heavy duty equipment - serve perfect replacement gym back home . feature 2 rowing machine , 2 stair climber , 2 treadmill , 2 elliptical , weight , balance ball , mat nice view over - look area . overall would likely stay , especially nab stellar price . beautiful property , gorgeous location , well - keep room , friendly staff hard beat ! 
 Jan 29 2009 	 absolutely wonderful ! 	 wonderful stay recently completely fall love atmosphere location . usually stay Four Seasons , worried would dissapointe room size bathroom Radisson Edwardian , could not well . hotel well locate ( despite concern ) offer much residential , cozy warm atmosphere - genuinely make feel special like ' another guest ' . room exquisite beautifully furnish , over - the - top - everything immaculately clean . sublimely comfortable chair , lamp side table right need make kind hotel room want curl really live . staff definitely work achieve friendly atmosphere - impressed ownership staff give issue raise . two pointers:1 ) Book via hotel 's website . shop around day find end back site good rate ! 2 ) try hotel 's restaurant - end dining almost accident due last minute change plan food service genuinely second - to - none . nice touch phone call club concierge night departure , ask need arrange airport transfer print boarding pass . , detail . overall , wonderful experience . definitely back . 
 Jan 28 2009 	 fantastic Radisson new providence wharf 	 recentley stay Radisson New Providence Wharf hotel everything hotel l find exellent helpfull friendly staff standard room breakfast exellent . the position hotel great let hope get ferry service go get centre london say enough good thing hotel . 
 Jan 27 2009 	 really love hotel 	 stay weekend visit friend amil London . hotel easy find use valet parking easy cheap ) park . go small room superior king pleasantly surprise . view Thames room spacious London hotel , particular bathroom seperate bath shower . room clean everything need weekend .The hotel pretty quiet staff therefore attentive friendly . sure far station great location drive weekend 
 Jan 5 2009 	 would not stay - could not even get drink ! 	 stay hotel , would not terrible service awful food Azura Bar Restaurant anything go by . this one recommend . 's Four Star Hotel Zero Star Service Ethic . 
 Dec 25 2008 	 functional lot else 	 rate hotel & quot ; average & quot ; think , time downside it . the room comfortable - little compact perhaps hang clothe toilet rather odd , one comfy hotel room ever stay in . the service really good . staff young local , although always willing , exactly would describe & quot ; accomplished & quot ; .Room service & quot ; interesting & quot ; . Red Wine serve ice bucket , twice . impressed interpretation Club Sandwich ( serve Focaccia ) .Overall though , niggle minor nothing really complain about . I pick hotel want stay area not want pay price charge hotel Canary Wharf estate . would say get value money regard . 
 Dec 21 2008 	 good stay price work 	 stay 20th December see Stereophonics O2 . impressed whole returning . we park behind hotel ( road run majestic wine ) weekend parking retraction , save £ 25 valet park , top lot open space around hotel . nice room bathroom . like firm bed , other may find firm . not hear thing door shut , nice quiet outside well residential area adjacent hotel . we wasteland , main road MacDonald 's view other comment . someone else mention agree hotel position wrong way round , would suspect ' ve get 80 % room face wall building wasteland , 20 % overlook water O2 , seem like miss opportunity I . get O2 easy , DLR Blackwall Canning Town tube North Greenwich . ' ve see comment DLR 15 minute walk hotel , not believe word , take around half time . good route could see take underpass opposite Ibis cross slip road behind majestic , follow wall leave head right dlr station . seem work carry station , may direct route future . the food service hotel breakfast , include room rate . room overlook O2 , nice , service good , give impression never ask something ridiculous breakfast ' vegetarian ' , despite we one dining room ( leave 40 minute breakfast started serve guest come breakfast , tend early riser ) take kitchen 25 minute put something together ( maybe sometimes buffet , particular day though ) .Overall would stay , two event O2 next year , would weigh parking cost final decision mid week event . 
 Dec 10 2008 	 check room want view 	 great modern hotel little clinical . staff excellent , friendly helpful . Advertised & quot ; stunning rverside view & quot ; room look waste land major road , live room flat adjacent building . car parking available charge £ 25 per day . 
 Nov 17 2008 	 Pricey well present 	 stay one night Bed ( not take £ 33.00 breakfast £ 6.50 head road IBIS ) room techie dream . bed hard facility new staff helpful accomodating . free newspaper available delivery never materialise Saturday morning . not factor VAT addition website quote book price oversight theirsstaye concert O2 side river . d'oh . Taxi ok albeit pricey get back . 
 Oct 17 2008 	 great modern hotel good location O2 stadium 	 Stayed overnight go see Spice Girls O2.The hotel great location , outside reception area , look across river o2.it modern hotel fairly quiet location dockland , nice clean room , good breakfast , also spa time use . fixture fitting modern contemporary design . please note hotel withe walk distance 02 5 minute walk local dockland light railway couple stop o2nice play stay 
 Oct 11 2008 	 great stay 	 lovely room , clean modern . Bathroom fantastic . staff friendly food good ! 
 Oct 6 2008 	 good hotel MAJOR front house issue 	 stay hotel go see show O2 . good thing hotel , discover arrive , 's proximity venue . however , encounter huge problem hotel . on day due arrive , rang ahead confirm dlr station near hotel , staff tell . arrive say station , could see sight hotel rang hotel back inform we fact wrong station . ask long would take get hotel , tell 15 minute drive away ( already tight schedule get venue time ) . ask hotel ring we taxi , tell ( city centre hotel ! ) service offer could ring taxi like . insist ring one , tell would 10 minute ( end 25 minute wait taxi , make we late ) .everythe fine hotel , lovely room hotel find breakfast next morning much satisfaction ! encounter problem check . go pay use credit card , know enough available cover cost night 's stay . tell card decline . ask try , not work , offer debit card pay instead , get station catch train . station rang bank find problem . informed check , receptionist deal we take £ 100 credit card guarantee , without tell would happen , check ok . stay many hotel country indeed internationally , never encounter anything like . arrive home , check bank account online find deficit £ 460 . rang bank , tell money missing fact take Radisson hotel . rang hotel several time first tell make mistake , tell nothing could , finally tell fact mistake card use authorise payment 3 night stay , something entirely unnecessary give stay 1 night ! speak 8 different people ( claim manager , none could help ! ) , general manager hotel , still try get refund monday morning money incorrectly debit account saturday , long time rhyme reason money take first place ! seem like good hotel surface , many problem front - of - house , reception account staff stay . 
 Sep 29 2008 	 Losing 's touch already 	 stay April year , rate highly , hesitation booking , standard slip , room ( 422 ) curtain hang rail , several light bulb work strange stain faux leather headboard . get bathrobe ( not seem feature ) , tea coffee selction abysmal - regular camomile tea instant coffee , 's , difficult phone colleague another room ( instruction phone ) message light winking take time cancel ( message ask input . ) reception desk hear guest complain remote control not work , another left credit card desk , mislay . come guy , surely well . be fairly new hotel , get houskeeping maintenance team back around hotel fix problem become major one go somewhere else next time stay Docklands area 
 Sep 20 2008 	 Modern business hotel near Canary Wharf 	 hotel modern business hotel within ten minute walk Canary Wharf . find north bank Thames , opposite O2 arena . unless stay business wish attend concert , struggle see would stay . say , hotel modern ( Bang & amp ; olufsen television room ) , clean well proportion . restaurant reasonable value however hotel clearly market visitor Canary Wharf price match . enjoyable stay , unlikely repeat unless intend travel Canary Wharf . 
 Sep 8 2008 	 disappointing experience Radisson 	 hotel brand new first impression great . nice room , quiet bit small . bathroom nice trendy . go sport leave thing value room turn disturb sign , expect nobody would enter . foolish think house keeping would respect disturb sign . go room anyway make bed turn distrub sign . couple hour later come back room clean , luckily thing value still room , annoying . I change go night put hen come back late heating change nice cool 20 degree 26 degree SAUNA make impossible fall sleep hour . ( time need cool room ) . complain receptionist say & quot ; inform house keeping & quot ; , much doubt . morning experience flight city airport 7 am , actually great since taxi 's 10 minute . never less request wake - up call 5:15 taxi 5:45 . luckily set alarm , still await wake call hotel . complain receptionist say & quot ; well 's mark book & quot ; . radisson sais television system service like get money back think make gesture ? ? ? way . look refund , personel not even appologie , say inform house keep well wake - up call suppose do , since mark book . read might think picky , ' m . luckily clean lady hotel not fancy extra cash nice expensive watch luckily set alarm miss 7 flight . little thing can not . 150 pound per night might expect little different service personell . 
 Sep 3 2008 	 something else Bayswater / Earls Court ... 	 stay booked price NOK 860 ( approx . $ 160 ) night superior room , include taxis full english breakfast . take breakfast consideration , price could get 2/3 star hotel Bayswater Earls Court . hotel ' ve experience say hotel compareable . hotel sound proof wall , spacious bathroom , shower tub , flat screen tv free wi - fi internet . compare Bayswater / Earls Court would guess will spend 10 minute get central London ( Leicester Square / Covent Garden ) . probably will need tube travel card anyway Canary Wharf offer shopping , eat drinking . do notice not think twin room available . double bed king size . 
