purely 	 stay throughout 10 day stay along colleague , say pleasant stay . stay single room , though hotel big family room spacious comfort , even though spend much time work sightseeing . hotel one quite by - lane main london , tell one bomb blast happen right front hotel . actually not take taxi even bus get client 's place matter wherever wanted go , restaurant dinner near tube station , much with - in 5 - 10 minute walking distance . could walk crowd place London , Piccadilly square 10 min still come back hotel , right opposite silent beautiful park Mahatma Gandhi statue . overall hotel conveniently place kind activity mention helpful staff helped advise rightly we everything approach , direction indian restaurant nearby book we taxi odd time airport . thank well - define process place guest . 
 quite comfortable . 	 stay Tavistock week comfortable . room clean , water bathroom hot , bed fine , thankfully , lot light bed read . check really hot ask turn heat immediately . breakfast copious . 's true be friendly not need lot personal attention . want stay spring concerned review single traveler bunk people someone show door middle night . hope management read review . 
 value money great location 	 friend stay overnight way Eurostar , arrive 11 pm leave 6.30 follow morning . rather worried mixed review , room perfectly adequate , clean well - equip bathroom . staff friendly helpful . although leave far early breakfast , start 7 , staff reception anxious least try arrive ten minute early could probably accomodate - happen , leave early tea coffee facility room need . staff reception cheerful friendly left , could not fault . would happy stay . 
 good money 	 book Tavistock last minute give good room 8th floor , complaint clean adequate , face front hotel bit road noise not keep we awake . room warm cosy tea coffee make facility , haridryer tv . stay apparently switch tv near bed . the Bathroom clean well equip towel soap shower gelThe reception staff helpful courteous , lifts fine , restaurant staff friendly , breakfast good - plenty eat complaint tin tomato ! ! excellent location near EustonWe not read hotel would not stay would miss good clean reasonably price hotel London . 
 Feb 28 2009 	 good hotel big city 	 Tavistock not really 3 - star hotel tey actually advertise ( air con , minibar , old tv set , old window etc . ) , be decent enough 2 - star . pay 90 pound advertise twin room breakfast would feel really scamme . get great deal planigo.com , 65 euro per night ( make discount phone , business slow February London , guess ) , pay less crummy 3 - star hotel stay Paris last October . location brilliant , hotel 5 - minute walk British Museum , 15 - 20 Covent Garden , 15 Tottenham Court Road bus stop ( Soho - Oxford street ) . bus Tavistock stop go Euston Camden market North Holborn South ( 68 , 168 , 91 etc . ) . also , Russel Square , get 7 towards Oxford Street Marble Arch . Enjoy 's location nothing else bother . 
 Feb 17 2009 	 good value money 	 Tavistock centrally locate . large hotel standard . staff speak good English , common area hotel beautiful Art Nouveau style . book twin mistake , som juggling switch double without problem . even porter carry luggage room . room large London standard , separate shower toilet . tv good choice channel . the porter especially helpful give we indication travel bus ( somehow always end travel Tube London , miss quite lot ) , last day , patient we keep bother put last - minute purchase suitcase , luggage room . the minus breakfast . book hotel , spend little upgrade english breakfast . continental breakfast poor say least , coffee , tea , lukewarm toast , stew fruit butter jam . bad part help area egg , sausage bacon , vigilant eye one waiter , somehow always check something someone continental breakfast help he / herself . good hotel , would gladly return another trip London 
 Feb 8 2009 	 fantastic value 	 stay Tavistock twice time pleasant stay . room basic clean comfortable , staff always friendly helpful . breakfast wide choice although might everyone 's taste , however set day ! hotel ideal minute away Euston station , perfect base ! ! always use Tavistock London . 
 Dec 10 2008 	 Great View 	 Tavistock Hotel great Art Deco feel arrive . feel like bland chain . 10 min walk St Pancras , hassle subway . room fine price . good night sleep . breakfast bit let down . local tip : pizza diner hotel amazing cheap . TJ 
 Dec 8 2008 	 Good Hotel - close transport 	 husband stay Tavistock Hotel enjoy hotel location . room bathroom clean room big enough luggage etc surprisingly quiet . bar downstair drink reasonable another bar street level thought would noisy be not . want hairdryer reception arrange deposit return . breakfast good staff helpful friendly . Euston underground bus depot locate short walk away make easy get sight London . think daily pass 5 pound . also small park locate across road hotel walk pub , cafe etc . thoroughly enjoy stay would definately stay . also walk marvellous restore St Pancras station - 15 min . 
 Dec 6 2008 	 Basic acceptable 	 Tavistock Hotel excellently locate interested theater museum , ' main attraction basic hotel . serious problem budget accommodation two night ; thing help decide price right you . the hotel Tavistock Square , close British Museum . be within walking distance Euston , king Cross St. Pancras station north convenient Covent Garden West end . ' m fast walker ; Covent Garden 15 - 25 minute foot difficulty . the room clean , quite small uninspiring . would consider double room ( bed ) sufficient size two people , ' fine one . bed somehow unsubstantial ( move easily ) yet firm time – case , sleep fine . room contain hair dryer , hot water pot tv . small rack hanging object , closet . also iron , iron board clock . room soundproof ; little street noise high floor light sleeper , chance someone walk hall early morning could wake up . the bathroom also clean basic . tub , amenity provide bath towel soap . bring shampoo , conditioner , facecloth – whatever else use . there free wi - fi lobby ; nothing else available , least high floor . need sporadic internet access check email surf , ' fine . Breakfast either continental English . continental tea coffee , fruit juice tin fruit , roll cereal pre - toasted toast . English add egg , bacon , sausage food ; continental nothing special held lunch . I choose Tavistock good combination price location could find date even try opaque bidding option . ' disappointed need service hotel consider experience hotel important part vacation . also might choose couple unless option large room . location economy important hotel place put belonging sleep , tavistock acceptable choice . 
 Nov 24 2008 	 Dreadfull experience 	 extremely disappointed world - renowne airline would include Tavistock list hotel recommendation . one thing go hotel ultra modern old charm , would nice come across someone staff smile say please thank especially reception ! breakfast greasy cafe standard dirty tablecloth decide eat rest stay . evening bar service staff someone spend time talk friend seem annoyed serve customer . rate 2 10 think bed sheet clean ! 
 Nov 23 2008 	 great budget hotel 	 clean hotel room basic you re nott stay room excellent location 10 minute walk oxford street west end breakfast good choice ad fill day lovely art decor reception area 3rd floor do not hear noice disco I ve usde hotel last 10 year cheap chearfull 
 Nov 15 2008 	 not stay 	 do not stay . do not . read reviews Tripadvisor book mix good bad , take chance . do not make mistake ! 's nice hotel , clean good location - reasonably price . get sleep , what s point ? ? music bar downstair reverberate wall place unbelievably obnoxiously loud . bar licence 3 am - despite unhelpful blatantly disintereste reception tell phone enquire . pass number hotel area get Tavistock , advertise cheap similar price look fairly decent . seek one . would do first experienced noise room , reception have not assure would 12 - tell use call standard pre - midnight lie . phone 1 am tell 3 am licence . music do not actually stop well 3 . . 
 Nov 11 2008 	 Budget stay well 	 stay two night see London trip Britain visit family . hotel suggest travel agent , be never stay . neither would . 's background : wife within year 40 appreciate value stay , within reason . would say place would seem great be use hostel like , decent , not - too - fancy room ? , look elsewhere . room 8th floor whole floor terribly hot . room swelter , mention obviously know problem ( & quot ; oh , room 819 ... & quot ; ) , call plumber go afternoon well get back , leave window open must . two twin bed slidey caster wheel terribly comfortable . tv not work , cold water barely trickle towel large face - cloth quality . two bath towel , face cloth hand towel . cutsie gel shampoo anything ( fine enough ) . breakfast fine , ' m picky food 's something eat , be go complain go something else . Eggs watery smoke haddock would well describe ' soak ' haddock . service staff efficient problem . be look budget , will . barely room sight - see day night . next time would spring another 25 - 50 quid catch next hotel food chain . 
 Nov 11 2008 	 leave 31 year 	 stay Tavistock every time visit London last 31 year . find acceptable , conveniently locate reasonably price . however recent addition nightclub low ground floor create noise sleep large part hotel impossible 2.00am . 
 Oct 29 2008 	 leave lot desire 	 book hotel work colleague . review trip advisor vary ok . gorgeous original art deco feature hallway ( nicely retain lack original sparkle glamour ) none evident 7th floor stay except old draughty aluminium window frame ancient loo . clean enough staff friendly really rather tired bit heel . object pay £ 20 cash deposit night porter borrow hairdryer - standard room warn . breakfast nice , full english . fine overnight stop business ' m sure would choose stay leisure . 
 Oct 29 2008 	 crappy 	 room nice , do not even trust eatte free breakfast . do not recomend , find well . 
 Oct 27 2008 	 small 	 hotel one word SMALL , small room , small t.v . , small bed , small bathroom , small lift , small room , know go London stay room abit room move around would nice , small t.v . also small number channel , small bed also low floor castor try sit headboard would set across floor , small bathroom 2 small bath towel , hand towel , narrow bath could easily get stuck talk low shower head , small stature would able shower fail sit may well bath , small lift take max 6 people baggage,4 push with . as EPD write room ( 3rd floor rear ) son hot even October . the good point breakfast plenty item hot cold location near 3 main train station walk distance tourist site , pub place eat . the price £ 86 night two people hope would well , live learn , go back may o.k . . 
 Oct 18 2008 	 Superb Value ! 	 stay Tavistock week whilst London conference . I need good night 's sleep bit worried noise read review . I room 7th floor overlook Tavistock Square think noise level fine . room incredibly hot window fling wide open night . traffic noise cease mainly around 00.30 ( apart odd siren ) 7 am get barely start . good first night 's sleep hotel long ! room relatively small problem . ( Smaller Travelodge room ) enough make one cup tea one cup coffee per person go , take supply . the bed extremely comfortable , soft , perfect ( like Baby Bear 's bed ! ) bathroom small clean adequate nice fluffy towel bar soap . overall room clean would stay without hesitation . 's bargain place central London £ 64 night single room ( £ 87 double ) staff friendly helpful . breakfast perfectly adequate , choice hot fruit / croissant etc . coffee bit grim ! location excellent - lot London 's major sight within walking distance . Taxis pass frequently . 
 Oct 14 2008 	 noisy place uncooperative reception supervisor 	 good : nice locationacceptible roomsgood house keepingeconomybadsvery noisymisbehave reception supervisor , do not want listen problem think staff always right.intrupte internet service . 
 Oct 12 2008 	 convenient comfortable 	 2 night stay last week . hotel well position sightseeing . comfortable , clean staff friendly , London good . northerner use people friendly staff hotel be . it little noisy night , 8th floor side street London expect . turn radiator shut window 2 good night sleep . food breakfast good anywhere else ' ve stay plenty it . I would definitely stay recommend anyone else . 
 Oct 12 2008 	 Value money 	 spend two night hotel partner . hotel great location room clean good size . especially mention size stay another ( expensive ) hotel area small room ! bed little small partner easiliy pull bed , problem . stay top floor end hallway therefore problem noise whatsoever . the breakfast basic . breakfast staff helpful nice , get serve coffee tea quickly . would say Tavistock hotel offer value money . would definately stay . 
 Oct 3 2008 	 good price good location 	 Good , sound moderately price Hotel ( London ) . good breakfast include price . walk distance many attraction . short walk Underground station . excellent BUS service many location . , good value price ( London ) . 
 Oct 1 2008 	 great location 	 mom stay 8 night . agree breakfast get bit tiresome , scramble egg , hard baked egg ? , bacon , sausage , bean , canned tomato , porridge , cereal , herre ( lovely fish smell morning ) toast . coffee dreadful tea good . friendly staff , always good morning . room clean exactly depicted website . location great . Russell Square tube excellent . even use Euston station couple time . lot nice restaurant / pub nearby . nice lounge , hear music all . guy concierge desk awesome ! 
 Sep 28 2008 	 bargain 	 spend three night alone hotel , price pay could not ask nothing else . great location ( two block Russel square tube station nearby shop ) clean room . towel sheet change everyday staff helpful nice . bad thing breakfast . stay hotel not eat scramble egg ! Stick fry egg sausage . really dislike food though nice breakfast place around corner . people site complain noise street , case , exhausted end day really not bother . overall , think true bargain . company own place still hotel around Russel Square . stay three year ago Royal National Imperial , opinion , Tavistock good hotel advantage low rate . 
 Sep 28 2008 	 stay first floor 	 recently book weekend hotel unfortunate getting room first floor . the noise downstair bar / club unbelievable . even ear plug could feel reverberation come floor . noise go 3 a.m . complain next morning transfer new room without question . the lack sleep ruin first day London stay Tavistock . 
 Sep 26 2008 	 good location nothing else 	 choose Tavistock want inexpensive hotel could accommodate family 5 one room . location excellent , close Tube several bus line . lobby charming , people friendly . room large , real recommendation . bed unbelievably hard , cot provide fifth bed even hard . bathroom two sink , one hot water . get engineering fix one light . english breakfast unimpressive - buffet style , overcooked egg , can tomato , runny bean - every single day ( week ) . service breakfast minimal ; hard flag someone get refill coffee tea , sometimes even get first cup . concierge desk know nothing helpful ( except Gavin , know quite bit nice ) . one desk staff , ask afternoon tea Fortnum Mason , know meant & quot ; afternoon tea & quot ; never hear store . altogether disappointing experience . 
 Sep 17 2008 	 good cheap hotel 	 recently stay hotel one night week whilst training course London . quite fussy stay check review hotel tripadvisor booking . little apprehensive considering price single £ 64 B & amp ; B middle London . art deco design entrance lobby hotel , sure original fit though , nevertheless appreciate style quite nice surprise look good . however , shame retain / continue design throughout room . say though room extremely clean tidy , even sanitary ware shower curtain ' evidence mould although little basic ! ! room overlook Tavistock Park corner two busy road , little noisy even secondary glazing close . nothing set earplug ' block out . the full english breakfast look ok go cereal fine . the hotel within walk distance king Cross , St Pancras Euston railway station . also easily walk Oxford Street 15 minute . area around hotel quite nice number little restaurant bar cobbled street . I already book next business trip London would consider spend time London . 
 Sep 15 2008 	 noise unbelievable 	 stay Tavistock Saturday 13th September 2008 room first floor . return room midnight horrify find noise come bar basement hotel unbelievable . base music thumping building , absolutely impossible sleep . I phone reception tell usually go quite 2 o'clock , turn untrue . actually go till 3 , CLOCK . trust not GO . 
 Sep 14 2008 	 great location value money 	 stay Tavistock one night see detail . beautiful Art Deco hotel , especially downstairs . double room front overlook Tavistock Square . Room looked recently refurbish , average size room would pay large room elsewhere . secondary glazing keep much traffic noise would open summer air conditioning . give british summer air conditioning rarely need ! breakfast fill restaurant evening , hotel 's wine bar . great Greek taverna 100 yds opposite side road italian chinese restaurant nearby road . staff pleasant helpful . close king Cross , St Pancras , Euston mainline station Russell Square underground station connect part London . Bloomsbury lovely area park square late Regency house . feel safe area . pop St Pancras station see beautiful victorian station since renovation , also Eurostar leave Paris . great value money hotel £ 87 double room full english Breakfast . 
 Sep 6 2008 	 everyone complain Tavistock . . . stop ! ! ! 	 stay Tavistock June second time full 10 day . believe negative review hotel , mean , want everything 5star , go 5star pay hundred pound per night . Tavistock be not perfect , love hotel . complainer , 64 pound per night , come show well hotel concern great location alone , important . 5 minute Russell Square Underground , friendly cafe 's like Tesco 's within 5 minute walk , British Museum around corner , shopper , Oxford Street ( shopper heaven ) 20 minute walk . walk 10 minute long be nightlife heaven . find check inn staff friendly problem . information staff extra trouble find place phone call make sure , cost ! breakfast staff always friendly service excellent . food standard enjoy . bar get cozy atmosphere , love soft luxurious leather couch . Believe , check follow day . room well clean serviced day , include en suite bathroom . spotless room everyday . furniture might modern , nowhere find broken stuff stain tear piece carpet . good look . the product complimentary tray high quality get fresh milk every day . satellite tv channel high standard . problem noise . honestly say pleasant stay Tavistock hotel real bargain . thank Tavistock personnel great stay , sure see . 
 Aug 26 2008 	 Great Location Get pay 	 Stayed Tavistock hotel August bank holiday . two room , book different floor , not problem , seem little strange . the location fantastic , 2 minute walk Russell Sq tube . find tube staff REALLY helpful . find problem breakfast , buffet cook continental , porridge cereal , restriction many time go . room little tired though could update , however , we want , somewhere lay head would walk London ! room clean every day staff pleasant . room inside quad not street noise . the hotel ideally situate central London sight seeing , price reasonable location . think 's important make clear five star hotel , say tin price pay . pay lot room Holiday Inn round corner Bloomsbury last year , room superior , feel much value money Tavistock . 
 Aug 21 2008 	 London London hotel 	 convenience 's sake , stay Imperial London Hotel , time Tavistock Hotel . book single park view , be almost get . Single turn twin top floor ! nice view , noise corridor absolutely room move around room . big suitcase not know place bed . gap beds desk narrow could hardly slide . floor creaky every step , glad alone room . room otherwise tidy , even bathroom nice ! would nice see one tap british bathroom , though - hate use plug choose burn freeze hand water ... breakfast exactly Imperial Hotel , full English . rice crispie can fruit coeliac ... scramble egg hideous milk / juice always warm , one surely manage hotel 's brekkie . the location great , especially not spend much time hotel . , like F1 pit stop way see thing London . tube 's around corner , shop along way Brunswick Square close restaurant . hotel staff great , especially cleaner reception girl ! hand , quite surprised one portier not know Westminster Abbey Westminster Chapel ... one could really see brochure available staff not know city well enough . do know & quot ; Tavis & quot ; finnish mean & quot ; common & quot ; ? one could say Tavistock Hotel common hotel common people . 
 Aug 6 2008 	 good location price 	 ' ve stay several time 's good choice area without spend much money . room not luxurious sometimes decoration bit worn , fairly large basic , include bath rarity price range ( £ 64 sole use double / twin room ) . good room upper floor , front - overlook pleasant green square . room back suffer noise ventilator poor view . cold breakfast ok nothing special - ' ve never tempt fried food . wine bar fairly average food , time well place 10 - 15 minute ' walk away ( nothing immediate area ) . 
 Jul 30 2008 	 not break bank 	 go London business need simple . read review post site still little dissapointed room . room clean furniture sparse small . bed sooo little cover look bit tattered , mention two pillow flat . lovely view concrete slab roof kitchen center resturant . say really bad trip likley pretty tired everyday come . staff friendly , even clean staff . full english breakfast satisfy good quality , however buffet every morning day 4 get little tired . thing make unhappy lack Interrnet access room rather lack affordable internet room clock 4 quid per hour would treck laptop lobby whre wifi available free . pesky issue lack iron room , even available front desk . want press suit would go 1 place thay iron 1st floor irnoning room lock eight night open 7 really suck . apart form tavistock real value money hotel afterall London , central london ! 
 Jul 27 2008 	 Tavistock still ok 	 stay Tavistock twice July . time assign small twin room single occupancy . room bathroom clean . plenty hot water every time turn tap . carpet newish furniture good condition . bed ok , bed clean reasonably new . breakfast certainly high point , porridge , corn flake , hardboile egg , roll certainly adequate . 64 pound night , good deal central London . take face cloth , shampoo , nice soap -- rather thin towel change daily . yes , road noise , hard middle London close tube station , railway station , many bus line , yet away busy road . light sleeper , bring ear plug . a great ( pleasant ) surprise discovery hotel restaurant Britain smoke free . tremendous improvement hotel like Tavistock -- smoke haze lobby . I stay variety hotel London last five year : strong impression unless lucky , visit winter , pay roughly twice much per night Tavistock pretty sure get well room . heat wave visit London , may make sense pay high quality hotel , London heat wave generally quite infrequent short duration . if stay Tavistock , close many major tourist attraction , easy bus ride away . London big , busy , city base return quick break afternoon nap big help . 
 Jul 3 2008 	 awful 	 bedroom awful . sheet clean , carpet floorcovere . furnish spartan noise inside outside make impossible sleep . door ' bathroom ' would open fully due lack space . 
 Jun 25 2008 	 well be cheap .... 	 well , everyone else correct -- Tavistock cheap conveniently locate tourist . be go . substandard room , terrible bed bad breakfast ' ve ever ( screw scramble egg ? ) . plenty hotel area -- little research sleep well . essentially hostel bathroom . 
 Jun 18 2008 	 not breakfast 	 cheap hotel great location . bathroom floor stain look dirty , room tea coffee facility terrible . staff rude , particularly breakfast staff . breakfast terrible , full English serve buffet style serve cold . even toast cold rubbery . table not clean someone else eat , could not find table clean table cloth thoughout five day stay . would often find crumb someone else 's breakfast table , milk change diner diner . personally see cutlery drop floor place back drawer use someone else . hand back dirty knife waiting staff go straight back drawer without clean . staff not speak good English . good point , beer bar seem cheap ! 
 Jun 12 2008 	 well locate 	 hotel clean , confortable well locate , nice neibourghood , close British Museum , Russel Square metro , St Pancras Station etc . the staff kind , except & quot ; maitre & quot ; breakfast room , always bad humour . 
 May 19 2008 	 's ok 	 Good Location , ask high floor . give room 111 poorly double glaze window manage keep noise people talk street never mind constant police , ambulance fire engine sirene . distinct deep fat fryer smell room ( near kitchen ? ) ask move first night staff happy oblige promptly move we 803 . room small basic . bit mean tea coffee complimentary toiletry consist couple small bar soap . breakfast poor continental ( cold meat , cheese , yoghurt etc . ) reasonable English Bufffet . I ' m say would not stay would good look else available booking . 
 May 18 2008 	 good value money 	 stay one night Tavistock would certainly . location great , room bathroom spotless , full english breakfast ( include price ) surprise we . think would venture chaos Royal National Hotel 's breakfast room ( hotel chain ) , Tavistock nice dining room pleasant wait staff good food . room quite basic , many amenity , surprisingly roomy London . Believe , stay MUCH worse pay dubious privilege ! people complain shabby , tired decor furniture remember -- facelift expect price least double . ' m willing live decor long price reasonable ( London ) . , go London , Tavistock address . 
 May 7 2008 	 word ' prison ' ' cell ' come mind ... 	 stay one night , attend function close . book single room , top ( 8th floor ) hotel . hot day , cold night , extra blanket store room . room small , two single bed , slide around room soon sit . tv not work . item provide bathroom small bar soap one world 's old , scratchi towel . hence feel prison cell ... plus side , clean enough , nice view Tavistock Square , location quite convenient . the hotel popular visitor Eastern Europe , expat Brit , find depressing representation London offer . visit London first time , would recommend try suck high price well accommodation , order enhance overall experience . be still great city , Tavistock could leave thinking otherwise . 
 Apr 28 2008 	 good value ! 	 hotel easy get train bus , be really easy find get around . hotel staff / reception also friendly . room basic clean fairly cheap . the full breakfast great & amp ; definitely worth get ! 's romantic getaway type place definitely good tourist want somewhere clean , safe & amp ; comfortable stay at . the thing say be locate main road , tad bit noisy be light sleeper . even say , would definitely stay convenience good value . 
 Apr 18 2008 	 cold room bad food 	 ok , be close Euston Station , safe area handy Covent Garden . not think carpet clean recently , stain cover , bathroom black mold shower ( not dare look non - slip mat bath .. ) , towel ancient hard tell clean , tv not work . room freeze cold , reason radiator turn . breakfast not look particularly appetizing water orange juice ! ! ! reception shabby Art Deco chic , could smartene basic . 
 Apr 13 2008 	 imagine travel lodge charm 	 strange hotel ! advent Travel Inn , ibis , cheap - and - cheerful hotel , hotel like . and bargain ! price excellent , location superb - minute Euston Russell Square . view Tavistock Square really pleasant . public area hotel ( entrance , bar , restaurant ) glorious Art Deco . really splendid , reminiscent bygone age . the breakfast chaotic - big room , grab buffet food table quickly . be simple , quick , sufficient need . service - front desk , breakfast - friendly efficient . the room , though , basic extreme . simple desk , bed , tv , cheap fluorescent lighting , cheap ancient wallpaper . paper - thin wall ( luckily neighbour not noisy ) , one power socket , HOT . dread think place like summer - 's air condition anything fancy like . despite , clearly old bed , actually sleep well , willing overlook ! bathroom basic - fix shower bath , good water pressure temperature . bit mildew around place , nothing bad . soap provided - remember bring shampoo ! despite negative , perfect quick overnight stay , would likely use . would not want stay couple night , though . 
 Apr 6 2008 	 Value money 	 look comfortable , expensive hotel London one night friend recommend Tavistock . £ 87 double room night full english breakfast - turn good value money . hotel , five minute walk Euston Station close Russell Square Underground Station , ideal base someone look clean tidy unpretentious hotel explore capital without pay king 's ransom . room smallish side clean free traffic noise . pleasant bar enjoy beer evening nice restaurant , open 10 pm food excellent . hot cold buffet breakfast fine plenty choice . particularly impressed staff - everyone come contact pleasant helpful . want pay well £ 100 night typical London hotel would recommend opt Tavistock . certainly stay . 
 Mar 9 2008 	 ok hotel 	 stay Tavistock wife week February 2008 . buy travel agency three month advance cost 84 euro double room . first , , good location , 2 minute tube bus right front hotel . flight , arrive 11 a.m. hotel give we double room , 8 - th floor , clean , change every day bedding . room hairdryer british socket , problem , adaptor cost 5 pound shop . can not understand british system washbasin bathroom , separate pipe cold hot water also immobile shower . the breakfast poor , continental breakfast voucher , pay four pound person every morning upgrade british breakfast , still poor . close hotel London pub , eat evening , price not expansive . I recommand hotel want clean room good position without much pretence . 
 Feb 29 2008 	 great location 	 visit London , spend little time hotel , prefer pay luxury , like return clean room decent bathroom . respect , room much well expect . hotel amenity like roomy lobby , bell - hop , elevator , restaurant , bar , place class hotel usually frequent , little extra cost . pay 62 pound single , give spacious room twin bed large clean bathroom . free wireless internet service available lobby . Breakfast serve buffet table large dining room unremarkable . important feature Tavistock location . Piccadilly underground line one get Heathrow minimum fuss expense . Euston King ' cross rail station block away , city bus run along one side hotel . British Museum around corner , neighborhood riddle fabulous bookstore . Tavistock make comfortable inexpensive base camp see city . 
 Feb 25 2008 	 Great Location 	 Tavistock good location . good , safe area . the Russell square tube station minute walk away . plenty restaurant pub area . small Tesco right across tube station . also , along street tube station shopping centre Waitrose supermarket . perfect buying goody bring home . the hotel busy part staff friendly . Front Desk staff problem understand english bit snippy . the guest mix tourist business people . room front hotel overlook Tavistock Square . downside , noise pub along street bit much Friday Saturday evening . initial room small room right elevator . ask well room give one next day . would give new room day hotel full . staff even move luggage new room we . room good size bay window . plenty room thing . the breakfast room pleasant plenty choice hot cold food . coffee awful though . wait staff serve coffee nice touch . 
 Feb 20 2008 	 real value . 	 read review Tavistock expect slightly ' rough ready' . I pleasantly surprise find opposite true . the reception area bar area ' Art Deco ' decoration pleasant . dining area show trace ' Art Deco ' complete two area although still comfortable in . the room occupy ( 750 ) small adequate , decor fresh everthing clean . the bathroom spotless supply fresh towel daily . there lot staff duty anytime helpful pleasant . the breakfast buffet sufficient variety satisfy awkward resident . I impress Tavistock could find fault price . 
 Jan 30 2008 	 Decent value - could probably find well 	 review spot . although must say think encounter bad waiter world breakfast . get coffee never major trauma . also get seriously annoy ask ( politely ) fork . shock complain . also toiletry . know budget hotel ... think liquid restriction EU flight hotel least offer sell thing . otherwise fine . eat breakfast tasty enough can not comment food . room basic not iron hairdryer warm mine not noisy . 's fantastic location - 2 min Russel sq tube- represent great value city . 
 Jan 30 2008 	 get Pay ! 	 first arrive hotel , unimpressed furnishing room basic look 60 's design . wallpaper fabric also dull unimaginable reason , bedside light fluorescent tubing give room stark uncomfortable feeling . first , quick blame management hotel apparent lack imagination time went realize unreasonable expectation . , pay £ 84 two people , bed breakfast good location Central London . true saying get pay . term value could far bad . room clean , food ok , staff helpful one night ( would much ) ! really surprise , part Imperial Group - name suggest grandeur top quality , develop hotel much high standard . great position view , deserve . 
 Jan 28 2008 	 good location 	 stay tavistock three night break , within walk distance king cross station , covent garden leicester square roughly ten min walk . 2 min walk russell square tube station take picadilly line british museum along road . hotel ok clean bed , towel plenty hot water toilet small lounge bar bit tatty one couch big rip give london use base price location good . 
 Jan 27 2008 	 Art Deco treat 	 Tavistock budget special London . clean fabulous shower . suffer bit reflect traffic noise . say handy king Cross , Euston Bloomsbury . lobby Art Deco treat . hotel improve past year . breakfast include rack rate - however good - coffee tea vist dreadful . sausage tasty always good thing . MIss scramble egg . bar expensive . 
 Jan 27 2008 	 value money . 	 enjoy stay , sleep room , glad anywhere rest busy day shopping sightseeing.breakfast ok , middle aged asian look lady breakfast service lovely treat guest well . ignore negative remark decor , condition , e.t.c . hotel described.if want luxury book 4 5 star hotel pay going rate . 
 Jan 12 2008 	 basic location rule 	 early review target : Tavistock pretty basic , well locate reliable choice Bloomsbury - base stay . will not overwhelm room , 1975 dorm mode . may annoyed lack toiletry - soap , : make sure shampoo , etc . , ! internet access limited coin kiosk - though coffee shop attach adjacent Royal National Hotel , good ( free ) wireless access . breakfast fine ( english breakfast supplement barely worth , though , unless big fan kipper . ) say though Tavistock clean , shower great water pressure , appliance work , staff friendly ( always expert ) - within walking distance Tube ( Russell Square , Euston , Euston Square ) thus easy reach London . Holborn 10 minute walk , west end theater 20 minute . 
 Jan 12 2008 	 basic good value authentic art deco style clean safe friendly central . 	 hotel 5 - 10mins walk Euston station St Pancreas / king Cross Station . nice location . it be excellent cheap option ( London ) £ 62 single room B & amp ; B . 's clean , staff helpful friendly , feel safe . hotel not appear refurbish decade 's seedy - 's clean tidy feel like step back time . be get interesting art deco style - not expect modern well furnish fitting old functional . I bedroom back hotel amazed quiet -brilliant -no noise traffic . room also great blackout . the breakfast buffet eat much like - usual stuff fine apart tea coffee cheap nasty - take own . there wi- fi reception direct sister hotel round corner ( 2mins ) free wifi bar area hotel guest use - work fine . so average cost . 
 Jan 1 2008 	 good stay 	 see London hotel room , adequate budget hotel . staff helpful freindly . conceirge desk especially helpful . feel safe around hotel . good restuarant close hard find . $ 10 $ 15 cab ride attraction 3 minute walk tube . would stay . 
 Dec 26 2007 	 Location Location Location 	 title suggest good thing hotel go location . close Russell Square several tube station . Tavistock Square opposite hotel surprise . take walk around look dedication statue . hotel basic standard comfortable . fit fading make effort maintain reasonable standard . room clean tidy daily . bed comfortable linen fresh . good part experience hotel helpfulness staff . main problem experience key card room door refuse work staff always available solve problem . would stay . 
 Dec 24 2007 	 bad ... 	 well , ' bad review say . find fair price location ( close british museum metro station ) .but , course , negative point know advance : -continental breakfast minimal ( say lousy ) -On one side hotel ' night club play loud music late night . first room lovely change room noise give we small quitter room .-You hear lot noise street ( like car , ambulance , etc . ) ' mind go back hotel would look alternative first . 
 Dec 21 2007 	 nice 	 stay Tavistock night London . real chore checking & quot ; new & quot ; card key system not seem work . involve ( ) shleppe back reception twice 7th floor finally go room third time concierge . London hotel bar shut early ( nothing else ) bar staff bit surly . 's save grace inexpensive London standard . whole bit lavatory . 
 Dec 12 2007 	 difficult deal 	 Tavistock cheap central London , good spot . stay room clean comfortable ( bathroom ) , reception staff difficult deal . long wait check , twice wait behind traveller heat conversation reception staff overcharge , room key would not work . breakfast decent supervise cranky staff . tell we internet connection available room not , cause lot inconvenience . would probably stay not need work . 
 Dec 5 2007 	 good location - poor hotel 	 stay work other comment , location great several thing wrong place would prevent stay again . the reservation staff deal incompetent - run stay try three time alter booking get wrong time - not even get resolve check locked room second day ! ( think English , mention previous review , indeed problem lot staff ) . hotel probably quite grand look shabby run . room small outdated , acceptable price central London . find rather ' cheap ' thebeverage pack get one tea bag powdered creamer - taste foul - per day . also get small tablet cheap soap bathroom - shampoo anything . not expect Ritz feel like expense spare guest begrudge ! website state room hair dryer fail say need leave £ 20 deposit use one be even modern one ! review breakfast awful staff unhelpful - ask tea bring half cup luke warm slop ! toast barely show toaster juice cheap water . normally enjoy take breakfast hotel advice would not bother . be look cheap crash pad easy access Euston fine nice day London spend extra cash enjoy stay somewhere else ! 
