charge 	 unfortunately relative pass away urgently need use phone call home . - information due warning regard potential extortion price one phone call . one 12 minute call could stay well hotel night . when ask speak manager avaliable would avaliable tomorrow either . walk upset yet another crampy hotel service . the way speak joke , walk vow write review inform everybody else wrong ... bring phone card , urgent matter arise think good deal situation hand . I would tell manager , can not charge price , without due information avaliable hand , price list US hotel , stay .. 
 Jul 3 2008 	 Brilliant 	 read previous & quot ; bad & quot ; review , think place would seedy motel . however impressed . stay ensuite room top level , clean comfortable . hotel make feel safe location awesome . highly recomme young couple not fussy , would stay . 
 Jun 23 2008 	 price perfect ! ! 	 stay one night whilst travel Belgium New York State . check - in fast efficient , room 1 single 1 double bed , air - condition use share shower - room . location great , Empire State Building within minute walk , great cafe end 31 street breakfast . hotel ideal visit budget . not expect 5 star full service hotel expect clean comfortable room , will not disappoint . 
 Jun 22 2008 	 good value hotel NYC 	 stay double room share bathroom five night . positive : - good location NYC , close subway station 33rd street 10 minute walk empire state building Macys , 10 minute walk central station 20 minute walk time square.- good value money- room clean air conditioning- share bathroom keep clean time use it.- Staff cordial / friendly . negative : - 2 star hotel therefore expect 2 star service.- Room bit small , manageable . overall , would recommend hotel good location great value . 
 Jun 22 2008 	 clean excellent location 	 hotel exceedingly clean , include room , common area share bathroom . plenty bathroom - two floor use , use one floor never wait . shower provide sufficient hot water . staff friendly helpful provide extra pillow immediately upon request , ( well emergency replacement room key middle night locked room ) . elevator small , work fine . air conditioner keep room cool , although could not find difference various setting - setting appear result noise level coolness . the location beat find street surround hotel clean , safe necessary amenity . subway station couple block away . recommend breakfast Barking Dog 34th St Lexington 3rd . Murray Hill Diner also provide good breakfast . highly recommend would stay . 
 Jun 10 2008 	 another wonderful stay 	 another great experience Hotel 31 . could not ask nice staff quaint , historical hotel stay . accomodate , friendly , helpful -- love place go back next summer . quaint atmosphere hotel charming price beat . always pleasure stay , right middle city , enjoy without worry break bank stay somewhere clean safe . 
 Jun 9 2008 	 step many hostel ' ve stay 	 first caveat- New York City , cheap place stay imagination . second caveat - can not beat location hotel . 3rd avenue hop around 31st street , literally block good student area Manhattan . ButWhen think ' hotel ' , think standard amenity . like room not size shoebox . like dresser get clothe suitcase . like shower enough water pressure . while room 7th floor quiet enough , number glitch really make question $ 120 night fee . first , air conditioner sound like turbo - prop engine takeoff , keep long 5 minute impossible . second , tired worn towel look like castoff another hotel ( close inspection reveal true ) . third , shower really water pressure , run scald hot ( believe ) first morning . the staff middle , old guy front actually sleep arrive 11 am . also try convince we take bus Newark rush hour , nitpick . so other rave hotel , bottom line : scrape together another $ 40 night stay actual hotel . hotel 31 even good hostel one . 
 Jun 8 2008 	 great location good value 	 book Venere.com quote cheap price hotel . it great location : nearest subway corner block 31st / Park line 6 run Grand Central upper east side , downtown direction . however save time money walk . empire State short walk 34th/5th Rockefeller Center slightly long walk . we 7th floor share bathroom . room small though imagine standard fare NYC . room clean bed comfortable . also right next door bathroom , even furth room bathroom within 10 metre bathroom . floor quite compact . we not many problem find bathroom - bit congestion 8 9 am floor layout trip one flight stair usually find available bathroom . impressed matter get share bathroom appeared recently clean ! top mark cleaning staff ! main disappointment room tv reception terrible ( virtually unwatchable ) though NYC hotel room watch tv ? receptionist look luggage without grumble day check spend last hour shopping . all , pleasant experience , feel good value New York . 
 May 28 2008 	 great price central location 	 stay four night early May . four we travel book room two double bed bathroom . price great hotel locate within walking distance Grand Central Station , 33rd station close subway station . purpose trip mainly sight see hotel room mainly use sleep serve purpose quite well . room clean daily basis cable tv air conditioning also include . planning spend bulk trip stay indoors hotel 's mean romantic getaway , would definitely recommend stay Hotel 31 . price right neighbourhood central safe . 
 May 27 2008 	 basic clean Affordable 	 Hotel 31 exactly sys tin . NYC expensive hotel place cheap . clean , comfortable , small good location , sushi next door helpful reception staff . want somewhere crash safe neighbourhood worry clean rob stuff whilst - book ( book well advance popular ) . share bathroom problem . 
 May 21 2008 	 Basic value money 	 never stay hostel apprehensive scared would hell hole safe booked room bathroom . however need worry hotel / hostel basic clean bathroom small functional , water pressure shower low 12th floor . the room little date quite small enough room two large suitcase . tea coffee make facility provide together t.v , alarm clock oil heater really need use . the room clean bed make everyday towel change . I take look share bathroom spotless clean spacious . never stay hostel mistakenly assume would share several sink toilet shower one room , bathroom toilet , sink shower lock door . the location excellent far main attraction . if look place sleep night perfect would definitely recommend hotel / hostel . if however want spend time room place , room day noisy hoot NYC taxis main road etc cold without heat on . overall good , basic , clean hostel sleep excellent value money would definitely recommend . 
 May 20 2008 	 say tin 	 Hotel 31 acceptable traveller budget want short stay New York frill . review unbiased make , accept fact disembark Queen Mary 2 , frank , want get back . not really fault hotel , objective , 's clean bed reasonably comfortable . lift small need lot trip suitcase . great pizza place nearby , well locate New York 's attraction . would say detriment soundproof window leave lot desire . New York noisy city 24/7 , value peace quiet might well spend ( lot ) go somewhere well noise insulation . ever life , get pay - hotel 31 reaonable value , ' ve get penny , spoil go somewhere well . 
 may 14 2008 	 clean 	 give 5 star excellent rating compare hotel price classification Manhattan . hotel clean staff friendly . inter - continental type person . budget traveler live relatively smallish room Hotel 31 definitely recommend . clean budget type hotel . price pay hotel hard beat Manhattan . also hold bag checkout day 10PM safe & amp ; locked room . room also safe . definitely return . 
 May 6 2008 	 great budget option 	 partner spend 4 night hotel last April . little bit afraid shared bathroom , since ' ve read good review Hotel 31 , decide take chance . be glad . location perfect . heart Manhattan two block away subway , essential nyc.the hotel staff always helpful nice . let we check - in early , since get 11 am . book shuttle last day pick - we go airport . even keep luggage last afternoon , check - out , could spend rest day walk around city , enjoy last moment , instead go airport early . the room big , could manage even 4 piece baggage . sink room , small tv a / c seem work , temperature good , not care . room clean everyday towel change . they two share bathroom floor always clean available almost every time need . peak time , like early morning , get kind busy , nothing bother we . one thing know sure : hotel great location price Manhattan hard get . ' m sure get back NYC , go to place will look stay . 
 Apr 30 2008 	 Good Hotel price 	 good hotel price ! . pay £ 60 night double room share bathrooom . room clean comfortable . enough space 2 large suitcase lot shopping bag : ) .Never wait bathroom four floor . have amazing view Empire state building window . there room leave lugguage late flight . 
 Apr 29 2008 	 hotel 31 caveat 	 plan hotel stay place crash night . place day . wife 's thought : - small room - umm ... ok.- bathroom small - ok guess.- hotel staff - umm ... certainly there.- housekeeping - good.- phone call prior stay greet & quot ; go website & quot ; - annoying.- hotel quiet night early morning - good.- 1 elevator - turn problem.- location - good.- great place breakfast nearby - good.- shower water pressure - terrible.- shower water temperature - terrible , either cold burning hot.would stay ? probably . 
 Apr 18 2008 	 ... 	 ok , hotel . central location - couple block empire state Building & amp ; be cheap - one cheap could find New York anyway . luxury , not . room absolutely tiny ! bed wall , small desk sink - that s ! clean though ! decor pretty date , guess expect well read recently refurbish ... communal area well keep staff front desk friendly helpful ! room share bathroom - fact , right next door . never wait / que use although shower big let - would fluctuate scold hot freeze cold - comfortable ... say , not come NY city sit around hotel room deserve good 3 star consider price ... think next time go , will try find something bit upscale ! 
 Apr 17 2008 	 31 scale 1 - 100 . 	 stay Hotel 31 6 night April 2008 . somewhat odd place . instance , even though book online provide personal information , still fill detailed card fill personal information file . lobby . cramp space stand front desk sign . meanwhile guest literally pass around get extremely small elevator -- cage mechanism hold two people small valise . first reaction upon enter room & quot ; rest go ? & quot ; person next door doubt half room . t.v . 12 inch cable channel tune properly . overhead one couple check immediately could get cell phone reception room . needless say , could not get wifi laptop . fairness , not expect . problematic claustrophobia induce size , however , dinginess wear room . depress space tired bedspread , bizarrely pattern wallpaper , worn carpet , powdered carpet deodorizer never completely vacuum leave overpower scent room . positive note , other indicate , location hotel ideal . close many attraction also 2 block subway . walk home night show Broadway enjoy street life night . take 15 - 20 minute . really cool funky place eat around hotel . share bathroom keep clean almost always available . hotel quiet night ( much day ) . rate well could find Manhattan . nevertheless , probably trip NYC wish spend stay nice place . 
 Apr 10 2008 	 - NYC shoestre ! 	 hotel perfect quick weekend New York husband 5 year old son . book room double bed , twin bed bathroom ensuite . arrive Penn Station able walk 5 6 block hotel problem ( luggage wheel help ) .there lobby , counter . take laughably small elevator floor . 7 street side . quite noisy Saturday night , quiet otherwise . we surprise find tv integrate dvd player . sure be standard . & quot ; luxury & quot ; item room . room bit worn , clean perfectly servicable . bathroom usual soap shampoo . also hair dryer . the location great we . limited time able easily walk ( block ) : -Morgan Library -empire State Bldg - Macy's - good restaurant ( Fagiolini ) notice plenty place eat block Cosi Chipotle Grill . this good deal could find NYC April say have . good value . 
 Apr 9 2008 	 great location 	 twin room small adequate , time . Decor need little updating . go back 'd book room private bathroom instead share bathroom like time . couple morning pounce get slot apart find clean tidy friendly staff . car book trip back JFK feel suspiciously like family member airport run rather cab get ok . room side main road bit noisy night window open - room hot night ! also baby cockraoch one morning bug see . nice italian restaurant round corner evening dinner , also deli corner freshly cook breakfast / pancake / sandwich etc . excellent location see site 5 min nearest subway handy . have rate average due hotel 's great location sightseeing . 
 Apr 9 2008 	 Great Budget Hotel 	 Hotel 31 good keep secret New York , tell ? can not stay Manhattan near Empire state price . we stay 5 night March 2008.me , wife 2 teenager double room private bath . 8th floor , bit cramp adequate electronic safe , tv , Radio . share bathroom look clean . room tidy every day new towel regular . if want wait hand foot go somewhere else . want somewhere handy affordable , it . the elevator small decor date really quant place . besides want spend time room go N.Y. ? read review prior book concern bug etc . never see bug critter kind . the old guy show room great , real New York character , insist show hairdrier gossip machine ( phone ) work ! ! desk staff helpful get us taxi go . lot Diners around Hotel . Murray Hill Dineron Lexington North . also go south Lex come indian chinese Restaurants . indo wok- Kingfisher beer ! also $ 9 buffet across beer bit grotty do not get Delibelly either . deli corner Lex bit use laundry opposite Hotel small go ! ! great adventure . great find . 48hr grayline bus tour ( go Times Sq.a bit walk ) 2 day see bus , hop statue ferry ( free ticket ) walk seaport Brooklyn loop . night tour bus get Empire State building , go ( free ticket ) quite , straight top 10 mins.2nd day uptown loop get central park . 3rd day Liberty helicopter , walk Chelsea pier golf range 1 hour wait go Brewery pub next door - Cask Ale ! 4th day Shopping Museums . tip - while wife Bloomingdales , take cablecar Roosevelt Island back . 
 Mar 27 2008 	 bad budget hotel confirm reservation ! 	 daughter stay 5 night . suppose stay 6 night , arrive first night , tell we reservation & quot ; cancel . & quot ; tell impossible , particularly helpful , want send hotel $ 275 / night ! ( room sister hotel , Hotel17 . ) suspect happen want book room high rate , & quot ; lost & quot ; reservation . anyway , give room ( 1 double bed , share bath ) first night original reservation , discount anything error . staff helpful , courteous . that say , room fine price -- small , functional . 5th floor could see Empire State building window . never patience wait elevator , walk room time . time wait bathroom , usually morning . ( sink room , handy . ) hotel offer take we JFK airport $ 55 -- cab charge $ 45 . note : also separate charge want use telephone room ( $ 4 5 night ) . internet service available , unless use dial - up . # 6 subway block away , neighborhood safe quiet night . 
 Mar 15 2008 	 Great Little Hotel Manhattan 	 GREAT Hotel downtown Manhattan . small , clean everything need , price cheap NYC ! 3 block Empire State Bldg , 2 block subway . ' ve twice & amp ; would stay & amp ; recommend ! 
 Mar 8 2008 	 nice experience 	 stay hotel February son ( 16 ) 8 night , nothing complain . room ( twin , share bath ) 6th floor beautiful view Empire State Building . the room clean , maid come every day , sink , tv , chest drawer , hair dryer , clean towel every day . room spacious enough , two share bathroom floor almost always available clean . night quiet disturbance all . the staff polite tell find post office , subway etc . the location excellent subway entrance 32th street . many nice place breakfast every corner . maybe little large lobby coffee internet woud make stay even perfect . visitor like we : day evening tired nothing sleep . I´m happy read review booking . 
 Feb 29 2008 	 enjoyable stay 	 partner stay seven night Hotel 31 February excellent stay . hotel suit need , pleased choice . we pay around £ 60 night room private bathroom , much cheap average go rate hotel area . room decent size ( huge , big enough two we , week 's worth luggage / shopping ) , bathroom clean spacious ; comfortable whole time . private bathroom personal preference , many people comment , share bathroom pass floor always empty clean ( must mention though hotel rather quiet whole time , may necessarily case busy season ) . location hotel perfect require . make day trip city Penn Station , involve early morning / late return , one main reason choose Hotel 31 's proximity station . fifteen minute walk , combine price , make ideal . hotel also locate five minute 5th Avenue ( Empire State Building ) 20 minute Times Square , plenty subway link either 33rd Street Penn Station . large Loews cinema two block away Second Avenue , plenty restaurant nearby area . the hotel quiet area city ; generally find walk back hotel 11 pm either see show station , surround street practically deserted . not bother boyfriend , though admit preferred stick major avenue like 5th Madison late night . one thing find little odd came end stay : ask one front desk staff car back Newark , tell could book one $ 50 . flight home not 10 pm , leave luggage hotel checking order last day wander around . return , luggage return we member staff , announce would take we airport cab wait outside hotel ; proceed tell we outside work hotel , also work cab driver ! bit confused whole situation , staff seem generally eccentric ( though helpful pleasant ) throughout stay , decide well accept way ... make airport quickly one piece , everything work end ! , strongly recommend Hotel 31 anyone look cheap , well locate hotel Manhattan . would not hesitate stay next trip city . 
 Feb 11 2008 	 end ... 	 book hotel 17 originally . despite confirm reservation JFK , get hotel 17 tell room available ! get we room Hotel 31 give we dollar cab fare . when check tell thankful many people not room NY . chalk NY friendliness . still give we discount inconvenience . the room small , hey budget hotel Manhattan ! Bathroom end hall . a / c not appear work not warm outside anyway . the location great . short walk several landmark subway . despite problem getting book would stay price ( compare Manhattan hotel ) location . 
 Feb 6 2008 	 great place budget 	 travel 7 month south america , want end trip nyc , look nice quite clean budget place inside manhattan . know hard find place city spend lot time search web.we read lot review place , great , sure find ... spend 3 night , tell u place great budget traveler . wonderful time . double room share bathroom . room nice clean . read review small room , 3 large bag problem fit inside room feel comfortable . room big enough.the bathroom always clean ( clean times day ) staff nice friendly.the location well . inside manhattan close major attraction . 6 subway train locate around corner easy get around.if u look budget place , place perfect . 
 Jan 30 2008 	 lovely budget midtown hotel 	 stay 10 night find pleasent experience . room decent size ( twin - bath ) New York least . excellent location midtown manhatten . walk distance great site UN , Empire State , Times Square , Grand Central Terminal , Fifth Ave , Macy 's etc . also , subway couple minute walk great convenience . be also good local amenity like grocery store , internet cafe cheap lunch dinner place . area somewhat commercial pretty quiet evening weekend lively weekday morning afternoon office worker get work lunch . Lexington ave third ave right next hotel decent place eat drink be look relatively quiet night near by . the hotel staff friendly approachable offer great help local information like direction , local site , get something eat etc . hotel quite cute quirky decoration style . yes elevator small slow laugh everytime ride quirky old - school thing . bedroom keep clean tidy maid - remember tip - tip $ 5 day rule . bedroom television phone couple rail put clothe . actually expectingthere couple occasion wait bathroom - peak time morning - say 9 be everyone - expect really . also couple time toilet would block - quick ring tell reception sort soon enough . overall , think hotel great budget find . would happily recommend anyone visit NYC want stay somewhere cheap cheerful . stay 10 night think people tend stay could find precious little fault . 
 Jan 30 2008 	 can not beat 	 perfect location , clean & amp ; friendly . room small efficient price right . spend time room city anyway ? 2 block subway go one end manhattan hotel within walk distance many neighbourhood sunny day . definitely return hotel . 
 Jan 26 2008 	 Excellent Deal ( ) Land Overpriced Hotel 	 good deal satisfy basic accommodation european - type establishment ( sink room ) . clean room , friendly staff . thin wall however . clean share bathroom . would stay . be fussy expect $ 300 + /night type accommodation $ 150 ( pay $ 115 incl tax ) , would well look elsewhere . moment though , one good bang buck city even though ' ve spend last 30 Washington DC 
 Jan 11 2008 	 convenient cheap problem 	 leery hotel turn fine . location excellent , staff helpful , room quiet , problem share bath ( nice clean ) . room small dowdy everything need clean . 
 Jan 2 2008 	 cancel short notice - polite service charge ! 	 book place 2 night January , get delay weather upstate NY wife cancel . call cancel less 24 hour ahead time , polite let we cancel without charge . atypical experience think folk deserve credit treat guest like human atm . look forward staying snow ... 
 Jan 1 2008 	 great location 	 stay many time sister Hotel 17 first time hotel . room small -- not remember wallpaper -- care ! wait bathroom , pleasant staff -- bring extra pillow within minute request . affordable rate make possible spend extra time city love . enjoy access midtown via walk rest city subway . 
 Dec 21 2007 	 hope go back ... 	 room quite small immaculately clean let us face , will not stay yr room long . stayed one night room en - suite room share bathroom not ready en - suite fine , share bathroom son move . room 4th floor view Empire State Building ( bit neck crane ) .share bathroom clean well maintain . location really sell hotel . pay £ 60 p.n . ( incl . taxis ) 4 night hotel within 3 block Empire State Building , Macy 's half bock subway one.32nd . desk staff helpful even though hotel not breakfast deli corner great diner 5 min walk Lexington Ave ( Murray Haill Diner ) .The area safe would certainly stay next trip NYC . 
 Dec 20 2007 	 great location - decent BUDGET hotel 	 location superb . block away Empire State Building . 15 minute walk Macy 's , near subway minute away . as ( wife 20/30 's ) book late , room share bathroom available . our room tiny , small ' ve ever see - clean . mention nowhere put clothe , day shopping - pile clothe etc keep grow : ) contrary report , waiting bathroom , go NY early December might crowd usual ? bathroom clean , complain ! be look budget accomodation , clean room nice location want - place 
 Dec 19 2007 	 Quaint Hotel 	 friend ( 20 's ) stay Hotel 31 night November . hotel quaint full character . stay room share bathroom never wait . room tiny , room little not matter . staff friendly could ask well location . also feel safe walking around night . would definitely stay . 
 Dec 16 2007 	 small convenient 	 booking property know be not go luxury accommodation , fact expectation really low ... pleasantly surprised , though property run , clean , ideally locate ! issue shop small room become ! pleasant 10 day stay , helpful staff , great location , clean room , clean bathroom , really good price ! 
 Dec 10 2007 	 reasonable 	 arrive 2 am 2nd Dec booking room sister hotel ( hotel 17 ) tell arrival room give away ( despite confirm time arrival 24 hour early ) .The guy reception helpful , reimburse we taxi knock $ 20 first night inconvenience suffer . after 2nd night manager tell we would return hotel 17 room book someone else . show book sheet list available room come evening . tell totally unacceptable , due inconvenience terrible service receive 17 sudden room become available ! problem hotel 31 all . the room small bit scruffy , arrive absolutely boil room . however bit effort remove radiator guard turn radiator . ( radiator remain window slightly open 5 night - despite sub zero temperature outside room temp right - heat surround room keep warm ! ) goodness know guest suffer heatwise ! right next door share bathroom , never disturb noise . however often occupy , use one along corridor upstairs - powerful shower . water always warm enough . I dubious use share bathroom , always clean , money save , well worth it . the location good , within walk distance time square , central park etc . we great time NYC , although would not say hotel add experience , certainly not detract . 
 Dec 2 2007 	 recommend 	 First thought do . room small share bathroom . yuck ! surprise room comfortable bathroom clean . instance take shower return room husband turn next , left soap return tell & quot ; soap someone clean bathroom already & quot ; . price location , Hotel 31 place stay future . 
 Nov 30 2007 	 love NY - OK hotel 	 bf stay 6 night , 5 week States dozen hotel . would least favourite we , contrary otherreview regularly wait use share bathroom floor . not anywhere place clothe share bathroom except window sill . room get hot , even window open . Comfort wise , bed ok , mattress protector bed , sheet . on positive , hotel bathroom seem clean , excellent location , nice staff .... price good expensive New York . could afford would stay elsewhere next time , be budget definitely recommend hotel . 
 Nov 28 2007 	 Great Hotel . Great Location 	 Mrs spend four amazing night New York , wow ! city ! stay Hotel 31 please everything price , room small clean fresh ( apart room boiling , even window wide open ) , room without bathroom did'nt matter much sharing bathroom hardly ever occupy always nice clean . service helpful friendly , good location hotel right heart Manhatten . price pay counld'nt well ..... one last thing , anyone know old man talk ? ? ? think ' m go to miss . definatley go 
 Nov 26 2007 	 Top Value . Great Service . Excellent Location 	 really worry shared bathroom entire 10 day stay never need wait someone else finish shower . bedroom small sufficient , hang rack , clean sink , bed bug , moderate air cond , small tv sitting make table . the location superb , 2 street away 33st subway u grab go uptown downtown . find deal globalbeds.com.au usd $ 130 night . standard Hotel 31 show , real bargain bit worry high demand hike price soon . the lift awfully small & amp ; slow still retain original state , grill bar . fully recommend . stupid book . 
 Nov 19 2007 	 Location Location Location 	 location great , get view empire state building amazing ! ! however , share bathroom also hotel provide meal . not matter every store walk past deli not problem . room clean , basin , wardrobe , chest draw bed . provide clean towel everyday staff seem friendly towards we . not expensive stay , look luxury hotel not really place go . sleep rooms night , not spend much time inside explorin New York ! one point though : decide stay hotel , could please look camera ( red case ) lose ! find , hand staff reception also comment say find . holiday picture , ( first time New York ) please hand not want lose ! 
 Nov 7 2007 	 Excellent Value- stay 	 hotel excellent location , 5 - 7 min walk Empire State Building . great pizza place corner ! ! room clean accomadation clean every day leave we clean towel etc ... never wait use share bathroom also clean water always hot ! ! sink room handy ... staff front desk helpful also book we cab back JFK .... stay next trip New York ! ! 
 Oct 28 2007 	 good value - stay 	 town Morrissey concert end October . stay ensuite room - 815 . elevator sooo small , really & quot ; old - timey & quot ; fun & quot ; ride . & quot ; everything hotel extremely neat clean . double ensuite room desk , nighstand w / lamp , separate & quot ; alcove & quot ; store luggage hang coat , tv armore ( w / more local channel ) & amp ; coffee pot . really love way decorate - high ceiling , room tray ceiling well . the negative thing could say noise bit rough night room face 31st Street . fault hotel . could know wacko would flip 2:45 a.m. , try stiff cabbie proceed call two friend beep horn good long time cop show 3:10 . empire State Building close , bit walk stuff , subway 34th Street - not use time . , go back next visit . 
 Oct 27 2007 	 nice place great location 	 good location great price [ NYC ] . room small share bathroom , big deal since never room never wait bathroom . everything clean well maintain . service friendly helpful . certainly place consider want stay Manhattan budget . 
 Oct 16 2007 	 Hotel 31 - brilliant 	 little worried arrive hotel , first time ever share bathroom . however , tell happy stay hotel . much look , decor old , care ? ! clean , never wait bathroom , staff friendly helpful maid come every day . would deffo stay , great location great hotel ! downside hairdryer rubbish , hey - ho ! ! 
 Oct 16 2007 	 Great Place Price 	 boyfriend stay 3 night October . room small , elevator straight 20 ' going spend much time ? bed comfortable , quiet , clean , safe clean neighborhood subway stop nearby can not beat price . walk block surprised awesome view Empire State Building block away ! share bathroom clean several time day , always empty . staff great . guy desk actually move car could park free street ( save we $ 35 ) , tell we place eat nearby , answer question place see City , store luggage day check , arrange car JFK . look hotel middle everything can not spend fortune , check place ! 
 Oct 11 2007 	 Excellent value money 	 ' ve come back 5 night stay Hotel 31 can not recommend enough . as single traveller trying keep cost would do fair bit research opt hotel . book double room share bathroom price could not fault it . yes decor bit date add character place . hotel spotlessly clean never wait use bathroom . air con bit noisy soon get use . 's couple block Empire State build plenty place eat close . 's great location sightseeing speak friend pay double price place sound fairly poor glad decision would make . 
 Oct 8 2007 	 good place stay ... 	 stay 5 night September 07 think great place stay price alot hotel price range . location great near subway stop take practically anywhere want . not put share bathroom clean not wait long shower morning . hotel staff friendly 's safe busy street - would reccommend budget ... cheap hotel / hostel good price . 
 Oct 8 2007 	 Excellent Location Value 	 stay hotel seven night good rate . hotel locate mid - town Manhattan close two subway stop ( use go upper east side low East Side Brooklyn ) . book share bathroom double bedroom ( Euro style ) . check uncomplicated quick . staff member name Ziggy ( amusing ) show we room locate eighth floor ( top floor ) . surprised find room much large room stay previous visit NYC ( previously stay Chelsea Lodge ) . restroom directly adjacent room . problem loud construction noise , consistently weak ocassionally non - existent water pressure , mattress probably retire . we like building , view , old elevator . also laundry service across street laundry $ .85 per pound , $ .25 Brooklyn . we notice share hotel many european visitor NYC think good hear foreign langauage speak enjoy try english language skill we elevator . the hotel 's location ideal tourist . locate close Madison Square Park , Empire State Building , UN , JP Morgan libarary , among thing ( include Bellevue Hospital ) . south Central Park north Greenwhich Village , low East Side , etc . 
 Oct 7 2007 	 great location ! ! ! 	 Hotels Manhattan extremely expensive . accept - Hotel 31 among good deal . the location good part stay Hotel 31 . walk lot & quot ; must see & quot ; attraction well shop . subway nearby , connect rest city fast cheap way . the neighbourhood among & quot ; must see & quot ; attraction , provide several good restarant fair price pretty cool bar well . recommend & quot ; Les Halles & quot ; Park Av . 28th 29th . our room rather small dark . however clean everything work . bed comfortable . Breakfast include available hotel . however , Guy Gallard around corner nice give large selection fair price . staff friendly , e.g . arranged transportation airport help on - line check 24 hour departure . all , Hotel 31 good experience contribution great vacation NYC . 
 Sep 21 2007 	 cheap ( comparatively ) cheerful 	 's important realise be get Hotel 31 . general , hotel Manhattan outrageously expensive . shock first start look place stay seem impossible find anywhere half decent £ 150 ( usd300 ) night . call cheapskate consider expensive ! ! could not believe even post forum question ask ? lot response local expert basically say hotel Manhattan charge like nowadays be almost license print money . anyway , lot search review reading , go Hotel 31 * * * comparatively * * * cheap price £ 100 ( USD200 ) per night 's ideal central location .... , quite honest , 's high star rating Trip Advisor essentially appear budget hotel . I will not bore long overly descriptive review actual place need know : SITUATION : double bed room private bathroom 8th floor pay £ 300 ( exact USD588 ) three night . disappointed view esb not think ask one check . important , might want make point request one be check ! point would like make : location:1 ) yes , location fantastic , block esb , two block either 28th 33rd Street Subway station ( take directly right downtown Liddle - Iddly Chinatown etc : ) unless infirm , walk popular Manhattan location within 30 - odd minute . HOTEL ITSELF:2 ) yes , room small side look bit ' tired ' , aircon unit loud keep awake need ' pindrop silence ' sleep perfectly honest , place whole really nothing ' special ' . get usual amenity though , like multi - channel tv , coffee machine , iron , alarm clock etc . maid option every day place keep clean tidy maintain . although need , share bathroom look well maintain well . yes , cleanliness could not fault general . the deskstaff friendly enough problem . like musical lift / elevator ( play radio music ) be like something 1930 's , seem take forever get top ( 8th ) floor Ground ! ! : ) quite quaint really ... GENERAL : 's thing though . unless be royalty , go ny , hell would need anything something like Hotel 31 ? ! ? even though ' m UK , ' m happy go record say NY great city ' ve ever ( 3 time ) sooooooo much see spend time hotel room sleep washing , tell , be cheat ! ! ! pay anymore ' as little ' somewhere rest head , be clean , reasonably comfortable central ? respect , Hotel 31 ideal ' ve see , probably good place Manhattan category . sure , ' ve get money burn , ' m sure far luxurious place stay afford £ 200/£250 night hotel , good we mere mortal can not would recommend place . summary : . hotel 31 . cheap cheerful , great location , know expect , not go delusion grandeur place absolutely ideal ! would certainly stay unless win lottery city seem get ever expensive , every penny count ! ! ! : ) 
 Sep 20 2007 	 overrate 	 stay Hotel 31 5 night Aug 2007 . basic 2 star hotel , be Manhatten charge unbelievable amount ! generally hotel ok , room let alot traffic noise , air - conditioner noisy could not sleep , good summer ! shower pressure abismal , barely get wet , never use cold water , temperature good luke warm . Other 's bad , long not expect much . would not stay long two three day . 
 Sep 14 2007 	 New York 's Hidden Gem ! 	 son stay Hotel 31 NYC 2 night past June . unpretentious old school hotel , quiet charming . cozy tiny room fourth floor two comfortable twin bed , sink , wardrobe , desk chair , tv , phone AC . view Empire State great ! one ever share bathroom hall want use . everything clean well care . definitely stay would recommend anyone look nice , inexpensive place stay New York . staff accomodate , well . 
 Sep 14 2007 	 Excellent 	 stay Hotel 31 7 night . check - in easy do within minute . friendly staff . small lobby . room sixth floor three we [ double twin bed ] private bathroom . elevator bit small oldish big enough three people suitcase . expect small room read review bit surprised see ' big ' , surely big enough 3 people . enough space store multiple suitcase near coat rack . room spotless & amp ; clean . Bed 's nice , clean comfortable . shower nice , always warm water . airconditione work fine although do not use much due bad weather . every day maid service . room 's tv Fox , NBC , CNN , Weather Channel channel , 's coffee machine next tv , hairdryer bathroom . forgot mobile phone end day still . always feel safe staying hotel . be also always someone staff present desk lobby . location : nice safe neighborhood within half minute walk subway # 6 [ walk towards Park Ave towards 32nd Street ] bring uptown Grand Central Terminal [ one stop ] downtown way Union Square Station , chinatown low Manhattan . within three block hotel enough place buy food like two Duane Reade 's [ supermarket ] , Starbucks , deli corner , Subway , Dunkin Donuts [ corner 31st & amp ; Park Ave ] , McDonalds 's like 4/5 block Empire State Building , 5th Avenue shopping location [ i.e . Manhattan Mall , Macy * ] . location good speak . after check - out leave luggage free storage room collect within 24 hour . hotel staff arrange we ride back JFK airport fix rate ! do not hail yellow cab . price $ 55 include tip toll . ask yellow cab will not use flat rate like be travel JFK Manhattan . even trafficjam take like hour get hotel JFK.Last thing , although private bathroom , always notice leave hotel morning come back night share bathroom always available thought wait line make reservation room share bathroom .. surely ai not case . definitely look forward return hotel visit NYC ! great time stay NYC Hotel 31 . 
 Sep 13 2007 	 Excellent value money 	 absolutely spotless . shared bathroom would way consider sway review - 2 near room , never wait always exceptionally clean good condition . loved old - fashioned art nouveau piped - music lift . bedding smell clean fresh , clean bed , dust anywhere - staff always clean andf helpful . plaid wallpaper dark woodwork reminiscent scottish castle . would definitely stay . little gem ! 
 Sep 10 2007 	 fabulous price 	 good hotel . staff lovely , room quite small , adequate . price incredibly good - much cheap anything else could find New York . bathroom share seem clean . the hotel far Empire State building - block away . bagel easy buy street vendor need quick breakfast . forget whether breakfast available . , not include booking get bagel instead . the room warm , air conditioning not seem cope well , would certainly stay , especially summer . 
