not 	 not know people expect , read review worry ! hard find hotel reasonable quality less £ 190 per night plus breakfastT single room . hotel great price expensive location lot restaurant close want go far . money , could fault . 's good hotel London great value . hotel look great outside reception comfortable invite sofa 's newspaper handy . room clean , small bath ( would use ) otherwise excellent , slightly fade bad . breakfast good include room price . happy assume price increase dramatically stay regularly . 
 great place stay great location . 	 impressed hotel . friend book room online third - party travel agency , assume communication issue agency hotel , hotel get overbooke . go check inform us problem say would everything could find we another room . take couple hour , find we another room despite fact hotel book solid London , refunded money , get we private car hotel mile outside city ( expect ) . kind way , let we get ready lobby bathroom , lend hairdrier fix hair , give we free drink , watch luggage we go . top , owner hotel happen lobby watch entire process talk we personally say really appreciate way handle whole thing without get angry staff offerre we free room next night could spend another night London ( suppose go back Chichester ) free breakfast favorite breakfast place morning . return next day check free room , find give we second good room hotel ( good one book ) . room service prompt delicious , room immaculate , bed extremely comfortable , every staff person encounter throughout whole process friendly . definitely plan stay next time ' m London would recommend despite minor communication error . 
 Jul 9 2008 	 bad Hotel stay like 2 star - stay away . 	 book Hotel 2 night July attend training course work purpose Park Lane Mews Hotel close . believe go open mind despite read recent bad comment TripAdvisor Hotel get . surely bad ? except yes really be . first impression build outside inside reception good , look nice . check . soon walk , say hello , say name find book demand full payment , question could pay end , say loud stern voice pay want stay . great start ! ! hand card , card not get company one debit . ask non smoking smoking opt non smoking , allocate room top floor . Room Impression - 1st impression look bad turn light way put card slot light work , not mention anywhere . Carpet filthy . wall paper something 70 's . thunder lighting pour rain day window open water drop table . try close window , part fall piece , angle . force get shut put broken part one side ( least shut ! ! ) Air Con unit wall look 20 year old , red light instruction use . except red light mean operation , however could still turn even bad sound though areoplane come wall . good job not work . try get room warm freeze cold wet window . although would think would put sign say use , instead try turn probably blow get electric shock nice one ! ! view window , tower scraper back Hilton Hotel 10 floor high fume back Hilton breathing room . yes London not expect gas smoke diesel train mention noise even window shut . look around - Flatscreen Tv , old CRT screen home , like box fix wall beneath board unit white plyboard would housed old CRT TV 10 year ago . bed hard nail although least double bed , plenty pillow . kettle fur , need good clean . Coffee Tea quite good amount , biscuit mineral water would expect 4 star hotel . Bathroom small look bad , clean . try take shower hot water , pressure water shower hardly come happen time use shower . bad sink take 10 minute water drain . everyone know turn hot tap wait become hot , however sink overflow almost tap become lukewarm bad . Wether 5th high floor not know beyond joke . order breakfast arrive room , fill card attach door handle 7 pm . card 2 am late . breakfast book 7:15am get 7:25 start get worry . open door room find card still attach door handle not even collect tray 6 pm last night light tea still outside well . call meal service option ask would like order , apology nothng though fault ask long would wait answer & quot ; not know & quot ; . Great get training course set time , that s whole point room service save time ! ! try order taxi night , hotel refuse order one try book one morning advise , tell go Hilton taxi rank . go taxi rank Hilton ask 7 cab take 1 mile say , reason , well imagine wait big fare come Hilton . walk another Taxi rank ask another 3 cab eventually find someone would take . arrive late course . at last time leave , check notice nobdy ask everything ok , nobody say thank stay , go raise issue say well guest not complain less make image thing not want know already money £ 244 2 night rip , plus£14.95 breakfast £ 3.50 extra room service . Travel Lodge mile anyday even Glastonbury tent not rude manner . please go recommend anyone , joke say 4 star excuse world rude customer care pay London Prices , 4 star price 1 - 2 star service . Rip Britain , hate imagine people country must think British Hotels base everything hotel . 
 Jul 2 2008 	 ruin stay ! ! ! - dirty place 	 could not put word utterly disappointed hotel . total waste money time ! hotel room dirty , bed make , stain wall , carpet filthy cuboard cover dust . several hotel item miss hairdryer , iron , iron board bathroom towel . fact thing break bed cheapo tv.the staff clearly aggrivate constaint complaint guest handle situation badely . inform give basic room due last minute book grateful room . £ 85 pay one night although location great , definately not place luxury . 4 * HELL HOLE like ! 
 Jun 28 2008 	 good place right price 	 book line 3 night deal ( less 300 quid double ) , hotel turn pleasant surprise . 's great location , close great park , Piccadilly , Mayfair walk distance many London 's attraction bit energy . walk ... love . 's glamorous up - to - date destination find staff helpful cheery , like lobby area lounge library room okay . comfortable bed adequate facility . around back lovely area dining - lot option breakfast , lunch dinner , cafe pub restaurant . 
 Jun 20 2008 	 good value Mayfair 	 worry read review , stay pleasant . sign ongoing renovation room perfectly clean comfortable , without exception find staff helpful friendly . manage get good internet deal feel great value location . 
 Jun 6 2008 	 Great Location 	 book hotel via Lastminute day arrival concern read report Tripadvisor . want somewhere central partner 's business meeting trip Royal Academy . location fantastic , 5 min Picadilly area Shepherd Market hidden gem little street pavement cafe charming shop . walk around look roofline see many different type architecture make area . perfectly safe area walk around early evening . room comfortable , Molton Brown toiletry , clean quiet looking rooftop top floor Mary Poppins experience , really would not know central London . staff front desk charm helpful would thoroughly recommend hotel plan return . truly know bad review . 
 Jun 6 2008 	 stay get REALLY cheap deal ! 	 book Park Lane Mews hotel 's location ( attend event Sheraton would stretch budget far ! ) . book via Lastminute.com & quot ; top secret hotel & quot ; pay £ 140 one night standard double room . the exterior hotel nice , location great . check - in staff helpful friendly . however ... would consider 4 * hotel stretch imagination . Molton Brown toiletry not enough compensate peel wallpaper , shabby decor stain carpet . as reviewer comment , room smell tobacco , cigarette butts window sill . call someone fix shower , not work , finally get water , cold . the air conditioning unit also reset would work , sound like piece industrial machinery switch anyway ! bedding towel look like have see well day - slightly grey bit tatty around edge . if really want stay Mayfair , manage get deal hotel £ 100 night , be probably ok . personally , would recommend stay Thistle Kensington instead : slightly cheap , spend save cab ! positive : - large bed ( 2 single make 1 large bed ) - Great location- friendly staffnegative : - Tired fade decor- particularly clean- Facilities working order 
 Jun 4 2008 	 Excellent Service 	 wonderful service hotel . sister come America front desk extremely helpful show we go get . would definately recommend stay . 
 may 21 2008 	 avoid Hotel check bill ! 	 watch hotel . mediocre - claim 4 star really scruffy 3 star well . I recently stay Hotel notice try charge phone call not make . desk manager assure would deduct bill . get credit card statement statement . I phone hotel twice promise would sort - reply two occasion . write twice reply . therefore register payment & quot ; dispute & quot ; credit card provider hope sort out . the service hotel shockingly bad desk staff positively rude . if book stay - check bill carefully . if not book - avoid . 
 May 11 2008 	 good value Park Lane 	 Park Lane Mews bit Curate 's Egg - good bad part . once , Park Lane Mews one ' 4 - star ' hotel offer pretty average 3 - star accommodation up - market location . I would give 3 - stars+ , room facility way 4 - star hotel . however , be quite attractive building , inside outside . public area nice tasteful welcome change usual corporate blandness major chain hotel . the location hotel excellent would like explore interesting nook cranny Park Lane Mayfair . shepherd Market , interesting little shop pub , 2 minute walk , Green Park Hyde Park 5 minute walk away . the entire West End doorstep , easily walkable able - bodied . difficulty walk , take advantage black cab swarm around area like bee around hive . my experience : - check late ( 23.00 ) desk staff helpful efficient . my room good size , flat - screen tv huge rather elderly . choice channel 1 - 9 uninspiring . can not hotels install FreeView instead ' Hotel Info ' 1 - 9 channel ? exactly use ' Hotel Info ' stuff tv ? book double , wife unable travel , huge ( 3 - pillow - wide ) bed wallow myself . the room clean ( except faint smell stale tobacco smoke ) complimentary toiletry excellent quality . all basic service work expect . water hot etc . be set - back Park Lane , room fairly quiet . hot night , ' air conditioning ' ( strange box thing corner room learn program ) keep fairly comfortable . I eat Park Lane Mews can not comment cuisine . downside : - not offer option non - smoking room booking end room smell mildly smoke . may hotel 's fault , matter double - check book . no mini bar . poor selection / amount tea / coffee etc . biscuit , milk / creamer tea / coffee . room decor aim ' shabby chic ' effect , come look shabby ( lime - wash woodwork not do properly ) .The large cabinet house original tv retain white - paint hardboard panel tack front . thought could remove edifice , least stick mini - bar . 
 Apr 12 2008 	 Ideal Purpose 	 overnight stay birthday surprise , pleasantly surprised husband worried reading review . easy find foot train & amp ; situate perfectly Harrods ect & amp ; wonderful eating place , check problem find room reasonable clean & amp ; spacious , molton brown bathroom product include nice touch & amp ; hassle all . very quiet & amp ; relax l , enjoy pleasant peaceful stress free night . we ' ve stay many exclusive & amp ; boutique hotel UK New York well Europe & amp ; can not fault Park Lane Mews . 
 Mar 25 2008 	 horrendous ! bad Hotel ever stay . 	 friend book hotel last Minute.com surprise hotel £ 80.When arrive ask twin bed available friend accidentally book double room . big mistake . the lady reception tell we not could stay ' apartment ' sound like upgrade . we send outside another building room top floor . apartment really large first quite impressed . put bag , realise room absolutely disgusting . carpet bathroom floor stain , one plug cave , fridge kitchen mould tv load wire stick out . my friend think make well somewhere & amp ; stay one night . get back around 1.30am go reception let - tell not allow key ... walk stair apartment notice mouse trap every corner stair ! conveniently not see take lift . porter make we wait 15 minute could not find key room bring every key see fit . this last straw ! friend go reception complain tell manager would ' pay £ 5000 find mouse hotel ' . ask much pay room , completely irrelevant . we not get anywhere arrogant manager staff decide complain directly last Minute.com see get kind compensation . this hotel awful - stay ! ! ! 
 Mar 10 2008 	 Fawlty tower Alive ! 	 arrive , order drink sit ' lounge ' overhear fellow guest enquire cream cream tea ? tell not cream ! ! . apart fact radiator did'nt work two electric heater room somebody kindness turn room 90 degree shade . bath import Lilliput , shower operable nobody else floor shower , one heating element burn toaster put bread three time get slightly brown one side side warm bit ( pay cash breakfast resaurant run hotel ) . point position brilliant , ideal walk Regent Street enjoy wonderful sunset Hyde Park . in opinion hotel four star quality - expect Basil walk time - want laugh try 
 Feb 29 2008 	 much well fear ! 	 stay hotel last weekend part party 20 . book read reviews Trip Advisor fear bad . end way well expect . the reception area lounge fine . reception staff friendly . twin room second floor small - ish , London standard absolutely fine . clean , look shabby - tiny part peel wallpaper nothing significant all . it great central location - 5 min London Eye taxi , 5 min walk Green Park Tube , end night walk back Chinatown / Soho , maybe 15 min walk . nice place breakfast round corner too . the hotel stop serve hot food 1 am get back rang pizza we ( pay ) .overall really good . 
 Feb 18 2008 	 hit Miss 	 reading revie surprised impression year ago seem different - really expect bad late change go anyway . check staff friendly polite - decor cosy reception warm , lift tired corridor also . room good size ( tell upgrade ... hmmm ) bathroom also generous . generally fit - out bit tatty - strange thing like money spend brand new plasma space old tv cabinet cover cheap plywood tack onto nice piece hotel furniture . heating not work give plug - in unit . overall hotel give impression owner run something else pop sale redevelopment- breakfast form hang doorknob poor photocopy - like wise menu etc . overall poor expect modern 4 star location unbeatable staff great . yoe sense humour travel alone - go . 
 Jan 30 2008 	 pick somewhere else 	 hotel convenient be go function Park Lane not want stagger far afterwards . otherwise , avoid like plague . room small , tired dirty . cramp , drab corridor . nothing work ( hear several people reception complain fault check ) staff know not care . sign management . reception try ' upgrade ' annexe round corner dark dreary even connect hotel phone . insist main hotel building keep awake night noise metal baffle huge air conditioning system back Hilton tower block right front hotel . not go unless expect drunk care . 
 Jan 27 2008 	 not bother 	 thankfully stay one night Park Lane Mews Hotel . location great everything else par . room shabbily decorate constant droning noise adjacent room . we return night find water not hot enough get bath air conditioning / heating not work . order sandwich Room Service not nice price ( @ £ 10 charge add room service delivery ) . nothing reccommend hotel location . 
 Jan 21 2008 	 Good Hotel friendly staff good size room 	 book hotel www.lastminute.com ( top secret hotel £ 110 Saturday night stay ) despite bad review website , honestly say hotel nice , excellent location ( Hyde Park / Mayfair ) .The Parklane Mews Hotel usually business hotel get pretty busy week 's quiet weekend . we ask quiet room arrive put we roomm back . room quite good size room London include free Wifi , LCD tv bath tub ( quite small ) . room tidy pleased see free toiletry bathrrom Molton Brown . also order breakfast bed £ 17.95 , quite expensive share 1 breakfast 2 we , quite enough . in summary , Parklane Mews hotel good hotel would come back another weekend stay . 
 Dec 10 2007 	 Fantatic Location 	 First - hotel really first class location . situate behind London Hitlton adjacent Four Seasons , Parl Lane Mews ten minute walk Bond street ten minute walk Harrods . Buckingham Palace five min stroll away . hotel classification 4 star . honest stretching bit . hotel cosy , ie small , decor well wear clean . check late ( 11 pm ) thursday night - greet night staff unable locate booking . confirm reservation afternoon state would arrive late warn give room away ! ( big problem London ) however 30mins worried look etc night porter finally admit room go would stay hilton picadilly night ........ good start . the next morn rectify - back hotel tell first night comped - upgrade would bottle champer fruit plate room . also could enjoy complimentary dinner two room service menu wish . fair fair - completely placate - mistake happen react important occasion GM hotel , Mr Paris , come trumps . our upgrade room nice . bit Small ( be not London ? ) clean huge comfortable kind size bed . massive 42inch plasma tv wall look little place job ....... bathroom small ( actually tiny ) well maintain stock pleasant Molton Brown product . second night order snack room whilst dress nocturnal adventure - food arrive promptly actually v tasty - lead believe food hotel would well average . give location hotel eat elsewhere every meal - sheer choice offer make sin stay site food . the big positive hotel location . find fashionable park lane area - right behind London Hilton . Green park tube 5 min walk away - taxis plentiful give volume large brand hotel vicinity . Bond st , Buckingham palace Harrods within easy walk distance . - definitely return little hotel . 
 Dec 9 2007 	 absolutely dismal - avoid cost ! 	 book room overnight stay Friday attend Christmas party Regents Street . understand pay room advance stay - would not stay pay ! upon arrival 2.45pm wait 20 minute first room ready , despite confirmation receive advise check - in 1 pm . later tell duty manager check 2 pm , receptionist check - in 3 pm - seem depend room ready standard check - in time ! wish would get together & amp ; formulate sort uniform response . when try use show first room , showerhead detatche wall & amp ; sway mid - air - dial temperature would not turm 3 ( 3 = freeze ) , although could turn way 9 , turn supply water completely . complain reception , move tiny double room stunk unbearably smoke , double bed require twin , a / c unit constant & amp ; loud sound run water . immediately call ask move , finally move room seem acceptable . ask cab book leave 30 minute get ready & amp ; get party , due mess around time shower bath . 15 minute call back tell cab , re - request cab time actually need , go reception time & amp ; wait 10 minute finally tell may well walk round Hilton & amp ; ask one doorman get cab ! next morning friend attempt bath , turn tap bath fill lot black & amp ; brown gunk , work either come tap plug hole . attempt wash dirty water away plug mechanism actually break could not drain bath water ! friend get dress & amp ; go speak reception , wait 15 minute duty manager call back check really require someone come & amp ; look problem ... yes really ! duty manager eventually arrive , pull plug mechanism bath & amp ; insinuate break , plant dirt bath ! explain everything else experience last hour since check , straw break camel 's back . tell someone else book previous room & amp ; not issue room , something find hard believe , tell room normally £ 350 per night & amp ; good deal £ 125 ! would not pay £ 10 stay room not even basic washing facility , amazed accuse we trying cause trouble , apologise anything have experience thus far ! ' ve never come across anyone rude & amp ; smug life - absolute disgrace deal with . he eventually tell we would meet we reception could discuss although would not offer kind refund discount already pay travel agent directly . arrive reception 5 minute later check & amp ; discuss tell manager would come discuss us - unbelievable would leave reception deal we ! summary , stay lot hotel business & amp ; personal use , never experience anything like - could offer one word warn everyone read would ' do not even think ! ' . find , good reason hotel constantly offer book website huge discount , wish read bad review booking & amp ; pay advance room hotel would not recommend bad enemy ! task write letter hotels.com & amp ; hotel manager , level customer service par receive far not expect get far . disgusted weekend 's experience & amp ; sad unsuspecting tourist stay hotel future & amp ; put wonderful city place . 
 Dec 5 2007 	 save money - not . 	 stay 2 night - need good quality hotel would relax work . say one bad hotel stay - price think inexcusable . first night involve reject couple room ground dirt smell ( smoke ) end room without work heater , large pool water ( hope ! ) floor , freeze night . desk , Playstation , food bad motorway service station , ( not want go eat . ) second night move another room , slightly well , window not shut , quite cold . book last Minute one ' secret ' hotel ( boutique 4 * ) - not . wish read review first . 
 Nov 26 2007 	 worth money ! 	 read review tripadvisor bit concerned stay great review think can not bad ! ! ' m afraid bad review right - delay room ready , heating not work , shower not work overall standard fixture fitting way 4 star . say reception area cosy breakfast usual hotel fare . however price pay match service / standard expect . save grace location stay make sure go little walkway side hotel walk square great restaurant pub - away busy - ness west end ! would recommend place - yes . yes expectation want basic base explore London - want high standard quality hotel ! 
 Nov 7 2007 	 bad cold room 	 book hotel Lastminute , & quot ; secret hotel & quot ; . pay £ 140 , expect something good . on arrival , hotel look nice , check - in smooth . main problem room , cold - estimate 5 degree celcius night . I would stay , would wary room give . 
 Oct 22 2007 	 get great price good London hotel 	 wife stay Park Lane Mews Hotel October . stay overnight Sunday need early start Monday morning . book hotel Lastminute.com pay £ 76 absolute bargain consider Travel Inn £ 85 London . hotel one ' Top Secret ' room hotel easy work consider normal B & amp ; b description couple hotel list ( even £ 90 include english breakfast ) .The hotel one minute walk Hilton close Hyde Park distant walk museum Oxford Street . excellent bus link tube not far away Hyde Park Corner hike ( luggage ) Marble Arch . room good London hotel , stay number year good size room 42 inch plasma screen wall ! bathroom adequate although luxurious hotel facility look okay although really see lobby room . offer opportunity breakfast check ( supplement course ) not start serve quite late ( 08:30 ? ? ) not time even want . think quite unusual start serve late , check booking need early start . overall would thoroughly recommend hotel get anywhere near good deal . average hotel ( especially London ) well locate quick stop short break London . 
 Oct 18 2007 	 hate hotel ! ! 	 find terrible hotel regret stay . find unappetising , rodent bait smelly room , retrospect would prefer slept seat airport . airport way back Canada travel plan change business reason . London hotel book one available lastminute.com . understand . work stay hotel around 100 night per year certainly bad hotel stay time . believe hotel class 4 star find interesting mange find 3 star hotel move 3 star hotel infinitely well significantly cheap . agree largely negative comment post hotel really understand positive rating . yes , find claim free internet access mislead available bedroom . the hotel unwelcome , unappealing , uncomfortable unpleasant . 
 Oct 10 2007 	 basic not right ... 	 get hotel lastminute.com , part hotel - theatre package , see cheap ( & quot ; top - secret deal ! & quot ; ) option . staff courteous disintereste , not seem information thing like price availability parking . tell one person phone parking hotel 's lot first - come , first - serve , place available time speak . arrive hotel , tell different person use NCP parking lot Hilton . checkout , ask could get hotel 's rate parking lot , fellow seem astonished , assure special deal , & quot ; parking , madam ? 's loading bay , manager park there . & quot ; suggest might like ensure staff aware arrangement price parking , simply shrugged say , & quot ; will check young lady speak , madam , & quot ; phrase suggestive abdication responsibility ' ve ever hear . to room , however . free wireless internet tout among attraction place , fact , work room . attribute ( disintereste shrug ) problem router floor , seem sense problem could ought sort . go lobby , wireless work perfectly , pay congestion charge online . the all - marble bathroom bear scar recent work do pipe , tile behind toilet obviously remove replace - even one break ! fiberboard panel front bathtub obviously suffer recent damage , ( probably leak ) , corner expand long fit panel frame properly . one two light bathroom work tub - deep , base inch high bathroom floor - tricky get less perfectly agile . light closet not work , either . some may sound overly particular , occur we wonder whether , since basic flaw unreliable , truly important stuff would better whether would , instance , fare well event fire disaster place hand staff clearly not give hoot . 
 Sep 24 2007 	 watch fall object ! 	 stay Mews begin September , mainly location London office company work minute walk away . after read awful review guest put separate building encounter problem staff , tell dare put strange separate building , huge scandal hand . needless say , give nice single room , small , adequate . still , carpet , drapery look like need revamp least good cleaning . clincher happen attempt low blind could privacy , come crash head , completely startling . staff look worried informed incident , fix quickly , will grant that . all else ok , case , beware fall object ! not pull hard window blind . 
 Aug 29 2007 	 Fantastic Hotel Wouls definitely recommend 	 stay Park Lane Mews hotel several occasion never ever experience anything brilliant stay . journalist travel quite use 4 * hotel honestly say hotel favourite . staff courteous , polite helpful , room immaculate spacious , food excellent hotel absolutely beautiful . location hotel fabulous would recommend hotel anybody enjoy luxury 4 * plus offer . every time London , hotel always first choice ! 
 Aug 25 2007 	 great ! ! ! ! ! 	 stay hotel family , walk straight away greate freindly staff . help we room magnificent nice big cossie bed complimentry molton brown toiletry . big lcd television . evening go dinner order steak wife lamb cutlet child burger love stuff . also decorate hotel extrimly warm traditional . perfect location london . planning trip london saty . A++++++ 
 Aug 20 2007 	 waste money 	 stay really nice 4 * hotel London , far 4 * hotel . arrive long train journey tell room yet available leave bag reception . return around 4 hour later tell upgrade 2 room apartment , turn basement flat situate around corner hotel , first glance seem ok , spend 1st night . 2 bathroom 1 shower bad shower ever experience . flat noisiest place ever stay noise upstairs apartment noise road outside , keep awake night stay , mention reception 2nd night , shrugged walk , never experience customer service bad this . it real shame hotel situate great location . 
 Aug 14 2007 	 Terrible Hotel 	 stay hotel end April 07 , celebrate friend 60th birthday husband 's 62nd . book line 6 double room , arrive one double room avaible . much debate time waste assured receptionist guest book morning would secure 5 double bedroom . leave luggage foyer confident knowledge would sorted evening . we arrive back hotel 11 pm dumbfound find two man reception know nothing booking . also reception two couple family waiting room , eventually offer we 1 double 1 single room annex across road 4 people . go one receptionist get temper walk ( wish could ) . 2.30 accept room . unbelievably double allot we already occupy elderly couple friend use key get Lady understandably shock friends.consequently 2 people come annex mean 8 people share 2 double bedroom , 4 people sleep floor bed provide ( hotel bedding ! ! ! ) Sunday morning waste time wait manager not show ( surprise ) . pay advance still try get compensation apolagystay well away 
 Aug 1 2007 	 mouse infestation ! ! ! ! ! 	 book hotel lastminute.com - always great hotel london look forward quaintness small room , etcWe tell arrival ( 3.30pm hour checkin ) room book put we apartment around corner . this apartment definately 4star - sparce , equip toilet roll milk tea coffee . not phone link hotel . get key let room could not get build ! ! ! check hotel would walk around let - mean really ! would put - since one night not small rat mouse run front next morning . when went complain guy shrug say would get manager call .... still wait ... 
 Jul 15 2007 	 warn go anywhere near - disgust staff / room / hotel 	 warn BOOKED HOTEL CANCEL ... arrive hotel , reception crowd three chair take , leave entrance hold bag close 15 minute even acknowledge . finally sit we demand credit card room . understand hotel take credit card ensure charge cover , however mini bar room enquire require card . obviously sore spot rude reception staff immediately go defence . give handed card , tell room number make way room . believe hotel may reserved room give we people take advantage & quot ; Top Secret & quot ; offer way sane person would pay full price . desperate use bathroom , disgusted find hair toilet ! could not use move man room discuste . wire hang everywhere , room unfinished , carpet look like someone sick go toilet top , wallpaper hang ceiling look like collapse , course picture attach see send loyal customer . immediately phone reception demand speak manager , man phone insist manager ( een though know rude guy recpetion ) complain firstly lack customer service , secondly state room . offer send housekeeper , implied plant hair toilet ! horrible , could afford walk would . eventually move another room , however first thing spot hair pillow ! ( think point take mickey ) point boyfriend late lunch date keep room . feel let lastminute.com , love & quot ; top secret & quot ; hotel deal , joke . do not think anyone company could ever see / stay horrific hotel way would website . please take time see picture understand upset . do not expect palace , place look like shed . 
 Jun 10 2007 	 great location pricey .... 	 charming location , Park Lane , beautiful Lobby area . service outstanding , even keep huge suitcase 3 day leave hotel ! complaint room tiny , 's hard feel utterly rip London ... mind , be totally over - price , can not really single hotel negative treatment ! 
 May 20 2007 	 never 	 book 2 night last minute attend training course . hope stay cheap hotel Premier Travel Inn everywhere book cheap could find . hotel quite attractive , quaint nice oldy worldy decor . unfortunately stay go downhill . reception staff consist middle aged pompous patronise middle - aged man , rude incompetent teenage girl . room tiny , small room ever stay , squeeze next toilet allow enough room shut bathroom door . breakfast average & quot ; restaurant & quot ; tiny unlucky guest not get table sit low sofas reception eat breakfast coffee table , watch people check . order room service one night , price extortionate luke warm over - cook steak soggy chip . I would stay hotel even someone pay , mainly appalling staff attitude ( believe customer service important part hotel stay ) . however , location hotel excellent would say good point . ( although cab driver seem never hear , need tell tuck behind park lane hilton ) . main priority location would recommend hotel probably one cheap hotel area . despite though , believe overprice . 
 Apr 23 2007 	 good location affordable room 	 Booked hotel Friday night London , via SecretHotels lastminute.com . hotel room not large - great short stay handy location . noise not problem . room great condition lovely Molton Brown toiletry offer . definitely recommend stay price right ! 
 Apr 5 2007 	 great location be pretty much 	 neighborhood great expensive hotel , like Dorchester Metropolitan ( Robert De Niro 's Nobu restaurant locate ) , Park Lane Mews try compete impressive lobby . minute set foot , start expect Earl Gloucestershire appear minute , puff pipe . however , room leave much much desire . old dirty carpet , bed comfortable , lot space . Shower water take 10 minute warm , tricky be hurry . wireless internet work time even though two server hotel . 's call . want stay chic location , close Oxford Street Picadilly , fine . price reasonable London , expensive pretty much everywhere else planet . staff nice courteous , except over - tan girl morning shift lobby . one woman probably think good look excuse polite corteous , whereas guest could not care less would rather nice manner tanning salon . 
 Mar 18 2007 	 noisy ! 	 hotel nice enough . location great , right behind Hilton Mayfair . location also downfall -- truck enter leave ( beep beep beep , crash , smash , bang ! ) back entry Hilton ( Park Lane Mews locate ) keep night . do not stay want get good night 's rest . 
 Jan 31 2007 	 Great Location - Helpful Staff 	 Mayfair location great room price . worried negative review , happily , not find . staff helpful - suggest good restaurant choice nearby Shepard 's Market . hotel set amazingly quiet . window open , loudest sound jet fly high central London . variety quality selection breakfast buffet . restaurant manager add touch class morning deftly remove unused table setting sit . room compact bit worn - everything tidy clean . ( tell desk light fixture not work repaired get back walk ) . 's place would return recommend friend . 
 Jan 23 2007 	 pleasant short stay 	 stay hotel one night attend function Hilton incidentally opposite . hotel room small clean . room could touch modernising although rather nice large lcd television wall ! would want spend long especially shower slow take age rinse shampoo hair ! would stay attend function Hilton around third price . 
 Jan 5 2007 	 positively average Stay 	 get great price hotel - £ 70 , book short notice hotels.com . stay several hotel Mayfair area year seldom find price like . one amusing aspect none staff even come UK . speak Lithuanians , Russians , Africans officious quite rude turkish restaurant manager quite vocally use F - word one staff restaurant ! ! ! ! . reception improvise inordinately slow facility . could not find booking , despite hand internet site print voucher . bar ( quasi bar service ) . restaurant positively average term quality choice . arrive , reception area populate one tall blonde russian lady ( night ) wait fer rich arab beau arrive couple gun totting bodygaurds celeb politician stay . ( single ) room quite sizeable compare many hotel part town facility want nice bath . summary , hotel positively average badly run , price good location excellent . plenty good pub restos Shepherds Market 2 minute walk away . 
 Dec 11 2006 	 Rude unhelpfull 	 book room week advance could spend 10th anniversary nice hotel look forward special weekend . arrive hotel encounter rude staff proceed ignore we . eventualy speak we say could find booking make we wait find . wait age rude man tell we book real room available we . obviously overbooke proceed deny book even though reference number . apology leave we strand appear fully book London . take we nearly two hour find another hotel practically everything go due Christmas influx . time find another room waste day ruin anniversary . 
 Dec 11 2006 	 try somewhere Else 	 Booked hotel opodo.room not ready unitl 5.30pm standard 4 * . double room small noisy air conditioning unit uncomfortable bed . try make we pay breakfast even though include booking . overcharge we £ 65 check insist refund leave hotel . reception staff not get clue not seem bother delay , etc . note : several guest also cause complain one night stay . try somewhere else ! ! ! 
 Nov 22 2006 	 Senior Management fail miserably 
 Nov 6 2006 	 Park Lane Mews 
 Oct 29 2006 	 well location expect 
 Oct 16 2006 	 Cute cramp 
 Sep 15 2006 	 fail give refund 
 Aug 18 2006 	 Gone Hill since Hilton 
 Aug 15 2006 	 great little hotel 
 Aug 11 2006 	 Forget ! 
 Aug 1 2006 	 do not bother ! 
 Oct 28 2009 	 Pesima experiencia 
 Oct 11 2009 	 Pessimo Hotel 
 Sep 2 2009 	 Precio relativamente alto para la calidad ofrecida 
 Apr 9 2009 	 Hotel agréable 
 Mar 29 2009 	 super 
 Aug 26 2008 	 Evitatelo 
 Aug 13 2008 	 Tranquillo 
