solid 	 hotel conveniently locate Magnificent Mile excellent shopping , walk distance many attraction ( though particularly close subway ) . hotel nice room well decorate ( though LCD tvs ) , arrive , shampoo room , wash cloth ( call front desk shampoo bring ) , bad , toilet seat dirty use wash cloth previous guest drappe shower curtain . wife would probably choose stay somewhere else next time . 
 Mar 23 2009 	 Nice Chicago Hotel 	 stay Doubletree Chicago long weekend visit family . centrally locate fly Midway airport , take Orange Line Lake & amp ; state walk 15 minute . room spacious clean amenity - shampoo , conditioner , etc . bed well ! ! ! comfy ! new linen , comforter towel . Einstein Bagels lobby quite convenient quick breakfast . try hotel restaurant , right across street great cafe call Egg West . wonderful food ! also drink Timothy O'Tools , pub also locate across street . the hotel staff friendly knowledgeable Chicago area . need direction reservation concierge friendliest ! glitch notice lack insulation door . could hear every door slam person walk hallway outside room . wall room fine hear little noise neighbor maybe door could well insulate ? big thing minor annoyance . overall , great hotel worth $ 100 night pay . would definately stay . location ideal ! 
 Mar 20 2009 	 secret fee fine be rich 	 boyfriend stay 2 night , get really good deal hotwire , otherwise would ve somewhere lot cheap less swanky . bell guy make mad ask could use wheel luggage rack bring stuff boyfriend park car , say yes , stop load & amp ; say get bellboy .. I m pay someone carry bag ( I m spolie well - off ) , bring everything , pack - mule style.he quite rude top . room really nice , large , modern decent view , big comfy bed etc , mad find wi - fi internet advertise actually cost $ 10 24 hour , guess should ve expect come richy hotel .. parking ridiculously expensive course . turn indoor pool / hot tub advertise locate adjacent health club pay $ 15 per entry use . seriously , wtf ? , place nice , since rolling dough , can not stand place charge bunch random fee like . 
 Mar 18 2009 	 Great Hotel 	 family four ( two teenage girl ) stay several day college campus tour area . Chicago one time can not compare hotel say pleased price pay . hotel great location . staff friendly check breeze . room clean comfortable big enough accomodate we . parking expensive hear , expect ( $ 41 one night ) . close great shop lot restaurant , within walking distance . honestly nothing bad say hotel would highly recommend . 
 Mar 17 2009 	 serve purpose central location convenient family 	 stay Doubletree Hotel Chicago Magnificent Mile March , Room 2121 . pay lakeview partial view lake . nice hotel 2 block east Magnificent Mile 2 block north Chicago River / Wacker Drive area . convenient shopping walking attraction . Dominick be across street , Dunkin Donuts , Panera Bread , place eat right nearby . first , positive . really like friendly everyone towards we . check effiecient , except remind breakfast voucher . immediately correct . warm cookie wait we . concierge helpful friendly . bellhop professional friendly . restaurant staff friendly , housekeeping . food restaurant great . breakfast buffet , egg , bacon , sausage , hash brown , egg make order , cereal , pastry , bread / toaster , fruit , yogurt , regular chocolate milk . get breakfast free morning part Memory Maker Weekend Doubletree website . hotel clean presentable . bed clean crisp . bed comfortable . bath towel cozy . furniture accessory high quality . now negative . please keep mind other may mind . travel family four . first thing notice counter space bathroom . sink pedastal sink . seem like handicap accessible room maybe . not put & quot ; stuff & quot ; . room seem small , although Chicago standard , probably fine . lot room move . $ 15 per person per day charge first day use health club pool , $ 5 per person per day charge every day thereafter . $ 9.95 per day charge internet . self parking $ 41 per day . seem like nickle dimed . mini bar minibar fridge , not touch anything ! sensor . pick something sensor 30 second , room get automatically charge item , even not open . take charge , not point I . there channel child TV . wind night around 10 p.m. , turn tv . cartoon channel adult cartoon . big deal , flipping , explicit adult channel come . ooop . find parental control tv . kid channel . watch Travel Channel , okay ! ! room elevator shaft , hear noise night . addition , least 2 room partier . however , management come someone must complain tone right . staff management really top everything hotel . think business traveler couple get away weekend , hotel would nice . not think cater family . 
 Mar 13 2009 	 beautiful place . nice room great view ! 	 stay daughter granddaughter one night Red Roof Inn . rri horrible ! get next morning , fitful night feeling like bedbug attack , walk street couple block find Doubletree . staff wonderful courteous . offer room right away move 2 night . great . come back husband probably stay . beautiful view partial view lake . gorgeous big room clean compare filth previous room RRI ! 
 Feb 27 2009 	 great stay - typical downtown hotel 	 two co - worker check Wednesday night greet warmly -- classic DoubleTree hotel , true form . room satisfactory -- clean , modern , & quot ; classy & quot ; . typical downtown Chicago size , nothing really jump . say 's excellent hotel value perfect place stay , many hotel area also fit criterion . Breakfast Einstein 's Bagels lobby great , not stop bar lobby , look like great place hang . block two Michigan Ave , location beat . not hesitate stay town ! 
 Feb 26 2009 	 Excellent Customer Service ! 	 stay Feb. 19 - 22 , 2009 say enough good word place ! arrive late check - in breeze . park great lot attach hotel . need get car , . room great view John Hancock Building . hotel customer service extremely professional helpful . ask couple extra towel bring armload right away . step breakfast one morning come back room housekeeping already clean . even ask we put room key verify actually room . Sat . night stay sister become violently ill ( get food poisoning diff restaurant ) call front desk midnight . tell nearest ER come lobby already cab wait we . extrememly attentive helpful . come back want know anything could . go beyond hotel staff ' ve ever see ! 
 Feb 12 2009 	 great service exciting expect 	 sister stay Doubletree three day stay Chicago . read reviews site end opt Doubletree instead four start hotel sound great . staff hotel bed excellent . actual hotel okay really nothing special . pool ( though own hotel ) hot - tub area need upgrading . location convenient ( 2 block Michigan Ave ) restaurant nearby . overall , hotel average next time opt something different . 
 Jan 29 2009 	 Great Location - Great Hotel- Stylish Comfortable 	 Great Location - Great Staff - Stylish , comfortable , clean , hotel good Doubletree starye , well Hilton Main Brand full service hotel . staff etc great , room nice , clean crisp bedding quality linen . one short walk everything . well do Doubletree Chicago . 
 Jan 23 2009 	 great stay New Year 's Doubletree 	 stay girlfriend three night New Year 's ... get great rate $ 100 / night ... hotel nice job renovation ! check - in super pleasant , room clean comfortable , bed unbelievable , quite convenient Einstein 's lobby . use access next door fitness center must great see many guest take advantage it . location could well ... shop Michigan Ave short walk Dominick 's ( grocery store ) block away . con wireless $ 10 / day ... would absolutely stay ! 
 Jan 22 2009 	 Amazing Stay ! 	 DoubleTree Hotel Chicago Magnificent Mile great hotel excellent staff 's location everything good part . place like John Hancock Building , Mike 's Ditka 's bar , Chicago Chop House ( good steakhouse Chicago ) , Lucky Strike Bowling , Shopping Malls , Millenium Park , Navy Pier 15 minute walk . everything else 10 - 15 minute cab ride . 
 Jan 13 2009 	 enjoyable visit ... 	 Husband stay lovely hotel 2 night end Christmas Eve . actually stay Chicago 4 night split time hotel Homewood Suites block away ( need last & quot ; qualified stayes & quot ; retain Hilton status ) , compare . hotel recently re - do opinion fine job . nice modern feel decor hotel . room beautifully do - standard size hotel room - awesome bedding . , comfortable . staff hotel fabulous . always smile , anything need bell hop , front desk concierge , valet . staff much helpful friendly Homewood Suites . opinion location well well . suppose summer month would matter however bitter 35 , think within walk distance shop , restaurant , etc . would certainly stay - couple . gear towards couple weekend , business traveler family travel . 
 Nov 23 2008 	 nicely done 	 Stayed DoubleTree company meet pleased choice . meeting room sufficient , food food service excellent , room clean , spacious modern . Guest service friendly professional . hotel walk distance shopping Michigan Avenue countless first - quality restaurant tourist relate attraction . at $ 200 night , not know would stay travel family would welcome opportunity stay 's company dime . 
 Nov 3 2008 	 nice ! 	 stay DoubleTree 5 night think pretty good hotel . staff friendly want help , mistake time time . room spacious clean detail betray fact renovate hotel ( old tv , noisy AC , safe room ) everything else ( carpet , bathroom , desk , bed ) new clean . bed super comfortable . hotel ' location good shopping eating , museum well find something loop . other review say elevator slow , ' problem . ' like charge use computer business center . 
 Oct 29 2008 	 great location service 	 Front desk staff friendly helpful , housekeep excellent job every day . sign 's old property ; room water damage bathroom ceiling grime hard - to - reach corner , though general hotel impeccably clean room perfectly comfortable . great location intersection E. Ohio St. Fairbanks Ct , lot shop resturant nearby , Magnificent Mile two block west , hotel within easy walk distance bus subway ( helpful parking hotel $ 38 / day ) . perhaps bit pricey ( pay $ 236.55 / night Thursday - to - Monday stay ) , worth we -- milage , course , may vary . overall , great service great location . 
 Oct 18 2008 	 Vey handy shopping . 	 stay one night tour . hotel smart situate close shopping area Navy Pier . our room 7th floor big comfortable . small minus point powerful air conditioning unit – powerful tend wake we overnight time fan start . the hotel staff friendly helpful . there Einstein Bros. Bagel Shop hotel lobby find adequate light breakfast . 
 Sep 25 2008 	 Great Location - Great Staff - stylish comfortable clean 	 location could not well ; staff could not nicer helpful , ( esp . fre , Cookie , Ben Vlad ) , facility modern stylish . room comfortable , though terribly large , beautifully decorate . housekeeper friendly , great job keep room clean ( mean - really clean ) , work around come - and - go tourist schedule . cookie , doubletree staple , miss ( even purchase road ) . disappointment young male concierge - could little friendly helpful without act though interruption day . staff step , though , make great recommendation top dining option ; give direction ; generally accommodate every need . would definitely stay , recommend perfect choice tourist business traveler . nearby place enjoy D4 ( irish pub / restaurant ) ; Volare ' Italian Restaurant ; Grand Lux Cafe ' ; course Mag . mile shop Navy Pier 's Ferris Wheel ( , though , $ 6 per adult , take ' round ) . Chicago favorite : Wrigley Field ; Second City ; Rebar Trump 's International Hotel Towers ( great river / skyline view ! ) , John Hancock tower 96th floor lounge ; Architectural Tour Chicago River . great job Doubletree ! 
 Sep 16 2008 	 Good Location Nice Hotel 	 stay hotel first vacation girlfriend reason particularly keen comfortable : - ) rather annoying wait initial difficultly checkin ( little firm would liked make sure receive room timely fashion ) , please hotel . 's three block Michigan Avenue close pretty much anything could possibly need , consequently would recommend hotel unreservedly . base experience ' ve read online message board seem be good price - wise either book package ( use Travelocity ) even Priceline ( ' ve never use though . ) 
 Sep 9 2008 	 great place 	 nice , update hotel . comfy , negative parking $ 38 per night . believe may able park next door $ 28 , probably worth hassle . 
 Sep 4 2008 	 Great Hotel 	 really can not beat location . block one good shopping mile world . restaurant low part hotel would HIGHLY advise avoid cost . food terrible , bread stale drink flat . lobby modern walk service bell hop great . front desk staff bit slow check sure fault need people work behind desk . concierge helpful make good recs . the room medium size room could easily see recently renovate . bathroom nice large mirror sink/ vanity . shower clean spacious . one thing would say hotel consider put fridge room . overall , great stay , good location , clean room , helpful staff . 
 Aug 25 2008 	 Great Location 	 Hotel great ! busy weekend Chicago , hotel clean friendly . elevator slow , take step ! ( help low floor ) . able walk everywhere want go . would definately stay hotel ! one bad experience ... try get Chicago Style pizza . go Giordano 's experience bad service imaginable . host completely rude insulting . never step foot restaurant ! suggestion try Uno 's Dewey 's . Field museum great way spend morning , ballpark great afternoon american girl evening ! 
 Aug 25 2008 	 Doubletree suit need Chicago 	 get great rate ( $ 159 ) travelzoo King w/ sofabe room . room great two adult w/ two small child . even couch open bed , still plenty room walk around . great window overlook Hancock bldg ( spectacular lightning storm 1st night ) . bed little soft , bed wonderful . sleep well room never noise . 18th floor nice spot hotel even accomodate request check - in family member ' room ( two add ' l room ) assign floor . warm cookie check - in always nice . the pool outside water cool . refreshing warm day , not stay long . Customer Care staff really helpful anytime need anything pick phone . location great . easy walk Navy Pier , great hot dog stand outside hotel ( Hot Diggity Dogs ) , Michigan Ave close walk . although would prefer suite style hotel , and/or breakfast include room ... hotel meet need location make easy walk get quick bite eat start day . would stay . 
 Aug 20 2008 	 Great Hotel would stay . 	 close everything . 5th Floor roof pool cool . kid love . adult beverage swam . staff nice , problem . breakfast restaurant . kid eat buffet $ 6.95 ( menu $ 6 pancake alone ) , omelet skillet w / toast , hashbrown . $ 10.95 . Buffet would $ 15.95 adult . quick service , good food . would stay . 
 Aug 16 2008 	 really slow elevator 	 Doubletree great location Chicago 's Magnificent Mile . room fine . clean , comfortable , fairly appoint . Thursday Friday evening . large hotel many floor . 20th . average wait morning get lobby ten minute . time . maybe one elevator work , several time pack elevator would come one could not get . annoying . hour wait room service . room ready arrive check ... usual check time . 30 minute wait bagel cup coffee Einstein Bagels locate lobby . get lobby . parking hotel $ 35 / day normal area Chicago . overcharge internet usage . operator quickly fix , annoy . the outdoor pool fine child . nothing special . afternoon , pool shade surround tall building . indoor pool spotty hour child welcome , not able use it . I would avoid hotel future . 
 Aug 7 2008 	 Great Location Safe area good service ! 	 stay Doubletree 08/01 - 08/03 , clean hotel , close mag mile , safe part town ( next Northern Western University ) . ton people stay Lollapalooza , Cubs town weekend , various convention . enjoy stay , clean staff timely , front desk helpful . ... ask extra cookie , soo yummy ! 
 Aug 6 2008 	 Noise Problem 	 stay hotel Aug 3 4 . agree comments board , location great , staff friendly , room nice . however , second night party room next we . midnight , call desk , say would send security . ' m sure security ever come , quiet much later night . check , ask desk , morning staff information issue . 
 Aug 6 2008 	 quite pleasant surprise . lived review 	 town one night 6 year old 10 year old . upon arrival check smooth staff friendly . early check able check anyway . the hotel extremely crow staff handle like pro' . the room clean remodle decor trendy cool . although not swim hotel outdoor pool roof fun see . when check front desk employee meet friendly . this hotel great spot , 15 minute walk Navy Pier 5 minute walk shop Michicgan Avenue . compare hotel near Michigan Avenue hotel quite deal . 
 Jul 28 2008 	 delightful hotel great location ! 	 stay Doubletree 4 night , July 20 24th 5 3 year old child . pay roughly $ 89 night Priceline feel get great value . stay one night prior Intercontinental . would choose Doubletree Intercontinental day week ! hotel room nicely update feel fresh , clean new . bed fantastic comfortable . room ( 2 queen bed ) plenty spacious room 15th floor neat window seat pillow kid enjoy sit check street action . overall staff courteous helpful , particularly bellman . find concierge helpful - merely want hand pamphlet select restaurant seem annoyed answer question . beat location Doubletree - 2 block Mag Mile public transport . not bother rent car spend $ 40 night parking . walk 2 block hop bus taxi see whatever tourist attraction take day . shopping restaurant plentiful general area location safe . they great Einstein 's bagel main floor good , inexpensive breakfast option we well . definitely stay hotel next time visit Chicago . 
 Jul 22 2008 	 Big Improvement 	 last review hotel year back different ownership - not great . have hear refurbish travel Scotland wife two friend stay Doubletree Mag Mile three night July 2008 . room refurbish - include bathroom . big improvement - new carpet , furniture wallcovering + new sanitaryware . unfortunately , reception area still decorate stay not see end result . friendly reception porter staff new bagel shop breakfast - hot sandwich good ! sport bar bad remember - absolutely atmosphere - plenty good watering hole close hotel . a clear improvement previous visit hotel well position Magnificent Mile Navy Pier . look clean , reasonably price tourist hotel good location short stay Chicago place fit bill . 
 Jul 8 2008 	 Classy great location ! 	 great experience hotel ! beautiful granite countertop bathroom beatiful furniture bedroom . bed linen extra comfy . front desk also really nice understanding . great time ! 
 Jul 2 2008 	 Great Location - Great experience ! ! ! ! 	 husband stay Doubletree June 28 - 30 , 2008 . pay low price ( $ 75 ) pleased . hotel staff nice . past , stay Hyatt Regency via Priceline , felt treat poorly . case . receive cookie upon arrival . call early - worried arrving via Amtrak close 9pm . worry ! note reservation also , ask would like King preference . would definately stay . ' ve stay Hyatt Regency , Sheraton , Palmer House Hilton , Whitehall Courtyard Magnificient Mile - nice stay . room nice shampoo , conditioner , facial wash , etc . nice maid service . leave note ask fresh towel ( include tip work hard ) - room stunning . would definately recommend . 
 Jun 30 2008 	 Nice Hotel Close almost everything 	 stay Doubletree 6/21 6/25 conference . hotel appear complete remodeling receive warm cookie check - in , nice long trip . room bathroom nice size . bed comfortable linen / towel great . hotel staff friendly , concierge quite helpful . two drawback : refrigerator room unless want pay $ 25 rental fee stay ; get room face pool light sleeper . sirens street noise definitely carry least 14th floor . would definitely consider stay hotel future . close proximity major attraction allow explore city foot majority time . 
 Jun 25 2008 	 Excellent Room - Excellent Location 	 understand among first guest stay new Double Tree Mag Mile ( convert Chicago City Centre ) . would read mediocre review CCC decide book anyway , proximity conference Navy Pier . idea pende conversion sometimes thing work fine ! everything new ... carpeting , furniture , bed , bathroom fixture , etc . bed bed fantastic . extremely comfortable . hotel look nice : clean sharp . be probably 3.5 star & quot ; scale & quot ; . staff work hard get operational system process iron . nothing major every question respond politely , even take bit long get right information . we enjoy dinner great pub literally across street , Timothy O'Tooles . not look like ratty bar street restaurant dowstair spacious , well ventilate menu terrific . next door B / L restaurant call West Egg Cafe ... menu look good bit pricey . the free access adjoining health club awesome amenity . excellent facility include sauna steam room . indoor pool nice lap swimming cold weather . hotel also nice 5th floor outdoor pool room sun , etc . I love place location nearby restaurant ( even grocery store ) . be easy walk anywhere include conference Navy Pier . course , get warm Doubletree cookie upon check ... 
 Jun 23 2008 	 AWESOME stay ! ! ! Top Notch Hotel 	 would highly recommend hotel anyone look fun place stay visit Chicago . return two night stay Doubletree could happy experience . many positive thing say , know begin . first , location amazing ! ! ! short walk hot store Michigan Avenue . also able easily walk John Hancock building look 95th floor Signature Lounge . go free , drink , enjoy breathtaking view city . doubletree also within walking distance Navy Pier . walk first night ' stay wonderful time . also within walking distance many great restaurant , would highly recommend check Timothy ' Toole ' across street . serve late night food , cool smoke - free place go drink watch game . overall , hotel outside heart downtown Chicago within walk distance many downtown attraction landmark . hotel , absolutely beautiful . undergone complete transformation finish renovation outstanding . ' see three star hotel . would surprised see become four star , definitely rank . book hotel priceline.com great bargain . stay many four star hotel Chicago , honestly Doubletree one well hotel stay . hotel trendy modern looking . awesome pool area . room pretty nice view city overlook pool . could see top John Hancock building window . room beautiful bed five pillow could comfortable . room Wolfgang Puck coffee maker enjoy clock radio hook mp3 player . bathroom gorgeous : granite countertop , nice shower , curve shower rod , spacious . housekeep nice thorough job cleaning make bed . even leave light we get back room . besides hotel ' awesome appearance cleanliness , staff exceptional . call ahead time check late problem . addition , also ask switch room king bed room two bed , problem . Luggage Services also helpful held luggage check free charge . take train Chicago able leave luggage checkout explore town even long extra charge . nice ! overall , hotel excellent value . hide charge surprise check . definitely exceed expectation , thoroughly enjoy two night stay Doubletree Chicago . definitely go back . downside think near hospital , hear occasional siren throughout night , bother keep awake . truly top notch hotel . way , cookie give upon check delicious ! 
 Jun 12 2008 	 great location 	 Staff courteous , professional helpful . clean room pool area . great location close lake , shop block EL . 
 Jun 7 2008 	 clean good location excellent service top health club amenetie 	 hotel put finish touch remodel , 's fresh paint place two be work . not problem noise , really place even notice be finish thing . decor update everything new . mean , though , be quite doubletree yet , be true , not cookie yet , could not get stay registered point . lack free wi - fi downside stay here . its quick walk Michigan Ave , close grocery store couple really nice place breakfast coffee , beyond bagel shop attach hotel . great location . time not bring car , instead fly rent zip car , zip car locate near hotel , . point location ! room nicely lay , plenty seating , good relax room . decor update contemporary , bathroom well - light attractive granite countertop . great shower lot fluffy towel . mention great service . blanket blanket , tell housekeeping prefer something , fast friendly remake bed fresh bedding . housekeeper even come check later ask remade bedding look alright . there be great health club , exercise machine terrific pool attach hotel , decent service center use internet would rather pay $ 10 internet access room . also get free wi - fi city , include contemporary museum art , 10 minute walk away . book stay online decent discount , get stay reasonable price , location , cleanliness , update contemporary style , nice health club amenity , really excellent service make good all - round hotel visit Chicago . 
 May 28 2008 	 well appoint good location disappointing noise service 	 hotel well locate two block east Michigan Ave / Magnificent Mile , short distance Navy Pier . property recently undergo $ 25 million renovation convert Holiday Inn Select Doubletree effective June 3 , 2008 , operate name Chicago City Centre Hotel & amp ; Sports Club , advertise upcoming name change . the building basic 1980 dark brick glass design , open bland lobby . redecorate lobby do cool color bright modern tone , however vast space energy efficient lighting limit real character 1980 concrete architecture . the guest room hallway new carpet , wallpaper , lighting paint , urban , modern feel . room fit nice Doubletree / Hilton trademark bed surprisingly lack modern hdtv , in - room safe , min - bar ( however cabinet exist one ) . bathroom adequate , however tub quite shallow guest operate vent fan . separate switch operate baseboard heater bathroom , either adjustable . HVAC equipment room modern adjustable thermostat equipment look bit date , however efficient cooling room . undergone renovation , vanity bathroom dresser guest room number scratch evident . housekeeping efficient quick , inconsistent restocking toiletry . notice housekeeping cart lack rack clean glassware , make wonder exactly glassware room clean . vend machine floor completely sell one floor . report housekeeping manager Friday , machine still unstocked Monday afternoon depart . the real disappointment amount street noise could heard room service front desk . top floor ( 26 ) could plainly loudly hear car motorcycle throttle engine , well constant emergency vehicle siren day night . help Northwestern Memorial Medical Center ' Emergency Room right around corner hotel . upon checkout , ask front desk clerk enjoy stay , comment noise quip " must sensitive ear . " clearly right response employee . desk clerk least acknowledge disappointment offer pass along complaint manager . call front desk twice wait hold three minute request later check due late flight . give downtown Chicago competitive hotel market , would recommend property other return another stay . 
 Nov 19 2009 	 Mil veze magnifíco 
 Oct 2 2008 	 Excellente surprise 
