hotel 	 arrive hotel noon room not ready yet ( early ! ) decide first go check surrounding . come back evening ( already dark outside ) enter room could say ' wow ' ! high Floor Corner King balcony really call ' room view ' . view amazing ! night also day . the rest hotel room nice : 2 lounge chaire , tempur pedric matrass , shower great , ... unforgettable experience ! 
 mixed bag 	 Positives : love neighborhood , cool design , sweet staff ( move we nice room without ask ) , comfortable relatively clean . negative : NOISY ( Friday night , 5th floor street side , outside reveler 4 am sound like window open ... manage ignore partner sleepless night ) ; also , tempur - pedic mattresse everyone , steam shower ( interesting feature ) smell bit moldy due lack ventilation . bottom line : would stay high floor rack rate . 
 edgy exciting 	 great place stay want see real NYC . love edgy Lower East Side daily walk hotel conference venue Greenwich Village take Little Italy , Chinatown really interesting old tenement area . , single female , feel intimidate danger - even walk back late night ... sooo many people around really friendly . hotel different staff - particularly doormen - helpful friendly . room contemporary well - equip . thing miss extremely well stock minibar earplug ... city never sleep district partying prepare noisy , thoroughly exciting stay ! 
 Oct 17 2008 	 cheap decor awful service 	 one bad hotel ever stay . small room cheapo furnishing chic minimalist decor . room desk workspace type whatsoever , need work , luck . tv 22 & quot ; rather 42 & quot ; like every hotel . elevator bounce shimmy . concrete wall metal door give hotel dormitory feel . service front desk awful . shorten reserve stay three night leave one night hotel could provide room desk table . apology offer . instead , tell pay attention room description book table desk something expect hotel room . ask late checkout 2 pm somewhere stay could check room another hotel , tell room back 1 pm . front desk staff seem understand level service expect guest accustomed stay luxury hotel . avoid stay hotel . 
 Oct 4 2008 	 giddying 	 riv giddyingly comfortable awesome expensive . we , delightful Friday night splurge . early October beautiful NYC enjoy New Yorker Festival Open House New York Weekend ( OHNY ) . upgrade we corner suite 10th floor , perhaps ask & quot ; something quiet & quot ; seem impossible given thunder retro mix blast THOR , directly check . eat dinner , food exquisite ( flight ceviche gnocchi esp ) , shout top lung across table hear . room , figure open curtain ( electric switch next bed look like light switch ) oohs ahs night view city , include blue - light Empire State Building rivulet 20 something line night club 10 floor . favorite memory wake hour interval start early morning various form weather , include dense yellow - gray blanket sky clear front line , bright blue firmament stud tiny puff white , light rain . one bone pick luxury hotel replete mini ( let say maxi ) bar room , would nice we desirous innocent libation late night cup tea coffee upon wake , coffee / tea bar cream sugar available . 
 Sep 28 2008 	 mixed feeling . hip lot street noise night . 	 agree poster Bordeaux noise . 8th floor even , street noise brutal till 4 am club noise cab honk horn . appreciate NYC major city stay appreciate noise new'ish hotel would think would address problem ( ie double glazing ? ) time construction . my room smell musty - someone smoke cleaning staff really try get rid smell , not succeed . having say definitely vibe , 20 min walk Soho . all - mix feeling . would go back ? - New York 's big place plenty alternative . would recommend friend stay ? . 
 Sep 2 2008 	 noisy room disapointe district 	 noisy room ( hortel club close 4 am ! ) district sure night , lot see , Soho near ! room big , viewshower bath ( king room ! ) staff levelreally disappointing experience 
 Aug 25 2008 	 4th July firework 	 choose stay view 4th July firework display . many room unobstructe view firework . room nice , hotel locate hip neighborhood . room service also tasty . 
 Aug 15 2008 	 Great Hotel 	 thoroughly enjoy stay Hotel Rivington . know reviewer comment noise / disturbance we big plus point high floor room real oasis calm frenetic street New York . dimly light corridor lift chill minute arrive back hotel . yes , always hear buzz traffic huge tub , comfy bed luxurious carpet make relaxing stay . in term service area could definitely improve . small query curtain room deal fairly disorganised fashion . breakfast service bit hit miss . waiter great staff take room number not welcome really ball . bellman housekeeper far friendliest helpful member staff . the Lower East Side really interesting place visit moment ; get real sense area period transition . recommend pop teany , also Rivington Street . go big hangover swiftly cure ice white tea , macaroni cheese , lovely waitress Velvet Underground . subway literally round corner elsewhere Manhattan matter minute . would definitely recommend hotel . 
 Aug 15 2008 	 Superb ! 	 book hotel wedding night not disappointed . due mix booking upgrade Owners Suite say soooooooo good ! new husband run around enormous suite like excited litte child ! view 17th floor good , mention booking want high 's worth ' feature room ' , bath tub perfect ! staff friendly , food restaurant good Friday night party - night great people watch ! , cool hotel happy recommend ! 
 Aug 12 2008 	 mix feeling 	 really look forward go hotel . book surprise boyfriend . book directly hotel website ask could give room high floor possible . on day arrival happy hear reserve room top floor ! view everything really stunning ! ! problem begin ... photographer - guy book penthouse work big party . party actually room ... really loud disturbing . boyfriend go guy ask could turn music little ... nothing happen course . reception staff not really help we either . tell we would something never . 2 hour go reception ask could give we another room really not want & quot ; party & quot ; people . REALLY loud , never experience something like . do not ' really understand would let people stay room huge party go penthouse . simply ridiculous wall thin think be penthouse , .... anyways . end us & quot ; downgraded & quot ; room 9th floor really worth money ! ! ! apart noise view . make really sure will top floor room want stay hotel ! ! next morning complain hotel manager give we discount . still go hotel anymore . 
 Aug 4 2008 	 great new york hotel 	 Rivington fantastic hotel choice . favour , make sure book room 10th floor . reason hotel cool , amazing view floor ceiling window , will not get view low floor . design furnishing chic ... comfy bed , amazing glass shower . quibble , none sport channel work hotel . problem , thing happen ... speak front desk , tell not get ESPN , suggest go sport bar street watch game . exactly customer service would expect ... simple apology assurance hotel working problem would ' ve leave well impression . overall , great hotel , close trendy bar shop , overrun tourist . 
 Aug 1 2008 	 stunning Views fab Honeymoon 	 stay 4 night honeymoon . book suite check upgrade unique king suite 19th floor ! view stunning day night . staff hotel friendly could not enough . disappointing thing bathroom internal window . the one complaint 19th floor , one penthouse rent party . one night return early due illness subject loud music ! ! complain front desk next morning give we 50 % discount room rate night could live ! , fantastic hotel , staff , room everything . 
 Jul 31 2008 	 trendy hotel 	 ask friend live NY book we great hotel weekend stay . choose Hotel Rivington captivate picture see online . book queen room 4th floor . stay hotel New York twice extremely surprised size hotel room . large comparison hotel New York ( not suite ) . bathroom stunning - huge shower cubicle also steam room . good buffet breakfast downstairs restaurant ( would nice something coffee available without ask staff ) .The negative thing would say 4th floor , front building , quite noisy night . nightclub downstairs 2 opposite could hear go bed . not loud enough wake , first night wonder would able fall asleep not . but would say overall great hotel . 
 Jul 30 2008 	 Great Rooms - Great Service 	 stay Hotel Rivington weekend end June . arrive early tell room not ready yet call back . call hour standard check time tell room still not ready . arrive hotel check time room still not ready . half hour later , give room . thing consider lucky rest family need room ( wedding ) wait hour later room suppose complete . think 's ask ask ask . staff friendly , competent . once give room - corner king 19th floor , awesome . think pretty large consider NYC standard . bed totally comfortable , bathroom clean view incredible . even though make room , housekeeping come finish restock mini bar . seem hotel management need hire staff become efficient . on Saturday night , hotel really pack bar - goer . could see would loud low floor , hear nothing 19th . issue walk velvet rope enter hotel - little uncomfortable long day wedding activity . overall , be look trendy hotel hip furnishing , ' ve find place . not expect get room time . be ok relaxed , will enjoy place . 
 Jul 19 2008 	 amazingly trendy - worth every penny 	 situate heart newly gentrifie low east side ( one favourite part NYC ) Hotel Rivington fabulous hotel young young heart . location play massive role love stay . ultra funky exclusive boutique within arm reach hotel make perfect base . also surround ' real New York ' - Delancey St around corner offer taste always exciting . we stay room 412 - upper floor king suite Japanese soak tub balcony . spectacular - must stay room view . tub offer full emersion view LES Williamsburg bridge . room spacious floor ceiling window , sit area couch/ coffee table , massive king bed high thread count linen plasma . mini - bar not overprice like hotel big fridge easy buy drink one local deli 's stock sun downer drink balcony - beautiful ! air - con lighting bathroom fab . blind successfully block light allow deep sleep operate press button . house - keep great room service menu extremely reasonable delicious . complimentary conti breakfast great - selection pastry / bagel / croissant / cereal / fruit coffee avail 7 - 11am 3 choice newspaper gorgeous bar area - sit window overlooking bustle Rivington St morning sun next rockstar celebs agent - trendy hotel ( really kid , area ) . impressed folder hotel provide list local shop / bar / restaurant worth check - try fabulous - really can not explore enough around part town . uber trendy East village , Soho , Nolita within 10mins walk head towards river easily walk chine town Southport walk across Brooklyn Bridge thrive Brooklyn - highly recommend . also plenty bus subway connection close . cab easy come not cost much move around . Sundays Rivington Hotel host party penthouse everyone welcome go - definitely worth check even check view across city jacuzzi ! really really impressed hotel ( not notice ) recommend friend family visit New York definitely stay return low east side continue get well . move midtown stay even though nice close Central Park , 5th Ave tourist attraction , find want go check downtown time time - much vibrant , young interesting - love ! 
 Jul 16 2008 	 find ! 	 wow ! big ' thank ' mr . Rob DelliBovi , director sale hotel , rest staff . hotel fantastic , design point view . room locate 15th floor : wonderful suite incredible view empire state building , chrysler build many famous skyscreaper . take shower experience ( try understand ! ) . lively area scatter nice small restaurants.we back sure ... 
 Jul 14 2008 	 overrate 	 stay location lower east , sleek architecture build cool vibe area . unfortunatelly 5 year opening , decor fall maintenance , stain carpet scratch furniture make place decline appeal expexted.the staff amateur desintereste . the value money poor . 
 Jun 27 2008 	 Great Architecture Operation expect 	 ever since see image one high Floor King corner room magazine want stay hotel - 's design . the voyeuristic facade entirely transparent include bathroom shower facade wall , fritt glass - though room drape . room want leave drape open , obvious look outside see occasional human silhouette towel robe many hotel guest feel way . the location interesting , build great , room great , money object . disappoint operation hotel though . price architecture staff make feel welcome like special place - feeling stop physical environment - feel like trendy bar beg let - hotel . dare say would like hotel well staff , check machine - hotel great ( perhaps elevator ! ) - something atmosphere create staff negative impact - neutral indifferent - like trendy club . rude , attentive would expect property like one . upon check & quot ; non smoking & quot ; room reek smoke bar night . tell bellman say would deodorize , leave come back room . horrible cigarette smell . call desk say need different room , insist could air . say horrible smell could check another hotel , say would call we back . they call back find we room two floor 10 ( request high King Soaking Tub floor 9 - 20 specifically ask high floor ) . ask see new room first . great air quality take it . we enjoy rest stay - watch fantastic thunderstorm move around glass facade , enjoy deep soak tub , view , local restaurant bar . actually one staff person think great - housekeeper . aim please ; bring we treat turn service . rest staff could learn something .... continental breakfast drab , service also indifferent - thing empty , thing cold , staff could care less , care , try hard make seem like not - perhaps recover late night evening ... know . I would go back , would go back expect anything hotel staff - would actually pay money well room higher ... experience $ 475 ( plus tax ) might well spend $ 675 get something top ... would recommend hotel people Europe see tremendous value currency rate . would say great service - want would stay . cool place hang sleep , feel like full service hotel ( though restaurant , bar , room service etc . ) , not conveniently locate traditional New York attraction . however hip + cool … 
 Jun 10 2008 	 Summer Weekend NYC 	 Hotel provide stunning view city 15th floor corner room . balcony also able look directly hotels restaurant , THOR , later enjoy remarkable Hanger Steak . dinner , logical move lobby bar full midnight . hotel 's staff helpful stay help make enjoyable one plan soon . 
 Jun 10 2008 	 great stay love LES ! 	 stay 6 day first week June really enjoy it . we book high floor corner king balcony get really clean , spacious room 17th floor . balcony room fab view , even night , bridge towards finacial district . shower powerful , bath product nice robe excellent . bathroom slightly shabby scuff around edge keep brilliantly clean . the ( huge ) bed wonderful curtain keep room nicely dark morning . Turndown service little snack nice too . front desk staff bite aloof friendliest although door staff fab lot help . Adam , concierge , arrange limo airport transfer arrival reasonably price prompt . transfer back Newark ( pricate cab ) arrange we hotel fine ( $ 60 ) .sunday night summer , penthouse party hold 1pm - sunset room , really enjoy , amazing view . we eat buffet breakfast twice perfectly acceptable , although special . need eat really though , many excellent place around . really love LES area , two subway stop within block two fab nightlife spot boutique shopping within walk distance around . economy Candy right across street Katz 's deli round corner . the reason may stay many hotel NYC would love try ! really not think location beat though , be excellent . 
 Jun 8 2008 	 great Lower East Side Hotel 	 spend four night Hotel Rivington happy hotel . a major selling point location . although Lower East Side go surge development still retain feel old New York , local still live , work , go neighborhood . hotel walk distance toSoHo East Village , 3 area make great exploration . be ready Times Square , Fifth Avenue , traditional museum F train , station one block away , get easily . stay experience real New York rather tourist version . the hotel many room type , High Floor Corner King . arrive early tell room available , process info room 18th floor open , get around noon . two exterior wall entirely floor - to - ceiling window provide excellent view lot natural light make room feel spacious . be definitely worth splurge high floor view . heavy curtain block morning sun , room pitch black . window close outside noise minimal . like minimalist , white decor , bed 2 sit chair comfortable . room type exterior - face shower , could look across city showering ( course , people could look , strategic shading glass tall building next door ) . bathroom clothe yellow tile , sharp contrast bedroom . room show wear , occasional scruffed paint tile , keep clean . I enjoy free wi - fi room even able listen hotel 's iTunes library computer . mini - bar also well stocked . downside room desk , lack dresser big oversight . shelf store folded clothe top closet , although space hang clothe ample . main reason give hotel 4 , rather 5 , star . service excellent throughout . not interact much staff , always friendly , problem get past velvet rope hotel 's entrance night . request iron ironing board swiftly answer , request daily New York Times honor ( even Sunday 's paper , $ 5 many hotel skip ) .The ground floor spacious , comfortable lounge / restaurant become quite busy loud night mellow day . reception 2nd floor , several large , clean bathroom freshening - up be leave city late check - out . & quot ; gym & quot ; small , dark room 3 aerobic machine weight machine . go run instead across Williamsburg Bridge , block away . full - service gym around corner Ludlow street , Delancy , not know sell day pass . 
 Jun 6 2008 	 spacious room great neighbourhood friendly staff 	 2 week long stay Rivington happy hotel choice . PROS : low category room 8th floor , however still spacious , good closet space bathroom tub . comfy bed , good pillow . despite cool vibe , staff genuinely friendly go way help . everyone doorman , receptionist housekeeper get know within couple day make feel welcome.the 8th low floor , hear much noise street shut curtain , room cocoon . lot choice mini bar , ok price . grocery store right next door well . really good room service , price good , portion huge generally deliver within 15 minute placing order . great shower head , really miss back home . great neighbourhood , check falai , falai panneteria , inoteca , clinton bake co , sugar sweet sunshine , teany , stanton social , tre , frankie pizzaria - within walking distance . subway ( F ) train half block away . con : shower smelly curtain . modern bathroom , choose different option close shower.no electrical outlet near desk , light switch design confusing.elevator really slow . in , surisingly homey intimate , despite cool boutique vibe . oh - quikbook.com good deal hotel 
 May 29 2008 	 Fantastic Hotel 	 hotel fantastic . 's great boho location low east side - brilliant shopping eating & amp ; drinking - avoid tacky tourist areasI contact hotel directly Rob DelliBovi really helpful booking ( organise great deal ) , advise location . on arrival , staff really polite helpful , room excellent v comfy tempur mattresse bed , smash toiletry great late night snack turn service ! ! ! . know reviewer say perturb unfrosted shower windows & amp ; appreciate may problem stay 10th & amp ; overlook . however , room 18th floor & amp ; experience problem , enjoy unobstructed panoramic view take old regenerate tenement , brooklyn bridge , river & amp ; downtown ny.the bar really funky music weekend . DJ 's selection tune questionable time , atmosphere great & amp ; people watch value well worth late night drink . our gripe lift really slow & amp ; get stick several time . attribute fact not staff service lift - something could rectified future ? overall would say Hotel Rivington wonderfully grow decadent stay , perfect area favourite city world . I will definitely back ! 
 May 23 2008 	 Club Hotel ? ' m sure ... 	 firstly , room great - amazing bed , view soak tub . location wise , be perfect . whole experience taint staff , whole clueless little snooty . really make we feel , well , pretty average ... thankful there . the annoying thing place turn nightmare ' bridge & amp ; tunnel ' type club evening . wade crowd overdress twit several meat - head bouncer get lift . think notion cool leave place back . shame , paper place look amazing . 
 May 14 2008 	 hotel Grand 	 Fantastic hotel , great group like stay late . two thing aware ... elevator slow . get late checkout , terminate key card 12 noon ... run around get back room . ... party . 
 may 11 2008 	 low east side great 	 arrive early nice front desk secure room five minute ... porter head housekeeping introduce also nice ... corner king soaker nice spacious ample storage ... bathroom make black glass tile ... separate shower ( one nozzle ) sink good countertop size giant japanese soaker ... take hour fill ... two we could float side side ... bed Swedish tempur mattress ... footstool make green poodle hair ? sit area balcony view downtown ... floor ceiling window give great view downtown soho ... service well expect design hotel equal hotel ever stay ... food THOR good ... hotel start throb around 10 pm us line get hotel ... never inconvenience hotel 's popularity ... location good explore nolita , Chinatown , SOHO , downtown ... choose low east side location could go see murakawi Brooklyn location close three bridge ... would definitely stay hotel neighborhood .. , 
 Apr 1 2008 	 Perfect New York Experience 	 hotel one highlight 3 week trip US . stay W Hotel Times Square 5 night & quot ; touristy & quot ; intro New York , place really make we feel like New York ( rather another big city ) . literally spend week around walk vicinity place . shop nearby Soho . eat funky restaurant like WD-50 , Katz 's Deli ... room . go Suite , awesome . designer furniture bright white wall ( freshly re - paint ) . excellent toiletry , two flat screen , automatic curtain reveal corner room pretty much glass way round ( one side stare right empire state building , towards low manhattan business district ) .As another highlight stay , way lift room ground floor , none lindsay lohan enter lift . its certainly Hyatt / Hilton / Sofitel hotel experience surrounding , use might find bit & quot ; different & quot ; edgey ( will keep awake horn honk happy party people & quot ; glass & quot ; exterior bedroom example saturday night ) , that s part appeal place . do not bother spend exorbitant price brand name experience New York everywhere . come get real deal ... one thing would definately recommend though experience could different not one room high floor . traveller tip , would definately fork little bit extra ensure ' m 8th/9th floor surround building . 
 Mar 26 2008 	 excellent modern hotel great view 	 Excellent hotel right one New York 's great nightlife neighborhood . room clean , modern feel , remove urban backdrop many floor ciele window . full service hotel amenity would expect , include lounge popular night . view room 17th floor breathtaking , be not really tall building immediate area . great wake morning view first sight . interesting , clean bathroom elegant minimalistic touch . extremely comfortable mattress . would highly recommend hotel anyone visit NYC . 
 Mar 4 2008 	 new favorite hotel 	 get back 3 day stay Hotel Rivington fantastic ! hotel hip still comfortable . do not try hard cool , service excellent , floor ceiling window room awesome . good part hotel sale director Rob o'dellibovi ( think may Irish ) helpful , make everyone feel like vip . ( plus amazing grasp contemporary urban music ... ask Skee - Lo ) . , unforgettable stay Hotel Rivington . definitely recommend everyone know travel New York . 
 Feb 20 2008 	 great location 	 back 5 night stay Hotel Rivington would thoroughly recommend . we agreat location load bar , restaurant & amp ; boutique shop . Soho , East Village , Greenwich Village , Chinatown , Little Italy within easy walk distance . room good size ( great New York ) big comfy bed , well stocked mini bar adequate storage space . bathroom also good size great shower quality toiletry . room clean quickly nice touch turn service . the bar get busy noisy weekend late , loud music would make room directly level 3 - 5 noisy . level 6 back hotel could still faintly hear noise , was'nt much problem . plus bar staff think cool good , bit rude . exceptional . whole everyone polite helpful . would certainly recommend hotel people look something bit individual great location away madness Midtown / Times Square . 
 Feb 20 2008 	 love hotel 	 great hotel great neighbourhood , full funky bar , shop place eat , include cool boutique downstairs , annie o.we book hotel quikbook , ( give good rate could find without pay upfront ) NY honeymoon . arrival room upgrade , extra charge . fantastic room 11th floor , walk show huge bed . room spacious downtown view , great , fabulous uptown . guest receive discount annie happy hour half price cocktail bar every day . staff helpful , polite knowledgeable area , also close chinatown , soho east west village . woudl definitely recommend hotel stay . 
 Jan 28 2008 	 love 	 great hotel great location . one area manhattan still bit 's original character . great record shop , little clothe shop , bar restaurant , full character great food sit next puerto rican nail bar barber shop etc . corner room 16th floor amazing view . service frindly efficient . do not spend much time bar downstairs would many other around check ? soho 10 minute stroll williamsburg 10 dollar cab ride . recommend . 
 Jan 18 2008 	 disappointing second time round ... 	 stay Hotel Rivington first time Dec ' 06 , find online . blow away amazing view room , service atmosphere . , hesitation booking next time come NYC , Dec 07 . difference year make ! book standard room request room view - arrive evening , open curtain room confront brick wall ! nice . request transfer , move next day , room almost $ 200 night , decent view . the hotel weather well time be open really need little TLC . flake paint bathroom chip tile -the tv almost fall 's stand - 's little detail make difference , especially be pay nose ! air con thunderous , London live tube line even quieter ! staff charming time , housekeep little sloppy room never make pre-4pm . room service ' ok ' nothing spectacular ( be well wander around corner starbuck get morning coffee ! ) . weekend club downstair heaving , doorstaff polite let we hotel without much hassle . all , like hotel , bill almost £ 1500 4 mediocre night accommodation , really need make worth . 
 Jan 17 2008 	 great night Hotel Rivington 	 stay Hotel Rivington one night , business colleague . the hotel Lower East Side New York , neighborhood not , really like . nice intimate , cool bar / club / restaurant / shop . the hotel boutiquey , pretty small , trendy wallpaper communal area . I find staff friendly , efficient knowledgeable ( especially doorman ) , problem . my room pretty large , basic expect , include nice shower room , plus small balcony . colleague 's room different - one small great view 16th floor ; another hot tub , another steam room ! problem bar serve Hendrick 's tonic lime , really serve cucumber . will learn ! 
 Dec 30 2007 	 extremely good hotel 	 stay hotel Christmas 2007 , first decide eat restaurant , check website room photo , change hotel booking match . we upgrade arrival high floor king soak tub ( room 142 ) pleasantly surprised get : - large room ( New York ) sofa , large wardrobe , extremely large bed , floor - to - ceiling window , large bathroom shower look onto New York itself . Breakfast Wifi include price . the room well explain - ring find switch electric curtain - otherwise impeccable . Tempur - pedic bed joy sleep . room also quiet day night . build large apartment block nearby , hear nothing . the area bit rundown , less 5 min away Delancy - Essex Street metro stop , F train take Midtown quickly . all excellent hotel , would stay pleasure ! 
 Dec 23 2007 	 extremely disappointed 	 review several month late every time read glow review Hotel Rivington wonder stay * different * Hotel Rivington . week week research NYC hotel big birthday finally decide Rivington , due part sleek furnishing , interesting bathroom , floor ceiling window view Manhattan go forever . sister make reservation , explain would birthday , would like high floor ( know course be always guarantee ) since arrive Monday not problem , tell . upon arrival meet terrific bellman , escort too - cool - for - school much dark small reception area . give room fourth floor . ask something high floor tell hotel completely full nothing available , wish half - hearted happy birthday ( day ) . reception try talk fact room give expansive patio area want throw big party . can not tell disappointed get room . yes , patio area expansive , fact big whole suite , since early April , still cold rain heavily night last thing want invite people expansive patio sit wet puddle furniture . also , know anything Rivington will know many bathroom floor ceiling window shower . problem be high floor though be 4th floor problem . hotel offer privacy panel be feel whole exhibitionist thing . ask soon get room . maintenance arrive slap half - the - window size sticky panel . barely trick . barely . still feel though shower bathroom light . thing notice horrible television reception , in - room safe small laptop surprising lack electrical outlet throughout suite . surprising hotel build finish 2004 - well advent technological age . order use laptop unplug room phone power source . order charge cellphone use laptop locate electrical outlet closet room safe . room look need good deep cleaning . look tired wear - 3 year . scuff mark back room 's door , scuff mark dust bunnies corner slate floor , strange brown something not even want know curtain bedroom huge crack bedroom window . thing bring hotel 's attention without mention correct . apology . return lovely birthday dinner evening decide switch hotel . can not tell smart move . able get last minute rate new - at - the - time London NYC Midtown . absolutely fantastic . wish would London NYC locate LES.So sum , Hotel Rivington worth $ 600 per night tariff ? even close . would stay ? could get room half price high floor . 
 Nov 16 2007 	 Exceptional 	 return good hotel NY ! room 10th floor tub , spacious ( typical ny ) tidy extremely clean . staff amazing gentleman James steal show . book 4 amazing restaurant two great show ( even though Broadway strike ) love Thor well ( house restaurant ) definitely try stay hotel , overall two thumb WAY ! 
 Nov 9 2007 	 CRY river ! ! ! 	 husband excite finally weekend alone . book Hotel Rivington hear positive feedback friend . look forward hip , fun , trendy experience low east side . we arrive hotel 5 pm find room not ready . ( weretold phone check time begin 2p ) dinner reservation 7 drive two hour ( traffic ) want shower relax leave . ask room would ready desk clerk say & quot ; ' m sure- could long hour so . & quot ; walk away . decide drink wait . order two signature drink take nearly 20 minute arrive ! finally get drink , husband notice fly drink ! tell theserver offer apology , say would bring fresh drink right away . come back 10 minute later new drink bill . not ask bill shock charge drink ! finally check 6 pm little time prepare dinner . room leave much desired- stain sheet use cottonball bathroom floor . staff not able secure we reservation restaurant choice go recommendation . suggest Gemma Bowery Hotel- love ! fall love Hotel next time stay NYC be stay Bowery ! leave note management desk check , still not recieve response . 
 Nov 5 2007 	 Love Love Love ! ! 	 visit Hotel Rivington 3 night stay kick Honeymoon little dubious book due hot review . say anyone visit Hotel BEST time . put 15th Floor corner unit floor ceiling window view spectacular , especially night time city light ( fab thunderstorm stay watch room amazing ) . service second none maid call twice day , Reception could helpful , ren bathroom product restock day , great breakfast . location excellent , 5 min walk SoHo etc lot bar restaruant area . hotel also bar club cool , doormen nice & amp ; not look nobody cause famous ( unlike LA ! ) one word advice though , Hotel situate Lower East Side come area may look little scruffy , must stress ! ! notice big name hip hotel open area prove area ! 
 Oct 31 2007 	 wonderful hotel 	 nice hotel locate area not know well . the staff excellent , get extra bed 10yo daughter free charge . check bar 's furniture . excellent breakfast lovely dining area become dinner place hotel guest non- evening . the room not big excellently appoint madrass sooo confortable . shower good too . come first time New York want discover new side Big Apple . near Subway Harry Met Sally 's famour jewish restaurant . we strongly recommend hotel future stay . 
 Oct 27 2007 	 great view 	 surprised girlfriend take pop question location do not dissapoint . although outside neighbourhood probably do not look much room great ( 16th floor ) view balcony fantastic . spacious room , awesome bath shower right next window be not frost ? ! v comfy bed . do not normally go see expensive hotel one do not dissapoint . great little wine bar opposite leave although food portion be not huge v tasty , great place people watch well . also quirky sweet shop next door worth visit even do not sweet tooth . 
 Oct 23 2007 	 like fun neighbourhood 	 make nice change ( excellent ) hotel ususally stay new york . enjoyed go hipst neighbourhood comparatively cheap food . like good view huge window room find food THOR good . even enjoy silly & quot ; MTV cool & quot ; bar dweller weekend evening . would stay fact much superlative competition ny . 
 Oct 21 2007 	 love funky low east side hotel 	 rivington interesting place stay offer comfy amenity without completely lose low east side edge.front desk staff helpful housekeeping room service great.the architecture interesting , somehow integrate modern addition ( load natural light ) fluid manner exist buidling.we get upgrade one nice wetroom , bathroom / sauna combo fantastic.breakfast great bar fun drink people watching.great location like low east side , number dive bar solid restaurant within walking distance . 
 Oct 15 2007 	 great little boutique hotel 	 use live NYC sometimes stay social plan not want drive home late . the high floor king room small , typical NYC . bed extremely comfortable . reserve rollaway cot teen son we , bed also fine . room clean . spare modern furnishing simple paint job tend show wear tear , everything clean . nice view , room quiet despite raucous nightlife take place we . valet parking easy use convenient . complementary breakfast simple , easy get , quite good . ( bagel cream cheese , coffee , danish fruit ) one complaint lighting bathroom . modern decor sexy , black room lousy lighting . could not see well enought put make annoying . need part towna gain would go back , stay hotel comparable less money . 
 Oct 8 2007 	 Fabulous Time Hotel Rivington 	 stay hotel Aug 30 - Sept 1 2007 . visit friend New York week , birthday Friday think would stay somewhere special . read article hotel think floor ceiling window would great , hear lot good thing Lower East Side . when get hotel show we room , turn basic king room book high level corner king balcony website . go back reception show print reservation . say error update website book high level balcony price basic king . not impressed , really disappoint basic king , go kick real fuss say nothing could . turn look room originally want , not available , put we suite extra charge ! not balcony disappointing , room amazing 12th floor . apparently $ 700 / night room . quite large wall closet , sit area two couch , bathroom massive shower two shower one view , bedroom area corner window . obvious gutted give we room $ 350 , mistake put right fuss . the shower well ' ve ever , bed well ever sleep . view great north , east side not great still cool . not notice room shabby . room service prettty good , get apple cookie leave bed , though call something pick drycleane take pick , around anyways not matter . staff friendly helpful . thing mention reservation birthday anything special , hotel would give bottle champagne , get nada . probably think do enough give we suite ! ! also friend back suite dinner champagne happy bring extra champagne glass take bit time . we dinner THOR birthday food really good restaurant look great . thing could say little empty 10 - 10:30pm . bar really nice good cocktail , though bit pain trying sit late Friday night , apparently would rather leave couch empty case someone want buy bottle booze come along , say find eat take we friend arrive straight couch sadly make we feel bit special ..... say stay hotel not mean much , say eat . lively cool Friday night line get outside . the Lower East Side fantastic area New York . really lively lot nice bar restaurant . I would really recommend hotel , would definitely recommend pay extra high level well room , otherwise point . basic king first see disappointing price thought . pretty basic lot window dark unspecial bathroom . pay extra get well room . we will definitely go back sadly go high corner king instead suite , ' m sure great . 
 Oct 1 2007 	 great city view 	 GREAT : - city view- styling room bath ( decent modern furniture color ) POOR : - two simple request friendly acknowledge reception , however none promise action happened complain again- poor equipment bath product weird contrast superb design bath price level hotelOVERALL : cool short stay , however service level not justify high price 
 Sep 30 2007 	 cool 	 stay Tue 9/25- Thur 9/27 good . I opt cause since can not afford Abby Road , take Moby Road musical get away ( use hotel album art Hotel CD ) . : ) worker desk doorman THOR pleasent helpfull . like locactione alot . close alot different eatery nearby . Vegan ( TeaNY ) deli ( Katz Harry Met Sally ) . good range taste . the room pretty good size , small fear NY room would be . the bad thing could think little thing like nick drywall , small tear blanket ice machine floor ( maybe ' m use non chain hotel ) .and agree will probably want go high afford . get 4th floor room face north . would great apt across side . not mind much . it be alive area night . not loud bad durring midweek , might get loud durring weekend ? overall great time enjoy stay . hopefully next year afford another return maybe Mets win game . : ) 
 Sep 21 2007 	 Hip Hotel 	 family stay Hotel Rivington one night . little hard find hotel since hotel sign outside building . hotel stick since tall building around area . vallet park simple easy . doorman bring we hotel show we elevator take second floor check . first floor bar restaraunt , busy night . bar open onto street nice breeze nice people watch enjoy drink . room ready upon arrival . nice lounge near reservation desk look towards busy street . room 9th floor . head hallway dark room number light . room nice . huge window sort open . pretty good view . could see Empire State Building . couch desk portable phone . bathroom somewhat small dark . flatscreen tv plenty closet space . bed turn we also get apple . neighboorhood different use . many club / bar street lot young people around . clean neighboorhood lot shop around area . doorman outside hotel well . helpful get taxi tell we local area . employee nice go way help we . would go back hotel aware good location city hotel make ! 
