excellent 	 pleasant find ! room bathroom c - l - e - a - n . mattress new comfortable . include breakfast good , convenient unlimited . front desk staff great ! discount parking garage directly across street . block away Times Square ! can not beat . 
 Excellent Hotel ! 	 husband stay hotel parade last week . location great , staff friendly , room clean . yes , room small , want stay room time be New York City ? ! would highly recommend hotel . free internet access , free breakfast , can not find well bargain midtown . book hotel phone receive low rate online rate , receive another 10 % check ! stay ! ( sure bagel breakfast ... good ! ) 
 GREAT ! 	 hotel much well expect ! clean , quiet ( be rare ny , especially Times Sq ) , friendly staff , comfortable bed . definitely back cute little hotel . thank great weekend NY , Comfort Inn ! 
 great location price 	 situate half block Times Square place gem . well price area upon arrival inform would another 10 % reduction . room good size king size bed comfortable . Breakfast include consist toast , bagel , muffin , danish , cereal , yoghurt fruit drink . always plentiful supply staff member ensure everything clean . issue hotel concierge however staff helpful . 
 Oct 12 2008 	 Location Location Location 	 stay Hotel 10/10/08 - 10/11/08 . find last minute ( night get away ) . go NYC see show daughter 's 16th birthday ( 4 female , 2 adult , 2 child trip ) turn hop , skip jump away hotel . feel safe location . pleasantly pleased stay . newly renovate hotel , walk room clean ! ! ! like brand new . thing would complain , not offer conditioner shampoo , lotion . bed comfortable . staff friendly close everything ! also continental breakfast offer ( area little small room , get quick eat head great ) . parking garage across street charge $ 23 validation hotel . car care , problem nervous . also nervous lot hotel review check online , meet need 100 % . really , much time spend room anyhow ? recommend hotel everyone ! definitely stay next overnight / vacation city . need nervous , definitely hotel stay price , could not beat . also stress , LOCATION , LOCATION , LOCATION , awesome close everything . would include picture camera not work well . need hesitate booking reservation . also , luggage room could keep bag extend stay past check time . 
 Oct 8 2008 	 great spot ... highly recommend ..... 	 arrive appx . 5:30pm cab . greet doorman bring bag street . EZ friendly check bellman escort we baggage upstairs room . difficulty connect high speed internet ( big deal ) , go desk help . Desk attendent helpful , give literature assist ... go back room able connect . good , strong signal . nice size room work desk dresser drawer .. wife especially appreciate able use drawer storage space . nice size bathroom tub / shower ... hot water . plenty space lie shave kit wife 's ' girl stuff ' . nice plazma tv ( 36 & quot ; ? ) cable . good reception work remote . ( another big deal ) . trouble work in - room coffee maker , call desk bring we new one . good maid service throughout stay even late 12noon sleep . one small elevator , seem fine ... never wait minute . trouble get internet connect last day , call desk attendant bring ethernet cable , connect immediately . ask desk suggestion pizza delivery , provide flyer ... desk direct delivery man room .. happy , share couple slice nite desk clerk ( female ) ... think shocked .. offer pay slice , tell not want waste happy share . .. little noisy street garbage pickup , surely hotel 's fault .. thick curtain keep unwanted sun morning . EZ check desk clerk make call get car airport . attendent take bag car . Ride cost $ 10 cab ride , nice roomy SUV , friendly driver , take short - cut load time spare . make free breakfast . location great , step away Times Square action , great irish pub accross street ( eat twice ) . attentive friendly staff , good price expect location ... pleased .... definately stay location 
 Sep 25 2008 	 Location location location 	 first New York experience make memorable attentive staff Comfort Inn Midtown . Jovanne accommodate check welcome face 5 - day stay . room general condition property excellent morning breakfast adequate get move morning . location fantastic . would definitely stay . 
 Sep 25 2008 	 small mighty ! 	 husband stay 5 night hotel September 2008 . staff friendly ( especially Jovanni ) efficient . pay $ 250 night - much well hotel area . room nicely decorate clean . small . room queen size bed , night table , small desk dresser enough room walk around bed . window air conditioner adequate time year . view room . small bathroom shower . nice flat screen tv , clock radio ipod docking , free wifi internet business centre , free US phone call . free breakfast plus . fruit , coffee , cappucino , juice , yogurt , cereal , pastry , toast , boil egg . breakfast room small always able get table . hotel one block Times Square location excellent . if go sure meal Virgil 's BBQ 44th St. - terrific pulled pork sandwich fry ! also recommend & quot ; Top Rock & quot ; day night time . as mention previous post hotel give guest TripAdvisor web address review post . problem . hotel . 
 Sep 25 2008 	 great hotel 	 great hotel anyone want stay heart New York situate couple minute walk Time Square . because hotel quite small , staff really friendly service well 5 star hotel stay in . the room look like recently refurbish clean well maintain continental breakfast include rate . really great base explore New York day . 
 Sep 16 2008 	 gem hotel 	 stay hotel 3 friend . two room , clean , quiet , recently decorate comfortable . expect New York , room size huge perfectly adequate facility may want . Location superb - walk time day trouble hail taxi outside night . Buffet breakfast plentiful , set good day shopping , sight seeing etc . good thing however staff - could enough help earn tip many time . would definitely go back would highly recommend other . 
 Sep 9 2008 	 Love Comfort Inn 	 hotel staff great ... everyone pleasant always willing help . breakfast great ! room clean right size two people . location good -- - middle Times Square . would certainly stay whenever visit New York City.-Laurie 
 Sep 2 2008 	 Small room good value 	 currently stay thought would write quick review . Location - Superb 46th 7th next Rosie Gradys nice close actionvalue - $ 230 night goodroom - tiny clean shower fine . hard push swing cat hey NY . bed nice comfynoise Level - Superb , 46th main road hence normal NY dinn do not come & quot ; tiny & quot ; window 
 Sep 1 2008 	 Good Price 	 choose hotel reading review , find pretty accurate . review claim good single , would disagree . husband stay queen size room find quite adequate . problem space able move around freely . request room view brick wall post review , check - in pleased see request grant ! staff friendly accommodating . it also nice continental breakfast available , common nyc.again , room spacious ( NYC standard ) , update , clean . also issue elevator quest mention . the negative window air conditioner , bad odor , maybe time clean filter ! would recommend hotel anyone need reasonably price clean room ! 
 Sep 1 2008 	 Fantastic Service 	 wife stay hotel 2 night recently . service staff exceptional ! check day major festival close street front hotel many surround street well . need cab airport none could reach hotel . manager duty - Giovanni - make call , arrange ride us bellman transport luggage crowd ( several thousand people ) Broadway nearby get we ride . exceptional service cap completely enjoyable stay hotel . hesitate stay gain . 
 Aug 31 2008 	 another Happy Camper 	 also solo August 25 - 29 . get extremely lucky ( think may get last room available check ) , even though solo give room 2 double bed - bellman say one & quot ; big & quot ; room . greatly add personal space extra bed pile stuff , room still tight squeeze - foot bed close tv desk scoot sideways get . ' m sure double room reserve would unbelievably small . I also request quiet room , room overlook back alley back building . hear almost street noise . noise bell clang every morning 7:30 , perfect time get anyway ( think church next door ) .That say , experience fantastic . staff great - everyone greet smile hello , answer question , helpful . whole place clean . breakfast adequate . location beyond compare - half block Times Square one direction , close several different subway line . feel safe time . now , people think disappointed see 5 star rating think 5 star hotel - - 5 star value ... 5 star TA come answer question & quot ; rate overall experience & quot ; - we , 5 star . also post one negative - a / c unit noisy , could not run time . would turn short period , cool room quickly , would shut . might problem weather hot entire stay , . one great positive not expect not know check - free US phone call ! anywhere ! call husband daughter west coast several time day , make cancel many local reservation , charge one cent telephone charge ! great bonus ! someone post say ask write good review TA , therefore rating skew . one ask make mention hotel anyone , review write purely base personal experience . I know hotel expensive different time year ( lucky get $ 197 AAA rate August ) , New York expensive hotel city . completely happy stay . 
 Aug 30 2008 	 Right Times Square ! 	 wife stay 6 night hotel choose price location . Accommodation New York generally expensive , think hotel well price 's location great right Times Square Broadway . the room bit small , adeqaute . bed comfortable new 40 & quot ; LCD tv room . hotel provide free wireless networked internet access handy . one thing bug we though room airconditioner bit noisy room view wall building next door 2 metre away . staff helpful breakfast serve more really quite good selection cerial , bagel , fruit , yoghurt , toast , juice coffee . if visit NYC , would definitley stay . 
 Aug 25 2008 	 Excellent hotel Single Traveler ! ! ! 	 impress hotel . location W46th Broadway amazing location everything midtown . bed clean comfortable , ipod docking station flat screen tv . room , however , small may cause challenge two people room . one person , love compactness room . tub bathroom , shower . nice size closet , pull curtain way open door . like say , compact , sufficient . good breakfast room cereal , fruit yogurt , bagel great . staff friendly helpful seem really concerned need . would definitely stay travel alone NYC . 
 Aug 19 2008 	 wonderful : ) 	 recently stay mom hotel day plesant stay . hotel room extremly clean . bed comfortable . bathroom clean well shower one overpower shower hurt blast water . anything need question answer friendly staff ( especially Ivonne ! ) . great breakfast every morning : bagel , doughnut , cereal , yougurt , etc . coffe tea available day long . location perfect everything step door ! 
 Aug 16 2008 	 great location price ! 	 wife stay 2 night attend Broadway play night . hotel clean staff courteous helpful . room small comfortable quiet . location excellent like sightsee . Times Square one end block Madison Avenue . excellent little deli right exit hotel . majority come see within walking distance . definitely recommend hotel anyone look room reasonable price convenient Broadway attraction . 
 Aug 10 2008 	 great hotel Location 	 husband business trip NY 10 year old daughter tag along . sight see day location hotel could well ! staff helpful hotel room quiet . never feel uncomfortable way close show go see . would definitely stay ! 
 Aug 9 2008 	 highly recommend ! 	 visit NYC first time July , 2008 , know want stay Times Square . research many , many hotel find something nice nice price also hotel expensive . Comfort Inn Midtown receive great review TripAdvisor.com also travel website rate great- $ 202 , actually cheap Times Square hotel decide give try . LOVED would highly recommend other . hotel location perfect ; leave hotel turn right walk even 1/2 block be Times Square . 's also close subway station be within walk distance theater . hotel clean look great- ' ve do recent upgrade decorate . concerned room would small fine . housekeeping great also . one big perk free continental breakfast b / c food NYC expensive husband eat lot ! another perk 2 computer printer use main floor night departure able log airline check print boarding pass free flight home . complaint throughout 4 night stay . love NYC can not wait visit will stay . 
 Aug 7 2008 	 Excellent hotel money 	 read several review pick hotel . not want spend fortune since would not hotel lot , want hotel close Times Square . return New York today , feel need write review add already positive comment . would definitely stay Comfort Inn Midtown . block Times Square . clean updated . daily continental breakfast . much cheap hotel area . staff friendly attentive . the room small , spend little time room . would recommend hotel anyone . 
 Aug 6 2008 	 like 	 nice hotel close Times Square . walk distance Penn Station though would stay place . 
 Aug 6 2008 	 Convenient Theatres Times Square ... 	 teenage daughter enjoy stay New York probably would stay . want save money want close theatre crowd Times Square need place sleep eat breakfast consider hotel . room nicely decorate reasonably clean exception window . absolutely filthy outside . guess pigeon must seem much point ? not much see still nice . plumbing upstairs make noise tolerable awake 4:46am bit much . since room quite small sleep near door hear people talk hallway . light sleeper run a / c help mask sound . staff generally polite ; however , one desk clerk not friendly street person ( several sleep next door church ) follow ask $ not even ask leave ! continental breakfast pretty good never wait long seat . not bother take elevator unless absolutely ; usually much fast walk , even ninth floor . two free computer lobby bonus . 
 Aug 5 2008 	 Loved Comfort Inn Midtown 	 Loved Comfort Inn - Midtown ! ! husband return New York City first visit . much research TripAdvisor recommendation co - worker decide reserve . everyone correct write . front staff doorman helpful , courteous . arrive 8:00 a.m. kind enough let we change store luggage room available . even invite we go continental breakfast room ! ! ! food room great man charge helpful friendly . room right size , bathroom perfect couple flatscreen tv - hey - long stay room NYC ! room clean . one day problem air conditioner nice polish man come fix day - even pop around 5:00 left day make sure working ! could believe close Times Square Broadway ! ! ! night day everything within walking distance . ever go back New York would definitely stay . 
 Aug 4 2008 	 nice accomodation great value great location .. 	 be hard find pleasant hotel NYC reasonable price - Comfort Inn fit bill . recently remodel /redecorate . room tiny ( normal size NYC standard ) beautiful , location safe area block Times Square . like rest Choice Hotels chain , hotel manage frequent traveller - will not find bellhop , mini - bar , room service - fast checkin / checkout , really clean , comfortable room great price , fast , free wireless . ( Book hotel web site advance , use AARP AAA good price ... ) do not ' think will find well value anywhere area . 
 Aug 4 2008 	 Excellent value 	 stay 6 night first trip New York really enjoy . hotel staff helpful friendly . upgrade King room arrival although space limit room everything need include large flat screen tv . one oddity room stay January obviously cold outside , however room always hot - meaning need air conditioner everytime it . the free breakfast hotel plus include bagel , doughnut cereal . location probably good thing hotel 100 metre Time Square convenient big attraction . also like able walk Penn Station get train Newark airport . overall , would definitely recommend hotel offer excellent value money great location . 
 Jul 27 2008 	 Great Hotel Value 	 first trip New York hotel great . great location Times Square Broadway , quiet . staff friendly helpfull price much less hotel . highly recomend hotel . 
 Jul 20 2008 	 great place stay ! ! 5 star 	 get back NY jul 20 2008 . place great . right arrive Amir take bag show parking garage across street . take wife stuff upstairs get we settle . desk staff helpfull tell we go get thng . anthoni breakfast room keep thing clean tidy well keep food fill . soon someone leave right cleaning table next person . breakfast juice , cereal , bagel , toast , yogurt , coffee . everything need start day . location 100 meter Times Square could wander 2 minute see every night . basically would stay would recommend hotel everyone .. great place stay.jdmississauga , ontario 
 Jul 18 2008 	 great place 	 first , would warn fellow traveler take review grain salt , since guest hotel request submit favorable review hotel tripadvisor . ( hotel hand hotel info sheet suggestion submit favorable review trip advisor include sheet . ) feel really bias . want place sleep night , place fit bill fine , find lot little thing bother . first , room tiny . enough room walk around bed desk . bathroom small ( shower stall , tub ) , manageable one person . window face brick wall ( literally inch away ) therefore get virtually natural sunlight morning . make hard wake ! hallway outside room narrow . air conditioner room , go cold 64 degree , barely cold enough . would nice get colder work . provide shampoo , conditioner . , huge deal ( be easy enough stop Duane Reed ) , realize morning getting , be great . 
 Jul 9 2008 	 love stay Comfort Inn Midtown 129 West 46th Street ( Broadway ) 	 happen pick Comfort Inn Midtown , 129 West 46th St. last October 2007 happy , stay Independence Day holiday 2008 . continue upgrade hotel ( already look excellent October ) . be close theatre - district theatre - goer ( Rockefeller Plaza ) . be get 24 business fitness center : wireless internet access , exercise room , ability print Boarding Pass business traveler anyone . room plasma TV . Free delicious breakfast excellent variety food beverage . room perfect . service excellent , efficient , friendly , everyone go way helpful . price right ( 10 % discount show AAA AARP card upon arrival ) . air - conditioning / heat adjust . whenever go ny , LOVE stay hotel . 's close everything . last stay July , surprise many improvement consider already great hotel . one first smoke - free hotel NY . be along Restaurant Row . already helpful courteous staff good hold luggage go Newark . gentleman desk show we print Boarding Pass night leave - get helpful driver take we Newark night . , staff , kind helpful , always . 's charge New York state call & amp ; toll - free call . room coffee maker coffee & amp ; tea , alarm clock radio 's mp3 compatible , reduce rate parking . complimentary continental breakfast ( microwave ) 7am-10am plenty tasty food ( good granola ' ve ever eat ) . besides usual phone voicemail hair dryer , computer / copier / fax machine 24 hrs / day , cable movie demand . room pleasant - look , comfortable , not hear noise hall next door . consider first rate hotel recommend everyone go NY . 's part Apple Core Hotels , not want Theatre district , location , . GREAT ! wholeheartedly enthusiastically recommend . 
 Jul 7 2008 	 say ! ! ! 	 sure say already say ! imagine feeling , come New York City air airport 12 hour , dark rainy night first time . plan 7 day stay , reservation place rate almost good true , sink feeling . I please gentleman front desk helpful , bell man take bag room equally pleasant . ( midnight , 4 hour late . ) hold breath open door room , really expect worst , tell satisfied long bug ! ! room small note previous review , everything need right place . top room completely re - do shower comfortable bed , appear new linen , carpet , paint , even flat screen television . I feel breakfast adequate , gentleman charge equally pleasant . morning selection cereal , fruit , donut , bagel , toast , yogurt , juice , coffee , even Cappuccino . our room clean everyday whatever time seem get back room , almost like someone watch we leave get right business get ready next night . the location could well realize first morning start find way around . close everything Times Square Rockefeller Center , even walk Central Park Empire State Building . and , also think something say management care enough watch comment TripAdvisor , reply problem may stay . hope able visit hotel near future , find way first trip . caring attitude see , really think . rate , may another issue ! 
 Jun 25 2008 	 Excellent Value ! 	 ' ve spend four night Comfort Inn Midtown . choose location base favorable review TripAdvisor ; disappoint . find hotel excellent location - one block Times Square , two block Rockefeller Center , easy walk distance subway theater . hotel semi - quiet street Time Square . room include comfortable king size bed flat screen tv ; room smallish much time spend room ? bathroom nice sized . enjoy complmentary breakfast ( cereal , fruit , juice , roll ) ; breakfast room cramp , hey , free meal ! ' ve read one elevator slow - seem true ; room 2nd floor use stair . hotel concierge , , bring map visitor information . desk staff arrange town car transportation Newark Airport . satisfied stay use hotel . 
 Jun 24 2008 	 tripadvisor reviewer say 	 great location ; extremely convenient near Times Square ; room cozy , clean , pretty nice NYC . staff professional . breakfast food well ; bad would find anywhere US . street noise guess come territory . subway close . long not rate ; good deal . would definitely stay . 
 Jun 22 2008 	 small Clean Non Nonsense hotel 	 book via [ -- ] - appear good internet rate . availability price change regularly website check regularly . room small expect - enough lie 2 medium size suitacase floor next tv still walk around bed single file - bit clean . free continental breakfast small room wireless internet provide . bit spoilt stay much big luxurious Grand Hyatt Westin Times Square previous 7 night - however , want somewhere sleep save monie shop , Comfort Inn Midtown provide clean safe option . location good & quot ; Little Brazil & quot ; street ( 46th ) Broadway quiet street . 
 Jun 21 2008 	 100 % satisfy 	 return 5 day stay NYC hotel well ! could not think anything would change except maybe little large elevator . room plenty big enough , clean , update , quiet . staff excellent friendly . look anything , well willing pay . location perfect need . return sure stay . 
 Jun 16 2008 	 Love place ! 	 husband recenty stay 2nd time really feel like ' ve find NY & quot ; home away home & quot ; . room spotless tell update recently , nice flat screen tv . enough room quiet . use safe room also enjoy continental breakfast cereal , pasterie , fruit , coffee , tea , , juice , yogurt , etc . also , location beat ! everyone desk helpful . really feel home love clean , good location breakfast . the price beat Manhattan ! 
 Jun 10 2008 	 well expect 	 stay hotel April 2008 really like . course location fabulous . 's block Times Square around corner Rockefeller Square . not know way around city , location hotel make easy see big tour attraction without figure subway system . not know NYC , lot fancier Comfort Inn would ever stay . staff friendly helpful . literally carry bag moment step cab desk clerk even allow we check 4 hour early . room clean small expected reading review Trip Advisor . share room girlfriend able move around comfortably . bed large comfortable . two complaint would not even call complaint . one elevator 's really slow . also , room weird bathroom door . middle bathroom door frosted glass whenever one we use bathroom , person would move side room give privacy . minor issue , though not affect stay feeling hotel . overall , pleasant experience stay hotel return NYC August . 
 Jun 9 2008 	 great value / location 	 Excellent value money . relatively ( ! ) quiet street near Times Square . helpful staff pleasant nicely sized room . much nice average Comfort Inn . 
 Jun 5 2008 	 would recommemd anyone 	 stay Comfort Inn Midtown Memorial Day weekend . first visit NYC do not really know expect . must say pleasantly surprised hotel . arrive well 3:00 pm check time expect wait check , room ready let we . staff friendly helpful , everything new modern , tastefully decorate , comfortable bed , nice sized dresser closet ( safe ) , flat screen tv , plus numerous & quot ; little thing & quot ; make comfortable . room cozy , use dresser clothe tuck suitcase away corner leave plenty room 2 people . wall mount A / c work good ran day return night room nice cool stay way night . only 1 elevator little slow , 3rd floor use stair time anyway . the location awesome , turn right entrance Times Square 100 yard walk . just great place around , great rate go along ! ! 
 Jun 4 2008 	 Perfect location great hotel great service great price 	 simply put , look cheap hotel NYC affordable get whole lot more . I 2 night spend mid town Manhattan lot research web somewhere cheap good . place GREAT.The location perfect 100 metre time square . really easy walk Broadway theatre . able walk Central Park ( although 30 + minute walk ) .since times square always busy never really felt walk quiet strange part ny alone even though myself . the hotel well nice . well appoint room LCD tv , clean bathroom good wireless wire internet access ( 1.5 Mbps speed technically minded ) .The room small room sleep . the service front desk suburb ( especially Jiovanni ) .there small place call cafe @ time square couple door great place grab food reasonable price ( $ 4 burger fry compare TGI Fridays charge $ 17 + thing couple door ) .this part 46th St also know little Brazil South American inspire restaurant street . my complaint air - conditioning level bed . turn continually blow directly face . turn room get warm . so highly recommend anyone look clean safe place stay NYC.I definitely stay find fortunate enough town . 
 Jun 2 2008 	 Fabulous Midtown experience 	 2nd year stay hotel . renovation complete hotel staff marvelous . NYC , love atmosphere hotel really cater need direction , customer service , relaxful stay . can not wait return next year . basic amenity come room like free interent , gym , continential breakfast also key reason continue book hotel go NYC . highly recommend hotel . 
 May 30 2008 	 Loved ! 	 Excellent hotel - room modern , comfortable absolutely spotless . location excellent , literally 30 second Time Square find staff helpful friendly time . the room decent size plenty enough space 2 people . free fast wireless connection business center ground floor could use printing . good attention detail : ) would hesitation return recommend . thank ! 
 May 27 2008 	 Great Place Great Price ! 	 lot research booking hotel , AAA Trip Advisor . say enough hotel ! pay $ 200 night . would suggest book far advance possible one lady meet breakfast pay $ 300 night room ! front desk friendly helpful . find honeymoon , upgrade we king - size room additional charge ! give we great map city offer give advice restaurant , place see , etc ... take offer go delicious little coffee / sandwhich shop block away . the room extremely clean , bed pillow nice soft ( like cardboard bed ' ve sleep hotel ) , could tell remodel recently . one bag , not lot extra room spread iron board set . not big deal really not room much . breakfast great selection - bagel cream cheese , donut cappucino , granola yogurt . also small area two computer free internet , able check flight online go airport . the location could perfect centrally locate . able walk nearly everywhere , Central Park , Greenwich Village , Madison Square Park name . good part one block away theater go see Broadway play . if ever return NYC ( ' m sure ! ) , definitely stay . 
 May 27 2008 	 great location ! close Times Square . 	 hotel excellent location . around corner Times Square . street quiet side later evening , many car , , come . across street Irish Pub , next door church , street towards Broadway brazilian restaurant . also couple souvenir shop door , also towards Broadway . hotel clean , hotel staff friendly , Continental breakfast ok . surprised tip basket though . ' ve never tip continental breakfast . free internet great although time wait use internet two computer . also fitness room , look nice , never use . complimentary newspaper put morning . elevator go way 9th floor despite another guest reviewer state go 8th floor . room extremely small , not mind get little cozy love one ' problem ! bed really comfortable also large flat screen tv room . negative thing would say room BOILING hot . heater never somehow room boil hot time . appear wall heat come . touch bathroom wall warm . night would turn a / c even cold outside would able sleep comfortably . another negative thing phone , work push speaker button . apparently new phone hotel staff know work hand set . despite , hotel well worth stay definitely stay ever come back New York City . 
 May 26 2008 	 well expect 	 6 we UK 4 night May 2008 . 2 we stay hotel 3 year ago . try since get room visit , always fully book . wonder - hotel since refurbish well ever . room facilitie great fault location . staff last visit friendly ever breakfast good . would like write poor review , may able get room future visit , would not fair staff / hotel definitely deserve good word say ! ! ! 
 May 23 2008 	 Hundreds Hotels NYC .... one want ! 	 literally hundred hundred hotel option choose NYC . different star rating , different location , different customer service different pricing . Comfort Inn rate category ? absolutely superb . wife recently stay 5 x night apon check - in tell upgrade king size renovate room .... sweet ! ipod docking , flat screen , good size bathroom strong hot running water , free wireless ( fast ) , desk , wardrobe humongous king size bed . luggage space perhaps little bit tight , problem . decent view . 802 anyone want reserve . location excellent ... reasonably quiet street second away utter madness Times Square . plenty restaurant street Chinese , italian great deli prob quick food option . many main attraction accessible foot . take 30/40 min walk , there s much go around , do not even realise ' ve walk long . underground easy use take everywhere . staff must commend customer service , friendliness professionalism . front desk , housekeeping porter , staff make we feel welcome time , something welcome big day tour city . small hotel , good service , good value good price , absolute winner New York City . we tour least 8 hour day check sight , feel barley touch side NYC ! big shout Sidibi bellman , Anthony breakfast guy Ivonne receptionist . 
 May 21 2008 	 Great Boutique Hotel 	 two we spend one week hotel , 1/2 block Times Square Theatre district . staff friendly helpful , room small adequate , clean meet need . book ahead online get great rate . hotel everything one need - small cozy . free email , hot shower , breakfast , good advice direction . try use Hotel NewYork future . 's location perfect ! well do ! thankyou good experience . 
 may 20 2008 	 believe Great Reviews 	 late addition multi - party trip NYC , private hotel everyone else staying book . go google search hotel nearby hit TripAdvisor review . Comfort Inn Midtown hotel could find single bad review . even among $ 600 + per night hotel , least one two recent bad review . Comfort Inn Midtown . roll dice . first trip NYC , little nervous . could please . room fantastic . PLENTY SPACE ! hot water every shower . almost noise street . sound room . continental b'fast morning great . free business center able make copy white paper meeting print boarding passse return trip home ( free ) . front desk arrange $ 25 shuttle return airport ( cost $ 60 get town airport ( Laguardia ) without asst . hotel . ) hotel 6th Ave . 46th . 2 quick block Times Square half block ( summer ) Saturday street vendor fair 6th Ave . walk block 30 Rockefeller Plaza ( think NBC ) . great little english pub across street . walk distance moma Bryant Park much ! safe , clean , professional courteous staff . can not say enough , except definitely go back hotel . reach negative , would say around 8:30 a.m. noon , free wireless internet room spotty reception . , can not think single complaint . Book hotel ! will not regret . 
 May 20 2008 	 Location location ... 	 spend 5 night hotel 10 - 15 May 2008 . excellent location - hotel small , comfortable ( brilliant bed ) , well refurbish bedroom bathroom ( good shower ) , clean , staff friendly , approachable helpful ( especialy Sandip Reception ) . continental breakfast good ( cereal , fruit , yoghurt , juice , tea , coffee , toast , waffle , pastry gorgeous iced doughnut ! ) include booking . theatre minute ' walk away , ticket booth show ( half price ticket ) , Times Sq minute away yet street quite quiet . Macys , Rockerfella Centre , 5th Ave within walking distance . would definitely recommend stay hotel . 
 may 16 2008 	 Loved Comfort Inn 	 happy stay Comfort Inn . people friendly . room small clean comfortable . hotel locate close theater district . great location . would highly recommend hotel anyone come NYC . definitely stay . 
 May 12 2008 	 definitely go back 	 go city 2 couple Broadway show . arrive hotel check - in , room ready we . Daytime desk clerk extremely accommodating , friendly & amp ; helpful ( night - time clerk quite opposite ) . room extremely clean , comfortable bed , looks recently renovate . absolutely beat location - easy access anything need ( food , transportation , shopping , theater ) . definitely stay ! 
 Apr 28 2008 	 Fantastic Hotel Great Location 	 stay hotel 3 night April . fantastic stay ! room small , certainly big enough 2 cozy bedding modern clean bathroom . our room face street noise well water running folk shower . the staff friendly knowledgeable although could use 1 person check time front desk . the breakfast adequate . hotel room clean location unbeatable price . would definitely stay . 
 Apr 25 2008 	 Incredible Location : 30 Yards Times Square 	 WONDERFUL LOCATION . Great Price , literally 30 yard street hustle bustle Times Square . very close place want see go downtown New York City . the room small , every room New York . pay hundred room go in . the room small , bed , nightstand , tv cabinet , bathroom . , else need . we room city , would leave early morning come late night . the hotel nice continental breakfast , everything expensive NYC , nice pay breakfast . next trip back NYC , stay ! 
 Apr 23 2008 	 Applecore ( owner ) make Believer 	 search internet several hour . review hotel good price competitive , cross finger make reservation . first , location could well . half block Times Square , 2 1/2 block theater ( Phantom Opera ) , middle place want go . arrive find desk personnel pleasant , even importantly competent , professional helpful . lobby small quite adequate clean . upon enter room , king - size bed , pleased . room small functionally lay . decor bedspread paint wall pleasant . flat screen tv . great shower lot hot water . importantly , everything clean , clean , clean . we use two computer printer lobby charge . breakfast include adequate service personnel helpful pleasant.etc , etc , etc . . . would go back ! 
 Apr 9 2008 	 small cozy convenient 	 ' ve stay hotel three time already visit NYC short trip . ' ve always book online never pay $ 80 night . price location , continue stay ! location : Literally Times Square ! restaurant surround hotel - chain otherwise . 's picturesque street , be crowded tourist day , proximity Times Square , sooo convenient subway , eating , tourist attraction shop ! hotel : clean small . staff always helpful - always ' warm ' , sure always helpful . business center closet two desktop computer - serve 's purpose be use check flight printing boarding pass . work room large basic equipment . may small , nice amenity hotel . never try continental breakfast , not opinion it . the room : room stay never window overlook street , rather , space building - lol . needless say , curtain always draw . room small , surprisingly , bathroom roomy . room always clean . always stay hotel alone - still feel safe . room size , opinion , would okay two people , forget anymore . also , since space issue , even bring one rolling suitcase , could tell bring two bag , would pretty picture - claustrophobic . overall : enjoy stay hotel . really love convenience midtown . price affordable , location awesome . never feel like far anything want visit , always place get food nearby . would definitely recommend stay - maybe week straight , small , short visit , perfect . 
 Apr 8 2008 	 keep secret ! 	 return nice stay hotel . never steer wrong hotel check Trip Advisor , let down . when check , without ask , tell upgrade queen bed king . room 5th floor - look directly front hotel . Saturday Sunday night never hear sound . the breakfast room immaculately keep large variety item - room feel brand new - update . I alone travel teen feel totally safe location . definately return summer , hopefully word will not get fast still bargain ! 
 Apr 7 2008 	 excellent location excellent value 	 stay three night , * * impressed . certainly stay future trip New York . location superb , half block away Times Square , one quieter cross - street , be certainly get Times Square level noise . reception area modern , bright , gleamingly clean , man friendly professional staff . reception small fitness room gym equipment , business centre two internet computer printer , could use free . complimentary continental breakfast also include , also drink vend machine flight check - in kiosk print boarding pass airline base USA . 's elevator floor . the room compact , certainly not feel cramp feel quite home . bed * * comfortable ; tv look brand new wide range cable channel ; write desk , chair , coffee maker air - con / heater provide ; bathroom small functional clean good shower . and , top , price excellent central Manhattan . I would recommend hotel anyone , particularly tourist look affordable , central base explore NYC . may fanciest luxury hotel Manhattan , price 's unbeatable . 
 Apr 4 2008 	 unbeatable location comfort price ( NYC price ) 	 reservation Comofort Inn & quot ; Times Square & quot ; misnomer : long block away Times Square rather desert area construction shabby establishment . , see Comfort Inn , walk check availability price . glad . Comfort Inn clean one . one 's location unbeatable LESS expensive ( ? ? ) . staff helpful . room smallish , like other say , clean well furnish . inside room , noise ( sun either though . nice view brick wall 3 foot away . ) minor issue : bathroom door close properly . door room slam loudly let close . contract garage front hotel $ 23 / day rather $ 40 / day . satisfied hotel . 
 Mar 30 2008 	 shockingly pleasant ! 	 cheap boss say thing like & quot ; find room $ 200 less Manhattan . & quot ; grudgingly book room Comfort Inn Midtown Manhattan ( write review ) . facade outside plain offensive , lobby little dingy scary - look breakfast room . elevator work fine ( much fast Marriott Marquis across street , room surprisingly nice . 's small liveable , recently renovate , 26 & quot ; LG plasma tv , ample lighting , small useable desk , full - length mirror large - than - expect bathroom ( good - sized shower , curve shower rod , granite counter + small window ) . a / c window unit , might bad summer . bedding acceptable dark wood furniture appealingly update . 's nice valence curtain . 's view , ask room back hotel base review read TripAdvisor . far , be quiet . be even ( small ) exercise room first floor treadmill bike . far , really amazingly impressed room give bargain basement price . 
