feel 	 Platinum Ambassador chain really expect take care give notice celebrate wife ' 40th . get upgrade executive king room impress room . bathroom 5feet 7feet . mould water leak wall . light dull dressing table hair dryer socket situate WC wife stand infron toilet curl hair dull light . toilet seat numerous chip look awful . cup coffe fancy new coffe maker afterwards discover allow one coffee day , ( ) , free coffee would charge $ 3 plus tax . bring back kettle free coffee , tea hot choc please . first night exhausted go bed 1830 surprised doorbell rang 2130 . clean want check room . 0230 morning back home shatter . never visit late rang complain . tell fault put disturb sign . room 8th floor could see sky . room dark gloomy . bed comfy mtress topper . ask room change bright room never happen . drink expensive . vodka coke JD coke $ 20 2 breakfast $ 65 . breakfast buffet quite extensive expect , thing cold . good thing eat cold bagel salmon cream cheese freshly make omlette . ask 5 time juice one morning end go pick caraffe . waiter come snatch hand . foyer impressive music play guitarist evening quaint . concierge service keen assist help thing may gain commission unhelpful issue . online concierge service work tv either . gym unsupervised go first morning steam sauna find turn . rang maintenance came show turn . emergency stop button timer activate service . way alert anyone distress service change room remote . fitter say alarm sound service get hot . require sauna need turn hour go . street noice loud glass garbage truck wake we around 5 - 5.30 . New York brilliant enjoy everything . would go New York would stop Barclay . 
 Fab Time Barclay Intercontential 	 nine us girl stay Barclay 20th 23th Nov great time . could fault hotel staff room service first rate . arrival check within second , luggage take room immediately , room immaculately clean , staff could helpful . the hotel well situated get around next Grand Central Station , short walk Rockafeller Centre Times Square . I would definately recommend hotel anyone . 
 old dirty expensive staff attitude 	 barclay locate conveniently walk distance 5th Av UN building . however , would advise anyone stay hotel . lack ( friendly ) staff , room old , dirty expensive . with two staff check entire week ( rest staff hiding office behind check ) , start bad . check almost take hour , tell reserve early check room ready . , two hour later wait 45 minute get key . unacceptable . the room small ( expect NYC ) , urgent need thorough clean complete renovation . furniture dusty greasy , bathroom feature mould , hair , strange stain . ask housekeep clean bathroom , indicate would happen next day ( conveniently check ) . complain reception impossible , busy . bed ok . AC , noisy air recycling system . Windows open , noise outside much . good side , room quit , room next elevator without noise . wifi room , wifi reception area free . breakfast good . weekend buffet , week omelette station ( good one actually ) . breakfast expensive though , buffet usd 39.00 ( ex tax service ) . add usd 9.00 ( ! ) espresso . indicate , lack staff staff extremely rude arrogant . actually think rude self - defence , otherwise would able cope many complaint . since wifi available reception area , spend time watch one person complain possibly everything one could complain . , old dirty room amenity cost around usd 450 per night wonder people disappointed demand improvement . 
 may 27 2009 	 comfortable stay mislead restaurant ! 	 recently stay InterContinental Barclay 5 day memorial weekend upgrade room number 768 . first impression hotel nice check quickly . enter room immediately notice big bed . huge ! room nice , clean necessity need . bathroom clean great shower , good early start ! view room not spectacular , be not bad . location hotel good main attraction within walking distance . want go Downtown , Grand Central Terminal two block away . downside stay InterContinental Barclay menu restaurant . misleading , clear price food beverage . affer receive bill , notice expensive ! overall , stay hotel good . bed extremely comfortable room nice . want hotel view , cleaniness comfort , would recommend hotel . would advise however , find somewhere else eat . 
 May 25 2009 	 ROYALTY DECENT TREATMENT 	 stay Hotel May 5th , 2009 , practical business meeting town . generally , Platinum Priority Club member always find speedy check - in good room assignment . neither happen . invite occupy handicaped room - know get ( inadequate bathroom without special need ) a / c work . maintenance guy come room around 8PM ( 5 minute call ) extremely long 15 minute study , unpolitely inform A / C really order . ( call front desk 3 time ) transfer another - tiny - room , old instalation , especially bathroom . bell man help transfer irritated working hour ... awful behavior ... , worst , guest treat unwelcomed visitor . royalty guest host high floor several time , without warning , one set elevator simply BLOCKED . attend nearby convention , use elevator around 10 time , use difficult block without pre - warning . stupefy guest also really mad hotel management , .To enter hotel lunch , meeting dinner , nightmare . put security screener front door guest screen enter ... yes , like airport . security company put really unpolite unpleasant worker site . hotel make effort know guest well treat apologize almost harassment every time cross front door . demonstrate hotel 's pr dept . non - existent , unless royalty . at hotel ? , never ... especially NY , many really good option receive nice service . hotel 's message : be royalty , not stay we . sure , really many guest day hate Intercontinental NY . 
 May 25 2009 	 great place ! 	 stay Barclay Memorial Weekend Priceline . pay $ 122 night 2 room . ask get connected room . they lovely ! everything clean . room large bed comfy . the elevator beautiful quick . not think ever wait 1 minute . people check check nice helpful . I love location highly recommend Connelly 's bar ( 46th think ? ) dinner . be beautiful , great food great service . we wonderful time . 
 May 22 2009 	 Nice hotel good location 	 fiancee book hotel get marry NY March 08 -the hotel nicely situate mid - town within walk distance Central Station , facility good staff excellent , go way make stay memorable . breakfast also v good ( not eve meal tho ) 
 May 19 2009 	 Great Location ! 	 stay 5 night early May really nice stay . honest , not eat restaurant drink bar reason interaction front desk ( apart check ) can not really comment room nice nice size , bed comfortable room clean good standard morning . 's look room . food / drink mini bar quite expensive though . not much experience NY hotel 's probably different hotel simple solution avoid take anything get store across street . problem solve ! good thing hotel location . arrive subway JFK 's 5 minute walk station Lexington 53rd . likewise get Grand Central Station day stay 's 5 minute walk way . 's downtown Manhattan plenty nice bar / restaurant area well Time square , 5th Avenue , central park within walk distance . I not laptop get great use free wi - fi Ipod Touch lobby . lobby nice place sit relax read paper well . the gym not big not busy day use ( maybe 1 2 people ) never wait time use equipment . 
 May 18 2009 	 Nice hotel great location 	 husband , six year old return New York City . book trip Hotwire.com receive great rate . fabulous trip . love Barclay . large beautiful lobby . upon arrival able upgrade one bedroom suite extra $ 50.00 day . one bedroom suite perfect family . huge family room , pull sofa , bedroom king size bed . two large closet , kitchette area , nicely remodel bathroom , stereo two television . friendly helpful staff . the hotel locate Midtown East convenient location . subway two block away hotel take we everywhere need go . 
 May 17 2009 	 conveniently locate 	 room nice & amp ; fairly large NYC standard although bathroom small . room include large dresser & amp ; closet ample space . front desk staff courteous . hotel location near bus stop easy get across town . friend & amp ; enjoy stay NYC . 
 May 17 2009 	 great stay 	 stay w/ friend , pleased ! ! ! Clean & amp ; quiet ( 14th floor ) bathroom small , clean . bed comfortable room good size two queen bed . location excellent , walk everywhere . staff helpful & amp ; polite . great deal , room inexpensive City . would absolutely stay & amp ; would recommend . 
 May 14 2009 	 wear 	 really money hotel offer value . take 25 minute check - in , curbside luggage handling . rude staff , amenity . think New york lot hotel opportunity besides one . bathroom tiny suite ! 
 May 13 2009 	 Motel Hospitality 5 Star Rates 	 hear restaurant attraction waiter intentionally rude even insulting . stay Intercontinental Barclay , thought must adopted business strategy . see indicate hotel ( ) business center ; ( ii ) internet ; ( iii ) room service . technically , hotel business center . problem open 11:00 pm . also technically internet , work every room . , perspective , hotel neither . ask change room one internet , promise someone would call back . one ever . instead make fuss , thought would help ask someone back office Washington fax one page document want pull email . unfortunately , hotel refuse accept fax . tell wait business center open 11:00 pm . long day behind , important meeting 8:00 next day , look forward asleep time . try explain internet room would helpful hotel could receive short one - page fax . staff hang . try . hung . story end go kinko 's check email print document . really fussy person , pay $ 500 night hotel , expect service . busy person travel business , grateful little thing hotel often make business travel easy . hotel make life difficult . stay two block meeting , would rather stay side town ever stay hotel again . there several incident could complain - like breakfast order never arrive ( reason note hotel room service ) think experience describe pretty much sum overall feel hotel . 
 May 9 2009 	 good spot Big Apple 	 Christmastime NYC ... ' m fan travel big city , certain stigma New York attract . barclay close Rockefeller Center , Times Square various Manhattan amenity . offer nice historical charm . likely hotel offer well view perhaps large room , minor complaint . wonderful way spend Christmas . service absolutely outstanding . 
 May 9 2009 	 bad hotel ! though washbag steal room never compensate ! 	 contact hotel five time stay least 5 time stay , washbag good worth $ 200 steal room 1133 first 4 day stay hotel . time ask reception miss bag pass onto 5 different people ! email , call , fax hotel many time since 18th march 2009 still answer ! assure matter would resolve within week stay ! ' m say staff thief , staff unhelpful really not care pay bill ! ! ! 
 May 7 2009 	 wonderful stay 	 stay hotel 3 night . nervous size bathrrom readin gall review . arrive ask want King Size bed . room nice dthe bathroom big . thing need counter . little table thing bathroom . great time everyone plesant ! stay ! 
 May 5 2009 	 staying style 	 serve board non - profit organization planning spring board meeting benefit gala NYC . meeting manager negotiate special group rate elegant hotel New York 's east side give nice room , spacious clean nice room amenity . bed room comfortable good pillow fine bed linen . bathroom plenty space put thing ( common New York Hotels ) shower excellent . stack free NY Times Wall Street Journals available morning . breakfast buffet expensive right across street 24 hour deli ( Longwood Gourmet ) serve inexpensive breakfast , salad bar , hot table , mongolian sushi bar . be mostly self - serve hot breakfast item ( egg etc ) make order . 's opposite elegant styrofoam container everything , plastic utensil , etc . see quite well - heeled people eat . one pretty good breakfast much $ $ save money great dinner one NY 's restaurant . Lexington Avenue ( east side ) subway short walk away 's easy get cab cab stand front hotel 's pretty easy get around . 
 May 4 2009 	 Lots error staff high rate hotel 	 pro : Nice BedsBeautiful lobbynegative : check room key work . bell dude bring luggage go 1/2 hour get replacement key . finally go lobby securtity guy let we . bell dude show 15 minute later without single comment . at check try charge we $ 80 breakfast day never eat . guy restaurant come run receipt lobby desk wth scribble receipt say room . tell 10 leave go brunch receipt signature . finally take bill . Room Service end 10:30 - what laugh not even return play till almost 11 pm - not customer orient . $ 7.95 15 minute use computer ridiculous - the Sheraton stay even charge use . not friendly - prefer Sheraton location professional staff 
 May 4 2009 	 Good Hotel Great Location 	 Booked hotel Priceline little worried read mixed review sight . well , need not worried ... room huge ( NYC standard ) clean everything need . bathroom little small side still perfectly serviceable . find staff pleasant helpful check - in check - out experience problem - free . the hotel good central location make great base weekend visit . overall happy hotel , especially pay around 50 % normal nightly rate . 
 May 4 2009 	 really recommend 	 always surprised read negative review Intercontinental Barclay New York . 29 April stay two daughter ( 17 19 ) 4 night Barclay perfect , last year . apparently hotel two kind guest , satisfied pleased ( apparently small ) number guest seem serious complaint . agree bathroom little small ( spend much time bathroom anyway ) , high price restaurant / bar ( many alternative nearby ) noise outside ( , downtown New York ) . really count staff extremely friendly helpful , treat people way would like treat , hotel room comfortable clean , location perfect , important one really feel home . someone ask go back visit New York , ABSOLUTELY ! ! ! ! ! 
 May 2 2009 	 tired dirty weak sister ICH brand 	 sixth floor room tiny , dirty , stain chip . suppose upgrade room Ambassador Club status -- disappointment . staff lurch obseqious indifferent . the lobby pretty deal filth bathroom , appetite leave sample restaurant . location great will not go back rennovate room general manager . early week , stay Amstel Amsterdam , another ICH property gorgeous , spotless friendly . contrast Barclay shocking . never know be go get InterContinental Hotel . 
 Apr 23 2009 	 Nice - Great Locale 	 husband stay time recently April 2009 . location can not beat , block Grand Central Terminal . surround many place eat , drink merry . room clean , quiet comfortable . staff professional efficient . lobby impressive . the rate $ 192 tax king size non - smoking room . also pay close $ 250 . rate within budget , always opt stay . eat meal save money , not whole reason go NYC ? 
 Apr 21 2009 	 Amazing Hotel 	 fantastic hotel . lobby stunning enter hotel . bed comfortable . Good Location 10 block central park 10 - 15min walk Times Square . 5th Avenue around corner stunning hotel . would recommend stay visit Big Apple Business Pleasure . 
 Apr 21 2009 	 great place location . ignore bad comment 	 tiltle say great place stay , room , service , concierge first class . location within 15 minute walk Time Square , Central Park , Empire State Building etc . the manangemnt hotel helpful extent make feel home . can not vouch negative comment say must one off . print facility Lobby print boarding pass check airline . overall stay Barclay would recommend friend family . 
 Apr 20 2009 	 large room wonderful surprise . 	 not typically expect lot hotel New York city generally small big driver price location . good location nice room large . far nice private University Club stay last time . find staff friendly helpful , especially housekeeper . room 2 queen bed decent view . clean well maintain pleasant housekeeping staff . small bathroom , certainly adequate . efficient HVAC comfortable bed linen . never eat facility can not comment food . many place eat nearby , price range . annex entrance Grand Central terminal next hotel 48th , pick Grey line tour next hotel 49th , taxis plentiful front entrance . location good , maybe one block far 5th would like , easy walk Time Square , Central Park , 5th Avenue shopping , United Nations , Herald Square . would absolutely stay . 
 Apr 19 2009 	 Four Star ? absolutely ! ! ! 	 aside location quaint decor lobby room , everything else big disappointment . ' ve four start world , definitely 2 1/2 star . rude staff around , concierge ignore wait front 's busy talk phone . least could do acknowlege look noooo . bathroom smelly moldy almost throw ask clean .. change curtain bleach bathroom get rid smell . disappoint service ( lack ) dirty bathroom , glad get much possible . location save grace definitely worth money change 's rating 2 1/2 . 
 Apr 19 2009 	 lovely elegant friendly hotel 	 anm old hoptel , , like neighbor Waldorf , retain elegance . unlike Waldorf , however , roomsd arter lovely service friendly efficient . ask refrigerator . deliver English speak maintenance man double check see circuit put unaffected wall switch . relative , Long Island join we show one night give cot charge , cot swiftly remove next morning . front desk , housekeeper , concierge , doormen pleasant capable . price mini - bar , bar restaurant breathtakingly outrageous , hey , New York . plenty option . Hint breakfast : Comfort Diner 45 east Third . super deliicious inexpensive . Hint parking : head cpouple block east 48 . 
 Apr 18 2009 	 amazing hotel 	 great hotel , great reception area , friendly staff great service.room quite large , two double bed plus big bathroom . great facility , ipod docking station , tv internet etconly problem amazing hotel city lot do not spend much time enjoy ! 
 Apr 17 2009 	 Met essential family need comfortable great location . 	 ny brother wedding . two kinda large teenage boy along . Got suite pull - out bed , right across Waldorf - Astoria side entrance . pull little small , boy little big . bedroom side adequate husband . without large boy would quite roomy ... quiet , part centrally locate Midtown . nice bar downstairs , little pricey . nice staff , clean , decent bathroom , close everything go NYC . 
 Apr 15 2009 	 Brilliant hotel good location 	 return New York stay Barclay Intercontinental . fantastic time , hotel good , bedroom really nice , especially daughter king size suite ! bathroom not big adequate . love power shower . concierge really helpful & amp ; recommend good restaurant we . find location brilliant get around . eat breakfast Comfort Diner , 5 min walk away . reasonably price good food . busy every day & amp ; sometimes queue outside , move quite quickly . recommend & quot ; New York real tour & quot ; . also really enjoy Top Rock , sight fantastic , especially go dark . also recommend walk Brooklyn Bridge . disappointment arrive Brooklyn , plan visit Grimaldis pizza shop & amp ; get , close due Easter Sunday ! fantastic time New York & amp ; can not wait visit 
 Apr 14 2009 	 great hotel expensive bar ! 	 stay Priority point part wedding anniversary trip . room good bed comfortable clean . lobby always extremely busy use hotel 's bar glass wine go either dinner show well incredibly bad value - $ £ 14 glass average chardonnay . ' ve stay Intercontinentals Europe Chicago bar expensive quite bad , maybe New York ! location ok walk distance lot place want go city . 
 Apr 13 2009 	 would recommend would go back 	 stay $ 144 hotwire 4 night fabulous . check - in quick 8 pm wednesday night rude . get king bed floor friend rude girl come we . skip hotel restaurant get breakfast Lexington - 3 choice 2 block aware of . very easy get taxis front time day . bed super comfy , slipper room , closet large , great water pressure lot hot water . our room face alley noise . wall EXTREMELY thin bring earplug . & quot ; Loud talker & quot ; next door wake hear every word conversation , hang phone - come late every night figure bother much bothered . free wifi lobby plus . short walk many area interest . Grand Central close , shopping . would go back ! 
 Apr 13 2009 	 Great Location 	 Ideal location get around New York . problem incur check say travel agent make book we family member . spend 25 minute total uncertainty inform could check , Staff still blame travel agent error . ask room floor booking make back September ' 08 ; 14th floor parent 12th floor . transpire near end stay error check travel agent error hotel . put booking place . therefore make concession could room 1 pm day check . room clean maid service day . towel clean toilertrie replenish . slight noise problem building work Marriot one night noise another room wake we . bar drink expensive $ 12 coffee . find staff pleasant friendly . plenty place eat outside hotel glad book breakfast hotel see queue . Grand Central Station worth go breakfast deli road hotel . planning go Empire State book ticket direct online . print ticket home bypass long queue even get discount Empire State 's brochure . also worth consider Gray Line Bus tour . good value money one way see lot especially New York day . Times Square great atmosphere , crowded go especially & amp ; ms store Planet Hollywood ( go around 5 pm get table ) . Staten Island Ferry great ' free ' way see Statue Liberty . New York Library worth trip Mueseum Natural History . come New York transport hotel shuttle bus airport make sure voucher trip hotel trip back airport return journey . also make sure phone shuttle company confirm pick return trip . do not phone confirm return trip pick do not voucher ask payment even already pay tour operator . great time worth . 
 Apr 12 2009 	 enjoyable stay 	 stay barclay four night last week complaint . location good room - 9th floor - spacious clean . bed comfy . starbuck across road deli opposite . staff friendly , especially porter outside always cheery . would recommend hotel would stay . 
 Apr 11 2009 	 good great location 	 stay Barlcay 3rd 8th April enjoy stay . good deal Priceline , can not say make difference experience . room 11th floor spacious clean - could fault it . bottom line would go back Barclay ! 
 Apr 10 2009 	 Awesome Location 	 great location hotel ! room could ' ve clean , find couple hair bed ( ' m assume housekeeping staff make bed ... least hope ) . service not bad good , okay . love close everything ... able walk place want see . the deli close really cheap great breakfast ! get great deal Priceline could not complain . pay regular price , ' m sure would ' ve happy , great spot . bed pretty comfortable - great night 's rest night . 
 Apr 9 2009 	 nice classic hotel 	 room quite big , New York standard . bathroom nice clean , though mean new . bed comfortable linen really high - quality . pleased service well . 
 Apr 8 2009 	 worth full price 	 get hotel priceline - $ 140 . since be NYC , price may good deal . however , hotel actually cheap day even NYC be hotel deal . $ 140 , unpleasant somewhat tolerable place say . pay full rate , would livid . first , pros : - location -- be pretty convenient , near Grand Central , close lot good japanese restaurants- parking -- weekend , possible find meter parking right next hotel . find parking spot right front problem . now CONS : - rude staff -- front desk definitely need customer service training ; even though special request complaint even much say , rude reason- clean -- bathroom wet towel still hand dirty soap sud bathtub . toilet paper holder break . - sheet -- thin wear even not high standard beddings- room phone incorrect room number -- attention detail whatsoeverso , pay full price , would recommend another place -- perhaps Benjamine ( great year back ) 
 Apr 6 2009 	 great hotel location location location 	 get back NYC stay hotel 3 day 2 night . say really concerned read many review everything great check - in check - out . arrive around 12 let we check early room not ready leave bag bell hop go way . room 13th floor , face Lexington . day could hear horn , etc . not find bad night . around 9:30 - 10 quite . bed comfy , room small hey be NYC , bathroom real small nice , clean , serve purpose . hotel approximately 5 block Grand Central need taxi , bus , subway . cab fare hotel Times Square approximately $ 5- , cab China town / Little Italy approximately $ 15- . would stay . 
 Apr 5 2009 	 Good Hotel Great location 	 stay hotel 7 night husband 17 month old son . hotel great location , minute away Times Square , Empire State building , 5th Avenue , Central Park ... ny main attraction . also surround restaurant shop , location wise could get well . we stay standard room decent size clean . towel change everyday room clean perfection every day . it true , reviewer mention bathroom small enough , however , ridisulously small , definitely job . bed one confortable bed ever sleep , great day walk around city . in relation noise level , do nt issue . could hardly hear traffic outside . although , true occasionally could hear people room corridor , something would consider problem . the negative thing could say reception staff concierge friendly , never smile say good morning . never help we door try get bag buggy . I would definitely recommend hotel anyone go New York holiday , great location really nice clean . 
 Apr 5 2009 	 great experience 	 Barclay 48th Park Lexington great find . read review bit concerned , location perfect we , decide take chance . we stay room 1152 , small size , cozy , king bed , desk , lounge chair nice size window . room clean , crisp linen , mattress pad comforter , lot storage , big , big closet , in - room coffee pot small room safe . appear whole hotel recently renovate , hallway , elevator lobby impressive . nice service , nice staff great location . easy walk subway Central Park 10 block away , Grand Central Terminal 6 block , not miss Oyster Bar low level Terminal , great place lunch . I give hotel 4 star , book next vacation NYC Barclay . 
 Mar 31 2009 	 Loved - great expereince 	 stay 5 night Feb half term - first time NYC . bit apprehensive hotel have book internet not know expect . room fine although slightly large one next door . bathroom small functional not go ny sit bathroom . bed huge amazingly comfortable crisp quality sheet . tv remote not work one call sort straight away . frend say tea / coffee not find equipment cleverly conceal unit . staff helpful have lead expect New York . lobby gorgeous bar nice expensive . felt quite european style - lot wood stain glass . also lot Europeans stay there . do not eat use room servicebut use various deli within 1 minute walk . could get huge freshly cook breakfast bucket coffee fresh juice 6 dollar . area feel safe walk around feel central restaurant , subway , 5th avenue , Grand Central etc . concierge happy recommend book restaurant . noise not bother we although use middle countryside . street noise expect ( siren etc ) honestly not bad 12th floor . it sound like New York . - would definately use hotel . 
 Mar 30 2009 	 Nice New York Hotel 	 come two night weekend getaway hotel work great . book one bidding site get great deal . hotel convenient spot , staff helpful . arrive early , room ready we . room not big , clean nice bed . bathroom small nice . would stay . 
 Mar 26 2009 	 Nice Noisey 	 book two room family long weekend New York . disappointed . superb location impressive entrance . get upgrade one room Intercontental Ambassdor Club member . one level upgrade , not junior suite get full suite whole stay . comfortable clean room , problem noise . windows 48th Street Lexington Avenue , despite double glaze niose city intrude . hotel can not control road work police ambulance siren , expect noise . contrast room inward face , view quite . guess choose two thing . staff helpful , issue get Bell Captain open luggage room come leave . take 15 min find . budget , lot choice restaurant etc breakfast fraction hotel charge . overall great base long weekend New York . 
 Mar 26 2009 	 Good Honest Great Location 	 stay weekend end business trip Canada States . fantastic location , 5 min walk Grand Central Station 10 - 15 Times Square . room clean , well maintain . complaint room staff not really make bed particularly well ( perhaps not tip enough ? ? ) . staff pleasant deal - pushy New York stereotype come across elsewhere . you will not many complaint . 
 Mar 21 2009 	 recommend reservation .... 	 perfectly honest , british reviewer sum hotel upin review .. however , e - mail hotel twice prior arrive obtain specific room requirement reply ever receive mention make time check - in . request soon fiance , could'nt really mention infront ! brwifly sum ; location first class , rate pretty reasonable . room small nicely decorate . coffee machine room . dress table either actually major gripe gf perch floor use main socket mirror ... say , would return . 
 Mar 19 2009 	 Cheap ! worth barely every penny . 	 first , good - last minute ( same - day ) trip Intercontinental get reasonable room rate . ( $ 250 , mid - week ) be solid , central location , lobby quite appealing . now , everything else : apparently room type parameter , simple request honor whim hotel . even explain no - notice - no - luggage - stick - in - ny nature trip , ask twice sort toiletry . arrive , apparently & quot ; yes , everything need & quot ; mean , & quot ; be toothbrush disposable razor . & quot ; room dingy , combination hardwood tile floor wear carpet . bathroom clean , need update . the staff ? well , unfortunately staff indifferent distant - exactly preferred reaction business traveler midst New York - centric recession . all , yes - probably get pay . would pay . 
 Mar 17 2009 	 good except noise 	 like last couple reviewer , concerned recent negative review , room clean service fine . upon enter room startle small entry hall ( room 's door will not go past 90 degree ! ) . rest room small , ridiculously . bathroom . shelve toiletry tight , ' ve see bad . room & quot ; upgrade & quot ; ( comfortable ) king - sized bed . satisfied got , buy room Priceline . big fault find would noisy . street sound , be go hear midtown , guest ( use normal speak voice ) hallway , pipe ( flush ? ) room , toilet flush , guest room next ! amazed ' ve always consider old hotel thick wall , door , etc . Stylistically , Barclay remind nearby Roosevelt Hotel , notch ( big , slightly stylish lobby , hallway room little nicer ) . wish could give hotel 3.5 star , slightly well & quot ; average & quot ; shy & quot ; good & quot ; 
 Mar 14 2009 	 great locationgreat hotel great city 	 wife stay fri 6th march tue 10th march - people anything negative say hotel beyond . upgrade king - deluxe room fantastic - good sized bathroom ( new york hotels ) huge superking bed.staff friendly polite times.the location hotel superb - 48th street literally 5 - 8 minute walk time square.you also get red nyc tour bus hotel waldorf next door . superb view chrysler building add bonus.concierge helpful recommend superb diner breakfast - comfort diner 10 min walk hotelyes hotel be not cheap want treat special hotel special city would recommend hotel anyone 
 Mar 12 2009 	 pleasantly surprised . 	 read review trip advisor , worry visit hotel . need , arrival desk lady pleasant helpful , tell come back 3.00pm room would ready , problem policy understand , instance check noon , nice do not want rush around depart morning . give nice room 14th floor 1 hour , bang noise start seem come roof , rang reception immediately send engineer room , tell steam go pipe be not anything could do , could transfer another room straightaway , decline worried read review get lucky get nice room move room would give great room , noise start next evening keep we awake , early next morning go reception ask move give equally pleasant room 13th floor staff could apologetic , even sleepless night blame , find hotel staff superb . room spacious clean , sundrie top every day . hotel central position find everyone include concierge helpful would recommend hotel visit , yes without doubt ! ! ! ! . 
 Mar 11 2009 	 Comfortable Room perfect location 	 stay Intercontinental 5 night whilst business August last year . hotel perfectly locate many office around Park Avenue within easy wlaking distance Times Square main attraction . my stay adequate . room large enough big bathroom always clean . sure look close enough around edge hotel room thing improve faulty plug socket tired furniture , overall decent central New York hotel . one thing would say avoid buffet breakfast though order something menu time limited selection buffet lot fly tad offputting . 
 Mar 2 2009 	 well locate comfortable hotel easy access museums subway shop 	 book hotel via airmile quite concerned read comment tripadvisor quality hotel describe place 4 star other 5 star . use stay quality hotel . I pleasantly surprise . order benefit offer book stay 4 night + 1 night stay . e - mail hotel request could stay room throughout . arrive note e - mail system receptionist find room straight away we . address comment read : bathroom small perfectly adequate . clean restock daily floris toiletry . shower could powerful still good flow . double shower curtain quite effective pull one inside bath one outside . water spillage floor . water always hot regardless time day require . thing adjust lighting . use new type bulb take second become fully bright . want large bathroom not stay central NY hotel rank price . the room dusty cobwebs . go far run finger surface high low . could find dust . carpet could bit new far threadbare dirty . room good size 2 queen bed . book standard room give deluxe room . wardrobe one big ' ve see hotel . coffee maker work quickly give two coffee sachet day . tell would pay think quite mean always take sachet coffee teabag put water throught maker get hot water . big gripe small like ( 5 ' 3 & quot ; ) stand tiptoe make sure could pour water . 's bad thing could say , be pretty satisfied . noise level . definitely recommend request high floor . fortunate 14th floor even could hear noise outside . however city centre size would anticipate noise - certainly get Europe . nevertheless think double glaze instal assume restriction art deco building . breakfast amazingly high price standard city hotel consequently never . buy breakfast previous day either deli leave opposite side road come hotel Cafe Europa ( numerous outlet central ny , definitely recommend ) .Check run smoothly I . my problem hotel minor overcome . firstly luggage not arrive . 30 minute rang . less 10 minute appear accompany admission make error apology consider perfectly satisfactory . secondly dinner menu uninspired . give winter cold sometimes not want go day 's sightseeing . however choose eat turn excellent although expensive . turn alright . I go art usually always walk city get feel . time though cold windy ( like weather description grey gusty ) take taxis various museum . average pay $ 11 include tip consider affordable . I would recommend get city pass culture vulture like include entrance 4 museum also trip Empire State Building 2 hour cruise round Manhatten . bonus discount certain restaurant 15 % bloomingdale . would go back Barclay - yes would careful much pay . 
 Mar 2 2009 	 fantastic location 	 reading review little concerene find reason . yes 's old hotel add charm . find staff without exception pleasant helpful . room good . good size , well decorate , spotlessly clean . bathroom indeed small hinder stay ; shower , toiletry etc fine . use Reward point still upgrade note book Anniversary . location particular perfect , right heart Manhattan , easy access main tourist attraction . New York , first time visitor fall love . 
 Feb 28 2009 	 wonderful vacation Barclay ! 	 take young child age 6 9 first holiday Big Apple Feb half term . I travel agent therefore may critical people , however could fault Barclay ! room huge city hotel two large , comfy bed ! although bit noisy night ie traffic horn beep , expect NY tired hectic day bother we ! couple really handy delis breakfast little informal italian across road great . it 15 minute walk Times Square 5 min Rockefeller - even walk pace 6 year old ! would happily recommend hotel client would happily stay myself - we fab stay ! 
 Feb 26 2009 	 ok Hotel Horrible Service 	 stay Intercontinental Barclay NYC & quot ; win & quot ; hotel bid Priceline . upon checking & quot ; greet & quot ; front desk clerk name Sokul ( something like ) . use term greet loosely kind grunt we come desk . check we without ask type room would like anything slide card we counter not say word . & quot ; room number # 123 & quot ; , & quot ; elevator way & quot ; , & quot ; thank & quot ; ... nothing ! ! ! un - customer - friendly come . get room , discover two double instead king call front desk ( course ) get guy . tell would $ 50 upgrade king bed . skip . big deal , , attitude poor . we hotel front desk clerk leave last impression . book via Priceline , definitely go way book area hotel chance get . great location , many hotel NYC choose would happy business . 
 Feb 23 2009 	 love everything Barclay ! 	 return 5 night Barclay . wonderful time . surprise Christmas present girlfriend first time New York . I originally book 3 hotel choose , poor £ $ exchange rate , go Priceline . end get Barclay could not ask well hotel . get superb deal . the staff accomodate even give we Executive King room top floor , email explain first time New York . the room huge everything need . bed gigantic comfortable ! nice quiet even IPod docking station get ready morning ! location fantastic . walk pretty much everywhere , apart get subway Downtown . 5mins Grand Central , 15mins Times Square . we get Olympia Trails bus Newark airport drop we near Grand Central walk Barclay . perfect ! try Ess - A - Bagel round corner , good bagel ! ! couple nice diner coffee shop nearby breakfast snack . concierge helpful query nothing seem much ask . we would definitely stay recommend friend . all , wonderful trip we wait return New York ! ! 
 Feb 16 2009 	 Great Midtown East Location ; would definitely stay 	 hotel great Midtown East location great place couple night New York . room nice , well lobby . unfortunately , internet Access room cost $ 13 , free lobby . hotel right Grand Central Rockefeller Center , close Lexington/53rd St Subway Station Hub . overall , would definitely stay . 
 Feb 14 2009 	 3 Star experience 5 star price 	 ' m frequent intercontinental guest always expect good experience . reason , book Barclay 3 day visit New York wife . despite excellent location decent gym , find service poor . hair people bathroom floor always bit freaky , king size bed mattress sway side side slight movement mean sleeping feel like deck ship ( surprising intercontinental usually great bed ) . finally , poor service grating- chase breakfast room inadvertently sit 10 minute open example . staff really not seem care . room service 12 5 night , mean be european time like , well snackbar ready wake normal 2 . perfectly reasonable hotel new york be pay $ 150 night ? sure , be worth . pay $ 300 , feel let . 
