Better 	 basically reason stay Las Vegas Hilton could enjoy one fantastic option around town . first , hotel reminiscent 1970 's , decor , patronage , amenity . case point - Barry Manilow ABBA show Hilton time visit spot . room break , outdated decor , old television , dirty tapestry , . crowd cheesy old ... prepare see interesting character wacky clothing . lastly , hotel locate Strip basically way action . this typical , upscale Hilton , budget Vegas hotel hide behind positive brand name . look affordable option , would suggest check Flamingo , Tropicana , Bally 's , something actually Strip . might similar & quot ; cheese - factor & quot ; ( like call ) , least enjoy nice pool well location . 
 dirty pit ... customer service ... avoid like Plague ! ! 	 go convention think would good stay host hotel convenience Hilton 's prior reputation one excellence ... ugh ! check nightmare . day convention know many people going check understaffed . feel like Disney line high season . room adequate size etc . jet tub excited . fill hot water , get turn jet , lean back closed eye .... aaaahhhh .... open eye EEEEWWWW black foamy crap ... come jet , jump jump shower scrub .. heck , someone else 's dirt skin ... still feel ick talk ! . go front desk response repulsive event ... & quot ; hmm ... be odd .. anything else help ? ? ? & quot ; ? ? ? ? even apology , let alone compensation even free drink .... wow ! Buffet absolutely disgusting ... McDonald 's could do well . actually take tram Planet Hollywood buffet awesome .. avoid eat hotel . would not recommend keep dog .... 
 Pleasant surprise - well expect 	 attend weekend event attach LV Conf Ctr daughter stay Hilton . know go remove Strip , pleasantly surprised on - site food value ( sandwich shop sport book really good ) well in - and - out Burger Sahara . let state room experience greatly influence Hilton Honors status . receive complimentary upgrade Grand Room ( 600 sq ft ) couch mini - fridge seem reasonably freshen - room really need make great , relax stay . another hhonor benefit complimentary breakfast buffet 2 - save major buck ! valet service reasonably quick compare place ' ve stay Vegas . all , think nice place stay nice non - themed place good value . 
 Good Hhonors perk 	 stay LVH last week one night . booked rate $ 38.xx Visa 25 % special , use AMEX pay get . check vip room next front desk ' m Hhonors Diamond member . upgrade offer ask - heck , one night . ask Diamond amenity check clerk go look pre - printed sheet . room basic Hilton quality room . bed comfortable . tub huge . nice west face view strip 20th floor . glass elevator north end north tower ( close parking deck ) quick little wait fun able look ride down . the spa nice , free Diamond member . also use Diamond card get free breakfast buffet . parking free convenient , although three & quot ; 15 minute limit & quot ; space check appear long term parker . enjoyed walk around hotel , check restaurant , casino sport room , although also go sight see Caesars Palace quite impressive . pleasant experience well worth cost . 
 Met Requirements 	 travel Las Vegas Birthday Bash adult child . husband member Hilton Honors use point holiday . request room North Tower adjacent . arrive hotel quick pleasant allocation room helpful receptionist . bag quickly bring we problem room adequate need . problem encounter dripping shower ( waste water ! ) . room well appoint , bed comfortable keep clean promptly cleaner . the hotel little tired , one old . buffet breakfast excellent vast array fresh fruit , cook breakfast mountain cake bun . certainly could eat fill . try Paradise Cafe first night food brilliant . never eat restaurant hotel prefer visit strip restaurant Paradise Road . eat good chinese P F Changs hotel good steak Ruth Chris Steak House . casino hotel quite small compare other find loose winning , well luck Mirage other strip . all read review quite happy stay , would prefer stay strip convenient get around night . hotel get busy stay convention , prehap good tourist want leisurely time . 
 Good Value money - need updating 	 book stay Hotels.com find fabulous rate ( note folk would try invoke Hilton ' Best Rate Guarantee – hotel exclude policy ) . check quick easy since Hilton Honors member . person check give we room face strip 18th floor center tower . room large - large . amentias room modern , nice new desk , chairs dresser hold large flat screen tv . bathroom , clean , salmon color tile wall floor rust tub / shower . way keep shower dripping constantly put lot pressure single knob control water flow . carpet atrocious orange color stain middle large go front desk let know not . front desk offer move we another room , big deal . king bed plenty pillow comfy . finally decide get bed quickly learn water pipe room around loud squeak harsh tone someone flush toilet take shower . in morning opportunity use spa / workout facility . workout room 5 treadmill 2 elliptical 4 bike . however 3 machine order . also set weightlifting machine dumbbell use . fresh fruit available guest spa charge . food / coffee expensive property . wife pay $ 6USD large coffee morning . opt walk across street AM / PM mini market soda fix . checkout leave lot desire - front desk person deal downright rude . hotel strip ' big deal . always rent car money save hotel basically pay rental car . not get car monorail stop hotel . overall good experience . bit update would great experience . 
 Jul 8 2009 	 good karma 	 would like say hotel comparble 4 star . write review fact housekeeping come w/ dnd sign door . first realize , big deal . later night could not find game voucher 52.50 . call security long story short hotel manager offer repay money take care upgrade charge . professional compassionate . 
 Jul 7 2009 	 Las Vegas Hilton still nice place stay 	 Hilton still convenient , friendly , & quot ; home & quot ; feel many mega - resort fail provide . receive nice upgrade room clean new . review ' ve read puzzle since find Hilton perfect place . Sports Book still exceptional year buffet well worth price . pay $ 49 good reason stay . 
 Jul 6 2009 	 update Vegas Classic - nice place strip 	 ' ve come Las Vegas Hilton many year . partly ' m Hilton HHonors member partly cater middle roller . hotel recently go extensive facelift two year ago . room flat screen screen tv 's new bedding . room comfortable clean . air conditioning work well 40 year old hotel . dining option decent pretty standard Vegas Hotel / Casion size . Buffet good outstanding . one thing notice appear Hilton shut Mexican Restaurant Teru Sushi Bar Benihana Village . wife look restaurant Friday night 4th July Holiday close . dissapointe . late night casual dining option coffee shop Pizza Hut outlet . new lounge call Tempo pretty nice . be free live music / DJ 's missing place . come show , entertainment option among good Vegas variety act perform . one area Hilton invest heavily in . for resort ammentie , Hilton large pool area third level several tennis court . pool area could use shade hot summer day . spa facility nice gym small taste . standard free weight , machine treadmill norm here . the casino large compare other strip . sport book huge great place catch game provide get early grab seat . Eigth Pole Bar sport book area dire need make due smell come drainage pipe behind bar . Stick Tempo Lounge Spacequest casino drinking pleasure . all , Las Vegas Hilton good value mid roller . dumpy like Riviera Hotel super upsacle like strip resort . could alway take Monorail strip . note Hilton hhonor member : hotel own Hilton Resorts International . get perk Gold Diamond member ( free breakfast buffet , free spa access , free bottle water ) expect room upgrade . executive floor get anything standard room , unless high roller . 
 Jul 2 2009 	 would go back 	 event . since location event other stay , . stay 3 room suite essentially 3 separate room connect door . although certainly bad place , would stay reason below . the OK:1 . check bad . wait 45 minute line one 2 people service check - in . other wait past 5 pm get room.2 . & quot ; heat pool & quot ; ice cold , one expect Vegas , little shade unlesss cabana . not know keep pool cold give temperature jus tthe difference two , cold.3 . destination within Vegas . word , nobody go go Hilton another hotel . result people casino palpable lack energy.4 . petty charge . include $ 3 per day use room safe , $ 14 per day internet $ 3 charge printing boarding pass front desk . shower aerator hotel , take shower bit struggle give water spray , lack . think would charge tap water could.5 . price throughout high ( $ 3 bottle coke sundry shop ) would expect top end resort hotel strip . problem one strip . breakfast 4 coffee shop easily top $ 50 bacon egg . 5 . ask strip view high floor . get 6th floor strip view ( really sure really one property ) . also jack around make reservation 2 people ever giviong us rate room.6 . casino relatively small week , isrelatively empty . end day , sport book mess ( oppose place constantly clean 's ) . poker room play.7 . go anywhere else expensive . cab ride strip , instance , minimum $ 10 - 15.8 . much well value strip top end hotel currently quote rock bottom rate room . the OK:1 . room nicely appoint bed comfortable . go casino get elevators.2 . staff ( front desk ) casino employee pleasant.3 . food restaurant overall good competition although expensive . try hard provide alternative dining probably deter leave property . option mexiccan , italian , chinese , japanese , deli , coffe shop , buffet , ice cream place , steak house , coffee place ice cream shop.4 . never wait cab line . guess cut ways.5 . little close airport . the bottom line : bad place . however , much well option want Vegas experience and/or well value . 
 Jul 2 2009 	 good place stay strip 	 get great deal hotel Travelzoo . 60 $ night , good size room locate center tower . service courteous . use many voucher food drink . negative point long wait drink pool worth wait ... 
 Jul 1 2009 	 reservation 	 book 5 room March May 30th reservation . non smoking , arrive late night 30th , come East Coast , 11:00 vegas time , room smoking , non smoking room available . ask person make reservation Hilton , one know . bottom line , stay , communicate general manager assistant , comment non smoking room regueste , reservere . HUH 
 Jun 30 2009 	 great price nice room 	 stay LV Hilton couple week ago fun trip friend Vegas since price low . room $ 59 / night room look brand new pretty spacious . casino entertain hotel one stop along monorail make really convenient access strip . definitely recommend hotel . 
 Jun 28 2009 	 Classy Hilton 	 stay Hiltons probably twice year . bad stay yet . smell cigarette smoke . shower drip . vanity area really small . remote not work . tv old . bed really uncomfortable . upgrade strip view , strip view . swim pool horribly small Las Vegas . good thing free parking . 
 Jun 23 2009 	 nice stay 	 Booked manilow package . cancel 10 day leave decide give try never Vegas & quot ; kidless & quot ; 1st time . check late , issue , ask recent renovation freshness important we thing . Got jacuzzi , mini suite East Tower . comfy , clean , fresh . Central Tower renovate recently . late room service . good big portion . Wife check spa next day . nice massage accord . Stayed total 4 night . issue . Buffet- Stick breakfast . lunch nothing great free . dinner menu looked pass . b'fast fine . TJ's- Excellethent meal , Service OK . expect Old Vegas steakhouse feel . huge meal skip appetizer . Casino- small less crowded off - strip large convention week . feel cheezy like Flamingo , Bally 's , Harrah 's , elaborate Bellagio , Paris , etc . big gambler fan smokey room fine . pool- nice enviroment quiet couple familiesBar- Tempo Lounge good service , good drink . entertainment- skipped hotel stuff go & quot ; & quot ; . Good showShopping- Wife like dress , shoe , accessory shop lobby . damage . 's extra suitcase suppose . Overall- nice , fresh , comfy room , service fine , food option good . monorail fine get strip . enjoy do night , could hop monorail 5 minute ride back small crowd nice & quot ; Vegas & quot ; enviroment . Manilow would , would perfect get away plan Lovely . at sight , hear complaint folk . gripe cost , service , food , etc . bottom line get pay come food , show , general hotel ambiance . Bellagio , extremely nice ( expect Hilton ) . also , nice upscale property , get give . smile , pleasant conversational , Learn use staff 's 1st name , give compliment , tip nicely , say thank . good staff full good advice , smile , good service . 
 Jun 23 2009 	 Vegas holiday 	 holiday excellent value money , accommodation also good , altho ' situate Las Vegas strip , monorail system take one end strip , indeed value money . Las Vegas never disapoint , vibrant exciting , something everyone 24/7 . would strongly recommend good pair walk trainer , high factor sun screen , otherwise give go ! ! ! ! ! ! ! ! ! ! ! ! . 
 Jun 23 2009 	 pleasantly surprised ... return sure ! ! ! ! 	 wow .... change . last time stay five year ago , hit miss whether would return . trip Phenominal . pleasantly surprised throughout entire stay . check - Breeze ! suzie friendly room key hand within 5 minute arrival . offer suggestion extremely pleasant . Paradise Cafe - Great Food . cook perfectly taste Delicious ! staff friendly attentive need ! thank Marie Pricien ! pool - Clean , huge , acceptable amount people . would like additional wait staff Pool , one girl whole pool . spa - Clean . nice Set . Jacuzzi Wet Dry Saunas Men Womens Lockers . Friendly Staff . Valet - Quick Efficient . room - Definately ask Updated Room , nice clean . thank change impression hotel ! ! ! ! ! 
 Jun 22 2009 	 good place stay Las Vegas 	 Las Vegas Hilton exceed expectation . book Premium Room upon checkin offer upgrade Resort Club room additional $ 20 per night . check around midnight charge we upgrade first night . stay total 5 night . give we Strip View room 26th floor North Tower 29 floor , could ask . Resort Club offer access 6 am 8 pm lounge 24th floor – continental breakfast , lunchtime cookie evening cheese wine beer . lot freebie include , local call , newspaper , bathrobe , etc , etc , etc . fresh fruit , tea , coffee . juice , soft drink water available day - eat take . room large , clean everything work . housekeeping efficient , front desk busy handle number pleasant attitude . hotel far way strip , Monorail Station 3 day pass Monorail cost $ 28 must one way ride cost $ 5 . great hotel noise strip . 
 Jun 22 2009 	 NIce Hotel 	 Booked hotel trough booking.com huge discount ( $ 999 $ 199 ) great value money . hotel not look much outside , inside tipical Hilton , clean , great room . Got upgrade room free ! casino huge compare other Strip really breath take . pool look big photo , nut ok , mostly visit kid middle aged guest . pool party middle age ( guy guitar , country song etc ) . location ok , Strip ( 10 min walk Riviera hotel ) . charge high speed internet $ 13,99 ( hate ) . food : Pizza Hut , low budget high budget place . great coffee Paradise caffe . smart thing eat Hilton buffet - great choice food $ 14.00 + tax ( breakfast lunch ) $ 17.00 + tax . sound expensive we , place Vegas even expensive not look nice . 
 Jun 20 2009 	 well option 	 hotel not feel like Hilton , rather hotel look take money every step ... basically Vegas , lol . lot charge everything ! ATM fee $ 5.50 , coffee pot room : $ 12 , list go . check - in take hour line massive completely understaffed . bumble staff member place people line ( vip ) , otherwise stand watch horror show check - in continue . jump behind desk help staff , nope . my confirmation number not work finally get desk , number anyone travel group . apparently give we bad info . make matter bad , room not ready . luggage drop overfill baggage , leave luggage someone else 's room come back first meeting . we never enough towel hotel room , never even get washcloth . ' ve stay Hiltons really subpar . furniture wear iron really bad ( yes free ) .there monorail station hotel , city bus stop right front hotel ( be go to / from airport , use option . cost $ 1.75 , transfer need ! ! ) . however , always feel distant strip life far away . even strip hotel bus not stop , minus . expect wait minute elevator . 6 every 15 floor always seem take long time , even though nobody ever elevator get on . the restaurant hotel good . dine Bennihana great , although pricey . well option Vegas hotel . 
 Jun 17 2009 	 well 	 stay Las Vegas Hilton end May , 2009 attend conference hold there . I read review TripAdvisor know ask update room make reservation . room update lovely although curiously enough bathroom towel rack . however , air conditioning fan must holdover loud turn night go sleep . second night stay , two people check room next door . appal realize could hear every word . turn fan back hope consistency loud hum might overcome noise next door help fall asleep . the hotel nice pool area 3rd Floor get terrific massage spa . on hand , location hotel poor 's far away strip . it be terrible hotel - get upgrade room ; however , choice location , would suggest look around find another hotel . 
 Jun 16 2009 	 Nice update room bad service . 	 Las Vegas Hilton alot easy eye get room . surprised update decor . thing service great wish would done research location . want action , Hilton locate far North strip . ( totally fault ) go happy hour little mexican restaurant inside hotel think coctail waitress late , bartender weed time get leave . Hilton ok , shop around well hotel deal book . 
 Jun 15 2009 	 Tipping Monster 	 unusually bad experience tipping . check , call bell dsk take luggage . bell boy take luggage refuse move room wait tip . would'nt move room luggage . finally leave luggage tip he . wait tip huge problem US hotel bad one . 
 Jun 13 2009 	 Package Misleading - beware ! 	 purchase Winter Escape Free Stay package stay hotel November . package able return summer free night . restriction & quot ; base availability & quot ; . summer attempt use free night twice tell could availablity . however , plenty room available date request room offer pretty low rate well . husband , Hilton Diamond member , question manager honor one night . attempt book three night another stay since 4 coupon . hotel 55 % book want stay 4th July weekend . mind black date . tell manager time anticipate hotel book weekend want stay night available . 's & quot ; base availability & quot ; mean ! ? room available plenty call redeem coupon . escalate Hilton corporate level . matter outcome , appear management reserve right change rule see fit . read review appear one mislead . currently Summer Splash package offer similar package purchase . stay , come back November December stay free , & quot ; base availability & quot ; . good luck redeem future night . not ! resolve properly , return property . way many choice . 
 Jun 11 2009 	 surprisingly good almost every way 	 husband stay LV Hilton next Convention Center attend trade show one day vacation . get fabulous rate : $ 45 senior AAA discount , really not expect much . boy , pleasantly surprised . get accessible room use scooter get around , lovely . great bed , large room , even empty frig . everyone super nice accomodate scooter . since be Hilton Honors member , give free buffet breakfast perfect : bagel lox , omelet , fruit - all fresh . would hear Spice Market Buffet Planet Hollywood vote # 1 . , voter never good buffet . awful except middle Eastern section dessert . go Hilton Buffet next night really good much less expensive . not Paris Bellagio , service excellent ( terrible Spice Market ) food good totally fresh . casino nice smoky - I even offer young guy $ 1 move end crap table smoking ( not play ) - graciously move actually penny slot fun play - and get we free drink even move serious play . pool nice , uncrowded , really good happy hour 4 - 8 . complaint housekeeping not quite par ( although room basically clean , vacuumed ) mention checking , give upgrade next visit . record Peppermill Lounge Bar must try . be like old Vegas , lot neon , waitress ball gown sit , dark corner couch , fireplace fountain , great old time drink . open 24 hour lot fun . restaurant attach ok need late night breakfast burger . , everything go totally right trip . btw , be come San Jose , can south , look Allegiant Airlines . really cheap , although put hell try book flight . email need info . 
 Jun 11 2009 	 Par would expect Hilton brand name 	 Hotel good , room clean acceptable . use stay Hilton 's city , might fine step quality one expect Hilton brand . bed sheet confortable , room & amp ; furniture little worn typical Hilton brand . plus side restaurant great , Garden Dragon outstanding chinese food , well ever . 
 Jun 10 2009 	 lose business 5 year loyalty 	 ' m write LV Hilton room 4 day customer service relate problem really grateful checking tomorrow . ' ve loyal customer LV hilton last 5 year , stay variety room type rate business pleasure . plan return late next week day trip LA cancel reservation stay elsewhere . none staff accountable , make stay real bummer . one thing another . : book melissa casino marketing send email confirmation . check , front desk tell & quot ; package & quot ; include certain feature expect . finally fish email confirmation two day later bring Michael 's ( marketing ) attention say understand mistake not expect feature package get 4th night free instead 3 night stay feature . , ' m still stare email confirmation list 4 night stay feature . hmm ? ? room clean . ' m still stare sunflower seed , plastic clothing tag dust carpet bathroom counter since Sunday , 4 night . speak front desk get , & quot ; room available package rate & quot ; loyal customer pay 2 time current room rate several occasion past , ask front desk $ 149 per night room clean . get answer , front desk attendant continued smile . upon check -in front desk take imprint credit card could not charge anything activate in - room safe without go go inform state room . room look little warn bathtub horrendous , mold around caulk chip enamel , will post picture get home . definately not see anything like last year . yes , well deal well customer service around strip . not stay . not care anymore . , eat Buffet . happen go eat TI Wynn decide stay even South Point . will pay TI Wynn staff actually pleasant . south Point even offer give we room tour pool gorgeous . 
 Jun 9 2009 	 nice place - poor service 	 room : Larger expect , bed nice , bathroom need major overhaul . Shower head come wall , stupid shower curtain history ( water everywhere unavoidable ) . overall = satisfied priceService : need help ! ! ! whoever operator place , need training . call ask hotel Dick 's Last Resort , one know . unaware buffett operate hour . inquire pool cabana , tell ' do not ' ... um ... yes . yes , . quite frustrating evey time question , could not trust answer recieving . maid even move stuff around , get rather creep . checking take forever , 10 pm , line get long long behind we . overall = impressedBuffett : Free Breakfast Buffet ( due summer package deal ) , $ 17.99 value . pretty good . say , waitress well ! Wish get name , 'cause hotel full people do not seem give damn , amazing ! little , old , curly haired , blonde lady . overall = good buffet ( mimosas / beer boot ! ) pool : nice pool . friendly pool staff . felt like top people whole time , though . 2nd patio tier ( lounger , couch , umbrellas ) , 3rd patio tier ( cabanas ) empty , everyone crowd main patio tier . know want make money , get cabanas , rent $ 50 lounger ? really ? probably ... empty ... alone . oh well ! overall = good time , pack like sardinesCasino : pretty nice 2 separate gambling area . space / Star Trek area , traditional casino area . loooove sport bar , spend time race Saturday morning immediately brunch . smart location ! overall = nice 
 Jun 1 2009 	 Great Value Location 	 second visit property . receive upgrade roonm upon check - in .... beautiful elegant decor . comfy quiet . 's great location want near craziness crowd strip . monorail station pick right hotel take strip quickly . Hilton Honors Diamond Member , receive complimentary buffet breakfast fantastic , especially weekend champagne brunch . buffet know include free beer wine dinner . bad $ 20 . also , Hilton Diamond member , receive complimentary valet parking great perk car . be nice happy hour pool 4 7 p.m. not include frozen drink disappointing . try cabana be plan stay sun day . get 20 free drink soft drink , juice and/or water along flat screen tv watch day . attendent bring we ice constantly not really need since cabana fridge safe . casino not pack could actually pick slot machine play . actually dollar . head Ceasars see Cher 's last performance Sept 2009 . fantastic show however , pricy even cheap seat . valet park free Ceasars righ Colesseum door go see show . plan spend time show 's crowded everyone fill casino . Tuesday half price lady day spa . incentive book treatment might usually give expensive . , well worth price ! stay ! 
 Jun 1 2009 	 renovate room OK allocation arrival mean gamble .... feel lucky ? ? ? 	 book two night , KING SUPERIOR STRIP VIEW ROOM / UPDATED FURNISHINGS / Non - smoking Confirmed - directly Hilton Honors . reason , despite read mixed review , website pictures update strip view room look reassuring ( yeah , know , fall old trick ! ) , monorail would make easy get around , room rate reduce $ 299 $ 169.so give try . we drive San Francisco not arrive Las Vegas Hilton around 9pm . on arrival , self - park garage easy find , roll wheelie suitcase lobby minute parking . we request high - floor room hope good strip view , disappointed hear clerk say , & quot ; strip view room , room overlook golf course ... & quot ; . present print reservation apologise say whatever say website , room allocate arrival . nothing could hotel sell evening . open door EAST wing 15th floor room dismay . firstly , room smell badly smoke , furnishing , carpet television wear , dangerous broken tile outside bathroom . window dirty , look though clean month . however , room perfectly clean , decide go back lobby request move room type book tomorrow . gentleman first deal arrival , leave , instead deal Francisco , apologetic helpful , reserve high floor , non - smoking , king superior strip view room next night . thank , Francisco . next morning go back lobby explain situation , complain , advise see concierge desk , could anything first night room rate pre - pay , reduce room rate $ 99 second night . happy this . the room move north wing 26th floor , completely hope . obviously update , brand new carpet , furniture , television , bedding . window spotlessly clean , superb view strip . fantastic . so sum , staff deal resolve problem really good , particularly , Francisco , lady concierge ( sorry , name forget ) . monorail , self - park garage , manage , renovated room , satisfactory . however , disappointed Las Vegas Hilton reserve room book Hilton website . misleading , truth , stay , this . if could confirm room type second night , would hesitate stay Las Vegas Hilton next time . we enjoy stay otherwise . 
 May 31 2009 	 one nice Hilton property ' ve staye ! ! 	 stay Hilton Honors gold member Memorial Day weekend . reserve classic room strip view get upgrade newly renovate strip view . however , say " strip view " really mean press head window look way right see rear strip hotel far distance . big deal though . ' pay extra future . room one nice ' stay Hilton property . comfy bed , plasma tv , new furnisher , even empty fridge ! warn , however , in - room safe cost $ 3 night . table tent explaining though push way back practically unseeable unless look . front desk kind enough adjust charge end stay though . LOVED monorail . fast , convenient , clean , safe , kind fun . sure beet sleazy cab driver get keep try promote strip club want charge we $ 20 go Las Vegas strip . the casino glitzy one strip . nonetheless , kind come $ 20 + ( small gambler great ! ) . compare Ballagio take whatever money put machine . pool scene bad . drink reasonably price happy hour even free raffle 7 pm small prize like show ticket free drink . spa workout room ( free elite status guest ) exceptional . separate male / female dry sauna , wet sauna , steam room , Jacuzzis . gold member also entitle free buffet breakfast serve 10 am . unfortunately , group 20 ' way early never make it . so , , must say saw property strip like venetian kind wish would stay . absolutely beautiful . though end , price pay , well Hilton Las Vegas would heartbeat . tip : use Hilton Team USA promo ( Google search ) get good price . be well AAA , still get point , work Hilton property . get $ 79 night use memorial day weekend . 
 may 31 2009 	 not go Barry Manilow Show 	 Las Vegas Hilton nice , . surprised bad Barry Manilow show last Thursday , May 28th , 2009 . show bill & quot ; Ultimate Mailow , Hits & quot ; hardly sing hit . sing song write never popular , never hear . sound system terrible keep check something belt ( think earpiece hear ) point annoying . backup singer ok whole stage presence definitely second - rate . something would expect $ 200 ticket . look around face crowd performance see reaction see disbelief . not third row , would try escape . 
 May 28 2009 	 great location clean service good ..... 	 stay Las Vegas Hilton 8 day business . location great room clean . service bad call new remote tv never get call wire hang ceiling never come fix either , call extra hanger bring within 5 minute nice . room service good timing well . mexican restaurant Star Trek place long mexican restaurant still get drink snack . service casino floor drink bad drink person ask six time come get drink order good hour come get order another 1/2 hour come back drink time money ready leave . age staff work hotel 50 casino floorand slow , tell union not care loose job . staff working table mean unfriendly ( two ) nice smile . room great hotel need work get staff work smile need get people happy actually job ! ' m easy go person ' m way person complain service unless be really bad . 
 May 27 2009 	 really terrible . 	 bad check . downgrade room . dirty window . view- despite pay view room . rude casino staff . non - draining bathtub . bad air conditioning room . food leave hallway . positive proximity monorail could easily get property . 
 May 27 2009 	 Lackluster Poor Service 	 since convention next door Las Vegas Convention Center , decide stay strip & quot ; convenient & quot ; Las Vegas Hilton . certainly would not think Hilton property could lackluster poor service . I one upscale & quot ; Resorts Club & quot ; room renovate plusher look standard room . room nice , although bathtub not drain well shower 4 & quot ; stand water day ( despite tell day water backing ) .The overall feel hotel 's main level casino date dingy - especially side casino Star Trek theme ( Star Trek Experience permanently close , big deal ) . specific issue Hilton LV experience:1 ) two bartender use rather unapproachable , never smile , act take time precious day serve drink . case , two customer counter . can not say overwhelmed time . would expect least smile thank bland bloody mary double - shot vodka cost whop $ 20.50 ! 2 ) tout upgrade concierge service , find rather unapproachable well , not smile , act ask quite lot guide near drugstore ( CVS Walgreen 's ) . ask one near monorail line . answer ( staunch pained response ) & quot ; well , monorail will not drop front door & quot ; - reply aware . say CVS next door Wynn . take taxi , drop Wynn tell CVS drugstore nearby . walk south end strip find CVS across Monte Carlo area . block , block wrong location.3 ) find restaurant ( not impressive begin ) understaffed provide poor slow service . Hacienda Margarita , wait 20 minute bar serve . gave get table dining room . not overly busy , take 15 minute greet table place drink order . take less 30 minute get drink . dinner selection take long . drink dinner take 2 hour simple mexican style dinner one margarita . I stay many , many property Las Vegas - upscale hotels heart strip fun , kitschy one Freemont . never give consistently poor rude service Hilton . assume Hilton get away lack service since guarantee patronage town event convention center . definitely stay Las Vegas Hilton not recommend either ! 
 May 26 2009 	 so - so 	 walk room pillow bed throw . ' m sure look sloppy . bathroom floor hairs - EW ! bed not terribly comfy not uncomfortable . room hotel pretty nice overall definitely nothing special . glad stay one night ( great saturday night rate ) . easy take monorail part strip . 
 May 25 2009 	 concern guest . 	 injure stay Hilton . slip towel bathroom hit tub head . security call ambulance go hospital . come back hotel concussion 5 staple back head . spend next two day hotel room order room service . no one hotel call see . concern someone else . not impressed customer service . stay recommendation family . would stay hotel . Lisa 
 May 25 2009 	 nice accomodation 	 hotel clean staff friendly . get upgrade suite nice . none ice machine floor work - they say due & quot ; remodeling & quot ; . stay one evening good value money . 
 may 23 2009 	 Give try 	 hesitant reading review . price right weekend attend . 60.00 / night . definite plus : monorail . convenient get hotel along strip . check smooth . problem . able check early . got Hilton Honor line short regular line . able link friend 's reservation mine- get room near . rush feel strip- kinda relaxed bit could . enough dining option . buffet -for breakfast good . great selection . worth price . everything fresh . friend get free hotel stay package . room decent size ample towel keep clean . stay short . problem try get keyboard work express check - not get receipt email . one thing though- book Hilton website - not charge card ahead time - bill entire stay LV Hilton . not see yet point add recent trip -but Hilton say would add . see . nice hotel , big , many dining choice . like hotel would return need . go location prefer rate . happy hotel mini refrig room . nice keep fruit beverage . 
 may 18 2009 	 not pay attention bed bug infestation complaint ! 	 stay 5/15 - 17/09 . bed bug infestation other say . they check we 7 hour list check time . employee extremely heelpful courteous . handicap room super & amp ; clean . prooblem bed high . upgrade without request . food buffet excellent , service great food hot cold other mention . dinner Steakhouse marvelous ! machine pay would like , gamble ! little difficult find monorail , elevator use wheelchair , employee extremely helpful direction . understand anyone would say room clean . Son party upgrade lowest price room spacious room could meet . wet bar , 2 queen bed , full sized dining table , large bathroom etc . etc . also room spotless . 
 May 18 2009 	 average 3 Star Value Vegas 	 first , reason stay LV Hilton visit Vegas last month want make new trip budget trip . either use AAA card Priceline.com , able make 2 night ( Friday & amp ; Sat ) trip $ 110 total . consider cheap place strip ( 3 + star ) come $ 300 weekend , decide go LV Hilton . give option murphy bed decline route 2 room . check bed bug , none find . notice problem sink ... leak pipe bad job seal corner granite top sink water would leak ground . call problem prompt move different room . unfortunately , spend 1 hour 15 min switch room finally get something feel acceptable . lady front desk compe dinner buffet trouble . overall , would stay another budget trip . monorail work well we night go club rental car use Fremont Street Experience . 
 May 13 2009 	 Uninvited Guests // Eaten Alive ! 	 prior make reservation , read review site notice immediately review mention bed - bug infestation . well , really want stay seem good value decent room ( accord picture ) call inquire bed bug issue . hotel staff assure we & quot ; isolate incident & quot ; room would clean infestation case . , decide give benefit doubt book stay . bad decision ! stay 05/07/09 05/11/09 . end stay , little bug bite torso area . still scratch visit dermatologist tomorrow confirm bite unwelcome little guest . gross ! plan fight hotel management hope come conclusion reasonable party involve . initially call complain issue , bounce around finally connect SECURITY . do not know dispatch security - unless plan arrest bed bug assault - thought would issue well handle management staff . strangely , security personnel cordial people speak . roberta front desk extremely apathetic hotel manager well . one transfer call security office . finally put risk managment lady advise see doctor call back tomorrow ... say , still say overall , hotel alright . location decent consider 's monorail station hotel . make convenient short ride strip . renovate room good although could tell renovation quicky job . great time Vegas room include highlight reel ... 
 May 12 2009 	 bad great either 	 conference . 's huge hotel sure ..... take 10 minute get room conference ballroom . lot cheese ( Barry Mantilow wine anyone ? ) , be fairly nice . breakfast buffet good . notice Benehana 50 % high price every Benehana ' ve in . one thing really irk coffee maker room . serious ? every hotel room ' ve stay past 10 year coffee machine . , hike downstairs get $ 3 cup joe . $ 15 gym way . otherwise , hotel ok , great location ( unless be convention convention center , right beside Hilton ) . overall , slightly average . 
 May 10 2009 	 charge premium rate silently downgrade room . Sneaky ! 	 ( late 20 male business trip ) stay LVH conference take place . need room two bed book two - person reservation & quot ; Grand & quot ; room internet ( upgrade regular & quot ; Deluxe & quot ; room ) , not clear come two bed call confirm . confirm indeed book two bed Grand room . day check , clerk must see note call confirmed need two bed . say yes , book Grand room two bed . excuse minute go back , come back say everything order give key . actually happen not Grand room two bed , silently downgrade we Deluxe room , not discount rate . see stay week , would cost we $ 210 ! realize happen , call complain begrudgingly discount rate we , tell we want Grand room would call every day check . awful customer service ! call back get someone reasonable schedule we room change next day Grand room , also offer we Deluxe room rate duration stay . offer right bat , not spend hour call people . the rest stay average uneventful , initial deception really make impression would not stay . 
