Quiet 	 locate quiet , residential street Gold Coast , Hotel Indigo always pleasure return four night stay hectic city . the room peaceful soothe decor wicker furniture mural shell . bit small place everything . room quiet -- noise hallway outside . hotel also good place travel dog . dog park one block away Lake Michigan boardwalk four block away . restaurant close also short walk shop Michigan Avenue . look small hotel quiet area versus large hotel central downtown , Hotel Indigo right . door man always greet we smile ! 
 Jun 30 2008 	 Great Value Indigo 	 hotel , locate relatively quiet residential area Gold Coast , conveniently locate 1 1/2 block subway stop . issue transportation could return northbound due weekend evening construction closing route . room design really make fantastic use space . small sit area add value . first arrive , drill right outside worker repair scaffolding -- hour limited midday , not problem noise . we really enjoy stay , two minor drawback -- food service lackadaisical , good , front desk insist limousine service airport , able hail taxi morning half price . 
 Jun 23 2008 	 Hotel Indigo Chicago Gold Coast excellent place stay 	 great hotel . check staff ready we , room clean fantastic view Lake MIchigan . front desk staff extremely helpful bellhop look information direction . comfortable bed amenity could want . definitely great place stay ! 
 Jun 21 2008 	 LOVED Indigo 	 come Chicago funeral . stay one night . Hotel Indigo beautiful . color scheme awesome . staff friendly . night clerk upgrade room we . LOVED location . quiet residential area , couple block action . able walk tree line beautiful street church funeral . GREAT restaurant block , wonderful breakfast . could not well experience . would love stay . 
 Jun 18 2008 	 love 	 come Chicago celebrate son 's birthday . wonderful trip beautiful boutique hotel . staff greet smile everytime walk door . room relax bed comfortable . shower water always hot . everthing could ask minute away , restaurant , shopping , night life etc.etc .. hotel stay travel Windy City . 
 Jun 17 2008 	 Coolest Hotel 	 Aunt , cousin come Big City Louisiana shopping could . friend tell we Indigo ( without go great detail spoil surprise ) . check absolutely amazed different still feel relax vacation . love decor - think cool . enough enjoy hotel also experience staff always smile helpful southern girl . ' ve tell everyone stay . everyone go Chicago visit shopping get stay . thank ! 
 Jun 15 2008 	 pretty good 	 first total lover Hyatt Brand decide stay work decor venture comfort zone . also travel lot work leisure believe bit tough . check : first impression check get big F. change flight early flight get hotel around 11:30am . absolutely know check - in many hour later problem waiting room . one middle aged guy front desk help check - in . stare computer good 10 minute tell room available . ask could let know nod . way friendly , personable even act like care job . feel need remind least half dozen time check 4 , ok , get . nearly 30 minute later another couple check room ready . say want upgrade could xxx night get King Room . pretty livid exactly room . nearly 2 hour later ask room yet say , & quot ; yeah , be ready almost hour half & quot ; room : good job make appear big online however way unlivable uncomfortable . placement furniture ( amount ) little odd . note : chair middle floor ? bed king comfortable although little pillow rather crappy . decor great bright love . read complaint bathroom problem . amenity : cable pretty bad , channel . either news Chicago tourism channel . internet free connection so - so time . well pay though get huge plus . also Aveda product bathroom , favorite ! drink $ 2.50 water room leave tease ah well . coke machine .50 coke though ! breakfast good expensive . $ 4.00 small OJ ! ridiculous matter hotel stay . wait eat right get airport ! never dinner , pricey hotel food not even actual restaurant ! never try bar either not good beer selection , otherwise would . close hotel great little cafe right leave . 's excellent , try tuna melt , YUM . also right edwardo also good . right corner walgreen another block away Costco Jewel . subway , Jimmy Johns , Starbucks Dunkin donut also right within 2 block . overall , good stay . business work nearly day everyday not much time anything else . would stay equal price could get amenity ( breakfast , friendly morning staff central location ) right next subway though take loop plus ! 
 may 22 2008 	 look elsewhere ... 	 stay Hotel Indigo 6 night restaurant convention . book base site guidebook review . room 812 . hotel excellent location quiet upscale residential street yet close nightlife subway . breakfast restaurant bar nice . decor also interesting pleasing . my room tiny . normally not unpack suitcase travel leave open stand . could not take 80 % open floor space . would impossible suitcase also pull iron board . large tray glass bed check . look nice , big put small desk . place put bed suitcase . ask check large room available tell hotel sell - out option upgrade suite $ 600 + night . think could maybe adjust would not room much . curtain break could raise . despite every effort , beautiful shower completely flood bathroom every time . flawed design guess . first 3 night one elevator work . therefore come go room almost always crowded elevator stop every floor . housekeeping also leave something desire . work hotel industry many year always tip maid heavily generally hard work low pay employee hotel . despite , never replenished soap shampoo 6 night stay . day 3 , leaving maid $ 5 day , put empty shampoo bottle back shelf , tip . call housekeeping ask shampoo get voicemail . luckily shampoo . three day later one responede voicemail , shampoo . lastly , final night stayed watch movie . movie see huge bug crawl wall promptly kill . after day 2 started call around change hotel . unfortunately big convention weekend everyone either full charge high rate , toughe . time book many hotel close rate certainly dump like this . I always trust tripadvisor help find hotel new city . first time really let down . this hotel suck ! never stay . hope help other . 
 Feb 15 2008 	 one favorite hotel 	 spending week Iowa caucus slog snow go door door 7 degree weather , retire night run - down $ 70 B & amp ; b room , walk Hotel Indigo like make heaven ! minute walk lobby , feel transport quiet , tropical island inhabitant exist pamp . lobby even SMELLS wonderful ! even though arrive hour ahead check - in time , desk clerk happy give we room - oasis have stay Iowa ! room 15 minute desk call make sure everything satisfactory . although room small , find 13 - yr - old daughter . lounge one incredibly comfortable bed watch large tv sit small sitting area laptop . not tripping not miss lack room service . plenty restaurant close deliver , lunch set . , desk call tell we food way . nice alert safety precaution . the subway 2 block & amp ; take right downtown . neighborhood quiet safe . 's drug store grocery story block hotel . go Second City night easy 15 minute walk . , safety issue , nice stroll city . I think good part Indigo attention pay & quot ; little thing . & quot ; 1 . drink Coke machine 50 cent . hotel stick dollar . 's big deal , be nice gouged.2 . everything squeaky clean look brand new . hair dryer real dryer - one half - work model stick wall.3 . everyone smile anxious helpful . arrange ride airport , give direction , etc . never feel like nuisance treat like stupid.4 . hotel QUIET neighborhood . we get AARP rate $ 124 / night - incredibly low experience . truthfully , want move day . can not wait try Hotel Indigos city . 
 Jan 2 2008 	 nice 	 hotel Indigo nice hotel . would suggest hotel everyone except hard time walk . hotel sit eight block heart shopping district , walk bit . however , Indigo sit quiet little neighborhood find great location . look night life six eight bar one block away . room nice , king size bed comfortable . like fact room wood floor rather carpet , feel clean carpet . look neat . soap shampoo Aveda . thing think could upgrade tv . flat screen would nice . not eat restaurant , use business center , fine . overall would give hotel high mark . 's Ritz Carlton weekend getaway Chicago perfect . definitely stay . 
 Dec 23 2007 	 Excellent ! 	 great hotel , great location , great price ! stay one night find Indigo chic , price right great location ! block ( red line ) subway station @ Clark & amp ; division right heart action Rush / Division , etc . etc .. highly receommended . 
 Nov 14 2007 	 IndiSTOP : Gold Bust . stay away 	 Hotel Indigo Gold Coast weak attempt boutique hotel , since core budge underpinning . elevator slow one often share cleaning staff . room quiet bright color scheme annoying . desk available , cause one use table unfit laptop use . room service available lunch dinner . bathroom small shower smelled mold ( include mold spot ceiling ) . wireless print service work advertise . top , front desk staff 5 am AWAKENED order move couch ( sleeping ) process checkout . overall , awful experience horrible way spend $ 400 poor one - night stay . stay away . 
 Nov 2 2007 	 great place start holiday 	 eight hour flight London nice greet cheerful efficient member staff . first stop 2800 mile road trip nice kick trip stay unusual hotel . the hotel decoration bright throughout give impression plenty space . furniture design perfectly add decor . our room although small unusual shape make change rectangular box offerd large chain hotel . clean well maintain . the advantage hotel , situate edge main district Chicago . three block shore Lake Michigan quarter mile away good restaurant State Street . walk back Wrigley Building hour include stop window shopping . John Hancock Tower fifteen minute walk . feel like walk CTA station corner next block service downtown . it offer restaurant bar service , breakfast whilst adequate little expensive side , although nothing compare New York price . disadvantage . hotel could double glaze although tuck away nice suburb general city noise main street hear . also like we room situate near elevator annoying habit ring bell everytime pass floor . in general though would recommend boutique style hotel anyone wish spend time Chicago . 
 Oct 26 2007 	 Unique lovely 	 Indigo really sweet little place , boutique - y clean . love blueberry wallpaper ! room paint bright color whole ambiance refreshing . nice little touch like modern coffeemaker sitting room make place great experience . location perfect . service great , . love . 
 Oct 8 2007 	 Shhhhh ! Hotel Indigo Gold Coast Chicago 's secret . 	 arrive early work relate conference ( Adobe Max ) , partner book Hotel Indigo one night . thought would try new brand maker Holiday Inn . first say -- wow ! skip tragic Hyatt Regency stay practically perfect Hotel Indigo entire week . check - in kick - off experience right . expect basic room , never dream would show & quot ; Hemingway & quot ; # 1202 . one bedroom suite include full living room two full bath complete glass shower jetted tub . generally suite fan , one comfortable , cozy simply beautiful term layout design . feel home among color , art , hardwood floor . composition space fresh unique . design entirely new -- Indigo team redefine hotel room . location : center along quiet , tree - line , neighborhood street . top shelf tourist -- great walkable area near Old Town , Rush Street , Michigan Ave , Lincoln Park Lake Michigan . accessible CTA redline . walkable reasonably fit person . staff : friendly . helpful . professionalfood : not eat hotel except coffee scone ( take Lake morning respite ) . true neighborhood italian restaurant across street special authentic . room : clean , complete , great bathroom productsIf think try something new -- give Hotel Indigo try . room scale -- understand sized graciously design detail take full advantage space provide . surprised stay Hotel Indigo next time Chicago . furthermore , travel city seek Hotel Indigo good night 's stay . 
 Sep 26 2007 	 Modern central 	 hotel centrally locate - decor room modern clean . although room bathroom small , decor make . breakfast downstairs limit menu might find go elsewhere breakfast . overall nice hotel would probably stay . 
 Sep 16 2007 	 love 	 girl weekend love property . refreshing stay somewhere different . location great . staff helpful make dinner reservation we go way make stay pleasant one . large corner room 8th floor could see lake one room . would prefer also tub , shower nice . would recommend hotel anyone , especially quick weekend getaway . definately stay Chicago . 
 Sep 4 2007 	 great location darling room 	 hotel REALLY cute unique . location great - even group girl include one crutch . never issue get cab close pretty much everything want see . definitely take train airport ( especially Midway ) . easy $ 2.downfall - order rollaway bed book room month advance stay . also call month arrive confirm call day confirm would room . luck . make pretty big deal , deliver one next day . thank great staff - not fault handle frustration really well . also - order snack room service . order & quot ; warm bleu cheese dip salsa & quot ; get warm Tostitas cheese dip . seriously like open jar microwave - delicious ... worth $ 9 ? nope . little bizarre obviously bring we wrong thing act like nothing happen . but , , great trip . 2 queen room big clean comfy bed plenty space stuff ... lot . would definitely recommend stay ! 
 Aug 10 2007 	 Cozy Hotel- Good Ambiance 	 Hotel Indigo pleasant surprise . stay two night award point ( thought value / price ) . even though interior room 12th floor ( one large window look building 's air shaft ) room feel cozy , cave - like . lot extra space luggage ( one large suitcase garmet bag plenty ) , travel lot bag might want look elsewhere . nice Aveda soap bathroom . lobby snack bar / restaurant good food , although overprice ( $ 9 plate hummus ) . easy 2 - block walk subway . overall , nice choice ! 
 Jul 26 2007 	 Loved Chicago ` ` Chitown '' ! 	 love city , hotel ok . location great , spot fact . room ok , bar overprice breakfast well well walk round corner go starbuck . staff friendly , next time stay close city centre stay gold coast area much evening . pizza place road good world . place clean room size good feel expensive . love love love Chicago . 
 Jul 23 2007 	 small room disorganized front desk questionable value 	 stay one night location excellent , issue concern hotel aware of:1 . room small . room put one suitcase room . step ours.2 . mattress comfortable , use cheap sheet around thin blanket Motel 8 's use . upscale , use proper duvet well linens.3 . check slow disorganized . book king bed go room , queen . go back front desk , say make mistake doubt . many people wait room think unspoken problem day.4 . $ 300 / night , think expensive maybe well rate . staff hotel nice include bellhop room attendant . 
 Jul 19 2007 	 could well ! 	 ' m Chicago native ( tho ' move away ' 96 ) go & quot ; home & quot ; weekend husband visit friend . hotel perfect . location great ... basically @ Dearborn Division . take CTA $ 2 / each Midway airport hotel . go smoothly except flight stair luggage . be bit adventurous , CTA 's definitely value ! hotel 's style remind upscale hotel would find european city ... room small , decorating & quot ; edgy & quot ; cool way . Granite counter top bathroom , Pergo floor room area rug , one wall cover huge blueberry wallpaper . ( yes , like someone take photo basket just - wash blueberry , blow wall - sized photograph ! ) linen bed pristine . room clean . only drawback room locate directly across elevator could hear folk chattin ' waiting & quot ; ding & quot ; elevator arrive . staff friendly helpful , phone system easy use ( voice mail & amp ; wake call ) .We eat . ( Hotel limited breakfast menu , look appetize seat area look clean , , cool decorate thing goin ' . ) breakfast door 3rd Coast Cafe -- also highly recommend ; selection bacon & amp ; egg , big breakfast type thing . & quot ; Mother 's & quot ; ( fairly well - know bar ) around corner . lots fun ... sing ' til 2:30am rest folk bar . crowd 20 year young , not seem bother we old folk ( be forty ) . wait staff pleasant , even hour , since Mother 's popcorn eat , waitress suggest run across street , pick pizza bring back ! ball ... 
 Jul 17 2007 	 beautiful hotel great location 	 stay 4 night July whilst town attend wedding . decor hotel beautiful - calm quiet escape sear July temperature . staff friendly room inviting . roow 711 huge ! massive bed comfortable chair seperate area give plenty room suitcase . room shower bath large wet room shower complimentary Aveda product , hairdryer plenty well light mirror . Room also provide safe iron ironing board . hotel coffee bar sell Starbucks variety freshly prepare breakfast item . also small bar . in term location quiet street gold coast surround beautiful brownstone . minute walk away restaurant , bar walgreen stocking supply . Lake Michigan Avenue 10 min walk away . we definetly stay next trip 
 Jul 6 2007 	 great location ! friendly staff ! 	 stay five night , great location ! great boutique hotel ! great staff . beautiful room top floor ( 14th floor ) view Lake Michigan . room cosy Indigo color light green light blue . indigo boutique brand concept great Starbucks coffee morning . huge Walgreens locate next hotel plenty great restaurant shop . great value money , would stay immediately . 
 Jun 22 2007 	 fantastic hotel 	 back 3 night indigo husband 2 son ( aged 12 16 ) great hotel , great location - l train nearby . helpful bellman . loved room - spacious bright . free internet kid use lot . would definitely stay 
 May 25 2007 	 favorite Chicago hotel ! 	 whimsical lobby room design , comfortable room lot space , great location exceptional attention detail . need funky comfortable place stay Chicago would TOTALLY suggest property . 
 May 14 2007 	 Loved hotel ! 	 first trip Chicago great ! recommendation friend , 3 girlfriend stay girl weekend trip baseball shopping honestly say place well worth location money . be 2 block el station locate near many fabulous restaurant . room clean decoration unique lively .... step traditional hotel . staff friendly helpful help we get around Chicago use public transportation . drawback showerhead .... could ' ve little big , .... complient hotel strongly urge everyone stay Hotel Indigo whenever visit Chicago ! 
 May 3 2007 	 convenient hotel train Rush Street 	 group trip last spring couple day stay hotel . nice place stay . feel hotel different place stay . brightly - color lobby room . the location can not beat -- Gold Coast area Chicago -- close El Rush Street nightlife . lobby Starbucks bar front ; bar pretty well - fill night , Starbucks next day . room stay large well - design . bed comfortable . I would stay , next time travel Chicago . 
 Apr 15 2007 	 Nice Stay - Great Location us 	 wife stay compliment Holiday Inn point evening Friday April 13 Saturday April 14 2007 . stay room 1108 . 11th floor 14 face downtown Chicago south ( nice view ) . big positive us location . get red line & quot ; L & quot ; need go one block south one block west - 5 minute . l train excellent way get around city . be two stop away Mag mile . town Reds vs. Cubs baseball game red line take right stadium . positive location Gold Coast neighborhood exclusive neighborhood Chicago . block north east ( towards lake ) make nice little walk check really neat , old house ( million dollar mean ) . ' ve stay Chicago number time . large chain hotel loop close shopping tourist stuff , first time feel immerse part city oppose visitor . the room hotel nautical feel . first stay Indigo brand . ' ve stay ton Holiday Inn 's US hotel . feel like nice version Holiday Inn express . everthing nice , not quality feel Marriott Hilton . , nice color theme not thing . problem sleep . drawbacks1 . friendliness level front desk could use improvement . nobody ask stay think minimum front desk . also complain people try check early.2 . single window room shut completely could hear noise street . not let impact rating becuase ) room specific b ) 's city , be go noise . 3 . VALET parking NEXT DOOR $ 35 night . two free night cost $ 70 parking ! ! ! know city expensive not bother much first . stroll neighborhood , find parking lot north hotel $ 18 per 24 hour . 
 Mar 22 2007 	 Nice hotel tuck away Great Location ! ! ! ! 	 stay Hotel Indigo March 16th-17th , 2007 friend . hotel great location close bar , club , anywhere else may want go downtown . Valet parking $ 35 , privilege . also go Dave Busters couple block hotel . check - in easy not problem . one elevator break wait get upstairs . room not big , nice . perfect need . also clean nicely decorate . business center basement level nice , 2 computer printer . overall , good stay . would definitely stay Hotel Indigo . 
 Mar 18 2007 	 's true Love Blue 	 choose Indigo have want stay Indigo , know 's visual delight . fall love ( nearly ) everything . location really wonderful - leafy neighborhood several restaurant shop , near subway line , near bus line , near lake Oak Stree Beach , short walk heart downtown . go 3 kid , none complain walk . Papa Milano 's restaurant long traditional stop Chicago , luck - hotel 4 block it . room decendly spacious , think spacious average . ' m picky noise , not problem . room elevator might hear noise . Decor casual chic . bed comfortable . hotel 's small size perfect . kid could run downstairs ( free ) internet within earshot cafe . love weekend much go back spontaneously month later , kid . experience - except photo mural lobby change reflect change season ! highly recommend place not need deluxe hotel amenity like four - star dining pool . 
 Mar 18 2007 	 New Favorite ! 	 little skeptical location hotel little beat path , turn one thing like . hotel fun beachy theme . room tad small , two people , perfectly fine . queen bed room . apparently corner room big . however , since reward night trip , go ask . arrive Chicago early head hotel CTA train Midway . delighted find willing let we check 11:00 room ready . hotel easy get use orange red line . red line take anywhere city would want go block half away hotel . husband use red line late night never feel unsafe walk back hotel . hotel close lot restaurant bar Rush Street well far Mag . Mile . GREAT LOCATION ! bad thing would one elevator service rule four people could time . tad incovenient use stair 8th floor little hike . also , staff touch unfriendly . however , plan beforehand not really need much . want staff bend backward probably good choice . Edwardo 's Pizza right next store great cozy restaurant well Walgreens right street go pick anything may forgotton . one last note hotel , appreciate clean . room wood laminate floor add charm room away awful hotel carpeting always dirty ! would stay heartbeat highly recommend ! 
 Mar 12 2007 	 cute beach theme 	 First let say booking stay hotel check see low price third party site . sign hotels award program call 800 number let know find cheap price . match price LOWER match price another 10 % ! talk saving money bank ! hotel ! see pic room hotel stay ! trip mid February not want stay stuff hotel . want fun bright color beach theme get . find room right size two people total 4 piece luggage bed soooooo comfy not want get morning . staff pretty nice good recommendation good eat near hotel . yes person Berlin comment flood see bit wall tear 4th floor picky understand thing happen break . cheap decor lobby person Berlin talk well gee 's beach theme ! DUH ! ! ! ! want fancy go Drake stay home . say ignore negative review cause bitter people stay Indigo . price location gem ! 
 Feb 14 2007 	 yet another average hotel experience Chicago 	 although location outstanding , enough thing wrong Hotel Indigo keep rating average . spend February weekend friend double room book Hotwire . original room give we one bed upgrade large one small sit area window look onto cityscape - fine view old victorians vintage high - rise . get upgrade , however , first room would impossibly small even two bed . bathroom new room- particular toilet ' area ' - still small . ceiling room hover head door let assortment sound hallway . also lot flood damage burst pipe ( wall section remove ) smell mold common area . friend complainde lack television option ( ten channel ) remote control break replace . one person desk downstairs , although least friendly . the ' design ' hotel make - over many bright color cheap furniture lobby ( wooden 20 $ deck chair bright paint cushion ) . hotel 's saving grace excellent location Near North Side close entertainment shop interesting view room . once feel obligated talk great fluctuation price downtown Chicago hotel . hotel reasonably price ( 100 $ /tax incl . ) hotwire time ( upgrade ) , rack rate high , nothing compare price Chicago host one many large trade show . price double sometime triple time . beware planning trip Windy City . option travel , check hotel price city event schedule book flight . 
 Jan 21 2007 	 special hotel staff make special 	 staff hotel Indigo go way offer we great service : unfailingly friendly helpful , give we tremendous upgrade , free glass wine , small present departure , etc . concierge extremely knowledgeable , candid able offer many suggestion ' off beat track ' thing . reasonable price , good location . the interior hotel also special : warm , bold color , give sense Provence France . I highly recommend hotel ! 
 Dec 22 2006 	 wonderful location 	 location , location , location - within walking distance Michigan Avenue , Lake , etc . room vary size tiny comfortable similar rate . kitchy room decoration fun work . would certainly stay next visit . 
 Dec 18 2006 	 disappointing week - end stay 	 small bathroom room size . could hear phone conversation take place adjoining room along television . room right across elevator noisy time guest exit elevator . Front Desk one employee visit make delay lengthy . concierge excellent help obtain show ticket plan . front desk could break $ 100 dollar bill change . price & amp ; service , would recommend . 
 Dec 16 2006 	 Fantastic Hotel Fantastic Location 	 stay 2 night super fantastic hotel . small hotel tuck among gorgeous townhouse residential area close great shop restaurant . room 14th floor view lake Michigan tall nearby building . 2 queen bed small sitting area , room nicely size . color scheme bright cheerful . staff helpful friendly . definitely choice lodge whenever visit Chicago ! 
 Dec 12 2006 	 Gorgeous Indigo 	 lovely hotel . stay boyfriend 5 night december . room gorgeous , 14th floor ( really 13th call 14th , must superstition ) wonderful view city . room be not huge account perfect we . bed fresh look new , however bed be not big . bathroom lovely new suite everything spotless . clean pin . aveda shampoo / conditioner body lotion supply lovely white towel . hairdryer powerful enough nice coffee maker free paper every morning outside door.the thing fault room temperature , chilly . however , heater blast . everytime come back put heater warm room . ( however , must say positively freeze outside ) also , one thing really annoyed phone charge room . call ireland 5 minute ( 1 min mobile 4 landline ) cost $ 40 ! ! ! ! could not believe ! room $ 169 per night ( tax ) location good , pretty , safe residential street ( gorgeous christmas decoration light ) ten min walk middle magnificent mile . station nearby need go loop . walk everywhere though . also , would highly recommend go see chicago bull play . get $ 55 seat great , atmosphere amazing great crack . shop subject 9 % sale tax save money onward trip new york . however , water tower plaza filenes part we cash ! ! ! would try somewhere new go back ( fun ) would HIGHLY recommend hotel anyone . fresh , vibrant confortable.also , would like say find people chicago sooo helpful , whenever looked lose approach friendly chicagoan help we way . 
 Oct 31 2006 	 not want leave ! ! ! ! ! ! ! 	 love Indigo much not want leave . never experience . due convention , able stay three 6 night Indigo . spa like atmosphere next- to - the - beach kind way . different hotels cookie cutter . room ( 602 ) two double bed look towards bank four window great view city neighborhood ( good one way ) . true little room move around bed , soft bedding nice . tub room , shower . sink outside shower / toliet area nice granite top . free wifi , free printing ( pick desk thay bring ) . desk area , sit area , & quot ; closet & quot ; area ( first walk ) . quiet room despite proximity elevator electronic temp control . clean Pergo like floor . special Indigo relaxation music & quot ; dream machine , & quot ; , ask allow take , front desk woman say $ 10.00 . come back room later day check , wrap complimentary copy leave note room . staff always friendly helpful . parking 35.00 24 hour , valet - with . block destination , want go downtown short cab ride bus major site . supermarket drug store nearby lot nice resturant ( mostly nice chain ) . city , lot resource small area . small bar / lounge front hotel . may kind deli something back , never bother go back investigate . 
 Oct 23 2006 	 would stay 	 hotel unique chic other mention . sell weekend never would know . place still feel small intimate despite capacity crowd . we not eat hotel , prefer walk block 3rd Coast Café late - night snack breakfast . bar always hop enjoy cocktail one evening . neighborhood wonderfully serene amazing old Chicago architectural treasure . be also incredibly convenient El within walk distance restaurant Chicago attraction . our room small U.S. standard , large compare hotel room Europe . bed comfy . ' ve solve problem door slam early reviewer post . door hydraulic hinge prevent slamming . room elevator never hear noise hall . five star ? hear noise connect door next room . , sensitive noise may want check see room be assign connect room . & quot ; view & quot ; room interior shaft contain fire exit stair . okay not spend much time room view , feel little silly call front desk ask raining could dress appropriately . 
 Oct 14 2006 	 Fun Comfortable Convenient 	 trendy , out - of - the ordinary hotel , decorate bright color nice touch . lobby quite showstopper huge chair decorate large pillow . room 12th floor -- small comfortable . large bed spectacularly comfy , wonderful poofy comforter plenty good quality pillow . hotel free WiFi , work well . coffee machine one new Melita Pod type , produce fine cup fairly easily . bathroom nice Aveda toiletry plenty good towel . renovation , hotel replace bathtub extra large tiled shower equip teak bench -- far nice shower ' ve hotel . , five star ? ? first , arrive room ready yet . 5 pm apparently count show 6ish . able sit use WiFi lobby , time not spend unpleasantly , would well room ready . second , try aim shower head water need go , holder break . desk tell problem manufacturer give replacement ; unfortunately slightly mar otherwise fabulous shower experience . 
 Oct 6 2006 	 Unique hotel experience 	 ( wife 2 kid ) stay Hotel Indigo 3 night September , 2006 . town wedding hotel recommend we location . find hotel nice appreciate unique quality . hardwood floor bright color great change pace anything Holiday Inn ever do . Most roomd small . notice room 2 queen bed almost double size room family 1 king - bed . experience slow elevator noise reviewer mention . this boutique hotel narrow hallway small room , also deliver unique experience nice change average & quot ; big & quot ; hotel . location far Michigan Ave close Rush St. State Street . rely taxi never problem find one . walgreen right corner great benefit stock - up snack drink kid preferred cafe nextdoor on - site coffee shop breakfast . 
 Sep 17 2006 	 great hotel 	 hotel indigo situate wonderful neighborhood north downtown . tree - line street relax feel area add charm . room clean , nicely decorate hardwood floor bright color throughout . bed comfy , air conditioning good , room well light . complaint would size room ... rather smalll 2 queen bed , storage space lack ... barely enough room two people thing , suitcase stack room . one difficulty lack cab area . one rainy day wait 70 minute pickup . day take short walk Ambassador East pick ride . the staff great , bar downstair fun overall great experience . quite contrast last trip chicago stay icky congress plaza . great tip ... Mario 's italian Restaurant across street EXCELLENT . give try two stay Indigo . 
 Sep 10 2006 	 Excellent hotel 	 great hotel ! one good ever stay inthe hotel get right start lovely armoatherapy smell reception seem radiate hotel . would love know really nice . the recpetionist nice helpful . the room something else remind much like stay beach house / hut . floor bulk standard carpet wooden laminate floor different bit cautious go around sock come shower . lovely decor furniture resemble something whitewash . there separate wash area shower / toilet make get ready convenient . our room two bed , wardrobe / set drawer , round table two chair , comfy soft chair match footstool , night stand share bed another bench type seat also double handy place put bag . beware though bed bite higher normal great tall person . negative thing say room curtain room make look spectacular sunrise 5.15am would rather sleep ! hotel 5 minute walk form nearest subway station ( Clark / Division ) # 36 bus pass bottom street take near to / from Magnificent Mile . road bit dark walk back subway station night though . there great Wallgreens bottom road door hotel great Pizza restaurant . well worth stay go Chicago . 
 Sep 6 2006 	 great place stay Chicagp 	 return 3 night stay Hotel Indigo . order attend wedding , one 2 hotel provide room discount price wedding guest . terrific choice ! room large tastefully decorate bright color . Indigo orange green , know sound bizarre , flow together quite nicely . staff desk friendly try hard please . location excellent many local restaurant lively night - life scene . pay $ 149 per night , consider bargain price nice hotel . 
 Aug 30 2006 	 Hotel Indigo Rocks ! 	 husband book room Hotel Indigo quick stopover Chicago . fantastic hotel ! location great - 's close Red Line ( 5 minute walk ) 's possible take El either airport . be look explore area around hotel , walk one direction hotel entrance put middle city - walk direction great neighborhood ( think : diverse architecture , people walk dog , whole bit ... ) . lobby nice - lot people cocktail bar area . room pretty small , well decorate bright ( make feel bit large ) . not eat hotel ( except coffee ) , great breakfast 3rd Coast Cafe Wine Bar , 30 second walk hotel ( try stuff french toast ) . definitely stay Indigo next time town . 
 Aug 17 2006 	 Hotel Indigo bust ! 	 young female traveler , love Hotel Indigo . feel like walk spa first walk .... look awesome , almost like quaint Florida / Carribean hotel smell great . room pretty big love decoration hardwood floor . also use fitness room great well . the hotel close Rush Street , ton bar restaurant . also close Clark / Division red line stop be minute away everything . also love fact 's Walgreens couple step hotel , could buy thing forgot pack reasonable price . I love location be little remove Michigan Avenue neighborhood feel . favorite part visit Chicago check indendent unique store restaurant , necessarily one Michigan Avenue , little biased : ) show couple & quot ; Chicagoan & quot ; friend hotel room could stop ooohe aaahing . ' m Priority Club member frequent Holiday Inn hotel , must say one favorite ! 
 Aug 15 2006 	 love Hotel Indigo 	 recently stay Hotel Indigo WONDERFUL ! although arrive early check - in , staff graciously stow bag within minute , room ready . stay 14th floor quiet serene . room decorate adorably beautiful hardwood floor retro style color ( bright white paint wood lavender , navy , apple green ) clean welcoming . morning , Starbucks within hotel provide nice selection coffee , juice , bagel , muffin . even complete breakfast offer . hotel fabulous location within easy walk distance shopping sight Chicago . Hotel Indigo small , boutique property perfect tired impersonal , stuffiness mega hotel giant lobby maze floor . always stay Chicago 
 Jul 31 2006 	 Goldgoast - Yuck 	 anyone scare small hot elevator . average wait time ride elevator leat 5 minute . towle upon arrival , bug bed ! ! ! yes , bug bed , air conditioner work well . great location Lincoln Park though . front desk clerk rude . oh , mention bathroom , old & amp ; nasty . mean use stay plush surrounding , clean . would recommend stay , economical & amp ; clerk end knock 35.00 bug ! ! ! freee ask . good Wishes 
 Jul 18 2006 	 excellent place stay Chicago ! ! ! 	 good hotel nice location Chicago . nice bar restaurant walk distance . 10 walk minute water tower place . room small nice new furnished cool colour . would definetly stay ! ! ! 
 Jul 13 2006 	 Book one early 	 stay Hotel Indigo result rank web site . , wife would rather change date Chicago visit -- son live Chicago -- change hotel . importantly , everyone associate hotel nice , helpful courteous . today 's world , exception , rule . 
 Jul 12 2006 	 GREAT LOCATION HOTEL 	 family four ( two adult , two young girl teen ) stay large room love . two Queen bed , sit chair , work table , importantly , lot mirror . could get ready time . comfy bed . loved bright , fresh color scheme . hotel Location get five star . ' ve stay downtown , Loop , etc . , nice neighborhood . beautiful walk restaurant zoo Old Town . can not stress enough lovely atmosphere . we stay 8th floor corner room fairly quiet . complaint slam door guest come . wake several time . staff helpful give good direction . parking adjacent lot $ 36 / night . for price four we ( $ 159 / night ) bargain , stay again . BEst feature : wireless internet Wish have : less expensive Breakfast . not luxury hotel , close fabulous neighborhood . 
 Jul 12 2006 	 Hotel Indigo great ! 	 great value price . stay three night early July charming boutique property . unique comfortable room great bed . clean room . couple short block red line take anywhere city . located tree line street beautiful neighborhood convenience , restaurant etc . fingertip . would definitely stay . convenient everything Chicago away throng people Michigan Avenue . 
