Great 	 hotel great find consider Manhattan , love Broadway part reason come NYC , stay . close broadway theatre ( especially Gershwin , & quot ; Wicked & quot ; play .. one block away ) . room small great travel alone spouse . would recommend hotel child room single twin bed double twin bed . , rate great although hotel restaurant , find expensive cheap place eat , need walk around explore find something appeal . 
 Apr 23 2008 	 bad people make 	 stay 4 night hotel . read review , bit worried . find hotel Hotwire , rate little cheap . nervous size room though – good reason . room small ! however , NYC ! nothing huge get pay . small desk , small closet single stall bathroom . shower good water pressure temp good . never wait hot water . flat screen tv room also , internet keyboard bring laptop . internet service horrible though . worth $ 10 pay . could barely even navigate system waste . lobby , hallway room clean . every employee run super nice , rare find find nice people . would stop acknowledge . even walk around room white sock dirty . thing stunk room location . 2nd floor , entrance , hear everything . window AC unit let noise – really sound like window open . however , turn due small " heat wave " really drown bunch noise . hotel defense , every hotel stay NYC 5th floor always loud . the location great also . take cab 2x 2 day . across 8th Gershwin Theatre walk go see Wicked . subway day , location perfect ! bar / pub next door , great thing . I would stay come husband good friend . however , would need spend bit come child get big room . 
 Apr 22 2008 	 Excellent location 	 first trip New York , read negative review WJ hotel , pleasantly surprised . spotlessly clean , staff polite helpful good location - quiet ( New York ) easy walk tourist site . also good value - around half price hotel Times Square . recommend breakfast Georgio 's Country Diner , around corner . excellent . shall definitely use hotel next time NY .... 
 Apr 9 2008 	 great hotel NYC 	 great deal NYC . location excellent , block Times Square ( 51st St. 8th ) . staff exceptionally friendly helpful , room nice , clean well decorate . large room , plenty space . price reasonable NYC . would definitely return hotel . 
 Apr 8 2008 	 great value location 	 solo traveler , stay one single twin bed room . room small ( approx 7x 9 ) , decore modern , new tastfully do . bathroom new tile fixture . bed comfortable , fit fresh comforter . towel also feel new , fluffy fresh . big window open , room not feel small . ability open window useful heat come one night make room warm . large flat panel TV iPod clock radio nice amenatie . staff friendly helpful . even smile check ! stay twice visit . first time rate $ 185 . , book advanced . next time call day rate drop $ 155 . suspect fill room , price go last minute . subway 2 block away . Port Authority Bus Terminal 15 minute walk . 
 Apr 6 2008 	 great way around ! 	 read other ' review room tiny , prepared closet . case . pleasantly surprised find size comfortable enough room weekend stay . staff extremely friendly accommodating . room bathroom spotless shower great ! ! great location quieter street still step away Central Park midtown Manhattan . negative comment could find make could control temperature room thermostat . room little warm side , could open window . Cosmic Diner across street fabulous , open 24 hour . stay away outrageously price Stage Diner . leave see $ 18.95 cheeseburger . would definitely go back wj ! 
 Mar 29 2008 	 location location location 	 room small . would want room step away everything NYC offer . place clean , comfortable staff friendly . coffee morning else ask ? 
 Mar 23 2008 	 ok stay 	 stay not start good . give wrong type room . not get sorted 2nd night . room small . lock door faulty get locked room . good shower . good location near time square . stay ok , will not go back . say hotel clean staff friendly . 
 Mar 19 2008 	 great hotel general NYC visit 	 mostly review hotel negative appear center room size . room small , yes , really can not see else one could possibly need ! room large closet , safe , ipod dock / be / fm radio / alarm unit comfy bed lose room underneath store case etc , huge tv . the room hotel immaculatly kept clean daily . stylishly appoint pleasure spend hour relax spending day walk around city . we find service excelent . Cosmic Dinner , 8th 52nd , hotel get food deliver room 24 hrs great , keep go back . italian restaurant accorss road also great place , great food service reasonable price . my girlfriend already plan next trip city later year , certainly try stay Washington Jefferson . 
 Mar 17 2008 	 great base Big Apple 	 read several not - so - favourable comment hotel ( already book ) concerned may make mistake - definitely . sure room huge , well satisfied standard room , public area , cleanliness definitely service . staff ( front desk , housekeeping , bell staff ) welcome helpful time . the property within 10 minute walk Times Square / Broadway , Central Park . go block way many well price , good quality independent restaurant ( certainly well value chain ) .We stay 3 night , spend time see sight happy recommend hotel base . 
 Feb 25 2008 	 simply Best ! ! ! 	 ok , read lot negative review place , small , noisy slum .. case ! read ... travel agent Hotel Review editor , stay easily 1000 place lifetime . well , girlfriend buy ticket Wicked Christmas . decide book hotel within walk distance Gershwin Theater . tired staying chain hotel , decide book independent one , ws fantastic . first , booked , need contact hotel via email make sure reservation make hotel website go ( step recommend anyone book hotel ) instant email back reservation personal message welcoming , ask complimentery wireless access , even though vacation work : ( . explain hotel wireless , slow , backup T1 line need . Awesome , cabbie rip we , charge 25 dollar NY Penn station 51st , mood trouble , well , check front desk agent professoinal , nice efficient job , room key 3 minute . come Pennsylvania train , first major snowstorm year . flu.they understand cold , wet , tired aggitated aforementioned cabbie , able check early . room beutiful , book Superior King jacuzzi , room small , clean , nicely decorate fine line fresh rose nightstand . bathroom beautiful , travertine tile platform jacuzzi need , desk drawer plenty information city , even print hotel book go eat , awesome hepful . cosmic diner accross street , go run jacuzzi bath girlfrend order chicken soup time , diner delevere even tub do filling , that s fast . eat hotel restaurant schmizu night , top notch , awesome service small , quaint restaurant . highly recomme prix fare dnner ! Afterward speak London Concierge nighttime , recommend hot spot , send we Coyote Ugly village , blast , really know stuff ! seek cost , even write idea we delevere right room ! end rent limo night see town thing recommend . next day walk short block theater , enjoy Wicked walk around little , HOTEL centrally locate , walk almost everything Theater District Times square ! basically , know lot rant raving , ignore neg . review , true , wall thin old hotel , worth every penny staff great commend professionalism 2 girl , one sick , duration stay , back stay , bet ! ! ! thank wj ! ! ! RECOMMEND HIGHLY ! ! 
 Jan 22 2008 	 tiny room Big Disappointment 	 stay 4 night begin January unfortunately would recommend hotel . far location goes , situate 5 minute Times Square ... , lot ( much well ) hotel . visit New York previously , certainly prepare small room , however upon checking , size room bit shock . room would ideal single bed , however squeeze two bed room , little room anything else . closet , drawer , storage etc . manouvere around suitcase & amp ; subsequent shopiing bag absolute nightmare . Bathroom nicely decorate & amp ; good supply towel , tiny one person could fit give time . great I - pod dock room , tea & amp ; coffee make facility . encounter two maintnenance problem - constant blaze heat radiator ( ask turn avail ) mean icy blast window leave open - terrible ! shower constantly leak fix ( although begrudglingly do maintenance man ) .The staff adequate ( doorman = great ) . reception staff show little warmth welcome . overall , highly disappointing hotel stay New York . well hotel well price , ' m sure . 
 Jan 17 2008 	 Big Apple - Small Room ! ! ! 	 arrive NYC 6 night holiday , second trip NYC , previously stay hilton hotel eigth avenue . arrive 4 pm ish , walk Penn Station , take ten minute . allocate room ground floor , tiny , walk bed , desk room little else ! ! ! politley ask manager reception big room available go big enough shopping let alone husband ! ! ! ! pleasant show room 570 fith floor . much well , huge adequate enough . room terribly hot , open window wide , room face inside court yard not problem leave open ! queen sized bed , small bed side table lamp i - pod docking station , small cupboard safe , iron etc ( leave much room clothe ) , desk , comfy chair , luggage stand bathroom . small really modern clean , bed comfy 8 hour flight need ! bit tourist type advice use subway , easy use , get metro card buy machine generally subway , cost $ 24 7 day use many time like . last time come get hop hop bus , ok stop operate 8 pm . subway 24 hour , like big city wary use night , get cab front driver sits.i would definately book agian , New York not travel far spend time room , hotel well place 51st st , 8th avenue , subway stop end road two go town town end block ! 
 Jan 16 2008 	 nice little Hotel N.Y 	 Wife stay 4 night cozy hotel Midtown Manhattan west 51st . close Restaurant row theater . room Hotel small decorate nicely . we like standard room . also nice really good dinner Shimizu Restaurant connected hotel . fantastic sushi ! ! ! surrounding around Hotel also nice . return hotel next time New York . 
 Jan 7 2008 	 sleeping postage stamp . 	 book Priceline , read TripAdvisor review small room , look virtual tour upgrade King Room extra charge . room smallest ever stay . closet , free standing wardrobe tall enough hang coat without fold bottom . everything room first rate , bed , flat screen tv mountedon wall , wireless internet , fresh rise bud , quality chocolate . space limitation , dresser , ice bucket , luggage rack , coffee maker besides bed , enough space walk around bed . bring breakfast put cup plate window sill . the bathroom tiny pedestal sink , vanity shower door less 14 inch wide wider , could open would hit toilet bowl . the lobby lovely help , especially bellman nice . our fifth floor room face 51st St , block bunch bistros outdoor seating . People sit outdoor table 25 degree weather converse loudly 2:30 make sleep difficult . 3 , private cart company arrive follow city garbage pickup 4:30 AM.We book Priceline New York City many time , always great satisfaction , never West Side district hotel locate . possible , advise stay away West Side area spend little really class hotel area . 
 Jan 3 2008 	 great location - room great 	 stay Washington Jefferson , 29th . November 4 December 2007 . find location great , right beside times square etc short walk Central Park . lobby hotel nice , small epxecte welcoming . reception staff friendly helpful . room expect small , however heating system dreadful . mention member , noise , tap hiss bad , roasted night . ask turn porter not able adjust it . we leave window open night , freeze outside . room however clean not spend much time . problem street noise front room . the Sortie bar / restaurant across road great breakfast . friendly staff lovely choice brekkie , omlette , pancake , bacon etc , bar humming night . try italian restaurant across road well , food not great pasta not fresh , expensive good atmosphere . we plan another trip new york 2009 would definitely use hotel , quite inexpensive compare other location . 
 Dec 27 2007 	 great place stay short time . 	 Washington - Jefferson locate midtown west theater district 8th 9th 51st . Hell 's kitchen around corner 9th 20 - 30 ethnic restaurant local frequent reasonably price . hotel easy walk distance Central Park , Times Square , Rockefeller Center really midtown attraction . room small usually without view , really similar european hotel , anyone familiar european travel feel home . room clean well maintain comfortable bed . flat screen TV 's adequate bathroom shower . staff really friendly helpful . feel not anything would not make we happy . see several airline crew staff staying say something hotel 's value comfort . single couple enjoy New York 's attraction spend lot time hotel room , great place stay base 's location , value staff . 
 Dec 26 2007 	 wj great place stay 	 enjoy stay Dec. 13 - 17 . appreciate fresh rose room also jacuzzi tub armrest . walk day long , special treat relax tub . room jacuzzi , request one will glad . everything within walking distance , include subway entrance . staff pleasant helpful . thing fault heating system , bit antiquated . make prop open window , hear siren . every day full still able sleep well . would return wj . 
 Dec 23 2007 	 never ! ! ! ! ! 	 first impression room WOW , deluxe quite spacious . on first night stay problem boiler pipe bang loudly night n wall keep we up/ complain follwe morning , staff un pleasant interested have charge $ 425.they agree move we room , small still resaonable space clean . there obviously problem heating , temp gage either hot cold ! ! ! ! ! system old oil one ad hiss disturb sleep . needless say , not get much sleep anyway , road busy dustbin man hour , drunk shout pub couple door away window single glased one not shut proper could not keep noise out . find staff - Un friendly , especially complaint . radiator , Dusty dirty . Rip Bad experince us 1st time NY.NEVER AGAN . 
 Dec 20 2007 	 Perfect location - clean friendly 	 hotel perfect location us - 8th 51st . literally around corner street ton theater . also , short walk ( 1 mile less ) Times Square , Rockefeller Center , Radio Center Music Hall , . price reasonable give location time year ( $ 300- $ 400 / night ) .The room small - creative put luggage , clean comfortable . exercise room look really big website picture reality , 's size room - bit cramp 1 2 people . however , not end use walk much . staff friendly helpful . restaurant site japanese restaurant open dinner - find offsite place breakfast - big deal since two great diner 2 block away . fruit front desk vend machine , go , stock late night snack bottled water drug store around corner . overall , really enjoy stay . 
 Dec 17 2007 	 great location great room 	 upon arrival hotel , immediately impressed location ... close Times Square , theatre , etc ! initially , size room not seem issue not plan spend much time . however , day , pretty inconvenient place sit chill ( mention fact basically nowhere put luggage / clothe except tiny bedside closet ) . major inconvenience noise level night , consist primarily garbage man throw break glass . room clean linen nice enough make lack sleep space . ice cake find check room rate would hundred dollar cheap make reservation phone instead online . even , cheap hotel area least know booking ! one thing , room not adjustable thermostat get hot , keep window open crack time . would consider stay price right get room far away street ! 
 Dec 17 2007 	 clean noisy night . 	 book hotel reservation hotel online web site . fairly friendly staff . hotel convenient location . room clean , small . place sit except small chair bed . light sleeper noisy garbage truck collect trash every night 1 am patron bar street head home yell night . would advise book room company website . end pay $ 150 per night . inform clerk front desk hotel charge online booking book call ! 
 Dec 17 2007 	 Washington Jefferson great location great customer service 	 stay Washington Jefferson Hotel 3rd 10th December deal cost 1600euros seven night Expedia .... not cheap ! ! hotel kindly provide we complimentary bottle champagne part honeymoon . hotel fantastic location 51st 8th block Times Square . lot really good reastaurant within walk distance hotel really good valueour room small however not issue not spend much time hotel sleep . however horrendous smell corridor outside room seem come room hall . appear people live hotel strange ! ! one liked play music full volume late nightwe try use internet room one morning not work properly incredibly slow report reception ask connection charge remove bill . deal 3different people charge remove initial two staff refuse remove charge say record say connect 30minute . find staff extremely unpleasant deal issue customer service skill rubbishthe room small nicely decorate flat screen tv wall . bathroom also small good power shower . also select hotel advertise gym however consist tiny room treadmill little else .... definition gym . summary location hotel great that s . not look fancy hotel want spend money shopping go however due awful smell awlful customer service will not return WJ will not recommend anyone 
 Dec 14 2007 	 Fab hotel 	 stay wj family wedding fantastic time . room small perhaps use hotel a1 cleaning staff . wedding book hotel staff go way look we . Nandy receptionist London porter brilliant . London advise we good way get around thing pack stay . only thing dissapoint we stay 2 british traveller complaine exceptionaly rude staff embarsse we fellow brit . manner do not cost money complainer seem do . the customer service skill New York leave we brit far behind need learn they . I can not wait go back New York would stay without shaddow doubt wj 
 Dec 10 2007 	 bad hotel NYC ......... avoid ! ! ! ! ! ! ! ! ! ! ! ! ! ! 	 beware ........... like dorm room stay closet sized room public bathroom right outside .......... room 601 ( peep hole see people urinating ) ..... floor also dorm low income people .... camera 's hotel ........ description hotel ........ rip ! ! ! ! ! ! ! ! sound like JAIL ! ! ! ! ! ! ! ! ! ! ! ! ...... : ) 
 Dec 3 2007 	 ` ` presidential '' Suite enough Room maintain ` ` Independence 	 stay room 485 Washington Jefferson Hotel November 19 - 22 , 2007 NYC 81st Macy ' Thanksgiving Day Parade . pay $ 177 night Priceline . hotel locate 51st St 8th & amp ; 9th aves great location , many delis , Duane Reeds ( NYC drug store ) & amp ; restaurant walk distance ; Times Square block 2 away . also subway stop one block hotel . front desk staff professional & amp ; friendly ; offer we map area & amp ; complimentary copy New York Times upon check - in . I ' stay many NYC hotel & amp ; must say probably small room ' stay yet . however , clean modern décor & amp ; fine & amp ; husband . room nice flat screen tv wall , desk , & amp ; mini armoire / closet also contain safe , iron & amp ; board , & amp ; 2 shoe mitt . queen size bed comfortable ; however outside noise level high . room face 51st street provide nice view quaint street , however , due window mount air conditioner , sound like window open close . ' big issue we ' use city noise , probably big issue . nice room feature iPod dock nightstand copy New York magazine & amp ; Time New York magazine list going week NYC . complementary in - room internet service also provide . wireless suppose available every time try connect wireless problem log , even ask front desk refer us service provider customer service line unable help we . however , able connect use wall connection cable room ( cable desk drawer room ) . bathroom small , , clean modern décor . stand shower good water temperature & amp ; pressure . complementary bath product include Gilchrist & amp ; Soames Forest Essentials shampoo , conditioner , body lotion , body wash , facial soap , oatmeal bath soap , shower cap , & amp ; little kit contain cotton ball , q - tip & amp ; nail file . find sink bit awkward ; faucet rather large & amp ; right middle sink get way washing one face . the Washington Jefferson hotel nice hotel great location however , due small room size likely would stay recommend other ( unless price right ) . NYC would recommend lunch ' mac East Village ( 345 E. 12th St 1st & amp ; 2nd Aves ) ' terrific neighborhood restaurant serve different version mac & amp ; cheese . lunch make way Little Italy & amp ; one Caffé Palermo ' " good cannolis planet earth " . enjoy stay NYC ! 
 Nov 30 2007 	 avoid cost 	 book stay hotel week November . arrive travel companion , specifically book room separate bed , give pitifully small closet room one bed . ask put alternate room , advise vacant room available staying week , sure could move we follow day . unsurprisingly , prove rubbish happen . furthermore , awoken first night concierge call London welcome guest ' large twin bed room ' . serve rub salt wound . the room cramp , loud extremely hot . air conditioning not function bolt onto half open somewhat grubby window . closet small could unpack instead live suitcase week . staff unhelpful unsympathetic situation customer service non - existant . having contact Max Izmaylov , ' Director Sales ' WJ Hotel , since return , receive response whatsoever give lack customer service wj offer , not expect ever receive reply . favor not stay . 
 Nov 26 2007 	 def stay 	 completely agree person previous review . itoo get place hotwire bit leary first time use . could not happy Washington Jefferson ! ! location : tremendous ! block Times Sq chaos , 5th Ave shopping , Rock center , Moma , etc . away noise fray . serve within block subway line will need . great lower price restaurant 9th . 2 min Starbucks a.m. room : small clean . mattress new & amp ; spotless - I check ! get twin deluxe ( reasonable $ 20 upgrade ) . Bathroom ( shower ) tight fit elbow room hubby shaving small sink doable day . great hot water . armoire 4 desk - type drawer ; limited storage organize traveller . 3 average size wheeler bag we space little tight nothing can not work around time be room . prev say , close door silent , even busy Thanksgiving wkend . Slept Great ! be low maintenance traveller not ask much staff pleasant welcoming . parking : Hudson View Icon Garage 11/2 block 51st & amp ; 10th cost we $ 75 4 day weekend . fantastic rate city . I hope keep Hotwire ! rate get quality stay already plan another trip Washington Jefferson . 
 Nov 23 2007 	 Pleasant Surprise 	 book room Hotwire , rate hotel 3 star . would describe boutique hotel , still pleasantly surprised arrive . hotel 51st , 8th 9th NYC . go NYC , book dinner reservation night favorite restaurant . know would good karma stay driver pull hotel see Maria Pia , favorite italian restaurant , right across street . read review expect small room -- always expect NYC -- call ahead upgrade deluxe room ( nominal rate $ 20 per night ) room quite adequate . ( come folk , much time actually spend room be city much see ! ) king size bed firm bed extra nice . want take duvet home ! bath small everything need stay , include window ledge store toiletry . even though tub ( would love soak foot end busy day ) , nice , hot shower great water pressure . linen replace every day , bathroom always well stock . not much drawer space ( 4 small drawer desk ) , good sized closet , use space bed store shopping bag suitcase . surprised quiet room . room overlook clean & quot ; courtyard & quot ; form shape hotel . completely quiet , could hear occasional horn siren 8th Broadway , turn widow unit , hear nothing . cold run AC , simply turn fan sleep like baby . the hotel desk help exceptional . not stop often , , always treat respect good humor . one morning look leisurely breakfast , ask doorman , recommend Sortie , right across street . highly recommend restaurant quiet ambiance wonderful crepe -- sweet savory . also mention location . one block major subway line two block another , NYC closeby . not mind walk , Penn Station , Central Park , Javits Convention Center within walking distance . ( actually enjoy walk Javits Center Hells Kitchen . ) show friend city , take subway quick easy access . end day -- 5 day -- happy hotel accessible since often walk mile excursion . Most theater conveniently go strike two day trip , bit apprehensive visit would spoil . not . simply regroup new interesting thing would normally do -- Radio City Music Hall 's Christmas Spectucular , walk tour Central Park , comedy club upper east side , zabar upper west side , shop China Town Saturday afternoon . NYC excite ever ! get chance return NYC , definitely stay Washington Jefferson , especially get Hotwire rate . ( Hotwire often give enough information figure ' m stay . read line review . ) hope , . price , be among good place & quot ; sleep & quot ; need sleep visit NYC . 
 Nov 10 2007 	 Outstanding Mid - town experience 	 use visit Manhattan fairly often not back four year . early visit ' ve stay suite hotel , condo , apartment , traditional hotel .. low Manhattan , East Village , Midtown . four night town , go back area know well : Midtown . choose W - J lot internet research , include TripAdvisor review . could start bad note ... JetBlue keep we Dulles 9 hour . desk deal delay smoothly efficiently - characterize dealing we right include book professional pleasant hirecar take we airport leave . our room rear west wing 's sixth floor . chic without uncomfortably minimalist . large , even king bed , roomy enough two we move around without problem . also impeccably clean arrive stay way . the amenity fine internet access highspee easily access . 's perfect place ... elevator small little slow . bathroom proportionally even small might comfortable plus - size people offer serious challenge six foot plus/190 pound partner . finally , location extremely convenient Broadway theater , Rockefeller Center , plethora restaurant every culinary sort level sophistication . be also easy interesting stroll Central Park . base single stay , recommend highly couple individual traveler . 
 Nov 7 2007 	 great little hotel side street hell kitchen 	 great little boutique hotel side street ... within walking distance Rock Center , Times Square theater district . great little find ! ! worth extra $ 30 upgrade deluxe room . regular room tiny ... deluxe room upgrade nice much space . bathroom nice . hotel not roomservice mini bar , restaurant downstair walk distance great restaurant . town quick overnight need cumfy place stay , great hidden gem . 
 Nov 1 2007 	 worth visit 	 stay mid - town NY read review great loaction . yes room small spotlessly clean want stay room ny . clean fresh bed every single day . hotel staff freiendly , reception staff , door staff cleaner , handy man great . say location great near everything far enough get away night siren etc . would deffinately stay ! great value money ! 
 Oct 29 2007 	 nice hotel small side street 	 Washington Jefferson overall nice hotel . a us room face street , obviously noisier , turn fan ( hot ) help drown truck horse - draw carriage noise . room small , clean modern , nice amenity like comforter , slate bathroom & amp ; new fixture , free wireless , close many restaurant theater . my room full bed , nightstand , desk , mini - wardrobe . bathroom slate tile corner shower glass enclosure . modern & amp ; clean , small . another colleague desk wardrobe , another get upgrade king room . depend . Maria Pia across street good , crepe place ok , slow maybe pick crepe filling , weird . 
 Oct 18 2007 	 HIGHLY recommend ! 	 get back 3 day stay wj love ! despite fear past review room might shoebox , pleasantly surprised find adequate size . request room twin bed lucky receive it- also arrive hotel 11 be able check immediately . bed clean comfortable , bathroom attractive though compact , definitely sufficient . find every member staff helpful friendly . lobby nicely furnish elevator ( bonus bargain hotel ) . note continental breakfast offer wj.our first night exhausted travelling follow full day shopping ' bring go dinner- strongly recommend italian restaurant , Maria Pia , across street . look charming eat , prepared meal we pick 20 minute include salad , fresh roll , dessert . $ 50 2 we . Delicious ! location hotel perfect die - hard NY shopper . walk 5 block east across 51st St. department store mecca . 2 block east 2 block south ' already Times Square . we definitely stay Washington Jefferson . 
 Oct 15 2007 	 Perfect location good value . 	 first time New York i´m please stay hotel . great location , close Time Square , Broadway theater , subway station etc . lot restaurant outside lobby , great diner street north 8 ave , Cosmic Diner . the staff hotel helpful nice . I don´t anything negative say hotel , good price ( new york ) . 
 Sep 4 2007 	 Excellent location value 	 location Washington Jefferson perfect , within easy walk distance good restaurant , subway Times Square . staff could helpful friendly . lead review expect tiny room , find size quite adequate , furnishing new luxurious , extremenly comfortable bed . room quiet , street noise . 
 Aug 28 2007 	 Teeny tiny room 	 stay room # 234 hotel ... room face street window a / c unit allow street noise room.the room half size dorm room ... tiny . on plus side ... room clean . bathroom large ... nice shower ... good maid service ... careful hallway staircase ..... trip every time climb step ..... would liked keep bathroom window open ventilation .. residence directly across form hotel shower curtain clear plastic ! ! ! ! difficult sleep city noise .... a / c room window could closed may help .... good location broadway show restaurant .... try Rays pizzaThe Art Cafe Broadway 50th good breakfast spot .... reasonable price meal serve less 5 minute order . this hotel way overprice room ... 
 Aug 1 2007 	 Great Location Poor Rooms 	 everybody know New York bargain almost impossible find get one not believe much ... get hotel quotation review positive expectation much high reality show we ... location near perfection , 2 block Times Square Metro Station 3 block 5th Avenue . sushi restaurant also quite good ( despite little expensive well be NYC ... ) , look great base explore Manhattan hotel ! ! expect good room , will not get : - bathroom really tiny- almost space luggage clothe - remain room similar ours- Walls paper thin room street- big view roomsthe staff nice 's great area visit city , however look something comfortable overprice like hotel ... hotel downsize price perhaps become acceptable . nightmarish stay , would surely pick another hotel try area . about NYC , well 's million mile away european city fascinate cosmopolitan multicultural city thousand city inside ... jut marvelous . there must see not miss : - Empire State Building - great view despite barbed wire- GE Observation Deck - Way well Empire State stain glass really take look around everything ( includin Empire State Building ) - Central Park ( middle ) - boat tour , walk around , enjoy outdoor little heaven middle NYC ... - Metropolitan Museum Art - incredible civilization museum include egyptian temple , aztec artefact great painting sculture works- Museum Natural History- amazing wildlife imagery really get true approach nature worldwide include dinosaur wing die for- Museum Modern Art ( MoMa ) Guggenheim : really fancy contemporary art 's unmissable , skip them- UN Nations building - tour good ! ! imagine yourselve world stage dialogue World like see tv ... - Statue Liberty : another extraordinary sight , worthy cruising take load picture Manhattan Island skyline- Brooklyn Bridge : Cross day night , find magic Manhattan skyline see films- Grand Central - Beautiful Station , incredible architecture- St. Patricks Cathedral - oasis spiritual peace excellent architecture among hundred skyscrapers- Chinatown- enrich China away China ( great place bargain ) . unforgivable miss daylight.- Wall Street : NYSE , charge Bull , George Washington Museum , Old Church ... place many great landmarks- WTC - can not help get emotional tragic place , specially visit small church near ... finantial center view outstanding current construction site.- 5th Avenue & amp ; Broadway & amp ; Greenwich Vilage- Shoppers paradise ! ! broadwaytheater good overprice ... unless love musical ! ! - Times Square - Jewel crown could spend hour hour admire nightlife : Hard Rock , Planet Hollywood , & amp ; World , Virgin , Gift Shops , everything theremy final ecommendation : - minimum 6 day visit like walk around- invest good restaurant ( 40 - 50 usd ) 2 nights- not invest city tours- walk lot use Metro system- Buy Citypass spare lot money main attractions- Buy gift Chinatown Greenwich Village , much cheap ! ! - buy food one hundred delicatessen shop spare money invest good attraction ... quality excellent ! - beware neighbourhood night , namely outside Manhattan ... not risk much walking . I could write hour really must live real ! ! return USA great visit definitely NYC ! ! great trip need tip tell ! ! 
 Jul 19 2007 	 Little Room ! ! 	 hotel locate fantastic place , central park , broadway Time Square , staff kind room little life , air conditioning not work well hot temperature day night . clean room bathroom perfect , spend 5 night hotel never change face body soap shower .. 
 Jul 10 2007 	 Bad 	 2 we stay 4 night length stay ok . great hotel earth regard overall decor arrive double room instead twin expect . however , staff unbelievable maybe friendly helpful ' ve come across . could not nicer . try everything change room get could not , endeavour change asap offer one next day . the bathroom - despite tiny - great ... really clean , modern look brand new ! shower possibly one good shower ' ve ever ! ! powerful surprisingly roomy ! ! low price good location , could not ask well staff ( make feel really welcome ) room , , , well sleep shower ! 
 Jul 3 2007 	 Good Location Reasonable Rates 	 stay Washington Jefferson two ( 2 ) night read review . would agree previous review . find location great , room clean , bathroom good size spotless , enough hot water water pressure shower , yes , room small . room small , fine time spend sleep shower . really not want spend additional $ 150 $ 200 per night dresser room and/or room open suitcase . second floor , face street . air conditioner , keep room comfortable , trouble street noise . staff pleasant accomodate hold bag check check , arrange car airport . 
 Jun 24 2007 	 good city break small room 	 hotel great location . room nicely decorate small . bag floor , much room walk around careful ! bathroom lovely almost big bedroom . plus side , duvet bed linen really good quality , least get good night sleep . hotel good short break spend much time room . really sleep , foyer nice , atmosphere , pre dinner drink ! 
 Jun 24 2007 	 ' m go recommend .... 	 firstly know New York hotel room poor value money . pay £ 75 per night ( $ 147 ) double room priceline . the first room give third floor , face street . tiny , struggle get case . shower tray curtain , otherwise bathroom nice , modern . however air conditioner fit window . appear summer fitting , window half open , aircon put , little plastic concertina bit side . seal , face street imagine noise . immediately call reception ask move due air conditioner noise allow street . say could not ( 2 3 pm , not really believe ) . call back 10 min offer we room face ' courtyard ' ground floor . high enough ground level concern . bathroom nice ( shower rectangular tray slide door ) nice decor previous bathroom . room still tiny . wardrobe , little rail corner tiny ' alcove ' . safe floor alcove fixing power . actually switch ( switch inside ) .. rectify although though fix something . bed one wall , bedside table one side . bedside table drawer . one small top drawer , deep drawer huge phone book . needless say could not really unpack keep case open . think wallpaper dirty . nice modern wallpaper , embossed thought look like dust emboss square ! carpet not nice either . bed however nice . say bathroom nice ( although tiny ! ) . would probably go back hotel stay first room know could not sleep .... type room would always possibility ! 
 Jun 15 2007 	 Location service trump 	 proverbial hard luck pair arrive hotel : come red - eye 7 , arrive therefore nowhere put we room one foot wide queen bed long . room , sit toilet 30 degree angle avoid knee strike toilet paper roll . staff , however , graciously promote we twin bed room suitable stretching , generally everything possible helpful . cleanliness impeccable throughout hotel . air conditioning adequate even hot day . location well : midtown 8 block north Times Square . long spaciousness priority , value service , will well stay . 
 Jun 8 2007 	 Excellent hotel great service 	 stay 3 night $ 190 per night standard room book WY website . arrival greet welcome reception staff early accommodate store baggage we . give upgrade deluxe room much apprecaite . room adequate . good size New York standard bathroom nice decor . nice white spotless bed clean fresh towel replenish every day . location perfect walking distance broadway , time sq , central park rockerfeller centre . recommend cosmic diner Ellen 's stardust diner nearby . excellent stay wj excellent service staff . 
 Jun 6 2007 	 great little hotel ! 	 stay wj hotel May 31st - June 4 . first , staff wonderful . everyone extremely helpful friendly . ask serveral time recommendation , direction , etc . , everyone always willing help . room small , adequate . bathroom fine . long narrow , plenty space get ready . Shower head tall water pressure great . bed tad hard , terrible . room 's window air conditioner . room face street lot street noise night long . friend stay opposite side hotel problem noise . never hear guest . location wonderful . close Times Square , right near subway station , lot wonderful place eat near - by . overall , nice stay . 
 May 28 2007 	 fabulous clean hotel great staff ! 	 run theme review hotel small room , mine exception ( 24 inch surround twin bed 3 side , step toilet enter exit shower ! ) . however , can not say not enough room luggage toiletry , small armoire provide plenty room hang clothe , lot electrical outlet available charge cell , camera battery , mp3 player , etc . the room SPOTLESS , maid excellent job daily . comforter pillow comfort long , tiring day sightseeing , sheet always sparkle white crisp . the staff super friendly ... can not recall one instance pass staff member not greet smile friendly & quot ; hello & quot ; . super - quick special request seem genuinely happy help knowledge city . the view room dark , ugly airshaft , see plus keep street noise , along thick wall room , make quiet stay . my complaint wj one day 4 night stay turn water maintenance notice catch half - way shower water pressure . see minor inconvenience isolate incident would keep stay wj . 
