Fantastic 	 stay auberge 3 night November . great experience start finish . breakfast include room rate sufficient enough get we start day . we room 5th floor , room great . comment room & quot ; jacuzzi & quot ; much small bath ( shower fine ! ) .it great base stay Montreal . Old Port bit touristy , be easy enough find good restaurant dinner . 
 Jul 30 2008 	 attractive clean peaceful 	 extremely attractive room , lucky enough one wide view river . bed extremely comfortable , bathroom facility excellent . copious breakfast , although unfortunately serve rather dark basement dining - room . staff whole efficient pleasant , though one unfortunate exception . generally speak highly recommend . 
 Jul 13 2008 	 excellent choice 	 would like confirm positive feedback hotel . it great location many choice restaurant nearby . the staff hotel well ever come across - lot time helpful - husband need doctor whilst Michael utmost assist we . although lovely room overlook marina , disappointed jacuzzi . ask staff move give first available room jacuzzi greatly appreciate long day walk around . the bed comfortable room appear internet - lot charm character . I would definately stay would highly recommend . 
 Jul 11 2008 	 kink enjoyable stay 	 spend 2 nite auberge- 7/3 7/4 . reserve deluxe king room check room , a / c working . tell give time . went enjoy city . come back 11 pm a / c still work . night manager come check say break bring we 2 fan . fairly hot nite not sleep well.the next morining speak manager- busy give we undivided attention , switch we different room function a / c end compe we first nite.we would rather comfortable first nite free ok.both room bathroom spacious brick stone . hotel nicely renovate comfortable charming . breakfast room basement lovely rooftop bar river views.aske staff restaurant recommendation end excellent italian trattoria -cafe via dante petite italie- touristy wonderful food service noot crazy expensive.the next nite ended chao phraya , excellent thai place non touristy residential part town.so a / c issue , would give 5 star . 
 Jul 6 2008 	 wonderful hotel 	 family spend 4 night hotel late June 2008 . 2 room overlook main road . room charming , much show photo provide website . expose brick , wood floor . really old building room renovate charming . also good size . breakfast serve basement also nice . negative experience street somewhat noisy , window shut , problem . hotel staff helpful friendly . one 4 night spend apartment manage hotel different building . change plan late could get we 4th night main auberge . apt ok actually great value $ 200 night 2 bedroom unit . nice , main auberge much nice experience , look something affordable , solid choice . hotel nice part city restaurant everywhere , although bit pricey . 's 6 block easy walk metro . highly recommend hotel . tend really fussy shy voice complaint , really none stay . 
 Jul 2 2008 	 Nice Quaint Hotel 	 stay early March . hotel excellent location Old Montreal . hotel gorgeous European . staff absolutely excellent , truly serve . room hardwood floor comfortable . Old Montreal time year quite dead , restaurant close early not think much . end spend majority time downtown 15 minute walk Old Montreal . Old Montreal summer definitely lively winter - spring . 
 Jun 30 2008 	 Staff neglect tell we thing 	 hotel one picturesque old Montreal . we stay loft , ( tell ) block half away restaurant 's own hotel . there lift 2 story walkup - again informed . the loft spacious , furniture old wear . my friend room furniture much nice . the bed huge - king - and pretty comfortable . a huge problem window . I not know rest , # 804 double pan glass noisy night hear everything . we stay night , big concern . the staff helpful , especially concierge / doorman . they offer valet parking fee retrieve car time . they also give we extended checkout . the hotel look real nice , especially main restaurant location excellent . 
 Jun 30 2008 	 beautiful building excellent location 	 choose property via Montreal tourism web site 's Sweet Deal Promotion , cross check available property Trip Advisor . we please overall property , service , room food ( hotel serve complimentary breakfast choice entree access buffet guest ) . would stay without question would recommend friend . of note : part Montreal heavy pedestrian traffic busy night , part charm . stay begin weeknight run weekend . increase noise street significant Saturday night . room locate third floor , less negate problem , sensitive noise , might want try get room upper level . train track nearby , find train non - issue , even window wide open . 
 Jun 24 2008 	 nice loft 	 loft Vieux - Port . loft seem house building separate hotel . loft spacious , kitchen , washer / dryer , living area , two tv , etc . aware may walk several flight stairs loft . employee Christian helpful . problem Internet loft ; wireless give ethernet cord short ( 18 . long ) could even put computer desk nearest internet port . good location old Montreal . 
 may 19 2008 	 old world charm heart Old Montreal 	 wife visit Montreal long weekend getaway choose Auberge du Vieux - Port quick web search . hotel consist five separate building , locate along riverside Old Montreal . we choose loft apartment , clean well equip large window look onto street . reviewer mention , lofts brand new designer chic , cosy comfortable , like well live apartment , lot expose brick timber floor . kitchen roomy well - equip , although not use local restaurant excellent . like New Zealanders not speak word French , hotel staff unfailingly friendly helpful . if stay Old Montreal , be well worth rent bicycle cycling along riverside . 300 km bike track throughout city 's great way look around . great stay Auberge recommend anyone visit Montreal . 
 Apr 10 2008 	 Excellent 	 wife stay two night early April could not happy choice . room furnishing , desk service , bathroom etc . excellent , extra touch impressed . first , wine cheese 5:00 7:00 , lovely . guest get free glass wine nibble brie gouda serve fresh baguette . also , guest get free breakfast . & quot ; continental & quot ; , norm , hot , cook , from - a - menu breakfast . overall , hotel big part perfect weekend . 
 Mar 24 2008 	 Excellent Stay ! 	 wife stay 4 night March 2008 . much enjoy excellent service . staff friendly helpful recommend restaurant provide direction . room nice high celing , stylish furnishing nice jacuzzi tub . drawback wall seem bit thin hear street sound anyone next door . , would highly recommend hotel congratualte staff excellent job ! 
 Mar 4 2008 	 wonderful Inn personal touch . 	 top notch customer service clean room quality linen . inn lovely ambiance staff welcome helpful ( English French ) . early arrival Montreal mid January mean hotel early expect . check give great direction itinerary next day , mention useful tip place visit . even notice one manager discussion staff good fruit foyer client . attention detail seem mindset . complimentary cheese wine guest serve 5 - 7pm great touch . little bar cozy , jazz evening not much urge head cold Montreal street sightsee . location great visit Old City Notre Dame 6 7 minute walk away . tip go Jean Talon market prove invaluable us foodie . could go .... try , make great winter getaway . K2C 
 Feb 17 2008 	 good stay 	 stay first floor original expose brickwork . nice room , comment would slight noise road outside train ( 100 m away ) .Overall would use . 
 Feb 15 2008 	 Gorgeous building - great service 	 book short notice base website picture review . always , never know actual hotel beautiful picture website , doubt right place . warm ( consider February -25C without wind ) , pretentious ( classy ) staff pleasant , helpful volunteer useful information . hotel work ask 100 question , answer question could even ask . lucky upgrade beautiful King Size room double jacuzzi view river . room welcome warm , food delicious rate reasonable . rare find - definitely recommend . 
 Dec 30 2007 	 avoid Lofts ( # 805 least ) 	 pay premium price base see computer - disappoint - expect character also well quality . decent piece furniture bed comfortable . table basic kitchen table chip formica top , sofa bed uncomfortable son put mattress floor sleep well well - use ( like match love seat ) , one print wall slide 's frame , remote control tv not work ( perhaps different brand ? ) . disappointing , though , bathroom . rather something comparable high end Sheraton - walk - in glass doore shower avante - garde wash basin see picture small , cramp bathroom keep average highway motel . wash basin several chip porcelain , cheap plywood door not close properly . on positive note staff friendly accommodating . the concept loft great - not mind stair - would not expect find loft ground floor ! blend well old world nature Old Montreal 's architecture . however , reality meet expectation . perhaps give hotel benefit doubt - book late perhaps get bad loft . this review warn complaint - not complain management . ? wife two grow child short vacation . opportunity get few child get old . loft large enough we enjoy 's company , city Montreal offer lot . not going let loft 's short coming detract time together - will not , however , stay . 
 Dec 27 2007 	 still good place ... 	 although well buy year ago exchange rate increase , be still great respite Old Montreal . wanta ton amentie like gym , go Omni- otherwise , quaint , charming , comfort- choose Auberge . 
 Dec 18 2007 	 still charmer could use improvement .... 	 stay Auberge du Vieux Port year , figure time revisit old favourite . the hotel still charm , year 10th anniversary , hotel show age small way . the upholstered bench room noticeable hole corner , stuff come . caulk around bathroom sink mildewy deteriorating -- ought replace age ago . sort thing . nothing major , add up . also , Narcisse , new wine bar , nice old Les Remparts restaurant , either atmosphere menu . however , service continue impeccable . staff friendly helpful time -- certainly make stay pleasant . 
 Dec 10 2007 	 wonderful 	 wait last minute book trip Montreal choice stay . see Auberge Vieux du Port look nice blindly take chance . sometimes dumb luck good way travel . on way Montreal , take recent copy Conde Nast annual reader ' poll . turn auberge number 1 hotel Montreal number 7 Canada . I understand get high mark . staff outstanding , hotel adorable , location perfect , many little thing well . , always comfortable well take care . concierge give card check -- case question , call room make sure & quot ; everything perfect . & quot ; wine cheese reception bar evening . bedding rival top hotel Europe . could happy Old Port section Montreal . magical night light come , adorable shop , restaurant galore , art gallery poke around in . the food scene Montreal amazing . good meal ever , feel choose restaurant , still would . many choose from . I would highly recommend hotel look boutique , well serviced , comfortable experience . oh , restaurant good . 
 Nov 15 2007 	 wonderful ! 	 stay Auberge du Vieux - Port month ago . really great tme . actually surprised see rank low tripadvisor . staff wonderful , stay would not without . would go back time recommend anyone doubt . ask river front room . 
 Nov 5 2007 	 place amazing ! ! ! ! 	 need break hotel answer spade ... moment arrive concierge get we cab complete coffee ... lovely property ... room charming linen soft luxurious ... beautiful breakfast morning wine cheese full day shopping step front door Old Montreal ... will defineatley back ... think annual tradition we .... romantic ... can not say enough staff ... amazing ... thank much need getaway ... be ready real world ! ! ! 
 Oct 25 2007 	 Loved Vieux - Port .... 	 spend 3 night Auberge mid - October , find location , service staff , room would want . also , buffet breakfast serve wine - cellar - like room good . although initially disappointed restaurant , Les Remparts , recently close , concierge make we reservation highly recommend place include Restaurant Bonaparte Pinxto ( spanish tapas ) .The valet bring car within 10 minute time request everyone work hotel , include breakfast - room server , go way helpful friendly . fact , woman charge breakfast notice husband make hot chocolate buffet , offer go kitchen make cup well cocoa milk ( water ) . small nicety , perhaps , example staff 's generous attitude . like walk place , archeology museum Science center Imax theater right nearby , Rue St. Paul . 
 Aug 24 2007 	 Excellent location 	 stay one loft own hotel . arrival , staff helpful attentive drive we hotel apartment locate within 50 metre hotel . 2 - bedroome apartment old converted building beautifully furnish . location loft , Montreal 's old town , perfect many resturant , street entertainer shop within 2 minute walk . car valet park hotel staff bring we whenever need within 10 minute phone call reception . criticism lofts du vieux port apartment prove quite dark lighting not sufficient , plus front bedroom , face onto street noisy night due downstairs restaurant . 
 Aug 10 2007 	 highly recommend 	 location excellent . staff courteous professional . pleased room , breakfast wine cheese include . restaurant first rate well . travel quite bit find hotel good value . 
 Aug 7 2007 	 Nice Hotel 	 get back stay hotel disappoint . debate numerous boutique hotel Old Montreal glad settle hotel . surprised see low tripadvisor ranking . location perfect facing port , side hotel face rue St. Paul . hotel great intimate size , high ceiling , comfy bed , clean room ... attentive staff . get room settle little bit , front desk call check everything okay need anything else ... nice touch . a minor concern .... sensitive sound , avoid stay st . paul side .... loud night weekend wake light sleeper . elevator slow . restaurant service questionable ... try couple time eat roof terrace service good .... lot food choice area , would suggest go elsewhere ... otherwise great hotel .... would stay . 
 Aug 5 2007 	 Loved hotel 	 stay 8 night Auberge du Vieux - Port July 2007 wonderful . room large bathroom huge . staff helpful . definietly stay again . just two small issues- room right next stair lead terrace . noise level excessive time . also , would like bathroom light little bright . 
 Jul 23 2007 	 Wish Spent Honeymoon Somewhere else 	 new husband high expectation Auberge du Vieux - Port arrive . see pictures website ... disappoint stay . first stay honeymoon -- 2 night Auberge head onto Quebec . unseasonably warm stay Montreal room locate top floor . middle night , rainstorm come ceiling break water end drip onto bed . physically move bed make sure go water damage . air conditioning little improve situation -- stifle room . must admit -- wonderful service stay ... many apology conceirge . wave parking fee -- . would recommend stay . 
 Jul 15 2007 	 great spot .. 	 auberge quite romantic place stay utterly romantic town ! room gorgeous , staff work overtime make sure everything comfortable . advice try get room face port ... street side get little noisy merriment go old Montreal . 
 Jun 27 2007 	 great service terrible food ! 	 return week - end old Montreal . reserve room Auberge pay extra river view . view , mind , would mean would clear view river unless fourth fifth floor case . hotel great location ... close shop pub service phenomenal get package include four course meal . first get choose four course majority meal inedible . ceviche like sashimi , lobster ravioli terrible fois gra fois gra . thing save meal filet mignon ... delicious . could save money eat well meal elsewhere . 
 Jun 20 2007 	 Nice Hotel Wonderful Location 	 stay Auberge du Vieux - Port two night Montreal part Honeymoon . Front Desk staff nice make sure everything need . also give we information regard thing around Montreal . hotel 27 room room everything need . appear keep well probably renovate last year . also receive ticket night 's wine cheese reception bar . location hotel central old part Montreal make accessible city . overall hotel staff accommodate . issue try get wifi work code provide . call front desk numerous time get new code finally give . also , check bill leave charge night even though already pay deposit advance book first night ( tell website book , next day receive email say would charge one - night deposit ) . 
 May 23 2007 	 enjoyable stay ! ! 	 direction Expedia leave we middle somewhere call someone 2 am home get proper direction arrive quite weary . doorman , front desk clerk happy assist us luggage . the room warm roomy . window huge provide we much sunshine great view . wood floor nice touch . cold week Jan. many shop restaurant close April . staff happy assist moment , especially dine recommendation . Mattieu , doorman , go way we many time , call taxi bring we something leave car . cheese wine reception excellent breakfast . would stay heartbeat ! location easily accesible area Old Montreal Montreal . 
 Apr 11 2007 	 not meet expectation 	 book deluxe double room view river Auberge du Vieux Port $ 200.00 per night . price include breakfast , evening cocktail hour , Jacuzzi tub , think get great deal . however , hotel ' live expectation even price . ' stay several boutique hotel Montreal Quebec City , ' find Vieux Port par . arrive hotel , carry bag car snow , doorman look . bag hotel , happy wheel room . room large , oddly furnish eclectic mix old world reproduction modern boutique touch . ' seem work . addition , room always make kind noise , either bar fridge rattle , heating system whir , neighbour ' television could heard wall hour night . ' usually difficulty sleep , noise keep woke night . sparse cold breakfast buffet augmented hot entree menu cost nice touch . unfortunately , impress food . everything look nice , ' much taste . breakfast dinner , seem concerned style substance . restaurant basement contain remain original wall around city . , however décor restaurant mix historical architecture faux facade make look historic mind make everything look fake . understand hotel due renovation near future , meantime try one sister hotel – Nelligan Place Des Armes . 
 Mar 21 2007 	 loft amazing ! 	 husband stay lovely property past July . staff make scheduling error upgrade loft room instead king / river view originally book . loft another build close hotel . river view , need . loft amazing ... 3 level , crisp , clean decor , fabulous bathroom 2 person jacuzzi . kitchen lovely every amenity possible . live area couch , 2 chair , ottoman , tv , cd player , stereo . bedroom comfortable king size bed , tv , dresser . huge , luxurious way spend time Montreal . couple day Quebec City , return give reserve room hotel . would suggest room ... perceptible decline . sound ridiculous , bothersome room tilt toward doorway . room really special way , either . river view spectacular ... picturesque hear noise street . breakfast / wine cheese offer happy hour add luxury nicely present . if treat one loft room , please ... will not disappoint ! ! 
 Feb 21 2007 	 warm clean friendly 	 select auberge basis previous review . friendly staff , charming room exceptional KB . tasty eleguant breakfast include , excellent location take stroll old historical Montreal . send friend . 
 Dec 11 2006 	 Great Location great staff 	 go Montreal quick mini - moon follow wedding stay Auberge du Vieux - Port . one good thing hotel location Old Montreal across water . be close everything include metro station . staff friendly would anything make guest happy ( come late one night , try get hot chocolate one guest want ) . free breakfast die , especially fruit pancake chocolate english cream . room uniquely decorate expose beam , etc must say look well picture real life . bathroom huge jacuzzi great though . overall recommend hotel look splurge day . be luxurious definetely worth price due staff , location unique quality . 
 Dec 9 2006 	 Fantastic Service - Cute Hotel 	 fantastic hotel . 's great location see Old Montreal , include breakfast amazing , hotel stop nothing make sure happy stay . express interest go Montreal Canadiens game , come home night ticket wait we pillow . 
 Nov 24 2006 	 loft du Vieux - Port -- great independent traveler 	 loft separate apartment Vieux - Port , near Auberge du Vieux - Port . apartment totally self - sufficient , large , open . contemporary without coldly modern , retain classic feature building . room service hotel Restaurant du Viuex - Port available , nice touch touring day . the negative e - mail exchange , tell amenity Auberge available we . check , tell include breakfast , depsite show e - mail , reimburse . service pathetically slow breakfast , eat . instead , brie , baguette , fruit , coffee , juice comfort & quot ; & quot ; kitchen . MAJOR POSITIVE , however , leave cell phone loft promptly mail charge.btw , Phillip Michael quite welcome helpful . 
 Nov 14 2006 	 Decent needs update . 	 stay St. Antoine Quebec City , tremendous , perhaps little expectant would find , particularly glow review . lobby impressive , wine nice touch cheese good , bread ( aka cracker ) little odd -- tough brown . croissant breakfast truly well would ever try , positive . odd up - to - date lobby ( hip , almost , black fine furnishing ) , room dumpy . room ( 505 ) large , bed wear -- flat matress , poly / cotton sheet none plumpness fluff expect high quality hotel -- comforter standard issue floral print , charm . lead otherwise dreary appearance room -- do simple white upgrade bed have change opinion . brouchure room appear update room , perhaps get bad one ... either way , disappointment . yes , bathroom large , nice toiletry , shower dingy fiberglass aluminum insert corner , trickle water , manage work button bottom , odd . surprising hotel own folk Nelligan -- right around corner look amazing -- upscale . Old City hint : avoid square around corner restaurant -- poor example , give option rue St. Paul . great coffee / croissant place call Olive Gourmand something St. Paul great , fun steak restaurant McGill St. Paul , Holder something . nice expensive . net : stay auberge like large room , budget high expectation -- fine . particular mind pay little , Nelligan . 
 Nov 12 2006 	 cute Fraying 	 stay similar class price room Bonaparte Nelligan Montreal , check expect four - star , check - out disappointed . homework indicate one good player quaint heritage boutique property old part town , , be quickly outclassed other . the common area upon walk well appoint wine - and - cheese presentation enjoyable , LCD tv tastefully mount quarter - millenia old expose rock wall . well - appoint well - mean staff , need give stipend replace bad - for - wear issue - uniform . pleasant attentive , request reservation assistance local popular eatery challenge . the room probably one large model , unnecessarily dark weary traveller . advertise website large expanse enchant stonework half - meter wide , view enjoyable , long summer grimy window . bed bath cost fourth star . bath clean , basin pretty , shower - stall -so - clever solution . shower - stall unexplicable bath - nossle require operation . class auberge , fiberglass aluminum frame enclose shower not good . tell bathrobe , , like hard - use bed , indicate fray hotel . hope managment , handle truly enjoyable property nearby , attend detail , patron expect sort establishment . a lot review needlessly gripe cobblestone road ; street - noise disturb . 
 Nov 5 2006 	 nice big room 	 stay large loft style two bedroom apartment across hotel nearby building , room . furnishing average , wall brick loud still without bother anyone . perfect large group . stay top floor room prob 1000 sq . foot . idea breakfast part valet good . 
 Oct 16 2006 	 A++ ... must stay 	 charming small hotel perfect location Montreal . great room wonderful furnishing . worth price . not miss complimentary wine / cheese cocktail hour . stay room 204 side hotel overlook busy shopping area little noise evening , big deal . 
 Oct 10 2006 	 Excellent 	 round first class establishment helpful attentive staff , wonderful room well appoint communal area . stay one night would happily return . 
 Sep 25 2006 	 great hotel stay 	 arrive hotel 2 night could happy stay . hotel staff excellent willing help way could - restaurant advice direction ( especially Michael desk Brian door ) . breakfast wonderful - french toast , egg benedict , omlettes . could order anything want menu along coffe juice . every evening 5 7 , could free glass wine fruit , cheese bread . include room rate . room also great . beautiful view port fifth floor room . travel frequently , high expectation , disappointed . 
 Sep 23 2006 	 Nice Lacking ... 	 build quite laudable rustic french canadian charm . however , high school aged staff seem bit dumbfound well meaning time . first morning stay inform waitress continental breakfast include daily room rate . unfortunately 4th day inform entitle full breakfast . front building although offer attractive water view , extremely loud due long patch uneven cobblestone . room high floor recomende . also quick check window safety rail advisable . miss screw dangerously loose ! 
 Sep 14 2006 	 Breakfast pantomine . 	 follow nice stay last year , wife revisit 3 day friend early September . the hotel enjoyable last year , apart debacle try get breakfast . previous system help cereal , fruit , juice , tea coffee prior order cooked breakfast change full service staff . what develop farce take least 10 minute order take full 20 minute serve 2 harass waiter , obviously inexperienced , proceed deliver food , piecemeal , wrong table . each morning witness complaint , include , make staff , despite , appear management control situation . 4 star hotel problem address inexcusable . otherwise service , comfort cleanliness room high standard . would return ? yes , would pre - checkout local diner case breakfast pantomine solve . 
 Sep 10 2006 	 Lovely Boutique Hotel Great Location 	 husband stay hotel early September . room / bathroom spacious expect . love ambiance room expose brick wall behind bed . bathroom whirlpool tub great long day sightseeing . we arrive Labour Day , front desk staff helpful pointing activity could despite museum shop close . we please location right near Vieux Port . favorite activity rent bike next door , ride along Canal de Lachine well Ile - Note - Dame Ile - Sainte - Helene . highly recommend ! complimentary breakfast evening wine / cheese lovely . trouble one morning breakfast guest . seem server not fluent English maybe trouble communicate order . forgive , absolutely love everything else stay . 
 Aug 28 2006 	 nice ! 	 husband stay Auberge du Vieux - Port two night July . nice place ! arrive late afternoon , hot , tired somewhat cranky . change approach front door hotel . greet smile , check - in fast painless quickly escort room . room ! hardwood floor , brick stone wall , huge window open , cd player filling room soft music , plenty storage space , wonderful view Old Montreal port . bedroom . impecible bath equally pleasing , whirlpool tub especially invite long day . immediately fall love aromatic Essential Elements product thick terry robe . ah , crankiness slip away ! two - day stay , professional staff consistently pleasant efficient . every request quickly fulfil , every time step elevator , one staff greet we name offer assist way could , restaurant recommendation suggest good vantage point firework . the breakfast include price room excellent , wine cheese reception afternoon nice touch . not eat hotel except breakfast . we thoroughly enjoy throw open window room enjoy sight sound , especially street musician clip - clop horsedrawn carriage . last night , amazing double rainbow appear river , able enjoy several minute fabulous window . perfect end romantic stay excellent hotel . 
 Aug 22 2006 	 Great Place - require effort part guest 	 wife return spend first anniversary Auberge du Vieux - Port . book 2 night & quot ; Romantic Package & quot ; include King size bed , jacuzzi tub , one - hour massage we , 5 course meal hotel restaurant . enjoy room much - bed comfortable , room well appoint , without overly decorate . expose brick hardwood floor make nice ambience . any guest hotel get full breakfast , wine cheese wine bar evening . much enjoy wine cheese evening , service wine bar quite good . the breakfast , however , leave something desire . first morning , server forgot bring side bacon sausage include meal , roasted potato accompany omelette cold . second morning , french toast fail appear altogether , remind server order , show obviously sit kitchen time . finally , would advise prepared spend bit time work glitch front desk / concierge staff . book reservation wrong day , catch error invoice prior trip . twice bungle massage appointment , spend quite awhile sit front desk wait concierge get thing sort satisfaction . leave bottle wine room trouble . the dinner come part romantic package good . be definitely adventurous ( experienced ) diner , wife enjoy food service quite bit . overall , nice hotel make good stay montreal , thing could run quite bit smoother . 
 Aug 7 2006 	 Loved Auberge du Vieux Port 	 great location , great service , great value . stay delightful hotel make even well outstanding staff . concierge service provider love work provide excellent tip restaurant , site seeing , special event . phillipe particularly helpful we throughout stay even manage get we roof top seat popular firework display wednesday . room beautiful - expose brick , wooden rafter , hard wood floor , window seat area . room face park St. Lawernce Seaway provide we beautiful view . daily breakfast delicious include egg make order , waffle , fresh fruit juice available beautiful reception area / lounge portion hotel . service lounge , restaurant , hotel excellent . would certainly return property future visit . 
 Jul 6 2006 	 good quirky way 	 spend two night . rate include full breakfast , glass wine 5 7 pm , wireless internet . location perfect Old Montreal ; walk lot thing yet area quiet night . bedroom large , window open , king - sized bed cozy ( positive ) ; floor slope noticeably room 506 , annoyingly within earshot metal stairway rooftop terrace restaurant ( negative ) . staff friendly hospitable . 
 Jun 18 2006 	 terrific hotel . 	 everything . tremendous charm ( thick granite wall , huge window , beam ceiling , hardwood floor , wrought iron bed ) , helpful , friendly staff , great restaurant site , perfect location heart old Montreal . breakfast good . omelette thin crepe filling - bit different ususal omelette . think one thing could improve , except front desk volunteer send GST refund form electronically never mention commercial service keep 20 % service charge . think government internet site would refund free - mail . oh well -- - helpfulness plus ..... , one terrific experience . family would stay heartbeat . 
 Jun 6 2006 	 would recommend quaint hotel 	 Auberge du Vieux - Port great place stay . would stay ! strong point friendliness staff . ' good location see old town part Montreal . room stay side hotel 3rd floor find little noisy street traffic . plan stay late , ' bother . room nice , old beam wall ceiling . furniture modern hotel furniture ( antique ) . pay apx . $ 275 night 2 adult . we give full menu breakfast ( food bar ) free morning . breakfast good . variety breakfast 3 day , please every bit . evening offer free wine cheese . welcome touch . would recommend hotel . 
 may 24 2006 	 neat find ! 	 neat location front face port . room overlook port would open window let fresh air , hear noises street relax . Quirky room - nothing right angle ! part make neat . bathroom decent size ( shower tight ) . room plenty large enough quite comfortable . modern importantly date . exceptionally clean . breakfast nice . dinner Les Ramparts ok . little quiet hence lack atmosphere . wine cheese every night basic reception area / breakfast / wine bar cute neat hang look watch traffic ... service exceptional ! actually care whether good time ( rare thing nowadays ) .would stay ..... 
 Apr 10 2006 	 simply BEST ! 	 say enough hotel ! stay fanatastic location could well . staff helpful look every need ( especially evelyn front desk ) . arrive tired little grumpy stuck traffic hour , arrive staff take care car . arrive happy hour decide get snack Evelyn get we dinner reservation steak house block away . drink great appetizer bar . we get room well website could ever lead we believe . room spacious , beautiful clean . window look onto street Vieux Port give wonderful feel Old Montreal . bathroom large jacuzzi tub . bed comfortable not want go home . really great hotel make stay Montreal perfect ! 
 Mar 13 2006 	 absolutely good 	 guest auberge du Vieux Port November 2005 . room exactly hope would . cozy , brick , wood floor , beautiful view river large window , large bathroom . look forward return room afternoon evening . amenity also nice . complimentary make order breakfast fabulous complimentary wine local cheese evening . staff extremely helpful . location also great - right heart old port area within walk distance wide choice restaurant . 
 Jan 19 2006 	 hide jewel ! 	 husband return wonderful weekend Auberge du Vieux Port . everything perfect , expect . staff welcome , friendly knowledgeable , always eager assist we . room intimate , romantic feel dinner hotel 's restaurant rampart well dining experience ever . definitely stay recommend ! 
 Dec 18 2005 	 wonderful Stay 	 family return pre - christmas weekend Auberge du Viex Port Montreal . room beautiful bed extremely comfortable . good part exceptional attitude staff . make sure recommendation go suggestion dinner . friendly gracious . one evening , desk man even seek we make sure know fireworks river night . arrive , ask additional robe deliver within 15 minute . place return . Rue St Paul side noisy night- quieter many large city visit . location excellent everything want see within walking distance . experience Auberge make first trip Montreal quite delight . 
 Nov 20 2005 	 can not say enough ! ! ! 	 return 3 nite stay Auberge du Vieux - Port . we greet door name 11 p.m. night room immaculate charming . rose bed , chocolate beside bed . breakfast bed next morning ( breakfast include stay extra 5 $ charge room delivery ) deliver less 10 min . call . do smile accomodate staff . Hats Matthew park car deliver we appoint time seat warm car heat inside along carry chrisma shopping bag ... even remember car wonderful spot experience Old Montreal short taxi ride away downtown . must experience ! ! ! ! 
 Nov 2 2005 	 romantic . beautiful . amazing around ! ! 	 wife spend first wedding anniversary wonderfully charming hotel . room unlike anything would stay ; plain Jane Hilton Sheraton room . warm , invite well - appoint room , professional attentive hotel staff great location , auberge du Vieux - Port . 's unfortunate user rough experience , absolutely love experience hotel would recommend anyone . 
 Oct 20 2005 	 one good hotel ever stay .... 	 go spend amount time Montreal , business , pleasure , need stay hotel . location amazing , another hotel city locate closely water . overlook cobblestone street run parallel water , foot Old City , sight within minute walk distance . aside location , make truly special place service . attend moment walk door ( even , valet ( alexandre ) great us curb ) , moment leave , every need take care . small hotel , room huge , beautiful , clean ( mention window actaully open ) , staff knowledgeable accomodate large hotel city , so . you must stay , simply must . Les Remparts , restaurant , o.k . great , expensive get , might suggest try something else , aside , be perfect hotel stay lovely city . we return . 
 Oct 18 2005 	 inn people food location : Awesome ! 	 inn house old building lot brick , stone bear beam . room lovely , old world blend modern comfort . overlook river large panoramic window . find bathroom spacious exceptional toileterie . staff polite helpful . knowledgeable sommeli . food amazing : luxurious part stay . breakfast good dinner world , high end french cuisine . wine cheese cocktail , nice touch stay . location ideal , away hustle bustle downtown . overall , one good hotel experience . absolutely complaint . definitely stay ! 
 Oct 3 2005 	 bad hotel service ever experience 	 not stay . not room , talk supposedly & quot ; well & quot ; room cheap rate since one bed reserve room two bed . well ? bed loft space ' m tall walk , smelly Motel 6 Hollywood clean bathroom place . nasty , mildew cover shower place jacuzzi tub room reserve , several steep flight stair block hotel . offer apology room , try blame , tell book room early date no - show . bad confirmation email proof . bad ' m still deal paperwork dispute no - show charge credit card . treat like dirt . ' m young , travel lot work fun . ' ve see everything excellent customer service ( Gaylord Opreyland hotel Nashville treat like queen ) non - existent service ( Motel 6 ) . would take Motel 6 Auberge du Vieux - Port anyday . would $ 50 dispute credit card instead $ 250 . bathroom would clean ( yes , bad ) . 
 Sep 28 2005 	 wonderful ! ! 	 return 4 night stay property . find staff friendly helpful . room face river beautifully furnish . the accomodation great . really enjoy jacuzzi toiletry provide . the daily breakfast good . service little lax .. matter quite knowing server table . nightly wine cheese another plus . dinner Les Remparts one evening waitstaff excellent food service . the location hotel convenient metro Old Port . we return . 
 Sep 12 2005 	 Lots Personality view 	 enjoy hotel much . right old port area ( near everything ) . room lovely huge bed nice linen . bathroom one nice bathroom hotel ' ve stay ( nice whirlpool bath ) . breakfast nice . complaint would noise . 4th floor view port park area front bit loud . use earplug couple time would still recommend hotel . 
 Sep 12 2005 	 romantic 	 husband stay Auburge du Vieux - Port 3rd anniversary love accomodation staff . room unique charming . happen room view Saint Lawrence River please get price . staff exceptionally friendly accomodate willing help suggestion thing Montreal area . small complaint road noise . recommendation would get room directly street road noise bit loud awake times sound train . otherwise , one nice , romantic hotel ever stay . 
