great 	 spend 3 night hotel November 2008 refurbishment provide feedback site hotel contact assure problem rectifice agree stay visit year . true word problem sort return fabulous 4 night stay hotel . room excellent view Empire State Building , clean spacious door staff extremely helfpul , pleasant informative especially Tarek . I defintely stay future . 
 amazing hotel ! 	 Affinia amazing hotel stay whilst trip Big Apple . centrally locate , yet far enough hussle bussle . be far Grand central station ( attraction self ! ) get tube train easy . also Chrysler building doorstep . room could see Empire State lovely surprise . the room beatifully decorate , feel luxuary . bed ... wow bed ! ! comfortable , much look forward get end busy day .. pillow also good . bathroom also gorgeous ( seem odd say ! ) clean . housekeeping keep room immaculate , not see spot dust . bed change make every day . room service - poor not bother . food yuck - like cook 3 hour previously sit hot plate waiting bring , also expensive worth . instead go Scottys cafe open 24hours day locate short walk hotel ( go main enterance take right , cross road look leave will see , blue yellow ) . location ideal , short walk sight . walk hotel normal tourist site central park , Rockafeller . Empire State cool , yet Chrylser building Rockafeller building give amazing view Empire . empire build nightmare quee ! ! queue get , queue get security , queue get lift 80th floor , queue get another lift 86th ( observation ) get queue get . think spend 3 hour total queuing leave plenty time ! ! also Staute Liberty - make sure pre reserve go observation deck ( 2 week advance ) want go crown need reserve least 2 MONTHS advance ! also make sure cruise Hudson world yacht - amazing food amazing view ! hotel really good value money chic , classy brilliantly locate truely unforgettable experience ! 
 13 night Shelburne ... want leave ! ! 	 get back 2 week stay Affinia Shelburne . take husband New York surprise 50th birthday want more . stay queen suite 15th floor fantastic view Empire State Bldg New York skyline . fantastic balcony ( proper sized balcony , sit drink sunset watch city 's colour change ) heaven ! ! room spotless staff helpful especially Jada front desk jolly doorman ! ! location fantastic . New York 3 time far good location . safe walk around night problem walk fact everywhere New York with . even though Rooftop bar close go look view breathtaking . memorable birthday back next year stay Shelburne ! ! 
 everything expected 	 stay Shelburne 12 night good friend 50th birthday . picky real clean freak . have book standard room upgrade 15th floor suite ( balcony ! ) arrival . fabulous experience . hotel modern , clean quiet , plus great location . staff deal helpful , kind friendly - concierge houskeeping . great kitchen , load space include huge closet , bathroom lovely . spend age internet look reasonably price hotel NYC tick box - Shelburne . would stay recommend everyone . fabulous girlie birthday holiday NYC - thanks large part Shelburne . 
 lovely NYC experience 	 daughter stay Affinia Shelburne two night Thanksgiving Holiday . prior stay read trip advisor review want make sure could get room 2 bed . contact hotel directly tell request could make guarantee . notice assistant general manager respond trip advisor review decide contact request directly . e - mail answer day please guarantee room two bed . upon arrival greet extremely friendly doorman follow one pleasant reception clerk ever meet . wonderful treatment continue entire stay include every single person come contact ( housekeeping , maintenance staff hall , bellman , check ) . find extraordinary . travel NY many time meet friendly people every single person . room clean , bed comfortable nice workspace . restaurant next door ( get without go outside ) yummy breakfast . plus excellent location . would hesitate stay . 
 business model seem base generate repeat customer ... 	 fact : Booked Priceline reasonable price . greet front desk friendly helpful . notice small grafitti wall upon exit elevator floor . long something like wall 3.5 star hotel ? bad oman think . that nothing compare TOILET BRUSH , ( hopefully fall maintenance cart ) , hallway outside room . informed front desk take time remove , guess not bother . long would something like hallway 3.5 star hotel ? enter room use shower . exit shower happen look ceiling notice large 16 & quot ; pizza size miss piece plaster bed , loose material still attach . would real 3.5 star property room service ? think not . first call mention hole meet bad already shower use room approach . later call make front desk switch different room . . 30 minute initial TOILET BRUSH HALLWAY mention . Brush remove employee bring new room key . later mention problem Priceline meet denial Hotel . ( photo hole bed denial seem poor strategy . bottom line : not bid 3.5 star Priceline MTE may end here . the hotel seem mostly fill tour overseas one time Priceline buyer . stay away 
 Mar 27 2009 	 Awesome ! ! can not wait go back ! ! ! 	 3 girlfriend want take nice inexpensive trip NYC start research hotel , come across hotel offer Travelzoo . review hotel good bad , decide go cost efficient close Times Square . get impressed . staff extremely polite helpful room AMAZING ! ! clean , crisp , newly update . four we stay room together enough space we comfortable . concierge helpful give direction rest front desk staff nice well . amazing trip NYC . first time friend already plan trip back end year . go back sure stay Shelburne Murray Hill Hotel ! ! ! Awesome Experience ! ! ! 
 Mar 25 2009 	 ahh Shelburne 	 stay two bed deluxe suite # 1005 backside building happy . view bathroom window Chrysler building always remind literally sit . staff quick solution concern bed comfy challenge get bed . room spacious thirty foot length kitchen pantry fridge ice maker convection / microwave oven . surround area residential lay back area Manhattan still cosmopolitan charming . loved bed throw power nap . wish price stay know special rate get temporary , finally cab ride airport reasonable since hotel close tunnel , from / to LGA $ 25.00 . cab plentiful even leave 4:30 Monday . P.S . see Musical & quot ; Hair & quot ; Broadway . 's blast ! cheer 
 Mar 23 2009 	 content Aussie traveller 	 convenient location Shelburne many NY famous landmark fabulous . able walk many place include Grand Central Station , Empire State Maceys - time feel safe . hotel exceptionally clean comfortable . together friendliness staff make stay great city ver special . stay result friend 's recommendation definitely tell tourist Oz same . Allan Robyn 
 Mar 22 2009 	 nice ? 	 stay 5 night NYC sight seeing disappointed . great Travelzoo rate upgrade Jr. Suite 1 Bedroom suite king bed . room large , bathroom average shower adequate , quiet lot window 2 flat screen Tv 's . location block Grand Central Station convenient ( unless be adverse walk little bit ) . take express bus JFK drop Grand Central pick we hotel way back $ 24 RT . find walk good way really see city also use subway lot go distance . 's really convenient grocery store ( D'Agostinos ) wine store block away nice pantry come handy store fruit & amp ; juice quick snack morning wine / beer late evening day . one dinner & quot ; Rare & quot ; food well prepare , service efficient price one would expect locale . breakfast price bite high eat Deli street really nice restaurant bridge near Grand Central Station . & quot ; Duke 's & quot ; around corner also good inexpensive dinner . & quot ; Veselka 's ' recommend authentic ukrainian meal not disappoint -- -- -- -in East Village lot local color , specialite blintze , goulash , beef strogonoff , etc . housekeeping front desk staff pleasant efficient would stay hearbeat . 
 Mar 17 2009 	 comfortable good value 	 adult daughter stay 4 night 1 - bedroom suite 4th floor , almost directly across elevator . grateful allow check 6 a.m. flight , not ask well location . turn , soundproof good hear hallway noise . street noise not bad face 37th . earplug sleep problem . take bedroom king bed take living room queen sofabe , say comfortable . I not know ever go back share bathroom vacation -- bliss take turn get ready go . unexpected bonus Shelburne 's proximity Bellevue hospital 28th 1st Avenue , end rush Times Square subway , tripping , & quot ; face plant & quot ; sidewalk . alone , several nice New Yorkers help , cop call ambulance , get ride ER . actually well equip staff ; much bellevue horror story . lucky -- hairline ankle fracture hideous facial abrasion . CAREFUL WATCH foot , bright light ! 
 Mar 15 2009 	 good Affinia Hotels 	 Location - bad , still 5 block near Subway stationlobby - quite small blandcheck - one - bedroom suite reserve , , put Deluxe Studio . refuse refund difference two say internet rate already low normally charge . wait though - efficientelevator - two , small , never wait long minute . room - 12th floor , room reasonable size , bed comfortable . heating / AC malfunctioning , enough cause issue . sink bathroom drain , leave msg housekeeping - fix next day . towel - bland . tv - remote battery go dead little little . so , summary - would come back Shelburne . Affinia 's Dumont property much well choice . 
 Mar 9 2009 	 can not wait return ! 	 stay Shelburne due fantastic Travelzoo rate hotel 's quiet convenient location . stay one bedroom suite truly feel like apartment . wet bar area fridge microwave drawer , living area comfy sleeper sofa , flat screen tv step balcony . bedroom king bed flat screen 1 bathroom big soak tub shower combo . renovation amazing . fixture modern stylish lighting good . lot lighting dimmer switch useful especially bathroom area want relax bath . one thing notice especially sound proof . think first hotel recent memory hear noise adjoining room . we satisfy would definitely return price right . 
 Mar 1 2009 	 Good Location 	 enjoy stay . booked deluxe 1 bedroom , feel like apartment . nice view Crysler building bedroom . room service good , although think burger average considering come form burger restaurant . maintenance issue major problem . think kitchen bit waste space , bath tub would nice . fitness centre close refurb . Murry Hill great location nice quiet near attaration . can not understand anyone would want stay craziness Times Square . close proximity Grand Central make easy take express bus airport . definately stay September . 
 Feb 28 2009 	 hotel 	 stay Shelburne time NYC . nice see renovation . love location service could well . one occasion , airline lose luggage folk Shelburne helped find . love hotel always stay . 
 Feb 27 2009 	 good value accommodation NYC - . 	 wife & amp ; head NYC celebrate 1 - year anniversary . since get back delay honeymoon last month , decide not want break bank . shelburne fit bill perfectly - . recent renovation make smallish room warm & amp ; friendly - new bed linen , bathroom fixture , flat panel , etc . rare , burger joint 1st floor , excellent place grab beer & amp ; delish burger . staff meet - doorman , restaurant staff , check - in desk , clean staff - nice & amp ; helpful . issue would plan workout - the gym currently renovate , go sister property block . , great stay - back . 
 Feb 23 2009 	 outstanding option family -- value 	 grant , obtain recession / low - season room - rate special promotion , many , many year find remarkable value NYC . one - bedroom suite would comfortable family 6 ( 5 ) , depend size / age kid . two bathroom godsend . cool , comfortable furnishing . location thick thing frankly , quiet neighborhood make nice change frenzy elsewhere city . we visit turn busy ( President 's Day ) weekend , forgave desire item Affinia & quot ; pillow menu & quot ; advertised & quot ; cupcake & quot ; deliver room service available either case . disappointing kid , staff friendly apologetic , testimony well like hotel general absense & quot ; iPod pillow & quot ; cupcake could sour overall assessment . 
 Feb 21 2009 	 Super Clean 	 daughter return 5 night New York stay Shelburne Murray Hill . stay many hotel one among top cleanliness , freshness , comfort , service , overall attitude staff . king size bed extremely comfortable room quiet . window could see Empire State Building could easily walk Grand Central , Times Square , United Nations , Chrysler Building even way Magnolia 's Bakery enjoy night . would definetly return Shelburne Murray Hill . 
 Feb 20 2009 	 Great Hotel Great Location 	 get back girl long weekend NYC . hotel great . room huge NYC standard . suite ( 2 Queens pullout sofa ) 2 bathroom ! perfect share two other . staff wonderful , attach resturant / bar fun . location great . quiet neighborhood short 4 - 5 block subway / grand central . would highly recomme hotel . 
 Feb 20 2009 	 overall happy 	 stay overnight president weekend . also get great rate though travelzoo , $ 149 2 bed room . room large ny standard . nicely removate . nice kitchen area bathroom . bed comfortable linen great . location great .... block Grand Central . neighborhood quiet . Staff seem quite friendly . do not eat restaurant . renovate room , complaint : one window lovely light blocking drape , one anything light filering shade . also , bathroom , repeat curtain / shade , etc cover window . end rig towel cover ( late could not see move room young child ) . would definelty stay though . nice hotel , great price . 
 Feb 17 2009 	 huge room ... recently renovate 	 stay one bedroom suite two night ( Feb. 14th 16th ) . room actually two room ... living room pull couch two queen bed room . room bathroom . room clean , neat lot room spread . nice ! quiet hotel couple block Grand Central Terminal . definitely stay . complaint front desk people knowledgeable nearby restaurant . although not need , currently renovate second floor move health club location basement . not hear noise renovation . 
 Feb 17 2009 	 Terrific Stay 	 5 block walk Grand Central , hotel staff welcome . Cleanliness , comfort , amenity room top notch . though exercise room temporarily close , hotel renovation affect we . decent restaurant within 1 - 2 block ; fashion district near . 
 Feb 17 2009 	 Perfect experience 	 book promotional deal Travelzoo , affordable . one - bedroom suite three night February . suite spacious , especially NYC standard . bedroom living room format work well we , five people . plenty closet space , two tv two fridge , meant never feel top one another . room bathroom spotless attractively decorate . linen lovely bed comfortable . our room view air shaft , not care , daytime much . the staff genuinely friendly helpful -- trace attitude . get deal , definitely return . total delight ! 
 Feb 15 2009 	 wonderful Valentine 's Day ! 	 Tripadvisor Bible come plan trip , especially come choose hotel . completely trust fellow reviewer , thank guy ! recently book Shelburne Murray Hill Hotel Valentine 's Day getaway , disappointed . room super clean , bed comfortable Shelburne turn everything expect . book Deluxe Suite w / two bed , room nice size , Murray Hill area quiet New York . get great rate $ 149 , book month via Travel Zoo , another website recommend find good deal around country , always provide unbeatable rate moment available , book ASAP . book special TravelZoo rate directly hotel avoid book fee associate travel site like Orbitz Expedia , though Travelzoo also notify site good deal . my boyfriend great night , also find staff helpful , despite previous review . ' ve find sometimes customer attitude kindness directly effect type service receive . though not order , say room service dining menu quite reasonable price , compare in - room dining menu , time would order room - service . bed soo comfortable , miss $ 12 buffet breakfast end 11 am , hopefully next time take advantage well . thank Tripavisor , get exactly expect . 
 Feb 14 2009 	 wonderful 	 pleased stay here . the lobby showplace , room make . stay deluxe one bedroom , disappoint . the furnishing lovely , bed linen super comfortable . 
 Feb 11 2009 	 Nice Hotel sign mouse ! ! 	 first time NYC six night trip wife . Booked Expedia standard bedroom , queen size bed . the hotel excellent location , short 5 minute walk Grand Central Station 's subway . ( NYC oyster purchase 7 day ticket $ 25 ) room modern clean well keep stay . room front , noise customer limit disruption street outside . reception staff fine would not get excited service , concierge helpful internet access pricey not bother . view roof great , doorman open door manage . however quite helpful advice . the restaurant ground floor busy noisy , not eat , not bother we might annoy folk stay room it . around hotel diner breakfast ( cheap expensive ) quite number restaurant ( try Dukes bar 3rd Avenue minute walk away , great food drink ) fly Newark get bus around three block away hotel , simple . all happy hotel , price book location . would happily stay would recommend friend . oh ... evidence mouse . 
 Feb 11 2009 	 Wonderful Hotel 	 really say enough complimentary thing hotel staff . third sight seeing trip New York last three year . always look something special internet mix luck find special place . sometimes expectation internet description picture meet hope / expectation . that DEFINITELY case Shelburne . book deluxe one bedroom suite could expect much . staff friendly helpful every way . get incredible deal book $ 189 / night . we could look window see Empire State Building light . different colour scheme lighting . red first two night yellow purple ( favourite ) .Do favour go rooftop really good site picture Empire State Building Chrysler BuildingLocation great , walk approx . five block Lexington Lexington Avenue side entrance Grand Central Station . Chrysler Building directly across street . Grand central market along entrance sell fresh produce . also rush lunch check food court ground floor Grand Central . make sure walk west 37th one day Park Ave . turn ( right ) Grand Central get spectacular view main entrance Grand Central . do favour get 7 day subway pass $ 21 . entitle unlimited use subway bus 7 day . good way get around Manhattan . the Shelburne hotel choice New York . 
 Feb 9 2009 	 great room fantastic value travelzoo.com great location 	 fantastic place say incredible room . suite bedrrom , living room two bathroom . really huge Manhattan 's standard everything perfect . ' m particular not one complaint . would highly recommend hotel stay NYC hotel count . 
 Feb 4 2009 	 Excellent stay Shelburne Murray Hill 	 21 - year - old daughter thoroughly enjoy stay Shelburne Murray Hill . pay $ 169 travelzoo.com 1 - bedroom suite w/ 2 bath . room # 1001 , one newly renovate suite . front desk clerk state room go available much long , ' convert 2 room . bad , think suite configuration wonderful . our suite wonderful contemporary decor , clean , many convenience amenity : multi - level light , light ( dimmer ) control switch wall , Aveda toiletry , lot nice towel , plentiful hanger two closet , mini - fridge room , luxe knit throw , excellent bed great linen , flat - screen tv living bedroom . bedroom bath large vanity shower & amp ; bathroom ( living room ) small compact vanity tub / shower . bathroom light excellent . one complaint would inconvenient bedroom shower glass half - wall ( door shower ) require multiple towel / washcloth place threshold block flooding bathroom floor . we see absolutely sign mouse ( mention recent review ) . service bellman , doorman , housekeep good . room locate back building view , could hear street noise ' much important . hotel charge much internet access , without e - mail stay . use one public computer check depart flite , cost $ 6.95 15 minute use . this hotel great value good location . would hesitate recommend Shelburne Murray Hill would stay . 
 Jan 30 2009 	 Nice recently refurbish hotel 	 wife stay Shelburne five night whilst visit New York . hotel perfect location , 15 minute walk major attraction , nice residential area away bad hustle bustle . we stay one refurbish room ( one bedroom suite ) 11th floor find room excellent . suite separate lounge , bedroom 2 bathroom ( sofa become sofa bed therefore suite accommodate four people want ) . furnish high standard large city standard . bed superke extremely comfortable , offer usual Affinia pillow ' menu ' . complimentary toiletry high standard housekeeping meticulous - housekeeper friendly professional . service hotel mix . receptionist little complacent , helpful . housekeeping great note . rarely use conceirge can not really comment they . although know hardly important part experience say doorman absolutely hopeless - coming going think open door twice . time chat friend mobile talk local cab driver therefore totally oblivious guest . fair number occasion actually let door go face , distract something often non - work relate . rare burger restaurant ground floor great - wonderful , albeit expensive , food , excellent service ambience . do not even think use internet hotel - $ 6.50 15 minute ! seek local internet cafe . loose doorman offer guest complimentary internet access ! overall though great stay would definately return . decide book however must check Expedia price . book Expedia save £ 300 ( $ 430 ) overall stay , despite Affinia website claim cheap rate . always prefer book directly e - mail hotel general manager , often post reply , ask would match price - not not reply - loss . 
 Jan 24 2009 	 bad experience ever 	 follow stay , send three email manager still wait response . think content email sum experience quite well , paste : receive contact information front desk upon checkout , want follow - up regard recent stay hotel . begin , want know come truly admire Affinia brand , often recommend hotel DC , NYC , Chicago friend , family , client . come New York several time year , usually stay sister hotel , Affinia Dumont . however , recent stay Shelburne Murray Hill leave much desire , would appal anyone refer would similar experience . begin , give room ( Room 210 ) one floor remodle , completely understand may inconvenience ( within reason ) ongoing upgrade ; however , room shape occupy . first , room show many sign yet complete : expose insultation , cardboard sign tape door cover peephole , shower curtain lining , alarm clock , lightbulb blow . not even Guest Services book ! secondly , upon settle , find toilet would flush , call Guest Services plumber come remedy problem . point , actually call twice since , 45 minute , one come room . issue , encounter individual basis , easily overlook , especially hotel undergo renovation . big concern though come second night see two mouse retire . immediately notify Guest Services , suggestion offered send someone put glue trap . course , also offer come remove glue trap mouse catch . representative come room , request move another room , great amount hesitation . almost seem though representative value concern , think might exaggerate ( even though 2:00 ! ) . representative bring new key , move belonging new room , Room 1022 . new room beautiful obviously example & quot ; finished & quot ; room - thing come expect Affinia brand . follow morning , hectic , late night , call Front Desk request late checkout , respond would possible . state reason could accommodate maximum number guest request late check already meet . understand everyone accommodate time , especially guest check , shocked response . never stay hotel late check - out grant & quot ; first come , first serve basis & quot ; establish quota guest may unaware . Exhausted , check voice concern Front Desk , state nothing could improve experience since room pre - pay ( Expedia ) . gentleman desk , upon request , give information suggest reach regard stay concern . , issue individual basis would warrant response . combined course short weekend trip , make unpleasant uncomfortable stay . type memory want bring mind select recommend accommodation future . thank time . hope feedback serve improve stay future customer . 
 Jan 20 2009 	 Fabulous Weekend 	 although review read Shelburne positive , negative bit skeptical . need worry . place close perfect could hope . check breeze . staff friendly helpful ... five star book . room spotlessly clean ready we arrive . service unbelievably fast . call housekeep extra towel deliver we ten minute pleasant young man . order room service , food arrive within 15 minute , much fast find New York hotel .... delicious . terrific little kitchenette room . especially like fact counter refrigerator equip large ice maker , ton ice late night drink without run hall ice machine . one criticism , minor one . bathroom nice , small . counter put makeup , get ready go little inconvenient . way , see mouse ... mouse trap . apparently mouse problem cause recent renovation take care . next time be New York weekend , Shelburne definitely hotel . 
 Jan 13 2009 	 location perfect us 	 hotel little gem nestle convenient neighborhood . book order attend 3 - day event Madison Square Garden , walk MSG , well restaurant , shopping sightseeing stop , night . location near Grand Central make train commute breeze . the front desk helpful friendly , though never manage get doorman 's attention coming going throw open heavy outer door bag hand time . cozy tv lounge lobby complimentary daily New York Times . our room 4th floor pretty , nicely decorate extremely quiet . look newly renovate . the heat strong , fine we -- cold NYC weekend . lack coffee maker , end request second night -- forgot put room . room service menu , would helpful -- assume offer find last day menu simply omit room packet . would advise request high floor remodel complete little furry , four - foot visitor Friday night . thought disappear Saturday , stay room despite immediate offer switch room lie trap . mistaken -- reappear Sunday night , daughter could not sleep knowing & quot ; company & quot ; 9 p.m. load baggage relocate 12th floor , complimentary breakfast next day inconvenience . wonderful , interesting variation room -- 12th floor room miniscule bathroom please layout , albeit kitchen not time use . in , like hotel , location responsiveness staff . 
 Jan 13 2009 	 Nice room 	 arrive hotel greet door man . reception staff curtious efficent . room 13th floor nice view Chrysler building . room large spacious well present . kitchen bed sooo comfortable . NYC New Year fantastic stay . check one good ever . return next time NYC . 
 Jan 10 2009 	 Magic @ Murray Hill 	 book short stay read hotel price special via travelzoo.com . arrival smooth map , direction hotel web site , low - traffic @ arrival time , around 3pm . parking ( valet ) cost $ 32 - 42 / day , in / ou , would read hotel website . OUCH ! , hey , be nyc.the front desk staff friendly welcoming , check - in take less five minute . room 7th floor lovely , lot attention pay decor cleanliness . lighting option unique plentiful : artful swirly blue glass lamp , circular lighted mirror ( small large ) bath , individual reading light - - modern cool ! top - notch cleanliness comfort , particularly mattress , pillow , bedding . loved homey - touch afgan spread across foot bed corner . sleeper sofa make , per request booking , one call front desk take care right away . we would read hotel review TripAdvisor top floor offer great rooftop view - - right ! clear view Empire State Building Crysler Building , well beautiful nighttime NYC skyline 16th floor . sign indicate rooftop use 16th floor guest though put we momentarily . maybe not suppose go up / out , , ' m glad . , nice view . the hotel locate within easy walk distance Empire State Building , Grand Central Station , St. Barts , . bit 30 Rock , completely do - able . ' ve pay far far less NYC hotel ! 
 Dec 31 2008 	 great room 	 book one bedroom deluxe Expedia room exceed expectation . two full bath two separate room , one pull sofa one large bedroom . perfect we two teen . provide roll - away extra cost also . quiet neighborhood near 24 hour deli really great bagel shop . restaurant Rare excellent , one good meal city . great trip New York would stay Shelburne sure . negative room warm open window fine . towel would expect price toiletry lack two bath . room size friendly employee location make minor issue minor . get great picture roof excellent view Empire State Building . take elevator 16th floor go door great view . 
 Dec 31 2008 	 Mouse room ! 	 problem start first arrive . temperature room warm , engineer arrive tell way control temperature except open window . control heat cooling . hair previous occupant tub floor arrive bathroom properly clean three night stay . bath linen toiletry supply day take two request need item , deliver 11:00 pm.the final blow mouse scurry hall door packing leave . person reception desk show surprise report . perhaps common occurrence . this hotel huge disappointment . stay away . 
 Dec 29 2008 	 well expect 	 book hotel Expedia . note Expedia call " Studio Suite " fact good size hotel room pantry - kitchenette / living room / dining room area , iron / ironing board , hairdryer , safe small entrance closet . upon arrival , get see room , go reception mention exactly thought pay expect get . explain room include expansive ( probably Expedia call Studio Deluxe ) . however , give we upgrade charge greatly appreciate . note room still include separate living / dining area , everything else present , large entrance closet ( twice size ) . also , china / utensil provide , separate area sink , mini fridge ice maker , microwave , coffee maker pantry space . assume real suite another notch high work fine . would add chapter also locate inside corner hotel could barely hear sound outside . the Shelburne Murray Hill greatly locate charming little hotel ( NYC ) . room big size ( even simple one ) , obvious hotel go major makeover recently : everything clean spotless , fresh paint , great decoration , new furniture , new carpeting / curtain , new faucet / toilet , new granite countertop / bed sheet / appliance , etc . bed bed sheet extremely comfortable . flaw notice caulk around bathtub need freshen . bonus people like fresh air , ( new ) window open . the front desk staff / concierge / doormen / bell boy extremely polite helpful , good room service housekeeping . my negative comment would door slam lot buffer / silent door closing mechanism instal . hopefully , neighbour nocturnal ! also , wall / ceiling well soundproof . , would definitely go back hotel , request type room little comfort well location . planning room lot , ' bother ! : ) 
 Dec 27 2008 	 could not well 	 never stay Shelburne Murray Hill , look forward stay relatively quiet Murray Hill section . strange allergy develop laundry product cause contact hotel coordinate bring sheet towel . speak Marybel Sigler , assistant manager , helpful could ever expect . great staff ! greet hotel employee friendly attitude , show room comfortable exceed expectation , generally find stay near - perfect . we will back ! 
 Dec 22 2008 	 will never stay anywhere else 	 fall love see exactly want Shelburne . one would hard press find well value one ' money NYC . location heart , part appeal ( ) , however five short New York block separate Grand Central stay Shelburne . suite simply massive , even Suite standard . heck , even Kansas City suite standard ( say nothing New York . ) stay akin little apartment Manhattan . honestly homey well appoint . Rare Bar Grill ground level also nice cozy spot drink jazzed pub grub . complaint would inability hotel affix suite hallway door something ' make slam loudly . 
 Dec 15 2008 	 never 	 second time Shelburne . room 2nd floor sub roof . garbage pail , clock , radio , etc . Bathtub need reglazing . first time beautiful room 259 $ . time pit $ 399 . stay . really get rip price . 
 Dec 14 2008 	 Good Value NYC 	 Shelburne Murray Hill part Affinia hotel group - small chain operate NYC , Chicago DC . like sister hotel shelburne great value . would probably classify somewhat boutique , business hotel . the lobby area spacious check - in efficient . mention elevator small never felt cramp . hand although room seem large size NYC , layout furniture give room crowded feel . bed comfortable choice 5 different type pillow . chair desk room - use edge bed , make room - service dining little uncomfortable . also tiny kitchenette small Viking microwave refrigerator . bathroom also relatively spacious functional , although window cover . I reluctantly order room service one evening although one culinary haven world pour outside . room service hotel restaurant - upscale hamburger pub . pleasantly surprised classic burger sweet potato fry . pub also serve breakfast room serve average buffet $ 12.overall satisfy stay . clean , functional efficient . Perfect NYC want spend time ( money ) city ! 
 Dec 12 2008 	 Great Travel Tips 	 Husband take trip New York every couple year . try stay different Hotels time visit , year really hard find Hotel really like . really feel overwhelmed amount choice . Husband tell research internet find great site help planning stay New York City . [ - ] make easy trip planner portion website . really like sound Shelburne Murray Hill Hotel location close enough Shopping Theatre , far enough noise sound traffic . nice Hotel , clean modern ; want ! also book ticket New York Guest ; see Phantom Opera . nice great seat . even help transportation JFK Airport . good thing trip stess plan non - existant . really suggest use website look great New York City experience ! Hotel Conciege great well , suggest great little italian Restaurant call La Masseria dinner Show . entire stay perfect . 
 Dec 12 2008 	 Perfect location 	 totally satisfied hotel , perfect location renovate room nice view ! nice hotel stay ! 
 Dec 10 2008 	 Location 	 far , good hotel ' ve ever ataye in.1 - Location : 5min walk Grand Central Station ( bus train connection NYC airport ) Chrysler Building ; 10min walk Bryant Park Rockefeller Center ; 15min walk Times Square.2- Confort : huge , cosy freshly remodel room . incredibly confortable bed pillow , 1 - 2 bathroom , fresh linen every day good price 2 double bed optional extra sofa bed ( great deal small group ) .3- Extras : helpful staff , wireless internet room , really nice burguer restaurant . it be great value money , trust . 
 Dec 10 2008 	 good hotel ever 	 boyfriend stay Shelburn Sep 2008 , spend one week Hawaii . book hotel back March 2008 , arrive pleasantly surprised find hotel fully renovate ! turn Affinia hotel chain take hotel . we get room newly renovate wonderfull ! bed great want take home Sweden , I´ve never sleep good whole life ! ! staff shelburne kind helpfull , especially Jose bellhop wonderfull doormen ready give great tip city ! location hotel perfect , take minute get Times Square , 5th Avenus , Broadway .... even walk way downtown . take hour fifteen minute walk World Trade Center Area . , perfect stay Shelburne .. I m sad raise price since stay , otherwise would shurely book hotel ! 
 Dec 4 2008 	 really like thsi Hotel 	 Husband stay first day honeymoon . NYC , know little bit location , disapointe Hotel . really close Empire State Building , Chrysler Building , short walk Times Square . plus really close grand central terminal , really handy jumping subway . room small , well appoint , lovely meal restaurant there . one main reason book roof terrace , seem closed time , could still go look , view fantastic . we love New York , hope go back next year , would certainly stay hotel hotel . 
 Dec 3 2008 	 Wish 4.5 0.5 take away minor issue . 	 return yesterday follow 5 night stay NYC - groan , wish still ! overall , really pleased choice hotel value money deal get . location hotel great , Murray Hill / Midtown area , walk distance Times Square / 5th Ave shop / Rockerfeller Center etc etc decent Diner 's breakfast numerous restaurant nearby 3rd Avenue . whilst close thing , 's immediate surrounding nice quiet / residential . hotel still undergo renovation work interfere stay . room pleasant , somewhat small use Affinia hotel New York really ' suite ' advertise - separate living area kitchenette facility like Dumont Affinia 50 nearby , however problem good Deli Lex /34th chicken place 3rd ave make good food take away would eat back room tire day need relax slouch room ! bed comfy decor modern without minimalist . bathroom good size nice decor . housekeep excellent room back good new day return . 2 minor issue , ask reception pillow Thursday stay sign anything still Saturday morning leave note housekeep extra pillow return room . also , Affinia hotel doorman , get door you/ welcoming wish well whenever enter / leave hotel tipping hat , Shelburne . whilst pleasant enough , think get door we either phone next door corner street eat back room ! 2 minor observation take away half star otherwise perfect stay ! would recommend . 
 Dec 1 2008 	 beyond expectation 	 stay Shelburne Murray Hill Thanksgiving holiday . bit nervous reading review however , experience problem encounter reviewer . hotel staff excellent . try check early room ready ( fine ... hour shy 3 pm check time ) . still , front desk offer upgrade we suite kitchenette . room wonderful . clean quite large hotel room Manhattan . room also quite . concierge service excellent . Elliot hook we fantastic upscale mexican restaurant dinner ( exactly craving ) . overall , fanstatic trip plan stay Shelburne Murray Hill time Manhattan . 
 Nov 1 2008 	 really great 	 read review afraid ! thing remember delay review post ( order verify ) go write find two recent new review would allay fear . first visit New York great start see lovely room sixth floor . beautiful new decor , comfortable bed , good bathroom kitchen facility useful . location spot visit many mid town attraction . service excellent dicrete never see clean result . nice toiletry ( aveda ) , flat screen tv , cd player / alarm clock , iron / ironing board safe room . the door staff reception approachable willing help local info . hope return soon . P.S . lobby almost finish leave work top renovation rebranding hotel must draw close . 
 Nov 1 2008 	 expect - good anyway 	 surprisingly quiet fantastic bed hotel become week NYC . renovation still on - go not disturb we . room clean spacious . expect & quot ; suite & quot ; description web photo make think extra sofa , perhaps table etc . room simply standard single hotel room , fine . staff friendly efficient . so , worth price ? probably , Manhattan hotel really ? charge extra interet insulting . rate level , can not include ? 
 Oct 30 2008 	 Best Hotel NYC 	 ' ve stay lot NY hotels- 1 - 4 star hotel , , far , good bunch . hotel error , book 2 bedroom suite ( book 1 bedroom suite ) . room gorgeous ! ! ! corner room , 2 balcony ( access living room dining area ) great view Empire State Building . renovation go hotel , effect . would gladly stay would recommend family friend . also like block Grand Central Station . 
