pricy 	 forget many time ' hotel . location convenient we . this peaceful hotel ; ' big busy , however well locate restaurant , bar , disco , shop etc . like Sheraton Hotel room refurbish , clean cozy . overall service staff decent , great , due language barrier ' fully bilingual . staff member would require refresher course customer relationship . overnight interior self - serve parking $ 20.00 , park nearby exterior parking lot less $ 10.00 . food quality price venture local restaurant vicinity , choice variety remarkable . M & amp ; L , Ottawa 
 May 19 2009 	 great location great price Ask renovate room . 	 stay Centre Sheraton Downtown Montreal May 16 18th long weekend getaway . book Priceline.com give great price $ 56 usd night plus fee ( average $ 96USD night ) . check early give room 807 - hardly sleep night due wind storm think room locate wind tunnel noisy AC fan stop working - room outdate mold bathroom . call front desk 4 a.m. answer call back around 5 a.m. speak Vicky tell we not worry change room later morning around 10ish since ppl check . even offer we two free breakfast hotel honour . get new renovated room 23rd floor .. & quot ; assume floor 20 renovate much update room . A+ service . we eat Bar food service great . eat breakfast lounge breakfast average . probably worth regular $ 20 free . location great , walk distance St - Catherine Street , Crescent Street . much complain since price cheap downtown Montreal . another Hotel consider Intercontinental Montreal adore . 
 may 19 2009 	 overprice rate 	 stay hotel describe disturb current economy . I find hotel , quite appealing eye , overprice rate . price pay $ 209.00 per night Federal Government Canada employee & quot ; discount & quot ; rate . room give , suppose , Executive King & quot ; Club & quot ; floor . compare note colleague also stay hotel , find pay $ 152.00 $ 169.00 per night . guess high floor , pay . the room small say least service slow . for example , upon checking room , look & quot ; Guest Services & quot ; book standard hotel ' ve stay . thing available room . contact front desk 3 time effort obtain copy . 3 hour , finally receive one . hmmmmmmmmmm ! ! ! service ? decide would order room service first night tired traveling feel like go . consult & quot ; Guest Services & quot ; guide room service menu . price would scare . example : $ 18.75 cheeseburger $ 17.75 plain hamburger among cheap item menu . order simple order french fry slice cheesecake cost $ 27.00 . next , come find offer 2 type hi - speed internet service . wire service wi - fi . cost $ 14.75 per day plus taxis . someone please tell anyone use internet service full 24 hour ? ? , people spend couple hour time on - line traveling . also find could receive free wi - fi service lobby hotel . Hmmmmmmm ! ! ! ! traveler pay high price hotel room also pay high price internet service , , anybody walk street receive free service lobby ? ? something wrong picture . it seem like hotel , probably ever Sheraton Hotel , offer nothing guest try gouge wherever whenever possible . I one weary traveler would never include Sheraton Hotels ( Starwood ) travel plan . 
 may 12 2009 	 good choice/ Clean Comfortable spacious 	 Montreal business day well meet friend . sheraton good location need . starwood member upgrade recently renovate room clean spacious . great starwood bed bathroom provide good space ( 5 - star hotel miniscule bathroom space ) . good price/ decent service - though waitstaff always seem bored beyond belief . over would recommend location around pleasant stay . 
 May 12 2009 	 great location good food reaonably price 	 arrive hotel around 9.30pm ( unsurprisingly ) queue front desk . decide take taxi airport public transport link airport ' seem good . fare $ 38 airport downtown , ' think unreasonable – journey fast without issue want long flight ! hotel ideally locate , 5 minute walk tourist information center main shopping street walk near metro ( Peel Bonaventure ) .I check without issue staff pleasant . room 36th ( Club ) floor . room nice – nice large bed sofa , reasonable sized bathroom ( shower bath ) large flat screen tv . make use internet whilst stay hotel reasonably price – around $ 15 day ( much cheap normally pay stay similar hotel ) .as stay club room , breakfast include price room . breakfast serve club lounge 37th floor . good selection cereal , pastry fruit – perfectly adequate get start morning . view lounge fantastic lounge one luxurious ' see . I decide use room service night stay hotel . food good service efficient . I also use fitness center whilst . honest equipment look little tired side room generally , say , basic guess ' want use . ' also pool whirlpool although ' use these . so overall , pleased stay Sheraton Montreal would happily recommend indeed stay Montreal . ' also highly recommend Gray Line Tour Quebec City – great day chance see little beautiful Quebec . 
 May 6 2009 	 Major Complaints 	 large group ( around 30 ) , staff quite seem take kindly we . would say & quot ; hello & quot ; bellman typically would kind look . concierge like , however , quite friendly . wait staff Bistro Le Boulevard mix ; courteous other seem worked/ unhappy . place old style room , tell . not anything special . bathroom clean plain , rest room . old , small CRT TV . good part room would beds - superb . hotel 's indoor & quot ; health club & quot ; area nice . decor pool area surprising - never see indoor pool decorate quite like way decorate . attendant sit front & quot ; health club & quot ; kind helpful . complaint area would tiny space sport equipment . two treadmill , always take . people use weight training equipment seem squeeze space . great stay overall would recommend anyone look decent place stay Montréal . 
 May 3 2009 	 Super friendly staff -- make location ! 	 Sheraton Le Centre not bad location , be quiet , desolate one . give arrive Good Friday leave Easter Sunday , business/ downtown district , well , dead . hotel walk distance Vieux - Montreal , well Chinatown , shop district old port , not inconvenient . ( walk 10 - 15 minute hotel Notre Dame Basilica one morning -- bad walk ! ) hotel room clean , quiet roomy , able upgrade king - size bed without problem ( be starwood member ) . parking 's bit pricey -- $ 20 / day taxis fee , though conveniently underground . could park building away outdoor lot $ 18 , look tad shady . the staff -- everyone work -- super friendly . problem wi - fi lobby , although mischarge , remove internet fee try help connect web much could . request question handle friendliness professionalism . although location idyllic tourist Montreal , not difficult take car lot ( pay -- end stay ) drive around town . ( be frustrating find park New York City average day ! ) drive Mont Royal , Chinatown ( cold weekend ) part town fun much hassle . price reasonable , hotel friendly clean , location bad . 
 Apr 26 2009 	 HORRIBLE hotel 	 room small , paper thin wall horrible service . the room service lady rude , steal US $ 120 I . I stay 4 night , room never properly clean . 
 Apr 23 2009 	 Great Spring Stay ! 	 travel montreal 10 people . great weekend . one newly remodelle room great . modern bath w/ dual flush toilet . flat screen 46 & quot ; tv great view downtown . one friend one old room ok outdated . everyone nice helpful . decent pool , small gym enough get workout . nice sauna . expensive eat drink . go food . Anytime Montreal go back Sheraton . 
 Apr 22 2009 	 Great Location 	 get one old room think 's get room less . nevertheless , be great location . UFC 97 hotel right across Bell Centre La Queue de Cheval Bar Steak House . be close two subway station ( Peel Bonaventura ) Gare central ( train station ) . one block St. Catherine , 5 minute Crescent Street , 20 minute Chinatown , 30 - 35 minute Old Montreal walk . take subway well know see walk even get lose : ) . Google map help . 
 Apr 20 2009 	 affordable luxury heart city 	 stay romantic getaway weekend city birthday . got terrific deal ' name price , ' otherwise would not able afford 4 - star hotel budget . Room recently renovate , clean bath positively glitzy . bed exquisitely comfortable . offer top - notch indoor swimming pool workout facility . not sample in - house restaurant , matter -- St. Catherine Crescent street two three block away , culinary choice anyone need . be come back soon ! 
 Apr 10 2009 	 nice SPG hotel esp . Priceline discount 	 Booked Priceline amazing $ 69 night ( fee / tax include ) . location excellent , downtown Montreal close two subway line Bell Center . bar usually empty , bit pricey within expectation type hotel . seem plentiful parking hotel use ; drive least two parking lot , presumably less expensive , right next hotel . finally , internet access expensive room ( $ 15 + ) login free lobby laptop . the room normal business type ( typical Sheraton ) , find nice touch ... plenty plug device electronic , even power usb port charge small electronic device . 's in - room safe minibar ( noticed hotel take ) , bathroom large decent toiletry . find bed excellent , overall hotel clean well run . service hair bite lack ( much staff 4 - star hotel ) could hardly complain . one caveat : convenience store nearby , 's hotel 's fault . overall , great stay course good price . 
 Apr 7 2009 	 Nice Hotel . convenient downtown location . Next Bell Centre 	 stay hotel one night business . walk distance meeting downtown Montreal . short cab ride airport ( $ 38 way ) . nice large bar lobby . get free internet access bar area . eat breakfast lunch bar . bar small good menu . friendly staff check - in bar . nice workout facility 6th floor . use pool , look like nice pool large hot tub . check concierge lounge 37th floor , large nice ( nice view ) . look nice breakfast lounge . pay extra $ 40 per night lounge access . would highly recommend hotel business pleasure want downtown . right next Bell Centre ( hockey rink ) 
 Mar 30 2009 	 Expectations 	 Montreal long weekend March 2009 . Sheraton exceed expectation room cleanliness decor . concierge helpful recommend restaurant provide metro route . though elaborate , fitness room , sauna spa adequate . ( side note , be visit Montreal , ' ve get check & quot ; blind restaurant , & quot ; . Noir ! ) 
 Mar 13 2009 	 decent outstanding 	 first glance , Sheraton Centre look impressive lobby give real taste luxury . past first impression , hotel standard way . stay , certainly gross , neither particularly impress anything . sophisticated traveller , use 4 - star standard , disappointed Sheraton 's room , 3 - starish . overall , room look plain decor pretty date , mismatch floral curtain , beige wallpaper old lamp . actually say & quot ; old everything & quot ; : old desk chair , old sink bathtub , old phone , old door , old tv . Old classy . desk chair pretty straight uncomfortable . high speed internet reasonable cost wireless connection . bed not bad . outside view enjoyable depend floor stay . however , hotel location perfect , close everything : Bell Centre , shopping mall , Crescent Street , subway station major office building . even Priceline rate 3.5 star , Marriott Chateau Champlain well pick . room small Marriott , way well appoint classy / confortable furnishing , breathtaking view , Marriott bedding ( need say ) , bathrobe . comment Hyatt Regency : fantastic location , newly renovate room ( comfy good looking ) indoor pool , less expensive . overall , see reason book Sheraton Centre full rate either stay Marriott Hyatt Regency . however , dissatisfied book Sheraton Priceline Hotwire good rate . 
 Feb 25 2009 	 absolutely beautiful 	 husband recieve weekend getaway package gift . getaway include Via rail train ticket Ottawa Motreal , two night stay Sheraton le Centre Montreal Hotel , Montreal Canadian Hockey ticket . train delightful way travel Montreal , station minute hotel . stay club floor wich include certain upgrade private lounge serve hor durve evening , great breafast morning . room large spacious tastefully decorate , everything new due fact floor add last year . upon enter lounge first night treat spectacurlar view , warm cold munchie snack . read another trip advisor account drink lounge expensive , agree ! $ 8 beer $ 5 soda , $ 10 mixed drink . stary several hour play card talk enjoy . impressed lounge breakfast . wieght watcher member pleasantly surprised variety healthy food choose . plently fresh fruit , skim milk , fat free yougurt , hard boil egg , well many good choice like toast , bagel , cereal , muffin , breadfast bread . also enjoy hot tub sauna facalities . gym facility look really nice well . front desk service excellent staff welcome friendly . also well informed local ammenitie resturant walk distance . go wonderful italian resturant would recommend heartbeat ! . Stanley street two block believe call Cafe Bistro Italian . overall fabulous stay Montreal ( plus home team ! ) 
 Feb 16 2009 	 good hotel convenient location 	 hotel great location , right center Montreal action . service staff helpful courteous- great . book hotel Priceline 90 $ CAD , think cost fair get . room clean , bed comfortable in - house Starbucks coffee nice touch . decoration definitely need upgrade , bathroom ( functional bit worn ) . view 22nd floor awesome . not & quot ; wow & quot ; hotel , would stay , though may first option . a parking garage locate step away Stanley St. much cheap option hotel parking , especially weekend ! 
 Feb 7 2009 	 great hotel location 	 stay hotel book blindly - twice ( priceline , hotwire ) . excellent stay time . room great , staff fantastic ( despite fact Canadian Medical Association convention hold pack ) . park next door parking garage , within walk distance everything . highly recommend . 
 Feb 3 2009 	 great stay ; close bar / club / restaurant 	 be look stay close anglo - downtown area [ rue crescent ] hotel perfect.i boyfriend enjoy downstair clue - like bar [ albeit , bit pricey .. hotel bar ! ] .you catch metro station right around block walk old montreal minute away.good in - door pool attentive concierge . 
 Jan 19 2009 	 wow wow wow Great Club top floor terrific location 	 gold prefer property upgrade we upper floor give we Club access . club wonderful breakfast selection nice early evenign snack . the spa pool terrific room terrific view large clean . could nnot ask ! 
 Jan 5 2009 	 great location great price 	 hotel perfectly locate heart downtown . two block walk Crescent street . stay New Years Eve concierge helpful finding event attend . bed also comfortable . one small negative point extra charge parking . 
 Jan 3 2009 	 good stay ever ! 	 ' ve stay exclusively hotel 25 time visit well . drive Grey Cup ' 08 . get great rate cuz book almost 1 year advance . first TIME give upgrade Club Floors ( SPG Gold member ... Austin Power joke please ! ) . staff remarkably friendly helpful consider lobby area fill every football fan Edmonton Alta . stay . past , ' ve fight up - grade , case . always , room large , clean quiet ( surprise , consider Grey Cup ) .club lounge wonderful breathtaking view Montreal . drink little pricey $ 18 glass wine ? snack service unbelievable . Kudos Staff Le Centre Sheraton memorable Grey Cup experience remarkable stay . continue stay return Montreal summer . well do everyone ! 
 Dec 9 2008 	 Adequate - got pay . 	 book two night Sheraton Le Centre Montreal Priceline $ 80 US night , weekend getaway begin November . montreal numerous time friend live , know downtown city quite well , actually disappointed find bid Sheraton , location Rene Levesque ' sterile ' business area , also west side , be anglophone , away lively / seedier francophone east side downtown . hotel room adequate one person standard Sheraton / Marriott type . probably due fact book one person get cheap rate Priceline , room small . queen size bed desk 2 chair . fact , tell friend use work 10 year ago , one small room floor . hotel renovate 10 year ago , decor furnish remain since . on previous visit , stay Omni block north Sherbrooke difference almost night day . grant Sherbrooke high end street Montreal , hotel rate four star . Omni four surely Sheraton high three three half . staff pleasant helpful enough . problem internet ( pay daily rate , be plug ethernet connection , Wifi ) , call company contract work Sheraton directly . spend 15 min . troubleshoot phone tech support , call hotel directly technician send within another 15 min . fix wall jack room , turn faulty . say , decor furnish room 10 year old , could definitely see . shower curtain linen see well day . , Sheraton Le Centre well worth $ 80/ night pay , expect much term amenity , location , special perk . 
 Nov 10 2008 	 * * Bad Choice Montreal Hotel * * 	 mother recently visit Montreal stay 5 night Sheraton Le Centre . bid 4 star hotel Hotwire.com convince $ 93.00 per night Omni Hotel Sherbrooke . Omni amenity list & quot ; unknown hotel & quot ; Omni one Hotwire supplier . anyway find Sheraton instead , immediately go Tripadvisor Travelocity website view past guest say hotel . comment range decent downright dreadful ! shock call Hotwire cancel reservation . rep Hotwire refuse , say stand 4 star rating would hold contract . choice stay since not want pay another hotel . I expect worst arrive , pleasantly surprised discover Sheraton Le Centre actually quite nice . room 15th floor , partial view Mont Royal Park . room huge , certainly small either . be different stay Marriott Hilton . give 2 comfortable queen size bed contemporary bed cover , lot pillow , arm chair writing desk . carpet good condition also . although bathroom somewhat date ( wallpaper little rose ) , everything work fine . read review guest complain housekeeping Sheraton bit worried . decide leave housekeeper $ 3.00 canadian dollar everyday service appreciative . even write short thank note every day . plenty towel , bed always make , carpet vacuum , tea bag leave near hot water maker plenty toiletry bathroom . although hotel lobby quite beautiful , see guest may problem . quite crowded convention game Bell Center across street . bell captain locate lobby helpful even call taxi ready leave . to summarize , guess take review write tripadvisor grain salt . quite satisfied hotwire purchase ! 
 Nov 5 2008 	 great Stay ! 	 stay property conference please everything service location room . staff friendly accommodate . location central everything . room nice - big king bed- nice duvet -I sleep well . would stay ! 
 Oct 19 2008 	 fine friendly service convenient ; 4 - star 	 perhaps expectation low result peruse predecessor site . , stay one night , good experience . , room & quot ; updated & quot ; copy hotel chain pseudo - Manhattan beige suede - ness ; yes , small pink flower bathroom wallpaper yes , large flower curtain yes , carpet little tired . room spacious clean ( spotless , clean ) , location convenient ( close highway , Metro , downtown area , half hour walk old town ) , 24 - hour underground parking $ 20+tax ( bargain downtown Montreal ) , good every staff member meet helpful -- always particularly welcome travel small child . hotel feel large pack ( fully booked ) conferencees Habs fan night -- expect much noise hear none either inside outside ( window seem well insulated ) walk Bell Centre course also easily good shop Sainte - Catherine nearby street , nightlife restaurant Crescent Montagne , many good coffee shop . ( fact Starbuck 's drip coffee maker room . ) comfy bed soft sheet . delicious breakfast Cora 's street -- fresh greasy ( big breakfast ) . hotel four star ? definitely . , like previous reviewer , book Hotwire cost $ US 120 night ( include Hotwire fee ) , plus parking . caution : tell check - in cot would cost $ 30 , willing ( grumpily ) fork , not end getting charge . 
 Oct 7 2008 	 run mill 	 good location shopping entertainment far walk old town area . room safe not work room quite spacious clean . main gripe breakfast - order range set meal may may included fresh fruit / cereal cook item . wife ask second glass juice think WWIII break restaurant staff general could well . 
 Oct 6 2008 	 good location decent experience 	 partner stay Le Centre Sheraton long weekend February 2007 . decent hotel , sense well alternative nearby . ' m sure would choose stay , least ' ve refurbish hotel . the strength hotel are:1 . great location . block everything . main shopping street two block away . sport stadium across street . tourist site Montreal also within easy walk distance , Metro station.2 . good business facility . business conference , find business center excellent . plenty computer station , printer , copy , etc . rate not unreasonable.3 . great massage . massage studio hotel . book one , good massage . massage room bit date , clean . masseuse professional give great massage . ok , thing need know book stay:1 . decor date worn . ' m guess last time renovation late 1980 maybe early 1990 . feel like be stay & quot ; time warp & quot ; .... 80 style wallpaper furniture . update bed linen , help somewhat ... can not cover date worn wall treatment , carpet furniture . and exterior building look like communist style apartment building . Grey monolithic . one ugly building downtown Montreal , sure . also , everything bit shabby give age . carpet wear spot . furniture bang . bathroom fixture dinge , etc.2 . hotel get lot sport fan give proximity stadium . many fan seem travel group . watchout game , loud drunk ... careen hallway make LOT noise . not exactly peaceful place.3 . check disaster . 3 4 check desk , would seem enough . however , large hotel , lot guest ... check line resemble check line airport . wait 30 minute check ... last thing want ' ve travel 5 hour get . check staff not apologetic poor experience , annoying.4 . People smoke eveywhere hotel . non - smoking hotel , stretch.5 . rate high . think pay $ 219 night room King . , could room intercontinental rate , intercontinental definitely nice hotel . so , , highly recommend property . , want close everything not option , Le Centre Sheraton & quot ; & quot ; . 
 Sep 27 2008 	 Nice hotel great location delicious food ! 	 hold conference hotel May 2008 . staff professional accommodating . order room service couple time disappoint . business service people fantastic last minute request copying etc . love room two double bed lot space stay 5 day . 
 Sep 22 2008 	 enjoy stay much 	 reading review , bit worried . check give 30th floor club previlege top floor ( 37th ) . get room thrilled find large , bathroom fine , big window offer fine view towards St Lawrence river . the club room offer great breakfast everyday . convenient location explore Montreal . totally enjoy stay ! ! ! 
 Sep 11 2008 	 can not beat location 	 spend 3 night Labor Day weekend 2008 . location perfect one walk everything . hotel old room bit small , otherwise clean comfortable . spend day outside room size big deal . location perfect , right downtown , walk St Catherine ( shop ) j , McGill , Square Dorchester , etc . bank , shop , restaurant around corner . hotel underground parking find affordable indoor parking right behind hotel less half cost . food expensive within hotel , every hotel din , , walk many restaurant within 5 minute . Old Montreal less 20 minute 's leisure walk away . 
 Sep 5 2008 	 bad 	 apprehensive reading review , hotel , general , pretty decent . agree could use renovation nice 4 star hotel . location perfect be attend event Bell Centre ( hockey Celine Dion concert ) be right across street . 's pretty close museum ( musee des Beaux Arts ) . prob staff . nice enough . room prefer guest floor ( 31st floor ) plus ( think ) , pic upload traveler pretty much . great view window . room clean . charge internet ( $ 16.65 / day include taxis ) . be 4 blk either 2 main subway ( green orange ) . hotel nearby Ste . Catherine walk shop , would prefer something close St. Laurent blvd good restaurant locate off / near street . also lot good restaurant old montreal / vieux - port . great restaurant try : patati patata ( yummy mini fish burger poutine ) , tamarin ( vietnamese ) , chez cora ( breakfast / brunch - crepe ) , chez l'epicier ( pricey good ) , chao phraya ( thai ) , le taj ( good indian buffet ) . eat famous schwartz 's ( smoke meat sandwich ) , wait awful . wait 1 hr 20 min get food . ridiculous . 2 line ( one dine , to - go ) . let warm take - out line take lot long ppl make large order meat ( mistake ) . must admit good , enough wait . will not give mustard side ( takeout ) even accommodate ask half sandwich . pickle salty sour . deli shop plan expand , think plenty good place eat montreal forget one ( friend plan rip schwartz future review restaurant - pissed ) . 
 Sep 3 2008 	 feel home Sheraton 	 reading review website , absolutely scared see hotel . get thrilled find nothing like say . absolutely charming , european standard room large , bathroom fine ( wall paper old , charming room ) . everything clean , sheet pillow clean together well . the lobby nice air conditioning wonderful , especially hot day . the location A+ , step Centre Bell see Celine Dion perform . Sheraton enhance experience . downfall steep internet business price menus expensive . starwood yet make unimpressed . thank make experience formidable . 
 Sep 2 2008 	 absolutely ordinary 	 book hotel , know four star hotel , could weekend getaway . bring three year old . wish stay Delta Intercontinental . place business traveler . really one , massive conference center . room totally ordinary . pool small ordinary . two thing irritate , upon arrival , valet service US . watch other car drive parking , reason two people tell husband could park , . ( drive gorgeous , new car casually dress ... ) need valet parking , bag kid stroller , would nice not leave struggle dirty alleyway . we room service bring breakfast , ask night . vegetarian , clear meat . order come , sausage three plate , cereal child . dissapointment . there many fabulous hotel Montreal . stay elsewhere . 
 Sep 2 2008 	 horrible Stay - dirty Rude Dismissive 	 book priceline four night stay four star hotel Montreal . arrive Sheraton , advise smoking room 2 bed . express concern smoke say room good except & quot ; permit smoke choose . & quot ; ask upgrade . offer one $ 50 next day , say would think . want see room like . smoking room horrendously dirty look like $ 40 motel . large bright red stain floor , smell like motel , black mark wall . give hive . go talk get another room . offer upgrade $ 50 , option accept , give allergic reaction . say come tomorrow would take care move stuff . night , staff member knock door 12.20 ask need help safe . reply refuse open door . next get call 12.25 front desk ask need help safe . say . next morning , go front desk person say note file make several derogatory remark we book priceline . accuse lie upgrade . rude accusatory . eventually speak management settle matter lot wrangle management . move regular non - smoking room next 3 night normal , cleanish 3 star room ( 4 star ) . trouble regard upgrade , give free breakfast . however , unrepentant state room sleep ( see picture ) . say room outdate stain . bad service continue -- next morning , leave room quiz maid room would empty ( disturb sign ) . 8.30 . say probably later morning . make snarky comment wait . next morning , call airport shuttle . hotel operator rude disrepectful . said not know anything except come every 25 minute . nothing fee , stop , long take alternate transportation . dismissive condescending . staff quite friendly ( upstairs , lounge ) , whole , visit unpleasant regrettable . also note Priceline decidedly unhelpful regard complaint state room fact Sheraton Montreal decidedly four star hotel pay ) . would book . 
 Sep 1 2008 	 date otherwise good hotel 	 get great deal hotel Priceline - definitely worth . room ( wallpaper , etc ) look old roomy comfortable . get room good view city check - in offer crib baby ( without we ask ) . location pretty central , block away Rue St. Catherine pretty close old Montreal . word budget minded - load good food around hotel , give restaurant miss . small burger 20 buck . hotel self - parking ( cost $ 20 ) . 
 Aug 30 2008 	 average stay 	 - Clean rooms- Small rooms- room luxurious convenient- breakfast include ( ton amazing brunch place montreal cheap breakfast Hotel ) - Staff friendly . forgot passport receive back within 24 hour Fedex - ed house . really love urgency handle . - staff provide excellent tip service otherwise well . Sheraton must good training staff find Sheraton staff around world well . 
 Aug 26 2008 	 Big Bland Disappointment 	 travel great deal world stay hotel range squalid sublime five continent , state certainty Le Centre Sheraton Montréal four - star hotel . even close , despite steep rate charge many glowing guidebook review . realize hotel size – ' large one 36 floor hundred room – everyone ' mileage , course , vary , suspect difference ' much give encounter visit July 2008 . common area : hotel ' main entrance presently renovation leave guest choice come go garage entrance Rue Drummond . inside construction cramp already oddly shape lobby , give size number tour group loitering , good thing . first glance place feel like tired , early ' 80 conventioneer ’ paradise , ' sorry say feel stuck throughout stay . mind thing sour first impression hotel dingy rug underfoot . unfortunately lot hotel ' carpeting , particularly guest floor , look like rug around dollar slot cheap casino : discernable " trail " ground – front desk elevator , elevator guest room , etc . front desk concierge area look right Courtyard Marriott . unimpressive big way . add chatter ambiance bus station , thank chaos tour group , , well , get picture . however , adjoining Le Café Bar attractive invite space , particularly like watch traffic Blvd René Lévesque . ' also late - night dining option . one detail – admittedly small – strike strictly down - market hotel personnel clothe match T - shirt . bellhop , concierge staff , front - desk clerk , wear screen tee ' strike professional . guest ROOM : four - star , maybe three - star . singular exception bed [ see ] , room absolute disgrace suppose caliber hotel . carpeting inside room even bad corridor : outright stain several place . wall mark scrape . frankly everything room tatty : décor drab date ; 19 & quot ; tv circa 1990 along cheap clock radio night stand ; window dirty outside ; even hotel ' print material ( card turn - down service , room service menu , etc ) dog - eare pass thousand hand . smallish bathroom ( one sink ) , dirty , far sparkle clean . floor need polish . wallpaper seam come loose several place . ancient brown tub / shower combo feel vaguely institutional , bathroom ventilate . ( one hot shower leave mirror fog half - hour . ) towel well standard - issue day Inn . also , bathrobe provide . ( four - star ? ) plus side , quality bed quite nice . dub " Sweet Sleeper Beds " Sheraton , really exceptional . definitely one comfortable hotel bed ' ever sleep . location : Comme si , comme ça . find negative . René Lévesque one least interesting thoroughfare city center , walk either Rue Maisonneuve dining bonaventure station Métro pleasant enough summer , ' far less inclement weather . hotel link underground city . VERDICT : Le Centre Sheraton Montréal deserve rank among well hotel city . ( guidebook review , many positive , Fodor ' Montréal & amp ; Québec City 2008 come close mark . ) frankly , unless ' town catch concert Habs Bell Centre ( short two block away ) , far well , interesting , less expensive alternative . price like four - star hotel deliver like two - and - a - half star , Le Centre Sheraton Montréal ultimately big bland disappointment . 
 Aug 24 2008 	 shabby date hotel 	 clearly hotel see well day . tiny room , shabby throughout - expect threadbare linen hole Sheraton . upgrade Club floor ! food mediocre - montreal many good restaurant , 's shame hotel cannnot manage well . I could recommend hotel anyone - many good one nearby . 
 Aug 20 2008 	 stellar adequate 	 ' m big fan Starwood - brand hotel -- try stay whenever travel . stay hotel 5 night August 2008 . breakdown stay : check - in Quick efficient . problem . actually think Starwood hotel non - smoking , one definately smoke room . locationgreat location , block away St. Catherine 's street Bell Centre . short walk away McGill Old Montreal . RESTAURANTNo full restaurant available past 2 p.m . not try room service . ROOMSQuite date need renovation . Old , flower - pattern wall paper bathroom . shower head green buildup . amenetie basic . bed , course , nice . normal CRT TV . , small room . check floor plan look like small room floor , room may big . check suites 7th floor . spacious , , , furniture date everything look old date ( bad way ) .OTHERWhen hotel get busy elevator take 5 - 8 minute elevator come . summarynot expect price hotel term room . stay W hotel would probably well choice would actually cheap stay time . need upgrade . except bed , would think stay day Inn . 
 Aug 19 2008 	 girl Getaway Montreal 	 stay Sheraton four night August 2008 . birthday gift sister niece . go away every year different location . year choose Montreal . lovely stay Sheraton . staff friendly ; especiall concierge answer many question recommend excellent place eat . hotel great location near main shopping area St. Catherine Street Crescent St full restaurant bar . also locate 2 major metro stop easliy within walking distance . room clean comfortable . not think bathroom small many mention post . however , little outdated strawberry wallpaper . clean problem . arrive late wound eat hotel restaurant . good meal overprice . would recommend hotel anyone would stay go back Montreal . 
 Aug 18 2008 	 Good Location ok hotel 	 Hotel right downtown , great location . hotel old need update . room date clean . bathroom circa 1960 . obtain reasonable room rate Priceline , give & quot ; El - cheapo & quot ; room right across elevator . quick trip front desk move room . overall acceptable hotel room well choice . internet access $ $ $ , valet parking $ 26.00 ( note free overnight parking available street ) . 
 Aug 12 2008 	 Great Location Omtreal 	 Excellent location . near St. Catherine plenty . 
 Aug 4 2008 	 try someplace else 	 good location friendly staff . 's good side . bad side : tiny room , old bathroom ( shower / tub feel like go fall room step take shower ) , horrible temperature control . usually freeze weather 70 , could not sleep night AC unit not stay keep cold . , whenever shut , could hear every person walk talk hall . get sleep entire 5 day . bar downstairs unbelievably expensive -- $ 10 coffee muffin , $ 10 beer , etc . like many big hotel chain , pay internet service ( $ 14.95 per day ) even though website advertise wireless . yes , , pay nose . use business office access web , charge $ 7.95 per 15 minute . guess okay business traveler write pay , average tourist , expensive . hotel not cheap either . , find cheap place free internet . nothing hotel worth price cost stay . 
 Jul 29 2008 	 Little Shabby - Nice Enough 	 mention review , location excellent want easy access downtown . city 's public transit good hotel get anywhere city easily . arrive late - ish one evening find ground level undergo sort renovation , access via drive - in door back . front desk staff polite efficient , respond positively request quiet room . room 6th floor ok - quite small north american standard room 2 queen bed , rather worn tired - look decor . bed , however , incredibly comfortable whole room spotlessly clean . major irritation $ 14/15 daily charge internet access levy hotel - even simply want use lobby WiFi 5 minute email checking . rather unreasonable free internet available readily everywhere . ( tell staff member front desk go Second Cup coffee shop Rue Ste . Catherine , minute ' walk away , use free Wi - Fi . ) addition , ice machine 6th floor operating go 2 flight 8th floor want ice . , happy stay - give have get decent rate Priceline . would less pleased pay ' standard ' rate . true 4 * hotel experience Montreal , would go Omni instead . 
 Jul 26 2008 	 Nice Missing something Prior visit 	 7th time stay Montreal third hotel . location perfect near downtown shopping dine outstanding view upper floor . room great view Mont Royal westside . front desk staff turn service attendant friendly . can not say much person run 37th floor club lounge . try charge $ 4 glass soda ( mostly ice ) advertise . fine hotel charge alcoholic drink . also insult ask type & quot ; pop & quot ; ( everywhere else Canada say & quot ; pop & quot ; instead : soda & quot ; & quot ; coke & quot ; ) . also surprised room small , hotel nice perhaps get small room recall large past visit . 
 Jul 23 2008 	 bad example four star hotel 	 disappoint stay Montreal Sheraton Hotel . pull poorly light parking area , first clue place not live four star . staff dress t - shirt ? person dress suit rough look security guy . could care less Sheraton Hotel , night ? first evening ask staff get Royal Mont Park . 's ten minute walk away find later . rude lady tell we take Metro bus nice part City . later night wife accuse street walker nasty desk staff inquire Hotel free WIFI lobby . Sheraton not provide service . go around corner Subway use WIFI free . first night stay cable tv . not fix till follow day . second day stay hotel cut power 11 am unknown reason ten minute ? room ok , worn bit . bathroom light work feel like . good point hotel pool hot tub . 's centrally locate short walk din Metro . parking reasonable $ 20 day . room book deep discount . know . would not stay Sheraton . 
 Jul 21 2008 	 Strike kind ruin ! 	 arrive staff strike . get luggage room . first time Sheraton clearly not live hype . room ere clean food awful . kind unfriendly atmosphere . staff not happy . 
